12001a7fb7	778c0	ওয়েসলি বারেসি
128ce97158	8E+099	এখন ভয় পাচ্ছে না
128d5daca4	086dd	রেখেই হিন্দুস্তানি
128d7773e5	2f547	ভোটারদের সামনে নিয়ে যাচ্ছেন
128d852da6	64092	অর্থনৈতিক তথ্য অনুযায়ী
128dcc43c8	cb1aa	কিন্তু তার পরেও
128df00102	1b359	ক্ষতিগ্রস্ত প্রতিষ্ঠানগুলো
128f11833b	83c53	যাচাই করছে
128f86e198	f143a	পাশাপাশি সরকারও
128f943452	7ec1c	দেশের রাজনৈতিক পরিস্থিতিতে
128f9c0f8e	2fe3c	এ ঘটনায় বিশ্বনাথ থানায়
129104f6bf	38d3a	অস্ট্রেলিয়ান ওপেন
12924147ae	9065c	ক্ষুধায় পেট জ্বলছে
129309e2a9	e2ff7	অমিত চাকমা
12938ce0e2	e2c11	কী ধরনের করবেন
1293ebe2e8	ff1c3	২০১১ সালের ১৬ জানুয়ারি
1293fb277b	f83df	ভারতের এই বিদ্যুৎ
12944c233e	32998	ট্রানজিট লাউঞ্জে
1294e6bf3a	23b22	নতুন নেতৃত্ব আসবে
12955c8b84	d0c70	পরিদর্শন করা হবে তা নিয়ে
12956e6fc3	75936	সাত বা আট বছর
12957aab84	68ab7	অনুশীলনের মতো
1295a1df38	2ad74	বাসে আগুন দিয়েছে
1296231c5a	d9817	মেহেদী ব্যারিস্টার ফখরুলের সঙ্গে
1296389d8d	5.4E+069	হলুদ রংয়ের দুটো পালক
129665bc7d	3fb17	আমি দেখতে আসব না
1296ac46ef	616ec	দেখার দাবি করেছেন
1296b85e0b	8a46d	লাখো মানুষের ঢল নেমেছে
1296c4f2c1	f6e55	প্রথমদিকের ন্যাশনাল
1296daa065	ee994	এখনও নারী পণ্য
1296ff35e7	5d12f	এছাড়াও বিভিন্ন এলাকায়
129706bbdd	cb842	এটিএন নিউজের প্রচারণার
1297111f39	355c1	ভালো করার ব্যাপারে
12975bc9e2	7e1d5	আলাদা মঞ্চ থেকে
1297c61f45	7d3e1	এর ফলে সহিংসতা এবং বিশৃঙ্খলা
1298b606ff	ce629	যে বক্তব্যগুলো
1298e251e8	c4973	এখন নিয়ম তৈরির পর
1298e589c8	24f73	আমাদের আশাবাদী করে
1299795124	086dd	যারা হত্যাকাণ্ড সংঘটনের কথা
1299dbf1b5	f837a	অবশ্য বিয়ের সময় তিনি
129a12453c	e9759	সংক্ষিপ্ত পরিচয়
129a52e7c4	31f09	বড় বড় করে লিখলেন
129ae304e3	809cd	সম্প্রতি কয়েক সপ্তাহে
129af20206	72649	অনুদার পরিবেশ
129afb68b0	3ccf1	ওর কানে বিড়ি গোজা
129b111578	809cd	সতেজ দেখালেও
129b605833	adf01	দলগুলো দলের
129b8a8a1c	b08d0	যেভাবেই হোক
129bedc723	a1d4a	গরীবের ছেলে
129bf55753	ee4ad	তাহা উল্লেখ না করিলেও চলে
129c30633a	239f7	উজ্জ্বল ভাবমূর্তিটি
129c59f924	5b13f	দায়িত্ব সরকারেরই ছিল
129cdab914	ab946	মৃত মৌলভী মোস্তফার পুত্র
129df3e081	948d3	কিমি কর্মকার
129e0300e7	3bb15	মুখ্য হল বাংলাদেশের উন্নয়ন
129e6f03cd	287bd	পড়ে থাকতে
129ecac00d	2bd99	তারা আর পৃথিবীতে ফিরবেন না
129ed5831b	0d8c1	এই বৈষম্য
129f322b86	33814	তারা আগামী দুই বছর কোনো ক্লাস ও পরীক্ষায় অংশ নিতে পারবেন না।
129f408ea2	cb1aa	অভিযোগ করেছে
12a06c954f	5901	আর যারা প্রকৃত প্রেমিক তারা আজ বঞ্চিত।
12a07d9bb4	e6d83	রক্ত পানি করে
12a11786d9	29089	মোগলদের আগমনের পূর্ব-অবধি
12a198e8dc	14d25	আমার মানা না মানার সীমানা
12a19d8fce	3c897	ভাগ্যদেবী যেন আতাউল করিমের জন্যই
12a2384a46	aab0f	পুলিশ কর্মকর্তা ধীরাজের
12a2457913	ee886	তার সঙ্গী
12a24f2115	a7c6f	কেট মিডলটন পত্রিকার
12a2744572	7ed14	আমার মায়ের অসুখ হয়েছে
12a288db00	9fa90	৩৫ হাজার টাকা পেয়েছেন
12a2e43299	4237e	বয়স ১০০০ বছর
12a2fc2815	8406e	নৈতিক
12a38f360c	5.4E+069	ওই দুটি গুণই লাগে
12a41bb790	a0277	ঘিরে গড়ে ওঠা
12a4699516	6973e	রাজামশাইকে গান শোনাতে এসেছি
12a4743e72	09b32	ক্ষতি করলে
12a4cbd5a4	ce180	একটি চুক্তিতে
12a50f14e5	44322	প্রতারণা ও অপরাধের কথা
12a51eea6d	dfefa	দুই মেয়ে রয়েছে
12a59f71ba	274ee	মডেল সারিকা
12a5b1c17e	15a75	শুভ্র বলেছেন
12a5bff4ac	1279e	তৎকালীন প্রধানমন্ত্রী
12a6411cb9	57d54	অনেকক্ষণ সেজেছে
12a6a1dac9	d7a68	অ্যাবাকা কলা পরিবারের অন্তর্গত
12a746f9ea	ca088	গোল গোল
12a75e14db	16cfb	মুখের ভাষা থেকে
12a7a0e73e	fda1a	কৈশোরান্তে আমার জীবনে
12a7cdc9c2	1e7c6	২০০৫ সালে তিনি তৎকালীন প্রধানমন্ত্রী
12a841b59a	d5f7b	প্ল্যাটফর্মে স্টেশনঘরের সামনে
12a8cdcf9e	efc0d	তবে এসময়েও দেখা যাচ্ছে
12a8d0eebe	15a75	পুলিশের অপরাধ
12a9bc7179	809cd	অনেক বাধা আর প্রতিকূলতা
12a9bf38b2	f7a7f	কোন সমস্যার
12a9f5936f	cc9fd	প্রবৃদ্ধির ইতিবাচক গতিধারায় ফিরে আসছে
12aa31a312	d7a68	ভরসা রাখতে পারছে না
12aa74562a	e03fc	গিনিপিগ হয়ে যাই
12aa9bd465	e68af	আইন উন্নত করা হয়েছে
12aa9fec3c	a3a6d	বিশ্বকাপ টি-২০র
12aad63f40	3b1f7	অসহায় সঙ্কটাপন্ন অবস্থায়
12ab1154f8	b8bba	আমার বাতাসের ঘর
12ab7c076b	b8ed8	২৮তম মিনিটে
12ab867e6c	b7be9	রেলওয়ে
12aba8806d	c4973	এছাড়াও সেখানে উপস্থিত ছিলেন
12abc58cca	92f59	দুই ম্যাচ কম খেলেছে
12abca2154	f9dfb	বিস্মিত হতে হয়
12abfea4bb	dfefa	যাঁর খ্যাতি
12ac1adde8	80518	১৯৯৮ সালে ডাবলিনে
12ac7110b4	2ecf8	তার সঙ্গের ঐ লোকটা
12ad4221ce	9b864	সেটা এখনও পরিস্কার নয়
12add07957	66c6b	রুবাইয়াৎয়ের লেখা চতুর্থ নাটক
12ae1ecec9	4dd57	কুত্তা দিয়ে খাওয়াবে
12ae2a6184	1cb75	অভাব ছিল না
12ae6e9260	a9a58	খেলোয়াড়দের দলে টেনেছিল
12aeaf25c0	bbb22	তথ্য থেকে জানা গেছে
12aec52248	13b6a	পুরো ক্যাম্পে
12af506e77	d5213	হো হো করে হাসছিল
12af6a9f80	4c1eb	এই আদর্শকে
12af8ed482	24aed	ইলেট্রিক যন্ত্র নিয়ে দেখিয়েছেন
12af9ab705	77f82	বামপন্থীদের কোণঠাসা করার পাশাপাশি
12afa170f1	6e6fa	সফর শুরু হয়েছিল
12aff97940	3ccf1	টর্চের ব্যাটারির তেজ
12b005e319	11915	তাদের কণ্ঠে থাকে
12b0cf3dff	3f493	অস্ত্রগুলো সৌদি আরব
12b0f3454b	7f2ef	রাবার বুলেট ও টিয়ারশেল ছুড়ে
12b2349439	b8ed8	দুপুরে খাবার টেবিলে
12b263750d	f83df	শীর্ষ সংবাদ
12b28a43d9	18460	শিল্প খাতের প্রবৃদ্ধি
12b2a70c13	f2097	অনুষ্ঠানে বাংলাদেশ
12b2f18040	ee852	অজ্ঞাত এক যুবকের লাশ
12b2f7d600	194f5	তাকে জানিয়েছেন চিকিৎসকেরা
12b30d4e2b	1b359	সম্প্রতি ম্যাকডোনাল্ডের কর্মচারিদের মজুরি ৭.২৫ ডলার থেকে বাড়িয়ে ৮ ডলারে উন্নীত করা হয়েছে।
12b384c4d9	4164f	উন্নয়ন সম্ভব নয়
12b3d41cdf	09b32	অনেকেই বলেছেন
12b4555c9e	91223	চিহ্নিত আটজন কর্মকর্তার মধ্য
12b4858813	9fa90	হাঁটুতে হাত রেখে হেঁটে যাই
12b49e0657	ef4f8	লাভবান হওয়ায়
12b4ee620e	75f18	একটি হত্যা মামলা
12b516d2e7	2840e	উল্লেখ করে আদেশ দিয়েছেন
12b59e1b4b	d5f7b	তাৎক্ষণিকভাবে জানা যায়নি
12b61595c1	8c120	কেরানীগঞ্জ
12b6752854	5639c	আইন অমান্য, বয়কট হরতাল
12b691aad2	bdd05	পরিস্থিতির বর্ণনা দিয়ে
12b6bbc918	6973e	দিতে পারিব না
12b7077657	18460	স্বাস্থ্য অধিদপ্তরের মহাপরিচালকে
12b73c2d9d	f29bf	গুলি বিনিময়ের পর
12b770eda8	a4750	এ সময় গাড়ি দুটিতে
12b7eb7d32	f4ba7	টুকিয়ে ওতে চকাশ করে চুমু মেরে
12b7fc7009	7297e	নিয়মিত সিনেমা
12b835404d	adf01	রি-টুইট করা
12b8f3fd1b	7d004	সর্মথন জানিয়েছে
12b90a86ab	8632b	পারিবারিক ও প্রেমপ্রধান
12b94d6f16	85430	এবার যোগ হচ্ছে
12b9c78eef	56508	এবং যার বেশিরভাগ এলাকা
12b9d6b8d3	33814	মামলার তদন্তকারী কর্মকর্তা
12b9dcb7bd	d8c80	নারী ও শিশু
12ba340373	7d3e1	এর শিকার হতে হয়
12ba6bd223	bc81e	অনুষ্ঠানের গতি আরেকটু শ্লথ করেন
12baa9e64b	0d4cb	থানায় গিয়ে
12bb185f0b	4f450	লিংকনের দেহরক্ষী
12bb3c5e51	84145	লেখালেখি হয়েছে
12bba2d99e	66dcd	সেটাই বিলম্বের অন্যতম কারণ
12bc0595f5	0f047	বন বিভাগের একজন কর্মকর্তা
12bc2fd11a	730c3	বোয়ালিয়া মডেল থানা
12bc8eccb7	274ee	কমই এসেছে
12bc906c25	8406e	সবাই বিদায় নেয়
12bca32cab	33814	এ উৎকণ্ঠার মুখে
12bcbed3a7	bdd05	অফিসিয়াল সাইট
12bd77a2f1	9092b	ইসলাম গ্রহণের ফলে
12bd9e3466	c749e	সবটাই নির্ভর করছে
12be6a1ad6	64092	একটি জাইঙ্গাও ছিল না
12beb31480	b8ed8	গণ বিক্ষোভের মুখে এ মাসের শুরুর দিকে মিঃ মোরসিকে ক্ষমতাচ্যুত করে মিশরের সেনাবাহিনী।
12bed2d420	b8bf0	দেহের ওজন কমানোর জন্য
12bee3ec91	ff1eb	ষষ্ঠ অধিবেশনের
12bf5813d8	32998	আকিদুল ইসলামের রচনায়
12bf756c8e	4fd66	জয়ী দলের সঙ্গে
12c0c87861	3c897	শেষ হবেনা
12c0f86f66	29089	তখন থেকেই
12c1245e89	57d54	পাল তোলা নৌকো
12c18ecd7e	e03ce	প্রজাপতির পৃষ্ঠদেশ থেকে
12c220b924	2b883	একজন ভারতীয় ঔপন্যাসিক
12c2491b22	7b60a	হয়ে ওঠার আগে
12c3375eea	b8bba	পাকিস্তানি নারী সাংবাদিক
12c370f66b	b618b	রায়কে স্বাগত জানিয়ে
12c38b56a6	ce629	নির্ধারিত হয়
12c3eaea66	e8dde	চাকরি থেকে ছাঁটাই করেছেন
12c3f32a16	39293	গন্ধরাজ
12c450cfc1	e754e	দেখতে পায় না
12c46b08b2	698ff	শাহজালাল
12c49053f8	9d398	একটি চুক্তি হয়েছে
12c4d76722	aa820	সহিংসতা বন্ধ করতে
12c593e748	c463d	অকস্মাৎ বিপদে পড়া
12c66bd67a	9642e	হোয়াইট হাউজ
12c6cddb7a	7ed14	এই ক্রিকেট দুর্নীতি নিয়ে
12c6d7b3ab	f0f95	এমনিতে নারায়ণগঞ্জ
12c70eaf5a	65652	বিশাল এর আয়তন
12c8825531	aa820	ঢোলকের পয়সাটা দি
12c895762f	aabe7	তাঁকে শ্রদ্ধাভরে
12c89b90e9	c1e30	পেশাজীবী সমন্বয় পরিষদের
12c90cbd9f	e2ba2	ভবিষ্যতের অগ্নি বর্গের
12c915d632	e03ce	পরিবেশ, অণুজীবের সম্পর্ক
12c94bdbca	c5479	আমরা এটা না করে
12c96b11c1	dfefa	নিয়ে যাওয়া হলে
12ca26e200	4bd2c	বেড়েছে অনেক
12ca803a88	0633a	মাঝেমধ্যে ছোটখাটো কিছু জিনিস
12cad6e485	2d98b	তালিকাতেও অঙ্গের উল্লেখ আছে
12cb1055ed	c8f7f	মূল রচনাগুলির
12cb7b6b57	4486f	সেই লক্ষ্যে কোম্পানি
12cbc5f1b0	7b900	স্বভাবতই গ্রামপ্রধান
12cbdb75a8	f2b7d	আমি হাজার বছর ধরে
12cc37ae98	69d9a	এরপর আর কিছু মনে নাই
12cc4bf34e	ff1eb	প্রায় তিন মাস
12cc548944	2ac82	যেমন নির্ধারণ করা হয়েছে
12cc5ee242	1a2a1	এই তিন ভাগে
12cc6d7ff9	7c272	যে পাতলা পদার্থের
12cd075bff	577fa	দেয়া হয় নি
12cd9915e9	d41be	ক্রোম ব্রাউজারের বাগটি নিয়ে
12cdd2e6f5	7f71c	কাঁধে না করিলে
12cdf22b0f	f2b7d	নিউটন তার মহাকর্ষ তত্ত্ব
12ce35cd91	7c272	একটা সাংগঠনিক ভিত্তি আছে
12ce8fb78d	7f2ef	চুম্বনের সময়
12ceace524	1652d	কেনেডি সিনেটের সদস্য
12cecbc1e1	93d3b	পাঁচটি দাবি
12cf25ff17	0b7ca	ডানে বায়ে মাথা ঝাঁকিয়ে
12cf5eac2b	af81d	খানিক দূরে যায়
12cf740dbe	e754e	অভিনয়ে আসার কারণ কী
12cf7d1260	fda1a	স্বৈরাচারের বিরুদ্ধে
12d02e1333	e6e48	যিনি ব্রহ্মবধার্থ দৈবকর্মজাত
12d0656053	ee994	ভোট হলেই তা নিরপেক্ষ হবে বা হয়েছে
12d0822bf9	c0965	প্রতিদ্বন্দ্বিতার চ্যালেঞ্জ
12d0be44e7	0d9f1	প্লাস্টিক শিল্প
12d0ce0ddb	d3e06	উপরি-উক্ত দুইখানি পুস্তকই
12d227689a	18460	লেখা গণিত বই
12d2d3b459	46d49	হল বিশেষ এক ধরনের
12d379ac95	0d9f1	১৯৪৭ সালে উফোর
12d384396a	6973e	ওখানে গিয়েছিল
12d3af34be	f2b7d	জননী হবার
12d3d20fc0	f1240	একমাত্র খেলোয়াড় হিসেবে
12d434006d	fb4cb	ভালবাসার মানুষ চাই
12d45791b4	69d9a	ভালবাসি তোমাকে
12d46d1388	1cb75	আমাদেরই কাজ
12d530522e	2ad74	প্রথমবারের মতো ডাক পেয়েছেন
12d54a14bc	8cf95	অংশগ্রহণকারীরা সেই বাটনে
12d5fe49ef	d1b12	কিন্তু অবাকই বা কেন হব
12d60b2cb3	903fa	ফুলে উঠে কেন
12d65b8b15	d9081	সক্রেতিস্ এবং যীশুখ্রীষ্টের দেশীয়েরা
12d6e6c31a	e8dde	ক্যারিয়ার বিবেচনায়
12d6faed10	65652	এই উদ্দেশ্যকে উপলক্ষ করে
12d7245240	282d3	ডিউটি পড়ে
12d7e2bc3a	b5fdc	বৃষ্টি নামলে
12d7fcad05	0895a	ব্যবহৃত হয়েছে
12d802b4b6	3c897	লোক নিরাপদ খাবার পানি
12d8bfd0a9	cd3ac	চুপ করে
12d8d52188	0c39f	তাড়া করতে নেমে
12d8f43965	aab0f	মঙ্গলবার ঢাকায়
12d96e119c	860f4	মেহেরুননিসার ভাই
12d9a063e1	2d78f	মোরসির সমর্থক
12d9e0407f	db735	নেয়ার পথে ভেদুরিয়া ঘাটে
12da1265ae	8632b	কার্গো বিমানে
12da289260	1279e	ব্যাহত হচ্ছে বলে জানা গেছে
12da53e697	274ee	তবে এখন এই
12da925ccb	66c6b	ফরেক্স ট্রেডিং
12db68920c	d9ba9	তাদের দ্রুত
12db720439	8a46d	সরু ক্রমশঃ প্রশস্ত হয়ে গিয়েছে
12dcbb9187	c3cca	সেটি তদন্ত কমিটি
12dd419b21	b00ba	রোববারের এই বিতর্কিত
12dda0604f	47e8d	আজ দেওয়া হলো
12ddce7b2b	730c3	জাতীয় বিশ্ববিদ্যালয়
12ddf46ef1	37d7e	১ ঘন্টা রাখুন
12de049e94	b78ec	কর্ণফুলীর কূলটায়
12de223390	35ef3	শ্যুটিং প্রতিযোগিতা অনুষ্ঠানের পাশাপাশি
12de280cbe	321b6	সহযোগিতায় বিহারীদের
12de56d468	8143b	বেশী দেরী করা হইবে না
12de7c45cd	d8c80	টরন্টো ফিল্ম ফেস্টিভ্যালে
12de902f87	91ac1	সংগ্রহের জন্য
12deaa7c74	91223	জেলার ৮ উপজেলায়
12ded2c8b7	ac904	পদ্মশ্রী পদক পাওয়া
12deda6fa5	1.6E+097	বাড়তে থাকা
12df239908	b8bf0	বাংলাদেশে কয়টি সরকারী
12df42b986	f2097	ধীরাজের লেখা উপন্যাসের
12df491653	68549	বৃহস্পতিবার হরতাল পালনের
12df5ee740	6973e	কর্তৃপক্ষ কি উদ্যোগ নিয়েছে
12df92bace	bcaa8	তাহলে আর অর্থের কী হল
12dfdc8de9	f2b7d	তিন মেয়ের মধ্যে
12e0230f8e	7b900	এই পরিশ্রমী লেখিকার প্রতি
12e0a18092	d5f7b	সুপ্ত অবস্থায়
12e1589b7a	bf530	ক্ষতিগ্রস্তরা ঘটনাটি
12e1847bdf	7ee9b	মিলান সমর্থকরা
12e186c723	c3cb3	পরে স্কয়ারটিতে
12e1e3fd6c	767ff	তারা চিকিৎসাধীন অবস্থায় আছেন
12e1f4b3e6	bbb22	পত্রপত্রিকায় লেখালেখি করে
12e22ec326	f837a	আমি ভালো গল্প ছাড়া
12e2902ccd	88654	প্রায় দশটা
12e2bc6ce2	3fb17	প্লট হস্তান্তর না করা
12e2e613c4	c7705	এই তদন্ত কমিটি
12e2e9f50c	a3a6d	তিনি নিজের চোখে
12e2fc1404	75f18	দিঘি
12e30910c2	8a46d	ব্রিটিশ রাজকর্মচারী
12e3120997	153c9	অনুদার পরিবেশ
12e3b9526a	767ff	পাস পেয়ে
12e4418ac1	6a35e	মা’র পাছার তলে
12e4640fba	b7be9	বন্ধ করে দিয়ে
12e4b66308	61820	লিমনের কপালে
12e524021d	5d12f	ক্রিকেট দলের সঙ্গে জিতেছি
12e56781a0	0b7ca	তার পেটের সব জল বেরিয়ে
12e5a1c685	ff0fe	করেছিলেন তিন
12e625b67c	e2ff7	টাকা পয়সা নেই
12e6fea619	4fc91	কাঁপিতে লাগিলেন
12e7e0cc85	1f974	জামিন নাকচ করে
12e83c2865	eecdd	মন্টুয়ায় রোমিওর কাছে
12e84c1d74	e50f1	খুচরা পর্যায়ে বেড়েছে
12e9075541	b8fe1	এ সময় রাষ্ট্রপক্ষে
12e937932d	2bd99	আফ্রিকান ইউনিয়ন
12e93c7652	bd576	কিন্তু প্রতিষ্ঠিত কারখানাগুলো
12e96bf264	a699c	কণ্ঠশিল্পী আগুন
12e9859026	e8dde	জাফর আহমদ রাশেদ উঠতি তরুণ
12e99fe566	9d7bf	এখনো আমাদের
12e9acc8d6	91ac1	ঢাকা আরিচা মহাসড়ক
12e9df15b1	943de	শাস্তির ব্যবস্থাও
12e9ebca47	2aecc	মানুষ মারছে
12ea048ad1	860f4	গলার চেনসুদ্ধু নিয়ে
12ea103ffd	239f7	ভূমি-বেষ্টিত দেশ হওয়ার কারণে
12ea157d53	cb627	শুরু হয়ে ১২ই মে পর্যন্ত
12ea335180	12702	আর বেগম রোকেয়া বিশ্ববিদ্যালয়
12ea41f79f	4164f	উর্বর হয়ে উঠলে
12eb20c131	f1240	সদর থানার এসআই
12eb5d35f9	af81d	স্কুইড দিয়ে তৈরি
12ebafc73b	a274b	রেগেমেগে ভীষণ রোষে
12ebb32f97	7027a	জাতীয় সম্মান লাভ করে
12ebc29d3b	6aac8	যে সকল জনপদ ছিল
12ebdf24ec	4164f	দেহবাদী নানান সম্প্রদায়
12ebf3f317	287bd	ব্যাংককের রাস্তায় জড়ো হওয়া
12ec0fb14d	e68af	জিডি তুলে নেন
12ecfb99cc	778c0	অস্ট্রেলিয়ার পার্থ এর পশ্চিমে
12ed2e5e41	1e7c6	ময়দা আর দই
12ed34bbb1	430b2	ব্যাংকিং খাতের উপর
12ed3a3d88	948d3	ছিল থমথম
12ed5a96ce	3b1f7	আমি একই সঙ্গে
12ee1dfe3f	7e1d5	শেষ কথা নয়
12eea336fe	1.6E+097	সহযোগিতায় অতুল বসু
12eec15035	0895a	সবার নাগালের বাইরে
12eef312be	287bd	এজোরাইজোবিয়াম, এজোব্যাক্টর
12ef0168f1	cf82a	পিকেটিং করে জামায়াত শিবির
12ef160557	1de6c	এই মরমিসাধনার আদি রূপের
12ef297771	7351e	সৃজনশীল
12ef39c16c	e50f1	ছাত্রলীগের এক পক্ষের হামলায়
12f08b418b	d82d9	গোলাম হাফিজ এর আগে
12f0985ad7	ea8fa	এফ এম রেডিওগুলো
12f0e8bcbd	3fc9d	তারা পায়নি
12f0fedd15	dec2d	পূর্ণিমা ও রিয়াজ
12f1656f2b	39293	করবো না নামোল্লেখ
12f1d7667f	c5479	সৃষ্টির পথটিকে নয়
12f2057aa4	64092	বাস্তব কিছু কারণও রয়েছে
12f2495a5e	7ed14	ইরাকে বেড়াতে আসেনি
12f285fc1a	3ccf1	জীবনের হিসাব-নিকাশ
12f298d531	16877	আকলগড় শহরের
12f3fc614d	14816	একজন উপদেষ্টা
12f3fe3bbf	1e7c6	এ রকম ঘটনা
12f45679a2	ce629	অদ্বৈত মতানুসারে
12f4c48021	83c53	দেখিয়া যেন
12f4e737c1	ad2a0	আরো কয়েকটি টিভি চ্যানেলে
12f53975ba	1f733	বাংলাদেশের অগ্রগতি সম্পর্কে
12f586339c	7d133	মোহন সাহেব
12f5b0b1dd	23b22	বিষ্ণু, ভাগবত এবং ব্রহ্মবৈবর্ত ভিন্ন
12f5f3e385	59c73	বিশিষ্ট লেখক হিসেবে
12f666e858	c463d	অন্তত ২০ জন যাত্রী
12f6864cf9	b8ed8	যন্ত্রণার উপশম হয়
12f6b0f0e0	6e6fa	বৃষ্টি হচ্ছে
12f6bc5aaf	ac0df	নির্বাচন জনগণের জন্য
12f72f88f5	b8bba	ব্যাপক কূটনৈতিক তৎপরতার মুখে
12f7bb8526	93d3b	১৪২০ সাল পর্যন্ত
12f7e81676	536d9	প্রত্যেকবার লেখা শুরু করার আগে
12f811648b	c8f7f	মাদারীপুর গেলেন
12f8b26b2d	46da4	সুজান বিয়ার পরিচালনা করবেন
12f957fa90	ff0fe	টারজান
12f97e3275	5901	শান্তি শৃঙ্খলা রক্ষার্থে
12f9e7fb7f	a274b	আধুনিক বাংলা ভাষার পরিধি
12f9ecf963	17ca1	কোনো ভূমিহীনকে খাস জমি থেকে
12fa1237ca	3ec4d	ইহা বালকেও জানে
12fac0643a	730c3	১৮৯৯ সালের বসন্ত ঋতুতে
12fb1b19cc	f0f95	কিছু ওষুধ
12fb5c5a55	e3d8b	আমার মাইরা ফেলার
12fb737c21	10a9f	চাকরি বাজার
12fb90f84b	bbb22	আমি ছিলাম পেছনের দিকের
12fbc7b208	ea8fa	মরদেহগুলোর ডিএনএ প্রোফাইল
12fbcd65ca	d2355	দৃষ্টিনন্দন এসব পাখি
12fc5baefb	e55de	গত চারমাসের মধ্যে
12fc6fe3a5	f280a	এমন দলই জয়ী হবে
12fc736ab8	16877	সফর করবেন
12fd440da3	ee886	এই প্রেক্ষিতে
12fd55d666	cb1aa	স্লামডগ মিলিয়নীয়ার
12fd5c3a97	6ee5f	গাড়ির সাধারণ মানুষকে টার্গেট করছে
12fdae6ef6	745b7	দিলেও খুব বিরক্ত হয়ে বলবেন
12fdc9aa2b	ab946	সর্বব্যাপী উপস্থিতির
12fdd96750	e9589	এ সময় বক্তারা বলেন
12fecb6954	cfc65	নিরাপত্তার কথা বলে
12fed50fab	dec2d	অন্তত দুজন
12ff97c2e2	6.5E+031	ক্ষুণ্ণ হচ্ছে
12ffcbbf02	3b1f7	সোভিয়েত ইউনিয়ন পতনের আগে
12ffcd15cb	bfac7	অপারেশন সাউদার্ন ফোকাস
