d700b5e6a7	28dfc	গণহত্যা চালানোর পর
d79111a457	6e6fa	মধ্যপ্রাচ্যসহ বিভিন্ন দেশে
d791f6418e	2c9c5	তবে পিশাচ হিসেবে
d7922ed735	c9c19	হত্যা, ধর্ষণ, বলপূর্বক ধর্মান্তর করা
d79240db52	404ee	আয়েশা আক্তার
d792425626	fdcba	সাথী এক গোল করেন
d79278bf72	b9b98	একটা ছবির সামনে
d79281e87f	0edef	কিন্তু তখনো
d792acd82f	3bb15	দ্রব্যের পরিমাণের
d792db93a2	ee4ad	স্বাস্থ্য ও পরিবার কল্যাণ প্রতিমন্ত্রী মজিবুর রহমান ফকির বলছেন, কর্মী সংকটের বিষয়টি তারা সমাধানের চেষ্টা করছেন।
d7935200ec	4bd2c	এ দিন যে হারে
d793535d70	25696	বঙ্গভঙ্গ নিয়ে
d793a6a034	77f82	তদন্তকারী কর্মকর্তা উপপরিদর্শক
d79413adf5	c4973	এরপরই অন্য দুটি সিনেমার
d7941b3bf2	ca088	মানব জাতির জন্য
d79473c085	282d3	কোনো ভয় নেই
d794850170	086dd	বিভিন্ন ধরনের পোশাক
d7950c7941	7a227	অমৃতা খানের
d795241b49	82926	নাসার স্যাটেলাইট থেকে
d79541a9fb	d2faf	আরো জোরদার করা হয়েছে
d795c65cf3	23291	আটকে পড়েন
d795e511e6	53396	এসআই জালাল এ তথ্য জানান
d7961da963	7a227	সামরিক বাহিনী
d7963e2834	9d46f	রাজপথে সহিংসতা করছে
d79697da61	c3cca	সাতক্ষীরা-খুলনা মহাসড়কের
d797019c27	bbb22	ওয়ালটন
d79722e97e	b5fdc	সুকান্ত তো দেখছি চিরকিশোর
d7973c58ce	b9122	গ্রেফতারি পরোয়ানা জারি করেন
d79740e58c	bdfc1	২০০৭ সালে এপ্রিল থেকে
d797562bce	420df	আসরে শুরুতে
d7977ea7bd	80505	তারা নির্বাচনে চূড়ান্ত প্রতিদ্বন্দ্বী
d797bc8645	29f8c	একটি ক্রাইসিস সিচুয়েশন তৈরি করে
d797c6b57b	b8bf0	আগ্নেয় শিলা এক প্রকার
d79842539c	c8f7f	সব সময়ই রয়েছে
d7984321f5	e6203	শুধু বিশ্বকাপ না
d798f28695	dfefa	উনবিংশ শতাব্দীর পোশাকে
d7998c1d0b	616ec	অর্থসংস্থানের কারণে
d799932da9	693cb	নীলিমা
d799b7236b	10a9f	আলোচনায় তুলে ধরেন
d79a252c88	ca088	মনিরুজ্জামানের দেয়া
d79a5d7949	65652	হাজার হাজার শিক্ষার্থী
d79aa48b03	6ab59	এই পদ্যরূপেই গাই
d79ad291ed	0d4cb	স্বামীকে না জানিয়েই
d79afb1342	d1a48	বিশ্ব সুন্দরী
d79b1900ba	4fc91	পদ্মা সেতু প্রকল্প পরিচালক
d79b644b72	47e8d	নন্দিনী ফোন করে
d79b746efe	f2b7d	পুলিশ রাত সাড়ে ৯ টার দিকে
d79bbd9d6b	a1d4a	প্রচারক
d79bef398a	cb842	চৈতালি বসার ঘরে
d79c546782	95907	বিমানবন্দর থেকে
d79c91c652	23291	সেখানে নিয়ে গেছে
d79d5aee9c	809cd	যাদু শিখুন
d79e2ab2d8	7f71c	শুকিয়ে গেল না
d79eb62023	06736	খাবারের মধ্যে
d79efdf1c5	0633a	এর দাম কত হতে পারে
d79f18dac1	e43d4	পুরো ভারতীয় উপমহাদেশ জুড়েই
d79ff917a0	ad050	ভালোই হয়েছে
d7a07e907b	6c6bf	ধারালো অস্ত্র দিয়ে কুপিয়ে
d7a27845ad	315e9	তার কণ্ঠ শুকিয়ে গেল
d7a285a8de	8a46d	তিন ব্রিটিশ নাগরিকের
d7a2c2f2a3	65e30	তিনি মধুবনাধিপতি মধুর কন্যা
d7a2c7523e	f29bf	এরা আর মেধাবী নয়
d7a339baa5	cc9fd	ইডেনে ভিড় জমিয়েছেন
d7a3537280	2f547	হুমকির মধ্যে পড়ে
d7a3ba792c	efc0d	জিপিএ-৫ পাস করেছে নাছরিন
d7a3ed529d	a4750	জাপানের গবেষকরা দেখেছেন
d7a3eda963	dae88	উল্লেখ করেন মি: হক
d7a41fe6af	ee7b2	ঢাকা কলেজ
d7a44dac5e	9f25e	ডিন জানান
d7a494c017	29d44	ক্রাইমিয়ার গণভোটকে
d7a4a02218	4c555	প্রথম রায়ে জামায়াতের সাবেক নেতা আবুল কালাম আযাদ ওরফে বাচ্চু রাজাকারের ফাঁসির আদেশ দেওয়া হয়।
d7a4a1da04	23291	কৃষকশ্রেণীর সহিত
d7a4b852ac	d9081	দৈনন্দিন জীবনযাপনের জন্য
d7a4ca682d	355c1	বিশ্বব্যাপী মূকাভিনয় দিবস হিসেবে
d7a547b03b	2bc73	খাটের তলা থেকে
d7a59b0eff	a4750	এ ছাড়া ছবি সম্পর্কে
d7a5ad9b63	7d3e1	কিরূপ আচরণ কর্তব্য
d7a5b7c3f6	80be1	রিমান্ড আবেদন করা হয়নি’
d7a5c7220b	1a2a1	ভাল লাগা
d7a63e4bf8	bd576	খুলনা সদর থানার ভারপ্রাপ্ত কর্মকর্তা
d7a66084fc	4ea73	তারা তাদের গান
d7a6c2f71d	93080	দুপুরের দিকটা
d7a6ffa9f5	ab946	৮৩ বছর
d7a716e56e	404ee	গোপনে বিয়েটা সেরে ফেললেন
d7a74225f9	d82d9	সহযোগিতায় বাংলা একাডেমি
d7a772344d	f0f95	নামিসার দাবি
d7a8494061	cd3ac	শেষ পর্যন্ত নতি স্বীকার করে
d7a86ea2d6	239f7	৩ হাজার ৯৬৫ টাকা
d7a88dae99	d2faf	দৌড়ে আসে লুৎফা
d7a89a820d	f2097	আজ বাঙলার ও বাঙালীর
d7a8b596f9	c8f7f	ওর পরনের মোটা বাইনের শাড়িটি
d7a986f184	932bb	মৃত্যুর পরদিন সকালে
d7a9f37c1b	8c07c	ঠিক ওরকম এক পতাকা
d7aa9fab63	e03fc	যাবো কী করে
d7aab963ce	e6203	গ্রামীন ব্যাংক নিয়ে
d7ab45def6	93080	পুলিশের কাডার্ভ ভ্যানে
d7ac85a353	2d98b	জানান যুগ্ম-কমিশনার
d7ac9654ae	d82d9	কলেজের প্রধানগণ
d7acacaae3	25117	বাংলাদেশে হঠাৎ করেই পেঁয়াজের অগ্নিমূল্যে ক্ষোভ বাড়ছে জনজীবনে।
d7ace757d7	4c1eb	বন্দরে বন্দরে আটকে আছে
d7ad4163a2	80539	তেমনই আছে মুসলমান বুদ্ধিজীবী
d7ad5b79bc	698ff	তিনি খোলামেলা আলাপ করেছেন
d7ad88fb92	80539	রাত ১১ টার দিকে
d7ae8c19ad	4a918	পাবেন না আইপ্যাড ভার্সনে
d7ae940061	4c1eb	প্রশাসনকে মামলা ও
d7ae9d373f	68549	নিরঞ্জন কি মরে গেছে
d7aea85c50	f7a7f	সেই থেকে পাতকুয়াটির
d7aeb768bc	ce775	এলাকা ত্যাগ করে
d7aefc4ad0	4fc91	আমার এপিটাফে লিখে দিও
d7af6c5b5f	c6848	আনসার রাজি হলেন
d7af8f803d	cfc65	৬৪টি সাদা-কালো
d7b0381ecc	7b103	স্পষ্টভাবে বলা আছে
d7b09541ae	bfac7	সেই পটভূমিতে ইউরোপীয় ক্রেতা প্রতিষ্ঠানগুলো এই পদক্ষেপ নেয়।
d7b0b50ab1	7b60a	অজু বা বাথরুম সারার জন্য
d7b0e26076	29bab	সে অনেকটা পথ হাঁটে
d7b1180fab	b9a81	শান্তনু রাজার
d7b17dc080	cc9fd	সমস্ত সামাজিক রীতিনীতির ভিত্তি হচ্ছে
d7b1ae285e	2fc12	ঘুম ভাঙা
d7b1c69e03	6da0a	আমি তো গল্প লিখিই নাই
d7b1da80b5	39dd0	আর যে রাজকন্যা নেই
d7b1f3287a	85430	এবং আশেপাশের এলাকায়
d7b1f795fc	0633a	সব একত্র জড় করিলাম
d7b2319261	bcaa8	এর নির্মাণকাজ শুরু হয়
d7b2ee290e	9065c	যেসব সরকারি অফিসগুলোর
d7b2f72c08	2ecf8	সোনা মিয়া ও তার
d7b30713eb	d2faf	জালিয়াতির মাধ্যমে
d7b30a58db	a8710	সরাসরি নিয়োগের কাজ
d7b30ca05c	195f7	তা নিয়ে স্বাস্থ্য অধিদফতরের
d7b32aa79d	35ef3	দেবতারা আকাশ থেকে
d7b3aefbbf	49543	৪০ হাজার ২৭২ টাকা
d7b3db36bc	16877	সমু চৌধুরী, ইরিন প্রমুখ
d7b43599b8	05901	পোশাক শ্রমিক তৈরির
d7b49bae8e	6ee5f	সিথানের কাছটাতে
d7b5203ab4	da6f0	তারা কারখানা চালাবে না
d7b527d2b6	33814	এ অভিযোগে তাদের পরীক্ষার হল থেকে বহিষ্কারের সিদ্ধান্ত নেয়া হয়।
d7b5ab9243	239f7	মার্ক্সীয় অর্থনীতিতে
d7b5ba3269	2396d	মডেল হয়ে
d7b6ebf43c	7027a	রবি আরও জানায়
d7b77d34eb	16a17	ব্যবস্থাপনা পরিষদের
d7b78ce42c	5b13f	দরজার বাইরে সবসময়
d7b7b01fd4	ce180	কারণ সংবাদ মাধ্যমে
d7b7bfcf37	32b3e	বেসরকারি টেলিভিশন
d7b8c8bc5f	bc81e	ইহসানুল করিম জানান
d7b8cbe55e	eecdd	উত্তরণের দায়িত্ব আমাদেরই
d7b8eab35b	2909b	কেন না, হিত, ধর্ম, যশ হইতে
d7b936e276	9d46f	অপমাণিত সিনথিয়া
d7b9436379	82926	একটি স্বাধীন সংস্কার
d7b9af3159	ca088	নারীদের যেনো
d7b9b0e8a7	a4750	ফেলে দিয়েছিল
d7b9b2f3f8	f143a	তার কক্ষটিও ছিল
d7b9fe0abc	1e7c7	টেকটিউনস
d7ba51805c	948d3	অর্থনৈতিক অগ্রগতি নিশ্চিত হবে
d7ba7de80d	fd880	যান চালাচল বন্ধ থাকে
d7ba90c7a6	f4ba7	ঐ সব এলাকার
d7baa3c637	e68af	হৃদয়ের ঝুলন্ত লাশ দেখতে পান।
d7bac32c90	7e191	দোকানের বাইরের অংশে
d7bbe5badd	cc9fd	এটা স্বাভাবিক
d7bc3e1d1a	e2ff7	ওর ধারণাই ঠিক
d7bcbf406e	95907	আনুষ্ঠানিকভাবে
d7bec0d38d	0a7a0	১৫০ ওয়াটের
d7bef664f6	3bea8	২টি মোবাইল সেট নিয়ে যায়
d7bf0b1eb3	66c6b	পরশুরামের গল্প
d7bf53fa2c	91223	এঁদের হতে হয়েছিল
d7bf67990e	b78ec	মঙ্গলকাব্যসমূহ এবং বৈষ্ণব সাহিত্যে
d7bf68f204	f837a	মতামত দেন
d7c0a22abe	aabe7	কিছু হলো না
d7c146da8c	9d46f	আগুন ধরে যায়
d7c1c26937	bf530	অন্যতম আসামী
d7c1cd168c	d2faf	এসব উসকে দিল
d7c28e9e07	5dd61	নির্বাচিত হতে যাচ্ছে
d7c2a9a03a	3bea8	এক পাল গাধা নিয়ে
d7c30d5b89	f837a	কেনাকাটার সুবিধা
d7c3888233	ea8fa	নিজের সংস্কৃতি বলে গ্রহণ করে
d7c3d5c4b8	5cb47	নেতাদের বক্তব্য
d7c4409861	23291	সালোয়ার কামিজ পরার
d7c443232f	c7a89	নিরপেক্ষ হওয়া কঠিন
d7c4806d82	0606d	কি করে ঢুকেছিল
d7c4d05c7a	7b900	আদালত শুধু সন্তানের
d7c53f5206	39dd0	তা খরচ করতে পারেন
d7c6dac967	77f82	সম্মেলনে উপস্থিত ছিলেন
d7c6fa22bd	321b6	আনন্দ উল্লাস করেছে
d7c72555b7	0c39f	ক্ষতিগ্রস্ত কৃষকদের
d7c751f119	a06a1	অগ্নিদেব বিরাজ করিবেন
d7c7541139	80539	আমার উদ্দেশ্য নহে
d7c79ccc6c	d2faf	একমাত্র বিশাল একটি
d7c7db7db2	4fd66	আমিষের সঙ্গে তুলনাযোগ্য
d7c807fe8d	58998	পর্যটকদের মৃত্যুর খবর
d7c83854ba	65e30	ইনডিভিজুয়াল টেম্পারমেন্ট কাজ করে
d7c852faf6	3f493	গৃহযুদ্ধের শেষদিকে
d7c8da5be2	274ee	দাসী আসিয়া বলে
d7c9bf4ff8	c0965	পুলিশ ও অন্য
d7c9e232ef	9c8dd	উপাচার্যের বাসভবনের সামনে
d7c9edcaeb	33aef	বিশেষ পরিচিতি
d7c9fb3b59	adf01	এখনও অনেকেই
d7cb08fce3	18a52	তুর্কীস্থান ইত্যাদি দেশের শাসনপদ্ধতি
d7cb13c9ab	a8710	স্নোবোর্ডিঙের ব্যবস্থা আছে
d7cb3b78dd	baa02	নানা ধরনের
d7cbdfcf95	c3cb3	অপরদিকে চরম বিপাকে পড়েছে
d7cbf88429	37e17	পা দেন পাবনা গার্লস স্কুল
d7ccbef5f5	47e8d	এই মেয়েকে নিয়ে
d7ccccc443	d5f7b	জাগাইয়া তুলিয়াছিল
d7ccce7e79	f6e55	শোনেভদ্রের ওবরা রেলস্টেশনে
d7ccf89613	dafb6	চিকিৎসা দেয়া হয়েছিল
d7cd08364e	f29bf	হালের কোরায় হাত দে
d7cd5f1210	7df87	বীজের মত ছড়িয়ে দিয়েছি
d7cd72ea03	d2355	আমেরিকার আদিবাসীদের
d7ce1c295f	cb627	সর্বপ্রথম আন্তর্জাতিক ভাবে
d7ce2273ac	18a52	দক্ষিণ ভারতে
d7ce4ee937	92f59	ভিটামিন এ ক্যাপসুল নিয়ে
d7ce7cbb39	65652	একটি মেয়ে সন্তানও চাই
d7ce9e79f7	a9a58	টিটকিরি দিত
d7cecff2ac	c0965	তবে বিভিন্ন নামে
d7ced20919	65e30	আমরা মনে করি বাংলাদেশে কারখানা নিরাপত্তার উন্নতি প্রয়োজন।
d7ceeeb32a	16877	তবু হচ্ছে
d7cf78777d	31f09	তবু এত একা
d7cf865983	e3d8b	এটা যদি কেউ ভেবে থাকেন
d7cf8fba48	8c120	গহন অরণ্যানীর মধ্যে
d7cf93a3c5	6da0a	এই নাও
d7cfbcd670	b9a81	বাবা ঘরের দিকে যাবেন
d7d0261c90	420df	নর্থ আমেরিকান অ্যালায়েন্স
d7d0c1c187	f2b7d	রোগবিস্তার সংক্রান্ত
d7d1579b93	75626	একাত্তরের মহান মুক্তিযুদ্ধে
d7d165b60d	59c73	কেন যেন বিরক্ত লাগে না
d7d1727a17	d711f	মাছের মায়ের কান্না গো
d7d21f0064	f837a	গ্রাসাচ্ছাদনের সুস্থির ব্যবস্থা
d7d23fe9e3	0606d	বিচারকাজ শেষ হবে
d7d26ef1fd	3ccf1	বিস্তারিত তুলে ধরা হয়েছে
d7d2b2ea4b	fcefa	মিন্নাত হোসেন বেলালের
d7d30c5a70	7f71c	সিরিয়া সংকটই
d7d32bef22	5d80e	বার বার তিনি
d7d397b3ae	e00db	নিয়োজিত থাকবেন
d7d3eb4265	3fc9d	বাবার ভাল লাগল
d7d4391ef9	e3d8b	খুব ভালো জানেন
d7d457f054	83c53	নির্দেশ করে না
d7d474ede5	730c3	টেলিভিশন অনুষ্ঠান
d7d49ed0d9	e6752	বিউটি চেইন ভিএলসিসি
d7d56edd20	4c555	তিউনিসিয়া আর মিসরের ক্ষেত্রেও
d7d586724a	65e30	আনা ইভানোভিচকে হারিয়ে
d7d5aae730	315e9	উন্নয়নশীল দেশে
d7d63bbb9d	6c17f	দেশ হিসেবে
d7d6672201	ced74	মূলত প্রযুক্তিকে কাজে লাগিয়ে
d7d68add93	ad050	পাওয়া যেতো
d7d6f282ef	d7a68	সদরঘাটের উল্টো দিকে
d7d70bde2a	7297e	উইন্ডোজ সেভেন
d7d724dfc8	98b81	১১২ ডলারের ওপরে
d7d7369d1a	bfac7	গণিত
d7d76c37fa	cfc65	মনে থাকে যেন
d7d78b05dc	92bd8	সে বাড়িতে আসতেই
d7d799bd53	5d80e	সব শিক্ষার্থী বই পায়
d7d7fdea58	9c8dd	মিজান সাহেব
d7d8243686	2695f	মেয়েদের জন্য বলে
d7d87d1c8e	ff1eb	নিয়ে যাওয়ার সিদ্ধান্ত নেয়
d7d8cde060	95907	হোটেলের ম্যানেজারের কাছে
d7d8ce7a5d	7027a	সরাসরি উড়িয়ে দিয়েছেন
d7d8ffa6cf	491a5	ইসলামের অনুবর্তী হয়ে
d7d9a4dd51	16877	সুন্দরী ক্রীড়াবিদ হিসেবে
d7da06ac4f	b8bdd	সবাই ছিলেন নারী
d7da352b0c	80be1	চক্কর দিতে শুরু করে
d7da9c331f	c5479	মডেল, এবং অভিনেত্রী
d7dae69985	194f5	সংস্থাটির তত্ত্বাবধানে বিশ্বের প্রায় ৮০ শতাংশ রাসায়নিক অস্ত্রের মজুত ইতিমধ্যেই ধ্বংস করা হয়েছে।
d7daee642e	3c897	সব দৃষ্টিশক্তি ও মনোযোগ
d7dafd3cb0	ad98d	অবৈধ করা হবে না
d7db5eca76	2ad74	মোট ৮৭ হাজার ডলার মূল্যের
d7db79bea2	3f875	তাকে আটক করা হয় বলে
d7dc5ac525	7297e	যা দিয়ে মা’কে বানানো হয়েছে
d7dc81dd4c	932bb	পাড়ি দিল
d7dcdd47e8	2aecc	শোকদিবস ও ছুটি ঘোষণা
d7dd510ad5	274ee	তার স্ত্রীর সঙ্গে
d7dd53da71	1b359	বিকলাঙ্গ হয়
d7dd5905e6	6973e	প্রভাব এসে
d7dd780bfc	a699c	বিমানকে লাভজনক করতে হলে
d7dd977c2e	dec2d	তাদের বিবেকবোধ দিয়ে
d7ddddc920	1cb75	রিকশা যাচ্ছে
d7ddfdf7ed	1de6c	এর আগে বাংলাদেশে
d7de0b465f	7d004	পরে ৩ জুন
d7de0c520f	7b900	শুদ্ধ মুসলমানের
d7de0ea285	4bd2c	জবাব দিতে নেমে
d7df4c3c13	1c618	তবে আল্লামা যা বলেছে
d7e05f8f50	8cf95	যুদ্ধাপরাধ মামলার বাদী
d7e06b2ef7	3f493	রাজনীতি সম্পর্কে
d7e11369e3	9fa90	রবীন্দ্রনাথের কিছু উক্তি পাওয়া যায়
d7e11d0983	2b883	প্রতীকি দেওয়া হয়েছে
d7e15eae5d	c6848	গণজাগরণ মঞ্চ
d7e182c086	7aed9	কাজ করতে হচ্ছে
d7e1d1e90a	f1ff2	তরিকুল ইসলাম বলেন
d7e230a27e	0d8c1	দেশটির নিরাপত্তা কর্তৃপক্ষ
d7e2336e4b	f143a	কাউকে জরুরী ভিত্তিতে
d7e27059fd	ff1c3	লাড্ডু
d7e2dbc411	ca088	আলোচনাও করেছেন
d7e2dbd37d	6c17f	এই আইনে বাংলা একাডেমিকে
d7e2f2f66a	16877	একটি প্লাস্টিক কারখানায়
d7e3a1abce	95907	শকুন্তলাকে বিজয় উপহার দিয়েছে
d7e3bbda60	66b3c	গাছ মাটি থেকে
d7e3f78a23	13b70	তারা তা খতিয়ে দেখবে
d7e443b4a3	616ec	ফুলে উঠে কেন
d7e4d02678	4f450	কিছু অদ্ভুত পাথর
d7e4ddd44f	f1ff2	ঠিক পর পরই
d7e4e4aa44	dae88	প্রসারিত ঠোঁট সংকুচিত হতে
d7e4e7d889	ad050	সেই ১৮৭১ সাল থেকে
d7e503f825	32c77	নিয়োজিত থাকবেন
d7e54d390d	8845d	তৃণমূল নেত্রী দোলা সেনও
d7e5a56877	07660	পুরনো স্মৃতি গ্রাস করে তাদের
d7e6ee1d21	153c9	বেশির ভাগটা সময়
d7e77d972d	554fe	লালস উদ্বেগ
d7e797d2c4	430b2	ডাকত এ নামে
d7e7b34b4d	4e900	বিভিন্ন অস্ত্র নিয়ে
d7e7c365fe	75626	যুদ্ধ শেষে
d7e7d2271d	554fe	তা সহ্য করব
d7e8b604b7	cc18a	আবেদন করেছেন তিনি
d7e996b19b	2bd99	ভোট দিয়ে মিস্টার ফাহমি বলেন
d7eab74bef	3fc9d	অর্থনৈতিক চিন্তাভাবনার
d7eb296323	ee852	ত্বকের নির্জীব ভাব কাটিয়ে
d7eba5fd36	ff1eb	পিটবুল
d7ebe4f263	6973e	১৪ জন জঙ্গি রয়েছেন
d7ec3ca03e	f29bf	ঋণের প্রবৃদ্ধি
d7ecb50764	7d3e1	পাপের প্রায়শ্চিত্ত
d7eceabb1e	5639c	প্রকাশ করেছেন
d7eda1c1b0	7df87	তিনি দুর্নীতির অভিযোগে গণআন্দোলনের মুখে ক্ষমতাচ্যূত হন।
d7eddd192c	17ca1	প্রধান দল নির্বাচক টেনডুলকারের সাথে
d7edf17195	7f2ef	ফান পিকচার
d7ee5b35a8	1e7c7	দুটোর বেশি মেডাল
d7ee6f420c	767ff	প্রধান প্রশাসনিক
d7eeec4915	e2f12	সব সময় সহায়তা করে আসছে
d7ef14b1a8	22096	তখন রাষ্ট্রের প্রধান নির্বাহী
d7ef352d89	d136b	ওটাকে কখনো
d7ef355778	11bd2	এ অনাকাঙ্ক্ষিত ঘটনার কারণে
d7ef87c9fe	0633a	ইসলামিক বই
d7efb62bc9	420df	আমাদের অবস্থা দেখিয়া
d7efb844da	7b900	তাকে যৌন লাঞ্ছনার
d7efbdd2dd	3d17c	গানে কণ্ঠ দেন
d7f09737e3	1b359	একই গ্রামের শান্তিরঞ্জনমন্ডলের
d7f0e51e85	698ff	বল দেখি ভাই
d7f17ce78e	52f27	কঠোর ব্যবস্থা নেয়া
d7f195d14b	9e923	বাংলাদেশী অনুপ্রবেশের প্রসঙ্গটা তোলে
d7f1c483f9	92bd8	এখন যদি কিছু বলি
d7f1f3e697	69449	জার্মান কর্তৃপক্ষ
d7f2a24c0a	9e923	তার বক্তব্যে
d7f2c34a21	7d3e1	কাজেই চলে গণগ্রেফতার
d7f2d9f33a	809cd	আমার কাছে প্রকট মনে হয়
d7f2dbe484	69d9a	তার প্রেমের সম্পর্ক ছিল
d7f2e6cb80	b4ea7	সয়াসস, পিঁয়াজ
d7f35a6f92	086dd	সাক্ষাৎকারের জন্য
d7f37c04d5	9351a	অন্য গ্রুপগুলোকে
d7f3e79ced	3ec4d	উপন্যাসের জন্য
d7f4a7c4c0	c6848	একটুও দেরি না করে
d7f50544e5	e03ce	আমার পাজামার পকেটে
d7f541a893	f2097	একটু ভাল করে দেখুন
d7f58ee494	85430	ফারিক আব্দুল হামিদের বাড়িতে
d7f5bbc990	2aecc	জনসংখ্যা বেড়ে যাওয়ায় এখন একজন কর্মী অনুপাতে পরিবার হয়েছে বারোশ থেকে পনোরোশো।
d7f5cce670	287bd	বৃহস্পতিবারের মহড়া
d7f6391cac	5b13f	ও একটি পৌরসভা এলাকা
d7f711bff4	15a75	ভুবন
d7f7717801	91230	জাতিসংঘের পরমানু পর্যবেক্ষণ বিষয়ক সংস্থা
d7f863b421	089ef	তার মাথা থেকে
d7f89150a0	2d98b	বলো ত তুমি
d7f8c58972	29d44	গত মাসে হাসপাতালে
d7f8f0a242	84145	পড়াশোনা শেষ করছিলেন তিনি
d7f9448a15	9092b	শত্রুর মনোবল ভেঙে দিতে
d7f9530367	ad050	পাশাপাশি দ্রুত সময়ের মধ্যে
d7fa198634	37d7e	এটা আর ধরে রাখছে না
d7fa687927	6ab59	ছাড়া পান
d7fa96a4da	eb179	মহিউদ্দিন খান আলমগীর
d7fabb068b	9c8dd	তাদের কোন আগ্রহ থাকলে
d7fb7ffc7d	7b60a	অভিনয় থেকে অবসর নেয়ার পর
d7fbb40878	b9122	সাহাবউদ্দিনের মত
d7fc415374	43fc0	আমি পিঠ কুঁজের বদলে
d7fc43847a	554fe	১৯১১ সালে তাঁর সুবিখ্যাত গ্রন্থ
d7fcaf9ac1	a4750	পলি
d7fcf48622	ca088	মো. পিয়াস আহমেদ
d7fd23cd98	c5dc8	বিচার বিভাগকে
d7fd382580	a4750	কই মাগুর
d7fd3dabf7	a1d4a	মার্কিন ইন্টারনেট
d7fd594a12	9d7bf	ঘটনাস্থলে থাকা
d7fdb6df6b	b78ec	ঘসতে ঘসতে বলেন–হ যাই
d7fdcbfebd	239f7	মাতৃভাষা হচ্ছে সেই ভাষা
d7fdea5a66	7297e	যে জিনিসটা প্রায়
d7fe91fc79	6aac8	জানাজায় শামিল হতে গেছেন
d7feac70db	ef4f8	এই চার জন
d7fec52a07	b7be9	ম্যানেজার বিষয়টি
d7fee9350b	91230	কোনো দর্শনে পরিচালিত হবে
d7fefa3474	4bede	প্রকাশিত হয় ১৯৮১তে
d7ff17d689	d3e06	ভালোবাসা দিবসে
d7ff343e96	75f18	অনুসন্ধানী প্রতিবেদনের
d7ff8e495f	6fb36	সমালোচনার প্রত্যাশা করেন না
d7ff8fe069	6973e	টিউটর
d7ffa318d5	b78ec	যে পরিমাণ উন্নয়ন হয়েছিল
d7ffe99a0b	ad050	আজকে ফ্লাড লাইট
