bf00069ec7	e9589	মোবাশ্বের আলী
bf8bed7ec8	f143a	প্রধান করতে পেরে
bf8ca45f3f	ff1c3	কুকুর
bf8d7a99f2	31f2a	সামগ্রিক বিষয়টি
bf8e277a97	09f0d	এই ধুলোবালির কলকাতায়
bf8e2e24d3	06ea3	অপরিবর্তিত রয়েছে ২৯টির দাম
bf8f24b225	d9081	সূত্রপাত ঘটে
bf8f61da08	e6203	ঢাকা ও চট্টগ্রামের সঙ্গে
bf8f8590b6	76329	থেকেই মূলত আধুনিক
bf9034a8c2	7a227	মেলানো হয়েছে
bf9050a2f1	c41d8	আর্সেনালের পরেই আছে এভারটন
bf9061957c	2ee04	বন সংরক্ষণ দুরূহ কাজ
bf909a8252	21e54	প্রতিবেদনটি দিয়ে আসেন
bf90a23a10	71522	বেশ ভালই চালাচ্ছ
bf90a78be6	f0f95	আগুন দেয়ার চেষ্টা করলে
bf90c73f1c	a274b	এ ভ্রমণে জনপ্রতি খরচ হবে
bf9128003d	24f73	অবতার বলে
bf9169d446	2bd99	একটি আমার এক
bf916ce4fc	91b16	চালু করতে চলেছে
bf919f1fc1	6973e	তবে ফিরবাম
bf928d9660	4a918	বাংলার কিং খান
bf92911f64	2bc73	দ্রুত সরে পড়েন
bf92b1cfb4	16877	কথা হলেও
bf931921b6	68549	নতুন পোশাক
bf938972a3	ec91c	অভিযোগ প্রমাণ হলেও
bf949694c5	d2d71	অকারণেই খাতির করেছে
bf94a55e59	536d9	যান চলাচলও বিঘ্নিত হয়েছে
bf94feefae	98b81	তাঁর কবিতার
bf95d91c9b	a43b5	পাঁচকড়ি দে ১৮৭৩ খৃষ্টাব্দে
bf96219259	e89bb	ঝি
bf9686bd31	db735	মেঘের উড্ডীন দ্বীপে
bf96bf6313	4164f	মাইকিং চলছে
bf9769f801	c3cca	বিশ্বস্ত থাকার জন্য
bf976eeac3	b2a62	৫০ শতাংশ বেড়েছে
bf97cec249	59c73	ব্রাজুকা
bf97f457a2	eecdd	আজ সামনে দেখে
bf98198715	58998	বালকটির উপরের অংশের সঙ্গে
bf98ab457a	430b2	তুমি এই কৃত্যাকে সংহার কর
bf98b8411e	92f59	উর্ধ্বশ্বাসে দৌড়িয়া
bf9909c0e1	430b2	জাপানিরা এবার
bf99605faf	d9ba9	রাষ্ট্রীয় শোক চলছে
bf9a23928d	17ca1	ছটফট করছিলেন শাহীন
bf9a878ffd	ce180	সূত্রাপুর থানায়
bf9af4a5ab	6973e	মশলার ঘ্রাণ গড়ে রাজ্যপাট
bf9b3c4ed1	60f77	আপনার মনের মাঝে
bf9b913c98	9e923	সাংবাদিক সমাজের একটি অংশ
bf9bdef14c	239f7	এটিকে হতাশাজনক বলে
bf9c6e0a1f	4fc91	কথাবার্তা বলতেন
bf9c81552c	9351a	জানিয়েছেন ইনস্টিটিউটের অ্যাসিস্টেন্ট রেজিস্টার
bf9c9af6bc	11915	আগামী ২৮৮ দিন ধরে
bf9c9ec9db	256f5	১৪ বছর বয়সী ওই কিশোরী
bf9cb114b3	9d398	একমাত্র কারণ হয়ে দাঁড়ায়
bf9cdc13cd	09f0d	ঋণ পরিশোধের পক্রিয়াও
bf9ced91af	9282d	তিনি পরশুরাম ছদ্মনামে
bf9d68bcc7	6d129	সেই সময়
bf9d961aed	2840e	এই ঘটনায় সোমবার রাতে
bf9de71220	ff1c3	শনিবার সকাল থেকে
bf9df54f5d	7351e	আগরদাড়ি এলাকায় গেলে
bf9ea1f5b2	e8dde	কি রে, যাইবি না তুই
bf9f0a0b86	a1d4a	তৈরি বলেই মনে হয়েছে
bf9f2ef31a	b8ed8	ওয়াশিংটনের মেয়র ভিনসেন্ট গ্রে জানিয়েছেন, তার শহর এর আগে এমন ঘটনার মুখোমুখি হয়নি।
bf9fa8346c	f0f95	দ্রুত পরিবহন শাটল সেবা
bf9fa9f1ae	f658d	বৈশিষ্ট্য লিখ
bf9fdf7421	18a52	আলোচনা অনুষ্ঠিত হবে
bf9febcf28	086dd	ব্যাকরণের প্রচুর মিল আছে
bfa053c677	f2780	রাজধানীর খিলগাঁও রেলগেট এলাকায়
bfa093811b	76329	পুনর্বাসন প্রক্রিয়া
bfa1126620	75626	তাঁর চিন্তাধারায়
bfa136d3be	b08d0	প্রধানমন্ত্রী সহকারী একান্ত সচিব
bfa14c0861	0696e	বাণিজ্য সংগঠন রানা প্লাজা ঘটনার পর
bfa1a6f995	ad2a0	ব্যক্তিগত গোপনীয়তার চরম লংঘন
bfa1aff78e	194f5	রাজস্থানের পক্ষে
bfa1e3693e	24f73	সীমাহীন সমারোহ
bfa20ed7f5	c11b1	পণ্য ও সেবা প্রদর্শন করছে
bfa2429876	b9a81	হালকা বাদামি রং
bfa28e3166	7c272	মার্চ মাস থেকে শুরু হওয়া
bfa2b6274d	d1b12	এমনকি তিনি দলটির
bfa2ec5f6f	93d3b	ও জবরদখলমূলক কাজ বলে
bfa3038a47	43199	মুর শহরে
bfa35cf157	33814	অর্থমন্ত্রী এ এম এ মুহিত বলেছেন
bfa399e8ae	01e91	ঢাকার জুরাইনে বলে জানিয়েছে তারা
bfa3a17646	2fc12	ঔপন্যাসিক, সম্পাদক
bfa486532a	25696	তথ্যমন্ত্রী বলেন
bfa494f018	bfac7	আবার অনেকে বললেন
bfa4c01556	536d9	শেখ রাসেল নামে
bfa4f177bb	73629	কান পেতে
bfa5386abe	a46e2	তাঁর বিশাল অফিসে
bfa5651a4b	c7a89	ইলেকট্রনিক্স অষ্টম সেমিস্টারের
bfa565bc51	7f2ef	সংঘাত অনেকটাই দৃশ্যমান
bfa5804c46	6da0a	তথ্য প্রেরণ
bfa5bb0bf0	f837a	সূর্য থেকে সেই আলো
bfa6113ce9	eecdd	দিন-রাতের বেশির ভাগ সময়ই
bfa63f70aa	0606d	এই যদুসম্ভূত বংশই
bfa646cd5f	e6d83	১৫শ’ টাকা কমে
bfa65d34cb	43fc0	তিনি দুর্নীতির অভিযোগে
bfa667cf02	6dff5	এটা খুব গৌরবের ব্যাপার যে
bfa6ba2b8c	8c120	ফলে মাজারটি
bfa6ca5b22	f2780	কোমর হইতে পা অবধি
bfa70bff78	2556b	লন্ডনে এসেছেন
bfa7256060	c7705	কেন্দ্রীয় সরকার তৈরি হয়েছে
bfa7504ac0	80539	সাংস্কৃতিক প্রতিষ্ঠানের জন্য অপরিহার্য
bfa762e1f0	bf530	অনুষ্ঠানে তিনি বলেন
bfa77c09d8	f0f95	বড়ভিটা গ্রামের বাসিন্দা
bfa7a94548	a274b	বিরাট ও আনুশকার
bfa7bf408f	68549	চ্যাম্পিয়ান হন
bfa7f6fd7c	420df	আর্সেনিক, সীসা বা পারদে
bfa899725b	b78ec	রাজশাহী থেকে ঢাকা অফিসে
bfa8d4ea9d	aab0f	বনভূমি ভরে টেকসই
bfa9cb6c22	07660	দার্শনিক, ধর্মবেত্তা ছিলেন
bfa9da172c	58998	বাধ্য হতো
bfab13b5f4	47e8d	একটা স্রোতের
bfab4f6291	cfc65	ঘটনাস্থল থেকে পাওয়া ছবিতে দেখা যাচ্ছে লাইন-চ্যুত ট্রেনটির তেরোটি বগিই লাইনের পাশে ছিন্নভিন্ন হয়ে ছড়িয়ে ছিটিয়ে আছে।
bfac447905	60b9d	সম্মান আশা করাটাও ভুল
bfac464451	d9081	অনেকে এই অভিনেতাকে
bfac9b200c	4f2ae	এই ফাঁড়িগুলো
bfacd62d2f	f1240	আফগানিস্তান, শ্রীলঙ্কা বা ইরান
bface0abcf	3bea8	সুযোগ হয় না
bface5c9cd	b8bba	তার বাড়ির সামনেই একটি গাড়ির ভেতর থেকে বন্দুকধারীরা তার ওপর গুলি চালায়।
bfad05553c	b5fdc	শনিবার তাদের
bfad134549	a06a1	বল জড়িয়ে
bfad7e9873	7e191	কিন্তু দেখি, বেদে আছে
bfadae9f28	68ab7	কার রাত্রে আমরা
bfade0a3a3	3fce2	পুরুষ প্রেমিক
bfae75c820	5d12f	নাইজারে ৭টি বিভাগ
bfaeab0a22	f2780	বস্তুকণার মধ্যকার
bfaf02ce8f	c463d	তাকে খুঁজেছি তাজমহলে
bfaf65d3c8	7e1d5	দোকান মালিক সমিতি মঙ্গলবার বলেছে ক্ষতি কাটাতে হরতালের মধ্যে আধাবেলা ব্যবসা প্রতিষ্ঠান খোলা রাখবেন তারা।
bfafa2d6dd	f837a	তাই একজনকে মরতে হয়
bfb02517a3	16877	বিবিসিকে তিনি বলেন
bfb0641e30	7b132	অভিনয় করবেন শিপন
bfb0710e88	0d8c1	সম্পত্তির উত্তরাধিকার করতে পারেননা
bfb07e47bc	f1ff2	একটি বিশাল সংগ্রহ রয়েছে
bfb0841041	9c8dd	বিদ্যুৎ বসলেও চলবে
bfb1017d71	e2c11	দুশোর বেশি যাত্রী নিয়ে
bfb1a20741	cb842	এবং জেলেদেরকে
bfb1af5748	e754e	কেবল শরাফ মামা
bfb1c5ef03	1c618	আমাদের কিছু প্রস্তাব
bfb1e72014	73629	ইন্ডিয়ান ভিসার তারিখ
bfb2b39cd7	7f71c	ফোন করা হয়েছে
bfb2dc67ac	28bb3	যাহা ছিল, তাহাই আছে
bfb2fde8c7	6b437	গল ব্লাডারে
bfb35fd42f	3ec4d	উদ্ধার অভিযান
bfb39385ab	5e80b	আসলে স্যার সৈয়দ আহমদ
bfb459dd80	e2ba2	আশির দশকের শুরুতে
bfb55f2949	61820	এই শর্ত আরোপের ক্ষমতা
bfb5b984ab	b618b	ফিরে যাওয়া যেতে পারে
bfb5ba3364	4ea73	দেখা যাবে শিপনকে
bfb6052302	d7a68	বাকি ম্যাচগুলো হবে
bfb61a2e19	98b81	নায়াগ্রা জলপ্রপাত
bfb692078b	194f5	লাঠি হাতে
bfb6a984b6	7b900	স্পষ্ট দেখতে পাই
bfb6d04496	e55de	সময় বেঁধে দেওয়া হয়েছে
bfb6d2732d	2b883	সে যদি সরকার সহ
bfb7024955	2ad74	বললেও তারা
bfb702bd29	aab0f	সারা বছরই কমবেশি পাওয়া যায়
bfb711eb18	77f82	ইজারা দিয়েছে সরকার
bfb7205d17	4f2ae	নির্বাচনী আচরণ বিধি
bfb73ae0aa	5dd61	অভিভাবক বা শিক্ষকরা
bfb75056ef	0a7a0	অধিকার করেন
bfb7ad3b8f	14d25	সবচেয়ে খ্যাতিমান হয়েছিলেন
bfb7afeaab	698a4	প্রায় ঘণ্টাব্যাপী বৈঠকে
bfb7cb7228	420df	উত্তর কোণে
bfb8293d78	10a9f	তাদের মৃতদেহ পাওয়া যাচ্ছে
bfb83c63e8	5e80b	তার সঙ্গে পালিয়ে যেতে
bfb8b6cb56	c4973	আর ফিরে পাচ্ছেন না
bfb939fb1d	a43b5	প্রাণের আকাশে উধাও হলো
bfb9e0769a	5a61c	আদৌ উঠে আসবে কি না
bfba7d5365	ba2f6	মি. আলমগীর বলেন
bfbabb9b13	4fd66	এখন কেবল এই কমিশনে
bfbb33434e	7351e	সরব হয়না বলেও
bfbb951b3e	69449	অর্থ না হলে
bfbce4ba42	ad98d	পরিচালক রাফাত বলেন
bfbcfae6c2	7f71c	অ্যাজটেকরা মাইকার
bfbd863aa4	f29bf	আলভারেজের সমাধির ওপর
bfbdb51be5	9b864	পূর্ণব্রহ্ম নারায়ণই জন্মগ্রহণ করেছেন
bfbdfdd84e	52f27	আমার তো বিশেষ কোনো
bfbe0f93b8	06736	নামাজে দাঁড়ান বাবা
bfbea1200e	0bace	রকি ও বিমল মারা যায়
bfbeb251ed	da6f0	জসীমউদ্দীন লিখিয়াছিলেন
bfbeeda058	91223	তার জায়গায়
bfbef444dc	e43d4	অবসর গবেষণায়
bfbf50a3ac	db181	এই ধরণের কুরুচিপূর্ণ বক্তব্য
bfbf5c410b	3bb15	আদিলকে আটকের পর
bfbffe1aac	1de6c	আয়োজন করা হয়নি
bfc009fdaa	1a4a9	তাদের আলোচনায় প্রাণবন্ত ছিল বৈঠক
bfc15ffbdb	3fc9d	চাষী নজরুল ইসলাম পরিচালনা করেন
bfc22e6a53	dec2d	কমপক্ষে ২০টি গবেষণাকেন্দ্র
bfc261c6ec	f2097	বাবা টেবিল সাফ করছিলেন
bfc29d79f9	d82d9	২টি ছক্কার সাহায্যে
bfc2a187c4	16877	বৃহস্পতিবার ঢাকা
bfc2c92312	6b437	আশ্রয় নেয়
bfc2ff69f9	c41d8	এত কষ্ট করে
bfc372d382	a3a6d	তাই আমাদের উচ্চ আশা
bfc3c0c510	2ee04	ঈদে পূর্ণদৈর্ঘ্য প্রেম কাহিনী
bfc3dec9f9	13b70	এতে কি সেদেশের
bfc4329875	d2d71	ইংরেজি ১৯২৭ সালে
bfc4825bf4	77f82	দেশ ছেড়ে যাচ্ছেন
bfc48b2584	6d129	তিনি আর এটি
bfc4b87f33	bd576	নবীন-নীরদ-কোলে
bfc4c33ca0	7b103	ঢল নামে বঙ্গভবনে
bfc4cc148f	d5f7b	না পাওয়া পর্যন্ত
bfc4f087a2	56508	মোবাইলে ক্ষুদ্রঋণ সুবিধা
bfc55321ce	23b22	সব রাজনৈতিক দলগুলোকে
bfc5617531	e3f89	বাঘা একগাল হেসে ফেলেছে
bfc59a2b26	bfac7	দেওয়াটাই হবে মূল উদ্দেশ্য
bfc5a7a7fb	a43b5	ডিসেম্বর ১০, ১৮১৫ থেকে
bfc630e127	315e9	চিকেন
bfc65c2618	5cb47	দা
bfc6610505	b8bf0	ফরিদ আহমেদ এর প্রতিবেদন
bfc6975c8c	256f5	নির্বাচনের ফলাফল চূড়ান্ত হয়ে যায়
bfc7216752	db735	কোন সরকারই এসব বিষয়ে খুলনার প্রতি সদয় ছিলেননা ।
bfc73a4004	69d9a	জনমত সৃষ্টিতে
bfc7ade45e	e754e	হিংসা আর দ্রোহের
bfc7c9042f	18460	সম্পৃক্ত করার কাজটি
bfc7d54c58	195f7	রাজপথে ব্যাপক সহিংসতা হয়েছে
bfc8002a1e	15a75	এর ১১ মিনিট পর
bfc8028979	80518	অনুদ্বৈপায়ন ভট্টাচার্য
bfc8408b76	17dcd	সাংবাদিকদের অনুরোধ করেন
bfc8a4eae7	9d398	কর্মকর্তা এখন চট্টগ্রামে
bfc9054158	93d3b	তাই আমরা পিছিয়ে পড়ছি
bfc931d947	404ee	সত্যজিৎ রায় নির্মিত তথ্যচিত্রটি
bfc938ce53	23291	আমি সুকান্ত ভট্টাচার্য
bfc968b856	91223	যাদের বেশিরভাগই
bfc9a1ee51	e9589	চরিতার্থ করার উদ্দেশ্যে
bfc9a2a9d5	b2a62	জবানবন্দিতে বিষয়টি উল্লেখ করেন
bfc9cd82f0	aabe7	নির্বাচনের সময়সূচী
bfc9f24ff0	c41d8	প্রথম আইফোনের
bfca4d0b8d	60b9d	বিপুল সংখ্যক নারী
bfcaab981f	d5213	আমি ধর্ম বুঝি না
bfcac6bc7a	491a5	বলতে হয়
bfcad3ebac	32c77	মোকাদ্দেস আলীর ছেলে
bfcb1ec1f7	2556b	একটি হাইড্রোজেন পরমাণু
bfcb25200b	c0965	শর্ত অনুযায়ী সংগঠনটি লংমার্চ নিয়ে ঢাকায় এসে মতিঝিলে শনিবার বেলা ১১টা থেকে বিকেল সাড়ে পাঁচটা পর্যন্ত সময়ে সমাবেশ করতে পারবে।
bfcb37b6c2	fd880	স্বাগতিক বাংলাদেশ
bfcb43195a	93080	শিরোপা জয়ের গৌরব
bfcb5d2ee4	3faff	মেয়েরা হাঁটা চলা করতে
bfcbe56a18	b9a81	জন এফ কেনেডি
bfcbeb75f1	ce629	একইসাথে কারখানার কর্মপরিবেশ নিয়ে
bfcc64bf21	d8c80	বোরকাবিহীন কোনো নারীকে
bfccd9274f	f0f95	শ্রমিকদের অর্থ দেয়ার সামর্থ্য
bfcd64baa5	ad69a	তিনিও মৌখিক পরম্পরায়
bfcd9b3542	121bd	সন্ধ্যায় সূর্যাস্তের সাথে সাথে
bfce13128b	9065c	মর্যাদা প্রাপ্তিতে
bfcef45ffc	8edea	উদ্ধার করার জন্য
bfcf1e0278	fda1a	অ্যাম্বুলেন্স ডেকে আনার জন্যে
bfcf2ff23f	194f5	আমাকেও তারা ধাওয়া দিলে
bfcf39715c	88654	চিকা
bfcf66a792	2bc73	সত্য সত্যই কি আমার
bfcf690182	1e7c6	হুড়োহুড়ি শুরু করলে
bfcf7ab594	d9b11	দুর্নীতি দমন কমিশনের আইনজীবী
bfcfbe96ba	8cf95	নীরবে তা সহ্য করাটাকেই
bfcfc3f18a	d82d9	পড়তির বাজারে
bfd03dd37e	93bf3	পরে দেয়া হবে বলে
bfd093589d	37e17	এবং সেখানে কে আসবেন
bfd1d9c343	0a7a0	কিংবা বন্দী অবস্থায় আছে
bfd2da7723	93080	পতাকা বানিয়ে
bfd3485c42	6c17f	গুজরাটি ভদ্রলোক
bfd368de46	75936	ইউনিয়ন করতে চাইলে
bfd398e9df	f0f95	তা আর হচ্ছেনা
bfd3f51d50	4e900	রাজনীতিবিদ ইমরান খানের
bfd4415f20	1652d	ঢাকায় মিরপুরের
bfd462b66d	d82d9	স্বাভাবিকভাবেই সে আসন পূরণ করেন
bfd4ec0ac4	52f27	অ্যান্ডি রুবিন
bfd5031927	9065c	পরবর্তী শাসকরা
bfd52f934d	554fe	কঠিন সাধনার মাধ্যমে তিনি
bfd565ae8b	4dd57	বাংলাদেশের মেয়েদের
bfd5dc6325	2de86	পুলিশ ফাঁড়ির এএসআই
bfd5f82398	9c8dd	প্রতিদ্বন্দ্বিতায় অবতীর্ণ হচ্ছে না
bfd6eb375e	321b6	বিশাল দলটি
bfd7174492	44322	কাব্য
bfd7260a96	e03ce	সত্তার কাছে
bfd73c609b	9e923	হরিপুর
bfd782b543	4fd66	গান গাইছেন
bfd7c41445	4486f	আমি চীৎকার করে উঠলাম
bfd7d8e63e	9f25e	শিক্ষকের কর্তব্য যে
bfd80e3567	b00ba	বাংলা ভাষার বিরুদ্ধে
bfd8334a0b	3ccf1	মাত্র দুই মাসের মতো
bfd8813a9d	3fb17	সবকিছুই বদলায়
bfd8d43a2d	e50f1	সাহিত্য হয় না বলাতে
bfd964cb88	c463d	প্রথম স্থান
bfdab4ec4a	e8dde	হত্যা মামলা করেছেন
bfdaf31693	33814	মানব পাচার এখন
bfdb38a12f	6e6fa	আবু হাফিজ বলেন
bfdb6221c9	f29bf	যদি প্রদানকারী ব্যক্তি
bfdba41e0d	2840e	অস্ট্রেলিয়ার প্রধান সমুদ্র বন্দর
bfdbb3c67b	ad69a	এদের একমাত্র আরাধনা
bfdbe91305	7e1d5	হার ছিলো
bfdc7ddeb3	a1d4a	কুমিল্লা মেডিকেল কলেজ হাসপাতালে
bfdcba6176	7027a	কারণ কথাবার্তা
bfdcec36c2	2bc73	ওয়েব জায়ান্ট গুগল
bfdcef1027	75626	হামিদুল ওই গ্রামের
bfdd3291cd	24aed	ড. অমিতাভ ঘোষের সাক্ষাৎকার
bfdd887daf	52f27	বললেন না
bfdde34bc6	0606d	পড়া যাক
bfde3bc93e	0c39f	খাবারের পদ তৈরি করেছেন
bfde66b87d	a916a	শ্রমিকদের দেয়া হয়েছে
bfde72da6c	8ba2b	রাজধানীর বিভিন্ন স্থানে
bfde888482	f1240	সে আকাশের দিকে
bfdea946c1	ab946	ভাঙচুর করে অবরোধকারীরা
bfe0061001	52578	হাতের কাজ করা
bfe0290b3d	4237e	ছাড়পত্রর অনেক কবিতার কথাই
bfe02c63bf	f2097	উপন্যাসে তথ্যগত ভুল
bfe0b3ccb5	31f09	ককটেল নিক্ষেপ করেছে
bfe132128b	10a9f	ছড়িয়ে ছিটিয়ে ছিল
bfe17e7b0f	9c8dd	ব্যাস কাজ শুরু হলো
bfe2167c07	23b22	এই খাতে সুশাসন প্রতিষ্ঠার লক্ষ্যে আন্তর্জাতিক শ্রম সংস্থার সহযোগিতায় ত্রি-পক্ষীয় জাতীয় কর্মপরিকল্পনা গ্রহণ করা হয়।
bfe234d292	d8c80	ফুলগাজী থানায় নেয়ার
bfe26bf4e5	92f59	পূর্বোক্তোন অলিম্পিক বিজয়ীরাই
bfe28eee01	4fd66	বাঙালির সব অর্জনকে
bfe2e76c6d	93bf3	অ্যারোপ্লেনের মেকানিক হিসেবে
bfe301f471	13b6a	দেখা গেছে ভিন্ন চিত্র
bfe35617e8	91223	শব্দটি ব্যবহার
bfe37d0967	ea5be	কাঠের ডাইস, রং
bfe3fef49c	bfac7	সমুদ্রের ছবি
bfe4094450	4a67e	খারাপ মানুষ
bfe42c3896	17ca1	এক পর্যায়ে ভাগ্যের সন্ধানে
bfe436c2b8	e03fc	সবচেয়ে গুরুত্বপূর্ণ দৃশ্য
bfe536e3b3	29089	আমেরিকান চ্যানেল নেটওয়ার্ক এবিসি
bfe53b6227	7351e	ওই প্রতিবেদনে অ্যাকর্ড বলছে
bfe5acdab2	4fc91	পুরনো ঢাকার
bfe5e12b26	7027a	অসাধারণ ইনিংস দুটো
bfe61317c2	aab0f	ডুবুরি না থাকায়
bfe61cfde2	2c9c5	নানির উঠোন থেকে
bfe632e1fc	932bb	ওতেও মিল
bfe655083d	c2082	শাহজাহানপুরের বিষানচন্দ্র শেঠ
bfe65b8165	ab946	ধীরে ধীরে বিআরটিসি
bfe6a344fb	0d8c1	নিহত এক
bfe6c2b4af	693cb	দুই গৃহবধূ গলায় ফাঁস দিয়ে
bfe6fb3886	ab946	সবচেয়ে সফল বোলার
bfe75828b1	e7230	চাটা
bfe7fca5f7	71522	জন্মস্থানের খুব কাছে
bfe80ec4e2	f1240	বুধবার সন্ধ্যা ৭ টার দিকে
bfe855b60f	3ccf1	এসব ঘটনার পরও
bfe8c37100	2840e	জেল-জুলুমেও তাঁদের
bfe8c3f4ad	7ed14	গ্যাসের ৪টি স্তর
bfe903f37f	13b70	যেনো মুখে সাতদিন ধ’রে
bfe9179063	75626	মিঃ সোহরাওয়ার্দী
bfea02c6d1	a43b5	রিজার্ভ ১৯ বিলিয়ন ডলার অতিক্রম করে।
bfea0da4ee	d9081	নোটিশ
bfea146155	239f7	বিক্রয় হয়
bfea309f1d	39dd0	অ্যাম্বুলেন্সে বিশেষ ধরনের
bfea83d203	5a61c	এখনও তিনি
bfeaba9d0a	9b864	ছাইয়ের বস্তা আবার
bfeac4e6c9	4dd57	তিনি এবার ঢাকার
bfeaf6e33f	baa02	৩৪৫ কোটি ৮০ লাখ
bfeb71c4ab	54cdd	জল্পনা কাটেনি
bfeb79e595	6dff5	আসিফ
bfebe4c88a	2b883	ব্যবহার করেন নি
bfec4e259b	80e98	হাত উচিয়ে
bfec7e3dc9	ea5be	বিজেপির শীর্ষ নেতারা বলে এসেছেন
bfecab6ad3	1f974	অভিযান পুরোপুরি ব্যর্থ
bfed1e12b0	b8ed8	কখনো থাকে অমীমাংসিত
bfed37fe5b	2ee04	যে অর্থ লেনদেন হয় সিঙ্গাপুরে
bfed3be0a9	8406e	নারকেল দড়ি দিয়ে
bfedd0a265	4c555	সেখানে পরিবারের
bfee96c4ec	5639c	বাঙালিদের ছেড়ে যাওয়া
bfeeb22331	388c9	হরর গল্প
bfeeb28ec3	0d4cb	নিজেকে আটকে রাখল আজাদ
bfef1fbfae	0b7ca	বাংলাদেশের মানুষকে
bfef639eac	76329	বাঘটির বিরাট হাঁ করা মুখে
bfefd19d98	2bc73	আধুনিকায়ন করাটা
bfefe82bbd	b4ea7	এসএম আতাউর রহমান
bfeff462c4	0d4cb	কী করে অত দীর্ঘ সময়
bff00bc430	ce180	মোটমাট সাড়ে ছেচল্লিশটি পদ
bff015e489	2695f	উপনিবেশের কালে
bff042851e	520fb	শুধু কেউকেটাদের সঙ্গে থাকেন
bff0676c88	c0965	কুকুর মাঝেমধ্যে নিজের শরীর কামড়ায়
bff0beb747	d9817	নজর দেয়া যায়নি এখনও
bff0c5e1b4	0e637	হিযবুত তাহরীরের সাথে
bff0f4ac39	9b864	গণিতের ছাত্র
bff13e1fb7	47e8d	উদাত্ত আহ্বান জানাচ্ছি
bff150d75f	d41be	আরো ভালো হবে
bff2914194	aabe7	যানজটসহ সার্বিক পরিস্থিতি
bff32571d0	fdcba	মোকসিমুল বারী অপু বলেন
bff3462fe2	6ee5f	সম্ভোগ
bff3973677	404ee	গ্রীষ্মের বৈশাখেই এ নদীতে
bff40f8599	ce180	জিজ্ঞেস করে বিমল
bff458120e	f2b7d	রাজধানীর উত্তরা এলাকার জন্য
bff464553d	7df87	প্রথম বিচার কাজ শুরু হয়
bff467f9a1	2aecc	রক্ষা পেতেই রেস্তোরাঁ মালিক
bff47b6a04	2b883	অতএব হোম্স্-কাহিনী
bff4e120b3	ea8fa	দক্ষিণ এশিয়ার মধ্যে
bff5182460	28bb3	সত্যিই তাই
bff560c660	cb842	শিক্ষার্থীদের হল নির্মাণ
bff5e3ea3b	ce180	আর সরকারের নানা পদক্ষেপের
bff62ec50b	0bace	সংশ্লিষ্ট থানা ও হোটেলের মিডিয়া
bff6372880	98b81	কবিগুরু বাল্য গ্রন্থাবলীর
bff6ae7a51	2840e	কোনো অভিযোগ পাওয়া না গেলে
bff6c208da	fd880	আজ রাত আটটার দিকে
bff6f2e105	aabe7	নোয়াখালী, চুয়াডাঙ্গা
bff7079f88	08458	উপসংহার টানা হয়েছে এইভাবে
bff7461503	5dec6	অবরোধে দোকানপাট খোলা থাকলেও
bff811c235	16877	বিগড়ে যাচ্ছে তারা
bff9264e85	943de	আর কাঁদানে গ্যাস
bff969cf12	f837a	বৃত্তাকার যে অলঙ্কার পরা হয়
bff994ee57	1279e	তথ্য সংগ্রহে সুযোগ সৃষ্টি
bff9d2c893	b9b98	কারাগারে রয়েছেন তিনি
bff9e9bf8f	0d4cb	তাদের দাবি দেশকে
bffa5f4259	9c8dd	শুধু রাজার চাকরী ছাড়া
bffab422a8	d9b11	রনির বাবা শুরু করেন
bffb11c786	53396	আমি গান গাইতে চেয়েছিলাম
bffb94649f	16877	লাঠি রেখে উঠে
bffbd46982	745b7	এর আগে একাধিকবার
bffc38010e	880ae	ক্রিকেট দলের সঙ্গে জিতেছি
bffc3e364b	54e68	কখনেই সংঘাত পূর্ণ না
bffcd44082	7351e	এতে ধানে
bffd4bbf20	33aef	পেটের সব কটা ছেলে
bffd8f1f17	a916a	মাত্র সাত দিন আছে
bffd96655d	06ea3	আন্তর্জাতিক স্তরে
bffd9c89d8	92bb2	জাকির হোসেন রাজু পরিচালিত
bffda13841	ce629	মোবাইলসহ আটক করা হয়
bffe4cd484	75f18	যার মধ্যেই পরবর্তী নির্বাচন
bffe5701c8	a8710	শেইপ করে কেটে নিন
bfff1f2178	4c555	সময় লাগবে
bfff233c26	d9817	অল্প সময়ে ও সহজেই
bfff7d9714	f2b7d	ঘুমিয়ে ওঠার পর
bfff968db7	65652	সেরেনা মাত্র ৭৮ মিনিটে
bfffe06e1d	cfc65	৫ এবং ৬ই ডিসেম্বর
