42002a540c	a3a6d	জয়ললিতাকে তৃতীয় ফ্রন্টে চান
428880fbc4	cb627	ব্যাংকগুলোতে কেন্দ্রীয় ব্যাংকের
42891a2e0c	b8bdd	বাংলাদেশের মানুষকে
4289601937	06527	বিশেষ অ্যাওয়ার্ডপ্রাপ্ত হন
428a040864	404ee	ভৈরব বন্দরের মালোপাড়া দেখিতে দেখিতে
428a09e538	442b7	বিজিএমইএ সভাপতি
428a55de49	aa820	আসলে এ কেস সম্পর্কে
428a9695f2	b9b98	নিজেকে তিনি ভালোবাসেননি
428ab2d019	9fa90	মহাকর্ষ কোন বল নয়
428ac8913d	388c9	সমালোচনাও করেন
428ad98147	f89d7	বল তো
428aeddc51	01e91	চুল আঁচড়িয়ে দিচ্ছেন
428b612264	93d3b	রাজবাড়ী
428befe7dd	256f5	অপরিবর্তিত ছিল
428c077f94	32998	আমার কন্যার সুমুখে
428c380d74	7aed9	অনেক মিছিল
428c9a760e	e03ce	তাদের কাছ থেকে আজ
428cbee63b	11915	মূল্য-পতন কতদূর
428d847537	29089	ছুটিতে লাগিল
428e03edba	9f25e	উপগোত্রের সদস্য
428f47e24f	58998	একই মাঠে ১৯৯৩ সালে
428f89124b	2aecc	আমন্ত্রণ জানানো উচিত ছিল
428faea177	536d9	সংকট নিষ্পত্তির জন্য
428fb5bfba	69d9a	শোবে শোবে
428fc4a281	9d7bf	সেরে এসেছে প্রায়
428fcf9758	554fe	এবং সময় দুটোই বাঁচবে
428fdb0807	11de3	উপরোক্ত সংবাদ
42903c8110	60b9d	একটু কম
429062af23	cfc65	আনুষ্ঠানিকভাবে বিপিএল-এর
42907616ba	f2b7d	সোজাসুজি অনুবাদ বা ছায়া
4290965ef7	7e191	আহত অপর দুজন
429143a264	7351e	রাজধানী ও বৃহত্তম শহর
429162be81	32b3e	আলপনা
4291793efb	bfac7	যে পরিমাণ চাহিদা
429234c440	b4ea7	এক যুবকের সঙ্গে
42926e6cc9	b8bf0	পরে রিজার্ভ ব্যাঙ্কের হস্তক্ষেপে
42928eab13	c1e30	সুমন তার মায়ের সঙ্গে
42929a0dfa	b08d0	হয়ে পড়ে
4292a9e386	72649	নিজের ক্ষেত্রে
4292ecbd06	7297e	বেলা ১টার পর
429307d3a2	a06a1	আমাকে গ্রেফতার করেছে
42930df82c	5b13f	উভয় কারণেই আমি
42932fb155	ce775	যানবহন নিয়ে
4293685c63	cd3ac	এভারটনের সঙ্গে তারা
429386c37c	bf530	অনেক হাঙ্গামা
4293b68843	1cb75	ভূমিকা একটাই
42944cf4ad	c749e	বৃহস্পতিবার ব্রাজিল যাবে নেইমার
42946740bf	442b7	শেরপুর জেলাসহ বিভিন্ন জেলায়
4294719472	e7230	সেনা সংখ্যা
4294cdc8be	4fc91	ব্যবসা-বাণিজ্যের প্রকৃত চিত্র
42951fb146	698a4	পড়ে গেছে
4295577a53	0d8c1	তার প্রতিক্রিয়ায়
4295beebe4	22096	মজিবুর রহমান বলেন
42965b2a79	66b3c	সাতটি বেরোনোর পথে পরিবহনসমূহকে
4296abd4db	93bf3	পুনর্বহালের নির্দেশ দেয়
4296ae8eb6	58998	এগিয়ে এলাম
4296bde588	28bb3	মাঝামাঝি সময়ে
4297151a17	3f493	অন্যান্য বইয়ের পাশাপাশি
42972a6d6c	29bab	বেড়েছে ১০ দশমিক ৩৭ শতাংশ
4297447946	6dff5	তাঁর রচিত
4297a5c742	38ff0	অস্ট্রিয়া ইউরোপীয় ইউনিয়নের
4297c36622	c8f7f	হালখাতা উৎসব আয়োজনে
429952b8c9	92f59	সবুজ তখন আড্ডারুদের তাপে উত্তপ্ত
4299561626	25696	এবং এটা কোনভাবেই
42996647b1	f2780	পরে সেখান থেকে
42997149da	0d9f1	বাংলাদেশের ওপর পড়তে পারে
4299e421f8	22096	দেশ ছারখার
4299e7afdd	3faff	কুস্তিও করতে পার
4299e8beab	11bd2	আলোচনা হবার কথা রয়েছে
429a146afc	b8ed8	শিক্ষকরা আন্দোলন করছে
429a15cd05	4fbd1	নিছক একটি
429a84ef6a	66b3c	ডাকওয়ার্থ-লুইস মেথড
429aa4dd32	91dff	এরপর আবার শুরু
429ab847fd	a274b	তিনটি মূল স্তর
429b14e50d	6c6bf	তারা এই রিমান্ড
429b59866b	287bd	মোঃ রেজানুর হক জুয়েলের
429bb1294f	e9589	তাঁর সন্তান আর বংশধরদের
429bf42d24	4fbd1	আবু হোসেন
429c2ace76	16cfb	বিদেশি জিনিস
429c7e7fc8	1a2a1	কমিশন গঠন করে
429c94cd8d	778c0	ওয়াপ সাইট তৈরি করার ওয়াপ সাইট
429e4aa4a9	554fe	ইউনাইটেডের বহরে যুক্ত করার
429eb5d7f5	e68af	শুনুন শায়লা রুখসানার প্রতিবেদন
429f40dfca	5d12f	রুই ডিম পেড়েছে
429f6032e0	c41d8	পণ্যের দাম খুব কম
42a0c489f3	10a9f	মার মতো দেখে
42a0cbc9be	e3d8b	একমাত্র রূপবতী কন্যা
42a1961e93	903fa	পিতা-মাতাকে
42a1b8d718	1cb75	ইন্ডিয়া ট্যুর
42a2064216	e03ce	সাক্ষ্য দেয়া শেষ
42a2292dc1	ce629	এর চাষ করা হয়
42a2ae9b39	9f25e	এবং নায়ক হিসেবে ফিরছি
42a32317c5	b4ea7	এই সৈকতে
42a3427162	8ba2b	তাদের রবিবারের
42a36536cf	eb179	তবে মার্কিন যুক্তরাষ্ট্র
42a378b54b	29f8c	কমপক্ষে তিনজন
42a3c3f6f9	93bf3	এবং গুপ্তচরবৃত্তি চালায়
42a4c0f5c9	430b2	ওই তিন ছাত্র
42a4d1b674	eecdd	এ দৃশ্য দেখে
42a50e42f8	7c272	বিক্রি করেন
42a529f4d0	9351a	পিছনের একটা উঁচু গাছের
42a5ab6acd	a06a1	কিন্তু বিদেশে নিয়ে
42a5f74ecf	a1d4a	টুপি, ও খেজুর
42a6ed6448	80be1	একই সাথে
42a719c7f0	b78ec	শেষ পর্যন্ত তাঁরা বাঁচতে পারেননি
42a73af5f8	7e1d5	সহায়তা নিলে উপকৃত হবেন
42a7e9246d	4c555	মানতে নারাজ
42a922d1d6	cb627	বক্সের ঠিক বাইরে থেকে
42a9f08a1f	0c39f	মহাবিশ্বের এই সম্প্রসারণের
42aa2cb52a	e55de	এখন টি-টোয়েন্টি বিশ্বকাপ কি
42aa76fe82	195f7	নাইজারের উত্তরে
42aaa44267	e754e	ধনু রাশির জাতক-জাতিকার আজ যাদের জন্মদিন তাদের জন্য দিনটি খুব শুভ।
42aaf55191	11bd2	বিশেষ সঙ্গীতানুষ্ঠান
42ab31f970	eb179	এবং সেখানে তিনি
42ab5dc26f	3fae0	তিনি আর
42ab62c7dd	69449	বাসায় এসব
42abbf9e1b	91ac1	জন্ম জুন ১৭, ১৯৮১
42abd25c12	c6848	সাম্প্রতিক সময়ে দেখা গেছে
42ac0169d0	46da4	দেশের বিশেষ কিছু অঞ্চলে
42ac3d5612	3fb17	সরকার কি ধনী ও ক্ষমতাবান
42ac66b9e9	3ec4d	অথবা সম্পাদনা করেছিলেন
42ac78fb82	a1201	মিঠেখালি থেকে
42aca023a5	bc81e	পচে যায়
42acc65a39	809cd	ঘটনাস্থল থেকে
42acec636a	698ff	আজ সন্ধ্যায়
42adfe46db	7f2ef	হাত কাটা
42ae2a803f	4bede	ভেঙে পড়ার উপক্রম হয়েছে
42ae4e4a52	ff1eb	৫৯টি জেলায়
42aed9ff75	ced74	স্নাতকোত্তর ডিগ্রি নেন
42af0dbe43	83c53	অনেক পণ্য
42af2a9210	17ca1	খেজুর গাছ
42af3c98ba	2b883	বিভিন্ন শ্রেণীর পেশাজীবী
42afe45a43	c5479	বিচ্ছিন্ন করে দেয়
42b04569bf	ee994	সেটা স্পষ্ট ছিল না
42b0c6b5bf	c173f	বেচারা আল্লামাকে
42b0ef7a2d	31f2a	আতংকিত হওয়ার মত নয়
42b1b4f4de	f0f95	সূচনা করে
42b3b05bde	09f0d	অধ্যাপক বেল-এর কাছে
42b3bf3525	b08d0	প্রেরণ করা হয়েছে
42b3f01dd2	8632b	একই মুখে
42b3f6f6ba	6c17f	খুব একটা বড় হয়না
42b3fa97b7	3b1f7	আছে বলিয়া
42b4428225	1a4a9	বডি বিল্ডার
42b45f62ed	5cb47	কেউ আমরা দুধ ছাড়িনি
42b46db93c	f280a	সেই সংঘর্ষে
42b479a69a	f2097	মধুবন মৌ খামারের সত্ত্বাধিকারী
42b4b9143c	976b1	বাংলাদেশের লাভজনক খাতে
42b4cc5a43	943de	বাস করেন
42b4e74051	745b7	অতীতের সেই দিনগুলোর কথা
42b5b3e0b6	f1ea4	সেই বিবেচনায়
42b5c7c655	7e1d5	মহারাজপুর ইউনিয়নের
42b62ce14e	95907	বাস্তবায়নের জন্য কাজ করছে
42b66ca5ab	7d004	গ্রহণীয় হয়ে উঠতে পেরেছে
42b6d8b856	a46e2	আজ চট্টগ্রামে অপর ম্যাচে
42b76f376d	bc81e	তিনজোটের রূপরেখা
42b7dce0da	66b3c	সর্বোচ্চ সত্য
42b802bcb1	e754e	তা ছাড়া ওই বিশ্ববিদ্যালয়ের
42b8aba8f5	7b103	গর্ভবতী মা
42b8b8a9d6	8406e	গ্রামে পাঠিয়ে
42b91f3f95	4a918	প্রায় শতকরা ৯০ ভাগই মিথ্যা
42b928aa6e	2840e	সারাদিন রিক্সা চালিয়ে
42b94a0933	577fa	বিরোধ রয়েছে
42b99f8f29	b9122	এফএসএ'র মান অনুযায়ী, বাংলাদেশে বিক্রি হওয়া ম্যাগি নুডুলসও বিজ্ঞাপনের দাবি পূরণের মতো যথেষ্ট পুষ্টিমান বহন করে না।
42ba667d9d	ea8fa	এমন যদি হত
42bac9ccd0	b4ea7	ক্রিকেটের ইতিহাসে তা
42bacff335	c11b1	কিছুটা হলেও
42bbd46e33	91223	বেশির ভাগ স্কুল, কলেজ ও মাদরাসায়
42bcbd1509	21e54	সে রকম দায়ের কারণে
42bd213541	2909b	নিরাপত্তা, অগ্নিনিরাপত্তা নিয়ে
42bd96e7b4	72649	ফর্মুলার যেমন ছক আছে
42bda7f915	eb179	লিপিবদ্ধ করছি
42be094507	b8bba	ব্যবহার করা হচ্ছে না
42be5a2947	3faff	সেই দিন সমস্ত কৌরবসৈন্য
42be6f57f5	9282d	অপেক্ষা করবে
42be7e57a5	3f875	ব্যাগে সিগারেট পায়
42bebf4bf5	410fa	এসব নেই
42bf1ca239	3bea8	এ দুই লড়াইয়ের মধ্যে
42bf6034ce	d136b	এমন সময় নেপালি চাকরটা
42bfe04a86	e6e48	একদিন বাদে
42c00fbb5e	23291	বিড়ি ফুঁকতে দেখব না
42c0588fdd	16cfb	হ্যাক করা থেকে বিরত থাকে
42c069d6da	c5dc8	৫২ শতাংশই হবে কয়লাভিত্তিক
42c0943744	2695f	এভাবেই কোরবানি দিয়েছি
42c13ac9d4	943de	মুকেশ ভাট
42c16b94e2	4c555	শিকলে বাঁধা যায় না
42c180f0c2	f1240	করলে সুবিধা হবে
42c1d045fa	0b7ca	আর চিনির খেলনা
42c22e6afd	e3f89	স্তব্ধতার গান শুনি
42c26debdd	9065c	স্কুলে মাস্টারি করিতেন
42c2ab47d2	b8bba	চাহিদা পূরণে
42c2d276ae	03284	দ্বিতীয় শ্রেণী ৬৩০ টাকা
42c3190b55	ff1eb	দেড় বছর
42c32d3689	870e3	এই মুহুর্তে কোনও
42c3469729	53396	মোহাম্মদ হাফিজ
42c3650adf	bf530	বিবিসি বাংলার শুভজ্যোতি ঘোষ
42c3e041db	cb1aa	সব নির্ভর করবে
42c42726d8	0696e	বিএসএফের হাতে আটকের
42c469c9fc	0606d	সমু চৌধুরী, ইরিন প্রমুখ
42c4c6feb1	fcc89	সে কি বলব
42c55a832b	7a227	নিজ নিজ এলাকায়
42c5b0bbe9	4fc91	নাজমুল আহসান বলেছেন
42c5d489e0	24aed	ধর্মের প্রধান ভাগই
42c5f4d165	3ec4d	চলে যেতে যেতে
42c616c7c5	976b1	কি ধরনের ক্ষমতা দেবে
42c682d41e	10a9f	বিভিন্ন রকম হস্ত শিল্প
42c6982e33	0b7ca	হার কমে গেলে
42c6cc8bed	d1b12	রোদ
42c727c310	d1b12	মিয়ামিতে সনি ওপেনে
42c739b813	03284	শবে বরাতের পর থেকেই
42c804cf69	6e6fa	নতুন নতুন কৌশল
42c80ba05f	c0965	সাভারের মুশরীখোলা এলাকা
42c845ed24	ce629	ওরা রাজনীতি করবে
42c8647f0e	0edef	অধিগ্রহণ করার বিষয়টিকে
42c88d7f21	e9fa7	মৃদু গম্ভীর নিনাদ করিতেছে
42c88f255a	509f6	যে বরাদ্দ চাওয়া হচ্ছে
42c8c1d2c3	2ac82	তিনি তখন আমাকে বলেছিলেন
42c8c62796	4f450	সকাল হলেই
42c8d67761	d1b12	রোদ এবং বৃষ্টি থেকে বাঁচাতে
42c904f7bd	698a4	৯ মাসের এ মুক্তিযুদ্ধে
42c9256c55	f280a	বিমানে মোট
42c94e1f37	0a87a	অর্জুন
42c9cf8166	e3d8b	সরকারি চাকরি পেতে
42ca5a6a20	d2294	সেখানে রাজপেয়াদা বা দেব-দেবতা থাকলেও
42ca651345	a916a	এটা মেনে না নেওয়াতেই
42ca75d1c8	ad98d	আশেপাশের ভবনগুলোতে
42cab249f3	b8fe1	ভালো
42cab3dc4b	52578	সেই যায়গাটুকু
42cad12acb	3fce2	আহমেদ কবির যদি
42cadc50ba	e9589	ওর মানে কি হোল
42caf92aa8	11bd2	গঙ্গার হাওয়া এসে
42cb23524f	7df87	চট্টগ্রাম যথেষ্ট উন্নত
42cb3be296	d2d71	কর্তৃপক্ষের কাছে অনুমতি চেয়ে
42cc6b9258	7d133	আদালতে রাষ্ট্রপক্ষের আইনজীবী
42cc854617	cc9fd	ঢাকায় তাপমাত্রা ছিল ৩৮ ডিগ্রি সেলসিয়াস
42cce0b94d	c958a	দুর্ভোগ বাড়িয়ে দিচ্ছেন
42cd5073bd	c5dc8	মুসলিম রাজশক্তি
42cd7e3908	16cfb	সারাবিশ্বে আল কায়দা যখন
42ce3c8a0f	2bd99	রাজধানীর উপকণ্ঠে
42ce6ca1ee	3bea8	তার সব কিছু ভুলে
42ce871fac	2bd99	অনেক কষ্ট পাইয়াছি
42cec31477	6da0a	বিএনপি নেতার বিরুদ্ধ
42ceca0e85	44322	আইনজীবী চন্দন কুমার সরকার
42cefd0ebd	f2097	তখন নিজের জড়তা
42ceff6062	09b32	ক্রিসেন্ট জুট মিল মাধ্যমিক বিদ্যালয়
42cfd3efb0	77f82	৫-৬জন যুবক
42d06b73a0	80518	উর্দু সব কাগজের
42d0fbcf4c	95907	ফটকের সামনে দুটি
42d136c419	06527	ভবন বন্ধ করার পরও
42d16af109	82926	লার্নার ড্রাইভিং লাইসেন্স প্রদান করে
42d1c1bdcf	25696	মধ্যে যুগে কিছু বস্তুর
42d1f7b11d	e2f12	বিশ্বাস করি
42d1faea2a	60b9d	অথচ এই দেশে
42d2459893	ee886	সংসদে আনুষ্ঠানিকভাবে
42d245a6c3	93080	বাবার দাপটে
42d2cced54	b8bdd	বলিউডের ‘হেট স্টোরি’র রুপকার
42d3160bd9	b618b	এবং পর্যালোচনা কমিটি
42d3ba8fd8	3fae0	গলায় মাছের কাটা
42d40009f3	d9ba9	চাট্টিখানি কথা নয়
42d46f049f	0c39f	শুক্রবার তাদের ট্রেনে করে
42d475d546	948d3	সাধারণত যে প্রসঙ্গটি
42d4a71f33	e89bb	প্রদীপ জ্বালাইল না
42d4c7af25	3fae0	ধার করছি
42d50c6e28	93080	সাধারণ মানুষ চায়
42d53c1d55	d136b	সালাদ হিসেবে বা এমনিই
42d5bad61b	13b70	আবহাওয়া খবর
42d687d461	60f77	এসব বাতচিতের
42d693e7a6	11de3	একটা ডেন্টাল চেম্বারে
42d703641e	2695f	ঢাকায় এমন কয়েকজনের সাথে
42d71306d0	bdfc1	মেয়র এমএ মান্নানের নেতৃত্বে
42d737612b	698ff	তিনি লেখালেখি শুরু করেন
42d77aa748	2bc73	গণসংহতি আন্দোলনের সদস্য
42d7a31be3	2ac82	বিষণ্ন রোমান্টিকতা
42d7c0a30c	95907	যার বই গুনে বা পড়ে
42d86f1d9a	7c272	বাংলাদেশের বন্ধু
42d875ddee	0633a	৭৬ বছর আগে এই দিনে
42d8f5bc9a	91b16	মেয়েদের সঙ্গে খেলতে
42d90f8a84	e754e	বেস্ট লাভ স্টোরিজ
42d92b8d89	a0277	বেবি ট্যাক্সি ছিল
42d97345ba	0d9f1	যতটুকু পুষ্টি পাওয়া যায়
42da2bb126	c11b1	আমার বুঝি
42da2e8495	3fb17	নিজেদের গান পরিবেশন করেন
42da404a4b	9e923	চোরাচালানের ঘটনায়
42da552f64	e6203	১৯৩১ সালের ৬ এপ্রিল
42db8eb82f	76329	এক টুইটে
42de08403f	6aac8	যখন মজলিস হতে উঠলেন
42de7f64d8	24f73	মানি না বলে
42dec2f71d	88654	ডোরেমন কার্টুন
42df33d9f9	b8ed8	ও সুযোগকে নাকচ করে দেয়
42df60aaaa	2ad74	বা ২৬০ ইউএস গ্যালনের
42dff1e5ca	256f5	সেই ক্যালেন্ডার অনুযায়ী
42e03c062b	75f18	এ বাড়িতে আসেন
42e0572382	7c272	সিরিজ
42e0998ed2	8edea	আর রাশিয়ায় উৎপাদন-প্রক্রিয়ার
42e0a5c0c2	e50f1	ভালোবাসার তরণি ভাসিয়েছেন
42e1e23c72	430b2	লঞ্চটিতে কমপক্ষে
42e2304428	82926	অপর একটি লঞ্চডুবিতে
42e26346ac	76329	ওরা আমাকে বাধ্য করেছিলো
42e2fc42d1	46da4	প্রকাশ্যে গেয়ে
42e3324162	29f8c	পাঁচটি ফেরি
42e37a40c9	8ba2b	রাজবাড়ী চত্বরে অনুষ্ঠিত
42e3c1efc6	cc9fd	টানানো রহিয়াছে
42e3ec56a7	24f73	মা-বাবারা তাদের
42e41488e8	ced74	পাকিস্তানি হানাদার বাহিনীর সদস্যরা
42e43da409	2f547	এক নারীর রূপ ছিল
42e454e0c6	f2097	লাইফ অ্যান্ড স্টাইল ম্যাগাজিন
42e4ca88d9	1de6c	আর কোথাও পাওয়া যায় না
42e5a3f77e	f7a7f	প্রসেনজিৎ
42e6283a54	d2d71	বেশ অনেকটা
42e62a0525	ced74	রানার্সআপ হওয়া দলটি
42e6345e73	65e30	রাজকীয় সমাধিটিই
42e65524fc	a0277	গাজী রাকায়েত
42e672e67a	3b1f7	দুই ভাইকে গভীর ভক্তির সঙ্গে
42e6d021eb	f1ea4	ব্যবহার করেছেন
42e6e6f4ea	ee4ad	প্রতিবাদ জানিয়েছেন
42e7382687	d9ba9	পদ থেকে সরে দাঁড়ানোর
42e7ba535d	38ff0	রাষ্ট্রের চারটি স্তম্ভ হিসেবে
42e7dc665e	db181	কখনো হল্লা ক’রে
42e840a544	bbb22	তার আত্মহত্যার
42e977b4f7	bd576	শুটকি
42e9fba52c	6e6fa	ক্লিনিকে যোগ দিয়েছে
42eab1f62f	80505	সেটিকে পেরিয়ে যেতে
42eab909b2	a06a1	আঙ্গুর বা দ্রাক্ষা এক প্রকারের ফল
42eafc4b58	6ee5f	চাকরি বার্তা
42eb3b4279	7898e	কী লেখাটি পড়ে
42eb3ea5a7	acb88	লিমন মাথা ঝাঁকায়
42ecd1be09	7b132	বিকাশ লাভ হয়েছে
42ece99bc3	0895a	ঢাকা শহরের শিরা-উপশিরার সঙ্গে
42ed3eb23b	fda1a	এবং দলের পক্ষে বহু নেতা
42edd1b221	31f09	আগে আগে
42ede32022	d2faf	ব্রাহ্মণ্য সংস্কৃতি
42ee758584	eecdd	অনেক জুসারে জুস করার পাশাপাশি
42eea215cd	b8bdd	অন্তত ২৫ জন আহত হয়েছে
42eeb6365d	3bea8	অভিধানের ব্যাপ্তি
42ef12011e	65e30	মাছি বাড়ির অন্য দর্শকদের
42f0711283	d1b12	গালে কষে থাপ্পড় মেরে
42f0b4498a	18460	অভিভাবকেরা শিশুদের
42f0cea266	698ff	আশঙ্কা প্রকাশ করে
42f0eb4b8f	ff970	সবচেয়ে বড় কথা হলো
42f1f812b0	ff1eb	কি অর্থ, কি উত্তর করিতে হইবে
42f23eb324	cc9fd	যতটা সম্ভব
42f2b267f7	7898e	মানুষ পালাচ্ছে
42f2cf7753	9351a	বাতিল করতে হল
42f34c8b59	554fe	আমি পুরোপুরিভাবে
42f357e26b	21e54	স্বতন্ত্র ধারা
42f3c5fc18	03284	কাগজের স্তূপ থেকে
42f470d1db	cd3ac	ক্রয় নীতিতে
42f47dae74	93bf3	এলিট ফোর্স হিসেবে
42f4bac07e	0606d	বসবাস করে
42f4eb3e61	ef915	আশঙ্কার কথাই জানালেন
42f5215415	4c555	লোকে বয়স বাড়লে
42f5ac26e5	a0277	লেফটন্যান্ট গর্ভনর ল্যাম্ব বলেছেন
42f623d0d2	44322	যখন সকল জন
42f63444c4	7e191	বিশ্বনাথ দে-সম্পাদিত সুকান্ত বিচিত্রা
42f64938be	7297e	তাতে বিশ্ববিজ্ঞানের
42f6ef9c9a	dae88	শিশুদের প্রতিবন্ধকতাকে
42f7a18e4a	e3f89	এলার্জি সৃষ্টিকারী উপাদানসমূহ
42f7c99951	d9ba9	৬০০ রোগীর ওপর
42f7d4a6b7	e6e48	ছিন্ন কর
42f7f6c34c	8b859	হায়েনা, বেবুন
42f81ae0b3	6fb36	তার জন্য অপেক্ষা করে
42f8bee76b	cb627	চোখেও দেখে নি
42f94643e2	8edea	জেমস সেলস
42f98b7eba	32b3e	শিরোপা জয়ের প্রত্যাশা
42f9eaf897	8a46d	সেখানে পুলিশ মোতায়েন করা হয়
42fa5167cb	6da0a	ঈমান সবচেয়ে ভালো স্বভাব
42fa690516	0d9f1	এই সম্মাননা পেলেন তিনি
42fb814956	420df	আফগানিস্তানে তালেবান বিদ্রোহীদের বিরুদ্ধে
42fbec94c0	ee7b2	একজন ভারতীয়
42fc25cf7d	2396d	তৎপর থাকবে
42fc3088bd	943de	ষ্টেশনে সে সময়
42fc36c256	d711f	সংসদ মুলতবি করার কথা
42fc576c30	e9589	মোহাম্মদ নাসিমের আইনজীবী
42fc9f39ce	3fb17	সিগমুন্ড ফ্রয়েড
42fce01000	10a9f	ফাইনালে ওঠার লড়াইয়ে নামবেন
42fd1935d9	12702	হরতাল-অবরোধের কারণে
42fd26c108	06e62	ভাষা অবশ্যই ইংরেজি
42fe213dd4	54cdd	ব্রণ দূর করার উপায়
42fe4120fe	442b7	দুপুরেও তার কোনো
42fe80f1f4	acb88	ঈদ মোবারক
42fe8d8d5b	388c9	ও এক ছেলের জনক
42feda1a98	2c9c5	ব্যবহৃত অফিস ফার্ণিচার
42ffdf5516	2aecc	মুক্তিপ্রাপ্ত উত্তম কুমার অভিনীত
