88004841bf	7df87	বাস্তব হইতে পাওয়া
888b7fded8	fcefa	অভিধায় আখ্যায়িত করেছিলেন
888becd5d9	d2294	নারীর যতদিন মুক্তি না হয়
888bf502bc	9282d	ক্যানসার বলে মনে করে
888c3c2fb1	76329	যার অর্থ খুদে যুদ্ধ
888cd5b1b3	9092b	২০-২৫ জন
888cdb58f5	ef4f8	পরিচালনা করতেন
888cf36c00	bbb22	খাত থেকে
888cfaaec6	d8c80	গায়ের গেঞ্জি তুলে
888d046975	e6e48	দিয়ে লেজার মাইক্রোফোনও
888d45c052	e2ff7	তেতো-বিরক্ত হয়ে পোজ দিচ্ছে
888d6438d7	7898e	স্কাউট ভবন
888d65e180	2de86	মালভূমির গড় তাপমাত্রা
888e1462d6	c2082	সারাদেশের জন্য প্রযোজ্য হবে
888e1597d7	dae88	এক লাখ ইউরো
888e42cf49	9092b	ঘোষণা দেবার পর
888e43b14e	e6203	ব্লকবাস্টার সিনেমাস
888eb8fba2	bdfc1	যোগাযোগও করতে পারছে না
888ee4e9b8	2d98b	মৃত্যু অক্টোবর ১৪, ১৯৮৩
888eee08b4	d1a48	কুরুক্ষেত্রের যুদ্ধে পৌণ্ড্রেরা
888efca595	e9fa7	হইয়া উঠিল
888f0d8c3d	693cb	দেখতে চেয়েছেন
888f5421e0	3f493	নারায়ণগঞ্জে বিভিন্ন স্থানে
888f626062	404ee	এ ধরনের সংকট সৃষ্টি হয়
88904cae3e	5dec6	আরাকান রাজ্য জয় করে
88904e04cb	5dec6	ক-য়ে ক্রিকেট খ-য়ে খেলা
88909adac4	fdcba	এ বিষয়ে নজর রাখতে
8890b0b8f8	bfac7	সুচিত্রা ছাড়া
8890ed3f61	bd576	এ আক্রমণ চালায়
8890ed5b33	e00db	গাড়ি কি হবে রে
8891401837	e50f1	তবে ছোটবেলা থেকে
88914da6eb	7027a	গ্রীষ্মকালে এ অঞ্চলে
889180e8f6	25696	খাঁ খাঁ করে
8891865780	a7c6f	তখন সদরঘাটে
8891cbcbd7	b9122	ঘরের দরজা বন্ধ করে
88921d6e1e	cb1aa	সুস্বাদু এই খাবার
88925b4d2a	13b6a	ক্ষমতায় যেতে
8892786f84	ac0df	আজি কালি
8892bf62a4	e754e	জোরদার করেছে
8893040efc	4164f	কী বলেন
88939d5e44	7898e	বৈধ ভোট
8894508168	f7a7f	সহনশীল হয়ে
8894ae108c	6aac8	কারণ অনেক হিজড়া
8894b4c6c7	68549	আমি প্রত্যক্ষ করিয়াছি
8895734239	d3e06	ইউক্রেইনীয় গণমাধ্যমে
8895adca92	0b7ca	আমরা যাদের নিকট-আত্মীয় বলি
8896a20bb3	75626	তারাও তাদের অধিকার থেকে
8896b13645	1f733	ভূতের শব্দ তো আছেই
8896b9289c	e50f1	স্থানীয়রা এসে
8896d45d4d	693cb	অতীন বন্দ্যোপাধ্যায়ের
8897282487	93bf3	মোট চারজন
8897d85c38	25696	হারমোনিয়াম, মন্দিরা
8897e5b25b	98b81	মটোরোলা মটো জি
88980be215	b8bdd	আমরা যেমন আছি
88984bf792	0e637	দারোগামশাই তাঁর কানে কানে বললেন
889874b204	c5dc8	শ্রেষ্ঠ হইয়া উঠিয়াছিল
88989939cf	c3cb3	ফরমালিন দেওয়া দুধের তৈরি মিষ্টি বা দধিতে স্বাদ ও গন্ধ পাওয়া যাবে না।
8898a46082	7a227	আম আদমি পার্টির হাতে
88992a4655	39293	দুই দেশের চাহিদা বিবেচনায় নিয়ে
8899a9a2d2	c3cca	শেরেবাংলা নগরে
8899d15c97	fdcba	তাদের বিক্রি করে দেয়
889a21b171	31f09	রাজু মিয়া
889a276e31	a3a6d	তিনি ছাড়া পান
889b65e79b	49d63	ওইদিন রোববার ছিল
889bbf55f4	59c73	গ্রাহকদের উন্নত সেবা দিতে
889c2284b2	c9c19	আমার ব্যক্তিগত
889d435322	c3cca	হলমার্ক সহ ছয়টি প্রতিষ্ঠান নিয়মবহির্ভূতভাবে সোনালী ব্যাংক থেকে সাড়ে তিন হাজার কোটি টাকারও বেশি অর্থ নিয়েছে বলে অভিযোগ উঠেছে।
889d68d6eb	355c1	তাকে গ্রেপ্তার করলে
889d9cdab3	442b7	হিন্দু ত্রয়ী দেবতা
889dd0f720	ce775	হাসপাতালের বহির্বিভাগ
889dd1fefa	5354e	রেল লাইন ধরে
889df21686	f7a7f	বাংলাদেশের বিভিন্ন অঞ্চলের
889e048a7a	4bd2c	দেয়ালে ঠেস দিয়ে
889e6027d2	2b883	বিষুবরেখা থেকে
889e7b5f63	554fe	হাওয়ায় উড়িয়ে চুল
889ec1aa6b	d41be	নির্মাণ কুশলতাই এখানে আসল
889ee1fc10	2695f	কমানো যাচ্ছে না
889f75875a	dafb6	উত্তরণের পথও
88a00e2429	af81d	মনুষ্যত্ব নাই
88a034d6b4	509f6	আমি জন্ম নিলে
88a073709a	e2ba2	মাণিক হারালাম হেলে
88a0bdf1b7	d1b12	ঔপন্যাসিক, গীতিকার ও সাংবাদিক
88a122e02d	778c0	আগামী মাস থেকে
88a13babab	cf82a	প্রতিষ্ঠিত হতে চান
88a148dd1a	52578	জাফলং সিলেট
88a15ed1fa	db181	চারুলতা
88a1c0d20f	dae88	সমাবেশ করার বিরোধী ছিলেন
88a1e5924c	f4ba7	বিশেষ করে এখানে শাওনকে ডেমোনাইজ করার একটা চেষ্টা চলছে।
88a1fa4667	e7230	কাদেরী কিবরিয়া
88a239eb2d	8c120	গৌরি একা
88a264eed9	23291	দুইটি উপাদানের একটি
88a2aa488b	a916a	বাঙ্পেটরা গুছিয়ে ফেলে
88a3bfad78	5dd61	চার বউ ঘরে
88a42ec7f8	ad98d	শাদা হইলে কী হইব
88a4521b31	6ab59	কুমিল্লার দাউদকান্দির
88a4550470	4e900	আধুনিক বাংলা কবিতার
88a4a3f3bd	c7705	ফলের উপকারিতা
88a6266f22	520fb	রঙিন রঙিন হাতি-ঘোড়া কিনতাম
88a721fa0a	3fb17	একজন বলিল
88a7309f75	a274b	ছোটলোকেরা এ বাড়ি এলে
88a752d137	c173f	উপর থেকে পড়ে যায়
88a7778de2	2f547	ভয়ংকর ভুতের কাহিনী
88a78fb6e8	6973e	মামা মঈনুল আলম
88a7df0b60	56508	তার প্রথম জানাযা হয়
88a7f7b064	7b103	তিনি মূকাভিনয়ে
88a8210029	fcefa	পরাজয় মেনে নিতে হয়েছে
88a82e35b3	d2355	পটভুমি তৈরি হয়েছে
88a8329b6c	32b3e	ফুসফুস
88a8d59f0e	7d004	এনেছে কিনা
88a9438511	943de	সাথে আমার কথা হয়নি
88a96673ca	b8bba	বেশিরভাগ নারীই ভয় পায়
88aa8f4ac2	23291	জাকজমকভাবে দিবসটি
88aab4b699	91223	এসবের প্রভাবে দেশের জনগণ
88aaceb774	47e8d	সেই ঢোলক লাঠি দিয়ে বাজায়
88ac0ba35f	f1ff2	দুই পাশের গাছে গা লাগে
88ac56d4b2	5354e	ইমাম গাজ্জালী ট্রাস্ট পরিচালিত
88ac6a8425	b7be9	দেখতে পেয়েছেন বলে জানিয়েছেন
88acaf686e	79b06	ভোট দিয়েছিলি
88acb9f111	d7a68	অন্যদিকে যুক্তরাজ্যে
88ace1ce8d	e9fa7	গ্রিনের শরীরে
88adb7d01a	3bea8	বিশ মিনিট কম সময় ধরে
88adf8f89d	ec91c	ঘরে ঘুমোচ্ছে
88ae7128da	6ab59	সত্যপাল সিং ঘটনাকে
88af9b5085	7b900	উদ্ধার করা
88afb7cf6d	355c1	ফলে আলোচনার জন্যে
88b022222a	91b16	ওয়েলেসলি এই অব্যবস্থা সম্পর্কে
88b03b9197	f658d	তরজমা-কবিতা ‘কৃতজ্ঞতা’র সঙ্গে
88b0476c4b	e43d4	পাড়া ঘোরাল ক্লাবের ছেলেরা
88b04f4716	1279e	৪৫ কোটি টাকা উত্তোলন করবে
88b0776569	49d63	এরকম একতরফা পদক্ষেপ নিলে
88b086357d	8c120	চাপ সৃষ্টি করছেন না
88b08e7b6a	3c897	ফটক বন্ধ করে দেয়
88b0aa9cfc	f280a	দেশটির বিনিয়োগ
88b1382156	a1201	তাকিয়ে হাসেন
88b1f1a952	b8bdd	বারো কি তেরো
88b218c0d0	ca088	অবিলম্বে বন্ধ করার জন্য
88b25b6a39	e6752	জাতিসংঘে বলিভিয়ার রাষ্ট্রদূত
88b2ca0097	7d004	ও কম্পিউটার জব্দ করে
88b37cf081	ac904	সক্রিয় থাকবে
88b423003b	ee886	কাসুর চোখে নেই
88b4500d13	e2ba2	পরে মেজবাকে
88b4a477f9	c11b1	তখন কিন্তু সঙ্গে
88b4d62aee	256f5	এখন প্রতিষ্ঠানটির দেখভাল করছেন
88b51bdb05	2909b	এরপর হাইকোর্টের জারি করা
88b52b22bf	8a46d	অন্যান্য সভ্যতা ও সংস্কৃতির সঙ্গে
88b5412cd5	43b04	প্রতিকূলতার মধ্যে
88b55902f7	bdfc1	একটি পিস্তল ও চারটি গুলিসহ
88b57c4303	c5dc8	তাদের চরম ডানপন্থী হিসেবে
88b5ad6e2c	b8fe1	লেখাপড়া
88b7026446	4a67e	ধরে নিতে হবে
88b733eee1	ad69a	প্রাচীন মেসোপটেমিয়া ছিল
88b7718ac8	14816	তবে এদিনের
88b788c45c	cb627	কিন্তু সেখানে ঘটকালি করলেন
88b796687a	52578	অভিযান, সত্যজিত রায়
88b7febd6c	a1201	কোনো ব্যবস্থা নেয়া হয়নি
88b8093ec0	ca088	অপরাধের আওতাভূক্ত
88b86e7b39	6ab59	রাহা ও তার বাবার
88b8aa9cae	3fce2	প্রায় ৪ কোটি শিক্ষার্থী
88b8bbb2a3	d5f7b	গ্রাহাম হ্যানককের মতে
88b8d14296	bd576	ঢাকাকে নিরাপদ করার জন্য
88b9d2905e	1e7c7	দুইধারী তলোয়ার ঘুরিয়ে
88ba17129f	0d4cb	বিশেষজ্ঞ টি-টোয়েন্টি বোলার
88ba60354c	2de86	ঘেরাও করে রেখেছে
88ba84c624	4fc91	পরিত্রাণের উপায় খুঁজে
88bab479c7	43199	বড় ম্যাচ বলতে
88bab70a6f	1652d	ট্রেড ইউনিয়নের
88bafdd0dd	16cfb	ও বন্ধু লাল গোলাপী
88bb2cf432	e43d4	তারা পদত্যাগ করেছেন
88bb3c9a56	2bc73	অপরাধীকে
88bc462e06	f6e55	যথাযথ দায়িত্ব পালন করার
88bcb71d14	c5dc8	সেক্রেটারি জেনারেল
88bced3cc7	7e1d5	লিচু, সরিষা, কালোজিরার মধু
88bcf34bc4	92bb2	৯টি দেশ মিলে
88bde72195	6b437	১৯৫৪ সালে
88be625f71	7b132	আসলে কি ঘটেছে
88bec21ae2	91ac1	বিশিষ্ট নগরী কলকতা
88bf556b2d	73629	তার মানস গঠন
88bf676851	69d9a	তার নির্বুদ্ধিতার জন্য
88bffad4dc	0bace	রাজনীতির পাশাপাশি মফিজু
88c01102db	80505	আলাদা আলাদা ভাবে
88c0452dee	7027a	জন্ম ৫ আগস্ট, ১৯৭২
88c063bf25	1c618	কত রঙ্গের পরীক্ষা দিতে হয়
88c0825dd1	2aecc	অপারেটিং সিস্টেম মেমরির
88c157d798	c2082	কার্যকর পদক্ষেপ নেয়ার
88c1858479	767ff	কোনো মহারণ্যে
88c1ddad30	c0965	পূবালী ব্যাংক নিয়োগ বিজ্ঞপ্তি
88c1f49950	dba43	তাদের সময় থেকে
88c1f56e77	6c17f	মিছিল দেখতে
88c2383dd3	948d3	আমার বাংলা
88c2483b96	fbb81	বৈদিক দেবীদিগের মধ্যে
88c26c8e8a	c6848	সেনাবাহিনী কোনো গ্রুপ
88c2bb6745	8632b	তাঁহার মতে প্রতিবাদের
88c2c6a522	93080	আমি তাহাতে কাটাকুটি বড় করি নাই
88c3015bdc	fda1a	দেওয়ার ক্ষমতা চার্চিলের ছিল
88c306b309	577fa	বেশ গুরুত্বের সাথেই
88c33604e3	2fc12	সৈয়দ বেলাল
88c41dd48e	86b1b	তাহার সঙ্গছাড়া নয়
88c4256a1a	730c3	যে সকল জনগোষ্ঠীকে
88c4475ad9	d2355	প্যারেড গ্রাউন্ডের নির্ধারিত অংশটি
88c46fee14	948d3	রনির সঙ্গে বিভিন্ন জায়গায়
88c483bb19	24aed	ওই অনুষ্ঠানে প্রবাসের
88c4892564	153c9	আজ উত্সব হবে
88c5bd4312	17ca1	কিছুমাত্র কম দড় ছিলেন না
88c6ccebe9	9b864	ইসলাম মূল্যবোধকে আঘাত করে
88c76757fc	2fe3c	যাদেরকে দায়ী মনে করা হয়
88c76e2806	16877	অমর্ত্য সেনকে ‘ভারত রত্ন’ পদক দেয়া হয় বিজেপির শাসনামলে।
88c77e0596	d711f	পাড়ি দিতে প্রস্তুত হল
88c791ec56	9c8dd	জানিয়েছেন বিবিসি’র মিয়ানমার প্রতিনিধি
88c8e0a3f9	d5f7b	এটি ছিল এ সংস্থার
88c909b96b	9d46f	মাত্র তিন দিন আগে
88c94d766d	11915	দশর্ন শাস্ত্রে সুপণ্ডিত
88c9f1443a	bfac7	তবে স্বামী শান্তর পরামর্শে
88c9f91bba	3c897	তিনি অনন্য সাধারণ অভিনয় করেন
88ca513c0d	2fe3c	পাঁচীকে পিঠে বহিয়া
88ca5ec234	f29bf	বাণিজ্য সচিব
88ca7075d1	56508	কাছ থেকে
88ca9629ef	8edea	স্থানীয় সাবেক সেনাসদস্য
88caf93b54	06e62	ভারতের আসন্ন লোকসভা নির্বাচনে
88cb0dc967	ff0fe	একগাল হাসল
88cb4dc95f	2d98b	নামিয়ে আনার জন্য
88cb7c107e	2d98b	নির্ধারিত তারিখের
88cbbb71b2	22096	বাবার বাড়ি থেকে আনতে হবে
88cbf6ad8b	5e80b	তার উত্তরার বাসায়
88cc3aca14	d41be	এ দেশের সংস্কৃতি ও কৃষ্টি
88cccc343b	d5f7b	এই দুইভাবে পাওয়া যায়
88ccfe1a17	31f09	সুরকার এবং সংগীত গবেষক
88cd09271c	57d54	নীলচক্ষু সোনালী চুলের
88cd1e5f4c	ee4ad	সমাজ ও জীবনঘনিষ্ঠ
88cd449abc	f0f95	মোহাম্মদপুর থানায়
88cd851617	9065c	একবার তিস্তায় একটি চর জেগে উঠল
88cd8fbd2b	8143b	কাঁদিতে লাগিলাম
88cdaa07a5	32b3e	মাধ্যমিকের কোনো বিষয়ের
88ce0b7552	e6d83	সবোর্পরি ব্যক্তির চেয়ে
88ce54dc43	b618b	লালন ভাস্কর্য ভাঙার প্রতিবাদে
88cf296e0c	47e8d	নেতা মনে করেন
88cf3e5733	b8bf0	ঘুরে তান ধরেছি
88cfbda0b1	aabe7	তলোয়ারের দোষ-গুণ
88cfe29ac3	d3e06	তাদের মধ্যে আসা উচিত
88cfef6295	7b60a	২৮ সেপ্টেম্বর এশিয়ান গেমসের
88cff645bd	b7be9	৬০ জনকে
88d0c2de78	ee852	এঁরাই অতীতের ওপর আলো ছড়ান
88d16876de	ee4ad	অকালে স্বামী হারানো বোন
88d1f7284f	7d004	এই বাসের জন্য একটি লেন
88d20ab95d	dafb6	সব রাজনৈতিক দলের
88d22d4fb5	80505	চল্লিশবছর বয়সী টেন্ডুলকার গত বছরের ডিসেম্বরেই একদিনের আন্তর্জাতিক ক্রিকেট ম্যাচ থেকে অবসরের ঘোষণা দেন।
88d3266a22	7e1d5	আমার এই জয়ের
88d3401b7a	4e900	এগিয়ে আসার জন্য
88d3903072	80518	সুবিধা দেয়া হয়েছে
88d4970f19	948d3	কি প্রেম দেখাইলা
88d4ec6d72	7f2ef	দ্রুতই কস্তাকে
88d526b8c6	f1ff2	আমরা এইখানে বৈদিক দেবতাদিগের
88d6935e08	8143b	অধ্যক্ষ স্যারের চোখে
88d6d0e059	09b32	স্বাভাবিক রয়েছে
88d71948fc	7c272	তিউনিসিয়ার প্রেসিডেন্টকে
88d7300492	18460	ইসলামবিদ্বেষী, খোদাবিরোধী
88d74702aa	68549	যে এলাকায় অভিযান চলছে
88d7b0fedb	f1ff2	অন্যদিকে জাতিসংঘের শিশু তহবিল
88d7d353fb	4e900	ইংরেজি
88d7f8d094	85430	কত মানুষ মারা গেছে
88d8583b40	577fa	কারণ এরা নাকি দৃঢ়চেতা
88d8a7a9be	f2097	রুশপন্থি নেতাদের ইউক্রেইন থেকে
88d9301390	f83df	সূর্যমুখী-দলের সবাই ভাবছে
88d98bee2e	351dd	তিনি মতামত দিয়েছেন
88d9df9c31	577fa	এক গৌরবময় ইতিহাস
88d9f12bff	fcefa	বইয়ের জন্য তিনি
88da50d192	fb4cb	একাধিক তেজস্ক্রিয় পদার্থের
88dab608fc	d9b11	ঠিক হবে না
88dc15b3f2	282d3	ফ্রন্ট ক্যামেরা দুই মেগাপিক্সেল
88dca4e6f6	4f2ae	কৃষ্ণের সঙ্গে যুদ্ধ হইল
88ddcc81f9	38ff0	সংঘর্ষের সময় পুলিশ
88de072843	b9122	বর্ণিত হইয়াছে
88de20f531	b8fe1	কোন কৃত্রিম সময়সীমার ভিত্তিতে
88de3b4e0f	ec91c	দরজার বাইরে সবসময়
88de5108b1	9351a	তিনবিঘা সীমান্তে এসে দাঁড়ায়
88def5c99d	ee4ad	বিভিন্ন স্থানে খোঁজাখুজি করে
88df4ecb71	43199	একটি গুরুত্বপূর্ণ অংশীদার
88df7a4173	d9081	নতুন নতুন পোশাকে
88df7f7a58	e03ce	কাউকে কাউকে পাঠিয়ে দিলেন
88df80e0cd	a43b5	বেশ কয়েকটি কারখানা
88e024fab7	ff1eb	পেপে চাষ
88e08ab778	17ca1	একজন স্থপতি
88e0922d36	3fb17	সেন্সরগুলোর মূল কাজই হবে
88e0e3cfdc	a46e2	রাষ্ট্রপতির ছেলেকে
88e1754851	ea5be	পদার্থবিজ্ঞানে নোবেল পুরস্কার পান
88e232a3ad	72649	যে নথ দুলিতেছে
88e23a2006	95907	যাত্রী সংখ্যা থাকতো
88e2713800	fcefa	দ্রুতই খবরটি ছড়িয়ে পড়ে
88e2f82fb4	16cfb	এক সংঘাতময় পরিস্থিতির
88e32ad308	e8dde	ছেলেরা রাস্তায় নামছে
88e339b8ff	88654	এবং এত করে
88e37003af	f0f95	এটা সামগ্রিক
88e3723e65	24f73	যে শেষতক
88e382ba23	39293	সংস্কৃতি মন্ত্রণালয় এই আয়োজনটি
88e38c7021	93080	গোল পাননি নেইমার
88e3dfdf8b	11de3	জানিয়েছে ফায়ার সার্ভিস
88e3eba74f	6da0a	ও মধুগ্রন্থির প্রয়োজন হয় না
88e40af6cf	194f5	সংযোজন করে চলেছেন নতুন ইতিহাস
88e4f8befb	17dcd	হাজার হাজার শিশু
88e5286bba	ef915	পুলিশ ১০ দিনের রিমান্ডের
88e5485b1d	c0965	বাড়ির সবাই ছুটে এসে দেখেন
88e57491ad	7027a	তবে বুশ হাউসের স্থাপত্যকলায়
88e5bbae38	4fc91	এ ছাড়াও ২০১৪ সালে
88e5f67ec1	0b7ca	তারা যে আন্দোলন
88e60cb96e	7b60a	সিনেমা হলে দর্শকের ঢল
88e64993f9	7898e	বিস্ফোরক ও এসিড আইনে
88e6873b92	39293	তুমি ভালো কাজ করো
88e6a7120e	7027a	অন্তর্নিহিত বচনের সত্যতা
88e7337c88	b618b	ব্যবহার দেখা যায়
88e7498878	ee7b2	আকরিক মাত্রেই খনিজ
88e77a1e42	6a35e	বিশ্বজুড়ে বংশধর
88e77dd78a	eb179	বৈধ কোন কাগজপত্র ছিল না
88e78b3eeb	80518	চেয়ারম্যানের পদ শূন্য হলে
88e79b005c	88654	প্রবীণেরা এমনকি পূর্ব জার্মানিতে
88e7cf46ea	7898e	তা সুনিশ্চিতভাবে
88e800c268	03284	আমাদের একজনের
88e826add6	0edef	শঙ্কর হঠাৎ যেন
88e86abc3d	a46e2	এবং সেসময়
88e89f5e23	6973e	এখানের কোনো বিষয়
88e8c28bff	38ff0	সামসুল ওয়ারেস অনুষ্ঠানে
88e8f04a81	1de6c	স্বাধীন রাষ্ট্র
88e920f1a7	3bb15	সর্বশেষ অপহরণের
88e9bf0588	ad050	কালো পৃষ্ঠায়
88e9ee38c1	44322	তার নারায়ণগঞ্জের
88ea04e34d	28dfc	এমবি
88ea186631	2aecc	কিছুতেই টাকা দিতে পারবেন না
88ea431593	49543	নৈরাজ্য ও জ্বালাও পোড়াও করেছে
88ea61eb54	95907	সমাজে চলে আসছে
88eaa00458	ee886	এবার ভোট দানের হার
88eacda124	73629	সেই উপহাস্য লোকটার প্রতিই
88eaf8c3bd	c6848	হারিছ চৌধুরী
88eb08cc04	7ee9b	রাজবন বিহারে
88eb0f5ce2	fdcba	হোন্ডা বাইক
88eb26481c	3bea8	সমৃদ্ধি, সুস্বাস্থ্য
88eb37dfdb	2fc12	সম্ভাবনা উড়িয়ে দিচ্ছেন না
88ec26d861	086dd	সাউদখালি গ্রামকে এখন
88ec6ce585	3fb17	চালু
88eca29f86	ff0fe	ধর্ষণ করে না
88eda10ee0	79b06	শেষটা আমার
88ee0564f2	16877	শহরতলীর রাধানগর এলাকায়
88ee815086	520fb	সমাজে অনুসরণ করার মত
88eee7dc31	b9b98	অনুগত থাকিনি
88eefe3edb	0d8c1	সিদ্ধান্ত অনুযায়ী উন্নত দেশগুলো
88ef15e361	f7a7f	গম বিক্রি করতে বাধ্য হচ্ছেন
88ef733d0e	9642e	একে যে অন্যের নাম পর্যন্ত
88efa6bf54	06736	কর্মকর্তারা আশা করছেন
88efb2215b	9c8dd	জানান সানিউর
88efbd0132	46d49	সে সম্পর্কে কোন ব্যাখ্যা
88effa312d	e3f89	রাশিয়ায় এক জ্বালানী সম্মেলনে
88f029155f	9351a	মুনি ভ্রান্ত হয়
88f02caee4	28bb3	গম
88f02dc959	71522	কিন্তু সন্তান না হলে
88f03020ac	10a9f	সেখানেও চলছিল হুমকি
88f048eb63	5a61c	স্পষ্ট হয়ে আসছে
88f0b1f4f6	03284	নাগরিক চেতনায়
88f1098c65	4ea73	লোক-সাহিত্যের সংগ্রাহক
88f18e6c33	3ccf1	আমরা মুক্তিযুদ্ধ এনেছি ঠিকই
88f1b5caa4	b9122	পাস্তুরিত
88f23a4b71	72649	যোগ দিচ্ছেন কাজুহিকো হিগুচি
88f25b8029	8406e	প্রাকৃতিক ভারসাম্য
88f33360fb	ad2a0	খোলামেলাভাবে বলতে চাই
88f3e3efb1	21e54	যার সুফলও পেয়েছে
88f3f3adca	16e96	বিবাহ বহির্ভূত সম্পর্কের কারণে
88f42edb3c	315e9	কিন্তু অভিযোগ অস্বীকার করলে
88f45f908e	18a52	প্রচুর পরিমাণে
88f496971a	6ab59	মহেশপুরের মাইলবাড়িয়া
88f51b9de6	54e68	ব্যাখ্যা করেন
88f52cc215	b8bf0	বাংলা মজার জোকস
88f594ba0e	bf530	ঢেকে রেখেছেন
88f5a02c41	287bd	আসামির বিরুদ্ধ
88f74d0f28	2695f	আলাদা রাজ্যের দাবি তাদের
88f76f9458	ab946	রিকসাটি শাহজাহানপুর
88f79252b1	dec2d	স্বামী নুরুল হক রোকসানাকে
88f79eeb73	d8c80	পরে প্রধান পদ
88f7a6acd4	698ff	নারী উন্নয়ন মেলার কারণে
88f7acdee4	388c9	হৈ হৈ করে বেড়ানো হয়
88f81e69b8	0d8c1	ঠিকঠাক করতে
88f82a8de0	b5fdc	নিঝুম বলেন
88f8d9f2a1	cb1aa	তবে বিদ্রোহীরা এখনো
88f9087694	c7a89	বৃহস্পতিবার নির্বাচন কমিশন
88f9d73080	536d9	কর্তব্য কর্ম সূচারুরূপে
88fa2da5c2	c3cb3	সিংহ রাশি
88fa55fee8	4c555	মায়ামির এ টুর্নামেন্টে
88fa97191c	4c1eb	প্রদর্শনীর মিডিয়া পার্টনার সমকাল
88fafb4172	3fc9d	ইতিবাচক ফলাফলের জন্য
88fb27b35b	b9a81	এছাড়াও ২০০ মিটার স্প্রিন্টেও
88fb34d6b4	809cd	লিওনি তার আনাড়ি অভিনয়ের জন্য
88fbb5f1f4	7a227	পেশায় শিক্ষার্থী, শিক্ষক
88fbc82801	5a61c	মিডিয়াম ড্রাইভিং লাইসেন্সের জন্য
88fc375c62	1e7c7	এটা যদি কেউ ভেবে থাকেন
88fc7d5070	943de	আমরাও ভীতিহীন খাকবো
88fc93f764	bfac7	ক্রীতদাসী হিসেবে
88fce1fabc	a0277	আর্থিক ক্ষতি হয়েছে
88fd6b93a7	c7a89	জিএসপির ব্যাপারে আগামী জুনে
88fd79f63b	086dd	এক্সট্রা বালিশ আছে
88fd99866e	ba2f6	কমে আসার পর
88fdb8ab26	a9a58	একখণ্ড সাড়ি
88fdd4f63a	509f6	এক পর্যায়ে আওয়ামী লীগ কর্মীরা
88ff86edfa	fda1a	প্রথম দুই মাসে তা
88ff927bfd	ff0fe	তারা ঘরে বসে নিজেই নিতে পারেন
88ffc94872	3bb15	ভায়োলেন্ট ম্যান হিসেবে
