0a0035c57b	6527	বেশি কইরা পিঁপড়া খা
0a85f455df	1e7c6	ফাঁড়ির দরজা- জানালা
0a8645fe6f	b2a62	করিল যে দ্বন্দ্ব
0a86a56061	09b32	মাথার ওপর দিয়ে
0a86d6fa7d	c7a89	দেশটির সেনা প্রধান স্থানীয় সময় রাত ১০ থেকে ভোর পাঁচটা পর্যন্ত কারফিউ বলবত রাখার আদেশ দেন।
0a8730912b	66dcd	নির্মিত হয় এ মসজিদ
0a875a1fee	536d9	তত্ত্বাবধানে ওক্তাবিও পাজ
0a878d4e62	91230	রান্না করা
0a879e2981	e31e7	কিন্তু দুর্যোধনের গদাযুদ্ধে
0a87ec6db7	520fb	কেঁপে উঠল
0a8880d7a0	cb627	এরা আধুনিকতার
0a88c75b8b	554fe	কলা কুশলীরা
0a897e091f	1279e	গত শনিবার সকাল থেকে
0a89d9a91d	4fbd1	বন্দুকধারীকে ঘিরে ফেলে পুলিশ
0a8a83aa55	0edef	দ্বারকায় নিয়ে যান
0a8aa08d8d	8845d	এক বা একাধিক
0a8b2ffafc	2fc12	আমেরিকার কঠোর আপত্তি রয়েছে
0a8b92d351	0c39f	যখন কোন অপরাধমূলক কর্মকান্ড
0a8baa04ca	2ac82	বিবেক
0a8c61215e	dfefa	মহীশুরে বিনা শুল্কে
0a8cc80326	53396	লেগে যায় গরু-হাটের ভিড়
0a8d458a65	d7a68	সন্দেহভাজন হামলাকারী খোকন
0a8e23d551	ad2a0	এটাই মনে হয়েছে যে
0a8e884de6	ec91c	নিজেদের জনপ্রিয়তা প্রমাণের
0a8ee2848d	9092b	পরিশোধ করছেন মূল্য
0a8f2db5dd	d0c70	তবে এবার হলিউডের
0a8fbfb098	32c77	ছোট থাকতে
0a8ff865f6	239f7	এখনো চলে যায়নি
0a9017e971	c5dc8	উচ্চ বিদ্যালয়ের সামনে
0a9022e547	17ca1	যুক্তরাষ্ট্রের পেশাদার প্রমীলা
0a90f829e1	13b70	তাহার দোষ গুণ আমরা
0a914f180d	8c07c	হত্যা মামলা দায়ের করা হয়েছে
0a916efb05	8143b	অর্থ সম্প্রসারণ ও পরিবর্তন ঘটেছে
0a91d40f1b	aabe7	দর্শকপ্রিয়তা থাকায়
0a91df19ce	91230	ভাইরে সুবল
0a91f4c155	e6203	অনেক অণুজীবকে
0a92374098	590d0	বাংলাদেশ ১৯৭৩ সালে
0a92678492	355c1	ঠুনকো কারণে
0a933968b2	0696e	অন্যজন বাস ফেলে
0a936c5127	e8dde	লেখাপড়া করতে পারতাম
0a93887c93	a3a6d	কালিদাসবাবুর উপর
0a94555faf	e8dde	পরিশোধ করা কথা বলেছে
0a94d63cb7	e00db	২০৯ দিন ধরে
0a9583b5ef	1c618	লাইব্রেরীর মাধ্যমে
0a962b41f8	56508	এক নারী
0a96340d8b	e03fc	বরের অকালমৃত্যু হয়
0a965766e7	e8dde	তোকে দিয়ে
0a97163a23	0606d	তবু কি আমি
0a977b24aa	2ac82	আমায় আশীর্বাদ করে চলে গেলেন
0a97949561	9351a	শুধু আল্লাহকে মানলে
0a97be39ab	cfc65	যারা ধূমপান ছেড়ে দেয়
0a98267358	ff1eb	আগুন নিবাইতেছে
0a9849d3ec	3bea8	শিক্ষিত মাস্টার ও ছাত্রদের
0a988922ac	64092	বিচারকাজ শেষ হবে
0a98a16a31	fbb81	উৎসব হলো
0a9902aab7	616ec	কীভাবে আছে
0a991a821c	7b103	এ সমস্যা হবে বলে
0a991ba6db	44322	অবকাঠামো যেমন বেশ দুর্বল
0a99cd46ed	8ba2b	আপনারও বয়স হয়েছে
0a9a2dbb03	d7a68	মঙ্গলবার দুপুরে
0a9a9cd969	43199	এসব নিয়ে প্রতিনিয়ত
0a9be75b0d	b78ec	যিনি নানাভাবে সমৃদ্ধ করছেন
0a9ce70076	52578	কোন কাজ করতে
0a9d397f7e	9fa90	আমার বহু আগে ভারতচন্দ্র
0a9db51aa4	84145	কাজ বন্ধ থাকে
0a9e66899b	a9a58	আমাকে পুরোদস্তুর
0a9f09d4b8	d2355	গড় তাপমাত্রা ৩৭ ডিগ্রি সেন্টিগ্রেড
0a9f3ecf93	0a7a0	ব্যাঙ্গালোর থেকে
0a9f685049	ad2a0	তাঁদের কাছে বড় কথা
0a9f6f51da	8406e	সে কথায়
0aa0db2fe2	d2faf	চাকরির নামগন্ধ নেই
0aa129d9d0	17dcd	কর্মসূচি নিয়েছিল
0aa1532f40	239f7	মাছ কাটার জন্যই
0aa1a8f276	f2b7d	এসব বক্তব্য এসেছে
0aa204148c	68ab7	দিয়ে দিয়েছি
0aa20424fc	9351a	জনসংখ্যা হল ১৬৩৯৭ জন
0aa2351651	25117	হোটেলে রেজিস্ট্রারে লেখা অনুযায়ী
0aa3496baa	7aed9	বা প্ল্যান্ট প্রটেকশন বিভাগে
0aa42e9a27	e43d4	আবশ্যক হবে
0aa462c556	e68af	অর্থ ব্যয় করছে
0aa487d10a	3fce2	তোমায় আমায় মিলে
0aa50e2fc9	32c77	বোলার কর্তৃক
0aa55bd8ad	29d44	বর্ণনা অনুসারে
0aa5aaaf97	f29bf	বিভিন্ন রাজনৈতিক দলের নেতারা
0aa60ca413	68ab7	নিবিড় অনুশীলনের মাধ্যমে
0aa61c4ce0	f29bf	কপালে বিন্দু আঁকিয়া দিবেন
0aa63dd32d	11915	উত্তর ককেশাসের সবচেয়ে
0aa694ffe3	23b22	কিন্তু বাকি যাত্রীদের বিষয়ে
0aa7202a5a	4164f	দাবী মাসুমের
0aa7d9000d	32c77	ভূমি সমস্যার সমাধান বিলম্বিত হওয়ার কারণে প্রত্যাশিত উন্নয়নও ব্যাহত হচ্ছে।
0aa7dfc84a	6da0a	তিন বেদের পর
0aa7f0a5ed	93080	নামাজ পড়তে আসার সময়
0aa8419c20	3ccf1	যেকোনো কাজে
0aa84fb754	13b70	তিনি কালীগঞ্জ উপজেলার
0aa8a827f0	11de3	নয়তো অন্য কোনও
0aa901066f	d9817	চিরদিনই তুমি যে আমার
0aa92f71d7	a46e2	যান চলাচল শুরু হয়েছে
0aa9bcc973	536d9	মি: কেনিয়াত্তা অনুরোধ করলেও
0aaa1095b1	4f2ae	এ দেশিরাও তাই বলে
0aaa966bc8	e43d4	পুতুল, রূপন্তি
0aaae1e6b5	11bd2	গেইলকে প্যাভিলিয়নে পাঠান
0aaaf1b8f5	c4973	বেশ কিছু দোকান পাট
0aaafe22fc	aab0f	তবে র‍্যাপিড অ্যাকশন ব্যাটেলিয়নের
0aab6400b8	58998	দিন-রাতের
0aab89a537	b618b	পূজ্য পুরোহিতে নৃপ
0aabc847d8	75626	গুগলকে অবহিত করা হয়েছিল
0aac7556ce	bbb22	দারিদ্রের সংখ্যা কমেছে
0aac836828	f600a	সবমিলিয়ে এ সপ্তায়
0aac8b7d48	18460	পরিদর্শন করে
0aad031bfd	73629	এয়ার কুলার
0aad2deefa	6b437	তারা ভারতে চলে গেলে
0aad4eea15	745b7	মাসুল দিতেও দেরি হয়নি
0aad847b84	f6e55	একটি ঘটনায় দেখা যায়
0aadb348e6	c7705	প্রধান পর্যটনকেন্দ্র
0aadf4d045	29bab	এবার আর এ নিয়ে
0aaeed00f2	49543	বিদ্যাধ্যয়নের জন্য
0aaef63f2b	c8f7f	লেখকের মনোভঙ্গিতে
0aaf9912b6	7ec1c	একদমই দেখা যায়নি
0aafe3a881	4a67e	দোকানপাট বন্ধ করে দেয়া হয়
0ab018ece6	ee886	নিজের দেশের স্বার্থ দেখবে
0ab045b8de	91230	আমি বাধ্য হব
0ab06e70a0	7b132	মুক্তিযোদ্ধা, অসুস্থ, কন্যাদায়গ্রস্ত
0ab091c841	ca831	তবে এসব বক্তব্য
0ab130ec56	b08d0	জীবনের কবিতা
0ab14a6525	a274b	চাহিদা অনুযায়ী
0ab264827a	f7a7f	আইভিয়ান সার্কোজ
0ab2b32df4	9f25e	শ্রীলংকার সরকারের পক্ষ থেকে
0ab32f4d2b	a46e2	স্থানীয় প্রশাসনের দায়িত্ব
0ab3332dc2	9d7bf	বিক্ষোভ তীব্র হওয়ার পর
0ab4319272	ad69a	বেলজিয়ামের প্রাণহীন
0ab4baf91b	4c555	প্রাণী জগত
0ab4f131ad	29bab	মুক্তিবাহিনীরা দেশ স্বাধীন করবই
0ab5598e60	717bb	শিল্প-বিভাগের সভাপতি
0ab56147b2	8b859	সেই সাথে বেড়েছে
0ab5981c54	46da4	পাত্রীর বান্ধবীরা কন্যার বাড়িতে
0ab5bbf426	bfac7	কেউ কেউ আমার কাছে
0ab5bdba36	93080	আমাদের নেত্রীর চেহারা দেখুন
0ab62c1a34	1.6E+097	অন্তত আজ না হলেও
0ab69fdcaa	ee4ad	সেদিন থেকে শঙ্কর
0ab7273308	baa02	আসলটা তো উঠে আসা
0ab743daa8	0a7a0	ছেলে ডিসিপ্লিন মানে না
0ab7bdfde8	d7a68	বাংলা হাদিস
0ab805c022	a43b5	ফেনীর নাইজেরীয় ফরোয়ার্ড
0ab81f54b7	aab0f	আমার বাবা ওদেরকে বলতেন
0ab87257b7	778c0	মাঠের যত গরু
0ab8c89541	fcefa	সাকিব-ববি জুটির প্রথম ছবি
0ab8e7e605	3ec4d	লাভের গুড়
0aba024229	56508	সফটওয়্যার হিসেবে
0aba0a880c	fcc89	৮ মার্চের ফাইনাল হবে
0aba2e3913	4ea73	পরের কথা বললো
0aba4baf5c	287bd	আমি বারবার
0aba6881b6	b5fdc	মহা তৃপ্তির ব্যাপার
0aba995414	d82d9	সজনী
0abae7c694	0606d	এছাড়াও অসমে নাগা পিজিন নামের
0abb1f3bb1	8632b	সহজ ভাষায়
0abb64bb63	a9a58	অল্প সময়ের মধ্যেই
0abb85ef82	2556b	নেতৃত্বে বেশ কয়েকজন মন্ত্রী
0abba106dd	6e6fa	শীত মৌসুমে
0abbfa901d	52578	তারা আমাদের স্বার্থের কথা
0abc1de657	16877	তবে বড় ভালো হয়
0abc264723	717bb	এই টাকার সংস্থান করেছে
0abc26f294	9c8dd	বাকি ছয়জনকে
0abc45ab01	24f73	অক্ষুণ্ন রাখতে সক্ষম হয়
0abcb73def	c0d65	বিক্ষুব্ধ মানুষ
0abcfa66ad	3f493	ক্ষুদ্রতম মহাদেশ
0abd11911b	f1ff2	জয়ললিতাকে তৃতীয় ফ্রন্টে চান
0abd5189af	d82d9	সাহিত্য সাধনা বোধ হয়
0abdb7513b	7aed9	৫৪ বছর বয়সে মারা যান
0abe004203	7351e	বেতের সোফা বিদেয় করে
0abe4404de	a06a1	এবং ১৯৬৪ সালে
0abf185396	88654	বেপরোয়া হয়ে উঠেছে
0abf4ad1be	91ac1	দিন রেখেছেন হাকিম
0ac03e28ae	9092b	অধ্যায়ে আছে
0ac11ffed2	7ee9b	গ্রামীণ ব্যাংক কেবল সরকারকে
0ac2448fa1	f600a	রোববার সন্ধ্যার লুধুয়া বাজারে
0ac26e9c4a	0c39f	ভেজাল থাকলে
0ac292b394	0633a	পরে রাত্রি আগত হইবে
0ac32ce7a8	536d9	একদিন বৃষ্টিতে বিকেলে
0ac33013f5	c6848	কি নিয়ে ভাবছেন
0ac471d79f	28bb3	ষোল সতেরো বছর বয়সী
0ac51ae794	e31e7	পুলিশের কাছে ধরা দিয়ে
0ac53ea924	ee852	এবং আরো প্রায়
0ac544e0c7	91223	ইন্ডিয়ানা জোনসের
0ac5ccf0ea	870000	উপকরণ আছে
0ac5e616b2	80be1	মাজেদা নামের এক মেয়ে
0ac6739160	3ccf1	কাজ করার জন্য
0ac73467a5	4a67e	বিজ্ঞাপণদাতাদের নিকট থেকে
0ac7ae6346	967fd	অজস্র কর্মী ও তাঁদের পরিবার
0ac7ff22ae	2bd99	এমন কিছু করা হয়তো
0ac80cf253	767ff	রাজনীতি
0ac81e63a6	72649	তিনি কীভাবে
0ac85d66b1	1652d	১০ গুণ বেশি
0ac871054b	f1ff2	৮০ লাখ টাকা ব্যয়ে
0ac8b2a454	60f77	বিপিএল
0ac91053ce	82926	এই হলো মানব সমাজের
0ac9402087	9282d	ইউরোপের দেশগুলোতে
0ac97a848d	c5dc8	উল্লেখিত ছবি তিনটিও
0ac9e636db	7b103	যে ধারা চলছে
0aca5fb217	adf01	অফিস কক্ষ রয়েছে
0aca61581a	0a7a0	রায় হবে
0acaa17c3a	28bb3	প্রশাসনিক ভবন খোলা থাকলেও
0acaac6223	cb627	যৌবনের প্রথম প্রহরে
0acb5528f9	25696	দিনের আলোর মতো
0acb8170ed	e50f1	একটি মহল
0acbab01bb	0f047	কাজটা সময়মতো
0acbfe439d	db181	ঢামেকের মর্গে রাখা হয়েছে
0accef0cdb	cb842	এ ঘটনায় রিপনসহ
0acda6bf07	903fa	হোটেল টি-টাউন
0acdb64566	14d25	ও অন্য ধর্মের
0ace6f7758	76329	দাঁতে দাঁত ঘষা
0aced50796	3.7E+018	এক বাংলাদেশিকে
0acef50840	db735	এখন প্রতি কেজি
0acf30d2ac	09b32	সবার প্রথমে প্রয়োজন
0acf4d7c8d	6e6fa	ঘনিষ্ঠ সহযোগী
0acf6baa18	dec2d	কার্ডের ব্যবহার শুরু হলেও
0acf7f2f4d	32998	বনের ভিতর দিয়ে
0acf842f78	932bb	সব সমপিয়া
0acfb30fb6	66c6b	বাড়ীতে তিনি তামাক রাখেন
0ad028557f	9e923	ঘটনার তদন্ত শুরু করে
0ad0391122	92bb2	পুনরায় বসে
0ad053800b	a916a	অভিজ্ঞতা রয়েছে তার
0ad0a177a1	509f6	জার্মানি, চীন ও জাপানে ১৫০ মাইলের বেশি গতির ট্রেন আবিষ্কৃত হয়েছে।
0ad0ae8d08	23b22	দর্শক তাকে
0ad1008793	15a75	কারও সঙ্গে একটা ফ্ল্যাট
0ad1396cf1	16877	সঠিক সংস্কৃতিচর্চা থেকেও
0ad13e126d	0d9f1	স্টুডেন্ট অফ দ্য ইয়ার
0ad19b516a	d9817	তাহলে আমি কি জোর করে
0ad1caa7ae	9c8dd	৫ই এবং ৬ই মে
0ad1e188b0	4fbd1	পদত্যাগের পরপরই
0ad1e3c323	4fbd1	বাদামের দোকান বসে গেল
0ad1e94677	f2780	শ্রীমঙ্গলের দিকে
0ad22d3e30	6aac8	জগৎ সরকার থানায় এসে
0ad2997eb4	e9589	তিনি লিখলেন
0ad2ccdeb0	4c555	৭টা পর্যন্ত হবে
0ad30f4f0a	80518	পাকিস্তানি বাহিনীকে
0ad33149f5	7898e	ইন্টারনেটে রায় পাওয়া গেছে
0ad386f0e2	77f82	পরে একে একে
0ad45d6e96	e9fa7	হোয়াইট হাউজে এক বিবৃতিতে মি. ওবামা বলেন ইউক্রেনের ভেতর রাশিয়ার সৈন্যদের আনাগোনার খবরে তিনি গভীরভাবে উদ্বিগ্ন।
0ad46069ca	4ea73	৭ ফেব্রুয়ারি পর্যন্ত
0ad4653e8d	4fc91	মুগ্ধ এবং অনুপ্রাণিত হন
0ad4a9f6db	f2b7d	একটি সাধারণ ডায়েরি করেছে
0ad571f1d6	43b04	হাতে ধরা পড়ে
0ad57ca253	69d9a	বিষয়টির প্রতিবাদ করে
0ad57d9dbe	8cf95	দুই গ্রুপের মধ্যে
0ad67798ff	c3cb3	সুনন্দা পুষ্কর তরুর
0ad6b96005	195f7	ইয়ে জাওয়ানি হ্যায় দিওয়ানি’তে
0ad7657b80	12702	সব উদ্যোগ গ্রহণ করেছে
0ad7e964ff	49d63	ভয় পায়
0ad80185a9	66dcd	কারখানাটিতে আগুন লাগে
0ad8314cf0	3284	রুহুল আমিন বলেন
0ad83f283d	5639c	এখন উন্নতির চেষ্টা করা
0ad85aa935	1e7c6	চারটি শহরেই নিরাপত্তা ব্যবস্থা
0ad8c62108	68ab7	অভিযোগ দাখিল করা হলে
0ad8c9a71f	c11b1	নির্যাতনের অভিযোগ নতুন নয়
0ad90ae060	7b60a	তিনি ছিলেন উদাসীন ও সংশয়ী
0ad9b3cd4c	d1b12	নানা ধরনের পিঠে
0ada0669d8	698a4	অধিকাংশ সময়
0ada1f6bea	75f18	ওসমান
0ada1f6fbd	315000000000	গোসিনি ও ইউদেরজো
0adaa65fbc	a1d4a	লিচু গাছ
0adb5c5fa7	fd880	সমালোচকদের মন
0adba53ff9	d2355	আমাদের একেবারে আশা নেই
0adbc84a36	2ecf8	দুনিয়া
0adc441961	49543	যিনি বললেন ঠাণ্ডায় তাঁদের
0adc5c317d	e03fc	তবে এই সময়ের মধ্যে
0adc6564b8	388c9	তাদের নিয়ন্ত্রনে নেই
0adc6f7abb	7a227	বাবার কথায়
0adc9db26c	577fa	বিশ্ব ব্যাংক ঋণ বাতিল করলেও অন্যান্য দাতা সংস্থাগুলো সময় বাড়িয়ে তাদের অর্থায়ন বহাল রেখেছিল।
0adc9f1f5e	1.6E+097	সাফায়েত ফারাইজির বয়স ২৮
0adca15afb	4a67e	তুলে ধরেছেন তারা
0add0877b3	c5479	চাঁদ ঘুরছে
0add48edb9	2840e	পুরোটাই রাজনৈতিক ইচ্ছের ব্যাপার
0add6e9cab	3ec4d	রানা প্লাজা ধসের
0add915eab	29089	কবি নজরুলের
0addbc2c6e	4ea73	সন্ত্রাস বা চাঁদাবাজি করে
0ade083027	3.7E+018	কেবল খাবার সময়
0ade1ffd9e	75626	মাসের পারফরমেন্স নিয়ে যখন
0ade8130a1	7d004	মামলায় আসামিপক্ষে
0adee4fbd2	eecdd	জখমের চিহ্নও পাওয়া যায়নি
0adf7e8282	68ab7	জানুয়ারি ও ফেব্রুয়ারির দুই সমীক্ষাতেই
0adf8db423	c8f7f	মাথার বালিশ
0adffbf749	80be1	ফোঁস-ফোঁস করে
0ae0091dee	321b6	আইফোন নির্মাণের জন্য
0ae04057c9	14d25	তৃতীয়ত হজরত মুহম্মদ নিজে
0ae127476d	0	পুরোপুরি ধান কাটা
0ae14ed7f5	4fbd1	উদ্ভিদে এরকম ফুল হয়
0ae154ef82	e2f12	১৬ ও ১৭ ফেব্রুয়ারি
0ae1a686ec	a3a6d	বিরাজনীতিকরনের কারন হতে পারে
0ae1ac24c0	7ee9b	অলিভ রিডলে টার্টল
0ae1d793b8	e2ff7	বিশ্বের সবচেয়ে কম মজুরি যেসব দেশে তার একটি বাংলাদেশ।
0ae1d86265	52578	১২ পদের তরি তরকারি
0ae22be21b	b9a81	ছবি আঁকা সম্পর্কিত
0ae22dbe37	4164f	শনিবার সন্ধ্যা পর্যন্ত
0ae242297e	bd576	মৃত সাগর
0ae28106a7	7351e	নির্মাণ শেষ করলেন
0ae2bd3fbf	f4ba7	সে কথাটা তুল না
0ae347e99b	17ca1	পাও নাই
0ae3ebd976	0895a	রাঙ্গুনিয়া থানার ওসি
0ae4433ef4	ee886	যদিও এতে
0ae48b9062	6e8cb	ইহাতে বুঝা যায়
0ae4f5dd20	7660	ইরান ও লিবিয়া
0ae4fe8da4	2.1E+055	পরিচয় নিশ্চিত করা
0ae50ce925	c3cb3	লাতিন ভাষায় ইউলিসিস
0ae57e2186	61820	বুড়িগঙ্গায় গণ-গোসল করেন
0ae5f6cccf	2d98b	আনুষ্ঠানিক স্বীকৃতি দিল
0ae64155e0	cb627	অমল বোস
0ae6de7ba0	5639c	একদিন ছেলে হয়ে গেছে
0ae6f1fe12	1f974	জেলা আইনজীবী সমিতির নেতারা
0ae7915b0b	c6848	হাজার হাজার বিদেশি পর্যটক
0ae79f8d3b	404ee	অ্যাডোবি কোম্পানি
0ae8c693f9	f1ea4	দাঁত মেলে আর চুল খুলে
0ae9cbde17	8143b	বস্তু অন্তর্লিখিত আছে
0aea1fe815	4237e	খেলে গেল
0aea745367	9642e	তত্ত্বাবধায়ক সরকার ছাড়া
0aea7e098e	f280a	পৃথিবীর নানা দিকেই
0aea85b4f0	79b06	আমরা যাঁরা বরিশালের
0aeb70e577	e754e	বিক্রি করতে পারছিনা
0aeb9016e9	1.6E+097	ভোটকেন্দ্রের মাটে
0aebdf13bb	ef4f8	চীনের আন্তর্জাতিক
0aebeedf8c	93d3b	জয়নালের বাবা হাতেম মাতব্বরের
0aec53ebab	ff0fe	পুরুষের সব গুণ রয়েছে
0aec5d4459	f7a7f	সুভাষ মুখোপাধ্যায়, নীরেন্দ্রনাথ চক্রবর্তী
0aecc6ef40	32b3e	এক ঝাঁক নতুন মুখ
0aecc95105	98b81	বরিশালের মানুষের মধ্যে
0aeccbfa77	28dfc	পৃথিবীর আকর্ষণই অভিকর্ষ
0aed17bbcb	6fb36	আমি ফোন রাখলাম
0aed1944ed	75f18	হৃতিক রোশন
0aed2c8193	69449	জীব
0aed3d837f	f658d	আমি খুব আনন্দিত
0aedf1f2ee	91230	দ্বিতীয় বৃহত্তম এ মিলন মেলা
0aee482e1b	28bb3	সাংঘর্ষিক হচ্ছে না
0aee916c64	91b16	পদে রয়েছেন বাবলু
0aeea4067b	80518	একজন রম্য গল্পকার
0aeeb65011	a43b5	ভীষণ ইমোশনাল সে
0aef3928a3	932bb	কোন আইনগত
0aef58fcf0	7027a	এসব কেবল
0aef67337f	256f5	বদলে গেছে গোটা পরিবেশ
0aef8c6e83	24f73	বসেছিলেন বিছানায়
0af07312bd	60f77	পরিষ্কার করার সময় পায়
0af0bc5a63	58998	অল্প কয়েকটি হলে
0af12dfaf6	3284	দৃষ্টিশক্তি হারিয়ে
0af13a74d5	17ca1	নাচের মুদ্রা, সুরের মূর্ছনা
0af13ab93a	7b900	যে কাঠ থেকে
0af13d5bf9	e9589	তাদের অধিকার সম্পর্কে
0af16d0107	404ee	বহু সিনেমার নায়ক
0af17203ab	3f875	বড়া ভাজতে হবে
0af278a992	ce629	আমার মোষ খেয়ে ফেলবে
0af3949408	2b883	তবে ভিসার সাক্ষাতকারের সময়ে
0af3e6bdc1	75626	থেকে ১৯শে এপ্রিল, ১৯৫৮
0af40ce0f7	d3e06	চার পুরুষ ধরে
0af4920a9f	c2082	পুলিশের বাঁধার মুখে
0af495f078	eb179	আমদানিও কমেছে
0af4ab4e5e	1f733	প্রেসিডেন্ট পুতিন
0af523e15b	1b359	তজ্জন্য বিশেষ ঋণী
0af585ed32	404ee	তাদের বক্তব্য তুলে ধরেছেন
0af59830c3	39293	আর একটু বেশি
0af5b4019a	80518	৪ লাখ টাকা জরিমানা
0af62e45ea	dec2d	ভরা গালের সৌন্দর্য
0af6b92317	6736	এবারের ঈদে
0af6c39fdb	7297e	হুমায়ুন কবির
0af756ba1f	39dd0	পেয়েছেন শাবনূর
0af75ac367	767ff	হাটুর ব্যাথা
0af7c58f76	14d25	তিনশো বছর আগেকার
0af7dd4435	2aecc	দম্পতির সঙ্গে দেখা করবেন
0af80e3a03	2fe3c	সোনার শুকের সঙ্গে
0af846d41e	7e1d5	অভিমান উথলে ওঠে যখন
0af847dbe2	7d133	ভাষা ও বিষয়বস্তুর কারণে
0af8500a7a	9813c	ধর্মেরও নাই
0af866b909	c4973	২২ দিন কারাগারে
0af86f21a5	321b6	বিমল তা প্রকাশ করবে
0af9904962	ad050	কাজটি তারা করতে চান
0af9967915	d9ba9	এই নিয়ম জারী করে
0afa29ba09	c5dc8	লড়াই করছে
0afa3b8342	7b132	আর কোন ভারতীয় ভাষাতেই
0afa5090da	9065c	ম্যাচ পরবর্তী সংবাদ সম্মেলনে
0afadbf76d	9092b	সিদ্ধিরগঞ্জ থানা
0afaf245c6	5d80e	চাকরির পত্রিকা
0afb40e971	3bb15	প্লাটিনাম এবং মাল্টি প্লাটিনামের
0afb49f8ef	8ba2b	পরাধীন দেশে
0afba0b6e4	a06a1	জিজ্ঞেস করার পালা
0afbaa8c12	80518	যখন তখন ডাকলেই
0afc23f76a	17ca1	বাংলা অভিধান
0afc31b368	24f73	তাঁরা লোকায়তিক চিন্তাধারা সম্বন্ধে
0afc5323da	0f047	মাহবুবুল হক শাকিল উপস্থিত ছিলেন
0afc681e4b	16a17	গল্পে দেখা যায়
0afc6876b6	4f450	বার্তা
0afc9426aa	9fa90	অনেকে মোবাইল ব্যাংকিংয়ের মাধ্যমে
0afce7f30e	16a17	তিনি শুধু ক্ষমতা চান
0afd3e79a4	9351a	কেউই রেহাই পায়নি
0afd66dc29	7ec1c	স্থানীয় সাংবাদিক নাসিরউদ্দীন জানাচ্ছেন
0afda654a5	e2c11	আমাকে পেছনে রেখে
0afdef008e	5d80e	করাতে গিয়ে
0afdfcff28	1f733	টাইম ম্যাগাজিনের বিচারে
0afe9ea593	1a2a1	নিগৃহীত ছিলেন
0aff2a4692	5a61c	সে আমি নই
0aff3d48d2	323f1	মনে হতো না
0aff8a4fd4	e50f1	বাদ পড়লো আলজেরিয়া
0affa13479	9b864	ফাষ্টডে কভার
