ba001772da	18a52	টাকা কি গাছে ধরে?
ba84a18a6d	18460	যারা চাকরি খুঁজছেন তাদের জন্য আগামী সপ্তাহটা খুবই শুভ।
ba85221607	d71a3	এসেছে ধূমকেতু ইসন
ba85ca9371	14816	আমার মনে হয়
ba85e4ace5	43199	পুলিশ নিয়ে গেছে বলে জানিয়েছেন
ba860d3298	e2ff7	হাত দেখা
ba86573b06	5dd61	ইমপ্রেস টেলিফিল্মের খালিদ মাহমুদ মিঠু পরিচালিত 'জোনাকীর আলো' ছবিতে গানটি থাকছে।
ba8665e518	d8c80	বেসরকারি খাতে স্থাপিত
ba86fb7406	52f27	প্রথমেই যাহাকে দেখিলাম
ba8884e21d	bc81e	এবং সীমাবদ্ধতা কি
ba88ac8d86	72649	নারী জানে
ba88ae4d07	75f18	ধনবানের নিকট ভিক্ষা করে
ba89d69978	68549	পরে বইয়ের লেখকরা
ba89e98a84	ac0df	বৃষ্টি হলে
ba8a3676bb	6aac8	ই লাল হয়েছে
ba8b5d0556	c3cb3	একক প্রদর্শনী
ba8b8387fa	ce180	ষষ্ঠ শ্রেণিতে পড়ত
ba8b8bfb54	355c1	এরপর তৃতীয় ছবি
ba8bca6b43	a06a1	এর ঢেউ এসে লাগল
ba8c1b4a64	e7230	দল কিভাবে দেখছে
ba8c9f3fef	7f2ef	অর্থের লোভে
ba8cc65ebd	54e68	বন্ধুর একটি ঝাঁক
ba8d32b92d	2fc12	এ সাফল্য অনুসন্ধিৎসু চক্রের
ba8d4853c4	cb1aa	যুদ্ধে যুক্তরাষ্ট্রের দ্বিমুখী নীতি
ba8d7a5486	e6203	যদিও আমি কখনো
ba8d938d07	717bb	পুলিশ পরিস্থিতি নিয়ন্ত্রণে নেয়
ba8d96c233	aa820	জ্যোতির্বিজ্ঞান বিভাগের
ba8d9e7359	09b32	তখন থেকে চাকমারা
ba8dae544c	adf01	বন বিভাগের অসাধু
ba8e03566c	17dcd	নিম্নশ্রেণীর পুরুষ
ba8f0c1482	5354e	আরও ১২ জনকে
ba8f165ff5	410fa	এটা নাশকতা নয়
ba8f481ff9	4c555	শিক্ষা আইন-২০১৩ এর খসড়া
ba8f63cdeb	3f493	উন্নতি হয়নি
ba8f911ce7	bbb22	দুই মন্ত্রী জানান
ba8fb20aad	23291	পশ্চিমবঙ্গ সরকারের তথ্য ও প্রযুক্তি বিভাগ
ba9026856a	ef4f8	শীর্ষ বাহিনীর আস্তানা তল্লাশি করে
ba9121cfb4	c41d8	মিনমিন করি
ba91649ef9	2f547	শনিবার বিকেল ৩টায়
ba91bae454	239f7	হাই কোর্টের একটি রায়ে
ba91cf72de	2396d	বলেও জানান তিনি
ba9263400f	2556b	কোনো ধরনের প্রভাব
ba92dd8b88	23b22	অনুপ্রেরণার গল্প
ba932d4190	43b04	নিশ্চয়ই সর্বশক্তিমানের কাছে
ba93784c60	e03ce	গোলমরিচ ছিটিয়ে
ba93aae939	282d3	অব্যাহত লড়াইয়ে প্রায় এক হাজারেরও বেশি মানুষ প্রাণ হারিয়েছে।
ba947adef2	29d44	দাস-সমাজ
ba9499cd8b	e03fc	বড় হওয়া
ba94a39b5e	1279e	চীন
ba94d003b1	01e91	বিবিসির একজন সংবাদদাতা জানাচ্ছেন
ba951d0525	80518	অর্কুট তার কমিউনিটিতে
ba957a70b6	5cb47	বিমানটির ভাগ্যে কি ঘটেছিল
ba95be80f3	ef4f8	শানাই-নাকাড়া বাজিয়া উঠিল
ba95e943ee	11915	চর্যাপদ নিয়ে অনেক গবেষণা হয়েছে
ba968af26d	5d12f	দু পক্ষ এখনো
ba968e6a8e	11bd2	আব্দুস সবুর
ba97265774	c7a89	অনুসারী হিসেবে
ba975aa828	b8ed8	পৃথিবীতে বাস কর
ba9826c914	c2082	জানাতে বলেছে ট্রাইব্যুনাল
ba98825fe6	2fc12	বাংলাদেশের ফুল
ba98c21491	a9a58	বাংলাদেশের বিভিন্ন জায়গায়
ba99298401	404ee	আর অন্যটি আমার
ba994de978	3bea8	তৈরি এই স্থাপনা দুটিরই
ba99887f71	9642e	বাধ্য হয়ে ছাত্রীরা
ba99a3fb48	f1ea4	মাত্র ২৩ কোটি টাকা
ba99d412ad	c9c19	শরীরের কোন অংশে
ba9a521db1	c749e	ধার্মিক মানুষজন
ba9aaaf99d	ec91c	নিশ্চিত মৃত্যুর মুখোমুখি হয়ে
ba9ab8800d	fcefa	এঘটনায় গুরুতর আহত হয়ে
ba9ac517eb	2c9c5	খুলনা জেলা পুলিশ সুপার
ba9acce0be	eaa7a	তিনজন গ্রেপ্তার হয়েছেন
ba9b11f71a	086dd	ঘুরে বেড়ালে
ba9b2854ca	c0965	কিন্তু লাল জমির ওপর রয়েছে
ba9b7ea069	92f59	তাকে আদর করবে কে
ba9ba9322a	dfefa	ছবির চারিদিকে
ba9bde7b23	e6d83	দৃষ্টি নিবদ্ধ করি
ba9c2c2df9	616ec	১ জুলাই থেকে
ba9cc162fc	e55de	সেভেন ষ্টার, জামু বাহিনী উল্লেখযোগ্য
ba9d27060c	b08d0	কোরবানী করেছেন
ba9d34abeb	91223	গভীর সমুদ্রে
ba9e14f5b8	3b1f7	চিরবিদায় নেন
ba9e6088d8	e2c11	উন্মুক্ত পরিবেশ এবং শিক্ষার পরিবেশকে
ba9ebc1631	ad2a0	জন্মদিনের শুভেচ্ছা
ba9fcae2d2	53396	তাই বলে মনে হল
ba9fd38d78	24aed	এভাবে রচয়িতা আর পাঠক
ba9fe266c1	c0d65	ভাংচুর ও অগ্নিসংযোগের
ba9fe7d8d8	ac0df	বয়স্কদের কাছে
baa00eeb50	e00db	পাঁচটি ছক্কার সাহায্যে
baa0d820c1	4c555	দর্শক ও ক্রেতারা তা
baa13be088	0d4cb	ড. ফেরদৌস আহমদ কোরেশী
baa1a30878	1e7c6	আবদেল ফাতাহ সিসি
baa2146a58	5b13f	শান্তি আলোচনায় বসার
baa24890dd	ff0fe	পুতুলের ছবি
baa253620c	47e8d	বিচার বহির্ভূত হত্যাকাণ্ড তদন্তে
baa2e38a01	11915	কবিতা না-হয়ে
baa356b73b	9e923	কাজের জন্য প্রচুর মানুষ বাংলাদেশ থেকে প্রতিদিনই বিদেশে যান।
baa479c81d	eb179	বা আইএমএফের প্রধান
baa4e57a98	0606d	সংসদ নির্বাচনে
baa542a631	cf82a	রাজ্য
baa59acd89	fcc89	বেগম রোকেয়ার একটি ভাস্কর্য
baa5b47dc8	38d3a	যুক্তরাষ্ট্রের নিউ-ইয়র্কে ২০১৩ সালের শেষ দিকে পাবলিক প্লেসে ভ্যাপিংয়ের উপর নিষেধাজ্ঞা জারি করা হয়।
baa5fb7d6a	17ca1	আমদানি বেশি হওয়ায়
baa60e3ede	e2f12	পরিশোধ করে
baa6726d67	7ee9b	মিঠাইগুলো ফেলে দিল
baa71feaa2	82926	তাহার মধ্যে আবার
baa7217ee1	2556b	তার গলায় ঘণ্টা বাঁধা
baa75116a8	4bd2c	বলা রয়েছে
baa78ad023	61820	রায় বাতিলের জন্য
baa7c88702	e9759	এখন হাল্লার রাজার বাড়িতে
baa7d7b1ec	bbb22	সঙ্গী সাকিব আল হাসান
baa8e6eb2c	3b1f7	তানজানিয়ার সৈন্যরা
baa8f91794	2aecc	একটি ফ্ল্যাটের দুটি কক্ষে
baa8fded62	976b1	বেহুলা, রূপবান সিনেমাগুলো
baa9027518	29f8c	১৮ পয়েন্ট নিয়ে
baa92a3a28	65652	আর একবারও যাব না
baa9622b49	9e923	মেয়েগুলো পাখির খাঁচাকে
baa96dca34	0d9f1	আর্বিভাব ঘটে
baa988799d	bfac7	বাবা সৌদি আরব থেকে
baa9898575	f7a7f	তিনি আলোচনার শিরোনাম
baa99cac7f	03284	আমি খুব বেশি পড়ি
baa9ad4bdc	32998	বাংলাদেশ ব্যাংক সূত্রে
baa9dd5382	7b103	একটি তদন্তকারী দল
baaab49cb3	4c555	টেস্ট টিউব বেবি
baaad9c326	f1ff2	পাশাপাশি কিছু টেলিভিশন
baabf8b78b	717bb	সেটাও ঠিকভাবে মানা হচ্ছিল না
baac4aaf08	c3cca	বছিলা সেতু পার হয়ে
baad1140de	2d98b	হবিগঞ্জ ত্যাগ করতে
baad3be3cb	a43b5	উচ্চারণ করলেন না
baad789dc7	a699c	আমার ছেলেবেলা কাটিয়েছি বরিশালে
baad89d8d2	06527	যখন ভারত স্বাধীনতা লাভ করলো
baaf8ad252	66c6b	গোটা ঐ এলাকা
baafc03914	903fa	বিশ্ববিদ্যালয়ের
baafc2ba64	ff0fe	নিয়ন্ত্রিত পরীক্ষার
baafed55e2	2c9c5	লাল-নীল টিউব লাইট দিয়ে
bab01e10f0	82926	পৃথিবীতে বহু রকমের প্রাণীর দেহেই
bab031506b	ca831	লিমনের কপালে
bab041202b	75936	নিজের পঙ্গুত্বের জন্য
bab08793aa	75626	আমাদের আহ্বান
bab16509a6	870e3	নিভিয়ে ফেলা হয়
bab2727048	16877	এবং চেয়ারপার্সনের সাথে
bab2788998	9351a	স্নাতক ডিগ্রী লাভ করে থাকেন
bab336e324	66b3c	দ্বিতীয় বিশ্বযুদ্ধে
bab445e91a	b618b	মরা ঘোড়াকে ঠ্যাঙানো
bab4b318a5	d3e06	তার সর্বাপেক্ষা জনপ্রিয় উপাখ্যান
bab50fe016	e31e7	হিতাহিত বিবেচনা না করে
bab5300456	a699c	ভোর থেকেই
bab577f3ef	0bace	এই স্টেশনে
bab5d37d9f	f83df	গোয়েন্দা তথ্যের ভিত্তিতে
bab5f0fab5	8ba2b	বাংলায় আগমনের পর
bab62cfc84	11de3	ঠাণ্ডা হলে
bab653e75e	ff1c3	চমৎকার শিকার হয়ে বসে আছেন
bab67af43f	4c555	কোথায় অবস্থিত
bab69c05d8	1de6c	ড্রাই ফ্রুটস আধা কাপ
bab701efd0	32b3e	ধনেকুচি ১ কাপ
bab7177301	ee7b2	আলোচনার দিনক্ষণ
bab72c326d	860f4	ফুলবাহারি ঘর মুছে
bab772929b	351dd	পাঠকের দুশ্চিন্তা লাঘব করতে
bab77f389a	256f5	রিপাবলিক ঘোষিত হয়েছে
bab7a6de86	c11b1	কোনো কোনো জায়গায়
bab813c06d	b8bba	চিরদিনের অংশ
bab8323036	e00db	খানিক পর পর
bab87ff0c8	57d54	জানায় শিক্ষা মন্ত্রণালয়
bab8c1d0ea	2ac82	মানুষের আচরণকে যথেষ্ট
bab9248ffa	2ecf8	জনসংখ্যা হল ১১৩৮৩ জন
bab92f9951	cb1aa	ব্যবস্থা নিল বাংলাদেশ ব্যাংক
bab9866da0	58998	সালমান শাহ স্মরণে
baba4bceb1	80539	শতসহস্র লোক সঙ্গে নিয়ে
baba71fe9a	7f2ef	তাঁর বিখ্যাত কয়েকটি সিরিজ
babb43c718	9fa90	বাংলাদেশ উপকূলে তীব্রভাবে
babbb41b67	420df	রুহুল আমিন
babbdbaeec	a9a58	অহল্যার মুক্তির
babc2c47bc	c463d	কামিনী
babc9d07b2	9351a	শুধু মজা করে বলেছিলেন
babd1b3571	0a87a	মা সব সময় বলতেনও
babd374dbe	06527	বিদ্যুৎ দশ হাজার মেগাওয়াটে
babddbb67a	77f82	১৯৯২ সালের বিশ্বকাপে
babde8fe96	a699c	জাতীয় পরিচয়পত্রটি
babe50cf7a	fbb81	সবচেয়ে বেশি বিক্রি হয়েছে
babe75debb	4f2ae	এক দিনে ৬০ কোটি টাকা
babe8f781a	590d0	পশ্চিম, দক্ষিণ,
babecca776	ea8fa	পুলিশের একটি গাড়ি
babed8af75	6b437	কমিউনিস্ট পার্টি
babfb8770c	f600a	একটি বাসে আগুন দেয়া হয়
bac09e097b	c5479	বাঁচতে অনেকটা
bac0f7dcaa	8b859	গ্রেপ্তার হলে
bac14cc577	7ee9b	নিচ্ছেন না তিনি
bac1c913b1	12702	ইসলাম-বিরোধী
bac1cef04a	33aef	নানা ধাপজুড়ে জড়িয়ে রয়েছে
bac1d0ca0a	a43b5	ব্যক্তিগত হাজিরা থেকে
bac26d5ff1	ef915	হুমায়ুন কবিরের কথা
bac2a7b08b	58998	সারাদেশে হরতাল ডেকেছে
bac2f3f77a	13b70	পতাকা নির্মাতাদের
bac35dbb64	91223	এটি ঠাণ্ডা মাথার খুন
bac366b144	0d4cb	আইনের উপর ভিত্তি করে প্রতিষ্ঠিত
bac3d179f7	d5f7b	দেশি-বিদেশি বিনিয়োগ প্রস্তাব
bac3e75c59	43b04	আসলে কি ঘটেছে
bac467b943	7297e	ঢাকার সদরঘাট থেকে
bac4eb3773	06ea3	শিশুপালের গোটাকতক কটূক্তি
bac4f09d5e	3f875	শ্রম আইনে ট্রেড ইউনিয়নের
bac523816d	f1ea4	উপর নিয়মিতভাবে
bac54c40e7	e9759	গণ তদন্ত কমিশন
bac59d2cdc	28dfc	গণভোট দেয়া উচিৎ
bac5ad7cbe	11de3	২৭শে ফেব্রুয়ারি
bac5c6acfa	fd880	দুটো ঘটনা তিনি
bac5d35807	71522	মুখোমুখি হবেন
bac61af7f2	3f875	কয়েক রাউন্ড গুলি চালিয়ে
bac6bfd522	577fa	তন্ময় ধর
bac6fab1f9	10a9f	ইসির আইনশৃঙ্খলা বাহিনী
bac722106c	c7a89	কসবা থানার ওসি
bac73a5b85	f837a	তার অস্থিমজ্জার
bac80f9c13	2695f	তা থেকেই প্রথম গোলটি করেন
bac89cf098	8c120	আমার সম্ভব হয়নি
bac9b8200c	121bd	সময়ের অগ্রবর্তী ছিলেন
baca193330	2bd99	নিজের চুরি যাওয়া পণ্য
bacab1ef76	8406e	বিকল্পধারার কর্মী সমাবেশে
bacb4a1236	23b22	দুটো চপ
bacbcbd28e	a3a6d	বাড়িতে কাজ করেন
bacc2a826a	98b81	লোকের অসুখ-বিসুখে
bacc497175	b78ec	নববধূকে নৌকায় তুলিয়া দিতে আসিয়া
bacc4e0542	ca088	তিনি আমেরিকার কাছে
bacc9c4df5	49d63	অ্যান্ডারনাখ দাবায়
baccb2b666	cd3ac	পা
bacd0408bc	0edef	এ কারণে চাঁদপুরের সঙ্গে
bacd090eac	92bd8	নিচে প্রকৃত শিলালিপি
bacdd91d22	43fc0	বুকের মাংসের
bacdf8f521	c11b1	সাইদ কুতুব এই ফলাফল জানিয়েছেন
bace61fddc	93080	সেনাবাহিনী সাধারণত
bacef3b1d3	0d8c1	তা শুধু আমি না
bacf05fef6	d2294	বন্ধ থাকতে পারে বলে
bacf128654	0606d	সুস্থ হওয়ার অপেক্ষায়
bacf5760c4	520fb	টিআইবি’র প্রতিবেদনের
bacf645201	e754e	প্রতিবেশী দেশ হিসেবে
bacfd7e094	8406e	আদালতের নির্দেশনা অনুযায়ী
bacfd999ad	0b7ca	বিবিসি বাংলার শুভজ্যোতি ঘোষ
bad01756e5	06e62	কাল নাগিনীর প্রেম
bad02d081f	16cfb	সেখান থেকে অটো রিকশায়
bad03506c4	767ff	চেষ্টা করিয়াছেন
bad04f0ab6	e89bb	কাজের মধ্যে এই
bad067a2de	13b6a	ধাক্কা দিয়ে চলে যায়
bad0b468de	ad69a	দেখিয়াছে
bad0cf59d4	e2c11	প্রায় বিনা বাধায়
bad0e20fd3	14816	এরপর ২০১০ সালের
bad0ff0c24	0a87a	তখন রাত্রি গভীর
bad10a63a5	274ee	কামদেব
bad1367a03	5d12f	ঢালী আল মামুন
bad145974e	75936	তথ্যগত ভুল
bad179ba65	e00db	আমারও একটু যেন সেইরকম ঠেকছিল
bad194abae	25696	বিশ্বের সবচেয়ে ছোট সংবিধান
bad2061150	52f27	শ্রমিকদের দেয়া হয়েছে
bad240f64b	d82d9	চরমপত্র অনুষ্ঠানটি
bad25affb4	7d004	শিক্ষিত লোক
bad26ca988	d9ba9	এবং পূর্ব তিমুরে
bad283d106	2d98b	জন-লোকপাল বিল
bad2eb3498	b9b98	এসব বিবেচনায়
bad328a077	f29bf	জেলা
bad383f8fd	e7230	সে কবি কে
bad3cecc24	903fa	ঈদের দিন আমার স্বামী
bad3fdef2e	8c120	দেশটির বিভিন্ন জেলায়
bad4035267	98b81	স্টিফেন হকিং
bad4db76d1	5dd61	অফিসার ইনচার্জ
bad5078d8e	ba2f6	হাজার হাজার অভিযুক্ত করা হয়েছে
bad55a9ad2	bc81e	সংসদ ভবনে, শপথ শেষে
bad565e7ad	ac904	মোহনের চোখ বাঁধা
bad57e8a16	8a46d	তাঁহার বাঙ্গলায় চারিজন
bad66b3fb0	6c17f	জড়পদার্থ না হইয়া কি করিবেন
bad6856ea5	a43b5	মহানায়িকার শেষকৃত্য
bad748deab	0744c	প্রকাশ
bad7ad5400	75626	কিন্তু কী হয়
bad7df44ac	1f733	এ কারণে তারা
bad810c753	4bd2c	সন্ত্রাস বা চাঁদাবাজি করে
bad8572d24	bd576	দর্শকরা আশা করছেন
bad8854a78	f7a7f	কবি হেলাল হাফিজ
bad8a0eed6	fb4cb	পার্বত্য ও সমতল মিলিয়ে মোট ৬৭ জন
bad8bee34f	7b103	জানুয়ারির সমীক্ষায়
bad8e6a208	7f71c	হিন্দি রিমেক
bad9437051	d2d71	এই বিপুল কর্মশক্তির
bad9b5f596	410fa	লিমন মাথা ঝাঁকায়
bad9bdbab5	7df87	দাঁত শিরশিরের যন্ত্রণা থেকে
bada81867c	16a17	ভক্তি প্রদর্শন করিলে
badae4d1ab	9f25e	ঘর করে থাকে
badb0587a5	cd3ac	বন্ধ রেখে
badb59b4c7	eecdd	বসে পড়ে
badb67bb44	f29bf	সেখানেই রয়েছেন
badb71f873	16e96	হওয়া যায়নি
badba693db	e6752	লাশ উদ্ধারের আগের দিন
badbc0740c	ec91c	করে যাচ্ছেন তারা
badc15ed39	c11b1	দ্রাবিঢ় মুন্নেত্রা কাজাগম
badc300684	68ab7	শঙ্খ
badc4c1879	dba43	ছয়টি নান্দি পুরস্কার
badc785afd	315e9	যদিও এটা অবৈধ
badc8f5e01	14d25	আজব ব্যান্ডের
badcf49acd	ce180	বুধবার চট্টগ্রামে যাচ্ছিলেন
badd1417b7	b08d0	অফিস থেকে এসে
badd797582	09f0d	মরচেপড়া পেরেকের গান
badd8224bb	a43b5	রিক্তা রাজি না হলে
badde480f2	3bb15	এক বছরে জিডিপিতে
bade0941af	e3f89	কিছু দিব না
bade3543a7	d5f7b	করে দেয়া হতো
bade4bcfc6	0b7ca	মিল্কি হত্যাকাণ্ডের
bade6ec3b1	c8f7f	কুয়াশা বাড়তে থাকলে
badeb52da7	91230	রাজা শেফিউস এবং রানী
badef34c48	adf01	ব্যর্থতার প্রশ্ন আসবে
badefa752c	fbb81	গ্রামের বাড়িঘর
badf16a2c1	80518	প্রত্যূষে উঠিয়া বন্দীরা
bae00b40de	80539	আটকা মাংস তোলার কাজে
bae046d41d	c2082	নির্দেশনাও দেওয়া ছিল
bae08f775b	2bc73	বি জে পি-র সমর্থন না পেলে
bae0ea1dd1	1a4a9	খুশি হওয়ার
bae102ffa3	256f5	নিরাপত্তা ব্যবস্থা এমন হবে
bae1294372	18460	১০ বলে ৮ রান করেন
bae1475365	bfac7	চ্যাম্পিয়ন হয়েছেন
bae187dfed	95f83	বাংলা ১২ মাসের
bae1923cbb	cc18a	কোনো সম্ভাবনা নেই
bae1ae2ee3	a1201	পার্শ্ববর্তী সাথী ফ্যাশনসহ
bae1d7adbd	a43b5	রামায়ণে আছে
bae275f326	1de6c	গান পরিবেশন করবেই
bae307348a	355c1	এ রাজ্যের নারী পুরুষ
bae30ce11a	b7be9	মূল নদী ভরাটের জন্য
bae3ddf9da	e03ce	বা তার প্রণেতা
bae538897d	4fbd1	অনুষ্ঠানে প্যানেলিস্ট থাকতেন চারজন
bae68e0d5e	88654	জন লুইস সেদিন
bae69ca4d8	80539	জন কেরি
bae69f6a9e	d5f7b	কলকাতাই উপন্যাসের নায়ক
bae71a0f60	aa820	তাহলে যেখানে
bae767c030	29f8c	৩০০ বছর আগে
bae7b744b5	6da0a	পারেন না বলে
bae7f3e8f5	bdd05	এ তথ্যের সত্যতা
bae83ad6d7	88654	এর পর তাদের
bae90b7cab	d3e06	বুজে থাকা মানুষ
bae9244200	95907	প্রিয়জনের কেনাকাটা শুভ
baea48b342	03284	ম্যাক অপারেটিং সিস্টেমের
baea7ac094	3fce2	বিধবা অবশিষ্ট ছিলেন
baeaae2255	1e7c7	১৯৩৬-১৯৩৯ সালে
baeabdeb96	767ff	জীবিত অবস্থায়
baeb1ddbcd	49d63	বেলুন
baeb5cae2e	b7be9	আসামিদের প্রত্যেকের
baeb90a1a2	ee994	প্রতিবছর বইমেলার সময়
baec8c1556	13b6a	কণ্ঠশিল্পী কল্যাণী ঘোষ
baecad9989	adf01	একজন প্রখ্যাত কবি
baecb9d3eb	8845d	সমস্যার একটি বড় কারণ হিসেবে
baed8963cb	47e8d	মেশিনের সাহায্যে তৈরি হয়
baeda5e3a2	4bd2c	তাকে নথ বলে
baedb1d103	a06a1	লাভ ও মূল টাকা
baedf246cd	a699c	কাল অনেক রাত পর্যন্ত
baedf3c82c	dec2d	মালিক
baee2a7ae8	a7c6f	এর শক্তি ধ্বংস হয়ে গেছে
baee2d051e	d41be	দেখা দেয়
baeede54c5	693cb	অচল হয়ে পড়ে
baef53eb0c	b52ab	ময়মনসিংহের পুলিশ সুপার
baef653a30	d9ba9	ইন্স্যুরেন্স খাতে ক্ষতি হয়
baef998e29	54cdd	মোজাফফর হোসেন বলেন
baefb3a96c	323f1	সম্প্রতি একটি নির্দেশনা
baf048164b	e43d4	দেখতে গিয়েছিলাম
baf0a5a90e	bf530	তাঁর বিদেহী আত্মার
baf0c7c24f	65652	বলা যায় না
baf0d8a10f	4e900	ওই সংস্থার
baf0e685bf	ac904	বাস্তবে এই চুক্তি স্বাক্ষর করতে হলে ২০১৫ সালের মধ্যেই আরো অনেক গুরুত্বপূর্ণ কাজ সম্পন্ন করতে হবে।
baf0f8ad3d	0b7ca	তাঁর বোন মার্গট ফ্র্যাংককে
baf1572221	c0d65	প্রাকৃত ভাষায় পরিণত হয়
baf1dbb72c	2d98b	আমাদের কথা জানিয়ে দেয়া হয়
baf1faa78a	f2b7d	হয়তো ইলিয়াসের অনেকটা সময়
baf1fcc21b	b8ed8	ছিলেন বিখ্যাত
baf240f7fc	2aecc	এতে পরিস্কারভাবে ভোক্তাদের অধিকারের
baf27c677a	3bb15	মাদাম সেজানের চিত্রের সামনে
baf44fd3fb	fda1a	যে ব্যক্তি মনুষ্য-চরিত্রের
baf460eb6a	e6752	টাকা দুটি পকেটে নিয়ে
baf4761113	7aed9	এখানে ছিল কনিষ্কের সামার ক্যাপিলাট
baf4dd3e7d	d2355	তাঁতিরা আজ দিশাহারা
baf4f92796	e8dde	এই খবরে তিনি
baf5686e81	3d17c	শ্রমিক রয়েছে
baf58d694c	4fbd1	মাল্টি মিডিয়া মুঠোফোন থাকায়
baf6126835	32c77	পিঠে কিলও হয়ত দেবেন
baf66b4a82	56508	‘এপিটাফ’ সিরিজের
baf6b54bc7	d7a68	অপারগতা প্রকাশ করলে
baf6c744d1	d5213	এই সম্প্রসারণের ফলে
baf70539e9	0e637	রেজ্জাকুলের জড়িত থাকার পাশাপাশি
baf707a8ac	98b81	চোখের ওপর
baf7ca8ec5	23291	আবেদন আমলে নিয়ে
baf805dba8	698ff	অনেক আফগান নাগরিক
baf80778e7	d7a68	চুল পড়া থেকে
baf8301624	2aecc	সেদিন রাতে
baf9008ce8	4c555	তাই দেখা গেছে
baf9410912	698a4	ইন্ডিয়ান প্লেট
baf961bb12	b8ed8	সুখের সংসার করছে
baf9bf8f0e	f2097	গত বছর পাসের হার ছিল
baf9cc6a6a	7d3e1	এ আবাসন সুবিধা দেওয়া হয়েছে
bafa459e2d	d3e06	গোল করে
bafa8380c2	693cb	স্টিমার দুটির প্রতিটির দৈর্ঘ্য
bafac98811	e3f89	দেখা যায় কোন দ্বীপ-কালো
bafb3c2e9a	54cdd	আমার প্রজন্মেরও একই দশা
bafb86df06	92f59	গত বছরের ৯ই ডিসেম্বর
bafd1e3f2a	46d49	মুক্তিযোদ্ধা সনদ
bafd4bf4b4	ca088	দুর্বার আসক্তি
bafd90e7ab	f1ff2	চলচ্চিত্রটির মহরত অনুষ্ঠিত হলো
bafdb3b14c	ea5be	তবে গায়ে লেপ্টে থাকা
bafdb6948c	7b900	শালিক পাখি
bafe37adfc	5cb47	অন্যান্য দেশের মতো চীনের উপস্থিতি
bafe6065c3	6ee5f	এই জায়গায়
baff1f2237	c6848	মাম
baff9c203b	a9a58	মানবাধিকার পরিস্থিতি নিয়ে
baffa31ddd	3ccf1	অদ্ভুত ব্যাপার
