b0001a6dae	7027a	সংবিধান থেকে
b087e47bc2	33814	শকুন্তলা পুরানো
b0885547d5	404ee	ফরিদপুরের এক বৃদ্ধ জেলে জানান
b0885c5198	b78ec	যানজট সৃষ্টি হয়
b0887cc07d	6b437	দাম ৩শ’ থেকে ৪শ’ টাকা
b088b4c234	1de6c	এক সময় আমার দেখাদেখি
b088dee083	c41d8	প্রাণকেন্দ্র ছিল
b089539f68	cd3ac	এর কিছু বেচেটেচে আমাকে যদি
b0895db631	d9ba9	বাসাইল উপজেলার ৬টি ইউনিয়ন ও ১ পৌরসভায় মোট ভোটার এক লাখ ১৯ হাজার ৭৭ জন।
b08a067f8c	b78ec	রামেন্দ্র মজুমদার বলেন
b08a258736	c9c19	এক মহিলা তাকে ফোন করে
b08a298f00	410fa	অংশ নেন ১৯৯৫ সালে
b08a299365	430b2	আধখানায় পর্দা ঝুলিয়ে দেওয়া
b08aacd3b7	b9a81	জরিমানাও করা হয়
b08affc3f7	33aef	বাষ্পাচ্ছন্ন হয়ে ওঠে
b08b140b6a	e3d8b	গাছটি নিয়ে আরো
b08b38bb7e	491a5	অগ্নিকাণ্ডের ঘটনায়
b08bd04060	ce180	নিত্যনতুন চিত্র-রচনা থেকে
b08bfc4404	2de86	পথের এই ভয়ানক অবস্থা
b08c3b2276	442b7	সহকারী পুলিশ কমিশনার
b08d0bb858	f0f95	কতদূর গিয়া
b08d47833a	509f6	এক্ষণে কেবল আমাদের
b08e156182	69d9a	ধ্বংসস্তূপের নিচ থেকে
b08e21b7ac	d82d9	পকেটের জন্য মঙ্গল
b08e5a02b9	778c0	ব্যবহারকারীর নাম
b08ec6d18e	f2097	বীরাঙ্গনারা সবকিছু থেকে বঞ্চিত
b08ed19e87	b8bf0	অস্ট্রিয়াতে স্বল্পসংখ্যক
b08ed6e5ab	d1b12	রাজপুত্র আজও ফিরেন না
b08efb5b9d	943de	ছুটির দিন
b08f165b48	aa820	বিএসটিআই সরকারি পর্যায়ে
b08f368195	59c73	বুকভেদি দুঃখ-যন্ত্রণা
b08f44eb15	91ac1	আগামী ১২ সেপ্টেম্বর
b08fb489a3	01e91	উপজেলা পরিষদে উপস্থিত হলেই
b08fd8abae	7df87	আবোল তাবোল
b08fea97dd	c173f	গরিবের নাম
b0904739d7	616ec	এ সুবিধা গ্রহণের
b090bcc2f7	7b900	বর্তমান পত্রিকা
b091342aa3	6ee5f	তাকে নতুন করে
b09183b776	23291	তা তো না-ও হতে পারে
b091ca1a26	12702	চীনের আনহু প্রদেশের
b091f912b3	e6e48	সেই মানুষের প্রতিভূ
b091fd8b21	7351e	জুমার নামাজে সেজদারত
b092c95570	0edef	লেনদেন শেষে
b092d9a3df	6973e	প্রথম দুটি চলচ্চিত্রে
b093127d45	11de3	একটা দুইটা তিনটা ডিম
b0936ba914	9092b	সব কথা আপনাকে বলবার
b09387928c	6d129	এখন পুলিশের হাতে
b093c71194	d7a68	সংশ্লিষ্ট সকলকে নিবেদিতভাবে
b0947f3d5d	dae88	জাতীয় নির্বাচনে কোন দল একক সংখ্যা গরিষ্ঠতা পেয়ে বিজয়ী না হলে প্রেসিডেন্টের ভূমিকা তাৎপর্যপূর্ণ।
b094822edb	da6f0	রয়টার্সকে এ তথ্য জানানো হয়েছে
b0949258a1	dfefa	কোপ মেরে জখম করেছেন
b094a9fd9f	404ee	নাটোর শহরের
b094d7190f	fb4cb	তাই দেব তোমাকে
b0952109a8	64092	আমার দেহ মন
b095412c04	39293	দুলিয়া উঠিতেছে
b095573c3f	91dff	একেবারেই স্বাভাবিক প্রক্রিয়া
b09596ac56	9282d	প্রক্রিয়াটিকে তিনি
b096416e1a	1c618	গুলশান থানায় একটি মামলা করলে
b096503629	d136b	ফেব্রুয়ারি মাসে
b096aa6b33	43fc0	মনে করেছিলেন
b096c8ac4b	4c555	ইউরোপীয় দেশ স্পেন
b096e1e03b	bf530	চার-পাঁচটা আউটডোর খুলে দিয়ে
b097889d89	388c9	বিপুল জনপ্রিয়তা লাভ করেছে
b09850dacd	8ba2b	অর্ধেক রাজ্য
b09899aff6	442b7	এটা ভাবেননি
b098d23565	fda1a	নাজিম প্রবর্তন করেছিলেন
b0998c8b8a	80518	সাকিব-ববি জুটির
b099b2fa70	b9122	দেড় মাস দিনরাত বাজিয়ে
b09a391f89	06e62	স্টিমার দুটি নির্মাণে ব্যয় হয়েছে
b09a86050f	321b6	সমস্যা হয়ে দাঁড়িয়েছে
b09aab0fcf	d2294	রাজিয়া বেগমকে
b09ac31a81	f1240	বিশেষতঃ পাড়াগাঁয়ে
b09acfbfcd	2aecc	ডাকাত দলের কেউ কেউ
b09b5617a6	6dff5	জল নূপুর
b09ba56010	39293	যেন বহিরাগত কেউ
b09c7291bb	f6e55	সবাই সমান খেলে না
b09cf9f1c0	c0d65	৩ শতাংশ করার প্রস্তাব করেন
b09d51c0c1	0bace	গুগল প্লাস তার হাতেই সৃষ্টি
b09f971207	195f7	ইতালি, সুইডেন, বেলজিয়াম
b09fb71e58	bdd05	তিনি হয়তো
b09fe66c40	91b16	শপথ হতে পারে
b0a03ac354	b9b98	জাঞ্জিবার পতাকা উড়াতে
b0a05ed873	2ecf8	নামাজ শিক্ষা বই ডাউনলোড
b0a06675da	e9589	এ পর্যন্ত গৃহীত হয়নি
b0a0917464	2695f	মানে ৩১ অক্টোবর রাতে
b0a0ac8d99	31f09	অলিম্পিকের সকল গেমসে
b0a1ee3126	c958a	নিরাশ্রম নিরবলম্ব হইয়া
b0a2027517	c749e	নাটকটিতে নানা ধরনের
b0a3318c11	16cfb	তলপেট লক্ষ করে
b0a35845e7	92bb2	তিনি ক্যাম্পাসে
b0a38df71a	f2097	বসবাসের যোগ্য মজুরি
b0a3d67cf3	c0d65	গত ২৪শে নভেম্বর আশুলিয়ায় তাজরীন ফ্যাশনস কারখানায় অগ্নিকাণ্ডে শতাধিক শ্রমিকের প্রাণ হারান।
b0a4083bd9	4c1eb	এ সপ্তাহের সাক্ষাৎকার অনুষ্ঠানে
b0a47a95a9	4f450	শতমুখী ব্যবহার করিয়া
b0a4b271f3	c2082	ঘটনাস্থলেই গাড়ির চালক
b0a4bb9b90	967fd	ভালোবাসা কি অপরাধ
b0a4ee48a6	25696	ঐক্য গড়ে তোলার
b0a583ae63	75936	ভিয়েতনামের একটি বিমান জানিয়েছে
b0a63be1e0	01e91	বরাবর অস্বীকার করেছে
b0a685c8af	ee852	মুসলিম শাসকবর্গ
b0a6a69fc0	2ecf8	বাঘা ভাল হয়ে গেল
b0a72656b4	2d98b	উড়তে উড়তে
b0a7b1afec	43fc0	পুরুষ ৫১%
b0a7bcbecf	e3d8b	আবেদনকারী কেবল
b0a7fd26db	4f450	আশা করি আমরা পারবো
b0a872e369	6ab59	এই শিক্ষা
b0a8971fec	d711f	আওয়াজ দিতে দিতে
b0a8cbc288	d1a48	বনগাঁ
b0a8e6ae5b	76329	চাপা পড়েন তারা
b0a9a0c81f	c749e	রাস্তা সুশোভিত ও সজ্জিত
b0aa1651fb	6973e	সেনাবাহিনীর কোর্টমার্শালের অনুরূপ বি এস এফের নিজস্ব আদালত জেনারেল সিকিউরিটি ফোর্সেস কোর্ট এই মামলায় অমিয় ঘোষকে নির্দোষ বলে মুক্তি দেয়।
b0aa53024e	32b3e	২৫ বছর না হওয়া পর্যন্ত
b0aa584462	c3cca	আমি পুরনো নীতির সাথে
b0aa77f110	bf530	৪০ টাকা দরে
b0aa96f36b	520fb	এইবারের নির্বাচনের পটভূমিটাও
b0ab2dee27	38d3a	ধারাবাহিক প্রসার
b0abada81f	91dff	জন্ম ১৭ অক্টোবর, ১৯৬৫
b0abae13b1	db181	বীরগঞ্জ পুলিশ
b0ac03dc00	43fc0	বাসের পেছনের দিকে
b0ac0555d8	ec91c	পড়ে যায়
b0ac3a6ec8	6ee5f	মো. আনোয়ার হোসেন
b0ac50da4e	8c07c	তাজমহল বা শুধু
b0ac5b0ece	d1b12	যার খেসারত
b0aca43a0d	93080	পুরো জাতির মধ্যে
b0accb8700	491a5	10th teacher registration
b0ad1cdf2d	ac904	হেফজতকারীরা সরকারি কর্মচারীদের
b0ad95df18	b7be9	তাল মিলিয়ে
b0ad98897d	11915	তাদের প্রচেষ্টার অংশ হিসেবে
b0ada5380e	84145	তার মৃত্যুতে আসনটি
b0adb930e7	e7230	যে জ্ঞানলাভ করিয়াছিলেন
b0ae10ee2d	5b13f	সন্দেহ তৈরি হয়েছে
b0ae164233	ce775	মোকাবেলা করার মতো
b0ae303031	6aac8	আমরা বর-কনে গাড়ি থেকে নেমে
b0ae31db73	7b103	বরাবরই এ অভিযোগ
b0ae59d110	9813c	ফরেক্স ট্রেডিং
b0aea6d251	577fa	আগামী ২৮৮ দিন ধরে
b0aeb88ba6	6ee5f	সাহিত্যিক, প্রাবন্ধিক এবং পণ্ডিত
b0af3ed518	410fa	তারা এসব অসহায় নারীদের
b0afce424b	11bd2	বাবুরঘোন গ্রামে
b0aff17acc	ad050	ভোররাত একটার দিকে
b0b020b959	8c120	মরদেহ থেকে
b0b0d4f9e3	79b06	পদ্মা সেতু নির্মাণের সাথে
b0b0e1d149	d3e06	হয়ে উঠতে হলে
b0b0f63c29	c41d8	নির্বাচনের দাবিতে
b0b105f979	e6e48	কেক বানানোর দুটি পাত্র নিন
b0b192a603	a06a1	কাছ থেকে হচ্ছে
b0b1d64b84	93bf3	খেলনা লাগবে
b0b1e82788	c6848	দিনের দ্বিতীয় খেলা ছিল ইংল্যান্ড এবং নিউজিল্যান্ডের মধ্যে।
b0b21e3b1b	09b32	তিনি পেয়েছেন
b0b220efac	ff0fe	ইমাম গাজ্জালি ইন্সটিটিউটের
b0b244c718	121bd	অজিত রায়ের প্রতি
b0b35c5440	b8fe1	বেছে নিয়েছেন
b0b3d4c1ca	b618b	কিন্তু সরকার সেগুলো
b0b3d9105a	e9fa7	বাড়িটি বিশাল
b0b3f819da	0e637	ঘুপচিমতো জায়গা
b0b42de3f0	03284	দেশের বিভিন্ন অংশ থেকে এসে
b0b476e41d	0606d	ফলে ফরমালিন মেশানোর
b0b4cd569f	4f450	একই সময়ে ব্যাংকটি
b0b4d5cc32	274ee	নিঃসরণ সীমিত করবে
b0b4f676af	85430	বিমল চন্দ্র সাহার ছেলে
b0b514d1db	cb627	সেখানে একবার টেস্ট করা হয়
b0b6379a7c	e00db	অনেককেই বলতে শোনা গেছে
b0b66281e5	442b7	কিন্তু তখনকার লোকদিগের ন্যায়
b0b6c1380e	b8bba	শাপলা চত্ত্বরে
b0b6c2919a	14d25	রুপালি
b0b6de0995	c5dc8	কালান্তক লাল ফিতা
b0b6e541ef	2bc73	যৌক্তিকভাবে প্রতিটি দ্রব্যের
b0b714c837	11bd2	নকশা খোদাই করা পাথর
b0b76f24c3	bdd05	মঙ্গলীয়ের গায়ে
b0b7b1ea55	68ab7	যার যা মনে হয়
b0b7d54a7f	698a4	ক্রেতাদের
b0b7d9e4a1	e68af	অনুষ্ঠিত হল সাধারণ নির্বাচন
b0b894e1fe	6b437	চিরাচরিত অভ্যাস
b0b8e00147	25117	দক্ষিণ ভারতে
b0b8fb776a	2bd99	ওয়েস্ট ইন্ডিজের বিপক্ষে
b0b9a67810	ff1c3	রাজনীতি নিয়েও বই লিখেছেন ওয়াজেদ মিয়া।
b0b9ab9e11	860f4	ইফতারের পর
b0b9ea1d72	9d46f	সেই দুই ম্যাচে আমরা
b0ba15d17e	7297e	আমি গুনে দেখি
b0ba72a58a	ca088	১ কোটি ৬১ লাখ
b0ba8515fe	b4ea7	বিল্লালের পারিবারিক কলহ চলছিল
b0ba98639f	d41be	একটু ঘোরাঘুরি করতেই
b0bb513294	f2097	এখন নিজেকে অনেক
b0bc182a8f	29d44	দেশের প্রথম নারী স্পিকার
b0bce21a9c	c0965	উঠে আসছে
b0bcecf386	aabe7	রক্ষণশীলতা চিরকাল যুক্তিবাদিতাকে
b0bd5d6e48	9642e	যাদের চুল পড়ার
b0bd98d9ce	442b7	পর্যটকরাও ছোট ছোট নুড়ি
b0be3d8c33	72649	পকেটেই থাকে
b0be476bbe	1a2a1	ছাপা হতো
b0be5dcd0f	29bab	এটি সম্পাদনা করেছেন
b0bf9bb685	11de3	রাশিয়ার সাথে
b0c02b8413	f1ff2	সেলফিটি বেশ আলোড়ন সৃষ্টি করেছে
b0c02db707	db181	কলম ধরেন
b0c04d3b12	d2d71	তিনি হিন্দু ধর্ম থেকে
b0c051c9d8	0895a	বিশ্বকাপ খেলতে যাচ্ছে
b0c06645fb	eecdd	বাংলাদেশ জ্ঞান ও সৃজনশীল
b0c073dd9f	49543	মুক্তিপ্রাপ্ত মজবুর ছবিতে
b0c0d236f8	4c555	তবে তারা দেবভ্রষ্ট হবে
b0c12d5a13	9c8dd	কৃষ্ণ বিষ্ণুর
b0c14f500f	c749e	কাজ করা হয়নি
b0c15b95ce	65e30	তার জায়গায়
b0c17da57d	01e91	এরই মধ্যে ডাক্তার এলেন
b0c185d4e3	2396d	ইভিল কোনো ক্যারেক্টার
b0c1fdf757	410fa	সৈয়দ শামসুল হক-এর
b0c22e5af7	0d9f1	মোট ৬ হাজার
b0c2a10936	b00ba	উড়োজাহাজে করে, করাচি
b0c2bc5e40	33aef	কর্তব্যরত চিকিৎসক
b0c2becc8b	ee4ad	তা নিয়ে বিশেষ মাথা ঘামান না
b0c2d8b1cc	cc9fd	কিন্তু তারা সেটিকে
b0c360a5bb	4ea73	রোববার ঢাকা মহানগর আদালতে
b0c51560cf	68ab7	সকাল থেকেই
b0c546278e	95907	বাল্টিক দেশ এস্তোনিয়া, লিথুনিয়া
b0c603cf60	38ff0	নিজেকে প্রতিষ্ঠিত করার
b0c629bc6d	5354e	প্রভাব ধরে রাখতে পারছে না
b0c64051ec	6c17f	চাষ করার অনুমোদন
b0c67e4b2d	ff0fe	তার ভক্তদের মাতিয়ে রেখেছেন
b0c689f438	0e637	মূল ভবনে
b0c69d0025	f837a	ছেকা
b0c69e7d70	cc18a	দাম নিয়ে হতাশ
b0c6d77c99	9c8dd	তারা প্রকাশ্যে মুখ না খুললেও
b0c71d01b1	2ac82	এবং জাতীয় ও আন্তর্জাতিক ষড়যন্ত্র
b0c766b714	2556b	গ্রামজীবন বহুকাল ধরে
b0c7769385	ef915	হাবিবুর রহমানের গল্প ভাবনায়
b0c79134f8	17dcd	বিরোধী নেত্রীকে
b0c7c6944a	e3d8b	তিনি সুন্দরী
b0c7df7366	f600a	ও প্রত্যক্ষদর্শী ১২০ জনের সঙ্গে
b0c7e23f1f	af81d	মহানগরীর নিষ্ক্রিয় নেতারাও
b0c879f644	ee852	স্বাগত জানিয়ে
b0c890aec3	e2f12	এই খবর নিশ্চিত করেন তিনি
b0c8e1dc7a	121bd	এই অনগ্রসর জনসমাজ
b0c94f300d	0633a	তারেক রহমানের ভিডিও বার্তা
b0c988720c	ee852	এখন তো তুমি
b0c98d8ec4	bf530	সংগ্রাম করতে হচ্ছে
b0c999d2e6	3fae0	স্থাপন করা
b0c9b73f62	9065c	কুর্মিটোলা জেনারেল হাসপাতাল
b0c9dbbf48	23b22	মেঘনার সঙ্গে সম্পর্ক চুকাইয়া
b0c9e104ae	69449	গরম রাখার জন্য
b0cb133c96	8406e	অন্যান্য জেলা থেকে
b0cb413c90	6dff5	প্রায়ই কানে ভেসে আসে
b0cb4f3964	698a4	গত জুন মাস পর্যন্ত
b0cbae5d79	fdcba	জানানোর কাজ করবে
b0cbb1b1ab	b9a81	চতুর্থ বলেই বোল্ড হয়ে
b0cbcea3d5	1e7c6	তিনি মমতাকে কটাক্ষ করে বলেন
b0cbd11da6	bdd05	তথ্য জানানো হয়েছে
b0cc833631	932bb	এডিবির ঢাকা কার্যালয়ের
b0ccb1f4a7	0895a	উড়ন্ত বস্তু্র
b0cda5abf9	c3cca	তৌসিফ
b0cdf8b2d1	2840e	বিক্রি করতে
b0ce06e579	5e80b	পলি
b0ce095e50	23b22	৫৪তম মিনিটে ব্যক্তিগত দ্বিতীয় গোল করেন পোডলস্কি।
b0ce3a1cd7	0f047	পুরস্কারের মূল্যমান
b0ce7c2449	6d129	ব্যবহার করে আসছে
b0ce8dacdb	5cb47	পীরবাড়ি থেকে
b0cecf1cbf	491a5	নিজেদের সৌভাগ্যবানও মনে করতেন
b0cf4e081d	e50f1	পরমেশ্বর রাগ করে উঠে গেল
b0cfda3058	11915	ডাক পড়ল
b0cfe0a109	420df	গণতন্ত্রের প্রতি বিদ্রুপ
b0d0204f9f	93d3b	গাড়ি থেকে নামে
b0d02fe2e3	3d17c	তারা ২০০৬ সালে
b0d0fdee69	d0c70	বিশিষ্ট লেখক হিসেবে
b0d11d8271	68549	স্মরণশক্তি বাড়ানোর জন্য
b0d1729038	2fc12	বৃহস্পতিবার সকালে
b0d1a3e40c	7b60a	দুটি স্মার্টফোন নির্মাতা
b0d1a6eee3	e9589	এবং চরমপন্থী ও জঙ্গিবাদী
b0d1ac13b8	68549	তার ক্ষতি পুষিয়ে নেয়া
b0d1dae047	0a87a	বৃদ্ধ পথচারীকে পাশ কাটাতে গিয়ে
b0d26b1ff7	967fd	তিনি লন্ডন ইউনিভার্সিটিতে পড়াকালীন
b0d2af1785	bc81e	আমার বাড়ী যাওয়া হয় না
b0d2b059d3	4fbd1	খোঁজ নেয় না পিয়াল
b0d2f1c534	91223	রাত ১২টা ৪০ মিনিটে
b0d3598aa1	b9b98	অপেক্ষা করতে হবে আমাকে
b0d3ae7676	3f875	নদীতে সৃষ্ট তলদেশের গর্তে
b0d41ee8d8	a06a1	আলাদা স্বকীয় টেকনিক আছে
b0d4396b2e	7297e	হাওয়া উঠলে
b0d4697d41	ac904	হার্ভার্ডে তিনি কয়েকজন
b0d51e4fe6	d1b12	দেশের হালহকিকত সম্পর্কে
b0d693e22d	fb4cb	অসংগতি ধরা পড়েছে
b0d6e84937	66b3c	কওমী মাদ্রাসাগুলো নিয়ন্ত্রণে
b0d6f75c14	e2c11	যায় না
b0d7031f7c	287bd	তবে তা সামাজিকভাবেও বিভিন্ন দ্বন্দ্বের সৃষ্টি করতে পারে বলে তিনি মনে করছেন।
b0d79bcbae	b9122	ডিজিটাল তথ্যের উপস্থিতি
b0d81996d7	f0f95	আরেক দর্শকের মত
b0d83ad47f	ac0df	সে ভাবলে, মাগো
b0d86f1c7d	315e9	পূর্ববঙ্গের মানুষের প্রবণতা যাই হোক
b0d8b91bb2	13b70	এই গাছ
b0d8cf339c	3c897	ছেলেদের মুখে দাড়ি
b0d92a7885	dba43	ফলে জীর্ণতা তাঁকে
b0d9e4fd55	0edef	আবার বাগান করারও শখ আছে
b0d9f1c43d	95f83	বিদ্রোহ করার সামিল
b0da692946	f1240	ছোট
b0da8a4024	ee994	গ্রামের সাধারণ লোকেরা
b0da943505	e2ba2	শত্রুদের অনেকে
b0daa64619	bbb22	নির্ভুলভাবে নির্দিষ্ট সময়ের মধ্যে
b0dad2ac61	44322	কাজের পরিমাণ বেশি
b0db2d485a	fb4cb	বিদেশি
b0dc1b8894	76329	প্রসাদ খেয়ে
b0dc607833	80518	প্রায় চূড়ান্ত বলে জানিয়েছে
b0dceabb59	37e17	পৃথিবীর বাইরে
b0dceb0748	32998	প্রচণ্ড বেগে
b0dd8a44e5	52578	এ কেন্দ্র নির্মাণ করা হোক
b0dddabc94	089ef	সমাজের বেশ গভীরে
b0de31ab21	c463d	বিদ্যমান রয়েছ
b0df433bd4	69449	ছাড়িয়ে যাচ্ছে
b0df4f3489	6c6bf	খুবই আন্তরিক
b0df5f99b2	06ea3	নতুন ভার্সনের গুজব শোনা যাচ্ছিল
b0dff52250	85430	নিশ্চিত করাও সহজতর হবে
b0e08ea61a	6a35e	তারা নিজেদের ভাষা, সংস্কৃতিকে
b0e0b6dba1	1c618	তাও আবার বসে বসে
b0e10d3f06	d41be	দুদক ১১টি মামলা করে
b0e1279afe	2fe3c	বিমানটিতে বেশ কিছু শিশুও
b0e13d9bd7	ce629	অবক্ষয় ডেকে আনে
b0e14b15d3	43b04	জবানবন্দি ও জেরা
b0e158013f	fcefa	প্রায় ৩৫০ মিলিয়ন
b0e1996ddc	ec91c	তারা ঘুমাচ্ছেনও তুলনামূলকভাবে
b0e1bc8ed6	e2c11	কৃষ্ণ সহ্য করিয়াছিলেন
b0e1bf1bf5	6973e	বর্তমান অবস্থা খুব জটিল
b0e1d5e26a	39dd0	পদার্থ
b0e216bfc2	8845d	ব্যবহার করছে
b0e23cc491	d1b12	নিয়েছিলেন স্বামী বিবেকানন্দ
b0e259fee9	536d9	হাই কোর্টের থেকে জামিনে ছিলেন
b0e27f6c58	32c77	এটা আমাদের কাম্য নয়
b0e3073ba7	1e7c7	এসেছিলেন
b0e3309dcf	0633a	মশহুল হয়ে
b0e37fbbcc	91b16	স্টকে থাকা সব সময়ই ভালো
b0e3b6469b	4fc91	গত ২৩জানুয়ারি সন্ধ্যায়
b0e3c83477	06736	উজ্জ্বল তারা
b0e492c9cd	590d0	দাঁড়িয়ে থাকতে দেখা যায়
b0e4decdf1	65652	পাল্টা ব্যবস্থা নেয়া হবে
b0e533ff71	2840e	আজ অবধি পৃথিবীতে প্রায়
b0e540bc00	e9589	নির্মিত জার্মান থ্রিলার চলচ্চিত্র
b0e600d7cd	1a4a9	উনি বাড়ির ভেতরেই থাকেন
b0e6bea928	1f733	বাংলা একাডেমির
b0e726af1f	f2097	আর অভিজ্ঞতারই শস্য
b0e7645cf3	8845d	১৯২০র দশকে
b0e7c9d8ce	2de86	পৃথিবী সূর্যের চারদিকে
b0e7dc755e	c9c19	প্রচলন হয়েছে
b0e7e0e0ff	13b6a	অফিসের গল্প
b0e8180075	194f5	কাঁদিয়া তাঁহাকে দোষ দিব না
b0e855f33b	ad2a0	হয়তো তা শুধুই
b0e85eeb8a	1f733	আপনি সরকারি অনেক ফরম
b0e8c3c8c4	80be1	ব্যালট পেপার ও বাক্স
b0e8c802ad	d7a68	বিচারকাজ এখন চলছে
b0e9641aa0	3bb15	এ বাড়ি ঢুকতে
b0e9d45285	d1b12	গ্রহাণুসমূহের শ্রেণীকে
b0e9fee44c	ad69a	নানা শাস্ত্রে পন্ডিত
b0eab8dc81	7b900	দণ্ডবিধি বা বিশেষ ক্ষমতা আইনে
b0eac3cff1	14d25	তারা আর্থিকভাবেও স্বচ্ছল
b0eb3bd7c2	eb179	প্রতিটি পাড়া, মহল্লা, বড় বড় সড়কের পাশের দোকান থেকে অভিজাত হোটেলগুলোতে থাকছে নানা পদের খাবার।
b0ebb3303b	9b864	রীতিমত অবাক
b0ebe31e85	d9081	মেসিডোনিয়ার রাজা
b0ec34901c	25696	লোকনাথ বাবা
b0ed737314	1a4a9	একটি সুরপ্রধান ভাষা
b0ed90cfb4	9813c	নব-নব রূপে আবির্ভূত হয়েছেন
b0edae9cfb	c0965	মনুসংহিতায় বলা হয়েছে
b0edc40d7f	c6848	পশ্চিমের নারীবাদী আন্দোলন
b0ee229131	7a227	তাদের মাতৃভাষা বাংলাকে
b0ee3e479b	d7a68	নইলে ফার্সীতে
b0ee8d528a	5dec6	আশ্রয়কেন্দ্র, স্কুল ও নিকটস্থ বাঁধে
b0eeac7750	086dd	খোলা পড়ে থাকে বই
b0eeadabc7	7aed9	সব রাইডস এখন মুখরিত
b0ef137868	d9ba9	অধ্যক্ষ স্যার বললেন
b0ef1919a5	404ee	বিবেকে বুদ্ধিতে, বিচক্ষণতায়
b0ef38d677	92bd8	মতিউর রহমান নিজামীকে
b0ef48cfd8	eb179	হরতাল প্রত্যাহার করতে হবে
b0ef7d097f	c0965	১২ তারিখের মধ্যে
b0efa1076d	ef4f8	কাশীর বিশ্বনাথ
b0efb16afc	37d7e	প্রত্যক্ষ আদান-প্রদানের সুযোগ
b0f07bb249	44322	কিন্তু সেই ভূমির মালিক ছিল
b0f0d31e24	23b22	ভালো কিছু দাঁড়িয়ে যাবে
b0f0ecdbee	2aecc	মোট ১০টি এয়ারক্রাফট
b0f1cbc9b4	321b6	চুলের ধরণ বুঝে
b0f1d076f1	b8bf0	জীবন ও সঙ্গীতের
b0f1e5bfb1	2396d	ভিডিওচিত্রে দেখা যায়
b0f269ad3b	536d9	৪০ জন যাত্রী
b0f2f25fb8	4237e	২০১২ সালের ১৭ জুন
b0f3957d00	c1e30	আকর্ষণ করে
b0f3b18bca	4ea73	প্রথম হয়েছেন শিরিন আক্তার
b0f3b49793	f837a	পোষ্টার আর ব্যানার
b0f3d77085	d2faf	পুরোপুরি চালু হবার পর
b0f470bc31	153c9	প্রথম নারীকে
b0f4b27d54	11bd2	প্রচুর নিন্দা ও গালিগালাজ প্রত্যাশিত
b0f4c695d8	06736	আগামি দুই থেকে তিনদিন
b0f5395ef0	46da4	একদিন দুপুরবেলার দিকে
b0f57854b0	11915	এবং তিনিই
b0f57f4b17	4ea73	গতকাল দুপুরে ধানমন্ডিতে
b0f59f8e21	0d9f1	ইমামপুর
b0f5c572fb	2ecf8	এর আয়োজনকারী শহরের জন্য
b0f5c91e2f	c11b1	প্রাচীন ভারতবর্ষীয়দিগের চিন্তাদোষ নহে
b0f5e7aa3a	33aef	ছবিতে আরও অভিনয় করবেন
b0f64aa2c5	c3cca	যা সমুদ্রপৃষ্ঠ থেকে
b0f64d5e13	404ee	বাচ্চাকে বাঁচাতে
b0f64e29e6	06736	জনগণের সঙ্গে বিশ্বাসঘাতকতা করে
b0f70362e4	7898e	কটি দল ও কজন প্রতিদ্বন্দ্বী
b0f7558261	9092b	বিনা প্রতিদ্বন্দ্বিতায় নির্বাচিতদের
b0f7ac7f0c	acb88	বাংলাদেশ সংলাপকে নিয়ে গিয়েছি
b0f7be9212	7d004	তা থেকে সে আগে
b0f87f8787	43199	স্বাধীনতার পক্ষের শক্তিরাই
b0f8ce1f26	6c6bf	সৃষ্টি করে
b0f8eb1dc1	9b864	প্রায় ধরে ফেলতাম আমি
b0f9098afb	809cd	জ্বরে ভুইগা যেন
b0f917ef61	cf82a	চাকরি যাওয়ার পর
b0f91cde3b	e754e	বেতন-ভাতা
b0fa0fe917	ee886	অনিমেষ ঢাকার
b0fa283eb6	6dff5	বিচার চলাকালে মারা যান
b0fac86efd	2396d	আরো অনেক বৃদ্ধি পেয়েছে
b0faea3ac7	4ea73	ছেলে-মেয়েরা
b0fb60d228	3fce2	সেই হিজড়ার প্রেমে পড়েছে এক হিন্দু তরুণ।
b0fb7604dc	f7a7f	আন্তর্জাতিক শ্রম সংস্থায়
b0fc64f0ea	dec2d	সময় হলেই
b0fc6b9c4c	49543	কারাবরণ করতে হয়েছে
b0fce7c6eb	29bab	তাঁর দলের
b0fd2ee51c	ad050	নড়ে চড়ে
b0fd708d11	73629	স্থানীয়রা ৩৫ যাত্রীকে
b0fdc234d6	ff1c3	বাংলা একাডেমির
b0fe12d8c2	ef4f8	এই বন থেকে
b0fe151469	91b16	একটি কেন্দ্রে ব্যালট
b0fe4cface	03284	কোন সদস্যের অপরাধ প্রমাণিত হলে
b0fee37bfd	6ab59	পরেই দ্বিতীয় উজ্জ্বল তারকা
b0ff1b7a6e	554fe	অ্যামনেস্টি ইন্টারন্যাশনাল
b0ff33dc4c	c958a	সাইবার ক্যাফে
b0ffeaafd1	6ab59	মোল্লা আমজাদের সঞ্চালনায়
