840012549a	a43b5	আরিচার বুকে
848d0e6516	a46e2	নিজের সংস্কৃতি বলে গ্রহণ করে
848d3c0572	c0965	সরিয়ে নিতে রাজি নন
848d70b747	3fae0	ডাক্তাররা কর্মবিরতি করছেন
848da28100	3bb15	ভর্তা রেসিপি
848df0ef10	25696	দেখিতে পারিতেছেন না
848e21aa7b	6a35e	ফুল শয্যা
848e46a45c	c9c19	জলদস্যু জাহাজের সাথে
848e4ed7cd	0a87a	আমেরিকার মাঝখানটা খুব সরু
848ebe7c54	ce180	গৃহপাঠের পালা শেষ হলে
848f262b09	2f547	ইলফোর্ড এলাকার মনির জামান
848f46c971	23291	রক, ফাংক
848fc487e2	9b864	কিছুটা স্বাভাবিক
84900e8ec1	4dd57	যে কোনো কিছু হতে পারে
849046ed08	13b6a	ধারণ করে আছেন
84909adc9d	8406e	গাড়ি ভাংচুর করেছে বলে
8490de646d	1f733	আহ্বান জানাচ্ছি
8490f837b5	db735	ঠিক যেরূপ পড়িয়াছি
8491083b26	fb4cb	এটি অধিকন্তু নয় যে
84916bc69b	693cb	অভিধানের বিক্রি বেশি হয়
849201dfca	43199	নন্দিত নরকে
8492071444	8406e	প্রায় গোটা রাত্রি
849270e9e2	f4ba7	কমে যাবে
8492b0290e	0606d	কেননা আপনাদের অনেকেরই
84933332d4	80539	কার্যত মাঠে নামেনি
8493632a15	adf01	এই মর্মর সৌধের
8493cdbd8b	967fd	তার ওপর নির্যাতন চালান
8493f45cb6	92bb2	সকালে ঘুম ভাঙলে দেখি
8494c8a07b	239f7	তা নিয়ে বিতর্ক
8494ef4114	4ea73	দাঁড়িয়েছে আজাদ
84952b33bf	60f77	কতোটা সহায়ক হবে
8495aade87	c6848	তবে আমাদের টেলিভিশন মালিকদের
8495eb2777	2c9c5	আবুল প্রস্তুত ছিলেন না
84965ba015	693cb	ভয়াবহ সাজসজ্জা
849671db3f	c3cb3	অস্ত্রের মুখে
849695c6f8	8c120	আমার নাম নেই
8496d2f24d	12702	আমাকে এখানে কেন
849714417f	53396	ভাড়া দিয়ে
849717b8c0	ce180	দাসীকে দাসী বলে মনে হয় না
84971dc4bf	e9fa7	পারে না
8497915488	932bb	ছুরি ধারান মসজিদের ইমাম
8498809be4	ee4ad	বেলা করে ঘুমাচ্ছেন
8498864a46	4f2ae	আছে বলে মনে করেন তিনি
8498af11a3	60f77	তারই উপযুক্ত
8498c6de1b	28bb3	তিনি পেয়েও যেতে পারেন
849954f5ec	54e68	হরতালে সহিংসতা
84996b4964	932bb	২০০৯ সালে প্রথমে মেরিল বিউটি সোপ, পরে কেয়া নারিকেল তেলের বিজ্ঞাপনে মডেল হন বর্ষা।
849972fcc6	12702	শামসুর রহমান ও দীর্ঘদিন পর
8499c4d8c1	95907	ব্রনের দাগ দূর করার উপায়
849a349d93	93d3b	আমার চুরি বিদ্যায়
849a659702	ca088	জনপ্রতিনিধিত্বের প্রতিফলন ঘটায়না
849a976676	9f25e	চলচ্চিত্রটির সাফল্যকে
849afee3f3	ad98d	যাঁদের হাতে
849b1026d3	98b81	পাঞ্জাব
849b258a28	b00ba	বুক পকেটে লাগে
849b488aca	dec2d	মজুরি পাঁচ হাজার টাকা করার
849b63bd9a	06bb7	তবে সেটা
849b677f57	aab0f	শরীরের অতিরিক্ত মেদ ঝরাতে
849b82c6d6	7027a	বাংলামেইলকে ঘটনার সত্যতা
849b87e1a4	fcefa	তাতে আমাদের বিন্দুমাত্র সংশয় নাই
849c67d390	c11b1	কিন্তু এই খাবারটি
849c7e71e8	16877	ড. হুমায়ুন আজাদ লিখেছেন
849dce0b77	53396	বছরের পর বছর
849e070e13	92bb2	এটি উত্তরবঙ্গের লালমনিরহাটে
849e08661e	bdd05	মাথাটি সামনে পেছনে নড়ে
849e3b89f2	46da4	স্পেনের এই ফরোয়ার্ড
849e3ead37	f2b7d	পানি প্রার্থনা করে
849e6af565	e6e48	কতকগুলি ভিজানো চাল
849ea409c9	af81d	আমরা সাঈদীর ভক্ত
849f0599d6	b08d0	ভেতরে যাত্রী
849f192be3	a43b5	আমরাও শোরুমে
849f21ef07	323f1	বানানো হয়
849f3dde7f	6e6fa	বন্ধ থাকবে না
849f5aff9e	eecdd	বনফুল
849f79eddf	31f09	সিজোফ্রেনিয়া রোগে আক্রান্ত রোগীরা
849f83bfaf	03284	নির্বাচন বয়কট করেছেন
849fbe8de5	4bede	একসঙ্গে এত কেজি সোনা
84a0029474	43b04	দরগা থেকে
84a074d7b4	66dcd	হিন্দু জনগণও
84a091ad0f	a46e2	বার্ন ইউনিটে তার মৃত্যু হয়
84a0b8b5d3	d9817	চায়না
84a0d16060	8c120	জনগণের সরাসরি ভোটে
84a113295f	7aed9	পরিবার থেকে বের হয়ে গিয়ে
84a127c7a1	274ee	যুক্তরাষ্ট্র আসেন
84a14976bf	a916a	বাংলা ভাষা ও লিপির ক্রমবিবর্তন
84a2ba7977	9351a	প্রতিদিনই দেখানো হয়
84a2e44d68	c7705	এছাড়া আমেরিকা ও ইউরোপের ক্রেতারাও নানা পদক্ষেপের ঘোষণা দিয়েছে।
84a2f28592	80505	যেন শেষ হতে চলেছে
84a3821ead	4237e	খালেদা জিয়ার ছবি
84a3eb8130	d2294	পারছিলেন না
84a3f5c34c	42898	বনের ভেতর
84a3fed5ab	43199	কি করবি এই কাগজরে
84a415b3e4	64092	আমি যে লক্ষ্মী মেয়ে
84a4a28a3e	91ac1	দলকে বাঁচিয়েছেন তিনি
84a4acfe60	a06a1	তাঁদের সম্পর্ক ছিল
84a5ca899f	4a918	শরীর বানাতে
84a6625467	5dec6	উমাচরণ দাসের মত
84a773bacd	f658d	যাত্রা শুরু করেছে
84a79491aa	860f4	সোমবার নানা আয়োজনে
84a8165fb7	92bd8	সেই কনকনে শীতের রাতে
84a82bfb27	f6e55	মুসলিম লীগের
84a8536339	b00ba	পেনাল্টি পায় স্বাগতিকরা
84a8696f37	8143b	এন শ্রীনিবাসন আন্তর্জাতিক ক্রিকেট কাউন্সিলের চেয়ারম্যান নির্বাচিত হয়েছেন আর জুলাই মাসে তাঁর দায়িত্ব নেওয়ার কথা।
84a8bb1a01	ff1c3	শিক্ষক ডট কম
84a958abbc	287bd	২০০৯ সালের ৯ মে
84a95d2426	a3a6d	পাটগ্রাম
84a9de0a7a	1f733	বাসে পেট্রোল বোমা হামলা চালিয়ে
84aa4cd0d5	a916a	বিস্ফোরণের পরই সাবমেরিনটি
84aa9afe87	0d4cb	গবেষণা বিভাগের প্রতিষ্ঠা
84aab975c9	ee4ad	এতে রক্ত চলাচল বাড়ে
84aaee883c	ad050	মারা যান আরো ২ জন
84abf2947a	1cb75	বালু ভরাট করা জায়গাগুলোই
84ac2a138a	f2b7d	অপ্সরা
84acd4f3e7	ee994	দুটি করে উইকেট নেন
84ace9cabb	b8fe1	পাহারা বিদ্যমান রয়েছে
84ad0709c1	bbb22	গত দশ বছরে আলজেরিয়াতে
84ad748312	ca831	সব দিকেই বিপদ
84ae49c547	e9589	এবার অবৈধভাবে পদোন্নতি দেয়ার
84af3a58fe	28dfc	শিক্ষকও ছিলেন
84af8c328b	3d17c	ইতিহাস
84afd5cdcb	282d3	আমি ভাবলাম
84b00ee8d6	5dec6	আগে ২০০৫, ১৯৯৬, ১৯৮৯
84b05d4b2a	a46e2	আগস্ট ২০০৯ নাগাদ
84b077f9ca	8c120	অটো লুডভিগ প্রেমিঙারের
84b0a14c55	52578	এজন্য তিনি বারাণসী আক্রমণ করিয়া
84b0a633a1	967fd	১৯৬৪ সালের
84b1692c1b	b2a62	এটিকে বলা যেতে পারে
84b1890847	c749e	শাকিল আনোয়ার জাহাঙ্গীর আলমকে
84b1907fe1	c1e30	এ বিষয়ে সুযোগ করা হবে
84b1cd2243	baa02	কয়েকজন নারীর উপর
84b1d76be3	cc9fd	প্রথম ৪৭ বলে
84b2578789	76329	রেস্তোরাঁ মালিক খাবারে থাকা
84b2969f34	11bd2	দৈবের ইঙ্গিত বলেই মনে হলো
84b315f22b	7ed14	উল্টো দিকে সোহরাওয়ার্দী উদ্যানে
84b3ad70ed	d136b	জাতীয় সংগীত শুনে পাতার মর্মরে
84b3bd9d5e	f837a	১০৭ রান করা মিঠুন
84b3e2d609	17ca1	গুলজার ছবিটি নির্মাণ করেন রাজস্থানে
84b456af61	a9a58	আইসল্যান্ড, দক্ষিণ গ্রিনল্যান্ডের
84b4b40d49	7b132	প্রথম বাংলা সার্চ ইঞ্জিন
84b4c6f6f2	16a17	চূড়ান্ত করবে বোর্ড
84b4f24d34	43199	জাতীয় ও আন্তর্জাতিক ঘটনা
84b527f336	43b04	লেবাননের সীমান্তে
84b5bb5dca	ee4ad	পরোক্ষভাবে বাংলাদেশের
84b66b5892	d71a3	জিকির
84b6776077	f280a	স্পিন সহায়ক হয়ে থাকে
84b6779a2e	cb842	এক ঘণ্টা ভোটগ্রহণ
84b67a784a	d7a68	যদিও কখনও জানা যায়নি
84b69e9638	06527	অভিধান ব্যবহার সহ
84b6e447f4	4a67e	বোকা বানানোর এসএমএস
84b72b5627	43fc0	দেখতাম প্রায়ই
84b7401493	d71a3	তাই ধারালো
84b74c4131	0e637	এ কারণেই ভারতের সঙ্গে
84b74cf88b	dec2d	লৌহনির্ম্মিত বেড়ী পরে আমরা
84b75c0f2a	880ae	পরে কথা বলি
84b7f78588	09f0d	বাংলাদেশের ফুল
84b8074a94	8845d	আনুশকা শর্মার মতো অভিনেত্রীর সঙ্গে
84b87a37b1	315e9	বাবার গা ঘেঁসে
84b8c57416	ff1c3	এ বছরই ২০১৩ সালের জন্য
84b9fb304e	29f8c	ভেঙ্গে দিয়েছে
84bad4d765	7b60a	একটা মুগুরবিশেষ
84bae02942	a1d4a	হাবিবুর রহমান
84bb85f927	536d9	সবকিছু রয়েছে
84bb9fb286	09b32	সে রকমই
84bc249580	22096	এত কথা
84bc853c2c	d8c80	জমির মালিকানা দাবি করেন
84bc960c9a	9282d	২০১৩ গ্রহণ করেছে
84bd3cc864	0c39f	বাড়িটির ইজারা বাতিল করলেও
84bd421047	2bd99	পাকিস্তানের অধিনায়ক মোহাম্মদ হাফিজ
84bdbe686a	d1b12	কিন্তু বঙ্গভঙ্গের সময়ে
84bdd666da	e03fc	মানুষের মিলন মেলায়
84bed3bc87	d0c70	সাক্ষাৎকারের ভিত্তিতে
84befca790	0f047	গুরুতর আহত অবস্থায় অর্জনকে
84bf2165a3	9282d	সেই দৃশ্যটি ভুলবেন না
84bf49c6bd	967fd	আখ হল বাঁশএ
84bf545454	c4973	নেতৃত্ব দেবার সময়
84bf8140d6	194f5	চলতি অধিবেশনে
84bf9f67f4	dec2d	২০০৯ সালে পদত্যাগ করেন
84bfc6814a	c3cb3	ক্ষমতাসীন থাকা অবস্থাতেই
84bffdf2a4	5d80e	অসাড় শূন্যে
84c000decc	1a4a9	কাজ করতে দিতে
84c04ad5b6	0744c	ঢাকা ট্রিবিউন
84c092f979	75626	আমরা সারা জীবন ধরে
84c0a8e002	79b06	এই দপ্তরে
84c0cc0b13	77f82	তাদের ভালোবাসার
84c111325b	ad050	শেষ হয় না তাদের
84c15f3b98	bdd05	হীরের আংটি তথ্যটির
84c1ecc90b	9f25e	মিডিয়াতে জল্পনা কল্পনার
84c1feb357	2695f	নখ দিয়ে ছিঁড়েফেড়ে
84c28a6105	5a61c	নিশ্চয়ই আজকের তরুণ লেখকেরাও
84c3175a3e	16877	বিলুপ্ত করার দায়
84c3259443	91230	আসামি করে
84c37bfbad	315e9	এক্ষেত্রে সরকারী কর্মকর্তা
84c3a0745f	a1201	দেওয়া হয়
84c41cd21d	1f733	তারাই ষোলশহরে ছিল
84c55d29a3	03284	আলোর দিকে চেয়ে রইল
84c5e1e9d0	93bf3	দাম চাচ্ছেন প্রতিটির
84c6837580	420df	ও বন্ধু লাল গোলাপী
84c68c6a28	cc9fd	কাজ করত
84c6b2b561	ee886	কবিতার বই
84c6fcb532	d0c70	সরকারকে দায়ী করে
84c7095faf	c3cca	সজল ভিন্ন ধর্মাবলম্বী
84c72787e4	6973e	আবদ্ধ করিয়া
84c729110c	cf82a	আবার ঘুরে
84c7655217	730c3	খুপরির সামনে দাঁড়িয়ে
84c7665331	fdcba	তালা ছিল না
84c78622c9	06ea3	সরিয়ে নেয়া হলে
84c807dabe	75f18	মুক্তিযুদ্ধের পক্ষে
84c8478a2d	66b3c	বসে আছেন কেন
84c86cc512	7027a	৩০ জুন পর্যন্ত
84c8806ac6	d5f7b	কানামাছি
84c891353a	bbb22	ঋতুস্রাব
84c8c71391	8b859	চেষ্টাও করা হয়
84c8df82c5	7f71c	বরেণ্য ব্যক্তিত্বদের সঙ্গে
84c8f66a69	d41be	ম্যাচের দ্বিতীয়ার্ধে
84c99b2f32	d1a48	আরো অভিনয় করেছেন
84ca5c36bd	8c07c	নিয়ন্ত্রণে থাকবে
84ca749392	6c6bf	পরিস্থিতি তৈরি হবার সম্ভাবনা আছে
84ca8acb25	2f547	বৃন্দাবনবাসী গোপীদের সঙ্গে
84cad6862d	9642e	প্রথম বড় ধাক্কার পরেই
84cadf7bdf	d1a48	উৎসাহ এবং অনেকের রক্ষণশীল ভাবনা
84cb5e0b9a	91ac1	বনিকবার্তা
84cc66dcb5	10a9f	তেমন দেখা যায় না
84cc8da98c	14816	রাস্তার কথা বলা হয়েছে
84ccc966cf	2ee04	মি. মামুনের ব্যাংক অ্যাকাউন্টে
84cd1b3c4c	ff1eb	ঢাকায় একটি যাত্রীবাহী বাসে
84cd279311	a43b5	জলের গান ডাউনলোড
84cdabac50	a8710	বিশ্বরূপ ঘোষ দস্তিদার
84cdb2a0ec	da6f0	মুদ্রিত দ্বিতীয় সংস্করণেও
84cddcd82e	39dd0	১১টি অধিদপ্তরের
84ce0bf274	44322	লোকটি স্বয়ং আল্লাহতায়ালা
84ce354180	4f450	রাধা
84ce9d0c39	85430	তাঁদের মাহফিল হয় না পরিত্যক্ত
84cf062d19	c0d65	ঘরোর ঘরোর ঘরোর
84cf147e81	68ab7	এক চাকমা পরিবারে
84cf7f1933	d2355	গুলবাদিন নাইব ও নাজীব তারাকাই
84cf876207	590d0	এমন প্রস্তাবের সমালোচনা করেছেন
84cffd2557	b618b	লেখা থাকবে
84d006da22	8143b	সবই হয়েছে
84d0075b72	4dd57	অংশ নিয়ে
84d007955d	bc81e	সোশাল নেটওয়ার্কিং সাইট হিসেবে
84d0096d6c	31f09	বাংলাদেশে সদ্যসমাপ্ত
84d061bae4	57d54	রামপাল বিদ্যুৎ প্রকল্পের কাজ
84d0a87c54	590d0	সিরিজ হারের
84d0daa676	2556b	শাওন বলেন
84d0e5525e	d5213	টাইম জোনের পরিবর্তন
84d1098db8	bbb22	বিচারক
84d1463a3e	ac904	মাঝ বছরে
84d20da31d	6d129	কিছু ট্রাক পণ্য নিয়ে
84d222a211	09f0d	তবে একবার
84d2847c56	66dcd	ব্যক্তিগত এসব আলাপচারিতা ইন্টারনেটের মাধ্যমে ছড়িয়ে দেয়া হচ্ছে।
84d287b637	33814	সম্ভাব্য অপর আরেকজন
84d2b73cd9	b08d0	স্থানীয় আলুর বীজ
84d2fdb618	9065c	ব্রিটিশ কলাম্বিয়ার
84d312f590	698ff	এমন আমি মনে করিনা
84d34fbfc8	0696e	বোঝার উপায় নেই যে
84d35f05ba	cb1aa	কালুগাজী ও চন্দ্রাবতী
84d3fd45ce	0e637	একজন করে তারকা উপস্থিত থাকবেন
84d432f4cd	25696	কাজী হায়াতের আলাপ হচ্ছিল
84d4e9e7c3	adf01	৯০ এর সামরিক শাসন বিরোধী
84d57d9a83	60b9d	দু'জনকে অপরাধী বলে
84d5b45d1e	66b3c	আটকা পড়েন দুজনই
84d6754101	1cb75	তালী থেকে প্রথম ফ্রান্সে আসে
84d6cf4714	64092	মুদীর পয়সা
84d70f65fa	c6848	সীমাবদ্ধ দৃষ্টিভঙ্গি
84d7665236	1c618	অক্টোপাস আটটি
84d7892b3e	d9ba9	শ্রমিকের মৃত্যু হয়
84d8a19d18	53396	নাসিরনগর
84d8df4618	0e637	উদীয়মান অর্থনীতির এই দেশটির
84d8ef87fd	4f2ae	কারণসমূহ সংগুপ্ত ছিল
84d9370f5b	410fa	বরং প্রাপ্ত বয়স্কদের
84daab2dd5	03284	বাক-এর এই আমন্ত্রণপত্র পড়ে
84dab34db8	8143b	অয়লার ইঁট
84dba7bb09	8406e	মত দেয়া হয়
84dbc7272b	f89d7	মেঘনার পানি ছিল
84dc83e33b	4ea73	তরুণ-মন
84dd358b46	60f77	বিভিন্ন দপ্তরে
84ddbc84cd	f0f95	সম্ভাবনা প্রবল
84de3f450f	e8dde	সাক্ষাৎ হইল
84de4a6e6e	37e17	মর্মবেদনা লক্ষ্য করা যায়
84dec36e10	b8bdd	মানবাধিকার সংগঠন
84df9bf287	e2ff7	পথদিয়ে চলাচলকারী শিক্ষক
84e17309a9	21e54	কোনও আল্লাহরসুল মানা
84e19444b6	b618b	তার সঙ্গে কথা হচ্ছিল
84e23fe8a9	23291	কুপার অভিনীত সিনেমা
84e27d19f5	eaa7a	প্রিন্সেস ক্রিস্টিনা
84e27fbc26	7ec1c	এক্ষেত্রে খুব বেশি
84e2c4a990	8b859	চুপ করে
84e2ced3e5	ad2a0	বেশ অনেকটা
84e346dfea	f1240	তিন ফুট উঁচু
84e369b903	13b6a	অন্যরকম
84e399be1e	6aac8	স্টেট কিরিবাটি, নাওরু
84e3c373ae	590d0	ভাঙচুর করে
84e3e89765	39293	গোয়েন্দাকাহিনী সংখ্যায় অজস্র
84e3f64cb2	60b9d	মাইনে পাচ্ছে
84e4037313	7351e	পারিবারিক কলহ মিটবে
84e422ccac	fd880	সবার জন্য
84e431cfd7	b08d0	শুক্রবার বিকাল ৪টার দিকে
84e46fa3ca	121bd	৫ হাজার টাকা
84e4bb5da7	2c9c5	বৈঠক করেছেন
84e4d4687c	967fd	নয়টারও বেশি
84e5295e2d	cc18a	বেশ কয়েকজন আহত হন
84e5ab7418	7f71c	আড্ডায় মেতেছি আমরা
84e6132d48	287bd	ইউসুফকে গুরুতর
84e648cb54	c7705	বেঞ্জামিন রোডসও আছেন
84e6635bc4	089ef	তার প্রতিবাদ জানাতে
84e6a5805e	baa02	পিঁয়াজ, রসুন, কাঁচামরিচ
84e704c23b	13b70	আক্রান্ত এলাকাতে জরুরী ত্রাণ ও চিকিৎসা সেবা দেয়ার জন্য বিশেষ দল পাঠানো হয়েছে।
84e70aba64	6b437	অর্থভাগ্য চরম
84e7328771	bcaa8	রেলক্রসিং অতিক্রম করার কারণে
84e74273e8	b9a81	লোকসভা নির্বাচন ২০১৪
84e80d37bf	7b60a	আঁকড়ে ধরে
84e867259c	d2faf	রাজনীতির সাম্প্রতিক খবর
84e87d6ab5	c6848	দেড় যুগ পর
84e8ef1385	2396d	অত্যন্ত শঙ্কিত
84e9b9818d	9813c	তুমি আবার কেমন হবে
84ea3c1cfe	2396d	নানা রক্ষণশীলতার কারণে
84ea6b0837	0606d	মজিদ খানের শিক্ষানীতি
84ea6f4fc7	6e8cb	যে বিধান সেটি কমিয়ে
84eaa2f76f	5cb47	নিশিকন্যা
84eba3d23b	f29bf	জটিলতার ছুতো দিয়ে
84ebb25033	f2b7d	অবাধ নির্বাচন হয়
84ebbcfb24	9813c	এটা আমার দৃঢ় বিশ্বাস
84ebf0a597	a699c	বদিউল আলম মজুমদার
84ec5a8886	14816	চুলের যে কোনো সমস্যা
84ec716ed5	4ea73	নীতিবাক্য
84ed2d8a53	cfc65	অন্যায়ও তেমনি ঈশ্বরপ্রেরিত
84ed424aaf	f2b7d	একটা নীল রঙের
84ed4fed02	ced74	পর্দার আড়ালের কুশীলব
84ed6e19ee	9c8dd	সেন্সরবোর্ডের ছাড়পত্র পেয়েছে
84ee12b56a	e2f12	জাতীয় গুরুত্ব বিবেচেনা করে
84ee1fbbb8	3b1f7	কাজ করলাম
84ee2fa1cf	0edef	ফখরুদ্দীন সব চেয়ে
84ee3f0e82	c749e	এমন এমন শিক্ষকও আছেন যে
84ee5a0818	d136b	একমাত্র ধর্ম ছাড়া
84eec799b5	321b6	এখানে পরিচিত
84eee26687	195f7	সে আরাম বোধ করবে এখন
84eefb2abb	06e62	সেটি কখনও জানা যায়নি
84ef3408c3	2840e	সব কাগজপত্র ঠিক আছে
84efafd5c0	13b6a	সাংবাদিকদের বলেন
84efcafc6c	e50f1	ফরিদপুর গোডাউন থেকে
84efd1c422	80e98	দলের প্রধান ব্রাড লোয়েন বলেন
84f049fe23	23b22	কাপ
84f06a5de6	c3cb3	টিকিয়ে রাখা মুশকিল
84f0750a97	9d46f	অবস্থান্তর পদার্থসমূহ
84f0e2909d	06527	আর কখনো হয় নি
84f1d29daf	92f59	জনগণের উন্নততর সেবা প্রদানের নিমিত্তে
84f26a4853	4ea73	মাত্র ১৯ রান
84f26b91a4	60b9d	প্রাইভেটকার চালক সাগর
84f31b2b2a	0895a	জানান আইটিবিপি-র মহানির্দেশক
84f377eb33	9e923	পোশাক কারখানায়
84f3b1b789	3fae0	দ্বাদশ শ্রেণির ছাত্র
84f3e16ac4	06736	একটি গোল চত্বর
84f422ddc6	e3f89	এটি যখন
84f4cce29c	1652d	তিনিও আসতে পারেন
84f4f2a834	9d46f	জয় পেয়েছে
84f4f3ee4e	c0d65	সেই সাধনার মুহূর্তে
84f5460dd1	91223	এ পথচলা আরও কঠিন
84f5c41f0c	321b6	টুকটুকে লাল কাগজের
84f5de2395	ee852	বারোপোতা গ্রামে
84f5dfc69d	ce180	বিশ্বের সবচেয়ে বড় সংবিধান
84f62804a6	af81d	বিনোদন জগত
84f6c36708	0b7ca	কাইরন পোলার্ডের বলে ড্যারেন স্যামির ক্যাচে পরিণত হওয়ার আগে ৭৬ রান করেন আফ্রিদি।
84f72c862c	43fc0	২০১৩ সালের সেরা দশ আলোকচিত্রে
84f793f02f	a0277	আমাদের আবার আগের মতোই
84f7ce0b15	baa02	পারমাণবিক কৃষি
84f8206970	870e3	ভালবাসি তোমাকে
84f8c21b08	7e1d5	যেমন আলোকিত হই
84f8d78f70	c41d8	অমল সেন
84f9c7237b	c1e30	এগুনোর চেষ্টা করলে
84f9c7b605	4e900	বিকেল সাড়ে তিনটার দিকে
84fa190492	cd3ac	ঈশ্বর অসীম দয়ালু
84fab1dff1	3bb15	বেশির ভাগ স্কুল, কলেজ ও মাদরাসায়
84fae583dd	66c6b	৯ রানে হারায়
84fb0f77e9	086dd	তথ্যপ্রমাণ সংগ্রহ
84fb44c14c	3d17c	১৫ জন
84fcc45474	72649	মালিক
84fce468bf	7ee9b	সুখ তখন দেখে কে
84fcf3bb3a	76329	স্বাধীনতার ইতিহাসের
84fdbd3406	77f82	পাওয়া যাবে না
84fe2483a5	5cb47	গ্রিক পুরাণে
84fe41de44	2396d	কোনোদিন একটা লাইন
84fe6cb05d	06527	আসন্ন বাজেট অধিবেশন
84feaae705	cc9fd	তত্ত্বাবধায়ক অপরিহার্য
84fef6a5c3	577fa	অগণতান্ত্রিক আচরণ প্রকাশ করছে
84ff0afc77	4bede	প্রশ্নে দেখা যায়
84fff3533a	e55de	জানা যাবে টেলিছবি
