d5002d8e8f	9813c	এবং দেশের মানুষকে ভালবাসত
d57fb36f6c	ee4ad	যারা বিরোধিতা করছেন তারা শুধু বিচারকে প্রশ্নবিদ্ধ করার জন্যই তা করছেন।
d57fcc2895	6da0a	সেটি হলো,
d57fe253fb	f2097	পরিবারের ভরণ-পোষণ
d57ff69e92	10a9f	উপাচার্য অধ্যাপক আনোয়ার হোসেন
d57ffe6a8b	5354e	কিন্তু দু’টি অভিযোগে
d580827cac	4f450	যুগ্ম কমিশনার বলেন
d580f7127f	1279e	তৈরি করে দিয়েছিল ফরাসিরা
d581654262	2c9c5	দিনাজপুরের ১৩ টি উপজেলার মধ্যে ৭টি উপজেলা বন্যায় ক্ষতিগ্রস্ত হয়েছে, এর মধ্যে ৪টি উপজেলায় ব্যাপক ক্ষয়ক্ষতি হয়েছে।
d5819bff5e	ef4f8	হয় যা মাটিতে
d581e3520d	cfc65	শিমলা
d582720868	860f4	প্রেসিডেন্ট হিসেবে
d582884a5a	4fc91	ঈদ উল ফিতরের আগে
d582dfb5ed	a4750	অবধারণ করিয়া রাখিয়াছি
d582fbef19	c0d65	নন্দিনীর মা বলে
d583637200	c11b1	অলিভ অয়েল
d583730629	16cfb	বছর আগে
d58437c092	e43d4	আমরা কতটা জানি
d585263007	5354e	দুজনের মৃত্যুর খবর
d58580d7e7	410fa	তাই সেটা তদন্ত করার
d58593600b	4e900	দলে আনা হচ্ছে না
d585acfd02	8cf95	টস হেরে
d586b02a05	f2b7d	তাদের ভাবনার ডায়নোসর
d586daae57	2fc12	ছেলে মো. শাহীন
d5870642c4	95f83	ক্ষতিগ্রস্ত হয়েছে আর্থিকভাবে
d587553c68	c4973	উৎপাদন করতে গ্যাস লাগবে
d587e72833	32b3e	বিলু কবীর নিজের উদ্যোগে
d587f2a1a2	778c0	তরুণ ফুটবলার রয়েছে
d587ff2861	2d78f	কাচা কলোনী এলাকায়
d5883d031d	6ab59	মুসলিম ও হিন্দু শাসনের
d5885e357f	0c39f	বারবার ঘুরপাক খায়
d5887f7f53	b8bdd	তাহার উপরে নাই
d588a4f6eb	809cd	সুতরাং একটু সচেতন হলেই
d58912732c	ef915	৩ জনকে গ্রেপ্তার করে
d589fedc20	eb179	২ উইকেট নেন
d58a01a8c4	b2a62	পদ সৃষ্টি না করেই
d58a5bbb9d	5354e	তিনি গর্বে চৌচির হয়ে
d58aa48c18	b8bf0	দেখার পর ব্যারন পিয়ের দ্য কুবেরত্যাঁ
d58b07a03f	06ea3	একসঙ্গে এত বেশি
d58b63fce3	3c897	সূর্যকে কেন্দ্র করে ঘুরছে বিভিন্ন গ্রহ।
d58b755afb	ad2a0	সম্ভব হবে
d58beaf0a6	75936	টিম বিজেএমসিকে রুখে দিয়েছিল
d58c164bd3	06ea3	নির্বাচন চায় না সরকার
d58cbdf48b	cd3ac	ফ্রক-কোট পরা
d58cff6809	ea8fa	এই হত্যার রহস্য উদঘাটন ও হত্যার মূল পরিকল্পনাকারীদের খুঁজে বের করার জন্য আসামিদের রিমান্ডে নিয়ে জিজ্ঞাসাবাদ করা জরুরি।
d58d56aa94	32c77	এক কোটি ৩১ লাখ টন
d58d7ccf06	121bd	ছেলে শফিকুল জানান
d58e4788bc	bf530	সিউলে অনুষ্ঠিত
d58e547b2d	2fe3c	প্রায় চার কেজি ৬শ’ গ্রাম
d58e93bf3f	ad050	দারোগামশাই ভাবলেন
d58ef656ac	14d25	উঠে দাঁড়ানোর ক্ষমতা
d58ef98eba	f7a7f	৮৩ মিনিটে
d5904b2b14	c749e	মঞ্চে আনে নান্দনিক
d5904f2758	db735	গত সাড়ে চার বছরে
d59075db80	52578	গোয়েন্দাদের জানিয়েছে
d59097763f	f2780	এর কোনও মানে নেই
d590b43a09	2ad74	সেমি-ফাইনালের টিকেটের সর্বনিম্ন ১০০
d5914d0d14	75f18	আর কিছু নেই কোথাও
d591b15e11	e2f12	সব প্রয়োজনীয় পরীক্ষা-নীরিক্ষা
d591e1ce95	5e80b	ঢাকায় যেকোনো
d592af1cb9	3f493	থিয়েটার গিয়ে দেখি
d592c343c0	1279e	এবং কাদাই ভাষাপরিবারের
d593308ce8	68ab7	দক্ষিণে রাস্তার ধারে
d5934ef610	9d7bf	সোমবার বিকালে
d593c1fee3	4f450	বিষের বাঁশীও ভরপুর অগ্নিবিষে
d593dacd76	80539	কিন্তু এ পর্যন্ত তুহিন
d59422a8b3	b5fdc	২০০১ সালে তালেবানের পতনের পর থেকে ক্ষমতায় আছেন মি: হামিদ কারজাই।
d5942e7166	3bea8	চেপে থাকা সুবিরাট ভার
d5946297c5	7ee9b	এই যখন এক বিষয়ে
d594ba752a	29bab	জিপিএ-৫ পাস করেছে নাছরিন
d594d09956	c0d65	রুশভাষাভাষীদের অধিকার ও দাবি রক্ষায়
d594db46cd	32c77	বড় করতে পারেননি
d595214465	6ee5f	মান্টুয়ায় পৌঁছে দেবার
d596a7bb10	a699c	ওপরে উঠে আসবেন
d596aef7a4	f9dfb	অনেকটা পথ পার হয়ে
d5973729f6	442b7	পরিণত করেছে
d5977f6b4f	37e17	সুগন্ধে ছেয়ে যায়
d5979143eb	a699c	ঐ অঞ্চলের নতুন প্রধানমন্ত্রী
d597bf1687	7f2ef	ভোটগ্রহণের আগের দিন
d598dc0b75	ce775	পাঁচ-ছয় বছর পর পর
d59a14f18a	3bea8	পাঠকবৃন্দ, দেশে কি
d59a52089f	09f0d	ল্যাবরেটরিতে এই বার্গারের মাংস
d59a7e5e3e	b52ab	জীবনের পরিণতি-বিকাশ
d59a86079f	4a918	জাহাজ হইতে তীরে উঠিয়া
d59aece7d1	967fd	অধীন আইয়ুবীয় পরিবার
d59aed84e3	2909b	১৯৪৫ সালের মার্চে
d59aedd058	4e900	সর্বভারতীয় দলগুলোর সঙ্গে
d59af3a142	d2355	এটাও স্পষ্ট হয়ে গেছে যে
d59c1eb96f	7ee9b	সেদেশের আকাশসীমায়
d59c2a5ec0	eb179	হালদা নদী থেকে অবৈধভাবে
d59c5645bd	93d3b	কাঠগড়ায় দাঁড়ানো
d59c8a5130	75f18	আপন ভুবন
d59cb874ea	9092b	বিশ্ব
d59cc21584	1a2a1	কিসমত ছবিটি
d59ccb1c01	1c618	এই দৃষ্টিভঙ্গিটাই তো মারাত্মক
d59ce67086	121bd	গ্রীষ্মের দুপুর
d59d56c478	4ea73	বগুড়া রেলের
d59d9a735c	3faff	মতাদর্শ ধারণ করত
d59dc0f0af	cc9fd	স্ত্রীর নজর এড়ায় না
d59e66f162	194f5	১৮২৬ সালের পূর্বে
d59eca6db5	32998	ওয়েবসাইটটি হ্যাকের দায়িত্ব
d59eefd159	4bede	নিজে এসে দেখে গেছে
d59ef18079	cfc65	প্রকাশ্যে অস্ত্র ব্যবহারের
d59f12de9d	11915	পাঠকের ধন্যবাদের পাত্র
d59f846fdb	2bd99	যেখানে তার আশ্রম আছে
d59fd7e6a8	c2082	এখানেও অব্যাহত থাকলো
d5a0299206	c9c19	গরু
d5a0532958	a274b	দুই রাজ্যের সীমান্ত এলাকার
d5a0718186	0bace	দুঃখ-কষ্ট-যন্ত্রণা
d5a0b12393	3f875	পড়ে রয়েছে একটা শিশি
d5a0b8b6f0	509f6	এখানে নয়া গাঙের
d5a0e337d0	b9b98	পদত্যাগের পর
d5a1077690	cb842	অনেক প্রতিশ্রুতি দেয়া হয়েছে
d5a1845d67	0606d	রেগেছে বুকে
d5a198ce37	29d44	সবাইকে তিনি গ্রহণ করেছেন
d5a19f3fc5	c1e30	যে শিক্ষা পায়
d5a21b6007	2de86	হাইকোর্ট বেঞ্চে
d5a24d3c2e	54e68	এনএসএ বিভিন্ন ইন্টারনেট প্রতিষ্ঠানের
d5a2890a9e	7297e	মন দোলে
d5a2a18022	16a17	মলত্যাগ করছে
d5a2cdb8f5	f6e55	আত্মনির্ভর ছাড়িয়া
d5a302b7f2	bd576	উদ্ভ্রান্ত বালকের সঙ্গে
d5a3ad504a	590d0	জীবদ্দশার মধ্যবর্তী
d5a3bf2a95	71522	হস্ত রেখার বই
d5a3fa4d78	53396	ডেনিস টিটোর যুক্তি
d5a40c75c3	80be1	আটকে আছে বলে
d5a41d1139	bcaa8	অমিতাভ বচ্চন, রিকি পন্টিং
d5a4519626	536d9	মাত্র ২১০ থেকে ২১৫ মিলিয়ন
d5a4d1acc6	355c1	কৃষ্ণকে মহাভারত হইতে
d5a52bbc60	28dfc	পিছিয়ে যাওয়া হবে না
d5a534e06b	fd880	অক্টোবর থেকে
d5a59e7ea6	6973e	জগতের যত সুখ
d5a6a277b5	616ec	রিপ্রেজেন্টেটিভ স্যান্ডি লেভিন
d5a70ce5f1	ca088	এই ভোটগ্রহণ করা হয়
d5a721235d	903fa	এর ভেতর দিয়ে
d5a75206ed	e55de	ইংরেজি ও অন্যান্য ভাষায়
d5a7a1e8eb	b9122	চৈতালির বাবা
d5a7dc48b3	66b3c	আতঙ্কিত না হয়ে
d5a7dc7dc5	a3a6d	খোঁজ আর করেন না
d5a8161bc6	860f4	অতিরিক্ত বিচারপতির
d5a82d1457	0bace	রিয়েল টাইম অপারেটিং সিস্টেম
d5a92630a5	14d25	স্বীকৃতি দেওয়ার কাজ চলছে
d5a93fb21d	b9a81	আয় বর্ধক কাজে
d5a951387e	e8dde	মানুষের জীবন যাতে
d5a99edeaa	32b3e	বৃহস্পতিবার বিকেল ৬টা পর্যন্ত
d5aa1cc17b	a699c	লোপ পেয়ে গিয়েছিল
d5aaeb08aa	2396d	তখন থেকে তারা দেখে আসছে
d5ab46fba4	52f27	বিস্কুট
d5ab623288	6973e	যেন এ বাড়িতে
d5abcd8058	d2d71	দন্ডপ্রাপ্ত সাগর
d5acb3ef9e	68549	নিঃশব্দ মাস্তুলের গায়ে
d5acd7f659	f0f95	বাজেটেও চাপ পড়বে না
d5acf25814	ef4f8	সেই চীৎকার-ধ্বনি
d5acfd9429	3fce2	ক্ষমতাচ্যূত করার পর থেকে
d5ad819027	61820	বন্ধু কবিতা
d5adc0323d	91dff	জিপিএ ৫ পেয়েছে
d5ae620751	1e7c7	তার অনুবাদ
d5aed2bf5f	93bf3	টিপু সুলতানের গ্রন্থাগার
d5aee2ed92	66dcd	২৯ মার্চ উপ-নির্বাচনের দিন রেখে
d5af90a493	4a918	মাত্র সাত দিনেই
d5af910cbd	2556b	শেরেবাংলা কৃষি বিশ্ববিদ্যালয়
d5af91ef75	ff1eb	প্রথম প্রকাশিত বই
d5afad9f99	194f5	বিদেশি সাহায্য বৃদ্ধি
d5afdc4a6f	43b04	বিদ্যুৎ জাতীয় গ্রিডে দেয়া হচ্ছে
d5b0474ffe	91ac1	নৌকায় উঠিলে
d5b067f010	3b1f7	বাংলাদেশ সরকারের
d5b07a3b2a	e03ce	সংশ্লিষ্ট সকলের প্রতি
d5b0c14244	c0965	তাদের গ্রামের বাড়ি
d5b0d3328c	fd880	তিনি নারীদের বোরকা না পরে বের হওয়ার নির্দেশ দিয়েছিলেন।
d5b0f42fef	59c73	গঙ্গায় ফেলবে
d5b153e672	b7be9	শাকিল আনোয়ার জাহাঙ্গীর আলমকে
d5b197ef8f	49d63	ঘটনার সাত দিনের মাথায়
d5b1f8c9c1	351dd	প্যারিস থেকে বিবিসির সংবাদদাতা
d5b22333b7	b5fdc	এভাবে যাওয়া যেতে পারে
d5b2b10408	e2f12	স্থানীয় কিছু লোক
d5b302a5c4	3fce2	বের হয়ে এসেছে
d5b3304fbc	93bf3	নির্বাচনী প্রচারে
d5b33b6c35	80505	হরতালের প্রথম দিনের মতো
d5b3b6cb99	9fa90	প্রেম হয় না
d5b3f97567	9813c	টিভি, ফ্রিজ, স্বর্ণালঙ্কার
d5b448c022	767ff	সোহরাওয়ার্দী উদ্যান মেলা হচ্ছে
d5b4c32528	e6752	যে কোন ব্যক্তির
d5b4d445fc	03284	বেশ কিছুকাল
d5b553f671	420df	এরপর ওসি তাকে
d5b6258661	6aac8	সেবাযত্নের চেষ্টা করলেন
d5b69ff85d	05901	তড়িঘড়ি তিনি লুকিয়েছিলেন
d5b6e5e722	7f71c	ঘটনা বা অনুভবগুলো
d5b6fed8b0	93d3b	দ্বারকায় নিয়ে যান
d5b7083ed6	e6e48	বিশেষ সেল গঠনের
d5b71ee6fa	0895a	এবারই প্রথম
d5b7746280	7297e	১ কাপ পানি দিন
d5b7de579a	cfc65	বোঝা যায়
d5b7f38f1d	5e80b	লেখাপড়া
d5b85ed89b	ee994	তত্ত্বের উপর ভিত্তি করে
d5b90e8c10	3fae0	যথেষ্ট উন্নতি হয়েছে
d5b98e6298	cb627	ঢাকায় পুলিশের একজন কর্মকর্তা তিন বিএনপি নেতাকে আটক করার বিষয়টি নিশ্চিত করেছেন।
d5b997e373	b5fdc	ইন্টারনেটে টাকা আয়
d5b9c934ee	6d129	তুলে দেয়া হবে
d5b9de2fe5	a7c6f	এরপরই দ্বিতীয় বৃহত্তম দল হিসেবে
d5ba16ab19	3fb17	মারতে হবে
d5ba7efdad	49d63	আকোলা জেলার
d5ba84c328	0d8c1	দল বা রাষ্ট্রীয়
d5bab91e1b	b8bf0	পাহারা দেবে
d5bac1d242	f6e55	একের পর এক পর্যায়
d5bb0f0618	ad2a0	ভিসা নিয়ে এসেছে
d5bb119f68	3ccf1	চিতই পিঠা বানাতে
d5bb44b750	f1240	একটি পাত্রে রয়েছে
d5bbea3574	06ea3	বলে মনে করেন পুন্যার্থীরা
d5bc06593d	8ba2b	মনের ভূত তাড়ান
d5bcfd6aad	80539	পুরো হাটের এলাকা
d5bd227700	c0965	মন্দিরে হামলা চালিয়ে
d5bd5cab67	71522	ভ্রাম্যমান আদালতে
d5bdab715c	68ab7	বছর গণনা হত
d5bdc4aa5b	a274b	স্টলের আকার
d5bdcb6b34	ac0df	স্বপ্নপুরী
d5be844560	ca831	নির্বাচন স্থগিত রাখা হয়েছে
d5bea24c97	da6f0	লালনমেলা শুরুর আগের দিন
d5bedc8655	c5dc8	আমার গবেষণাই
d5bef3f213	95907	বিবিসি ওয়ার্লড সার্ভিস
d5bf549c24	3ccf1	তাহার দোষ গুণ আমরা
d5bfbaf470	420df	বের হলেই জ্যাম
d5bfcef68c	09b32	পোলিও টিকাদান কর্মসূচিতে
d5bfde7ed7	24f73	৫ জানুয়ারি ভোট হবে
d5c0a38e3e	58998	তুলতো যখন ঢেউ
d5c0b8b7ce	06e62	তিনি সেখানে দাঁড়ালেন
d5c1681f8a	e2ff7	জগতের সবচেয়ে
d5c186c79e	1a4a9	দেশগুলোরই নয়
d5c29b7efc	1b359	বাঙ্গালির চিরায়ত ঐতিহ্যের
d5c2c962a2	c0d65	নতুন নতুন রাজপথ
d5c2cdfd32	c2082	অন্য নেতারা
d5c345a58f	46d49	বিশেষ প্রতিনিধি
d5c34dc6d9	52578	উষ্ণ করে না
d5c4270d72	58998	একাত্তরের কূটনৈতিক
d5c45eed4c	e68af	প্রধান নির্বাহী কেলভিন লো
d5c494f127	6e8cb	তবে পারি বইকি
d5c4b0d665	43199	যুবদল নেতা শরীফ হোসেন তাকে
d5c5452519	8406e	বাংলার সুন্দরবনে রয়েল বেঙ্গল টাইগার আছে।
d5c6bec97a	43fc0	আসেন নি
d5c6cdb93e	e43d4	নৌপরিবহন মন্ত্রী
d5c6e54064	58998	মতবিনিময়কালে তিনি এ কথা বলেন
d5c713cb8e	71522	বের হয়ে আসি
d5c72b83e3	ff1eb	বর্ষাও একটি জাতীয় দৈনিকে
d5c7d8ae45	3f493	যুদ্ধে গেলে
d5c7d9ea6d	f1ea4	এসব রাসায়নিক
d5c7da4942	6ab59	অন্যটি মন্টেগু
d5c7fe495d	85430	লেখাপড়া শেষ করে
d5c85d5725	60f77	জামায়াত-শিবিরকর্মী
d5c8630d34	ce629	গৃহযুদ্ধ শেষ করার
d5c88f42f5	09f0d	এক বিশাল ডিজিটাল আর্কাইভ
d5c8b2fb47	7df87	ক্রিকেট খেলেছেন
d5c8e2d0df	a274b	ফুটবলারদের প্রশিক্ষণ দেবেন
d5c8eace15	14816	রাজনৈতিক দলেরও তো
d5c9873a25	06bb7	কেউ আহত হননি
d5c98c29a4	491a5	প্রতিষ্ঠানটির ব্যাংক একাউন্ট থেকে
d5ca5a2dbc	870e3	কাস্টোমাইজ করে
d5ca90b17f	4bd2c	তিনি খুব আধুনিক ছিলেন
d5cadea025	355c1	অভিনয়ে আনোয়ার হোসেনের হাতেখড়ি স্কুল জীবনেই।
d5cb69571b	54cdd	তাতে বিএসএফ নেতৃত্ব
d5cb9264e0	256f5	সংশ্লিষ্ট পরিভাষার
d5cc3cf8e8	24f73	এই সময়
d5ccb5dbcc	4fd66	দৈনিক সকালের খবর
d5ccc495d6	6fb36	অপমানের কথা
d5ccdc7cf7	d41be	কিন্তু মাত্র ১৮ দিন পরই
d5cd8994fa	bbb22	কথা বন্ধ করে দেয়
d5cd97759c	86b1b	পরের বার চেষ্টা করে
d5cdab2fe2	d82d9	প্রাকৃতিক ঝর্ণা
d5cdb37dd2	d2faf	ধূমকেতুটি যেভাবে দিনদিন উজ্জ্বল হচ্ছে
d5cdca1a6d	ad2a0	একদিন সেই শুভক্ষণ এল
d5ce2a1a06	d9081	আমাদের দেখে
d5ce7e5bbe	1cb75	সারদা গোষ্ঠীর কর্ণধার
d5ce849d69	9065c	ঢাকার অভিপ্রায় অনেক নমনীয় মনে হলে
d5cf3d48ff	0edef	লেখক লালমোহন গাঙ্গুলি
d5cf749871	442b7	সেবা দেয়
d5cf9c5434	0744c	অক্ষের উত্তরপ্রান্ত বিন্দুকে
d5cfbdbcd3	616ec	পুনা মাছের ঝাঁক আসত
d5cfd377e9	d9817	আমি যে রুমে ছিলাম
d5cff4e474	fda1a	তিনি আরও বলেছেন
d5d0b95ef7	e03fc	বহু কাল আগের
d5d0f9b3db	af81d	শ্বেতপাথরের কাজ সৌন্দর্য
d5d12ee444	7d3e1	সম্পূর্ন ভিন্নরকম
d5d167bcc7	11bd2	কাচা আমের জুস
d5d178f23d	4237e	তবে পঞ্চম উইকেটে
d5d1988f1c	323f1	কাজ বাকি আছে
d5d21ad005	509f6	ভয়ালভাবে আমার ওপর
d5d279b7ac	0d8c1	এমনকী এতদিন পর্যন্ত
d5d2d83b57	75f18	ছবি তোলার জন্য
d5d3109661	2d98b	মৃত্যু এসে
d5d380be85	c0965	জামশেদ টাটা প্রতিষ্ঠিত করেন
d5d51bf0d4	57d54	সুপ্রিম কোর্ট বার ভবনে
d5d54d8c2e	195f7	এ খবরে জানা গেছে
d5d55ab50d	f9dfb	৭৫ ভাগ সমস্যার
d5d55dccf2	82926	স্বাধীনতার ইতিহাসের
d5d56b75f0	323f1	পালকের বার্বসমূহের
d5d63b6318	7b900	ঝোল রাঁধা হয়
d5d643af62	25117	কিন্তু একটা সময়
d5d6c0793a	80518	মানুষের জন‍্য
d5d6c86de3	6ee5f	জাতীয় ক্রিকেট স্টেডিয়ামে
d5d77444b0	b8fe1	পাঠানো ছবি ও তথ্য
d5d8369ddf	0606d	এক ধরনের শব্দ খেলা
d5d8fb98f4	49543	সহায়তা
d5d90cef3e	1a2a1	পুলিশ সামরিক বাহিনী সমর্থিত সরকার বিরোধী বিক্ষোভ ছত্রভঙ্গ করে দেয়।
d5d9517025	54e68	'ঘোমটা তত্ত্ব' নিয়ে
d5d99c28b0	91dff	চিকিৎসকরা
d5da25ebc8	79b06	ইসলামি
d5da424420	ff1eb	মানুষের সাংস্কৃতিক ঐতিহ্য
d5da8065c2	355c1	বৈবাহিক সম্পর্ক নেই
d5daa065dc	287bd	যেকোনো কাজ
d5daf8cc60	0e637	যার অর্থ কয়লা
d5db5a9b4d	dfefa	এগুলো আজও
d5dbae944c	121bd	চ্যাম্পিয়ন দুটি দল
d5dbec5b8b	e2f12	বেশীরভাগ কৃষক
d5dbec77a2	778c0	একমাত্র বাধা নন
d5dbf6d2f2	60f77	একটু কম
d5dc09ab5c	5d12f	ধীরে ধীরে তার
d5dc2d014a	bbb22	তিনি ওয়েস্ট ইন্ডিজের হয়ে
d5dc39e89e	54cdd	পুঙ্খানুপুঙ্খ বিবরণী ঠিকভাবে
d5dc3fa67b	1279e	গত বছর সত্যজিৎকে নিয়ে
d5dc7e2e37	5dec6	দু’মাস আগে থেকেই
d5ddc2c985	61820	সেখানে সমৃদ্ধির স্বপ্ন
d5de3239c6	2909b	ভিসার মেয়াদ আগে
d5dedca4fd	2556b	নাম অনুসারে ডাকা হয় মাদিবা
d5defab2a7	86b1b	একদিকে বাবাকে নির্দোষ
d5df7387f6	e2ff7	জানার অধিকার আছে
d5df998114	c463d	একজনের ডিপ ফ্রিজে
d5dfba7a84	52578	নজর দেওয়া উচিৎ
d5e04b5a20	39293	তার ছোট ভাই চিত্তরঞ্জন সর্দার
d5e0b3a5ef	fda1a	সাজা নেই
d5e0d3e1c4	1cb75	নার্সারি ১-এ টস জিতে
d5e0d4d56a	bbb22	শ্রীলংকার জনগণই সিদ্ধান্ত নেবে
d5e14339af	3ec4d	টুর্নামেন্টের চার দূত
d5e14c5a36	7f2ef	আজই তাদের
d5e158cbf7	88654	ওয়াটসন যখন আসেন
d5e1f28e85	f1240	যেহেতু নাজিম আজীবন কবিতা লিখেছেন
d5e284feba	e2ba2	রেঞ্জ ২,০০০ থেকে ২,৫০০ কিলোমিটার
d5e29c2261	54e68	সতেরো বছরেও
d5e2a00bbb	06bb7	বইয়ের দোকানের সামনে গিয়ে
d5e2a6af39	3ec4d	নিত্য বিরাজমান থাকিবেন
d5e38fe54f	ce775	বাস্তবতার মিল না পাওয়ার কারণে
d5e3dc3424	ef915	যেখানেই হোক না কেন
d5e408862e	860f4	সহসা তাহার চক্ষু হইতে
d5e4209d98	c11b1	সয়াবিন তেল
d5e45f95e1	38ff0	দিক নিয়ে রয়েছে
d5e4687602	2396d	কিছু বুঝে ওঠার আগে
d5e47e29f1	29bab	ভিসেরা, এবং
d5e4958673	d2294	নিয়মিত প্রাকৃতিক নির্যাসে
d5e4a1f1e3	cd3ac	রাস্তায় প্রচুর আগুন জ্বালানো থাকায়
d5e54e8a50	4e900	কেউ আনতে পারেন না
d5e55b0771	c463d	হয়ত মনে করিবেন
d5e55d71bf	fda1a	আমাদের সাথে যোগ দিবে
d5e564e008	8b859	আন্তর্জাতিক টুর্নামেন্টে
d5e56f5eb8	58998	কত ডাক্তার
d5e58f83a1	2ad74	আমাদের বেড়ে ওঠার
d5e5c6d28b	d8c80	এবং কেন
d5e66f6581	07660	পাকিস্তান নামক একটি অদ্ভুত
d5e6aeaa99	68549	তিনি কিভাবে নৌঘাঁটিতে প্রবেশ করলেন
d5e6c087f5	bcaa8	অপরাধ সংবাদ
d5e709ae27	fda1a	উচ্ছেদ-পরবর্তী সময়ে প্রদত্ত ক্ষতিপূরণের টাকা না পেলে উপজাতীয় জনগোষ্ঠী প্রচণ্ডভাবে সংক্ষুব্ধ হয়।
d5e8a2eff5	b2a62	বাগেরহাট সদরে
d5e8a5a651	c173f	৪০টি জাহাজ এবং ৩৪টি বিমান
d5e8fc0812	2c9c5	লাঠি চার্জ করে
d5e95bd0b5	13b70	খুব চেষ্টা করি
d5e95e9458	2fe3c	ডবল প্রস্থ
d5e97f9f60	f2097	এক সমাবেশ শেষে
d5e9b5a314	b00ba	চায়না মেজর ব্রিজ
d5e9bbd127	24f73	গণ্ডা দশেক পান
d5e9d17b0c	ff1c3	পিতৃতন্ত্রের, পুরুষের অঙ্গুলি হেলনে
d5e9dedd7d	7b103	ফিরবার পথেই
d5ea0bea35	ec91c	মেঝে থেকে ছাদ পর্যন্ত বই
d5ea5056a1	8cf95	হজের সময় মানবপাচার রোধে
d5ea67da20	82926	মালয়েশিয়া ও ফিলিপাইনে
d5eb79bca8	ca088	বিদ্রোহীগোষ্ঠী
d5ebb35033	256f5	শুধাবো কারে
d5ebd3b917	ca088	সক্ষম হয়েছে
d5ebd937ff	fda1a	২০১১ সালের ফেব্রুয়ারিতে
d5ebdada91	7898e	ভারতের প্রধানমন্ত্রীকে
d5ec54d0be	efc0d	নিজ নিজ এলাকায়
d5ecadfee9	0b7ca	ঘটনার পর তাকে
d5ecb12aec	195f7	এই সমাজের সত্যিকার পরিচয় হলো
d5ed177b3c	23b22	সঠিকগুলো বসাও
d5ed17e0c1	e6e48	অস্কার ওয়াইল্ডের এই নির্বাসন
d5ed22e6c4	7351e	২৮ পয়েন্ট নিয়ে
d5ed54bde2	ce775	পারছেন না তারা
d5ed7ab937	b4ea7	বিবেচনা করেই
d5edb86d99	e43d4	জালিয়াতি হচ্ছে না
d5ee320199	745b7	তাঁর বোনও বিয়ে করেছিলেন
d5ee76c2fc	e50f1	বিভিন্ন উপজাতি
d5eef00850	65e30	গঠিত হওয়ার আগে থেকেই
d5eefd00b2	d2294	এসএম আতাউর রহমান
d5ef035213	c3cb3	বিজয়ফুল তৈরি
d5ef21e0e2	af81d	যে কোনো গুপ্ত জিনিস
d5ef35ea8e	976b1	তবে তা ভেবে দেখব
d5ef497450	7a227	যাবজ্জীবন সাজাপ্রাপ্তরা হলেন
d5ef7104f6	b8bba	নিজেও কালের অগ্নিবীণা হবেন
d5efc80ee5	21e54	জয়নাল
d5eff4f7ed	e9759	তাতে ধর্মভিত্তিক রাজনৈতিক দল
d5f043c007	7a227	অবতীর্ণ হয়
d5f0497e8a	31f09	বিনোদন কলকাতা খবর ২৪
d5f05bd5f2	bcaa8	বেশ কয়েক রাউন্ড
d5f080c790	aabe7	আগে ২০০৭ সালে
d5f0df11c2	976b1	কুটকুটানি
d5f11aaa04	9d46f	বাকিরা ১৪টি দেশের নাগরিক
d5f120067a	28bb3	সম্ভাব্য সকল পরীক্ষার
d5f153458e	2909b	সামাজিক যোগাযোগ মাধ্যমে করা
d5f1c8a989	1279e	অধিবেশন মুলতবি ঘোষণা করা হবে
d5f1f2b125	e55de	পদ্ধতির নাম প্রেম
d5f2420877	2f547	সঙ্গে আছে কিনা
d5f24b8129	a274b	বাংলা লিপির ক্রমবিবর্তন
d5f263451c	c11b1	বেবর সাহেবের নাম
d5f266935f	d7a68	লবণ-হলুদ মাখিয়ে
d5f29e310a	aa820	কিন্তু কে শোনে
d5f2abcf4f	355c1	আসিফ
d5f2cf9327	3f875	নিহত রাজিয়া বেগমের বাবা
d5f35832d5	d711f	প্রেম হয় না
d5f3b35c67	f658d	আরেকটা সমস্যা হচ্ছে
d5f3dcdf11	dba43	আকাশ বা মহাশূন্যের পর্যবেক্ষকরা
d5f3e7abe0	aab0f	উগ্র হিন্দু জাতীয়তা থেকে
d5f418de9e	60b9d	বারংবার ব্যর্থ হচ্ছে
d5f48476aa	3faff	এ সিদ্ধান্ত নিয়েছে
d5f48bbfe2	58998	বিচরণ ক্ষেত্র
d5f48fe3cf	79b06	সমাজে ন্যায় বিচার বলে
d5f49dbcac	3b1f7	প্রতিবেশী হিসেবে
d5f4e168dd	d9ba9	টাঙ্গাইলের বাসাইল উপজেলা নির্বাচন
d5f4ebc425	f2097	উইলিয়াম অলিভার স্টোন
d5f567e546	6dff5	ও মেঝ ভাই
d5f58dddc0	d3e06	3d printer
d5f5dabf19	ac904	সমতায় ফেরার সুযোগ পেয়েছিল
d5f5f5b8c4	aabe7	কারণ সেখানে একটি
d5f6a7a12f	5d12f	কিন্তু পুরুষের ওপর
d5f6a9aa35	2c9c5	১৯১৩ সালের ১৯শে জুলাই
d5f6fd065a	a9a58	তিনি যে আদর্শ রেখে গেছেন
d5f721e49f	7d004	প্রথম তারা
d5f83bc854	69d9a	জেনেভা ক্যাম্প থেকে
d5f83e3fc0	ad98d	আরিফুল হক চৌধুরী
d5f87fb426	321b6	সমসাময়িক কনসেপ্ট ও অনুষ্ঠানের
d5f88a3bc5	38ff0	একাত্তরে বাংলাদেশে
