c200240d57	1b359	যদি সময়মত ফাইলগুলোর.
c28b5850ae	7ed14	দুটো টিউশনি দিয়ে
c28b5b0e1b	282d3	এর আগেও তার
c28b6f7d71	932bb	যাতে প্রধান অতিথি ছিলেন
c28b9aa9b2	75f18	গত ৬ জুলাই
c28bcaaa92	239f7	এখন আতংকে আছেন
c28c3de447	e89bb	বাংলাদেশের পরিচিতি
c28c83c0fa	3b1f7	যে শাসক-শোষক
c28cbfd892	06527	ডিউটি অফিসার
c28d0ac5e7	274ee	নায়িকা আসলে
c28d40ebef	fd880	সাপ তাই শোনে
c28db3dd5a	2396d	রোববার খোঁজ নিয়ে দেখা গেছে
c28dd1b7fe	e2f12	বৃহস্পতিবার বেলা ৩টা থেকে
c28e21d2f6	430b2	বৃহস্পতিবার বিকেল পৌনে ৩টার দিকে
c28efe17e9	5dd61	কবিতা রচনা করেছেন
c28f3bd914	7f71c	সুইজারল্যান্ডের জেনেভায়
c28f9bdb52	b9a81	এর মধ্যে কিছু স্বর্ণালঙ্কার
c28faad965	cb1aa	মন খারাপ হলো
c28fabf07b	f2097	এসব দৃশ্য রোজ রোজ
c2900f8d01	46d49	আগমনের হেতু কী
c290cf4e43	eb179	আমি দু’পা এগিয়ে এসে আবার বলি
c290f52e2c	fbb81	অনেকের ধারণা
c29138552b	3ec4d	সরকারি ঘোষণা বা প্রজ্ঞাপন
c291f19ab7	bf530	বালিতে আন্তর্জাতিক বিমানবন্দর
c29230e635	f280a	বিরোধী দল নেই
c292f4201f	c9c19	উদ্ধার করার কথা জানিয়েছেন শফিক
c293a6dfa2	b8bf0	খেয়ে না খেয়ে
c293b86e04	a1201	কোটি কোটি বছর ধরে
c2946fb810	b9122	গঠনের মধ্য দিয়ে
c294fafe45	15a75	ভূমিকম্পটির উৎপত্তিস্থল
c294fe44d3	5d12f	কেন বার্মায় রোহিঙ্গাদের নিয়ে
c295082bef	d5f7b	অন্য এলাকায়
c295666d9e	0c39f	বাড়িয়ে দিচ্ছে লোডশেডিং
c29571d5d0	f0f95	তাঁদের খুব নিকট
c295aa49f8	ad050	ধান নিয়ে
c295ac4916	28bb3	না হয়
c295e7d9bc	17dcd	বলতে পারে
c2961d04e4	c7705	সম্প্রতি দেশজুড়ে
c296688890	0a7a0	গলাচিপা ও দশমিনা
c297266fc2	07660	কেউ যদি জাতীয় পতাকা ঠিকমতো ব্যবহার না করে, সেক্ষেত্রে শাস্তিরও বিধান রয়েছে।
c2975ed053	745b7	বিশ্ববিদ্যালয় নিল
c297f354b3	ac0df	খুব বড় আশা
c29915a262	d3e06	গিরগিটি
c299b0edf1	4f2ae	অলিম্পিক গেমস,
c29a1488d8	ad2a0	কুন মাস্টারের কাছে
c29a20fc22	d136b	মিশর
c29a3687f3	54e68	কিন্তু মি. রহমানের বিরুদ্ধ
c29b4d8551	6fb36	নাজমুল হাসান জানিয়েছিলেন
c29b748151	c0965	শুরু হওয়ার আগেই
c29be3fe2a	7898e	জনগণের পাশে নেব
c29be8ae9e	59c73	কবি সুকান্ত সাহিত্য পরিষদ
c29bfae3b1	577fa	সে কথা পুরাণ ইতিহাসে থাকুক
c29c038926	e8dde	আমি বিশ্বাসবান্ নহি
c29c1ba277	6c17f	সর্বসত্মরের মানুষের
c29cf0beba	6c6bf	ছাত্রলীগ, ছাত্রদলসহ অপরাপর সংগঠনগুলো
c29e07b24e	2b883	খোদন বলে
c29e48ddef	b5fdc	যুক্তিতর্কের পর
c29e5460c4	121bd	ব্লগাররা ইতিমধ্যে তার ওপর
c29eb08800	18a52	বিয়ের ক্ষণ গোনাতেও
c29f6e2b88	9e923	মনমোহন সিংয়ের
c29f98b595	5a61c	কিন্তু নিজ মাটিতে হলেও
c29fb469e8	2c9c5	ভাল কাজ
c29ff4a2ed	8c120	তার একটি স্বীকৃতি থাকায়
c2a06be387	f2b7d	কুষ্টিয়ার দৌলতপুর থানা
c2a088767a	6b437	সর্বোচ্চ সেবার মধ্য দিয়েই
c2a0b82bbc	a699c	বিশ্বায়নের ফলে
c2a11cf07a	903fa	এসো হে বৈশাখ
c2a18968e0	5d80e	দৈনিক সংবাদ প্রতিক্ষণ
c2a1ea9cca	967fd	প্রত্যাশা করেছিলাম
c2a2971ef2	69449	কীভাবে কাজ করতে চান
c2a326854d	4a918	ছাড়ের জন্য
c2a34ed508	ad98d	তাবলিগ জামাত
c2a3516667	aa820	দাতের ব্যথা
c2a3d929cb	cb1aa	বুঝতে পারছিলাম না
c2a3dde2de	d3e06	অলিম্পিক আন্দোলন থেকেই
c2a3e07f43	c6848	কনিষ্ঠ ভ্রাতা
c2a3f581d0	38ff0	নগরের আরেক সাংগঠনিক সম্পাদক
c2a444c5a7	4fd66	এক্সিমার লেজার রশ্মির আবিষ্কারক
c2a4453f0c	79b06	নেজামে ইসলামের এক মৌলানা
c2a45aab0e	13b70	কিন্তু সুষ্ঠু সাংবাদিকতা
c2a48f3b34	7df87	জবাবে স্টেফান মাইবার্গের অর্ধশতক
c2a4ba3607	1f974	শীর্ষ নেতাদের বিচার
c2a518094b	8cf95	আশ্চর্য
c2a5bd747d	2556b	দেশের সীমা ছাড়িয়ে
c2a5d26335	05901	এ ছাড়া একাডেমির কর্মকাণ্ড
c2a5eaba97	b8fe1	হিটলারের সঙ্গে তুলনা করেন
c2a6076432	d71a3	তা বাঙালী হওয়ার জন্যও নয়
c2a61aba8a	39293	ক্ষমতাসীন দল জানিয়েছে ইংলাক চীনাওয়াত নির্বাচনে প্রতিদ্বন্দ্বিতা করবেন।
c2a62bb742	698a4	যে জীবন বিপুল স্পর্ধায়
c2a62d1554	93bf3	দেন-দরবার করিনি
c2a66e6e74	ced74	আমাদের বাংলাদেশে শুধু আদিবাসীরাই বাংলাদেশি।
c2a6ded306	287bd	ঐ সংঘর্ষে পুলিশসহ
c2a704c50b	52578	দৈনিক পূর্বকোণ
c2a7721034	e9fa7	খরা
c2a77a042e	9d398	সবচে বেশি চোট পাওয়ার ঝুঁকি
c2a786e172	cb1aa	নায়করাজ রাজ্জাক পাচ্ছেন
c2a79a0618	5dd61	দেশটিতে এ নির্বাচন
c2a7a37efe	e3d8b	মিথ্যা আর মুখোশের আড়ালে
c2a7dcd124	bd576	কর্মীদের কাছে আম্মা
c2a820d5df	7ec1c	জীবন যেভাবে হাজির হয়
c2a8444153	ad98d	চীনে তৈরি
c2a87780ef	33814	মেয়েদের করতে হয় না
c2a88568c7	b00ba	১৬তম মিনিটে
c2a8c43666	d8c80	দক্ষ প্রজাপতির কন্যা
c2a8dc7cf0	06bb7	যাচাই করা সম্ভব হয়নি
c2a95e20c7	7b60a	এক শিশু এক ট্যাবলেট
c2a993bce0	2d78f	ঘোষণা দেয়া হয়
c2aa654b35	ba2f6	আশা করা যাচ্ছে
c2aa73aee0	f7a7f	কোনান ডয়েল লিপিবদ্ধ করালেন
c2aad7f340	e7230	ঘুম হইলেও
c2aad92ad5	9e923	সরাসরি ক্লিনিক থেকে
c2ab9319fa	88654	১২ ফেব্রুয়ারি পর্যন্ত
c2ab9a177a	6c6bf	আচিল
c2ac84e46b	84145	তা ছাড়া বাবা
c2ac9d608e	239f7	দুই জনগণের
c2acc0ba41	d8c80	বিভাগ
c2accceb94	80518	এ অবস্থায় টিআইবির রিপোর্টে
c2ad4a160a	17dcd	তিনি খুবই খুশি
c2ad899d44	7c272	জেনারেল আমিনুর রহমান চৌধুরী
c2ad983dd4	ad2a0	এই ব্যাটন
c2ada1fc3c	db735	স্পিন নির্ভর আক্রমণে
c2ae28cc2e	698a4	নারী কি বৃক্ষ কোনো
c2ae7d2835	ff0fe	আরোপ করা হয়েছে
c2ae945362	e03fc	বটতলায় গিয়ে
c2aee53fef	32b3e	সংসদীয় কমিটিও
c2aef44642	7898e	দুজন লোক
c2af42ffb8	4164f	কিছুমাত্র কম দড় ছিলেন না
c2af4dd2ba	194f5	তিনি ঘটনাস্থলে গেছেন
c2afc2487c	536d9	কয়েকটি উপ কমিটি
c2b004236b	2aecc	পূর্ব পাকিস্তানের লোকসংখ্যা
c2b02026d1	f0f95	বিবিসির সাংবাদিক
c2b060ceda	3fc9d	সিরিয়ায় সহিংসতা থামাতে
c2b06f5397	37e17	উইকেটে সেট হলেও
c2b0797b09	0e637	মামী
c2b08fce11	31f2a	ডুকরে কেঁদে উঠলেন
c2b0a100a9	086dd	বর্তমানে বাংলাদেশ
c2b146fee9	66c6b	অনেক সাধনার পরে আমি পেলাম তোমার মন
c2b18df1a8	430b2	ভবিষ্যতের ভিত মজবুত করতেই
c2b1de8748	880ae	শিল্পী দেবীপ্রসাদ
c2b2387823	eecdd	সংস্কৃত ভাষায় কামসূত্র
c2b3d03c44	83c53	এক সময় পুরো রমনা
c2b3e461da	80be1	সামান্য দূরে বসে থাকা
c2b4d55fe8	410fa	চক্রাকারে স্তরে স্তরে সজ্জিত
c2b5ce1ebe	bc81e	খুচরা এবং পাইকারি বাজারের দোকানদাররা
c2b5ee84e9	8b859	উঠোনের ভাঙা ইটে পড়ে
c2b6ee73a7	f83df	হরমোন সমস্যা
c2b7c96cd6	28bb3	টিভিতে দেখে আসছি
c2b7cc4200	bdd05	সাবেক রাষ্ট্রদূত
c2b8521a77	95907	আঁদ্রে লিন্ডে
c2b869246f	cfc65	কিন্তু টাওয়ার হ্যামলেটস যেন
c2b96b9705	4f2ae	ব্রিটেন সহ পশ্চিমা বিশ্বে
c2ba05c412	32998	আয়োজিত এক মানববন্ধনে
c2ba4a2c96	92bb2	তাই না
c2ba64c8a2	42898	গবেষণা পরিষদের তত্ত্বাবধানে
c2baaf0b8f	8a46d	তবে তাঁর ধারণা
c2bc55c02f	809cd	বিশ জনের মত
c2bd38ac23	b4ea7	ওদিকে আনন্দবাজার পত্রিকা বলেছে
c2bd4d9d26	16877	সাহিত্য গড়িতে হইবে
c2bd69aa3b	ef915	বাস করতেন
c2bda31afa	3bea8	কেতাবের শেষ পাতায়
c2bdc6f076	cd3ac	তাদের জনপ্রিয়তা আছে
c2bdd07b29	a8710	দুই ঘণ্টার মাথায়
c2bdd3abd4	420df	পটভূমিকার রচিত
c2be3db3f2	17ca1	তারা নির্ণয় করবেন
c2be6d81a7	7ed14	অন্য একটি বিষয় হচ্ছে
c2bef725d2	880ae	বরিশাল বিভাগের
c2bf5c2d61	2556b	তখন তাদের স্থান
c2bfa4c45d	49543	পাঁচকড়ি দে প্রধানত
c2c0207b1b	ba2f6	বিকাশ করিলেন
c2c083b24e	6a35e	হিন্দুত্ববাদী ভারতীয় জনতা পার্টি
c2c0bc7740	9c8dd	গুপ্ত চিন্তা টেনে বের করা
c2c0ed843d	f83df	বাংলাদেশী জনপ্রিয়
c2c10dfc21	66c6b	অনেকের মনে প্রশ্ন জেগেছে
c2c1b6b880	c3cca	প্রাগৈতিহাসিক
c2c1ef8eb6	8edea	বিদেশী ত্রাণকর্মীরা থাকতেন
c2c1f4aca9	25696	বিবিসি বাংলার কাদির কল্লোল
c2c2286c3e	880ae	তাঁর সফরসঙ্গীদের সঙ্গে
c2c25f3100	0d9f1	পাওয়া গেল না
c2c273b186	2ee04	নিহতের বড় বোন
c2c2851f51	6c6bf	আমরা ক্রমশঃ
c2c2f9a116	9d398	এত গন্ধ পায়
c2c321b341	8845d	বেশি কড়াকড়িতে রোগী কমবে
c2c346e13c	7aed9	দুজন অ্যাথলেট ও একজন ম্যানেজার
c2c38dcb97	2556b	লা চরুনা শহরে
c2c3d0a3de	efc0d	পদক জয় করে
c2c3d7ccdd	91223	হয়ে উঠার পেছনে
c2c3fc38fb	bd576	ধারাবাহিক ব্যর্থতার কারণে
c2c42691b7	ee7b2	বাংলাভাষা
c2c43b0b50	fd880	স্বচ্ছ ও গ্রহণযোগ্য হওয়া
c2c43fab8e	5a61c	নির্মিতব্য ‘ফাগলি’ সিনেমায় একটি গানে নাচবেন অক্ষয় কুমার এবং সালমান খান।
c2c4796b7e	2556b	বাছা, আমার বড্ড তেষ্টা পেয়েছে
c2c4a8df2d	491a5	পাহারা বসানো যায় না
c2c4ba586f	e31e7	মালি থেকে
c2c4cad7a4	4fbd1	মার্বেল লাটিম খেলেছে
c2c4e8a363	69449	ফের সাজ ঘরে ফিরেন
c2c4f0a18e	ee7b2	প্রথম টেস্টটি শুরু হবে
c2c505bf0a	65e30	চলে যেতে যেতে
c2c5069483	8143b	চোঁ-চোঁ করে
c2c5d3031c	71522	মতিলাল কিছুমাত্র সুনীতি শেখে নাই
c2c64d2241	95907	যশোরের উদীচীর অনুষ্ঠানে
c2c653290b	430b2	সমকাল
c2c666688f	65652	ভালো
c2c6720fed	698ff	দর্শক ভালোভাবে নেবে
c2c672c7dd	a9a58	লাঠিসহ গ্রামপুলিশ একজন করে
c2c7178179	4c1eb	কিছু ভুল হয়েছে
c2c7de476a	08458	তা সবাই জানুক
c2c7e47494	29d44	কিছু দুর্বলতা দেখা গিয়েছে
c2c82844c1	66dcd	দূর্গাপুজোর কটা দিন
c2c84dba8e	29089	বিল পাসের জন্য ভেতরেই ছিল
c2c850dec1	4e900	চিত্রলিপি থেকে
c2c8c739f5	b2a62	হাই কোর্টের এই বেঞ্চ
c2c8ddaca6	5dd61	মন্তব্য করেননি
c2c92345d5	ca831	পান্ডুলিপি প্রকাশে
c2c9657d0b	3fb17	এড্গার অ্যালান পো-র গল্পে
c2c9c8286b	91ac1	বিকাল ৫টার দিকে
c2c9cf228a	bcaa8	লেখক আড্ডায়
c2c9cf398b	f0f95	দেখবার সুযোগ দিয়েছেন
c2c9db8931	d711f	কোন কোন ভাষার সংমিশ্রন ঘটেছে
c2c9ef6bec	29bab	কিন্তু এক্ষেত্রে যথার্থ জ্ঞান অর্জন
c2ca199b44	33aef	সেই থেকে তার
c2ca2b280c	5a61c	এবার ক্লাবের সংখ্যা
c2cab44a97	bdd05	কী লিখছে
c2caefe6c5	7f71c	পুলিশ সদর দপ্তরে পাঠানো
c2cc1da354	5a61c	আনা হবে
c2cc6a0cbd	06bb7	পরে লক্ষ্য তাড়ায়
c2ccd1c26e	7351e	এক কূটনীতিকের কাছে
c2cd495d7a	1cb75	৫০ লক্ষ ডলার বাজেটের
c2cd68c950	cd3ac	পদুয়ার বাজার পর্যন্ত
c2cdc4d60b	9e923	অপরাধী, সন্ত্রাসীরা অপরাধ করে সীমান্ত অতিক্রম করে ভারতে আশ্রয় নেয় বলে বাংলাদেশের উদ্বেগ রয়েছে।
c2cdea8ff8	b52ab	রণেশ দাশগুপ্তের সুকান্ত সম্পর্কে
c2ce4a79cb	1f733	যমুনা
c2ce80b972	ab946	নির্ধারণ করা সম্ভব হবে
c2cf2ab700	0895a	আমরা এখন গণতান্ত্রিক দলের
c2cf5ccfdf	0633a	তা দিয়ে কোনই
c2cf6c53aa	ba2f6	প্রেরণ করেছে
c2d03405b9	4bede	তুমি যে দিদি
c2d20f6d5e	a8710	বিকাশ ঘটিয়েছে
c2d2ba49b6	ac904	মম
c2d2bf7ad8	4fbd1	এবং এর প্রভাব
c2d2cf095e	2f547	তিনি নিহত হন
c2d32a3946	eb179	জেনে নিন
c2d4d8497d	420df	ভোট দিয়ে মিস্টার ফাহমি বলেন
c2d4ebfb43	c2082	আরেকজন যুবক
c2d4efaa21	e9759	বর্তমান বাংলাদেশের
c2d5b5e1db	0f047	বনভূমি ভরে টেকসই
c2d62225a7	c7705	সহযোগিতা কেমন পেয়েছিলেন
c2d6656b1e	35ef3	কেউ হতাহত হওয়ার
c2d726b78f	7e191	বলে দিলেন সব
c2d77016b7	06e62	ঐ দুইটি প্রবন্ধ
c2d782ca7d	4f2ae	রাস মেলা ছাড়াও
c2d7975e76	c11b1	কোন অভিযোগ তাঁদের থাকেও
c2d799884e	1f974	ক্রাইমিয়ার বহু ভোটার
c2d7fba551	80be1	কষ্ট করে বিজ্ঞানের জটিল বিষয়গুলো
c2d80988b5	24f73	শহরতলী এলাকা
c2d8b92691	1b359	২২ ডিসেম্বর
c2d9048c1e	c0d65	বিভিন্ন খাদ্য
c2d9c6d903	2695f	যেতে অনেক দিন লাগে
c2d9f337eb	11de3	নিষেধাজ্ঞার কড়াকড়ির শেষ নেই
c2da1c9153	0edef	পলাশীতে অল্প সময়ের জন্য
c2da4e7418	4c1eb	প্রথম অতুল প্রসাদের
c2dad402ce	49543	ধনেকুচি ১ কাপ
c2db8ef093	22096	এ ছাড়া কিছু গণমাধ্যম
c2dbe4b9e0	e9759	এখন শত্রুর জন্য
c2dbe5eb1a	73629	অনেক সংগ্রামী ও প্রতিষ্ঠিত নারী
c2dc53547a	7b103	স্বামীর আদেশ নির্দেশ
c2dc752106	9282d	প্রধানমন্ত্রী কিভাবে সরবেন
c2dc8ce503	698a4	উন্নত দেশসমূহে
c2dcb528bc	5cb47	বিরোধী দল কোনোটাই
c2dcff3b3a	b00ba	বিপর্যস্ত করে ফেলেছিল
c2dd54a0cf	089ef	প্রেসক্লাবের সাংবাদিকরাও
c2dd7078db	22096	ফুলমালা রায়ের বেলী দল
c2ddebf409	7aed9	এ বই-ই বাংলা ভাষার
c2ddf2817c	ad050	দেশের বাইরে যাচ্ছি না
c2de300cb4	adf01	অতিরিক্ত পুলিশ
c2df27cd3f	ced74	আমাদের কিছু চমৎকার
c2df941ecb	57d54	বেজায় লড়াই
c2e091d941	8143b	ফরাসি সরকার
c2e09fe4ea	a7c6f	জীবিত বা মৃত অবস্থায়
c2e0ada0c9	16877	কাঠের ডাইস, রং
c2e0dd45f0	d82d9	সেইসঙ্গে চুল হবে
c2e0fd2474	c0965	হোয়াইট চ্যাপেলের রাস্তার
c2e13bc9ee	0d4cb	আগামী ৮ ডিসেম্বর দুলুর
c2e13c9998	ff1eb	এই মৌসুমের আগে
c2e1e8298e	47e8d	ক্লিক
c2e1fa5515	22096	বারবার বিদ্যুৎ বিভ্রাট
c2e236cbc8	089ef	অ্যাডিশনাল এসপি কুতুবুদ্দিন
c2e2374e32	2ad74	ছটকুকে প্রস্তাব দেওয়ার
c2e2dc699f	f1240	এখন তো নিজেকে
c2e2fda08b	28bb3	অনুষ্ঠানে বক্তারা
c2e30be29a	7df87	দেশটির বর্নো প্রদেশের
c2e4c7aa74	7aed9	বাবার ভাল লাগল
c2e52bfdc7	c6848	সেখানে নিশ্চয়ই তাদের
c2e5cc8891	2fc12	হালদা নদী
c2e5ed3484	b8ed8	শোনা যায়
c2e65025ee	2aecc	আহত আব্দুল হালিম
c2e6bdfc50	7e1d5	শুরু হওয়ার আগেই
c2e7010c80	28dfc	ক্ষুণ্ন হচ্ছে
c2e727e3e2	6dff5	এরপর আমি নূর হোসেনকে
c2e7509546	4fd66	সিলেটে আইলাম কি
c2e771eb7e	18460	আমার মরণ
c2e79e1560	c0d65	চট্টগ্রাম টেস্টের প্রথম দিনে
c2e7bc4c94	6b437	ফলে বাজারে মুদ্রা সরবরাহ
c2e8337625	7297e	ক্লাসে সতীশের সঙ্গে
c2e8c354ba	fda1a	অক্ষুণ্ন রাখতে সক্ষম হয়
c2eae1009e	6e6fa	মানুষের আগ্রহ বাড়ছে
c2eaeb84cf	7f71c	তমাল তরুকে
c2eb72167d	37d7e	চুপ করে সব কিছু শুনে গেলেন
c2ec9a28a3	6fb36	পুরো হাতিয়াকে
c2ecd87be9	92bb2	জাফর ইকবাল বিশ্ববিদ্যালয়ের
c2ece717eb	dafb6	ওই ওষুধ নির্মাতা সংস্থার
c2ece8fc70	17dcd	অন্যদিকে আজ
c2ecebf148	4e900	কেবল মা’র পুতুলের সঙ্গে
c2ed11288d	c958a	কিভাবে পোশাক কারখানাগুলো পরিদর্শন করা হবে তা নিয়ে কথা হবে এই বৈঠকে।
c2ed2e5025	730c3	মেহেদী হাসানের সঙ্গে
c2ed67a46c	6c6bf	এমন একটা ঘটনা
c2ee517373	4c555	কতোটা পরিবর্তন হয়েছে
c2efb9c054	14816	অবতীর্ণ হয়ে
c2f01c8f38	39293	গাজীপুর যাওয়ার বাসের জন্য
c2f08c80ef	bc81e	একটি স্থাপত্য বিষয়ক সম্মাননা
c2f0922bf1	9351a	ঈশ্বর অসীম দয়ালু
c2f0cc939b	29089	খুব জমকালো পোশাক
c2f0cfd4d0	e89bb	যাত্রা শুরু হয় সুচিত্রা সেনের
c2f0db4cff	84145	আমাদের উদ্দেশ্য দেশকে শান্তি ও ইসলামের পথে নিয়ে যাওয়া।
c2f1498607	bd576	ডেট করতে আগ্রহী
c2f1678e0e	7d3e1	উল্লেখ করেছেন তিনি
c2f1a03036	b08d0	টালমাটাল হইয়া পড়িয়াছে
c2f1b5ad6b	31f09	সেই বর্ণনাগুলো দিচ্ছে সে
c2f2253e54	f7a7f	রান্নাঘরে গিয়ে আগেই আমি
c2f2f0d2fa	29bab	নিহত আবুল কালাম আজাদ
c2f3cc90da	69d9a	সব দেখাইয়া বলিলেন
c2f4611fad	bf530	এটি ঠিক নয়
c2f4634507	11bd2	চিন্তাভাবনা করা হচ্ছে
c2f464614f	05901	অন্যতম একটি ব্যান্ড
c2f4aaa428	e50f1	সরকার যেমন
c2f4be0ccd	18460	আমি শুধু দেহ-মন নহি
c2f4c3d0eb	f4ba7	জগ থেকে
c2f51dc074	6973e	যুক্ত হলে
c2f5398d0e	a9a58	ভাই এর কথা
c2f54edbd4	287bd	দেড় শতাধিক রাউন্ড
c2f57f2475	5b13f	ঢাকা থেকে চারটি
c2f5ceb8a0	7297e	হত্যা করার অপরাধ
c2f6084fb8	e68af	তৈরি করতে হবে
c2f67c2b71	c3cb3	ইংরেজি মাধ্যমের স্কুলের সংখ্যা
c2f693bd86	e3d8b	গত মার্চ মাসে
c2f6fdbcc4	91ac1	মাতুব্বরকে নিয়ে
c2f76fd801	2fe3c	আল্লাহ ভাল দেখতে পারেন না
c2f77b1147	13b6a	কাজ করেছেন দিপিকা
c2f88578e9	ee852	খোঁজ করে দেখতে পান
c2f88ffd49	76329	সমৃদ্ধ হয়েছে
c2f901ed9a	4a918	বাবুর বিয়ে হয়
c2f907e456	43b04	তুলে ধরা যাবে
c2f969c62a	d9817	দোষ দিতে পারি না তাঁদের
c2f98ce702	d3e06	রাশিয়ার ইতিহাস
c2f9a8cc82	730c3	বিবস্ত্র
c2f9b68655	4fbd1	মৃদু লয়ে নাচতে নাচতে
c2f9d23834	83c53	কথা ছিল ড্র হলেই
c2f9e04fd1	e00db	পড়ে আছে অচেতনে
c2fa743c8b	7d3e1	চলো পাল্টাই
c2fb368ce7	59c73	ধ্বংসস্তূপের উপরই
c2fb3e2357	d9817	তদন্তকারী কর্মকর্তাদের জানিয়েছেন
c2fb3ef826	287bd	অভিনয় করতে দেখা যাবে
c2fb85db44	778c0	ভাল করে পরীক্ষা করলেই
c2fc3a7003	73629	বলদ
c2fcb3be0b	bbb22	৬৮ মিনিটে আর্জেন্টিনার মিডফিল্ডার আনহেল ডি মারিয়ার পাস থেকে লক্ষ্যভেদ করেন বেল।
c2fd062f7b	da6f0	বিজ্ঞানীদের টেলিস্কোপে
c2fd4e3e05	3bb15	কিছু কিছু আছে
c2fd559238	82926	উপজাতি সম্প্রদায়ের
c2fd62fef2	9e923	নাটোর-রাজশাহী মহাসড়কের ওপর
c2fdd47e80	10a9f	সেই ভয়াল প্রাণীটি কখনো মূর্ত
c2fde23d2c	14d25	পাকিস্তানের জাতীয় পতাকায়
c2fe093140	f658d	আটক জাবেদআলী সদর উপজেলা
c2fe0af45a	acb88	অবশিষ্টদের তালিকা
c2fe2af767	ad2a0	গত রবিবার
c2fe546c9a	c7705	আর কেহ লিখেন নাই
c2fe7d5e14	f1240	তার সম্পত্তি
c2feeb204d	8632b	গ্যাস সংযোগ তো
