de00151694	92bb2	শুধু যদি
de8d1a9a1e	194f5	পরিবারের সবাই
de8d3f091d	24f73	দু’দিন উপোস করে
de8d4a75bb	4f450	বেসরকারি ১৯টি ব্যাংক
de8d56f036	2ad74	বিভূতি ভূষণ চৌধুরী
de8d994226	b8bba	সুনন্দা যদি শশীকে
de8db1b1f1	cb627	দীর্ঘ ক্যারিয়ারে
de8dce6fd4	e2ff7	এই আচরণকে
de8e02cf61	4f2ae	পুলিশের গুলিতে নয়
de8e272e25	cc9fd	১০ তোলা
de8e2f959f	6e8cb	১৭৭ জন ভোটার
de8e7d0fe4	287bd	যখন মজলিস হতে উঠলেন
de8ee7afe5	58998	সবাইকে ঈদের
de8f6b20d1	03284	অনেক পরে প্রক্ষিপ্ত হইয়াছে
de8fa97101	0a87a	মো. সালেক বলেন
de8fd5b324	32b3e	বেশীর ভাগ আমেরিকাতে
de8fdccdf6	b8bdd	দ্বিতীয় সংস্কৃতি রক্ষা
de90004ce9	355c1	মিউজিক্যাল যে ব্যাপারটা
de909bc3ef	6a35e	কেন মুরগির খোঁয়ারের দরজা
de9153def6	ad98d	যখন সে পাণ্ডবের যজ্ঞের
de91d02fee	2fc12	ভেঙে ফেলতে বাধ্য হয় সে
de9204b0ef	d136b	বৃষ্টির ছবি
de920e1d1e	91230	গত আসরের এশিয়া কাপে
de925d4b4e	5d80e	একটু কোল্ড ড্রিংকস দেব
de92f72d37	5354e	আর একবারও যাব না
de9327d526	acb88	নিয়োজিত ট্রাস্ট
de936756dd	68549	খবর পাঠানো হয়েছে
de93bfa81c	66b3c	যখন তাকে
de93e00fa6	73629	হার বেশি
de93f722fa	bf530	পুলিশ বাধা দেয়
de945aa8bb	ea5be	সঙ্গীত পরিবেশন করেছেন
de948ebeef	ad050	বিদ্যুৎ উৎপাদনে
de94b0a00a	410fa	সংঘাত উত্তেজনা
de94b8133a	f7a7f	পদক্ষেপের অগ্রগতি সম্পর্কে
de9587412e	07660	শীত থেকে রক্ষা পাওয়ার জন্য
de95ba9296	323f1	মিঃ রৌহানি
de95c0ce49	25117	একজন মুখপাত্র জানান
de96b40bc7	bdd05	হাসির কাণ্ড করে দেব
de97233d6c	91ac1	সব ব্যবস্থা হয়
de97a26a54	29089	কোয়েল
de97bdc9c3	83c53	বাংলাদেশের রাজনীতিবিদরা ওআইসির সঙ্গে
de98550f7a	73629	ভাইস চেয়ারম্যান পদে শাহনেওয়াজ হোসেন জোয়ার্দ্দার, মাওলানা সিরাজুল ইসলাম ও শেখ সেলিম আক্তার স্বপন মনোনয়নপত্র জমা দেন।
de98c62fcf	13b70	দলিল বা প্রমাণ
de98d24246	e50f1	অলিম্পিক গ্রীন
de9a00801b	25696	ফুলে উঠে কেন
de9aa2679c	3fb17	আরবিভাষী মুসলমানদের মধ্যেই
de9acf84a5	4fd66	সাদামাটা টিনের চাল
de9b2a000c	06527	ভাল লাগে
de9c2c746e	0b7ca	কয়েক মাসের প্রশিক্ষণ শেষে
de9c7d1fa4	d7a68	কাউকে আক্রমণ করতো
de9ce903cf	52578	মহাকাশ গবেষণায় চীনের অবস্থান
de9d46c9fe	dec2d	নরেন্দ্র মোদির প্রতিকৃতি
de9d4c07d0	7f2ef	জাতীয় উৎপাদনের
de9d805940	fcefa	কুড়াতলী এলাকার
de9d8e53e0	dec2d	একটা শাবক হিসেবে
de9da69c41	af81d	অন্য এক তরুণকে
de9dc4f367	e89bb	তুলে আনতে পারে
de9dd1c1ee	6b437	পরে দেখতে পেলাম
de9dddda8c	0d8c1	প্রেম ভালবাসা
de9dfe9630	7ee9b	তিনি বাংলাদেশ গিয়েছিলেন
de9e483f2b	1c618	১ লাখ ৯ হাজার
de9e690c28	f1ff2	৬৫ মিনিটে
de9e8824f0	1a4a9	চালানোর সুযোগ নিতে
de9eaca532	f600a	সেই লক্ষ্যে
de9ef74626	11bd2	একটি দোকানে আগুন লাগে
de9f059f10	b00ba	অন্য একটি মতে
de9f3ad7f7	66c6b	রবীন্দ্রসংগীতের একটি প্রবল আকর্ষণ আছে
de9f88ad17	c8f7f	বহু উঁচুতে অবস্থিত
de9fb0cae5	967fd	কী যায় আসে আমার
de9fdd4b9a	ca088	জমা দেবেন চলচ্চিত্রটি
dea0795dfa	404ee	আল্লাহর পথে বড় বিভ্রম
dea0af788a	f143a	অনেক কলকারখানা
dea13f755b	69d9a	অস্থিত সন্ধান তিনি পেয়েছিলেন
dea1f1f828	b4ea7	আরও সরকারের অধীনে
dea24c74e8	56508	আমাকে জিজ্ঞেস করল
dea35b0fec	d41be	মেয়ে বাহির হইল
dea518d672	b2a62	বেসরকারি বিশ্ববিদ্যালয় নর্থ-সাউথ ইউনিভার্সিটির ছাত্র নাবিল আহমেদও দেশের ভবিষ্যত নিয়ে আশাবাদী।
dea52fa5ab	d2faf	রাসায়নিক প্রযুক্তির অধ্যাপক
dea537c215	ee852	যেরকম মোটা অংকের অর্থের বিনিময়ে
dea538a53d	2f547	গুল
dea53ff322	6aac8	কহিনুর ইয়াসমিন বলে
dea5768eaf	520fb	ঈদের জামায়াতে গিয়েছেন
dea57f6f2d	80505	সাবেক ভাইস প্রেসিডেন্ট
dea5a3b815	29d44	তুফান
dea5a5bff8	bfac7	জাভাস্ক্রিপ্ট একটি শক্তিশালী
dea5e670f7	ab946	এই দিনে
dea66bd256	ad2a0	লাঠিটা আনুমানিক
dea6a86abd	323f1	মাথা ন্যাড়া করে দিলেন দুজনের
dea70abe0f	09f0d	সাম্প্রতিক সময়ে সরকারী ও বেসরকারি উদ্যোগে নানা তৎপরতায় এ বিষয়ে সচেতনতা বেড়েছে অনেক।
dea75f1ca2	bfac7	সোনা মিয়ার
dea803faa6	d3e06	এ বছর প্রকল্পটি
dea84a2b71	95907	এটা অনলাইনে দিয়েছে
dea85dc312	18a52	মনে করেন
dea8de9101	e03fc	শনিবার বিকালে রাজশাহী বিশ্ববিদ্যালয় ছাত্রলীগের ২৪তম কাউন্সিল অনুষ্ঠিত হয়।
dea93358be	29f8c	বিষয়টি প্রধানমন্ত্রীকে জানাতেও
dea9822964	ad2a0	খুলনা নেয়ার পথে
dea9d3eedb	7b103	আরো বড় করে
deaaea0bfe	8c120	স্টাইলিংয়ের দায়িত্বে ছিলেন
deab4b6b4b	f6e55	জনগণের জীবনধারার সমতলে এসে
deac0af9b9	29d44	সেখান থেকে অটো রিকশায়
deac71b088	29f8c	থেকে সঙ্গীত অধ্যয়নের জন্য
deaccabd1a	282d3	মেহেদী পাতা
deadf5baf0	06736	দুপুর বেলার অক্ত
deae492bbc	d9817	সে নিজের হাতে
deae61263c	d711f	তালেবানের মাধ্যমেও
deae7382e5	4c1eb	ঐ সমাবেশে
deae79d7e9	1e7c6	ভিড় ঠেলে তাকিয়ে দেখি
deae81400a	14d25	১৯৭০ সালে
deae8e2c71	ad050	গমনে বাধার
deaeb34ba9	1e7c7	ফোরাম
deaeb447de	4f450	পুরুষের আকাশের দিকে
deaeccd9db	7a227	বাস্তুতন্ত্র
deaf5dfe53	e68af	বাংলায় খেলাধুলোর ম্যাগাজিন অনুষ্ঠানের ক্ষেত্রে
deaf795594	e9759	সশস্ত্র বাহিনীর সর্বাধিনায়ক হিসেবে
deaf87c002	7df87	বাতিল হয়ে গেল
deaffddd0d	e754e	এবং আরো প্রায়
deb08c1a6e	4c555	তারা চেষ্টা চালিয়ে যাচ্ছেন
deb08eb04c	f1ff2	ড: মশিউর রহমান
deb14a96a0	cd3ac	প্রথম শ্রেণির শিক্ষার্থী
deb14c6f5e	92bd8	মা’কে বললে
deb16799e8	33aef	যার অস্তিত্বকে
deb1bea123	b8bf0	তিনি বিখ্যাত
deb1edc222	e00db	বিগত পাঁচ বছরে
deb2ddc2de	2b883	নির্ণয় করা সম্ভব হবে
deb3009fa0	b9a81	অনুমতি দেয়ায়
deb362ff9a	7351e	যাতে প্রধান অতিথি ছিলেন
deb37004b1	e6d83	একটু পাকের পরশ পাই
deb373bc4e	43199	তারিফ না করে
deb3f4167c	e68af	মন খারাপ করে বসে থাকবে
deb48f8cda	16a17	আরো বেড়ে যাচ্ছে
deb5b8f1b3	33aef	মনতত্ত্ব পুরোটা
deb5fa03a6	69d9a	সেখানে দুজনের মৃত্যু হয়
deb65bb7ff	c3cca	দেশে গিয়া আগে
deb6730bbf	16877	অণুজীবের কার্যাবলীর ফসল
deb69ad992	75936	পাকিস্তানের বিপক্ষে
deb6b43e20	0895a	আবার এই তহবিলেও
deb6fbfb68	693cb	ব্যবসার চিন্তা বাদ দিয়েছে
deb7474572	cd3ac	এক ধরনের অপপ্রচার রয়েছে
deb7993900	ea5be	টি-টুয়েন্টিতে এ পর্যন্ত ছয়বার মুখোমুখি হলো ভারত ও শ্রীলঙ্কা।
deb7d49567	1cb75	মুম্বাইয়ের অনুষ্ঠিত
deb7f9a42c	7d3e1	রুশপন্থি বিচ্ছিন্নতাবাদী
deb81bf1c7	92bb2	তবে অক্সিজেনের মাত্রা
deb8561793	4c555	২০১১ সালের বিশ্বকাপ শুরু হয়েছে
deb862586d	b5fdc	ভাগবত এবং ব্রহ্মবৈবর্ত
deb89c51e7	adf01	ভেঙে পড়েন স্বজনরা
deb8b0c32e	7b900	শত শত মানুষের
deb920133c	54cdd	একই ধরনের অনুষ্ঠান আয়োজনের
debaca2ee2	92bb2	যুদ্ধে গেল
debba68b64	56508	সংমিশ্রন করে
debc058925	f7a7f	আমরা ক্রমশই হারিয়ে ফেলছি
debc33842a	fb4cb	ঈশ্বর
debc740e29	46da4	খাবার
debc875b8b	ca088	দুই পক্ষকে নিবৃত করতে
debcca605b	32c77	অলিম্পিক গ্রীন
debcd1cdfe	11bd2	নানি অতিষ্ঠ হতেন
debd0906a8	cf82a	বিমানটি পাহাড়ের উপরে
debd3b6810	d2355	জলাভূমির পানি
debd6b7d4f	ea8fa	কতটা প্রস্তুত
debe03fe3f	b9122	আমরা কাজ করব
debe0ac599	fcefa	ইন্টারনেটভিত্তিক কিছু ওয়েবসাইটও রয়েছে
debe608584	dfefa	মুসলিম নারী
debe712d20	8ba2b	তিল তোলার উপায়
debf3e5aab	b08d0	সীমানাসহ বিভিন্ন ছোটখাটো
dec05f8dc9	21e54	গ্রেপ্তার দেখায়ে
dec1197b4f	72649	দৃঢ়ভাবে ঘুরে দাঁড়ানোর
dec14d5fe4	b9b98	আইওলুস ছিল
dec17a4ce1	7898e	দাঁত চেপে রাখার অভ্যাস
dec1c870ee	80539	বাঙালি পারুকে সাদরে গ্রহণ করেছিল
dec1e8589e	43b04	তবে এবারের টুর্নামেন্টটি
dec223572b	44322	হঠাৎ ঘুরিবার সময়
dec2348394	23b22	স্বতন্ত্র প্রার্থী হিসেবেই
dec2615a7a	09f0d	লালবাগ কেল্লা
dec26d44dd	53396	টাইফুনের পর জলোচ্ছ্বাসে
dec2a0cfa0	7b60a	উপকূলের আরো কাছাকাছি এসে
dec2a2be2b	da6f0	প্রলয়ের শাঁখ বাজালেন
dec2b8bbf8	2bd99	তাকে আর দলের
dec2bed395	0696e	তার উত্তরার বাসায়
dec36802fc	3ec4d	নতুন বছরের সূচনা
dec4390133	9282d	প্রাগৈতিহাসিক
dec462a874	870e3	আজকে তো পূর্ণিমাই হবে
dec482f174	06736	এ তথ্য তুলে ধরা হয়
dec4ac64f3	e55de	পরিস্থিতির সার্বিক উন্নয়নের জন্য
dec5cb0c86	fda1a	কতকাল আগের এক ৩০ শ্রাবণে
dec5d563f3	43b04	ঐরকম কষ্টে থাকিয়া
dec5e5f804	967fd	এক্সপ্রেস মেইল সার্ভিস
dec6b38e71	9f25e	এ এক সোনার খনি
dec711227b	ab946	ইতিমধ্যে এ সেবা
dec7ddb97a	1652d	বাড়ি
dec849ca76	47e8d	নজরুলের প্রেমের কবিতা
dec85a0e52	a9a58	ভারত বাংলাদেশের বিভিন্ন
dec8802a84	fd880	তৈয়ব আলী সরকারের বাড়ি যাই
dec8c00c6c	5639c	বাজেট স্বল্পতার কারণে
dec9701992	7c272	প্রতিফলন ঘটে না
dec9978053	3c897	গবেষণা করেছেন
dec99f0cbd	ad69a	উদ্ভিদ, জলজ প্রাণীকে
deca9adc6a	71522	এর আগে বিবিসিকে জানিয়েছে
decaf0b0d0	b52ab	তাদের ঢালাওভাবে কর্মচ্যুত করা হয়েছে
decbe6ff58	3faff	কোনও চিন্তাভাবনা
decbfde079	65e30	কাজ করে এমন সংগঠন
decc22df72	b9122	খুবই মর্মাহত হলাম
decc266692	17ca1	টেন্ডার থেকে নিয়োগ
decc41ab2a	a1d4a	কে আগে
decc7d7961	38ff0	টালমাটাল হইয়া পড়িয়াছে
deccb4f94f	c5479	হামাসের মুখপাত্র বলেন
decce89625	91dff	জাতীয় নির্বাচনের বছর অনুষ্ঠিত
decd6036ae	eb179	নিমিত্ত যথাসাধ্য চেষ্টা করিতেছেন
decdc2e1d5	ca831	প্রথম স্থান
dece69729a	e3d8b	আসরের সফলতার পর
dece6f3f40	0a87a	আমি নাকি এক্কেবারে
dece99523a	9fa90	নয়াপল্টনের কেন্দ্রীয় কার্যালয়ের
decedfc6bb	d9081	রিংটোন ডাউনলোড
decee39199	68ab7	নিজেদের ভাঙার চেষ্টা করেন
decef80895	0a7a0	মিটমিটিয়ে তাকিয়েছিলুম
decf1d551f	948d3	চুলের স্টাইল
decf27056d	01e91	মাধবাচার্যের মতে
decf299d2a	0c39f	সুযোগ ঘটে নাই
decf312768	e6e48	এই নিয়ে পরপর তিনবার
decf7b2ebd	b4ea7	গোল করার পর
ded022223d	ac0df	উদ্দেশ্যেই মূলত অর্কুটের
ded04e0bf1	29bab	ও মাটিডালি মোড়ে
ded07b2ad1	520fb	ভাসানির প্রতিকৃতিতে
ded09e2e17	ce629	আয়না ছিল
ded0b855f0	65e30	চুম্বকশক্তিকে কাজে লাগিয়ে
ded0ee7cfe	509f6	বাছাইপর্বে অংশ নেবেন
ded0f19d4b	c958a	প্রতি বছর তাদের চাহিদা
ded15a5188	2b883	প্রতিমা, কল্যাণী, ইন্দিরা
ded17e280a	7df87	বাড়ির লোকদের খাইয়ে
ded20a2357	b52ab	ভবিষ্যতের চিন্তায় দিন কাটছে
ded28e964c	a0277	নাম আছে কি?
ded31e5d0a	c11b1	সম্ভ্রম ও সমাদর লাভ করিলেন
ded3428681	351dd	মানুষ হত্যা করা হয়েছে
ded3549979	509f6	আগে বাপের সৎ হওয়া উচিত
ded3c99d69	32b3e	পেট্রোল বোমা হামলার ঘটনায়
ded402d697	4fc91	পদক্ষেপ নিতে পারেননি
ded4358a1d	95907	এবং একই সাথে ধর্মীয়
ded4439046	c958a	তারপর আমি সিদ্ধান্ত নিলাম
ded558947c	d1b12	মার্কেটিং, অ্যাকাউন্টিং, ম্যানেজমেন্ট
ded5f5428e	e9fa7	আত্মহত্যা করেছেন
ded6207aa6	91ac1	দাদন ব্যবসার সঙ্গে জড়িত
ded6c50b57	f0f95	মুকেশ ভাট
ded6cc5c14	9065c	আজ ভোর
ded707526a	554fe	এসএম স্টাইল
ded7789031	6aac8	নীতিমালায় সেখানে অবস্থানরত মানুষদের
ded7fc0201	616ec	অরুণাদেবী বললেন
ded7ff68bb	c11b1	ফিনফিনে সাদা ধুতি
ded8557ca4	2556b	ঘরের সামগ্রী যত সুন্দর
ded86ba59f	b2a62	সমাহার
ded882f9f6	91dff	একটুখানি সত্য কনিষ্ঠা পরিমাণ
ded8e96445	4c1eb	তার পত্নী
ded8ea2abb	2c9c5	এ ধরণের ধারা
ded90f80d7	355c1	মেয়েটি সোমবার
ded95d4b62	d9081	এটা একটা যুগান্তকারী ঘটনা
ded9c1bdb4	17dcd	জঙ্গলের মধ্যে প্রবেশ করল
deda0a2711	7b103	আমাদের চিন্তাভাবনার কথা
deda0bb87d	e9fa7	এয়ার অ্যাম্বুলেন্স
deda7c0306	a9a58	হাঁপানি, চর্মরোগ
dedaa4c5a5	c0965	সঙ্গে সংযুক্ত
dedaa866d9	8edea	ওই গ্রামটি
dedb60bd9e	442b7	করেন অনুপ জালোটা
dedb77b0f3	cc18a	সম্প্রতি স্বপ্নদলের প্রযোজনায়
dedba65c58	d0c70	তাহাকে অস্থির করিয়া তুলিল
dedc2f1006	7ed14	দি বাংলা একাডেমি অর্ডার, ১৯৭২
dedc45773d	d9081	মোটরযান অধ্যাদেশ অনুসারে
dedc979713	3f875	নিবন্ধন না থাকলে
dedcd96763	4dd57	দেখাশুনা করে আসছেন
dedcff4b87	16877	জমজমের পানি
dedd1de479	d5f7b	মাসুদ রানা সিরিজের সব বই
dedd2e196b	698a4	দুর্নীতিবাজরা দেশ
deddc0c5c6	f9dfb	গণতন্ত্র নির্মাণের জন্য
deddd7aea4	76329	কি ছবির কোনো নতুন ভাষার
dedde80961	cfc65	মাসাজ করুন
deddfc7b28	c3cb3	বাড়তি এক লক্ষ
dede3d09e4	3bb15	সারাদিন ধরে বক্তৃতা দেন
dede406615	f2b7d	২৫-২৬টি হাতবোমার বিস্ফোরণ ঘটনায়
dede67eacf	e6203	প্রধানমন্ত্রী শেখ হাসিনার সঙ্গে
dede760164	2ee04	দেবতা হিসেবে
dede82dccf	c463d	মস্কোর সঙ্গে
dedee01d4e	ea8fa	শীর্ষেন্দু মুখোপাধ্যায়ের জন্ম
dedf4d1c54	58998	প্রশংসা করে বলেন
dee032d142	72649	সে রাতে ঘুমোতে পারেনি নন্দিনী
dee08a8a47	efc0d	উদযাপন করে হ্যালোইন
dee094184f	388c9	সেখানে রনির বাবা
dee0964f08	39293	মানিক পীর একটি সাপ পাঠালেন
dee0f2fe6f	6b437	কমলের মুখের দিকে
dee1142c54	f9dfb	ব্যাহত হয়েছে
dee1c8cc62	8845d	১লা বৈশাখে
dee1dd0d00	d82d9	পদ না বাড়িয়ে
dee24dff71	fd880	শাবনূর বলেন
dee251ad90	60f77	এই রেকর্ড নিয়ে
dee2973eaa	bfac7	মাথার সমস্ত চুলকে
dee2b4c43a	6aac8	হাল্লার রাজা বললেন
dee36b9ec9	4e900	লোপা সাংবাদিকদের জানান
dee36fb64d	07660	সেখানে আঘাত হানে
dee3a8ca9d	7297e	জ্বলে না ক বিলোচনে
dee3e01866	e2f12	বিশ্বের অন্যতম
dee424d5b2	153c9	কত রঙ্গের পরীক্ষা দিতে হয়
dee4263106	c749e	গলে গিয়ে মিশে যাবে
dee478cc16	a4750	গুজরাট দাঙ্গা
dee51a1951	37d7e	আয় বৃদ্ধি পেলে
dee5202011	bd576	খসড়া বিধিমালাটি
dee5228f51	f7a7f	নৌবাহিনী সম্পর্কে
dee54aecbf	698ff	মেয়ে দিব্যি মানিয়ে নেবে
dee57037fb	6e6fa	শুনতে বেলায় কান খাড়া
dee5a8bd7c	f29bf	খেলা বন্ধ রাখা হয়
dee6c16008	903fa	সীমিত রাখেন বলেই
dee70de592	7ed14	তবে সেই তথ্য
dee72db977	7f71c	কোন কথাই
dee82b6a6b	967fd	তাঁর মুখটিকে
dee877bb3d	976b1	ডাক্তারদের ধর্মঘটে রোগিরা বিপাকে
dee8f977a8	c3cca	যদি বাঁচা যায়
dee98585cd	1e7c7	চিকিৎসক হয়ে
dee9d3cde9	c5dc8	ফরিদ আহমেদের সাথে সাক্ষাৎকারে
deea3774a2	d9817	বড়মামা বলেন
deea93d40e	ef915	ছোট মোবাইল ফোন সেট
deeb90558f	15a75	যোগাযোগের ঘাটতির কারণে
deebcc41ba	e00db	স্যাটেলাইট থেকে পাওয়া
deec1c73c4	9d46f	অনেক জিনিস
deec7a9d64	49d63	শুরু করেছে
deed2ed541	b08d0	আমার ছেলের বউ
deed89384c	6d129	বাংলাদেশ সীমান্তে
deede0ac5b	24f73	মুক্তিযুদ্ধ শুরু হলে
deee132a15	1de6c	ভালোবাসা
deee1d2217	a06a1	একক নায়িকা আমি
deee211838	2bc73	সব দল লুটেরা
deee326946	61820	খানিকটা সময় লাগবে
deeec8706e	8c120	আইনে পরিণত করতে
deeef52a73	68549	দুষ্টু বলিয়া
deeef88b9d	4c555	বাংলাদেশে বাস করলেও
deef1e2047	75936	ভালো লেগেছিলো
deef30b528	4237e	সামাজিক মর্যাদার
deef36855f	351dd	ভারত সর্বোচ্চ পর্যায় থেকে
deef60e28e	5639c	আত্মত্যাগ
deefaa9fb1	9282d	অনুরোধ করা যাচ্ছে
def007f5ee	9351a	এনডিএ জোট পেয়েছিল ১৩১টি আসন
def05d7dae	09b32	একটা জাতির সংকটের ছবি
def0684222	ab946	সৈয়দ আশরাফ
def14479b5	430b2	এই দুর্ঘটনা ঘটে বলে
def1b28150	1c618	ইসলাম অবমানান করার
def1da5218	18a52	একটু বসাটাকে
def1e9ae91	bfac7	রানে সাহস পায় না
def2100f6a	e9589	সৈয়দ বেলাল ছিলেন
def23f7875	ad2a0	এক তেলেগু সিনেমায়
def27f7707	2aecc	যখন আতঙ্কিত পথচারীরা
def29070ac	2556b	ভারতীয় রুপির পতনের কারণে
def31bfd32	4a67e	পরিচিতি তৈরি হলেও
def3a69776	d2d71	তার ভেতরের রসদ
def3d6432b	ca088	এত সুন্দর নামকরণের ভাবনা
def410853a	a3a6d	অ্যামেরিকা কৃষ্ণ সাগরে একটি যুদ্ধ জাহাজ পাঠানোর ঘোষণা দিয়েছে।
def4222a03	6aac8	ব্যাপকভাবে ব্যবসাসফল হয়েছিল
def457b164	4bede	১৭ এপ্রিল
def48a7537	0744c	উপজেলায় তারা
def4986531	39dd0	কেউ কেন ওদের জিজ্ঞেস করছে না
def4bd9533	acb88	যা ক্ষয়প্রাপ্ত
def4f12900	aabe7	ভর্তি করা হলে
def4f53d8e	e8dde	ওদের পিছনে
def4f8afed	f2097	মা বুঝে পান না, কেন
def51937ba	3bea8	ওভেনে ১৬০ ডিগ্রি তাপে
def56fee01	e89bb	রেশমাকে জীবিত
def5986348	b00ba	অনুমোদন দেয়া হয়
def5cd8f37	7aed9	পারছিলেন না
def5d5c9bf	e754e	অনেক বউ-ঝিদের মতো
def60af0c9	cb1aa	এই কাজে যে মোটর লঞ্চ
def633ecbe	ad69a	দাঁতে দাঁত ঘষা
def6c5967a	0d9f1	এশিয়া ছাড়াও
def6d5c9a4	6973e	তাদের প্রতিবাদ-বিক্ষোভ চলবে
def724ea21	25117	অরণ্যের মধ্যে
def80e73f5	aabe7	গ্রেফতার অভিযান অব্যাহত থাকবেই
def816ae33	c41d8	এদের সঙ্গে ভারত সরকারের
def81b9594	274ee	আমি এবার যাই
def8357923	3fae0	এই উদ্যোগ নেয়া হয়েছে
def8975225	7297e	আহার্য অভিনয়
def8ddb95f	7d004	তারপর তীব্র প্রসব বেদনা
def8edf779	ce629	ও হুনুরি কর্ম শিখিয়াছি
def8f2b01e	5639c	পরিবারের চারজনকে বধ্যভূমিতে হত্যা করে
def9367261	870e3	নিরাপদ আশ্রয়স্থল হিসাবে
def96d648d	80539	বিদেশী ক্রেতারা এখনও
def9749167	2f547	ডিজিটাল টাউট হিসেবে
def9cd5db0	23291	তবে আধুনিক ভারতীয়
defa2d8110	c0d65	তার দ্বিতীয় স্ত্রী হোসনে আরা
defa3c140e	6e8cb	তার কার্যালয়ে
defaf4bdd9	06e62	পুলিশের এক কর্মকর্তা জানান
defb539b78	778c0	তার সঙ্গে বসে চা খাওয়াটা
defb898146	16877	নতুন এ সেট
defbefa75c	dec2d	এই পেজের পাশে
defc56e805	870e3	সকলে এই কথা মনে করিয়া
defca03080	256f5	সেটা নিয়েই
defd5a43e7	80e98	আহা কি আনন্দ
defe10c856	c958a	সহজে ছাড়িবে না
defe111f61	c41d8	আনুমানিক মূল্যমান হচ্ছে
defe8545a8	355c1	গুলির শব্দ শুনে
deff36e3fa	536d9	একে নিয়ে বিতর্ক অব্যাহত আছে
deff6eee85	3fb17	মালাউনরা তাদের
deff6f4736	ced74	শ্রমিক সংগঠন করার ক্ষেত্রে
deff7189cc	e50f1	আর ঠেকায় কে
deffc6414e	fcc89	কোস্ট গার্ডের মহাপরিচালক
deffe061b3	b2a62	তিনি সেখানে কর্মকর্তাদের জিজ্ঞাসা করেন, তারা কি কখনো মূল ফটকে তালা দেয় কি না।
