3500697aad	60b9d	আমার মা আর আমি
358dbf0d7a	7d3e1	অ্যাডোবি ফ্ল্যাশ হল
358dd38427	f4ba7	এবার একা পেয়েও
358e1655bf	cc9fd	লালন ছিলেন ‘জারজ’
358e34c635	c7705	সরাইলের বাড়িউড়া এলাকায়
358e9383c3	976b1	নির্মিত ‘উপহার’ ছবি পরিচালনা করেন
358e9d9db4	9e923	শ্রীকৃষ্ণের শুভ জন্মতিথি
358ea89e9e	8c120	এরপর রায়ের সংক্ষিপ্তসার
358eaf0876	77f82	সে স্থানীয়
358ef21fcc	e03ce	যথেষ্ট পুরস্কার পেয়ে থাকেন
358efe23da	ec91c	সময়, তাপমাত্রা ইত্যাদি
358f63ee98	1f733	আঃ আঃ করে
35909914cf	730c3	বিধর্মী
3591ae854a	f4ba7	তার বিরুদ্ধে ফাঁসির আদেশসহ
359209cc64	b2a62	জন্মই হয় পথে
3592d30c78	16877	নিঃসন্দেহে এটি আমাদের
3592d36d7a	91dff	টেলিভিশনের তুলনায়
3592e107aa	31f09	বর্তমানে ৫ শতাধিক শিল্পে
3593454a61	75626	ক্ষুদিরামকে চিনতে
35946e281b	6dff5	তাদের কাছে থাকা
35951f2597	f6e55	১৯৫০-৫১ সালে
3596f76d4b	ced74	নকশি কাঁথা
359713fb72	b8fe1	চমৎকার ইনিংস খেলেন নাসির
35974b1cdd	ad2a0	24 news
3597d26648	21e54	তার চেয়ে অনেক অনেক
3597f512b5	acb88	সুরগুজা জেলার
3598307454	c41d8	কোনো বিতরণ করেনি
3598d795ea	d1a48	নীল সাজ
3599266f7e	ff1eb	একবার কিছু চাপে
35998f2c7f	b9122	টীকার পরীক্ষা চালিয়েছিলেন
3599b5a25a	bdfc1	ভোরে মারা যান
3599e9d9f8	4c555	যৌনাকাঙ্ক্ষা হ্রাস পেত
359a54b5fd	1a4a9	বিষম লেগে
359a6f0383	e03ce	আরেক ক্যাসেট চালানো হচ্ছে
359a950779	f29bf	কাউন্সিলরদের নাম চূড়ান্ত করবে
359aa5f79d	1b359	গ্রেফতার করেছে
359ac3ce35	e03fc	পরিসংখ্যান নিয়ে বিতর্ক রয়েছে
359ae0f5d9	16cfb	দেখা যাবে পশ্চিম আকাশে
359b4057ca	ce180	মৃত্যুর সময়
359b56e645	16877	এটি সহায়ক ভূমিকা রাখে
359bbd1228	3faff	আয় করতো
359bca3f6d	0744c	ইতোমধ্যে লাইসেন্স নিয়েছে
359c08d7cd	dae88	ব্যস্ত নগরীর বুকের উপর দিয়ে
359cbcfae3	3fb17	ব্যাঙ্গালোরের বোলারদের
359ce02631	fcc89	৬০ হাজার বিজিবি
359cff25a3	4c555	মধ্য দিয়ে ঘোষণা করা হবে
359d0d4bde	b8fe1	নির্দেশনায় এলাম
359d5fcc9f	8143b	আন্দোলনকারীদের সবাই
359d83f958	bf530	আমার দেশ সংবাদ
359db7853a	809cd	একত্রে অ্যাকশনধর্মী চলচ্চিত্র
359dec87fd	8632b	হত্যাকাণ্ডের পর
359e35bd44	5d12f	আমার প্রিয়
359eb45879	c749e	ছিল না
359eb52e86	6c17f	আতিয়ার রহমান বাদী হয়ে
359ed44f0c	06ea3	তাতে কি হাতি টানা চলে
359fc39c28	5354e	আমার মন বলবে
35a06d43ee	b08d0	যাতে আমেরিকার এমন কর্মকাণ্ডের
35a07afba1	9092b	খেলা
35a08c12a5	0606d	আক্রমণের ধরন
35a0d293b8	194f5	তাঁর সঙ্গীত জীবন নিয়ে
35a0dc24d4	2840e	অফিস থেকে জানানো হলো
35a0f05a4e	a4750	আয়োজিত এক সংবাদ সম্মেলনে
35a1aef28c	355c1	আবহাওয়া অধিদপ্তরের পরিচালক
35a24c4197	baa02	আমি সেই সুতো হবো
35a3883e29	da6f0	কাপড়ের বাইনটা খুব ভালা
35a3922a94	d711f	বন্ধুবিয়োগের নয়
35a3f0177c	282d3	ঢাকা-টাঙ্গাইল মহাসড়কে
35a3fbf364	6c6bf	কৌম সমাজের লোক
35a46663fd	948d3	অনলাইন জন্ম নিবন্ধন
35a4900b63	0d9f1	মুখে পান পুরে দেন তিনি
35a527f542	9fa90	গলা ছেড়ে
35a5ced545	ba2f6	এ শতাব্দীর মহাপুরুষ
35a6139aea	46d49	তরল পান করার পর
35a641d16b	cb1aa	অকোলা শহরের
35a6ae878a	a1201	শেষে সে বলে
35a6c755ec	9092b	চট্টগ্রাম বন্দর সচিব সৈয়দ ফরহাদ উদ্দিন জানান, বন্দরে নিজস্ব সতর্কতা ২ নম্বর থেকে বাড়িয়ে ৩ নম্বর করা হয়েছে।
35a754316a	3fce2	টিয়ার গ্যাস, গুলি
35a7d869e7	0606d	উপেক্ষা প্রদর্শন করিলে
35a82b14f9	22096	পাশাপাশি রপ্তানি আয়ে
35a8f72741	1652d	বাধা নেই
35a925a4f9	e2c11	তিনি জীবনে
35a9b9043d	95907	ভারতের আইসিসি চ্যাম্পিয়ন্স ট্রফি
35a9c7cb67	2fc12	সে এক ল্যাংড়া ভিখারি বসিরের
35aa8d5ad7	287bd	স্বপ্নের ভেতরে ভাসি
35aa973df2	baa02	ঢাকা-৭ আসনের
35ab49bb02	2d78f	আমরা যদি হারি
35aba5ba55	46da4	তাদের মধ্যে
35ac1d5f74	3fc9d	শোনেভদ্রের ওবরা রেলস্টেশনে
35ac6a9ad3	e8dde	কখনো জোয়ারে
35acad98e0	4fd66	কথাবার্তা হয় মাত্র
35acf28336	b8bf0	চাই সত্যিকারের নৈপুণ্য
35ad1e4f59	767ff	শয়তানের প্ররোচনায়
35ae687ea7	b618b	শিক্ষণীয় গল্প
35ae90a50f	d2355	রমেকের কার্ডিওলজি বিভাগে
35aeb11056	ac904	তরুণরা সরাসরি জড়িত
35aee281a3	f837a	সেই সময়ের প্রেক্ষাপটে
35af083ef0	7027a	সাংগঠনিক কাজ বাদ দিয়ে
35af09cd17	29bab	সম্পর্ক নয় বলেই
35af1dc089	590d0	দেয়াল উপন্যাসে
35af47c160	47e8d	গোপাল ভাঁড়
35af8b2584	4c1eb	তার পর কথিত হইয়াছে যে
35af9fb767	860f4	আক্ষরিক প্রয়োগে
35afbe71ee	57d54	আগামী ৩-৭নভেম্বর
35b0ad40f7	c958a	আয়াছের কাছ থেকে
35b0c37f1e	ce180	সর্বাধুনিক এক নিউজরুম
35b0e7520c	2ad74	তখন গানে মগ্ন সৌম্য-শান্ত
35b1037d72	c3cb3	ক্ষয় হচ্ছে
35b1adc140	4f2ae	চলচ্চিত্রকে পুনরুদ্ধার করতে
35b23a3fc2	16e96	তিনি ভারতের অন্যতম সুন্দরী
35b32ab9ed	e2ff7	ছাপা হলো না
35b32ed381	7351e	আমি চীৎকার করে উঠলাম
35b4498d77	21e54	এ রেকর্ড ছিলো
35b48cf96f	442b7	পুঞ্জীভূত হতাশা থেকে
35b4aee527	e68af	বিবিসির সাথে গান-গল্পে
35b4c63ffc	5dd61	যা লিখতে তিনি ভালবাসতেন
35b55663a2	28dfc	বাস্তব
35b5d5e5e6	554fe	টি-টোয়েন্টি হচ্ছে এমন একটি জায়গা
35b60718b9	ac904	আজিমপুর কবরস্থানে দাফন করা হবে
35b676526c	c3cca	৬০ হাজার লোক
35b67ec628	8a46d	জল অভাবে
35b6c55f2a	b08d0	শেষে ভাবলাম
35b6d52a66	4a918	একজন প্রবীণ প্রয়াত ব্যক্তি
35b770f54b	11915	২০১৩ সাল থেকে
35b782c906	bd576	সাংসদ রওশন জাহান সাথীর
35b7c4076b	f1ea4	ঘন লোমে আবৃত
35b7ea126f	eb179	বাংলাদেশের কোন শিশুর
35b8cfff2c	46da4	অর্জুন রথ হল
35b979ca01	a916a	ফ্যাশনের এই বিপ্লব
35b9e8e488	11915	কয়েকটি সংগঠনের সাংবাদিকেরা
35b9f01e33	9c8dd	দেখা পায় নি
35ba624e5f	2de86	যার শক্তি কম
35bab8cf0a	dba43	কেউ ওই রূপরেখা অনুযায়ী
35bac20bc9	b9a81	তুমি কেবল
35bc05c668	ac904	তিনি বলিতেন
35bc4cdb13	430b2	নতুন করে পাবো বলে
35bd040c2e	c41d8	সে বছরই তারা
35bd0b460f	ef915	আমার দেখা
35bd2be264	3ec4d	লম্বা কিউতে দাঁড়িয়ে থেকে
35be22cdad	e2c11	সব কিছুর ওপর
35be43096f	274ee	তারা সমাবেশ করে শহর ছেড়ে চলে যাবে এই শর্তেই তাদেরকে অবরোধ কর্মসুচির পর শহরে ঢুকতে দেয়া হয়েছিল।
35be4393c4	bf530	এই নগরের অধিবাসীদের
35be9e4df6	ce775	দেওয়া হচ্ছে না
35bea2bda9	e9759	নিকটে যে কয়টি স্বর্ণমুদ্রা ছিল
35bee5be3a	d9081	পুরুষতন্ত্রকে তোল্লাই
35beeb7c23	323f1	ভূপাতিত হয়ে এর পাইলটরা
35bf041ac5	bdfc1	নাবিকেরা লেপ্টে আছে
35c0e668fe	d136b	৯ই সেপ্টেম্বর, ১৮৮২
35c0ff2c81	323f1	চিরতা
35c11035fc	39dd0	মামলাটি আপিল শুনানির দিকে যাচ্ছে
35c16c60e5	086dd	টঙ্গীর পথে
35c17855e0	7d3e1	ও চাঁদের বুড়ি গো
35c1962e61	e2f12	বর্তমান মুন্সিগঞ্জ জেলার
35c1ad8127	25696	বাংলাদেশের মুক্তিযুদ্ধ ও যুদ্ধাপরাধ বিষয়ে
35c1cedd4f	388c9	বাসা
35c2413193	91223	কখনোই টেস্ট খেলার সুযোগ
35c38c93d1	31f2a	আরম্ভ করিয়াছে
35c3b75074	590d0	তুমি যা চাও
35c3c51c0c	351dd	এর মধ্যে পুরুষ ৫২%
35c3da0045	089ef	বিশ্ষেজ্ঞদের মতে
35c3f820a8	4dd57	রাত ১২টা ৫ মিনিটে
35c4363e15	860f4	চতুর্থ ধাপে
35c43f5270	25117	টিপাইমুখে বাংলাদেশের
35c44dab64	0c39f	যেসব পণ্য রয়েছে
35c4b51e51	3bea8	নিরাপদ রাখতে চাইলে
35c58bf995	9e923	আমাদের সম্বন্ধে যা যা কথা
35c6528f5b	2d98b	মি. কেনিয়াত্তা বলেছেন
35c66a9472	0d9f1	থাকাটাই স্বাভাবিক
35c696ed69	52578	রাজসূয় যজ্ঞ সমাপ্ত হইলে
35c7672566	33aef	ভালোভাবে শুরু করলেও
35c78d0b72	5e80b	প্রাপ্ত পেনাল্টি থেকে
35c7c582b8	c41d8	বন্ধু অথবা পরিবারের মধ্যে
35c7e3b501	18460	পুলিশের সাথে সংঘর্ষে
35c82de71c	4e900	সব সময় ঝকঝকে সাদা
35c849e0f0	8b859	বৈদ্যবাটীর বাটীতে থাকিয়া
35c861dc20	491a5	গ্রাম থেকে গ্রামে ঘুরছি
35c872a76c	b52ab	তবে এসময় কাউকে
35c8b8d607	bdd05	তবে তা গৃহযুদ্ধের
35c8d89478	c5479	সড়ক ব্যবস্থা
35c8e9d366	e9589	সম্পূর্ণ অচেনা এক লোকের সঙ্গে
35c9a8ecc3	76329	জানাননি মুখ্যমন্ত্রী
35ca14bf65	7027a	ঠেলে ঘেঁষটে ভ্যানগাড়িতে
35cb392f3e	f2780	তারা পরবর্তী সিদ্ধান্ত নেবেন
35cb3bd725	d9b11	পড়ে গেল অলি
35cb800215	b2a62	নাটকের বিভিন্ন চরিত্রে
35cbf41229	29f8c	স্থানীয় জনপ্রতিনিধি
35cbf81247	ce180	এসো হে বৈশাখ
35cc45a946	b2a62	এটি এক বা দুই নাকেও
35cc8c6080	1a2a1	আগুনের মতো সূর্য
35cca10c39	bdd05	তাঁদের বুদ্ধিবৃত্তিক ভিত্তিভূমির প্রতি
35ce718cb8	69d9a	তারা, মেয়েরা সব
35ce8c6fd3	13b70	কণ্ঠশীলন ১৯৯৩ সাল থেকে
35ceabe1d0	8c07c	দুই দেশের ইতিহাসে
35cfb77af9	cfc65	ছেলের নাম
35cff2e17c	c6848	থাইল্যান্ড ভ্রমন খরচ
35cff7436c	43199	রাজনৈতিক অচলাবস্থা
35d03b3ab7	09f0d	তিনি বাড়ির কাছে
35d0e3c395	0744c	ক্রিকেট দল।
35d0ee64b4	2ac82	মিলান সমর্থকরা
35d10fd079	7c272	এ দুয়ে মিলে এবারের শীত
35d14bdc76	967fd	৫. গুগলের ওয়ালেট কার্ড
35d17485fd	18a52	এটি হলে
35d204ad66	14d25	ভারতীয় অর্থনীতিতে
35d261da3a	8edea	প্রথম দফা বৈঠক
35d28f8f7a	60f77	বাংলাভাষী মুসলমানদের
35d3259fbc	f658d	প্রতিষ্ঠানটির প্রধান সম্পাদক
35d3914f15	f2b7d	আমার ছেলেমেয়েরা
35d3d9ea1e	6973e	পেশাদার মানুষ হিসেবে কাজের প্রতি যতটুকু দায়িত্বশীলতা থাকা দরকার সবার ততটুকু হতে হবে।
35d41c039c	9065c	গভীর থেকে
35d4213d20	06ea3	অন্য জায়গা থেকে
35d460403b	698ff	বিবিসির রাজিয়া ইকবাল
35d474c3e5	ce629	আর্জেন্টাইন
35d4788868	14816	রাজার খেলা হয়ে উঠুক
35d4992176	c3cb3	নুরুল হকের সাথে
35d5063fcb	8406e	অনেকেরই মন গলে
35d5646e34	2d98b	সমান দুই ভাগে
35d598305a	03284	তাঁহার প্রিয় শিষ্য জ্ঞানদাস
35d60b02df	80518	খাদ্যের দাম বেড়েছে
35d68843f6	8845d	খুব ওয়াজিব কথা বলিয়াছ
35d70f1c58	acb88	তবে বাচ্চাদের
35d71c7570	80518	সাংবাদিকদের এক প্রশ্নের জবাবে
35d7298810	11bd2	কিংবা কীভাবে ঢুকতে হয়
35d75bbfca	31f09	শক্ত প্রশাসন দরকার
35d7e326e6	8edea	প্রাথমিকভাবে
35d8ba162e	d2faf	উত্তর-পশ্চিম ভারতের
35d95352f5	388c9	নানা কৌশল অবলম্বন করে, এরা দূরপাল্লার যানবাহনের যাত্রীদের অজ্ঞান করে সর্বস্ব হাতিয়ে নিচ্ছেন।
35d966befc	49543	সৃজনকর্ম তাই সাহিত্য-সাংবাদিকতার
35d9737555	e00db	দ্বিতীয় অধ্যায়
35d9d13dab	29bab	সরানোর কাজে
35d9d34297	5dec6	প্রচন্ড পিটুনি খেয়েছিলেন
35da6717ac	52578	সামরিক অভিযান
35dadb870c	f9dfb	গালে কষে থাপ্পড় মেরে
35db0c2ded	4fbd1	উপর থাকিবার ব্যবস্থা করিয়া দিল
35db73ca57	c6848	চৈত্রে গিয়ে
35db764e3d	1f974	বইটি সাজানো হয়েছে
35db93917d	4bd2c	নাজিমউদ্দিন বিষয়টি
35db99227d	8edea	ভানু বন্দোপাধ্যায়
35dbd39d4f	7d133	রানা প্লাজার ধসে যাওয়া আহতদের ফটো
35dbf5cd3c	0b7ca	না পারি বলিতে
35dbfdc876	f0f95	মুক্তিবাহিনীরা দেশ স্বাধীন করবই
35dcd9cd88	e00db	নির্জন স্থানে ছেড়ে দেয়
35dcf550b6	eecdd	বিভিন্নমুখী লক্ষ্যের
35dcfbdeef	cc9fd	যেখানে কোন পরিবর্তন হয় না
35dcfe4351	a0277	পরামর্শ নেয়ার জন্যই
35dd47c2b6	c41d8	আশা প্রকাশ করেন যে
35dd4b8fa9	47e8d	খুব বিচ্ছিরি রকম
35ddba0ebb	c7705	রিয়াল এখানে জিতেছে ১৮ বার
35de17b3ba	16877	সময় যায়
35de2e2fd4	31f09	প্রমাণ তিনি দিয়েছেন
35dec1b26d	315e9	ভালবাসার কৌতুক
35df47d890	7d133	যিনি দেশের জন্য
35df67a855	e754e	বি জে পি-র সমর্থন না পেলে
35df6a4c82	bfac7	সেচ প্রকল্প
35dfed374f	6aac8	নীম পাতা
35e012c5cb	47e8d	উইকেট হারায় দক্ষিণাঞ্চল
35e03a650c	25696	পুরো পথেই সেই শব্দগুলো
35e0f1883a	ec91c	সরবরাহ সংক্রান্ত
35e105bd6b	9c8dd	পুলিশের পাহারা ছিলো
35e204e2df	cd3ac	উদ্ধারের জন্য ছুটে যাই
35e227f6c6	06ea3	আপনি ব্রাহ্মণ
35e243552f	b08d0	সেগুলো তারা বাস্তবায়নের পক্ষে
35e2491a1c	dec2d	ঢাকা এবং বাংলাদেশের বিভিন্ন শহরে
35e25a627e	f2b7d	যাঁহারা বাক্যে অজেয়
35e277554f	37d7e	বিশ্বের সবখানে
35e3770f7b	7e1d5	১৯৬১ থেকে
35e3b3270a	68549	এই জালিয়াতিতে সক্রিয় দেখা গেছে
35e4174319	388c9	নিহতের ঘটনা ঘটে
35e4196195	3bb15	চেষ্টা করলেন বাবা-মা
35e444dd77	9e923	বাড়িতে কাজ করেন
35e45eb49d	07660	বাড়ির সামনের দিকে
35e4874f23	4e900	বন্ধ থাকতে পারে বলে
35e490e24a	32998	দ্রব্যের মধ্যে আছে
35e4fcbcfe	5e80b	বয়স বড়জোর
35e5150e31	1a4a9	আবাহনী আর মোহামেডান
35e5417cf9	698a4	টিপুর খালা দৌড়ে গিয়ে
35e5d7dd6c	da6f0	পরে তিনি অভিযোগ করেন
35e5e9a08c	315e9	পুরুষকে তুচ্ছ করা
35e62ddd47	0a7a0	পরিচালিত ওহাবী আন্দোলন
35e6ac8aa7	7f71c	অন্যদিকে শহীদ আফ্রিদির জন্য
35e70b90d1	5b13f	আলাপ করছে
35e7114d3e	60b9d	তা নিশ্চিত করা
35e79001c0	c2082	ঢাকার বায়তুল মোকাররম মসজিদের
35e7e9509f	7b132	এই অঞ্চলটি
35e7f554c8	ca831	বিদ্যুৎ বিভাগের পক্ষ থেকে
35e7f8c750	16877	তথ্য বের করতে গিয়ে
35e80413e6	91230	বেশ কয়েকটি গাড়িতেও
35e835b6e5	bc81e	বহনের জন্য
35e87d4c8a	4c555	স্বাস্থ্যর মতো
35e8fbc1a4	f4ba7	পাড়ার মায়েরা
35e961074a	80518	সেদেশের সরকার
35e98f710c	e2ff7	তারা মানসিকভাবে দরিদ্র
35ea0edd97	870e3	নতুন প্রেক্ষাগৃহ নির্মাণের জন্য
35ead44ee5	13b6a	হঠাৎ একটায়
35eaf97bb0	75936	গ্রামে বেড়ে ওঠা এ শিল্পী
35eb0bd715	23291	কাঠবাদাম
35ebf79d1c	4c1eb	মায়ের নাম হামিদা আক্তার
35ec286270	121bd	প্রতিযোগিতা আয়োজন করে থাকে
35ec5cb534	f0f95	বিমল চন্দ্র সাহার ছেলে
35ec69d7e1	1cb75	এই ধরনের অপপ্রচার
35ec76e7ae	ce775	অতিরিক্ত পিপি সাইফুল আলম
35ec98505d	17dcd	যতটা দুশ্চিন্তায় ছিল
35ed09e6fc	0e637	একসময় নিউইয়র্ক সিটি ইউনিভার্সিটিতে
35ed2e9435	e6203	যান চলাচল
35ed634356	28dfc	ভালো দক্ষতা রয়েছে
35edba0f71	351dd	পাকিস্তানের সাংবাদিক
35edc17f05	6c17f	এনবিআর’র তথ্যমতে
35eea73d78	98b81	আসলে এই নিয়মটি
35eed37405	c0d65	রাজিউদ্দিন আহমেদ রাজু বলছেন
35eee53eb3	65652	নেইমারের উদযাপন
35ef645e53	80539	আমি বিরক্ত হয়ে
35efecfa73	2de86	বিশ্বভারতী বিশ্ববিদ্যালয়
35f01213d3	e03ce	তাহা আর শুনি নাই
35f02b0da1	d9081	অগ্নি মাধ্যমকে
35f091b025	c7a89	শীর্ষ সন্ত্রাসী
35f17e3e87	9c8dd	জটিলতর করে তুলেছিল
35f2074639	43b04	মনে রেখে হয় না
35f225993c	a916a	তাহা এই স্থানে সন্নিবেশিত হইল
35f26a78dc	195f7	তবে হ্যাঁ
35f31736cb	18460	যাত্রীকে জীবিত উদ্ধার করা
35f372c09e	43fc0	তথ্য কর্মকর্তা সুবোধ চন্দ্র ঢালী
35f3877683	58998	সংঘর্ষের সূত্রপাত গত সপ্তাহে
35f38c0347	93080	নির্ধারিত রাইডসে চড়তে
35f433c7df	23291	নেয়া হয়েছে পুরো অঞ্চলের
35f43ccc04	43fc0	অপেক্ষা করবো
35f43d0760	f0f95	দুধে নানা রাসায়নিক ব্যবহার করে
35f44aba72	f1240	১৫০ রাউন্ড টিয়ার শেল
35f457e4d9	9351a	শুনে তারা দুজনে বললে
35f4659e7a	321b6	এর উপর
35f48b8647	f2780	সহ-আবিষ্কারক
35f53c36a0	57d54	ভুগতে হবে
35f5525ecd	536d9	শিল্পী শাহ আব্দুল করিমের
35f5684dd0	35ef3	বিবিএ
35f58d5ad4	17ca1	আমাদের পাওয়া হয়নিই
35f59863e7	dec2d	দূরত্ব কমিয়ে ফেলুন বন্ধুদের মাঝে।
35f6133af5	a06a1	চাপ
35f6795311	f2b7d	গত ৫৪ বছরের মধ্যে সর্বোচ্চ
35f6de6024	7b103	লিখিবার স্থান করিতে
35f71ae79d	7b60a	নিজের ভারে
35f7ad176d	e31e7	আটকে পড়েছিলেন
35f7b07c75	06e62	চঞ্চলের নাম বলে গেছেন
35f7b99102	22096	থেরবাদ তিপিটক
35f82fac51	12702	দুজনই ছিলেন উইকেটশূন্য
35f8666dd5	9065c	কলপাড় থেকে যাচ্ছে ঘরের দিকে
35f8996a43	75f18	১৩ হাজার রাউন্ডের বেশি গুলি
35f933e475	32998	বস্তুটির দিকে
35f93f2d08	698a4	ফলশ্রুতিতে সেদিক থেকেও
35f946c966	4bd2c	মনে হবে
35f96ad6fe	ca088	এবং ওষুধ-পরিচর্যা বাবদ
35fab95615	e9759	চিন্তা করে যুদ্ধ করেনি
35fb44ff74	442b7	গায়ে হলুদ চিত্র
35fb4874f0	d8c80	রুশ বিদ্বেষের কারণেই
35fbb9dc3e	5b13f	দেখলে মনে হবে
35fc5252be	b9122	ও মানবতার শত্রু
35fc915d5d	3c897	গোয়েন্দা পুলিশের কার্যালয়ে
35fcef5298	16877	যেখানে প্রচুর কাল্পনিক
35fe71d10e	3fae0	বা এ পি সি রোড
35fec2e6a7	b9122	বৌদ্ধ রাজা, সুজাকে
35fece7833	388c9	বক্তব্য দিতে
35fed14c27	53396	কাপুর অন্য ধরনের চরিত্রে
35fefacaae	8632b	ঘর টেকাতে না পারলে তার দায়ও মেয়েদের ওপরই আসে।
35ff1e24f9	c11b1	শিল্পোদ্যোক্তাদের মাথায় হাত
35ff608dd9	6973e	১০-১২ জন
35ffc711a9	410fa	ভারতের প্রধানমন্ত্রী মনমোহন সিং
