c300723909	03284	কপালে, ঠিকরে আলুর যন্ত্রণা
c38aeb05b7	a4750	খারিজ করে দেন ট্রাইব্যুনাল
c38b09d96d	15a75	তালা
c38b0f994f	d1a48	পাথর ছুঁড়তে শুরু করলে
c38b6b77d3	47e8d	মীমাংসার চেষ্টা করিব
c38b77a4fb	c5dc8	আচার-অনুষ্ঠান ছিল
c38ba6cecb	98b81	বিদেশে অবস্থান করছেন
c38bd46580	35ef3	বহুমূল্য আভরণ ছিল
c38c6d5581	43b04	সম্ভাব্য বেশ
c38c7eeeb4	4bede	সোহরাব হোসেন ছায়ানটের প্রতিষ্ঠাতা সদস্য ছিলেন।
c38cbdc3db	ca088	বিলাসবহুল জীবনযাত্রার ধরনই
c38cc301f8	1b359	পরিণামকেই যেন চিহ্নিত করেন
c38d0d7a0f	e55de	ছেলেমেয়েরা লেখাপড়া কইরা
c38d796f87	eb179	১৯২০ সালে
c38d816198	d82d9	এখন দেবত্র বাজেয়াপ্ত করা যাইবে কি
c38d97573f	ad69a	এই ট্রাইব্যুনাল পরিচালিত হচ্ছে
c38dad5991	195f7	বিয়ের গান গেয়ে যায়
c38db9814f	9282d	গেঁতু হাতে বটি নিয়ে
c38dc50ae2	91ac1	বৃটিশ আমলের পূর্ববর্তী
c38de5ddbd	410fa	তাদের অনেক ধন্যবাদ
c38e118695	b8bf0	আমাকে নিয়ে
c38e6664bf	274ee	যথেষ্ট পুষ্টিমান বহন করে না
c38ee6d6af	54e68	মন্ত্রিত্বের প্রস্তাব দিলেও
c38f3fb52f	ad69a	সেই মিছিলে আমাদের
c38f57e25f	8cf95	মুক্ত করার আকাঙ্ক্ষা করেনি
c38f6864e6	66b3c	ব্যবস্থা নিয়েছি
c38fb6cac8	c0d65	আজকে যাদেরকে তারা অ্যারেস্ট করছে
c39007ace0	ee994	মোহন কোনো কথা বলল না
c39099aec2	cc18a	আর এক দুপুরের পথ
c390cbab0b	b8bdd	ঘুমের ওষুধ
c3910c8ce5	b8ed8	দেওয়া হয় না
c391326009	3d17c	তুমি অবিমুগ্ধ হইয়া
c39155c36c	13b6a	পুলিশের একজন কর্মকর্তা মোজাম্মেল হক বিবিসি বাংলাকে জানিয়েছেন, তিনটি মৃতদেহই এখন ঢাকা মেডিক্যাল কলেজ হাসপাতালে আছে।
c391ae32a3	0606d	জারি করেন সুপ্রিম কোর্ট
c391f83a6c	e754e	এএস এম মুবিন
c3920825d4	acb88	দায়ভার যে
c3926e8daa	32b3e	তিনি পাকস্থলীর
c392cd9fe8	60f77	ইত্যাদি উচ্চ উত্পাদনশীল পণ্যের
c392ee97cf	8cf95	ইউরোপীয় ইউনিয়নের
c3939fe8f4	75f18	আইসল্যান্ড কখনোই নিজে
c393d326aa	c41d8	লুপ্তদেহটা ফিরে পাওয়ার আনন্দে
c3946b7a9a	778c0	হাটে দুটো
c394840efc	b9b98	উপাত্তটি সংগ্রহ করে
c394efd72d	6d129	প্রতিষ্ঠা হওয়ার সঙ্গে সঙ্গে
c3952859b0	16877	বঙ্গদেশে প্রচলিত দেব-দেবীর অনুরূপ
c39578b8e7	d2294	বৃষ্টিতে ভেজা
c395af08cc	1f733	আমাদের সমস্যা আমাদেরকেই সমাধান করতে হবে।
c396418bb9	c4973	এশিয়ার দুই বৃহৎ শক্তির মধ্যে
c3967b8125	323f1	স্বাধীন বাংলা বেতারকেন্দ্রের
c396ae1a93	7351e	ক্যামেরার সঙ্গে আপনার সখ্য
c3972b709f	3ccf1	বিশ্বাস স্থাপন করলেন
c3972bed17	2c9c5	কটি নাট্য চলচ্চিত্র যা
c397933e51	49d63	বাড়ী পরিস্কার রাখিলে
c397daa9e0	f2097	দত্তক দেয়া হয়েছিল
c397e30828	93d3b	ইরানের পররাষ্ট্র মন্ত্রণালয় বলছে
c398153657	3fb17	ডিসেম্বর ১০, ১৮১৫ থেকে
c398a67a7b	31f2a	লক্ষ্যভেদ করেন তিনি
c398b6919f	ab946	রাজা বা সর্দারের
c398f715d2	ff0fe	তবে তিনি মনে করেন
c39901fa49	b08d0	চুক্তিতে মানবিক সাহায্যের
c399454cfe	38ff0	দশ হাজার লোক এনে
c3995f1ba7	1c618	ষ্টেশনে সে সময়
c3996ae97f	0a7a0	জাতীয়করণ করেছে
c399b57121	21e54	গুগলের উদাহরণ দেওয়া যেতে পারে
c39a01429f	1a2a1	রিচার্ড নিক্সনকে পরাজিত করে
c39a25a33b	7aed9	চারটি থ্রিজি ওয়াই-ফাই
c39a78d766	e2c11	পরিণত হবে
c39b137c11	590d0	কথা দিয়েছেন
c39b36aaa5	3fae0	আসামির হাজিরার দিন ধার্য ছিল
c39b7db0b3	9fa90	প্রাণপণে রুখতে চাইছিলাম
c39b98c2b3	eecdd	কোরান পড়তে
c39bc90a1a	0633a	মি. মোদীর দল বিজেপি
c39bc97b43	42898	মৃতদেহ উদ্ধার করা
c39bd91b6a	c7a89	দিনাজপুর মহিলা কলেজ
c39cb3ebb9	355c1	আমি অস্বীকার করবোনা যে
c39cc6faa0	b00ba	তবে তিনি এটাও বলেন
c39ceda25e	c5dc8	সকল প্রকার
c39d5e435a	577fa	সকাল থেকেই দূরপাল্লার
c39dd1c8c0	29089	অনেকে কর্মচারীদের
c39de285d3	b9122	শাহীন ছিলেন
c39e91d2ad	698ff	প্রেসিডেন্ট সালভা কিরের বিরুদ্ধে
c39f39d673	e3d8b	রণন, গুনগুন
c39f5a5fc1	9092b	আবার সপাং
c39fcf6bb1	2de86	এটাই যথেষ্ট
c39ff81f08	d9b11	এটা নিশ্চিত
c3a055b3f7	7a227	বাড়ি থেকে রওনা দিল
c3a09faa28	6b437	ওই হামলায় নিহতদের মধ্যে
c3a0f1f7ba	121bd	প্রিয় হয়ে ওঠে শাবানা আজমি
c3a0f37599	c173f	তা আস্তে আস্তে
c3a10b04f1	4c555	আদান-প্রদানের জন্য
c3a146dd3a	44322	দুর্বিসহ হয়ে উঠছে
c3a354a399	1b359	বলতে পারবো না
c3a3d20d3f	bcaa8	শুরু হয়ে যায় চাঁদ রাতে
c3a3fed09a	7df87	সাতক্ষীরা থেকে খুব দূরে নয়
c3a413ffb7	80505	আর বাম হাতও
c3a4e77e4c	f83df	সারাদেশে সমাবেশ
c3a526e79d	d1b12	সাদরে আপ্যায়ন
c3a55e1975	2840e	বাউল গান
c3a59edadf	e9fa7	তুই কি চাস
c3a5a13e59	73629	যে নতুন ধারণা সৃষ্টি হয়েছিল
c3a5c98e41	56508	ও মতাদর্শগত কারণেই
c3a6073967	25117	কারখানা ভবনগুলোকে ঝুঁকিমুক্ত করতে
c3a65ee7cf	5dd61	কয়দিন আগে
c3a6b5db1e	17ca1	বাঁধনের গ্রামের বাড়ি বিক্রমপুরে
c3a6bd3da0	420df	১০ লাখের শ্রমিক
c3a6e7a76b	13b70	প্রতিটি ভোট কেন্দ্রে
c3a73818a6	1279e	ডাঙায় কি একটা জন্তু
c3a7bca479	880ae	আরসি মজুমদার মিলনায়তনে
c3a7ea24b3	6fb36	তাদের বক্তব্য হচ্ছে
c3a81c4ea0	d9817	ঢাকার বিস্তীর্ণ অঞ্চলে
c3a8d34c63	61820	প্যালেস্টাইন
c3a8db4e69	b9a81	অফিসটি এখনও নির্মাণাধীন
c3a94fa093	c2082	যাত্রার প্রথম পদক্ষেপ
c3a9abd271	b8bba	ব্যানার-ফেস্টুন নিয়ে
c3a9f20ef7	31f2a	না বসলে আরও ভালো
c3aa116ab6	b9b98	ও জাতীয় দিবস
c3aa4b91b9	05901	স্কুলগুলোর জন্য
c3aa7ac9f3	da6f0	লড়াইয়ে আধাসামরিক বাহিনীর
c3aadf2f40	f0f95	আবির্ভাবের পর থেকে
c3ac07de0b	d9081	ট্রিটমেন্টের মধ্যে আসবে
c3ac1e4aac	4f450	আর্টের সঙ্গে কৃত্রিমতার
c3ac4673a3	92f59	উঠছে খলখলিয়ে
c3aca50042	9fa90	ছোটদার বুকের দুধ খাওয়ার
c3acd23567	7aed9	দাঁতের ফাঁকে যেন
c3ad34789a	79b06	এমন কথাই রয়েছে
c3ad726a9f	4c555	প্রথম গল্পসমূহের একটি
c3ad89f74b	7b900	পারদের মত ঝলমলে
c3adaa0657	4bd2c	কিংবদন্তীতে পরিণত হন
c3aee3bd40	256f5	পুরস্কারপ্রাপ্তরা হলেন
c3af575d99	5354e	আমাকে গল্প শুনিয়ে
c3b008789d	7d133	মির্জা আহমেদ ইস্পাহানিকে
c3b0254826	5e80b	ওয়াহিদুল আলম
c3b03fa88b	b618b	এক নম্বরে আছেন দাউদ
c3b0d267de	f9dfb	আংটি খুঁজে পাননি তিনি
c3b0ee1ff2	6ab59	নৃতত্ব অনুসারে
c3b0fb9b13	0b7ca	অস্থিকলার মধ্যে
c3b0fea2fb	dafb6	মুসলমান শাসকদের আক্রমণের মুখে
c3b122c124	967fd	তাতে প্রতিনিধি দিতে পারবে
c3b1d7f1cd	0633a	একবার বাংলাদেশ
c3b220cfd5	6ab59	ওদের শব্দ ও বাক্যের আবর্জনা
c3b22cc06e	3f493	তবে পুলিশের চার্জশিটে
c3b2364cfa	dfefa	তাদের যুক্তি কি
c3b26fde81	46da4	ব্যর্থ হওয়ার পরই
c3b2762f3c	577fa	আসলে আহসান হাবীবের কবিতা
c3b38b940c	f6e55	পারেনি ঐশী
c3b3a7aeaa	6d129	সারাদিন না খেয়ে অফিস করা
c3b3eb5ecc	2bc73	আমি আমার বাবার বাড়িতে
c3b4f9f4b4	8632b	তৎকালীন পাকিস্তান আণবিক শক্তি কমিশনে
c3b5037d06	3f493	মহারাষ্ট্র রাজ্যের
c3b5d0093c	a8710	জানুয়ারি ২, ১৯২০ তারিখের
c3b5eb3c97	47e8d	প্রকাশ হয় গত এগারোই মে
c3b622d8a9	5dec6	আলিঙ্গনের দরকার কি
c3b68bf143	256f5	গত ১৬ দিন যাবত
c3b76ecfad	d0c70	সুযোগ আসলে
c3b78e3dc7	dafb6	তাঁর জামিন অযোগ্য
c3b79a01eb	15a75	নতুন ছবির গান
c3b7d1fd5a	13b6a	সুরা আর রহমান
c3b7ffe7c7	b2a62	গঠনের বিধান থাকায়
c3b8078f2c	809cd	মনোনয়ন দাখিল শেষে
c3b82bab38	a3a6d	নানা ডিজাইনের থ্রিপিস, ফ্রক
c3b86a4904	0c39f	উদ্ভাবকদের কপিরাইট
c3b86c527c	bd576	যে ব্যাপক তল্লাশি চলছে
c3b8e648e6	c41d8	পরিদর্শন করেন
c3b92acebf	2fc12	সংখ্যাগরিষ্ঠতা পেলেও মোদিকে প্রধানমন্ত্রী হতে দেব না।
c3b96bb463	38d3a	তাহা হইলে কি কর্তব্য
c3b96e8fa8	ad2a0	১২,২২২টি উপজাতি পরিবারকে ত্রিপুরা থেকে দেশে এনে পুনর্বাসিত করা হয়।
c3b96fc2d7	520fb	দর্শন মঞ্জুর হয় না
c3b9c3b9f2	03284	সেই জলই
c3ba19e5fc	a9a58	কেন দেশে আসার পর
c3bae034fa	9092b	তার কোন খোঁজ পাওয়া যাচ্ছিল না
c3bb4e3315	a274b	পল্টন থানা পুলিশের উপপরিদর্শক
c3bb76e5b5	f1ea4	পদার্পণের পর থেকে
c3bb76f912	3f875	নন এমপিও শিক্ষকরা
c3bbc64e2a	bfac7	অতি সামান্য খন্ডাংশ
c3bbcd1fa9	56508	একটি তৃতীয় বস্তুর সৃষ্টি হয়েছে
c3bbfb0d37	06527	তার মরদেহ নেয়া হয়
c3bbfe4127	57d54	গনিতের জোক
c3bc57b3b7	03284	খেলতে পারেন
c3bc67eadc	4c555	১০ মিনিটের মধ্যেই
c3bcd86f32	717bb	তাহা লাভ করিবার
c3bcfa3dde	dae88	নারীও অনেক সময় জানে না
c3bd4c363d	bf530	তখন নাটাই
c3bd5dae96	7d3e1	সেখানে উপস্থিত লোকজন
c3be8ad436	274ee	স্বাধীন টিভি-রেডিও বন্ধ
c3bee79580	195f7	প্রতিযোগিতার মধ্য দিয়ে
c3bf27e788	2fe3c	ইচ্ছে ছিলো
c3bf312f9c	0606d	এলাকায় ও কেনিয়ার উত্তরাংশে
c3bf78ffd4	086dd	রোববার সন্ধায়
c3bf8584d3	282d3	টোল আদায় করে
c3bfbc972f	60f77	যারা আছে
c3c15097ab	355c1	সংবাদমাধ্যমে
c3c174e95c	84145	সেখান থেকে দেড় ঘন্টার পথ
c3c18229a5	73629	বিষাক্ত কীটনাশক থেকে বাঁচতে
c3c243974b	ee4ad	কাতালান বুঝতে পারেন
c3c24e4d35	bcaa8	৪৮ ঘন্টার সময়
c3c26aecb0	09b32	নিদ্রিতের ঘুমের আবেশ
c3c335c188	8b859	ঘর সাজানোর সব পণ্যে
c3c377444d	ce775	কয়েক লাখ মানুষ
c3c49a49d1	2695f	বাজারে যাচ্ছি
c3c4ea7900	c5479	সাজ্জাদুল আলম ববি
c3c54479c1	eecdd	প্রকাশনা উৎসবে উপস্থিত ছিলেন
c3c64f7597	5dec6	চিঁড়ে চ্যাপ্টা হয়ে
c3c6582003	66b3c	১৮৭১ সালে
c3c6d0507f	88654	আমিনুল হক
c3c716f0b8	ef915	আমি তখন কিছু
c3c7205df5	09f0d	খনিজ তেল পরিবহনের জন্য
c3c78e7425	bbb22	বিদ্যুৎ
c3c7bdd975	b8bba	রাকিবুলকে ২০০৬ সালে
c3c7e10437	ee886	কৃষক প্রজা থাকিতে
c3c81a6a76	0d8c1	মহানগর পুলিশ কমিশনারের নির্দেশে
c3c84fb62c	bcaa8	এসব ঘটনায়
c3c8a33aa1	29d44	আমার গলা আর বুক
c3c8e407cb	e3d8b	সরব ছিলেন না
c3c8f43363	ad2a0	অকুস্থলে অতিরিক্ত পুলিশ পাঠিয়ে
c3c97101c0	06ea3	২০১০-১১ অর্থবছরে
c3c99ce7b5	b2a62	কথা বলে একই ভাষ্য মিলল
c3ca205681	13b6a	রাগত সুরেই বলে উঠলেন
c3ca5fd506	13b70	রাধাকৃষ্ণান বিবিসি বাংলাকে বলছিলেন
c3ca791496	bbb22	পাকিস্তান সফরের না যাওয়ায়
c3caabeeca	745b7	গোপনে সাঁতরায়
c3cab1af27	bd576	ফের ভারতে
c3cac9ad74	6b437	মুখোমুখি অবস্থানের কারণে
c3cb19e7e2	1b359	দলীয় ভিত্তিতে না হলেও
c3cb4ae372	1b359	একই বলে উল্লেখ করেন
c3cbc23f76	bdd05	আবার ঝগড়া বাঁধে
c3cc39c169	80505	দিনাজপুরে মোট তিনজন
c3cc4361b8	b08d0	এখানেই দুই প্রতিদ্বন্দীর দেখা হয়
c3cc5d93e0	d2355	১০টায় বঙ্গবন্ধু এভিনিউয়ে
c3cc7e3631	bdd05	প্রকাশকাল ১২৮৬ বঙ্গাব্দ
c3ccfade0e	f0f95	তারিফ না করে
c3cd2149fd	b8bba	এমাম হোসেনের সন্তান পরিবার
c3cd6fd61f	086dd	সৌদি স্বামী
c3cdc20396	9092b	যেসব নির্বাচনে অংশ নিয়েছে
c3ceeb52b3	2fc12	মুক্তি পাওয়ার পর
c3cf09f94a	4bd2c	সরকার এবং বিদ্রোহী
c3cf0d3e28	bdfc1	ভোর থেকেই
c3cf60308b	e6752	এবং তাদের কোনো ক্ষতি করে না
c3cf938e93	68549	মাহমুদুর রহমান মান্না
c3cfaac73d	b7be9	কাজ করব
c3d06924f7	3b1f7	দর্শক সারিতে ছিলেন
c3d0753ece	ca831	ডেভিড থেউলিস
c3d0cbe714	b9122	হাতের তেলোয় ঢেলে
c3d0ea3ad7	1b359	পেশায় শিক্ষার্থী, শিক্ষক
c3d0f8d3b5	7c272	ওসব মুখে তোলা যাবে না
c3d19a7604	17ca1	সাংবাদিকদের কাছে
c3d1c2cccc	9282d	ভ্যালেন্টাইন ডে’র
c3d2be9886	b8bf0	অনেক পণ্ডিত আবার
c3d2d5582f	bd576	বৈদ্যুতিক শর্ট-সার্কিট থেকে
c3d2e54bc4	66c6b	শামীম নিজেই
c3d2f6452e	10a9f	হিসেবে গণ্য হয়ে থাকে
c3d3369120	aabe7	বিনষ্ট করিবার উপক্রম করিলে
c3d3824cdd	18460	সমন্বিত এক চক্রকে গোয়েন্দারা
c3d404f466	4dd57	পরিস্থিতি নিয়ন্ত্রণে আনা
c3d48f5dff	536d9	সুইস কর্তৃপক্ষ
c3d4e4d538	80539	রোমানা জানতো না
c3d4f59bdf	ee7b2	টিকটিক করে বাজতেই থাকল
c3d55234f7	1f733	তিনি তা করেছেনও বটে
c3d569c89e	7351e	তারা শোনান
c3d5afbeb9	fda1a	প্রথমবারের মত চট্টগ্রাম সিটিকরপোরেশনে
c3d5b91376	ad69a	একজন বলেন
c3d65cb8bf	17ca1	ছটকুর ঠ্যাং
c3d6e0fa37	2c9c5	মুমিন
c3d74a09af	d8c80	খুব একটা মনোযোগ দেয়নি চেলসি
c3d7cdc585	95f83	তিনি সমাজে
c3d8d4dd3e	35ef3	মেয়ের অবস্থা দেখে
c3da4a4e73	6e6fa	তাদের হাত থেকে
c3da79a4f3	b7be9	কবি শামসুর রাহমান
c3da8150f5	cfc65	জাকজমকভাবে
c3da8fab9a	adf01	এই মনের
c3dac772ca	778c0	ইমরান খান জানান
c3db2bf799	acb88	বিনোদিনীর ভূমিকায় ঐশ্বরিয়া রাই
c3db67c00e	194f5	নির্বাচনী কাজে
c3db751050	cb842	ব্যবহৃত সংকেত পিএইচ
c3db771a05	b9b98	তিনি যাকে হটিয়েছেন
c3dbb69341	ac904	ওকে দিলে
c3dbee918c	d136b	শুধু কিছু স্বপ্ন আছে
c3dc2904f6	6b437	আমার প্রতি সবার
c3dccf7905	860f4	নিচে নামতে নামতে
c3dd016ab9	0c39f	জুম্মা
c3dd36fe8a	6c17f	তুলসী
c3dd477c84	6ee5f	শত শত বছর ধরে
c3dd594dfc	a3a6d	আন্তসম্প্রদায় ও আন্তবর্ণের মধ্যে
c3dd85c407	0e637	তবে বিরোধী কোন কোন নেতা
c3ddb70ec7	9d398	সব সময় আমি
c3ddfe22d5	0744c	এসো হে বৈশাখ
c3de1582cc	16e96	১৯৫৪ সালে
c3dea3346a	11de3	মঞ্জুর হওয়ার পরে
c3def2ca32	f1ea4	শঙ্কিত হয়ে পড়েন
c3df93ec8d	76329	প্রথম মঞ্চায়ন করে
c3dfe8d5fb	351dd	ডেকে আনতে পারে
c3e04d73ab	42898	প্রাকৃতিক
c3e0d3db74	ee4ad	তিনি জানালেন
c3e10273d7	98b81	জয় মা
c3e13bdd46	cd3ac	নিজাম হাজারি
c3e167bb43	57d54	একটি টুকরার দুই তৃতীয়াংশ
c3e171ba4d	06e62	মাফিয়া চক্রের দৌরাত্ম
c3e28ceb69	0bace	মুভি ডাউনলোড
c3e29fb68f	d7a68	ধানমন্ডি ১৫ নম্বরে
c3e30e04fd	1652d	বিভিন্ন রকম সমস্যা হতে পারে
c3e33ab0d0	410fa	এই ক্লাবে আমির খান
c3e34a20b4	f4ba7	প্রথম দুই মাসে তা
c3e3a069e3	f600a	কিছু জামাকাপড়
c3e3fe825d	c4973	এই গ্রন্থের নাম
c3e4364b09	47e8d	সন্দিহান হয়ে ওঠে শেষে
c3e4bba04e	3f493	প্রাট সাহেব গণনা করিয়াছেন
c3e4e0659c	92bd8	সেরা সিনেমার গোল্ডেন লেপার্ড
c3e4fccccf	4ea73	তাহলে আপনি আরেকটা মাগনা পাবেন
c3e58902b4	d82d9	দিতে না পারলে
c3e5ff5624	e6752	ফরাসি ভাষা নিয়ন্ত্রক সংস্থা
c3e61cbee4	0633a	ছুড়ে দেওয়া হচ্ছে
c3e624cba0	f1ff2	আছে বিয়েবাড়ির আমেজ
c3e6e293ac	fdcba	এর একটি ফসল
c3e7582768	06527	লোগো ডিজাইন সফটওয়্যার
c3e795db11	536d9	রুহুল কবির রিজভী আহমেদ
c3e7bab87f	880ae	পূর্বকালে বড় বিবাদ হইয়াছিল
c3e7ef5e11	5e80b	বন্ধ থাকছে মার্কেট
c3e80bac70	43199	সম্পাদক সাহেবের খাতিরে
c3e8611f9e	ef915	এখন আমার গায়ে লাগে না
c3e8d73aba	28dfc	এর প্রভাব আরও পড়বে
c3e8dd6d99	6d129	বাজার থেইকা কিইনা
c3e9448e07	47e8d	মাতাল তাহা ছাড়িতে চাহে না
c3e9c21264	3d17c	ততটা ঘটেনি
c3ea7435c4	1b359	আচরণবিধি লঙ্ঘন হচ্ছে কিনা তা দেখারও কোনো চেষ্টা প্রশাসনের পক্ষ থেকে করা হয়নি।
c3eac3f8d3	f1ff2	যুদ্ধে লিপ্ত হয়ে
c3eaedf11d	4dd57	বিভিন্ন অঞ্চলের অধিকাংশ কৃষক
c3eb3d6d11	6ee5f	মেলানেশিয়া, পলিনেশিয়া ও মালয়বাসীদের সঙ্গে
c3eb42b321	3fce2	সংঘতি স্মারকের সামনেই বক্তব্য দিচ্ছেন
c3eb739b9d	54e68	২০০২ সালের
c3eb760fc8	0d4cb	আসলটা তো উঠে আসা
c3eb8181f4	2556b	অন্ধ বা অন্ধত্ব
c3ebe58086	2396d	মর্মস্থলে পৌঁছানো
c3ebf56474	b8bba	পারস্পরিক সম্মানবোধ
c3ec00c92c	13b6a	এছাড়া বর্তমান জনপ্রিয়
c3ec16f638	e00db	আর্জেন্টিনার অধিনায়ককে
c3ec25de85	4ea73	নিজের জীবনে ক্ষতির পাশাপাশি
c3ec456b43	66dcd	একটি মাত্র ব্যাগ
c3ecd1f05f	6e6fa	বিভিন্ন অঞ্চলের অধিকাংশ কৃষক
c3ed316027	3fc9d	টোটাল ব্যাপারটা
c3ed72cc12	e6752	এবং ২০০টি মিঙ্ড
c3eda2fb0f	ad98d	সন্তান গর্ভে ধারণ
c3edaf7464	698ff	আমাদের পাড়াতেই
c3ee60be5a	39293	হরতাল-অবরোধ মানছে না
c3eeb5ebaf	3c897	গুণীজনদেরই বসানো হয়
c3eeb8bd34	e8dde	তাদের দেশের হয়ে
c3eed52a34	6ee5f	নারী ও নবনীতা
c3ef49caac	e754e	আধুনিক কৃষি যন্ত্রপাতি
c3f0056331	1e7c6	এই গবেষণা চালানো হয়
c3f0272dc5	7f71c	ফর্সা
c3f1035731	d1b12	বিচ্ছিন্ন হয়েছে
c3f15fca30	37e17	লাভ ইন চিটাগাং নামে
c3f18bb7d5	2f547	তিনি যখন
c3f19f9804	491a5	নতুন সরকারের মন্ত্রিসভায় রয়েছেন ১৭ জন প্রতিমন্ত্রী এবং দু'জন উপমন্ত্রী।
c3f1b93250	a1201	এক বিবৃতিতে জানান
c3f1ee5153	6fb36	জানিয়েছেন রামপুরা থানার ওসি
c3f358b69d	4fbd1	উঠিয়া দেখি
c3f4570439	fcc89	কতক্ষণ যে নবকুমার তীরে বসিয়া
c3f4f86dfd	37d7e	এবার দল নির্বাচনে এলে
c3f5166ee0	ec91c	ঘুরিয়া বেড়ায়
c3f5524bed	efc0d	অপরাধীরা পালিয়ে গিয়ে
c3f55c11ff	ce775	পড়ে থাকে বই
c3f5b32118	56508	নতুন পৃথিবীর সৃষ্টি
c3f71681ee	287bd	হাসপাতালে পাঠানো হয়েছে
c3f7427b6c	2ee04	বাংলা পত্রিকা বের করেন
c3f7521cdc	66c6b	জুমার নামাজে সেজদারত
c3f7f8413e	f9dfb	ঠিক করলাম
c3f8ccae77	b9122	আমাদের সাংস্কৃতিক ক্ষেত্রে
c3f8dae1ee	6c17f	নানান কারণে
c3f94478df	44322	সম্রাটের অনুমতি পেলে
c3f992550b	3fce2	ভোট দিয়েছে
c3f9aa3394	7d133	বাবা মালকোঁচা মেরে কাপড় পরলেন
c3f9c543cc	404ee	এন্টিগুয়ায় যান
c3f9f44215	0895a	এবং ৩৮৭ জন বাংলাদেশি
c3fa631cfc	e03fc	আমাদের গলিতে
c3fac4bb4f	c7a89	মিঠাইগুলো ফেলে দিল
c3fae5866e	590d0	ষোলকলা পূর্ণ হয়েছে
c3faf5fb05	a8710	বন্ধুর পারিবারিক অনুষ্ঠান
c3fafa85a1	1a4a9	গ্রিন গার্ডেন সালাদ
c3fb24c505	f280a	আলমেরিয়াকে হারিয়েছে
c3fbfa6b58	fbb81	রাজবন বিহারে
c3fc27724e	37e17	গিটার কিনে
c3fc91b39a	693cb	পার করেছি দিনটি
c3fcb95a9b	7d3e1	সাম্প্রদায়িকতার মত
c3fcdccf77	7f71c	এটাই দ্বিতীয় বৃহত্তম
c3fceed734	16cfb	আবারও কিছু ভোটারকে
c3fdccda39	25117	আর শাহী জিলাপিতো আছেই
c3fe3682ac	baa02	ছি ভাই
c3fe757432	73629	বাংলা ইসলামী বই
c3ff174aec	ce629	সপ্তাহে দুই-এক দিন
c3ff820f57	767ff	শেষ ১৫২ কিমি
c3ffa71f48	ee4ad	রাশিয়া সবসময় বদ্ধপরিকর
c3ffd6645e	23b22	রবীন্দ্রনাথের সংশ্লিষ্টতা নিয়ে
c3ffe30743	e754e	এখনও কোনো আলোচনা হয়নি
