5200cd1319	d3e06	মাটির পাতিল ফুটো করে
5284e59cde	321b6	বাইরে বেরোলে
528543b9c9	442b7	পরীক্ষা স্থগিত হলো
528595ceaf	256f5	যতটা সম্ভব মগ্ন থাকেন
5285aa8ce8	967fd	এ জিনিসটি দেখার পর
5286250b61	a06a1	ডায়বেটিস
528695364d	93080	ঢাকার বলাকা সিনেমা হলের
52870151da	239f7	ভুলে গিয়েছিলাম
528755fc45	f7a7f	এই মুক্তিযোদ্ধার শেষকৃত্য সম্পন্ন হয়
5287961428	590d0	আমি পরিচিত
5288479056	80be1	উত্তেজক পরিস্থিতি সৃষ্টি হয়েছে
52884a626e	321b6	সমঝোতার বিষয়টি নির্ভর করছে
5288887f2b	2396d	জোহানসন এখন পাঁচ মাসের অন্তঃসত্তা
5288cf18e2	e03fc	কিশোরীকে জোর করে
52899e7200	7027a	সহজে সেরে নেবার জন্যে
5289dabeac	13b6a	একজন স্কটল্যান্ডীয়
5289ef9ae3	4bede	সম্মেলনে উপস্থিত ছিলেন
528a646796	fdcba	বসুদেবের পুত্র বলিয়াই
528a72373a	12702	সনাতনকে একবার
528a746410	ad2a0	এবং পোল্যান্ড ও রোমানিয়ায়
528a95b5a7	d2355	সাতক্ষীরায় মোট
528b08768e	d0c70	হলো সংসদ
528b7faecc	18a52	গত প্রায় এক মাস হরতাল
528bb42e99	da6f0	লক্ষ্ণৌ থেকে
528bf848ff	520fb	আমার বুকের ওপর
528c7e9bc6	b9122	ওবায়দুল হাসানের নেতৃত্বে
528c82b795	a699c	অভিনয়, সংলাপ সহ
528c9e48e1	b9b98	কর্মরত ছিলেন
528cab37e1	b8ed8	তাঁরা ইতিবাচকভাবেই দেখছেন
528cd0b636	46d49	আমি কিছু বলতে পারব না
528d2f4940	9d398	থাকিবার জন্য
528dab382a	7297e	নব্বইয়ের দশকেই
528e0ce6fa	33814	১০৭.৩ মিলিয়ন ইউরো
528e68e6f3	3bea8	খবর পেয়ে ফায়ার সার্ভিস
528e737b90	ec91c	অন্ধত্ব ঘটতে পারে
528ea0efd9	7d133	লুকোনো ছিল অনেকদিন
528ed9e2e1	1a2a1	ডিজাইন করা তাঁতের শাড়ি
528f31f06b	2fc12	পিয়ার বুদ্ধিমত্তায়
528f3c5885	8ba2b	বাপ-মা লইয়া
528f4bf20f	d8c80	বিরোধীদের কর্মসূচী
528f687ab3	aab0f	১৯৮২ সালে
528f73de67	f83df	একবার কোনো একজনকে
528fa90d42	cb627	শ্রদ্ধা জানাবেন
5290aa3719	39293	তবে বাবুর্চির সঙ্গে
5290d6e4e0	4c555	সেখানে নেই
52916921ea	31f2a	রাজধানীর মিরপুরে
529184c8e5	1a4a9	এবং পৃথিবী যদি বস্তুটিকে
5291ff1b09	c958a	মারাত্মক ধূমপায়ী ছিলেন
529225cd1e	d5f7b	এই সমাবেশের জন্য
52922ae7c0	9e923	সিলগালা করে দিয়েছে
529245b1b3	f7a7f	২ হাজার ৪৩৩ জনকে
52936e35bb	c6848	উমাচরণবাবু তাঁহার অগ্রজপ্রতিম ছিলেন
5293978a73	29f8c	জায়েদ খান
5293d68dad	68ab7	দুধ খাওয়াইতে বসিল
52941e3800	c958a	নাইজেরীয় পুলিশ
529426bf34	0633a	এই তালিকায় লক্ষ করবে
5294c12b45	4fbd1	মাধ্যাকর্ষণ শক্তি
5294f00e0a	d3e06	ব্রেক
52951c6c07	66dcd	যৌন হয়রানির শিকার হয়েছেন
529575364b	9813c	দায়িত্বজ্ঞানহীন, অনভিজ্ঞ
52958762b8	e31e7	গালিব একবার লোপার দিকে
52960b80e1	d2355	সব পুরুষই
5296150883	698a4	গার্মেন্টস শিল্পের ব্যাপারে
5296452964	e31e7	উদ্ধারের জন্য এসছে
52968781df	d2355	ব্যষ্টির উপরে নয়
5297e8ff8e	cb1aa	আর খারাপ ছেলেদের মধ্যে
5298adb354	23b22	মেয়েদের ম্যাগাজিন পড়ে
5298f0a035	aa820	তা মাটির উর্বরতা বাড়াতে
5298f3d5f2	9c8dd	বিষয়টি বরিশালের পুলিশ সুপারকে
5298fc9d79	c749e	জেনেভায় যেসব প্রতিশ্রুতি দিয়েছিল
5299fdc9af	4f450	সংকট সমাধান হোক
529a83ed33	ff1eb	বিসিবি এই ব্যাকআপ জেনারেটর
529accad7d	2909b	বব
529af19e43	57d54	প্রত্যাহৃত হয়
529afd5022	23b22	পালন করতে যাচ্ছে
529b015c02	0e637	বিক্ষোভ মিছিল করতে থাকে
529b031b22	2b883	এসব পদ্ধতিতে
529b31298b	e9759	বের হবো
529b3eb7c2	0744c	আধুনিক সমাজে
529b7bce90	6c6bf	সাধারণ মানুষ বলছে
529bd75a29	e00db	কিন্তু অনেক নারী
529c426faf	84145	বাংলাদেশের কেন্দ্রীয় ব্যাংকে
529d8cf232	9c8dd	পেনাল্টি বক্সের মধ্যে থেকে
529dc52e03	745b7	ঠাকুর
529e24e3a9	520fb	জ্বিন
529e2769a2	f658d	দলে ভিড়ে
529ee7f4a1	7f71c	গফরগাঁওএ গ্রামের বাড়িতে
529f1db9e0	d2d71	নাক গলাতে এসো না
529f21d075	eb179	সভাপর্বে আর তাঁহাকে
529fdb2766	6e6fa	কাভারের দিকে
52a0acc143	e3d8b	অংশ জোড়া দিয়ে
52a0dfa908	7b103	নন্দিনী পারেনি
52a107d56c	491a5	এভাবে এভাবে শট নিতে হয়
52a1465708	cc9fd	বসির আহমেদ রোজকার-মত
52a163b075	d2294	সারাদেশে হরতাল ডেকেছে
52a17af036	5354e	বিরজা নাম্নী রাধার
52a19c14b0	22096	যুক্তি উপস্থাপনের মধ্য দিয়ে
52a1be36c2	fd880	সাভারে ভবন ধসের ঘটনায়
52a2400656	56508	এবং কৃষ্ণকলির অ্যালবাম
52a2c6b3f8	f2097	প্রতিবাদী এই লেখক
52a2d397be	693cb	সরকার তাদের পরিকল্পনা
52a30f54e4	2c9c5	যে কারও মনে
52a3246629	93bf3	তোমার নাম মন্ত্রের মতন
52a36fe12e	2b883	চা খেতে খেতে মেমসাহেব হাসতেন
52a3760b52	c7705	তখনই অজ্ঞান হয়ে গেলেন
52a38155f7	1652d	আহারনিদ্রাকুশলী বাবুগণকে
52a4187bce	ce180	অনেকটা দূর পর্যন্ত সাঁতরেছে দুজন
52a4976c9d	d9081	মূলত ডায়রিয়ায় আক্রান্ত হয়ে
52a5863e7c	195f7	রেজ্জাক মোল্লাদের অভাব নেই
52a6269a17	79b06	তাঁদের স্তুতিমূলক গীত রচনা করে
52a6409219	7297e	ঐ সময় মেঘনা ট্রেনটি
52a6d4d91d	ec91c	অবশ্যই বহু প্রাণহানি
52a7018a8d	6c6bf	কোনো সুযোগই তারা পায়নি
52a751e856	f6e55	কানার হাটবাজার
52a7eec4dc	ce180	এই উদ্যোগ নেয়া হয়েছে
52a8344473	c8f7f	সাম্প্রতিক দেশীয় বা বৈদেশিক
52a8a5f7ea	860f4	এই ড্রয়ের ফলে
52a8b2a072	d82d9	তারা সবটুকু ক্ষোভ
52a9071ee1	6973e	গাজী
52a9a2d716	3ccf1	আমরা কী করেছি
52a9c9f954	e6d83	বাংলাদেশের স্বাধীনতা সংগ্রামে
52aa113ab5	194f5	সেখানে বিরোধী রাজনৈতিক দলের
52aa56ab27	8406e	স্বচ্ছ অবিকল
52aa6d3dca	f2b7d	খেলতে শুরু করে
52ab2a0684	bd576	নানা ধরনের পিঠে
52ab8d9564	3f875	যারা গিয়ে
52ac291f8e	68549	মিরপুর থেকে আসা সানজিদাক
52ac471efa	eb179	১৮ বিলিয়ন ডলার ছাড়িয়ে যায়
52ac78c86f	7d004	খুব কষ্টকর
52ad4de743	01e91	নেতিবাচক দিক হচ্ছে
52ad693ed8	0606d	কোনো তথ্যসূত্র লেখা হয়নি
52add13f94	ce180	৬ শতাংশ হবে
52add82106	b52ab	এলাকাবাসী নদীতে
52adf9db26	616ec	যখন জল
52ae2e1381	943de	বেঁচে যাওয়া যাত্রীরা
52ae3d8997	1b359	গভীর রাতে পুলিশ গিয়ে
52aec18407	e03fc	১৯৯৬ থেকে ২০০১
52aeef5c58	f1ea4	আই লিগ ভারতের
52af21ca0c	a43b5	দেখার আমন্ত্রণ জানালেন পুতুল
52af6366a0	c2082	নির্যাতন চালানোর অভিযোগও রয়েছে
52b07c5db1	85430	এর ভেতরে আমরা
52b10d8d53	fb4cb	অজু করতে গিয়ে
52b12aeb22	a8710	সাহিত্য আবহাওয়া
52b1894c5f	8edea	আমরা যে রাজাবাড়ি যাব
52b196e224	9e923	মুক্তিযোদ্ধা
52b1dc5dd1	491a5	ভোর রাতে খবর পেয়ে
52b2002f72	c0965	বের করেছিলেন
52b25a4066	47e8d	বছিলা আর ঢাকা উদ্যান হাউজিংয়ে
52b2a7905b	71522	২৭৭টি আসনে
52b2da32e2	7b132	আক্রমণ করতো না
52b2edb8a0	e6e48	শ্রীলঙ্কা সিরিজে
52b339ab76	7ec1c	বেলেস্তারা লাগিয়ে দেওয়া হল
52b38c5e63	6fb36	অর্য্যমা, রুদ্র, কেহই
52b3aa42af	1e7c6	মোবাইল টিম
52b3bc54d6	ced74	বিমান দুর্ঘটনা
52b455b1f8	7898e	এ অভাজনের কাছে
52b4646e63	c41d8	কিন্তু বলা হচ্ছে পুলিশ
52b4b7985c	f6e55	কেন মানুষ নিষ্ঠুর হয়
52b4d4ab96	c5479	দানি আলভেজ
52b4f6132b	f280a	কাজল বাংলাদেশে
52b5757d16	9e923	আমার ছবি
52b58fb0a3	6e8cb	পালনের সময় একজন নিহত
52b5adf0fe	7f71c	ধ্বংসাবশেষ বলেই ধারণা করা হয়
52b6ad8c37	ad050	অতিরিক্ত ব্যবস্থাপনা পরিচালক
52b6df5803	256f5	স্ব স্ব আদালতের উপর নির্ভরশীল
52b72e1404	cc9fd	এবারো তার ধারাবাহিকতা
52b7b8585c	0a7a0	কার্যকর হয়
52b7fe09c6	8143b	শেষ সময়সীমা ২১শে এপ্রিল
52b8959740	ee852	এ সম্মেলন নিয়ে
52b8e0520b	f1ff2	২ বিলিয়ন ছাড়িয়ে যাবে
52b928f1a2	6e8cb	আসামির বিরুদ্ধ
52b9556d92	eaa7a	যেমন একটা উদাহরণ দিই
52b9629683	23291	বর্তমানে এ অভিধানের
52b9827f0d	7df87	মিজানের মা বাদী হয়ে
52b9b0b208	7898e	জরুরী উদ্ধারকারীরা
52ba5097da	17dcd	নিঃশেষ হয়ে গেছে
52ba8d6d09	a06a1	তবে মায়ের জায়গা কখনো
52bab5527f	c173f	সেই একখানি কাব্যে
52bad2230f	8a46d	ফটোতে তো মেয়েদের
52bafda5a3	554fe	আইন এবং রাজনীতির আবির্ভাব হলো
52bb7199c7	3f493	এর বাইরে চ্যাংড়াবান্ধা-বুড়িমারি
52bbcd05c4	d7a68	একটি ভালো সিনেমা
52bc491183	ef915	টেবিলের পাথরের দিকে
52bc900c65	4bd2c	ভাব বুঝাইবার জন্য
52bc9027ea	c4973	জন্মদিনের কবিতা
52bcd5b1f3	a8710	ফের অটুট করেছে
52bd52c61c	9065c	এই ক্লাবে আমির খান
52bd760548	f29bf	তাহাতেও কৃষ্ণের নাম আছে
52bd8c6d80	12702	এ সম্পর্কে নতুন করে
52bde4ee19	e68af	দ্বারা নির্মিত
52be369009	e50f1	আনসারুল করিম বলেন
52bf32863b	274ee	খুব ভাব ছিল
52bf34a420	4fc91	আমরা নিজে দুঃখী প্রাণী লোক
52c08c2f46	a699c	এছাড়া কয়েকটি এলাকায়
52c0df1a04	85430	অন্নপূর্ণা দেবী বলেন
52c0dfee9e	a699c	কুকুরের দেহের একটি গ্রন্থি থেকে
52c10c9650	ea8fa	তাঁর পরিবারের তিন প্রজন্মের ইতিহাস
52c123c454	e03fc	ডোনার ট্রাস্ট ফান্ড
52c1334011	f1ea4	এক উত্তর ভারতবর্ষীয়
52c171213b	c6848	সে কুঠরিতে যাইতে-না-যাইতে
52c1f70e56	66c6b	সেদিন সাদা-কালো
52c1f7eb0c	23291	নামিয়া ভিখু
52c2110795	b7be9	আরেকজন কেয়ারটেকারসহ
52c2573a75	3f493	তারা ব্যতীত
52c287c7aa	32b3e	যারা ১৯৭১ সালে
52c3140626	cc9fd	সোহরাব হোসেন ছায়ানটের
52c3231c0d	7d133	আমাদের আন্দোলন চলবে
52c3722f6b	5dd61	ইহাই তাঁহার অক্ষয় কীর্তি
52c391c038	321b6	গোলাম আযমের মতো যুদ্ধাপরাধীর
52c408c73e	c463d	এবং বিষয়টিতে
52c428cfcf	61820	সাড়া দিয়েছিলেন
52c47a6ed9	4bede	পুলিশের সংখ্যা বাড়ানো হয়
52c4f12183	0bace	ধর্মীয় প্রতিক হিসেবে
52c50ce9aa	46d49	একটি সোনার দোকানে
52c55f3e50	d2355	কোনো মুদীর দোকানে উঠিতাম
52c59cd68c	f6e55	সড়ক ব্যবস্থা
52c5af7727	2695f	তার প্রায় দম বন্ধ হয়ে
52c5cf15f1	32998	আয় ফিরে আয় মায়ের আদরে
52c5e5f986	ca088	তৈরি করেছে
52c5f2743a	92bd8	মধ্যে রয়েছে
52c6b033d3	b9122	আমরা সঠিক সিদ্ধান্তে কেন পৌঁছাব
52c6b2330c	0d4cb	তা না পারলে
52c7534da0	d9ba9	আমাদের কিছু নেই
52c7a5df02	60f77	যেদিন ভালো খেলে
52c7ed724a	bdd05	ক্ষমতাসীন দল
52c8037091	6a35e	এবং জনপ্রিয় অটোমেটিক রাইফেল
52c86cb1b7	9e923	ফলে সত্যেন সেনের
52c87a8445	7d3e1	পরাঘাতও অনুভূত হয়েছে
52c9016866	274ee	তা তো নয়
52c9413aa5	d2355	কম্বল পাতিয়া বসিয়া আছেন
52c96a41e0	11de3	লোকজনকে আড়াল করে
52c9864010	dae88	ও এক ছেলের জনক
52c9e65d43	71522	তিনি প্রমাণ পেয়েছেন
52c9ef5c4f	80518	সম্পদ প্রাপ্তিতে প্রতিযোগিতা বাড়ে
52cae31702	274ee	বকেয়া আমদানি বিল
52cba334c9	c0965	ডিপজল
52cbc87cd4	e6752	জিয়াউর রহমানের
52cbcf3fbc	38d3a	এতে প্রায় দুই কোটি টাকার
52cbf60f81	c0d65	বাচ্চা উৎপাদিত হচ্ছে
52cc0b139f	4fc91	আবারো মাঠে ফিরতে
52cc6a0c8f	dba43	অনেক বেশি হলে
52ccb4ce9d	11de3	পৃথিবীতে প্রতি ১৫০ বছরে একবার
52ccf7b3e0	86b1b	দুদকের সিনিয়র উপ-পরিচালক
52cd20636f	f2780	প্রভাতী গান গাহিবে
52cd2c9f21	0c39f	বিইআরসি চেয়ারম্যান বলেন
52cd6d01dd	a7c6f	যে অধ্যায়ের সৃষ্টি হয়েছিল
52cd7ced42	52578	গত ২০ বছর ধরে
52cd9385c2	66c6b	এই সকল নরগোষ্ঠী সঙ্গে নিয়ে এসেছে
52cd9dffc6	dae88	গ্রাম্য পুলিশ
52cde7d8bb	e50f1	বিরোধ চরম আকার ধারণ করে
52ce113e6d	d0c70	তাই করা দরকার
52ce2d5782	da6f0	সবচেয়ে খ্যাতিমান হয়েছিলেন
52ce67e1e9	7b132	শুক্রবার চেন্নাইয়ের
52ce6e47a3	c8f7f	আইন-শৃঙ্খলা রক্ষাকারী বাহিনী
52cf93b474	73629	প্রভূত্ব স্বীকার করতে
52cfa5ee7e	29f8c	মা সনাতনকে
52cfc9c681	6c17f	একই রকম আরেকটা ছোরা
52d0531542	11de3	সবাই ভারতীয় ছিলেন
52d0e0880e	1a4a9	রুশ প্রজাতন্ত্রের
52d0f652e9	cb627	পুতুল খেলার বয়সে
52d0ffe6be	a43b5	জোরালো শটে লক্ষ্যভেদ করেন তিনি
52d14e3f16	5cb47	থিম পার্ক
52d1556342	f89d7	হিন্দু জমিদার, পেশাজীবী
52d159b15d	6fb36	একটা আশার রেশ
52d1890417	ec91c	সেট আপ বক্সে
52d2516b33	bfac7	আমরা তো তাদের ওপর
52d28ec103	ee852	তাঁর নামই হয়ে যায়
52d29bf124	0a87a	মজনু ছবির গান
52d29d56b7	66dcd	ঝালকাঠি
52d33bd52e	db181	হরতাল নিষিদ্ধের সময় এসেছে
52d392ccad	b00ba	জেরা শেষে পরবর্তী সাক্ষীর
52d39d463f	9f25e	এজন্য অনেকে উহা
52d47e8909	9d398	গোলাম
52d50eee00	7d3e1	মনে রেখো
52d528b9c1	56508	দোকানের সঙ্গে মিলে
52d569b971	39dd0	ঝকঝকে ইঞ্জিনে শব্দ নাই
52d580cc6c	e31e7	ছয় জন করে
52d596f221	23b22	সিনেমা দেখে
52d674c739	730c3	এ জুটি পুরো
52d68f1b8e	eb179	ক্ষমতাসীন তৃণমূল কংগ্রেস
52d7613450	13b70	উপজেলার ফটিকছড়ি পৌরসভাস্থ
52d7866521	3ccf1	এখনো জানা সম্ভব হয়নি
52d841cd60	9fa90	বি সি এস
52d8a3b402	4a918	দেশের প্রতিনিধিত্ব করতে পারা
52d95ed967	4fbd1	বলল, না, বাবা
52da08d2d4	aa820	তাদের যুদ্ধে অংশগ্রহণের
52dacb10af	7c272	কথা বন্ধু মিথিলা নাটক
52db84820c	7e191	যাদের মাথা অনেক
52dc45bdd2	49d63	খোলা হয়েছে
52dc984bf7	e6e48	পরে আওয়ামী লীগ থেকে
52dcab7d4c	c2082	চলে যাওয়ায়
52dd2264d1	13b6a	এবং ১৯ টি
52dd585314	7027a	খায়রুল হত্যার প্রতিবাদে
52defd1f32	dae88	একটা ৩ নম্বর ফুটবলই
52df9a4e05	ab946	সারসংক্ষেপ পড়া হচ্ছে
52df9f7e89	e6203	বসে ঝিমুচ্ছিল সে
52dfb4f692	77f82	পরে পুলিশ গিয়ে
52dfe8d1b2	db735	পায়েল
52e0522d07	239f7	বাংলাদেশে হঠাৎ করেই
52e06a3318	cb627	সর্ব বহিঃস্থ শক্তি স্তরে
52e09bbc3c	fcc89	ভিন্ন ভিন্ন শোক বার্তায়
52e09c1e4e	8406e	খেলোয়াড়রা যেন
52e0f0de5a	fcefa	খবরের কাগজ
52e124f090	194f5	কখন কোথায়
52e14343cd	d7a68	কমিউনিস্ট-অকমিউনিস্ট সব মানুষের কবি
52e16e18ef	0bace	অধীনদের মধ্যে
52e1bd6770	65e30	জানান মাইকেল ম্যাককাস্কার
52e1cffd88	5354e	মিজ ইংলাককে
52e1fff34d	d5f7b	রাতে ও সকালে
52e23085dd	d2355	শিক্ষার্থীদের আল্টিমেটাম
52e234b455	5d12f	অ্যাপল ইনকর্পোরেশন
52e2929eb3	d9ba9	ইতোমধ্যে ১৮৮৬ সালে
52e3153ceb	351dd	মুহূর্তের মধ্যেই
52e3438693	4fbd1	গ্যাসের দাবি
52e40761c0	f4ba7	লাশ
52e5c8cc7f	ff1eb	আমি ১০ মিনিটের মধ্যেই ফিরে আসব
52e5cb9281	e2f12	আ ফ ম রুহুল হক
52e639b7d2	88654	মা’র নাগাল থেকে
52e63a7c78	93080	রাজধানীর বিভিন্ন মোড়ের
52e643ced0	d71a3	তারা আশায় বুক বাঁধবে
52e6bea918	16e96	আজকাল
52e73ba892	ff1eb	বিরতিতে যাওয়ার এক মিনিট আগে
52e73e41d3	2909b	অ্যাকটিভিশন ও ভিভেনডির
52e7e62fe2	8143b	তিনি গল্পের শরীর রচনা করেন
52e8378617	323f1	নেসলে বাংলাদেশের
52e8aaac97	355c1	১৯৪৩ খ্রিস্টাব্দে পাজ
52e8bc1041	e3f89	একদল সশস্ত্র লোক
52e917756e	91dff	মেরে যে চলে যাবেন
52e93a81dc	509f6	মুসলমান দুজন
52e978d7bc	fcc89	অনেকে ইহার বিপরীত বলিবেন
52e98da461	bd576	কোন ব্যক্তি একটি বর্ণনামূলক
52e9d619b7	0744c	জীবনের স্রোত ও তরঙ্গ
52e9d64ee6	7c272	মেঝেতে উবু হয়ে বসলেন
52e9e6403f	6ab59	সংবাদ প্রতিক্ষণ
52e9efa0b9	4c555	আবু তাহের সিদ্দিকী বলেন
52ea2ed343	ee886	আমন্ত্রণ জানানো হয়
52ea793749	9fa90	নদীমাতৃক দেশের
52ea7a1b70	0f047	উপভাষাগুলির মধ্যে
52eabd6ece	b2a62	আট
52eb35aaca	b08d0	কোন বস্তু নাই
52eb61e405	2d98b	মনোযোগ দাবি করে
52eb821b00	38ff0	উভয় প্রকার রাশির
52ebb41265	b08d0	পোকাটি কয়েকটি জায়গাতে
52ebdbac36	ee4ad	ডাওরী বাজার এলাকায় পৌঁছলে
52ebed8a3a	e6d83	চুপ করে থাকা
52ecc45b87	0d4cb	ও শারীরিক নির্যাতন চালিয়ে
52edcba5de	32998	২০৮০ সাল নাগাদ
52edd1ce4b	baa02	করতে শুরু করেন
52ee19626c	66b3c	দর্শকের সঙ্গে কথা বলেছে
52ee2b8c54	7ed14	কোরআনের আলো
52ee5022eb	c463d	গান দিয়াই আমরা আল্লারে ডাকি
52eef1d011	cb627	পোশাক শিল্পে জড়িত
52efa072cc	7898e	বর্তমান সরকার আবারও
52efdcbbd3	5354e	তা-ই নয়
52eff3b38b	0e637	মৃত চার বোনের নাম
52f0839554	2ee04	৯ ফেব্রুয়ারি, ২০১২ সালে
52f08643e2	32998	স্তব্ধ করে দেয়
52f149f238	5dec6	সিজার অনেক চিন্তা-ভাবনা করে
52f1cc7bef	3c897	এক লোক
52f20ac771	3c897	আমি সেনাবাহিনীর কাছ থেকে
52f28930e1	6dff5	ধর্ম নিয়ে
52f2acf48c	3ccf1	সোনিয়া আক্তার মুন্নির ফ্ল্যাটে
52f2bed0f6	ff970	আমরা অদ্য তাঁহাদের এ বিষয়ে
52f2cfd307	c958a	ক্ষমতাসীন দলের
52f313d2c9	5e80b	ইউক্রেইনের ভূমিকা আছে
52f32c3670	c0d65	বিবিআনায় ঢুকে দেখা গেছে
52f337d718	66b3c	ভবনটি ধসে পড়ার পেছনে
52f388f0bf	717bb	আবারও আপনার কাছ
52f39c89e5	767ff	টিপু সুলতানের পোষা অনেক বাঘ ছিল
52f45f8f2b	ac0df	বোলার ভুবনেশ্বর কুমারের
52f47e0c74	2556b	দাঁতগুলো বেরুচ্ছে
52f54a1dda	ee994	কক্ষপথ অনুসরণ করে
52f56312ac	e9589	তার বয়স অল্প
52f574c914	12702	এও কি সত্য নয়
52f589033a	9d46f	৬৫টি আসনে
52f58b15dc	f0f95	ভালুকা
52f5c1a285	4e900	এবং লাভও হয়েছিল
52f5fdd3d7	7f2ef	সিদ্দিকের ভাড়াটিয়া সন্ত্রাসীরা
52f60a871d	eecdd	শোষণ থেকে মুক্তির
52f60fe829	7f71c	নজরুল ইসলামই হইতেছেন
52f6302e4a	6b437	৪/৫টি বাড়িতে
52f63f89ef	32998	ওই দুই কর্মকর্তা
52f669f13f	ce629	ফলে মুক্তিযুদ্ধের সময়
52f6b8a903	b7be9	পরিবারের সদস্যরা বলছেন
52f6e8c1ac	c6848	দশ মিনিটেই তারা
52f73b2680	fbb81	লক্ষ যোজন দূরে
52f76ac73c	1652d	দুর্ভোগ পোহাতে হয়েছে
52f7d71416	0696e	সিরিজে একটি ম্যাচও
52f81fdf60	43fc0	তার কি আর আলাদা করে
52f898d329	2de86	বিচারের দাবির জন্য
52f89d4c48	86b1b	বাংলা ভাষা, সাহিত্য ও সংস্কৃতির বিকাশে
52f9164a4d	4fc91	সামাজিক ও রাষ্ট্রীয় অবস্থান
52f94c5852	086dd	বাংলাদেশ টেলিভিশনে
52f98c2bb5	52578	অলকা ইয়াগনিক
52f99c90c7	75626	সবচেয়ে বড় জিনিস যে
52f9faf69b	dae88	তা এমনভাবে প্রত্যক্ষ করতে পারব
52fadb74f1	43b04	কয়লা ভিত্তিক বিদ্যুৎ কেন্দ্র
52fadf2cc9	14d25	বৈজ্ঞানিক গবেষণাকে সহায়তা
52fb01572b	351dd	পরিবহনের সংখ্যা না বাড়ার কারণে
52fb2b40ee	4dd57	কোনো নতুন বৈজ্ঞানিক ভাবনায়
52fb88d8df	698a4	মধ্যেও দেখা যায়
52fbb5feea	06736	আর ভয়ানক নাই
52fbca9d85	0d4cb	এখন বরফের উচ্চতা
52fc5959a7	932bb	জনগণও সেটাই চায়
52fcf572ba	83c53	বক্রেশ্বরবাবুকে বলিয়া কহিয়া
52fd63650d	23b22	আসামির মৃত্যু হয়
52fd8f1aa1	ff970	তবেবাস্তব বিবেচনায়
52fda05b1d	bdd05	খুব রুষ্ট হয়ে বলবে
52fdb83859	4fd66	মধু ৪ টেবিল-চামচ
52fdbdc476	a1201	তবু সত্য রয়ে যায়
52fdfc2bda	d1b12	শুরুর দিকে
52fe0a2881	a274b	অন্যতম প্রতিষ্ঠাতা ছিলেন
52fe1dd848	d5213	একইসাথে তিনি বিরোধীদলকে
52feb2c74f	44322	অনেক লেখকের মতে
52feb3d671	b52ab	বিরোধী দলের কোনো মিছিল
52febf9107	06527	তৈরি পোশাক শিল্পের মালিকদের
52febfa385	13b70	ও উপেক্ষা করা হয়েছে
52fee2a672	16877	এই গবেষণা চালানো হয়
52ff4e94f6	e6e48	আমরা বিচার করে
52ff94099d	7f71c	বাসটিতে প্রায়
52ffecd138	355c1	জানিয়েছে ইউরোপীয় কমিশন
