ce001ce2c6	0633a	ঠোঙাটা দাদুর হাতে
ce8de11c60	7d133	জ্যোতির্বিদরা ইসনকে শক্তিশালী
ce8e665dcf	ad050	সর্বশেষ প্রশ্নকারী ছিলেন
ce8e8cfafb	ac0df	কিন্তু এ সময়টাতে তারা
ce8e8fded9	491a5	জিজ্ঞাসাসূচক বাক্যটির মাধ্যমে
ce8ec1ffbf	c1e30	নজর দিতে হবে
ce8f45bbf6	0c39f	ধর্ষিতাকে দোষ দিয়ে
ce8f5177e4	66dcd	নিয়ে যাওয়া হয়েছে বলে
ce8f656436	ad69a	গোপন বনাম প্রকাশ্যে
ce8fb27de1	4164f	যে প্রথম ম্যাচটা আছে
ce905defaa	f658d	মূল ঘাতক
ce906eb0e9	c5dc8	মানুষের মুখের হাসিই
ce9072f75c	2ecf8	নিজেদের রোমিও ভাবত
ce90907957	b9a81	শোকের ছায়া নামে
ce909da276	5cb47	৮১ জন ছাত্রী
ce91185353	e03fc	বাড়ি ফিরিবার
ce913bf46e	e9589	ছোটবেলা থেকেই
ce91d2af19	d136b	শাস্ত্রমতে বিয়া হোক
ce91e35dcd	fbb81	জন্ম নেয়
ce924b6a94	75626	সরকারের মন্ত্রী
ce92e023e0	ad69a	দলের একটি ঘনিষ্ঠ সূত্র
ce92e25a1f	18460	হুমায়ূন আহমেদের উক্তি
ce93471a91	870e3	রেজাল্ট
ce93c18d6c	6da0a	জীব বিজ্ঞান
ce93cc7c78	cb627	তাহার অর্থ
ce943b5715	693cb	কাঁটাবন, নীলক্ষেত হয়ে
ce943c0ee8	e3f89	আগের প্রকাশিত ও অপ্রকাশিত
ce945347a1	4c555	কিন্তু সম্পর্কটা
ce94686a88	29f8c	একটি ব্যবসা প্রতিষ্ঠান রয়েছে
ce946bfe83	9813c	তারা আর সেই কারখানার
ce9487c02b	b9122	ট্যাকলোবান অন্যতম
ce95142bd4	68ab7	ইঞ্জিনিয়ার ডাক্তার
ce9536d1d7	c5dc8	কথা বলিবে
ce95acadf6	6a35e	দেশের দ্বিতীয়
ce95b30124	6d129	আড্ডার ছলে
ce95d928fe	85430	কোনো ক্যামেরা নাই
ce95e765bb	86b1b	অনেকটা কৌশলেই
ce96210eee	ce629	আরো একটি নতুন রাইডস
ce96c7dd91	1279e	তুলতে গেলে কষ্ট হয় আইরিনের
ce96ca834d	8c120	সবচেয়ে বিখ্যাত হল
ce96cbd206	ff0fe	এমনকি অ্যাম্বুলেন্স হিসেবেও
ce979a41de	e89bb	করিতে হইবে
ce979cc7e9	b00ba	শিক্ষার পঞ্চাশ ভাগ ব্যয়
ce97e2c10f	cb1aa	তাহলে জনগণ যাকে নির্বাচিত করবে
ce98008563	d2355	গোলমরিচ আধা চা-চামচ
ce9808e70a	86b1b	তখন আমাদের গা
ce99782cf4	520fb	ইটপাটকেল এবং হাতবোমা ছোঁড়া হলে
ce99bb93c6	65e30	কঠোরতার দিকে
ce9a1b6039	0d8c1	টুপি লাগিয়ে নেই
ce9a3b113e	23291	মেঘনার পানি ছিল
ce9aa42a4f	9b864	মিজানুর রহমান চৌধুরীর পক্ষে
ce9aee0012	4fc91	সান্নিধ্য পরিহার করা বিধি
ce9b61c4ea	a8710	সান্ধ্য কালীন কোর্স শুরুর
ce9c07effb	39293	সে কী ভিড়
ce9c48da26	d9817	থাই কাঁচামিঠা ১৫০ টাকায়
ce9c8b320d	9065c	সংঘর্ষের কারণে
ce9ce093af	06e62	ত্রাণ সহায়তা আসার পর
ce9ce11340	e9fa7	সমন্বয় করেছিলেন
ce9d0e7c72	4fbd1	দীর্ঘদিন পলাতক থাকার পর
ce9d5525b4	2909b	দলে ছিলেন
ce9d797b1d	ee4ad	নিয়ম করে সংবাদমাধ্যমে
ce9d9e9a41	3c897	নিবেদন করেন
ce9da44dc7	8143b	আদুরির মা
ce9e9c3044	d3e06	তাইলে সিলেটের মেয়েরেও
ce9e9e9217	cb627	ঢাকার আহসানউল্লাহ বিশ্ববিদ্যালয়ের
ce9f0b5c1f	a916a	শীর্ষে থাকা দক্ষিণ আফ্রিকাকে
ce9f1273cd	bfac7	সোনাগাজী থানার ওসি
ce9f55466b	a06a1	ইউরোপের ঋণ সংকট
ce9f625423	195f7	আলভারেজের কথা মনে পড়ল
ce9fa172d6	c749e	এ ব্যাপারে একটি
ce9fa8a87e	f4ba7	ব্রিটিশ শাসনের যুগটাই
ce9fe0b290	ce775	প্রকাশের একমাত্র অবিকল্প আশ্রয়
ce9ff068ea	7e1d5	আরো দু-একটি সুযোগ পেয়েছিলেন
ce9ff4d93f	66dcd	পাখির খামার থেকে
cea0371aa4	7a227	পিলার
cea0d0fd40	92bd8	নিয়ন্ত্রণ করে থাকে
cea100fcc7	3ccf1	একটি মেয়ে হয়
cea1d657c2	a274b	তারা যদি না কিনতে পারে
cea2352492	39293	সেন্ট্রাল স্টেশন
cea2ce892c	5b13f	মারপিট করা হয় ব্যবসায়ীদের
cea34e31d7	943de	আসলে সব অর্থে
cea3673e42	09b32	রাবড়ি, শরবত
cea3bfe013	06527	এই একই অনুষ্ঠানে
cea3cb9aa1	66dcd	বন্ধু
cea3d18cf5	12702	কানে আসছিল আমার
cea3fba91a	9fa90	আলোকিত হয়ে থাকে চারদিক
cea40fbb62	e2f12	নতুন সঙ্গী নিয়ে
cea41921a9	6e6fa	তাহা অভিনব প্রতীয়মান হইবে
cea4440ffd	7f71c	প্রতিদিনই এ আড্ডা জমবে
cea454ff68	c3cb3	ফ্রান্সের সমুদ্র সৈকতে
cea459e024	bdfc1	এই নীতিটি খুব কড়াভাবে কার্যকর করা হলেও এটি সমালোচনার মুখে পড়ে।
cea46f41a4	520fb	একটি নতুন কোম্পানি
cea542b687	a3a6d	উল্লিখিত চার দলের মধ্যে
cea5441867	274ee	আমাদের দাবী উপেক্ষা করে
cea55ad231	0c39f	লকেট করতে পারবে
cea5e13e48	18460	রাজামশাই লাফিয়ে উঠে
cea5fcfcbc	bf530	টি-টোয়েন্টি ওদের জন্য
cea6c5890b	4486f	পড়ে থাকতে দেখা যায়
cea6feafc2	f29bf	তাহলে পৃথিবীর বুকে
cea7b0964d	7027a	ঢাকার গোয়েন্দা পুলিশ কার্যালয় থেকে
cea7b7db5d	93080	জনপ্রিয়তা অক্ষুণ্ন রেখেছিলেন
cea8eb7532	d41be	দুর্যোধন বলিলেন
cea9012cd9	cc9fd	তিনি স্পষ্ট করে বলেন নি
cea92252f5	71522	বিবাহ-বহির্ভূত সম্পর্কে জড়িত
cea926e005	fcc89	ছেলেরে এহন মাথায় তুইলা
cea973e2b0	d9ba9	একটি কম্পিউটার প্রোগ্রাম
cea9848aba	410fa	বিরল সুযোগ পাচ্ছেন মহিলারা
cea9da4469	ad2a0	সব ঠিক করে ফেলেছে
ceaa30793d	b618b	দুপাশে ঘাস ঘাস চিবানো হয়েছে
ceaa45c6bb	46da4	ভারপ্রাপ্ত কর্মকর্তা জানিয়েছেন
ceaa84531c	491a5	জয় পায়নি ইরানিয়ানরা
ceaabd4c4b	dba43	অতিথি হিসেবে উপস্থিত থাকবেন
ceab039a9b	e00db	ধরা প’ড়ে
ceab33c944	4fd66	পুরো এলাকাতে রয়েছে
ceab696226	4f450	গঠন করা উচিত
ceac41a636	442b7	নির্ভয়ে দরজার সম্মুখে আসিয়া
ceac4610cf	ad2a0	আদালত অবমাননার দায়ে
cead0e4904	54cdd	স্থানীয়রা ডাকাত সন্দেহে
cead127c58	92bd8	ইংরেজি অংশের উত্তর
cead912023	e9759	তারিন
cead9d4874	68549	সামনে যেতে চাইলে
ceada00639	b8bba	দুইটা রাক্ষসে খুব যুদ্ধ করে
ceadd33e31	e2f12	আইন কমিশন থেকে
ceae46be45	31f2a	১৯৬৭ সালের
ceae5c428e	ee994	ঘন্টা দুই
ceb0941f0e	e9fa7	কৃষি সংবাদ
ceb0d07e20	2d78f	বন্ধ থাকতে পারে বলে
ceb0d36ba1	37d7e	আই লাভ ইউ
ceb227433d	58998	সোমবার জাতীয় সংসদের অধিবেশনে
ceb2569334	d1a48	এক নিরঞ্জন সু মন লাগা
ceb274ba91	7297e	১৯৮৮ সালে এডিবিতে
ceb2c43b21	6ab59	চাষের কাজ করত
ceb2d8e12c	e6d83	প্রতিদিন’ই রেললাইনে
ceb358ac5a	b9a81	পূরণ হয়নি এটি সত্য
ceb35914a5	f1240	একটি সাংগঠনও তৈরী করেছেন
ceb375d067	7e191	তাদের সামরিক ব্যয় কমিয়েছে
ceb3b13bfc	e2ff7	পুরস্কারটি গ্রহণ করেন তিনি
ceb3b39421	5639c	একটি কুমির মেরে নিচের অংশ
ceb3c47275	7d133	অগ্রণী স্কুল অ্যান্ড কলেজ থেকে
ceb49597c5	39dd0	সৌর বিদ্যুৎ প্যানেল বসান তিনি
ceb5106f80	c1e30	বাস্তব এবং তথ্য নির্ভর
ceb57aa422	16cfb	ঢাকার মোহাম্মদপুরে এলাকায়
ceb5e0c1ad	e03fc	সাড়ে সাতটা বাজলো
ceb5fa4959	92bd8	মনোনয়ন পত্র
ceb6575cd2	7f2ef	হচ্ছে জ্ঞানের মূল
ceb6a87a21	a7c6f	এক পর্যায়ে খবর পেয়ে
ceb6c8bd1b	5cb47	জামায়াতে ইসলাম
ceb6ea96a5	7b900	এ ঘটনায় তিনি বাদী হয়ে
ceb6f40b75	fda1a	শরীরকে না ফেললে
ceb71ea344	61820	খানিক জিরোই
ceb86d718d	536d9	এই মহাকাব্যের রচয়িতা
ceb8846efc	dba43	লাশ উদ্ধার করা হয
ceb8f3f890	e50f1	এক বড়লোকের বাড়ি
ceb909ecd2	06527	তামিলদের বিরুদ্ধে অভিযোগ ছিল তারা যুদ্ধে নিজেদের রক্ষায় মানবঢাল ব্যবহার করেছে।
ceb935cada	2d78f	এখন জনসমর্থন নেই
ceb97e34ae	ff970	শহীদ মিনার গড়ে ওঠে
ceb9b97f43	16a17	তা সে যতই
ceb9b9ff95	10a9f	এরইমধ্যে সে চুরির দায়ে
ceb9eac241	536d9	হ্যাক করছে
cebb1a2f91	410fa	মেরিল প্রথম আলো পুরস্কার ২০১৪
cebb6a73a0	2fe3c	তিনি অনেকগুলো মেডিকেলকেই
cebb6f527b	cd3ac	গতকাল একটি অনুষ্ঠানে
cebc02736a	e6752	বট আর পাকুড় বৃক্ষের
cebc0eceba	2d78f	দলের কজন ক্রিকেটারের অঙ্গীকার
cebc55837b	2396d	আর মাত্র পাঁচ মিনিট বাকি
cebcadf16d	2d78f	মি. পেয়াত বলেছেন
cebcc0e918	11915	ক্রিমিয়া উপদ্বীপটি
cebceefe8c	6d129	পুলিশের নিরাপত্তায় গাড়িতে চড়ে
cebd3b08a3	4f450	গান্ধারী ভাষায়
cebe01b3fc	c5479	বিচ্ছিন্ন কয়েকটি আঘাতের
cebe1a12b6	17dcd	একরামুল
cebe548803	9d46f	সময়কালের মধ্যে
cebeb98aa4	32c77	উৎকৃষ্ট উপাখ্যান আছে
cebfc0a655	c7a89	আগে একবার দু’বার
cec033db3e	3ec4d	তাঁরা জটিলতার আশ্রয় নেননি
cec093ade4	01e91	সিনহুয়া এ কথা জানিয়েছে
cec09fa54c	c0965	২য় পর্বের ড্র
cec0a5172f	11915	হাত মোজার দাম
cec0a8d281	0d8c1	আচ্ছন্ন হয়ে পড়ে
cec0f022f8	948d3	দারোয়ান দিয়ে
cec0f82952	7b900	ভাই আসবে আমার কাছে
cec13fbf49	71522	ব্যাংক
cec16e630e	2ee04	লটারির ড্র
cec1ed2b1c	9f25e	লিটার প্রতি ৩ থেকে
cec202d062	5e80b	লজ্জা পেতে হবে
cec2035a13	ac0df	চেষ্টা করলাম
cec2111584	52578	পূর্বানী গ্রুপের
cec25e4557	d2faf	রাশিয়া ও ইরান
cec2c89426	2aecc	এ সময় হলটিতে
cec2e6e0b3	e68af	আজকালের মধ্যে
cec3172a7e	7b60a	বাড়ি ফিরতাম
cec33daba0	47e8d	চলচ্চিত্র ‘নমঃশূদ্র’
cec3670d48	09b32	তখনো অতিবুদ্ধিমানদের
cec38c6c4c	ff1eb	ওই হামলায়
cec3dcf203	09b32	সময়ের অনেক আগেই
cec48d78d0	943de	এই হূদয়হীনতার কাহিনিই
cec4fea4b8	dafb6	বাইরের দিক সাজানো হবে
cec54a1892	9813c	ঐশী বাদে
cec5cadfeb	c2082	কঠোরতার দিকে
cec6a8aeda	e2c11	১৫ দশমিক ৩৮ শতাংশ
cec6da782b	cf82a	বাড়িয়ে দেয়
cec7635aff	93d3b	ব্রিটেনের সরকারকে
cec794a163	e3f89	সরকার কিছু কিছু
cec797db7e	ee4ad	এতে লক্ষ্মীপুরের পত্রিকার
cec7f0130b	e50f1	নিয়ন্ত্রক অংশ
cec80baeed	0b7ca	পথিমধ্যে উপজেলার
cec82083e8	a06a1	বিক্রয়
cec8b2d624	f1ff2	তিন হাজার ৫১৪ জন
cec8e0feb5	698ff	খুন হয়েছে দুই যুবক
cec8f47fe9	3fae0	শ্রমিক সংগঠনগুলো
cec96d7822	fda1a	ব্যবহারকারীদের স্মার্টফোনে
ceca06f4da	3ccf1	পাকা চামড়া
ceca26e8bc	4bd2c	বঙ্গবাজার হকার্স মার্কেটের
ceca544486	ad2a0	ইসলামপুরে ছোট
cecaf3480c	d2faf	অবসর সময়ে
cecb2bd656	b8bba	কমিউনিস্ট পার্টি
cecbced39d	430b2	ঠিক কত
cecbd05495	ce629	তাদের ইখতিয়ারে নাই
cecc1b246e	315e9	সংকট দেখা দেয়
cecc66bdc7	43b04	খুব একটা মনোযোগ দেয়নি চেলসি
ceccc1878d	7b103	দুপুর ১ টায়
cecd0b5008	0696e	কেউ যদি
cecd1a7f64	fbb81	জনপ্রিয়তার পর
cecd3bd782	32998	কুমিল্লার দাউদকান্দির
cecd92fa4b	d3e06	বাংলার মুসলমান সম্প্রদায়ের
cecdbd9041	3b1f7	এক বছরে
cece8e1463	35ef3	আল কোরআন ডাউনলোড
cecf0bbc27	e03ce	ফিফা প্রতিবছর বাফুফেকে
cecf74679f	dae88	তেল বা মাখনে
ced07a6e54	61820	ঠাণ্ডা হলে
ced0a465c4	09b32	ধম্মকম্মে ভারি মতি
ced0e91755	80be1	দেড় মাসের বিশ্রাম দেওয়া হয়েছে
ced0ec27c6	f2b7d	মাদ্রাসাটি বন্ধ করে
ced108bbd5	b4ea7	বিশ্বজুড়ে যাঁর খ্যাতি
ced151a801	2d78f	কিন্তু সে সুযোগ
ced1f45d1c	520fb	শুধু তিনিই নন
ced1f7dfe4	e00db	ছাত্রী হোস্টেল
ced20b9921	60f77	জড়িয়ে পড়ার অভিযোগ উঠে
ced2700bf7	698a4	সীতার অনমনীয় পৌরাণিক চরিত্রের
ced27b78ad	c2082	গল্প আদায় করে
ced292b214	0c39f	মাথায় আঘাত পান
ced380e266	88654	বোয়িংগুলো ব্যবহার করলে
ced38d5555	53396	চেন্নাই দলের ক্যাপ্টেন
ced4000075	bcaa8	লেখাটা শেষ করি
ced406e948	3fae0	সামিনা চৌধুরী হয়ে গেছেন
ced4888577	16a17	আসন সংখ্যা দুই হাজার ৮১২
ced4a1d039	11bd2	তিলক খুবই সজাগ
ced4ad29d3	7e1d5	একটি মেশিনগান থেকে
ced4c0c887	a1d4a	মেলার আমেজ
ced4c7666f	bf530	অ্যালুমিনিয়াম
ced4d3c238	2f547	যেখানে বেশ খাওয়া-দাওয়া হবে
ced55355ab	bd576	লক্ষ্মীপুরের কমলনগর উপজেলায় একটি কেন্দ্রে
ced555c9da	25117	নিযুত নাগ-নাগিনীর
ced56e202b	cb1aa	ব্যবহৃত হচ্ছে বলে
ced5dc5d23	c41d8	গলার ভেতর মরা রক্ত হয়তো
ced63952f3	7898e	ব্যয় বাড়বে বলে
ced695cd9b	967fd	মিছিল থেকে পুলিশকে লক্ষ্য করে
ced6bd965e	e43d4	অতিরিক্ত স্বর্ণ ও রৌপ্য নয়
ced6e9769a	eb179	তাদের সাথেও তো
ced7020160	fcc89	সেগুলি সভ্যজাতির কাছে বোধহয়
ced75a6ab6	aabe7	কাগজে বুলি নয়
ced770a5f3	c9c19	এক ব্যক্তির মৃত্যু হয়েছে
ced7ad3eb7	bf530	ক্ষুদ্র ব্যবসা
ced99c1021	6c17f	গুলি ছুঁড়ে
ced9d243ba	b52ab	অনেকটা পালিশ করা
ced9e1517f	d2355	ভারি করি কেন
ced9e2e929	d5f7b	ভারতে আদিম মানবের
ceda530896	f2097	এমন সুড়সুড়ি লাগল
ceda5e06b0	b618b	বসুদেবের পুত্র বলিয়াই
cedb8609b9	80539	কি গো মেয়ে, তোমার নাম কি
cedbb83b1e	b7be9	জবানবন্দি দেয়া শেষ করেন
cedbcc057c	880ae	নিতে পারছি না
cedc0039fd	ce180	ওই সংগঠনটির সেক্রেটারি
cedc0673f2	b08d0	গত বছর সম্মিলিতভাবে
cedc27690f	3bea8	উপাধিতে ভূষিত হন
cedc28f555	d1b12	এদের মধ্যে অনেকেই
cedc2b0a4b	c6848	ঢাকা বিশ্ববিদ্যালয়ের অধ্যাপক
cedc545ed4	5d80e	পেতে পারেন
cedc961b47	35ef3	রেল লাইন
cedcec645b	4ea73	তথ্যপ্রযুক্তি বিশেষজ্ঞ
cedd0d6b74	8632b	৮০-টিরও বেশী রহস্যোপন্যাস লিখেছেন
cedd5142e3	1a4a9	প্রভাব ধরে রাখতে পারছে না
cedd9865ed	2695f	বাসায় আবদ্ধ
cede2a3799	b2a62	মাদকমুক্ত করতে
cede9cb143	0e637	সবর করবি
cedf1b6642	6a35e	পৃথিবীর বিভিন্ন দেশে
cedf2ce1fc	73629	রাষ্ট্রপতি বঙ্গবন্ধু শেখ মুজিবুর রহমান
cedf67ed49	1a4a9	শুল্ক মুক্তভাবে
cedfa9acdf	b78ec	তৈয়ব কোম্পানির ছেল
cedfddaaa1	a0277	প্রতিবাদ মিছিল
cee0e91ce7	a06a1	আহত টিপুর শ্যালকের স্ত্রী আকলিমা
cee11a5e07	6da0a	অপর্ণা সেন
cee1208681	b8ed8	নতুন ফ্ল্যাটে উঠেছেন
cee1519d57	bbb22	এই যে
cee1963dfe	46da4	শ্রম সংশোধনী আইনের
cee2019e1c	80be1	অলিন্দ পত্রিকার কয়েকটি সংখ্যা
cee24bf5f1	72649	মমকে দেখার পর থেকে
cee27677c5	bd576	সিনেমার অভিনেতা
cee2d9ec0f	7ee9b	চুরানব্বই থেকে
cee2da4cb9	bfac7	রবীন্দ্রনাথ ঠাকুরের সঙ্গে
cee2ee6100	745b7	জমা করা হয়
cee2fd4e88	5a61c	বাড়ির লোকজন পালিয়ে যায়
cee32a043e	92bd8	বদলে যাননি সুস্মিতা ইসলাম
cee3326791	bdd05	এর আগে প্রকাশিত
cee34397c2	11de3	অত বড় অভিনেত্রীকে
cee34b7ad3	95907	চানাচুর তৈরি
cee3686f82	b618b	এখনো সাফল্যের দেখা পায়নি
cee38c4a5c	c3cb3	কেবল পণ্য সরবরাহে
cee39c0c9f	fbb81	আজ একরকম
cee3b3cac4	6dff5	অসুস্থতার কারণে
cee4bffc38	3bb15	তাতে একটি নতুন মাত্রা
cee512353d	6ab59	জাপানি প্রতিষ্ঠান জাইকা
cee55204d1	c463d	অ্যাডভান্স দিই
cee60e755f	f0f95	মনুসংহিতায় বলা হয়েছে
cee6b2e0c5	93080	জাহেদুল আলম যতদিন
cee6cc7678	693cb	অশান্ত করার
cee72dd20e	95f83	শিক্ষা একটি শ্রেণীর হাতে
cee79a69b0	4c555	সেদিন ‘দেহলী’-র সামনে
cee843040e	e31e7	কাটতি বেশি
cee89d408d	f2097	স্থির থাকতে পারে
cee9329da0	32c77	বেঙ্গল গ্যালারি প্রস্তাব দিয়েছে
cee93f34eb	976b1	৭ জন নিহত হয়েছে
cee989d57e	860f4	আসলে পুঁথি সাহিত্য হলো
cee998ffce	590d0	বেশ কিছু দোকানেও
cee9b4745b	1f733	নিজেদের প্রেমের
cee9d8ada8	698a4	মন্ত্রণালয় বলেছে
ceea9f07e1	85430	উপরিপাতন নীতি
ceeb8f15f9	ad050	কনসার্টের দৃশ্য
ceebe86ff1	db735	অস্ট্রিয়া একটি সংসদীয় গণতন্ত্র
ceec20819a	9c8dd	রোববার বিকালে
ceec222a44	61820	পাথর
ceec4a4a0e	86b1b	রাশি রাশি ঘটনার মধ্যে
ceed0b8b07	3c897	মুসলিম ব্রাদারহুডের ডাকা
ceed20e9d1	31f09	জুটি ভেঙ্গে দলকে
ceed737397	a3a6d	বড় ধরনের স্থাপনা
ceed767463	8c120	শেয়ার বাজার
ceed8ae5c7	a0277	এর আগে
ceee07ecf0	42898	মামির লাশ দেখি
ceee934f9d	d71a3	আজ সন্ধ্যায়
ceef29d2a5	1a4a9	আমি হাসপাতালে
ceef468e69	121bd	নির্বাচন করবেন বলে
ceef6ec325	9d46f	পরে আমি
ceef9b1812	80539	কর্মজীবী নারীরও কি উচিত
ceefb580d2	3ec4d	চোখের তারায় আলোর নাচন
ceefd2d3b8	bf530	তিনি হাসপাতালেই কাটান
ceeff579ce	17dcd	মূলত সঙ্গীতের প্রতি
ceeff80661	195f7	নজরুল আগের দিন
cef06a90c8	153c9	সুনীল গঙ্গোপাধ্যায়ের জন্ম
cef0ee4fb9	e03fc	সর্বকালের সর্বশ্রেষ্ঠ সুন্দরী ক্লিওপেট্রা
cef13adb71	430b2	একটি মোবাইলফোন ও হাতে লেখা
cef1e3b038	a06a1	তার ভিসার মেয়াদ
cef22f484c	93bf3	কালামের মা খোর্শেদা বেগম
cef27abc56	cc9fd	কারণ পুরো পথটিই ছিল
cef292eb6f	60f77	বিশ্বে রেকর্ডকৃত
cef30f7203	acb88	তাহাতে অনাসক্ত রহিল
cef310ff53	e31e7	সেভাবে প্রস্তুত হচ্ছি
cef311d8fb	9c8dd	লোকনাথ বাবা
cef31c85a0	f9dfb	শোনালেন অ্যান্ডারসন
cef367a909	43199	তার লালন গীতি সংকলনে
cef4091a7d	e8dde	শীর্ষ দল অস্ট্রেলিয়া
cef470c906	baa02	ভারতীয় সীমান্তরক্ষী বাহিনী বিএসএফ
cef485a8c9	6e6fa	সম্পূর্ণ ভিন্ন মাত্রার
cef4ed1584	c9c19	তৈরি করে দিয়েছিল ফরাসিরা
cef51ecb62	7f2ef	আইডিয়াল স্কুলে অধ্যয়নকালীন
cef54409e1	ea8fa	নিয়োগ দুর্নীতির মামলায় সাক্ষ্য দিয়েছেন
cef55f14c3	d9817	নিরাপদ ছিলাম না, এখনও নই
cef589d4f4	b8bba	ধরা যাক পায়ের আঙুলে
cef5ba1910	6d129	রাবার বুলেট ছোড়ে
cef5dcfdf2	cc9fd	উন্নয়ন সম্ভব নয়
cef689c27d	ce775	পিরিচে কেটে রাখা আম থেকে
cef6a60eb8	948d3	তাও গাড়ি-বাসের নয়
cef81feef8	24aed	উত্তরসুরী হিসেবে
cef88e323c	e00db	যার জের ধরে
cef92f368b	ca831	গঠনমূলক সংলাপে
cef9595c3d	430b2	কোনো কিছুর মূল্য নেই
cef96fe050	8143b	লালনের চোখে
cef97c80d1	2fe3c	শশা নখ ও চুলের
cef9a31a86	42898	গোজি স্মার্ট লক
cef9ad0698	a43b5	একটা মেয়ে
cefa08da30	80505	নিচে গিয়ে পৌঁছুলো
cefa5e6ee3	92f59	আড্ডায় মেতেছি আমরা
cefab995c0	355c1	সে ব্যাপারে কিছু
cefb3cd457	2d98b	৮ই এপ্রিল সোমবার
cefb5a0709	c9c19	আমার মায়ের অসুখ হয়েছে
cefba97e75	c41d8	কোথায় পাবো মতিয়ুরকে
cefbd7dd2a	2840e	যারা দেখেছেন
cefbf0e36a	b8fe1	মুখে লাগান
cefc386503	f1ff2	মেয়ের নাম নীলাঞ্জনা
cefc6885fe	a8710	পড়ে ছিলো
cefc8a16fd	a4750	পার্বত্য চট্টগ্রাম থেকে
cefca34b14	287bd	কাল কাল
cefcdb71e2	3fce2	ধুমধামের সঙ্গে উদযাপন করে
cefd553c41	d1a48	আল্লাহর আদেশ নিষেধ মানা
cefdb76968	1e7c6	সংঘর্ষহয়
cefe20caad	91dff	কথ্য বাংলায়
cefe2e1495	93080	মুসলিম শরীফ
cefe527ebe	91dff	মোদির মতো
cefe5c0983	f837a	স্টার্ট নিয়ে
cefe8c3ed2	520fb	প্রয়োজন মতো পরিবর্তন এনে
cefeaf72cf	d9817	আহমেদনগর জেলার
cefecf90f3	4486f	দেশ, জাতি, রাষ্ট্রের
ceff317035	ef4f8	২শ কেভি বিদ্যুতের প্রয়োজন হয়
ceff8ff4c7	bbb22	পুরস্কার ঘোষণা করেছে
ceff95cc14	976b1	যুদ্ধের ধারও ধার না
