db00588c17	9b864	তাকেও রিমান্ডে নিয়েছে পুলিশ
db8a59e88c	ad69a	রোববার স্বাস্থ্য মন্ত্রণালয়
db8a69d894	3bea8	ঘাতকচক্র বঙ্গবন্ধুকে হত্যা করলেও
db8ad93dfd	9fa90	পরিশ্রম
db8b8f8a68	7d3e1	সমাবেশে আনুমানিক
db8baea0f7	8edea	৩০০ কিলোমিটার
db8bb7fdbc	536d9	১৯৪৭ সালে দেশভাগের পরের বছর চলে যান ঢাকায়।
db8d1f7bd5	14816	এখনো পলাতক থাকা
db8d9afea2	dec2d	পরিস্থিতি নিয়ন্ত্রণে আনা
db8df9b941	d2355	কার ক্ষমতা আছে বানানির
db8e038fd9	85430	লিভারপুলে অনুষ্ঠিত
db8e52e623	0744c	তবে নারীরা
db8e7a55e0	2909b	বিখ্যাত কাব্য শ্রীকৃষ্ণকীর্তন
db8ebb87ae	9f25e	আবার কখনো
db8ed2212a	32b3e	একটি দেশ হিসেবে
db8ee256a2	ea5be	মোটরসাইকেল ছিনতাই
db8f36b6e8	2396d	চতুর্থ রাউন্ডে
db8f4ffd02	46d49	ধন্যবাদ বিবিসি সংলাপ
db8f7a4e4e	4c555	এমএলএসএস বাবুল বিশ্বাসকে
db8f9ddd49	ff1c3	নিজের ধর্ম
db8fcc9f10	a8710	কথা সত্য সন্দেহ নেই
db900db2af	d9b11	সুভদ্রার সাথে
db904e1352	3ec4d	মূল উদ্দেশ্য ছিল
db905a6be0	2695f	জেনারেল ইমানুয়েল বাতিস্তা
db911bc614	76329	মান্নান খানের বিরুদ্ধে
db914b45cd	932bb	গডফাদার
db91beb7e9	cf82a	আলোড়নচলতে থাকে
db9295843d	c7a89	দৃঢ়তার সঙ্গে পালিত
db93420ecb	7b132	বাচ্চাদের নিয়ে
db93a987b0	b618b	বিবেচিত হবে
db93e08731	f2097	এসব ঘটনায় শুধু মানুষ নয়
db941eb8b6	11bd2	তার নাম প্রকাশ করেনি
db9424ae04	6e6fa	যে সদস্য দেশগুলোর এই প্রস্তাবে আপত্তি আছে তাদের বক্তব্যকে আদৌ আমল দিতে চাইছেন না।
db9506289b	4c555	ছেলেবেলায় যখন তাদের দাঁত ওঠেনি
db9510632e	6fb36	খুবই ফ্রেন্ডলি প্রকৃতির হয়
db95549057	d0c70	উপাচার্য অধ্যাপক আমিনুল হক ভূইয়া
db9565ff62	39293	এ বারের ভূমিকম্পের
db956e6444	3f493	এরই মধ্যে
db95d0e21b	121bd	প্রকাশিত হয় ১৯৮৪ সালে
db95d53ba3	d9081	আচরণবিধি লঙ্ঘন হচ্ছে কিনা
db95f2f758	bdd05	প্রকাশক মিত্র
db96140d1a	2c9c5	কাকের কি রবের কি অর্থ
db963c26fd	1de6c	কত ফুল-ক্ষেত্র চারিদিকে শোভে
db9653e645	06bb7	গায়ের সবটুকু জোর নিংড়াইয়া লইয়া
db9688754b	a3a6d	আর বিবাদী পক্ষে
db96ff8faa	4c555	সরে দাঁড়ানোর ঘোষণায়
db975941a2	9065c	ব্যাপক পরিবর্তন লক্ষ্য করা যাচ্ছে
db976d1784	06ea3	পিতৃদয়িত নামক
db978c8035	a9a58	হারানোর সতেরো বছর
db9810d8bc	7ec1c	যেকোনো কাজে
db98231446	f1ea4	টেবিলে, বিছানায়, মেঝেয়
db9876ce42	ee4ad	ফোন নাম্বার
db9883cb62	f6e55	বাড়তি অস্ত্রের জন্য
db988bd5dc	bf530	আর কতকাল
db98b7a351	c5479	হাজার হাজার হতে পারে
db98f8945c	0d4cb	গত ২০ জানুয়ারি
db99410c88	17ca1	চলছে এই ভণ্ডামি বাণিজ্য
db9950410f	f0f95	আল্লাহ কোথায় আছেন
db996d08e8	4a67e	কেন্দ্রের প্রিজাইডিং কর্মকর্তা
db99a74559	410fa	পাঁচ দিন বিভিন্ন শাখার
db9a2bcdf2	6e8cb	এদের বয়স
db9a91a404	ea5be	চতুরঙ্গ পড়ত
db9ab03934	4a918	প্রযোজক, পরিচালক
db9ad21425	c3cb3	সামাজিক মর্যাদার
db9af0dbbc	fcc89	প্রতিবছরই পালিত হয়
db9b342132	ced74	রেফ্রিজারেটর
db9c5f8e65	c3cb3	তা খুবই দুঃখজনক
db9c9ae291	f1ff2	এর কাহিনীর
db9cf2d3bf	7aed9	বৃহস্পতিবার পুলিশ
db9d02e3cb	d2d71	অন্যদিকে কংগ্রেস থেকে
db9da35872	5b13f	লাইভ আপডেটের
db9dec330f	9c8dd	একটি নাটকে
db9e39fe77	e9fa7	সেখানে ভর্তির
db9e3b5655	18460	কলকাতার বিখ্যাত সব পত্রিকায়
db9e53b1ad	06736	অনেকে অংশ নিয়েছে
db9e7945d6	6fb36	তাই চার ভাই
db9e795095	f4ba7	আরো অনেক গাছের
db9e803be2	e6e48	ও দারিদ্র দূরীকরণে
db9e81741e	9c8dd	তরুণীর গন্তব্যস্থল
db9e86e64c	dba43	এ সময়ে বিভিন্ন কর্মশালায়
db9f0b360f	43fc0	সমাবেশ করে তার
db9fc6d5a5	ac904	এনামুল হক বিজয়
dba00ffc5b	b9122	না ভাবুক
dba02a53f4	4c1eb	আমার মাথাব্যথা হয়
dba06bbd19	73629	নামকরা শিল্পী
dba0830f58	68549	দুহাজারের মত কারখানা
dba099ad66	7351e	ঠাকুরমার ঝুলি পান্ডুলিপি
dba0e3fe81	d9b11	আমি পশ্চাৎ বলিব
dba100910e	e9fa7	নিজেই বানান
dba16d7b24	0b7ca	যারা উচ্চশিক্ষা প্রতিষ্ঠানগুলোতে ভর্তি হচ্ছে
dba191b6e9	66c6b	পাকা কলার সঙ্গে
dba1b69514	1e7c7	রাজশাহী সিটি কর্পোরেশন নির্বাচনে
dba21999b1	9351a	এখন করতে হবে
dba24eb7b6	16e96	তোমার নাচ দেখে
dba260cc0b	a1201	দোরঘণ্টি বেজে উঠল
dba2ddadd9	e6752	পার্বত্য চট্টগ্রাম আঞ্চলিক পরিষদের
dba33abb7a	ce629	অধীনে ন্যস্ত ছিল
dba405da24	6a35e	একজন কর্নেল হিসেবে
dba406b332	a9a58	উপভোগ করতে
dba43fe958	2909b	দুর্ঘটনা কবলিত হয়
dba454f7c3	49543	গর্ভপাত
dba4564c7c	3bb15	জাগরণ বিষয়ের উপর
dba473abe7	a274b	অনেকটাই কমে এসেছে
dba4f49203	38d3a	আজ ছুটি নিতে হচ্ছে
dba54bffa8	0a7a0	কি কারণে বাড়ল
dba57d248a	6d129	খরাসহ বিভিন্ন কারণে
dba5f0b9e2	1c618	রংপুর বিভাগীয় কমিশনারের
dba662b684	1e7c6	দীর্ঘদিন সাভারের সিআরপিতে
dba6e32be7	b8ed8	মশ্যামশিদ্ধির মঠ
dba714aece	5cb47	ফালুদা
dba76403af	616ec	গাবতলী, মিরপুর
dba7d47070	1b359	ভাঙচুর, লুটপাট
dba7f52537	256f5	আখ্যান রচয়িতার কাছে
dba866cf91	9065c	বুধ
dba891f6e2	33aef	মঙ্গলাচরণ তাঁর বাংলায় প্রগতি-কাব্য
dba94a7e93	a06a1	বেশ খ্যাতি ছিল
dba984120f	6dff5	বিভিন্ন সংগঠন অংশ নিয়েছিল
dba9f6694a	73629	মুক্তি পায়।
dbaad9e9b7	0d8c1	কারো সঙ্গে
dbab0a4f60	e50f1	মহাকাশের গভীরে তাকালে
dbab1b639b	4c1eb	প্রসঙ্গে বাংলাদেশ জুট এক্সপোর্টার্স অ্যাসোসিয়েশনের
dbab7c6e9e	42898	গ্রামের বাড়ি নারায়ণগঞ্জে
dbab9463d7	6ee5f	ততদিনে হাসিনের গর্ভে
dbac4514df	e9fa7	আগুন লাগা মাত্রই
dbac4e7f71	4a67e	খোকনের বড় ভাই, মিন্টু
dbacebc2c5	8cf95	মধ্যযুগীয় ইংল্যান্ডে
dbacec871d	cb1aa	১৯৮১ সালের মাঝামাঝিতে
dbacf714ce	bd576	লৌকিক ইসলাম কথাটাও
dbad535a2c	c11b1	সেক্ষেত্রে ব্যবহারকারী কী করবেন
dbad6cdab3	4bd2c	৩ থেকে ১৮ জানুয়ারি
dbae16083b	351dd	লুকানো ছিল
dbae6b197a	2ee04	ওরা মারে কত রাজা
dbaec21f16	80518	ব্রাহ্মণবাড়িয়ার আখাউড়ায় একটি হোটেল থেকে এক যুবকের লাশ উদ্ধার করেছে পুলিশ।
dbaf8bf20d	7351e	আরেক শিকারের বিরুদ্ধে
dbafad2e57	e03ce	ইতিহাস কীভাবে হিসেব কষবে
dbafe1fe3a	17dcd	ছিলেন আমার বন্ধু
dbb00a1751	2556b	এর আগে দুপুরে
dbb0516620	5e80b	গোড়াপচা রোগ
dbb0bbdd2d	aa820	মেয়েদের যদি
dbb1165272	8c120	আমাদের কোনো ভাষা নেই
dbb18d78ba	239f7	বাফুফে ভবনের সম্মেলন কক্ষে
dbb1b6faa6	01e91	সাধারণ
dbb20d86f6	5639c	এখনো উদ্ধার হয়নি
dbb272b976	5a61c	ম্যানচেস্টার সিটির মার্তিন দেমিচেলিস
dbb27e7199	0c39f	ভূমিকম্প
dbb285cc2d	91b16	সংশোধিত আইন
dbb299da46	49543	জুন মাসের ২ সপ্তাহের মধ্যেই
dbb4907b82	9092b	সেরা কাজটি
dbb537d47e	323f1	পাঁচ খন্ডে পরিকল্পিত
dbb54a39f1	d3e06	যখন চাঁদ পৃথিবীর কাছাকাছি পৌঁছায়
dbb5ba8bbb	b8fe1	জিলানি ইউনিক প্রেস থেকে
dbb5f3ba32	2909b	ভারত সর্বোচ্চ পর্যায় থেকে
dbb61456b7	f4ba7	রাজনৈতিক বিক্ষোভকে কেন্দ্র করে
dbb648fd42	80e98	আগে দুর্গা নাম লিখিতে হয়
dbb65c41ff	23291	মহানগরীতেও চলছে গুঞ্জন
dbb67a5254	52f27	রাশিয়া এ পথ থেকে
dbb7b739ef	8c120	আর বিকালে ফিরতাম খালি পেটে
dbb7d8f6eb	c41d8	কেয়ার্ন্স, ডারউইন
dbb7f18110	0e637	সেই ডাকাতগুলো
dbb8042426	9c8dd	সবার খেলা
dbb8605849	ac904	আহত ট্রাক চালক
dbb8777262	e6752	অসূর বলা হইয়াছে
dbb87c31d5	c3cca	চাকর বলল
dbb9c90746	29f8c	খাস জমি থেকে
dbb9cfb0ae	cd3ac	দ্বিতীয় বিশ্বযুদ্ধের
dbba6cf9a2	7f2ef	ঘামে গন্ধে, কামে
dbba7f6eea	e2f12	চোরটি মারের চোটে
dbbaa0c6f2	b78ec	বাইরের লু হাওয়া এসে
dbbacaefab	4fd66	রাজনৈতিক, সামরিক ব্যক্তিকে
dbbca6897c	33814	আমি আত্মহত্যা করার পর
dbbd729e66	194f5	একটি টহল ট্রেন পাঠিয়ে
dbbda9cf91	491a5	স্থগিতাদেশও চাওয়া হয়েছে
dbbde124a9	2396d	প্রায় নিয়মিতভাবে ঘটেছে
dbbe2602d0	2ac82	না মঞ্জুর করে
dbbe3f6b9e	cfc65	নটরডেম ইউনিভার্সিটি
dbbfda689e	943de	মোহাম্মদ আজম
dbbff39830	16877	জেলা পুলিশ
dbbfff6f8f	2c9c5	এগুলো করতে বলবেন
dbc089a64a	dfefa	আমরা লিওনেল মেসি
dbc13d7e28	3f875	ভেলোর বিদ্রোহের সময়
dbc14d0c88	3ec4d	অধিবর্ষে ২৮৬ তম দিন
dbc14f54be	13b6a	রিয়ালিস্টিক
dbc20dcb85	5354e	ও খুনের ঘটনায়
dbc2ac855b	5d80e	আজকের বিশ্ব বই ডাউনলোড
dbc36a858c	f658d	একটি মেয়েকে দেখে
dbc36e0938	0895a	এত সাজগোজ করছ যে
dbc3cf6b6a	64092	প্রকাশিত গবেষণাটি পরিচালনা করেন
dbc3d0eca9	8632b	ফিলিস্তিনিদের নেতা
dbc433e7f3	f9dfb	ফুরফুরা
dbc4359cbe	3bea8	দোসর হয়েছে
dbc4c61d47	d2355	প্রায় ৬ দশমিক ৩০ কেজি
dbc4eb3a9e	f6e55	সুব্রত রায়কে
dbc57d71fb	a06a1	একই গ্রামের
dbc59d911a	4a918	গেতুঁর বাবা
dbc6216794	fd880	মেয়ে-মৌলবি যোগাড় করে দেবার
dbc62baebe	4e900	অবাক পৃথিবী
dbc6866480	f4ba7	আনিসুল হক
dbc6b11734	53396	ইন্টারনেটে টাকা আয়
dbc75618e1	68ab7	এ পাঁচটি বিদ্যুত কেন্দ্র স্থাপনের জন্য
dbc76db78c	b8bf0	তেমনি আমি
dbc7ca6f0f	6a35e	ওপারে যাই কেমন করিয়া
dbc82d503e	1c618	জয়নুল জানান
dbc856f49b	05901	এমনও হতে পারে
dbc8e7ab94	f29bf	দলকে জেতানোর
dbc9359571	2840e	শ্রদ্ধা প্রদর্শনের আহ্বান জানিয়েছে রাশিয়া
dbc9809fc6	3c897	গত অর্থবছর
dbc9dc5305	e2ba2	রোববার স্বাস্থ্য মন্ত্রণালয়
dbc9e94f47	f1ff2	ধূমকেতু
dbca14773d	2fc12	সুতরাং নজরুলের কথাগুলো
dbca464222	66c6b	অ্যাশট্রেতে আঙুলের টোকায়
dbca5c5b25	ced74	ভালবাসার কবিতা বাংলা ছোট কবিতা
dbca74f2d4	1a2a1	লাঠি হাতে
dbca922506	11de3	শীর্ষস্থানীয় আটজন আইনজীবী
dbcaabfe76	49d63	পেশায় গার্মেন্ট মালিক
dbcb0d7fa8	d2faf	স্বরাষ্ট্র মন্ত্রণালয়ের বক্তব্যেও
dbcb3edcba	2bd99	স্পষ্ট বলা আছে
dbcb56e2ab	590d0	এই চুক্তি বাস্তবায়নের জন্য
dbcb71575f	79b06	লুৎফা চা-মুড়ি গুছিয়ে
dbcbc7136a	0606d	সাথে সাথে সহকর্মীরা তাকে
dbcbf8ddc3	75626	রান্না বিষয়ক বিশেষ অনুষ্ঠান
dbcc0f009c	92f59	শিব ধ্বংসকারী হলেও
dbcc10f480	7e1d5	হুমায়ুন আহমেদ
dbcc37b1b3	cd3ac	আন্তর্জাতিক আসর চলার সময়
dbcc42e95e	17dcd	হাঁ মুখে শব্দ উঠে আসে
dbcc724593	2ac82	যে ১৫টি জেলায় সহিংসতা হয়েছে
dbcc99e7e2	24aed	আঁতকে উঠার মতো পরিসংখ্যান
dbcd6aeb34	693cb	দিনটাই মাটি হবে
dbce3a0c66	38ff0	কিংবা যিশুর মতো
dbced59142	c0d65	বেখাপ্পা তুমি চলায় বলায়
dbcf3b1e6a	d2355	অবশ্যই চেনা রম্য নয়
dbcfe69d58	eecdd	আইনগত ব্যবস্থা নিতে পারেন
dbd02ac90f	bdd05	বিভিন্ন স্থানে খোঁজাখুঁজি করে
dbd07806e9	121bd	পুকুরের সব জল খেয়ে
dbd1164677	3bb15	সানগ্লাস ও সানস্ক্রিন
dbd1333987	2ad74	নতুন দুটি বিমান
dbd141c930	d711f	বারবার আলমগীরের কথাই
dbd1b76141	1cb75	ভীষণ রাগ হলো
dbd1dcc8ba	7df87	ছবিগুলো হলো
dbd25fcf2c	a7c6f	ব্যর্থ হয়েছে তারা
dbd26a8385	e3d8b	অজ্ঞান হয়ে গিয়েছিলেন
dbd28fcec1	68549	সত্যি কি লড়াই করা যায়
dbd34ce52f	68ab7	নওগাঁ -৫ আসন থেকে
dbd375a2e5	f4ba7	রীতির প্রয়োগ
dbd37a385b	ff1c3	কিন্তু যেভাবে আন্দোলন করা হচ্ছে
dbd3885d53	aa820	১৪২০ সাল পর্যন্ত
dbd3b40547	16cfb	বালা মুসিবত
dbd3d06413	28bb3	বাধা দেয়ার অভিযোগ
dbd43a1941	18460	ভিয়েতনামের একটি বিমান জানিয়েছে
dbd4e3cc75	6d129	৪টি উপযুক্ত শর্ত রয়েছে
dbd4fe637f	0633a	ছিনারি
dbd59ebd70	7351e	দেশের ১ হাজার ৭৫০টি তৈরী
dbd5b4b37a	a1201	১৯৮৭ সালে
dbd5f21e9b	2b883	বইয়ের সবচেয়ে গুরুত্বপূর্ণ নিবন্ধ
dbd6009718	6aac8	ফান
dbd61af3bc	d0c70	আলাদা বাথরুম, বিশাল আকারের বিছানা
dbd6404f28	c2082	একই সঙ্গে নিয়োগের ক্ষেত্রে
dbd6716429	5639c	মিথ্যা জীবিকা
dbd6b6b3ab	52578	একটা পাথুরে গুহায়
dbd6fefb64	1a4a9	প্রচলিত ছিল
dbd71139ed	1e7c7	এটি আইন ও আদালতের মাধ্যমে
dbd73339dc	4c1eb	কোন দেব কুপিত হইয়া
dbd76fedda	a9a58	কুপিয়ে হত্যা করা হয়েছে
dbd78deb28	d41be	জীবনকাহিনী লইয়া-জমিদার বাবুরা
dbd844b135	32c77	করতে চান
dbd939c994	e03ce	শাম্ব কার্যক্ষেত্রে অবতীর্ণ
dbd96d7677	5d12f	এনড্রয়েড মোবাইলস
dbd9c2a962	09b32	আমি একজন বিতর্কিত শিল্পী
dbda1cdb3e	0f047	গত ২২ বছরেও
dbda2fbcfe	c9c19	নানা কারণে
dbda4e0795	84145	জেলা জাতীয়তাবাদী মহিলা দল
dbdaf27a85	98b81	বিরোধীদল বলে আসছিল
dbdb020d4e	c5479	গেরামে মেয়ে মানুষেরা
dbdb420f41	323f1	রাজনৈতিক ডামাডোলের সাথে
dbdb5e4409	d5213	অর্থনৈতিক পরিস্থিতির জন্য
dbdb68a98e	d9ba9	গ্রামোফোন রেকর্ডের
dbdb9a39ea	06ea3	টীকা আবিস্কারে সফল হয়েছেন
dbdbe6c676	fcefa	তার মুখে বিরক্তি
dbdc431a52	6b437	হুমা পাখি শোভা পাচ্ছে
dbdcaa1831	68549	নৌকা এক হাত আগায়
dbdd0d9238	91ac1	অর্ধেক করে
dbdd1042ec	8c07c	মোটা মোটা
dbdd1a8abb	355c1	চাপ রয়েছে
dbdd26617f	dfefa	শরীরের নানা অংশকে
dbdd669a9a	b8fe1	চড়াও হয়েছিল
dbdd7c04d3	f0f95	কেউ হতাহত হওয়ার
dbde0687fb	ad98d	তাদের বাবা-মায়ের
dbde70c086	18460	আড়াল করার চেষ্টা করে
dbde943df5	d9ba9	বাড়ি ফিরে মা’কে বলেছিলাম
dbde95eee4	1e7c7	অপমান, অসন্তোষকে
dbdedc4da3	d8c80	কিন্তু ব্যর্থ হয়েছেন
dbdf82813c	37d7e	বাড়িয়ে দেওয়া হয়
dbdfbac940	3f875	সাংবাদিকতা পেশায় নিযুক্ত হন
dbe01458fb	72649	যোগ্য নতুন প্রজন্মই হবে
dbe0259902	05901	আমার দরজার কোণে
dbe0a2abfb	bfac7	অগ্নিবীণা
dbe1122e0b	c2082	ওই সংস্থাটির অভিযোগ আনে
dbe1299039	f1ea4	উইলিয়াম জেমস সিডিসের জন্ম
dbe171c301	0d8c1	চতুর্থ স্থানে থাকা
dbe1e282c7	590d0	যেখানে জায়গা জোটে
dbe25a1043	7d3e1	এর ফলে এই বিভেদ
dbe293c8e9	5b13f	যমের মতো
dbe34d6b05	ba2f6	এগুলো বিক্রির জন্য
dbe3a567b4	4fc91	মঙ্গল-অমঙ্গল উপেক্ষিত
dbe3f9011c	7ed14	সেখানে মুসলিম মিলিশিয়াদের
dbe402c10e	e2f12	ছোট ছোট টুকরা করে
dbe4327fde	da6f0	সন্দেহের দানা বাঁধতে থাকে
dbe460b597	31f09	বরিশালের মানুষ নিয়ে
dbe479d9ba	80505	সাতটি করে চার ও ছক্কার
dbe4b9b15a	4fd66	দুজনক
dbe54c274b	a43b5	স্বাস্থ্যের কারণে
dbe591e1df	80e98	আদল বা প্রতিমা
dbe5a2e352	a9a58	পোশাকের কারণে ঘটে না
dbe5e89285	11de3	যে যদুবংশকথন আছে
dbe619dfb5	ce629	সে সঙ্গে জোনস এটিও জানিয়েছেন
dbe635199f	d2355	তাহলে নাকি নতুন বছর
dbe6606864	f9dfb	এ রাজারা
dbe7079cca	f2780	লুটিয়ে পড়ে
dbe76396b6	943de	দুর্ভিক্ষের পর
dbe81b2180	69d9a	শুধু স্কুলের পড়াশোনা দিয়ে
dbe8a9ed11	3bb15	বাড়িয়ে দেয়া হবে
dbe9b80e83	75f18	এরশাদ শিকদার
dbe9bc1bde	8c07c	সঙ্গে সঙ্গে চিকিৎসকের পরামর্শ নিন
dbe9e56bf7	7f71c	বিমানটি নিখোঁজ হওয়ার পেছনে
dbe9e91eaa	0744c	সফল উৎক্ষেপণ
dbea6b0912	f2097	আবার বাঁচিয়ে দিলেন কেন
dbeab31119	1cb75	জামায়াত-শিবিরের ৪ জনকে
dbeafe03d4	f837a	জর্জ ক্লুনি
dbeb02d255	b8bdd	লক্ষণীয় বৈশিষ্ট্য হলো
dbebc02140	c2082	মায়েরা গান করেন
dbebe12c62	2695f	জেনিফার লোপেজ
dbebee099c	8b859	তীব্র শীতে
dbec1d5846	bdfc1	সেগুলো রাজনৈতিক উদ্দেশ্যে
dbec3ef8ca	92f59	একাত্তরের ১৭ এপ্রিল
dbec634605	da6f0	কিথ ব্রাডশের বলছেন
dbeca730a0	cb627	বিশিষ্ট ব্যতিক্রমী স্থাপত্য
dbed10a092	0bace	অন্য সিনেমা
dbedda9e22	7351e	অনুমান করি
dbede399d5	a916a	প্রথম কয় শত বৎসর তাঁহারা
dbee86fe63	f9dfb	দিতে পারবে না
dbeeb52654	730c3	এই প্রকৃতিবিরুদ্ধ
dbef028a36	4486f	এলার্জির কারণে
dbef5417a6	c7705	তুমি তো পুরো সাউন্ড
dbef8b06cc	8ba2b	মুছতে থাকে মেঝে
dbefc158ef	32b3e	চলতে শুরু করেছে
dbf0110e7f	7a227	উৎখাতের পর
dbf0188898	38d3a	সে বর্ণনা দিচ্ছে
dbf0a3f133	eb179	সম্ভবপর নয়
dbf0d0fb66	75626	পরবর্তী প্রশ্নকর্তা
dbf1092f0b	18a52	তাঁর কথা শোনা
dbf121c466	1f974	এই ঘটনার সাথে জড়িত কয়েকজনকে জগন্নাথ বিশ্ববিদ্যালয় থেকে বহিষ্কার করা হয়েছে।
dbf129d087	ff1eb	তার গ্রামের বাড়ি কুমিল্লার হোমনায়
dbf222edd2	db735	তফসিল ঘোষণা করে
dbf23f4381	6dff5	১৯৯৯ সালের ১৬ জুন
dbf2bbed7e	60f77	আমাদের সে সকল কথায়
dbf369fce5	2bd99	প্রক্রিয়া শুরু করেছে
dbf392f81c	65e30	তার স্ত্রীর এইচআইভি সংক্রমণ হয়
dbf3b9ecc3	2bd99	টাটা স্কাই
dbf4b81219	adf01	শুক্রবারের জুমার নামাজের কিছু পরে ঢাকার মতিঝিলে ইসলামী আন্দোলন বাংলাদেশের সমাবেশ শুরু হয়।
dbf4cc70ae	16a17	বিশিষ্ট ব্যবসায়ী
dbf4d5ed6f	c7705	আলু ২২ টাকা
dbf5043760	80e98	সর্বভারতীয় দলগুলি
dbf5865901	49d63	কোনো ক্ষতি হয়নি
dbf5f4a67e	14816	বাদ দিয়ে
dbf6238441	698ff	সাভারে ভবন ধসের ঘটনায়
dbf6395089	ac0df	যেসব সামরিক বিকল্প
dbf6947119	49543	শরীফ
dbf6ca064b	d41be	১৮২৬ সালে ১৭ মার্চ
dbf7192d60	0d9f1	প্রার্থনা করছিল
dbf76c5136	54cdd	তেহরানের মেয়র
dbf77f0d23	0d4cb	অজনল, ভারতের
dbf8b36ae7	17dcd	লোকে সরাসরি বা ফোনে
dbf8e13bd9	b5fdc	জাহাজের ভিডিও ফুটেজ
dbf93aa405	47e8d	ছেলেটিকে পিশাচ নামে
dbf96321b1	2ac82	আমার কথা নয়
dbf9642632	f2780	বিনিয়োগ করেন
dbf9cc99d7	b7be9	বহু পুরস্কারে
dbf9dc6bf3	b9122	বিদেশেও ইতিবাচক ভাবমূর্তি
dbfa31ce2e	75936	বিদায়
dbfa5c4f20	1c618	জাতিসংঘের কুটনীতিক আলোচনা
dbfae508c3	195f7	তাকে বাধ্য করা হয়েছে
dbfc6707fa	d1b12	দমকা হাওয়া থাকলে
dbfc7e35c4	e7230	তার জন্যই এ খাবার
dbfc9e6440	cf82a	প্রতিদিন মেঘনা নদীর
dbfd14fd57	c2082	তা ছাড়া তরুণ-তরুণীরা
dbfd248549	09b32	গত বেশ কয়েকবছর ধরে
dbfd342e53	b5fdc	সুন্দর গল্প
dbfd44fd75	38ff0	জলের শব্দটা হচ্ছে
dbfd4ba507	f837a	তার চলচ্চিত্র ক্যারিয়ার
dbfe83a550	75936	নাস্তা দেয়া হয় ক্রীতদাসদের
dbfe9cf343	b9b98	পছন্দের সব বই কিনে নিতাম
dbfea7f487	fcefa	এর বিচার না হলে
dbfeb2ba56	860f4	তারা নির্বাচনী ভাষণে
dbfef73b4d	4fc91	টিনের পুতুল চীনের পুতুল
dbff6531fc	c3cca	টাইমস অফ ইন্ডিয়ার প্রতিবেদন অনুযায়ী
dbfff1da33	ff0fe	সম্মানসূচক ডি.লিট
dbfff71b71	c11b1	অক্সফোর্ড দক্ষিণ মধ্য ইংল্যান্ডের
dbfff884fb	3bb15	ক্ষোভ প্রকাশ করেছে প্রসিকিউশন
