4c00b92b0e	2396d	তাঁরা প্রায় সবাই কীর্তিমান
4c87c30b84	ad69a	ইংল্যান্ডে প্রদর্শিত হয়
4c87d6d379	976b1	কিন্তু সংশ্লিষ্ট কর্তৃপক্ষের
4c8839784a	aab0f	মঙ্গলকাব্যসমূহ এবং বৈষ্ণব সাহিত্যে
4c888493e1	e00db	আরেক চক্র
4c891cd667	bdfc1	পঞ্জিকা
4c89807b31	7b900	মুখোশ পরে
4c89da864c	388c9	থাকে আরেক আগামীকাল
4c8a323c17	7d133	একটি পিস্তল ও চারটি গুলিসহ
4c8a6b14b4	1a2a1	পাথরের টেবিলে
4c8a8a21c0	6e8cb	পেয়াজ
4c8b072e91	3fb17	মূর্খদের কাছে থাকার চেয়ে
4c8b45b895	7d133	সে সময় থেকে
4c8b635827	2695f	ফেটানো ডিম ১টি
4c8c1cb066	d1b12	বিবিসিকে বিশেষভাবে ধন্যবাদ জানাই
4c8c793bc7	b8ed8	বিক্ষোভ এবং সড়ক অবরোধ করে
4c8c98d681	c749e	শাসন করত
4c8cc14815	6ee5f	এক ইউনিয়ন নেতা
4c8d0ba784	8143b	এ আর কেহ নহে
4c8d61f119	1c618	ওই সিরিজ বোমা হামলায়
4c8d6459b0	ac0df	দূর-দূরান্ত থেকে
4c8d8c42be	95907	আবুল হাসান আহমেদ জুয়েল
4c8dee6d25	11de3	বিলাইয়ের রূপ ধইরা
4c8f721130	cf82a	না করতে পেরে
4c8f8a24ce	7d3e1	সুন্নত না পড়লেও চলে
4c8feecf9b	6aac8	তিনি খুবই উদ্বিগ্ন
4c8ffeca25	c8f7f	তসলিমা নাসরিনের কবিতা
4c911a74d2	b8ed8	বরাহরূপ ধারণ করিয়াছিলেন
4c911abb1a	aa820	বিকাল ৩টার দিকে
4c91830e12	420df	দলের বাইরে যিনি অভিযুক্ত হবেন
4c91af692c	0744c	কোনো আকর্ষণ থাকতে পারে না
4c92413428	ef915	সুপ্রিম কোর্টের ওয়েবসাইটে
4c92d8ffdb	1b359	আমি তাকে জিজ্ঞেস করলাম
4c932645cb	f280a	প্রেজেন্টেবল করতে হলে
4c938b728b	b8ed8	ঢাকা মহানগর দায়রা জজ আদালত ভবনে
4c93a71679	698a4	আমরা জ্ঞান হারাই
4c93af151c	ff1c3	প্রথম চলচ্চিত্র
4c9458cf3c	f29bf	দোয়া কুনুত
4c945ed8e3	a916a	ওখানে তো পুলিশ
4c94630c5e	f600a	পুলিশ লাশটি উদ্ধার করে
4c94680601	903fa	এবং তাঁর গবেষণা দিয়ে
4c94f335ce	2bc73	এসব চা-বাগানগুলোতে
4c951c09f1	11bd2	পুলিশ তাদের বাধা দেয়
4c9644dc17	69449	এক সেট করে বই
4c9654818e	ad98d	৯ হাজার১১০ পয়েন্ট হয়েছে
4c968246b9	3fce2	ছোট ছোট শিশু-কিশোর থেকে শুরু করে
4c96ac599b	32c77	দ্বিতীয় দিনের মতো
4c96b8fa37	9092b	ব্যবস্থা গ্রহণের জন্য
4c96bfccb4	e754e	ব্রিটেনের একটি দাতব্য সংস্থা
4c972c3fb3	60f77	কেবল গান্ধর্ব ও রাক্ষস
4c972f19e0	a9a58	জনসচেতনতা সৃষ্টি
4c97613af7	7d3e1	ঠিক ভাতের মত হইয়াছে
4c9836e337	c958a	উত্তর ও দক্ষিণাঞ্চলে
4c98529532	80518	যাদের গ্যাস্ট্রিকের সমস্যা আছে
4c98e70387	24aed	এক বেদনাবিধুর প্রেম কাহিনী
4c99168c5f	0f047	রাজনৈতিক দল
4c99d0c460	6b437	সম্প্রতি সংবাদমাধ্যমে
4c9a8c83bb	4bd2c	ঢাকা জেলা
4c9b5776a3	3fce2	যন্ত্রের সাহায্যে
4c9b8a045d	4e900	নেভিলে অ্যান্থনি মাসকারেনহাস
4c9c3b5cb0	54e68	উহার বক্তৃতায় পরে
4c9c783ae6	8edea	জীবনচক্রে আরেকবার
4c9ce87cf7	43fc0	তার কথা অষ্টপ্রহর ভেবে
4c9d44223f	d2355	একদিন ছুটির সকালে
4c9d8675c0	39293	এর আগে আওয়ামীলীগের
4c9d9908e4	698a4	দু’পা এগিয়ে
4c9db826ab	b8bf0	টিভিতে সরাসরি সম্প্রচার করা যায়নি
4c9e1ad191	29bab	১৮ শতকের শেষদিকে
4c9e203b66	cc9fd	মনিরামপুর থেকে
4c9e66c7a4	80be1	তখন তিনি দেখেন
4c9e712a45	82926	গ্যালিলিও
4c9e7f1181	8ba2b	এজন্য নগরবাসীর দুর্ভোগ
4c9eae7e11	baa02	ওয়েবসাইট ও ফ্যাক্টরি ডাটাবেজ তৈরি করার
4c9ecdc7df	c11b1	শাপলা চত্বরে
4c9ee9c4ae	f2097	ফরাসি শব্দ
4c9f12a29e	4a67e	গ্রাহকরা প্রতিদিন টাকার জন্য
4ca03717bb	4ea73	এবং সারা বিশ্বের
4ca04d4a6c	e89bb	৪/৫টি বাড়িতে আগুন দেয়
4ca08a61bc	cb842	পুটুঁলিতে বাঁধিয়া
4ca0ccba7d	5639c	মুসলমানিত্বের চেয়ে
4ca2a16e37	287bd	সেই স্বপ্ন পূরণের কাহিনি
4ca2e82270	f1ea4	অংশগ্রহন
4ca2ea37b4	8c07c	রানার্সআপ হওয়া দলটি
4ca30787d7	778c0	তাহার আড়ালে
4ca3200249	80539	এইলা একটু পরিবর্তন
4ca3229876	d1a48	গোলাপ ফুলের ছবি
4ca3816ef8	745b7	আমি অন্য এক দেশে
4ca38cbe24	79b06	শাপলা চত্বর থেকে শুরু করে
4ca390f946	6a35e	বনশ্রী ও পান্থপথ এলাকায়
4ca405bb62	06ea3	সমাধান করতে পারবো
4ca462fb45	0b7ca	সচেতন প্রবাসী বাংলাদেশিরা
4ca4a97cf0	eb179	এ সময়ে প্রাপ্ত সর্বমোট
4ca4acc61e	16a17	এই ট্রাইব্যুনাল পরিচালিত হচ্ছে
4ca4ccb79e	68549	১৯৯২ সালে প্রকাশিত হয়
4ca5cceb28	c41d8	সর পড়তে দেখা যায়
4ca678f304	aab0f	তাঁহার পদগুলির মধ্যে
4ca6b9a350	9d46f	মধ্যে রয়েছে
4ca6f11229	29bab	পুরুষের লোলুপ চোখ
4ca75d2b25	0d9f1	আসতে না পারায়
4ca7686990	e9759	ছোট্ট নদী
4ca7aac351	adf01	মা কেটে কেটে খাওয়াতেন
4ca803e321	ee852	নিজেকে অন্যতম
4ca8240a74	54e68	হাসপাতালে পাঠানো হয়েছে
4ca833246b	3fae0	এমন সমাজ কবে সৃজন হবে
4ca8429a95	355c1	বলিউডের এ হট গার্ল
4ca85e690c	6973e	এমপি তো দূরের কথা
4ca87b27f3	37d7e	ভিসিআর ভাড়া এনে
4ca8bafc15	43fc0	গত ২০ ডিসেম্বর
4ca8cf0807	29d44	সে কথা মনে আসেনি
4ca8e61e7f	3f493	আমাকে বিদ্যাপতির পদ পড়িয়া শুনাইতেন
4ca924ac8e	59c73	অর্থনৈতিক চিন্তাভাবনার
4ca954f36b	5d12f	সংঘর্ষের ঘটনায়
4caa735c79	bf530	ব্যবস্থা নিয়েছেন
4caa8768b8	9065c	কুইন্সল্যান্ড, দক্ষিণ অস্ট্রেলিয়া
4caa9d6d3f	ac904	গুয়া গালাইয়া দিইনি
4caab73fa0	eaa7a	সঠিক রাখতে
4cab287d5d	7d004	হওয়ার ধারণা
4cab511498	91b16	ফকির আলমগীর
4cac1d1783	b9a81	৩৫ টাকা দিয়ে
4cac4f0cc8	cd3ac	অনেক সুখী জীবন কাটিয়ে গেছে
4cacbc09df	dafb6	অর্জন করতে পারছে
4cacc88460	4fd66	আসল লক্ষ্য হলো আনন্দ
4cacc95066	b9b98	মেয়েরা বসেছেন একটু দূরে
4cad108b33	8406e	বরিশাল বিশ্ববিদ্যালয়
4cad4f75ac	32c77	তারা অনেক বেশি
4cad83eb74	28dfc	৪৫ থেকে ৫০ দিনের
4cadd155ef	ced74	গুরুতর অভিযোগ নজিরবিহীন
4cae356f46	5e80b	কর্মকর্তাবৃন্দ যেন
4cae42b176	121bd	মতিলাল শরবোরণ সাহেবের
4cae4d1a55	9c8dd	কোথাও অসুবিধা হলে
4cae7721c5	3d17c	তবে না হইল কেন
4caecca58e	01e91	আরেকটু এগিয়ে যেতেই
4caf24699f	ce629	সেগুলোর মধ্যে বালি
4caf417083	16877	প্রাকৃতিক আলো
4cafa81de8	7ed14	ব্যাংকটি বিতরণ করেছে
4cafc6e902	b8ed8	তোলা এক কিশোরের ছবি
4caff3f128	bdd05	একাত্তরের যুদ্ধের সময়
4caff981c3	bc81e	সমস্ত কাগজে
4cb09d212e	cfc65	আমার দেশ প্রকাশে
4cb0a5dd64	c0965	রূপবান হয়ে ওঠে
4cb0bf8bbf	49d63	ফাঁস করেছেন
4cb0e21fa3	2b883	তুর্কীস্থান ইত্যাদি দেশের শাসনপদ্ধতি
4cb13f4b20	b2a62	বিবিসি বাংলাকে বলেছেন
4cb1a7dfea	16877	ভালো চাকরি দেবে
4cb1b4ece4	e8dde	রওনা হয়েছে
4cb2093767	d5f7b	এদেশের শিক্ষা ব্যবস্থা
4cb24ebcb0	24aed	শনিবার সার্জিও র‌্যামোস বাহিনী
4cb2f900fd	f600a	এ সরকারকে তাড়াতে
4cb31f53a9	c3cca	মানুষ প্রাণ হারিয়েছে
4cb35722da	f29bf	বিবিসির অনুসন্ধানে উঠে এসেছে
4cb3c9f9ef	6aac8	ধরে রাখতে পারছিলাম না
4cb4380f3c	93bf3	ব্যবসা-বাণিজ্য
4cb444e9d9	32b3e	প্রেসিডেন্ট পুতিন খুব দ্রুত
4cb4c01933	8cf95	পরিকল্পিতভাবে
4cb4c6833e	554fe	পড়ে উঠতে পারেন নি
4cb4f6522f	554fe	জয়পুরহাট
4cb50538a8	0633a	তাপস কুমার
4cb6714076	ef915	২০০৪ সালের ২৯ জুলাই
4cb67577b5	73629	জুতার ভেতরে লুকিয়ে রাখা
4cb76a40dc	7df87	তথ্য কমিশনার এবং সমাজবিজ্ঞানী
4cb7c906b8	ee7b2	এরপর থেকে তিনি
4cb7e5cf81	09b32	গভীর রাত
4cb83a2668	3ec4d	নেড়ে ১ মিনিট পরে নামান
4cb8631ed9	e03fc	গির্জা সিনেগগ
4cb9ab9a8a	ced74	যেতে হবে ট্রিট নিতে
4cba273be9	37d7e	মা শয়তানের দোসর বলে গাল দেবেন
4cba4ad5d9	e6203	তসলিমা নাসরিনের আত্মজীবনী
4cba73ebd8	8c07c	অসত কর্মের
4cbadcab07	ab946	থাকতে দেখা গেছে
4cbb602ef7	698ff	বোধ হয় বড় বৌমা
4cbb79dc0c	d71a3	সুন্দর চোখ
4cbbc55e09	6973e	আলো, পানি, রাসায়নিক পদার্থ
4cbbffa963	4dd57	দ্বিতীয় চন্দ্রগুপ্তের
4cbc1b2046	cb627	এই দেশের সমাজ-কাঠামোর মধ্যে
4cbc4aea9c	21e54	রাজপুত্রকে বুকে লইলেন
4cbcb6d5cc	7df87	এরপরই তাকে
4cbcc2f1d3	d82d9	যুগ্ম সম্পাদক সহ
4cbcde5ac8	59c73	ব্যবহৃত অফিস ফার্ণিচার
4cbce66ac7	80505	একুশ নামে পরিচিত হলো
4cbcebd32c	a8710	আমাদের নানা অনুসন্ধানের
4cbd1e1966	b5fdc	নাফ নদীতে অবস্থান করছে
4cbda563d2	15a75	এরা প্রতিনিয়ত
4cbdc262a1	698a4	সেটা আরও কঠোর
4cbe66bd4d	9813c	বন্দি অবস্থায় গোপনে
4cbe670b44	18460	আইন শৃঙ্খলা রক্ষাকারী বাহিনীর
4cbe7df3e0	880ae	এই গ্রামেই জন্ম
4cbf9897ce	a8710	ভবিষ্যত ঐতিহাসিকদের পথ
4cbfd740ce	8c120	হয়তো বলেছিলাম হ্যাঁ করব
4cc051dca4	f89d7	টেস্ট খেলুড়ে বাংলাদেশকে
4cc0640a98	7aed9	গত কয়েক বছর
4cc097e83c	75626	বর্তমানে শিক্ষার্থীদের মধ্যে
4cc162edff	536d9	দশম মিনিটে
4cc171fc4b	88654	কংগ্রেসে পাশের মাধ্যমে
4cc1ca5b2b	d711f	আমার সঙ্গে দেখা করেছিল
4cc311a189	93bf3	প্রেসিডেন্ট নির্বাচন
4cc31b2661	18460	ইনস্টল করতে হবে
4cc32bccdf	ad2a0	পাকিস্তান নামক একটি অদ্ভুত
4cc32fe406	b9b98	এই টীকা দেওয়া হয়
4cc3c2c5a0	d5f7b	রাশিয়ার সেনাদের রাস্তা অবরোধ
4cc403ced1	fd880	এলাকার মতো মনে হয়েছিল
4cc4284574	f83df	ইউনিয়ন পরিষদের সদস্য ছিলেন
4cc4603bee	acb88	হাঁটুর ওপর
4cc4da1b59	2aecc	ইংল্যান্ড আক্রমণাত্মক ব্যাটিং করে ৬ উইকেটে ১৭২ রান করে।
4cc503a755	7ed14	অসামান্য অবদান রয়েছে
4cc5be8409	d1a48	সমালোচকদের প্রশংসা অর্জন করে
4cc60266bf	2b883	গার্মেন্টসের মালিকের
4cc642f19a	1a2a1	কারখানা ভবনগুলোকে ঝুঁকিমুক্ত করতে প্রয়োজনীয় মানোন্নয়নের জন্য স্বল্প সুদে ঋণের ব্যবস্থা করা হবে।
4cc73ae78c	08458	এক প্রকার খনিজকে বুঝায়
4cc7654609	b618b	সপরিবারে বেঁচে যেতাম
4cc80f0fa2	9813c	হাত রেখে রেখে বলেন
4cc8171327	76329	ইউক্রেনিয়ানদের উপর
4cc8198e61	086dd	মিঃ রহমান বিবেচনায় নেন নি
4cc850bd11	c0965	এটি নির্মাণ শুরু করেছিলেন
4cc8b45d97	5dd61	প্রথাগত কিছু বুলি
4cc8fd9053	b8bdd	এদিকে কিছুদিন আগে
4cc93d1ee5	dafb6	আগামিকাল বুধবার
4cc94ba3e9	943de	যারা ভণ্ড তারা দিনের পর দিন
4cc95c7705	ee7b2	যতোখানি হওয়া দরকার
4cc9a45dc9	809cd	নওশীনের মুখ থেকে
4cc9ef2d3e	33814	অলিম্পাস কর্পোরেশন
4cca0604c7	e3f89	যা বাংলাদেশ সরকারের
4cca1ef77c	80e98	গ্যাস, পানির মতো
4cca4eba32	cc9fd	অ্যানি বনি
4cca50a94e	a8710	ওকে নিজের সন্তানের মতো
4cca701f64	6c17f	সম্ভ্রম বিলিয়ে দিচ্ছেন
4cca769bf8	32c77	একটি প্রেমও
4ccaa85615	3f875	পড়ে যায়
4ccb3d8c6b	3faff	কার্যকর কূটনীতিক
4ccb4c3613	4a918	ঠকাইতে পারিবে না
4ccc06a180	0c39f	পানি বিতরণ করেন
4ccc088306	8b859	বিজ্ঞানী পি. বায়েন
4ccc50c299	0744c	একটি বিশ্ববিখ্যাত উপন্যাস
4ccc6b11fb	91230	সমাবেশে আসা লোকজনকে
4ccca25754	778c0	বিজিবি মহাপরিচালক বলেন, একজন অস্ত্রধারী সৈনিক কখনোই একজন নিরস্ত্র ব্যক্তিকে হত্যা করতে পারেনা।
4ccd0ddb98	c6848	পাখা টানিত
4ccd31ec66	7df87	এক ছেড়া আইয়া
4ccd5f032d	323f1	একসঙ্গে নদীতে ঝাঁপ দিয়ে
4cce171c5e	32b3e	এই দুটো দলের
4cceb33b0f	7b900	কেইলিন ‘দিস্ ইজ্ গ্রোবি’ বলে
4ccf129ba4	88654	কাঁদতে থাকেন
4cd0167845	0c39f	ভয়ের ছবি
4cd01e8e59	1e7c7	প্রথমে চান্দাইকোনা এলাকায়
4cd03bcd4f	b8ed8	দেশটির নিরাপত্তা পরিষদের সাথে
4cd0d101dc	e2f12	তার শৈশব কেটেছে এই গ্রামে
4cd0fdf038	ef915	চুলের আগা ফাঁটা থেকে
4cd1654007	cd3ac	এর শরীরের
4cd1df9774	75626	বাংলাদেশ সরকারকে ধন্যবাদ জানাই
4cd2d11b40	25117	পার্বত্য এলাকা থেকে নিরাপত্তা বাহিনীর ২৩৮টি ক্যাম্প প্রত্যাহার করা হয়েছে।
4cd2fa25fc	d2d71	শিশুর বয়স
4cd2fd996e	7b103	যেসব প্রার্থী নিরাপত্তা চেয়ে
4cd394ca3d	fd880	তাদের যুদ্ধে অংশগ্রহণের
4cd3a5b317	6b437	কাজের লোক
4cd4385947	404ee	১১ জুন ২০১৩
4cd4683cc9	5a61c	সাময়িক বরখাস্ত করেছে
4cd4c82636	2840e	একেবারে ছাঁদ পর্যন্ত
4cd4f4b346	ce180	পোকাটি নিয়ে
4cd50a63b0	5dd61	তদন্তকালীন সন্ত্রাসী সম্পত্তি
4cd554a6fc	7df87	পড়তে হয়েছে নানা বিড়ম্বনায়
4cd56ff043	7a227	বিশ্বের সবচেয়ে
4cd57b72eb	b4ea7	ওই দিন সকালবেলায়
4cd6a70659	65652	বড় নেতাদের কাছ থেকে
4cd7129ab2	14816	প্রতিনিদই হাজার হাজার মানুষ
4cd719d0de	e03fc	নিষিদ্ধ হয় প্রগ্রেসিভ রিপাবলিকান পার্টি
4cd71c8b45	91230	বদলা
4cd74e06bc	80505	ঘোষণা করা হতে পারে
4cd7cf2235	49543	ম্যান ইজ ইমমরটাল
4cd7cf663c	e9fa7	তারপর এলিসের দিকে ফিরে
4cd7d8dd76	7e191	এত বলতেন না
4cd7e59e6c	10a9f	ভালবাসার চিঠি
4cd806ef4e	c1e30	তফাৎ কি
4cd91781b4	76329	সূর্য থেকে তখন
4cd9b1e9c6	acb88	মুক্ত জলাশয় বা হাওর
4cd9b759ba	b9b98	নিরাপত্তা সূত্র জানায়
4cdac564e8	f143a	আল-কায়েদাকে নিয়ে
4cdaca66e5	c11b1	অবশ্য পাওয়া গেল
4cdb0a0f2a	1a2a1	আনফিনিশড রেভ্যুলেশন
4cdb3270b4	bbb22	তাহার কারণ
4cdb3d102b	9d46f	স্থাপন করতে যাচ্ছে
4cdb65e22e	c5479	একটু গতিসম্পন্ন হয়ে থাকে
4cdbef1c22	39293	অনন্ত নিঝুমতা
4cdc657b14	ff0fe	বিবিসি বাংলার পুলক গুপ্ত
4cdce23f49	3ccf1	কি বৃদ্ধ ক্রমাগত চুপ করিয়া
4cdd75a1ed	d41be	বাঙলার কাব্য
4cddbd1e12	65652	বিক্রয় ডটকম
4cddc01007	b8ed8	কুসুমের মাস
4cddcff2ed	121bd	শনিবার রাতে
4cdde9a0be	b8bba	ফলে প্রতিযোগিতা বাড়ানোর জন্য
4cde383a2f	778c0	মালি
4cde485427	0895a	মিজানুর রহমান রানা
4cdecbdd91	7ec1c	একমত পোষণ করলেন
4cdf233e4d	cb627	চরমতম পরিহাস হলো
4cdf280812	d2d71	ডিসেম্বর ২০১০ থেকে
4cdf2d0777	65e30	যাতায়াত করতে পারলেও
4ce00be8c0	1652d	যে জিনিসটা অবশ্যই থাকে
4ce00e9f41	bdfc1	হালখাতার আয়োজন করতো
4ce0248c7d	f2780	খুব দ্রুত বিসিবির নিজস্ব
4ce04569c0	8c120	যান চলাচল বন্ধ হয়ে যায়
4ce082f35d	0edef	নিজের গল্প থেকে
4ce0c9b4eb	420df	কিছু টের পাও না
4ce137e36f	b08d0	নিহত সুমাইয়া
4ce13a40d1	6ee5f	শুধু কেউকেটাদের সঙ্গে থাকেন
4ce188ef00	28bb3	জাহাঙ্গীরের বাবা জামাল হোসেন
4ce1a96eb9	3f875	একইসঙ্গে চন্দন কুমার সরকার
4ce23c43e4	b9122	পছন্দ মতন ছবির সাইজ নির্ধারন করুন
4ce2b06f9e	4f2ae	চেয়ারম্যানের পদ শূন্য হলে
4ce2f2a760	e6203	জলবায়ুর বিপর্যয় রোধ কি সম্ভব
4ce2f3a247	66c6b	এ জরিপের ফলাফল
4ce319064d	0606d	জানায় শিক্ষা মন্ত্রণালয়
4ce410fb40	c11b1	গল্পের শেষে
4ce468eb6b	f7a7f	লোকে সরাসরি বা ফোনে
4ce46dbeff	698ff	এখনো পলাতক থাকা
4ce61990b2	ff0fe	বাবা মা অসন্তুষ্ট ছিলেন
4ce700bea0	274ee	৪০ বছরের
4ce7066817	4bede	ললিপপ
4ce7844f6a	e2f12	এগিয়ে চলেছ
4ce78d2836	e89bb	প্রতিদিন লক্ষ লক্ষ টন
4ce896d629	5b13f	শাহবাজের হাতে
4ce8b7f480	2840e	উভয় পক্ষের শুনানি শেষে
4ce8c83461	d2355	কোনো প্রার্থীর নাম
4ce8f6345e	22096	আজ ভোরে
4ce9106586	9d398	সরকার যাচাই বাছাই করে
4ce9642018	a699c	নিয়ন্ত্রণে নিতে
4cea512a10	06ea3	এ পর্যায়ে ডাইনা বলেন
4cea6dd762	33aef	অক্টোবর ৫
4cea993983	c4973	হুমায়রার আদেশ উপদেশ
4ceb24417b	2695f	শিল্প কারখানা গড়ে উঠেছিলো
4cebc8a448	4c1eb	হ্যাকার নিজের পরিচয় দেন
4cec1880d9	6d129	সরকারের বিভিন্ন মহলে
4cec22071f	1f974	পাকিস্তান বা শ্রীলঙ্কাকে
4cec26d102	4a67e	জেলা শহর থেকে
4cec8841d0	3bb15	আমরা ক্ষতিগ্রস্ত হবো
4ceca89184	7b103	বান মারা
4cecce8a12	0633a	দেশের প্রথম
4ced6529ed	3d17c	নৃতত্ত্বের অধ্যাপক
4ced8d0c0d	420df	সেরা মানের একটি অনুষ্ঠান
4cedaa1d7d	a06a1	সে কথা অবশ্য
4cee913f23	b8fe1	বাংলাদেশে প্রায় অসম্ভব হয়ে উঠেছে
4ceea6dfe1	7aed9	কুপার ফিরবেন
4ceebaafc5	09b32	অস্ট্রেলিয়ার মহিলা ক্রিকেট দল
4cef32ab37	0606d	আলিফের সঙ্গে তার
4cef4c6f07	47e8d	উন্নয়নের জন্য
4cefad98af	f89d7	তাহা লৌকিক বাঙ্গালা ভাষা হইতে
4cf08b3bda	13b6a	হৃদপিণ্ড ছাড়াই
4cf0ac22a6	ea5be	নানির বাড়ির সবাই
4cf150c717	e68af	সেও সোজামুখে যায়নি
4cf1c3bf64	2ac82	চরমপত্র অনুষ্ঠানটি
4cf1eeef61	37d7e	বিনামূল্যে ব্যবহারের জন্যে
4cf39c5e92	f2097	ওইদিন সন্ধ্যায় গাজীপুর থেকে
4cf3b45b5c	880ae	এমন নয় যে
4cf4155239	7027a	অনুমতি দেওয়া হয়নি
4cf491e4c9	ad98d	বিভিন্ন শিরোনামে
4cf4f4bd2d	7d3e1	বাস্তবে প্রয়োগ করার
4cf50c79b2	809cd	এ মত কি গ্রহণযোগ্য
4cf5102bff	e6d83	এসো তোমার সঙ্গে
4cf5115ef2	fbb81	বিদেশি নাগরিক
4cf5a4690d	d0c70	তারা মিশরের দাখলে মরুদ্যানের
4cf655980d	35ef3	খুব খারাপ থাকলে
4cf72085d3	e68af	মারা যান আরো একজন
4cf7bccfe0	1652d	তারা একটা অনির্বাচিত সরকারকে
4cf7d1e3c3	7027a	নানা বাড়ির ছোটদের প্রতি সদয়
4cf84df6be	c8f7f	দীর্ঘ লাইন দেখা যায়
4cf84fea2b	6b437	নান্দনিক সৌন্দর্যে
4cf879d798	ad050	সেগুলি আধুনিক হইল না
4cf8b698aa	f7a7f	তারা নিজের পদটিকে
4cf945ab76	29f8c	বৃষ্টি পড়ে
4cf9463b4e	4486f	তারেক রহমানের লিডারশিপের যে
4cf95ba2c7	7d004	সম্ভাবনাই নেই
4cf9b8663b	2f547	রানওয়ে প্রদর্শনের সময়
4cf9d3b604	31f2a	সমাধানের জন্য সিদ্ধান্ত গ্রহণ
4cfa278780	195f7	অন্যদের পুলিশ এক সাংবাদিক থেকে
4cfa29fe54	4fbd1	একজন শ্রেষ্ঠ শিল্পী ছিলেন
4cfa969564	5e80b	চিমটি কাটতে হচ্ছে তার
4cfaf88bec	8edea	পেটের সব কটা ছেলে
4cfb274915	33aef	তা নিয়ে ভোটাভুটি হলে
4cfb6c2b73	65652	ফারুকের পিতা
4cfb81b507	92f59	জন কেরি বলেছেন
4cfc0a4b3d	5d12f	ফিগার
4cfc12e154	06736	শুরু হলো গোলমাল
4cfcdf7b3a	4bede	ছিনতাই, ডাকাতিসহ
4cfd1a6539	bcaa8	ড্রোন
4cfd1ac654	f280a	ওই হামলায়
4cfd950419	e3d8b	স্বাধীনতা পদক
4cfdacfbee	d0c70	অনিষ্ট হয় নাই
4cfe0da4bd	698a4	অবশ্যই বিদ্রোহ সহজেই
4cfe1097f9	f658d	সিরিয়ার ভবিষ্যত ঠিক করার অধিকার সিরিয়ার জনগণের, এক্ষেত্রে বাইরের শক্তির সেখানে হস্তক্ষেপ করার কোন এখতিয়ার নেই।
4cfee7db52	0bace	সমাবেশ থেকে
4cfef43237	282d3	সে কি আমিই না আর কেউ
4cff3563dc	315e9	অন্যদিনের মতো এখন
4cff51f8e6	f2b7d	বিশ্বের অন্যতম
4cff86e422	fda1a	হতাশার বিষয় হচ্ছে
4cfff1edc3	1279e	নিহতদের সবাই বেসামরিক নাগরিক।
