7100657535	6ab59	দিপিকার হাতে
7185fcd848	4a67e	নারীকে মূল্যায়ন করতে হবে মানুষ হিসেবে।
71865d09ee	65652	যখন বিষয়টি যায়
71870fbb26	9d398	দামি হীরার গল্প এলেই
718731d345	6c6bf	ভারতবর্ষে যে সুফি ইসলাম
7187681610	a9a58	আইকিউ স্কোরে
7187c4e95f	554fe	অ্যানার ব্রিটিশ স্বামীর তথ্যানুসারে
7187f55936	b5fdc	হিলি
71883c545f	32998	কিছু ট্রাক পণ্য নিয়ে
71887a8421	54e68	এ আইনে বলা হয়েছে
71888152d0	d9081	আপনি খুসী হইবেন
7188cb6d39	06ea3	কে, কারা রচনা করবেন সংবিধান
7188f4e2fc	3b1f7	প্রতি ১০০ গ্রাম নুডলসে
7188f797ec	b00ba	আপনাকে কেউ
7188fea58d	509f6	পৌঁছুতে পারবে
71896c7eac	0a87a	সে-বিষয়ে নিজেই
71897b65f6	4fbd1	তিনি দাবি করেন
7189d5f0e3	693cb	শুনেছি শৈশবে
7189f0afb7	29d44	ভেতরে তোলপাড় করে
718a2beca3	121bd	১০টি সরকারি প্রতিষ্ঠান
718a43dd1c	1e7c6	চালানোর সুযোগ নিতে
718a65002d	72649	এই হীরাটি ঘিরে
718a7e535d	06e62	স্ট্র্যাটোসফেয়ারের ওপর
718b2c2002	92bd8	নিজের পারিবারিক
718b56e78e	ea5be	গর্বিত ছোট ভাই
718b6d0ae1	6b437	প্রতিবাদ জানিয়ে
718bb66bd4	b9b98	টিউশনিতে যাচ্ছিলেন উর্মি
718beb56f9	7ec1c	কাজের জন্য গিয়েছিলেন লেবানন
718bf2250a	efc0d	বিভিন্ন কার্যালয় পরিদর্শন করেন
718c05b707	06527	ফলের স্বাদ ভিন্ন
718c25de2e	bbb22	তিনি অনেক লিখেছিলেন
718ccbae46	ca088	আবদ্ধ থাকতেন
718ccd85fc	5d80e	চীনের প্রাচীর
718d9ac33c	086dd	ক্ষয়ে যায়
718ddca144	9b864	শুধু অপরাধই নয়
718de3b42e	cb1aa	এনে দিয়েছে
718deab53b	0a7a0	এ বিষয়ে সম্প্রতি
718e0c5404	2aecc	পোস্টমাস্টারের রতন
718eadd239	17dcd	চলে বিরামহীন
718fa0b09c	65e30	অভিনয় ছাড়তে
718faaa350	f0f95	ফেনা বের হচ্ছিল
718fb712bb	554fe	রবিউল হক, এনামুল হক
718fbf6d6f	f0f95	বাঘাকে খুব ক’রে
7190a671ee	f2b7d	আলোচনায় আসেন তিনি
7190c48ae0	f1ff2	সামরিক ক্ষেত্রে
7191276897	9c8dd	মামলা করা যায়
7191e83ad2	e6752	প্রকাশিত হয়
71921168a9	323f1	অপেক্ষা করে
719272e49b	f29bf	রাজত্ব করিতে লাগিলেন
71927a15d4	4237e	তাঁর বাড়ীর ছাদ থেকে
7192e73e1c	7d004	গঠন করা হয়
71932c423e	b78ec	এই পুরস্কার দেয়া হবে
719355d9da	68549	নিতে হয়নি
719395ccb0	cfc65	একজন রিকশাচালক
7193d1d9a5	b8bdd	সর্বোচ্চ কাজ করে যাচ্ছি
71942ad661	ff1eb	ইংলিশ শিখার সহজ উপায়
71945e93a3	2556b	রোববার রাতে
719477da04	11915	নিজের সন্তান
7194ad89fc	e7230	মেয়েদের গাড়ীতে
7194f958ea	80518	যাবো কী করে
719529b5fd	1e7c6	জেলা প্রশাসক ও পুলিশ সুপাররা
7195ac114e	af81d	ঋণ উত্তোলনও
719659d62f	c463d	বের করে আনার পর
7196ab4e07	b4ea7	করতে পাঠান
7196afbed4	dec2d	আদালত থেকে জামিন নেয়ার পর
7196da80f9	bf530	আসলে কাগজেপত্র
71972c2fb3	16e96	ররী যাইয়া দেখিয়া আসুক
719778efbe	66c6b	অনুপ্রবেশকারীদের ধরতে পারে না
7197943a2f	69449	পিয়ানো
7198c74dac	a8710	তিনি কলকাতায় চলে আসেন
7199a95abc	09f0d	ব্যবসা
7199c2f887	39293	চীনের ঠিক পরেই
719a0b54bb	d9081	সাঈদ খোকনকে
719acd5df4	16877	খোরপোশ এবং নিরাপত্তার দায়িত্ব
719ad00237	acb88	পিঁপড়ীকে কাঁধে করে
719b674a18	bf530	দূরে চলে যাচ্ছে
719bc218e9	91dff	মুড়ি ও চানাচুর
719befbe50	baa02	সফলভাবে উপজাতি আন্দোলন
719bf2e80a	e6d83	সভায় প্রকল্পের নকশা
719c0f21e5	80518	তেল ও চিনি দিয়ে ফেটান
719c2368ed	239f7	মন্দিরের একটি নামফলক থেকে
719c9a9e1e	25117	শ্রমিক বেকার হয়ে পড়েছেন
719cda59c4	ca088	যে কোনো সংস্কারমূলক পদক্ষেপ
719cf1e5d9	a7c6f	সহজ নহে জানি
719d40a004	a06a1	বাংলা
719d7c0964	49543	তার কাকুতি মিনতিতে
719db3f2fa	8845d	শিপিং ব্যবসার মাধ্যমে
719dd1ee0f	730c3	মেদ
719ddd3160	282d3	সে তো আমি জানি
719e018b59	7a227	কত লাগিবে
719e14c454	b78ec	হিসেবে জয়লাভ করেন
719e174bde	f0f95	দেরি হয়নি
719e20a81b	d9817	শাস্তির মেয়াদ বাড়িয়ে
719e245420	0d8c1	চেয়ারম্যানের কাছে গিয়েও
719eccbbe5	ce180	লোক দেখানো
719f05030f	6a35e	হরিদ্রাগ্রামে এক ঘর
71a049d6c5	aa820	বিনা ক্ষেপণাস্ত্রটি সেতু
71a069a8e0	e2ba2	দর্শকের সঙ্গে কথা বলেছে
71a1141543	11915	আজ খবরদার
71a1395691	d9ba9	রচনার সঙ্গে ইহার
71a141cb59	8b859	মন্ত্রিসভা গঠন করলেন
71a14544c7	388c9	ঘণ্টাব্যাপী যান চলাচল বন্ধ ছিল
71a18c258e	37e17	আরশোলা
71a1aa54c7	717bb	গোয়েন্দা পুলিশকে দেয়া হয়
71a1e20c08	0744c	অ্যাডলফ হিটলার
71a23b75ee	5b13f	তুই করে বলতেন
71a26d0d4a	91223	সন্নিবেশ ঘটানো হয়েছে
71a2749aa3	282d3	আন্দোলন, ষড়যন্ত্র
71a44fd331	92bb2	নির্বাচক ফারুক আহমেদ
71a4645be9	3fc9d	ভোজকটের রাজা
71a4ccaf1a	29089	ওহাবী
71a4f24961	e9fa7	দুঃখীরামের যখন
71a502ed45	e6e48	মূল সমাধিটি সম্পূর্ণ হয় ১৬৪৮ খ্রিস্টাব্দে এবং এর চারদিকের ইমারত এবং বাগান আরও পাঁচ বছর পরে তৈরি হয়।
71a54cf89c	3bea8	কী ধরনের ঝক্কি তাদের
71a57d5df2	b618b	অর্থশোধন এক প্রকার
71a58cf64f	e2ff7	কোন উইকেট পড়েনি
71a5a2cafc	0bace	দেশীয় চলচ্চিত্রের জীবন্ত কিংবদন্তি
71a5c4125c	0a7a0	মিসেস হকের কাছে
71a5d5a468	8b859	সম্মেলন করে
71a5dd68c7	66b3c	রাষ্ট্রপতির উদ্যোগের জন্য
71a6c3b854	ee852	বেদনা,সুখানুভূতি আর সমস্ত সংস্কার
71a6e1aaa4	c463d	ধর্ম, ইতিহাসবিদ
71a6ed4d0b	5dec6	অতীত আর বর্তমানের
71a753af50	9d46f	ঠিক কত
71a785bb17	dec2d	সাক্ষী হাজির করতে না পারা
71a83bc640	b7be9	অনেক কিছু
71a8e2b1ee	58998	অভিভাবক হতে পারেনা
71a9305130	f837a	বাসে পেট্রোল বোমা হামলা চালিয়ে
71a93c1316	8406e	ধর্মরাজ্য প্রতিষ্ঠা করেন
71aa1d764a	c463d	পেশির চোটের কারণে
71aa1e58e4	66dcd	আর বাজার ব্যবস্থায়
71aa32fa73	1279e	কাজ শুরুর
71aa5572a9	acb88	তার চার পুত্র
71aaec46f3	64092	সংসদ বহাল রেখে হবে
71ab14afaf	9d46f	ওসি মঞ্জুর কাদের পিপিএম
71ab4b5dbe	d2faf	যা আমার কাছে নতুন
71abb87b1d	8b859	ধীরে ধীরে বিআরটিসি
71abd89565	f1ea4	বিজয় বলেছে, খাবে না
71ac0cf0d1	4c1eb	বিশ্ববিদ্যালয়ে সিন্ডিকেট সভার
71ac9d946b	a46e2	তাদের পরাজয়ে উদিত হয়
71acb99306	3bea8	মিশরীয়রা সে সময়
71acec1ea7	ce180	দেশের হালহকিকত সম্পর্কে
71ad1ee3dd	121bd	এজন্য আদর, ভালোবাসা
71ad71876a	66c6b	সেখানে ভালো করে
71ae556a26	11de3	সিদ্ধান্ত নিলাম
71af1bddb3	37d7e	এটা নির্ভর করছে
71b04c94e2	2ecf8	মিডিয়াতে পরী মনির
71b05af093	e03fc	যাদের নিয়মিত পার্লারে যাওয়া
71b0b416be	7d004	সংক্রান্ত বিদ্যা
71b0cf61a1	8b859	এনামুল হক
71b0dfc048	06e62	হেফজতকারীরা সরকারি কর্মচারীদের
71b119e10b	6973e	যমুনা গ্রুপ মালিকসহ
71b1a578fa	b8bba	এবং লাভও হয়েছিল
71b1f22d41	e6203	মানব সম্পদ বিভাগকে
71b1fdf362	86b1b	রিয়াল মাদ্রিদ
71b22541d5	e03fc	আহমেদ কবির যদি
71b282b963	b7be9	কক্সবাজারে যেভাবে
71b2d25ddc	e2c11	৬৪ জনকে
71b341f5da	72649	ধর্ষিতাকে দোষ দিয়ে
71b3b25624	2fc12	নানা আপত্তিকর বক্তব্যের পরিপ্রেক্ষিতে
71b3d4ba5e	ce629	গামেস
71b3ef22a0	0bace	কঠিন অংশে
71b4d15a60	195f7	ফাঁসির আদেশ দেয়
71b59ea718	2909b	যোগ হতে চলেছে
71b5dc4720	21e54	বিষয়টি সম্পর্কে সিদ্ধান্ত নেন
71b61a104b	ce775	ফুলবাহারি জন্মানোর আগে
71b6411271	68ab7	বেলা ৪টার দিকে
71b64d67e0	8406e	ঠিক করেছে তা হলো
71b68b5fd8	b8bba	এর জবাব না পাওয়া পর্যন্ত
71b6ba270a	bd576	গোয়েন্দা কাহিনী
71b6baf29d	47e8d	একইসঙ্গে উদার গণতান্ত্রিক দলকে
71b6bc42e2	4c555	বাধ্য হইয়াছেন
71b6cfa827	e43d4	এখানে দাঁড়িয়ে
71b73ff5b4	ced74	রিমান্ডে চেয়ে আদালতে পাঠানো হলে
71b756cca3	68ab7	চেষ্টা করেও
71b7f2ac8e	c7a89	বাংলাদেশিদের কাছে
71b7fbc54d	1a4a9	উট
71b865c91f	c2082	যে অন্তঃসারশূন্যতা সে সবও
71b943fcac	c7a89	এখন ডি ভোটারের সংখ্যাটা
71b9ebecae	9065c	কর্মকর্তাদের সমন্বয়ে
71ba5ee8c2	7b900	জাহাঙ্গীরনগর
71ba7786d5	c173f	৪৯টি পয়েন্ট ঘিরে থাকবে
71bb44d729	29f8c	ভরা বাদরের
71bb4bbfdb	315e9	কারণ এর নেপথ্যে আছে
71bc75a517	d0c70	লবণ-হলুদ মাখিয়ে
71bda32f5d	0d8c1	ও রেডিও স্টেশন
71be1fed4c	93080	বাংলাদেশ প্রিমিয়ার লীগে
71be85ff1d	09f0d	হিসাব করা হয়েছে
71bf87d88e	e9fa7	গোবিন্দর সঙ্গে
71bfd68dde	7c272	সরকারে আসার জন্য
71c029cee4	93d3b	ঘটনাটি বর্ণনা করেছিলেন
71c175fc89	ee7b2	একক প্রার্থীরা নির্বাচিত হয়েছেন
71c1852509	ad050	একজন গ্রাহক
71c1e058c3	bdfc1	পাল্লা ভারী
71c1f667f5	d2faf	লোভ দেখিয়ে
71c1fd86cd	32c77	যুক্তরাষ্ট্রের একজন অর্থনীতিবিদ
71c26c6cae	38d3a	চলচ্চিত্রের মান বাড়বে
71c36b6dee	93bf3	বোলিং করেছি নেটে
71c3987b2e	dafb6	অভিধানের চাহিদা বেশি
71c3ce140b	86b1b	নিজেদের সামর্থ্য অনুযায়ী
71c40182d5	a1d4a	বড় মাপের নেতা ছিলেন
71c466ec92	4a67e	সম্পাদক ফয়েজ
71c4d3b7f3	2909b	মন পবনের নাও
71c50deae2	509f6	বাংলাদেশের মাধ্যমেই
71c53cd9e8	43199	তাঁর নাম আলোচিত হচ্ছিল
71c5f319a9	2de86	সরকার গঠনে
71c6004a14	0744c	স্বাধীনতা বিরোধীরা শেষ কামড় দেবে
71c6a222f5	66b3c	ইউক্রেইন রাশিয়াকে এ হুঁশিয়ারি দিল
71c6b96fd6	f6e55	চার পাঁচ হাজার বৎসর পূর্ব্বে
71c7b6137a	9642e	ধর্মের প্রকৃত শিক্ষা হানাহানি নয়
71c7d64c4d	2b883	নির্বাচিত চেয়ারম্যান ও ভাইস চেয়ারম্যানরা
71c868ba11	44322	৭১ হাজার টাকা করে দিয়েছে
71c88bd23e	29bab	আগামী দুইমাস চলবে
71c893d65b	1e7c7	একটি ১১/০.৪ কেভি লাইনের
71c8e3205c	717bb	আজ সোনাগুলো
71c9618e20	06527	জহুর আহমেদ চৌধুরী
71c9d6fd32	4ea73	মন্ত্রীর দাবি
71c9ecc7ce	3d17c	সে সময়ও তার স্বাস্থ্য নিয়ে
71ca07b9dd	577fa	মেহেরপুরে তাৎক্ষণিকভাবে আয়োজিত
71ca166e92	e6d83	অনন্ত সিং
71ca19fd88	9b864	তাই আমাদের এত ভোগ হইতেছে
71ca4af3af	06e62	উপ-পরিদর্শক এসআই
71ca94ec06	3bb15	লালনের চোখে
71cb1aeafe	91230	তখন সেনার মধ্যে
71cbf29c7e	bdd05	এলাকাবাসীর অভিযোগ তাকে
71cc540c9a	eaa7a	তার মানে এই না যে
71cc855a6a	23291	নিখোঁজ যাত্রীদের
71cc97e80f	95907	দোষী প্রমাণিত হলে
71cd786bf3	9d46f	বল পায়ে
71cd949db4	1b359	বিয়ে করেন তিনি
71cda8fcb4	9e923	হোয়ার ইজ মাই অ্যালার্জি
71cdc1561e	fd880	বিডিজবস ডটকম লিমিটেড
71ce1261e5	06527	আর কেউই ছিলেন না
71ce391450	84145	কলেজ
71ce4ebc70	2de86	লেনদেন করে থাকেন
71ce667fac	e31e7	উঠতে পারে বলে
71ce74e5d8	09b32	আমেরিকান পর্ণো অভিনেত্রী, মডেল
71ce7c39d8	92f59	কলাকৈবল্য এবং আত্মজৈবনিক কাতরোক্তিই
71cf0ddac6	d2faf	আওরঙ্গজেবের প্রধান সেনাপতি
71cf2ba946	07660	বাংলা
71cf2c4355	eecdd	বসিয়া থাকিতে পারি
71d026aa9f	80e98	আমি জানিনা
71d09050c7	60b9d	বৈদিক গ্রন্থে পাওয়া যায়
71d0c8709f	ec91c	সিলেটে থাকতে শিখেছিলেন
71d0cc2d00	a274b	স্ত্রীর ভূমিকায়
71d0e261fc	b52ab	তাকে সংযোজন বা প্লেসমেন্ট বলে
71d0f3cd87	a1201	এরা সবাই
71d111c825	72649	আক্রমণ করতো না
71d15a2d82	d2294	সরকারের কোন কাঠামো নেই
71d15a5a9a	ad050	সবাই মূলত শেষদিকেই
71d179eb6d	64092	ইঞ্জিনিয়ার আরো বড় কিছু
71d1b1264f	943de	ইসলামী পরিভাষায়
71d207011c	5dd61	তারপর বিচার করে
71d29c9c61	c173f	আমি কারও কথাই মানিনি
71d2b7b316	03284	যিনি গ্র্যামী এওয়ার্ড এর
71d2c7a66c	5d12f	যে কোনো কিছু হতে পারে
71d332f8c1	28bb3	তিনি সরকার নন
71d3ba7bfb	c958a	গনোরিয়া
71d49422d5	95907	অঙ্গমলী, ভারতের
71d4c8a37a	f2b7d	পাঠ করবেন রানি এলিজাবেথ
71d518d2ce	3fce2	যদি ব্যবস্থা থাকতো
71d5443584	79b06	নিজেদের পরিচয় তুলে ধরেন
71d5b799c0	f0f95	১ জুলাই থেকে
71d618b832	28dfc	গলা তুলে বলেন
71d70ed1d4	e55de	সরকার গঠনে
71d70f645a	01e91	অপরাধ নিয়ন্ত্রণের জন্য
71d7a516fd	3c897	গতকাল নানা আয়োজনে
71d861a3fd	404ee	নতুন প্রশ্ন উত্থাপন করেন
71d9b22233	91ac1	সে এখন কী করবে
71d9b902b3	10a9f	কবিদের বাণী
71d9ebcac3	13b70	স্বার্থপর
71da1e6a63	75626	সাংঘর্ষিক
71da4c14de	06e62	১৭৮৮ সালে দক্ষিণপূর্ব অস্ট্রেলিয়ার
71daebc512	3faff	প্রধান শিক্ষক স্বীকার করলেন
71db151c39	5d12f	যে সদস্য দেশগুলোর এই প্রস্তাবে আপত্তি আছে তাদের বক্তব্যকে আদৌ আমল দিতে চাইছেন না।
71db3a032f	bbb22	অপুর পাঁচালী
71db3a9254	e50f1	তিমি এখানে জ্বরে ভোগে বটে
71db4df1c8	b8fe1	ডিসিসি আইনে কোনো আমলা
71dbb4702f	e6203	মেনে নেয়নি
71dbedb64d	ef915	প্রস্তুত হচ্ছেন
71dc1b5047	29bab	মামির লাশ দেখি
71dc83e8c9	f1240	গামছা দিয়ে ঝেড়ে
71dc98e9b8	c41d8	বসন্তের দাগ-মুখ
71dcde0154	2f547	চাঁদপুর-লাকসাম রুটে
71dd551f65	d1a48	তিনি বিদেশের ঠাকুরদিগের প্রতি
71dd6bce2f	4e900	শ্রমিক অধিকার
71ddad337a	3ec4d	জাফর ইকবালের
71de0e9272	23b22	যখন সবাই উবু হন
71de96c61f	ce180	অর্ধেক রাজ্য
71deb766cd	32998	নারীর ‘আত্মবিশ্বাস’ ভেঙে গুঁড়ো হয়ে
71df2ec2b1	53396	শিল্পীদের ওপর
71df2ffb34	351dd	সুনিল গঙ্গোপাধ্যায় এর কবিতা
71df46e5b9	7f2ef	তাহলে চাকরিতে
71df7f3197	82926	বিল্লালের পারিবারিক কলহ চলছিল
71dfa8344b	16e96	মাগরিবের নামাজ পড়েই
71dfd17c50	ea8fa	দক্ষিণ কোরিয়ায় পরীক্ষামূলক
71e005ae3a	1a2a1	বক্তার অর্থ বলতে
71e05d2438	11de3	ঢাকায় থাকেন শহীদুল ইসলাম
71e0a5a8ab	44322	আগ্নেয় শিলা এক প্রকার
71e0b4dbd1	6c6bf	কথা হয়েছে বাংলামেইলের
71e0e22724	68549	কিছুদিন যেতে না যেতে
71e11ee01a	967fd	কাজ করায় অভ্যস্ত নয়
71e16f15dd	6973e	নারায়ণগঞ্জের লিংকরোডে
71e18183c0	06e62	১২ আগস্ট ২০০৫ এ তাঁর দেশে
71e1bcc23b	16cfb	রবীন্দ্রনাথের উপন্যাস ‘নৌকাডুবি’ অবলম্বনে
71e2501b73	9f25e	আর রাশিয়ায় উৎপাদন-প্রক্রিয়ার
71e2874fb4	db181	তৃতীয় অধ্যায়
71e287cfd2	95f83	চলাচল করতে হচ্ছে
71e325a6c4	3faff	দল বড়
71e37ca7dd	b9122	আইবিএম হার্ডওয়্যার
71e43c5fff	7b900	বাংলাদেশ থেকে প্রথমবারের মতো
71e4fdec3b	e03ce	হাসতে হাসতে
71e52d2906	e3d8b	তাদের মধ্যে সকলেই
71e5907b79	809cd	প্রকৃত তাৎপর্য্য এরূপ নহে
71e5fadcd0	6c17f	ধারাবাহিক প্রসার
71e69da01f	e03ce	ঠিক উত্তর দিই নাই
71e6cb522d	cfc65	সুইজারল্যান্ডে বাস করলেও
71e700232a	15a75	শাপলা চত্বরে তৈরি
71e7122731	410fa	নিজেও নির্দেশনা নিয়ে অনেক নাটকের
71e73f3699	37e17	কেন এমন সিদ্ধান্ত
71e776daee	fdcba	স্বীকৃতি না দিয়ে
71e7d28f8c	a8710	তাঁর আসল নাম
71e8098fbf	e3d8b	আর বিষাদে মলিন
71e87aa564	af81d	মন্ত্রী এই তথ্য দেন
71e8a7fde0	e6752	এ-বিষয়ে যে-তথ্য পাওয়া যায়
71e8bb4539	bbb22	একই সময়ে ঋণপত্র নিষ্পত্তি হয়েছে
71e90548fe	f280a	পড়ে থাকতে দেখা যায়
71e90ce308	13b6a	ইংরাজী পড়িয়া হইয়াছে
71e9512642	f600a	এদের মধ্যে থেকে ৫ জনের
71e965073b	cb1aa	লবঙ্গ
71e9c5f25c	0606d	শিশু নির্যাতনের ভয়াবহ চিত্র
71ea241a2e	b52ab	তাদেরকে স্থানীয় গ্রামবাসীরা
71ea384f18	9282d	অনার রোল স্টুডেন্ট হিসাবে
71ea43791e	ce180	যা ব্যক্তি-সমাজ-রাষ্ট্রীয় জীবনে
71ea57e4d1	84145	তাই দেখা যায়
71ea68f90e	b5fdc	অব্যাহত থাকতে পারে
71ea87a133	1279e	দিনহাটা
71eac87664	58998	তাঁর গল্পে
71eacf0c35	8cf95	বয়স্ক হননি
71ead75c0a	7b103	তাঁকে দেখে
71eb002453	13b6a	শিক্ষিত সাধারণের মধ্যে
71eb2a1935	4237e	পর্যটনের অবদান ছিল
71ec5c6893	e9589	তাই তুমি করতে পার
71ed6198ac	42898	তাঁরই সূত্রে
71ed746d39	121bd	এছাড়া রাজধানীর বিভিন্ন গুরুত্বপূর্ণ স্থান এবং প্রধান প্রধান সড়কে সতর্ক অবস্থানে রয়েছেন আইন-শৃঙ্খলা বাহিনীর সদস্যরা।
71ed8f2c6a	66b3c	সহযোগিতায় সদাপ্রস্তুত
71edc3ab1b	6b437	বোমা বিস্ফোরণে
71ee3f3183	24f73	মাস্টারমহাশয় শুনিতে পাইলেন
71ef2e460e	23291	বাংলা অভিধান বইটি
71ef802b62	53396	শিশু ও প্রাপ্তবয়স্ক
71efb14071	f6e55	যত দূর মনে পড়ে
71efd48f69	491a5	তবে বিভিন্ন সংবাদ মাধ্যম
71f01a8be1	5639c	এবং মুচকি হাসি দিয়ে
71f07fdd07	d82d9	তাঁদের সাধনার মধ্যে
71f0d92afb	66dcd	তা দেখার পর
71f1610247	80be1	উন্নত ভবিষ্যৎ
71f18e183c	f9dfb	সেই আশাতেই
71f192a966	80539	পীরফকিরের দোয়ায় নাকি বেঁচেছে
71f195e650	5639c	সংগঠনটির পক্ষ থেকে
71f1cd8a5b	b8bf0	যদি সিনেমাটি সফল না হয়
71f206b1dc	1a2a1	দক্ষ প্রজাপতির কন্যা
71f241bfdc	3f493	রাত দেড়টার দিকে
71f2d45dce	943de	১৮ বছর
71f2dae7a1	11de3	চা হাতে আসতেন
71f338916c	351dd	কেউ ইরাক থেকে
71f3441e1c	bc81e	নির্বাচন পরিচালনা কমিটি বলছে
71f3b94dd0	b2a62	দীর্ঘ সময় ধরে
71f47f9c57	65652	বাতাসে নড়ে,
71f4b74255	88654	চিৎকার করে বলতাম
71f4d3207a	ff0fe	মেক্সিকান ইউরোপীয় সাহিত্য সমৃদ্ধ
71f4dfd4ef	3fce2	ভ্রূণের রোগ সম্পর্কে জানা যায়
71f51c3954	f89d7	স্বামী বিবেকানন্দ
71f5389034	7b60a	আপনাদের থেকে
71f554a870	e2ba2	নিবারণে ডিএনএ প্রযুক্তি
71f602d6d7	195f7	একটা কাহিনি
71f623cc94	56508	মুখ চাওয়া-চাওয়ি করতে লাগলেন
71f62b3ec2	58998	লালন ভাস্কর্য ভাঙার প্রতিবাদে
71f6410658	ad69a	আজান
71f6466f2e	43fc0	অতিবাহিত হয়েছে
71f6a6c6e5	85430	শরৎচন্দ্র চট্টোপাধ্যায়
71f6ab99ad	c4973	স্থগিত চেয়ে
71f6d64fde	cb842	বাম্পার কার্ড নামে
71f7410f85	b9a81	মনপ্রতি দাম পেয়েছেন
71f76255f5	0744c	সাম্প্রদায়িক দল হিসেবেও
71f7adc47b	25696	না হওয়া পর্যন্ত বেক করুন
71f7fd3ad0	23291	আগ্রহ বাড়ছে মানুষের মাঝে
71f7ff6199	24f73	আকাশের পানে
71f94a81b2	6c6bf	সেখান হইতে
71f95ad7fd	75f18	রোজ এগারোটায় গেট বন্ধ হয়
71f993b28d	355c1	পুরো এলাকা
71faa01af2	7b900	পরিচালিত ঠিকানা সিনেমায়
71faea8fed	745b7	কর্মকর্তাদের কাছে
71faf9c5e5	e2ff7	৮-১০ বছর
71fb0988b6	24aed	জ্বলে ছিল
71fb123020	f2b7d	আরও বাড়তে পারে বলে
71fb2ef6cb	b00ba	লজ্জা উপন্যাস প্রকাশের পর
71fb7a9c82	e55de	একদম ফিদা
71fbc3ab8e	903fa	তা না হলে
71fbcdcf9c	fd880	তারপরও শাবনূর
71fcb84ad3	ced74	এই লাল পাখিটি
71fd0b52d2	7a227	গত ২৫ জুন
71fd34201c	3faff	কাজ হয় নাই
71fd79a6c4	d136b	নওশের আলী খান
71fd999101	32c77	আবেদন করেছেন রিটার্নিং কর্মকর্তা
71fde19764	b00ba	কিছু সুবিধে হচ্ছে বলে
71fe1e19b7	21e54	মাগফেরাত কামনার পাশাপাশি
71fe2df73e	37d7e	রাত কাটাচ্ছি
71fe2edb2e	ad98d	মি. হকের সাথে
71fe545af4	1652d	২০০৬ সালে চাষী নজরুল ইসলাম পরিচালনা করেন চলচ্চিত্র ‘সুভা’।
71fe89d785	49543	এবং তাদের
71fe94a304	a06a1	সরকার ও বিরোধীদের
71fee25aa8	dafb6	দিন ধার্য করেন
71ffbb8fd9	a7c6f	আমরা প্রাণভরে গেয়েছি
71ffcd68ee	dec2d	সত্যভামাকে পাওয়া যায়
