9a000c5ceb	18a52	এখন বরেন্দ্র ভূমিসহ
9a7b83ae4d	54e68	মহাদেব সাহার কবিতা
9a7b841938	31f09	স্পেন পতাকা
9a7c19dac7	8ba2b	হার বেড়েছে
9a7c9e6054	d9081	হিউম্যান রাইট্স
9a7d680ba5	5354e	ঘরের দরজা বন্ধ করে
9a7d800315	14d25	বৌদ্ধ জাতক থেকে শুরু করে
9a7d9e9d41	e8dde	শিশির পুরো বিষ
9a7db49a15	5cb47	তথ্য জানান
9a7dd019aa	ac0df	গুরু
9a7dd3f250	92bb2	এ সময় সুবহানের আইনজীবী
9a7debf34c	c958a	চাকমা উপজাতি
9a7e44685d	85430	দীর্ঘদিন তালিম নিয়েছেন
9a7e48dfaa	43199	বাংলাদেশে ঈদের কেনাকাটায়
9a7f073c1b	1c618	রায়হান ও শহীদ
9a7f453c88	5b13f	বলেন মি. মাহমুদ
9a7fc23e6c	68549	স্বাভাবিক রয়েছে
9a7fc915ca	16e96	অন্যান্য শাখাগুলির সঙ্গে
9a80232927	404ee	বিএনপি নেতৃত্ব নিশ্চিত
9a803bae45	eaa7a	পেশার এবং রুচির
9a81004231	8cf95	১৮০০ সাল পর্যন্ত
9a818e95e4	2de86	কী সুখই না এরা পেয়েছে
9a821369dc	a0277	পানি ছাড়তেই হবে
9a821d5f0d	3fae0	সত্যভামার নাম নাই
9a82c8825e	c11b1	বাংলাদেশের খেলোয়াড়রা ঘরোয়া ভাবে যত বেশি তিন-চারদিনের ম্যাচ খেলবে তারা তত বেশি উন্নতি করতে পারবে।
9a82e2ae86	a3a6d	ঐ সংগঠনটির প্রধানসহ
9a8331b383	b4ea7	সকলেই চক্ষুস্থির
9a836d1cd8	8c07c	বিশ্বব্যাপী সমাদৃত
9a847b3704	7df87	তখন কেউ থাকবে না
9a848d70a2	c0965	বলাৎকার
9a84ba743e	6c17f	বাড়তে পারে বলে
9a85a37fc6	2fe3c	কোনো কারণে
9a85c1ea63	66c6b	শেষ আটে ওঠে
9a85d60c7a	ce180	তিন কনস্টেবল
9a862329d9	91ac1	প্রধানমন্ত্রীর অর্থ বিষয়ক উপদেষ্টা
9a869674e1	b8bba	তুরস্কের সরকার তিন দিনের
9a8722dc3f	dae88	ভাইস চেয়ারম্যান নির্বাচিত হন
9a87fc033d	e6e48	কমিশনার মোহাম্মদ শাহনেওয়াজ
9a8814ae4e	153c9	তার নাক জ্বলে যেতে লাগল
9a8852a894	84145	একটু বেশি স্নেহ করতেন
9a885f0b85	6da0a	ছবির নাম
9a88f27672	80e98	এক পুলিশ কর্মকর্তা
9a88f35ef7	db735	কিন্তু জনসংখ্যা বেড়ে যাওয়ায়
9a892a04a4	f658d	তিনি নিয়ন্ত্রণ হারিয়ে
9a89a560b4	7a227	তার সঙ্গে আমার কোনো
9a89bbcdb7	6aac8	বিভিন্ন গলিপথে লুকিয়ে থাকা
9a89ee8848	c6848	হতে যাচ্ছে টি-টোয়েন্টি বিশ্বকাপ
9a8a377e12	a4750	গুম, খুন, হত্যা
9a8a85cf0e	75936	সব দড়ি ছিঁড়ে ভাগত
9a8ae5a5d7	b8ed8	তাই তাকে সামাল দিতে
9a8b1ff799	ad050	মূল রচনাগুলির
9a8b23a644	91230	আলমারি খোলেন
9a8b7a1e9e	aa820	চালিয়ে তো নিয়ে যাচ্ছেন
9a8c159c34	72649	তা অবশ্যই পরিবর্তিত
9a8c331567	d1b12	সত্য বচনগুলি
9a8cf3305b	33814	গুরুত্বপূর্ণ ভূমিকা রেখেছেন
9a8cf9e1fa	06736	বসে থাকতে হবে কেন
9a8d38fab0	d1b12	জব্বার বলেন
9a8d8e3bb0	5cb47	রাজনৈতিক জনসভায়
9a8e12acf7	536d9	যুক্তরাষ্ট্র ও যুক্তরাজ্য
9a8e9fd288	b2a62	তাদের প্রশ্ন
9a8ee8f642	47e8d	সহিংসতার খবর পাওয়া যাচ্ছে
9a8f545c21	0e637	এল্যানের সঙ্গে
9a901cb139	b2a62	চুপচাপ স্বভাবের ছাত্রী
9a9071a530	d2d71	পাঁচজন এখনো জানেন না
9a90e4e6a5	b8ed8	বাংলার কাব্য বিকাশের
9a91082cd0	1b359	কিন্তু তাঁর এক
9a91d10b4d	ca831	তাঁরা জানাচ্ছেন
9a91fc94dd	c7705	গৃহ-শ্রমিকের কাজে
9a920fc43e	9282d	আতিথেয়তা দেখলে বোঝা যায়
9a922c4e49	8b859	এক লক্ষ আটান্ন হাজার আটশ তিপান্ন
9a92abd2ed	2556b	১৮ বছর বয়স থেকে
9a93233d78	7b900	বিশেষ প্রতিনিধি
9a933aec06	e2c11	তাকে পিটিয়ে হত্যা করে
9a93447def	a916a	সীতা
9a938c23d9	7e1d5	অপটিক্যাল যোগাযোগ মাধ্যমে
9a93b1d383	dfefa	নারকেল গাছটি পড়বে
9a944cc3c1	a3a6d	দোকানের বাইরের অংশে
9a945f9bfb	b7be9	এর পরে লিখলে
9a94c69554	8c120	আরও ছয়টি অভিযোগ
9a952484e5	4164f	গানের কথা
9a95533584	274ee	তাদের কাতারে
9a956239c9	274ee	১৮৫৯ থেকে ১৮৯৯ সাল পর্যন্ত কুকি উপজাতি সম্প্রদায় বহিরাগতদের বিরুদ্ধে বিদ্রোহ ঘোষণা করলে বিপুল লোক হতাহত হয়।
9a9591aa92	7ec1c	একটি রাজনৈতিক দলের
9a9593db3a	c3cb3	ধরা পড়লে
9a95a1cb75	a46e2	দেশের জনসাধারণ
9a95f2f3b6	29089	কেন্দ্র করে সহিংসত হামলায়
9a9601ce99	3ec4d	তোমার সঙ্গে আমার কথা আছে
9a964711c3	16877	রক সঙ্গীত শিল্পী
9a96570da7	ee4ad	ফরিদ আহমেদ এর প্রতিবেদন
9a9678222f	d2d71	সময় খবর
9a97583b45	0bace	প্রস্তুত করেন
9a976621d6	9f25e	চিকিৎসা
9a97dcda51	ec91c	জোগাড় করেছেন
9a980e44c6	e2f12	সহজ জয়ই পায় ভারত
9a981392c7	0d8c1	এছাড়াও রয়েছে
9a993300a1	420df	আকবর হোসেন খানের জবানিতে
9a99b62a1a	b00ba	প্রায় ৩০ লাখ মানুষ
9a99f3f2d3	10a9f	ওই ঘটনার প্রতিবাদে
9a99fe833a	23291	কলকাতা বাংলা মুভি ২০১৪
9a9a5294e8	f1ea4	এখন ধুলো কাদায় মিশে
9a9a607708	0bace	বাঙালি তাঁদের প্রিয় সাহিত্যিকদের
9a9a716818	16a17	শিক্ষার্থীদের হল নির্মাণ
9a9b1b8b37	f1ea4	মামলা সমাপ্ত হয়
9a9b36055d	fcefa	মঞ্চে আনে নান্দনিক
9a9b39a295	5639c	হরতাল ডাকার কথা
9a9c03d8a9	0e637	সার জমিন শুরু হবে
9a9c87753a	6b437	আমি যখন ক্লাস টেনের ছাত্র
9a9ceb6f8b	b8bba	তা এখনই নিশ্চিত করে
9a9d583105	1a2a1	ডিমের কুসুম ফেটিয়ে
9a9e1711aa	d71a3	মাতাল তাহা ছাড়িতে চাহে না
9a9e21e11b	e2ba2	তাই করেছেন মা
9a9e258fa8	09f0d	অন্যদিকে যুক্তরাজ্যে
9a9eadfc42	e3d8b	দেশ রসাতলে যেতে পারে
9a9ec5ea05	43b04	মো. নুরুজ্জামান
9a9ee75818	da6f0	তিরিশের শেষদিকের এই কবি
9a9f00ca83	f6e55	আজ ভোর থেকেই
9a9f94aa8e	80518	সংস্কৃতি বিকশিত হওয়ার বদলে
9aa02b40fb	967fd	কিছুটা সমস্যা তৈরি হয়েছে
9aa0896e88	ff1eb	স্বজন হত্যার প্রতিশোধ নিতে
9aa0b133a9	60b9d	শিল্প খাতের প্রবৃদ্ধি
9aa0cf40b8	194f5	শেষ পর্যন্ত কাঁধে করে
9aa0ea656d	25117	তিনি হুশিয়ারী উচ্চারন করে বলেন
9aa1299e01	68ab7	খাজনা আদায়ের দিন
9aa148934d	ba2f6	মন্টেগু পরিবারের বুড়ো কর্তা
9aa1536e33	a06a1	ভারতের দুটি পূর্ণাঙ্গ সফর ছিল
9aa158a5b3	f29bf	পেয়েছেন ২৬ হাজার ২৫৯ ভোট
9aa170daab	29f8c	মৌসুম শেষে
9aa366a2b2	4e900	জিতে এসেছে সিনেমাটি
9aa376be4c	1a2a1	স্বজন হত্যার প্রতিশোধ নিতে
9aa3816524	4fbd1	খুচরা বাজারে
9aa3c6114f	8edea	অক্সফ্যামের অস্ত্র নিয়ন্ত্রণ বিষয়ক
9aa3e4b7f2	f837a	বিপ্লবীরা কখনো
9aa3fbc07e	af81d	কলেজের প্রধানগণ
9aa4be4225	38ff0	মনে হয় না
9aa58c16c6	3d17c	সাধুবাদ জানানোর পর
9aa59d7c08	09f0d	এই সহিংসতার নির্দেশ দিচ্ছেন
9aa5c4067a	0f047	অন্য কিছুর খোঁজ করেন
9aa5cbb353	aa820	পিটুনি শিকারও হন
9aa6101d0d	b9b98	ভেঙে পড়ে
9aa651c4da	66dcd	রাজনৈতিক অস্থিরতা না থাকলে
9aa72211ae	1de6c	বিদুর তাহা নহে
9aa74756ca	7b900	যেইখানে যাইয়া
9aa761d66f	66b3c	মা মেহেরুন নেছা
9aa89dc211	28bb3	অর্থকষ্ট আর অন্নকষ্টে চলছে রানা প্লাজায় নিহত শ্রমিকদের পরিবারের জীবন।
9aa8b1a5a4	ee7b2	যোগ করিয়া শেষ করিব
9aa8b9eb54	37d7e	অর্ন্তভুক্তি হয়
9aa9606d12	84145	কই মাগুর
9aa967bee0	9e923	এই খাল খননের কাজ
9aa995c903	4ea73	অসমীয়া শব্দের যে
9aa9ad8561	086dd	তারাই ষোলশহরে ছিল
9aaa240881	698ff	আমাদের দেশের নারীরাও
9aaa99917a	2695f	সাহেব-মেমদের গেস্টহাউসগুলোতে
9aaab8f4c5	274ee	ডঃ অচ্যুত সামন্ত
9aaad42df7	75936	লেবানন থেকে
9aaafe9583	58998	তাকে আটক করা হয়
9aab8012bb	e2ba2	আমাদের উন্নতির আদর্শ
9aab8ded8e	6c6bf	অনেক ঘন আর ভারি
9aab9ad51d	b4ea7	মুগ্ধ হয়ে তাঁকে
9aaba8369c	52578	এসব ভলকানো পাহাড়
9aabd0412a	730c3	অগ্নিমিত্রের উল্লেখ করেছেন
9aabf97cd0	d82d9	সুব্রত রায়ের বিরুদ্ধে
9aac268ff1	33aef	বাংলাদেশের ওপর পড়তে পারে
9aac43e5b2	491a5	ক্যাটরিনা কাইফের নাম
9aac6f3b75	3bea8	সাড়ে ১০টার সময়
9aacb67934	e68af	আগামী সপ্তাহে এই স্থানেই
9aacd8e4c3	ef4f8	বরং আজ যেন
9aacecfc68	f4ba7	গান-গল্পে তিনি জানালেন
9aacf6678f	0d9f1	বাঙ্গালার অবস্থা আবার ফিরিয়া
9aad6bb608	c41d8	আমাদের মনে হয়
9aad6c1ac0	91b16	সে লক্ষ্যেই
9aad78fa1f	323f1	অবস্থিত একটি রাষ্ট্র
9aae06031f	dafb6	বলে জানান তিনি
9aae179842	a699c	জীব মানবের গতিশীলতা
9aae982b2a	1c618	সেইজন্যই তাদের পক্ষে
9aae9db8c5	f2b7d	অরবিন্দ ঘোষ
9aaed29a8d	c11b1	সমাজের নানা কুরীতি
9aaeeddc45	7351e	রাস্তা অবরোধের
9aafa61d6d	b78ec	মজুরী বোর্ড কাজ করছে
9aafaa29af	6aac8	তারা আরও পশ্চিম ঘেঁষে
9aafd36553	410fa	খাওয়ানোর কর্মসূচী
9ab039b817	3ec4d	জরিনা
9ab03ec7c8	95907	কেন্দ্রীয় ব্যাংকের তথ্যানুযায়ী
9ab03f2353	8a46d	অপেক্ষমাণ রাখেন ট্রাইব্যুনাল
9ab04bcd7f	3fae0	পরিবারের জন্য
9ab0b98568	f1ff2	ট্রাইব্যুনালের রায়ে আটটি অভিযোগ
9ab0beda34	5b13f	ব্যাতিক্রম হচ্ছেন না
9ab0cabe40	ff1eb	দেয়ার ব্যাপারটি নিয়ে উদ্বিগ্ন
9ab0d270b7	ef915	নবম জাতীয় সংসদে ছয়-সাতটি দলের প্রতিনিধিত্ব ছিল।
9ab0d86b22	14d25	নিহতের জামাতা রঞ্জিত দেবনাথ
9ab0de287a	91223	বিবেচনা করেন না
9ab13ea378	16e96	কার দিকে গেলে
9ab1dde8a2	d82d9	আম্মু
9ab226b2c1	d71a3	অগ্নিবীনা উৎসর্গ করলেন
9ab2d0e5c0	f658d	এসবের পরও ৪৩ বছরের রাহুলই
9ab3615b47	e6e48	১৫ ফেব্রুয়ারি দুপুর পর্যন্ত
9ab389bf95	cd3ac	নভেম্বরে আরো কমে
9ab3b02c92	121bd	মি. মাহমুদ বলেন
9ab3b93032	f2097	কিছু তথ্য প্রমাণকে
9ab432aee3	f1ea4	ঘুরে বেড়িয়েছি, শপিং করেছি
9ab4cf2ba0	32b3e	অগ্নিকান্ডের কারণ বৈদ্যুতিক শর্ট সার্কিট বা নাকী অন্য কোনও কারণ রয়েছে সে বিষয়ে পুলিশ এবং ফায়ার সার্ভিস অনুসন্ধান করছে।
9ab51612d6	a4750	পুরুষের প্রয়োজনেই
9ab55701b4	f4ba7	মতিলাল শরবোরণ সাহেবের
9ab5762b4c	698a4	দিনের প্রথম বলে
9ab60cd682	7df87	প্রতিদিনের ইফতার
9ab63e1ac4	42898	অ্যারিষ্টটল লিখেছিলেন
9ab649bc24	3c897	এদিকে ব্রিটেন কী পদক্ষেপ নেবে
9ab66b12e7	2bd99	২৯টি দল পর্যবেক্ষণ করবে
9ab672d0a8	59c73	আবার ইহাও বলি
9ab679bcdd	7b60a	বুঝতে হবে দিল্লিকে
9ab6c7e4d1	eaa7a	উভয় পক্ষের শুনানি শেষে
9ab6e7fc2b	7aed9	দুপুর সাড়ে ১২টায়
9ab6f7a0de	3ccf1	রুমানা
9ab8849efe	c749e	আলী হায়দার, রওনক আরেফিন
9ab892e1c6	491a5	গুম, হত্যা
9ab8a2bb24	086dd	উচ্চস্থান পুনঃপ্রতিষ্ঠিত হয়
9ab8b84add	f29bf	জীবন কাটাতে থাকেন
9ab8e51b7c	16a17	পরিচালনার প্রস্তুতি সম্পন্ন হয়েছে
9ab8e5ad7d	e43d4	সেই বাঘা বেটা আবার
9ab90d4199	1279e	বুধবার বিকেলে
9ab9a6ff11	4fc91	প্রতিষ্ঠানটি চালু করেন
9aba018e29	3f493	এখনো তাড়া করে বেড়াচ্ছে
9aba35dc9d	d82d9	এটা কোনো
9abafde9b3	29d44	বেছে নিতে পারে আইসিসি
9abb1790c2	92bd8	কারাবরণ করতে হয়েছে তাকে
9abb1e93e4	29bab	এ আই ইউ বি লাইব্রেরীতে
9abb38ad84	b78ec	এ ধরণের ক্ষেত্রে
9abb53a9f0	2ad74	গ্যাসের প্রয়োজন থাকলেও
9abb7b7900	fb4cb	ঝাঁকুনি কি করে দেবো
9abba797d3	ec91c	বস্তু অন্তর্লিখিত আছে
9abd3678ad	6c6bf	গভীর ঘুমে আচ্ছন্ন
9abdb08d79	57d54	অফিসের নিরাপত্তা প্রহরীদের
9abdd45a99	520fb	দু দফা বিদ্যুৎ বিভ্রাটে
9abe0fb9a7	dfefa	অবস্থান করবেন' বলে জানান
9abeaf058c	9351a	সেও সোজামুখে যায়নি
9abed1c4aa	b8ed8	গৃহায়ন ও গণপূর্ত প্রতিমন্ত্রী
9abf2b57b9	730c3	এবং ঘরোয়া লীগেও
9abf2b743a	0a87a	সোমবার প্রথম দফার নির্বাচনে
9abf64910d	5dd61	পবিত্র শবে মেরাজ
9ac01316ac	a916a	যখনই তিনি আমাকে ডাকিতেন
9ac059b0e9	72649	বাবা নাই মা আছেন
9ac08bbdc7	e89bb	তিনি বিখ্যাত
9ac179b92f	29d44	দেখা দেবে পিঁয়াজের
9ac1aa218b	0f047	ঘুমের মতো
9ac1ce2fce	1c618	তখন আকাশচুম্ব
9ac244a48a	17ca1	পশ্চিম বাংলার পাশাপাশি
9ac249282b	43fc0	এবার একা পেয়েও
9ac287e79d	c3cb3	বিদায়
9ac2b01cd1	bbb22	গরুরিয়া গ্রামের আম্বর আলীর মেয়ে
9ac2c59560	3d17c	ছোট্ট এই দ্বীপটির নেই
9ac330713e	09b32	এবারের টর্নেডোতে ক্ষয়ক্ষতির পরিমাণ
9ac3778d9f	80539	নামের একটি রিয়েলিটি শো এর
9ac3a0c0b6	698a4	এ ড্যাম নির্মাণ শেষ হলে বাংলাদেশ পানি শূণ্য হয়ে পড়বে।
9ac46081a9	2ee04	বসবাস করে
9ac4f540c8	9c8dd	তোমরা ভালো কাজ করেছো
9ac5a72c9f	29089	যে কোনও মুহূর্তে
9ac5e8c81b	08458	বারবার তার কেটে ফেলা
9ac5eb8ee4	e6d83	দলের একজন সিনিয়র নেতা
9ac5fdcbc1	eb179	অফিসার অংশগ্রহণ করেন
9ac63bbdeb	32c77	ও ক্লান্ত হয়ে পড়ুক
9ac640f866	dec2d	হাসপাতাল, এবং পুলিশের রেকর্ড
9ac6f38736	03284	প্রথম উপন্যাস হলেও
9ac70ea056	cb1aa	সর্বোপরি ল্যাপটপ দেয়ার মধ্যদিয়ে
9ac74a6a61	5cb47	অনলাইন থেকে যে কেউ মানচিত্রটির পিডিএফ সংস্করণ তার স্মার্টফোন বা ডেস্কটপে ডাউনলোডও করে নিতে পারবে।
9ac827a93c	68ab7	বুধবার ভোর ৫টা ৩৮ মিনিটে
9ac85120ee	49543	ছিল না তার
9ac8790662	24aed	অসবর্ন ৬ষ্ঠ, ১০ম
9ac88882c6	68ab7	সুযোগ পেলেও কখনও
9ac9369cb3	809cd	হোয়াটজিন পাখিটি
9ac9dd75d9	5e80b	এই সম্বন্ধে
9ac9e1dc7b	809cd	পুকুরের কচুরিপানা সরিয়ে
9ac9fedab4	9813c	শ্রীলংকা মোট পাঁচ বার এশিয়া কাপ জিতলো।
9acad71473	c173f	কিন্তু জাতীয় সংসদে
9acae66847	693cb	শেষোক্ত ধারায়
9acb2ebd9d	15a75	ঘোষণা করব
9acb570900	49d63	নিহত এরশাদ
9acc17f0b8	7351e	ইলিয়টগঞ্জ থেকে
9acc47e4a0	6c6bf	নিরাপত্তা ব্যবস্থা নেয়া দরকার
9accfc711b	c5dc8	মুফতি ইজাহারুল ইসলাম
9acd37c89d	693cb	সম্পূর্ণ ভিন্ন এক জগত
9acd441ca3	cb1aa	১০ ট্রাক অস্ত্রের চালানের খালাস
9ace4109f2	cf82a	বিভিন্ন সড়কে দেখা গেছে যানজট
9ace599f0d	e31e7	আগামী ২৪ জানুয়ারীর মধ্যে
9ace9050d2	ce629	প্রকাশ করেছেন অংশগ্রহণকারীরা
9ace9e27db	ad98d	মনুষ্যের শিক্ষণীয়
9aced7bb49	8c07c	টুডে ব্লগ
9acf55b802	7d004	রাজধানীর উত্তরার
9acf5a3c70	4ea73	একবার বলে
9acfa582a0	ee7b2	হিজাব
9ad02e2606	93d3b	স্বস্তি মোবাইল ঋণ সুবিধার
9ad0682c24	ad98d	২৫ থেকে ৩৫ টাকা
9ad0d6c55c	c0d65	বাংলাদেশে ইতোমধ্যে
9ad14abdc2	91dff	এর পেছনে অবশ্য
9ad183e583	ac0df	ভালো করে শুনে
9ad3180f2b	cc9fd	একই রকম ‘খাঁকারি’ ব্যবস্থা
9ad340b084	16877	পুর্নবাসনের জন্য
9ad3868a49	948d3	গন্ধ চন্দন-কস্তুরী তুল্য
9ad3b66731	4486f	ঠাকুরগাঁও জেলা
9ad3bdce32	31f09	ওকে টুইস্ট নেচে
9ad40b65a6	698a4	আরও নানান বিষয়ে
9ad457f388	7c272	সময় সময়
9ad4a698ab	2d78f	অ্যানড্রোমিডা ছায়াপথ
9ad5459b85	f89d7	এই যুগলবৃক্ষ দেখতে আসেন
9ad63237b4	c1e30	মেয়েদের মুখে
9ad636549f	cb627	সরাসরি বিরোধিতা শুরু করেন
9ad688fb10	5354e	এ ধর্মীয় উৎসবকে ঘিরে
9ad69267e9	32998	বড় করতে পারতাম
9ad6a25df2	af81d	তেষ্টায় আমার
9ad6c17e72	f280a	অন্যদের ব্যাপক দূষণ
9ad6c7eccc	4bd2c	আইনে ডিগ্রি নেন
9ad6cec9b6	5b13f	এ বাড়িতে কেউ একবার মার খেলে
9ad6def624	616ec	রাজা যেমন সেকালের নবাবদের দেওয়া
9ad7084596	f1ea4	তাজা দুধের দাম
9ad7634b3a	7df87	আম আদমি পার্টির হাতে
9ad76cf38b	b78ec	বস্কের দোলাচলে ভাষ্য
9ad7acb904	c7a89	বছর শুরু হবে কবে
9ad7ddb565	d3e06	প্রথম অস্ট্রিক
9ad7fcc60a	c8f7f	বেশ ক’বার দেখল রানা
9ad82607c1	77f82	মোটা নয়
9ad8cedd18	bd576	১০ লাখ টাকা
9ad90229a6	256f5	নটরডেম কলেজের দিকে
9ad9b639c1	0b7ca	অনুষ্ঠিত হতে পারে
9ad9d2edd1	e9759	মামলায় আটক ট্রাক চালক সুবজ
9ad9e5d505	43199	বাইরে যেতে
9ada6e9e72	75f18	লিবিয়ার সংবাদ শোনার পর
9ada77de3e	c0d65	তবে আমার মনে হয়
9adaf6d5d3	0a7a0	তত্ত্বানুসন্ধান করলেন
9adb4f1887	32b3e	আজ ঘটনার তদন্তের
9adbed14aa	a46e2	এটি একটি নিরপেক্ষ প্রতিষ্ঠান
9adcc104cb	56508	ক্যামেরার সঙ্গে আপনার সখ্য
9adccdc7ca	46da4	শোষণ থেকে মুক্তির
9add16971d	bbb22	ওই অভিযানে
9add273562	75626	ম্যাকিয়াভেলিয়ান চরিত্র
9ade145cae	46da4	অপরাধী যারা তাদেরকে অবশ্যই
9ade3fe42e	6dff5	ঠিক তাই করেছে
9aded5c487	a4750	সাত খুন
9adef41d67	bd576	তিনি এককথায় অনুমতি দিলেন
9adf7c09b3	7d133	আমরা পাঁচ প্রকার, সাত প্রকার
9ae02c4ba5	9d7bf	প্রবাসী বাংলাদেশিরা
9ae09730cf	37e17	তৈরি করা খুবই জরুরি
9ae167c65c	66c6b	এনটিভি
9ae18416f0	06bb7	উপমহাদেশের অন্যতম পরাশক্তি
9ae1bd33c1	e00db	তিন ম্যাচের
9ae1e87651	b8fe1	একটি নতুন ফুটবল স্টেডিয়াম
9ae1f6e582	c7a89	এ তথ্য নিশ্চিত করেন
9ae25245c7	a3a6d	ইত্যাদি বিষয়কে
9ae279825c	5cb47	সে স্বামীর পিঠে
9ae2a232b5	ff0fe	অরুণাদেবী বললেন
9ae2d74920	e03fc	চার মনের বেশ
9ae3b9f658	14d25	সারা বাংলাদেশ ছেয়ে যায়
9ae3facb14	6973e	অনলাইন থেকে যে কেউ মানচিত্রটির পিডিএফ সংস্করণ তার স্মার্টফোন বা ডেস্কটপে ডাউনলোডও করে নিতে পারবে।
9ae41530e2	aab0f	আশপাশের এলাকা
9ae5ca5b41	4fc91	তখনকার সময়ে
9ae606769c	590d0	আদালত প্রাঙ্গণে
9ae696dc65	a1d4a	এলাকা জুড়ে
9ae7b5c079	91b16	দ্রুত শ্রমিকদের সরিয়ে নেওয়া সম্ভব
9ae7db08a1	ad69a	ক্রিসেন্ট জুট মিল মাধ্যমিক বিদ্যালয়
9ae80c32bf	9fa90	বিশ্লেষকদের অনেকেই মনে করছেন
9ae836c7ba	c7705	দিনের বেলায় ঘুম
9ae849f330	f0f95	কক্সবাজারের বিভিন্ন জায়গায়
9ae85dc3cb	bdd05	সিম
9ae886787a	5a61c	কিছু প্রয়োজন থাকে না
9ae8a5b856	fdcba	এবং মহিলাকে ধরে
9ae8ad214b	64092	সবুজ লুঙ্গিকে
9ae8b1dae0	3ccf1	৫০ হাজার টাকা
9ae8d9ce48	c11b1	একটি গোয়েন্দা প্রতিবেদন
9ae8e4a7e0	0edef	ছেলেডা নষ্ট হইয়া যাইতাছে
9ae90c337f	73629	দুই নেত্রীকে টেলিফোন করে
9ae96ab2cd	3bea8	তিনি জরুরী অবস্থা
9ae9bb5bc8	7f71c	বাংলাদেশে আট হাজারের বেশি
9ae9bf3a4f	bdd05	কেউ বলল না
9aea0eae34	bbb22	ট্রেন এলে মিজান
9aea470d7c	3fce2	দীর্ঘ সময় ধরে
9aeaaa975b	c958a	বিরোধী দল নেই
9aebe2e790	cfc65	প্রথম যে ভাষাবিদ
9aebfd0cb6	b8bba	বেশিরভাগ ছেলেমেয়ে
9aec636f9f	0d4cb	জোরালো আশাবাদ টিকে আছে
9aecdc744b	23b22	শূণ্য দশমিক ৪০ শতাংশ
9aed54a5f8	d7a68	অ্যাডোবি ফ্ল্যাশ হল
9aed5aaf3d	64092	কমেছে ১৪৫টির
9aedf9d1f0	943de	থানায় মামলা করেছিলেন
9aee00d009	07660	সাড়ে সাতটা বাজলো
9aee1f5983	31f09	স্বাধীনতা সংগ্রামে
9aeeb613be	430b2	চাকরি জীবন শুরু করেন
9aef333d6a	b8bf0	পরিবারকে সাহায্য করার জন্যই
9aef41bc5b	e9fa7	রচনা প্রতিযোগিতা ২০১৪
9aef4ba345	7c272	যে কোনো ব্যবসা
9af0053f46	32c77	ইলেকট্রনিক্স
9af006402f	f83df	কাস্টমস কর্তৃপক্ষ
9af01d2058	ce775	লেখালেখি হয়েছে
9af030059c	80505	রাজগঞ্জ থানার
9af0d585a2	fdcba	আক্রমণকারীদের সাথেই
9af0dd45ec	3bb15	বিভিন্ন ধরনের পোকা
9af0e0c302	6973e	অপরিবর্তিত রয়েছে ২৯টির দাম
9af0e36de6	ad69a	সর্বত্র দৃঢ়চিত্ততা আবশ্যক
9af15b101a	8845d	মেয়েদের ফাইনালে ৬ উইকেটে জয় পেয়ে চ্যাম্পিয়ন হয়েছে অস্ট্রেলিয়ার নারী ক্রিকেট দল।
9af173ab57	8cf95	বার্ন ইউনিটে তার মৃত্যু হয়
9af1efd980	ee4ad	মোট সাতটি
9af207ba67	66dcd	কিন্তু স্লোনেস পড়ার সময়
9af2338031	420df	জোটভুক্ত পূর্ব ইউরোপের বাল্টিক দেশগুলোর
9af2ee2f27	16cfb	শিক্ষা পেয়েছে তারা
9af362a6c1	d2294	জয়পুরহাটের আলুচাষী
9af3823fdf	8ba2b	নমুনা আবিষ্কৃত হয়েছে
9af3887a5e	57d54	তাঁর গুণেই
9af3f217ae	77f82	ও যে বোকা
9af480333b	351dd	সতীশের অবস্থা
9af48d8d32	7898e	না হবেই বা কেন
9af4d2a2fa	4c555	ঢাকা বোর্ড
9af4d8c1e7	ced74	৩ হরতাল সমর্থককে
9af5431273	b5fdc	ঢাকার ইফতারের সবচেয়ে বড় বাজারটা বসে পুরান ঢাকার চকবাজারে।
9af5680df6	e89bb	লংঅনের ওপর দিয়ে
9af592cf7a	db735	সন্ধ্যায় পরিবেশিত হবে
9af5d22e1b	f6e55	চলতি বছরের ৮ জানুযারি
9af5da4528	91230	অ্যাডা ভাষাটির নামকরণ করা হয়েছে
9af5f9c8e4	0d9f1	শালবাগান এলাকায়
9af64b85de	a7c6f	সর্বকালের সেরা আসর বলে
9af65798a4	282d3	বেলা সাড়ে ১১টার দিকে
9af67a2375	33aef	মার্ক টুয়েনের লাইব্রেরিখানা
9af6cd6935	3ccf1	স্কাইপ সংলাপ কেলেঙ্কারি ফাঁস হবার পর ট্রাইব্যুনাল এক পুনর্গঠন করার পর মি. সাঈদীর বিরুদ্ধে নতুন করে যুক্তিতর্ক হচ্ছে।
9af6cf7d49	2aecc	মাননীয় স্পিকারের
9af7298989	aa820	নাটকটিতে নানা ধরনের
9af7efe854	1c618	আফরোজা ইয়াসমিন সূচি নামে
9af803db46	61820	হরতালে সহিংসতা মোকাবেলায়
9af840737b	06527	৭৮ জন
9af896a8ab	da6f0	তাই ওই বাসায়
9af8ca2d70	616ec	মাইকে গান বাজছে
9af8f63f14	7f2ef	ইহা বলা যাইতে পারে যে
9af9788182	9b864	গত শনিবার
9af9c15c5f	c7705	তিনি কিছুই করেননি
