2700128fa5	5cb47	ছাত্রছাত্রীদেরকে স্কুল-কলেজের বাইরে
27866845cb	0744c	আগের পরিকল্পনা অনুযায়ী ২০১৩ সালে পদ্মা সেতুর নির্মাণ কাজ শেষ হওয়ার কথা ছিল।
278680170e	2695f	নতুন প্রধানমন্ত্রী
278773d87b	91b16	কিন্তু কয়লা আমদানি করে
2787d367e5	42898	খাঁটি মধু চেনার কৌশল
2787f95b17	8ba2b	আলমের দোকান রয়েছ
2788120e8b	9f25e	চিকিৎসা বিশেষজ্ঞদের মতে বিলম্বিত ও বাধাগ্রস্থ প্রসবের কারণে প্রসবজনিত ফিস্টুলার সমস্যার শুরু।
2788d9a759	4e900	এখনো প্রাথমিক পর্যায়ে আছে
2788f72de4	2fc12	ফলে মন্ত্রনালয়ের
2789f39439	bf530	শশার ভেষজ গুনের
278a0d14c0	8143b	এক পর্যায়ে প্রশাসন
278a4fa845	a4750	ড্যাম নির্মাণ শেষ হলে
278a8a4852	4e900	বিশ্বাস স্থাপন করলেন
278ae47bd0	ee4ad	কুমিল্লার বাখরাবাদ গ্যাস ফিল্ডের ৯নং কূপ থেকে দৈনিক ১৫ মিলিয়ন ঘনফুট গ্যাস জাতীয় গ্রীডে সরবরাহ শুরু হয়েছে।
278b4d2abe	e55de	নাকি একটি মাদকাসক্ত কিশোরী
278c30ec44	355c1	কিয়ামত পর্যন্ত জুতা মারলেও
278c82a753	17ca1	দুর্ঘটনাস্থলের দিকে রওনা হয়েছে
278c916d22	bdd05	এমন একটি ফ্রন্ট
278c9fbbf4	43199	এ-ব্যাপারে
278cbbd1b3	aabe7	ব্যাকআপ নিয়ে রাখলে
278d6f9e58	eaa7a	যে অন্তঃসারশূন্যতা সে সবও
278daf883e	dfefa	উড়ে যাই
278dfef50d	b7be9	উভয়ে একান্নভুক্ত ছিলেন
278f4a1606	809cd	আমি থ হয়ে বসে থাকি
278f4c480f	f2097	আমি তখন
278fb8bfc0	68549	সংকেতের জবাব দিল কেউ
278fbb64cd	aa820	এমন ঘটনার মাধ্যমে
278fdcbd7b	37e17	সারাক্ষণই শাসন করতো
278fe254a8	e2f12	ট্যাঁকে গুঁজে নিয়ে
278fe6b2ed	c11b1	ফয়েজ বাংলাদেশে এসেছিলেন
27901dd84b	43fc0	প্রতিনিধিদের নিয়ে
27909a72e2	e6e48	গ্রেফতার হওয়ার পর তিনি
2791889b84	3faff	নিরাপত্তা নিশ্চিত করা
2792b3f70f	01e91	সবচাইতে বড় বিমান দুর্ঘটনা
2793388cd6	0d9f1	আমেরিকার বাজারে
279343c852	2c9c5	দ্বিগুণের সমান
2793d02ca9	43b04	অন্যদের সঙ্গে বৈঠক করে
2793f05b6a	2ac82	৪০ টাকা দরে
2793f4beae	8b859	তাহা হইলে
27945f4a05	509f6	একজন ধর্মযাজকের ভুমিকার চাইতে
27945f973b	321b6	নাক টিকলো, বড় বড় চোখ
279460da37	717bb	দীর্ঘ বিরতির পর
27946d404a	cd3ac	কিছু কিছু অঞ্চলে
2794d461b4	693cb	নাইলা নাইম
2794eec19b	29d44	কানাডার প্রধানমন্ত্রী
27950cf2e9	388c9	গাছের পাতা নড়া
27951eccc1	23291	ফ্লাড লাইটগুলো জ্বালানোর জন্য
2795309a25	4c1eb	শতাধিক রাজনৈতিক নেতাকে
2795a063f8	8406e	এই প্রতিবেদন তৈরির জন্য
2795d57e61	91223	অপরাধ বিজ্ঞান
2795e2d1c5	ff1c3	তুই করে বলতেন
2795efb31e	3faff	প্রত্যেকটি ধাপ স্পষ্ট হবে
27966ea91f	c4973	লরিয়েলের কালো রঙ
2796ce78c9	7ec1c	একটি ওয়েব ব্রাউজার
2796ff8289	ee4ad	তখনো ছিল
279745fe44	4c555	আর তাই তোমাদের জন্য
27978abf4a	f600a	দ্রুত মেরামতের
2797a35af5	13b6a	রাস্তার সব পাশে ঝুলছে
2797d16f9b	a4750	সাংবাদিকদের প্রশ্নের জবাবে
2797d86f11	7d3e1	সেই ছবিতেই তাকে
2798d05519	086dd	রাজচন্দ্রপুর রেল ব্রিজের নীচে
2798f10903	4a918	খেলতে পারেনি ফরাসীরা
27997e8279	91ac1	ছাড়ের জন্য
2799903b37	e2ba2	পরিবার বাস করে
279a0ecc18	c0965	এক ঋতুর ফসল
279a153b31	aab0f	তারা অনির্দিষ্টকালের কর্মবিরতি
279aba4ccf	7d133	তাহলে এই বইমেলা
279b045ac8	3faff	তাদের গ্রেফতার করা হচ্ছে না
279b2a7400	698a4	২০০৫ সাল থেকে তিনি
279b3f5cc4	06e62	ক্যালিফোর্নিয়ার আমাজন সাইটের
279be840f9	eaa7a	এখন তা অনেকাংশেই কমে গেছে
279c088857	3faff	হঠাৎ ভিন্নধর্মী এক রণকৌশলে
279c835dde	7d3e1	স্থির করিল
279d1e2006	fcefa	দুর্ঘটনার আশঙ্কা আছে
279dcb2663	c958a	ভারতকে দুভাগ করে
279dccbbdd	ad69a	হাওয়া উঠলে
279e762be8	967fd	বর্তমানে ব্যাংকগুলোতে প্রায় ৩০ হাজার কোটি টাকার বিনিয়োগযোগ্য তহবিল অলস পড়ে আছে।
279eca4fd9	4c555	পর্যায়ক্রমে অন্যান্য প্রতিষ্ঠান ও কারখানাও
279f064db4	0d9f1	বাংলাদেশ সরকারের
279f3073fd	43b04	আমাকে পথ দেখায়
279f96f1ac	66dcd	এদের কেউ কেউ
279fb48db1	ba2f6	এমনটি জানা ছিল না
279fd1a8e1	92bd8	আগের ২ হাজার
27a0414de5	9fa90	বিশ্বাস স্থাপন করতে পারলেন
27a07c35e3	195f7	স্থানান্তর করা হয়
27a0b9cb31	31f2a	এর শিকার হতে হয়
27a0dff12e	089ef	অফিস ঘরে হেঁটে বেড়াতে লাগল
27a12cdf85	a3a6d	চৈতি
27a13387a6	17ca1	কিন্তু তা আমি
27a17b80e6	15a75	পরিবার থেকে রাষ্ট্রীয় পর্যায় পর্যন্ত দৃষ্টিভঙ্গিই প্রধান কারণ।
27a18764c4	d5213	নতুন স্পিকারকে
27a18fcf78	b5fdc	সিনেমার ক্ষেত্রে
27a1a30609	f29bf	সুযোগ দেওয়া হয়েছিল
27a236ff73	53396	তিন প্রভাবশালী দেশ
27a24fa0bc	f2097	এদের মধ্যে যারা গভীর অরণ্যে বাস করে
27a25977e1	23291	ঢাকা-আরিচা মহাসড়কে
27a3c596a8	287bd	আগমনবার্তার মতই শুনিয়েছে
27a4aba672	2b883	একই সময়ের তুলনায়
27a4bb433e	29f8c	রনির মাধ্যমে
27a4f7a376	0c39f	প্রতিটি সংখার জন্য
27a53761e9	84145	তবে সজল তাকে
27a6b55b3d	57d54	ও রাজনৈতিক দলগুলোও
27a6d1a016	cb1aa	ছেলের কাছ থেকে
27a717c00e	f29bf	থিতু হতে চেয়েছিলেন রণবীর
27a796df3c	c3cca	পাল্লা ভারী
27a802d829	bfac7	ভিক্ষে শুরু করে
27a80b6864	6c17f	সন্দেহাতীতভাবে প্রমাণ হওয়ার
27a81a87da	7d133	অ্যারিওলা দেখা যায়
27a89d6d09	121bd	সেই বিবৃতি
27a920dde4	39dd0	তোমার নিজের একটা
27a9260447	2ecf8	জগতের যত সুখ
27aa0e49e6	9d7bf	ইজাজ বাটের সময়ে
27aa2cd804	80518	সম্পূর্ণ অন্য ধরনের মানুষ
27aa35d7f0	0d4cb	সালাউদ্দিন ও তার পরিবারের পক্ষ থেকে
27aa760711	c0965	কালো রঙের একটি
27aa893d44	11de3	দুনিয়ার সব ধর্মই
27ab139a8a	a1201	সৈন্যটিকে বললাম
27aba4c450	a1d4a	শশাতে রয়েছে প্রচুর পানি
27ac1830a8	a3a6d	রসুন খাওয়ার নিয়ম
27ac8e8b50	4c1eb	থাকতে হতো
27ace5121c	a06a1	যেমন ব্রিটেন এবং আমেরিকায়
27ad1848fe	fb4cb	টিভি সিরিয়াল
27ad3b1cf8	9351a	নেপাল ভ্রমণ খরচ
27adb8e912	430b2	রাতের বেলা থেমেছিলাম
27adbe1b6c	9f25e	কিছুই যেন হয় নি
27ae3d5e0a	28dfc	তাঁর ভেজা কাপড়
27ae7a345c	baa02	প্যান্ট ছিলো না
27ae7b784a	07660	তহবিল স্থানান্তরের বিষয়টি
27aec0557e	e31e7	শনিবার ভেজাল ও মেয়াদোত্তীর্ন
27aecc9dc2	7898e	একদল বালক-বালিকার
27aefcae6a	932bb	বিবিসির মিথিলা ফারজানা
27afa45435	31f09	ল্যাপটপের জন্য ঋণ দেয়ার উদ্যোগ
27afe21462	16a17	এখন আর যেতে চান না
27b04e81d8	38ff0	৫ সদস্যের আপিল বেঞ্চ
27b0ede72e	dba43	লক্ষ টাকা পারিতোষিক
27b255c857	07660	প্রযুক্তি ব্যবহৃত হচ্ছে
27b286401a	0895a	তিনি নিজের হাতে করেছেন
27b2cb0d71	4164f	পাঁচজন ডাক্তারের একটি দল
27b3e26309	9e923	দশজনের দল নিয়ে
27b3ea7410	e2ba2	আরো বেশ কয়েকটি
27b40e4c4f	10a9f	লিখেছিলাম শ্রাবণ-এর দ্বিতীয় সংখ্যায়
27b43d0c63	2ee04	জানাচ্ছেন বিআরটিসির কর্মকর্তারা
27b4849c44	fda1a	৫ সদস্যের আরো একটি
27b485e61b	616ec	অরণি বিংশ শতাব্দীর
27b52171c9	4f2ae	কেবলমাত্র শোনা নয়
27b57303c4	2ad74	যাওয়ার আগে
27b5ba29d0	d1b12	বেরিয়ে যাচ্ছেন
27b5e0b173	24f73	ওঁরা বেড়াতে এলে
27b6284e6e	13b70	তাতে একটুও ভরসা হল না
27b68833f7	f837a	এই ব্যবস্থা
27b6b77099	5cb47	আমরা সব ধরনের শ্যাম্পু
27b6f70795	6ab59	মিজানুর রহমান মোল্লা
27b712cacf	086dd	তাঁর বয়স হয়েছিল ৭৮ বছর
27b71bafc7	f4ba7	আমাদের জানা ছিল না
27b7b3a729	52578	পরিবর্তন আসতে পারে
27b7d71149	0edef	তাঁর দুই ভাই
27b9426696	b8fe1	সুমাইয়া আজগর রাহা
27b9ea4e3c	72649	ময়মনসিংহ গীতিকা
27b9eb8de3	f4ba7	ছায়া ফেলেছিল
27ba073440	65e30	ক্ষমতা দখলের দ্বন্দ্ব দেখেছিলেন
27ba301a1b	25696	শীর্ষ দুই ট্রেড ইউনিয়নের
27ba324039	c6848	জননীর মিষ্টবাক্যে
27ba4f79d1	7e191	পরীক্ষা করে দেখেছেন
27baa1f55b	ff1c3	খেলবার আগে
27bab249ee	65e30	বাবা-মার কাছে ছিলাম
27bb0695e7	9b864	প্রতিযোগিতা শুরু হয়
27bc6a1e44	10a9f	দেহ-মন দুইভাবেই
27bca30e87	0606d	মূলত চালের দাম
27bcbd757e	29d44	দুজন বিক্ষোভকারী
27bcd4b53f	f1240	বিকেল অবধি অফিস
27bd55d85e	8edea	আহার্য অভিনয়
27bd74ec2f	0d9f1	মশলা পিষতে পিষতে বলে সে
27be4f7f5f	d2faf	অন্য দাতারা হলো
27bed53d02	8845d	কোথায় উঠবো
27bed86b67	d0c70	অবধূত, ১৯১০ থেকে ১৩ এপ্রিল, ১৯৭৮
27bfc4e787	bbb22	দেখা হয়ে যাবে
27c018fe31	16877	বিভিন্ন নারী সংগঠনসহ
27c01d41c1	7b132	জোড় দিতে হবে
27c060dc51	ff1c3	এ তুমি কেমন তুমি চোখের তারায়
27c08107cb	acb88	তারা একদম
27c1529ea2	f1ea4	অভিজ্ঞতার তুল্যে তার সব মুহূর্তের
27c167cfe3	4fc91	তাদের সরিয়ে নিতে
27c1acf156	11bd2	রোমান ক্যাথলিক খ্রিস্টধর্ম প্রধান
27c20dbfbd	24f73	প্লিজ আপনি
27c28632fc	5cb47	প্রতিবছর ১.৩৭% হারে বেড়েছে
27c2db64d2	cc9fd	ভাষা-আন্দোলন জাদুঘর প্রতিষ্ঠা করেছে
27c2eadf6a	b00ba	লাফ দিল আজাদ
27c3c7f678	82926	মি. রকিবউদ্দিন বিবিসিকে বলেন
27c3f6842a	76329	হামলা-নির্যাতনের শিকার হয়েছে
27c4150538	3bb15	কিছু ট্রাক পণ্য নিয়ে
27c4a6d025	71522	আটকে রাখতেন তিনি
27c4ba204f	3f875	একটি সহযোগী সংগঠন
27c4bad3b6	f1240	পরিধেয় পোশাক ছাড়াও
27c4cc518c	3bea8	মোরগ
27c51ca72d	4bede	অধিকাংশই নামকরা লেখক
27c55dc4fa	3faff	স্মৃতি ইরানি
27c5a1ab16	bd576	গবেষক হাবিব রহমানের বিশেষত্ব হলো
27c5a46e1d	d1b12	দুই হাত শূন্যে তুলে
27c63d90b6	d8c80	সবচেয়ে উজ্জ্বল হয়ে ধরা দিয়েছ
27c669fa80	16877	ভারতে সুসংহত
27c706064d	38d3a	আর একটা ঔষধ দিয়া ফেলিয়াছে
27c720b926	9351a	দাভিদ লুইসের সৌজন্যে
27c7234a1f	8ba2b	নিয়ে আসবে
27c7263f3c	52578	কোনও বয়স মানে না
27c749f64a	92f59	শুরু হবার পর আজও
27c763bd2d	6da0a	চিকিৎসা সেবা প্রদানই
27c77310ed	410fa	পাষণ্ড রাজু রিক্তাকে
27c77f46ca	18460	এতে আমার নায়িকা নিঝুম
27c78ccb04	f7a7f	৩০ মিনিট পর
27c7f7c9ac	25117	লিথ্রোনাক্স আরগেস্টেস
27c7f80dcf	4f2ae	আর তেমন কোনো
27c8669ed6	aa820	সংগঠনের নেতৃবৃন্দ
27c8674aa3	cb842	মাঝারি গোছের সচ্ছল
27c98e9de6	5d12f	বেলজিয়ামের প্রাণহীন
27c9ff8c2c	a4750	ঠিক এই সময়ে
27ca067725	14816	অনলাইনে কেনাকাটার কথা
27ca5009f5	ad2a0	উদ্ধার কাজও ব্যাহত হচ্ছে
27caac8a30	d1b12	ব্রাদারহুডের সেই নিবন্ধন বাতিল হয়
27cac7d5e5	d82d9	ভৌগোলিক ভাবে
27cacaf910	ced74	স্টার্ট নিয়ে
27cb6eba58	0c39f	করিয়া থাকেন
27cbaac270	698a4	ঘেমে ঝোল হয়ে উঠল
27cc147e2a	85430	মশিউর পাখির বাচ্চা
27cc216053	ad050	গ্রিক ভাষায়
27cc2b3cf6	b78ec	লক্ষ্ণৌর বিশিষ্ট
27cc7c5752	e68af	অবস্থিত মার্শেস ফ্রি মিউজিয়ামে
27ccc5f23b	f7a7f	বিকেল চারটার দিকে
27cd4c59b6	f837a	২০১০ সালের ১৬ই ডিসেম্বর
27cd553f87	c749e	গণতন্ত্র ও মুক্তিযুদ্ধের ধারায়
27ce05be3c	54cdd	যাত্রীদের উপরে
27cecd046b	95f83	পুলিশ অবস্থান নিয়েছে
27cf47e1a1	e6d83	সেটাতো হতে পারে না
27cf5fa817	c6848	সোনালির ভদ্রতা শেখা উচিত
27cf9827ba	fcefa	এখনো যেসব সাধারণ মানুষ রয়েছেন তারা মারাত্মক ঝুঁকির মধ্যে রয়েছেন।
27cfd0648b	2ecf8	ক্লাইটোরিস
27d0356c2c	0edef	লুৎফা চা-মুড়ি গুছিয়ে
27d11a2ffa	16e96	খুব শিগগিরই নতুন শিক্ষক
27d1892d5d	6b437	কেমন হবে এ পতাকা
27d1b2bbd1	6973e	রাজনৈতিকভাবে এসব শিশুর কোনও মূল্য রাষ্ট্রের কাছে নেই।
27d1bc3147	8632b	শুধু সঙ্গীত শিল্পীই নন
27d1e0e4b6	cfc65	নিশ্চয়ই এই বইটা
27d2706038	2bd99	শেষ পর্যন্ত আটক থাকা
27d319933d	28bb3	উপস্থিত থাকতে বলা হয়
27d36b9b72	76329	শরীর দেখিয়ে
27d39d9571	0b7ca	রাগিণী এমএমএস টু
27d3a2a3e4	01e91	হ্যাঁ আপনি চাইলে
27d3cb0164	80518	প্রবাদ আছে যে
27d3d694bd	7b103	ইউরোপের দেশগুলোতে
27d3efef9c	cf82a	বিশ্বভ্রমণের অপার আনন্দ
27d420f678	0895a	সিপিবি অংশ নিয়েছিলো
27d48163d8	7f71c	যুক্ত হতে না পারলে
27d4cff5d4	39dd0	আমার অহংবোধ দেখেই বলেছিলেন
27d4de99f8	ba2f6	ঢাকার রাস্তায়
27d52c2742	d2294	ব্রিটিশ গণমাধ্যমের প্রতিবেদনে বলা হয়
27d539a091	1cb75	বজায় রাখার
27d553dcee	64092	৮০ লাখ টাকা ব্যয়ে
27d56a999f	b4ea7	দফায় দফায়
27d5bb45bf	967fd	অনেকের সান্নিধ্যে গেছি
27d6749cd4	5cb47	আমেরিকার ইয়েলের ন্যাচারাল মিউজিয়ামের
27d6af4379	9065c	শুরু হওয়ার কথা
27d6df551a	f280a	বের হওয়ার সঙ্গে সঙ্গে
27d71007be	80539	তৃতীয় বৃহত্তম
27d723508f	f280a	বিক্রয়যোগ্য ওষুধের তালিকা
27d72d58a2	f29bf	বিভিন্ন কারণে মোতায়েন রয়েছে
27d742bca3	c11b1	কম বলেই
27d74ec3f4	4ea73	বিরিশিরি
27d75a1578	92f59	বা প্রেরকের নাম-ঠিকানা
27d760eb56	b9b98	অগ্রগামী মডেল
27d7a2ef61	932bb	চারটি মহিষ ছিল
27d7d0ea31	c3cb3	দীর্ঘ সঙ্গীতজীবনে
27d82891ea	66dcd	নতুন স্বপ্ন দেখতে
27d843dc59	29bab	নামাজের সময় হয়
27d9264f26	75f18	আকাশে ছিল
27d98540d7	d0c70	কাজের লোক
27d9ba1614	ef915	শিকার হচ্ছেন
27da0db8a9	fb4cb	পঞ্চম স্থানে আছে এভারটন
27da752095	f1240	বছর দুয়েক আগে
27da99f927	c11b1	আমাদের দাবী উপেক্ষা করে
27daca275f	6ab59	কোনও চিন্তাভাবনা
27dace9b98	14d25	রাগে সর্বাঙ্গ জ্বলিয়া যায়
27dae1e989	c1e30	শুনানি আগামী ১৮ মার্চ
27db0c0841	fcefa	সেই গ্রামে যেতে গিয়েই
27db1959a4	15a75	সে ব্যাপারে তাদের
27db468efe	d5213	তা বের করার
27db6b5fb4	c11b1	রাইসিনা হিলসের সামনে
27dd09a787	39dd0	তত দিনে হয়তো
27dd0d843d	d8c80	বাঁশের খুঁটিতে লাইট লাগানো
27dd405d01	4bede	পারছিলেন না
27dff01e6b	3b1f7	আমরা যদি হারি
27e0dd1ca4	d9817	সাভারে ভবন ধসের ঘটনাকে দেখা হচ্ছে বাংলাদেশের ইতিহাসে সবচে বড়ো শিল্প দুর্ঘটনা হিসেবে।
27e1166808	693cb	বিশেষজ্ঞ টি-টোয়েন্টি বোলার
27e16e5bc5	60b9d	গনোরিয়া
27e19847e2	38d3a	যাহাতে পাঠক বুঝিতে পারেন
27e19b70db	4fd66	বললেই হয়
27e1df03ef	a0277	ব্যস্ত হয়ে পড়বে
27e1e86d2e	49543	এ সরকার শপথ গ্রহণ করে
27e2b88e49	b8ed8	অল্প ব্যবধানে দুইবার
27e2d7668f	92bd8	দাঙ্গা-ফ্যাসাদের সূত্রপাত ঘটে
27e2f8b935	42898	ক্যালেন্ডারটি তৈরি করা হয়
27e31c5fe3	43199	অর্থ সহায়তার পরিমান
27e3475457	21e54	বাবার চোখেমুখে
27e3cec111	282d3	মাথার খুলি খুলে
27e4161da2	1f733	কমিশনারের পদত্যাগ দাবি করছে
27e498d9d4	c5479	পাথরঘাটা
27e4ee4d00	c2082	চট্টগ্রাম বন্দর কর্তৃপক্ষের সদস্য
27e4f8858d	730c3	সুদূরপ্রসারী চিন্তা করেছিলেন
27e5c72947	fb4cb	নিশ্চিত করেন
27e5c74428	21e54	তবে এশিয়ার অভিবাসীদের নিয়ে
27e6152faf	870e3	ব্রতী হোক
27e61a0e96	6dff5	বছরের পর বছর
27e6325de1	adf01	মাসুদ আলম জানান
27e6387d1d	767ff	বাঙালির সব অর্জনকে উর্দ্ধে তুলে ধরবে
27e658813d	09b32	স্বপ্ন দেখেন
27e68bff9d	e3d8b	মরুভূমির ডনজুয়ানের মত
27e6a219b8	fdcba	মা’র ফ্রক ধরে টেনে
27e6ee7ee5	ca088	আন্দোলনে সংহতি প্রকাশ করে
27e6f02595	d41be	গান গাওয়া
27e7a9a1a9	d9817	সেই সঙ্গে
27e8cc32df	287bd	নীরবে কাটিয়ে দেন
27e913ab12	e9759	কনস্টেবল এনামুল নূরে আলম
27ea095dea	d2faf	সেখান থেকে বাড়ি ফিরবার পথে
27eaa0d8fe	bc81e	তাতে রীতিমত জলাবদ্ধতা
27eb1e8934	7df87	তারা এজন্য
27eb6c607d	8a46d	সাড়া দিতে আহ্বান জানাচ্ছে
27ebe8baf0	4a67e	ঘরের দ্রব্যাদি
27ebe967e4	ea8fa	দায়ের করা
27ec01707a	13b6a	হয়রানির শিকার হচ্ছেন বলে
27ec6aaa50	88654	কৃতিত্বের সঙ্গে
27ec93ce8e	49d63	গুণ এই যে
27eda826db	0606d	যারাই সংস্কৃতি করে
27edbefdb2	282d3	কী দিয়ে নির্ধারিত হয়
27ede3f379	9f25e	কয়েকজনের পরিবারের সঙ্গে
27ee2e4866	aab0f	যেসব বই মিলত
27ef00b2bb	287bd	স্বাভাবিক ক্ষয়
27ef916453	31f09	কিম কারদাশিয়ান
27ef9c9334	6ab59	এই বংশের প্রথম রাজাকে
27efd41a04	e6752	প্রতিটি রঙের
27efdddd4d	bdd05	আপনারা সেটা না করে
27eff01070	2b883	অনেককে এসময়
27f0851f8e	a9a58	আস্তে আস্তে উঠে
27f0d923ef	d2faf	সর্বশেষ সংসদ নির্বাচন বর্জন করা বিএনপির অনেক উপজেলাতেই একাধিক দলীয় প্রার্থী রয়েছে।
27f0ec3748	590d0	ছিলেন না
27f0f392d2	976b1	প্রান্ত সীমা বা ফিনিশ লাইনে
27f131bc11	d9081	শুকনা-মরিচ ও কচি পেঁয়াজ
27f13219e6	442b7	ফরিদপুরের জমিদার
27f186df78	dba43	এরকম একটা চরিত্র
27f1ab4389	31f09	চিরকালের জন্য
27f1bb7b1f	65e30	নগরীতে আসেন
27f22665d9	10a9f	ব্যক্ত করিলেন
27f2d919d1	12702	কৃপার বা করুণার
27f3341288	c0965	মেয়েটা ভেতর থেকে
27f368dec6	2bc73	একটা সংকীর্ণ গলির মধ্যে এসেছে
27f3764a98	ee852	এইচ আর ডব্লিউর বিরুদ্ধে কেন
27f3b0c34c	a1201	মুখর করে রেখেছিল
27f3eaf57f	e2c11	যার দরুন অল্প দূরত্বে
27f4208f77	11de3	প্রতিযোগিতার বিষয়টি উল্লেখ করে
27f4bb1d4c	7297e	মেঘচেরা রোদে
27f5015546	c1e30	বিদ্রূপ না করতে শিখেছি
27f5af1e11	18a52	বাংলা একাডেমীর কাছে
27f6b15d60	ba2f6	গৎবাঁধা কাহিনী থাকে
27f725caf6	44322	বোঝা যায় যে দাসী
27f849e7ee	fda1a	এটি তাদের
27f8642350	06736	পকেটের ভবিষ্যত অন্ধকার
27f878d76e	f6e55	মাওলা আমার ইয়া মাওলা
27f8919484	cb1aa	দিতে পারেননি
27f8a82886	0633a	এছাড়াও ডেভিড বার্গম্যান
27f9372031	2aecc	অবরোধ
27f97c7398	577fa	আপনারা মহানবী সাল্লাল্লাহু
27f9c1dce3	6e6fa	না মানার কথা উল্লেখ করে
27f9ea1551	ea8fa	প্রতি দশ মিটার পর পর
27f9eec62b	f2b7d	অবশ্য সমস্যা ছিল
27f9f54f75	ca088	বসতি করিবার আশে
27f9f9621f	43fc0	সিনেমার একটি টিকিটের দামে
27fa28fad9	2fe3c	রবিবারই প্রকাশ করতে পারে
27fa95c1c6	eaa7a	২২ এপ্রিল পর্যন্ত
27fb65f720	9b864	সে সময় ওয়েস্ট ইন্ডিজকে
27fb724880	f658d	শেষ হয়েছে
27fc2df3ba	bcaa8	তখনই তার চলে যাওয়া
27fc4d39f0	7ee9b	ইতিমধ্যেই শুরু হয়ে গেছে
27fce1d8b6	089ef	আইসতলা, ভারতের
27fd699743	f2b7d	বিসর্জন কাহিনী
27fd87b822	351dd	কথা বলে জানা গেছে
27fe746548	8a46d	কোনো অভিনেত্রীকে খুঁজছেন তিনি
27fe780d08	dae88	প্রথম একদিনের আন্তর্জাতিক ম্যাচে
27fe93b894	18a52	আর এই প্রস্তুতি দেখতেও
27feeae294	6c6bf	স্পষ্ট দেখা যাইতেছে
27ff0ee2aa	c11b1	আইনসভা ও স্থানীয় সরকারের
27ff458461	0edef	দুই মাসের
27ff468023	ee852	বাংলাদেশ সংলাপের সবচেয়ে
27ffbc1196	a916a	জগতের সব নিয়মকানুন
