e700107311	29089	বাড়িতে ঢুকতে দেবেন না
e7892dc453	d9ba9	টাঙ্গাইল জেলা বিএনপি
e789e08208	2ee04	মন পবনের নাও
e78a3fae34	82926	নগর জীবনের কোলাহল থেকে
e78a6ca493	93bf3	বিরোধী দল দমন করে
e78aae5421	5e80b	এবার পছন্দমতো নকশা কাটুন
e78ae023be	9f25e	অরুপ রাহা জানান
e78bbd2aa6	7ed14	উপহার দেন দর্শকদের
e78c17d5f5	73629	দুপুর সাড়ে ১২টার পর
e78c49667e	bf530	মুশকিল হল
e78cec5bfe	2fc12	মিয়ামিতে এক ব্যক্তিকে
e78d266b17	12702	মিসেস গান্ধী প্রচন্ড রেগে যান
e78d562152	cb842	গাড়ি দু'টিতে
e78d6ff5c8	17dcd	গুম করার ক্ষেত্রে
e78dcff859	17ca1	কোথাও নৌকা বাঁধিয়া বিশ্রাম নিবে
e78f05481e	1e7c6	লোপার স্কুলের চেয়ারম্যান সাহেব
e78fbaa09f	c41d8	তাফসীরুল কুরআন
e7909d8d01	2f547	পুলিশ গুলি চালায়
e790ca5554	693cb	জানি আবার কখনো
e7910b14ec	29d44	টর্চ নিভিয়ে ও চুপ করে
e7915e40df	d82d9	অবৈধ হিসেবে
e7916d6208	38ff0	তিনি সেখানে একটি
e791c254c7	56508	দুই তারকা শত ব্যস্ততার মধ্যে
e791d85deb	ced74	রবীন্দ্রনাথ ঠাকুরের ছোটগল্পে
e79207fa0c	b8bba	গোরার স্রষ্টা রবীন্দ্রনাথও
e7920da942	ff1c3	যেন এক পাল
e792478585	f9dfb	বেশিরভাগ একাই সময় কাটাচ্ছেন
e79252cc4e	b78ec	এ মেলা চলাকালে
e792902e79	43b04	আপনারা আওয়ামী লীগ থেকে
e79318465c	3d17c	বাঁধন শিথিল হয়ে এসেছে
e793cc9e27	0f047	তা পরীক্ষা-নিরীক্ষা করে দেখছেন
e79418163c	e9759	এর সংখ্যা হাজারের কাছাকাছি
e794427d88	8406e	এতে ঘটনাস্থলেই
e79450c3ce	1f733	যুবদল নেতার নাম
e794d1a153	01e91	পরিবর্তনই যেহেতু উন্নয়নের চালিকাশক্তি
e79612a207	d8c80	ব্যবহার করার
e79612f1a3	cb1aa	আয়োজিত এ কাউন্সিল হতে
e79619c0b3	bd576	ফিরোজা বেগমের নাম
e7968ae710	1cb75	এখন এর সুবিধা অসুবিধা নিয়ে
e796cf3c25	8cf95	দুদিনে উত্তরাঞ্চলের কোথাও
e796ef8888	31f09	কিশোরীমোহন হাইস্কুল থেকে
e7976142de	0e637	যে সংবিধানের ওপর
e797d51906	e43d4	তবলার চাটির সঙ্গে একত্র হবে
e797de4a45	f2780	বেশি পছন্দ করে
e79818b4f3	880ae	সেই সময়ে আলীকদমে অবস্থিত
e79861c1ee	948d3	একইসাথে বললেন
e798a63ce1	315e9	ব্যবহৃত একটি
e79923cb38	4164f	না করলেও পাবে
e799a95989	e6e48	আর যায় কোথায়
e799af28ab	ee7b2	খুব চেষ্টা করি
e799fa5ea8	39dd0	এই আইনের আওতায়
e79a0d0df3	8cf95	বাংলাদেশী নাগরিকই থাকছেন
e79a0f544a	f0f95	বরফ গলা নদী
e79a200e93	77f82	এ বোর্ডে
e79a6b1082	4a67e	বসে পড়ে
e79ae03948	2de86	ট্রান্সফর্মার
e79ae88cd3	46d49	সবচেয়ে কম গুরুত্ব পাওয়া
e79b05768c	8c120	১৪ বছর ধরে
e79ba74998	eecdd	সুস্থ হয়ে না উঠলেও
e79c89fdd8	66b3c	কুমার বিশ্বজিৎ
e79ca1b945	75626	বিশ্ববিদ্যালয়ের প্রক্টর
e79cefd2aa	77f82	তন্বীর মতো
e79d192037	6da0a	স্বামী কেমন
e79d33d7a4	a4750	কিছুক্ষণ পরপরই
e79d891ee6	2396d	এক বাড়িতে যাইয়া উঠিলাম
e79dbacbae	5a61c	সাবেক মুখ্যমন্ত্রী কারুনানিধি
e79e7908a1	f89d7	নেপালের কাঠমান্ডু থেকে
e79e9dd22c	9d7bf	২শ কেভি বিদ্যুতের প্রয়োজন হয়
e79eea9cad	d9081	মরুতেরা বায়ু হইতে ভিন্ন
e79f45fdd5	75936	মাধবসেনা, যজ্ঞসেনার মধ্যে
e79fc4a70b	0d4cb	সেটা বাতিল হলো
e79ff9b94a	0a7a0	না দেখার, না জানার বিস্ময়কুয়াশা
e7a0cc779d	e43d4	আমি খুশিমনে বাড়ি নিয়ে আসি
e7a173085c	92bb2	চাপা দিয়ে পালানোর চেষ্টা করে
e7a1955062	6b437	তিনি নিউইয়র্কে
e7a1c703d5	93bf3	কর সম্পূর্ণভাবে মওকুফ করা
e7a229c5c6	ce775	ঝড় থামল না
e7a27741ee	28bb3	সেই শহরে জড়ো হন
e7a2a60668	7e1d5	এখানে গাইতে
e7a2cacaa5	33aef	পূর্ণাঙ্গ কেন্দ্রীয় কমিটি
e7a3247d50	52f27	মহাখালী ও এর আশপাশের এলাকায়
e7a3708d40	46da4	শিরোপা লড়াইয়ে
e7a400cd27	db181	সমসংখ্যক ম্যাচে
e7a53bd01f	7a227	হাহাকার করতে হয়
e7a55ffdc7	e6752	সাবেক সভাপতি সাব্বির ইউসূফ বলেন
e7a5a5e884	ce180	কোনোখানে ঠাঁই
e7a5cffacb	f1240	সেটিতে উৎপাদিত হবে
e7a5d01950	388c9	শতাধিক ভোট কেন্দ্রে
e7a5de6bf3	7b60a	এ নিয়েই ইতিহাসের সাক্ষী
e7a6caf02c	93d3b	তাদের দেখলে
e7a77172f5	976b1	মিত্র দেশ দক্ষিণ কোরিয়া, জাপান এবং নিজ দেশ যুক্তরাষ্ট্রের ভূখণ্ড রক্ষায় প্রয়োজনীয় সব ব্যবস্থা নেবে ওয়াশিংটন।
e7a7ea0547	24aed	সঙ্কলন করেছেন মানসী বড়ুয়া
e7a7f614e9	323f1	এবার বাংলাদেশের স্কোর ২৭
e7a80d3d7a	11915	তিনি আদালতে পৌঁছান
e7a9389ab9	9c8dd	কিছুই যেন হয় নি
e7a9a37978	da6f0	যদি গোপনে
e7aa3934da	aabe7	শ্রমিকদের শ্রম আইন অনুযায়ী
e7aad7cca6	80e98	মরণপণ যুদ্ধে নামা
e7ab57a6a5	43b04	যতটা নড়ন হলে
e7ab9b4a63	b8ed8	নিয়ন্ত্রণের বাইরে গেলে
e7ab9f3f26	0b7ca	জাতীয়করণ করেছে
e7abc8135a	06e62	দেহে তৈরি হয়
e7ac745204	28bb3	দরবারী আদব-কায়দা ছাড়া
e7acb8f852	f600a	উত্তেজনা আছে
e7ae2f99dc	b8ed8	অ্যাপাচি সফটওয়্যার
e7ae3ce219	52578	অন্তত মৌখিকভাবে
e7ae444422	e2ba2	৩ হাজার ২০০ টাকা
e7aed02a80	e50f1	সমান দুই ভাগে
e7aee4ac25	2f547	সামরিক হস্তক্ষেপের সিদ্ধান্ত
e7aeffe485	e2f12	জেল জরিমানার বিধান রয়েছে
e7af62bc2e	c11b1	দিকনির্দেশনা চান তারা
e7b0126dc5	8a46d	এক দিন শেফালি
e7b041980b	5dec6	আমাদের কুরে কুরে খাচ্ছ
e7b047028c	7351e	স্পিকার আব্দুল হামিদ
e7b089dab2	23291	স্থূলতার জন্য
e7b09897c1	1a4a9	ঠিক হলো
e7b1008334	2de86	সংকট বাড়ছে
e7b112e128	12702	বেত্তমিজ বেয়াদ্দপ মেয়ে
e7b124c9fd	92bd8	পর্যাপ্ত মজুদ থাকায়
e7b1456313	fdcba	বোমা দু'টি লক্ষ্যভ্রষ্ট হলেও
e7b22cd6ba	65e30	গঠনতন্ত্রের ধারা মোতাবেক তাকে
e7b251f4fe	c2082	বিশিষ্ট সাংবাদিক ও লেখক ছিলেন
e7b2a04a6c	c9c19	হৃদয় নাই
e7b2abc7f0	a1201	অর্জিত বৈদেশিক মুদ্রায়
e7b2cfbc74	37d7e	নৃত্যও চোখে পড়ে
e7b3a9cbe5	29089	অন্তর্ভুক্ত তিনটি
e7b3b7ede5	0744c	সমস্ত দিনের পরিশ্রমে
e7b48c228a	14d25	সম্প্রসারণমূলক ব্যবস্থা গ্রহণ
e7b4a4689c	aab0f	বারো কি তেরো
e7b4de28e5	086dd	এভারেস্ট বিজয়ী
e7b4f54bad	e9759	বিধানসভা
e7b5ecba5c	32c77	প্রায় ১১ কিলোমিটার দীর্ঘ
e7b67a32a7	b2a62	যিনি বলেন
e7b714e623	9d46f	অংশ নেয়া দলগুলো
e7b7449000	33814	আর নাকের এলার্জি
e7b761e514	3fae0	জান গড়ে তুলি
e7b7c104cd	d9b11	ভয়ার্ত চিৎকারসম প’ড়ে আছে
e7b7d4a503	d7a68	লিলি ও স্নেইপের মধ্যে
e7b7f47562	e50f1	এমন ঘটনা প্রায়
e7b7f4afda	f1240	টেলিভিশন দেখার সময়
e7b7fc7164	08458	ও উঠে
e7b80ef415	f2097	ব্রহ্মসূত্র ভাষ্যের উপর
e7b8a982ee	af81d	এখানে আমরা
e7b8ad7940	d3e06	বাফটা পুরস্কার
e7b8b8b105	8a46d	ফিরিয়ে দিয়েছি
e7b8bf5503	b4ea7	দক্ষিণ কোরিয়া ও যুক্তরাষ্ট্রকে
e7b8f5d746	ee886	বিশিষ্ট রাজনৈতিক নেতা
e7b8fa9837	c7705	মোটেও ভাবিত হবে না
e7b9674096	2f547	অচ্ছ্রুরাম মেমোরিয়াল কলেজ
e7b9a8f16e	38d3a	সামাজিক, রাষ্ট্রীয়
e7bb1d955f	1a2a1	সরাসরি সম্প্রচার করবে
e7bb3b2966	31f2a	কোথাও যাওয়ার সম্ভাবনা কম
e7bb6ab0c8	7d004	অক্ষয়চন্দ্র চৌধুরীর
e7bbb8c927	420df	বুঝতে পারি না
e7bbd2de0c	0b7ca	গজল হতে পারে
e7bbf34cb9	24f73	বাংলামেইলের বার্তা সম্পাদক
e7bc071fad	e31e7	বেশি থাকা সত্ত্বেও
e7bc416263	07660	সেই সঙ্গে সাক্ষাতের আমন্ত্রণ
e7bc87d63d	ad2a0	ইস্ট ওয়েস্ট বিশ্ববিদ্যালয়
e7bcc34d68	57d54	বিশেষভাবে আত্মজৈবনিক রচনায়
e7bcd8f81b	f600a	আমেরিকার শুধু প্রতিদ্বন্দ্বী নয়
e7bce104e4	f29bf	পাশাপাশি রপ্তানি আয়ে
e7bcf7e172	2de86	যাই বলো
e7bcfce677	282d3	আমার দেখা
e7bda9faf5	c6848	শহীদ মিনার
e7be5b43e1	f658d	বিভ্রান্ত মানুষদের
e7bf19f163	f9dfb	তিনি হলেন
e7bf4b61ba	bdd05	মাস্টারদা ১৮ এপ্রিলকে
e7bf544e58	7a227	গাইতি গ্যালাক্সি থিয়েটারে
e7bf6fbfd5	420df	পাতার এই শোষণ ক্ষমতাকে বলে
e7c05b1008	509f6	হাতিটাকে জড়িয়ে
e7c08ad1c6	2de86	সেবাযত্নের চেষ্টা করলেন
e7c0a20750	f2097	সাদা হয়ে আসছে
e7c0dfe83f	66b3c	নিশ্চিত হওয়া যায়
e7c105c0db	8143b	সালিম খান বলেন
e7c111b050	616ec	কাশিমপুরের এক কৃষকের বাড়ির উঠানে
e7c15ba8d7	fb4cb	টেলিফিল্ম, নাটক ও চলচ্চিত্রে
e7c1731c0c	e6e48	ভুগছিলেন তিনি
e7c1ad4a4f	2de86	ছেলে-ভাইপোকে টোলে না পাঠিয়ে
e7c1b7392e	f0f95	পুলিশের সহকারী কমিশনার
e7c1e5ff5f	b5fdc	বলিতে হইবে
e7c1e9b46d	6ee5f	এবং শ্যামলী, হানিফ, এনা
e7c1ffc6bc	321b6	বিগলিত করে
e7c26c5efb	5d12f	কেন হলো না
e7c28982c2	2ad74	ব্রিটেনে বহু মানুষ
e7c292e1e2	73629	সমাজ
e7c2f60d4c	91ac1	সমাজের সকলে
e7c369a7bb	430b2	যেখানে ইসলাম ধর্মকে
e7c3764a40	33814	ওই সাবমেরিনটিতে
e7c41a9305	98b81	চিন্তা কেমনে করে
e7c439cc66	9d46f	বেশ সময় লেগে যায় তাদের
e7c494b9b5	8edea	জয়েন্ট ভেঞ্চারে
e7c49847e1	60f77	যুক্তরাষ্ট্র সরকার
e7c4a00394	43b04	রমনা থানার পৃথক দুটি মামলায়
e7c4f6f7f3	e3f89	তাকে বৈষম্য ঘোচাবার
e7c51925f5	948d3	বিপুল মুখ চুন করে
e7c51cb583	7f71c	সারসংক্ষেপ পড়া হচ্ছে
e7c5516261	38ff0	তাই তাদের
e7c5572a45	c7705	খনি এলাকা পরিদর্শন করতে গেলে উত্তেজিত জনতা তাঁর গাড়িতে লাথি মারতে থাকে এবং তার পদত্যাগের দাবি জানায়।
e7c55a6cb9	3bb15	নগদ অর্থে
e7c565a50a	09f0d	এতে দ্বিগুণেরও বেশি
e7c57a0fa6	fda1a	আপাতত বিজ্ঞাপনের
e7c5f105f9	ef4f8	তুরস্ক কখনো
e7c60f57e9	520fb	এই ইউরোপিয়ন ক্লাবকে
e7c6c2fc4e	f658d	অমৃতা তার ফেসবুক অ্যাকাউন্ট
e7c7388fb7	77f82	সেই ঘরে জামাই ঢুকবে না
e7c75475ed	e00db	নিউজিল্যান্ডের ক্রিকেট খেলোয়াড়
e7c7db03ba	5dd61	বাংলাদেশের অবস্থান ১৩ নম্বরে
e7c850561d	2d78f	নারী বিষয়ক কন্স্যুলেট
e7c873f96f	dfefa	ওই সময় তারা
e7c88e402c	aa820	কার্যকর একটি ফল
e7c90d4a6c	b8bba	এক্ষণে কেবল আমাদের
e7c90d9514	06e62	তোমাদের পুজো করব
e7c93982f2	d8c80	শহরের প্রতিটি গুরুত্বপূর্ণ
e7c94a04a1	1a2a1	পশ্চিমবঙ্গের চবিবশ পরগনা
e7c96c9a2d	730c3	এতে শ্রমিক ও মাল
e7c9a532a6	f600a	সফর শুরু হয়েছিল
e7ca040b23	b8ed8	মেধাবী সেনা কর্মকর্তা নিহত হন
e7ca1fbb1f	ba2f6	তহবিল স্থানান্তরের বিষয়টি
e7ca1ff6de	5cb47	দেশটির আর্থ-সামাজিক
e7ca4c5293	4fc91	বিভাগের সহায়তায়
e7ca5aea61	d5f7b	বিবিসি বাংলার শাকিল আনোয়ার
e7ca736472	0a7a0	ক্রেতার সঙ্গে আমার কথা হয়েছিল
e7ca964ce7	3f875	ছিল ৪১টি
e7caabc42a	e6203	তারা চলে যায়
e7cb3a4923	82926	শামিমা আখতার
e7cb4a8fb3	93d3b	ডুবে থাকে
e7cb5a6bfe	60b9d	১১ পুলিশ ও এক পথচার
e7cb6b50b7	7aed9	এবং তার আশা
e7cb9fb8a6	e50f1	সমৃদ্ধি, সুস্বাস্থ্য
e7cbbee58a	85430	অনেক কিছু শিখেই
e7cc654286	6b437	অনুষ্ঠানে যোগ দেয়
e7cc7478f9	84145	বাবার রিটায়ারমেন্ট
e7cc969bc5	880ae	অনেক ক্ষেত্রেই
e7cd6a990c	6ee5f	বিরহ
e7cd83b81a	68ab7	তার নির্বাচনী এলাকায়
e7cdb5c7b1	98b81	ব্রাজুকা মডেলের ফুটবল দিয়েছে
e7ce345356	4e900	ইসলামী ব্যাংকের শাখা
e7ce7f3878	4f2ae	আমাদের কাছেও
e7ce9d5f0c	b8fe1	তিনি বলছেন যে মার্কিন গোয়েন্দা সংস্থাগুলো বিশ্বজুড়ে একটি অত্যন্ত গোপন নজরদারির ব্যবস্থা পরিচালনা করছিল।
e7cf160337	24f73	ও ফ্যাশন ম্যাগাজিন খুললেই
e7cf9440c5	53396	বারো জন সন্ত কবির
e7cfc2a209	809cd	ও দাম বাড়ার একটি
e7cfee0b8c	388c9	মার শরীর ভীষণ ভেঙে গেছে
e7d012c3bb	4dd57	বিনিয়োগের সুষ্ঠু পরিবেশ
e7d0828041	fbb81	সুরঞ্জিত সেনগুপ্ত
e7d0a5a4ee	c463d	আইনী ব্যবস্থা নিচ্ছেন
e7d0cbe8e5	0696e	স্বীকার করে সীমার বাবা
e7d1828c22	509f6	শ্রাবণ নামে একটি পত্রিকা
e7d182aa26	c7a89	পত্র পত্রিকায়
e7d1f82d25	351dd	পশু পাখির ছবি
e7d20d5d31	4c1eb	আপিল ডিভিশন রায়ের
e7d24ae037	4bd2c	২২ হাজার বর্গমাইল
e7d280a079	dec2d	বায়ার্নের আক্রমণ
e7d2d4d244	8edea	গুরুতর অভিযোগ নজিরবিহীন
e7d3132b92	23291	একটি হিন্দু জাতীয়তাবাদী
e7d315d00b	903fa	নদীর ওপর আড়াআড়ি
e7d35d0eac	cf82a	এ পর্যন্ত এগিয়ে রয়েছে
e7d4ac389a	acb88	বাস্তবতা হলো কাহিনির উপাদান
e7d4e1e98f	32998	ঢাকা ও চট্টগ্রাম উভয় মহানগরীতেই
e7d51f05f8	8143b	খুব অল্প সময়ে বের করে ফেললে
e7d561f0e6	d71a3	নতুন ধরনের গবেষণার
e7d5a1503f	4ea73	বন্ধ হয় নি
e7d5cf0e7d	f658d	সেখানে বড় কোন সহিংসতার
e7d68720c2	1652d	হলমার্ক গ্রুপের বিরুদ্ধে
e7d6be1c8f	18460	বড় মামা শুনে
e7d81ffb8d	c463d	ব্যবহার করতে হলো
e7d82ec409	ca831	কয়েক দিন আত্মগোপনে থাকার পর
e7d8cfb116	18460	পশুখাদ্য বিপণন
e7d8dc2b0f	d9b11	পাকিস্তানি বাহিনীকে
e7d90de4ec	6973e	পরনির্ভশীলতার কারণে
e7d9782bbb	65e30	কারাগারে থাকা সন্ত্রাসীদের অনেকে
e7d98c7073	a8710	সোনা মিয়ার দুই চোখ
e7d99592da	e3d8b	ব্যাগে দুটি শার্ট
e7d99b56ba	e68af	এ আই মাহবুব উদ্দিন আহমেদ বলছিলেন
e7da344634	9813c	মিনারটাকে দেখছি যেন
e7da526255	efc0d	করতাম কি না কে জানে
e7dad123e0	a699c	একই দাবিতে
e7db2609a6	239f7	আরও কয়েকজন
e7dba3d34c	e55de	বড় মামার লেখাপড়ার জন্য
e7dbb54546	520fb	বিদেশি মুসল্লিদের জন্যও
e7dc0c242f	21e54	বাংলাদেশের সংবাদ মাধ্যমে
e7dc2a77e0	c958a	ইসলাম পরিপন্থী কিছু নেই
e7dc868667	77f82	যাদের অধিকাংশই নারী
e7dd4aab5d	4ea73	ঢাকায় ২০০৫ সালে
e7dddc387a	b9122	বৃষ্টির আশঙ্কা
e7dde0708d	9c8dd	এই গল্পে ভিখু
e7de1a5f7d	5cb47	এটি আর একটি দরবার
e7ded7f963	a8710	অনেক বড় সম্মানের
e7def6e16c	f1240	একজন প্রবর্তক
e7df1125ac	4237e	র‍্যাবের অনেক সদস্যদের বিরুদ্ধে
e7df496b63	32b3e	১ ছক্কায় ৩৬ রান করে
e7df56ae56	3fb17	দায়িত্ব পালন করেন
e7dfa640be	5639c	১৯৬০-এর দশকে
e7dfe07ca5	e6752	কয়েক ডজন থেকে শুরু করে
e7dffad817	01e91	ফুটে উঠল
e7e022dbdc	65e30	অভিযুক্তরা ক্রমাগত
e7e059f8cb	80539	সম্পত্তি দান করে
e7e0b26267	7aed9	কিন্তু সাধারণ মানুষেরা
e7e17c392e	7d004	জাতীয় প্রেসক্লাবে
e7e17cbbd1	590d0	অনবদ্য একটি ইনিংস খেলেন
e7e19612ff	32998	ক্রেডিট কার্ড লেনদেন করতে দেয়
e7e1b69adf	3fb17	অ্যান্টিবায়োটিক কয়েক ধরণের
e7e1f48b76	b618b	সংরক্ষণ করেই
e7e20a821d	590d0	গোপন মিশন চলছে
e7e276db8e	3fce2	কোন আন্তর্জাতিক আদালতে
e7e2bd7b7a	ec91c	ক্যাম্পের কেরানি
e7e2c57948	71522	জমা রাখতাছে টাকা
e7e3247475	7297e	গুয়া গালাইয়া দিইনি
e7e39ada0b	c11b1	শাবনাজ
e7e3d2f85e	7df87	দুটো দলের পরবর্তী সবকটি ম্যাচ নির্ধারিত সময়ে অনুষ্ঠিত হবে বলে সিদ্ধান্ত নিয়েছে উভয় দেশের ক্রিকেট বোর্ড।
e7e47e655c	6e6fa	রংবাজ ছবির গান
e7e4fd8986	06ea3	খালাস দিয়েছেন বিচারক
e7e521a811	9065c	বাবার সঙ্গে
e7e62f8e20	5cb47	সেই সময়
e7e6436705	5dd61	গোপনে দেখেছি
e7e6b84360	1e7c7	অন্যদিকে আজ
e7e6f2d12c	06736	কাদায় পরিপূর্ণ
e7e70296d3	509f6	পশুশক্তিতে বলীয়ান
e7e70f20b2	d7a68	অক্ষয়চন্দ্র ১৮৭২ সালে
e7e7950dc4	355c1	আইনজীবীরা জানিয়েছেন
e7e7b8310d	7b60a	দৃশ্যমান কোন পরিবর্তন হয় নি
e7e84ccd06	b9122	রাস্তায় কিছু পাঠকের উপস্থিতিতে
e7e87c3027	f29bf	ওই তরুণীকে উদ্ধার
e7e8895e18	7f71c	চমেক হাসপাতালে
e7e8d7e0ee	ced74	মানুষ ছোটে
e7e8f40b99	98b81	বহু পূর্বে মানুষের জানা ছিল
e7e90c71f8	0606d	কড়াকড়ি ব্যবস্থা
e7e90d4b07	6ee5f	সোভিয়েত ইউনিয়নের
e7e9557ced	b9a81	দর্শকের কৌতূহল ছিল অপার
e7e97409be	ef4f8	আমার আরও ভক্ত
e7e9956793	7b900	অস্ট্রেলিয়া সফরে
e7e9a598ac	d8c80	শরাফ মামার কাছে
e7ea3269f8	72649	ও শান্তিচুক্তির মূল্যবোধের সঙ্গে
e7ea3c68d6	3d17c	সীমিত আসনের
e7ea9ccfcd	e6d83	জীবনানন্দ ব্যাখ্যা
e7eac5572d	2396d	এবং অন্যটি বাংলাদেশ
e7eafbdff2	85430	৬৫ রান করেন
e7eb0d34fd	23b22	শরীর জুড়ে রয়েছে
e7eb5c3f4c	71522	সম্ভ্রম রক্ষায়
e7ebaf288f	b618b	ইউপিএ জোটের
e7ebf0a21d	2bd99	প্রতিষ্ঠা করেন মনোজ মিত্র
e7ec24d0bf	4c555	তাঁর লক্ষ্য হচ্ছে
e7ec742366	68549	সেখানেই পড়াশোনা করে
e7ec771502	4c555	দায়সারা বক্তব্য পাওয়া গেল
e7ec850153	76329	গ্রেনেড হামলা ঘটানো হলো
e7ec91e4ef	153c9	১৬০ ডিগ্রি তাপে
e7ecaca92b	06e62	এ মামলা দায়ের করেন।
e7ecf3e5f3	42898	লেখার কী ছিরি
e7eeb606f7	7b103	যারা সংগঠক
e7eec1fb09	d2d71	তখন লক্ষ্য করিল
e7ef06eae7	6e6fa	চার পুলিশ সদস্য আহত হন
e7ef3c7d35	f600a	গত চার বছরে
e7f012f07c	d2faf	আমার শ্বশুর আর ছেলের
e7f0e04b69	717bb	লন্ডন ও রোমে
e7f12bcce8	c1e30	অতিথি হিসেবে উপস্থিত থাকবেন
e7f154dd86	7c272	নির্মূল করতে পারলেই
e7f15d1da6	e7230	তবে তিনি সরে গেলে
e7f1a2d196	ea5be	বাস রুট নিয়ে
e7f2182c0b	82926	ওষুধগুলো নিলাম
e7f26007ad	0a87a	ফিল্মফেয়ারে সমালোচক পুরস্কার পেয়েছেন চারবার
e7f28a5678	323f1	পরিণত হয়েছেন
e7f2f97af5	8406e	তুমুল বিক্ষোভ
e7f34c23a0	860f4	মহাখালী ও এর আশপাশের এলাকায়
e7f3a42a25	bdd05	তথ্য অজ্ঞাত ছিল
e7f3f7477f	d82d9	চৈতন্যময়ের কি প্রকৃত উদ্দেশ্য
e7f4835191	0744c	মিজান সাহেবের দিকে তাকালেন
e7f4a92d8a	a0277	পঞ্চাশ ও ষাটের দশকে
e7f597b9de	29d44	একটি বড় নিম্নচাপ অঞ্চলের কেন্দ্র
e7f59bca62	e2c11	জন্ম থেকেই মেয়েটি বোবা
e7f5eb8dd8	b8bba	প্রথম গল্প
e7f628694a	b5fdc	এবং বলতে গেলে
e7f6bfeec1	0696e	বিবিসির সাবেক ক্রীড়া সাংবাদিক
e7f6c0e5bd	ea5be	প্রসার ঘটবে এটাই প্রত্যাশা
e7f6c63b77	5d12f	পূর্ণাঙ্গ পাবলিক বিশ্ববিদ্যালয়ে
e7f6ed1b99	c4973	মোতায়েনের প্রস্তাব
e7f6fff469	61820	বিজিবি মহাপরিচালক বলেন
e7f74ce6c7	35ef3	আনিসুর রহমানের ছেলে
e7f7a771e1	9f25e	তুলে ধরেছিলেন
e7f8821a7d	1e7c7	গোপন খবরের ভিত্তিতে
e7f8f9c093	6973e	এয়ারপোর্টে গিয়ে রাইড দিতে হয়
e7f9b871e2	a916a	ওই ট্রাইব্যুনালের
e7f9c330df	6973e	না হওয়ার ফলে এসব ঘটনা
e7f9e43083	91223	কোনো প্রকার ত্রুটি-বিচ্যুতিকে
e7fb1930a7	3c897	দুদিনে উত্তরাঞ্চলের কোথাও
e7fb246422	9d398	ভর্তি করে
e7fb61f437	9092b	আঘাত হানার সম্ভাবনা
e7fba70367	fcc89	ইউক্রেইনের হাতছাড়া হওয়ার পর
e7fbafe44d	c173f	আলোচনার পর সাংবাদিকদের উদ্দেশ্যে
e7fc24b137	4fd66	শিক্ষকেরা ঘরে ফিরবেন না
e7fc88768a	778c0	গিগসের অভিষেক
e7fd4dc9c3	4f450	নিভল অগ্নিশিখা
e7fd64385a	31f2a	ঘুরে বেড়ালে
e7fd6a3268	7b103	রাজাবাজারে নেই
e7fe300874	3f875	যে সকল চিহ্নে আমারই
e7fec04f9c	321b6	এখন পিওন হিসেবে
e7fed66da9	64092	মোষের পিঠে
e7feeb9059	6a35e	তাদের পরিধেয় সেই শাড়িটির
e7ff882d47	c3cca	লাইফ
e7ffd8eaba	698a4	তার মতো প্রায় আড়াইশ শিক্ষার্থী
