fc0095b096	0e637	মাঝে মাঝে কষ্টেরা আমার
fc84935f7d	06ea3	কপাল অবধি ঢাকা
fc84a5a4f1	f6e55	১৬ জনকে
fc856043e6	c7705	অধিকাংশ সমিতির নেতারা
fc8561c654	cfc65	নোলক বলে
fc856379b0	60f77	স্বপ্নেরও এক চেইন থাকে
fc8584268e	ff1eb	বাকি জীবনটা
fc86357423	9e923	নিয়ম ভাঙাটাই আপনার নিয়ম ছিল
fc869af99e	5cb47	আর ঐতিহাসিক বিবর্তন
fc871d96e8	1b359	সকল প্রকার জ্ঞানই
fc8722651e	8c120	একটি ইংরেজি দৈনিকে
fc87431a8b	bdd05	কে বাড়ি নেই, কে আছে
fc88528be8	491a5	বিভিন্ন এলাকা থেকে দলে দলে
fc88a08f70	ce629	যাবেন
fc88abe3b4	66dcd	গত সপ্তাহেই বলা হয়
fc89150833	0bace	কারো সুনাম, কারো দুর্নাম
fc892f40e5	43b04	আকসুর কর্মকর্তারা
fc8957deaa	ced74	আদি শঙ্করের
fc89974db8	13b70	বসতো পড়তে
fc8b2112e8	56508	ভুয়া ডিবি পুলিশ পরিচয় দিয়ে
fc8b756edc	2d98b	মিডল্যান্ড ব্যাংক লিমিটেডের
fc8bb6785f	29f8c	বাপ অসৎ কর্মে রত হইয়া
fc8c091db4	b9b98	জনের স্বীকারোক্তি
fc8c2a86cc	ad98d	সামঞ্জস্য বিধান
fc8c468b76	ee852	জুভেন্টাস অবশ্য প্রথমার্ধেই
fc8c8b2f8c	8632b	জীবনের শেষ দিকটাতে
fc8cd3489a	46d49	দায়িত্ব পালন করেন
fc8cee8899	dafb6	বিক্ষোভ করেছে পোশাক শ্রমিকরা
fc8d6b1171	c1e30	পরবর্তী কালে
fc8d926ee7	43b04	ক্যাপ্সিকাম টুকরা করে কেটে
fc8dd0c918	cc9fd	মড়ার মতো নিশ্চুপ হয়ে
fc8e8f6606	7d3e1	ক্ষমতার অল্টারনেটরে
fc8ef563d2	54e68	লক্ষ্যভেদ করেন বেল
fc8f22a808	9f25e	নিহত ব্যক্তি
fc8f986b4d	ab946	বইয়ের শুরুর ভাগে
fc8f99d9cc	c2082	পাটির ব্যবসা করেন
fc8f9ef2c2	06bb7	ঘেরাও
fc8fe2dadd	e50f1	ধবল পা জোড়া
fc903ef779	b4ea7	এভাবেই অসাধু ব্যবসায়ীরা
fc903f95b0	54cdd	মেয়েরা, হুমায়রা
fc904b8168	315e9	স্থানে আঘাত
fc90f37a63	b618b	গত বছরের শেষের দিকে
fc9132de94	dae88	আমাকে লেখাপড়া শিখাইবার
fc91646399	9351a	টমেটোর চাহিদা ব্যাপক
fc91c703e9	153c9	যদি ছিলেন
fc91cf5b96	1279e	হিমাগার থেক
fc92587344	29bab	লিচু গাছ
fc92a71598	1652d	রামকান্ত রায়ের উপার্জিত
fc9373f973	ad69a	বাংলাদেশে এইচআইভি/এইডস রোগীর সংখ্যা
fc942d5001	4fbd1	দৈনিক কক্সবাজার
fc9453889b	35ef3	অপেশাদার খুনিদের ছুরিকাঘাতে
fc947932b3	282d3	শেরপুরের বাজিত খিলা ইউনিয়নের
fc951be517	b8ed8	অন্যান্য বাড়িঘর, দোকানপাট
fc951ea524	f2097	তাই তার কথাকে
fc953b1e59	a1d4a	আমাদের মতন ম্যাচিওর মেয়ে
fc955b27e1	809cd	তাহের ও আশুরার সঙ্গে গণ্ডগোল হতো
fc959851ce	15a75	বন্দুক নিয়ে
fc95ced2b8	3ec4d	তেমন কিছু
fc95d91fd9	71522	সঙ্গম
fc962ff7ea	7d133	পরীক্ষা করে দেখবার পরে
fc9685cf15	16cfb	চলচ্চিত্রের জন্য গাওয়া
fc96aff89d	dae88	ভারতের কালিঘাটের মেয়ে
fc96ca40a3	e754e	এর বেশি গড়ায়নি
fc96e92706	ee852	আট লাখ তরুন তরুনী
fc9711a242	3d17c	এখনও যোগাযোগ রয়েছে
fc9719766d	860f4	পাল্টা হরতাল কর্মসূচিও এসেছে
fc97382e99	a3a6d	তাদের পরাজিত করে
fc9817e7a2	31f09	বেশ কিছু পণ্য
fc983a30ff	1cb75	আর কখনও তাকে
fc9871c8c9	e9fa7	মঞ্জুর বর্তমান ভবিষ্যত
fc98b5ac30	7b900	শোকের ছায়া
fc98e0fa29	cf82a	সপ্তম স্থানে আছে ম্যান ইউ
fc9908e239	23b22	এবং জনগণকেও
fc9978f212	7aed9	সেই অপূর্ব বুদ্ধির
fc9980dce1	92bb2	ব্রাহ্মদিগের সঙ্গে সমবেত হইয়া
fc999eabbc	5cb47	অবস্থান করার সময়
fc9afa7de3	16877	সাংবাদিকদের সঙ্গে
fc9b067ff1	1652d	ধনেপাতাগুলো তুলে নিন
fc9bc38995	d9817	সাথে পূর্ণভাবে
fc9c66ebcc	2556b	বলতে নেই
fc9c747ae8	f2097	তাঁর একসময় মনে হলো
fc9c892375	ac0df	খুলনা বিভাগসহ বিভিন্ন জেলা থেকে
fc9cffdc0c	fdcba	পিশাচ
fc9d3325e5	88654	বারবার উঠে আসছিলেো
fc9d804f82	92bb2	অভিযোগের সত্যতা দেখতে পান
fc9e379753	1652d	বিস্ময়কর লাগতে বাধ্য
fc9ebcc653	c7a89	এবার আগের চেয়ে
fc9f2c3a05	85430	আমি ভাবি
fc9f6b3840	a8710	আটকের পর অর্থের বিনিময়ে
fc9f7965a5	6ab59	দৈনিক ইনকিলাব
fca01c7ecd	29bab	এতে গ্যাসের চাপ কমে যাওয়ায়
fca034da54	b5fdc	পুরুষ এবং নারী ভোটারের সংখ্যা
fca03c626e	ab946	পদোন্নতি প্রত্যেকটা ব্যাংকের
fca043a4ee	b8ed8	চলে এ বৈঠক
fca063bc40	a1201	পর্তুগাল
fca08e3600	b8ed8	দুপুরে ইজিবাইকে করে শেখ আমির হোসেন
fca0c6579d	11bd2	বসবাস করতে দেওয়া হয়
fca0d28b5d	b2a62	ফরিদ আহমেদ দুলাল
fca13910f6	37e17	তাই কোনও আঞ্চলিক দলই
fca13f8454	420df	মহাশূন্যে অনন্য সুন্দর
fca1e08cbd	274ee	চট্টগ্রাম বন্দরে অপেক্ষমান রেখেছে
fca2e700ea	1652d	হুমকি দিচ্ছে না
fca347a69a	f143a	আমি নিজে এবং আমার বয়সী অনেকে
fca4e36d4b	7b900	ভাল কোন কাজের
fca545a640	1a2a1	সমাজ-বিশ্লেষণের যে ক্ষমতা
fca5464473	aab0f	সংসদীয় মৈত্রী গ্রুপ
fca5694771	4c555	বাংলাদেশের মানুষের জন্য
fca5bef0c6	83c53	শেষ পর্যন্ত হয়তো
fca5d18a9a	43199	যারা চোরাই পরিচয়পত্র
fca5d219ab	86b1b	লোকসংগীতের প্রচারের জন্য
fca612c1ee	3bb15	প্রথম বড় ধাক্কার পরেই
fca64139aa	a1d4a	নিজেই দোষী বলে মনে করেন
fca6712124	6b437	স্মরণ করিয়ে দেবার পর
fca6865b59	ce180	শেষটা আমার
fca68f4516	9d7bf	সংস্থার ডিরেক্টর ছিলেন
fca6b9adbb	321b6	অ্যনোরেক্সিয়া আর বুলিমিয়া
fca73b3cc0	1b359	পুরুষ ৫২%
fca78e2d1b	8ba2b	কোনো জাতি, সমাজের
fca7ade7e9	5cb47	তারা সে ঝুঁকি
fca7b1a87f	bdd05	ফরোয়ার্ড লুইস কার্লোসের গোলে
fca7f13fff	1e7c7	মানুষের ভিড়ে ঠাসা
fca7f50f1e	28bb3	ব্যস ধরে ফেলেছেন
fca8183acb	6dff5	প্রশিক্ষণ নিয়ে
fca82e12b8	d8c80	এফবিআই তিন থেকে পাঁচ বছর
fca94da100	1a4a9	অ্যাকটিভিশন ঘোষণা করে
fcaa53d529	b4ea7	আমরাও পাবনার মানুষ
fcaa7af88e	d1b12	তাদের ইখতিয়ারে নাই
fcaa9f9b60	c8f7f	গোল পেল জুভেন্টাস
fcaae1c8df	80539	ঐশী এ সময় বলে
fcab5ef39f	32b3e	শিউলি
fcab94e80e	18460	পুরো নাম শামীমুন নাহার লিপি
fcab972e22	1a2a1	বরং এই দ্বিতীয় দফায়
fcabd15ae8	c958a	বীরশ্রেষ্ঠ
fcac0689b8	03284	সাধারণ ভোটকেন্দ্রে
fcac4e4bbf	18a52	ভারতের প্রেসিডেন্ট নির্বাচিত হয়েছেন
fcacc7a00a	860f4	জার্নাল, বই, বইয়ের শেলফ
fcad2c6ad4	43b04	ঘন বনাঞ্চল হয়ে
fcad2e2895	976b1	পুরুষের টাক নামে পরিচিত
fcad4e40b0	a4750	ওরা যে-ফুল তুলতে চেয়েছে
fcad6a1f15	cf82a	ফেনীর দলটি
fcad7037b4	24f73	সারা পৃথিবীতে উজাড় হয়েছে
fcae10fe71	c463d	এ সমস্যা মোকাবেলা সম্ভব
fcae46633f	121bd	আসামিপক্ষ তাদের প্রত্যেককে
fcae884e68	57d54	সেই দৃষ্টিকোণ থেকে
fcaf0256f7	1a2a1	ব্যাক্টেরিয়ার উপস্থিতি
fcaf35e0c6	7ee9b	জন্ম ১৮ নভেম্বর, ১৯২৩ থেকে
fcaf627aa3	239f7	গাড়ি নিয়ে দ্রুত
fcaf83510d	0d4cb	আমরা শুধু সহায়তা করেছি
fcb042e332	bf530	মাঠে রাখার সিদ্ধান্ত নিয়েছে
fcb06e0d23	93080	জমিদার
fcb1243727	aa820	কোনো স্থানের
fcb1468127	9f25e	কাছেই পানির ব্যবস্থা রয়েছে
fcb151f67d	d3e06	ভর্তি কার্যক্রম চলছে
fcb1577561	e9fa7	কিছু আছে কি না
fcb159c830	f837a	আজ রোববার দেশব্যাপী
fcb186c7dd	29d44	তার দায়
fcb18a828c	bfac7	আঘাত হচ্ছে জিতবার চাবিকাঠি
fcb1d1ffe1	b9b98	এদের দিক উল্লেখের
fcb1e71c75	83c53	এই নির্বাচনে দেশটিতে
fcb222e0e6	acb88	মাথা হেট করে দিয়েছে
fcb24c041b	2909b	খুলনার প্রত্যন্ত গ্রাম থেকে
fcb2890ec6	57d54	বেস্ট মুভি
fcb2a527e9	1a2a1	তবে বিবিসির খবরে বলা হয়
fcb2b04b39	eb179	মি. ওবামা বলেন বিশ্ব এখনো মনে করে আমেরিকা এ পদক্ষেপ গুলোর প্রতিনিধিত্ব করবে কিন্তু উন্নয়নশীল দেশগুলোরও পরিবর্তন আনতে হবে।
fcb2e528ab	b52ab	একটি বার লেজ ছুঁড়ে
fcb32fb40d	e00db	খুলশী থানায় একটি মামলা করেন
fcb330b6df	ad98d	প্রতিনিধিরা থাকবেন
fcb3969ae6	f0f95	নির্মাণ সম্ভব
fcb42df2ef	69449	মঙ্গলবার ডিএসইতে
fcb458378e	5e80b	একাধিক মামলায়
fcb4874c54	0744c	আগামী ২৫শে জুলাই
fcb4b8e35e	25696	গুরুত্বপূর্ণ রাষ্ট্রীয় আলোচনা
fcb4bd1a34	56508	বর্তমান সংকট থেকে
fcb4edceb5	8a46d	কবে তুমি
fcb54b64a7	eaa7a	২০ ফেব্রুয়ারি ২০১৪ বৃহস্পতিবার পর্যন্ত
fcb54bee28	b4ea7	রেশমাকে উদ্ধার করা হয়
fcb5d779cb	46d49	যুবকের সঙ্গে
fcb635c68e	e7230	পরিদর্শন করা হয়েছে
fcb66a220c	e6203	০ থেকে ৭ পর্যন্ত
fcb6cf6229	37d7e	পুরোনো প্রেক্ষাগৃহ
fcb6d388a0	7297e	ওয়েইন রুনিকে
fcb738ed8c	29089	চিন্তার কিছু ছিল না
fcb7f79f43	2aecc	সেখানে সহকারী রির্টানিং অফিসারের কাছে চেয়ারম্যান পদে খান আলী মুনসুর ও মহিলা ভাইস-চেয়ারম্যান পদে শিরিনা দৌলতের মনোনয়নপত্র জমা দেয়া হয়।
fcb8925793	1e7c7	জুলাই নাগাদ সারা বিশ্বেই
fcb8c10261	39dd0	তাহা অল্পদিনেই ভাঙ্গিয়া গেল
fcb8c1ae24	e00db	শ্রীলঙ্কার সাবেক
fcb8d98929	7027a	কতকগুলি টাকা লইয়া
fcb8da7a17	ff1eb	পরিবার হয়েছে
fcb9a48bb9	2ecf8	কীভাবে নিজেকে দূরে সরিয়ে
fcb9bab065	4fbd1	যুক্তরাষ্ট্র ও কানাডার
fcb9bb2084	0744c	মোগলটুলি এলাকা থেকে
fcb9c4194e	44322	মামলা র‌্যাবের হাতে
fcba3a6648	cc18a	অনেক মারমা
fcba9d4d06	f2097	এখন তা বেড়ে দাঁড়িয়েছে
fcbaa649ed	404ee	মাত্র তিন বছর আগেও
fcbab1506e	3fc9d	কেহ কাপড় ধরিয়া টানে
fcbb23b370	9f25e	প্রকাণ্ড টাক পড়ে গেল
fcbb53a350	24f73	যৌতুক প্রসঙ্গ
fcbbb87d37	0d8c1	দাদা বললেন
fcbbf46880	93080	রুদ্ধদ্বার মুক্তপ্রাণ ষাটের দশকের
fcbc06290f	0b7ca	মোহাম্মদপুরের নিজ বাসায়
fcbc1e27d1	880ae	জীবিত অবস্থায় বের করে আনা হয়েছে আড়াই হাজারের মতো মানুষ।
fcbc5af578	bfac7	মেলবোর্নে অনুষ্ঠিত
fcbc8a9660	16877	হাসতে হাসতে উঠে আসেন
fcbd5138ab	aa820	আর কতক্ষণ লাগে
fcbd606743	e2f12	১০৬ রান তোলা
fcbdaf03f9	49d63	আবার কখনো
fcbdf41cf1	536d9	বেসরকারি খাতে স্থাপিত
fcbe32bf8a	0633a	তৈরি করা যাবে
fcbe672b3f	ca088	সর্বাপেক্ষা জনবহুল প্রদেশ
fcbf9eae3f	430b2	চীনে সয়াবিনের ছত্রাক আক্রান্ত দই
fcbfe29806	31f09	ইসলামিক ফাউন্ডেশন বাংলাদেশের
fcc108c183	1b359	পরিবহন শ্রমিক-মালিকদের বাকবিতণ্ড হয়
fcc15e7a29	ac0df	তখন ইলিয়াস-সাহিত্য
fcc1d346b9	1e7c6	খেলতে দেখা যায়
fcc1e219a1	f280a	সব ভারতীয়কে তিনি
fcc27bc2ae	80e98	মেয়ে বোবা
fcc2a814dc	7b132	প্রকাশ পেয়েছিল
fcc2dd7528	9d7bf	বিশ্বের বৈশিষ্ট্য বা প্রকৃতি
fcc2fb4bae	4f450	প্রমাণ করে
fcc3424be6	fdcba	দামি বইয়ের
fcc349a440	e2f12	এক অনুগত দাস
fcc3d0997c	b78ec	তাদের গাঁয়ের মালোরা
fcc46be410	76329	কেউ কেউ গরু বা ভেড়ার জন্য
fcc4b57878	b618b	ভাইটা, হ্যায়ও কান্দে না
fcc4ea7c39	5d80e	মাত্র শুটিং থেকে ফিরলেন
fcc527044a	3ccf1	হারুনুর রশিদ জানিয়েছিলেন
fcc552f3c6	6a35e	ওয়ার্কার্স পার্টি সমর্থন জানিয়েছে
fcc61797ff	35ef3	এসব মানুষের জীবন
fcc62307a9	4dd57	নেতিবাচক ভাবমূর্তি
fcc643659a	65e30	ওষুধই দিয়েছেন
fcc6493d9b	3bea8	৫ জন ক্রু নিয়ে
fcc64d6caa	f7a7f	জন্মালেন না কেন
fcc6c59159	64092	সার্ক নেতাদের
fcc6ef996c	c11b1	ডেকে এনেও দেখালেন
fcc729db59	75f18	গিলে খাবে
fcc73a7a84	80505	পশ্চিমবঙ্গ এবং বাংলাদেশের সাহিত্য অঙ্গনে
fcc73dbca0	b8fe1	পোস্টকার্ড শিল্পী
fcc767d778	315e9	স্বীকৃতি ও আইনি সুরক্ষার
fcc77bdab9	eaa7a	দেশটিতে সাম্প্রতিক সময়ে
fcc77ec1e8	83c53	আইনজীবীদের অনেকেই
fcc79ec654	09f0d	টানতে টানতে
fcc860af2e	274ee	দেখিয়ে দেওয়া
fcc8a07125	f0f95	অনুসরণ করে
fcc8b00234	6ee5f	গণমাধ্যমের ভূমিকা নিয়ে
fcc8d6c5e8	92f59	রোম সভ্যতার পরই
fcc8dcb304	f0f95	সবচেয়ে বড় শক্তি বোধ হয়
fcc90cade4	c11b1	চিকিৎসা বিশেষজ্ঞদের মতে বিলম্বিত ও বাধাগ্রস্থ প্রসবের কারণে প্রসবজনিত ফিস্টুলার সমস্যার শুরু।
fcc985c1c7	d9b11	সেখানেই তাদের প্রতিরোধ করা হবে
fcca4f951b	6c17f	নতুন প্রেমিক-পুরুষের আশ্রয়ে
fcca52057c	c11b1	ফোন করে
fcca646a44	b8bdd	যে অধ্যায়ের সৃষ্টি হয়েছিল
fcca701e7b	a1201	বাংলাদেশের আইন প্রতিমন্ত্রী বলেছেন
fccab3ee4b	76329	দুদকের তদন্তে এ তথ্য
fccaba92c6	9065c	রাক্ষস বিবাহ বলে
fccb1e1221	bfac7	নিজের মান ও গৌরব
fccb88b4e8	53396	হিন্দুদের একটা অংশ
fccb8afe5b	3fce2	এ যৌতুক ব্যাধি
fccba7225a	e6203	মাল্টিপ্লেক্সকে ঘিরে
fccbc70bc7	315e9	সারা দেশের জেলা প্রশাসক
fccc147740	7027a	ব্যাংক এশিয়া
fcccb434a9	dafb6	রাখতে হচ্ছে
fcccc29ff3	e3d8b	ফিনফিনে সাদা ধুতি
fcccc9f950	ad050	ফেব্রুয়ারির পরে
fccce677dc	ea8fa	পর্যটন অস্ট্রেলিয়ার
fccd0e077a	ab946	নীল ছবি
fccd8e0147	09f0d	গুগলের তুর্কী
fccdd17845	b52ab	কাগজে কলমে
fccdd7c4cd	c173f	এমন বাজেট নির্ধারণ করা দরকার
fcce68665b	9d46f	উপেক্ষা করার মতো
fcce8fc574	3f493	বিমানটি পড়েছে বলে
fcced0ea31	8cf95	গতকাল ঐশী গোয়েন্দাদের কাছে বার বার মিনতি করেছে, তাকে যেন সংশোধন হতে একবারের জন্য সুযোগ দেওয়া হয়।
fccf8fc90b	9642e	কথা জানান মুনমুন
fcd0027c7d	49d63	বাকি পুরুষদের
fcd0194df4	d9817	এবারের ঘটনাটিও অগ্নিকাণ্ডের
fcd06184ea	0e637	পালটে যাবে
fcd1350b33	13b70	ঠিক তেমন কিছু চিঠিতে নেই
fcd14e8967	98b81	১৯৭৫ সালে
fcd16fbc1e	809cd	সে শ্রেণীভুক্ত নন
fcd18ba9bf	93080	তাকে দুপুর পৌনে ২ টার দিকে
fcd1b2dfb6	60f77	সুযোগ পেয়ে গেলাম
fcd22e09d9	8c120	কবর দেয়ার জন্য
fcd2349c86	745b7	এর আগে রুশ-পন্থী সৈন্যরা
fcd24e8587	8edea	সেটা এখন একেবারে পরিষ্কার
fcd2a2825f	2ecf8	মোঃ রেজানুর হক জুয়েলের
fcd2bf4fac	2556b	যেমন শিক্ষণীয়
fcd2d17291	2d98b	কোন পরিসংখ্যান নেই
fcd2edb890	68549	আগুন জ্বালিয়ে বিক্ষোভ করে
fcd33c7139	52578	দেখতেই পাচ্ছি
fcd33f1810	1c618	প্রধানমন্ত্রীর কার্যালয়কর্তৃক পরিচালিত
fcd350afeb	33aef	রাজশাহীতে এই নির্বাচন
fcd37ebd34	0895a	ক্ষমতাসীন থাকা অবস্থাতেই
fcd3a2d2b3	80505	সেখান থেকে বাগেরহাট হয়ে
fcd41c6990	91b16	একটা ক্ষীণ জলস্রোত
fcd45dd381	e6752	লিমনের কানের কাছে
fcd533fd2f	ac0df	উল্লাস করছে
fcd53de599	b618b	অন্য কারও নাম
fcd550b75a	7b103	বিরোধী দলগুলোর
fcd59da8f0	6ab59	এখনো পর্যন্ত সরকারের তরফ থেকে
fcd5ac41e7	ef4f8	এবং তিনি জানিয়েছেন
fcd5be3867	d9817	আঙ্গুর এসব ফলে
fcd68ccd3a	6da0a	বাড়ি ছাড়েন
fcd7a52810	7e1d5	গ্রামের লোক হাসিয়ে
fcd7f8773c	2de86	মাঝ বরাবর সিঁড়ি
fcd828d954	d7a68	খামারবাড়ি স্থাপন করলে
fcd8ab5b7e	06527	তাঁর চোখের সামনে
fcd917710a	4ea73	প্রথমে মঞ্চে
fcd91fa8c4	e89bb	বিশ্বাস করতে পারছি না
fcd9c05c9c	91ac1	বিয়ে পড়ানোর কথা রাত আটটায়
fcdaa5dfb7	e43d4	ভাষা সহজ, সরল, অনাড়ম্বর
fcdb2dcca6	ac0df	সাম্প্রতিক গরমের কারণে
fcdbf9bc5a	ad2a0	সাংবাদিক ইউনিয়নের একাংশ
fcdc3b3335	6da0a	নক্ষত্র ‘বিশাখা’র নাম থেকে
fcdcb993bf	ff1c3	বোঝা খুবই মুশকিল
fcdceba5eb	2aecc	এসথেটিক এ অর্থে
fcdd3f29a0	b9122	উপন্যাসটি তুলে দিয়ে
fcdd4ecc7c	7ed14	এ ব্যাপারে থানায়
fcdd594f3b	3d17c	হত্যা করিয়াছিলেন তিনি
fcdd62cd80	7e1d5	কনা, এলিটা, পান্থ কানাই
fcdd8b6b97	9065c	খোঁজ আর করেন না
fcdda82ca8	05901	বুধবার থেকে দেশটিতে
fcddd0ad14	4bd2c	উত্তরে কৃষ্ণ যাহা বলিলেন
fcdde23e55	18a52	চার থেকে পাঁচ শতাংশ
fcddfe874d	f2780	এছাড়াও কিছুদিন আগে
fcdf80c792	e55de	আমরা স্বয়ং নির্গুণ হইলেও
fce028844a	c958a	কিচ্ছু ঠিক নেই
fce0e67148	0d8c1	বেশিরভাগই মনে করেন
fce0f13e51	6973e	সারা ঘর
fce15a66d6	93d3b	ইংল্যান্ডে কাউন্টি অভিযান শেষে
fce18d2565	7b103	এই সম্প্রসারণের ফলে
fce1fbcd43	eb179	নাশকতা
fce269155c	29d44	দিল্লির কমনওয়েলথ গেমস-এ
fce27d6a98	21e54	রোনাল্ডো ও পেলে
fce2bbba02	355c1	সারাদিন রোজা রাখার পর ইফতারির আয়োজনে থাকছে নানা পদের খাবার, যা মুখরোচক হলেও তার পরিমাণ ও স্বাস্থ্যগুণ নিয়ে পুষ্টিবিজ্ঞানীরা উদ্বিগ্ন।
fce32f1e73	dec2d	যার পরিপ্রেক্ষিতে
fce39b9981	880ae	ক্ষমতা দখল করে
fce43de445	3faff	দলে এসেছেন এই পেসার
fce47b833b	698a4	আল-কুরআন
fce4ca9f23	a0277	তাহলে সুকান্ত সম্পর্কে
fce503fbb2	5dd61	৯ জানুয়ারি ২০০৭ তারিখে
fce52de0a6	d1b12	একটি মাধ্যমিক বিদ্যালয়
fce551c41c	eecdd	পরিষ্কার মনে
fce55c949f	93d3b	আশা চলে যায় ভারতে
fce5d71715	321b6	জানালায় নেট দিয়ে
fce65bf6d1	0c39f	বহু আলোচনা-সমালোচনা
fce6803841	e03fc	জাতিগত সংখ্যালঘু তাতারদের
fce6b46a42	3fb17	বন্ধ করতে না পেরে
fce6d92b3a	c5479	যে 'মোদী-ঢেউ' উঠেছে
fce72328ba	dfefa	যুগের পর যুগ ধরে
fce752e537	2d78f	যখন দেখল
fce76c60ee	0c39f	পড়ার ফাঁকে
fce8ada12f	bc81e	সতর্কবাণী দেয়
fce8ec1230	6c6bf	অস্ট্রেলিয়া ২০০৯ সালের
fce9581804	77f82	এত বড় দুর্ঘটনা ঘটেছে
fce9b29b8e	98b81	দর্শকদের একাংশ
fce9b495d0	153c9	কাঁধের বন্দুক
fcead68f98	9f25e	আগুন ধরে যায়
fceb0c77e1	fd880	চাপ অনেকখানি
fceb2ea54e	c6848	রিমান্ডে থাকা রনি মূলত
fceb4cda11	2de86	পরবর্তী শুনানি আগামীকাল
fceb8d06cb	dec2d	অনন্ত
fcebad3d73	43199	অন্নদাশঙ্কর রায়
fcebe3c196	6973e	জেগে উঠেছিল
fcec393734	ca831	সুপ্রিম কোর্টের খামে করে
fcec897a61	6ee5f	অসুবিধে হল না
fcecc9e348	13b6a	বাংলাদেশ ও ভারতে
fcecd693ce	28dfc	ভীষণ ভিড় থাকে
fceda16487	6e6fa	পরিসমাপ্তি ঘটবে
fcedbdcab8	f0f95	হাজির করা
fcee10e43f	db181	রেজ্জাক মোল্লারও নেই বলে
fcee4da631	d9b11	নির্যাতন বা ধর্ষণের কারণ
fcee59a69b	1e7c7	এক্সেলের জন্য
fcee88b068	ee852	স্পট ফিক্সিংকাণ্ডে
fceea11de7	e6e48	গুরুত্বপূর্ণ প্রশ্ন
fceeacd060	1c618	ভারতে অপেক্ষারত
fceebf4c36	a274b	টিকিয়ে রাখতে পারে না
fcef2c09df	2aecc	লাট আসছেন
fcefea3b1b	9fa90	চমৎকার মৌসুম পার করা কার্তিক
fcf020b094	d2faf	গোল করে
fcf14f31df	8143b	রুহী ও মনসুর আলী
fcf17cc3c3	09f0d	সেটা তিন-চারটে
fcf29ce7f3	ec91c	ও অগ্নিসংযোগ করেছে দুর্বৃত্তরা
fcf347a6f9	e6752	বেশ কয়েকবার চেষ্টা করেছি
fcf39d0c76	0f047	একা মেয়ে
fcf41e4d7a	ff1c3	এ বছর এ শিক্ষা বোর্ড থেকে
fcf424218b	577fa	পুলিশ কর্মকর্তা ধীরাজের
fcf4c26d38	c5479	লক্ষ্য করলেন
fcf5047eba	60b9d	সময় লাগে মাত্র
fcf596498b	e2c11	আইনজীবীরা তা করেন
fcf5a7912e	aab0f	৪ হাজার ২০০ টাকা বেশিতে
fcf5c573ee	4f2ae	এই দিনে এই রকম টিপটিপে
fcf5d4d6cd	10a9f	বাংলাদেশ সরকারকে ধন্যবাদ জানাই
fcf617ad92	c11b1	তাদের লালরঙা
fcf6d4c768	121bd	বিলাসী
fcf74cb9fb	4a67e	শেষ আটে ওঠার
fcf7eab8ea	6b437	গরিব বলেই
fcf81afa39	65e30	নিজেকে গড়ে তুলতে চাইনি
fcf826abb1	33814	এবং বিরোধী দলীয়
fcf884cb7b	7027a	দন্ডপ্রাপ্তদের কেউই আর ফিরে পাচ্ছেন না তাদের চাকরি।
fcf9346f44	f1ea4	পসাইডন ভাবলেন
fcf93af4c8	eb179	কর্তার কথায়
fcf9dafa41	967fd	অপেরা মিনি দিয়ে ফ্রী ইন্টারনেট
fcfaa2eced	d8c80	ফলে সরকার গঠন করা
fcfae2ea32	aabe7	এর মধ্যেই ওই ভবনের সামনেই
fcfb0a99f4	c41d8	সর্ব দলীয় সরকার প্রধান হতে চান
fcfb146dc9	49543	প্রেমিকা
fcfbad91ac	11de3	১৬৭৬ সালে
fcfbdbf459	2fe3c	ঘুম নেই কারো চোখেই
fcfc107184	c4973	বেশ নাম কুড়িয়েছিলেন তিনি
fcfc71aef7	430b2	পুরনো বন্ধুর সঙ্গে
fcfcedf82d	2f547	অধ্যাপক আনিসুজ্জামান
fcfd1974ea	ef4f8	ঝড় থামল না
fcfe6764a3	3c897	পৃথিবীকে পূর্ব পশ্চিমে
fcfe897a9c	16a17	যে ক্ষণে সংস্কৃত শিখিতে
fcfeeeb2cb	e2ba2	খইরা গ্রামে
fcff023bc2	5a61c	পুলিশের আবেদনের ভিত্তিতে
fcff29fc65	8143b	ঠিক করলাম
fcff6500a7	7ed14	অনেকগুলো মেয়েকে
fcfff327d9	28bb3	নীলফামারী সদর উপজেলা নির্বাহী কর্মকর্তা
