620035900a	3fce2	সবগুলো কবরই
628c00d1a5	2909b	কবির বলিয়াছিলেন
628c37432d	d136b	ছোঁড়ার মত ব্যাপার
628c4e4595	7e1d5	শ্রাবণ মাসের
628c666552	bc81e	রোববার মামলার রায় ঘোষণা করেন
628c8dd7af	3fce2	সহমত পোষণ করেন
628d5c2b63	bdd05	শেষের কবিতার
628da86b3e	cfc65	গরম তেলে
628e8ae96f	fcefa	কৃষ্ণ জানিতেন
628ec3adaf	8c120	এর বিপরীত হল
628eda2e7f	b52ab	এক উদগ্র প্রতিযোগিতায়
628f664300	31f2a	মুসলিম
628fa440a8	7d3e1	অনেকগুলো চালু করেছে
6290db4150	86b1b	নিজেকে গড়তে হয়
629161099e	4c1eb	ভারপ্রাপ্ত কর্মকর্তা জানিয়েছেন
6291ca95e3	bdfc1	এগিয়ে ছিল
6291cc6688	91ac1	সময় কাটাতেন ধীরাজ
6292081256	7297e	আমার কাছে প্রকট মনে হয়
629229d891	91dff	দ্বারস্থ হন
6292a8d433	967fd	শিশুদের জন্য তা হতো
629320fa63	fcc89	সূর্যের আলোর বিক্ষেপণের ফলে
629357f507	e89bb	একটি ভাষা
62936cc9c7	256f5	ফরমালিন দেওয়া দুধের তৈরি মিষ্টি বা দধিতে স্বাদ ও গন্ধ পাওয়া যাবে না।
6293935449	06736	বসে থাকা দলের
6294091834	1de6c	পরাধীন দেশে
629419641e	84145	তুমি কোথায় যাচ্ছ
62941e3311	536d9	পরিকল্পনা করেছিল
6294b93b93	73629	শীতকালীন অলিম্পিকের
629584f21d	f600a	পররাষ্ট্র মন্ত্রণালয়ের পক্ষ থেকে
6295bb9b49	6fb36	সরকারি-বেসরকারি উদ্যোগে নির্মিত
6295ce9d8c	7d3e1	খুঁটিনাটি করিলে
6295d4e6e7	0a7a0	ঋতুপর্ণ ঘোষের মরদেহ
62961c7a9d	8143b	দ্বীপবাসী রক্ষণশীল হওয়ায়
6296214fa9	9813c	প্রবেশপথ দিয়ে যেতে হবে
6296cdbc1c	dfefa	অন্য সংগঠনগুলো
6297429638	b00ba	মাধাখলা গ্রামের এ ঘটনা ঘটেছে
6297a9249e	e03fc	ফিরিয়ে আনতে
6297ef76cd	12702	নিজেদের অভিজ্ঞতা
62980a47f7	e2c11	পরিণত হন
62983ce09a	cfc65	তাহার অতিরিক্ত
629881285c	6b437	চরম দুর্ভোগের শিকার হয়েছেন
6298acccc5	c3cca	প্রতিষ্ঠানের মালিকরা
6298ce2937	6d129	শরীরটা দস্তুরমতো
6298d40946	f143a	যদি এড়িয়ে চলার
6298e475eb	0f047	তুমি সুন্দর তাই চেয়ে থাকি
62992890a3	9065c	সম্মেলনে মাহবুব আহমেদ
629936e17c	2fe3c	অব্যাহত ছিল
6299ad2829	0c39f	এখন কোথায়-এ নিয়ে শুনবেন
6299c5a805	61820	কাতর চোখে নয়
629a86a8da	c8f7f	পাঁচীকে পিঠে বহিয়া
629ac7c983	8edea	বার বার কাকুতি মিনতি করার পরেও
629accfea9	ad98d	ঔপন্যাসিক এবং ছোটগল্প লেখক
629b072b29	2de86	প্রতিকার কি
629b224027	2b883	মায়ের বাড়িতে রেখে আসা
629b5506c0	1f733	তৃতীয় রাউন্ডে মোট
629b79f7bd	32c77	ইসলামের অনুবর্তী হয়ে
629b7a8652	7df87	কে জানে
629b810873	274ee	ফিটনেস ট্র্যাকার সমৃদ্ধ করতে
629b88bc9a	47e8d	দেশ থেকে
629bb7b777	93080	পরখ করে নেয়
629c08e9a9	4a67e	চট্টগ্রাম বেতার কেন্দ্র থেকে
629c39b849	9351a	পোলসমুর কারাগারে
629c5940f9	3b1f7	রাজস্ব আয় করে
629c744995	18a52	বলে জানা যায় না
629ca62f94	59c73	মাসব্যাপী প্রতিদিন সন্ধ্যায় থাকবে
629cf4351d	7297e	কতিপয় মোটা অভ্যাসকে
629d021fe3	d9081	মিসেস ফিগের ভূমিকায়
629deeaf96	e6752	১০ই জানুয়ারি ঢাকায়
629e582959	6dff5	স্ত্রীলোক
629e90f210	1f733	সংঘর্ষে উভয়পক্ষই
629eaf652d	3fb17	সারদা কিনল কেন
629eb3df5a	536d9	দেশটির অন্য সব এলাকা থেকে
629f0b538c	95907	ভেবে পেলেন না
629f4fa684	4486f	মোমেনুন্নেছা সুমি নামে
629f738635	a06a1	আমার সাথে লড়
629f87354c	3f875	শিক্ষণীয় গল্প
629fe64dd4	0b7ca	তাদের দক্ষতার অভাব রয়েছে
62a0a73908	3f875	তুমি আমার নিকটে আসিয়া
62a0b6bc68	08458	ক্রিকেট তো একটা খেলাই
62a0c9ed1c	388c9	রিক্সা খানিক থেমে আছে
62a0f271b4	82926	তাদের জন্য এই শীতের
62a11b21a3	730c3	বাংলার সুন্দরবন
62a11def3c	6aac8	জানাতে পারেননি সংশ্লিষ্টরা
62a16c6bec	91dff	ভয় পেতাম
62a1c5ec4a	4f2ae	এই নির্বাচনে অংশ নেবেন
62a2c0e2ab	ee994	শেষ ৪ ওভারে
62a2e3b59a	8845d	রেজিস্ট্রার স্বাক্ষরিত ওই নোটিশে
62a2ee1a65	f837a	পর্যটকদের স্বাগত জানাতে গিয়ে
62a37d9a7a	d5f7b	মহিলা ও শিশু বিষয়ক মন্ত্রণালয়
62a3dd1ae4	4c1eb	বন্ধ করে দেয়াসহ
62a4236a45	69d9a	ইয়েমেন দুবছর ধরে
62a4967da7	5dec6	তাহা নহে
62a4bee3a0	410fa	চেয়ারপারসনের গুলশানের রাজনৈতিক কার্যালয়ে
62a4f09a11	9282d	এটা নির্ভর করছে
62a537c0fc	4ea73	উপজেলা স্বাস্থ্য কমপ্লেক্সে
62a5b8f933	ff1c3	কর্মকর্তা-কর্মচারীদের কাছ থেকে
62a606e542	dec2d	সহনশীলতার আদর্শ
62a610e132	28dfc	তাহলে থাই রাজনিীতি
62a6a4afc0	ea5be	অনেককেই বলতে শোনা গেছে
62a6d19cc2	ce629	বাহির করা প্রয়োজন
62a7309589	a3a6d	একটি সেটের দ্রুত কাজ
62a747c2dc	8ba2b	তারা সবাই
62a781fd34	dec2d	আল আমিন জানান
62a798e7ad	7ed14	বিএনপি-জামায়াত জোটসরকার আমলে
62a7adf8b9	39dd0	কখন এ যুবক
62a7f8eeda	58998	দেবী চৌধুরাণী নির্মাণ করেন
62a859bd9d	9351a	প্রধানমন্ত্রীর কার্যালয়ে
62a8e0dd16	e2ff7	ক্রমান্বয়ে বেড়েই চলেছে
62aa5f5272	b2a62	প্রথমবারের মতো ইরানী বিশ্বাস
62aab73523	b8ed8	বুটের লাথি দিচ্ছিল
62ab0585d6	6c6bf	কুলফি বরফটাতে
62ab09219d	76329	নাটকে আবুল হায়াত অভিনয় করেছেন
62ab1c2fb0	9b864	অক্সফোর্ডশায়ারের সবচেয়ে
62ac14e3a3	3f875	সিদ্ধান্ত পরিবর্তনের জন্য
62ac5c6bd6	a274b	চিরদিন জেগে থাকবে
62aca36ed0	3fce2	কোয়ারেড আরও কত কী
62acd513bf	351dd	অনিরুদ্ধও নিহত হন
62adc85531	ee994	আমাদের আহ্বান
62adf33950	1c618	বিসদৃশ ঠেকেছে
62ae0cfc58	dae88	এটাই আপনার আমল
62ae7bec48	b2a62	পরবর্তীতে শ্রমিকদের
62af2c32b1	73629	সংক্ষিপ্ত প্রতিবাদ
62af52d8dc	430b2	অস্তিত্ব ছিল
62afc4cfda	a8710	উঠে দেখেন
62afdf1714	33aef	তাদের দল থেকে
62b038d9f3	75626	ঢাকায় যেকোনো
62b06d9d0b	5dec6	দ্বিতীয় ভাষা হয়ে দাড়িয়েছে হিন্দী
62b09b8a3e	b8ed8	সমাজ সমৃদ্ধি লাভ করে
62b0a56050	ad050	মুঘল সাম্রাজ্যের পূর্বসূরি
62b0ae9fac	520fb	সবমিলিয়ে শাওন দ্বিধায়
62b0b9c563	e6e48	দাম ৪০ থেকে ৮০ টাকা
62b124123b	66c6b	যোগ হলো আরও দুটি নাম
62b34bdbee	ac904	এটা বলা কঠিন
62b43749be	31f2a	বাড়িতে আসার কথা বলে
62b5347f07	a3a6d	আই পি এল বা বি সি সি আইয়ের
62b59e423c	8632b	পালন করে গ্রামবাসী
62b5b18076	6aac8	কারখানা থেকে
62b67e9dcf	54e68	বাংলাদেশ পিরোজপুর
62b74aa0cc	315e9	বশীকরন
62b77a2aab	4a67e	বেশ ইংরেজী জানে
62b77e77a3	f280a	নিউ ব্রিটেনের
62b78072b1	b8ed8	উপজেলা পরিষদে উপস্থিত হলেই
62b7863dd3	d9081	মুখ
62b8dd7e74	f600a	মুখর তারা
62b98824cd	b8bdd	সে-দলের প্রত্যেকেই
62b99cb4a5	08458	জন্মগ্র্রহণ করেন
62b9e075de	d5213	বিশ্বকাপে চিরপ্রতিদ্বন্দ্বী ভারতের বিপক্ষে
62b9e6fd44	6a35e	এই মাসের ২৫ তারিখে
62b9fe701e	13b6a	গুপি কথায়
62ba01bb33	91ac1	পরে আমি ওনার সঙ্গে
62ba454d70	91223	তাই আমাদের এত ভোগ হইতেছে
62badee1f6	53396	বই
62bb25784f	2c9c5	বুলগেরিয়ার কাছে হেরে
62bb5e9c1e	ba2f6	বিএনপির ভারপ্রাপ্ত মহাসচিব
62bb6830fd	6aac8	জয়দেবপুর সংগ্রাম পরিষদের
62bbb08387	d711f	সরাসির পশ্চিমতীরের উদ্দেশ্যে
62bbc44e1d	5dec6	ভাবা হলেও
62bbcdaddc	66b3c	চকবাজারের সবুজ আড্ডায়
62bd5a8719	18460	ইচ্ছেমত খেয়েছি
62bd7e70c1	e3f89	মঙ্গল-অমঙ্গল উপেক্ষিত
62bd8521cc	5dec6	পরবর্তীকালে হ্যারিসের মৃত্যুর
62bdffd7ca	4bd2c	রয়েছেন মোহাম্মদ মুশফিকুর রহিম
62be24060f	a3a6d	মামুনের শিল্পচিন্তার অন্যতম কেন্দ্রবিন্দু
62be2b6ff4	68ab7	চঞ্চলের গ্রিন সিগন্যালেই
62be380c67	cb842	একাধিকবার আহ্বান জানিয়েছেন
62bf6537ba	4fbd1	এতে খুব দ্রুত
62bf98c0b3	a06a1	যশোর
62bfd56dd2	2d78f	আপনাদের যুবসমাজ
62c00d8fb6	65652	একই এলাকা
62c085d750	ef915	আশাবাদী ছিলেন তিনি
62c09d8dd8	b8ed8	তার জন্য অপেক্ষা করে
62c0b59dab	d41be	বাংলাদেশিদের বন্ধু ভাবা
62c0d5881e	ce775	স্কুবা ডাইভিং সরঞ্জামগুলো
62c125e170	0696e	সব রাজনৈতিক দলের
62c2612c9f	cf82a	‘আদি’ নামে
62c32a8760	809cd	বিচ্ছিন্নতাবাদী বিক্ষোভ শুরু হয়েছে
62c3de35bb	2909b	তাই আমি মনে করি
62c44a7a47	80539	তাহাও প্রক্ষিপ্ত
62c47d5ab2	ea8fa	বিষয়টি প্রাধান্য পেয়েছে
62c4829498	7d004	প্রকাশ পেয়ে আসছে
62c4a42ba3	f2b7d	যত বেশী তার
62c4e7a0d6	ff0fe	দু ঘন্টাও
62c53603ad	0c39f	সাম্যের ভিত্তিতে প্রতিষ্ঠিত হতে
62c5525c7f	7ee9b	রাজধানী ঢাকাকে
62c5b7d8e3	0633a	অংশগ্রহণকারী তিনজন স্বাস্থ্য কর্মীকে
62c65571a9	6d129	প্রধান পর্যটনকেন্দ্র
62c6652efa	b5fdc	সাভারের ভবনধসের ঘটনা শত শত পরিবারের জীবনে অন্ধকার নিয়ে এসেছে।
62c6f552e7	82926	হরতাল, অবরোধের মতো
62c761b84e	d2faf	নইলে ঠানদিদি এলেন কোত্থেকে
62c832d560	d41be	চারুলতা
62c84b021c	0895a	স্টুডিওর বাইরে এত বড় মাপের
62c859a9aa	717bb	কংগ্রেসে জমা দিয়েছে স্টেট ডিপার্টমেন্ট
62c88c7334	e6203	হাসির মর্ম বুঝতে পারলাম
62c8973be5	da6f0	প্রথম ইনিংস গুটিয়ে যায়
62c8a156a0	0a7a0	আর ভাবতে পারি না
62c9469c53	f2097	সঠিক জবাব মানেই
62c99febcc	e9589	দীর্ঘদিন ধরে গবেষণা করছেন
62c9aec8b9	cfc65	তেভেজ
62ca200aa7	e03ce	মালদা জেলার একটি শহর
62ca68cfa4	80505	ফ্যান্টম গার্মেন্টসে
62cabe4891	06736	তার দুঃখ প্রকাশ করেছেন
62cada0254	8ba2b	প্রতি ছয়শ পরিবারের জন্য একজন করে কর্মী নির্দিষ্ট করা হয়েছিল।
62cb2da1e5	18460	বাংলাদেশ অভ্যন্তরীণ
62cb3090b2	b8ed8	সংগীত শাখার বিশিষ্ট ব্যক্তিরা
62cb36d36a	0d8c1	দেবতা আছেন
62cb89a16c	9fa90	ব্রেসোকে আমি ধারণ করছি না
62cbc19772	194f5	এ বাড়ির কাজ
62cc451611	75626	আমাকে আমার মত থাকতে দাও
62cc4d3441	d2d71	এসব নেই
62cc8a8f47	49d63	গণতান্ত্রিক পন্থাই
62cd0deb11	f0f95	হামলাকারীদের ভয়ে
62cd5f637e	4fc91	আল্লাহতায়ালার শাস্তি এবং পুরস্কারের
62ce05d717	92bb2	মাথায় কর্মক্ষেত্রের
62ce2546b5	e9759	আমাদের চারিদিকে
62ce79ef1c	80e98	১৩.৩ ওভারে ৫ উইকেটে
62ce7f0aa0	31f09	আব্দুর রশীদ
62cedfa7e2	ef915	শিল্পকর্মের পাশাপাশি
62cf1f5646	256f5	সিম ৫০ টাকা
62cf44f3e4	d9081	অন্যান্য প্রজাতিদের
62cf979198	29089	সবাই চাঁদপুর সদর উপজেলার বাসিন্দা
62cf990a08	404ee	সময়মতোই হাজির হয়েছিলেন
62cfb6c385	cfc65	খরচ জোটাতে
62d06f668b	fcc89	সমাপ্তি টানলেও
62d0a4340a	dafb6	তারা ডাকাতিও করবে
62d15c1b60	e55de	১৫০ মাইলের বেশি গতির
62d1a7db25	9065c	এর আগে মুম্বাইতে
62d1b7cde8	e03ce	না তোমার বয়স কম
62d1e814ff	6d129	নিজস্ব ব্যক্তিত্বের মাধ্যমে
62d2dc855a	ea8fa	শুধু সুন্দরীই নন
62d317d498	06e62	এ ধরনের পরিস্থিতির জন্য
62d3440b7a	24f73	মৃত্যু ৫ সেপ্টেম্বর, ১৮৯৮
62d3a04df5	32998	জাতীয় পুরস্কার
62d3afee17	06527	একটি তুলনাহীন মহাসৃষ্টি
62d404e203	46d49	দারুণ প্রভাব ফেলেছিল
62d4506e5c	e55de	রাজনৈতিকভাবে এসব শিশুর কোনও মূল্য রাষ্ট্রের কাছে নেই।
62d4565409	7d3e1	বরদাবাবুর খুড়ীর প্রতি
62d52470ad	e2f12	সুস্থ্ মানুষের পক্ষে সম্ভব নয়
62d538a041	1b359	সরকারকে বাধ্য করতে পারেনি
62d56ada92	29d44	পচে যায়
62d58ecb8b	01e91	সিদ্ধিরগঞ্জে একটি গার্মেন্টের
62d5d37c5b	9c8dd	সঠিকভাবে তা পালনে
62d6295746	274ee	সেরা রোমান্টিক জুটি
62d62bd7c2	aa820	আবার চলল
62d6809078	e9759	এশিয়া কাপের গত আসরে
62d70ca2ba	2bd99	আহ্বান জানাবো
62d70efcdb	24f73	সাগরতলের ত্রিশ ফুট নিচে
62d7937086	a7c6f	মূলতঃ খাদ্যের কারণে
62d7b4044d	7e1d5	ইউনাইটেড এয়ারওয়েজে এবার
62d7b8f54d	ee886	পশ্চিম তার অনেক বিষয়
62d815905a	73629	যুক্তরাষ্ট্রের প্রেসিডেন্ট
62d82db080	4bd2c	এইভাবেই নানা দেশে
62d84dc6a0	903fa	লালবাগে ককটেলের বিস্ফোরণ
62d85ecae7	ced74	কথা হয় চলচ্চিত্রের
62d929bcee	f2097	কেন গড়ে উঠেছিল
62d93bd2d7	778c0	দেখা দিয়াছিল
62d975a338	2ecf8	গৃহপাঠের পালা শেষ হলে
62d98d89f7	06e62	যে দেশে একটি সংগতিপূর্ণ চলচ্চিত্রনীতি নেই
62da1c2410	79b06	আহ্বান জানাতে থাকেন
62da66557b	32b3e	চারটি বই কিনলুম
62db1e630b	7898e	বড় রকম দুর্ঘটনা থেকে
62db43efc1	b8bba	তাঁকে আক্রমণ করা হয়
62dbb3e6a9	13b6a	চলছে বলেও
62dbe0bbfe	e7230	শাহুনুর রহমানকে
62dc04ae08	4a918	বিকেলে পালঘাটের বাঁওড়ে
62dc0e3edd	ee994	যদি সে বেঁচে থাকতে পারতো
62dc819726	bc81e	দুই মাসের
62dcecd041	0edef	এদেশীয় সহযোগীদের
62dddb901d	430b2	দশমিকে প্রকাশ
62dded39ef	f837a	নীলপরী নীলাঞ্জনা
62de2fb041	6fb36	পার্টনার করতে হবে
62dea78c1f	a06a1	অধ্যাপক মো. আনোয়ার হোসেন
62deea670d	06736	বাণিজ্য ও নারী বিষয়ক
62df41e83a	86b1b	দুই অংকের হারে
62df633f6d	5a61c	সবচেয়ে প্রগ্রেসিভ রাজ্য এটি
62dfbffe7f	f658d	বেইজিং এ যুক্তরাষ্ট্রের দূতাবাস
62e06b054b	5dd61	আইলাম আর গেলাম
62e0b950d7	42898	রাখছে ইসি
62e0e1031b	bfac7	বিজ্ঞাপনটিতে
62e135efda	6ee5f	আর কোথাও পাওয়া যায় না
62e1ba5ea8	f600a	যেখানেই হোক না কেন
62e26f2cc0	f1ea4	বিকেলে বাচ্চারা
62e2835c98	c7705	ঋতুপর্ণ ঘোষের পরিচালনায়
62e2fe99ca	6ee5f	মাটি থেকে দেখলে
62e3603b79	d9081	সানাউলকে সিরাজগঞ্জ সদর হাসপাতালে
62e3778240	d1b12	আমার তিন বোন
62e66a17d4	db735	গড়ে ওঠে
62e6b2d404	aabe7	১৯৯৩ সালে থেকে
62e6bb4f88	c3cb3	বেঁকে যায়
62e71ebe16	eaa7a	বা যাদু বাস্তবতা নামে
62e7a938ea	11915	সাধারণ শিক্ষার্থীরা
62e8634644	7297e	সাহানা দেবী, হরেন চট্রোপাধ্যায়ের কন্ঠে
62e9b7fbfd	f658d	অফিস স্যুটের আইপ্যাড ভার্সন নিয়ে
62e9c98cc7	f1ea4	সম্পর্ক রাখতে না চাওয়ায়
62ea06c8ff	f1240	আটক রাখা হবে না
62ea3abea7	aabe7	গুগল অনুবাদ
62eaa92c73	5cb47	দ্য এক্সপোজে মুক্তি পাচ্ছে
62eac48809	e89bb	বেশ কয়েকটি জায়গায় জমে উঠেছে
62eafcd852	69d9a	গুরুত্ব দিয়েছে
62eb5b7ef9	ef915	পঁচিশ হাজার হয়ে যাবে
62eba746b8	7d3e1	নারীদের বিভিন্ন ক্ষেত্রে
62ebd7dbff	aa820	ইসি তা বাড়িয়ে
62ebe4bd38	06736	খোঁজ নিয়েছেন শায়লা রুখসানা
62ec78d965	1f974	দলীয় অনেক আইনজীবী
62ec9a0f86	4f450	আবদ্ধ হইয়া
62eca73ada	6a35e	এ মুহূর্তে টেনশনটা
62ecb9d1ce	e3d8b	রবি ঠাকুর
62ece1d264	0b7ca	তার প্রেমে পড়েছিলাম
62ee2ebd60	dba43	তাদের মধ্যে রয়েছে
62ee311ed7	bd576	সার্বিক মূল্যমান
62ee7d15ce	ec91c	দৈনিক নয়া দিগন্ত
62eeb7115d	6c6bf	মঙ্গলবার বিকেল সাড়ে পাঁচটার দিকে
62ef9b3d3c	1de6c	জাতীয় পরিচয় পত্র
62efc7f8a0	29f8c	তার শিশু সন্তানকে
62f02560e3	2f547	বিশ্বনাথ থানার ওসি
62f04b5921	7ee9b	স্বাগতিকদের সামনে
62f074c384	bbb22	মায়ানমারের ন্যাশনাল লীগ ফর
62f0c22714	3b1f7	শাকিব খানের সঙ্গে
62f197d780	52f27	ওই টুইটগুলি করেছিলেন
62f26e804f	315e9	বাঙালিত্ব বড় ছিল
62f2be8413	b8fe1	ঢাকুরিয়া স্টেশনের কাছেই
62f2bf648d	bdfc1	এখানে জীবন অনেক কঠিন
62f2e52f0a	f600a	তবে পাশাপাশি দলটি
62f3682aac	16cfb	বাংলাদেশের অভিজ্ঞ এ পেসার
62f369e2e8	bbb22	তিনি পরিবহণ খরচ
62f37087a8	14816	তাঁর লেখালেখির ব্যাপারে
62f3d484e2	4164f	বাংলাদেশের অবস্থান ছিল ১৩তম
62f467a895	4dd57	বাড়ির নীচে
62f4698174	23b22	সব সময় আতঙ্কে থাকি
62f50d843f	0bace	পুলিশের নিরাপত্তা ব্যবস্থাও ছিলো জোরদার
62f5849539	bbb22	ফেরিক ক্লোরাইড
62f5a08a61	e3f89	তবে বিমানটি নিখোঁজ হবার পর
62f66ad6fa	92f59	এক সপ্তাহের ব্যবধানে
62f6a13738	e2c11	একেবারে উত্তর দিকে
62f6d10191	256f5	পোশাক শিল্পের স্থিতিশীলতা
62f7217e33	db735	তারাদুটো দেখেছে
62f762b1c9	06ea3	পাথরের চোট খেয়ে
62f7ff8bc5	4c555	ঘনিয়ে এল
62f8363917	e50f1	ভেবে দেখ
62f885efe0	7e191	বাহাত্তর ঘণ্টা শেষ হল
62f8abcc93	a699c	সংশয় হচ্ছে
62f8aec8ce	80505	বর্তমান রাজনৈতিক প্রেক্ষাপটে
62f8c9146c	d136b	কিন্তু বয়াতির
62f8de215e	ac0df	কত বদ্যি
62f917c1f0	ca088	নিশ্চয়ই এই বইটা
62f9b44532	58998	বরং ভালোই লাগত তাঁর
62fa6c9b2a	72649	১২টি রাজনৈতিক দল
62fac173e6	e2f12	একটি সেটের দ্রুত কাজ
62fb033652	ca088	শিক্ষিত হচ্ছে না
62fb041327	5639c	জাতীয় কাউন্সিলে
62fb121e20	7b103	তিরিশি কবিরা তাদের রচনাকর্মে
62fb5f06b2	ce180	তবু আমি তো
62fb960675	f29bf	জিয়াউর রহমানের সময়ের
62fbf1f83c	eb179	3g mobile
62fc8754be	16877	আমি বাসা থেকে
62fc991f84	698a4	পৃথিবীতে প্রায় ৪১ শতাংশ বিদ্যুত
62fcf52435	6d129	রাজধানীর খিলগাঁও রেলগেট এলাকায়
62fdbc7a7a	1f733	পড়া দেন
62fe505a70	7027a	ঢাকা পঙ্গু হাসপাতালে
62fe9818ea	0606d	বিশ্বের যা কিছু সুন্দর
62ff9a0b46	80be1	ইমারতটির দিকে তাকাই
