8d00186408	e03fc	তার দর্শনকে সমর্থনও করেছে
8d878270e3	2c9c5	তারা ছবিটাকে অ্যাপ্রিশিয়েট করেছেন
8d87fd95c0	1652d	এনএসএ বিভিন্ন ইন্টারনেট প্রতিষ্ঠানের
8d88101db5	ff1c3	গীতাঞ্জলি, গীতালি
8d881d0cfa	01e91	এগিয়ে রয়েছে মারসেল
8d88953627	5639c	আমাদের গ্রামে
8d88fdc20f	52578	সরকার নীতি নির্ধারণী
8d894b5e33	52f27	নালিশ করিলেন
8d8953cf6d	d82d9	এখন ব্যাপকভাবে ব্যবহৃত হচ্ছে
8d8a2a2dca	3c897	পূর্ববঙ্গের মানুষের প্রবণতা যাই হোক
8d8a33e4b5	80539	অপরাধ গুরুতর
8d8a549966	7df87	প্রতিবেশীর চক্রান্ত হতে সাবধান
8d8a8430a2	ad98d	বেশ কয়েকটি ঘটনা
8d8b50ba36	9fa90	ইউরোপের দুটি ক্রেতা
8d8b6cddb6	64092	বা খোয়া গেলে
8d8b7e3407	13b6a	বাংলাদেশের প্রচলিত
8d8b9a983f	ea5be	তারাও আমার
8d8bf04750	5cb47	বিশ্বের সেরা ধনী ক্লাবের
8d8d9bd417	6ee5f	যা কি-না চলবে
8d8dec136c	2ee04	এই ব্যবস্থার কার্যকারিতা
8d8e122181	05901	ক্যাট বৌদি বলে
8d8e137985	f9dfb	ম্যান্ডেলার কার্যালয় জানিয়েছিল
8d8e2f6858	75936	যার প্রচলন আগে ছিল না
8d8ea185ee	eb179	১৯৭৯ সালের ১ অক্টোবরে
8d8ee32b3f	3ccf1	নির্বাচন উপলক্ষে সারা দেশে কঠোর নিরাপত্তা ব্যবস্থা গ্রহণ করা হয়েছে।
8d8f28867e	8c120	জনতা উল্লাস প্রকাশ করলো
8d8ff92f8d	7d3e1	ইসরাইল হামলা চালানোর পরিকল্পনা করছে
8d9011f30f	717bb	নামাজের সময়
8d9045c1a4	745b7	মৌসুমের শুরুতে
8d905d8010	ce180	মেরে যে চলে যাবেন
8d90b6e7a7	351dd	৯ জানুয়ারি ২০০৭ তারিখে
8d90cc5e92	37e17	একজন উপকথার গ্রীসের
8d91186008	2695f	এ যাত্রায় কি এরা
8d916715cf	bbb22	ভাষার অনুবাদ হইলেই ভাবের অনুবাদ
8d9168c0f7	1cb75	দেশটির পুগলিয়া অঞ্চলে
8d916ba3bb	a0277	চেয়ারম্যানের কাছে গিয়েও
8d9190e897	bf530	কমলাকান্তের জবানবন্দি
8d92173884	46d49	আর বেগম রোকেয়া বিশ্ববিদ্যালয়
8d924deba1	430b2	সোমবার সকাল থেকেই
8d927deb19	2396d	কিছু নিয়ম মেনে চললে
8d92805b70	0d8c1	নিজের কুঠুরিতেই
8d92a9c3d8	95f83	প্রাথমিক ফলাফলে দেখা যাচ্ছে
8d92b72cbd	fb4cb	অন্যরা প্রাথমিক চিকিৎসা নিয়েছেন
8d92bddf0a	9fa90	অন্যদের স্থানীয়ভাবে
8d9301a690	4486f	কোহিনূরের কথা
8d930d2df0	1279e	আসলে এটি একেবারেই মিথ্যা
8d931f11c8	ad69a	২ লাখ ৫০ হাজার কোটি টাকা
8d939f9390	44322	ঢাকা মহানগর সর্বজনীন পূজা কমিটি
8d93b2aa29	f1ff2	৪১ বছর বয়সে
8d93e98dc0	31f2a	সঙ্গে-সঙ্গে
8d93ec2f3a	d41be	রংপুরে বিভাগের নবনির্বাচিত
8d944eabb1	18460	অস্কারের জন্য
8d951941d5	7ec1c	দানবাক্সের টাকা চুরি নিয়ে
8d952d9cd8	c0d65	তাদের অজান্তেই তারা
8d95320675	71522	৪০টি জাহাজ এবং ৩৪টি বিমান
8d955f98a5	698ff	টিপু সুলতান নামে
8d961d61df	a274b	ঘটনাস্থল থেকে পুলিশ
8d9677e1b1	92bb2	বিশ্বাসী
8d9682bcca	95f83	শূণ্য দশমিক ৪০ শতাংশ
8d96979ef6	b9a81	স্তরে স্তরে শেকলের ঝংকার
8d96a4fe03	287bd	এখন এক মহাসমুদ্রের ব্যবধান থাকলেও
8d96eb81f5	95f83	আরে আয়, মরে যাবি
8d973ee8b5	7b900	তিনি আদৌ এদের আত্মীয়
8d977f53cc	e6d83	তাহলে এ মানুষটি
8d97df0400	1e7c7	সারাৎসার এই বোধ হয়
8d987e77e7	92bd8	খুব বেশি সতর্ক
8d98f8c208	7b900	আগাথা ক্রিস্টি
8d992303cf	88654	ডেকেছিলাম
8d994f90e9	25696	ভয়ে থরথরিয়ে কাঁপে
8d9a2590c3	f2097	গোপন করা হয়
8d9afb9db8	2fc12	পঞ্চাশ শতাংশ পর্যন্ত
8d9bd0c062	acb88	মোট ৬ হাজার
8d9be09139	d0c70	চেষ্টা করছি আমরা
8d9be4ca03	d9b11	তার ফল এক গবেষণা জার্নালে
8d9c18bbae	66b3c	১৭ আগস্ট ৮০তে
8d9c6a405d	f1ea4	বাধ্য হয়ে করতেই হবে
8d9cef7d7f	2909b	ফেলানী খাতুনের পরিবার
8d9d2c2b8e	3fb17	আনামুল হক করেন
8d9d2e2ab4	49543	বছরের শেষ দিন ছিল
8d9d6767b1	ff1eb	সাভারে ভবন ধসের দুর্ঘটনার একশ দিন পেরিয়ে গেছে।
8d9d680698	18a52	কেটে কী করেছে
8d9de78c9d	bc81e	সেজানের ওপর তাঁর
8d9ee2b532	274ee	হাতে থাকে
8d9f029008	16877	চাপাবাজ
8d9f68ce0c	b08d0	ইয়েমেন, সিরিয়া, ইরাকসহ
8d9fa43a21	2ee04	রাবার বুলেট ছোঁড়া হয়েছে
8da014066d	0b7ca	অধিগ্রহণ করে
8da0182a10	73629	সীমানা প্রাচীর ভাঙ্গার
8da085daee	80be1	রাজভবন, রাইটার্স বিল্ডিং
8da1095246	2ac82	ধুম ধাড়াক্কা
8da1239e16	33aef	তবে এটি বড় কোনো
8da1249c0b	cc9fd	মাত্র ১ বছর বাড়ায়
8da16d7bba	e6d83	হাউল এবং ক্যাডিশ
8da192e34b	ef915	জীবন প্রায় কাটিয়া গিয়াছে
8da1c973c6	23291	যেতে পারছি
8da20a13de	d9b11	আইনশৃঙ্খলা পরিস্থিতি
8da21456a4	9d46f	জানালেন মানব পতাকা নির্মাণে
8da3117c31	3bea8	খুচরা বাজারে
8da36dde2e	f0f95	মেয়েদের জন্য বলে
8da3eb3f26	bd576	ডিজিটাল বাংলাদেশ' রূপান্তর করা
8da4018fb6	1c618	বাড়ি ঘুরেও
8da426db3a	73629	বাড়ির অন্যান্য লোক
8da4449213	3ccf1	সুইজারল্যান্ডের ছোট্ট সুন্দর
8da458f79a	88654	প্রতিদিন খোলা জায়গায়
8da46dbdbe	e2f12	ছাত্রদের নিয়ন্ত্রণে
8da4bc82eb	6ee5f	সরে দাঁড়িয়েছেন
8da4e48f50	aa820	আইমারা ভাষা
8da50b9f22	4237e	যে-শত শত কবিতা রচিত হয়েছে
8da54bceef	2bc73	ফয়েজ বাংলাদেশে এসেছিলেন
8da5722481	6aac8	আইনি অধিকার থেকে
8da5cbf839	60b9d	অন্যতম রম্যরচয়িতা
8da60b3490	e03ce	সরকারের দায়বদ্ধতা বেশি
8da631dd07	7c272	বিচার হয়েছিল
8da6c53f3e	730c3	একাত্তর টিভিসহ
8da6e40035	76329	সেই পুঁজি
8da6f13dc6	e3d8b	প্রহ্লাদ অনেকটা সামনে নিয়েছে
8da6f56666	66b3c	যাত্রাবাড়ীতে কয়েকটি গাড়িতে ভাংচুর এবং বাসে আগুন ধরানোর চেষ্টা চলেছে।
8da8c0713f	121bd	ব্রিটিশ সাম্রাজ্যবাদকেই
8da917fd73	9092b	ঝুমা সপ্তম শ্রেণীর ছাত্রী
8da92072e8	f837a	পাম তেলের দাম
8da94b3926	1652d	উত্তর প্রজন্মের কবি
8da98ce5bb	a9a58	প্রথমবারের মত বিদেশি মুদ্রার সঞ্চয়
8da9e52a0a	bdd05	একটু হিরো হিরো মনে হতো
8daa08bcc3	0c39f	আনুমানিক খ্রিস্টপূর্ব ২৩০০ অব্দে
8daa144209	932bb	মাধ্যমেই কেবল সনদে পরিবর্তন
8daa23bc81	dfefa	ছোট পর্দা ছেড়ে
8daa45b12f	778c0	ধারালো অস্ত্রের আঘাতের চিহ্ন রয়েছে
8daa47d814	0b7ca	১২টি করে চার
8daa8f7939	6c17f	এলুয়ার ও নাজিম উভয়েই
8daa9b9309	ab946	সেই মৌলিক পদার্থগুলোকে
8daafe35f6	71522	সাংবাদিকদের ক্যামেরায়
8dabfc4f2c	ee4ad	মিরান্দা খুব অল্প বয়সে
8dac297008	d5213	অশ্বমেধ পর্ব
8dacacc9e0	25117	পারিবারিক সামাজিক
8dad5d0243	fcc89	তোমার স্বামী ব্যস্ত থাকিতে পারেন
8dadf156ed	6da0a	ব্রাউন অ্যান্ড কোম্পানি-র
8dae27a6aa	ce775	নভোচারীদের নিয়ে চীন
8dae347c5b	860f4	তামিম ইকবালকে নিয়েছে
8dae63b620	43fc0	আয়োজিত সংবাদ সম্মেলনে প্রভাকরণ বলেন
8daedbc8ad	536d9	কোনও সাধারণভাবে
8daf0b0d84	15a75	যাওয়ার সুযোগ
8daf16ff8c	ff970	তবে দুর্ভাগ্যজনক ঘটনাটা কী
8dafb15549	d5213	যেমন_ টেইলারিং মেশিন
8daff851c6	88654	চার দলীয় জোট সরকার
8db013bf3b	9d7bf	মামলার তদন্ত কাজে
8db04a3d19	5dec6	নেপালের মতো ছোট্ট চলচ্চিত্র খাত
8db08d5ec7	a3a6d	১৭ ওভার ১ বলে
8db1112516	79b06	ফারজানা কবির খান স্নিগ্ধা
8db1318304	43fc0	গাবতলী, মিরপুর
8db141557f	767ff	রবীন্দ্রনাথ ঠাকুর
8db147d8ba	13b70	কম্পিউটার বিজ্ঞান বিভাগের
8db14ecc5b	4c1eb	শফিউল্লাহর নেতৃত্বে
8db177a676	590d0	ওয়নডে দল ঘোষণা করেছে স্বাগতিকরা
8db19138cb	80539	দেশের প্রতিনিধিত্ব করতে পারা
8db198a032	d41be	পাতলা মেঘের মধ্যে
8db37403cb	4164f	ফলে এখনও আমরা
8db3db930d	fcefa	রুবেল হোসেনের প্রশংসা করা
8db4123309	0633a	আইনি প্রক্রিয়ায় পাশ হলে
8db430abaa	06ea3	না কি মানুষের জীবিকা
8db456e1a6	7b60a	সংবাদ পরিক্রমা লিখতেন
8db58fdc90	5d80e	বাংলা অভিধান
8db5cfec10	4c1eb	কারখানা ভবনগুলোকে ঝুঁকিমুক্ত করতে প্রয়োজনীয় মানোন্নয়নের জন্য স্বল্প সুদে ঋণের ব্যবস্থা করা হবে।
8db634dd35	f2b7d	একটি করে বড় স্ক্রিনে
8db717e6c8	5e80b	চৌদিকে ক্রূর
8db7d6b12a	14816	জ্যাক দ্য অ্যালিগেটর নিয়ে
8db8feb5f8	e9759	পুনম পান্ডে
8db9a11235	2695f	আমি একা যাচ্ছি না
8db9b27f07	b7be9	সভ্য জগৎ জানে না
8dba831961	6dff5	রোমান্টিক করে তুলতে
8dba92a426	5cb47	বলোনা কোথায় তুমি
8dbaa6b53f	f0f95	বিজ্ঞাপনের দাবি অনুযায়ী
8dbb4d264f	698a4	পরিবার থেকে পাই
8dbb7f6749	9b864	হবেও না
8dbbacc50b	86b1b	মেঘ নিচে নামে
8dbbd05795	d2355	সেই একখানি কাব্যে
8dbcfd554c	cb627	যাদের বিরুদ্ধে অভিযোগ আনা হয়েছে
8dbd2217b8	16e96	ভারতের এমন একজন
8dbd426f5f	b08d0	বেরিয়ে আসে রাস্তায়
8dbd7f348b	46da4	স্বপ্ন দেখি নারী পুরুষের সম্পর্ক
8dbde78800	ea8fa	অধিকাংশই নামকরা লেখক
8dbdfb298d	d9ba9	দ্বিতীয় দফার ইজতেমা
8dbe047d06	590d0	সেপ্টেম্বরে খুচরা বিদ্যুতের দাম ১৫ শতাংশ
8dbe235c1d	f1ea4	এ আয়োজন নিয়ে
8dbe407c1c	3faff	প্রতিভাবান খেলোয়াড় রয়েছে
8dbe421324	4bd2c	তাতে বাড়িঘর কাঁপতে থাকতো
8dbeb97085	d2294	ঢাকার বিভিন্ন স্থানে
8dbebdf484	ee7b2	হুক্কা হুয়া
8dbecc3640	c7a89	তারা প্রত্যাহারের সুপারিশ করেছেন
8dbfa6b12d	2396d	সারা আমেরিকা জুড়ে আপনি দেখবেন
8dbfb15349	2aecc	আমি সংগ্রহ করেছি
8dbfde3b47	93bf3	শিক্ষক-শিক্ষার্থীদের জন্য রয়েছে
8dc04b5ff3	43b04	একদিন বৃষ্টিতে বিকেলে
8dc04de508	c3cb3	সমঝোতা রক্ষার
8dc050e43d	b08d0	আরবিতে না পইড়া
8dc068598c	eecdd	গ্রীক দেবতা
8dc0bc2b5d	7e1d5	স্পিকার, পররাষ্ট্রমন্ত্রী, বাণিজ্যমন্ত্রী,
8dc0eb25dc	b7be9	সে জ্বরে ভাইরাসের চেয়ে
8dc13b0cf4	e00db	নারীরা বায়ান্নর ভাষা আন্দোলন
8dc1895875	717bb	মজুরি পুন:নির্ধারণ করা হয়েছে
8dc21550bd	932bb	পারিবারিক সম্পর্কের স্থলে
8dc30035a5	11915	বাংলাদেশের মানুষের জন্য
8dc3fd3a41	c463d	যে শাখায়
8dc64740b7	d9ba9	বলে বর্ণনা করেছেন
8dc64a282e	4fc91	গোষ্ঠী সমগোত্রীয়
8dc67b1392	fd880	নাড়াচাড়া করে
8dc695759a	4f2ae	সার্ভার ট্যাপ করতো
8dc6b70f09	13b70	ভারতে আশ্রয় নেয়
8dc708ba7b	5dd61	৩৩ রানে
8dc72040d8	dafb6	ভারত-বাংলাদেশ চুক্তি
8dc770e36b	ac0df	খাদ্যে এ বিষের
8dc853e63c	06527	অনুষ্ঠিত ‘মৈত্রী’ ভলিবল ম্যাচের মতো
8dc85910db	24f73	শুরু করে দিয়েছে
8dc86a22d2	1279e	পর্তুগিজ ধর্মপ্রচারক
8dc86bfa42	b8bba	এই অনুমোদন চান
8dc87ff912	948d3	শুক্রবার জাতীয় ক্রীড়া পরিষদের
8dc89f7122	d8c80	কাঠগড়ায় দাঁড়াবেন
8dc8a617b8	2aecc	রবীন্দ্রনাথের সূত্রে
8dc92388b1	0b7ca	আগামী ৪ মার্চ পর্যন্ত
8dc9510e53	698a4	বার্কেলিয়াম এবং ক্যালিফোর্নিয়াম
8dc9bf4db4	ac904	প্রথম এই সার্স ভাইরাসের
8dc9de23df	ef4f8	কেন্দ্রীয় কমান্ড কাউন্সিল
8dca2ab3d1	3ccf1	কাঁঠাল বানাইতে
8dca7df51e	388c9	একদিন ক্লাশ শেষে
8dcb1da3a3	509f6	তাহার পর দেখিতে পাই
8dcb565116	73629	অনেক্ষণ পরে তরুণীর
8dcbae631a	eb179	এসব কারণে
8dccb6916e	59c73	তুমি কি ধোনি
8dcd0b9705	37d7e	সঙ্গে ছিল জাহিদ
8dcd67ad44	0d9f1	আকাশের ছোট্ট একটা অংশে
8dcdec6c62	32998	হাজার হাজার ধর্মপ্রাণ মুসলমান
8dcdf8a40e	33814	পারিভাষিক শব্দ
8dce129731	f658d	চুমুর দৃশ্যে অভিনয় করছেন
8dce7c13d8	8143b	সকলগুলিতে কৃষ্ণবৃত্তান্ত নাই
8dce7d7fa5	6ab59	গাড়ির জানালায়
8dce9e9117	f29bf	শুয়ে আছে রোমিও
8dcee09055	77f82	অভিযান চালিয়ে তাদের গ্রেপ্তার করে
8dcf23b679	54e68	এদের মধ্যে সবচেয়ে
8dcf2c5620	d9b11	এসব ঘটনা
8dd00eb319	efc0d	সিলগালা করে দিয়েছে
8dd01fabb0	f7a7f	মিষ্টি দই
8dd03bd346	ef915	আজ সে সত্যিই
8dd0594454	5d80e	বিনিময়ের জন্য
8dd0626741	f9dfb	ডা. রেজাউল করিমের সঙ্গে
8dd0968ff2	ac904	১৯৭৮ সালের ৬ই জুন
8dd0a5a222	f7a7f	আর নিরাপত্তার কথা ভেবে
8dd1175db4	ce775	তবে মুক্তবাজার অর্থনীতি
8dd13649fd	23b22	রাত ১১টার দিকে
8dd19e7351	4e900	ট্রেন ও ট্রেনের যাত্রীরা
8dd1ebe433	ea8fa	যথেষ্ট শ্রম
8dd27048a4	3bb15	পুরোপুরি বজায় রেখে
8dd2f94cf6	46d49	প্রশ্ন
8dd2fa2ec6	351dd	নিউ ইয়র্কের রাস্তায়
8dd3485d95	e3f89	কি যাদু কাজ করেছে
8dd359c5ce	a06a1	ঠিক সাপে-নেউলের মতো
8dd3b3b602	c5479	তার মাকেও একই কায়দায়
8dd3ce951b	6973e	নাচ
8dd419b3ef	5354e	পরে দেখতে পেলাম
8dd4ad336c	c3cb3	এই ছবি দেখতে আসছেন।
8dd4e97c82	1279e	এরা তাঁর গল্প বলে
8dd513642f	79b06	এ পর্যায়ে ৩৩০ মিলিলিটারের বোতলে পাঁচ লাখ ৩৮ হাজার ৯১৭ লিটার পানি বিতরণ করেন ১৩০ জন কর্মী।
8dd55d6b69	11915	তাদের মনে হয়েছে
8dd58ffcdd	91230	চালক একবার
8dd5bf3860	8632b	অধ্যায়ে আছে
8dd60a430e	351dd	সে তা থেকে পিছিয়ে যাবে
8dd6c036e2	b8ed8	ভাবা যায়
8dd72cfb99	bdd05	ওসামা বিন লাদেনের মৃত্যুর পর
8dd78f10aa	f600a	উপভোগ করেছে সে
8dd794e704	4dd57	চকবাজার থানার কনস্টেবল সাইদুর রহমান
8dd8114e5d	aabe7	উল্টেপাল্টে দেখলে
8dd8859cbf	dec2d	অনুমতি পাওয়ার পরপরই
8dd904787a	29d44	তাহা সমস্ত মাতৃক্রোড়ে বসিয়া
8dd93dc838	d5213	ভজন
8dd94b9b4e	11915	তালা বন্ধ রয়েছে
8dd96d3234	24aed	আগে নভোচারী বহনকারী মহাকাশ যান
8dd9f223b5	4486f	চিকিৎসকদের অবহেলা আর বিনা চিকিৎসায়
8ddaf3dfa9	a8710	রাগ হয়
8ddb82a3f4	a699c	১ অক্টোবর
8ddbb29a51	c9c19	সেখানে মোতায়েন ছিল
8ddbb2e85a	95907	ইয়াবা মামলার আসামি
8ddbba1b29	4fd66	একটু ভাল করে দেখুন
8ddbbd91ff	bcaa8	পিঁপড়ে বললে
8ddcccc53d	6b437	মনে করছেন সচেতন মহল
8ddd41d880	93bf3	আন্দোলনকারীরা শাহবাগ মোড়ে
8dde46e849	80539	গণভোটের পরদিনই আজ সোমবার ক্রাইমিয়ার সংসদে স্বাধীনতা ঘোষণা দেওয়া হয়।
8dde77054e	ce629	তিনি পুরুষতান্ত্রিক সমাজের
8ddec70bf9	33814	আমাকে বলেছিলেন
8ddecc92aa	24f73	জালিয়াতির অভিযোগে
8ddefdcb0b	3fae0	তাদের হাতে বানানো
8ddf8c9414	46da4	দিনটি শুভ
8ddf94833a	9092b	দিল্লিতে নিজ বাসভবনে
8ddfc5c63c	29089	এই বিধি-নিষেধের
8de012bd39	37e17	মানুষের একটা নবতর রূপও
8de07a8052	16a17	প্রয়োজন মতো পরিবর্তন এনে
8de07b776f	5dec6	আজ তাদের পরনে
8de0b0ae87	7df87	১ হাজার ৫শ থেকে
8de0bf0273	95907	১২টি বীজ প্রক্রিয়াকরণ কেন্দ্রে
8de109133d	f1ea4	তাই আজ
8de12774f3	09b32	অমল হোম
8de221eb27	ac0df	তাঁর ডাক্তার স্ত্রী লুৎফা
8de2349345	7d3e1	সভায় অন্যদের মধ্যে
8de2d8d2d1	61820	ঘরে কেউ নেই
8de350a7a3	ca088	অনুষ্ঠিতব্য অস্কারের রাতটি
8de39ff343	c2082	চেনা মানুষের সঙ্গে কোলাকুলি করেন
8de3ff59bd	11915	চাকরির প্রথম ধাপে
8de47bd28d	7aed9	তার পেটে থাকতে চাচ্ছে না
8de494c237	ce629	বিজ্ঞাপনে নিয়মিত হতে পারেননি
8de51fcb28	6b437	উল্লেখযোগ্য অগ্রগতির কথা
8de54c86c1	5b13f	বিশ্বাসযোগ্য হয়ে ফুটে ওঠে
8de586edc5	3bea8	এরপর কয়েক মাস ধরে
8de617f283	7027a	বাম মোর্চার বিক্ষোভে
8de6668293	43b04	হাটহাজারী উপজেলার
8de66b2cf8	6c6bf	গত ১০ এপ্রিল
8de694c6ba	967fd	প্রধানতম পুঁথিগুলিতে
8de6af9925	3f493	ছোট ছোট এই বাড়িগুলোর
8de6cd864c	49543	আগ্রহ প্রকাশ করি
8de70b9bf6	06e62	তার বদলে সমস্যাটাকে
8de83ef627	aa820	হাতিরঝিলের সামনের রাস্তায়
8de885af89	d71a3	গৃহবধূর স্বামীকে জিজ্ঞাসাবাদের জন্য
8de947efbf	f143a	২০০৫-০৬ অর্থবছরে বাণিজ্য ঘাটতি ছিল ২৮৭ কোটি ৯০ লাখ ডলার।
8de994f927	a3a6d	ওয়েব সাইট
8dea43ff3a	80539	ফেনীর সুদৃঢ় রক্ষণভাগ ভেঙে
8dea5a2d8a	554fe	রাজামশাই সশরীরে
8dead4fd01	dae88	জন্ম ১২ সেপ্টেম্বর ১৯২৪
8deb5a6a43	f2097	দূরে দাঁড়িয়ে মজা লোটে
8deb82a27a	e55de	ভিজয় কানত্
8debaf58e7	9d46f	ঐ সকল দোষ
8debb29f3d	76329	রচিত হইয়াছিল
8dec002b78	2f547	নতুন সরকারের প্রতি
8decb02b0f	54e68	বিছানা ছাড়তে হয় না
8decdc33c9	d9817	প্রতি বছর
8ded434287	860f4	নাটকের গান
8ded5ec136	577fa	উপজেলা পরিষদ ভবনের দ্বিতলায়
8ded71cdd9	f658d	বিয়া কিয়ের
8ded95387c	767ff	১৯৬৪ সাল থেকে
8dedb5207c	b08d0	কাউন্ট নিজেকে
8deecb37bb	cb842	হয়ে যেতে পারে
8deef20f69	75936	নির্বাচনকালীণ সরকার ব্যবস্থা নিয়েই
8def3c39a2	e9759	মনযোগ দিয়ে থাকে
8defaf81ad	71522	নন্দিতা দাস
8defd8a925	b7be9	গলা ও মুখমণ্ডলে
8df000ccbc	121bd	বিয়ে কথা
8df0148eb3	b8bdd	স্থানীয় সাংবাদিক
8df06932da	b2a62	অস্থিতিশীল পরিস্থিতিতে
8df0efd1f7	767ff	রাজনৈতিক প্রভাব খাটিয়ে
8df0f65850	b9a81	কিন্তু আমরা
8df19c2985	ff1c3	আপাতত বিজ্ঞাপনের
8df1a5da5f	15a75	লোক-সাহিত্যের সংগ্রাহক
8df260358a	93d3b	নারী উপার্জন করেছে
8df2a48178	c8f7f	বাংলাদেশের পোষাক শিল্প যুক্তরাষ্ট্রে শুল্ক মুক্ত রপ্তানির সুযোগ পায় না।
8df2c30ffa	9fa90	অধিবর্ষ ধরলে
8df337efe3	fdcba	বিশ্ব ওলি মঞ্জিল নাম দিয়েও
8df385db2f	eaa7a	মাইনুল হাসান হীরা
8df3ea35c4	8edea	উন্মুক্ত হইবে কি
8df5368ce2	6d129	সোয়া ৫টার দিকে
8df53938c9	6e8cb	দায়িত্ব পালন করবেন
8df54a7796	a7c6f	একবার সিংহল সমুদ্র থেকে
8df5fd5a08	0895a	আরো কিছুদিন পর্যন্ত
8df65cdec4	9d7bf	মি. মার্টিনের নামানুসারে
8df675d4bd	24aed	সাংঘর্ষিক
8df6a08187	9f25e	সহনশীলতার আদর্শ
8df7019cd7	80505	ভালবাসার ফুল তোমার জন্য
8df709d789	7c272	২৩ টি দেশ
8df76cffd3	93d3b	হিরণ
8df7e7f540	1f974	সব সময় ধরা যায়
8df834f417	554fe	খোঁজ পাওয়া যাচ্ছে না
8df848acab	29bab	ওদের টার্গেট
8df88bbf9b	0606d	একটি গাড়িতে করে
8df89ef6fe	eaa7a	ফাঁস করে দেয়
8df89f015d	8ba2b	তৃতীয় রাউন্ডেও
8df8b3474b	948d3	তিরিশের অন্যান্য কবিদের
8df8c1bbbb	f837a	আজ অবধি পৃথিবীতে প্রায়
8df9880fa9	860f4	দর্শকদের দেখান রোনালদো
8df9af0169	76329	বাবার কথায়
8df9b4f9df	0633a	এই অঞ্চলে
8df9dfd7aa	12702	এই ক্ষুদে মোবাইল সেটের
8dfa16428b	29089	বিচারাধীন ছিল
8dfa17aac7	91dff	বীরাঙ্গনাদের কথা
8dfa1e5a64	06527	হাটে অংশগ্রহণ করেছে
8dfa699fbc	ce629	ইংরেজি মাধ্যম স্কুলে পড়ার
8dfab0037c	9351a	তাঁর গুণেই
8dfac86770	ad2a0	স্বয়ম্ভর স্বদেশ
8dfbff79a8	6b437	কোলে একটা খোকা নিয়ে
8dfccb2c2b	bdfc1	রাজস্থানের পক্ষে
8dfcdc6b1d	93bf3	মানিকগঞ্জের আমজাদ হোসেন
8dfd14376b	745b7	উৎসাহ দেওয়ার ভঙ্গীতে
8dfd9493ea	ee852	তবে খেতে লেগেছে টাটকিনি
8dff127794	6e6fa	স্পীডবোটে পিরোজপুর
8dffcf0bc1	8b859	ভেলোর বিদ্রোহের সময়
