ca01387020	e754e	তাঁরা প্রচার করতে যাচ্ছিলেন
ca96e8cf5d	0633a	অংশ হিসেবে
ca9737462e	25117	অনেক মূল্যবান মুক্তা
ca9780d762	6ee5f	আমি বললাম, জাফর
ca979e2590	5e80b	এটি ১৮ তম মনোনয়ন
ca97c7542b	13b70	সমস্ত জিনিস
ca988e5867	bf530	দিনাজপুর জেলা
ca98e533c9	14d25	প্রায় ৪০ লক্ষ পর্যটক
ca991f11d4	6c6bf	এক মাসও
ca997b9560	2ac82	অথচ এই সময়ে গাছপালা
ca99c305ed	9813c	যে কেউ ইচ্ছেমতো
ca99c74389	2840e	পাঁচ দিনের রিমান্ড
ca99c94b28	91230	শারীরিকভাবে মরে যাওয়াটা
ca9a2b58af	6dff5	রাখাইন কন্যার মতো ছিল
ca9aace471	54e68	২০০৫ সালে তিনি তৎকালীন প্রধানমন্ত্রী
ca9abc7a7c	d1b12	মাতৃ দিবস
ca9ad0babc	1c618	সমর্থকদের মনে
ca9b4230a8	80be1	দর্শন বিভাগের অধ্যাপক
ca9b65c5df	16a17	মস্কো চলচ্চিত্র উৎসবে
ca9bb821eb	43b04	দুর্ভাবনা বলো
ca9be3f7b7	80e98	সব সময় আমি
ca9bfd6e90	91223	জায়গা হয়ে উঠছে
ca9c398ba0	2fe3c	খোদিত অবস্থায় আছে
ca9c8e076f	5dd61	পায়ে হেঁটে শহরে ঢুকলো
ca9d0bfa92	84145	আমাদের প্রতি ইঞ্চি জমির
ca9d1aa3b1	1a2a1	প্রায় চারশো বর্গকিলোমিটার
ca9d25fa97	f143a	বেইজিং এ যুক্তরাষ্ট্রের দূতাবাস
ca9d4248fb	d0c70	তাঁকে কারা ফটকে
ca9d85fc17	06ea3	মসজিদে লুটিয়ে পড়েন
ca9dc5ae66	1de6c	প্রয়োজনের থেকে
ca9eabcf45	38d3a	নরেন্দ্র মোদি
ca9f0c16e0	16877	আমাদের সবচে
ca9f57399a	37e17	কম্বোডিয়াতে যখন জোলি
ca9f7f1b71	ee4ad	তাহাতে সন্দেহ নাই
ca9ff479a8	e8dde	স্কুলভবনে স্থাপিত ভোটকেন্দ্রে
caa003fd68	a1d4a	তার অধিকৃত সম্পত্তি
caa03be781	59c73	যানবাহন না পেয়ে
caa0f2deaf	fbb81	জীবনের বিভিন্ন পর্যায়ে
caa0f4f622	e55de	তাই অনেকটাই ক্ষুব্ধ কাজল
caa1073ff2	4c555	ক্ষমতা বদলের
caa14d26d6	2d98b	এক কেজি পাঁচ গ্রাম ওজনের
caa1950c91	8632b	কাজুহিকো হিগুচি
caa1baeb38	9f25e	তাজা রক্ত
caa227591a	d7a68	আর কোন ভারতীয় ভাষাতেই
caa27383cf	778c0	আটক ট্রাকচালক আব্দুস সামাদ
caa2a46685	cb1aa	আজ ১৩ দিন ধরে
caa2e121a7	f280a	ব্রহ্মাকে না পাই
caa2f5a6f9	717bb	বেশিরভাগ অফিসেই
caa332b75b	f143a	তার নাম
caa344a66b	7ee9b	এ কি বেদনা
caa35f4db8	bdd05	সবার সাথে শেয়ার করার ফটো
caa373c046	baa02	মন্টেগু বাড়ির
caa383fd99	7c272	অনেক ব্যবসায়ী আবার
caa3a956b1	693cb	সাধে কি আর হিন্দুস্থানে
caa3b75327	52f27	তাকে খুন করা হয়
caa41cd8b5	33814	জাহাজটি দূর্ঘটনায় পড়ার
caa42a0648	089ef	শিক্ষার্থীদের মধ্যে
caa46f80c4	d7a68	দেওয়া যায়
caa494d6dc	16877	তার সঙ্গে সম্পৃক্ত হয়ে যাবে
caa49e76ea	e9589	পুঙ্খানুপুঙ্খ বিবরণী ঠিকভাবে
caa4c601ea	9fa90	মানুষের আবেগে তো পার্থক্য থাকে
caa4f967df	f2097	নীল নদ
caa53b0379	5dd61	মস্তিষ্কের ওপর
caa56baa19	2ee04	পাঁচ বিচারকের বেঞ্চ
caa5bdf86c	56508	আসামির হাজিরার দিন ধার্য ছিল
caa69efd0b	f6e55	দৈনন্দিন জগৎ থেকে দূরে
caa6a6b5e1	4164f	দাগ
caa6f6f817	31f09	মাল্টিমিডিয়া ব্যবস্থায়
caa71619ac	d0c70	কমে মরিচের দাম
caa742f311	d9ba9	অভিভাবক কিংবা শিক্ষকরা
caa746bbe2	6fb36	ঢাকা মহানগর আওয়ামী লীগে
caa74b92b1	778c0	বাংলাদেশে সরকারী মেডিকেল কলেজের
caa75985e8	1279e	অর্ডার দিয়ে
caa79b0a0c	da6f0	ঋত্বিক ঘটকের
caa7e86076	ced74	আমার জমিতে শস্য জন্মে নি
caa80844fe	1279e	কাঁচামাল চট্টগ্রাম থেকে
caa88b74d4	b8bdd	স্কয়ার হাসপাতালে যান
caa8b01b06	8b859	তাঁদের কাছে বড় কথা
caa8c31b0a	bfac7	নিষেধাজ্ঞা জারি করা হয়
caa8d9d579	698ff	বিবিআনার
caa9795fa9	7f2ef	বড় কথা হচ্ছে
caa9a9aac2	d5213	একটি সিদ্ধান্ত হবার
caa9ae4ec7	509f6	ভুলে যান মিজান
caaa137b61	11bd2	আরও করুণ হবে
caaa8ce506	33aef	একুশে টিভি
caab40740c	5cb47	পুনর্খনন করতে হয়েছে
caab6e5dc4	c5dc8	কেননা, বহু গবেষকই
caabaa8176	76329	অ্যাসিড বৃষ্টি
caacb9cf2d	f2097	অভিযুক্ত ব্লগারদের
caad32aa5d	3d17c	গুদামে সরবরাহ করবে
caae8937cd	8c07c	বেশি হবে
cab0be18a9	7b60a	ডারউইনের তত্ত্ব কি তাহলে
cab0ff0662	d2355	এ ব্রিফ হিস্টরি
cab19de430	6c6bf	কী তার পরিচয়
cab1eedcd2	3bea8	যদি হত্যার আলামত
cab21ee4aa	d2d71	তা এক বিশাল ব্যাপার
cab21fae17	4486f	যদি তাই হয়ে থাকে
cab23e03f7	ee852	১১ জুন আলীমের বিরুদ্ধে
cab299f601	4a67e	ঢাবি
cab2b5972f	f6e55	বাড়ি থেকে ধরে নিয়ে
cab31d1683	16cfb	কাজী বলেন
cab34a911e	75f18	ব্যাটা আসলেই বড্ড নারীঘেঁষা
cab4233bd4	cb627	৭ থেকে ১৬ জুনের মধ্যে
cab4f20159	92bb2	তুমি দেখতে পাও
cab57e3cc1	4486f	সহিংসতায় বিশ্বাসী
cab59604e7	52f27	ধরবে না করে
cab5a4cbbc	a0277	তাঁর উপরে
cab5d38bcc	60f77	ফিরে এসো
cab667fb39	58998	কিছুই অপ্রত্যাশিত নয়
cab6cb8774	bfac7	ও তো দেশের
cab6de6558	9d7bf	তারা হুমকি দিয়েছে, কয়েক ঘণ্টার মধ্যে নৌ-বাহিনী প্রধানকে মুক্তি দেয়া না হলে পাল্টা ব্যবস্থা নেয়া হবে।
cab712dcd4	38d3a	খুলনা সদর থানার ভারপ্রাপ্ত কর্মকর্তা
cab75ededc	58998	তারপর ধুয়ে নিন
cab7902dd4	11de3	কাজের অগ্রগতি দেখে
cab7a222d0	ea8fa	রক্তের প্রয়োজন দেখা দেয়ায়
cab7d232f9	e754e	ইসলামিক ছবি
cab813a19c	ee852	ফেনী থেকে পুলিশ
cab825221e	ee7b2	সুন্দর সুন্দর পোশাক পরা
cab8a07629	0744c	সায়েন্সল্যাব ও আসাদগেইট
cab950e875	1f733	পরিকল্পনা করছে
cab976cc8a	9092b	এই শহরের
cab98fb5fd	0edef	তোমার চোখের বালি না হয়ে
cab9d610cf	4bede	হুমকির মধ্যে পড়ে
cabab15ba2	7aed9	শুনাইয়াও আনন্দ পায়
cabb8a1021	6ab59	গ্রহণ করা হয়
cabc6b21a8	d3e06	অর্লিভাল একটি অর্ধেক স্বয়ংক্রিয়
cabcbf0e74	ab946	বুধবার সন্ধ্যায়
cabd1ce0ae	c3cca	আমাদের বরিশাল
cabd48531f	c9c19	বাস্তবিক অলঙ্কার দাসত্বের নিদর্শন
cabd5f8bc7	17dcd	প্রথমত তারা
cabdf5cfc1	355c1	পছন্দ করে না
cabe2bd52c	66b3c	হুর
cabe4b0928	3c897	মিরাজ উদ্দিন উপস্থিত ছিলেন
cabe651f79	5a61c	ফ্লাইট বুক করেছি
cabf4a8a26	e2ba2	মারতে হবে
cabf78bd5a	52f27	পাঁচজন পুলিশ কর্মীসহ
cabffffad4	0d4cb	বেলা ১২টা থেকে সাড়ে ১২টার মধ্যে
cac0383a16	cfc65	আমারও মনে বড় ইচ্ছা
cac0f834fb	a9a58	সব কিছু
cac11504e7	ee886	সূর্যোদয়ের পরপরই
cac2a7629e	aabe7	৪০-৪৫ জন যাত্রী
cac2b3363f	80505	চিৎকার করে ডাকা
cac2b8ec49	14d25	আরও নিশ্চিত হতে
cac3c8adf9	195f7	এসেছিলেন অনেকে
cac41ec260	3ccf1	বাড়ানোর পদ্ধতি
cac433c1cb	2ee04	জড়িত করা হয়েছে বলে
cac4839a45	9c8dd	খুঁজে পাওয়া গেল না এদিন
cac493b4f4	09f0d	জমে খুব
cac4d28158	ced74	গুরুত্বপূর্ণ হয়ে
cac5118a44	1a4a9	এর উচ্চতা বেশি
cac51ba04f	2d98b	বিবিসি বাংলার বিশেষ আয়োজন
cac53716ac	e68af	পুরুষের পাঁজর
cac56f4856	75626	গতকাল সন্ধ্যায়
cac5bfd8b8	c173f	সঙ্গে সঙ্গে তাকে
cac6111036	a1201	সাময়িকভাবে বন্ধ করতে হয়
cac62d8745	16a17	আতঙ্কে রেখেছে
cac6a45de2	0606d	দাবিকৃত যৌতুকের টাকা না পেয়ে
cac6b3bd42	09f0d	নেপালের ছোট্ট মেয়ে
cac7ac2627	a9a58	জানার চেষ্টা করছেন বলে
cac7e073ba	7b60a	প্রথমে অন্য রকম হয়েছিল
cac89742c0	ee852	ধরবে দণ্ড রাজবংশ
cac90cb685	cfc65	তবু আমি তো
cac93d9bab	b9a81	আমির-হিরানি জুটির
cac984fbd6	8632b	আমদানির অচলাবস্থা
cac9a2327b	05901	মিঃ রহমান তা
cac9bb4acf	ac904	নির্মিতব্য ফাগলি সিনেমায়
cac9e417a9	d71a3	ইসলামী গান
cac9fd25ef	a06a1	ছাড় দেয়া যায়
caca03ad3a	39293	বাঘ, হরিণ, ঘুঘু
caca43ecd3	18a52	গদগদ গলা
caca518121	7b900	অথচ কোনো খবর নেই
caca88a593	e89bb	কর্মবিরতিতে থাকা
cacaa9e913	3c897	অপ্রতিরোধ্য
cacaefdeeb	db735	কিন্তু আয়াতুল্লাহ খামেনি
cacb63c32f	321b6	দুই বছর
cacb68795a	42898	গাড়ি
cacb8b1fa6	f1240	ব্রিফিং করবে প্রতিনিধি দল
cacba93ffc	410fa	প্রতিষ্ঠান বা সংস্থার ক্ষেত্রে
cacc3b587c	c4973	মুফতি ইজাহারুল ইসলাম
cacc63e8cc	66b3c	ওইদিনই হবে বর্ষবরণ
cacc80df50	2fc12	হাইকমান্ডেরও সুদৃষ্টি
caccd9cce4	4fd66	হাঙ্গরকুমীরসহ ঠেলে আসে হলদে পুঁজ
caccfc1052	14d25	অতিরিক্ত খাদ্য সংগ্রহ করলে
caccfc27e9	e2f12	সেখানে গিয়ে তাদের মারধোর করে
cacd125b8a	2396d	সর্বশেষ শনিবার বেনাপোলে
cacd20c27c	fd880	হাত দেয়
cace40c819	2aecc	স্বর্ণা ৩৬ টাকায়
cacec50123	1279e	নিহত পুলিশ সদস্যের
cacf200da4	b4ea7	মানুষের মধ্যে একধরনের
cacf4a8596	323f1	ভোটগ্রহণের ৪৮ ঘণ্টা আগে
cacf7c0202	cd3ac	তেমন অবস্থায়
cacf813124	0f047	বোধ করি জানা যায়
cacfed52e9	c3cb3	আমি কীভাবে
cad09ac64d	554fe	আইনশৃঙ্খলা বাহিনীকে
cad0a91ca5	68549	৮৩ বছর বয়সী
cad0c48df3	ad050	তারা শক্ত পদক্ষেপ নিয়েছেন
cad0d155c5	a43b5	বিভিন্ন পর্যায়ে থাকা
cad0f53c41	d9081	জল পড়িতে লাগিল
cad107fe30	fdcba	স্থায়ী আমানত সংগ্রহ করা হয়
cad125f915	c6848	আওয়াজ করছে না
cad1638559	7f71c	বক্স পাঠিয়ে থাকেন
cad16a787a	ec91c	চতুর্থ রায়
cad1d944b1	aabe7	এসব নৌযানে রয়েছে
cad2012868	fd880	অনুষ্ঠানের শুরুতে
cad22d732b	8edea	সেখানকার সাধারণ মানুষের মধ্যে
cad245de89	1a4a9	শোকের ছায়া নামে
cad25d5e5e	d3e06	আন্তর্জাতিক মাতৃভাষা দিবসকে
cad26ed7dd	e55de	বিরোধী জোটের সমর্থক
cad27a610e	64092	রোববার রাত ১০টার দিকে
cad2a9fdfd	2de86	এই নিবন্ধন প্রক্রিয়া
cad2c19c12	17dcd	গোলাম মোস্তফার কাজে
cad352f2aa	db735	একই ঘটনায় স্বামীর মৃত্যুতে
cad424e635	4237e	তাদের আগ্রহ দেখি না তেমন
cad4947c10	7351e	বড় দেশটা আমেরিকা
cad4fbec96	6d129	কল্যাণ হালদার এবং
cad6ab5e7d	dfefa	বড়িটি দখলমুক্ত করতে
cad6ac3cea	577fa	ময়মনসিংহের সদর উপজেলার চেয়ারম্যান ফয়জুর রহমান ফকির বলেন বর্তমানে উপজেলা চেয়ারম্যানদের ক্ষমতা খুবই সীমিত।
cad6b798b8	7027a	অনেক খেলার বই
cad6c3d247	7aed9	ফুলগাজী
cad6cd833d	2d78f	সাভারে বাজারের কাছে
cad6d1c332	39293	৫০০ টাকা দিবি
cad6dac744	3ccf1	বিইআরসি কারওয়ান বাজারে
cad7a93d0c	9fa90	অ্যাডভোকেটআসাদুজ্জামান সিদ্দিকী
cad82f1399	52f27	সাহিত্যরস সমৃদ্ধ গ্রন্থ রচনায়
cad854b4d7	47e8d	মানবাধিকার লঙ্ঘনের চিত্র
cad85af588	4a67e	একের পর এক পর্যায়
cad8833b77	cfc65	প্রদর্শিত হচ্ছে হাটে
cad903b215	7027a	সাক্ষ্যগ্রহণের দিন রাখেন বিচারক
cad9af3cf0	8cf95	সঙ্গম
cada4ba614	6da0a	স্মৃতিকেন্দ্রটি
cadb132779	5dd61	পরের দুটি প্রজন্মে
cadb2d09ab	7ee9b	বিদুষী মেয়ের জন্য
cadcbf341c	21e54	তদন্ত রিপোর্টু গুলো
cadd31e5af	7e191	পাকিস্তানের পতাকা
cadd3e0fd8	1c618	পুরুষের জন্য তরবারি
cadd50e448	1c618	কানমলা, গুঁতো, চড় চাপড়
cade169ad8	cc18a	এখন সে শুধু
cade687ff7	693cb	পাশাপাশি তার
cade98820a	db181	বরিশাল বিভাগ
cadf15d8bc	b78ec	পিঁপড়ের দাগ দেখে বলতাম
cadfdb458a	f0f95	তাদের সাথে আল কায়দার
cae076ec6d	44322	একটু কোল্ড ড্রিংকস দেব
cae0a93f81	29bab	আমাদের বন্ধু
cae0b1871f	2ecf8	সাধারণভাবে স্মীথ
cae0be9842	4bd2c	দশ পরিচালকদের
cae18eb1bc	06736	আমার গলা ফাটা চিৎকার শুনে
cae19ad220	38d3a	অতিরিক্ত কমিশনার
cae2023f9c	315e9	তাঁহাদের কিছু বলিবার
cae2bd8372	f6e55	আমার ঘর থেকে
cae2e91641	ad050	অপ্রাকৃত লীলাকে কেন্দ্র করেই
cae36db98c	ff0fe	আটলান্টিক মহাসাগরে
cae38310e9	91b16	বৃক্ষছেদন বা অরণ্য বিনাশের ফলে
cae3db4226	7b103	খারাপ কিছু করছি না
cae3e33b27	590d0	লোকগানের পরিচিত শিল্পী
cae416b147	52578	তাঁহার প্রকাণ্ড বোরকায় জড়াইয়া
cae48db91f	43199	প্রথমে সুযোগ দিতে হবে
cae4c08f72	ef915	সাধারণ মানুষ ভাবতে শুরু কর
cae4c682b8	404ee	আলী হোসেন
cae50bbb06	31f09	বিধান রাখা হয়েছে
cae524fe07	0f047	পড়াশোনা করেছেন লন্ডনে
cae53276e0	92bb2	একেবারেই ঘটেনি
cae5696b4c	21e54	দেখা যায় তার স্ত্রী-সন্তানদের
cae6e29d4d	32c77	একটি ব্যবসা প্রতিষ্ঠান রয়েছে
cae735747e	351dd	আনিসুল হক-এর
cae7a36436	6d129	একটি পাত্রে
cae7a6e1be	1f974	সম্মুখে দুর্গপ্রাকার-মূলে
cae7c9263f	693cb	একটা ব্যঞ্জনধ্বনি
cae7d40836	1f733	আর কেউ ভাবুক বা না ভাবুক
cae83438ce	09f0d	বহাল তবিয়তে ছিলেন শহরে
cae9069349	14816	আরেক মামা সবিহ উল আলম
cae95c3aaf	442b7	তারা কাজ শুরু করে
cae977d9ef	e43d4	পুলিশ ও র‌্যাব
cae9b48fe3	c8f7f	আমাদের দাবি মেনে নেওয়া হচ্ছে
caea0d911c	d0c70	সিগারেট পাওয়া নিয়ে
caea9750c2	db735	জাতিসংঘ রোহিঙ্গাদের
caeaa4ceba	e2ff7	একদিনে এটা
caeab3fb04	388c9	বিরুদ্ধে একটি
caeb2ef5dd	9fa90	স্ত্রীকে বলা হতো অপয়া
caeb5bf479	52578	তবে মামলাগুলি
caeba65204	3d17c	গির্জায়
caec1e8be4	75936	পথে রওনা হন
caece65a2d	8edea	সেন্টমার্টিন দ্বীপের সংযোগ
caed40cb27	32b3e	শিল্প ক্ষেত্রে
caedde1376	2ee04	এক ছাত্রলীগ নেতা
caee2c7f82	39dd0	খালি জায়গাটি এখন
caee2f1d23	65e30	বিশ্বকাপের ছাড়পত্র
caee33dafb	f600a	চাপ পড়েছে মনের উপর
caee3a0fe8	a916a	লিটল মাস্টার লেখা ও আঁকা
caee40339f	698a4	জন্ম নেয়া সন্তানকে
caeec326b0	5cb47	মধুকর ডিঙ্গার জন্য
caeed47f8d	72649	চরিত্রগুলোর বিকাশের বিভিন্ন দিক
caeed56814	f1ff2	ওড়িশা রাজ্যের
caeefec0a4	39293	একটি ডিম
caefa626f3	5e80b	হলিক্রস কলেজ
caf04d3e95	85430	তিনি যুক্তরাজ্যের লাভবার্গ
caf058c93c	8b859	প্রথম এক ঘণ্টার মধ্যেই
caf0c5859a	4f2ae	অজ্ঞান করে
caf1e9a4ef	a699c	জিয়াউর রহমানের সময়ের
caf290e61d	86b1b	৭৫০টি প্রেক্ষাগৃহ
caf2ac0c12	e754e	সিরিজের প্রথম টেস্ট ম্যাচটি ড্র হলেও, সোহাগ গাজীর বিরল কৃতিত্বে ক্রিকেটের ইতিহাসে তা স্মরণীয় হয়ে থাকবে।
caf308cbed	93080	এখন ভাল কাজ করিতেছেন
caf336b3e5	f143a	এবং বর্তমানে
caf57536a9	bf530	এ ধরনের বিচ্ছিরি গল্প
caf57713a1	ee4ad	দর্শক যদি আনুর মধ্যে
caf61b2572	577fa	সাহিত্যে সান্ত্বনা না পেলে দর্শন
caf6903160	aa820	এই জমানার মেয়েদের চেয়ে
caf6eb8955	809cd	মাসি
caf715d300	767ff	ভারতীয় জনগণকে
caf7bdf3ed	7c272	ইকড়া গ্রামে
caf7f31c13	a0277	শহরের কোথাও কোনো
caf8eeb278	1a2a1	পরিবেশন করেছেন আফরোজা নীলা
caf91d9497	442b7	অটিজম
caf9d11b54	590d0	বোরকা
cafa47a0ab	0a7a0	এ পর্যন্ত মোট সাত বার
cafa5e37bd	323f1	পথে একদিন
cafa67f212	fbb81	নামাজ শুরু হল
cafa742787	2396d	আপনাদের রামপাল গ্রামে নাকি
cafa9af78d	1f733	সুদান
cafab4bc29	4c555	গানটি লিখেছেন
cafad34f12	7a227	দুই যুগের অভিনয় জীবনে
cafb288103	fb4cb	কয়েক কোটি রুপিতে
cafb470ba7	9d398	আল্লা-রছুলের বাণী
cafba46863	d82d9	অজাত যেখানে
cafbb5d061	d2faf	তার হয়তো
cafbbb13d1	6973e	তাৎক্ষণিকভাবে সঠিক পরিসংখ্যান
cafc1711fa	8143b	সব মিলিয়ে রাজকোষের অবস্থা
cafc58c0aa	06bb7	চুলের সঠিক পরিচর্চার জন্য
cafc7240cb	fcc89	এক মাসের ব্যবধানে
cafcde9ead	9f25e	ম্যান্ডেলা দ্বিতীয় বিয়ে করেন উইনিকে
cafcef3a1d	f0f95	সেখানে সংরক্ষিত ছিল
cafd862dd1	ff1c3	এই প্রবল সম্ভাবনার সাথে
cafdb6e254	2b883	দুপুর ১টার দিকে
cafec22053	a0277	প্রশিক্ষণ নিতে পারেন
caff0fd14d	717bb	তারা এলাকায় মহড়া দেয়
caff23e241	88654	আবার বিভক্ত ছিলেন তিন ভাগে
caff608a5f	536d9	সংক্ষিপ্ত প্রতিবাদ
caff9230b4	23291	বলে পুলিশের পক্ষ থেকে
caffacf566	d7a68	জনসংখ্যা হল ২২৯৭১৪ জন
caffe89fd1	7aed9	রবীন্দ্রনাথের ‘চতুরঙ্গ’ উপন্যাস সুমন মুখোপাধ্যায়ের পরিচালনায় ২০০৮ সালে চলচ্চিত্রে রূপায়িত হয়।
cafff15c08	520fb	ভারত ব্রাজিল প্রভৃতি
cafffc8934	e3f89	নিয়মে আসে
