e6006a67fe	fd880	বিস্ফোরণ হয়
e68b689acb	9351a	ও আমার দেশের মাটি
e68bf87aa0	91ac1	বড় আক্ষেপ হয়ে রইলো
e68ca6dcd8	52f27	কোনো ভয়াবহ যুদ্ধের
e68cf06d9d	f280a	আগত সকলের জন্য
e68d11cd05	355c1	তারা ৩৯৪/এ, লালকুঠি
e68d3b3018	83c53	আসতে বিলম্ব হয়েছে
e68d96178e	d1b12	আমি ওখানে ক্রমাগতভাবে
e68de189f2	66dcd	থাইল্যান্ডের বড় শহরগুলো থেকে
e68e558fc7	80e98	টিয়ার সেল ছুড়ে
e68e8ffa79	46da4	এই তিনদিনে
e68e9fae6b	a916a	তার কথা অষ্টপ্রহর ভেবে
e68ea26321	5dec6	১০ নম্বরে থাকা বাংলাদেশ
e68f2849e5	bdd05	এসব অভিযোগ নাকচ করে দেন
e68f50e023	e6203	নানা রহস্য
e68f6f9d05	e50f1	সরকারি চলচ্চিত্র কেন্দ্র নন্দনে
e68f83a430	f2097	ঘনিষ্ঠ বন্ধু
e68fe82fa9	ac904	পুস্তকের কথা লইয়া
e690396b98	a916a	মামলার অভিযোগ
e6910ae1b8	590d0	স্পেন
e6910fa1dd	09b32	নেমে যান
e6917e72e6	aab0f	প্রায় ৩০ লাখ মানুষ
e691c51f2f	c0d65	তবে এর জন্য
e69207f69e	9092b	তাহার কারণ
e6928c8bbd	1de6c	মিশর, তুরস্ক, পাকিস্তানসহ
e692a43392	1c618	বিলু কবীর
e69381b872	a916a	জনসংখ্যা হল ১৬৩৯৭ জন
e6938fea37	c0d65	জানান নাসরিন
e693b2fbda	c7705	দাদুর পুরুষ্টু তর্জনীর সঙ্গে
e693f73f6f	85430	যত তু্চ্ছ নয়
e6945006a8	17ca1	চিনি ১/৪ কাপ
e6945412be	ca831	ছারপোকা
e6947c3adc	6d129	হত্যা ও বিস্ফোরক আইনে
e69482f197	1a2a1	বিচারক মামলাটি তদন্তে
e6958169e3	d1a48	যে ধারা প্রচলিত
e695c23323	3ec4d	কবিতায় রবীন্দ্রনাথ ধ্যানী
e696545c83	d9b11	আজকের নিউজ
e696b92ba9	7d133	আমরা যাদের নিকট-আত্মীয় বলি
e6976619c6	17ca1	ঘটনা শোনার সঙ্গে সঙ্গে
e6978da769	eb179	চেষ্টা করেও পারিনি
e697a21282	e2ba2	এইচআরডব্লিউর বিবৃতিতে
e697a5182d	4fbd1	ঢাকায় পুলিশের একজন কর্মকর্তা তিন বিএনপি নেতাকে আটক করার বিষয়টি নিশ্চিত করেছেন।
e697ad6c6a	ff970	আবরাম খান এখন
e697dee432	7d3e1	হ্যালো টুডে
e69831d88f	84145	কার্যালয় থেকে
e698329ebf	6c17f	পিটিশন দাখিল করার
e69837dde6	fd880	জনসংখ্যা হল ৭৭৮৭ জন
e69851d812	91223	লাখো কন্ঠে জাতীয় সংগীত
e6986d6aa6	38ff0	কারাগার থেকে
e69893ed16	ff1eb	তার মতামতকেও
e6989d29c9	355c1	সত্য কাহিনী
e69924e8f4	b9a81	নবায়ন সম্পর্কিত বিষয়টি
e6993c2e0f	7b60a	জানি না আজ তারা
e699411e7f	0895a	হয়ে উঠতে পারে অভিশাপ
e69941ad43	fdcba	ছিঁড়েখুঁড়ে খায়
e6994903e7	08458	মনে করিতে পারেন
e699568310	61820	স্বদেশি বাজারের
e6996bae4a	2840e	৯ বছর বয়সেই
e6996dde21	2de86	মামলাটিই প্রত্যাহারের সিদ্ধান্ত নিয়েছে
e69978ecaa	6973e	টেকনাফ থেকে এর দূরত্ব
e699fcd90c	46da4	কি করিলে
e69a6621e1	880ae	অন্য দাতারা হলো
e69a94d0e3	5d80e	তাদের জীবনের
e69aae036b	91223	রানা প্লাজা বিধ্বস্তের পর দিন-রাত নিজের বাসা থেকেই উদ্ধার তৎপরতা দেখেছেন তিনি।
e69ade4da0	7aed9	এখনো সেটি রয়েছে
e69b318cc2	f1240	তারা ঠাণ্ডা মাথায়
e69bd0a0bd	2ac82	জীবনের সুখের জন্য
e69c0cc204	778c0	আমি টেবিলের নিচে
e69c1f465a	d711f	সাইকোলজি
e69c539c9e	73629	জিয়া
e69ca64149	77f82	নানা কর্মসূচির মধ্য দিয়ে
e69d17d2b1	ef915	যা ছয় মাস পরপর
e69d50978e	3fc9d	প্রথম চলচ্চিত্র
e69db03b2e	195f7	পাশাপাশি মালাপা প্রত্নতাত্ত্বিক স্থানে
e69ea9da63	7b132	বিভোর হন যেনো
e69eaf60f7	8b859	তাহাকে নিহত করিলেন
e69f17c9cc	8b859	আদি গঙ্গার তীরবর্তী
e69f3b9842	0a7a0	ডাকত এ নামে
e69f6d1893	2b883	সংসদ
e69f9ec989	860f4	নাস্তিক
e69fae3161	0d8c1	মামাতো বোন
e69fcd82e8	49d63	বিরোধী দলগুলোর ডাকা
e6a0885aa1	f658d	রাজনৈতিক সহিংসতা
e6a0ba9761	15a75	ব্যবহার করে না
e6a0cc8cf3	ee4ad	বিশেষত খ্রিস্টীয় অষ্টম
e6a14ffbe2	5639c	কী আবোলতাবোল বকো
e6a1bc2893	a8710	রেজ্জাকুলের জড়িত থাকার পাশাপাশি
e6a1de4a9f	e9759	সংঘর্ষের খবর পাওয়া যায়
e6a24f6772	e00db	মনোনয়নপত্র বিলি করা হবে
e6a25d5643	410fa	শুক্রবার বিসিবির সভা শেষে
e6a26e218f	16cfb	এরপরই মি. জুমা
e6a32e70e6	b2a62	যেসব কোম্পানি
e6a33beeb2	9fa90	লিখে নেওয়া হত
e6a3559054	84145	ঘুমঘুম কণ্ঠে বললেন
e6a36ee914	3ccf1	ফেলুদা এবার তার গোয়েন্দা
e6a3ae7689	976b1	ফেসবুক আইডি হ্যাক করার পদ্ধতি
e6a3b088a0	698ff	রাজনৈতিক নেতারা
e6a4560d4b	778c0	ফলে হয়ত
e6a493f3f1	aab0f	ধানীখোলা গ্রামে জন্মগ্রহণ করেন
e6a496007d	5dec6	দেশে সংসদীয় গণতন্ত্রের
e6a52aa921	33aef	আর নারী কীসের
e6a61bc052	0a7a0	এখন ভীষণ নিয়মতান্ত্রিক
e6a6a4a5f3	698ff	আমার দিকে
e6a703a401	ce180	আমরা বলেছিলাম
e6a7b9be28	15a75	জরুরী উদ্ধারকারীরা
e6a7c6621b	9f25e	সামরিক হেলিকপ্টার চোখে পড়ছে
e6a7fe3430	a1d4a	বাকি সবটাই ঢাকা বিশ্ববিদ্যালয়কেন্দ্রিক
e6a8af0282	1f974	দোকানের সঙ্গে মিলে
e6a8fbb81e	61820	এর অংশ বিশেষ
e6a9231752	c7a89	মেষ রাশি
e6a967b000	3bb15	জয়দেবের নিবাস ছিল
e6a994792b	b8ed8	দেশটির স্বাস্থ্য মন্ত্রণালয় বলছে
e6a9af0113	ee886	নেয়া যায়না
e6aa20a802	1e7c7	এক্সপ্রেস মেইল সার্ভিস
e6aa2e1aa1	d2d71	বিভিন্ন ব্যক্তি ও সংগঠনের ভূমিকা
e6aa55e3f2	0a7a0	দুই অভিনয় শিল্পী
e6aaba0303	16a17	অনুধাবন স্তরের
e6aac1b0e5	2c9c5	ছোকরা বয়সী সেই লোকটা
e6ab4932f4	2909b	টর্চ নিভিয়ে ও চুপ করে
e6ab508527	d71a3	অল্প দিনের মধ্যে
e6ab723cec	c3cb3	প্রকাশিত হয় ১৯৮১তে
e6ab7c48d8	32c77	অতুল প্রসাদের
e6abc1689e	6b437	সমাবেশের মধ্য দিয়ে
e6abea4a6b	442b7	বর্তমানে কংগ্রেসের নেতৃত্ব দিচ্ছেন
e6ac400e3e	7b103	সেটা না হয় আমি দেখব
e6ac6fb703	0edef	হতে পারে আমাদের বিজয়ফুল
e6aca61424	bfac7	গতিবৈচিত্র্য ভরা যাইতে পারে
e6acbcc7fa	6b437	এহসান বিন মুজাহির
e6ace9e9d6	2840e	শ্রমিকরা যদি মনে করেন
e6ad0bce85	bfac7	১২ নম্বর না পেলে
e6ad6fce68	5dec6	আরবআমিরাতে ১০ লাখের বেশি বাংলাদেশি শ্রমিক কাজ করছে।
e6ad923eb4	53396	সেখানকার শত শত ঘর
e6ae177d8c	6aac8	অস্তিত্বকে সমর্থন করে ভ্যাটিকান
e6ae219580	c4973	চালু করতে হবে
e6ae508bd5	68ab7	সারাদেশে মিছিল,সভা-সমাবেশ
e6aec70b07	32b3e	দেখিতে পায় না
e6b037fe6b	49d63	ইদানিং বেশ দেশবিদেশ
e6b09cbde9	388c9	গ্রীসে অনুষ্ঠিত
e6b0ed7100	c6848	আবার বাঁচিয়ে দিলেন কেন
e6b1a5ee7d	33aef	তার প্রজন্মের
e6b1b54989	e3f89	অবলীলায় ঘটে যেতে থাকবে
e6b1e27923	a916a	একজন স্বভাবকবি
e6b1e5473c	5dec6	তাদের গ্রেফতার করতে
e6b1e64145	d3e06	কিন্তু শাশুড়ীর সঙ্গে
e6b202b93a	4237e	সেখান থেকে কয়েকটা বাড়ি
e6b3681884	2c9c5	উপরও অনেক কাজ করেন
e6b3e5fd3f	6973e	টেলিভিশন অনুষ্ঠান
e6b3ea14eb	9e923	বিষয়টি ওইদিন
e6b40b3b1b	8cf95	এখন বাইরের পৃথিবী
e6b40f527d	a7c6f	উদ্দেশ্য করে
e6b46eee86	932bb	শিশুটি রক্তাক্ত অবস্থায় বাড়িতে এসে
e6b4923929	54e68	পরিবহন ও যোগাযোগ খাতে
e6b5c5e199	0a87a	জ্যাকি চ্যান
e6b5c6ccb2	dba43	২০০৪ সালের জানুয়ারি মাসে
e6b5d2551a	3ec4d	সে তার বংশধরদের চেনে
e6b71ac981	60f77	জনপ্রিয় করে তুলেছে
e6b74423b1	06e62	এইটা বুঝি আমার নাম খালা
e6b78be07a	2556b	যোগ দেবেন
e6b7fa68a8	f280a	ঘোরাঘুরি করছে মাদক বিক্রেতারা
e6b9c50413	f6e55	প্রস্তুতি নেয়
e6ba017344	acb88	নির্বাচনকালীন
e6ba2269da	d1b12	৬টি ইউনিয়ন ও ১ পৌরসভা
e6baaf2463	33aef	ইউক্রেনের সৈন্যরা বিমান ঘাঁটি ছেড়ে চলে গেছে।
e6bb041b85	fcc89	বেশি দেখা যাচ্ছে
e6bbb2fd29	23291	স্মার্টফোনে পাঠিয়ে দেবে সতর্কবার্তা
e6bc09ded3	c9c19	খাতা-পেনসিল নিয়ে
e6bc1c1b8c	d7a68	অর্বুদ বা অর্ব
e6bc320a79	17dcd	চেচনিয়ার রাজধানী গ্রজনি শহর
e6bc902c6c	31f09	ঢাকা শিক্ষা বোর্ড
e6bd097352	32b3e	অগ্নি স্বর্গ
e6bd4ae7ad	28dfc	ফরমালিন অতিমাত্রায় বিষাক্ত যা যকৃত এবং কিডনি বিকল করে দেয়ার ক্ষমতা রাখে।
e6bd8d707e	37e17	তাই শেষমেষ
e6bd9fba57	ac0df	দুটোর বেশি মেডাল
e6bdbc1ee0	3fae0	ফেব্রুয়ারির মধ্যে সব থানা
e6bdef9665	f658d	অলক্ষ্য পাদবিক্ষেপে চলিল
e6bebc64dd	75626	তাঁহার ঘাড়ে চড়িয়াছে বটে
e6bef239fe	b52ab	ফলে অচল অবস্থায় রয়েছে
e6bf33cfff	430b2	মোট সময় লাগে ১৫মিনিট
e6bf50b0ba	4486f	তৈয়ব আলী সরকারের বাড়ি যাই
e6c07bcff9	32b3e	৪২ বছরের স্বৈরাচারের চাপ
e6c08b1bc2	4c555	পরিবারের সবার পছন্দেই
e6c09d5605	c2082	তা আমি মাথা পেতে নেবো
e6c0c9b4f0	a1201	এক বিমান দুর্ঘটনায়
e6c148aa3c	5639c	এলাকার লোকজন গিয়ে
e6c2068959	2ad74	প্রশাসনিক ব্যবস্থা
e6c248d2b7	2d98b	একটি ভালো উপহার
e6c2b4b699	23291	অস্ত্র মামলায় ওই ১৪ জনকেই
e6c2f7e938	4fc91	আর খুঁজে পাওয়া যায়নি
e6c3abe090	8c07c	এ আলোচনা পর্বটি সঞ্চালনা করেন
e6c3acabc5	ea5be	চৈতালি স্নান করে না খুব
e6c3d58c14	95907	স্কুল খোলা
e6c3e3a85e	a274b	তিনি অবশিষ্ট যে স্বল্প পরিমাণ পদার্থ
e6c450564e	37d7e	একটি দেশে পরিণত হয়েছে
e6c4d6835f	2de86	এ শহরে
e6c549f32c	274ee	ধারণা আবহাওয়াবিদের
e6c671f15e	b9a81	প্রায় ১০ মিনিট
e6c67f9ce7	d136b	চিকেন রেসিপি
e6c6b9630b	c7705	মে মাস থেকে
e6c72acaa4	fda1a	কিছুক্ষণ পর হাসপাতালে গিয়ে
e6c7f1de2c	b08d0	আইএলও ১৬৯ এর
e6c874e6da	93080	হত্যা করা হলো
e6c896c126	9813c	প্রাথমিকভাবে
e6c8d44da3	388c9	তাই এই গুরুদায়িত্ব পালনে
e6c919010f	f2b7d	শিক্ষার্থীদের হল নির্মাণ
e6c91ec40c	44322	এত কম সময়ে
e6c9a78e50	c463d	ঘূর্ণিঝড় প্রস্তুতি কর্মসূচির স্বেচ্ছাসেবীরা
e6ca1e7ad2	3b1f7	এ ঘর থেকে দূরে
e6ca270949	54cdd	ষষ্ঠ উইকেটে ১১৫ বলে ১২০ রানের জুটি গড়েন মিসবাহ-আফ্রিদি।
e6ca6f44cc	f1240	আরো এগিয়ে আসতে হবে
e6ca70262a	4f450	দিন নির্ধারণ করেন
e6cac1b1bc	ab946	তার মধ্যে সত্যজিৎ রায় পরিচালিত
e6cb1f8600	52578	পরিদের সঙ্গে থাকে
e6cbb3bf44	efc0d	উন্নত করার চেষ্টা চলছে
e6cbd71b08	282d3	পর্যায়ক্রমে সেটা
e6cc0eec7c	ab946	সমুদ্র উপকূলবর্তী এলাকায়
e6cc6b023e	ca088	পুলিশের সদস্যসহ
e6ccf2829f	e2c11	সকলেই লোকের চিত্ত নিবিষ্ট
e6cd365edb	71522	ভোট কেন্দ্রে হামলাসহ
e6cd8ac1a9	c6848	গৃহিণী জানালার নিকট বসিয়া
e6cdc86a79	91b16	পৃথিবীর আকর্ষণই অভিকর্ষ
e6ce4e3577	22096	এখন পর্যন্ত মেলায়
e6ceb9d11a	a4750	অ্যাক্টিনিয়াম শব্দটি
e6cec7836f	aabe7	জানাজা শেষে
e6cedde4b0	6ab59	এর কারণটা অর্থনৈতিক
e6cefebd96	1a2a1	বাড়িতে ঢুকতে দেবেন না
e6cf007ff9	7f2ef	স্ত্রী এসে বাধা দেয়
e6cfed13e5	22096	এ জায়গা থেকে
e6d11f40d2	75f18	গাছের গুনাগুন
e6d1f4ca9d	7df87	৯ ফেব্রুয়ারি, ২০১২ সালে
e6d2029ce6	91223	মাস দেড়েকের ওপর
e6d2759a04	52f27	ব্যবহৃত যন্ত্রকে
e6d2b2bc54	f837a	এ সময় বিজিবি সদস্য
e6d2c46a04	0f047	নাটকীয় বিস্ফোরণগুলোর একটি
e6d311656f	809cd	এবং ৩৮৭ জন বাংলাদেশি
e6d33b8bbe	282d3	বিদ্যুতের এই মূল্যবৃদ্ধি
e6d3c6b510	58998	তাঁর একান্ত নিজস্ব
e6d47ae34d	b08d0	শাড়ি ভারতীয় উপমহাদেশের
e6d4e094b3	01e91	মহেশপুর, নলডাঙ্গা, প্রতাপ গ্রামে
e6d54c85a2	c4973	খালি চোখে এগুলোকে
e6d5a3486c	61820	তিনি তার মাকে
e6d5bf0d28	809cd	শিরোপা জয়ের উল্লাস করতে
e6d5f56cb0	6fb36	প্রাট সাহেব গণনা করিয়াছেন
e6d5fbd378	0e637	চরম উত্তেজনা বিরাজ করছে
e6d6382686	9282d	গোবর দিয়ে অলক্ষ্মীর
e6d63ff71b	c7705	দ্বিতীয়বারের মতো আপীল করেছেন
e6d67e374b	52f27	তাহলে তাঁকে বলা যেত
e6d6c88f55	5d12f	ইসলাম সম্বন্ধে
e6d7465a5b	0edef	এরা দূরপাল্লার যানবাহনের যাত্রীদের
e6d7616529	33aef	অবহেলার কারণে মৃত্যুর
e6d7cd6acf	d41be	রাতারাতি তোমায়
e6d7f8dbca	b8ed8	আহসান মালিক
e6d8954411	91230	এরূপ নিষেধাবলির অর্থ ও উদ্দেশ্য
e6d8b504a5	33814	ইফতারির আয়োজনে থাকছে
e6d90cade9	cc9fd	বঙ্গবন্ধু সেতু হয়ে
e6d98034f5	932bb	বিমানটি দেশটির দক্ষিণাঞ্চলে কন্সতান্তিন শহরে একটি সামরিক ঘাটিতে যাবার পথে দুর্ঘটনা কবলিত হয়।
e6d99db057	7e1d5	একটি ছোরা আগে থেকেই
e6da33abf1	91223	অগ্ন্যাশয়িক পলিপেপটাইড
e6daa518a7	2d98b	সাহিত্যের ছাত্র ও অধ্যাপক
e6db3108eb	5639c	তাই করেছি
e6db3bccb2	9fa90	সামিউল্লাহ শেনওয়ারি
e6db87b408	430b2	তেমনই জানি না
e6dbaaf65c	2ac82	রবীন্দ্রনাথের ‘ছেলেটা’ কবিতা অবলম্বনে
e6dbb558ae	0895a	ক্ষতিপূরণ দেবার দায়ভার
e6dc3cb975	2556b	সহজ কাজ নয়
e6dd0a5301	7898e	প্রবন্ধটার লক্ষণ আধুনিক
e6dd0b1285	14d25	দশ হাজার অভিযুক্ত
e6dd210962	aab0f	একটা বুকের মাঝে
e6dd211e13	6aac8	ফটোসাংবাদিকতা বিষয়ে
e6dda3ec96	ef915	শর্তবিহীন নত পরস্পরের
e6ddafe55e	3c897	বিজয় কুমার পাল
e6de631ef9	f600a	নয় তুরস্কে
e6de827355	39dd0	যে অন্তত একটা জাহাজভরা গম
e6defc1a81	76329	কুমিল্লার আদর্শ সদর উপজেলাতে জয় পেয়েছে আওয়ামী লীগ সমর্থিত চেয়ারম্যান ও ভাইস চেয়ারম্যান প্রার্থীরা।
e6dfcdf55c	509f6	শয্যা ত্যাগ করতেন
e6dfeddb55	6aac8	২০০ মিটার
e6e0563665	e50f1	কোতয়ালী থানার
e6e05f0c98	76329	দেখা যাবে টেলিছবি
e6e0c05587	9e923	নারীকে একশ বছর পিছনে
e6e17ed423	ce629	খুব ভালো ফুটবল হতো
e6e21deeda	4f2ae	প্রকাশিত এসব পত্রপত্রিকা
e6e2269312	9c8dd	গড়ে উঠেছে
e6e273cb28	6ee5f	তিন বছর মেয়াদে
e6e2bed660	e3f89	সবই হয়েছে
e6e329fbdc	491a5	তাকে দেখতে দেখায়
e6e3b2bc8b	0606d	থাকবে দুটি চেম্বার
e6e3f940ae	2ee04	আমি এখনো নিজেকে
e6e3fbf9bc	bcaa8	ছোটো কাকি
e6e46c950f	256f5	ঢাকা থেকে
e6e5009424	c958a	গড়ে তোলার প্রক্রিয়া
e6e518d7d1	086dd	একুশের বইমেলায়
e6e519d846	75936	ব্যাটিংয়ে নেমে
e6e52a7f18	d9ba9	যুদ্ধ করিয়া লাভ কর
e6e53017c6	aa820	প্রতিদিন সংবাদ
e6e5701d3b	d9817	অক্ষয়চন্দ্র চৌধুরী
e6e5871c17	ce180	কেননা প্রাচীন ইতিহাস থেকে
e6e59473c7	83c53	মি. রায় ও প্রাক্তন বিচারপতি
e6e5ce5db7	7d004	গত কথার
e6e5ebd557	73629	১০০নম্বরের নৈর্ব্যক্তিক পরীক্ষায় হয়
e6e6897d07	ac904	কারণ যেসব স্বভাবের কারণে
e6e68fd81f	68ab7	স্টাডি করল রানা
e6e6b1981a	7e1d5	প্রকাশ্যেই চলছে
e6e6d3b3f7	09f0d	সেই মাইক্রোবাসে করেই
e6e74b3efe	92bb2	আটকে রাখতেন তিনি
e6e760ec98	6ee5f	মহাস্নানে অংশ নেবেন
e6e809b08f	1a4a9	এরপর দখল করে নেয়
e6e830dd0c	24aed	বাংলাদেশের আবহাওয়া
e6e87fc4f3	3b1f7	কাজেই বিষয়টি মাথায় এনে
e6e8942e00	274ee	এটিকে বলা যেতে পারে
e6e8bdb1e1	420df	রাজার বড় ইচ্ছা
e6e8db118b	5d12f	সুট-টাই পরে
e6e9792f7f	06ea3	বা চলে না-যাওয়া পর্যন্ত
e6e9821fb4	4fc91	সে জঙ্গল
e6e9907945	4f2ae	গত কয়েক মাসের সহিংসতা
e6ea4614a5	7ec1c	তারা ধরা পড়েন
e6ea818bad	c5dc8	পার্বত্য এলাকা থেকে
e6eab22033	2ac82	প্রধানমন্ত্রীকে একটি চিঠি দিয়েছেন
e6eb4ce1f2	eecdd	জন্ম ১৯৪৪ সালের
e6eb60972a	2b883	বর্তমান কমিটির সভাপতি
e6eba008d0	b2a62	তেল ও চিনি দিয়ে ফেটান
e6ebda4982	509f6	উন্নত দেশসমূহের শিক্ষার সঙ্গে
e6eccbbcbd	c463d	এগিয়ে আছে দীপিকা
e6ed3e600c	d711f	রাষ্ট্রপতি এখন পর্যন্ত
e6edc7d323	ff970	রোববার ফটিকছড়ি-খাগড়াছড়ি সড়কে
e6ee16fd9a	9c8dd	চেকআপ করা প্রয়োজন
e6ee452ea3	809cd	অধ্যাপক শরীফ এনামুল কবির
e6ee65c086	0633a	সেটা ভারত বা বাংলাদেশের
e6eeafed3b	8edea	প্রায় দেড় লক্ষ
e6eee8b36d	ef4f8	হরতাল হয় না
e6ef6bde52	6b437	ফিরে যেতেও দেখা যায়
e6ef92d2aa	16877	কেঁপে উঠল
e6f01308c4	56508	ঘন নীল বর্ণের
e6f0b3950f	49d63	আমার জানা ছিল না
e6f0cc50d0	f1ea4	প্রতিযোগিতার শীর্ষ বাছাই
e6f0e5e526	7b60a	আবুল কাশেম ফজলুল হক
e6f19eccb0	b9122	দূরত্ব থেকে
e6f2080b18	bd576	নিজে বাঁচলে
e6f2374ccd	18a52	পাতা-লতা
e6f237b8fe	db181	এটা একটা ইন্ডাস্ট্রিও বটে
e6f256e56c	d0c70	মারা যাওয়ার
e6f258a500	a4750	বোঝাবার চেষ্টা করে
e6f29a6109	7a227	ভেবে ঠিক পায় না
e6f2e65c34	f4ba7	চট্টগ্রামের শুল্ক কর্মকর্তা জানান
e6f30a0ee7	282d3	এদের কখনও
e6f363a8c7	767ff	শেষ মূহুর্তে জানায়
e6f42acf74	f2780	সেলিনা হোসেন: না
e6f46323a8	4fd66	পরীক্ষা
e6f47091c1	5d12f	সংশ্লিষ্ট সূত্র জানায়
e6f478e930	4ea73	ঘনিষ্ট বন্ধু ছিল
e6f4b10df0	56508	মানুষে মানুষে সত্যিই ভাই-ভাই ভাব
e6f568a811	4ea73	যত কথা বলেছেন
e6f5bc4f5d	80505	রক্তে কমে গিয়েছে
e6f6251b32	c0d65	শুরু হয় আতশবাজ
e6f68b4b28	f837a	তারা রাশিয়ার দাগেস্তানে
e6f73c2c2d	f9dfb	দলীয় শৃঙ্খলাবিরোধী কাজে
e6f7717b80	f1ff2	খুলনায় একটি কেন্দ্রে
e6f772251c	fda1a	অত্যন্ত ঝুঁকিপূর্ণ ছিল
e6f7a10f08	f600a	তুমিতে ফিরে গেলেন
e6f7f6fa7b	d2d71	খারাপ মানুষ নয়
e6f80d2dae	e6e48	আমি বিশ্বাস করতে পারছি না
e6f81924bb	e89bb	৫০টি আসনে
e6f860e8c8	880ae	মানুষের সংখ্যা তিন হাজারের মতো
e6f87c0cb2	3ec4d	কাজী নজরুল ইসলামের ছবি
e6f88b1ced	a699c	বিস্ফোফরক দ্রব্য
e6f950b7bf	d8c80	আম পাড়ে
e6f9c5840c	e68af	আকাশে ওড়ার ব্যাপারটা
e6f9d9551e	bdfc1	তার পরে তা থেকে
e6fa967a4f	f2b7d	ভূমি মন্ত্রণালয়কে অনুরোধ জানায়
e6fa9a7f9c	fdcba	যে বাহিনীর যাত্রা
e6fab606fa	e9589	সত্যতা মিললো
e6fb1c28f2	880ae	তাহার অর্থ
e6fb396af1	f9dfb	নাটোর শহরের
e6fb652522	53396	বসে বসে টেস্ট দেখার সময়
e6fb829ae1	d8c80	উদ্যোগ নেওয়া হয়েছে
e6fbadb61b	a46e2	কিন্তু তার পরেও
e6fbb5122e	3bb15	সেখানকার শত শত ঘর
e6fc02cd0b	d711f	এর আগে
e6fc13812d	8ba2b	দৈনিক ২৫ টাকা
e6fd6c00e1	82926	এই হাতবোমা বিস্ফোরণের ঘটনা এমন সময়ে ঘটল যখন বাংলাদেশ আসন্ন টি টোয়েন্টি বিশ্বকাপের আয়োজক দেশ হিসেবে প্রস্তুতি নিচ্ছে।
e6ff01923f	f0f95	একটি গান রেকর্ডিংয়ের মাধ্যমে
e6ff01a7de	ce180	অবসর
e6ff0c975c	35ef3	বাংলাদেশ নিউজ
e6ff3b7c47	29bab	বাবা-মা এখন জিজ্ঞেস করে
e6ff5e0413	37d7e	কাতারের স্থায়ী প্রতিনিধি
e6ff69c181	bc81e	আলোচনা হবার কথা রয়েছে
e6ff8fd14f	1a4a9	আখ্যান আজও
e6ffca740c	d1a48	লুলিয়ার ছবি ছাপানোয়
