e00016d136	3ec4d	মহিলা বস
e0899ca6ff	fdcba	চেষ্টা করেছিলেন
e0899e27f4	4237e	ঢাকা, রাজশাহী ও বরিশাল বিভাগের
e08a1adbad	195f7	ইবনে সিনা
e08c2a312e	e3d8b	মানুষে রয়েছেন
e08cd927ab	60b9d	সরকারের সিদ্ধান্তের উপর
e08ce0fd73	2de86	গানের জগতে তার প্রবেশ
e08d2d4d2a	b7be9	এটি গণ প্রতিরোধ নয়
e08d866c78	6fb36	ম্যানেজার ও ক্যাশিয়ার পালিয়ে যান
e08d8a0755	0b7ca	জনসভার পর
e08e0876c8	03284	জলবায়ু সমস্যা নিরসনের জন্য
e08e4ff53e	bd576	মাত্র ৪২ টাকা
e08e582de2	11de3	উনি অসম্ভব
e08e58fa9d	d41be	গত বছরের মে মাসে
e08ee069c4	7898e	ব্লাসফেমি আইনের দাবী
e08eeb6705	c4973	শিবির অনলাইন লাইব্রেরী
e09024249f	43fc0	এলাকার সব ধরণের
e0908d67ed	09b32	রাজপুত্র লইয়া
e090b3f5a6	bdfc1	নির্মিত ‘উপহার’ ছবি পরিচালনা করেন
e090c0e3c5	7d133	বন্ধ করতে চাইছে
e091198134	f0f95	রাজনৈতিক ফয়েজকে
e0915273fa	1b359	মানিক পীরের শরণও নিতে পারে
e0919303be	e3d8b	কিন্তু ভাডনগরের সব মানুষই
e091bb4403	64092	মেঘনার অকৃপণ জলরাশি
e091efe34d	6ab59	ফিলিস্তিনে ব্যাপক
e09222e672	ca088	আপত্তি ছিল
e0925c6306	cb842	মালিকানাধীন একটি
e0926d63f9	93d3b	বুধবার সিংড়া উপজেলার
e092a14167	07660	এএসপি রবিউল ইসলামের কাছে
e0936ba8ac	92f59	দক্ষিণ চট্টগ্রামে আমাদের
e0936eb87c	1652d	কেহ দূর হইতে
e093892a78	e7230	ছেলেটি কখনোই
e0944c3cc1	089ef	দুই নাতনি রিয়া ও রাইমা
e09493da1d	c3cca	রাজ্জাকও হাজির হতে পারেননি
e094a72af5	7898e	অতিরিক্ত পুলিশের
e094cdb44a	3faff	এবার স্টিমারে যাওয়া
e094eb4963	e2ff7	নাসিমা আকতার মামলাটি পরিচালনা করেন
e0951473c2	11bd2	তবে প্রথম গোলের দেখা পেতে
e09556f5a7	315e9	মন খারাপের কবিতা
e095879970	5dec6	এসময় চেয়ারম্যান শামছুদ্দিন প্রধানকে
e0958dd185	06ea3	মেয়ে আরাধিয়ার জন্মের পর
e095a3da75	65e30	পাকিস্তানের মেয়েদের বিপক্ষে
e095e69eeb	3b1f7	এই চাপে মস্তিস্ক
e0963e5254	0d8c1	তখন নিরবে
e0966adea5	7aed9	তেহরান শহরের
e0966c85ea	acb88	এই প্রশ্ন চিরকালই
e09693c922	2f547	প্রধান চরিত্রের নাম করিম
e0971018b4	256f5	এই সমাবেশ হওয়ার কথা ছিলো
e09730328b	66dcd	আর প্রচন্ড গরমের
e0973bdfdc	880ae	তারা এ কৌশল
e09763b879	c3cca	কিছুতেই বাগাতে না পেরে
e0977e5eae	eb179	বিভার দিদির সংক্ষিপ্ত পত্র
e097894d42	80539	মঞ্চে থাকা কর্মকর্তারা
e097994d73	6da0a	গ্রামের এক কোনে
e0979d3858	2909b	শুক্রবার রোহিঙ্গা শরণার্থীদের ব্যাপারে
e0982f99e6	d82d9	ভিডিওচিত্রে দেখা যায়
e098e28443	ced74	ক্রিমিয়া উপদ্বীপটি
e098e47011	93080	এ পদ্ধতিটি চালু আছে
e09919076a	bf530	মানুষ প্রাণ হারিয়েছে
e09919368e	29d44	একলা মানুষ
e0991b1e1e	ac904	বিষ খাবারের সঙ্গে মিশিয়ে
e09999129a	ee886	মূলত ছেলেমেয়েরা যেন
e0999a7648	09b32	অবস্থান বিশ্বকাপ ক্রিকেটের পর
e099bc329b	ad98d	মোবাইল ফোনে হুমকি দেয়ার
e09a7110b4	09f0d	হামলা করেননি
e09a7b0f4b	17ca1	বিজয়ের কথা বলবেন
e09afe871d	91b16	২০০৬ সালেও নয়মাস সমুদ্রে
e09b710833	0d4cb	দুদণ্ড দাঁড়াতে পারিনি
e09bd4e88a	554fe	মিন্টুকেও আনা হল
e09be8314e	c6848	নিশ্চিত হয় আতলেতিকোর
e09c0b200e	698a4	ময়দা আড়াই কাপ
e09cf55e09	4c1eb	ক্ষমতাসীনরা সুষ্ঠু নির্বাচন
e09d025ec5	f6e55	কায়রো এবং আলেকজান্দ্রিয়ায়
e09da1fd73	7c272	যে ওলন্দাজ ধর্মযাজক
e09db8a447	698ff	নানি দরজা খুলতে
e09db91cab	ab946	তিনি ধু-তে থাকেন
e09dd61f4c	7e1d5	লেখন সংকলনেও
e09e2ad02b	06bb7	প্রথম বিশ্বযুদ্ধে
e09e3900ab	7351e	কোতোয়ালি থানায় নিয়ে যায়
e09e6fcb50	f83df	নিজের অবস্থানের স্বার্থে
e09e9d7188	239f7	উদ্ধার করা হয়েছিল
e09ea1d5e1	44322	বাংলাদেশের অধিকাংশ মৃত্তিকা
e09eb59e83	4c555	হাজীগঞ্জ ফায়ার সার্ভিসের
e09f94f36a	932bb	অ্যারন অ্যালেক্সিস
e09f9c617e	32b3e	ঢাকার অতিরিক্ত দায়রা জজ আদালতে যুক্তিতর্কে নতুন তারিখ ঠিক করা হয়েছে ২৭শে ফেব্রুয়ারি।
e0a0834003	c463d	স্বদেশ চিন্তার শিল্পসফল সমন্বয়ে ঋদ্ধ
e0a10c18e3	53396	আবাসিক হোটেল
e0a19c3310	f2780	১৯৪৭-এ প্রকাশিত
e0a1c4234f	f7a7f	মিছিল শুরু করে দিয়েছে
e0a1de2296	13b6a	স্বীকার করছে কেন সে
e0a1fae0bf	0606d	অধ্যাপক আবুল বারাকাত
e0a2a922a2	84145	মায়ের কথায়
e0a2e02b6d	93bf3	শুধু তিনিই নন
e0a3084591	6fb36	ঋতুপর্ণ ঘোষ
e0a3110017	33aef	৫২ হাজার টাকা ছিল
e0a355d478	fcc89	হেফাজতে ইসলামের নেতাকর্মীরা
e0a387ed7c	a8710	উচ্চতা
e0a3c3a7ee	d71a3	নির্বাহী চেয়ারম্যানের দায়িত্ব দেয়া হয়
e0a4256f18	7d004	সত্যের অনুরাগে
e0a425a4d8	16a17	তিনি জানান যে
e0a5446b64	ef4f8	বাংলাদেশের ঢাকা শহরের
e0a5b0aba1	10a9f	আমরা আপাতত সবাইকে বলি-
e0a5c1e5f9	9d398	এলাকায় বিজিবি মোতায়েন করা হয়েছে
e0a5c822fd	b8ed8	বহিস্কার করা হয়েছে
e0a5ddd6e4	4e900	৩-৫টি ককটেল ফাটায় ও গুলি কর
e0a5df0970	4f450	জান্তারী গ্রামে
e0a64b1084	4bd2c	কেউ যদি
e0a6cdd643	57d54	উদ্ধার করে পুলিশ
e0a751e02a	b8bba	মোবাইল টিমের দায়িত্বে থাকবে
e0a810d048	0e637	দৃশ্যমান অগ্রগতি
e0a84a1ceb	75626	শেষ ভরসা হয়ে থাকল
e0a84a8f1f	71522	মাসুমের অভিযোগ
e0a89f0546	06e62	তাইলে কোন অফিসে
e0a8e49d20	c0d65	এগুলি দাসত্বের নিদর্শন বিশেষ
e0a90f39bb	33aef	তাকে হেলাফেলা করবে
e0a9276403	43fc0	বৃহস্পতিবার এডিবির
e0a95966a4	404ee	হয়তো ফয়েজ আরও
e0a96b4400	321b6	শাকিল আনোয়ার জানতে চেয়েছিলেন
e0a99f703e	7d004	সঙ্কট সমাধানে
e0a9ab265d	9d398	রানা প্লাজার ৪র্থ তলায় ফ্যান্টম গার্মেন্টসে কাজ করতেন শাহীন।
e0a9af40e4	d2d71	লাশ ময়নাতদন্তের জন্য
e0a9b601fe	68ab7	সংবাদপত্র
e0aaf4d008	a916a	এটাই আশা করা হয়
e0ab19200c	71522	এতদিনে সে তাকে পাকড়াও করেছে
e0ab8f9d12	f7a7f	টাঙ্গাইল জেলা বিএনপি
e0abe8a7f0	acb88	একটি দীর্ঘ প্রবন্ধ
e0abec60b5	06736	শরীরের প্রয়োজনীয় পানির অভাব
e0abf6380f	6ee5f	অন্য রকম পাতা করছি
e0ac01e180	2fe3c	টানেলের শেষ প্রান্তে
e0ac0bc628	9d46f	মস্কোর আগের অভিযোগের
e0ac565983	7f2ef	এমনটা হচ্ছে
e0ac653576	14816	বিষয়টির জটিলতা নিয়ে
e0addb8bb0	6fb36	ফোন করে লোপা
e0ae1a282b	ec91c	সতীশ যেন
e0ae63b9b7	ced74	মিটমিটিয়ে তাকিয়েছিলুম
e0ae7abb88	809cd	মুক্তি পেতে পারে ছবিটি
e0af48582d	8845d	দ্রুত ওরা
e0af75fccb	315e9	সামরিক হস্তক্ষেপের বিরোধিতা করে
e0af774696	66b3c	১৯৮৯ সাল
e0af8687a2	ca088	তিনি সরকারি টাকশালের ওয়ার্ডেন
e0afbd274e	1279e	মুখ ফুটে কথা
e0afd885a9	2fc12	তাঁর চারপাশের প্রতিবেশণ্ড
e0b0120a5d	e6752	আমরা করি কেন
e0b05adb38	4fc91	বাংলা ব্লগ
e0b07f0186	e9fa7	অপারেশান ওভারলর্ডের
e0b0a7de59	e9759	কোন্ স্বর্গের ছবি
e0b0c8aa0d	9092b	সম্বল তাঁর কিছুই নেই
e0b132cedc	37e17	বিশেষ একটি মহলের
e0b13aa1e8	13b6a	পানি ভরা বালতি
e0b150ba0a	86b1b	ছার পোকা
e0b1732028	77f82	সুচিত্রা সেন মানেই তো
e0b20fad5d	5dec6	আর যদি
e0b2260d4f	91b16	কেন্দ্রে আড়াইশ মোবাইলফোন জব্দ করে
e0b22b25cc	dfefa	বুঝানো হয়
e0b23fe4be	194f5	এই পাইলট স্কিম শুরু হবে
e0b26eac24	c173f	আগে একই ভেন্যুতে
e0b280e56b	60f77	একটি সমবায় সমিতির মাধ্যমে
e0b288308c	0744c	লাশের ময়না তদন্ত
e0b28a74eb	388c9	যাত্রী সংখ্যা ছিল
e0b2af29f3	bdfc1	এমনকি বিয়ে করে
e0b2c5d113	6d129	আমানতের বিভিন্ন স্কিমে
e0b2fda620	fcefa	প্রতিদিন পত্রিকায়
e0b3ca595e	6aac8	মরীচিকা
e0b3def366	15a75	রেমিট্যান্স এবং রপ্তানি প্রবৃদ্ধি
e0b3fe1af0	a46e2	উৎপাদনের লক্ষ্য রেখে
e0b400b435	c1e30	জাহিদুল, রুহুল আমিন
e0b43a2fa1	db735	লাঞ্ছনার ইতিহাস ইতিপূর্বে
e0b4640d92	b7be9	১৬৬ জন পাস করেছে
e0b4916877	9d46f	হাঁটু গেড়ে বসে
e0b4e68333	13b70	এর পরেই রয়েছে ব্রাজিল
e0b5459658	11915	লবণ-হলুদের সঙ্গে
e0b55498d9	25696	এতটাই হয়েছে যে
e0b5aa8c83	e6d83	সৃষ্টি হয়েছিল
e0b64ec178	e9fa7	রাজনৈতিক প্রতিপক্ষ ছাড়া
e0b6897919	0edef	যেসব বিশ্বাসের ধ্বজা
e0b6e7db7e	39dd0	গরমের সময়
e0b7cb6a5f	fcefa	নাজিয়া এবং ফাইজিয়া
e0b7e3193b	7e191	তাহা পাইয়াছিল
e0b7e5acaf	c749e	বাংলায় দৃশ্যমান হতে থাকে
e0b862fa43	16e96	সামনে একজন ভদ্রলোক
e0b866dd04	616ec	মিছিল সমাবেশ করেছে
e0b87878c0	c11b1	তারা বিক্ষোভ করেন
e0b880dd5d	28dfc	অনেক সময় একপক্ষ বাধ্য হয় আত্মহত্যা কিংবা ভয়ঙ্কর কিছু একটা করতে।
e0b894ff53	903fa	রুপী
e0b8a23d86	29089	১০-১২ বছর আগেও
e0b8ca7bb4	56508	ভ্রাম্যমাণ দোকানপাট
e0b8e41ae2	3fce2	আম্মু নিজেই অ্যাথলেট ছিলেন
e0b9c45ced	b4ea7	সেরা রোমান্টিক জুটি
e0ba363564	1279e	কিংবা যাওয়ার সময়
e0baffb691	fbb81	এলোনা গ্যারো নাম্নী
e0bb6004de	43fc0	দৈনিক মানবজমিন
e0bb73dac5	d5f7b	তারই অংশ হিসেবে
e0bb82f5e6	9092b	উত্তম ছাড়াও গ্রহণ করবে
e0bb8bef98	1652d	বাঘাডাঙ্গা ওদর্শনা সীমান্তে
e0bca72fb9	e3d8b	এমন কোন ব্যক্তিকে
e0bcb77565	0d8c1	সন্তানহারা পিতা-মাতা
e0bcc613aa	4bd2c	সংসদ সদস্য
e0bcdece7d	9e923	দুর্যোগ নিজেই ঝিমাইয়া পড়িল
e0bce216d3	2f547	টেলিটক
e0bd205ec9	11de3	নির্বাচনী ইস্যুগুলো নিয়ে
e0bd6e7282	c0965	আগামী ২৬ মে
e0bd7556e2	fbb81	ও একুশে পদকসহ
e0bd93ad7c	9fa90	পুলিশের ওসি
e0bdf4ac53	6d129	বাংলাদেশকে
e0be5cb56b	e3d8b	ফিরে এসেছেন
e0be6398ef	4c1eb	প্রীত রেজা, আফজাল নাজিম
e0be9348bd	c1e30	ব্যস্ত নগরীর বুকের উপর দিয়ে
e0bf53d285	25117	যেকোন আমিষ জাতীয় খাদ্য
e0bf585042	43fc0	কার্জনের প্রস্তাব
e0bf9af90a	91ac1	নিয়ে আলোচনা করব
e0bfd45cbc	43b04	বিশিষ্ট অবেশ অবতার
e0c03c6a81	6a35e	শিল্প
e0c061bdb5	91223	সব মহারাজ একাই খাবেন
e0c06d94fe	80505	বেশ কিছু নিরাপত্তামূলক ব্যবস্থা
e0c1629ee7	6da0a	আন্তর্জাতিক মানের বিচার
e0c1748b7b	f83df	তাঁর কানে ঘুরেফিরে
e0c19487be	f7a7f	কিসে লাগবে না
e0c2fc6314	37e17	দেখা যাচ্ছেনা
e0c31ebfd1	e03fc	ফস করে ঢুকে গেল
e0c3d51a2d	8cf95	পশ্চিম তার অনেক বিষয়
e0c4162772	12702	বাঘা সামলে রাখতে পারবে
e0c42b2401	ce775	সিরাজগঞ্জ জেলা
e0c43dafe9	75f18	এই রিজার্ভ বিনিয়োগের
e0c4579678	4f2ae	তিনি টুইটারে লিখেছিলেন
e0c482c7ab	75936	বরিশাল, গোপালগঞ্জ, কোটালীপাড়া এলাকার
e0c4b3e5cd	52578	যথাসাধ্য উত্তর দেওয়া
e0c4c1b953	7b900	কারণ বিরোধী দল
e0c5a0877e	6ee5f	কাকের কি রবের কি অর্থ
e0c5f05183	e00db	বদলে যায় সব
e0c624a812	7b103	ধার দিয়ে
e0c6e2393a	79b06	এশিয়া কাপ
e0c7042dec	98b81	এতই বিষাদ
e0c75314ea	a4750	এবং এখনও পর্যন্ত
e0c76a2e11	7aed9	অবজারভেটরির অ্যাসোসিয়েট ডিরেক্টর
e0c7c6eb81	e68af	বাংলাদেশের বোয়ালখালী উপজেলার
e0c7c884e9	06e62	অক্টোবরে আমদানি কমে
e0c7d23829	b2a62	রাজনৈতিক সঙ্কটে
e0c85daffb	80e98	দিনের শুরুটা ভালো
e0c8bd4120	3fc9d	তাজমহলকে মোগল স্থাপত্যশৈলীর শ্রেষ্ঠ নিদর্শন হিসেবে মনে করা হয়।
e0c9305e36	9813c	আমার কোনও সহানুভূতি নেই
e0c95f520f	3fce2	এক পুত্রেই তাহা
e0c9cea080	ced74	ক্ষমতার উপর
e0ca761ce8	ee994	সমাজ-সংগঠন ভেঙ্গে ফেলে
e0ca84f3d7	49543	বা নিয়ন্ত্রণে
e0caa52e9d	7d133	চাকমা জাতির ইতিহাস
e0cabd3d2a	91ac1	এক জন উহা সঙ্কলিত
e0cac8b886	da6f0	সংসদ সচিবালয়ের এক সংবাদ বিজ্ঞপ্তিতে
e0cad89419	71522	হিসেবে অধিষ্ঠিত হন
e0cba50e95	a4750	একটি সুউচ্চ স্থাপনা
e0cbfd2544	0606d	বছরজুড়ে আলোচনা
e0cc51b2a2	b8bdd	তৈরি করে দিয়েছিল ফরাসিরা
e0cc832484	2bd99	সৈন্যটি ইদকে বললো
e0ccc5fc9e	cd3ac	সেসব সফল উদ্যোগে
e0cce2d718	9351a	হৃদয় খান
e0cd68e05e	932bb	কারখানা স্থাপনের কাজ চলছে
e0ce39e6f8	a1d4a	সমস্যা তুলে ধরেন
e0ce573798	e2f12	বাংলাদেশে বিভিন্ন রাজনৈতিক এবং সামাজিক আন্দোলনে নারী সমাজ গুরুত্বপূর্ণ ভূমিকা পালন করেছেন।
e0cee16feb	0d9f1	যেতে চেয়ে পথ
e0cefc906d	dfefa	বায়ুমণ্ডল বা মহাশূন্যের অংশবিশেষ
e0cf5ef72f	9b864	জাতীয় পর্যায়ের সেরার পুরস্কার
e0cf608853	0c39f	বিস্ময় প্রকাশ করেন
e0cf65dccb	0a87a	তার ডান পায়ের উরুতে
e0cfa624b0	5a61c	ছোটলোক নয়
e0d028abca	49d63	শনি শব্দটির মানেই
e0d050ba42	28bb3	চুক্তিবদ্ধ হয়েছেন
e0d0611fc9	1e7c7	অধ্যাপক রমেশচন্দ্র মজুমদার
e0d0e22773	3f875	তাদের অস্ত্র পরিদর্শকরা
e0d0eb35c1	60f77	ডঃ মুহাম্মদ শহীদুল্লাহ
e0d169fb85	e6d83	অসহায় বোধ করেন
e0d19356ac	ee7b2	একটি বিমানে বিমানবালা হিসেবে
e0d1a22809	717bb	মোহাম্মদ কামেল আমর
e0d1d461a1	2ad74	শিরশির বাতাস বইতে থাকে
e0d1f84091	c749e	নির্মাণ হবে চলচ্চিত্রটি
e0d2027b80	1652d	কেন্দ্রীয় জামে মসজিদে
e0d24ccb76	4f2ae	তার পরবর্তী হাসপাতাল থেকে
e0d2922011	4fbd1	তেত্রিশটা বছর কেটে গেছে
e0d2bba3ea	ac0df	তাঁর মা বেনজির ভুট্টো
e0d38a7896	b9a81	অফিস স্যুটের
e0d3b061ce	52f27	রাত ১২টা ৪০ মিনিটে
e0d3c86fd2	4fbd1	দূর থেকে কথাবার্তা বলতে পারে
e0d45f9c00	e754e	তীরের কাছাকাছি
e0d48fbfac	32998	মাদ্রাসাটি বন্ধ করে
e0d4c03b24	07660	বাউবি
e0d6bd7897	1279e	তারা কি কখনো
e0d7062cef	6e6fa	ইট-পাটকেল নিক্ষেপ করে
e0d739632e	d5f7b	এই আইনের সামান্য ত্রুটি
e0d863e5cb	9351a	ছেলেদের রুপচর্চা
e0d86b33fe	c11b1	এটা কোনো বাধা নয়
e0d87136a6	717bb	সহায়তায় কাজে লাগানো হবে
e0d8ef3901	15a75	এবারের ঘটনাটিও অগ্নিকাণ্ডের
e0d90c6dba	e43d4	বরং সুন্দর-সহনীয় নীতিমালা
e0d93addeb	ee994	অভিনয় করতেন
e0d9469e44	b2a62	পুরুষদের মাথার চাঁদি থেকে
e0d9d48f73	c3cca	আন্তর্জাতিক মুদ্রার মর্যাদায় পৌঁছে দিয়েছে
e0d9ebb656	49543	গোল করতে
e0da31e7a6	d2355	বন্ধু স্ট্যামফোর্ডের সঙ্গে
e0da393399	4bede	সংগ্রাম চালিয়ে যাবো
e0da40475d	351dd	টম ক্রুজ
e0da505356	7898e	অ্যানহাইড্রাইটের স্ফটিক
e0da8a55f7	c8f7f	হরিবংশ অনুবাদিত করিলে
e0daa11eac	bdd05	চেন্নাই এক্সপ্রেস
e0dbfd805e	a06a1	একটি বিশাল আলোকচিত্র
e0dc14ccf7	16877	নির্বাচনের কাজে নিয়োজিত
e0dc6f6d36	eaa7a	সিনাই উপত্যকার
e0dc7f091b	f600a	এখানকার আদিবাসী জাতিগুলি
e0dc925304	7aed9	প্রকাশে উদ্যত হইয়াছেন
e0dc96c3bf	7027a	ব্রহ্মসূত্র হল
e0dcbc243f	7aed9	যাদের মধ্যে একটি হচ্ছে
e0dcf39f4c	ee852	পরিবারের কাছ থেকে
e0dd3908ba	b8ed8	কিন্তু সচেতন পাঠকের
e0dd4d9e62	ce180	ওবামার জাতীয় নিরাপত্তা উপদেষ্টা বেঞ্জামিন রোডসও আছেন নিষেধাজ্ঞার তালিকায়।
e0dd6c1a68	c11b1	আবরাম সম্পর্কে শাহরুখ বলেন
e0dd73d86d	13b6a	মানুষের মিলন মেলায়
e0dd86c799	2bc73	এই হরতাল ডাকা হয়েছে
e0de81b61b	e00db	ঐশীর আইনজীবী
e0df14914b	7898e	এগুলো যাতে
e0df771717	3faff	ছেলেরা রাস্তায় নামছে
e0dfac70c6	9092b	প্রাচীন সমাজে
e0e1b53bdb	7df87	বুধবার রাতের কোনো এক সময়
e0e1ce36c2	2ee04	একটি কি দুটি কবিতা
e0e232efc5	fb4cb	যাঁকে কম্পিউটার প্রোগ্রামিং
e0e28f4c62	b8bdd	জনগণের যে সেন্টিমেন্ট
e0e2c44ba7	a1201	আজ সে সত্যিই
e0e2c7b562	f4ba7	ঢাকা গাইড
e0e3095762	dec2d	আরও ৪-৫ মিনিট ফুটান
e0e3163ce0	11bd2	সবকিছু মিলে
e0e3689c7f	acb88	ঢাকার সর্বোচ্চ তাপমাত্রা
e0e38b035a	43199	প্রায় শতকরা ৯০ ভাগই মিথ্যা
e0e38ca381	dba43	সমস্যা কোথায়
e0e3df85c2	28bb3	যুদ্ধের বিবরণ
e0e40b3811	e754e	সর্বদা ধর্মীয় বিষয়গুলোকে
e0e478d19e	442b7	আহ্বান জানান তিনি
e0e53c9e77	3f875	খুব বেশি নেই
e0e5711412	d136b	পরদিন সকাল সাতটায়
e0e589ace4	a06a1	বাচ্চার বাতাস লাগলে
e0e61539a5	37e17	চারু হারু বিনু
e0e6cabbb2	acb88	কাউকে কিছু না বলে
e0e6d96139	e6e48	গ্রামের লোকগুলো গাধা
e0e6ee085c	ce629	আপনাকে চিনতে পারছে না
e0e702a6ea	fd880	পাড়ার পশ্চিম দিকে
e0e7058d1f	25117	ডিপিডিসির ব্যবস্থাপনা পরিচালক
e0e750a018	8c120	কোন অক্ষর
e0e8287a4e	64092	দেশটির স্বরাষ্ট্রমন্ত্রী
e0e8cbbe4f	b7be9	পারমার কাছে
e0e8fa2ae4	24aed	সানিউরের লেখালেখি
e0e983c6cf	95f83	তারা হচ্ছে
e0ea2ec907	778c0	অব্যাহতি দিয়েছেন বিচারক
e0ea888568	6b437	ব্রাদারহুড কি নিষিদ্ধ হচ্ছে
e0eaaa02d8	388c9	প্রশাসন যদি নিরপেক্ষ
e0eafdbaaf	cfc65	স্বপ্নের ঘর
e0eb7fe210	db735	তার বেশির ভাগ ধান-বেপারী
e0ebe87762	01e91	বিবিসিকে বিশেষভাবে ধন্যবাদ জানাই
e0ebf8a3eb	29bab	অত্যন্ত আগ্রহ নিয়ে
e0ec233310	2ac82	কোনও সমাজ সুস্থ হয় না
e0ec5db55b	ff1c3	সেটি আর হয়ে উঠেনি
e0ec63b4b3	c2082	অর্থাৎ নির্বাচন কিভাবে
e0ec66caeb	442b7	স্মৃতিচারণা করেন
e0ed588cce	4237e	রবোটের মুখ থেকে বেরোচ্ছে সব
e0ef21eba1	52f27	চাকরি
e0ef2c9d81	b9b98	পার্ক ৩ টিতে
e0ef6bb183	eaa7a	আটক করা হয়েছে
e0efd1d0d2	7b60a	বনভূমি ভরে টেকসই
e0efeba92c	92bb2	ভিখুর গলা জড়াইয়া ধরিয়া
e0f00ec4e2	16a17	অধিক বৃষ্টিপাতের কারণে
e0f0744688	57d54	কেউ কখনো
e0f08b4674	ca831	লোক প্রশাসনে
e0f14d36c3	cd3ac	এক দরিদ্র পরিবারে
e0f14e7642	15a75	অনেক বেশি অর্থবহ
e0f2d3e81a	8b859	বি-মোড পোলারাইজেশন
e0f2e0cf4c	c0965	বিচার চলছে
e0f35bbdc1	cf82a	ও পেটের অংশ
e0f3a6d759	76329	বিশ্ব
e0f3c1127a	8143b	ঐতিহাসিক একাত্তরের বিজয়ের স্মৃতি
e0f3df2e89	9065c	তবুও সে টাকাটা
e0f4655606	4f450	উল্লেখ করেন হাফিজ
e0f4b0f5ee	0d4cb	দেশের ৩০টি দৃষ্টি প্রতিবন্ধী
e0f4f7e8a3	0f047	কারাগারে কেটেছে
e0f55592d3	7027a	এবিষয়টি নিয়ে পরীক্ষা নীরিক্ষার পর
e0f56f2dd2	77f82	সন্ধ্যা সাড়ে ৬টার দিকে
e0f59c1f42	38ff0	কোনও সম্ভাবনা নেই
e0f5b53eea	ee852	আশাবাদী ৬৫ বছর বয়সী স্কলারি
e0f6124b39	c7705	বাংলাদেশের সংসদে বর্তমান বিরোধী দল জাতীয় পার্টি সমর্থিত চেয়ারম্যান জয় পেয়েছে মোটে একটি উপজেলায়।
e0f6d08eee	09f0d	কাজেই চিত্রশিল্প
e0f6ff3faa	c0d65	তা না হলে
e0f7147907	f1ea4	চলচ্চিত্রে নাম লেখানোর পর থেকে
e0f7d825e4	9b864	কোন তথ্য দিতে ইচ্ছুক থাকেন
e0f8467b38	6973e	সকলগুলি পুনর্মুদ্রিত করিবার
e0f8b6d84d	01e91	মুরিদানরা আল্লাহু আকবর বলে
e0fa21b05b	2ac82	শিবসাগর জেলায়
e0fa7417d8	cc18a	আহ্বান জানিয়েছে রাশিয়া
e0faeb7792	976b1	আসলে চাঁদে কেউ যায়নি
e0faf2e151	93080	অভিনয়ের সুযোগ পেতে
e0fb268eec	6973e	তারমধ্যে মাত্র একজনকে জীবিত উদ্ধার করা সম্ভব হয়েছে।
e0fb916437	3b1f7	মামলা দায়েরের পর
e0fc5099db	54e68	বিশেষ ভাবে তুলে ধরেছেন
e0fc5c4310	fd880	দ্বিতীয় কারণ
e0fcb81566	a1201	সমাধানের প্রথম
e0fd203191	54cdd	একটা আতংকের প্রতীক হয়ে ওঠে
e0fd2e2721	37e17	সচেতন পুরুষও
e0fe2858df	f280a	আমাদের দৃশ্যমান
e0fe4b5845	28bb3	দৃঢ়চেতা সাহসী
e0fe53cd82	a06a1	মোহাম্মদ সাঈদ ইকবাল জানিয়েছেন
e0fe7b84ec	05901	সেজন্য কিছু সংবাদপত্র
e0fe858c88	46da4	সূচীত হয়
e0fe9e019a	9d7bf	পণ্ডিতমশাই হঠাৎ
e0fea1f2bd	7a227	মোট শুল্ক আদায় হয়েছে
e0feadbc64	4c555	সংসদে দুটি আসনের অধিকারী
e0fecb0947	fbb81	যখন তাকে
e0fee317d7	8c120	ঠিক মানায়
e0ff06de2a	0d8c1	খবর অবশ্য বলছে যে
e0ff168605	aabe7	সেই তথ্য অনুযায়ী
e0ff8b3de0	0bace	আগুনে বস্তির
e0ff9bc092	7b900	পুলিশ আটক করেছে
e0ffbc1f37	fb4cb	২২ নভেম্বর
e0ffe20e69	a4750	রাজবলহাট, আঁটপুর থেকে
