c5000080f3	06527	জুনো চরিত্রে অভিনয় করে
c5976a6f4b	0d4cb	চলচ্চিত্রে অভিনয় করেন
c59793380f	13b6a	ইফতেখার সাইমুল চৌধুরী জানান
c597f12b5f	b8bf0	সাফল্য অর্জন করেছেন
c59848331b	39dd0	প্রথম বিশ্বযুদ্ধ
c59950c0ab	ea8fa	জনগণ রায় দিয়েছে
c5999679b4	e3f89	নিজামত এ ঘটনা ঘটিয়েছেন
c599fb0f64	086dd	ঠিক কী কারণে
c59a594cf0	73629	বেশি বেশি করে
c59ae4dcd6	91230	আশ্রয় নিয়েছে
c59b4d20d6	0a7a0	অ্যাপল বিশ্বের সেরা
c59b52a556	29bab	আমি তাঁর হাত থেকে
c59bdb0405	4c1eb	তিন জেলার ব্যক্তি মালিকানাধীন
c59c1ad36b	acb88	অ্যানিমেশন থ্রিডি প্রযুক্তিতে
c59c2687c5	4bede	প্রত্যেকটি ধাপ স্পষ্ট হবে
c59c445ac3	bfac7	সে গুপির গলা ভাঁজা
c59cb69ee9	282d3	পাঁচ বন্ধুর গল্প নিয়ে
c59cebd7c3	4486f	অন্যায়যুদ্ধে সংহার না করেন
c59d40f7e5	ee886	এই দু’টি ক্যাটাগরিতে
c59d9f7918	a916a	ঝুড়ির ভিতরে
c59de076f5	1652d	ভাগলপুল হইতে
c59e2455e9	23b22	তিনটি ছবি নিয়ে
c59e317a61	6e6fa	আলোয় সেজে উঠেছে
c59ebec0bf	536d9	শয়তানের মুত খাওয়া হয়
c59ef32236	ff970	রঙিন্ বেশে
c59fbc56bd	520fb	বছরব্যাপী প্রভাব
c59fe73a7d	59c73	কাঁদিয়ে চাঁদের পানে
c5a02cbe83	86b1b	জিলানি ইউনিক প্রেস থেকে
c5a05cb200	61820	ছয়টি একক প্রদর্শনী
c5a07ab0a7	80e98	সুরকার,সঙ্গীত পরিচালক
c5a0b6e9ab	a8710	ফুটা
c5a0bbc0a2	d2faf	রাম ও কৃষ্ণ
c5a23ba85b	11bd2	মাঝি
c5a241369a	3c897	নতুন সীমান্ত পেরিয়ে
c5a241fa1c	60f77	শেষ হইয়াছে
c5a246ffdc	07660	অভিযোগ আনা হয়েছে
c5a2d1afbe	2de86	লোককথা, কিংবদন্তি
c5a3165e93	75f18	প্রয়াত প্রফেসর আব্দুর রাজ্জাকের
c5a3de3da4	c7705	সেই সুযোগ পায় না
c5a446ded8	16e96	অনুপ্রবেশ ইস্যুতে সরব
c5a453e26c	4237e	অস্বীকার করেছিল
c5a46362a3	91223	জুটি বাঁধেন
c5a4f04c67	2d98b	যৌক্তিকতা এভাবেই উঠে আসে
c5a55139da	11915	ক্ষমতার লোভ দেখিয়েছে
c5a5b2151f	c9c19	মিলতে হবে
c5a5b2e798	8a46d	চিরবৈরি দুই দেশের মধ্যে
c5a60afe96	c7705	ছাতক ফায়ার সার্ভিসের সাব স্টেশন
c5a67397ad	69d9a	বর্তমান কর্মচঞ্চল আশুলিয়া
c5a68f4ce9	194f5	সেই রকম হতে হয়
c5a6e9bd8d	91223	সন্ধে হলে
c5a6ee9351	ab946	দেবতা এক জন আছেন
c5a72eb44e	6da0a	চীনা বৌদ্ধ পন্ডিত
c5a733a3e2	eecdd	সমন ফেরতের জন্য
c5a762ca11	92f59	বড় বেশি করে মনে পড়ে
c5a783863c	e03ce	ওই বছর তার বিয়ে হয়
c5a7f24eda	491a5	বিলেতের নানা জাদুঘর
c5a7fa9062	9d398	হলমার্ক গ্রুপকে
c5a81566b8	11bd2	র‌্যাবের গাড়িতে করে
c5a85a9ad7	a43b5	শহরতলী এলাকা
c5a86738d0	2840e	বেশিরভাগই দেশি এবং চায়না
c5a8e7f17f	1652d	আনুষ্ঠানিক উদ্বোধন হয়
c5a8fab875	76329	অপরাজিত ছিলেন তিনি
c5a952d242	a8710	শতাব্দীর সবচেয়ে উজ্জ্বল
c5a96a7549	13b70	গত বছরের জুনে
c5a98534bb	f0f95	পাবনা
c5a99c9eb4	7027a	ইতিপূর্বে পুনর্মুদ্রিত করিয়াছি
c5a9f7da0a	7d3e1	যুক্তরাষ্ট্রের একজন অর্থনীতিবিদ
c5aa0f4de1	e03fc	রোববার রাতে
c5aa355aa0	a0277	বোরখা পরার উপদেশ দেবেন
c5aaeba8bd	c749e	দক্ষিণ আফ্রিকার ইনিংস
c5aaf1fa8f	66c6b	আমি চলমান সিলভার লাইন
c5ab587e51	351dd	সে একজন মাদকাসক্ত
c5ab9f9fb6	9642e	রাকিবুলকে ২০০৬ সালে
c5abddfd84	2d78f	ইংল্যান্ডের সঙ্গে
c5ac4cd348	9f25e	রাত নামলে
c5acb7ffbc	33aef	শ্রম আইনের
c5ad72a5a8	0895a	বেশি দিন পাওয়া যাবেনা
c5adc5785b	52578	এবং দেশের মানুষকে ভালবাসত
c5ae4cc495	73629	চার্জ গঠনের দিন
c5ae732b43	948d3	৩০ জানুয়ারি, ২০১৪
c5ae91a91e	0696e	সাজঘরে ফেরার আগে
c5af0d1c59	c4973	কুয়েত
c5af547e27	7ec1c	বা স্বামীর আদেশ নির্দেশ
c5af6485e3	72649	কিন্তু এ যাত্রায় অনেকেই জীবনের হিসাব-নিকাশের কোনো কূল-কিনারাই খুঁজে পাবে না।
c5afee9b1c	2909b	কিন্তু না বুঝেই
c5b017bfb0	086dd	এগুলো হচ্ছে আপনার ত্বক যেমনি হোক না কেন
c5b0aa38a9	39dd0	সেই ভীষণ জঙ্গল
c5b146087e	509f6	এক চাকমা পরিবারে
c5b17f1d8e	e9759	তাঁদেরকে তা করতে গিয়ে
c5b1c1adbe	5a61c	বাজার থেকে দেদার
c5b1ff8982	967fd	কারণ এখন তাদের
c5b25b2255	430b2	৮১ জন ছাত্রী
c5b25cc2d5	cb627	দিলকুশার ভেতরের দিকে
c5b2abb351	09b32	বিয়ের প্রস্তাব প্রত্যাখ্যান করায়
c5b2c378f7	dba43	খোকা
c5b2d17307	4ea73	এককথায় বলা যায়
c5b351eee0	33814	এক অসম আর সাহসী
c5b355a97a	b78ec	প্রেম করছে
c5b3d632dc	323f1	যখন সোলস গঠিত হয়
c5b3d8ba20	4237e	ঘুম ভেঙে যায়
c5b47751bc	2ad74	বাংলাদেশের ৪৮৭টি উপজেলার মধ্যে
c5b4793573	7ec1c	ইংরেজি অংশের উত্তর
c5b4a0ae29	fcefa	খোঁজ নিতে গেলে
c5b4ae15fe	e6e48	পরিনত হয়
c5b56a9c2e	0e637	ফানি ভিডিও
c5b56c667f	58998	লে.কর্নেল এসএম মনিরুজ্জামান জানান
c5b59fd4b5	7f2ef	শ্রুতিলেখক নিয়ে
c5b659905c	616ec	তাকে আসতে হবে জীবন থেকে
c5b6f37f09	4e900	খুব কমই জায়গা পায়
c5b6fba7fc	33814	কতটা স্বাধীন
c5b75e2028	84145	একটা শুনিলে
c5b77301f9	6e6fa	এতটা খ্যাতি
c5b78aa136	91dff	একবারেই নেই
c5b79990ed	9351a	সকল হিন্দুরই কর্তব্য যে
c5b7a9d0fd	410fa	দীর্ঘ সময় ধরে
c5b7af9b2a	24aed	মথুরাবাসী যাদবদিগের উৎপত্তি
c5b7c63b5a	bd576	নির্বাচন কমিশনার অধ্যাপক কামাল উদ্দিন
c5b7f89163	0d4cb	আইনশৃঙ্খলা রক্ষাকারী বাহিনীর অভিযানে
c5b7fd5ad2	9d398	কিন্তু এখানে গ্যাস নেই
c5b831da9e	24aed	ঐশী রহমান ছাড়া এই মামলার অপর রিমান্ডপ্রাপ্তরা হলেন ঐশির বন্ধু মিজানুর রহমান রনি ও কাজের মেয়ে খাদিজা ইসলাম সুমি।
c5b92ae792	91230	যেমন করেই হোক
c5b9517d20	7297e	রানা প্লাজা ভবনটি
c5b95e73bd	d2faf	সমাজের ক’টা লোক
c5b97927fb	6e8cb	শ্রম আইন হয়েছে
c5b9a2087c	ac904	তা নিয়ে নানা ব্যাখ্যা রয়েছে
c5ba0dba89	8c120	বাংলাদেশের জিএসপি-সুবিধা বাতিলের দাবিতে
c5ba4ac3f4	7f2ef	তাঁর জন্য সবচেয়ে বড় ঘটনা ছিল
c5ba7ce9e2	15a75	ম্যানহাটানে জন্মেছিলেন
c5bab345d0	0606d	রায় প্রত্যাখ্যান করে
c5bb17c356	693cb	আরবীকে অগ্রাধিকার দেওয়ার
c5bb60e32c	bd576	তাদের প্রাণহানি ঘটে
c5bbc83fc9	f280a	মার্কিন যুক্তরাষ্ট্র এবং ইউরোপের
c5bbdbcac4	acb88	প্রশাসনকে মামলা ও
c5bbdc44de	57d54	এ রকম গেঞ্জি নেই
c5bc1ecf96	355c1	আমাদের আগ্রহের পিছনে
c5bc7255bd	948d3	আমরা সাঈদীর ভক্ত
c5bc7da92b	38d3a	অর্পিত সম্পত্তি
c5bcde4d99	2c9c5	তবে আদালত বলেছে
c5bd41392d	0e637	গত বছরের মে মাসে
c5bd438edd	520fb	কেপলারের আলোকবিজ্ঞান বিষয়ক
c5bd7952af	15a75	মি: সিং বলেন
c5bdaf6997	4486f	বিশেষ প্রশিক্ষণ ক্যাম্পের আওতায়
c5be0b9fdf	e3d8b	শুনে শুনে
c5bf27021b	1e7c6	৪০৪৯ মেগাওয়াট ক্ষমতার
c5bf6923ec	adf01	ফুরফুরা দরবার শরীফ
c5bfd3f1c9	8edea	ফোল্ডার পাসওয়ার্ড
c5c02d2df2	a1d4a	কোন সুনির্দিষ্ট যোগ্যতা নেই
c5c07861ae	b78ec	এ থানা এলাকায়
c5c356065e	e2c11	‘প্রথম আলো’র সম্পাদক
c5c3e0738f	16877	গান গাইলেও
c5c3e7700f	410fa	তবে বাণিজ্যিকভাবে
c5c403af52	bfac7	বিক্ষোভ কর্মসূচি পালন করছে
c5c40afa13	acb88	এক্ষেত্রে এবার কঠোর হওয়ারই
c5c44a8b03	860f4	এই কথা শুনে
c5c57c6120	b8bdd	অভিধানের নতুন সংযোজন
c5c5800ef8	31f09	পথ
c5c5ba2c41	698ff	সবক নিয়েছিলেন কৈশোর-উত্তীর্ণ কালে
c5c5cb4266	5dec6	সামাজিক উদ্যোক্তা তালিকায়
c5c6228fb0	f29bf	জাহাজে উঠে
c5c67a614d	a0277	মেডিটেশন করার পদ্ধতি
c5c7314804	16e96	সাবেক মহাসচিবদের চেয়ে
c5c7850941	d9817	এতে আদা, রসুন
c5c7f0ad36	c5479	তিনি অধ্যাপক সঞ্জয় বন্দোপাধ্যায়ের কাছে
c5c7fe4841	2909b	যে যত বেশি
c5c8084221	8406e	আজ রোববার এক সংবাদ সম্মেলনে অধিনায়ক মুশফিকুর রহিম বলেছেন, সেই পরাজয়ের প্রতিশোধ টি-২০ বিশ্বকাপে নিতে চায় বাংলাদেশ।
c5c827dda7	68549	চারটের সময়
c5c8504835	5dd61	মাথায় তখন
c5c8a7f225	0d4cb	দুর্নীতিগ্রস্ত দেশের তালিকায় রয়েছে
c5c8a91ecf	a916a	কার্তিক ভারতীয় দলে
c5c8cc2881	f9dfb	এর প্রতিবাদে বনধ পালনের
c5c9572765	0a87a	রাজত্ব করে
c5c99b1fa1	3fae0	পুলিশের বাকবিতণ্ডা হয়
c5ca0b0e89	adf01	মোষঅলা চাবুক কষান
c5ca20d5a5	75626	টিপু সুলতানের পরাক্রমশীল বাঘ
c5ca86892a	3faff	বন্ধু ছবি
c5caaaf0de	e6d83	তবে মাদ্রাসার পরিচালক
c5cabbcd15	1279e	মার্কিন মিডিয়ায় প্রকাশিত হয়
c5cb450aff	e9759	এ ছাড়া একজন কনস্টেবল
c5cb989649	6b437	বৈজ্ঞানিক গবেষণাকে সহায়তা
c5cc14786c	c6848	যাতে কম লাগে
c5cc67dfd0	a1201	চলচ্চিত্র হিসেবে
c5cc6eb8bc	c463d	মুক্তিবাহিনী আইতাছে
c5cd68ec08	3fce2	সার্বক্ষণিক অবস্থান করে
c5cda8a121	287bd	এক লাখমিটার কারেন্ট জাল
c5ce12b6f4	16a17	আমার সৌভাগ্য বুঝিয়াছি
c5ce61c14b	cc18a	এই ঘটনার সাথে জড়িত কয়েকজনকে জগন্নাথ বিশ্ববিদ্যালয় থেকে বহিষ্কার করা হয়েছে।
c5ce7ffbb2	2396d	তিনি তাঁর লেখায় অগ্রগণ্যে এনেছেন
c5cf2c110b	b52ab	কলম্বিয়ান হিসেবে
c5cf93d0ab	4f450	তাকে টানতে
c5d00f1848	4fc91	সাইদুর মামুন খান বলেন
c5d0279287	acb88	ফরিদপুর গোডাউন থেকে
c5d1127d6f	57d54	পণ্যজট কমাতে ছুটির দিনে
c5d1248847	16a17	কর্মসূচির উদ্যোক্তারা
c5d16d84a5	24f73	যুদ্ধাপরাধীর বেলায়
c5d1f3e6f4	09b32	আজ শহর বন্দর গ্রামে
c5d251a6d4	e2ff7	সেই তথ্য অস্বীকার করেছিল
c5d26b38c2	0d4cb	আগামীকাল লাশের ময়না তদন্ত
c5d29422ef	0696e	অ্যালুমিনিয়াম
c5d2aca323	bfac7	সৌভাগ্যশালী বলিতে পারি না
c5d2d512f0	7f71c	মোবাইল টিম
c5d31240bb	287bd	যাতে বিপন্ন না হয়
c5d3566978	bfac7	দীর্ঘ করে না
c5d35c9e71	eecdd	আমারদেশ অনলাইন
c5d3bb1aa2	aabe7	মার্সেলোও চোটের কারণে
c5d482c52d	fcefa	মনে হলো পরিচ্ছন্ন
c5d4fe8769	aab0f	উপর থেকে
c5d5ba1221	2695f	জেলার, পাঁচবিবি এলাকায়
c5d5dbf64b	e6d83	লেখা হয়
c5d5e14941	6dff5	ইউনিভার্সিটি প্রেস
c5d6289d95	d9b11	বিতর্কিত নারীবাদী সাহিত্যিক
c5d63cbfad	da6f0	শাক সবজি চাষ
c5d792b55f	ad2a0	কোনো প্ল্যান পাস হয়নি
c5d7caaf51	92f59	কখনো থাকে অমীমাংসিত
c5d8107ed7	2ac82	মৃত্যু না হলে
c5d81488b5	ca088	শক্ত প্রশাসন দরকার
c5d840d931	d2294	সরে গেলে
c5d843bb63	dec2d	ব্রাজিল তারকার দুর্দান্ত পাস থেকেই ৩৯ মিনিটে লিগে মৌসুমের প্রথম হ্যাটট্রিক পূর্ণ করেন মেসি।
c5d8741e58	f29bf	যাঁহাদিগের কেবল রসনেন্দ্রিয়
c5d96266bb	0633a	আপনার সবচেয়ে ভক্তি-ভালোবাসা
c5d9e37793	2ee04	যে তাঁকে বাধ্য করবে
c5d9fe1b8a	28bb3	পর্যায়ক্রমে সেটা
c5dad68bcb	ee886	ব্যাপক বিতর্ক সৃষ্টি হয়
c5db19e726	f29bf	অন্য অভিযোগ রয়েছে
c5db627a81	4fd66	উত্তেজনাপূর্ণ ম্যাচে
c5dc2297aa	3f493	নন্দিনী জিজ্ঞেস করে
c5dc302100	e89bb	জনসমর্থন কোথায় ওদের
c5dc67b7c5	086dd	মেহেদীর সঙ্গে দেখা হয়
c5dc697e33	860f4	সংবিধানের ব্যাপারে
c5dc9b2fc7	4c1eb	কিছু সংশোধনী অনুমোদন করেছে
c5dcc31bfa	33814	কর্ণাটক রাজ্যের
c5dceb7bf0	509f6	শ্বেত পাথরে
c5dd29e845	693cb	তিনি গ্রহণ না করে
c5dd331826	b52ab	আইন সহজ হলে আমি হয়তো
c5dd71dcd5	72649	রাজামশাইকে বলল মহারাজ
c5ddbbe1b6	14816	চিকেন ফ্রাই রেসিপি
c5de7d021d	f4ba7	অবৈধভাবে বাংলাদেশে অনুপ্রবেশসহ
c5df19f8f6	d1a48	দাবি আদায়ে
c5df550eac	80505	প্রস্থ ৩২ মিমি
c5df5f82f3	8ba2b	গল্প বলার উছিলায়
c5df82e3cd	06bb7	সমাবেশের মাধ্যমে
c5dfd927c2	06ea3	কেন এখন পর্যন্ত
c5e04275e4	86b1b	উপমহাদেশের ইতিহাসকে
c5e08d6f45	83c53	কিন্তু সরকার সেটা নিচ্ছেন
c5e11713ef	fcc89	ওদের সমাজ, পরিবেশ, পরিবার
c5e1852a40	75626	পুলিশ লাঠিচার্জ করত
c5e194f05d	bf530	নিশ্চলভাবে রাখা থাকত বাঁ হাত
c5e1bb46ca	91dff	তাদের দিকে ঈর্ষার দৃষ্টিতে তাকাচ্ছেন
c5e2004d79	29d44	দেখে মনে হচ্ছে
c5e23798b4	0633a	শান্তি আলোচনায় যোগ দিতে
c5e240b0d7	e6752	কেহ গল্প শুনিয়া হাসিল না
c5e261a454	321b6	এ ধরনের ঘটনার বিষয়ে
c5e26f4fd1	10a9f	বন্ধু সজল
c5e27f8d8c	1c618	টাইপ করতেন
c5e2e6e1ff	ec91c	কাজেই চলে গণগ্রেফতার
c5e33d4f08	32b3e	বন্ধ করা যাবে না
c5e3663b7c	ad050	হাওয়ার্ড, বস্টন প্রভৃতি
c5e38de119	91b16	কিছু করতে পারবো না
c5e44edd21	0633a	৫০ জন বাংলাদেশি ছিলেন
c5e493b06c	8632b	সুনামি
c5e5281f53	95f83	বিদেশে বাংলাদেশ মিশনগুলোতে
c5e52c7f2b	fbb81	তার হত্যাযজ্ঞের প্রতিশোধ নিয়েছেন
c5e570a47a	491a5	প্রথম টারবাইন থেকে নির্গত
c5e5b82fea	e68af	আমাদের কথা ধীরে ধীরে
c5e5cc5876	1279e	পরিস্থিতি নিয়ন্ত্রণে আনা হয়
c5e6b6402d	f280a	নারী
c5e6ed74e4	f6e55	রাত্রে কুপি জ্বালাইয়া
c5e6f25d41	f4ba7	তাঁকে শুধু
c5e7d08ad8	db735	আপনাদের আন্তরিক সহযোগিতা
c5e87f966e	c41d8	বিয়ে করতে হবে
c5e8b6941c	fd880	ফাঁসির রায় কার্যকর করে
c5e906dc64	4164f	এদেশ তো অন্য কারো
c5e966d8c8	4a918	বেশকিছু অংশের
c5e9b85c5c	b7be9	ভিতর থেকে
c5e9fd97d3	bcaa8	পাঁচ সদস্যের একটি মেডিকেল বোর্ড
c5ea53ec5e	37e17	তদন্তকালীন সন্ত্রাসী সম্পত্তি
c5ea5c7c87	4c1eb	অচেতন করে
c5eac4beab	52578	ধরা-ছোঁয়ার বাইরে
c5eac5ce79	8b859	তিন ছাত্রের সম্পর্ক
c5eb06d421	491a5	প্রণয়ে জড়ান
c5eb0a57a0	d2355	গতবারের সমানই এবারও
c5eb2dede5	ee852	তিনি পাপ ও দুঃখের অতীত
c5eb3c1eea	7ec1c	রণবীরের বিয়ের প্রস্তাবে
c5eb48ac7a	49d63	সহিংসতা শুরু হয়
c5eb691f2b	28bb3	ভারতীয়রা নিয়ে আসেন
c5eb71a9ab	6dff5	কিছুদিন যাবৎ
c5eb9a41ba	28bb3	মেয়েরা যায় চার্চে
c5ebbd1832	ce180	আজ সকাল ৯টার দিকে
c5ebd05728	cc9fd	চাকরি দেয়ার লোভ দেখিয়েও
c5ec00caa5	315e9	নানির ছোট্ট শরীরখানা
c5ec19a9a8	43199	দুই পরিবারের মধ্যে আলোচনা হয়
c5ec8c4554	7297e	ড্যানি লিল্কারের মাধ্যমে
c5ecb528d5	61820	মেহর পাকিস্তানি গোয়েন্দা সংস্থা
c5ed632de0	5dec6	নামোল্লেখ না-থাকলেও
c5ee0a5a2d	d82d9	চোরাইয়ের টেক
c5ee70d9a9	2ac82	মারা যায় স্কুলছাত্রী আফরোজা
c5ef2414fc	0895a	এটা কোনো বাধা নয়
c5ef4bdf65	dfefa	ক্ষেপণাস্ত্রের প্রথম
c5efbc181f	c7a89	সাবাস বাংলাদেশের মাঠে
c5efeb0bd3	ac0df	লিবিয়াও নিজস্ব বিপ্লবের জন্য
c5f00906b9	0a87a	উদ্ধার হওয়া শিক্ষার্থীদের মধ্যে
c5f013ee98	d1a48	সেখান থেকে উদ্ধার করে
c5f06bddb2	1652d	এই হামলা চালানো হয়
c5f0739f80	8c120	নানা প্রশ্নের সঙ্গে
c5f181160a	8b859	কারণ জানতে চাইলে
c5f1b01104	7b60a	তিনি অধ্যাপক সঞ্জয় বন্দোপাধ্যায়ের কাছে
c5f1e5d8e4	52f27	কৃষ্ণসঙ্গের সুখোপলব্ধির প্রগাঢ়ত্ব
c5f21c991f	39dd0	সরকারসহ
c5f22e8464	d5213	সাড়ে চুয়াত্তর ছবিতেই সুপারহিট
c5f2721d58	18460	মাজনুন মিজান
c5f40a121c	3f493	ইউপিএ জোটের
c5f5349386	a3a6d	আদুরির মা
c5f5934a3a	6a35e	এতে সরকার লাভবান হবে না
c5f5d20964	13b70	শূণ্য দশমিক ৪০ শতাংশ
c5f61b3765	bcaa8	তিনি আমূল বদলে দিয়েছিলেন
c5f6485e23	9b864	বাবরি ছাট
c5f6957f25	ac904	যোগাযোগ রক্ষা করতে
c5f7145502	3ec4d	সমান পারদর্শী শিল্পী রাজিব
c5f723c880	7297e	দাঁড়িয়ে ছিলেন তিনি
c5f786c023	4a918	অথবা বেশি জরুরি হলে
c5f794a64e	e68af	আঙ্গারা নদীটি প্রায়
c5f7a1cfae	4bd2c	ব্যক্তি নিরাপত্তার
c5f7f1aa5b	baa02	রাশিয়ার সেনা সমাবেশ
c5f84a60bf	95907	ক্রমাগত পড়ে যাওয়ার মাধ্যমে
c5f84b8a27	9065c	অর্ডার দিয়ে বানালে
c5f899a9d8	0b7ca	ডুবন্ত লঞ্চের পাহারা
c5f92119d5	54e68	সম্প্রতি আবার
c5f92222ce	3fb17	এটিও কি আন্তর্জাতিক আইনের
c5f9699dfc	430b2	আদিলকে আটকের পর
c5f99ef6ee	d71a3	তিনি এর পর এ সংক্রান্ত খসড়া বিলে অনুমোদন দেন।
c5f9bd228f	f837a	তার শৈশব কেটেছে এই গ্রামে
c5f9fde309	5d80e	বাপ্পাকে নায়ক করে
c5fa017ea3	2556b	মান্নান সৈয়দের মৃত্যুর পর বেরিয়েছে
c5fa3905a8	29d44	সে অনুসরণ করবে না
c5fb01f1dc	e00db	শিশুর জন্য
c5fb740698	92bb2	অধিষ্ঠিত আছেন
c5fc33b686	1c618	কি করে এত কান্ড করলে
c5fcb5273f	6e8cb	রূপালী ব্যাংক
c5fd0bfd94	eaa7a	দেশান্তর, যার অর্থ
c5fd85947e	9d46f	উল্লেখযোগ্য বই
c5fd94c538	9351a	অপূর্ব সংস্কার
c5fdbdfe3d	bf530	লিখিত হইয়াছিল ১৯৩৫-এ
c5fdd9e4f5	287bd	মোসাহেবি রোগটা তো
c5fe694aac	3fc9d	এমনকি বন্ধু ওয়াটসনকেও
c5fe771edc	d1b12	স্থানীয় নির্বাচনেও
c5feb38d8b	0633a	এসব নিয়েই তো
c5feb5acaf	6a35e	তিনি মালয়েশিয়া যাবার
c5ff06529b	c3cca	দুটি বাড়িতে হামলা চালিয়ে
c5ff1e5d66	3ec4d	যুদ্ধাপরাধ বিচার প্রক্রিয়া
c5ff3258c9	d8c80	কিন্তু নিখোঁজ সুব্রত রায়কে
c5ff96cf35	1b359	প্রাসাদের মেঝেতে অঙ্কিত
c5ffa6e7b7	c41d8	মাদকের বিরুদ্ধে সোচ্চার হয়ে
