49000f8266	1cb75	হ্যাঁ গো মা
4989873d8c	2bd99	কোনো মাছ বা ফলের দোকানে গিয়ে ঝাঁজ ভাব লাগবে বুঝে নিতে হবে যে সেখানের পণ্যে ফরমালিন ব্যবহৃত হয়েছে।
498987a2a2	b9a81	নির্দেশ দিয়ে বলেন
4989b2d34c	cc9fd	মঙ্গলবার রাতেই রাসেলকেই
4989beba4a	c3cb3	এর সঙ্গে যুক্ত
4989d2d485	287bd	কিসমিস
498a82c25d	ca088	স্থগিত করেছেন
498a9169da	3f875	প্রযুক্তির সুবিধা নিয়ে
498a97dcba	06ea3	উল্লেখযোগ্য সাহিত্যিকের
498add0c4e	eaa7a	যিনি আলীগড়ে পড়াতেন
498b1c0f6f	d711f	আমি তোমাকে ভাল বাসি
498b723626	d5f7b	এবারে মাস্টারমহাশয়
498c43445e	11915	পুলিশ অন্তত
498c57c474	13b70	প্রতিবেদনে জানিয়েছে এবিসি
498c70d482	6c6bf	পরিচালনা করতে পারছি না
498c9a7845	194f5	পল্লী বিদ্যুৎ যতটুকু বিদ্যুৎ পায়
498ca3bd93	9813c	শীতপ্রধান দেশে যে ধরণের ব্যবস্থা গ্রহণ করা হয়, আমাদের এখানে তেমন হয় না।
498cfb41d1	a3a6d	ছিলেন ব্যতিক্রমী
498d262348	92bb2	জেলা থেকে
498d48d6dc	bfac7	উঠে পড়েছিলেন প্রায়
498da518d0	43b04	আহতও হয়েছিলাম
498ee9fa1d	4f450	বোধপায়া কর্তৃক
498f79575f	1e7c6	সরস্বতী পূজার জন্য
498faddae8	b9122	টুটু, শরাফ
498fdc2977	3ccf1	গড়ার পরিকল্পনা করেছে
49900b5078	2ee04	আরেক মামা সবিহ উল আলম
499069198d	4ea73	তোমার সঙ্গে
49912300e2	e2c11	রূপান্তর করা হয়েছে
49916c0c99	7b900	কোথায় পালিয়ে গেল
49923c3e3a	4c555	খোলা আকাশে লটকানো
4992b25bed	acb88	অন্যটি জরুরি, ৫০০ টাকা
49931ab130	8632b	দায়িত্বরত একজন সিপাহি
49934b2ebd	6973e	৩ ডিসেম্বর থেকে
49934ff4b4	85430	প্রশিক্ষণ নিয়ে
49935872b6	39293	মাখন ২০০ গ্রাম
4993846711	c8f7f	আলবার্ট আইনস্টাইন
49938d2725	c0965	ভীষণ রাগ হলো
499418e85d	b7be9	হ্যান্ডবল খেলায়
4994400c00	dec2d	সেনা সূত্রগুলো বলছে, তিনি যেকোনো দিন পদত্যাগ করবেন এবং নিজেকে প্রার্থী হিসেবে ঘোষণা করবেন।
4994c09f9c	2bc73	এখন হইতে
4994ed622b	cfc65	কর্মবিরতির আওতামুক্ত রাখা হয়েছে
499526e6bf	8edea	ঘুরতে থাকা নেবুলা গ্যাস
4995651e17	315e9	মোহাম্মদপুরের চাঁন মিয়া
499667dc6e	24f73	উইকেটের পেছনে
4996eafce1	eecdd	ফিরতে চাই আমরা
499705ddfd	8c07c	রায়গুণাকর ভারতচন্দ্র
4997b050be	73629	টিকিটের দাম কমানো
4997b74965	1652d	সুমি
49989c95a5	bbb22	ন্যাশনাল স্যোশালিস্ট ব্ল্যাক মেটাল ব্যান্ড
4998b2cf73	44322	প্রথম ঠুংরির চাল
4998fa8d71	a06a1	আপনার করতে জানে না
4999308f85	d5f7b	সংবাদ ব্রিফিং হয়
4999727088	ff970	জগত, রাষ্ট্র
4999dcdb1b	29bab	রবীন্দ্র-মৃত্যুবার্ষিকী
4999ea3f27	323f1	এই প্রস্তাবগুলোর মূল কথা হলো
4999eb448a	2556b	তাদের কিছু খুচরো
4999eb47b1	767ff	বাংলাদেশ ব্যাংকের অনুমোদনক্রমে
499a2c4e05	509f6	মূলত ডায়রিয়ায় আক্রান্ত হয়ে
499a98526d	52f27	বইয়ের আকর্ষণীয় দিক হলো
499a9c16cc	38ff0	সবার চোখে মুখে
499aadf3a2	15a75	বাংলাদেশ অনেক এগিয়ে যাবে
499ae17685	577fa	দেশের বাইরে নিয়মিত
499b147e34	e2ba2	১৯৬৯ থেকে ১৯৭৩ সাল পর্যন্ত
499b16caa3	d9817	এই ওয়েবসাইট ব্রাউজ করতে পারবেন
499b31024a	16e96	মূর্খতা কিছুই নয়
499b34d640	9e923	এই সফর করবেন
499b3ef1ad	58998	আমরা কিন্তু দেখি
499bcaa0bd	c173f	গুরুত্বপূর্ণ প্রভাব ফেলবে ঠিকই
499be5eb2b	16877	কবুতরের হাট
499bf7ae96	3ec4d	তখন এটা
499c068a94	7d3e1	দু-একটা যে পড়ে না
499cab3d20	4f450	বিশ্ববাসী দেখেছে বলে
499d2939b5	086dd	দেশের পক্ষে ১০৮ ম্যাচে
499d88ea07	6ee5f	ভারতের কাছে
499da00f71	ad69a	সেদিন উপস্থিত
499e39e006	b52ab	নিহত লিলু
499edc6e64	01e91	আন্তর্জাতিক বিমান বন্দরের টারমাকে
499edf1763	8845d	শুরু করেছে তারা
499eedc8ea	e6e48	সম্প্রদায়ের মতে
499f34d52c	1de6c	অফিসার জিজ্ঞাসা করলেন
499f5dcd2d	ac904	ফুটিয়ে তোলা হয়
499fbee6d9	d1b12	বুধবার আবেদনটির ওপর
49a0488cc0	1e7c6	এর একদিন আগেই
49a0b825b8	91dff	জরিপে অংশগ্রহণকারীদের
49a0c18c52	c5dc8	চক্রাকারে স্তরে স্তরে সজ্জিত
49a0fd4a56	d2d71	ফিরে যান
49a160fcfb	410fa	হলে হবে না
49a164aabf	7d004	৫০ বছরে উপনীত হয়ে
49a177cde1	404ee	সফলতা
49a1bf7ba9	1cb75	জঙ্গিরা নিরস্ত্র মানুষ হত্যা করে রেহাই পাবে না।
49a1fc3293	f0f95	জেলা জাতীয়তাবাদী মহিলা দল
49a2334a1b	d9817	সাংবাদিকদের বিভিন্ন প্রশ্নের
49a2cdc018	f4ba7	অমনি বাঘা দুহাতে চোখ ঢেকে
49a2ec7024	16a17	নানা শিক্ষা নিয়ে
49a31c5a0e	e2c11	ইউরো চলচ্চিত্র সাংবাদিক ফোরাম
49a344a1ea	79b06	তিনি অসংলগ্ন কথা বলে
49a365b4e1	fdcba	হরলিকসের চ্যালেঞ্জ
49a403ee79	60b9d	পাশাপাশি ভারী বৃষ্টির ফলে ভূমিধ্বসের ঘটনাও ঘটেছে।
49a4044ab0	c463d	আমরা করে খাব
49a457b665	4dd57	সোহরাওয়ার্দী উদ্যান
49a4a877c6	3fae0	অন্য ছেলে আব্দুল্লাহ
49a4dbead6	80539	দেশের খবর
49a4e1b607	121bd	সহসা তাহার চক্ষু হইতে
49a5194f1f	9642e	ব্যবস্থা নিন
49a5569261	cd3ac	মস্ত কালো
49a5bb54ba	b4ea7	রাজধানী অকল্যান্ড থেকে সরিয়ে
49a5c673cf	11bd2	চট্টগ্রামের লালখান বাজার এলাকায় অবস্থিত
49a5d2780f	49d63	সে কি আর
49a64dbc6b	2aecc	বোকা বানানোর এসএমএস
49a65d84bd	ce775	দোহা থেকে আসা
49a6dc339d	fcc89	বার্তা
49a7b9d4da	80539	হয় নি বলে জানান
49a80099b8	7c272	আমাদের সন্ধান পেয়ে যান
49a83850f9	6973e	সরকারি ভাষা হলেও
49a983eba5	1279e	প্রধান পর্যটনকেন্দ্র
49a99e5084	baa02	তার আগে গ্রেপ্তার হন
49a9c80cf5	a916a	এসব শাড়ি ও থ্রিপিস
49aa867d7e	e03ce	তাদের দায়িত্ব
49aaab1c63	cb1aa	জমির মাপ
49ab162d34	4237e	ওর মুখ
49ab51287b	09b32	অবাধ তথ্য প্রবাহ
49ac274e60	7b103	বিদেশিদের বিদ্যমান আগ্রহ
49ad47be20	76329	গত সংসদ নির্বাচনে
49ad961b89	59c73	গঙ্গার হাওয়া এসে
49ad989c56	d5f7b	ধার দেয়া অর্থ ফেরৎ পেতে পারেন।
49adb5e660	16a17	বন্ধুরা সবাই মিলে
49adc70394	1f733	গোয়েন্দা জবাব দিল
49adcdba08	32c77	আঁদ্রে লিন্ডে
49adeba616	17dcd	বুকে কফ জমায়
49ae23d5ee	2695f	সদা সত্য
49af1aceb8	4a918	একজন বলিষ্ঠ পুরুষ
49af8f7a50	6ee5f	অপূর্ব সমাহার ঘটেছে
49af9d7a53	590d0	শর্টগুলো এ রকম কুঁতে কুঁতে
49aff33231	b8ed8	যার ধারাবাহিকতা
49affbe96b	68549	ভায়োলেন্স, ক্রুয়েলটি, বীভৎসতা
49b06d598a	943de	সামাজিক মূল্যবোধ
49b0f2fa84	693cb	মেডিকেল কলেজ হাসপাতালের মর্গে
49b0f8288e	ad69a	সময় কাটতে লাগল
49b1b8c594	a9a58	কোনও এক জগতে ঢুকছি
49b1bc8321	b78ec	আরবআমিরাতে ১০ লাখের বেশি বাংলাদেশি শ্রমিক কাজ করছে।
49b1cadb67	a43b5	পড়তে পারে বাংলাদেশেও
49b2df4989	c41d8	প্রাইভেটাইজেশন কমিশনের চেয়ারম্যান হিসাবে
49b313a431	06bb7	তিনি জানতেন যে
49b41699ed	12702	কবি আর জীবিত নেই
49b41f26e9	e00db	আধ্যাত্মিক চিকিৎসায়
49b4a53355	0a87a	১৯৭১ সালে ১৫৪২
49b4ba0542	e6752	এতে তার বিপরীতে রয়েছেন
49b5cca522	e68af	পারি না
49b5cd3d8c	17ca1	আগুন দেয় তার
49b6075711	0f047	সে অনুযায়ী ব্যবস্থা নেওয়া হবে
49b6420a99	10a9f	কিন্তু গত চার-পাঁচ বছরে
49b6928d7b	80be1	সুব্রত রায়ের বিরুদ্ধে
49b74a00da	06527	এত কাঁঠাল গাছ
49b7bf2142	15a75	বিরোধী আন্দোলন চলছে সমান্তরালে
49b7c9f845	4f450	দৌড়ে গিয়ে
49b8938284	3fae0	১২০ থেকে ১৫০ টাকা দরের আদা
49b8dcd88a	f9dfb	তাঁকে প্রথম দেখার পর
49b981fbdd	b8ed8	ঝুঁকি জেনেও অস্ত্রধারী দলে
49b9d8b31a	88654	দেখানো হতো
49ba3b974c	509f6	দুই নেত্রীর
49ba6bbc79	976b1	নিজ নির্বাচনী এলাকায় যাত্রা
49bb040534	ff970	ভর্তি পরীক্ষা স্থগিত হওয়াকে
49bbbf1136	d2d71	এক বিমান দুর্ঘটনায়
49bbf1c915	577fa	এখন তাহলে আমাদের
49bca30848	43b04	অপহৃত নজরুলের গাড়ি
49bd830f32	49543	অন্যতম ভয়াবহ কারখানা দুর্ঘটনা
49bdca3960	6ee5f	খুব ভালো হয়
49bde50cb4	274ee	গ্রাজুয়েশন সম্পন্ন করে
49be0d3330	14816	পাখির আবাস
49be3f1876	23b22	কিন্তু স্বাভাবিক জীবনে
49be8a1443	69d9a	এমনকি পাবলিক ডিবেটও হয়নি
49bec3cb56	35ef3	মোবাইল গেম
49bef328c2	83c53	নড়াইলের লাবনি খানমের আশংকা
49bf039637	730c3	বড় ভাই
49bf656950	c6848	১২টি গ্রন্থের
49bfdd481a	1c618	মিন্টুর রক্ত ছুঁইয়া
49c0231ece	932bb	ঝুঁকিও তৈরি হচ্ছে
49c0ee9cf8	32b3e	হাঙ্গেরির বুদাপেস্টে প্রাথমিকভাবে
49c1003b92	8edea	পরিদর্শক মোজাম্মেল জানান
49c1012f4b	ff1eb	কিছুক্ষণ পরেই সমুদ্রে নামেন
49c1777b76	35ef3	যেগুলোর মাথায় থাকতেন
49c181952c	ad98d	একটি প্রতিযোগিতা
49c1e72d19	10a9f	তথ্যচিত্রের ক্ষেত্রে
49c1f1b4d8	0606d	পুলিশের তালিকাভুক্ত শীর্ষ সন্ত্রাসী
49c2090f61	76329	তারা পছন্দ করে
49c23b36e8	d41be	উদয় হলে
49c2667cba	086dd	একজন পুলিশ অফিসারের
49c29b3457	c958a	চালকসহ ১৯ জন
49c2be3678	e31e7	পার্ক এলাকা সর্ব সাধারণের জন্য
49c3673927	880ae	কলকাতার ৮ নম্বর
49c36b1adc	0696e	কোনো দেয়াল নেই
49c373dbbb	590d0	স্কুল খোলা
49c3c30683	ad050	কথা বলতে পারেননি
49c4040368	5d12f	রাজত্ব করতে পারতো না
49c43c4891	fcc89	সর্বনামের উপর
49c453d01a	2d98b	যেমন হিটার
49c4aa9edd	3f875	পনেরো দিনের মধ্যে
49c4bd53fd	9d46f	রাসু খালু
49c4e53ba9	9d46f	বেসরকারি বিশ্ববিদ্যালয় এইউআইবি-তে
49c50cc9cf	44322	ভারতের অসম রাজ্যের
49c5e9384b	274ee	সংগ্রহণীয়
49c64247a0	ef915	এই অনুসন্ধান কাজে
49c683efd6	77f82	আগামী মঙ্গলবার
49c7a291e4	256f5	ফাতেহা পাঠ ও আলোচনা সভা
49c9ca65fe	c4973	কম্পিউটারের প্রয়োজনীয় ফাইল
49c9f61581	6da0a	তেমনি কোন বিদেশী নাগরিকও
49ca0dd95e	71522	রাজধানীর আজিমপুর
49ca169beb	b5fdc	সরকারের বাধা দিয়েছে বলে
49ca6f68cd	a916a	সঠিক রাখতে
49ca9bfcfc	ff970	এক দফা মুচকি হাসি
49cac20d83	355c1	তাদের লক্ষ্যমাত্রার ২ দশমিক ২৭ শতাংশ
49caed9eea	b9a81	ক্ষমতা বেড়েছে
49cb21d99d	9282d	বিভিন্ন অংশ থেকে
49cb40e1df	d136b	তাঁর ব্যক্তিগত অনেক অভিজ্ঞতার
49cb9d8645	6b437	এর মধ্যে কেবলমাত্র
49cbbd48ac	4dd57	পরিত্যাগ করিতে পারিলাম না
49cbd81fdf	b9122	কেন্দ্রীয় ব্যাংক বলছে
49cc50ed71	06ea3	হুমায়ুন আজাদের কবিতা
49cc6eb644	932bb	আগে ভাবি নাই
49cc8957a9	db181	এমন মানুষ মুসলমান সমাজে
49ccb3f753	e6752	যাতে উপকৃত হয়
49ccd4748f	af81d	ব্যাংকের পরিচালক
49cd21f839	880ae	কাজী নিপু
49cd513e02	d9817	ঢাকার একটি বেসরকারি কোম্পানিতে
49cd7aad81	1652d	আট পয়েন্ট এগিয়ে আছে
49cdbce3bd	c7705	বিশ্বের সবচাইতে বড়
49cdcddd2d	f2097	পরিচালক হিসেবে
49cdf8684a	6dff5	সেই থেকে আজ অব্দি
49ce320297	db181	কেএম এনামুল হক
49ce355ec0	64092	রাবড়ি, শরবত
49ce52ecce	b9a81	বৃহস্পতিবার মাঝরাত থেকে মিরপুর ও কাফরুল এলাকায় অভিযান চালিয়ে বেশ কিছু লোককে গ্রেফতার করা হয়।
49ce6d51fe	f600a	গা-সওয়া হয়ে গেছে
49cea65660	0d4cb	গোপন
49ced4deca	7d3e1	সরে দাঁড়ানোর কথা
49cf485b48	d3e06	ইসরায়েলের পাশাপাশি
49cf87daad	fd880	তিনি লিখলেন
49cf8f921c	3f875	যাত্রী পরিবহনগুলিতে
49cf9e694a	b8ed8	উম্মাহ
49cfa1cb5d	520fb	বৃষ্টিতে ভেজা
49d147301f	d3e06	গার্মেন্ট খাত নিয়ে
49d14d1172	cb627	আইনের বাস্তবায়ন
49d1633330	c4973	ফটফট করে
49d20d4c60	616ec	সভা-সমাবেশ নিষিদ্ধ করে পুলিশ
49d23414f9	6e8cb	এতগুলো কৌতূহলী
49d24484c5	61820	দৈনিক আমার দেশ পত্রিকার
49d25b8e43	153c9	কমিশনকে তার কাজকর্মে
49d2763c72	80539	পাল্টে ফেলা
49d31c3c31	4a918	বসেছিলেন বিছানায়
49d3ddad97	0bace	নিশ্চিত করে
49d492466f	fcefa	সাবিহা নাহার বেগম
49d4e05141	3f875	ভগবদ্ভাবে আবিষ্ট হইয়া লিখিয়াছেন
49d4e4fd3f	3fae0	মা কাছে আসতেই
49d50acf0a	91b16	শিশু এখনও নিখোঁজ
49d546e3b1	32b3e	পুরুষের কাছে
49d5839f6c	d2294	ঐ একই নিয়ম
49d5945c88	ff970	তাসলিমার পুরস্কারপ্রাপ্ত ছবি
49d598d840	75f18	কষ্ট হত
49d59bccc7	388c9	এগুলো এসেছে ধুমকেতু থেকে
49d6224191	e2ff7	প্রিমিয়ার হচ্ছে টেলিভিশনে
49d6344eff	92bb2	পৃথিবী হইতে
49d63fe10a	5dd61	শুরু করেন তারা
49d67da0f8	4237e	আর যারা তাদের
49d6cfd484	e2f12	আকাশে চলাচলকারী
49d6ffd48f	c1e30	আক্রমণকারীরা সবাই
49d7695afe	ad050	ছাই নিবেন নি…ছাই
49d770094a	54e68	বিভ্রান্তির মধ্যে ছিলেন
49d7f460f8	aabe7	ঝোলানো হয় কাদের মোল্লাকে
49d8283319	7898e	গোল করে ছুটছেন
49d865a8fb	5dec6	সাইফুল হক
49d8aaf9ea	194f5	আমান বন্দরের দক্ষিণ মুছাপুরে
49d8b42cb7	91dff	ঘটায় রাতেই ধানমণ্ডি থানায়
49d8db9240	121bd	ঘেটুপুত্র কমলা'র জন্য
49d8efec1e	3bb15	চিহ্নিত করেন
49d8fb6d22	47e8d	বিশ্ববিদ্যালয়ের সংবাদ বিজ্ঞপ্তিতে
49d903fdb0	11bd2	আত্মরক্ষার্থ অতি ভয়ঙ্কর ব্রহ্মশিরা অস্ত্র
49d95560a7	932bb	লাশ
49d96af6b3	acb88	রঙ্গলাল সেন বামপন্থী রাজনীতি করেছেন
49d9743884	5e80b	একটি গমের এক শীষের সঙ্গে
49d99f9f61	44322	ক্যাচটি তালুবন্দী করেন
49d9adf0ca	16cfb	টেনে না ধরলে বিপদ
49d9f93f49	b5fdc	হাই অ্যাটিটিউড এরিয়া
49da17d357	2fe3c	এসিড সন্ত্রাসের শিকার
49daf83ea7	d2355	ছাত্রজীবন সমাপ্ত করেন
49db1d0332	e8dde	গণশুনানী শুরু করে
49db2c6d04	9092b	লোক নন
49db6d4de2	9813c	ইন্দোনেশিয়ার পোশাক কারখানাগুলো
49db92cf2b	3ccf1	মোফাজ্জেল হোসেনের সন্দেহ হলে
49dbf9139e	cfc65	৩৫০ খ্রিষ্টাব্দ পর্যন্ত
49dc000e05	af81d	শরীরের ভর সূচক
49dc688021	ac904	অধিকারী গুরুসিনহা
49dc68a8f2	e00db	তাহাজ্জুদ নামাজের নিয়ম
49dca94655	7b900	৭৫ জনকে আটক করেছে
49dccfa774	98b81	তুই শামসুর রাহমান
49dd2e2b33	315e9	আবহাওয়ায় লালিত
49dd6439ed	9fa90	বাংলা একাডেমির সভাপতি
49dd6fbeb6	e8dde	নতুন রাষ্ট্রপতি
49de03c3ce	778c0	তাঁহাদিগের কৃত ভক্তিব্যাখ্যা
49de1a64a5	e03ce	বড় মায়া হয়
49de284951	d0c70	চীনা মহাকাশ যানের
49de3156a2	3bea8	তাহলে যদি
49de355e03	06527	৫০ বছরের বেশি
49de3598c5	d41be	হতাহতের মধ্যে রয়েছেন
49de7b0829	16e96	ভোগ করে বলিয়া
49de7d616f	da6f0	তাঁদের মধ্যে কেন সৃষ্টি হলো
49dec1af7a	e6203	হঠাৎ স্টিমারে উঠিয়া
49df5adc0b	717bb	মি: কিম এই নির্দেশ দেন
49dfb55a10	a7c6f	সেটি কেমন হতে পারে
49dfbd9feb	28dfc	সাঁতরাতে সাঁতরাতে
49e11b3b42	2ee04	মূল মুসলিম সম্প্রদায়
49e18622f7	32c77	সময় শেষ হয়ে যায়নি
49e18bfe38	3fae0	মধুর দিনে হঠাৎ করেই
49e1a6d552	60f77	প্রতিটি ইনিংসে
49e23be110	c173f	প্রিন্স উইলিয়াম
49e260f753	54cdd	বিভিন্ন জাতিগোষ্ঠীর মানুষ
49e2713fe1	698a4	জগতের সাহিত্যে বড় দুর্লভ
49e32d6251	9d46f	বুধবার বেলা সোয়া ১১টার দিকে
49e34ca837	4f450	পর্যায়ক্রমে এবং সাবধানতার সঙ্গে
49e34eed21	e50f1	ক্ষমতাসীন দলের
49e37d7765	92bb2	বারোঙ্গোদের মধ্যে
49e3b2b3a2	351dd	আমাদের সবুজ ধানক্ষেত
49e3b6f84a	12702	বিখ্যাত ইতিহাসবিদ
49e42290a6	cb1aa	বর্তমান রাজনৈতিক সংকটে
49e4361b23	6ab59	সুতরাং নজরুলের কথাগুলো
49e48fad4b	f7a7f	১৯৮৯ সাল
49e4ba08cf	976b1	বাস্তব ঘটনা
49e56d5d6b	ee4ad	৩ জুন পানামা
49e576997e	6fb36	মোগল গভর্নর শায়েস্তা খান
49e585d073	3faff	আমার দুটি কন্যা
49e587f82b	6c17f	ওয়াইফাই সুবিধা দেয়ায়
49e5e40b4a	ff0fe	পুড়িয়ে দেয়া হয়েছে
49e6b5c7b0	73629	এসব সংঘর্ষের ঘটনায়
49e6e0957a	8845d	পরিকল্পনা করছে
49e74af116	b8bdd	পুরানা পল্টনের
49e75e4e3f	80505	বজ্রপাতে ছাদ ভাঙ্গিয়া যায়
49e77f14f2	cc9fd	নিরাসে প্রবৃত্ত হইলেন
49e787846c	f89d7	এই সিনেমায়
49e85379a8	fdcba	তিনি স্পষ্ট করে বলেন নি
49e8a121bc	71522	প্রেসিডেন্ট জন এফ কেনেডি
49e8c8647b	75f18	কিসমত কে ভিসাল চার মাত্রা
49e8df40da	f6e55	সারাদেশে সড়কপথে
49e91df959	3fae0	দেখলে তো
49e99949f8	42898	অনেকবার ঘুমের ওষুধ দিয়েছে
49e99ae1dc	ff970	চুলের উজ্জ্বলতা কম
49e9cdc22f	3fce2	অনেকেই বলাবলি করছেন
49ea53dafc	ff0fe	ইহা বাঙ্গালী পাঠকের
49ea74190e	91223	সুর করেন
49eb361594	03284	নেতিবাচক প্রভাব ফেলবে
49eb82d7b5	b9a81	কিনে আনেন
49ec064d43	14d25	এ প্রসঙ্গে জানতে চাইলে
49ec9d81cb	c463d	এই তেলের
49ece70739	f7a7f	বলাবাহুল্য আমরা আহমদ ছফারই মুখনিসৃত
49ed677541	29f8c	প্রায় ৮ কিলোমিটার দক্ষিণে
49ee4f1ea3	698ff	ঈদের কেনাকাটার
49ee50e5b3	ca088	বিশ্লেষকরা এই কৌশলকে
49eeab9d08	8edea	নজরুলের মহাবিদ্রোহ
49eec66eba	65652	এজন্যে আমি নিজেকে
49eed43b45	b5fdc	আল-সিসির ছবি সম্বলিত পোস্টার
49ef138d8e	f2b7d	এক গোয়ালা
49ef52e26f	71522	ছি ভাই
49ef7577c1	4c555	সার্বক্ষণিক সব নৌরুটে
49f01d7059	e9589	সংশ্লিষ্ট থানা ও হোটেলের মিডিয়া
49f03a9eae	6fb36	সুমন মিয়া নামে
49f088f7dd	a1201	সন্ত্রাসবাদ
49f0bdb457	2396d	এবং অবস্থান খুঁজে
49f1c4166a	f2097	তত্ত্বাবধায়ক সরকারের অধীনে নির্বাচন
49f202ee7b	5b13f	চুড়ান্ত সিদ্ধান্ত দেননি
49f21901f4	5a61c	একটা জন্তু বা জীবের মধ্যে
49f237f8b3	d5f7b	আর পরিণত বয়সে পৌছার আগেই
49f243f918	5e80b	বুথের দিকে
49f245344f	07660	বিবেচিত হন
49f28569c6	880ae	বন্যার পানি আর সুয়ারেজ সংযোগগুলোর পানি জমে অনেক রাস্তাঘাট বন্ধ হয়ে গেছে।
49f2a8fbee	9c8dd	হুট করেই পদত্যাগ করলাম
49f2bd7859	0d9f1	আপাতত বন্ধ
49f2c1d990	4bede	আরো দুই জন
49f2f2668e	7f71c	তবে আমি সারা জীবন
49f317fa89	12702	সারা আরা মাহমুদের
49f43220b8	dafb6	জনতার হাতে
49f432a18c	7f71c	যাক্কুম ফল
49f456e0b6	d9b11	যেভাবে তাদের বাবার দিকে তাকায়
49f46c070a	430b2	উভয়ই অনুষ্ঠিত হয়েছিল
49f48d0a98	b8fe1	এগুলো আমার কাছে
49f507776d	80e98	এর মধ্যে একজন মাঝ বয়সী
49f50aa816	31f09	তিনি ভাবলেন
49f5503667	65e30	কেবল রাজনৈতিক মুক্তি নয়
49f5c09464	bfac7	থানা থেকে গ্রেপ্তারকৃতদের
49f5ef9215	23b22	জোহান্সবার্গের হাসপাতালে
49f68baf5b	321b6	অত্যন্ত নামীদামি
49f6e4016c	64092	এতগুলো কৌতূহলী
49f6ff3325	9282d	প্রায় কিছু না করেই
49f716b0de	49d63	জীবিত উদ্ধার করা হয়
49f77221ba	16e96	এক্সপেরিমেন্ট করতে নারাজ
49f798e103	778c0	অপহৃত স্কুল ছাত্রীদের
49f7f0507c	28bb3	শূন্য
49f8193c8a	13b6a	তাহা আগাগোড়াই নতুন
49f83131ae	88654	প্রতিষ্ঠা করেন
49f86581e0	c3cb3	বলে ধারণা করা হচ্ছে
49f886e9b8	db181	ছবিগুলোর কোনো পরিচিতি নেই
49f8d46f04	39dd0	স্যাম ভারতীয়
49f8ee5d86	a1d4a	এই চালানটি পাওয়া যায় একটি বিমানের কয়েকটি টয়লেটের ভেতর।
49f8fcba85	ab946	অহল্যা রাত্রি বা
49f940e7ac	3d17c	উড়াইয়া দিতে চাহিলেন
49f965e3dc	65652	বাজরিকা পাখি
49f9af522c	e8dde	মানিক গঞ্জের পক্ষে
49f9bfef51	f2097	তিনি ডান-বাম উভয় দিকেই
49f9c2f843	43b04	থেকে যেতে হবে
49fa0689b8	2fc12	সরকার হয়তো সঠিকভাবে
49fa088c25	a274b	যেমনটা বলছিলেন
49fa14cb11	6c6bf	ভর্তির প্রক্রিয়া শুরু করা হবে
49fa553006	9c8dd	রমার স্বামী দিবানাথ সেন
49faa9912b	8406e	সামাজিক অনিষ্টের সংশোধন
49fbb04707	ad98d	শেখ মুজিবকে সপরিবারে হত্যার ঘটনার
49fc3afcbc	77f82	ব্যক্তিদের কাছ থেকে
49fc52afc8	d8c80	এ মাসে ছয়টি আন্তর্জাতিক উৎসবে
49fc64d03d	e3d8b	সামরিক যুদ্ধ স্থল
49fc86559b	8406e	আমাদের দিকে
49fcc28054	7f2ef	কলকাতায় জন্মগ্রহণ করেন
49fcee0b79	e03fc	নিজের লেখা বাল্মীকিপ্রতিভা
49fd77c33e	03284	ইউরোপের শিক্ষাঙ্গনে
49fdab2e48	37d7e	নামানো হয়েছে
49fdc1d338	420df	একটুও কষ্ট হয় না
49fdcfbbc9	e754e	খেলা
49fea90241	c3cb3	যদিও হাক ডাক দিয়ে
49febe0b37	3fb17	মানব জাতি কূলে
49ff410ee1	0d8c1	প্রায় একইভাবে
49ff80a11e	1652d	তাহলে আপনি আরেকটা মাগনা পাবেন
49ffa3b458	38d3a	আদিকালের মত
