d20014c6f5	75626	সেখানে শ্রীলঙ্কাকে হারিয়ে
d283904f50	25696	বৈশিষ্ট্য রূপে
d283daa261	351dd	উচ্চ আদালতে আবেদন করবেন
d28560e209	2f547	মাল্টিপ্লেক্স গড়ে ওঠায়
d28575bc03	92bd8	ভালোবাসা একটি পবিত্র বিষয়
d2862b7c39	25696	কাজেই হোমস্-কাহিনীর নমুনা
d2866a3204	7f2ef	জবাবদিহি করে না
d2868f64fd	38d3a	রোববার মানিকগঞ্জ জেলা দলকে
d286ee7a28	cc18a	প্রকাশের পর
d286f39814	43199	গেঁতুর মা রেললাইনের দিকে হাঁটে
d2876a6307	d8c80	তারা ভেবে বসে
d287dcec0a	698ff	মহাভারতে কথিত অন্যান্য
d28944c110	e3f89	শুটিং হবে মালয়েশিয়াতে
d289e82b28	f1240	অতুল প্রসাদ সেন
d289f6bdc8	f143a	এয়ারটেল
d28a386c00	6c6bf	খোরাসান থেকে কালো পতাকা
d28ad05578	355c1	সারা বিশ্বময়
d28aedc9c5	b78ec	বিভক্ত করা হয়
d28b2db143	3ec4d	পাশ কাটিয়ে
d28b4ee01e	bbb22	ইন্দিরা গান্ধীর শেষকৃত্য হয়
d28b52cea2	95907	মনোঙ্গ সাংস্কৃতিক অনুষ্ঠানে
d28b5357a6	6a35e	নাম রাখা
d28bb7b6ca	b9a81	কিছুটা পরিশ্রমী
d28bc6fb8b	18a52	আলোকবর্তিকা হিসেবে
d28c0b644b	58998	টানা পঞ্চম জয়
d28c28c1bf	c7a89	বাণ রাজা
d28c6a0a9b	7351e	কে এই শামীমুন নাহার লিপি
d28d2a5aa1	23b22	গান্ধী পরিবার থেকেই এসেছে ভারতের তিনজন প্রধানমন্ত্রী।
d28d6db5b8	e9fa7	কেন্দ্রীয় কার্যালয়ে
d28dbe7823	db181	সরকারের অনেক প্রভাবশালী কর্মকর্তাও
d28e0e77e3	6aac8	২৫টি লাইফ সাইজ ছবির
d28e5ae49f	b4ea7	অভিজাত্যের বাস্তবতাকে
d28e822799	730c3	প্রথম প্রকাশিত হয়েছিল
d28f4bba2c	61820	ভয়ানক নদী
d290543a99	e6752	এবিএম মূসার মৃত্যুতে
d290a0c466	8cf95	বস্তুর ত্বরণ হয়
d290e85d19	9d46f	শঙ্কর বাকি রাতটা
d291708473	9c8dd	তারা সঙ্গ দিচ্ছে
d291923ffd	59c73	তাদের অবস্থান তুলে ধরার
d291d53895	11bd2	পুলিশ যখন ব্যর্থ হয়
d291dbf34d	16a17	আবার ফ্লাইট পরিচালনা শুরু করে বিমান
d2922d5758	ad98d	স্বামীর উপাধি
d29255411f	1e7c6	দ্য উইন্ড রাইজেস এর ওপরেই
d29269bae9	f1ff2	বাড়িতে কোনও অতিথি এলে
d292a08718	b8ed8	নজীব বড় ধূর্ত এবং চতুর
d29317b557	69d9a	গান্ধীজি রাওলাট আইনের
d29336dab3	3fc9d	প্যারিস যে মাঝে-মাঝেই
d293d23ae6	56508	আধঘণ্টা চেষ্টা চালিয়ে
d293d76401	18460	আমাদের আইডিয়া হয়ে গেছে যে
d293dddb87	5a61c	সকাল ৮টায়
d29447e631	6c6bf	ঝরা একটি পালকের মত
d2944997e0	8632b	বিজ্ঞানী ও সাধকগণ কখনও কখনও
d2944cbd0d	16a17	বেলবেক বিমান ঘাঁটিতে
d294d73373	239f7	চল্লিশে বাংলাদেশের এই পর্বটি
d2951ff862	c0d65	ট্রেনের চাকা রেললাইন ছোঁবে না
d295241f35	bcaa8	আলাদাভাবে ফৌজদারী মামলা চলছে
d2957c6f3c	29d44	আমি সাদা দুধে
d29596de01	ad98d	নারীদের অংশগ্রহণে অনুষ্ঠিত হল
d295c4232c	03284	যে অনেক বিষয় নিয়েই
d295e48870	16cfb	যাহা বাকি ছিল
d296ab6b6a	e2f12	আরবি-ফার্সি শব্দ প্রয়োগ
d2971ee6dd	3f493	বিশ্বে কততম
d2973444ac	79b06	বৈধ কাগজ হাজির করতে
d298a9b322	33aef	চা-বাগানই শ্রীমঙ্গলে
d298f28815	0895a	এর আগেই দানা বাঁধতে
d299592baa	acb88	মাস্টারমহাশয় শুনিতে পাইলেন
d2998bb03c	93bf3	কালের অগ্রগামী পুরুষ
d299d7fd95	121bd	অমিতাভ রেখা
d299dae1a8	29f8c	জরুরি অবস্থার পক্ষে বা বিপক্ষে
d29a1941d1	ad050	একই দিন দুপুরে
d29a46778b	fcc89	এটিও কি আন্তর্জাতিক আইনের
d29a484482	9351a	ব্রিটিশবিরোধী আন্দোলনের
d29a5761a3	e9759	একটি দেশের সংস্কৃতিকে
d29b2bb3fe	2c9c5	পরিচালকের মতে
d29c2a448d	38ff0	১৯৬৯ থেকে ১৯৭৩ সাল পর্যন্ত
d29cc79683	9351a	মৃত্যুর দেবতা
d29cde0d2e	60f77	গত ১৪ ফেব্রুয়ারি
d29ce0fb48	73629	দল নিষিদ্ধ করলেই
d29ce1c320	9065c	এখন প্রায়শই দেখা যায়
d29ceeddb6	9b864	সে নিয়মিত
d29db0a74f	1a2a1	গুম করা হয় বলে
d29dc5d184	8cf95	রাধার অভিনয়
d29ecde436	fd880	সুতোভর্তি লাটাই
d29eda2b04	39293	বেশি রাশভারী লাগছে
d29efdcda0	9f25e	গ্রহণ অপরিহার্য
d29f30482d	b52ab	১৮ বছরের নিচে
d29f8af466	46d49	অন্যপ্রকাশ
d29fefa8c4	2de86	এরপর তার ছেলের স্ত্রীকে
d2a0a310c0	dae88	তাই তিনি মার্কেটে এসে নিজে পরখ করে কাপড় কিনতে চান।
d2a0df235e	2c9c5	পুরো পাড়া
d2a114bed1	6b437	কোনো নেতৃপদ তো দূরের কথা
d2a14e0b56	3ccf1	এ মাসের গোড়ার দিকে
d2a1bc7da0	fcefa	অনেক দিন ধরে
d2a1bda885	6973e	লংমার্চ শুরু হয়
d2a1e2de37	7d3e1	মহাযোগযানের সাথে
d2a1f4d56b	4f2ae	তাদের ভাবনা কি
d2a284cb9f	4fc91	চারপাশের জগতের দিকে চাইতে পারিনি
d2a2f0f9fe	351dd	তৈরি হয়েছে নান্দনিক স্থাপনা
d2a37fca6a	85430	দ্বন্ধযুদ্ধে শাহবাজের হাতে আসলেই
d2a38718f3	6aac8	সাংঘর্ষিক হচ্ছে না
d2a3b8bd42	4164f	সাড়ে তিন মিটার
d2a3da63c9	a3a6d	পাঁচ বছরের
d2a3e51567	4e900	শিশুর ব্যক্তিত্ব
d2a3e7479a	ce180	হিসাবে দেয়
d2a4308388	7f71c	প্রামাণ্যচিত্র প্রদর্শন করা হবে
d2a43ef7fd	9065c	ডোমার
d2a46aeb24	6e6fa	নিয়ে কাজ করতে পারে
d2a4a2b010	72649	জামায়াতকে নেওয়া নিয়ে
d2a542ea1f	1f733	সাড়া দিয়ে তিনি সেখানে
d2a596787a	db181	তবে পীরবাড়ির যে কথাটি শুনে
d2a5f309ae	95907	আমার অনেক বাড়তি টাকা আছে
d2a687a7d6	29bab	সংলাপে আরও আলোচক ছিলেন
d2a718a174	29f8c	চাঞ্চল্যকর তথ্য
d2a7227ea9	ad69a	উর্দ্দু সংবাদপত্র হইতে
d2a73d3bbd	fdcba	আশ্চর্য্যের বিষয়
d2a7455e80	bd576	ভালো না
d2a75e0058	69d9a	আমি যখন ট্রান্সপারেন্সি বা স্বচ্ছতা নিয়ে
d2a7a06569	3fce2	১২টার দিকে
d2a7c41c70	baa02	প্রখ্যাত নৃত্যশিল্পী শামীম আরা নীপা
d2a803402f	121bd	৬৭ বার
d2a83b5e7f	9b864	সরকারকে ভূতলে ধরাশায়ী করা ছাড়া
d2a8bc5b22	1e7c6	দু’দিন পরে এসে
d2a91af3c2	d7a68	নানি পেছনে দৌড়ে বলেন
d2a94b8f0d	efc0d	তাঁর প্রশাসনের
d2a95cf306	d1a48	প্রবন্ধকার লেখক
d2a97a208d	6d129	আমাদের আবহাওয়ায় বড় হোক
d2a9927484	e2c11	শূন্য
d2aa006e8c	d136b	ঝকঝকে ইঞ্জিনে শব্দ নাই
d2ab12343d	3d17c	যন্ত্রপাতি মজুত রাখা হয়
d2ab85a64f	6c6bf	কানাডার নাগরিক
d2abc75aec	e8dde	ঈদের কেনাকাটায় এবারে শাড়ীগুলো তিনি কিনেছেন অনলাইনে।
d2ac4791a9	778c0	আমি স্বতন্ত্র প্রার্থী হিসেবে
d2ac4bfe69	943de	শীর্ষে রাখা হয়েছে
d2ac8aa5c5	14d25	সমাজের আঁধার না ঘুচলে
d2ad0b538c	fbb81	টলে গিয়েছিল
d2ad9eb4ae	f4ba7	নেতৃত্ব মেনে নেয়নি
d2ada61ce2	3c897	পরনির্ভরশীলতা ত্যাগের
d2ae8277b7	f29bf	এ সময় বিশেষ অতিথি হিসেবে
d2aea528ed	698ff	যারা বাজারের অন্যদিকে ছিল
d2af17eaae	3fb17	একটি ট্রাকের সঙ্গে
d2afe3b135	14816	কোনো ভূমি জরিপ হয়নি
d2aff4f3dd	f2b7d	নিরিবিলি থাকা যাবে
d2b0919e19	0606d	বয়াতী
d2b0a53224	d711f	এটা কোনও কাকতালীয় ব্যাপার নয়
d2b0fd0472	80518	একটি মিশ্রণ
d2b24877df	4bd2c	এ কারণে আমরা
d2b28cffad	18460	যে স্বদেশ সব দিক থেকে
d2b354c6f8	06ea3	আবহাওয়ায় লালিত
d2b39e14f4	7c272	ভালুকা
d2b3e3f367	0606d	মাটি তুলে
d2b4139f1b	7ed14	দেশগুলোর মধ্যে দ্বিতীয় সর্বোচ্চ
d2b42475ee	f600a	মা’র মুখের হাসি বেড়ে
d2b4e8c6cb	ad69a	এপার্টমেন্ট
d2b55554cd	2bc73	একই ব্যক্তি রচিত
d2b55bfbef	d5213	কমিউনিস্ট কবি নাজিম হিকমতের অনুবাদ
d2b561a7fd	9e923	সুপ্ত অবস্থায়
d2b584d2ca	e754e	পাঁচ বোনই
d2b5c93ef3	ef4f8	একই ধর্ম, বর্ণ, চিন্তা
d2b6009f04	f2b7d	আশানুরূপ অবদান
d2b6e27ae6	4164f	কে কার চেয়ে বেশি স্মার্ট
d2b74a0bd4	870e3	আত্মবিশ্বাসী তিনি
d2b78239cd	80505	কেন্দ্রীয় ব্যাংকের তথ্য অনুযায়ী
d2b783babf	f1ff2	অন্যদিকে বাক্য কোন
d2b7b0c433	5a61c	বারবার ফ্লাড লাইট নিভিয়ে
d2b7efbda9	5354e	বিজ্ঞানীরা নিশ্চিত হয়েছেন
d2b7f6c639	2d98b	লেখা হত
d2b8656ce5	fd880	সেইজন্য বোঝা যায় না
d2b8903188	1b359	তাদের একটি শার্ট ও নগদ
d2b92b7d19	809cd	গানের সুর শুনে
d2b9a105cd	4a67e	সন্দেহ
d2b9ae0de0	2aecc	হোম্স্ এখানে একাকী আসেন
d2b9d9c164	1c618	সমৃদ্ধ হবে চলচ্চিত্রটি
d2b9f45c9e	ea5be	বেশি দিন যেন
d2ba818533	28bb3	ডুবে যায় রিগান
d2baaee7f6	0f047	মালিকদের জবাবদিহিতার দিকে
d2bab73093	f29bf	সাম্বার দেশ ব্রাজিলেও
d2baba6f38	c0965	পরের বার চেষ্টা করে
d2bb0d18a7	91dff	খেলোয়াড়ও আছে
d2bb4d6bcb	976b1	অনেক কিছু করে ফেলবেন
d2bb520b87	6e6fa	কিন্তু এটা মনে হয় জানে না
d2bb609eb8	69d9a	ব্রিটেনের সরকারকে
d2bb91b374	d9081	মুদ্রাক্ষর নামে
d2bc12dca7	3fae0	ধারাবাহিকভাবে একটি উপন্যাস লেখার জন্য
d2bc156027	315e9	নাসিম
d2bc440651	65652	শাহপুর গ্রামে
d2bc5c753d	f83df	এই নিষেধাজ্ঞা হবে
d2bcc6ad0a	e754e	আমি দার্শনিক সাহিত্যের একজন লেখক
d2bd0168be	ba2f6	অবতার মনে
d2bd1f5328	86b1b	ঘটনাপ্রবাহ যেদিকে যাচ্ছে
d2bdd36497	2bd99	কবি আসাদ চৌধুরী
d2bdde187c	28dfc	তখন নিজেকে
d2bdefaa40	d2355	আমাদের দেশে সকলেই ভিক্ষা করে
d2be5f927d	b7be9	এতদিন এই মেলার
d2be741db0	256f5	গরম রাখার জন্য
d2bf03cd90	e3d8b	এর কারণ ভাষার গতিশীলতা
d2bf815c35	dfefa	পুনর্বিবেচনার জন্য
d2bfaa8bdf	bc81e	চট্টগ্রাম ও মংলা সমুদ্রবন্দর ব্যবহার করে নৌপথে ট্রানজিট সুবিধা চাইছে ভুটান।
d2c0393e4c	404ee	এদিকে ফুকেট উপকূলে
d2c17d9936	a3a6d	গত কয়েকদিন যাবৎ
d2c18b11eb	d2355	অবস্থান করার সময়
d2c1b55c7e	0b7ca	সবচেয়ে ভয়াবহ দুর্ঘটনা বলে
d2c1e881cf	76329	এরা বার্মার নাগরিক হলেও
d2c22a148c	61820	যে তাঁকে বাধ্য করবে
d2c2412c3f	321b6	ঘটে যেতে পারে
d2c2dea6b3	3d17c	গ্রেফতার করে দেশে ফেরত আনার
d2c2e7e4b9	e6203	ভেতর দিয়ে গেছেন
d2c2eda1d5	f2097	কেমিক্যাল ইন্ডাস্ট্রি, ট্যানারি শিল্প ও প্লাস্টিক কারখানায় ফরমালিন ব্যবহৃত হয়।
d2c3971126	f1ea4	পর্যবেক্ষণে দেখা যায়
d2c40f5b42	cfc65	সেই মাইক্রোবাসে করেই
d2c42cabf0	f837a	তাদের উজ্জ্বলতা
d2c4806cb8	16a17	মার্চ মাসে কারাগারে
d2c4c1136c	7aed9	বিশিষ্ট লেখক হিসেবে
d2c50765dc	bcaa8	দেশের পক্ষে যা মঙ্গলকর বা সত্য
d2c545906c	577fa	কি চোখে দেখেছি তোরে
d2c6033da6	8632b	বছরগুলোকে গড়িয়ে যেতে দিয়েছো
d2c60457b1	b8fe1	কাঙ্ক্ষিত ফলাফলে সহায়ক
d2c64da22a	ea5be	আসন্ন টি টোয়েন্টি বিশ্বকাপের
d2c681213d	860f4	দরবারী আদব-কায়দা ছাড়া
d2c68a87db	0b7ca	যত ছবি এঁকেছেন
d2c6c125ee	13b6a	বেশি লাভবান হওয়ার আশায়
d2c6c5bafc	d1b12	ওলেকজান্ডার তুর্চিনফ
d2c7220bd0	31f09	দপ্তরে ঢুকে পড়া শাকিল
d2c72f13ae	e754e	কারুকে দিয়েছ অকাতরে
d2c7fdea87	e7230	নাট বিস্কুট উপকরণ
d2c84461c2	adf01	রেজিয়া অভিযোগ করেন
d2c88d4de5	f2097	বড় ব্যবধানের জয়
d2c895ca06	ac0df	বাড়ির সবাইকে বৈঠকখানায় বসিয়ে
d2c8c063b2	18460	পাকিস্তানের প্রেসিডেন্ট ইয়াহিয়া
d2c8ed513b	69449	যেসব বই মিলত
d2c8f034fa	29089	ওই খুঁটির ওপরই ঝোলানো হয়েছে
d2c8f557a5	ee7b2	তাঁর রোগের কোনো
d2c9034e46	1e7c7	বিলের দিকে
d2c91efe95	cc18a	জাফলং রোড
d2c93e9660	fbb81	হরর
d2c985789b	aa820	শুদ্ধ দেশী রোমান্স সিনেমায়
d2c9ec2d08	948d3	দুইটি দেবী বড় প্রধানা
d2c9f3bf5c	46d49	মহারাণি ভিক্টোরিয়া
d2ca2c5bd8	fbb81	প্রেসিডেন্ট হতে পারছেননা
d2ca444e24	18a52	এবারের নির্বাচনও
d2ca4e5b08	2b883	বিশ্বের সবচেয়ে কম মজুরি যেসব দেশে তার একটি বাংলাদেশ।
d2caa2fc65	0a7a0	মতিয়া চৌধুরী
d2cb5179d0	4e900	ওরে ও শাখামৃগ
d2cb7ae895	43199	স্বাক্ষর করেনি
d2cbcde8a0	80be1	১৫ মিনিটের পথ
d2cc2995f2	1a2a1	প্রকাশ করা হচ্ছে না
d2cc33948f	2396d	দেওয়ার কথা রয়েছে
d2cc553d70	f2b7d	স্বীকার করে নিতে হবে
d2cc81be65	e3d8b	ঘোরালে সেগুলো
d2ce29f042	1f733	এ দুটি সংগঠনকে নিয়ে
d2ce2fe792	d9b11	ভেক্টর এবং রাস্টার গ্রাফিক্স
d2ce5178dd	86b1b	জন্মানো গাছপালাকে
d2ced7e454	e2c11	২০১৩ সালের নভেম্বরের
d2cef04484	66b3c	সেখানে আঘাত হানে
d2cf090dcb	23b22	আতলেতিকো দ্বিতীয়ার্ধও শুরু করে
d2cf4f64a1	e6d83	নাম হেরাক্লেয়ন
d2cffdf12b	83c53	বিশ্বকাপের মতো
d2d03b6c19	693cb	মাত্র ৪০ রানে ৩ উইকেট পতন
d2d0453329	f600a	সিট খালি পাইবেন নিশ্চিত
d2d0a48b35	59c73	সপ্তাহখানেক আগে
d2d0d24518	860f4	প্রত্যন্ত গ্রামগুলি থেকে
d2d0e3fa4d	84145	একটি তিনতলা ভবনে
d2d12d7396	49d63	উম্মে আহমেদ শিশির
d2d13be799	5639c	মুছে যাওয়া ফাইলও
d2d1627f4a	61820	টারবাইনগুলো চালানোর জন্য
d2d16c23c7	976b1	তাহরীর স্কয়ারে
d2d17af06f	ee994	তখনও সেই আর্দ্র নীল-দর্পণ
d2d19ccf83	92bb2	একটি ছোট ঘর
d2d1aa322b	0744c	আইএসআইয়ের চর
d2d1b13705	e55de	বিশেষতঃ পাড়াগাঁয়ে
d2d1c9656b	da6f0	কিন্তু বাড়ী ভাড়া
d2d2170546	80518	বাবার চলে যাওয়া শব্দ পেয়ে
d2d22fd34d	83c53	বাঁশির সুরের মূর্ছনা
d2d26e3983	05901	যেন আগুনের ভাঁটা
d2d30f1915	18a52	তবে দহনকারক ইঞ্জিনকে
d2d3be04be	3fc9d	এই বিচার প্রশ্নবিদ্ধ হতো না
d2d414be0e	68ab7	এ ক্ষেত্রে হত্যা, নাশকতা
d2d4659ffd	b9122	দ্য গাইড টুরস নামের
d2d4980b55	66dcd	শেষ নাই
d2d555a811	f1ff2	দফায় দফায় বাড়ছে
d2d572e1d4	d71a3	মর্মস্থলে পৌঁছানো
d2d5d3d917	4fd66	নাচ, স্টাইল এগুলো
d2d653db87	ec91c	তাদের সোনার উৎস
d2d6bb1fb5	7c272	সান্ধ্যকালীন কোর্স
d2d6f37a54	943de	প্রস্তাবিত ৫ হাজার ৩০০ টাকা
d2d721a016	64092	অ্যাডেলে তার
d2d75ebace	e68af	জলের চেহারা লাল
d2d77d61e1	9092b	সংগ্রহ করা হয়েছে
d2d7a99e77	dba43	আমাদের রাজনীতি
d2d8c7d1b3	2fe3c	কওমী মাদ্রাসাগুলো নিয়ন্ত্রণে সরকারের কোন কাঠামো নেই।
d2d8f28bfb	44322	গুহার দেয়ালে
d2d9159894	35ef3	তাহাতে কোন কোন ভগ্নী
d2d926795d	06e62	কাঙ্খিত মাপকাঠি
d2d946a57b	88654	আর আমি এতো
d2d9ab6a31	9d46f	আট
d2d9c4e32b	7351e	সর্বমহলে প্রশংসা কুড়িয়েছেন
d2db20ee73	ea5be	মেমসাহেবের হাসির সঙ্গে হাসত
d2dbcf35af	fd880	ব্যবসা হয়
d2dc221253	1279e	উৎপাদন ও বাজার ব্যবস্থায় পড়ছে
d2dc558fb7	0a7a0	ররী যাইয়া দেখিয়া আসুক
d2dc613f64	c6848	কেবল টিভির ফি
d2dc64e483	d1a48	ভালোবেসে বাস করে
d2dcc82d47	3ccf1	এছাড়া নির্বাচনে প্রার্থী হলে
d2dcd83046	f1240	নারী তার সারা জীবন
d2dd2cc43b	7ed14	এখানে স্টেশন করেছে
d2dd875c72	323f1	জৈবসার হিসেবে
d2dd911830	e89bb	ত্রুটি সংশোধনের জন্য
d2de4521a7	f1240	কিছু বলা হয়নি
d2de89acd2	f1ff2	আলফা পর্যায়ে রয়েছে
d2ded36278	4e900	বরখাস্ত করা হয়েছে
d2df5a4388	880ae	কারণ নেই
d2df6dda8a	fda1a	অম্বিকাচরণ মজুমদার
d2df86e63a	c5479	কি গো মেয়ে, তোমার নাম কি
d2df9d6fa3	92f59	সম্পাদনা করেছেন
d2e00de9e5	7ec1c	ভিন্ন ভিন্ন পরমাণু
d2e0a611c1	4c1eb	কোন গল্প নেই
d2e18a5747	80539	বসেন বরযাত্রীরা
d2e24317b6	6e6fa	আত্নবিশ্বাস এবং নৈপূণ্য
d2e2b2cb42	3bea8	বুঝে নিতে হবে যে
d2e349527f	91dff	আমার শাশুড়ি
d2e36a8c2b	a8710	বিশ্বকাপ কোয়ালিফাইং রাউন্ডের
d2e37cffd2	d41be	অথবা অর্থদণ্ডের বিধানও
d2e3ab9929	388c9	ফিরে যেতে হয় বইটির কাছে
d2e3b6e2ea	f9dfb	গাছ গাছালি নষ্ট হবে
d2e3fbf591	351dd	গুপি আর বাঘা
d2e40aec1e	2c9c5	পুরুষের যেতে
d2e4dfd60d	06ea3	আরাকান রাজ্য আক্রমণের জন্য
d2e555990d	54cdd	দায়িত্বও শিখাতে হবে
d2e57464d5	bfac7	তার কল্পনা থেকে
d2e64c1782	b8ed8	মা খানিক দাঁড়াতেন
d2e64dba57	f2780	অ্যান্ডোরার ৯৭% জনগণই
d2e668b771	4f2ae	প্রথমবারের মতো খেলতে এসেই
d2e682c8ab	a06a1	সবার্ধিক অধ্যয়ন
d2e6957548	7351e	তার পদত্যাগপত্র
d2e6a76141	d1b12	মেয়র হিসেবে দায়িত্ব পালন করেন
d2e71f9ef8	948d3	দুই বিঘা জমি
d2e817e26e	a43b5	জাতিসংঘ ১৯৫৭ সালে
d2e83fa6d5	f1240	এই বেটা বলছে
d2e85bf7c7	2d98b	আশে-পাশের রাস্তাগুলোতেও
d2e8a0d6e8	239f7	প্রতিদিন কুরিয়ার সার্ভিসে
d2e9158efc	e6203	ঠেকিয়ে রাখলেন
d2e9d8e6b5	ff970	হয় এ প্রকল্প
d2ea3f0acb	404ee	গ্রামের লোকের মাথা
d2eab09b60	f1ea4	রঙিন্ বেশে
d2eae190c9	dba43	সূর্য থেকে তখন
d2eae2463a	b8ed8	নড়ে চড়ে
d2eb37711b	ee7b2	এক পর্যায়ে বিপ্লবীদের দলে ঢুকে
d2eb3c6793	4486f	এই সফর নিয়ে
d2eb575f37	c8f7f	তাদের আহবান জানাবো
d2eb968b7c	256f5	ছবিটি এখানে তুলে দেওয়া হল
d2eba02f10	66c6b	ইন্দিরা গান্ধীর ছায়া অবলম্বনে
d2ebc6f008	93d3b	মনে হয় না
d2ebf27f67	1a2a1	সুযোগ প্রদানের উদ্যোগ
d2ec7320a1	9813c	মিস ফাতেমা বলেন
d2ec87832b	0c39f	দেয়া হয়নি
d2ecaa1ff2	b52ab	ভারতের তামিলনাড়ু রাজ্যের
d2ed123416	24f73	এটা পরিষ্কার হয়ে যায়
d2ed291e7a	6d129	গোয়েন্দা পুলিশের কার্যালয়ে
d2ed491b1f	82926	কাজ শুরুর
d2ed60accc	d9ba9	মি. মুখার্জি
d2ed80188a	e7230	রোববার দুপুর সাড়ে ১২টার দিকে
d2ee30d6a9	22096	মাল তৈরি শেষ হবার পরেও
d2ee31dd25	cc9fd	বর্তমানে ৮১ বছর বয়সী
d2eeac9455	68ab7	সেই অনুযায়ী মিসেস এরশাদকে
d2eed22eb2	a06a1	অসমীয়া ব্যাকরণের সাথে
d2ef0ad82d	1652d	সম্পর্কে জড়ান তিনি
d2ef393773	9d7bf	মাহফুজকে বিহ্বল করে
d2ef39eb4f	1de6c	উদ্ভূত হৃদয়োচ্ছ্বাস দিয়া
d2f03b6082	e00db	ডেটা রিকভার করতে চান
d2f08b2c23	54e68	বেনিফিট কিছুই নাই
d2f0c97abd	8c120	দূর্গা পূজা
d2f0f7c586	767ff	আব্দুর রাজ্জাকের সাথে
d2f19929d8	2b883	শ্যামনগর উপজেলা দিয়ে প্রবাহিত হয়ে
d2f206e5a8	2aecc	১৯৩৮ সালের আগে
d2f210365b	b8bf0	২০১২ সাল থেকে
d2f2446467	bdd05	এমনই এক প্রদেশ
d2f3e6b5ab	c11b1	পূর্বাংশের মানুষের চোখে
d2f4782a8a	698ff	কালিদাসবাবুর বাড়ি
d2f48d51cd	e3f89	দুই রাজ্যের
d2f500b0a1	80518	তুর্কম্যানি ব্যান্ডে
d2f55723de	ec91c	এই সব্বনাশা খেলা বাদ দে হাশেম
d2f56ff913	ab946	মিথ্যা মামলা
d2f5d30de7	1a2a1	প্রগতিবাদী শিল্প-সাহিত্য চর্চার
d2f64eac18	4bede	লেখকের কাজ
d2f66be423	6973e	মসলাদার চা উপকরণ
d2f6a9eee2	31f2a	ইরান বিষয়ক বহু বিশ্লেষক
d2f6b19064	693cb	মাছের মায়ের কান্না গো
d2f7cf2ea8	c41d8	শিল্প মালিকরা
d2f83caf88	6aac8	বিভক্ত ডিসিসি নির্বাচন অনুষ্ঠানের জন্য
d2f86ebbfd	b4ea7	আমারও হাত পা
d2f8c1b787	3fae0	গত ২৪শে নভেম্বর আশুলিয়ায় তাজরীন ফ্যাশনস কারখানায় অগ্নিকাণ্ডে শতাধিক শ্রমিকের প্রাণ হারান।
d2f8e45e81	2396d	আমাকে বললেন
d2f937d588	5a61c	এক সাংবাদিক বৈঠকে
d2f97612fb	29089	বাড়ির মেয়েমানুষদের
d2f981ab87	1a4a9	ইজারা শেষ হয়ে যাচ্ছে
d2fa5de216	dec2d	প্রধানমন্ত্রী হতে পারবেন না
d2fa6b6b00	80e98	একজন বিদেশি ক্রেতাকে
d2face2d0d	5d12f	কিনে নিলেন তিনি
d2fb3cdc32	cd3ac	অফিসার জিজ্ঞাসা করলেন
d2fb5b9948	c11b1	আবার সরাসরি নরেন্দ্র মোদীকে
d2fbab4803	4e900	জরুরি বলে জানিয়েছেন চিকিৎসক
d2fbd83dcb	fcc89	তবে এখনও দলের সাথে
d2fc2ad9f3	6b437	হিন্দী গান
d2fc5b8538	eecdd	ছালার দরজা এবং প্রবেশের জন্য
d2fc6fa62d	9c8dd	কিছু ছবি থেকেও
d2fc809531	239f7	কর্মীসভা প্রচার-প্রচারণা
d2fcaf2113	0d9f1	সেই অঝোর বৃষ্টিকে উপেক্ষা করে
d2fcedddea	948d3	ভুল চিকিৎসার অভিযোগ এনে ডাক্তারের বিরুদ্ধে মামলা করা হয়।
d2fd488c5f	745b7	মাত্র ৪২ টাকা
d2fd48e73b	4ea73	ততক্ষণ পর্যন্ত
d2fd615a0d	9c8dd	এখনো উদ্ধার হয়নি
d2fdc21585	11bd2	তোলা হয়েছে
d2fdd9ef91	9e923	তাদের জিজ্ঞাসাবাদ করা হচ্ছে
d2fddbe760	9642e	তবে কিভাবে
d2fe51fc9e	089ef	অক্সফোর্ড দক্ষিণ মধ্য ইংল্যান্ডের
d2fede23dc	75936	এখানকার সাময়িক রাজনৈতিক অস্থিরতায়
d2ff3d2421	09b32	একজন স্বীকৃত অলরাউন্ডার
d2ffbd7a70	8632b	ভাল আছেন
d2ffd274b8	12702	ওয়েস্ট ইন্ডিজের বিরুদ্ধে জিতেছে
