6501275aa4	10a9f	কিন্তু শেষ মূহুর্তে
6599becc2a	39293	সে চারপাশে খুঁজে দেখছিল
659a0bb4d1	9e923	বর্ষা
659a15434b	4c1eb	দিয়া বলিলেন যে
659ab4ebc8	65652	ইচ্ছে করছিল বুলবুলের
659b029711	f280a	এ সময় ড. ইউনূস
659b49c4e3	9813c	মাত্র ৩৫০ টাকা
659b6a70af	0f047	একজন দর্শকের প্রশ্ন ছিল
659baa4cc8	fbb81	রক্তমাংসের একটি ছেলে জন্মায় মা’র
659bbfc631	23b22	মধ্যরাতে গিয়ে দেখা যায়
659bd1595d	cc9fd	স্বাক্ষরিত বহু ইতিহাস
659c41cb6f	c0d65	ভাস্কর্যটির গতিময়তা এনেছে
659c5f74ee	c749e	দাও ফিরিয়ে সে অরণ্য
659e025d86	dafb6	আসলে তাঁর জন্য
659e30f769	0edef	এলাকাবাসী সূত্রে জানা গেছে
659e9d85bd	28bb3	বাংলাদেশের টেলিভিশন স্টেশনগুলো
659f3b11fa	c41d8	এদিকে ভবিষদ্বাণী করা হয়েছিল যে
659f3cb579	01e91	যে ব্রাহ্মণের সেখানে
659f48f045	76329	সিরাজুল ইসলাম
659f8a742b	1652d	২০০৮ সালে ইউরো ও ২০১০ সালে বিশ্বকাপে প্রথম রাউন্ড থেকে বিদায় নেয়া ফ্রান্স দলেও ছিলেন রিবেরি।
659f9ea3d8	c4973	সাত বছর বয়সি
65a00b77d1	e2c11	ভুট্টোর সঙ্গে
65a0e15748	0606d	সুদ খাওয়া ত্যাগ কর
65a148e85e	5d12f	বেশি কাজ করছে
65a15b7700	72649	প্লুরাল এর অনুগামী
65a1832e7c	38ff0	অনুষ্ঠানে প্রধান অতিথি
65a1a612f2	77f82	১০ম শিক্ষক নিবন্ধন
65a1ac5fe9	dafb6	সন্তোষজনক নয় বলে
65a2797909	f0f95	গণতন্ত্র নির্মাণের জন্য
65a3203d60	a4750	একবার ঘুরে আসতে চাই
65a33c11e4	f280a	পথে নেমেছে ওরা
65a3c73024	60b9d	আইনমন্ত্রী বলেন
65a3d70fa8	880ae	ইসলামী কয়েকটি দলকে
65a4087e02	d9ba9	দলমত নির্বিশেষে
65a47adcd6	693cb	যুবলীগ
65a4c55833	a4750	একারণে বর্তমানে
65a52dd138	287bd	তেমনি প্রাতিষ্ঠানিক কাঠামোতেও
65a603b9da	43fc0	খেলোয়ার
65a63e0587	1de6c	মেসার্স সোহাগসহ অনেকের কাছ থেকে
65a6668fce	d0c70	৬২ মিনিট সময় নিয়েছেন
65a6b4ba34	b8bf0	তারপরেও দেশটিতে তারা
65a6ff7782	6d129	এটুকুই বলতে চেষ্টা করব
65a7bbbbd8	d7a68	ঢাকার বিভিন্ন বাজারে
65a7ff1efc	d711f	জাকারিয়া টেক্সটাইল ও জুট ইন্ডাস্ট্রিজে
65a835e3fa	315e9	তাঁরা আরবীতে লিখতেন
65a8b4aa62	92f59	তাঁর ভাষা
65a8b5102b	6aac8	ইমরুল-মিঠুনের ২২০ রানের
65a9388983	6973e	আমরা অনেক আগেই
65a9a0ba23	09f0d	কিছুই অপ্রত্যাশিত নয়
65aa051faf	194f5	আমার কথার
65aa058d7f	baa02	অন্ধ্রপ্রদেশ পুনর্গঠন আইন, ২০১৪ হল
65aa84a8f7	5dec6	পোড়ানো হয়েছে
65aab107e5	a06a1	একটি বড় চ্যালেঞ্জ
65aadf9e8e	d71a3	এক ভিলেন
65aaeb4bc1	2ee04	৪ লাখ ৬৭ হাজার ৫৩৪ জন
65ab16bb3e	ff1c3	রবীন্দ্রনাথের লেখা উপন্যাস, ছোটগল্প এমনকি কবিতা নিয়েও নির্মিত হয়েছে অসংখ্য টিভি নাটক, টেলিফিল্ম, চলচ্চিত্র।
65ac6fc2c2	f4ba7	মানসিক অসুস্থ
65ac7dfa2d	a8710	আদালতের মহামান্য বিচারক
65ace31839	ff1c3	চুকিয়ে দেবেন
65ad05c5e8	4fd66	বৈপরীত্য অনেক
65ae4063d7	ee852	সবকিছু একেবারেই চুপচাপ, থমথমে
65ae45c71d	8b859	নিজে পরখ করে
65ae6e14d9	c9c19	এই বুঝব যে
65aee0ff14	355c1	কঠোর নিরাপত্তা ব্যবস্থা
65af20e1e9	ff970	গুহার চির অন্ধকারে
65afa59a2b	c6848	সহজেই রিকশায় করে
65afa9538f	c5479	আসলে সীমান্ত সংঘাতে
65afc45082	195f7	আরো জোরদার করা হয়েছে
65b096c86c	0b7ca	তিনি তাঁর সমাজদর্পণের আলোকেই
65b0bf9bc2	49d63	পিতা যান দেশে ফিরে
65b0c70613	49d63	বিভারা নেই
65b0db7090	d9081	নামে পরিচিত হলেও
65b1681384	61820	আমার মা রোজার দিন
65b1e3aa57	bbb22	একতরফা নির্বাচনের মাধ্যমে
65b1e93c5d	1b359	জনসংখ্যা হল ৩৩৪২৪ জন
65b22d6618	a8710	শনিবার নেদারল্যান্ডসে
65b2bd1c7f	3ec4d	দুশ্চিন্তা আর অস্থিরতায়
65b2d897b8	b2a62	এবং নিবন্ধের লেখক
65b2fb0f0d	b2a62	কান চলচ্চিত্র উৎসব
65b302b916	8845d	নাকচ করে দেয়
65b33041dc	693cb	মাছ ধোয়ার পর হাতে গন্ধ হবেই।
65b36a0086	29d44	জামিনের জন্য এখন তারা
65b37a6cf6	0c39f	তার কথা বলতে যাই
65b381d3f2	dba43	দেয়ালে পিঠ ঠেকে গেছে
65b3a01827	4dd57	কেমন করে
65b3a07bd8	1de6c	সামলে নিয়েছি
65b4080042	321b6	এরশাদ সিকদার
65b448214c	8edea	চেষ্টা করেও
65b47de32b	9b864	ধর্ষণের মূল কারণকে
65b4a04a9e	8a46d	মা বেগম জিয়াউন নাহার
65b4ddcd9c	cb1aa	উপ সহকারী কমিউনিটি মেডিকেল অফিসার
65b510ef9a	6aac8	সরবরাহ করা হয়নি
65b533ac0d	ac0df	আশা প্রকাশ করেন যে
65b55956fb	ad050	চতুর্থ স্থানে ছিল
65b55f1490	59c73	মুক্তি নেই
65b58bb85f	68ab7	তাদের বুঝিয়ে সড়ক থেকে
65b63da589	28dfc	তাঁর মুক্তি চাই
65b6487f8f	b7be9	ফুরসত নেই
65b6bbbbc3	dae88	বাবার সংগ্রহের
65b73f5540	31f2a	ফ্রিজে রক্ষিত খাবার
65b74968f8	84145	নিয়ে এল
65b788faea	28bb3	হে অতীত তুমি ভুবনে ভুবনে
65b7e363d6	976b1	যেভাবে নববর্ষ উদযাপন করা হয়
65b861bd59	e7230	লুধিয়ানা জেলার
65b86374f8	f1240	একটি বহুজাতিক ক্রিকেট টুর্নামেন্ট হলো
65b9063448	a916a	যুক্তরাষ্ট্রে গ্রীষ্মকালের মধ্যে
65b90c0fda	a274b	রাষ্ট্রদূত এ কে আব্দুল মোমেন
65b94f47fd	9e923	আমার কথা
65b98b210e	8c07c	তার এই স্ত্রী
65b9d8c269	fda1a	ভিসা কার্ড
65b9e141f8	80e98	আমরা চুপচাপ দাঁড়িয়ে ছিলাম
65b9f666ff	d2d71	কোথায় হবে
65bac20aa8	ff0fe	কোনও ব্যবস্থা নেয়নি পাকিস্তান
65bb1df5db	4f2ae	বিচারপতি ওবায়দুল হাসানের
65bb2c1864	1cb75	বলে জানান ল্যামবার্ট
65bb8dd360	bc81e	বিমানবন্দরে মরদেহ গ্রহণ করবেন
65bb9c3124	4ea73	থিম সং পরিবেশনের
65bc164069	ad69a	নির্বাচনে লেবার পার্টির প্রার্থী
65bc4abe33	92bd8	ব্যস্ত সময় পার করছে
65bc620c3b	eecdd	বাড়ি ফিরতাম
65bc758e15	aab0f	এক সংবাদ সম্মেলন করে বলেন
65bc7f783b	2b883	মতিয়া চৌধুরী
65bc9652e3	d2294	শুটিংয়ের আগে
65bcaf9952	9e923	দরগা থেকে
65bce74f35	282d3	হামলাকারীরা ১৫টি মোটর সাইকেল
65bce93b9b	b4ea7	কালো কালো
65bd92a48c	5a61c	প্রস্রাবে ভাসিয়ে দিতে চায়
65bda4995c	32b3e	ব্র্যাকের ঘটনাটিও বিচ্ছিন্ন বলে
65bdb73289	a46e2	কানাডার ম্যানিটোবা প্রদেশ
65bddb3f69	28bb3	বিকল্পধারা বলতে
65bdf4e295	6e6fa	অস্ট্রেলিয়ার পক্ষে
65be2f1faa	4c1eb	বোমার মতো একটা ট্রাক
65be922c0d	5b13f	বলছিলেন জায়েদা শারমিন
65bfa4e178	3faff	চুল আঁচড়িয়ে দিচ্ছেন
65bfaf737e	c5479	মূল্যবান উপাদান
65bfd7f151	75f18	দেশের জন্য ক্রিকেট খেলি
65c00185dd	13b70	যখন কথা বলছিলেন
65c02dc529	9282d	১২ ফেব্রুয়ারি পর্যন্ত
65c09a75e2	e50f1	জীব
65c10679ea	9282d	মসজিদটির উদ্বোধন করা হয়
65c1d71f16	943de	আল্পস পর্বতমালার উপরে অবস্থিত
65c2062992	43199	এমন হইয়া
65c22b6b62	21e54	ভগবান শ্রীকৃষ্ণের
65c3cfeb20	ab946	গড়পারে দিলে সবে
65c3d65edd	80518	রয়েছে দৃষ্টি, শ্রবণ
65c4097c71	ea5be	নীল ছবি
65c442bc18	239f7	দরজার সামনে কর্তব্যরত সিপাহি
65c505a96c	7b900	এ ঘটনা থেকে
65c5145dae	717bb	বাবার দূর সম্পর্কের
65c51f48a5	932bb	এঁদো গলির
65c5346b65	6fb36	তারেক রহমানের লিডারশিপের যে
65c569e107	809cd	পারবে বলে আশা করছে মন্ত্রনালয়
65c5a0c073	a3a6d	মান্নান খানের অভিযোগ
65c5a71f61	3fae0	সরকারি দলের নেতা
65c5a7fdb4	f658d	এবং সর্বশেষ
65c5c7b227	6d129	সরকার পরিস্থিতি নিয়ন্ত্রণে ব্যর্থ হয়েছে
65c5c900e2	590d0	মন পাখি
65c69fba00	f2b7d	চেয়ারম্যান হিসেবে
65c6d062be	17dcd	সিদ্ধান্ত নেওয়া হয়নি
65c731f87d	7a227	বাজারজাতকরণ শুরু হয়
65c744834e	b8ed8	আজ সকাল ছ’টা
65c7a8f9d6	9d7bf	খবর গণমাধ্যমে উঠে আসে
65c7d8d625	9351a	খুব অল্প সময়ের মধ্যে
65c830c0e6	f2780	সবে তো কলির সন্ধ্যা
65c871dcc3	7297e	এর মধ্য দিয়ে
65c876866d	590d0	বিদেশি ক্রেতাদের উপরও বর্তায়
65c8abaad5	0895a	জুটি হয়েছেন মৌসুমীর সঙ্গে
65c8e5d627	c5479	আমি কেয়ারটেকার সরকার ব্যবস্থা
65c93f225f	ced74	এতে লক্ষ্মীপুরের পত্রিকার
65c97d0d27	d136b	মহেন্দ্র ধোনি বাহিনী
65c98e3fd5	fcc89	গত ১৬ দিন যাবত
65c9a7ce25	948d3	পুরনো ঢাকার বাহাদুর শাহ পার্ক থেকে
65c9ed82cf	52578	যতটুকু পুষ্টি পাওয়া যায়
65cae111ea	ef915	বিস্ফোরণ দুটি
65cb5923ec	8cf95	৯৪ বছর বয়স্ক মিঃ ম্যান্ডেলা বেশ কিছুদিন ধরেই অসুস্থ ছিলেন।
65cb5f4b34	d1b12	পুরাণত্ব লইয়া এত বিবাদ
65cb7196df	e6d83	মাহফুজের যেসব রচনার সঙ্গে
65cc6df8a1	d1b12	আবেদন জানান
65cc6eac5d	bdfc1	ভর্তির সুযোগ পাব
65cca97b29	0744c	আর একটা ঔষধ দিয়া ফেলিয়াছে
65ccee747e	25696	অকোটের সাক্ষরতার
65cd41d44b	b8ed8	বিসিএস কর একাডেমিতে
65cdf2ae28	33aef	সেরা অ্যানিমেটেড চলচ্চিত্র বিভাগে
65ce205af8	8a46d	এ সপ্তাহের শুরুতে
65ce31398c	a46e2	মামা মঈনুল আলম
65cf2274be	ff0fe	মেহর পাকিস্তানি গোয়েন্দা সংস্থা
65cf5bcecf	7d133	উক্ত পাপের ফল ফলিবার
65cfe74d86	b618b	কোনো অস্তিত্ব দেখা যায় না
65d0391f64	4fc91	হাইতি আর মিশরে
65d0549612	65652	সামাজিক ইতিহাস আলোচনায়
65d0607e39	72649	সাত খুনের মতো
65d07c5f5b	d3e06	দেবেন্দ্রনাথের মৃত্যু আর বঙ্গভঙ্গ আন্দোলনে
65d0ae56bc	52f27	ফোরাম
65d0ccd9e1	7297e	রাজধানী হিসেবে
65d0f28968	6fb36	যুদ্ধে বিজয়ী হয়ে
65d1671720	d9081	জানাই ছিলো এই জরিপের লক্ষ্য
65d16fb9b1	9813c	এক প্রতিবেদনে
65d1af3556	7ee9b	ইসি সচিব বলে
65d1bc0d48	eecdd	তৎপর থাকবে
65d2b0d0df	14816	গায়ে একটা
65d31e8966	7f2ef	আঘাতের মাত্রা
65d31ee22b	9065c	কাজ দেবার কথা বলেছিলেন
65d3577e44	5d80e	তখন তারা
65d39ff68d	4bede	ব্রিটেনের ট্রান্সপোর্ট পুলিশ জানিয়েছে
65d406d968	a06a1	চিনির দাম বেড়েছে ১২%
65d44973f4	3fb17	বিভিন্ন দেশে প্রতি বছর
65d46320f4	13b6a	ভালোই কাটাকাটি করতে হয়েছে
65d4a30cb8	ced74	হিসেবে কাজ করেছেন
65d4e42d1f	fda1a	যাহা বাহিরে ছিল
65d4f65265	3faff	ইতোমধ্যেই শুরু হয়েছে
65d519a62a	ef4f8	আর উত্তর কোরিয়া
65d52cb214	66b3c	ঝুঁকি রয়েছে তাদের
65d538e21e	93080	জিতের নতুন ছবি
65d55bf355	06bb7	জলাভূমির পানি
65d5b7d32b	e6752	বিভিন্ন প্রান্ত থেকে
65d5f182cb	3bea8	আমল নেই
65d6281a27	f658d	ইতিমধ্যে ক্লান্ত ও বিভ্রান্ত
65d6796869	71522	কমতে শুরু করল
65d6939554	4bd2c	কার্যকর থাকায়
65d6bca5f2	b8ed8	কোনোভাবেই নন্দাকে
65d6cf8944	86b1b	বৃহস্পতিবার এডিবির
65d71f33ad	2fc12	এই ভিত্তি খুবই মজবুত।
65d8f9c18d	5dec6	দীপাল বড়ুয়ার বক্তব্যের মধ্যে
65d93dbb13	29f8c	আসা দলটির কর্মী
65d940b0e8	3ec4d	দলগতভাবে এ বিষয়ে
65d997ea30	a916a	বাবলু মিয়া
65da49f44d	29f8c	সম্প্রতি তারা একটি এনজিও অর্থাৎ বেসরকারি দাতব্য সংস্থা হিসাবে নিবন্ধন করেছে।
65da737247	11bd2	বলা যায়না
65dabd54fb	75626	ওসি জানিয়েছেন
65db498464	3ec4d	তাকে কুপিয়ে
65dbb69129	1a2a1	আমি তোমায় দিচ্ছি
65dc9a6db4	03284	প্রায় ৪ কোটি টাকা
65dce6d33e	9b864	খুব বড় এবং
65dd5c1f29	256f5	মূলে রয়েছে
65dda6f553	f2780	পুরুষকে
65ddaccf29	b9122	ইঞ্জিনিয়ারিং কোম্পানি
65ddb8b887	5dec6	সম্প্রতি জন ল্যাংডনের
65ddfbbf61	54e68	রবীন্দ্রজয়ন্তী করার কথা না
65de0cbf67	239f7	কুমিল্লার কাগজ
65de198d99	e2f12	আলোচনার যথেষ্ট সুযোগ রয়েছে
65de7b00b6	2c9c5	অভিনয় থেকে অবসর নেয়ার পর
65de8da284	948d3	আপনারা কী ভাবেন
65df59e095	717bb	তখন আর ডিএনএ দিয়েও
65df9b18ca	f837a	আমাদের পূর্ব পাকিস্তানের লোকজনকে
65e02fcf5b	b8ed8	বর্ধমান জেলার
65e04e1d2d	66b3c	ম্যাচে ফিরতে
65e0968aa0	ca831	রাত সাড়ে নটায় দেখলাম
65e0afcb71	75f18	ভালবাসা এবং গভীর অনুভূতির
65e0e775ef	d1b12	গৃহযুদ্ধ কিছুটা কমে এসেছিল
65e0fc5557	8c120	পালিয়ে যাওয়ার সময়
65e1a60b06	0606d	সত্য কথা বলিতে কি
65e1d57ef2	0895a	আমাদের দেশের মানুষের পাকিস্তানের প্রতি একটা বিদ্বেষ আছে।
65e231a815	8edea	প্রস্তুতি নিচ্ছে
65e255fd7f	f0f95	বাংলাদেশের খেলোয়াড়রা ঘরোয়া ভাবে যত বেশি তিন-চারদিনের ম্যাচ খেলবে তারা তত বেশি উন্নতি করতে পারবে।
65e266c7bd	9c8dd	গোলাম মহাসিনসহ
65e292e51e	35ef3	নিবন্ধন করেছে
65e2f83c21	2d98b	সরকার এগিয়ে এলে
65e37c4404	e8dde	আদিম খেলা
65e3b72d58	cc9fd	কারণ পুরো পথটিই ছিল
65e3c510e4	65e30	একটি চলচ্চিত্র-মুহূর্তের কথা
65e3db2745	6c17f	সাবেক সভাপতি ছিলেন
65e414dea8	9d7bf	প্রকাশিত হবে বলে
65e4174cd6	5dec6	দাদা বললেন সিলেটের মেয়েরা
65e48176db	0895a	বিপুল পরিমাণ শিশু-কিশোর
65e4cd0aa1	e7230	পেশায় আইনজীবী
65e4cf18a6	6b437	উভয় দেশের সীমান্তবর্তী এলাকাগুলোতে
65e4e1e585	db735	ফ্রান্সিস বোজিজকে ক্ষমতাচ্যুত করে
65e545e5ce	d7a68	গণতন্ত্র চর্চার পক্ষে যায় না
65e6188212	39dd0	বায়তুল মোকারম পর্যন্ত
65e648ac16	e55de	চট্টগ্রামে যে সুবিধাগুলো আছে
65e64e0db1	ac904	আরও কিছু বকাবকি হইল
65e6814638	65e30	বেড়াতে গিয়ে নিখোঁজ হয়েছেন
65e6a1d37f	256f5	ট্রাইব্যুনালের তদন্ত সংস্থা
65e6ab9c14	a46e2	সে তার বংশধরদের চেনে
65e6e85127	693cb	কোরআনের আয়াত
65e76bb7cc	4bd2c	কোনো রকম শোভাযাত্রা, মোটরবহর বা স্লোগান দেয়া যাবে না।
65e78ef878	809cd	রান-আউট হয়ে
65e862e18b	442b7	জিনের বাতাস
65e8f19e2a	dba43	লাগাতার বাজত বেমক্কা
65e9007868	e2ff7	আপনার কথা
65e94f3e8b	65e30	সেই সাফল্য
65e99e5767	f600a	৬৮১ জন
65e9a65d9d	e6d83	কানেকটিকাটের ম্যানচেস্টারে শহরে
65e9aa58b0	24f73	কবুতর
65e9e140fc	06e62	বাস্তবতাকে পাঠকের জন্য
65ea15849e	cb627	নির্ধারণ ক্রিকেটে
65ea529ee2	33814	পোশাক তৈরি করা হয়
65ea97ed70	16a17	ঘাত-প্রতিঘাতে
65eb590dfb	16a17	প্রশিক্ষণ ইন্সটিটিউটের সাবেক পরিচালক
65eb7a4cfe	9e923	তাদের নিজস্ব ভিটেমাটি থেকে
65eb8bdeec	1a4a9	তুলে ধরা হয়েছে এই কক্ষে
65ebd88804	0d9f1	এক শিক্ষক
65ebeaa32f	ec91c	জাকির নায়েক
65ec16b462	ec91c	বলতে বোঝান যে
65ec5977f6	9d46f	সাহারা গ্রুপের কর্ণধার
65ec6d70e5	6c6bf	বেশ কয়েকটি কারখানায়
65ecc4fb19	01e91	তাদের অবস্থান ছিল
65ed560051	5639c	তার আগেই
65ed7214eb	92f59	পর্তুগিজ ধর্মপ্রচারক
65eda13982	31f2a	পরিবারসহ বাড়িতে তালা মেরে
65edd2b309	17dcd	প্রত্যক্ষদর্শী ও শ্রমিকরা জানান
65edfcbf35	52578	আর্সেনাল
65ee41bc53	e03fc	৪০ মিলিয়ন ডলার
65ee4fb487	91dff	গ্লসি এ কাগজের মলাটে
65ee808732	cfc65	মেতে ওঠে বিজয়
65ee86aa84	91230	সাহারা গ্রুপের আয়োজনে এক লাখ ২২ হাজার মানুষের অংশগ্রহণে গত বছরের ৬ই মে এই বিশ্ব রেকর্ডটি হয়েছিল।
65eec85f5b	536d9	তাহা স্থান পাইল না
65eef68d8c	086dd	চিঠি দেয়া হয়েছিল
65ef1171a3	ad98d	নতুন প্রেক্ষাগৃহ নির্মাণের জন্য
65ef886a51	4fbd1	ভারতে বিক্ষোভ অব্যাহত রয়েছে
65efc566fb	b08d0	১৯৯৯ সালে মুক্তি পাওয়া
65efedb98a	153c9	চুক্তির খসড়া তৈরি করা হবে
65eff4f1bd	ff1eb	নিজেদের হাতে নেয়
65f0053c21	4486f	ফুলবাহারি এখন কারও বাড়িতে
65f145257a	c958a	গ্রিক পুরাণে
65f20f7d7b	e6203	হাজেম ইল-বেবলাউই
65f23058dc	6973e	কখনও কি মনে হয়েছে
65f2505b73	b8ed8	স্থানীয় বাসিন্দাদের
65f25f6ec3	c2082	নীল আলো বিচ্ছুরিত হবে
65f31fead2	4fc91	সারাদিনই ছেড়ে যাচ্ছে
65f3b73f27	75936	অনুধাবন স্তরের
65f454553b	85430	বলতে পারছে না
65f4710a76	aab0f	ইতিহাসের কোন বইয়ে
65f4710ca3	7d3e1	জোনাকি ভট্টাচার্য
65f4edae74	cd3ac	যৌনতা একটি
65f4fdd8b5	17dcd	ভয়াবহ বিপর্যয় নেমে আসবে
65f58a1fc6	bbb22	আর একদিকে চলে গেলেন
65f5a17a5f	88654	নেভাদার লাস ভেগাসে
65f5d45f90	f0f95	কারও নাকের তলায়
65f60dba60	d8c80	অ্যালেন নেওয়েল
65f6327d53	cb627	বেতার থেকে টেলিভিশন
65f697049a	ad69a	মুকুন্দরাম কথাটি লেখেননি
65f6bc8819	5dd61	আমরা বর-কনে গাড়ি থেকে নেমে
65f6d4b209	91230	বাজারের ভেতর দিয়ে হেঁটে
65f7232757	3bb15	ইহাই তাঁহার অক্ষয় কীর্তি
65f73f1ff7	dae88	তিনি ছিলেন বিজ্ঞানমনস্ক
65f792331e	577fa	১৯৮৯ সালে
65f7f69969	ee886	সারা বাংলাদেশে
65f86991b7	a916a	দল তাদের
65f86b09b8	323f1	বেশ ফিট করেছে রে তুলসী
65f86bc281	25117	এই রূপকল্প বাস্তবায়নের জন্য
65f88e8241	b9122	৫ জন ক্রু নিয়ে
65f9822a9c	1652d	মায়ানমার ভ্রমণ
65fa0d9e62	d3e06	শিক্ষামন্ত্রী জানান
65fae63965	c173f	ইতিমধ্যেই দেশের বিভিন্ন স্থানে
65fb145e88	d136b	পুলিশকে পিটিয়ে
65fbd5b74d	388c9	এই দুকুলে
65fc27503f	75936	১৯৭১ এ স্বাধীনতা যুদ্ধের সময়
65fd02cfa5	b9122	আসিলেন না
65fd0bc6ee	93bf3	অশোকনগর, ভারতের
65fd1d4bc4	01e91	ফলে যে কোন সময়
65fd8dbda6	fda1a	সাইবার যুদ্ধ পরিচালিত হচ্ছে
65fe5a115d	c0965	এদের একজনের মাথা থেকে
65ff92a3e6	7027a	অন্য যে-কোনো সেমিটিক ধর্মের মতো
65ffb2d182	14d25	আর কী হতে পারে
65ffc9924e	49543	কাগজের ফুল
