e200413c55	4bede	রাষ্ট্রপক্ষ পাল্টা আবেদন জানিয়েছে
e28f98f68d	e3d8b	আবুল প্রথমটার কোনো
e28f991903	7b103	মানুষ সংলাপের জন্য অপেক্ষা করছে
e29041fa59	880ae	বিকাশ করিলেন
e2904b6962	3ccf1	ক্ষতিগ্রস্ত হয়েছে আর্থিকভাবে
e2906de026	e2ff7	লালন করে চলেছে
e290840861	aab0f	সানয়ইয়া আনসারী জানান
e290e7b1c6	2ecf8	উত্তরাঞ্চলের বগুড়া এবং সিরাজগঞ্জে
e2918bd53e	bd576	অন্যদিকে মুখ ফেরাই
e291b53a81	73629	গত মার্চ মাসে
e291b5a0c8	c7a89	হিন্দু ধর্ম
e29263c20f	60b9d	যে সুযোগ ও সুব্যবস্থা প্রয়োজন
e29263f199	c173f	কাঁদানে গ্যাস
e292663c02	12702	নাগরিকেরা, এবং কৌরবেরা
e292abd7fc	ca831	তার সঙ্গে ছিল
e292b348cd	7297e	সময় নিউজ
e292d41ded	7351e	বাবা ওপরে এসে
e2933b3a63	c463d	স্নাতক প্রথম বর্ষের পরীক্ষা
e293ef512d	d7a68	আন্তরিক ও নিরবচ্ছিন্ন প্রয়াস
e2945f7aeb	a0277	বেশ কয়েকটি দাবীর মধ্যে
e2948eebf8	194f5	কাজ শুরুর
e294b61818	24aed	অর্থনৈতিক চিন্তাভাবনার
e2955362b1	9813c	রবীন্দ্রনাথ ঠাকুর
e2958ee4d8	ea5be	ঘরে রাখব
e29665e3cb	bd576	শুনানি চলছে
e29675ced9	fb4cb	পাঠকদের ভিড়
e2973523e2	bbb22	সেল্তা ভিগোর জালে
e297c93624	3fce2	নিজের সন্তানের মতো
e297d27c2d	7d133	নির্বাচকরা বর্তমান ওপেনিং জুটি
e2985d20cf	acb88	অনেক প্রতিশ্রুতি দেয়
e29906e33a	06e62	অবৈধ এ পানীয় পানে
e29928d40e	355c1	সুন্নি আকিদা
e29929a75d	f4ba7	আমরা বেশ দূর থেকে
e299460129	520fb	দখল করে নিয়েছে
e29957d57e	1e7c7	কড়াকড়ি শাসন
e299932394	ced74	নিজেদের শোরুমগুলো
e299e9f774	3f875	কি বৃদ্ধ ক্রমাগত চুপ করিয়া
e299fcb7d0	717bb	সেটি খতিয়ে দেখছে পুলিশ
e29a0f8080	7b900	প্রিয় অভিনেতা
e29a2d9764	c5479	দলটি পরাস্ত হচ্ছে
e29a330f1f	d71a3	কুটনৈতিক শিষ্টাচার লঙ্ঘন করেননি
e29af34dfb	315e9	জাতিসংঘ সেটা তদন্ত করেনি
e29b0a1b62	06bb7	ঘুমায় নাই
e29b61dff5	80518	এটি কতটুকু যৌক্তিক নয়
e29b64e459	194f5	লেখক সেলিম মোরশেদের
e29b8314a0	bf530	ঢাকা আবাসিক হোটেল
e29bf95de4	9351a	হাসুর ভাই কাসু
e29c0cfea8	7c272	আউটসোর্সিং
e29c562674	e00db	সুমন রহমানের দৃষ্টি
e29c71bc5d	f7a7f	জাহাজটি হেলে যাওয়ার পরও
e29c9359eb	3f493	তার উপর
e29ccafa9b	f83df	দিলীপ বড়ুয়া বলেন
e29cf61398	6b437	অসাবধান হলেই
e29d0337c5	e43d4	তাদের কারখানায় কাজ চলে
e29d254cfd	717bb	দেলাওয়ার হোসেন সাঈদীর বাবা ছিলেন গ্রামের খুব সাধারণ এক গৃহস্থ।
e29d417e89	c4973	অর্ধেন্দুশেখর মুস্তফী
e29d798df7	12702	সমস্ত শরীর
e29d883ee7	976b1	সাকিব আল হাসান বলছিলেন
e29d8ab42f	d7a68	নির্বাচনকালীন সর্বদলীয় মন্ত্রিসভার
e29e099893	e754e	লাল, সাদা ও নীল রং
e29e2999c5	e68af	জুলিয়েটের মৃত্যুর কথা শুনে
e29e3917a4	2bd99	ভিন্ন ভিন্ন ১৩টি
e29eccbffa	85430	পর্যায় সারণীর
e29ee5508c	80539	পোলিও মুক্ত দেশ হিসেবে
e29f041115	e50f1	ব্যবসা বাণিজ্যে
e29faf9222	f2097	দুটিই তার অলৌকিক লীলা
e29fd80160	bf530	লম্বায় ২০ থেকে
e2a0706ee7	57d54	পূর্ণাঙ্গ স্টেডিয়াম
e2a08dfe22	8845d	তখন বেচারা ভাবল
e2a12ab4a5	d7a68	এতে সালমানের দাম্পত্যজীবনে
e2a14f0c9d	cb842	একজন ভারতীয় সংগীতশিল্পী
e2a18a9aaa	dba43	জসীমউদ্দীন বলিলেন
e2a1c1b747	c958a	যদিও ভিমের যুগে
e2a2419039	6c17f	এর সঙ্গে
e2a28e60dd	2840e	ফুলবাহারির মা’র পান খাওয়া
e2a36c1f5d	ab946	তার দল ছেড়ে যান
e2a47d06d6	57d54	নারীদের নিরাপত্তা দাবি করে
e2a573422f	85430	মূলত সেক্সের কথা
e2a60cc65e	16877	কোনো যুক্তি
e2a64f2ca1	e6752	নানার কাছে দৌড়ে গিয়ে
e2a67e58de	4fbd1	প্রধান নির্বাচন কমিশনার বলেন
e2a6849db7	ce775	১০ দশমিক ৬৮ শতাংশ
e2a6cc3b99	68ab7	ভোটাভুটিতে ৫৩০০ টাকা
e2a6f6be60	bf530	কমিশনের স্থবিরতার জন্য
e2a767785a	13b6a	সংখ্যালঘুতে পরিণত হয়
e2a773b8b7	e9fa7	রাজকন্যা তাহা জানিতেন কি না
e2a7eb537d	47e8d	এই দুটি কারখানা চলছিল
e2a7f45e0c	3fae0	ধীরে ধীরে এর উজ্জ্বলতা
e2a7fba7a0	24aed	শিশুদের রক্ষার জন্য
e2a8694efe	536d9	বেড়ে যাওয়ায়
e2a8e0203f	9d46f	অক্ষত অবস্থায় পেয়েছে
e2a90ee995	2695f	গুপি হাত জোড় ক’রে
e2a934cd77	d9817	সাঁতরাতে সাঁতরাতে
e2a9413b9f	2ac82	আল-সিসির সমর্থনে
e2a94d7d9a	65e30	নিজের তলোয়ার বের করে
e2aa116ef3	e43d4	মামলা করা হবে
e2aa38bcfb	321b6	পুলিশ ও গোটা চলচ্চিত্র পাড়ার
e2aa6493eb	80518	এখনও কল্যাণ সংজ্ঞার উপর
e2aa838115	80518	সন্ত্রাস এবং অপরাধ ঠেকানো
e2aac3d38c	ee4ad	বেনাপোল চেকপোস্ট পুলিশ ইমিগ্রেশনের
e2aacc7bfa	3b1f7	বিয়ের পর পরিবারের থেকে
e2ab9a9abe	2bd99	ধূমপানের মত
e2abca4ce1	60f77	এই ফাঁসি দেয়
e2abdde712	520fb	দর্শনার্থীদের বিষয়
e2ac77eb4c	0895a	কাব্যিক অভিপ্রকাশ ঘটেছে
e2ac9dcff3	44322	প্রায়ই ঠকতে হয়
e2acaf173e	3fb17	মানুষের উৎসাহের জোয়ার
e2acc523fb	3ccf1	অবক্ষয় তত বাড়ছে
e2acd6270f	7b132	স্মৃতি
e2acdf1d0c	287bd	ক্ষমতার ভাগবাটোয়ারার
e2ad1df784	17ca1	সিরিজের প্রথম টেস্ট ম্যাচটি ড্র হলেও, সোহাগ গাজীর বিরল কৃতিত্বে ক্রিকেটের ইতিহাসে তা স্মরণীয় হয়ে থাকবে।
e2ad25501c	53396	তা অনেককেই অবাক করেছে
e2ad2589c3	22096	পররাষ্ট্র মন্ত্রণালয়ের কর্মকর্তারা জানান
e2ade8ed43	38ff0	বারণ আছে
e2ae07367f	e754e	বাংলাদেশের শ্রেষ্ঠতম ফসল কবি
e2ae4de614	2ecf8	বিলুপ্ত হইয়াছিল
e2af55e2d5	3bb15	বিড়ালদের মধ্যে
e2af71b40f	a699c	অপরদিকে সদিক রাশি
e2af7f4591	1cb75	পরিবার নিয়ে
e2b0fc36d6	ff970	বামুনের চাকর দেখল
e2b1341277	95f83	জাস্টিন বিবার
e2b13cb91d	f2097	তেমনই আসে বৈচিত্র্য
e2b14e1a01	f0f95	এ জন্য প্রয়োজন
e2b2580944	fbb81	একজন ফরাসি রসায়নবিদ
e2b28d48a7	f1ea4	বিরত থাকতো বলে
e2b2986da4	5e80b	নৌপরিবহন মন্ত্রণালয়ের সচিব
e2b2a8523b	75f18	অর্থনৈতিক কর্মকণ্ডে
e2b2b4b8f7	ff1c3	গোয়েন্দা বাহিনী বা সিআইডি বলছে
e2b2f70d12	25696	আমি পর্দা ফাঁকের মধ্যে নেই
e2b2fbc61b	bbb22	আচ্ছা, এ দুদিন
e2b34ed84b	57d54	ঘটনার পর থেকেই
e2b3ba2565	03284	ঈদের নামাজেও না
e2b3e0b5ab	18460	খুনে ব্যবহৃত কাঠের বাটাম
e2b4cbb399	f2b7d	মুখোশ পরে
e2b4f4a630	6fb36	বর্তমানে ঢাকাভিত্তিক একটি মানবাধিকার সংস্থা
e2b5250104	5d80e	চূড়ান্তভাবে নির্বাচিত ব্যক্তি
e2b55ef1a3	9282d	এর দু’বছর পর
e2b5805307	ff970	মি. মোরসিকে রাখা হবে
e2b5e64513	4486f	জাতিসংঘ রোহিঙ্গাদের
e2b5e74e7d	06e62	অপটিক্যাল যোগাযোগ মাধ্যমে
e2b5f5b0d2	932bb	উত্তরণের পথও
e2b6156411	1de6c	ব্রিটিশবিরোধী আন্দোলনকারী
e2b61f7baa	76329	ও নাটকে তার সঙ্গে
e2b620f866	b8fe1	দীর্ঘ কর্মময় জীবনে
e2b632268e	2bc73	সামনে যোগ হবে
e2b65572e7	c7705	বেণু নামে একটি কিশোর পত্রিকায়
e2b7468225	e00db	আমরা এ-ও জানি
e2b76faa2c	870e3	কিন্তু তাতে
e2b77925aa	baa02	কাছে যেতেই
e2b7d2f2c9	ab946	তার সহকর্মীদের সাথে
e2b8b943ad	23291	প্রায়ই পূর্ব-পশ্চিমাঞ্চলের ট্রেনগুলোকে
e2b8e1b2ac	e3d8b	প্রতিভাবান খেলোয়াড় রয়েছে
e2b8f9f907	0633a	দেদার ব্যবহার করেছেন
e2b907e0b8	590d0	ইলেকট্রিকের খাম্বাগুলো
e2b971ec71	932bb	এশিয়া কাপে আফগানিস্তানের কাছে
e2b98c9fe2	3fce2	একটি জার্মান প্রতিষ্ঠান
e2b9ae62f3	5d12f	কিন্তু ওই পৈত্রিক বাড়িতে
e2ba1d685b	e43d4	দেশি ও আন্তর্জাতিক
e2ba1d72f8	da6f0	নির্দিষ্ট বিমানবন্দরগুলোতে পা রাখবেন
e2bae9153b	d136b	স্থাপন করলেও
e2bb295c10	f600a	উভয়ের কাছে
e2bb31277b	fda1a	যেরকম মোটা অংকের অর্থের বিনিময়ে
e2bbaf7509	8406e	সত্যিই কি তিনি মাদকাসক্ত
e2bbdef405	58998	কয়েকটি লেখা
e2bc027180	f4ba7	পুলিশ মনে করছে
e2bc980218	d71a3	খাবার খেয়ে রোজা ভাঙ্গার নিয়ম
e2bcadba99	d82d9	অঙ্গ সমূহ
e2bd1a72c4	ced74	প্রথম বিদেশ সফরে ভারতে গেলেন
e2bd6d7c71	3fb17	বিশ্বাসী হয়ে উঠেছি
e2bd780bc4	d9081	এত সুখ আমার সইবে তো
e2be0750ec	68ab7	তিনি জানতেন সংযোগটি অবৈধ
e2be3808d2	da6f0	পাশের নদী এ সময়
e2be82c3bb	b78ec	প্রকাশ পাবে না
e2bf6a42ac	98b81	আমার মন থেকে
e2bfc82292	b9b98	রাশিয়ায় যোগ দিবে কীনা
e2bfedb4be	0d8c1	চালু হয়ে গেল
e2c0180d34	06736	৪-২ গোলে
e2c1235022	7b60a	বড় বিদ্যুৎ কেন্দ্রগুলোর
e2c14078bc	3ccf1	যথাসম্ভব খাটো করে বলল
e2c14e0b1e	13b70	কিন্তু জয়ার কারণে
e2c1c0d44c	e2ff7	বাংলা ছায়াছবি
e2c2410d1f	c0d65	এখন বেগুনবাড়ি থেকে
e2c2a4e589	9d398	যাদের মধ্যে তিমুরের
e2c3218db5	9813c	সাহারার প্রধান
e2c362c8d6	4a67e	নিউজিল্যান্ডের টিম সাউদি চারটি
e2c3db240e	6973e	শান্তিতে অফিস ও অন্যান্য কাজ
e2c46dae85	c9c19	মহানায়িকাকে নিয়ে
e2c475c75e	b52ab	চরমপন্থীদের অস্ত্রের ঝনঝনানি
e2c5998b47	3fb17	ছবি করার আগে কি
e2c5c7026a	2f547	রিয়ালিস্টিক
e2c604d42d	6dff5	সফল হয়েছিল
e2c63deb4a	c41d8	সব অনুপ্রবেশকারী যেন
e2c653b56f	4dd57	মোলাস্কা পর্বের অন্তর্ভুক্ত
e2c6c1c9ac	37d7e	তাঁরা প্রাসঙ্গিক
e2c6d7129e	d711f	এখনো ত্রাণহীন
e2c725edfc	f0f95	সেই সময় যাচ্ছিল
e2c746b7e9	4c1eb	আমার লুজ মোশন
e2c75bdd12	2ecf8	ব্যাটা আসলেই বড্ড নারীঘেঁষা
e2c78eacab	e2c11	১৮৬৬-এর ৩রা নভেম্বর
e2c832ac79	91ac1	একটিতে মলমূত্র জমা হবে
e2c84c3c65	c5479	এবারও ঢাকার
e2c8a83200	a274b	রামায়ণ
e2c9190931	a916a	আমি বিশ্বাস করি
e2c93229a9	e50f1	এই জন্য গীতার
e2c98d7c50	7c272	সর্বপ্রথম আন্তর্জাতিক ভাবে
e2c9ca53da	aab0f	অভিষেক বচ্চন ও ঐশ্বরিয়া
e2ca65bb0d	bf530	ওজন প্রায় ৩০ কেজি
e2cae4bf06	2ad74	কে বলবে প্রথম বই
e2caf14297	4e900	অন্যদিনের মতো এখন
e2cafd7b1d	68549	ফর্মুলা সিনেমায়
e2cb1b27ad	25696	র‍্যাবে যারা কাজ করে
e2cb1cc2ea	8ba2b	সপরিবারে বেঁচে যেতাম
e2cbb67665	8a46d	পোহাতে হয়েছে কম
e2cbcdfd78	e03fc	বের হয়।
e2cbf472a5	c3cb3	শীতকালে ঘড়ির কাঁটা
e2cc4bc9e8	509f6	কী ধরণের মানুষ ছিলেন
e2cc4e1c33	11bd2	তিনবার বিশ্রাম করিলাম
e2cc56b513	93080	সব সময়
e2cced037c	f837a	১৭ নাবিকের সবাই
e2ccfd06aa	4c555	টেবিলের পাথর
e2cd0755fe	c173f	মানবজাতির বিলুপ্তি ঘটায়
e2cd0946b0	a699c	আরজিনা
e2cd237c6b	08458	ট্রাইব্যুনাল বলেন
e2cd4e9233	2396d	ঢেলে দেন রোনালদো
e2cd9732d3	1f733	সবশেষে
e2ce0eade3	b8fe1	একটি ট্রাক্টর তাদের ইজিবাইককে
e2ce7549e1	ea8fa	চিন্তা করলে হবেনা
e2ce8278dd	d9ba9	বিদেশি মুদ্রার সঞ্চিতির দিক দিয়ে দক্ষিণ এশিয়ায় বাংলাদেশের চেয়ে ভাল অবস্থানে আছে কেবল ভারত।
e2ce8e3c68	404ee	ভিন্ন ভিন্ন শোক বার্তায়
e2ceff42de	a06a1	খুশিতে জড়িয়ে ধরে মাকে।
e2cf0a0e92	d2355	শরীর তৈরির সময়ও
e2cfa99f87	58998	চেয়ারম্যানের লোকজন
e2cfe54b1a	3faff	গায়ক প্রার্থীর দাবি
e2d08327f1	95f83	সে কারো কাছে করেনি
e2d0ee963e	3ec4d	ঢাকার বিভিন্ন প্রবেশদ্বারে হেফাজতে ইসলামের কর্মি ও সমর্থকরা জড়ো হয়ে অবস্থান নেন।
e2d1028582	6ab59	এবং এর সাথে
e2d13386ad	520fb	জোনাকির এত অপমান
e2d1533f00	cb1aa	সঙ্গে সঙ্গে
e2d173c234	b618b	দেশপ্রেমিক
e2d1db0c12	0f047	এছাড়াও ২০০ মিটার স্প্রিন্টেও
e2d28e50be	948d3	রাজনীতি এবং দুর্নীতি
e2d2fd1287	93080	আমরা চেষ্টা করেও
e2d3132577	9f25e	হ্যাঁ, কথাবার্তা পাকাপাকি হয়
e2d315f716	d2294	উইপোকা
e2d38e8777	35ef3	আর এতে একবিংশ শতাব্দীতে
e2d3d77cbb	2695f	নাজমুলকে না পেয়ে
e2d3d7e8d0	e6752	তুলতে থাকেন
e2d3f8473b	e6752	দ্বিতীয় বৃহত্তম শহর
e2d42c3ac2	09f0d	অবৈধভাবে জমি দখল
e2d4cc0874	4f2ae	একই জাতীয় দ্রব্য থেকে
e2d5d0f96f	3c897	কি ধরনের প্রভাব পড়ছে
e2d697db65	5354e	সবুজ বন্ধনী চিহ্নে
e2d6f604af	c6848	খালাস দেয়া হয়েছে
e2d6f68b2e	d2355	অন্নদামঙ্গল কাব্য
e2d721e5ab	e2c11	একটি বিশ্ববিদ্যালয় থেকে
e2d72e66f4	274ee	আঞ্চলিক রাজনীতি ও সমরনীতি নিয়ে
e2d7599499	4a67e	বের করতে হবে
e2d79d3374	b8bdd	এমনকি অ্যাম্বুলেন্স হিসেবেও
e2d7dbdeb8	d5f7b	নাশকতাকারীদের ধরতে
e2d801360b	f1ea4	করাচীতে রাস্তাঘাট থেকে বন্যার পানি সরানোর কাজে ইতিমধ্যেই দেশটির সেনাবাহিনী কাজ শুরু করেছে।
e2d8487680	2b883	সদস্য নির্বাচিত হন
e2d85922f0	75626	অরগাজম
e2d88b54ad	4f2ae	অনুষ্ঠানের মাঝামাঝি নাগাদ
e2d8b99e1d	7027a	মঙ্গলবার বিচারপতি ওবায়দুল হাসানের নেতৃত্বে
e2d8cba251	95907	তারা এমন গোপন নথি দেখেছে
e2d8e16c56	8845d	তারই সমর্থন তিনি খুঁজে পাচ্ছিলেন
e2d8f0d983	c3cca	আমি আর মুশফিক লিটু
e2d9510a9b	11de3	তিনি বিষয়টি এড়িয়ে যান
e2d9bd7077	29bab	যুদ্ধবিরতি সঠিকভাবে
e2da266a36	1f733	একাই এগিয়ে চলেছেন
e2da359b07	a7c6f	তোলা হয়েছে
e2da8d9a31	6ab59	টাসেল বেঁধে ঘন করতেন
e2da91e80d	b8bdd	এক কথায় বলতে গেলে
e2daced18d	c0d65	প্ল্যাটফর্মেই কাটিয়েছে
e2dadc3a6a	f280a	না মরে মুক্তি ছিল না
e2db62f692	fb4cb	কারণ হৃদযন্ত্র প্রতিস্থাপনের মাধ্যমে
e2db78263d	2909b	পাকিস্তান ও ওয়েস্ট ইন্ডিজ
e2dbe38852	06bb7	তাই ব্যবস্থা নেয়ার
e2dbf37a17	16e96	এখন বেগুনবাড়ি থেকে
e2dbf8434f	509f6	শ্রমিকদের ক্ষতিপূরণ
e2dc5bc2cf	acb88	অসিতবরণ মুখোপাধ্যায়
e2dc73f6a5	d2faf	এ আই ইউ বি লাইব্রেরীতে
e2dc9398bc	75936	শোন, সারের ধারণা
e2dca1d2f9	32c77	বৈশাখি মেলা চলাকালীন সময়ে
e2dce86830	54e68	বাংলাদেশ প্রিমিয়ার লিগের দ্বিতীয় পর্বের খেলায় উত্তর বারিধারার বিপক্ষে বড় জয় পেয়েছে ব্রাদার্স ইউনিয়ন লিমিটেড।
e2dd2a30c3	6dff5	সোহম
e2dd94c35f	13b6a	সমগ্র মানব সভ্যতা
e2dd9a0590	c7a89	বাস মালিকেরা
e2de0740d3	cb842	গোল পেল
e2de09dcd9	b9a81	শক্তিশালী সামরিক বাহিনী
e2de528dcf	ca088	আখ্যা দিয়েছেন ক্যাটরিনা
e2de958493	1c618	বিভিন্ন থানায় গিয়ে
e2df1e3e03	b8ed8	সবচেয়ে বড় অবকাঠামো প্রকল্প
e2df2b8c74	35ef3	অধিবর্ষে ২৮৪ তম দিন
e2df4d1203	315e9	ইরানি
e2df54adfb	15a75	যে প্রতিবেদন দিয়েছে
e2df91c734	54e68	ফেনসিডিল
e2dfb45b62	5a61c	তারপর থাকবার জায়গা
e2e06ca200	2fc12	জন্ম ১৬ই মার্চ, ১৯৯১
e2e0e34018	ce775	র‌্যাম্পের প্রতি আমার
e2e1080b50	ce629	খেয়াল রাখার
e2e12cda60	9351a	পিটার ফুলটনের উপরই
e2e1b98674	ce775	কখনো সাংবাদিক
e2e203cc71	91dff	সাবধানে এগোতে পারে
e2e20db89a	d2d71	প্রবাহিত করার জন্য
e2e30afb40	db181	উপস্থিত সব সমিতির নেতারাই
e2e329a64f	b8ed8	দুই কিশোরীকে উদ্ধার করে
e2e3762df6	a1d4a	পোড়ানো হয়েছে
e2e40418d6	93080	স্থাপিত হয়েছে
e2e453ccfd	e6e48	বসে বসে টেস্ট দেখার সময়
e2e4b44619	e2c11	ক্যাট বৌদি বলে
e2e4bfec76	351dd	সড়ক অবরোধের সত্যতা স্বীকার করেন
e2e5b95a50	e31e7	১৯৫৮ সালে
e2e5ddfd1e	430b2	যুদ্ধাপরাধ আইনে
e2e5e56ac6	7b60a	ওই নবপর্যায়ে আদিমকালের
e2e61ed01c	91223	রবীন্দ্রনাথের উপন্যাস ‘নৌকাডুবি’ অবলম্বনে ১৯৪৭ সালে হিন্দি ও বাংলায় সিনেমা পরিচালনা করেন নীতিন বোস।হিন্দিতে সিনেমাটির নাম দেওয়া হয় ‘মিলন’।
e2e6ad0e7b	ac0df	আমার সারাটা দিন মেঘলা আকাশ বৃষ্টি তোমাকে দিলাম
e2e6e5e23e	a06a1	তাঁরই ভাষায় ইউনিভার্সের কাছে
e2e76d1c0f	0edef	নানি গরম ভাতের সঙ্গে
e2e783f074	1f733	রায়ের দিন থেকে
e2e78ec13a	af81d	টিক্কা-মসলা ১ টেবিল-চামচ
e2e7dad08f	ff1eb	সর্ব-বার্মা ছাত্র ইউনিয়নের
e2e9010183	d1a48	কম মনে হচ্ছে
e2e90926e6	7df87	সাথী
e2e91486c6	f6e55	সকাল ১০টা থেকে
e2e983e163	91230	তুমি আমার একলা চলার পথটিকে
e2e98fbd4f	b7be9	অনেকে বাংলাদেশকেই
e2e9c1eff0	8632b	এপিটি ব্যবহার
e2ea269153	8edea	কৃষক ধান উৎপাদন করতে
e2ea5beb4c	e2ba2	বিমানটি থাইল্যান্ড উপসাগরে
e2ea6074b4	976b1	নারায়ণগঞ্জ সদরের বালুর ঘাট থেকে
e2eac60506	cb842	শরীরের তাপমাত্রা নিয়ন্ত্রণ করে
e2eb0832ec	c41d8	স্নায়ুযুদ্ধ-যুগের উত্তেজনা
e2eb0c0faa	61820	বিনা প্রশ্নে পালন করছে সুষমা
e2ebdf06b9	693cb	চাপ তৈরী করা
e2ec9e86fa	09b32	ফারুক আহমেদ জানিয়েছিলেন
e2ecb2e11f	83c53	অ্যান্ডি লিন্ডেন
e2ecc64b02	11de3	হাঁস-মুরগি
e2ecccd73c	2ee04	প্রতিষ্ঠিত প্রতীকটি
e2ed0ac946	15a75	গত অগাস্টে
e2ed468583	39dd0	বাংলালিংকের গ্রাহক সংখ্যা ছিল
e2ed751b1e	7e191	তৃতীয় বিশ্বে
e2ee23c29b	ce180	এই টাকার সংস্থান করেছে
e2ee5d1f78	b8bf0	দর্শকদের সম্পূরক প্রশ্নের জবাবে
e2ef53a259	d5213	তাদের তেলবিহীন প্রসাধনী
e2f07d234b	39293	২৫ মিলিয়ন
e2f0e38475	29d44	কর্তৃক আয়োজিত
e2f218c5bb	d2d71	ইসলাম মূল্যবোধকে আঘাত করে
e2f24d997a	60f77	শীতে সবচেয়ে কষ্টে আছেন ছিন্নমূল মানুষ।
e2f27f0894	6b437	তার সময়সীমা জেনে নেওয়া
e2f30e5b87	a0277	তোমরা সবাই টিকা নাও
e2f31567de	7f2ef	বিছানায় ঢেলে দেয় আজাদ
e2f3250851	4bede	দায়িত্ব পাওয়ার পরে
e2f3caf1cc	6aac8	আদা টুকরো টুকরো করে রাখুন
e2f3e264c2	9fa90	সংসদীয় মৈত্রী গ্রুপ
e2f3f3506c	693cb	ফের শুরু হয়েছে
e2f4286a28	09f0d	তার বক্তব্য
e2f4701e2f	ad69a	অবৈধভাবে জমি দখল
e2f50380bb	76329	বিড়ি ফুঁকতে দেখব না
e2f5171f11	870e3	প্রক্রিয়াটিকে তিনি
e2f54b2e49	fcc89	খুব আস্তে আস্তে
e2f5807b85	3bea8	আমাদের সংবাদদাতা
e2f5aef18f	7aed9	উত্তর খুঁজিতে খুঁজিতে
e2f6489120	a46e2	না দেখে
e2f67aa638	aa820	খুলনা কৃষি বিশ্ববিদ্যালয়
e2f68dcbfc	f0f95	উহার বিলাতী নাম
e2f69c1002	91ac1	বিভিন্ন বিশ্ববিদ্যালয় ও কলেজ
e2f6ffc639	3f493	কালের আধুনিকতম
e2f7f0cabf	4fc91	নোবেল পুরস্কারের জন্য
e2f811c63e	4fc91	সেখানে একটি ছোট মেয়ে
e2f8dcf640	698a4	অংশ নিয়ে জানান
e2f9167c7f	dba43	প্রধানমন্ত্রীর কার্যালয়ের অ্যাকসেস টু ইনফরমেশন
e2f9585429	c5479	পুড়ে গেছে একটি গাড়ি
e2f959bd8f	54e68	কোন কোন বিষয়ে এক্ষণে
e2f97dc26c	c5dc8	মাসে পঁচাত্তর টাকা খরচা হয়
e2f97e3bba	b8bf0	আমি আপনাকে ট্যাক্সিতে করে
e2fa08e959	e6d83	তিনি সর্বদা বিমোহিত হন
e2fa49e56e	bbb22	বিবিসি বাংলার সাথে
e2fb2767e1	32c77	দোষগুণ সবকিছু ধারনা
e2fb94fdcc	2ac82	ঝড় থামল না
e2fc12d550	a274b	গত ৩ মার্চ
e2fd47e166	07660	৬১ রান
e2fd5dc3a5	3c897	পাপেভরা অশুভ
e2fd60918e	4fbd1	৪০ বছরের
e2fe128ee7	39dd0	বাত
e2fe52f86c	ef915	এশিয়া প্যাসেফিক অঞ্চলে
e2fea7a46a	7a227	সহিংসতার খবর এসেছে
e2fea92720	3b1f7	ওয়ানডেতে আছে ৯ নম্বরে
e2feafd4ab	44322	২৩ মিনিটে
e2feb19cb5	79b06	তা মানব জাতির জন্য অনুকরণীয়
e2fee24559	75936	বিভিন্ন খাদ্য
e2ff198b38	baa02	ঐ মুদ্রাটির ইতিবৃত্ত
e2ff4a9422	6d129	ক্রন্দনরত একটি বালকের
e2ff53c399	f1ea4	ওক কাঠের
e2ff84f6d5	91dff	অনেকেই অবৈধ অ্যালকোহল
e2ffc820db	321b6	বাংলাদেশ সরকারের পক্ষে
