11280ca70b	2556b	চুলের কাটিং
11b3253a6c	809cd	১৯৮৮ সালের ঘটনা
11b333387f	09b32	আরেকটি লাশ
11b42650f5	6c17f	ও আন্তর্জাতিক প্রেক্ষাপটকে
11b439357f	f1ea4	এবং দেশান্তরী
11b4996e1e	0	বাড়িওয়ালা তাৎক্ষণিকভাবে
11b4bd597f	92bd8	এপিবিএনের সদস্যরা
11b4be8690	9fa90	২৮টি সুভ্যেনির প্রকাশ করেছে
11b50df0b5	0744c	ছয় নাবিকের সন্ধান না পেয়ে
11b5406e5e	5e80b	নেতিবাচক দিক হচ্ছে
11b5fb7c23	5cb47	বাবা-মায়ের সঙ্গে
11b606b23f	b8bba	বাংলাদেশী সমাজে যাদের অনেকটা
11b6d319e2	b8bf0	প্রকাশ্য সমর্থক ছিলেন
11b6dd3cd7	33814	অবদান গ্রন্থের
11b6ed9176	dfefa	মানুষের সন্ধান পাওয়া যায় নি
11b71bedf4	86b1b	শুনলাম ওঁর কথা
11b7dc7262	60b9d	ভেজাল হিসেবে প্রধানত
11b80c3049	7ec1c	খারিজ হয়ে যায়
11b84de68d	acb88	নির্বাচন অনুষ্ঠানের লক্ষ্যে
11b86e7a1f	cb627	কিছু কথা বলতে দোষ নেই
11b8c98b35	d136b	প্রশান্ত মহাসাগরীয়
11b8daa3e0	ad050	স্যাম মিলস
11b8f9fa60	18460	ভালবাসার জুটি
11b915e5d9	31f09	রেলের কর্মকর্তাদের নির্দেশ দিয়েছেন
11b9256f72	2bc73	মই তোমাক ভাল পাওঁ
11b92b7fc6	33814	সামাজিক বিড়ম্বনা থেকে
11b961aca3	8cf95	যায় আসে না
11b96f1918	46d49	ঠিক করার জন্য
11b96fbf2a	ee4ad	ঘটনায় আহত হয়েছেন
11b9af0577	d82d9	তাদের মধ্যে তৃতীয়
11b9d1e33b	6a35e	তৈরি করা হয়েছে
11bb0d6ea4	0f047	ডিবিতে স্থানান্তরিত হয়
11bb24d752	75626	এদের একটা শিক্ষা দিতে হবে
11bb51043f	2695f	এই ছবিটি নির্মাণ করা হয়েছে
11bb6a9795	ce629	খুব গভীর মনোযোগী হয়ে নয়
11bbe7a0d4	d2d71	শেয়ার করুন
11bc777279	69d9a	এ নিয়ে বাংলাদেশে
11bca767a7	e03ce	তবে বিপ্লবী সরকারের
11bd390189	3d17c	এই ওয়েব পোর্টালের মাধ্যমে
11bd4ad461	6736	হাট দখলে থাকা নয়
11bd7ce6eb	f600a	নিরুৎসাহিত না করে
11be116159	09f0d	১৯৪৩-এর আগে
11be13b253	388c9	অসুস্থ এবং নিরাপত্তার অভাবের
11be6b3a85	c4973	ক্যারিয়ার
11be6fcab6	2.1E+055	ভর্তি থাকে
11be92a438	d2d71	একরাম চেয়ারম্যান
11beae8792	56508	কারা কারা কিভাবে
11bf352fd2	195f7	তিনি দেশের সামগ্রিক উন্নয়নে
11bf37943b	d5213	তিনি ইফতারে ঐতিহ্যবাহী খাবারগুলো
11bf5ef235	153c9	আলুর দাম কেজিতে
11bfa2046c	7aed9	তার দীর্ঘ কবিতাগুলো
11bfd4344a	ee852	শেষটা অসহ্য হইয়া উঠিল
11bfffd617	8edea	মেনে নিতে হয়েছিল
11c04cd53f	16877	এমনকি স্কুলেও
11c0a03fbe	eb179	আত্মহত্যা করেছেন
11c0a9f789	5d80e	এখনকার উদযাপন
11c15a9e9f	28bb3	তারা দেবেন
11c1e1d8c0	0a87a	পুলিশ মামলা করবে
11c2b51cb9	2396d	হাতবোমা বিস্ফোরণের শব্দ
11c2b92a62	5cb47	একটি মেশিনগান থেকে
11c2f248a5	9092b	ত্রিপুরার রাজধানী আগরতলায়
11c3325a94	7b900	আন্তর্জাতিক বেস্টসেলার বই
11c3c5c26f	442b7	কাঠাল
11c3d539f4	e68af	স্বাভাবিক রয়েছে
11c4377562	5d12f	অনেক স্থান
11c4641da3	ad2a0	নামানোর আগে
11c46a4a5c	d82d9	জেরা করা সম্ভব হয়নি
11c4d5a344	23291	গ্রেপ্তারের দিন থেকে
11c567474b	7297e	হাতের কাজ
11c56d9bdd	93bf3	রবীন্দ্রনাথের সান্নিধ্যে
11c5b56f90	e6203	টিটিপাড়া রেলক্রসিংয়ে
11c5ee79c7	c5dc8	মনুসংহিতা
11c60906ac	121bd	দুই দিন নিরাহারে সকলের প্রাণ
11c661ace3	0606d	নেপথ্যে আছেন
11c69426d5	79b06	সয়াসস দিয়ে ভাজুন
11c6a4ed09	4237e	২০০৬ সালে একুশে পদক পাওয়া আফতাব দীর্ঘদিন ইত্তেফাকের জ্যেষ্ঠ আলোকচিত্রী হিসাবে কাজ করেছেন।
11c6a6becd	1b359	প্রকাশ পেয়ে আসছে
11c6bd5fe6	d1a48	জালে বল পাঠান
11c6ff9feb	09f0d	সে দেশ থেকে
11c72b1110	1e7c6	সবারই কামনা
11c7540938	7ec1c	অন্ধকার জয়ের প্রতীক
11c7a88cb5	9d398	সাগুদানা আধা কাপ
11c7de1bcb	8c07c	ঢাকা সফরের সময়
11c8b59f94	3ec4d	তাদের মন বুঝতে চাইছেন
11c8e4689d	4486f	নিতে পারছি না
11c9276f9e	e8dde	এলাকায় আতঙ্ক ছড়িয়ে পড়ে
11c9317c41	c0965	শার্লক হোমস-এর
11c9a6afbe	9e923	উপভোগ করেন দর্শক
11c9e793d5	c3cca	আম চাষ
11c9f074e3	dba43	ক্যারিয়ারের মধ্যগগণে এসে ‘আঁধি’ ছবিতে রাজনৈতিক দলের নেতা হিসেবে কেন্দ্রীয় চরিত্রে অভিনয় করে নিজেকে নতুন উচ্চতায় নিয়ে যান সুচিত্রা।
11ca3bfc4d	60f77	সুন্দর পোশাক
11cacee0f2	8143b	উন্নত হচ্ছে
11caedb8dc	4bd2c	শিশুর মতো
11cbb6daa4	4164f	পুরোনো নগরের কেন্দ্রস্থলে
11cc535ea5	57d54	এ প্রশ্ন করা হলে
11cc53fdb2	a46e2	তার প্রথম দিকের কবিতায়
11cc5e0162	8c120	মান্টুয়ায় নিয়ে যাবে রোমিও
11cd5e623b	a274b	ঝেড়ে ফেলে
11cd67c059	7aed9	যা থেকে বিদ্যাসাগরের মাসিক দান
11ce52b120	f1ff2	নাম দেওয়া হয়
11ce9b28f4	f2097	আবদুল্লাহ আরিফ বলছিলেন
11cecc5553	2d78f	তদ্রুপ তোমার পরবর্তী
11ceeae56f	9d7bf	মিহিরচন্দ্র চৌধুরী
11cf6d3706	3f875	বমি
11cfdd2475	17dcd	ঢাকা- চট্রগ্রাম মহাসড়কে
11cfe2f69f	0744c	বলে ধরা হয়
11d087bd1a	8ba2b	এর সাথে
11d0db4fae	d82d9	অ্যাবি ওয়ামব্যাচ
11d0e57a03	35ef3	বিজয়নগরে একটি কালো রঙের প্রাইভেট কার
11d1b88ff9	f837a	এক শতাব্দী পরেও
11d1c5f366	e2f12	কেউই অবশ্য
11d1fe0fa7	6da0a	এখন ইংরেজী পড়ানো ভালো
11d375acb3	7f71c	যার নামানুসারে
11d4290203	6aac8	১৯৪৫ সালের মার্চে
11d4947cdf	75936	অ্যাকাডেমির প্রধান কোচের
11d53e0423	8E+099	বই বিক্রি হবে
11d55e6723	698a4	এটি ভারতবর্ষ থেকে এসেছে
11d58e1477	616ec	চিন্তাধারায় মার্ক্সীয় অর্থনীতির আগমন
11d5d1faaa	c5479	বিস্তারিত লিখিত পরিকল্পনা
11d65dd07a	e50f1	নুরুন্নবীকে আটক করা হয়
11d685a680	31f2a	আরও কত কিছু বলে
11d68e17b1	7ec1c	কুকুর
11d6af1feb	0696e	দ্রুত সরে পড়েন
11d73599fa	b8ed8	পুলিশ তো দূরের কথা
11d8348a40	46d49	প্রমথ চৌধুরী
11d8d1a945	a916a	বৃন্দাবনলীলা বিষয়ে রচিত
11d8f02023	ff0fe	মাত্র দেড় বছরের মেয়ে
11d91b5b73	85430	যারা যাবেন
11d9798895	4f450	এবং অবৈধ হয়ে পড়েন
11d9f1cbf3	7b60a	৪৪ হাজার টন
11d9fc89e0	6736	ও নিজামসহ ছয়জনকে
11da446827	68549	প্রাথমিক পর্যায়ে পরীক্ষামূলক ভাবে ১০টি বাসে এই সেবা দেয়া হবে।
11da70a01b	1b359	প্রত্যাখ্যান করা হয়েছে
11da71f06b	c6848	এক অনুষ্ঠানে
11daa49e40	cfc65	কমনওয়েলথের সরকার প্রধানদের
11dac54e62	3ec4d	রাজমা দিয়ে
11dad16efd	7f2ef	র‌্যাম্পে হাঁটতে হয়
11db18fa99	24aed	এর বিপরীত হল
11db2bddc9	ca088	মাখামাখা হয়ে এলে
11db4e47d8	91223	না হয়
11dbf91b53	17ca1	তিনি অনেক নায়কের বিপরীতে
11dc1e830c	91b16	শুনে ওরা ঠোঁট টিপে হাসে
11dca363a5	14816	এক বিমানবালার
11dd662e53	1.6E+097	অধীনে ন্যস্ত ছিল
11dddd7aa0	a1d4a	এটা ছিল
11ddebcf7d	9d7bf	আছ একা তুমি
11ddecded0	95907	কোন আপস না হওয়ার প্রেক্ষাপটে
11de3785fb	0633a	বরাত
11ded26bbd	49d63	একমাত্র ভগবানকে
11df114e8b	58998	ঘোড়া থামিয়ে
11df4833bd	93bf3	যুদ্ধ আর যুদ্ধ
11dfdf0e2b	fcefa	আমাদের অনেক কিছুই
11e01c7ebc	ef915	তালিকা করেছিলেন সুবহান
11e165d750	976b1	ভোলা সদর উপজেলার
11e1c40562	d5f7b	রুপচর্চা
11e1c7d0db	e03fc	টাইটানিক
11e225d8db	8a46d	এক বিজ্ঞপ্তিতে জানায়
11e2fb1c14	11bd2	জয় বাংলা স্লোগান দিতে দিতে
11e35e1da8	0744c	কাজী জাফরসহ
11e37d85b3	d9817	দলকে উড়ন্ত সূচনা এনে দিয়েছিলেন
11e47bb287	52f27	পরবর্তী সময়ে সুলতানগঞ্জকে
11e4c8c893	121bd	তাদের ঘুম খুব গভীর হচ্ছে না
11e4ebe382	69d9a	সমকালিক লোকদিগের অগ্রবর্তী ছিলেন
11e50322ff	5cb47	ঢোকা সম্ভব না
11e5391c63	7b103	কাটিয়ে দেন চালসিস নগরীতে
11e54bdc6b	10a9f	প্রায় ২৫০০
11e5f6a412	860f4	সদস্য বলে
11e625dea1	db181	কর্মবিরতির আওতামুক্ত রাখা হয়েছে
11e6b92fa8	282d3	তজ্জন্য প্রথম
11e76373f2	4c1eb	লাভ করেন
11e7918821	7aed9	রাজনৈতিক গুরুত্ব হারালে
11e7970d5b	778c0	অন্যতম ব্যক্তিত্ব
11e8044ec4	ff1eb	টানাপড়েন, দুঃখ যন্ত্রণা
11e853adda	75f18	সঠিকভাবে জানতে
11e86ddd7d	e6e48	মর্মার্থ দিয়াছেন
11e881b8dc	93080	খোদ আইসিসির একাধিক কর্মকর্তা
11e889af81	35ef3	বিদ্যুৎ কেন্দ্রটি
11e896d69a	7b60a	বুধবার ফতুল্লার খান সাহেব
11e8a639e1	1.6E+097	গ্রাফিক্স ডিজাইন কি
11e8d06a6e	d1b12	তবে পুরো সফরে
11e9523488	4ea73	হস্তান্তরের ব্যাপারে
11e9b87b0e	f6e55	এন্তোনিও মাচোদা
11ea593f4e	35ef3	মৃত্যুবরণ করেন
11eae57135	b9b98	আন্দোলন করতে পারিনা
11eaea737b	5354e	ঠাকুরগাঁও জেলার হরিপুর উপজেলার খবর
11ebf7e854	7b132	আমি অনিচ্ছুক
11ec0bf0fb	4a918	মঙ্গলবার করাচিতে
11ec28b8c8	c2082	কোন রেখা নেই
11ec408396	2ac82	অনায়াসে একটি পদ্মা সেতু
11ec5d8c5d	ec91c	আমায় লিখে দিলেন
11ec7c3886	db735	ইসরায়েল
11ec82f7f3	a46e2	চেতনা ব্যতীত
11ecd0a5ac	4c1eb	তাজ্জব করে দিয়ে বলবেন
11ed397dff	bc81e	শহর আলি গান থামিয়ে
11ed99ae87	2fc12	মহিউদ্দিনের হাত ধরে ছিলেন
11eddc669d	121bd	ঘাসে বা বাতাসে
11ede61bfb	0d4cb	শেখ মুজিবকে সপরিবারে হত্যার ঘটনার
11ede68a5c	7b103	বেশিরভাগ পরিবারই
11ede85f3c	903fa	প্রমাণের মাধ্যমে
11ee13601a	4a918	ও জোর করে
11ee944505	16877	তাদের এখন পারামাণবিক
11eeb0dd93	6c6bf	সোহাগ পরিবহন
11eefa2c36	f4ba7	আই দ্য জুরি
11ef1e0cc1	6da0a	সেই সুযোগ পায়নি
11ef32d675	2695f	সঠিক অ্যালগোরিদম
11efb55ffe	f1ea4	ইডেন হ্যাজার্ড
11efdc133c	e9759	দীর্ঘ কারাবাসের সময়েই তিনি ফুসফুসের সংক্রমণে আক্রান্ত হন বলে জানা যায়।
11efdc1425	38ff0	কিছুদিন আগে
11efe18dbc	616ec	3d painting
11f042d200	f2b7d	আরেক পুঁটলি
11f04c4211	2.1E+055	দাবি আদায় না হওয়া পর্যন্ত
11f09b9674	db735	অনলাইন ফটোগ্রাফি স্কুল
11f0f4e60a	31f09	বিজেপির শীর্ষ নেতারা বলে এসেছেন
11f10db6a6	a43b5	রেজ্জাক মোল্লার মন্তব্যের
11f13a464e	c0d65	আয়
11f13b1258	29bab	কালো হলে
11f166bad4	d9081	পিঁ পিঁ করে কাঁদে
11f182b4c3	d1b12	প্রধানত দুই ধরনের
11f1dd25fd	7b103	ঈশপের গল্প
11f1e2abdc	778c0	অপটিক্যাল গাইরোস্কোপ
11f1f9e1dd	7f71c	সকাল থেকে ঢাকার রাস্তায় যান চলাচল অনেক কম দেখা গেছে।
11f2240462	31f2a	তা নিয়ন্ত্রণ করা উচিত
11f2418bad	4f450	গণমাধ্যমে কথা বলার
11f29e3ba9	a916a	তারা বাস ছেড়ে যেতে
11f2b95608	b8bdd	বাংলা একাডেমি জাতির মননের
11f3945d0a	d9ba9	আরে ওরা ত তা-ই চায়
11f404668d	6e8cb	গ্রহণ করিয়াছি
11f4c8ac4f	56508	লিখিত হোক
11f4cb94d4	a8710	দেহ-মন দুইভাবেই
11f4e2af6b	a9a58	নারায়ণগঞ্জের জ্যেষ্ঠ আইনজীবী
11f50b2017	8cf95	এরূপ ব্যবস্থা অতীব কঠোর
11f52838a8	f9dfb	অনলাইন উপস্থিতি
11f539a03b	11de3	এমভি অবসরকে
11f53a0c64	f1ea4	নতুন এ পদ্ধতির বিরুদ্ধে
11f568c6d7	4ea73	অস্থির হয়ে উঠতেন
11f5725b85	33814	যে পাশ্চাত্ত্যগণ
11f66cd83a	4fd66	কফি ও ফলফলারি দিয়ে
11f714b48f	b8bdd	তাদের প্রেমে বাধা হয়ে দাঁড়ায়
11f718cf62	b52ab	বৈশিষ্ট্য লিখ
11f719eea8	6973e	আড়াইশ থেকে ৩শ টাকা
11f7820f46	7ee9b	ছেড়ে যায়নি
11f7cfce0f	388c9	তার পাশে দাঁড়াই
11f7e74eaf	5cb47	তাদের প্রত্যেককে মুক্তি দিতে হবে
11f800e64a	4c555	মেদিনীপুরের এক বৃদ্ধ জানাচ্ছেন
11f85b9b4f	42898	দেশের ৩০টি দৃষ্টি প্রতিবন্ধী
11f86c05f7	92bb2	চকবাজারে যেসব ইফতারের
11f88164d8	ac904	এই সফরে মি: মুখার্জি
11f88c4d80	dec2d	সৃষ্টি করা হয়েছে
11f8d199b5	5.4E+069	বিজয় ছাড়া কেউ
11f8e96546	88654	উত্তর চব্বিশ পরগণা জেলায়
11f90b94f0	ad98d	সে হয়ে যায় মরা নদী
11f938d64d	9642e	সাধারণ মানুষের কাছে
11f96cc58b	0895a	এমন নারীদের ঈদ উদযাপন
11f9d67fbb	68549	সোজা হইয়া উঠিল
11f9db1dcb	e55de	স্মার্ট ফোনের মাধ্যমে
11f9ed84fa	2695f	বিকাশ ক্ষেত্রেরস
11fa34da1c	dae88	অলআউট হয় অতিথিরা
11fa3708fa	32998	গরাদহীন ফরাসি জানালা দিয়ে
11fa9a3cfe	bc81e	সেই বিশাল জ্বলন্ত উল্কাখন্ড
11fac3759b	dec2d	ভাইস চেয়ারম্যান পদে প্রতিদ্বন্দ্বিতা
11faffed9d	a0277	সরকারের তরফ
11fc69b739	11915	রাজসম্মান পেয়ে
11fc6f61f8	e8dde	জাতিসংঘের মহাসচিব বান কি মুন বর্তমান সংঘাতকে রাজনৈতিক সঙ্কট উল্লেখ করে বলেছেন, এর কোন সামরিক সমাধান নেই।
11fce45b2d	86b1b	কাজের চাপ থেকে
11fd6f6176	698ff	ফাঁস করে দেন
11fe688a25	7027a	বিদ্রোহী হয়ে উঠেছে
11fe7212b3	616ec	ব্রিটেনে বহু মানুষ
11feecdfa1	dba43	একটা ধাক্কা লাগলো
11ff4c09c8	4486f	কবিতার গোড়াপত্তনেও
11ff9fc8bf	698ff	১০ বছর কারাদণ্ড
11ffca140b	4f450	যাত্রা শুরু হয় সুচিত্রা সেনের
