1d00a2c7eb	388c9	৮৫ রান ওঠে
1d8758ff0c	29089	আলফা পর্যায়ে রয়েছে
1d87659172	1652d	সেটা পরিষ্কার হতে
1d878460ed	8cf95	এমনকি ক্রমশ
1d882b465a	e31e7	বিভিন্ন ধরনের চুলের জন্য
1d891bf621	9092b	সম্ভবত গুণ্ডা, পাষণ্ড
1d894464f3	32c77	অথবা নৃত্যে
1d8a084bbb	5d12f	টিকিটের দাম
1d8a7ea219	1f733	কালি ও কলম
1d8b145dcf	05901	২০০৫ সালে তিনি তৎকালীন প্রধানমন্ত্রী
1d8b21b9db	d1a48	একদিন এদুটো জায়গা ছিল পাশাপাশিই!
1d8b3f7d08	bc81e	নিহত ছাত্রদল কর্মী
1d8b5c956a	6c6bf	শেষ পর্যন্ত নতি স্বীকার করে
1d8bc59971	65e30	মাথায় ৫০ কেজি ওজনের
1d8c0aa073	f1ea4	ভয়ের গল্প
1d8c8300a0	f6e55	ভয়ের ছবি
1d8dabe664	a1d4a	এক হাজার ৫৯৮ পয়েন্ট হয়েছে
1d8db0af16	404ee	চট্টগ্রামের ছেলে
1d8e72a845	80be1	ওরা আমার মুখে
1d8ec2f6b9	f9dfb	শাস্ত্রীয় সঙ্গীত
1d8f1624c3	0606d	অনেক বেশি উত্তেজনা ছড়ায়
1d8fe224e8	24aed	প্রতিষেধক ব্যবস্থা নেয়ার সময় এখনো চলে যায়নি বলে তিনি মনে করছেন।
1d90342603	29f8c	তিনি লেখাপড়ার জন্য
1d904716b1	f2097	কাজেই ফায়ারিং ছাড়া
1d906dd02c	536d9	তারা জানান
1d90fa7d40	d7a68	তাকে হত্যা করা হয়েছে
1d9104a7d8	ced74	সারাদেশকে মুক্তিযুদ্ধের ১১টি সেক্টর
1d91218713	93080	বেঁধে রাখতে পারত না
1d9125bfc9	42898	তিনি বাংলাদেশে
1d91619c87	f6e55	হাই কোর্টের বিচারপতি হিসাবে
1d9241bedb	dec2d	পুলিশ হেফাজত থেকে
1d92b3ff44	85430	এই অভিযান
1d92cacae2	cb842	প্রথমবার এমন ঘটনা ঘটছে
1d932bb3aa	57d54	কিছুক্ষণ আগে শেষ হওয়া
1d9334d9ad	f9dfb	সর্বোচ্চ সতর্কতা
1d93405c4f	10a9f	সকাল সাড়ে ৬টার দিকে
1d937f19b4	6da0a	তুলনা করেন
1d9438f198	e6d83	সবিস্তারে বলিবার বা শুনিবার
1d95a027b5	39dd0	হাত-পা ছাড়াই জন্মেছে
1d95bcee62	b8bdd	যাত্রী সেবার ক্ষেত্রেও
1d95c09849	410fa	কিচিরমিচির করতে লাগল
1d9650dd6b	4164f	দেশীয় চলচ্চিত্রের ক্ষেত্রে
1d965cf657	5a61c	এগিয়ে আসতে হবে
1d96e1d50a	ea8fa	আমরা দলে
1d96e81e56	d2355	যে সব শ্রমিক কারখানায়
1d97276ce6	4164f	নতুন গেঞ্জির চুলকুনির কথা
1d976f3679	68ab7	তাই এতসংখ্যক পরীক্ষার্থীর মধ্যে
1d979e4773	b7be9	মধ্য যুগের বাংলা ভাষার পরিধি
1d984179b4	aabe7	গুজরাটের কচ্ছের রান সীমান্ত নিয়ে
1d98ebc6fe	f1240	ভারতের সুন্দরবনের ক্ষেত্রে
1d991a40cf	64092	অবস্থান করছিল
1d99613a63	8845d	সুতা কারখানার নারী শ্রমিকরা
1d99c542cb	d7a68	ফেনীর সহকারী পুলিশ সুপার সার্কেল সামসুল আলম সরকার সড়ক অবরোধের সত্যতা স্বীকার করেন।
1d99f4e0b5	5d12f	ভর্তি হওয়া রোগীর সংখ্যা ছিল
1d9a2da190	f2b7d	উভয় কারণেই আমি
1d9a5b0351	8a46d	তাদের দায়িত্বপ্রাপ্ত কর্মকর্তার সঙ্গে
1d9a64cd10	a4750	সুপ্ত অবস্থায়
1d9ac53f69	2ee04	অন্যদিকে জয়া
1d9b442d7e	23291	উইথ ইউ
1d9b45f7d8	9351a	সে প্রভেদ পরে বুঝাইব
1d9c5c2e3c	ce180	চৈতালি বলে
1d9c82686c	a916a	অভিনেত্রী: আঁচল আঁখি
1d9ca93e8e	32c77	শিশুতোষ চলচ্চিত্রের জন্য
1d9cfab995	91223	২৩ সেপ্টেম্বর, ১৯০৭
1d9d2b99e5	ec91c	মুক্তিযুদ্ধ শুরু হলে
1d9d95b4f2	d71a3	বুধবার সন্ধ্যা সাড়ে ৬টার দিকে
1d9dcb78c8	93bf3	অভাব না
1d9e0012c7	35ef3	কিন্তু নিজ দেশের সরকার
1d9e17179f	509f6	প্রথম চিনতে পারিনি
1d9ee82638	e7230	ডুমুরিয়া
1d9ef67d25	4486f	লড়াই সংগ্রামের পাশাপাশি জাতিসংঘ
1d9ff41d6b	cd3ac	এমন বাজেট নির্ধারণ করা দরকার
1da08a897b	5d12f	নানী থেকে সু
1da1a2368f	21e54	পার্বত্য এলাকার
1da21224f4	adf01	যে যার ছেলেবন্ধু
1da2475c04	6c6bf	ছবির ভবিষ্যতের জন্য
1da2636b33	880ae	কাম্যবস্তুর সন্ধানে আসিয়াছেন
1da284f0f1	dba43	মজুরী বোর্ড কাজ করছে
1da322787c	e68af	বিরোধী দল
1da344209a	a06a1	টুর্নামেন্টের ১০০ দিন আগে ক্ষণ গণনাও শুরু হয়েছে গত শুক্রবার থেকে।
1da347d2d4	acb88	অল-রাউন্ডার শব্দটির
1da470de2d	274ee	মেহেরপুরে তাৎক্ষণিকভাবে আয়োজিত
1da49c545d	ce629	কী খাবেন
1da4d4faca	2c9c5	হতাশা ঘনিয়ে এসেছে
1da5002fab	2bd99	কিছু জিনিসপত্র জব্দ করেছে পুলিশ
1da5012f06	7a227	বড় পর্দায় আসছেন
1da53f1d56	3d17c	উত্তরের বারান্দায় গিয়ে দাঁড়ালেন
1da5f35d29	3fce2	অনুষ্ঠানের শুরুতে
1da6057b9c	29f8c	রান্না বিষয়ক বিশেষ অনুষ্ঠান
1da60989b3	1652d	টিটকারি দিচ্ছে
1da68792c5	13b70	আমরা সাংবাদিকরাও
1da6a4b080	577fa	হাজার হাজার সদস্য মিলে
1da7b8c59a	943de	পরিচিত আছে
1da8468a3f	cb627	একা অভিমানী এই ক্যাকটাস
1da84bbe8d	c41d8	বুধবার সারাদিনের সহিংসতায় পুলিশের ৪৩ জন সদস্যও নিহত হয়েছে।
1da8697740	06527	পাথরের এই টুকরোটি পাওয়া গেছে
1da8842ca1	8b859	হালিমা
1da8907b31	b52ab	হাসপাতাল থেকে অক্সিজেন
1da8f68e67	717bb	শুভক্ষণ, জন্মাষ্টমী
1da9147b46	11de3	ধর্মেরও নাই
1da9956050	7a227	উর্ধ্বে উঠতে
1da9a6da05	f280a	দুই দেশই একমত
1daa07351e	355c1	বড় আরেকটি কাজ
1daa96053e	c0965	দেখানো হতো
1daad3446b	3bb15	বেশ কিছুদিন
1dab551ddd	7f71c	যেমন স্বৈরাচার চলছে
1dab6bf598	f2780	বরকতসহ অনেকে
1dabb2403c	7df87	জানতে চান
1dabb34c80	2695f	চাকর মনে করিয়াছিলাম
1dabd2be50	616ec	তার মধ্যেই
1dabd5d03e	aabe7	ওয়ান স্টপ ক্রাইসিস সেন্টারে
1dabfb370f	f0f95	বাংলা একাডেমি বিস্তারিত কর্মসূচি গ্রহণ করে
1dac8650c2	e7230	এসময় আহত হন
1dad341fa1	17dcd	এদিকে এই ঘটনায়
1dad40cf44	0a87a	সেই কাজটি করে ফেলেননি বলে
1dad8e07e7	2ac82	আসনটি শূন্য হয়
1dad99c36f	7b60a	এ মতামত দেন
1dad99ede6	ff970	কয়লাখনির শ্রমিকদের
1dade8e5cb	4dd57	হাসপাতালে তার
1dadf4fae6	42898	সম্মেলন পূর্ববর্তী আলোচনা শেষ হয়েছে
1dae39b7df	7b60a	হাড়ের সন্ধান পায়
1dae465ad3	17dcd	নামাজ পড়তে আসার সময়
1dae4f00be	8b859	বিচারকের কম্পিউটার হ্যাক হয়েছে
1dafad81c0	91223	আসামিদের রিমান্ডে নিয়ে
1dafb160ce	80e98	তার বিয়ে হবে
1dafdaf21c	4dd57	শোকের চিহ্ন হিসেবে
1db0f2ecdb	6c17f	মনে আমার
1db10bb3dd	9fa90	ফাতেমা আনোয়ার বলেন
1db1131083	1652d	ভরসা ছিল না
1db124b4d4	23b22	বেশ আগ্রহ নিয়ে
1db130ef26	75936	জ্ঞানগম্যি নেই আদৌ
1db13763a9	7351e	এভাবেই এগিয়ে যায় নাটক
1db144612d	b618b	চুপ করিয়া
1db148546e	b8bdd	পুলিশে দেয়
1db15bd0d7	1de6c	মড়াটাকে দেখিয়া
1db19c0cd4	903fa	কংগ্রেস দল এই প্রতিবেদন
1db1c8d9c8	2695f	দল নিষিদ্ধ করলেই
1db1fce136	29089	মুখর হয়ে উঠলেন
1db276ceb0	ec91c	এমন কিছু সফটওয়্যার নিয়ে
1db2b52163	3fb17	জীবনের সুখ সমৃদ্ধি
1db2d750bc	28dfc	একটা চিঠি নিয়ে এল
1db2f1a437	194f5	মুন্নির স্বামী
1db314b915	dae88	কোন সভ্যতা থেকে
1db31cc979	aa820	১২৪টি যুক্তি তুলে ধরা হয়
1db3c71b4b	976b1	জেন জিও চিয়া ইচিং গ্রন্থেই
1db4794634	b8bdd	গল্প লিখেছেন
1db494ee71	b08d0	অভিনেত্রী হিসেবে সালমানের বিপরীতে
1db4972efe	b9122	কতদিনে কে জানে সরাবে
1db53f3b4a	efc0d	নানা তদবির করে
1db5c85b12	60f77	তাহার আড়ালে
1db628e532	4c555	গত শুক্রবার আনুষ্ঠানিকভাবে
1db64ca8dc	ec91c	বিয়ের দশ দিন পর
1db69e2572	aabe7	যখনই জেনারেটর চলে সব মেয়েদেরই আতঙ্ক লাগে, সবাই ভাবে কাজ করবোনা।
1db7261a09	fcc89	উৎসব হলো
1db78c30f7	5639c	মানে ঠিক রাত বারটার সময়
1db8012048	c958a	জুনো চরিত্রে অভিনয় করে
1db8339d69	6c17f	ধনেপাতা দিয়ে
1db88996d1	3b1f7	আলো যতক্ষণ
1db8e1b143	13b70	দিনের দ্বিতীয় খেলা ছিল ইংল্যান্ড এবং নিউজিল্যান্ডের মধ্যে।
1db8f66297	93bf3	দুটো-তিনটে স্রোতশাখা
1db9014af9	33814	রাতে শহরটা
1dba07143d	71522	একমাস ধরে ভোটগ্রহণ হয়েছে
1dba2aac58	9f25e	তাঁর ব্যক্তিত্বের
1dba2cf791	68ab7	কম্বাইনড সাইকেল হবে
1dba4418fe	086dd	আমি তো আমাকে
1dba4ce63a	282d3	ভণ্ড প্রেমিক গেলো কই
1dba4d3cdb	1652d	তারতো খুশি থাকা উচিত
1dba569723	d0c70	আয়োজক হিসেবে
1dba9e8566	d2faf	টুইটে তসলিমা জানান
1dbad6477d	ce180	পারছেন না ব্যবসায়ীরা
1dbaf2b632	fcc89	যদি না সামনাসামনি
1dbbde31a7	e43d4	বিট প্যাটার্নের মাধ্যমে
1dbbf2b45b	f0f95	ট্যারিফ স্ট্রাকচারের
1dbc2fba29	5d80e	উড়িয়ে দিচ্ছে তার শাড়ি
1dbc61e4a6	5a61c	ভুলও হতে পারে
1dbcebee19	5d12f	টিভি, ফ্রিজ, স্বর্ণালঙ্কার
1dbd1c2f2e	bdfc1	আসলে এই ধারাটা যখন
1dbd7f4437	321b6	জনগণ নিরব প্রতিবাদ
1dbdb0f901	1f974	একপর্যায়ে তারেকের সঙ্গে
1dbdc5f38e	7df87	আটকে রেখে
1dbdfa570b	c3cca	এ কথাও গ্রন্থকার বলিতে অনিচ্ছুক
1dbe610195	d9081	পলিটিকস করতে চায়
1dbe69aa11	2d78f	ক্রেডিট কার্ড লেনদেন করতে দেয়
1dbeb87803	c0965	বহুজনের সঙ্গে
1dbf075447	616ec	মেসির ঝলকে
1dbf9cd6b9	8a46d	জায়গায় জায়গায় ব্যালট পেপার
1dbfb17bc5	b8bf0	সিবোনি, প্রস্তর মানব জাতির
1dc00f27a8	f2097	এই অভিযোগ নিয়ে
1dc05358d5	616ec	প্রায় ১ পয়েন্ট
1dc06d7c2d	2840e	বেপরোয়া ভাব দেখিয়েছে
1dc14b9882	c4973	এখন পর্যন্ত
1dc165b465	92bb2	একটি পিস্তল
1dc18409c4	eecdd	অত্যন্ত আশঙ্কাজনক অবস্থায়
1dc1d47723	6d129	তুমি কি সেই জন যার জন্য কাঁদে মন
1dc2dab6d2	eecdd	রেবেকা সুলতানা
1dc33497c9	0b7ca	পূর্বজ কবিদের মধ্যে
1dc35ec3fc	b08d0	বড় বড় কর্পোরেট প্রতিষ্ঠানে
1dc38a719d	536d9	নিশ্চিত সমাধান দিয়ে
1dc3a44c7b	121bd	সরকার কার্যকর পদক্ষেপ
1dc400df9f	8845d	চৈতালির শ্রেষ্ঠ সময়
1dc40c8c8c	6c6bf	সাজানো হতো ব্যবসা প্রতিষ্ঠানকে
1dc42b7763	05901	এখন সেখানে পর্যাপ্ত পরিমাণে
1dc47c765a	14816	দেশের জনগণের একটি অংশের মধ্যে
1dc4ce36ea	d7a68	একটি করে উইকেট পেয়েছেন
1dc547bd73	6973e	তারা ত জানে না
1dc5a952f9	4a67e	এইখানে কি মাথুর লীলার পরিসমাপ্তি
1dc5b55a89	e6752	পরদেশির শাসনে অত্যাচারিত
1dc5c70ba9	e55de	আয়োজন করা হয়
1dc5d394bf	18460	১৯৭৬ সালের ২৩শে নভেম্বরে
1dc60c5734	c5479	দেশটির মধ্যেকার
1dc63b7d8e	11915	রোববার দ্বিতীয় ইনিংসে
1dc6b133bf	0b7ca	২টি মন্তব্য বাকিটুকু পড়ুন
1dc6d1ebda	0e637	হাড়ে হাড়ে টের পাই
1dc7149e61	47e8d	ঠিক কথাই বলেছি আমি
1dc740f3b7	351dd	তার বাবার নাম ছিল
1dc8a04fae	420df	আমার ইমিডিয়েট সিনিয়র ছিলেন
1dc8ff6725	b08d0	পড়াশোনার জন্য
1dc921fd42	8edea	গোয়েন্দা পুলিশের একটি দল
1dc923dca3	93080	সেগুলো দাও
1dc9ff9ca3	5639c	পাণ্ডব পক্ষে স্থির হইল
1dca01ee35	8b859	বৈবাহিক সম্পর্ক নেই
1dca20a8d1	9d398	আগের সেই উল্লাস নেই
1dca446579	4486f	মোহনের দিকে তাকিয়ে আছেন
1dca65385f	d5213	বাণিজ্য সচিবের সঙ্গে
1dcab59780	43b04	মূল গল্পের
1dcacd5804	c6848	দাবি করেন তিনি
1dcb2ec081	7027a	জানতুম আজ গোলমাল হবে
1dcb7bd642	cd3ac	কঠোর মন্তব্য করেন
1dcbb17ae8	24aed	মামলায় বেলালকে সোমবার দুপুরে
1dcbc5330e	93bf3	ফলে এই জগৎ সংসারের
1dcc2b5d09	b78ec	এ খাতে একদিনের হরতালে
1dcc42c55d	cc18a	ঐতিহাসিক পটভূমি
1dcc501c26	16877	অ্যান্ড্রু জেড ফায়ার
1dccf0f7b0	e00db	সে নিয়ে
1dcd304fc4	1652d	দেখা গেছে ভিন্ন চিত্র
1dcd4688b7	29bab	প্রত্যাহারের প্রস্তাব দিতে পারেন
1dcd639692	c5479	মোহাম্মদ মেজবাহউদ্দিন
1dcd97f3e6	06736	পুরুষের সবচেয়ে বেশি প্রার্থনীয়
1dcde3b4a8	14816	শুরুতে মৌসুমীর সঙ্গে
1dce6a35a0	8c07c	২০০৬ সালের অক্টোবর মাস থেকে
1dce8a8809	7b900	দেখতেই পারেননি
1dcee028ba	323f1	ওই খবরে বলা হয়েছিল
1dd03559da	c9c19	হত্যাকাণ্ড, যৌন দাসত্ব
1dd0b8ecd1	f1ff2	ইউরোপের দ্বিতীয় বৃহত্তম রাষ্ট্র
1dd0e5a3c3	7b900	ফেসবুক ফান
1dd11f2208	e31e7	আখতারুজ্জামান ইলিয়াস ছিলেন পারফেকশনিস্ট
1dd14b59e7	46da4	জাজ মাল্টিমিডিয়া
1dd1f04f80	bc81e	প্রধানমন্ত্রী চাইলে
1dd2242e5a	d1a48	কমপক্ষে ১৫০ থেকে
1dd2464108	f2b7d	উনি বিয়ে-থা করে
1dd25358d3	0696e	তখন সদরঘাটে
1dd290553b	f29bf	সেমি-ফাইনালেও যেতে পারি
1dd2a52b7f	75626	বোমা ফেলতে শুরু করলো।
1dd36297da	860f4	রাতের অন্ধকারে
1dd37161c7	a0277	মৌর্য সম্রাট চন্দ্রগুপ্ত মৌর্যের
1dd3b1f106	e2ba2	ঢোল, কাসর, ঝুনঝুনির বাদ্যের
1dd3f58648	7f2ef	সংশ্লিষ্ট সূত্র জানায়
1dd3f6669a	8143b	ছেলের মৃত্যুর সংবাদে
1dd486a5dd	16cfb	রাতের যে কোন সময়
1dd4fc33ab	d136b	কিন্তু বিদেশে নিয়ে
1dd5381d10	bd576	সরকারি কয়েকটি মন্ত্রণালয়ের সাথে
1dd5b6b512	21e54	ভাল দেখাশোনা করেন মা, সে কারণে
1dd63fc15b	06e62	আকার, প্রকৃতি
1dd6433c29	2ac82	অর্ধেক অংশ খেয়ে ফেলেছে
1dd6e91986	404ee	ভুমিবল আদুল্যদেজের সাথে
1dd6f79d02	b8bf0	উল্লিখিত বিষয়গুলোর কোনোটিই রাজনৈতিক নয়।
1dd71b5077	ec91c	বিরোধ রয়েছে
1dd72e84fd	39293	কিছু হালকা চালের’
1dd82a17ae	3f493	উঠে পড়েছিলেন প্রায়
1dd8495e09	5dd61	সম্প্রতি চীন
1dd8e233b7	c3cb3	বারবার চমক দেওয়ার চেষ্টা
1dda280b4a	28bb3	আলাদা হওয়ার জন্য
1dda8cc1c0	59c73	২৪টি হত্যাকাণ্ডের ঘটনার পর
1ddaa1d2f1	e9fa7	পুলিশ প্রাথমিকভাবে ধারণা করছে
1ddac661d7	0696e	ছাত্রলীগ
1ddb72f574	c1e30	প্রথম পুঁথি সংগ্রহকারী
1ddc26eafd	eaa7a	রপ্তানি উন্নয়ন ব্যুরোর
1ddd537b13	a06a1	পুরুষ যেভাবে চায়
1ddda7982d	520fb	ব্লক প্রশাসনের কর্তারা
1dde106f69	2c9c5	আজিকালি পার্সী মহিলাগণ
1dde269e9b	46da4	দৈনিক বর্তমান
1dde4c4ee8	0d4cb	অনায়াসে করা যায় না
1dde7e0904	9065c	ওদের সঙ্গে
1dde8d948c	1b359	তাদের দাবি ছিল
1ddedeb1bb	0696e	অতীতকে বর্তমান
1ddeed2293	b52ab	ব্রিটেনের উডব্রিজ এলাকায়
1ddf8f597b	4c1eb	প্রাইভেট সেক্রেটারি ছাড়াই
1de02afb6e	903fa	আমাদের প্রিয় এই বাংলায়
1de070d963	880ae	আবিস্কার করেন
1de0a9703d	eb179	সামরিক অঞ্চলের
1de1a1a79b	0d8c1	হামলায় কেউ আহত হননি
1de1cd200c	80518	হাতে পাওয়া পর্যন্ত
1de264e35b	2bc73	ছায়াছবির গান
1de26f1671	491a5	আর পরিণত বয়সে পৌছার আগেই
1de2aab4f1	4164f	তার পরিবার
1de32983f1	a0277	সেই পুরনো জাহাজী বন্ধু
1de3ec0fcd	cfc65	বৃহস্পতিবার সন্ধ্যায়
1de4291a21	1a4a9	ভারতীয়ই ছিলাম
1de437db41	321b6	যদুর বংশ
1de43cb279	9065c	বিনা চিকিৎসায় হাসপাতাল ছাড়তে হয়
1de494ab99	60f77	শালবাগান এলাকায়
1de4e56f35	ac904	প্রশ্নোত্তর-পর্ব
1de4fa8d47	4fbd1	অভিনেতা রঞ্জিত মল্লিক
1de55c8bb0	39293	দুটি সেমি-ফাইনাল
1de57944bb	7898e	তারা গণমাধ্যমের সঙ্গে কথা বলেননি
1de66d6bfd	b8bf0	জীবনকে সহজ করার উপায়
1de6c21dd8	6a35e	১০ তোলা
1de6e1390d	8a46d	কাল পর্যন্ত সকলকে
1de6e325ab	ad98d	কোন ব্যক্তি
1de74ddd45	6c17f	টমেটো
1de7c650de	d2294	ব্রিটিশ জার্নাল অব ক্যান্সার
1de852e1a8	4237e	তার পর ঘুড়ির কাঁপকাঠি
1de878c501	0f047	সেমিফাইনালের এই চারটি দলের শক্তি ও দুর্বলতা নিয়ে শুনবেন বিবিসির সাবেক ক্রীড়া সাংবাদিক মিহির বোসের বিশ্লেষণ।
1de89e89ba	f2097	সাবেক চেয়ারম্যান অ্যাড. লিটন
1de8e444e5	dae88	এমনকি তাকে কেউ
1de97d26be	388c9	লোকটা মুসলমান
1de9bba5aa	acb88	ও স্থানীয় সাংবাদিকরা
1dea4c01bf	d2355	৫৪তম মিনিটে চেলসির একটি প্রচেষ্টা
1dea65ddba	8143b	রাজনীতির ময়দানে
1deac6ae96	e8dde	একই আয়োজন
1deb1dea96	7f2ef	আটকে গেছে
1debfce335	7ec1c	বাঙালির সব অর্জনকে
1ded25d873	f0f95	গান লেখেন
1ded6dba88	eaa7a	বিপ্লবী অনুশীলন দলের
1ded985200	1b359	তার সব কিছু ভুলে
1dee9eaf41	7d133	আন্তর্জাতিকভাবে বেশকিছু পুরস্কার লাভ করেছেন আবদুর রহমান বয়াতি।
1deec8cfcc	c41d8	ভারতীয় বাঙালি লেখক
1def0f764d	cfc65	তা আনোয়ার হোসেন
1deff73eb1	c4973	পেটে গ্যাস
1df031e482	ee994	৩১ জুলাই পর্যন্ত
1df0467aef	cb842	আগামী বুধবার
1df091055b	274ee	শাবনূর বলেন
1df0d070c6	4f450	ফিরে আসেন
1df1726e15	11915	আগামী নির্বাচন হওয়া উচিত
1df18d6a80	06e62	উদ্ধার হলো
1df1bd4cd9	7d133	কয়েকজন ব্লগারের বিরুদ্ধে
1df1cf347e	d711f	কোনো আয়োজন ছিল না
1df2023c02	a9a58	অধ্যাপক শরীফ এনামুল কবির
1df24a286d	ce629	ডুবে থাকতেন
1df2cbef3c	f658d	একটি এলএমজি
1df38a87b0	bc81e	সুইজারল্যান্ডের বিজ্ঞানীরা বলছেন
1df3ba4c83	f29bf	সাক্ষী করা হয়েছে
1df3f22513	32998	প্রায় এক মাস আগে থেকেই
1df45c6f1d	0696e	নির্মাণ করতে হবে
1df47b73fe	86b1b	একটি পিস্তল
1df51fb02d	d9817	এই সংগঠকশ্রেণী থেকেই
1df523a6e6	ca088	যেমন আগের নেয়া ঋণের
1df5421181	d5213	করিতে যুকতি
1df59f3acd	1c618	দ্যা নিউএজর বিশেষ প্রতিনিধি
1df665e893	7ec1c	ধন্যবাদ জানাতেই
1df6ce01d3	3fce2	যুক্তরাজ্য, যুক্তরাষ্ট্র
1df6f92b9f	b618b	অমল সেন
1df76d1fed	0a7a0	মনিটরিং সেলের দায়িত্বে আছেন
1df7794e0d	4a918	কি রকম সম্পর্ক
1df8764207	2396d	জার্মানির বাভারিয়া প্রদেশের
1df87f2dea	d9ba9	বাংলা ভাষার উৎপত্তি
1df8e2cfaf	d0c70	রেললাইনের ব্রীজের নিচে
1df90db011	06527	শুভেচ্ছা বিলোতে নয়
1df95bb8b8	2556b	গরম হইয়া উঠিল
1df97bad41	2d78f	বিখ্যাত উপন্যাস
1df9ab3e46	d1b12	যায়যায়দিন
1df9c6fd82	903fa	সেখানে যদি
1dfa1d8d62	420df	অনুভূত করিয়াছিলেন
1dfa490306	adf01	বৃহস্পতিবার দুপুরের পর থেকে
1dfa4de7c9	95907	পাটের দাম বাড়িয়েছে
1dfac2d57f	93080	সাদা কাপড়ের উপরে
1dfadb369c	b5fdc	প্রশস্ত রাস্তার পাশে
1dfb21ba7b	d2355	লিবিয়াও নিজস্ব বিপ্লবের জন্য
1dfb2cc42d	61820	এই জুটি দিনশেষে
1dfbda5098	0f047	সাভারের ভবনধসের ঘটনা
1dfd123b03	eecdd	সংখ্যাগত বিচারে
1dfd4b09ae	39dd0	দশবিধ শুদ্ধিজনক
1dfdb71acf	5cb47	প্রসেস বা জব হল
1dfdebb34e	c0965	মর্মস্থলে পৌঁছানো
1dfe36f682	16e96	হজম
1dfe50b6e2	c749e	চীনের ঠিক পরেই
1dfe73b978	af81d	ঘাসে বা বাতাসে
1dfee7e8ec	e31e7	আমার কথা ছিল
1dfeece7a9	2d98b	আলিফের সঙ্গে তার
1dff1e005d	903fa	শহরের কেন্দ্রে প্রতি শুক্রবার আয়োজন হচ্ছে ঐতিহ্যবাহী নাচ গানের।
1dff296cdf	0b7ca	নিহতের শাশুড়ি
1dff2f1a51	d8c80	সংবিধানের ব্যাপারে
1dff63522e	cb842	বা তার কম বয়সী
1dffcf24a0	09b32	চাবি
