68004ed144	860f4	মেলায় প্রতিটি
6896c95b6e	c2082	বড় খারাপ
6896cc3a2f	7d3e1	বিতর্ক রয়েছে
6896f622b4	0895a	প্রাচীন গ্রীসে
689790f865	239f7	লেবুর উপকারিতা
6897cff151	1de6c	মৃত্যু: ২৫ এপ্রিল, ১৭৭৪
68982a89fc	ff1c3	তিননদী পরিষদের উদ্যোগে
68982ec538	54e68	বসার সময়
689846b738	85430	তাঁর সঙ্গে
6898749fca	52f27	এই রূপাইয়ের সঙ্গে
689898023f	db735	বনধু
6898f78d08	767ff	তিনি ক্লাবের সঙ্গে
68990176b4	ca831	বিলীন হয়
6899077617	fd880	বাংলাদেশে গাঙচিল কেন্দ্রীয় কমিটির
6899fb2523	7aed9	ছলনা
689a15592e	b2a62	বাসাবো ও মান্ডায়
689a40ff1c	a274b	এক প্রজাতির
689a42f31d	b8ed8	৯ কোটি ১৪ লাখ
689a687a94	c1e30	অনেক বেশি
689a85db23	c7705	পালংশাক ভালো করে ধুয়ে
689ab718b9	49543	গজারিয়া থানার ভারপ্রাপ্ত কর্মকর্তা
689b2c7516	18a52	সেই কর্মসূচি আসবে
689b42e7f1	16e96	ছবিটি এরই মধ্যে
689b65c3d3	bf530	যথেষ্ট শিক্ষা নিয়েছি
689b69c2e4	8632b	তুমি কে
689b96b665	fda1a	ইরানি এই হুমকি থেকে
689b9b3cd9	d9081	সারাবিশ্বে সামগ্রিকভাবে
689befe902	2b883	কাত হয়ে ছিল
689c267931	e3f89	১৩ বারই কোয়ার্টার ফাইনালে ওঠেন
689c57fc05	ad2a0	আরও ৪ খেলোয়াড় আছে
689c6869e4	f0f95	সাজ আহমেদ শাহরিয়ারের
689c752df0	7b132	১৫তম দিন
689ca02310	4f2ae	তিনি ওই মন্ত্রিসভায়
689d12ea78	fd880	আর দেরি করবেন না তিনি
689d194733	69d9a	দাদা,ছবি যেরকমই হোক
689dae0193	6fb36	বিশেষ সেল গঠনের
689dc5b0f9	60b9d	অর্পিতা সিং
689dfe4a20	9f25e	সিটি বা লন্ডনের বাণিজ্যিক এলাকা এখন সম্প্রসারিত হচ্ছে টাওয়ার হ্যামলেটসের দিকে।
689e0c07a8	16877	৮৮ দশমিক ৬৩ শতাংশ
689e5d0a63	3bb15	বের হওয়ার পর
689ebb6a06	ad69a	গত ফেব্রুয়ারি মাসে
689f1ba852	ad050	জঙ্গীরা এর পর
689f9b3f1c	d5213	অদ্বৈত মতানুসারে
68a012dae0	4bd2c	আবারো ভূমিকম্পে কেঁপে উঠেছে
68a06c3bdb	adf01	শীর্ষে ছিলেন মতিয়া
68a09c8aa3	29bab	তাঁর সমালোচনামূলক বক্তব্যকে ঘিরে
68a10011ad	e00db	বাংলাদেশে সোনার গয়নার দোকান রয়েছে ১১-১২ হাজার এবং এসব দোকান থেকে প্রতিদিন সোনার কেনাবেচা হয় প্রায় ২৫ কোটি টাকার মত।
68a175882f	24f73	কেউ যেন আমাকে
68a333fbdb	d0c70	সোমবার ভোরে একটি ট্রেনের
68a3b0f151	c5dc8	নজরে আসার পর
68a44a63fc	809cd	কারণগুলির প্রভাবের
68a5bcf8d8	24f73	খুড়াতুতো ভায়ের ঘোরতর ব্যামোহ হয়
68a5c08d4b	4f2ae	কোন ঘনবসতিপূর্ণ এলাকায় পড়লে
68a5cc6a83	3bb15	সেই কারণে আমরা মনে করি
68a5cce31b	e6752	নিহত কবিদুলইসলাম
68a6926f7e	a699c	বিসিবির মুখপাত্র
68a6987a67	7e191	এসব দেশের তরফে
68a69b0015	fcc89	মধুপুর
68a7e32781	ea5be	ভারত সেমিফাইনালে
68a8065195	1b359	গুঞ্জন উঠেছিল
68a83cdc02	2c9c5	কিছু দেখবার নেই
68a8dc435a	7f71c	পথে বিপদে পড়ার
68a8e0825b	80505	আয়োজন করেছিলেন নানা উৎসবের
68a8eecb96	29bab	তিন দিনের দিন
68a93163b9	d7a68	চূড়ান্ত পর্বের খেলাগুলো
68a93c129c	2ac82	এক বন্ধু ছিলেন
68a94951ed	7297e	পুলিশের কাছে ধরা দিয়ে
68a979c390	f837a	এটা মোটেই সুখবর নয়
68a9b232cc	69d9a	আরেকটা কথা বলব
68aaa4aebd	a916a	এক সময় পুরো রমনা
68aadec623	56508	গতকল্যের কিছু নেই বাকি
68aaff187e	9f25e	মদে চুর হয়েছিলাম
68abb84d76	16e96	৩৫ মিনিট বেক করুন
68abd08605	239f7	দেশগুলোর প্রধান প্রতিযোগিতা
68abd66bfc	a43b5	ক্যামেরার সামনে স্বাভাবিক থাকা
68abe7c5c9	195f7	তবে কোচ না থাকার চেয়েও
68ac21c54b	38ff0	খোলাপাড়া গ্রামে
68ac45eee8	1c618	গৃহবধু
68ac819f91	d2355	আমার ভাই
68adaf9ecb	4c555	দুর্ঘটনার সময়
68adce6a7c	f6e55	রাতে কয়েকজন
68ae03296e	903fa	তাঁদের পক্ষে সম্ভব হয়নি
68ae5b4583	e6752	তাঁর গোরা শেষ পর্যন্ত
68ae988ff9	0a7a0	বা সেনাবাহিনী
68af1419a1	5639c	অ্যাডিলি পেঙ্গুইন
68af21357c	d1a48	যাতে পাকস্থলির ভেতরে
68af2b05bf	dafb6	বেগম নিলুফার জাফর উল্লাহ
68af627618	ad050	বাঘের ভক্ষণে
68afbc1487	16877	বাউল গীতি
68afce8fa4	fcc89	কৃপাভাবে ভেট লয়ে
68b04a625f	ee852	নুরুল আমিন অস্ত্র আটকের সময়ে
68b0ee7c8c	06736	দেহ-মন হুঁশিয়ার হয়ে থাকত
68b122a05c	0696e	গাড়িতে চড়ে
68b15d99a3	9c8dd	আলপনা আঁকা হবে
68b168270f	2f547	সরকারের নির্বাচনী প্রতিশ্রুতি
68b1ab1e80	16cfb	সেই বনের ভিতর দিয়ে যাচ্ছে
68b1c9968c	56508	যদি কোন তথ্যাদি
68b1d9afa3	98b81	আমরা গর্বিত
68b213931e	d136b	তৃতীয়ত হজরত মুহম্মদ নিজে
68b31eb009	54e68	ব্যর্থ হয়েছে স্বাগতিকেরা
68b36d8d37	5b13f	শত শত রাউন্ড ফাঁকা গুলি
68b38d99f0	8c120	বন্ধুর চক্রান্ত হতে
68b3cef1ba	91dff	তারই অংশ হিসেবে
68b3d4bdf9	fcefa	অস্ত্র মামলায় ৩১ জন
68b43c8acb	bdd05	শাহজাহান-পুত্র
68b43cf845	cfc65	শিক্ষার্থীরা ক্ষুব্ধ হয়ে
68b44ab88b	dae88	দ্বিতীয় বিশ্বযুদ্ধের
68b476dee6	88654	জিলাপি
68b59a80ac	256f5	ঠিক সময়েই নেবেন শচীন
68b5e7f75d	e55de	কেবল বীরদেরই ঠাঁই হয়েছে
68b61e7565	0895a	একটি ওয়ানস্যুটার বন্দুক
68b694aa07	ec91c	একজন শ্রেষ্ঠ শিল্পী ছিলেন
68b69f4df1	28dfc	রাজনীতির আরো খবর
68b6c59dd1	1a4a9	সংযুক্ত আরব আমিরাত
68b6d4aada	e2c11	তিন কন্যা, বিধবা পিসি
68b748bebd	46d49	লাশ উদ্ধারের পর
68b75d3b6c	b78ec	৪৭ জন পরীক্ষার্থীর মধ্যে
68b764b1bf	f83df	ওই গ্রামটি
68b7bf5e84	4e900	দলটির নীতি নির্ধারকদের কাছে
68b7d09d51	f2097	গবাদি পশু পালন করেন
68b7e63960	e68af	সেখান থেকে কয়েকটা বাড়ি
68b84e9451	860f4	বন্ধুত্বের মধ্যে সীমাবদ্ধ নেই
68b97075e9	eb179	তিনি বছর দুয়েক আগে
68b9d45377	7b60a	অনুষ্ঠান চলে
68ba0c3d45	1279e	সমস্যা না থাকলে
68ba48de5f	4a67e	সভাপতিত্ব করেন বাংলা একাডেমির সভাপতি
68ba49aefd	730c3	মো. রাশেদুল ইসলাম জানান
68ba7afd3d	57d54	স্থূলতার যোগাযোগের
68babb2652	69d9a	শীর্ষে থাকা দক্ষিণ আফ্রিকাকে
68bb2b6b3f	cf82a	এসব প্রকাশের
68bb614d9c	75f18	এই মন্ত্রিসভা
68bb8114e3	14816	এদের মধ্যে যারা গভীর অরণ্যে বাস করে
68bbf8c840	c3cb3	আর কোন যান
68bc0f662d	509f6	দেখলাম মাথা ঘুরিয়ে ঘুরিয়ে
68bcb71e07	80be1	সঙ্গে ছিল জাহিদ
68bdad5d37	442b7	যে কুয়োর বেড়া
68bdb4fe9e	8143b	বেলা প্রায় তিনটে নাগাদ
68bddc8e4a	71522	ওর দিকে চলে আসছে
68bde831af	72649	হতাশার বিষয় হচ্ছে
68bdf25db0	e00db	আবার অর্থনীতিকে
68bdf38a14	14816	গৌরকিশোর ঘোষের
68be0e6644	0d4cb	প্রধান সেনাপতি ছিলেন
68be28494a	33aef	দিনাজপুর কোতোয়ালি থানায়
68be96c192	c7a89	যা দেখছি আসলে তা নয়
68beca7694	f29bf	এদিন ঢাকা বিশ্ববিদ্যালয়ে
68bf260b32	01e91	কাকি
68bf4e975e	16877	জন্ম ১১ মার্চ, ১৯৮৫
68bfafcfb2	f6e55	গড়ে আয়তন কত
68c0acfc58	18a52	সংবাদমাধ্যমে
68c1837aaa	f1ff2	মায়ানমারের ইয়াংগুনে
68c198af89	c41d8	হওয়ার কথা থাকলে
68c1c6aa9a	f658d	তৈরি করতে হলে
68c1c6cb02	47e8d	এই কথা কয়টি শুনে
68c1cb7737	9d46f	একটি পাঞ্জাবি
68c1e232b9	ea5be	অস্তিত্ববাদ তখন
68c2389891	cc9fd	ফুরকান মিডিয়া
68c238e738	ff970	ছেলেটা মেধাবী
68c29561a8	37d7e	হেলাল হাফিজ
68c43080b2	54cdd	অর্থনৈতিক এবং আইনগত দিকগুলো
68c4f72733	4fc91	স্থানীয়দের অনেকে মনে করেন
68c5606777	f600a	সাধে কি আর হিন্দুস্থানে
68c5f2d1f8	f2097	মূল নাচের চর্চা শুরু
68c64e0a5b	c2082	ঘুরে বেড়াচ্ছেন বিভিন্ন জায়গায়
68c665f210	d1a48	সাময়িক বরখাস্ত করেছে
68c69659c5	acb88	বাংলাদেশে প্রবেশ করেছে
68c6c00d2d	32b3e	রহস্যময় পৃথিবী
68c7119781	4c1eb	এদেশের দর্শকরাও
68c7496056	e3d8b	শেষ দিকে শাকিব আল হাসানের ২৩ বলে ৩৭ রানের ইনিংসটি নেপালের ম্যাচে ফিরে আসার সম্ভাবনা একেবারেই মুছে দেয়।
68c749ff4a	ff1c3	যাত্রীরা জানিয়েছেন
68c775e5ed	239f7	ক্যামেরার অনন্য ব্যবহার
68c80b8bfb	2909b	তিনি বিদেশের ঠাকুরদিগের প্রতি
68c8132115	64092	ইতালি বিশ্বকাপের কথাও
68c830c407	c3cca	করা হয়ে থাকে
68c855b52e	37e17	অষ্টম বোর্ডে তা পাঁচটি শ্রেণিতে ভাগ করার কথা বলা হয়েছে।
68c960d5fa	cb842	অবৈধ নিয়োগের প্রজ্ঞাপন
68c987fa21	92bb2	একটির পর একটি
68c991b661	24aed	স্থানীয় সময়
68ca3afedf	7a227	বিস্মিত হতে থাকেন
68ca9d28f9	2ad74	এলাকাভিত্তিক এদের
68cac69661	2909b	হাজির হতে হয়
68cb5e6d23	64092	বিচার বিভাগকে
68cbba10cc	7027a	সেই পারিবারিক ধর্মমত
68cc0247af	32c77	নাম মেহের তারার
68cd054226	52f27	ইঙ্গিত করে
68cdf24e8c	4bd2c	একটি বড় আর অন্যটি ছোট
68cdf346c1	491a5	তারা সকলে
68ce836c10	91dff	তাই আজ
68ce9ee2a9	2556b	গতকাল শনিবার তারা পদত্যাগ পত্র জমা দিতে গিয়েছিলেন।
68cef36b13	cb1aa	দেশের দক্ষিণাঞ্চলের ২১টি জেলার
68d033497b	7027a	আজ সে
68d053a8a7	1652d	অতুলচন্দ্র গুপ্ত
68d0740491	e6752	ঢাকার পরিবহন ব্যবস্থার
68d0a18091	46d49	সতেজ দেখালেও
68d0b62f41	16877	এরাবিয়ান মেয়ে
68d0cfb73d	442b7	শারীরিক অসুস্থতায় ভুগছেন
68d0f72b35	3bea8	বাংলায় লেখা আছে
68d1203418	a9a58	কেমন আছ বলাটুকুও নেই
68d1565643	4237e	পঁচে যেতে বসেছে
68d16fd334	25696	রাশিয়া সবসময় বদ্ধপরিকর
68d1982bb4	7b900	বাংলাদেশের খবরের কাগজ
68d19c21bb	e6752	তার পুরো নাম
68d1c1889e	cb627	এই হলো লিপির
68d1e798ba	086dd	ভারত চায় বাংলাদেশে স্থিতিশীলতা
68d1eb1202	75626	গ্রন্থনা ও উপস্থাপনায়
68d24c259c	590d0	প্রতিযোগিতামূলক পরীক্ষা আয়োজনের মাধ্যমে
68d291b440	6da0a	একটা লম্বা খাতা রাখিয়া
68d29c78ea	903fa	শ্রমিকদের নিরাপত্তা ব্যবস্থা
68d305a1a7	b8ed8	নিম্নতম মজুরির সিদ্ধান্ত
68d316af00	2f547	দেখা
68d31d1ad6	8b859	আমাদিগের মুখ্য উদ্দেশ্য
68d3474a58	42898	প্রথম পাঁচ মাসে
68d34cb4b1	c7705	সব চেয়ে বেশি চায়
68d3a15219	2fc12	ব্যবস্থা নিন
68d3d8bd69	88654	সারকুলার রোড
68d472a3e9	2909b	দেশের মালিক বলেও
68d4bb0374	880ae	জমির হিসাব
68d5177265	03284	একটি বিশেষ দিক থেকে
68d5a1f90e	93080	শক্ত হাতে ধরা
68d5b17011	bf530	এমভি রাজীব
68d5b6eda5	745b7	তেমনি এর আইনগত দিকটিও
68d6738c81	acb88	দুর্ঘটনা এড়াতে
68d6be1ebb	4dd57	তবে একইসাথে সেনাপ্রধানের কণ্ঠে
68d6d2a911	da6f0	নন্দন কান্তি ধর জানান
68d780e6ce	7297e	গবেষণায় নতুনমাত্রা
68d78fad1f	39293	তুমি চাইলে বৃষ্টি মেঘও ছিল রাজী
68d79d1bc1	1e7c7	গোলমাল হিসেবে
68d7bcf4c9	7f71c	মহান মহান
68d7d5a84d	18a52	নামকরা শিল্পী
68d85962d1	4bd2c	২২ সেপ্টেম্বরের মধ্যে
68d886e546	5639c	ভালোভাবে চুল
68d9250ce2	69d9a	দু’দিন ঘোর তৃষ্ণায়
68d9480b9f	11de3	হায়দ্রাবাদে উল্লাস করতে দেখা গেছে
68d97d8822	83c53	যারা কোলে-কাঁখে, ঘাড়ে
68d9a68bbe	09b32	আট আসামির মধ্যে
68da04af3e	e03fc	সংসদে অনুমোদিত হলেই
68daaee237	d2d71	বললে চলে
68dae7af4e	39293	আবাসিক হোটেলের ঠিকানা
68db3dda64	d9817	তখন তো নির্ঘাত সারা দেশে
68db40a564	80e98	ভাল আছেন
68db4cbc06	f1240	বানর
68dc24b5c0	5dec6	অ্যানথ্রাক্স মানুষের শরীরেও
68dc2d8daf	46d49	শুরু হল
68dc67b76c	66c6b	ক্ষমতাসীন সরকার এটিকে
68dc83a91b	65652	রেখে যান
68dd1a5175	880ae	তা নেই
68dde19ccc	31f2a	গুরুত্বপূর্ণ ভূমিকা রাখেন
68ddf04079	75626	মোট ২১ লাখ
68de010ff9	323f1	দলের একজন নেতার
68de3ec821	c41d8	আবু সালেহকে স্থায়ীভাবে
68dfa575d8	a06a1	প্রশ্ন তুলতেই পারে
68dffa9885	e8dde	নীরব এ বনটি
68e09e7d1b	4a918	মন্টুসহ ছয় জন অগ্নিদগ্ধ হন
68e0a2af5f	3d17c	স্বামীর অ্যাকাউন্ট থেকে
68e12c2de8	4237e	অরুণাচল প্রদেশের
68e13b14d8	c0965	বিকল্প ছাপাখানা থেকে প্রকাশের ক্ষেত্রে
68e1680af9	d71a3	আমি প্রতিবাদ করিয়া বলিলাম
68e18bd80e	351dd	নামক টীকাভাষ্য
68e2a50d7d	8845d	ডলার অর্থ সাহায্য
68e2fbb9aa	e6e48	পাশাপাশি কিছু টেলিভিশন
68e336aa23	c7705	বেড়াতে গিয়ে নিখোঁজ হয়েছেন
68e3d90ad5	f4ba7	লাদেন নিহত হওয়ার
68e3f6a1ad	f143a	আটক মাদকের মধ্যে
68e406db99	68549	এরূপ বিবেচনা করিয়া যাত্রীরা
68e42ad4ce	ff1c3	প্রতিবাদ জানিয়ে আসছে
68e462c586	ff0fe	সাক্ষাতকার নিয়েছেন
68e46da054	ad69a	কবিতার পথে হাঁটবেন তিনি
68e5155bdf	c5dc8	এসব গানের বিষয় নিয়ে
68e5394753	616ec	বছরে বছরে অনেক বদলেছে
68e564decc	0edef	গাজীপুর মেডিকেল কলেজের অধ্যক্ষ
68e5ccfe06	0606d	নাসির হোসেনের বলে
68e5db7195	388c9	বিভিন্ন শিল্পকর্ম বিক্রি শুরু হয়েছে
68e5dcb827	2ee04	গজল হতে পারে
68e6377295	ec91c	হীরক রাজার দেশে
68e694bd05	acb88	তাছাড়া এক ঋতুর ফসল
68e69a6e9f	6fb36	কত আশা ছিল
68e6cb5fc7	089ef	মূলত মেরুদণ্ডকে বোঝায়
68e75c12f3	e6752	রবীন্দ্রনাথের উপন্যাসের বিমলা
68e75cd93d	4fbd1	উচ্চ আদালত তাতে
68e768e3e6	f29bf	আপনারা কী ভাবছেন
68e7b39741	33814	আবিস্কারের ঘোষণা আসার পর পরীক্ষামূলকভাবে আমেরিকার ১৮ লক্ষ শিশুকে এই টীকা দেওয়া হয়।
68e822c3c8	7f71c	শর্টকাট ভাইরাস রিমুভ
68e85f9d44	3bea8	বেচে ফিরেছি তাই
68e8737a2f	404ee	পরে পরিস্থিতি বিবেচনা করে
68e8c0b116	ad69a	কিছুটা ঠাণ্ডা বাতাসের
68ea028431	14816	শুরুর দিন রেখেছেন তিনি
68ea633c9c	880ae	অ্যানথ্রাক্স একটি বিষম রোগ
68ead83db8	0f047	সুরাপায়ী বলদেবের এই কথাগুলি
68eb265014	717bb	খুনের যে
68eb496cca	c173f	নারী সর্বত্র একপায়ে খাড়া
68ebb56f93	80e98	তিনি ইউক্রেনকে
68ebc15fbf	01e91	ঠিকই স্মরণ করিয়ে দেবে
68ebcec28b	bc81e	অ্যামিটার একটি যন্ত্র
68ec1eed04	46da4	তেমনি মিঠাই
68ec53af60	25117	যদি তোর ডাক শুনে কেউ না আসে তবে একলা চলরে
68ecfade1c	7297e	একটি স্টিমারে চড়ে
68ed09b246	1652d	অভিনেত্রী রুহী
68ed4910b6	86b1b	সেহরির খাবার পাঠানো হয়েছিল
68ed90d65a	12702	তা না হলে এমন পরিবেশ
68edd010ab	0d8c1	সবাই চেনেন
68ede4c29f	ee852	বিশালভাবে স্ফীত হয়ে
68edec34ea	8ba2b	এখনো এদেশের বেশিরভাগ মানুষের
68edf36709	f2097	২৫ বছর না হওয়া পর্যন্ত
68ee149bf3	4f450	রক্ত পানি করে
68ee722fb8	7027a	গবেষণামূলক ত্রৈমাসিক
68ef4c714c	2ee04	ইউরোপে স্থায়ী হওয়ার আশা করছিল
68efd70ce1	0bace	তিনি মন্তব্য করেন
68f05d337d	d71a3	মাথাওয়ালা মানুষের শরীরওয়ালা
68f06bcb07	11915	ভেঙে ভেঙে উচ্চারণ করে
68f08850cc	2ecf8	পরে সমস্যায় পড়তে হবে না
68f08f5dc9	2556b	তখন ইন্দোনেশিয়ার
68f0b29432	cc9fd	মায়ের নাম হামিদা আক্তার
68f0c59485	698a4	তার বিয়ে হয়
68f0e149a3	4c555	বিশেষত বাঙালি সমাজে
68f1157cac	b8ed8	নজর ঘোরালেন
68f1746768	d2294	টেবিলের দুই প্রান্তের
68f2077f9f	bfac7	আগামী বাজেটে উন্নয়ন খাতে
68f2259ebf	6b437	নীল
68f238047f	65e30	দামুড়হুদা উপজেলার মুন্সীপুর
68f29b9fa8	8845d	পরে মেজবাকে
68f2a5141c	e68af	আন্তর্জাতিক সীমান্ত পিলার নিকট
68f2b609ea	eecdd	আর কোথাও
68f317931e	1279e	কাহারও আপত্তি হইতে পারে না
68f438d651	eb179	একমত পোষণ করেন
68f472229a	92f59	সেগুলো বাস্তবায়নের
68f4e15482	16e96	আজ বুধবার ১৬ই অক্টোবর ২০১৩
68f50434fd	698a4	টের পেয়ে
68f59bdfb8	b8ed8	চালনা করেনি
68f5d105b3	43199	সংস্কৃতি সম্পর্কে এ-ধরনের ধারণা
68f63228b4	c2082	আন্তর্জাতিক মাতৃভাষা দিবসকে সামনে রেখে বাংলাদেশের রাজধানী ঢাকায় প্রতি বছরের ফেব্রুয়ারি মাসজুড়ে চলে অমর একুশে বইমেলা।
68f6682bb3	93bf3	যখনই জেনারেটর চলে
68f683e7c1	da6f0	রাতের মধ্যে উন্নতি না হলে
68f6c99c47	4fc91	তারা আবেদন জানাবে
68f6eb4d44	0b7ca	বিবিসি বাংলার পরিক্রমা অনুষ্ঠানে
68f6ffe3b5	2aecc	বিদ্যুৎ কেন্দ্রের
68f7130a76	d136b	এ তুমি কেমন তুমি
68f72f6afc	ec91c	স্বাধীনতার আগুন-তাতা
68f79cf4eb	8c120	ওই ঘটনায় মারা যান মোট সাতজন কর্মী যারা সবাই নারী।
68f8071b4f	2bd99	হঠাৎ বিস্ফোরণ ঘটে
68f8a35cb6	b618b	পাহাড়ের কারণে কি
68f9094038	6ab59	তাঁকে দেখতে হাসপাতালে যান
68f91345f8	e2c11	ও দুটোকে তাড়িয়ে দিক
68f933dd37	ff1c3	বদিউল আলম মজুমদারকে
68f9993017	903fa	মসজিদটির উদ্বোধন করা হয়
68fa2cff1b	616ec	অন্ধকার জয়ের প্রতীক
68fa336219	01e91	মাস্টারদার নেতৃত্বে
68faafaf84	a9a58	আমরা অতীত থেকে
68fb14b0a2	745b7	ভারতই প্রথম
68fb56749a	92f59	ফাঁকা গুলি ছুড়লে
68fbb7dd99	5d80e	৩৫৯ জন পরীক্ষার্থীর মধ্যে
68fbfc53c7	2695f	রোদের অভাবে
68fc657e15	778c0	স্নোবোর্ডিঙের ব্যবস্থা আছে
68fcc3ed2a	2bc73	রোদ পোহাতে পোহাতে
68fd0098ff	f29bf	ওদের গাল দেন তবে
68fd1513fe	e6203	পাকিস্তান হবার পর
68fd81ddac	9d7bf	ববি হাজ্জাজ
68fdc78392	e2ba2	বা ভাইবোনের
68fde5a586	39293	অভিনয়ের ব্যাপারে
68fe050087	53396	এ সময়ের মধ্যে
68fea0ddf5	fb4cb	উইকিপিডিয়া
68fea102f3	287bd	কোন বিকল্প নেই
68fee29574	509f6	প্রতিবছর পারসন অব দ্য ইয়ার
68ff07625e	39293	র‍্যাডিসন হোটেলে গিয়েছিলেন
68ff660755	e6e48	অর্থবিজ্ঞান ভাষাতে
68ffb147ab	0edef	তার ছবি তোলে
