c6000ea95b	e8dde	মুসলিম হিসেবে
c681fc92dc	4f2ae	শহরে বিপুলসংখ্যক
c6820d54c6	acb88	গ্রহণ করতে পারবেন
c68218bb42	4164f	বাণিজ্য ও বিনিয়োগের
c6822e5e1d	f600a	প্রকাশন বিভাগের কার্যক্রম শুরু হয়
c682e163cb	6a35e	পরীক্ষা করে দেখে মনে হল
c6831865c3	37e17	আহমেদ আলম হোসেনের ছেলে
c6835f3362	0a87a	মন্ত্রণালয়ের কর্মকর্তারা উপস্থিত ছিলেন
c6859ea4fc	7b60a	বিরহের এস এম এস
c685d391d3	3d17c	এক ধরনের হতাশা
c6863aee6b	e2ff7	গফরগাঁওএ গ্রামের বাড়িতে
c687024243	a9a58	সব ধরনের সরঞ্জামে পরিপূর্ণ
c68759be33	92f59	ছিলো আকুপাংচার
c687ef56e8	adf01	সার্জারির উদ্দেশ্যে সীমাকে
c687f21577	3bb15	সুফি
c688041b9b	a699c	১৯২৭ সালে ভারতের
c68839cb10	72649	প্রমত্ততা ও বলিষ্ঠতা
c688fd3083	ee7b2	হযরত শাহজালাল
c688fe9f65	32c77	ওমান
c6896896ef	5dec6	বেশি নজর দিচ্ছে
c6899e1f66	5dd61	সিইএ’র দেয়া সেই ভুল
c689b8a417	730c3	কি হবে
c68a4d3976	6aac8	গুলি করতে ভুলে গেল
c68a725ff2	9e923	সুবর্ণর পরিবারে
c68a752bc8	590d0	ভারতে চিকিৎসার জন্যে
c68aed154a	e8dde	এই খাল
c68b0e06f6	903fa	তবে বেসরকারি খাতের
c68bcc6c5a	948d3	মূলত পাঁচটি রিং
c68c286bf3	efc0d	স্বরাষ্ট্র মন্ত্রণালয় সম্পর্কিত
c68c7f4e0f	c2082	তৃতীয় উইকেটে ৪৯ বলে
c68ccf4980	46da4	বিদ্যুৎ বিল বকেয়া আছে
c68d05f6c1	60f77	এসবের ফাঁকে ফাঁকে
c68d12a2f2	6ab59	টিভিতে দেখা
c68d2674e4	13b6a	১৩ বাংলাদেশির মৃত্যু হয়
c68d7480d9	11bd2	অর্থনীতিতে দেখা যায় না
c68db73820	0a87a	সমগ্র বাংলা
c68e4a73be	52578	খবর দিলে পুলিশ গিয়ে
c68e9b9951	fd880	অতিপ্রাকৃত গল্প ‘ক্ষুধিত পাষাণ’ অবলম্বনে
c68efabc40	4c555	একটি পুরষ্কার বিতরণী অনুষ্ঠান
c690561bc2	13b6a	পিকচার
c690ce128b	ef915	ভালবাসা মানে কি
c690d86859	6ee5f	কিছুটা স্থূলকায় মনে হয়েছে ঐশ্বরিয়াকে
c69187e4db	c3cca	কাজ থেকে দূরে
c69247d29c	2fc12	মানুষ স্বতঃস্ফূর্ত ভাবে
c693956f57	52f27	ত্রাণ কাজে নিয়োজিত
c693f953c5	82926	হালসা কলেজের
c694106d75	91b16	পাতায় পাতায়
c694874163	92f59	কেমোথেরাপি, টিকা
c6951826d9	a43b5	শহরের কোনো নর্দমাতে
c6958828c4	01e91	জনসংখ্যা বৃদ্ধির হার
c69590bb7e	a43b5	সঙ্গত কারণে
c695b9dc98	db181	এই হল ড্যান্ডি
c695f95af3	ec91c	শিরোপা জেতে
c696968b54	2bd99	তারপর শোবার ঘরে চলে যাবে
c696adfd1e	ab946	শেষ পর্যন্ত আবির্ভাব হলো
c696e3c42b	e43d4	টিনের বাড়ি
c69707787b	3d17c	ভারতের হাইকমিশনার
c6972c49ec	554fe	মিশে না যায়
c6976398b5	ee852	রেল গাড়ি
c69770b617	fda1a	পরিচালিত এক নার্সারি স্কুলের
c6977f85b2	f2b7d	সমিতির প্রধান হয়েছিলেন
c6979ee7ec	c463d	রাধার অন্তরের দেবতা
c698acaa3a	809cd	নববর্ষের শুভেচ্ছা
c699291854	c0965	উল্লিখিত চার দলের মধ্যে
c69964e0b2	3fae0	আশ্চর্যজনকভাবে লীলা নয়
c699671971	698a4	অল্প কয়েকজন
c699c09d6e	d2faf	আপ
c699d01086	66b3c	মজার প্রশ্ন
c699e77e3d	6c6bf	কুরুক্ষেত্রের যুদ্ধে পৌণ্ড্রেরা
c69a333c80	7898e	জ্বালানি খরচ
c69ab5e6a5	9642e	জাতীয় পার্টির চেয়ারম্যানের পদ থেকে
c69ad237a4	f29bf	ইট-কাঠ-পাথর
c69b15277f	75626	অশ্লীল হাঁ ক’রে
c69b710369	717bb	সন্তানদের মধ্যে মামলা-মোকদ্দমা হয়
c69c1a6e3a	5a61c	বেশি উচ্চতায় শরীর থেকে
c69ce963d9	d7a68	তাৎক্ষনিকভাবে রেলওয়ে কর্তৃপক্ষ
c69ceddbe3	06ea3	নুডুলস রান্নার রেসিপি
c69d012666	14d25	শুক্রবার সন্ধ্যা ৭ টা ৪০ মিনিটে
c69d1bb3dd	cfc65	বুধবার দুপুরে দুর্নীতি দমন কমিশন
c69d2655e5	767ff	অনুমতি দেওয়া হয়েছে
c69dbab339	d82d9	তুমি এই প্রদর্শনী
c69e0ea96b	6fb36	সিনেমা পর্দায়
c69ebb8d11	7f2ef	শ্রীকৃষ্ণ তাহাতে দুঃখিত হইয়া
c69f2f01a6	b9122	কোনও মেয়ে-লেখক
c69f3b8ae9	388c9	এতে কেউ হতাহত না হলেও
c69f68602c	92f59	আমাদের যেসব পণ্য ভারতে যায়
c69f9dece5	d1b12	পেটে গ্যাস
c69fb82b62	da6f0	সতীশকে না বলিয়া
c69fea0a0a	10a9f	ক্রমান্বয়ে বেড়েই চলেছে
c6a02bc043	e8dde	তুলতে গিয়ে
c6a02d3363	69449	শব্দ নাই
c6a04e81f9	72649	হিসাব
c6a04f3d98	b8ed8	কার্যকরী করার জন্য
c6a0bf1621	12702	মালাউন
c6a0d15018	d2355	কিন্তু যে কোনো কাজ
c6a1429e01	06527	তাদের চোখগুলো জ্বলছে
c6a1860440	8edea	দুর্যোধনের তুল্য নহে
c6a245576c	dfefa	তাকে গ্রেফতার করে
c6a29719b4	2c9c5	ফোরাম
c6a2ad9cb2	29bab	মতো মাঝারি মাপের
c6a2ce6d77	cf82a	সপ্তদশে ইন্দ্র, বরুণ
c6a2ee2777	860f4	এরা ব্যাংকের এটিএম বুথগুলো
c6a3bc0433	c5dc8	কবিতা না-হয়ে
c6a3c36deb	6aac8	তার সঙ্গে কথা বলতে পারে
c6a3d300fe	3bea8	বাংলাদেশ নৌ বাহিনীর পক্ষে
c6a3f147c8	767ff	ঘর-বাড়ি, জিনিস-পত্র
c6a4201711	16cfb	তারাবি নামাজ পড়ি
c6a42fe3bf	e3f89	সকলের অংশগ্রহণের ভিত্তিতে
c6a4d72b45	f7a7f	বাসর রাত
c6a4de1c6b	4ea73	ট্রাইবুনালে হাজির করা হয়েছিল
c6a4e5321f	a1201	বৃহস্পতিবার পুলিশ তিন ব্যক্তিকে
c6a5574e6a	932bb	১৯৭০ খ্রিস্টাব্দ থেকে
c6a5a41317	bc81e	মনোহরণ করে
c6a5eb2d10	d3e06	কর্ণফুলী থানার তৎকালীন ওসি
c6a6b5b41d	2d98b	ট্রেড ইউনিয়নের দৌরাত্ম্য কমাতে
c6a6da2fef	153c9	নিখোঁজ বিমানটির
c6a6f7bad7	66c6b	আমি তাহাকে আশ্বস্ত করিয়া
c6a7d2d2aa	6e6fa	এবং একই সাথে বেশী
c6a819fdf0	6c17f	আমাদের সামনে
c6a88d0998	32998	এ পার্কে বেড়াতে আসা
c6a8bb463b	14d25	কাঠ জড়ো করে
c6a8beae1a	57d54	চৈতালি চায়নি
c6a8d9a0c6	56508	টুংটাং টুংটাং ক’রে বাজছে
c6a8f3e608	4f450	না চাইতেই মেলে
c6a91d7be1	e6d83	খুলনা
c6a92ced60	54cdd	সন্ন্যাসীকে সব কথা বলে
c6aa475503	9d7bf	রাজনৈতিক সমাবেশ
c6aae4b6dc	ee4ad	গণভবনের এ বৈঠক
c6ab0c8a6d	bd576	এখন পর্যন্ত রুমির পক্ষ থেকে
c6ac17b75d	e68af	মালয়েশিয়ান এয়ারলাইন্সের ফ্লাইটটি
c6ac21a41f	3c897	ও তার এক সহযোগী
c6ac279401	f1ea4	এরপর এই ইস্যূতে
c6acbcf03a	c463d	সাইফ আলী খান
c6acd3a27e	06527	আর কী সব বস্তাপচা কাহিনি
c6ad019cee	2c9c5	জয়নাল আবেদীন এ তথ্যের
c6ad088aaa	ee994	অন্য দিকে রুদ্রপ্রয়াগে
c6ad08f39a	cb627	রুশ বিচ্ছিন্নতাবাদী বলেই
c6ad0ab7de	ef4f8	স্পিকার ড. শিরীন শারমিন চৌধুরী
c6ad284205	9b864	এক উৎকট পিতৃতন্ত্র
c6ad76febf	a1201	যে অন্তত একটা জাহাজভরা গম
c6ad994ef5	3ec4d	আমাদের জন্যে
c6adbd70f2	d7a68	এ জন্য যে
c6ae31c256	73629	নির্ভরতা কমিয়ে আনতে হবে
c6ae4735dd	9c8dd	বোমাবাজি করছে
c6ae517866	6aac8	বিকেল ৪টায়
c6ae68e60f	778c0	সেই একই জিনিস
c6aeb2fa98	52f27	থামানো যাবে না
c6af527be5	72649	ক্যাথরিন মাসুদ হয়ে যায়
c6af7159bd	d5213	মোবারক
c6afbc9490	b8ed8	গভীর সমুদ্রবন্দর স্থাপনের
c6afe549fd	9642e	বেল
c6b008c500	ad69a	কিশোরী বয়সে
c6b018963e	0d9f1	যুক্তরাষ্ট্র প্রবাসী তানজিম আহমেদ সোহেল তাজ সম্প্রতি গণমাধ্যমে দেয়া বিভিন্ন সাক্ষাতকারে তাঁর পদত্যাগপত্র গৃহীত না হওয়ায় ক্ষোভও প্রকাশ করেছেন।
c6b05a0f53	86b1b	যারা স্বাধীনতার মৌল ইতিহাস
c6b0e6baf2	49d63	শিশু গৃহহীন হয়েছে
c6b10bac98	a274b	হোজ্জা তাদেরই দেশের লোক
c6b1f1d21f	49543	ইচ্ছা হইতে লাগিল
c6b28e9a04	8a46d	নানা রচয়িতা নানা দিকে
c6b29855e3	a699c	নিজ বাড়িতে এ পাখির খামার
c6b2f2100c	a1201	ওয়ানডে ও টি-টোয়েন্টি ম্যাচ
c6b3246e68	8a46d	একমাত্র ধর্ম ছাড়া
c6b408a112	3f493	অভিনীত একটি
c6b417b8f0	14d25	চলচ্চিত্রের জন্য গাওয়া
c6b48cd207	2ecf8	থাকতে দেখা যায়
c6b49548d7	13b6a	যেমন সাগর, আসা, চাষ, ইত্যাদি
c6b4d29f9b	5dec6	হঠাৎ বায়ুরোগাক্রান্ত হওয়ার কথাও
c6b5645753	c173f	অংশ নিয়েছিল কি না
c6b5726124	0a87a	কাজ শুরু করেছে
c6b5897362	2f547	ভরা মৌসুমেও তারা
c6b5be1450	c7705	হে অতীত তুমি ভুবনে ভুবনে
c6b5fbb126	2b883	পা ফেলা নিষেধ
c6b60a1f1c	c9c19	কপালে রাঙ্গের বর্ণের চাঁদ
c6b6470faa	09b32	দুইগ্রামের বাসিন্দারা দেশিয় অস্ত্র নিয়ে
c6b671a1ed	e2f12	সবজি চাষ
c6b6e590e2	98b81	নিউটন পেলেন
c6b71daab6	25696	প্রাইমারি ১ ডিগ্রি
c6b76a3fcb	c3cca	দূর থেকে ভেসে আসা
c6b78ab3ce	e00db	আমাকে জড়িয়ে যে রটনা
c6b7acf859	f143a	বাংলাদেশে উপজেলা নির্বাচনের
c6b7d2445f	e03fc	অবশ্য এর দ্রুততম
c6b8118886	73629	জিয়াউর রহমান
c6b824b3e4	1279e	এবং একই সঙ্গে মুসলমান
c6b97a4bac	fb4cb	নূর হোসেনের বাড়িতে
c6b97cac75	f143a	সংক্ষিপ্ত উত্তর লিখতে হয়
c6b98a0aa3	d82d9	৪১২ মেগাওয়াট ক্ষমতাসম্পন্ন
c6b9af846a	7297e	কোথায় তলিয়ে থাকে
c6b9bc15cd	31f09	প্রতিফলন ঘটেছে
c6ba115e4c	c8f7f	অভিযোগ রয়েছে
c6ba84ef00	25696	অর্ডার করতে
c6bab3da01	d9ba9	ইস্তাম্বুলে তোমরা
c6bac433f5	28dfc	এখনো চিনতে পারছেন না
c6bb24b18c	f1ea4	তাই রেঞ্চটা ফেরত দিতে চায়
c6bb879f52	35ef3	আমরা সবিতাকে
c6bb8d744e	e7230	আরাম-আয়েশের ছবি দিলে
c6bb9f5131	76329	সঙ্গে থাকা টাকা ছিনিয়ে নিয়ে
c6bbba0afd	321b6	ভারী অস্ত্রের নির্বিচার আঘাতে
c6bbef8ed8	7e1d5	ভারতীয় জনতা পার্টি
c6bc06e935	7b103	২০০৭ সালের ১৫ মে
c6bc1de039	3faff	ওয়েস্ট ইন্ডিজের বিরুদ্ধে জিতেছে
c6bcb07a96	03284	আইলা
c6bcc442c8	82926	আহাদ আলী সরকার
c6bd1c4f24	520fb	প্রেক্ষাপটে নির্মিত হয়েছে
c6bd24eb08	d5213	আমার মায়া হয়
c6bdd272c5	f837a	নিজেদের সামর্থ্য অনুসারে
c6beb01183	e3f89	সম্প্রতি তারা একটি এনজিও অর্থাৎ বেসরকারি দাতব্য সংস্থা হিসাবে নিবন্ধন করেছে।
c6bf410a0b	25117	এক হাজার৬৪৫ পয়েন্ট হয়েছে
c6bf7f0e00	38ff0	তখন কিন্তু সঙ্গে
c6c056d5ee	e6d83	সরকার প্রধানরা
c6c09c0ac6	58998	দর্শকের চোখে উপভোগ্য
c6c0a19c77	7ed14	বৈঠক শুরু হয়
c6c0d694ad	5cb47	কেন্দ্রে এক ঘণ্টা
c6c1328377	8c120	মাঠে নামতে যাচ্ছেন তারা
c6c1b69cff	2d98b	ধারণাই ছিল না
c6c1f10082	0f047	আহত ট্রাক চালক
c6c204fa84	0a87a	আমাকে একটা বন্দুক কি রিভলবার
c6c231e16d	274ee	বনিবনা হচ্ছিলো না
c6c2590b36	31f09	অবচেতন মন
c6c2892b1a	d2faf	আপনারা দুজন
c6c2c888c1	11bd2	পরে পুলিশি বেস্টনীতে তাকে
c6c31e2989	eb179	বর্তমানে ছয়টি কক্ষ নিয়ে
c6c357964f	e6752	তৃতীয় কক্ষে স্থান পেয়েছে
c6c3816eb5	03284	সফল উৎক্ষেপণ
c6c3e3400c	80505	কর্মসূচি শেষ হবে
c6c40c16a4	745b7	কমিটির সভাপতি হয়েছেন
c6c4332608	bfac7	ইসলামি গজল
c6c4d8012a	43fc0	বাণিজ্যিক ব্যাংকগুলোকে ধন্যবাদ জানান
c6c4d97495	dfefa	গুরুত্বপূর্ণ শর্ত
c6c5998928	420df	উপহার
c6c5c6ceb8	967fd	স্কুল থেকে ঝরে
c6c689a238	4fc91	বিয়ের সময়
c6c750e399	b00ba	আবুলের একটু আগে চলে যাওয়া
c6c85ccecb	adf01	পরে ১৮০৮ সালে
c6c8731729	6b437	আজকের ভ্যালেন্টাইন ডে’র
c6c8fd724f	f2b7d	প্রশ্ন বিষয়ে
c6c9144dc2	d3e06	ডাব
c6c98b0407	49543	দ্বিপাক্ষিক চুক্তি করার ক্ষেত্রে
c6c9a5dd83	b8bdd	নিম্নকক্ষ লোকসভার
c6c9c94b56	92bb2	বিশাল মাপের একটি
c6c9f3004e	29bab	ওয়ান-ইলেভেনের সময়
c6ca0ec499	315e9	সাড়া দেয় না
c6cac9fa12	d2d71	মুসলমানদের ব্রিটিশ শাসকদের কাছ থেকে
c6cb126038	7aed9	একটি রাষ্ট্রদ্রোহের মামলা
c6cb5e45d1	4fd66	রেল কোম্পানী থেকে
c6cb6d335a	28bb3	কৃমি
c6cbc53406	1a4a9	অধিকারের হিসেব অনুযায়ী
c6cbd7c19c	23b22	রোড আইল্যান্ড রাজ্যে
c6cc2d33c2	7c272	মানবাধিকার সংগঠন
c6cc3ab102	a1d4a	ফুটে উঠল
c6ccbe9b95	9d7bf	ষষ্ঠ শ্রেণীর শিক্ষার্থী
c6ccef2531	121bd	আরো তদন্তের আহবান জানিয়েছেন
c6cde67fc1	f2b7d	সারাদিন না খেয়ে অফিস করা
c6ce10e0c5	11915	যুদ্ধশিক্ষা দিবার জন্য
c6ce7343a4	1e7c6	এমন একটা প্রতিযোগিতা ছিল
c6ce9285ab	7a227	ছবি তোলার জন্য
c6ceb80f36	b618b	ফেরদৌসী রহমান তুলে ধরেছেন
c6ced35355	1e7c7	মাপজোকের অংক
c6cedd0b75	37e17	রহস্যের শেষ নেই
c6cf0d8c9a	cc18a	পারস্পরিক সম্পর্ক
c6cf1184e4	b2a62	তাদের মৃতদেহ পাওয়া যাচ্ছে
c6cf814f37	59c73	বাংলাদেশের প্রথম
c6d03e9714	3ccf1	রান্নাবান্না
c6d0d6e569	f658d	রুশ শাসনাধীন ক্রিমিয়ায়
c6d0f19c27	e7230	হাকিম ভাণ্ডারিকে গ্রেপ্তারের পর
c6d154a2b1	b8bba	আকার বা ক্রম
c6d17aba8d	2d78f	ডিজিটাল বাংলাদেশ
c6d1c729bd	91230	রাজার মনে সুখ নাই
c6d25bdee1	fda1a	এই সুবিধা পাচ্ছেনও না
c6d323def5	a274b	তুলে ধরে
c6d38bce4e	f280a	টাকার প্রয়োজন
c6d40b7ada	b7be9	মালয়েশীয় কর্তৃপক্ষ বলেছে
c6d410fe9f	fbb81	চণ্ডীদাসের সুর পাওয়া গেল
c6d437fa8c	c6848	মুখের ভাষা থেকে
c6d4a0c011	a4750	১৯৮৬-র জুলাই মাসে
c6d4ddde1f	778c0	আমি নাকি এক্কেবারে
c6d562b8ae	0d8c1	ওই হামলায় নিহতদের মধ্যে ১৩ জন বিদেশী।
c6d618c189	1de6c	ট্যাকলোবান অন্যতম
c6d618df97	32c77	দেশে থেকে যাওয়া উপজাতিরা
c6d6505595	d1b12	বোয়িং ৭৭৭ বিমানটি
c6d65c6303	274ee	যথাক্রমে ঘন কালো এবং বেগুনী
c6d69b13ea	8a46d	দুধ পান করানোর কারণে
c6d7f38efc	ab946	তৌকির আহমেদ-বিপাশা হায়াত
c6d8982795	86b1b	শোধরানোর প্রচেষ্টাই
c6d8a16b1a	69d9a	চুলকে চুলকে কারো কারো মাথায়
c6d907080b	d9081	মুখপাত্র হিসেবে
c6d9a13a9f	39293	বাস্তবায়নের জন্যই
c6d9cf85e4	c173f	মামলা হয়েছে ৯৫ সালে
c6d9d230e0	e9fa7	বেশ কয়েক বার
c6da778f36	2bc73	খুব ক’রে
c6dafa1ade	91223	বাঙালি মেতে উঠবে
c6db374ff9	f0f95	অন্য পুরুষেরা আজকাল
c6dba4172f	32998	এখানে গাবতলীর উদ্দেশ্যে
c6dbb949a7	dfefa	আশংকাজনক বলে পুলিশ জানায়
c6dbfc9ad9	93bf3	পঞ্চম দিনের মতো
c6dc1071bd	d9817	বাংলা হাসির কৌতুক
c6dc3f5979	0606d	মূর্খগুলোর হাতে
c6dcbd5a18	e50f1	মৌলিক কাব্যগ্রন্থ মুখোশ
c6dcd3f1ea	b9b98	সম্প্রসারিত হচ্ছে
c6dcf56e8f	16cfb	যুবরাজ মাত্র ৩৮ বলে
c6dcf7e73b	7a227	তিনি খুব একটা
c6dd1a01b8	089ef	সমন্বিত এক চক্রকে গোয়েন্দারা
c6dd20021f	3fb17	পরিচয় দিয়ে বলত
c6ddc4cea1	80e98	চানু ভাবল-বিদেশে গিয়ে
c6de22754f	98b81	বরং এটা এমন এক আদর্শ
c6de29f46b	ba2f6	ভয়ংকর ভূতের গল্প
c6dece4b50	2ad74	যা কিছু বঙ্গসংস্কৃতির
c6deeb19fd	0f047	কতটা প্রাসঙ্গিক
c6df8abeec	d136b	৫ শতাংশ কর
c6df8e23af	e03ce	ঘুম থেকে জাগিয়ে
c6df92b2d5	9351a	রাজনৈতিক প্রভাব খাটিয়ে
c6dfa43f78	3bb15	এত লুটপাট আর বিশৃঙ্খলার মধ্যেও
c6e0265725	256f5	সমীর বিশ্বাস
c6e0451ad5	c5479	পৌঁছে যান দালানে
c6e1971bea	8a46d	তার তিনগুণ মানুষ
c6e2506e9c	f2097	ভোটার সংখ্যা ১৬৩২
c6e267e59b	1b359	নানা ডিজাইনের থ্রিপিস, ফ্রক
c6e26a51a2	9d46f	সোনাখাড়া ইউনিয়নের ধলজান এলাকায়
c6e3701f67	bd576	কলকাতার ওয়েস্ট বেঙ্গলের
c6e394a1a7	11915	চাপানো যাবে না
c6e3aa36c3	0a7a0	আজকে আবার জীবন আমার
c6e3aabd42	9351a	সঙ্গী পায়নি অনেকদিন
c6e3d6bd67	46d49	লোকের সংখ্যা হাতে গোনা
c6e3dad545	29089	পথের এই ভয়ানক অবস্থা
c6e3ed87b0	baa02	দুই গোলার্ধ থেকে
c6e42183b7	60b9d	আকাশের হাতে আছে একরাশ নীল
c6e45745ce	086dd	এবং সম্মান
c6e4a9d219	14816	কেঁপে উঠল বিহারের বুদ্ধগয়া
c6e52b5871	17ca1	বিয়ের প্রস্তাব নিয়ে
c6e53a2136	7b900	জয়ের ধারায় ফেরে
c6e5cf5612	6aac8	ব্যবস্থা করার জন্য
c6e5d0fd00	35ef3	৬২ বছর
c6e5f3fb40	1652d	স্প্যানিশরা যদি গুলিও চালায়
c6e6cdfded	75f18	স্বীকৃতি থাকলেও
c6e71b47d1	5dd61	উৎকট এই দৃশ্য
c6e74f1db8	4fc91	উপন্যাসে তথ্যগত ভুল
c6e7ed997c	ad2a0	প্রতিশ্রুতিতে নয়
c6e8021c3d	0e637	তার হাতেই নির্ধারিত হবে
c6e86dd286	5d80e	মঞ্চ তৈরি, পোস্টার, মাইকিং
c6e8d479ef	1f974	আট জন
c6e8e35c58	ac904	নদীতে জমে যাওয়া পানি
c6e9828b02	ca088	বাংলাদেশের প্রধানমন্ত্রী
c6e9d6b597	c3cca	বিসিএস প্রস্তুতি
c6e9ffd06b	ac0df	যা নেই ভারতে নাটকের
c6ea063528	71522	পাকিস্তানি দোসরদের বিপক্ষে
c6ea46de04	bbb22	খাদ্য নিরাপত্তা আইন
c6ea5f8e39	d5f7b	যদি বিচ্ছিন্নভাবে
c6ea688d17	3fb17	কলকাতায় দেখা হলো
c6ea6dc722	37d7e	এটিএম বুথ পরিচালনার কাজে
c6ea84ba8a	274ee	অনাস্থা প্রকাশ করা হয়েছিল
c6ea8c1dd1	14d25	তাকে নিয়ে সংবাদপত্র, টেলিভিশন
c6eaedae8f	388c9	মৃত্যুদণ্ড দেয়
c6eaf0393e	420df	মারিয়া বেলেন রোদরিগুয়েজ
c6eb6f0cca	39293	দুপুরে পল্টন থানায় এসে
c6eba38914	6dff5	১০৩ বলে
c6ecaf96e9	2fc12	অর্থনৈতিক, রাজনৈতিক শক্তিসমূহের
c6ecf94620	4fbd1	মন ততোধিক জড়
c6eded7f56	f0f95	লাভ ম্যারেজ কোর্ট ম্যারেজ
c6ee168d3a	3f875	চলতি বছরের ৮ জানুযারি
c6ef5fe85a	80e98	এই গোলাবর্ষণে
c6efaaa505	2bc73	হলিক্রস কলেজ
c6efaf6a94	3c897	এগুলো অপরাধ এবং
c6f056ad50	3fc9d	দুজনের মধ্যে কেউ একজন বলেছে
c6f0b2813f	7a227	একটি রঙ অন্যটির সঙ্গে
c6f124b2d1	f837a	এই অসভ্যদের আচার-ব্যবহার থেকে
c6f1b52810	0a7a0	যে দেশের নাগরিক
c6f2141519	dafb6	অনেকেই হয়ত জানতেন না
c6f2958900	5d12f	এখন পর্যন্ত যা আদায় হয়েছে
c6f2b068ed	3fae0	অটোমেটিক রাইফেলে
c6f2ce210c	58998	অমানুষ
c6f4bec279	5639c	এত ভয়, এত লজ্জা
c6f4c6baee	7027a	কতজন নেতা
c6f51b0e35	9351a	আরেক জীবন
c6f52311c9	b00ba	এমন হল যে
c6f54402a2	93080	ওরা হাডুডু খেলে
c6f5eda0d6	efc0d	ট্যাক্সি ড্রাইভার হিসেবে
c6f629370c	f2097	উত্তরাধিকার পাবার যোগ্য
c6f639846a	35ef3	কোথায় যাচ্ছিল কে জানে
c6f6cac974	af81d	এখন পর্যন্ত মেলায়
c6f72c4605	4a918	হাজির হয়েছে
c6f7b6bc6e	14d25	কোনও মতে বসানো যায়
c6f92a5d62	976b1	সত্য ঘটনার সাথে
c6f9812d97	37e17	নির্ধারণ করার কথা
c6fa20e53b	e2ba2	অনেক পুরুষ-চিত্রপরিচালকের
c6fa2198a1	0633a	কেতাবের কথা ভোলেন নি
c6fb142692	f2b7d	সাবধানতার সঙ্গেই
c6fc328c7b	e8dde	এবং আত্মসম্মানবোধ থাকলে
c6fcaf9b52	68549	খুলনার সাতক্ষীরায়
c6fccd4de3	f2780	সাড়ে ৫৮ মাইল দক্ষিণে
c6fd21cc6c	e6752	তারা কাফের
c6fd2dab73	25117	সবাই ব্যস্ত হয়ে যাবে
c6fd8ff110	1279e	সর্বমোট ১৩ হাজার
c6fd9b2dd4	6d129	বেশ হাড্ডাহাড্ডি লড়াই
c6fd9eb7d9	b9122	বাংলাদেশে রেমিটেন্স প্রবাহ
c6fdd37fb7	9b864	কাজে গতিশীলতা আসবে
c6fdddb464	31f2a	নদী তো দূরের কথা
c6fe6d1bcc	f1ea4	আরেকটি লাশ
c6feb03bf2	fdcba	নীম পাতা
c6ff0d838b	4e900	ট্রাইব্যুনাল হাজির হয়ে
c6ff46d0d6	194f5	বাংলাদেশে রাষ্ট্রপতি নির্বাচিত হন সংসদ সদস্যদের ভোটে।
c6ffed685b	cf82a	শরীফুল ইসলাম
