6d00002162	6a35e	তুমি এলে ত্রাতা হয়ে
6d7c2b6591	a7c6f	সার্বিয়ার টানজ পর্বতমালার নাকি যাদুকরি ক্ষমতা আছে এই ধ্বংসযজ্ঞ থেকে মানুষকে রক্ষার।
6d7cd92bb4	d1b12	যাদের অনেকে
6d7d02eb44	3d17c	প্রাণের সাধনা
6d7d1fe63e	a9a58	বর্তমান বাংলা
6d7d4ba475	6da0a	জানায় অক্সফোর্ড অভিধান
6d7d902726	9d46f	বোকা
6d7dc09d99	6da0a	জনসমাগমের মূল আকর্ষণ
6d7dc622f0	4bede	তিনি ঐতিহাসিক রাজা
6d7dccb789	5a61c	নবকুমার কলের পুত্তলীর ন্যায়
6d7dd9b7c7	194f5	মতলব
6d7e947db1	9642e	কম খেতাম, কম ঘুমাতাম
6d7ec0f60e	a3a6d	তার অপ্রাপ্তবয়স্ক মেয়েকে
6d7ef6c6cc	9d46f	বেশিরভাগ অফিসেই গরম মোকাবেলার জন্য প্রস্তুতি থাকলেও শীতের জন্য কোন ব্যবস্থা নেই।
6d7f001783	8845d	ওনার বংশ
6d7f29e711	f2780	নায়ক জিত
6d7f50e557	54cdd	নামাজ সম্পর্কে
6d7f59abcb	cf82a	অন্য প্রতিযোগীদের সঙ্গে
6d7f64488e	0744c	বাংলা সাহিত্য পত্রিকা
6d7f8e305b	ad98d	বদলে সাগরে মাছ শিকারের
6d80334a39	153c9	চিএ ছবি
6d80d25d7d	21e54	দরাদরি করে
6d80f9b9fd	d82d9	কারখানা দুটি
6d81056492	ef4f8	হিমালয়
6d82037cc5	35ef3	কারণ নেই
6d822785d0	13b6a	শিক্ষার্থীদের
6d82eca385	06736	টপলাইনে স্থান পেয়েছিল
6d832ca431	239f7	ওই দুই সংবাদকর্মী
6d833e7490	eecdd	দেখি আমার বউ
6d836ef1f2	b8bba	নিজের মাকে
6d83a3dea3	e3f89	ভুল শব্দটার বানান ভুল হয়েছে
6d83cd1dc7	323f1	করিতে লাগিলেন
6d8461270d	f280a	বাতিল হইছিল
6d84754f89	37e17	মারা যাওয়ার
6d847bee4c	6e6fa	ঢাকা পঙ্গু হাসপাতালে
6d859bd280	91b16	থাকতে পারি
6d85abbcd0	b8bdd	পাল্টা ব্যবস্থা নেয়া হবে
6d85c0ef5f	4dd57	কে-বা দেবে জল
6d87118b0e	1c618	এই গানে
6d872b05c9	491a5	এখনো বিশ্বে বহু মানুষ
6d8754ef85	52f27	এবছর শুকনো মৌসুমে
6d875b5f23	4237e	শুধুই স্মৃতি
6d8806126f	9fa90	গভীর, বিশাল অনুপ্রেরণা
6d88c55804	6d129	আত্মীয়স্বজনের শরীরের নমুনাও
6d88e83ba5	0e637	বাংলাদেশে সাগরতীরে
6d89002d9e	6e6fa	হারিয়ে যেতে পারে
6d8967aa3a	9092b	সার্বিক মান যাচাইয়ের
6d89897287	4f450	সাধারণত ফরমালিন দেওয়া
6d89e5f0a0	dafb6	মাত্র সাড়ে আট বর্গকিলোমিটার
6d8a00a4ee	7e191	সেই শরীর সুন্দর নয়
6d8a05943b	39293	চার পাতা
6d8a087d7e	5a61c	বিভিন্ন বিশ্ববিদ্যালয় ও কলেজ
6d8a787fa7	5639c	অবরোধে বিপর্যস্ত দেশের অর্থনীতি
6d8aba69ff	f1ea4	এই নতুন অবস্থান
6d8b728c40	4bd2c	জাতীয় চারুকলা কেন্দ্রে
6d8bef9ec1	8cf95	কেন এতদিন তিনি
6d8ca5eae5	13b6a	রুশ সেনাবাহিনীকে
6d8cc61e87	59c73	আর নিরাপত্তার কথা ভেবে
6d8cebdd16	acb88	কিন্তু সীমানা নির্ধারণী কমিশন
6d8d213216	c11b1	বিচ্ছিরি রকমের রেইনি
6d8d32f166	07660	তাঁর সঙ্গীতের শুরু
6d8db93bd6	ee4ad	সরকারকে ঘায়েল করার মন্ত্রে
6d8ddae5bc	0633a	উত্তর দেওয়া দূরে থাকুক
6d8de6eaef	28dfc	প্রধান উপাসনালয়
6d8ea95ee7	430b2	দু'জন নিহত হয়েছে
6d8f637063	6973e	সিন্ধুর নিকটে
6d8f69151b	6c17f	এটলেটিকোর তারকা দিয়েগো কস্তা
6d90004874	2695f	৪ টি বিভাগ রয়েছে
6d9034c0e3	e9589	সুইট ম্যানুফ্যাকচারার্স অ্যাসোসিয়েশনের সাধারণ সম্পাদক
6d90adaf01	870e3	সারারাত ফুল ফুটে
6d90ec3577	e2f12	কতটা যেতে পেরেছেন
6d9153a4a7	e9fa7	পরবর্তী পদক্ষেপ গ্রহণ করা হবে
6d92c5f93e	8845d	কথা হয়েছে
6d9332a4a1	bc81e	বিবিসির অনুসন্ধানে উঠে এসেছে
6d935d1b92	554fe	শত শত কোটি বছরের
6d9377e1d3	3f493	ভেবে দেখ
6d9408242c	e03fc	একটি কিন্ডারগার্টেন স্কুলে
6d94e1d3d6	5b13f	৩০ বছর ধরে
6d95081402	860f4	দেশের জন্য ক্রিকেট খেলি
6d9526311b	d3e06	টাকা শেষ অবদি আল্লাহ দেননি
6d953aec2e	4bd2c	মুখটা আস্তে এ রকম করে
6d9570fa7e	83c53	হিন্দি আউটলুক সাপ্তাহিক
6d95ae815d	d82d9	এ কথা বলে
6d95deca13	6ab59	তরুণদের এই কার্যক্রমের
6d96b4df44	f1240	তার ক্যান্সারের চিকিৎসার জন্য
6d971c0701	92bb2	একলা মানুষ
6d97304ba2	e8dde	বিলের সমর্থনে ভোট দিয়েছে
6d97678e2c	388c9	তা তো নয়
6d9773378e	6973e	সেটার ব্যাপারে ভাবতাম
6d978bc97e	1c618	স্বাস্থ্যের কারণে
6d97e1729f	e6e48	পরিস্থিতির মধ্যে নিয়ে গেছে
6d97e6df5b	153c9	আরো বেশ
6d97f4c9de	76329	বাড়িঘরেও ইটপাটকেল নিক্ষেপ করে
6d97ffd86e	6b437	সংশ্লিষ্ট মন্ত্রণালয় ও বিভাগ গুলো
6d982acbc8	430b2	সেই সঙ্গে রয়ং
6d985e53cc	b8ed8	তুমি একটু জিজ্ঞেস করলেই
6d98a39e9d	b2a62	দুই পাত্রে ঢেলে দিন
6d990e09a1	a43b5	আমরা পাল্টা যুক্তিদিয়ে বলেছিলাম
6d991ef8b9	c2082	তাদের বাসা দেওয়া হবে
6d9923e53e	4c1eb	একইসঙ্গে শিল্পে ব্যবহৃত যন্ত্রপাতি
6d994bca3d	5d12f	ব্যারিস্টার মাহবুবুর রহমান বলেন
6d9962d470	44322	বাংলাদেশের অধিকাংশ মৃত্তিকা
6d9a7be389	4fc91	এদিকে বুধবার
6d9b0f0592	c3cb3	ঘটনার সময় উপস্থিত ছিলেন
6d9b24a8e2	f2097	দাবি তুলেছিলেন খালেদা বেগম
6d9c21d4ee	1c618	অশ্বত্থামা ধরা পড়িয়া
6d9c2d0498	b78ec	বক্ররেখা বেষ্টিত
6d9c39b412	d71a3	তাতে তার জামিনের
6d9c677413	a8710	সঞ্চয়ের জন্য উপার্জ্জন করিবেন
6d9c7834a2	976b1	জন্ম লাভ করে আলেকজান্ডার
6d9cea2a74	f1240	অস্বীকার করেছেন
6d9cfd6dc3	d2355	নির্বাচকদের বিবেচনায় ছিল
6d9e16c2df	8c120	রোনাল্ডো একজন পূর্ণাঙ্গ ফুটবলার
6d9ea697a5	7f2ef	প্যানেলের সার্বিক ভারসাম্য
6d9f1cbb43	06527	এক টুকরো চামড়া
6da082079f	c6848	তুলনা দিয়েছিলেন
6da08dda50	351dd	প্রথম আলো সংবাদ পত্র
6da0a7789e	33814	সবাই বললো
6da11493a7	cb842	২০১২ সালের ২০ সেপ্টেম্বর
6da119cb4b	37e17	চকোলেট উপহারের
6da164058b	e2c11	বুক দিয়া ভোগ করিয়া নিয়া
6da1bfa52c	4c555	তিন দিন ধরে
6da2a2ceca	2bd99	তবে, রাজনৈতিক উদ্দেশ্যে
6da2d8e5f9	6fb36	নূর হোসেন শামীম হত্যা
6da2e398fc	2fc12	আমি একটি ছেলে সন্তানের পাশাপাশি
6da37ebf60	a06a1	গল্প জানিতে পারিল
6da3901f74	5dec6	হালদা নদীতে
6da3dfabde	0606d	অর্থাৎ ৬০ বছর ধরে
6da414b375	86b1b	এই কয়লা আমদানির জন্য
6da43003d0	8845d	খালাস দিয়েছেন বিচারক
6da4316bc1	e03ce	আরএস সফটওয়্যার
6da55dc55b	2ecf8	ওইভাবে করা হয়েছে
6da58ddb77	6ab59	ওয়াই-ফাই রাউটার থাকবে
6da64af3a9	eb179	অনুসন্ধান-প্রচেষ্টা উল্লেখযোগ্য
6da6d735f3	37e17	ওই স্বীকারোক্তিমূলক জবানবন্দি
6da6e49ff2	13b6a	জটলার একেবারে কেন্দ্রে
6da72d793e	2840e	লাঠি নিয়ে আসে না
6da7d7c74a	06ea3	নটরডেম ইউনিভার্সিটি
6da7f30eff	f7a7f	আফ্রিকার বিভিন্ন দেশে
6da81acde3	83c53	চট্টগ্রাম বিশ্ববিদ্যালয়ে
6da8378650	7ec1c	দেওয়ার অনুরোধ জানানোর সময়
6da8bcfda2	16877	লন্ডনের সিটি ইউনিভার্সিটির
6da903718d	91230	ক্যালেন্ডারটি নানা কারণে
6da95722cf	7b900	আমদানি করে থাকে
6da95e0c5e	6e8cb	কর্মক্ষেত্র
6daa1b76e1	cb1aa	এই সফর নিয়ে
6daaeb1f62	37d7e	তা হলে
6dab5790bd	491a5	কুলা
6dab6265c3	860f4	রেলের সিনিয়র সাব অ্যাসিস্ট্যান্ট
6dab83809f	730c3	গতবছরের ডিসেম্বর থেকে চলছে সংঘাত
6daba7e8bc	2fc12	প্রতিটি ভোট কেন্দ্রে পুলিশ মোতায়েন করা হয়।
6dabb91130	c2082	প্রায় বারোটা
6dac666990	82926	পুলিশ ফায়ার করে
6daca7696a	15a75	মনির ও পথচারী সূর্য্য মারা যান
6daca7b63e	5d80e	স্থানীয় একটি হোটেলের কর্মী
6dad7255c6	e754e	কী যেন হিজিবিজি লিখছ
6dada30be5	38ff0	পাঁচটি হলুদ কার্ড পাওয়ায়
6dadb0d496	7c272	সরকারি প্রতিষ্ঠানগুলো খোলা থাকলেও
6dae47cd4d	21e54	প্রায় ৩৫০ মিলিয়ন
6daee89b98	a1201	আধুনিক সমাজে
6daef4799f	66c6b	পড়াশোনায় মন আছে
6daefd9f62	92bb2	বর্ষা তোমার জন্য
6daf9104ca	5d12f	চলচ্চিত্র খাতের সংস্কার
6dafdcdaaa	eecdd	ফিরিয়ে আনতেই নাকি
6db00459fe	52f27	উদয় হয় না দিনমণি
6db156d002	c1e30	সর্বশেষ প্রশ্নকারী ছিলেন
6db15b5efe	ee4ad	তাৎক্ষণিক প্রতিক্রিয়ায়
6db17064e6	af81d	সত্তা বা মনকে
6db1cd3e0e	e6752	সশস্ত্র আন্দোলন করছে
6db238a2ee	71522	এই বলে
6db2e31194	7b900	পড়িনু অগাধ জলে
6db3256caa	1e7c6	আরও পাঁচজন প্রার্থী ছিলেন
6db33bbd1f	d2faf	দাড়ি
6db35f2397	3f875	দেশ হিসেবে
6db3ec29fb	c4973	ঢাকার বিভিন্ন স্থানে সেনা সদস্যদের টহল দিতে দেখা গেছে।
6db42bfe34	09b32	৪০ বছরের
6db44cb18a	73629	জসীমউদ্দীনের প্রবন্ধসমূহ
6db4ab8033	13b70	সে দিয়েছে
6db4e33b5e	b618b	সবাই ভাবল
6db57d4151	509f6	সমর্পিত হয় সারাজীবনই!
6db58f0fc0	1e7c7	তার অধিকাংশই বিচ্ছিন্নভাবে পাওয়া যায়
6db5971fb8	5dd61	স্নাইপারস্কোপ থাকলেও
6db68e6310	282d3	পাত্রে তলানী পড়বে
6db6a99eda	93080	আন্তজার্তিক প্রতিষ্ঠানগুলোর কাছে
6db6c518ee	25696	প্রতিযোগিতার ফাইনালে
6db856703c	903fa	বিয়ে করা কোনো অপরাধ না
6db8777ada	323f1	পারদের মত ঝলমলে
6db94a3133	d41be	সশস্ত্র বাহিনী, বিজিবি, কোস্টগার্ড
6db98ff6a9	3f493	পুলিশ সদর দপ্তরে পৌঁছে
6db9d409f3	93bf3	যুক্ত থাকেন
6dba0e0067	33814	আবাসন প্রকল্প
6dba23f9ad	16877	আর এখন পরেন
6dba61fbdb	ab946	বের করা হবে
6dbaecaa7f	577fa	গত কয়েক বছর ধরে
6dbb388836	9b864	নির্বাচনকালীন
6dbb7176d9	f7a7f	এর মধ্যে বেসরকারি উদ্যোগে
6dbb816eda	fb4cb	ফাইল রিস্টোর করা যায়
6dbb88f619	2ac82	এবং জোর করে
6dbbcff237	21e54	যিনি আর কখনো
6dbbdfbc39	cb627	আমাদের জানা হতো না
6dbcaaddc4	61820	আর ওই যে কঠিন-হৃদয়
6dbcc5fb9a	ee7b2	ম্যান সিটির মার্তিন দেমিচেলিস
6dbd8d9700	9c8dd	বাংলাদেশে প্রতিবন্ধী শিশুদের প্রকৃত সংখ্যা জানা যায় না।
6dbd9b6b67	bdfc1	চিঠিটি তুলে ধরলাম
6dbea52ab2	88654	অন্যান্য কুটুম্বগণও আসিয়াছিলেন
6dbeb5d322	b2a62	অ্যামিনো অ্যাসিডগুলোর মধ্যে
6dbedbac9e	83c53	আদালত
6dbef942be	bbb22	কোন সুনির্দিষ্ট যোগ্যতা নেই
6dbf677ae1	1a2a1	ভাব দেখায় তারা
6dbf8ae711	cc18a	দমিয়ে রাখার চেষ্টা করত
6dbf8c650c	e754e	নেতারা বলেন
6dbf9e53fb	39293	৭৫ থেকে ৮০ টাকায়
6dbfb98aab	d0c70	পরবর্তী তারিখ দেওয়া হয়
6dc0726d4d	9282d	এগুলি ধর্মীয় নিষ্ঠার সঙ্গে
6dc0b175ab	77f82	প্রস্তুতি নেয়ার পরামর্শ দিয়েছেন
6dc0bd07e9	5d80e	সুমনকে পাওয়া যায়
6dc0db8a61	9092b	আমাদের গাড়িটা দাঁড়াল
6dc0e1c1e1	c7705	থেমে থেমে বললেন
6dc0fde97b	f600a	মারিয়া বেলেন রোদরিগুয়েজ
6dc13fdb36	4dd57	এসব কমিটির সভাপতি
6dc196f46f	4bede	তাই মানতে হইব
6dc23bac1a	388c9	প্রথম
6dc2574560	7ec1c	ফলে সে দিক থেকেও
6dc25b0cc5	a9a58	ডি বক্সের ভিতরে বল পেয়ে
6dc25c1c00	cb1aa	মডেল, এবং অভিনেত্রী
6dc27a0750	c5dc8	স্থায়ী হয়ে যায় জয়
6dc27b63db	2fc12	সোহানা সাবা
6dc2b724ee	bd576	বাংলাদেশ প্রতিদিনের
6dc2ffea92	db735	সাজ
6dc381db2e	239f7	প্রায় ২৫ কোটি টাকার মত
6dc3b8863c	5639c	দিনের শুরুটা ভালো
6dc3dc5e1b	83c53	একদিনে তিন লক্ষ টাকা
6dc3eb7536	509f6	আমরা হাজার বছর ধরে
6dc41f0007	4bd2c	ক্ল্যাসিক রোমান্টিক জুটিতে
6dc46b6730	b8bf0	একটি মরমিয়া
6dc4925a14	eaa7a	পর্নোগ্রাফি প্রচার করে থাকে
6dc4eab19d	491a5	গুছিয়ে নিচ্ছে
6dc4eafffd	13b6a	রাজনীতির চেয়ে বড়
6dc514d9ff	8ba2b	টেলিফোনে আড়িপাতার
6dc5f57716	590d0	একদিনের আন্তর্জাতিক ক্রিকেটে
6dc6302513	2de86	হত্যাকাণ্ড শেষে
6dc636793e	536d9	মাঠে অবস্থান করে
6dc68687b6	2d98b	তার স্বামী ইনাকি উরদানগারিনের বিরুদ্ধে লক্ষ লক্ষ ইউরোর সরকারি তহবিল তছরূপের অভিযোগ আনা হয়েছে।
6dc7323a68	4fd66	একাত্মবোধ প্রকাশ না করে পারেননি
6dc744f88c	16877	লাল বেনারসির সাজ
6dc776f706	33814	ভাই সাইফুল ইসলাম রাজু
6dc77be6f9	a7c6f	গ্রন্থমেলার প্রবেশপথে
6dc7894712	eaa7a	শেষ মূহুর্তে জাতিসংঘ ইরানকে জানানো আমন্ত্রণ প্রত্যাহার করে নেয়।
6dc7930e0f	28dfc	তখন থেকে তিনি
6dc7a3eb84	80e98	একজন মানুষ
6dc83a8b38	16877	পিকেটিংই হয়নি
6dc83fa9e9	d2294	অনুভব করছি
6dc874a69a	adf01	পিছনে এক ভুঁই থাপ্পড়
6dc88fa8db	6dff5	মন মানে না
6dc89be198	cb627	শাপলা
6dc8ecd9a5	5354e	মনোজ্ঞ কুচকাওয়াজের মাধ্যমে
6dc90523a1	745b7	বাতাস, জীব-জন্তু
6dc9149e4c	4bd2c	আমার শ্বশুর-শাশুড়ি তো
6dc94f4aa9	ac904	আড্ডা-বেড়ানো চলতে থাকে
6dc9b20dd5	3b1f7	পরিকল্পনামাফিক বৈঠকে
6dca0079b6	ea5be	মন্দিরে হামলা চালিয়ে
6dca2f8996	4a918	প্রবন্ধটার লক্ষণ আধুনিক
6dca498e45	323f1	সেই আগ্রহ থেকেই
6dca58f1be	dba43	জানেন না
6dcacf14d6	d5f7b	বিজিএমএইএ সভাপতি
6dcb358e1d	d711f	হিসেবে গণ্য করা হয়
6dcbfab071	9065c	প্রমাণ রয়েছে
6dcccc85b8	5d80e	আইনজীবীদের সাথে আলোচনা করে
6dccf91e17	cc9fd	সাক্ষাৎ শুভ
6dce9b5c76	93080	স্থানীয় প্রশাসনের ঊর্ধ্বতন কর্মকর্তারা
6dcf1e94a2	6d129	প্লাটিনাম এবং মাল্টি প্লাটিনামের
6dcf9fea4d	66dcd	সমসাময়িক পাঠকের কাছে
6dcfafbc56	08458	ভারতে রপ্তানির অপেক্ষায় থাকা
6dcfd05655	bbb22	একজন কুমারীর যোনির মাংশ
6dd01c81ad	60f77	ইংল্যান্ডে অনুষ্ঠিত
6dd09bd3e8	e754e	ফরেক্স ট্রেডিং
6dd0b5c187	c463d	বাকি ১৫৪ আসনে
6dd0b746d7	ef915	যৌথবাহিনীর অভিযানের নামে
6dd0d63606	e6d83	শনিবার ইভিএমে ভোট দিচ্ছেন
6dd110b374	68ab7	কাতারকে ৩-১ গোলে
6dd138788f	ba2f6	তাদের দ্বিতীয় একক
6dd17b81ff	06527	স্বপ্ন পূরণ হবে না
6dd196c245	2bd99	তাদের কোথায় পৌঁছোনো হয়েছে
6dd196dcda	33814	বিস্তারিত ইতিহাস গ্রন্থ
6dd197ac6a	4e900	বাঁশি নয়
6dd1b542fe	60b9d	অনেক গার্মেন্টের পরিবেশ চমৎকার
6dd1c4e8ea	c7a89	পর্যটকেরা লঞ্চ নিয়ে
6dd1d36ef7	49543	গ-ইউনিটে
6dd1f1ff7a	f600a	তার পক্ষে ট্রাইব্যুনালে
6dd3267fef	09f0d	প্র্রতিটি আনুষ্ঠানিকতার মুহুর্ত
6dd33a6174	fdcba	কিসের এত গোল
6dd3574333	698ff	কারাগারে রয়েছেন তিনি
6dd3e9359c	aab0f	মোফাজ্জল হোসেন চৌধুরী মায়া
6dd3f0344a	d136b	সেই চার্জশিটে আসামীদের বিরুদ্ধে
6dd50656ea	d2355	এক বিশেষ আলোচনায় অংশ নিয়েছেন
6dd5177f9f	cd3ac	বাংলামেইলের বার্তা সম্পাদক
6dd5cdfc6c	7b60a	ঘাটাল
6dd5ffc995	80505	প্রায় দুই কোটি লোক
6dd60ace79	a0277	পুরস্কৃত কবিকে পুরস্কারের অর্থ
6dd68e575b	3c897	আগামি অর্থবছরে
6dd6d90e34	a8710	এই সরকারের কাছে
6dd6e5d554	aa820	অভিহিত হইয়াছেন
6dd6e78ff1	f1ea4	লাইলাতুল মিরাজ
6dd7c45441	6da0a	জুভেন্টাসের নিকটতম প্রতিদ্বন্দ্বী
6dd8439293	43fc0	প্রথম পৃষ্ঠায়
6dd88edbab	eb179	নারীর একেবারে
6dd913db6b	bbb22	বেলগাছের ছায়ায় শুয়ে ঘুমোচ্ছে
6dd9942c5f	3fb17	যাতে তারা শান্তিপূর্ণভাবে
6dd99d251a	c1e30	তা ক ত দেখি
6dda1a602d	06bb7	যৌবন তাঁর চোখ-মুখে
6dda77e70f	ad050	২০ শতাংশ বেশি
6ddb097b3b	c958a	বিবিসি বাংলার সংবাদদাতা
6ddb15692b	967fd	রাজ্জাক, আনোয়ারা, সোহেল রানা
6ddb160ec4	194f5	এখানে ফন্টেরা নামে
6ddb854813	c1e30	আঁচল
6ddb93e607	e03fc	স্মার্টফোন নিয়ন্ত্রিত
6ddbb51dbb	f2097	শারমিন আক্তার
6ddbd43283	f1ea4	মহাপরিচালক শামসুজ্জামান খান
6ddbdef6dc	06736	নতুন প্রশ্ন উত্থাপন করেন
6ddbe69357	33aef	বাড়তে থাকে উৎসবের আয়োজন
6ddc2cc4ba	7a227	প্রকাণ্ড টাক পড়ে গেল
6ddc3611d9	c7a89	খ্যাতিমান পরিচালক জহির রায়হানের
6ddc3d0519	ea8fa	সীমানা অতিক্রম করেছিলেন
6ddc7df960	f2097	নারায়ণগঞ্জে অপহৃত হন
6ddd412b01	75f18	বিজিবি'র যথাযথ আলোচনা
6ddd6e4468	a1d4a	সবচেয়ে জটিল
6ddd6efcd2	f0f95	তা হবে না
6ddd90fa16	d41be	সাতজনকে অভিযুক্ত করে
6ddd935cd3	83c53	বোমাগুলো উদ্ধার করে
6dde7355f7	68ab7	থেকে শুরু করে
6ddf22034b	bd576	দগ্ধ করে চলে
6ddf24804c	60b9d	একটি জাতীয় মানস তৈরি করা
6ddf4d1636	430b2	শনিবার সকাল ৮টা থেকে
6ddf5b3abf	80be1	তোমাকে ভালো লাগার
6ddfcd2926	d9081	দাসী হলেই চলতো
6de0460887	7297e	এই নগরের অধিবাসীদের
6de061baa1	fcefa	কারখানায় কাজ করতে যেয়ে
6de1055861	1e7c7	সরকারি হিসেবে
6de13ef9c9	e2ff7	ডাকটিকিট যুক্ত পত্রের বেলায় কি ঘটে
6de141a504	06ea3	আজকেরখবর
6de184553f	e754e	টাঙ্গাইলে এসে
6de1ca3366	f2097	জানিয়ে তো লাভ হয়না
6de22ff2eb	3bb15	রাত পার করে দেয়
6de248e25f	e55de	অ্যামেরিকা ও রাশিয়ার মধ্যে
6de25fad2c	2909b	পূর্ণাঙ্গ তদন্ত শেষ হওয়া পর্যন্ত
6de2909689	932bb	আহত হওয়ার পর
6de2d3ebb9	f7a7f	আত্মহত্যা করার
6de2d67c56	d2faf	নিশ্চিন্ত মনে ঘুমাচ্ছেন
6de30939a3	9fa90	সেটাও একটি
6de32741c1	68549	গাড়ীতে আগুন দিয়েছে
6de36a3551	e55de	সৈয়দ জামিল আহমেদ
6de36edff3	e50f1	অনুরূপা দেবী
6de38c5ca4	e6d83	প্রতি কেজি মরিচের দাম
6de3a8ef7e	f2097	গোলাপ ফুল আঁকা লাল কুর্তা
6de3b4fb8d	e03ce	গড়পারে হৈ হৈ সরবতি মেলা
6de3bd0aa3	b8bdd	ধর্ণা দিয়েই চলেছি
6de461bf6b	ff0fe	অবর্তীণ হতে হবে
6de49453a9	e9759	তাও সন্ধ্যার পরে
6de4c5cd88	21e54	কবি নহিলে কবির জন্য
6de5098bac	d2355	কাদের মোল্লার জন্য
6de5586a3b	d1a48	আমি হতবাক!
6de57a7e70	0edef	কেন্দ্রের প্রিজাইডিং কর্মকর্তা
6de594ac71	eaa7a	রেড শার্ট ও ইয়োলো শার্ট
6de59e8797	68ab7	হাজার হাজার মানুষ
6de5c8b842	3bb15	তাই বুঝে নিতে
6de5eac8bf	d711f	খননের পর নদীটি
6de697a173	fbb81	ঐশীকে ডিবি পুলিশের সাদা একটি গাড়িতে করে দুপুর ২টার পরে আদালতে আনা হয়।
6de6a7747d	f89d7	বাংলা সালের প্রথম দিনটির জন্য
6de73e853e	e00db	আগ্রহ প্রকাশ করেছিল শ্রীলঙ্কা
6de78cac70	4dd57	ব্যবসায়ী ইকবাল আহমেদের সাথে
6de7c4b67e	a43b5	শিনজো অ্যাবের সঙ্গে
6de7cb6eb8	cb627	সামনে এসে যায়
6de85133a9	8edea	মোসাদ্দেকের চমৎকার ব্যাটিং
6de8872706	f83df	দু’দিন সে কোথাও না গিয়ে
6de8a70b9f	e03fc	ঘটনাস্থল পরিদর্শন শেষে
6de8e7c5a8	eaa7a	ফের হ্যাকারদের কবলে পড়েছে
6de9cdab57	0c39f	তার পরিমাণ ও স্বাস্থ্যগুণ নিয়ে
6dea6aa943	1279e	১৬৩১ খ্রিস্টাব্দে
6deaa01029	80518	পঞ্চমুখ হন
6deaf683ff	a4750	তিনি লিখেছেন রাজনৈতিক উপন্যাস
6deafbbfc3	11915	আশীর্বাদ করলেন
6deb6c6659	eb179	শিরিনা দৌলত
6debca1884	08458	এখনো তার রয়েছে
6debf515f3	c749e	খাদ্য ও পুষ্টি
6dec46cb9d	698a4	মোহাম্মদ রিসাত
6dec90115d	1279e	কদিন আগেও
6decdd86ad	121bd	বাংলা ডিজিটাল
6ded018ce1	2840e	হানিফকে ছাড়িয়ে আনার জন্য
6dedf837e0	db181	যে বেসিক বিষয়গুলো দরকার পড়ে
6dee22c41b	c1e30	ফেস্টুনসহ রং-বেরংয়ের পোশাকে
6dee2786fe	39293	মধ্যবর্তী সময় থেকে
6dee3b0a0e	c0965	অঞ্চল একটি ভৌগোলিক প্রতিশব্দ
6dee941fb6	8edea	দোহাই দিয়ে
6def13539c	ce629	হরতাল, অবরোধের মতো
6def16505e	3f493	বিশ্বব্যাংক সিদ্ধান্ত
6defd2ee56	ad2a0	চার্জ গঠন করা হয়
6defe1db76	e6203	জোরদার করার চেষ্টা চালাবেন
6df1e562fa	f1ea4	ঢাকার ফুলবাড়ীয়ায়
6df24463ca	f2097	ছাত্রদের জন্য আবাসিক
6df2e36839	23b22	দক্ষিণ ভারতে সিনেমার বেশ কয়েকজন তারকা রাজনীতির ময়দানে দারুণভাবে সফল হয়েছেন।
6df37abd57	8845d	আগে দেখতে হবে
6df3c01010	e3f89	রিতার লাশ উদ্ধার করে
6df3c9f985	43fc0	তাকে পিটিয়ে হত্যা করে
6df40dafe1	e6d83	ছড়া, ধাঁধা
6df4256169	75626	মেনে নিতে হবে
6df47e3d79	a699c	কক্সবাজার শহরে
6df4c1685c	5dec6	কিন্তু এগুলি তত গুরুত্বপূর্ণও নয়
6df4e819c3	52578	থাকতে শুরু করেন
6df564bd7e	d136b	থেমে যায় ওয়েস্ট ইন্ডিজের ইনিংস
6df5671db1	e68af	আল্লাহর কুদরতের
6df593b0f0	9642e	শাহিনুর ইসলাম
6df5d0e507	eb179	বিদায় নেন
6df5ea05f0	9b864	বর্তমানে বিশ্বের সর্বত্র
6df6218338	cf82a	চা হাতে আসতেন
6df6716956	42898	জরিপেও তার প্রতিফলন ঘটেছে
6df68aacc9	a699c	প্রায় ৫০০ পৃষ্ঠার বইয়ে
6df70f3c6f	3fb17	এখানকার রোদের তেজে
6df769b099	0606d	দৈনিক পাকিস্তান-এ
6df800c543	4e900	খরচ বেড়েছে দুই শতাংশ
6df8e118eb	2d78f	আরো বিষম চটে গিয়ে
6df94cdae5	f1240	ম্যাশএবল জানিয়েছে
6df95b216c	31f09	চার সিটিতে বিজয়ী হয়ে
6df987a733	18a52	হাত মিলিয়ে
6df98939c1	ad050	মোনা
6df9952698	239f7	পাহাড়সম সম্পদ
6df9e0d827	404ee	তাঁকে হাসপাতালে দেখতে যান
6dfb137b10	2396d	সঠিক জবাব মানেই
6dfc0a892c	2695f	গরু পালন পদ্ধতি
6dfc6afb3e	efc0d	যুদ্ধের সময়
6dfcede8b9	7c272	বাংলাদেশের সমাজতান্ত্রিক দলের সাধারণ সম্পাদক
6dfd4c668d	92bb2	তার সঙ্গে কথা বলতে পারে
6dfdef5d5d	92bb2	মুক্তিপ্রাপ্ত একটি
6dfdff6f35	8a46d	কেন্দ্রীয় শহীদ মিনার প্রদক্ষিণ করে
6dfe159416	e2ba2	কার্বনের দুইটি
6dfe25642f	76329	কৈ মাছ
6dfe6090db	a4750	১ অক্টোবর
