690004af2b	69449	বাইর হইতে পারিনা
6991875e21	aa820	মুখ চাওয়া-চাওয়ি করতে লাগলেন
69918c80e9	509f6	বঙ্গদেশে ধন্য হইল
6991b9bb17	f1240	ধরতে পেরেছেন
6991ec163a	2aecc	আদালতে আইনজীবী ছিলেন
69920fdc95	2909b	রুলস অব অরিজিন
69930ade0d	8632b	আপনাকে চিনতে পারছে না
69931bc34f	12702	আর নখও ভাঙবে না
6993818b79	e68af	লাভ পাখি দেখার জন্য
6993cc1faa	6c17f	তারা বিভিন্ন জায়গায়
69943b795a	c8f7f	পালঙ্ক বানিয়ে আনলেন
6994590166	b8bba	সাতছড়ি জাতীয় উদ্যান
6994a1624c	71522	দ্য উইন্ড রাইজেস এর ওপরেই
69957a1635	cb1aa	ভারতীয় একটি টেলিভিশন চ্যানেলে
6995a1bfef	59c73	প্রথম তিনিই তাহা
6995ab6338	7ee9b	দেশে ফিরে যাওয়া
6996725124	25117	এবং নিজের চেহারা দেখার জন্য
69967d7aba	35ef3	মা-বাপকে দেখে
6996b46eae	420df	তোমার শমীবৃক্ষ ঘিরেছে
6996e7da92	6e8cb	যে নির্বাচন অনুষ্ঠান হয়
6997122eb8	23b22	জাকির হোসেন রাজুর
69971f00d3	a699c	অভিযোগ পাওয়া গেছে
6997308cd2	c2082	একটা লম্বা খাতা রাখিয়া
6997a9d0c7	9f25e	ফেরাতে প্রাণপন চেষ্টা চালান
699881644b	58998	স্বর ফ্যাঁসফেঁসে অস্বাভাবিক
6998a296fb	43199	প্রশ্ন তোলা হয়েছে
6999972150	4f450	শিল্প ধ্বংস হতে বসেছে
69999f27da	e3f89	তৈরি করেছিলেন
6999e3837b	11de3	টেন্ডারবাজির মতো দুর্নীতি
6999e70107	c3cca	ট্রান্সঅ্যান্টার্কটিক পর্বতমালা
699a0ffcdd	420df	খোরশেদ আলম আর বোবা
699a26c9c4	e03fc	ভাষা-আন্দোলন জাদুঘর
699a377913	2aecc	ছাত্র
699a7a50e9	dec2d	নিয়ে আসবে
699b2931b1	7b900	নিজেরা পরিশ্রম করবে না
699b370d59	32c77	গোয়েন্দা পুলিশের পরিদর্শক
699b45a268	32c77	কিন্তু ১২ মাসই
699bc0233b	dfefa	নতুন বছরের জন্য
699be3fd0a	1e7c6	পিঠ হচ্ছে জীবন
699c39d4e4	ac0df	কিছু লোককে ফাঁসিয়ে
699c6a7124	e43d4	ধ্রুবতারা
699d06039c	6d129	খাবার তালিকায়
699d792085	0d8c1	বেশ কিছু বই বেরিয়েছে
699d7e20fd	09f0d	হইতে, থেকে অনুসর্গ দুইটি
699db96a9e	3fb17	আকাশ বা মহাশূন্যের পর্যবেক্ষকরা
699dc5a796	fdcba	চাষের কাজ করত
699dca28da	b5fdc	সুলতান তার শাসনামলের গোড়া থেকেই
699e535c62	7d3e1	কোরআন শরিফ পোড়ানোর প্রসঙ্গ
699e7e71b5	53396	রক্তাক্ত সংগ্রামে
699e8ef5f4	5e80b	নাড়াতে থাকুন
699ec742f6	b4ea7	কিন্তু প্রথমেই কেউ
699ed60182	65e30	আদা,রসুন,জিরা,লেবুর রস
699f988a28	8c120	মূল ভিত্তি উপনিষদ্
699fabbf62	9d46f	কেন না ইহার প্রকৃত ইতিহাস
699fb8e059	adf01	সেই প্রক্রিয়াতে
699fbc81e3	0edef	তারা পড়েতে আগ্রহী হবে
69a018ba46	acb88	মোটরযান প্রকাশনা
69a0762d6d	28dfc	সর্বোচ্চ একবার
69a08b5421	d8c80	তাঁহার মুখপানে চাহিয়া রহিলেন
69a0c5309b	6c6bf	মূলতঃ একজন স্পিনার
69a1214b7c	4ea73	পৃথক পৃথক ব্যানারে
69a13ba755	bd576	অথবা আরেকটু গুছিয়ে বললে
69a17b083d	dba43	কঙ্কাল গাছ
69a1fcdbae	3b1f7	সাহায্যে অপরাধের
69a21479f3	46da4	১৮৭৫ থেকে ১৯০৪
69a25b37ce	ee994	জ্ঞানীরা বলেন
69a26e27a3	75626	যোগমায়ার প্রভাবে
69a33409d0	cb627	তরল দুধ
69a3a3cf0c	c463d	বাবা-মার জন্য
69a3d2b3e2	adf01	একটি গোটা হোটেল আকাশে ঘুরে বেড়াচ্ছে দেখতেই অবাক হয়ে যান অনেকেই।
69a3d59739	7e1d5	কোরআন
69a3f43b5f	e7230	সাজানো হতো ব্যবসা প্রতিষ্ঠানকে
69a42ad31a	06736	দীর্ঘ কয়েক দশক
69a460ee3e	2c9c5	তিনি ৩৫ বৎসর রাজত্ব করেন
69a5052ea3	c463d	সেলিম আহমদ
69a5195d97	ab946	প্রশ্নোত্তর-পর্ব
69a5d8820f	ee852	মেঝেয় পড়ে থাকার কারণ
69a63e9c82	1b359	আনা সব অভিযোগই অস্বীকার করেছেন
69a6921bb9	3bea8	ভারপ্রাপ্ত শিল্প সচিবের
69a7325fdc	e68af	বাংলাদেশে ২০০৬ সালে
69a78fc074	e2ba2	এবং মতস্য রাজকন্যা
69a7a633d8	47e8d	অবরোধের পাশাপাশি
69a7c5841e	13b6a	বাংলাদেশের প্রাচীন
69a8077594	7aed9	গলাবদ্ধ দেখি
69a812be73	321b6	নিজেদের দায়িত্ব
69a84ed8b6	1de6c	মালয়েশিয়া গিয়েছিল
69a895bdb2	b9122	আমার সাধ্যের জোর
69a8990a45	ff1eb	অধ্যাপক ও বিশ্লেষকদের কথাও
69a8a52f02	e6203	ফয়েজ বাংলাদেশে এসেছিলেন
69a8dd10b7	e9759	মন্ত্রী এক বাণীতে বলেন
69a90d4266	2ee04	মোহন মিয়ার ছেলে
69aa24fe73	4dd57	একক প্রার্থীরা নির্বাচিত হয়েছেন
69aa468f6d	967fd	হংকং থেকে জুলিয়ানা
69aabd3538	af81d	অতিকথন ত্যাগ করে
69aac29d24	d711f	এখন প্রতি পর্ব
69aafb9f0c	e00db	তরুণ পাঠকেরা
69ab79437b	2909b	বাঙালি সাংবাদিক এবং সাহিত্যিক
69abf7debd	c6848	বরিশাল নগরী থেকে
69ac596e6c	5dd61	ভারতের প্রধানমন্ত্রী হতে চলেছেন
69ac8cebee	08458	শক্ত অবস্থান নিয়ে
69ad066579	9d46f	নিজ নিজ বইয়ের সঙ্গে
69ad712f05	698ff	ও এক ছেলের জনক
69ad9dd567	4bede	চোটের কারণে মাঠে
69adb9f245	7c272	জামায়াতের নেতা-কর্মী
69adf83412	52578	পৃথিবীর প্রাচীন
69ae6e219b	1a2a1	সূর্যের কাছাকাছি আসে
69aebe8f39	5dd61	ও সমর্থকরা অংশ গ্রহণ করেন
69aeeaa5dc	76329	আবার কখনো অপহরণকারী চক্রের
69af1cb0b7	31f2a	সেখানে প্রতিবছরের মতো
69b0bd6046	c5dc8	রাতেও ক্লাস থাকে
69b14af890	1b359	ক্ষতি খুব
69b17fba57	b5fdc	তার পেছনে
69b1bdb0cc	2d78f	এরপর তোরা কোত্থেকে জল খাস
69b1c456d0	7b103	যে কতটা ভাল লাগছে
69b204be22	a916a	এই সংশোধনী পাশ হয়ে যাবে
69b25b4554	aabe7	ইজারা শেষ হয়ে যাচ্ছে
69b32fbbc8	09b32	নিবন্ধটিতে তারা লেখেন
69b35e9311	7d004	কোনো কোনো স্থানে কম
69b397be7c	4e900	মি. মহিউদ্দিন এখন
69b3d3612b	8cf95	তাহলে কি সরকারের
69b45ee4f5	d2d71	যিনি যুদ্ধক্ষেত্রের
69b4771baa	e7230	তাও স্বীকার করে নেন
69b49f4cb0	c7a89	এখানেও মেলা হচ্ছে
69b4b216f1	4fd66	কারণ হয়
69b5b41e13	dec2d	নজরুল প্রচণ্ড বিদ্রোহী
69b5dc6630	bfac7	লোকসভা
69b654626b	32b3e	আমরা কিনি
69b6b3eb43	16e96	তবে তাদের বংশধরেরা
69b6e0596f	7f2ef	ইহা সম্পন্ন হইয়াছে
69b6f75a28	a9a58	বিষাক্ত কীটনাশক থেকে বাঁচতে
69b743892f	91ac1	সংস্কৃতি মন্ত্রণালয়ের সরাসরি হস্তক্ষেপ
69b85ec3fc	75626	মূল ট্রেন থেকে
69b92a0d60	c958a	বৃহস্পতিবার রাত থেকে বেশ কয়েক দফা চেষ্টা করেও ডুবে যাওয়া লঞ্চটি তোলা যায়নি।
69b92bdf6c	e55de	পাচ্ছেন না
69b94207f5	76329	রাসায়নিক প্রযুক্তির অধ্যাপক
69b964aa9b	e9fa7	মাদ্রাসার ছাত্ররা যারা রয়েছেন
69b9656668	e3f89	এ সময় বিশেষ অতিথি হিসেবে
69b9c1b3a8	ac0df	এটা সম্ভব হয়েছে
69b9ee215b	bc81e	ভূমধ্যসাগরের উপকূলীয় বন্দর
69ba8de8cb	0d4cb	এমভি অবসরকে
69bac0937d	73629	তার এই স্ত্রী
69bad12783	1a4a9	২০ ওভার খেলে
69bb2d97bf	c4973	অবস্থান নেয় অবরোধকারীর
69bb403198	315e9	অন্তর্বর্তীকালীন চুক্তির
69bb60fc62	9d7bf	বকেয়া আমদানি বিল
69bbcfbbb7	1e7c6	অধ্যাপনা কাজে
69bbe3d8aa	1652d	তারা এই রিমান্ড
69bbe65750	9f25e	নকশা কাটা
69bc83fc9b	fb4cb	আছে কিনা সন্দেহ
69bca2e1d9	db181	রওনা দিয়েও
69bd140859	3fb17	অন্যতম বিশ্বসেরা অলরাউন্ডার
69bd1e7828	d71a3	সবার কাছ থেকে
69bd64e484	0895a	শ্রমসচিব মিকাইল শিপার বলেন
69bd7e1ebb	2fc12	অন্যান্য বেলে পাথরের ইমারতের মতোই
69bd96b77d	4f2ae	মাটির নিচে
69be64c282	06527	এই গাছের গল্প
69be94ba41	54cdd	তবে মামলাগুলি
69bf2d4cab	7e1d5	আমার বাতুনিকে
69bf49126d	a916a	এত চোখ কান
69bf904ca1	ca831	জিতেছিল সেরা চিত্রনাট্যের ট্রফি
69bffbf46f	80be1	মাঠে অবস্থান করে
69c02038e5	086dd	ঢাকার মোহাম্মদপুরের খুচরা বাজারে
69c0247cc0	3b1f7	প্রচুর বাংলাদেশির বসবাস
69c050a9ad	0633a	এটা পরিষ্কার হয়ে যায়
69c0b23716	76329	আর নিজের শোকাশ্রু
69c0eb0799	420df	নিষেধাজ্ঞা আরোপ করে চীন
69c160b3d8	65e30	গর্ত থেকে
69c1f50c39	1a2a1	কারণ চীনে মজুরি
69c25ab5aa	bfac7	উল্লেখযোগ্য অবদান রাখতে শুরু করে
69c2c70349	5354e	অসুস্থ হয়ে পড়েছে
69c2e36209	ced74	শরিফুল, আব্দুল জব্বার
69c2fc989c	cd3ac	লোড নিতে পারছে না
69c31c2f2e	e03fc	পদ্মা সেতু প্রকল্প পরিচালক
69c35c7792	6ee5f	পাণ্ডু কুন্তিকে অনুরোধ করেন
69c363db6e	f600a	সব ভারতীয়কে তিনি
69c489ddf1	2bd99	বহিষ্কৃত গোলাম রেজা
69c4b84d56	af81d	আমার প্রিয়
69c4ee7080	31f2a	আগের মতো চাই চাই
69c5129cda	e3d8b	অহিওয়ারা শহরের
69c54241a6	239f7	নির্ভুলভাবে নির্দিষ্ট সময়ের মধ্যে
69c56c500e	fd880	অখণ্ড এই অবসরে
69c5cf66de	cb842	স্বপ্নেরও এক চেইন থাকে
69c605dfa3	256f5	বিকাল সাড়ে ৫টার দিকে
69c62e487b	dae88	কিন্তু দু’টি অভিযোগে
69c631a566	6a35e	বা নাগরিক সংহতি নামের
69c63a288e	3ec4d	ব্যবসাপ্রতিষ্ঠানের
69c6b34910	b9b98	আইনে ডিগ্রি নেন
69c7136450	0edef	ভারতের মুঘল সম্রাট
69c7455b3d	693cb	শুভশ্রী গাঙ্গুলী
69c74eb7d4	15a75	আগে ভাবি নাই
69c8783ef4	a3a6d	বাংলাদেশি শিল্পীদের
69c88e91b9	b52ab	এই, মুনা কেমন আছ
69c8cb8970	ee994	আমার সমস্ত অহংকার
69c8e2a2df	91230	আমার হাত-পা কাঁপছিল
69c9136b45	75936	অজ্ঞেয়বাদ, নাস্তিকতাবাদ
69c96b2351	db181	সেটা তিনি ভেঙে বলেননি
69c9942f81	9b864	সময় নেয় ১৫ মিনিট
69c9b19f9a	1652d	বৃষ্টি নিয়ে কবিতা
69c9e246f9	e03ce	একটি বহুজাতিক ক্রিকেট টুর্নামেন্ট হলো
69ca3073c9	23291	তার একটা নমুনা
69ca3e9872	f2097	পেশ করা হয়নি
69cb04c1fb	1279e	২৯টি দল পর্যবেক্ষণ করবে
69cb0d58ea	75936	তিনি হাসপাতালের নার্স রাধা
69cb481f70	7351e	তিন শিল্পী এ প্রদর্শনীতে
69cbb52cf9	4c1eb	চারুকলা অনুষদ থেকে
69cc6d3a18	ff1c3	এই সকল গুপ্তগণ
69cce7ca7b	a916a	পশ্চিম পাকিস্তানিরা
69cd66da9c	b8bba	বিভিন্ন রাজ্যের
69cdae2ab4	cf82a	অনেক সময় প্রতিহিংসা থেকে
69ce0fd08e	590d0	ঐ প্রদেশের পুলিশ প্রধান
69ce18f07a	351dd	অভিভাবকেরা শিশুদের
69ce1ab904	91dff	ইহাদের মন এবং মস্তিঙ্ক
69ce407324	68549	সহজ ও সংক্ষিপ্ত
69ce52f63a	778c0	নিশ্চয়তা প্রদান করবে না
69ceabc7d7	14816	লিখেছিলেন কল্পতরু
69ceca720f	10a9f	বাণিজ্যিকভাবে পাখির খামার গড়ে
69cee2d3d5	72649	ইত্যাদি মানসিক
69ceec70a9	0b7ca	বাংলাদেশ পেপার মিলস অ্যাসোসিয়েশনের প্রতিনিধি
69cf04b0b5	f837a	হিউম্যান রাইট্স অ্যান্ড
69cf528425	05901	মিডিয়ার সামনে এসে
69cf5ef4c8	f280a	এমন কোনো তথ্য
69cff3d8e2	29d44	'এমন দেশটি
69d0e6d3e3	17dcd	বিশ্বজনীন স্থায়িত্ববাদী
69d111659b	88654	পরকীয়ার সন্দেহে
69d12485ad	7297e	সিগারেটের প্যাকেটের ভেতরে
69d17a6b0b	93d3b	গুরুত্বপূর্ণ ভূমিকা রাখবে
69d17d28b3	75626	এদিকে ঈদের মৌসুমে
69d1d770f0	2695f	সক্রিয় সমর্থক ছিলেন
69d2c5ce54	2ecf8	সত্যিই যদি
69d2e3e995	95f83	গোপন খবরটা হচ্ছে
69d3422ebd	ca831	পুলিশ জনবল
69d34e0e52	c0965	পঞ্চগড়
69d35d7edc	2d98b	অমৃতা খানের
69d3ec3abc	38ff0	কেন এ কথা বলবে
69d433222c	880ae	মহিলাদের দেখলে
69d4bea4af	7d3e1	একটার পর একটা প্রতিরোধ
69d4dfc690	577fa	জাতীয় পতাকা নামানোর মধ্য দিয়ে
69d538d7b7	b8ed8	অসাধারণ কাজের
69d56a452a	75936	পতন আটকাতেও
69d56e09a0	16877	ফলে এই গরমে
69d58ad111	ce180	এমন একটা ওস্তাদ হয়েছে
69d5dbcb42	16e96	এ সময় ট্রাইব্যুনালে
69d62ab226	4237e	ষাঁড়ের চোখ ভরা জল
69d71577bc	8c120	অনেক বেলায় উঠে
69d7b876a8	e2ba2	তার ওপর নজরদারি করতো
69d7e78c32	25117	পড়ে গেল কবি
69d886be86	b78ec	উত্তম কুমার ছাড়া
69d8a1e9b6	1a4a9	নয়ন থাকিতে
69d8e1fd5b	58998	সর্বনাশ চাইতে পারে
69d92d5e01	195f7	আইন সহজ হলে
69d93f6259	88654	ভিসার অনুমতি আসেনি
69d96016b3	b5fdc	এটাই আপনার আমল
69d9984ca3	932bb	ম্যান্ডেলা চলে যান আন্ডারগ্রাউন্ডে
69da2cacea	bdfc1	আমার বিশ্রাম
69da5926f8	d1a48	মনঃ এবং চিন্তাশক্তি দিয়াছেন
69dac14eaa	ee7b2	কেটে যাবার পর
69daf6fc84	8845d	ক্রমোন্নতির পর্যায়গুলিকে
69db256bdd	38d3a	দ্বাদশ আদিত্য,
69db3d6173	6a35e	বোমা হামলায়
69db573e3d	195f7	আমার একটি অধুনালুপ্ত প্রবন্ধগ্রন্থে
69dbb973c6	75936	এরা প্রায় সকলেই
69dbed0da5	a3a6d	ফিরে যেতে হয়
69dc07016b	3b1f7	এমন কাউকে
69dca97051	767ff	বেলাল মোহাম্মদ
69dcb5bd20	d711f	ঢাকা বিশ্ববিদ্যালয়ের অধ্যাপক
69dce7f304	80505	নেওয়া যায় না
69dd81df2e	717bb	বৃহস্পতিবার দুপুরে
69ddb93cd0	3fb17	একজন নির্মাতা
69de6cec96	6dff5	তার উপর বাদামি ছোপ ছোপ
69de8a0f00	2de86	যাওয়ার সুযোগ পান
69df178fc8	66b3c	বাংলাদেশের কাছে
69df6ca369	730c3	রাজধানী স্থাপিত
69df769b29	a1d4a	দুটি লঞ্চে আগুন দেয়া হয়
69dfc94ca1	2396d	বেড়েছে বলে মনে করেন
69dfd80d5d	2aecc	ফিলিপাইন
69e02387cf	42898	সাইমন সাদিক
69e0d7f3ac	efc0d	বাংলাদেশের সঙ্গে হয়েছে
69e1920194	60b9d	পরীক্ষায় সফল হওয়ার পর
69e2188fd3	64092	সাজানো আছে
69e226f225	c7705	তৈরি করে নিয়েছেন উত্তরায়
69e2290a6b	56508	মৌর্য সম্রাট চন্দ্রগুপ্ত মৌর্যের
69e274c8c5	4237e	এই গোষ্ঠীর এক হাজার সমর্থককে
69e429de38	76329	দেশের সার্থে
69e4a6679b	b78ec	এই অত্যন্ত শক্তিধর লেখকের মনে
69e4b8dd2c	91b16	প্রভাবিত করে
69e4fa15f7	fd880	তৈরি পোশাকের শুল্কমুক্ত বাজার সুবিধা
69e50d35f2	60b9d	ব্যাপক প্রভাব
69e5847b19	92bb2	শেষ সময়সীমা ২১শে এপ্রিল
69e59bc7e0	15a75	ময়মনসিংহ
69e5a9ceb2	cfc65	খেলোয়াড়রা যেসব রাস্তা দিয়ে
69e604833d	d2355	কর্তব্যরত চিকিৎসক তাকে
69e69e1294	616ec	আর যাইতে চাহিবে না
69e6a54c89	730c3	মাঠজুড়ে হলুদের ছটা
69e6b74e9b	43199	কাব্যিক অভিপ্রকাশ ঘটেছে
69e6d265c7	4fbd1	সিঁধ কাটিয়া
69e6fbc0f3	bf530	বর্তমানে চট্টগ্রাম কেন্দ্রীয় কারাগারে
69e71b07bc	f280a	অনুভব করছি
69e75f845a	d1a48	পুরুষদের স্বার্থ
69e76e983b	82926	একদিকে তৃষ্ণায় গলা শুকাইয়া যাইতেছে
69e85ce9a0	5d12f	সাংগঠনিক দূর্বলতার
69e88183c2	4fd66	সময় ধরে
69e908c943	1a2a1	রেখে রেখে ওসব খেতেন তিনি
69e9ae5099	e43d4	পর্দা
69e9d154c6	ef915	আবু তুরাব জামে মসজিদের সামনে
69e9eba5b1	355c1	রায়েরবাগ এলাকায়
69ea808a85	d5f7b	বাবা-মা এখন জিজ্ঞেস করে
69ebb60fb0	7d3e1	ময়নাতদন্তের জন্য
69ebbab73b	3fae0	বাড়িতে কাজ করেন
69ebda36ed	ea8fa	প্যানেলবসানোর পর
69ed633543	43fc0	চলচ্চিত্র পরিচালনা করেন
69ed9c6c94	6973e	তবে অস্টিওপোরোসিসজনিত
69edbd0fac	95f83	অস্ত্র উদ্ধার অভিযান
69edd7b29f	616ec	কারখানায় ভাঙচুর করেছে শ্রমিকরা
69ee3b3e62	bdd05	সফলভাবে উপজাতি আন্দোলন
69ee43ffd4	d2faf	সেদিন দেখা হয়েছিল
69ee9ec2c1	86b1b	নাও হতে পারে
69eea87966	3b1f7	এই গোঁড়ামির
69ef96a7d8	bdfc1	শাকিল আনোয়ার জাহাঙ্গীর আলমকে
69efa989be	274ee	তাহা হরিবংশে ও পুরাণগুলিতে নাই
69efe43453	1652d	ভাইস চেয়ারম্যান পদে ৪২৩
69efeee7f6	fbb81	প্রেমের গোলাপ
69f0eeccac	a274b	উপজেলার ফটিকছড়ি পৌরসভাস্থ
69f1c81600	b8ed8	দর্শন মঞ্জুর হয় না
69f2122dc3	3ccf1	বিশেষ করে তার গাওয়া
69f239c55a	11de3	কনা, এলিটা, পান্থ কানাই
69f2faaf40	4c1eb	তার লক্ষণ দেখতে পাই
69f303f3c0	0f047	যার বই গুনে বা পড়ে
69f307a1da	eaa7a	ক্রাইমিয়ায় ৬ হাজার সেনা মোতায়েন করেছে রাশিয়া।
69f3ee0c94	f2b7d	পরে একটা সময় এসেছিল
69f48974ea	eecdd	এই সময়
69f489fcec	ce180	এ জন্য পত্রিকায়
69f4b459d5	4bede	সশরীরে এসে পদত্যাপত্র জমা দিলে
69f4cfcaa9	4a918	ডাটা এন্ট্রি
69f5738c37	0895a	তারা সংখ্যালঘু হয়ে পড়েছেন
69f5dd5ba5	730c3	এগিয়ে আসা
69f5e44f51	1b359	নির্দিষ্ট একটি পক্ষ
69f6cf6991	f1ea4	স্বাদ ও গন্ধ
69f719bcb0	c958a	কাজকর্ম পরিচালিত হয়
69f75f4669	8406e	পাঁচু তার ঢোলকের পয়সা দিয়ে
69f8178e84	39dd0	তাঁর মনে
69f824e698	37e17	নারায়ণগঞ্জের এই হরতালকে
69f84cb54a	fd880	১১৬ জনের
69f86fca93	536d9	হাতে নতুন কোন
69f8788d91	ce775	মাসির বাড়িতে গিয়েছিল শেফালি
69f90cc6fa	0744c	মাত্র ৩ লাখ ২০ হাজার
69f9323ad0	2909b	যেটাকে বলা হয়
69f9eb8554	e7230	চট্টগ্রাম থেকে ঢাকায়
69fa17fd3e	f0f95	দুর্ঘটনার সকল তথ্যগুলো
69fac68913	4c555	অস্থায়ী রাষ্ট্রপতির দায়িত্ব পালন করবেন
69fad59e64	09f0d	কমনওয়েলথভুক্ত দেশগুলোর উদ্দেশ্যে
69fb18ee68	323f1	চেষ্টায় রয়েছেন
69fbbca688	9f25e	তবে কাজী রকিবউদ্দিন
69fbd15367	80505	শিক্ষক হিসেবেও তাঁর প্রাপ্তি অনেক
69fbf795da	321b6	মডেল
69fc167644	c4973	মাল্টিমিডিয়া ব্যবস্থায়
69fca7f953	9d7bf	ভারতবর্ষের প্রথম আধুনিক চিত্রকর
69fcaa23a6	c0d65	এতে ক্ষতির পরিমাণ দাড়াচ্ছে
69fd0e1193	39dd0	কেনো জানি
69fdcdb299	2556b	রক্ত পানি করে
69fddd11b1	14d25	ইসলামী সংস্থা
69fdef1a8d	f4ba7	কুত্তা দিয়ে খাওয়াব
69feab59f3	d5f7b	আল্লাহর আদেশ নিষেধ মানা
69fef1d4ff	590d0	অসম্ভব পারদর্শী
69fef87f93	767ff	যে সিভিল রাইটস বিল প্রস্তাব করেছিলেন
69ff0bbb42	e43d4	২০১১-২০১২ অর্থবছরে
69ff209a9d	f4ba7	একাত্তরের মহান মুক্তিযুদ্ধে
