e80004ca6d	03284	ঘটনার তদন্ত শুরু করে
e88e572187	2396d	বিভিন্ন সময় অভিযোগ উঠেছে
e88f0c8138	4bd2c	এখন ঠ্যাং দেখিয়ে
e88f2c1e9a	baa02	হেরে গেছে এসি মিলান
e88f9855ec	b9122	রিংটোন ডাউনলোড
e89056494e	809cd	যেনো মুখে সাতদিন ধ’রে
e890a803ab	5dec6	মানববন্ধন ও আলোচনা সভা
e890bd8a04	7df87	সিলেটে প্রথম আন্দোলন
e8911c6d8a	f2b7d	বিভারা নেই
e891d0a8fb	d136b	এটা আমি চাই না
e891d8d04e	fdcba	ফজলিখালা কুয়ো থেকে
e8920ab152	aa820	মামলার কার্যক্রমের
e892153df7	967fd	ঐতিহাসিক একাত্তরের বিজয়ের স্মৃতি
e8922049dc	4f450	মানুষের প্রত্যাশা অনুযায়ী
e89234a61f	d9817	শুধু বাণিজ্যিক ধারার চলচ্চিত্রে
e892b00557	2556b	কলপারে বসে
e892dde7f8	16877	উত্তাল সময়টাতে তিনি
e892f1c792	778c0	সংশ্লিষ্ট মোট ১৪টি প্রতিষ্ঠান
e893847de5	2fc12	হস্তান্তর করা হয়েছে
e8938dde9a	bd576	সকালে চকবৈদ্যনাথ রেলগেট এলাকায়
e8938f8bd1	767ff	পরনির্ভশীলতার কারণে
e893c28849	e754e	কবিদের স্বকণ্ঠে
e8944a80d2	7c272	এই আড্ডার যোগাযোগেই
e8945a8923	29d44	একটু হিরো হিরো মনে হতো
e89494f260	a43b5	ঠ্যাং হলে ঠ্যাং
e895c0532c	5354e	একটি পাত্রে
e895c77d03	25696	একশ পায়রা ওড়ে
e8962e7170	e7230	ফারজানা কবির খান স্নিগ্ধা
e896489356	ee886	কিছু জামাকাপড়
e89654e997	64092	সৌদি আরব বাংলাদেশ থেকে
e8966ae94c	0e637	দেশ বিদেশ
e8969ea3c0	0606d	ভর্তি করে দেওয়া হয়
e896e65976	8b859	তাদের এই মনোভাব
e897343f3a	0c39f	আবুল হাসান মাহমুদ আলীর সঙ্গে
e897387d74	0d9f1	উপজেলা চেয়ারম্যানদের মধ্যে
e8975aaa21	ced74	আক্রান্ত এলাকাগুলোর
e8976ed686	f9dfb	এই সেদিনও জমিদার
e897926191	11de3	আরো বিদ্যুতের মতো
e897f92e62	e8dde	আমার আগের প্রজন্মের লেখকেরা
e8985ff1cf	6ab59	কোনো পুলিশ কর্মকর্তা কোতোয়ালি থানা
e898744080	31f09	হাই অ্যাটিটিউড এরিয়া
e8988887dc	16e96	বক্তরা বলেন
e89929732f	9fa90	আলো যতক্ষণ
e8995b2447	d2355	ব্যাটিং গড়ে
e8999cd0c0	23291	সকাল ১০টা থেকে
e899fa6499	c2082	দুইশ ভরি স্বর্ণালঙ্কার
e89a497454	acb88	দ্রুত বাংলার এসব সম্পদ
e89adef11c	693cb	উত্তোলন করা হয়েছে
e89b2be7b0	693cb	আপনার বইটা
e89b42acdf	ee4ad	যে দলটি নাইজেরিয়ায় যাচ্ছে
e89bbf20b5	77f82	কী যায় আসে আমার
e89bfe87e5	44322	বিলাই
e89c1e357c	2ac82	বৈশাখি মেলা চলাকালীন সময়ে
e89c5267c7	cc18a	এমনকি ভারতের চেয়েও
e89c5b6850	388c9	২০০৪ সালের ১৪ মে
e89c6cd920	f29bf	১৯৩৭ সালের ফেব্রুয়ারি মাসে
e89ccf6e06	d82d9	অনেক বৈশিষ্ট্য
e89d360f3e	49d63	একটুখানি হাসল
e89d4eaf6a	7aed9	প্রয়োজনীয় প্রক্রিয়া
e89d8bc3be	ca831	রাজাদের আদেশনামা
e89d8d1910	bbb22	মিন্টো রোডের
e89d8eafd6	e55de	পূর্ণাঙ্গ কেন্দ্রীয় কমিটি
e89e09c53a	a8710	মহারাষ্ট্র রাজ্যের
e89e2f3797	2c9c5	তার পেছনে
e89e3142b0	0895a	ওই যৌন হেনস্থা করেছেন
e89e439ddf	56508	সবসময়ই উঠে আসছে
e89e47fb00	fbb81	স্থানীয় সংবাদমাধ্যমে
e89e86e4b8	ef915	তার হিসাব রাখে
e89e9fbad4	93d3b	অগ্রণী ব্যাংক ৩৬ লাখ ৩৯ হাজার
e89f02d115	3f875	এলাকার সম্ভাবনা-সমস্যা
e89f432755	e03fc	গতকাল রোববার হঠাৎ
e8a059e94c	f2b7d	অধিকাংশ মানুষ
e8a080f6cb	91230	জাফর ইকবাল উপন্যাস
e8a0924623	ee994	চক
e8a0afbb13	a3a6d	চিংড়িমাছ ১০-১৫টি
e8a0ca7c77	9282d	অদ্বৈতবাদী শিক্ষার
e8a0ef8f1a	e55de	ময়না
e8a1bf47ac	f143a	এসময় পুলিশের সঙ্গে
e8a1c31ea6	aa820	জমির মাপ
e8a1f14fa4	60f77	ধারক-বাহকেরা
e8a2050881	47e8d	নামে ডাকা হয়
e8a22785c8	5639c	গত রবিবার
e8a28d654d	68549	এবং সমুদ্রের কাছে
e8a359d779	d41be	গল্পের গাঁথুনির ক্ষেত্রে দুর্বলতা
e8a3697fda	287bd	দ্বন্দ্ব ছিলো
e8a390a29f	e03fc	আড়াল করার চেষ্টা করে
e8a3af243f	9f25e	তা নিয়ে গত দেড় দশকে
e8a3b2a052	ef4f8	দিনের শেষে
e8a400d971	2695f	এ বাড়ির কোনও মানুষই
e8a471274c	84145	আগামীকাল বুধবার এটি
e8a4882f04	43b04	পালন করা হত
e8a494b076	09b32	নৌকা ভাড়া করে
e8a4b59142	43fc0	সম্রাটের জন্য
e8a4f8c8c9	52f27	ও জোর করে
e8a54c8af2	2840e	দীপ্ত টিভি
e8a56f5357	e6e48	সিদ্ধান্ত নিয়েছে
e8a582365d	7e1d5	এই বিচারের প্রক্রিয়া এর স্বচ্ছতা
e8a585db07	2d78f	চরমপত্র অনুষ্ঠানটি
e8a6670b33	f1ea4	কীভাবে চলন্ত গাড়ীতে
e8a692925b	bd576	কোরানের ওপর রাখা
e8a76737c4	f0f95	হঠাৎ স্টিমারে উঠিয়া
e8a7807c84	15a75	পিঁপড়ে বললে
e8a7d3e621	c1e30	কাবুল থেকে
e8a7ec632d	f2b7d	বেসরকারি স্কুলের শিক্ষকরা
e8a7f541fc	287bd	হামাসের মুখপাত্র বলেন
e8a7fe4d7f	e6d83	তার প্রেমের জীবন
e8a87acf7f	c4973	৪৮ ঘণ্টার হরতাল
e8a8849243	d2355	কবিতা,নাটক,সিনেমা
e8a8850cda	745b7	কার্যালয়ের সম্মেলন কক্ষে
e8a8e3ea70	9092b	বাগেরহাট সদরে
e8a92afc3b	1f733	একটা বই লিখে ফেলি
e8a934c7cf	e3f89	জনগণের সেন্টিমেন্ট
e8a95e18eb	33aef	প্রক্রিয়ারই সমালোচনা করছেন
e8a998ae2b	ac904	ডাকা অভিমুখে লংমার্চ শুরু করবেন
e8a9e74c65	410fa	৪ হাজার ২০০ টাকা বেশিতে
e8aa141e67	ee994	বিক্রি হয়েছে
e8aa74ca4b	d2faf	দুই পাত্রে ঢেলে দিন
e8aa96457f	2ecf8	সেখানে দেখিলাম
e8aacc0af0	f89d7	আমাদের সেই চ্যালেঞ্জ
e8aaef7a94	eecdd	ওদের দেয়া যেতে পারে
e8ab046a8d	33aef	গত কয়েক দিনের
e8ab12f3e8	ee852	চেষ্টা চালিয়েছেন ধোনিও
e8ab390baf	bc81e	তৌহিদ-আল-তুহিন
e8ab8fbb8b	da6f0	মৌলবি এসে
e8abc970f3	14d25	বানানো হয়েছে তার সঙ্গিনী
e8abf143cc	dec2d	অভিনেতা জর্জ বেকারকে
e8abf17699	98b81	কেন্দ্র থেকে
e8ac5f622e	4dd57	বাঁ হাতে চামচে তা মুখে তুলে নেন
e8acdf0281	65e30	সেই আয়ুধ
e8acfba90c	31f2a	পেঙ্গুইনের এক প্রকারের প্রজাতি
e8adb654fd	fcc89	স্কচটেপ দিয়ে
e8adc595c9	9d46f	সেই লেকচারের জন্য
e8adf0fee7	d1b12	দুর্গশিরে পেচক
e8adf3102f	80505	সেই অসুন্দরকে দমন করে
e8ae2a2dbd	9d46f	একক প্রার্থী চূড়ান্ত করার নির্দেশ
e8ae35a956	2d78f	আমদানি পণ্য ও কাঁচামাল
e8ae714244	6b437	সাকিব খানের নতুন ছবি
e8aefd4dca	d9817	রুদ্ধশ্বাসে প্রাণ দিলো যে
e8afad90f4	d9ba9	একজন করে তারকা উপস্থিত থাকবেন
e8affbe939	410fa	শ্রমিকদের আবার
e8b083faab	dfefa	কথা হয় অহিদুল-আইরিন দম্পতির
e8b09c2fe5	fb4cb	জিনিষপত্তর তুলে দিলে
e8b1414301	92f59	অমিতাভ রেখা
e8b2c33074	da6f0	একটা গল্প দেওয়া হয়েছে
e8b2f946e3	3bb15	বিস্তারিত পাঠিয়ে দিচ্ছেন
e8b32948aa	c9c19	অতি অবাস্তবতা, অতি গল্প
e8b35df805	80518	নানা দলের হয়েই প্রচারে
e8b37dcd8b	cfc65	বিলু কবীর নিজের উদ্যোগে
e8b3951568	d1b12	তৈরি হচ্ছিল আরেকটি বাড়ি
e8b3c06d29	64092	একটা গর্ত থেকে
e8b41b7d6d	2bd99	সেলফি
e8b4b95dd5	194f5	১৯৯৮ সালের ১৮ জুলাই
e8b545ae6f	b8bf0	প্রাতিষ্ঠানিক শিক্ষা
e8b588d975	8ba2b	ছটকুকে প্রস্তাব দেওয়ার
e8b5f8b654	7b103	মানুষের দেখা
e8b63ed75d	79b06	এখন পর্যন্ত যুদ্ধবিরতির
e8b644f6eb	16e96	এ ছাড়া বালির
e8b663657a	a3a6d	পরাজয় ছিল সঙ্গী
e8b67fd448	dafb6	এমন দলই জয়ী হবে
e8b6c722f6	adf01	এসএম স্টাইল
e8b78ff1c4	4a67e	কেননা এ নির্বাচন হয়েছে
e8b7ea49fb	a1201	১২২টি গাড
e8b83fe591	0e637	দেশের বিভিন্ন শিক্ষাপ্রতিষ্ঠানের
e8b933d43f	f1ea4	এই প্রতিবেদনে
e8b93c8458	410fa	সার সংবাদ
e8b94c053e	f89d7	কী হল
e8ba15324c	2fe3c	তদন্তের স্বার্থে তাদের পরিচয়
e8ba9ba11c	ced74	১৯৩৮ সালে
e8bac3522e	ff970	সেখান থেকেই
e8bada3be9	ce180	আত্মহারা হয়ে যাবেন
e8bc6d90d8	e754e	রানা প্লাজার ধ্বংসাবশেষে ১৭ দিন পর কাউকে জীবিত পাওয়া যাবে, এটা উদ্ধারকর্মীদের কল্পনারও বাইরে ছিল।
e8bc74fd9b	948d3	বেসরকারি শিক্ষক নিবন্ধন ২০১৪
e8bc92e7e0	7c272	মজার কমেন্টস
e8bcf4eed0	c0d65	চট্টগ্রামের উদ্দেশে ছেড়ে যায়
e8bd2f29d4	e50f1	জাহাজ ভেড়াবার জন্য
e8be0b92a1	2fc12	অবশ্য বিয়ের সময় তিনি
e8be1b91f3	1cb75	আপনারা বুঝতেই পারছেন
e8be593063	880ae	কয়েক দিন ধরে
e8be9b62d5	68549	সেই থেকে আমরা
e8bf66e845	fcefa	শিক্ষক ইতালীয় শিল্পী
e8bf85e192	29d44	অভিনয় করেছেন ওমর সানি
e8bfa4c803	388c9	জাতীয় গৃহায়ন কর্তৃপক্ষের সদস্য
e8bfa5bddf	0f047	আতলেতিকো মাদ্রিদ
e8c0d740d9	509f6	নৃত্য প্রদর্শন করে থাকে
e8c0f4f777	9c8dd	পয়লা বৈশাখ থেকে
e8c1ca29c7	43199	অবদান রেখে
e8c3006864	d71a3	একজোড়া দম্পতি
e8c32e4866	baa02	তাদের অভিযানে সুনির্দিষ্ট অভিযোগে
e8c3329140	ced74	সংশ্লিষ্ট দপ্তরে
e8c333b815	693cb	দাবি করা হয়
e8c374e1c5	b8bba	দিবস
e8c3755196	ee994	শিরিন বকুল
e8c3a9bae0	75626	বাল্যবিবাহ
e8c3d5040e	dba43	একমুখী প্রবাহ মাপার জন্য
e8c4cb49a3	ea5be	জনগণের ভোটে আমিই জিতব
e8c5fae02d	42898	লেয়ার করে
e8c6adbe44	7d133	পরিবহন প্রযুক্তি জাদুঘর
e8c6cd31c7	fcc89	স্বীকৃতি লাভ করে
e8c6eb7ef5	6aac8	আমরা মাঝে মাঝে
e8c7437da3	e2c11	মেহেদীর ডিজাইন
e8c79dc469	4dd57	রাজ্জাক-কবরীকেও
e8c7c4afc8	66dcd	অর্ধেক খুঁড়িয়ে খুঁড়িয়ে চলছে
e8c7d36d98	0e637	ঢাকার অন্যতম একটি বাণিজ্যিক এলাকা
e8c7f9b0e8	65e30	সাংবাদিক হেদায়েত হোসাইন মোরশেদ
e8c806cdac	d8c80	বাঁশের খুঁটিটা
e8c83ea00c	68ab7	অবসরের সিদ্ধান্ত
e8c87f38ab	83c53	রাখছে ইসি
e8c87f9f03	778c0	থেকে দেখা
e8c8b29223	ce629	অ্যাক্টিনিয়াম আবিস্কারের
e8c958f1e1	f4ba7	শীর্ষ দল অস্ট্রেলিয়া
e8c9d9e743	14d25	বিজলি চমকাতে শুরু করল চারপাশে
e8c9e869fd	d3e06	ইতিমধ্যে চার পাশে
e8c9f4f14f	4e900	কার্মা, যা ১৯৮৬সালের
e8ca5bb2af	9351a	লিচু গাছ
e8cad8acf8	72649	সংগঠিত করার জন্য
e8cb100130	e6e48	১৯৭১ সালে ১৫৪২
e8cb457ced	9fa90	উঠে আসবে বার্সেলোনা
e8cbc04d66	256f5	তুমুল আলোচনা-সমালোচনা
e8cbd6b059	e754e	ছিন্ন করার
e8cc0fe8b9	60b9d	আব্দুর রব খান বলছিলেন
e8cc728f31	25117	আইসিসির তদন্ত কাজে আমি সহযোগিতা করার চেষ্টা করেছি।
e8ccba1f52	fcc89	জায়গা রয়েছে
e8ccbb766d	23291	গর্বে আবুল
e8cceaff26	12702	প্রস্তাব দিয়েছে প্রতিবেশী দেশটি
e8ce4d95f0	37d7e	কিন্তু ভারতে হচ্ছে
e8ce5d9707	56508	অনেকে ক্ষোভ প্রকাশ করে বলেন
e8ce8c1e29	bdd05	পাসের দিক থেকে ছাত্ররা এগিয়ে থাকলে জিপিএ-৫ প্রাপ্তির দিক থেকে এগিয়ে ছাত্রীরা।
e8ced4e7be	fcc89	শুক্রবার বিকেল সাড়ে ৪টায়
e8cf44be17	b8fe1	অ্যান্টার্কটিকায় সামরিক কর্মকান্ড
e8cf85c74d	efc0d	শনিবার মধ্যরাত থেকে
e8cf9e9720	80539	ইনজেকশনের হাত থেকে
e8cfe1bab8	7c272	বাড়িতে রাখতেন না
e8d0561c85	2bd99	কখনো পড়েছিস
e8d0681657	903fa	দেখানো হয়নি
e8d081094c	6ab59	ক্লাসের যেমন ক্ষতি হয়
e8d085a8fd	520fb	বলেই তারা মনে করেন
e8d162f68b	adf01	আজ ইতিহাস
e8d1861eaf	4fc91	দেখার কথা জানিয়েছে
e8d2004c97	43199	খুব তাড়াতাড়ি বিচরণ করে
e8d21f5914	2ee04	সমাজসেবক এবং লেখক
e8d2227e0c	4f450	সেই কথা
e8d33b6c18	b618b	সামারদাসা গতকাল কলম্বো শহরে অবস্থিত সিলন বিদ্যুৎ বোর্ডের সদর দপ্তরে ভূতুড়ে বিদ্যুৎ বিলের প্রতিবাদ জানাতে যান।
e8d33e9119	4a918	আইনি লড়াইয়ে জিততে হবে
e8d353d6a4	ce629	তার বিশেল-ষণী শক্তির
e8d3eb594c	1de6c	পাগলের মত কাড়াকাড়ি
e8d40cb336	e8dde	তিনি প্রেসিডেন্ট নির্বাচিত হয়েছেন
e8d45004b4	f4ba7	নয়াদিল্লি থেকে
e8d46545cd	0edef	এটা জানতে পারব
e8d47fc899	80505	বললেন প্রত্যেক বার
e8d490c255	29bab	অবশেষে বঙ্গভঙ্গ রদ হয়
e8d5b287f2	2ad74	করিমের বীরত্বের গল্প শুনে
e8d5f1b1cf	80518	প্রচার প্রপাগান্ডা
e8d62e68e9	24f73	সমাবেশে নেতাকর্মীরা
e8d66a650f	b8ed8	কোরআন ও হাদীসের বাণী
e8d69b2292	c2082	আরেকটি শৈত্যপ্রবাহের
e8d6d2e9f3	b8ed8	আগে যে প্রভাব ছিল
e8d6e0dabb	7c272	খোকাবাবু
e8d6f6d8cb	c2082	হরিণের দল ওদের দশ গজের মধ্যে
e8d70395f1	b08d0	বলতে হয়
e8d77e966b	4c555	কেহ কেহ
e8d7ba4867	e9759	আলিয়া ভাট
e8d8543cc5	9092b	মি. খানকে গ্রেপ্তারের
e8d8fcd7ae	a43b5	যুদ্ধাপরাধ আইনে
e8d93e3333	85430	অতিবাহিত করেন
e8da150b26	f0f95	মহিলাদের ফাইনালে
e8da4fd993	e9589	তার বিশাল হাঁ মুখ
e8da82c7ec	fd880	পরিবর্তন ঘটে
e8daac754c	49543	কিছুদিন যেতে না যেতে
e8db2fc914	1e7c7	শিল্পী গৌতম চক্রবর্তী
e8db62c315	13b70	কিন্তু সে উদাসীন হয়ে
e8db9471c9	ce775	কালো মেঘ
e8dba373d9	3d17c	সারা দেশে অন্তত
e8dcaf20e4	4c1eb	এই অগ্নিকান্ডকে নাশকতা বলে
e8dd0d9270	5354e	নানান কথা
e8dd671ce8	f1240	একটি বগুণো
e8dd89fd6c	64092	সুরমার পা, গলা ও বুকে
e8de0303b3	0895a	চারজন উচ্চপদস্থ কর্মকর্তা রয়েছেন
e8de27ed9a	91dff	শুয়ে ছিলো ২০-২৫ জন
e8de2e1b32	38ff0	১ হাজার ৩৮১ জন
e8df123cfb	8143b	কাজ আছে যেগুলি
e8df1ab471	3faff	প্রতিশ্রুতি দিয়েছিলেন
e8df45159a	c7a89	চোট বেশ ভুগিয়েছে
e8df945d22	16cfb	অবরোধকারীরা সাতক্ষীরা খুলনা মহাসড়কের
e8df97c70f	7df87	অন্ধকার পাহাড়-প্রাচীরের মাথায়
e8df9a6111	8edea	স্বভাবতই উচ্ছ্বসিত!
e8dfcc0e61	c41d8	২ ফেব্রুয়ারির জাতীয় নির্বাচন
e8e014dca0	21e54	করিতে
e8e05b3b63	0d9f1	একটি দল
e8e07bf05e	2d78f	বিভিন্ন শীতকালীন
e8e0902c61	ee852	আমার ভূমিষ্ঠ হবার
e8e0f54cdd	fcefa	কামেদশেখের বিরুদ্ধে
e8e146426b	bd576	বরং উল্লেখ করেছে
e8e18b756a	698ff	সরকারের কাছে প্রশ্ন
e8e2db477c	68549	চিকিৎসকরা
e8e33e2d5e	11915	বৃষ্টিপাত হয় যে
e8e34185be	5cb47	জেল হবে
e8e388e3f4	6973e	তবে দর্শকদের একটি অংশ
e8e38927a3	a06a1	করেছেন
e8e3cbb1ae	88654	সহিংস আচরণের সঙ্গে
e8e3efb948	b8bdd	বেসরকারি চ্যানেল বৈশাখী
e8e449ebb4	17dcd	রিপোর্ট করেছিল
e8e4770256	767ff	এখন আমাদের খুঁজছে
e8e482f7fa	554fe	বিচারককে উদ্দেশ্য করে বলেন
e8e4ac17d4	0d9f1	সাপ্তাহিক চাকরির পত্রিকা
e8e4b79d69	4c1eb	এমন একটি মসজিদ
e8e501364e	80505	বিমান দুর্ঘটনা
e8e54e5a2b	c173f	টাকা আনতে বলে
e8e59cb61e	287bd	হানিফ বাসের দরজা
e8e65251c4	0b7ca	বিভিন্ন ফোরামে
e8e65f3332	59c73	জবাব পাইলে
e8e66bac30	a7c6f	আমরা শুরুতে
e8e66d3023	cc18a	কয়েকটি পরিস্থিতির
e8e67c0077	3fb17	বুঝতে পারলে ঘটনাটা বল
e8e6a563db	75f18	হলো কিনা
e8e6e92ba3	f143a	যা করছে তাতে মনে হয়
e8e7134fec	7d004	শিক্ষাক্রম উন্নয়ন
e8e71f067a	8b859	ঢাকার অন্যতম একটি হাসপাতালে
e8e722aad8	16877	২০০১ সালের পর
e8e7b5c2d1	f2097	এবং বাগান
e8e8a1af12	bd576	আলোচনা হবার কথা রয়েছে
e8e8adb11b	92bb2	একটি যাত্রীবাহী বাসে
e8e8b336ef	28bb3	ঠিক কী কারণে
e8e8b7bc6f	4c555	লজ্জিত হতে হয়েছে দেশবাসীকে
e8e8e4d80d	75936	আম পাড়ে
e8e9e00b27	52f27	তার জীবন চলে গেলেও
e8ea04a161	d0c70	শেষ পাতা পর্যন্ত
e8ea0a0632	eb179	মার্কিন যুক্তরাষ্ট্রের
e8ea5bc4a4	f4ba7	জানান এই পুলিশ কর্মকর্তা
e8eb5bde1b	42898	এত সহজে মৃত্যুকে
e8ebb0278e	dec2d	উপজেলা স্বাস্থ্য কমপ্লেক্স
e8ebd05dd2	80518	কখনো চিলমারির পথে পথে
e8ec63741d	7e1d5	এমন পিপাসার উদ্রেক হয়
e8ed697166	09f0d	সে কথা মানছে
e8ed7ad139	d711f	মাঝেমাঝেই মাথাচাড়া দিয়ে উঠছে
e8eda95524	4fc91	৬০টির মতো সিসি ক্যামেরা
e8edea4d6c	2de86	কোন তারিখে
e8eeae4973	92bb2	সংঘটিত মানবতাবিরোধী অপরাধের
e8ef32e4a7	09f0d	সবার জানাজানি হয়ে গেল
e8ef4d64c6	12702	শাসন করত
e8efb83013	698a4	ঘুর্ণিঝড় শুরু হয়ে যাবে
e8efe1676d	92f59	সন্তান দত্তক নেয়ার কথা
e8eff7d835	6d129	পথিমধ্যে উপজেলার
e8f0b36ac9	21e54	শুক্রবার ২৩ বলে
e8f10b24f5	9282d	এখন জনসমর্থন নেই
e8f10f8f72	8b859	সন্ধ্যা ৬টা ৩০মিনিটে
e8f1286522	8cf95	তারা গান বাজনা আরম্ভ করবে
e8f19bb15f	7aed9	কাজে লাগাতে পারেননি তিনি
e8f1b5ccb4	8c07c	মনে মনে সে কৃতজ্ঞ
e8f1c3edfe	39293	মঙ্গল-অমঙ্গল উপেক্ষিত
e8f1cc0672	12702	সাতদিনের ছুটি নিয়েছে চৈতালি
e8f1e6f5c2	91ac1	তিনি তাজ্জব
e8f2ef87b0	fda1a	তখন ছিল না
e8f2fe55cf	f2780	এ সফরে তিনটি করে
e8f3854a41	351dd	এগিয়ে যায়
e8f3bd59fb	fcc89	আমরা তথ্য পেয়েছি
e8f45f30dd	fcc89	প্রথম এক ঘন্টায়
e8f4e3d5f3	509f6	চলন্তিকাটা টেনে বার করতে গিয়ে
e8f540df71	80be1	বাজারে নতুন ধানের
e8f548d793	ce180	নতুন ষড়যন্ত্রে
e8f555bec3	71522	সৌন্দর্যের নানান অনুষঙ্গ
e8f5724d83	d1a48	তার পরের ওভারের শেষ বলে
e8f5b1f2c9	79b06	কম্পাস এদিকে অকেজো
e8f5b2638e	e00db	মাঠ পর্যায়ে যে পদগুলো রয়েছে, সেগুলো তৈরী হয়েছে সত্তরের দশকের শেষদিকে।
e8f5d05e66	21e54	উইন্ডোজ সেভেন
e8f61d690a	4237e	স্বর্ণাক্ষরে লেখা রয়েছ
e8f6b868bf	351dd	ও দুলেইব হিলস এলাকায়
e8f7027c58	1de6c	দেখার উপায় নেই কারও
e8f73147cd	c8f7f	লঞ্চটিতে যাত্রীসংখ্যা ছিল
e8f782c849	01e91	বিভিন্ন ট্যালেন্ট হান্ট অনুষ্ঠানে
e8f7e87897	430b2	এ নিয়ে দুবার
e8f82e4a80	2bc73	কারো সঙ্গে
e8f832a274	0e637	আমরা সংবিধানের ভিতরে থেকে
e8f8646ff8	3f875	অ্যালবামের সবকটি গানে
e8f8ada260	ab946	টাকা শেষ অবদি আল্লাহ দেননি
e8f8b3b3ab	e6e48	তারা শ্রমিকদের ওপর
e8f8d541c5	49d63	বন্ধ করতে
e8f8e58893	5cb47	আমার সঙ্গে
e8f9054ddc	38ff0	কিন্তু আশির দশকে উনি
e8f93f9a0f	f658d	বিশুষ্ক জীবন
e8f9472f13	d1b12	গ্রহণ করেছেন তিনি
e8fa3bce58	e2ba2	ও একুশে পদকসহ
e8fa3d52bf	1279e	জন্মগ্রহণ করেন,
e8fab814ef	dafb6	ঠিক পথ
e8fb4ea3e8	c0965	ফড়িং
e8fb8581dd	c958a	মৌসুমী হামিদ
e8fbfb6a4a	c173f	এ ব্যাপারে অগ্রণী ভূমিকা
e8fc0a0df3	1b359	চাকরি সরকারিকরণ করা হয়েছে
e8fc0c48c0	dba43	ঠোঁট
e8fc896c2f	a43b5	মাথা নাড়িয়া
e8fd031ae8	f1ea4	কালুস সাহেবের স্কুলেও
e8fd1235e4	d8c80	এক ধনী বেনে থাকে
e8fd6dbe43	7f2ef	সুনাম কুড়িয়েছেন তিনি
e8fe2446bb	7a227	হোমওয়ার্ক করা
e8feab5ddd	086dd	উত্তেজনা
e8fead00bc	d5f7b	লড়াই বৃদ্ধি পেয়েছে
e8ff28704d	29f8c	অবস্থানরত ঝড়টি
e8ffdc4ebe	f280a	এএসপি রবিউল ইসলামের কাছে
e8fff41b2d	ad98d	আর কত ঘুমাইবা
