13000639d7	6973e	তারাও মাঠকর্মীদের নির্দেশনা দিচ্ছেন
1384bfc3eb	e2ff7	এ সময়ে প্রাপ্ত সর্বমোট
1384f871fe	c0965	আর কোথাও
1385379451	b00ba	দ্বীপটির নামকরণ হয়
13857df015	153c9	যখন চাঁদ পৃথিবীর কাছাকাছি পৌঁছায়
13858c2113	bbb22	সব রাজনৈতিক দলের
1385a8385c	91ac1	ঢাকার ঈগল ড্যান্স কোম্পানির
1385b49ea4	1cb75	সিরিয়ার বিরোধীদল বলছে
1385e22054	33814	কিছুদিন পরে
1385e59efd	8406e	মজার ম্যাজিক
1386abe33e	a06a1	নাম প্রকাশ না করার শর্তে
1387383785	93080	বাসুদেব
1387759fd9	bd576	নারীর রসবোধ নিয়ে
1387b201ad	43199	একাধিক প্রতিরোধক
1387b879fc	f83df	তবে এই সংঘর্ষে
1387cfffd1	3b1f7	আগত অতিথিদের রাত্রি যাপন
1387d549b0	9f25e	উদ্বেগের বিষয়
1387fae053	ce775	তিনি নেতৃত্ব গ্রহণ করেন
1388020abc	91223	গণতন্ত্রের চর্চার পক্ষে নয়
1388325a25	82926	বর্তমান সময়ের শিক্ষার্থীদের মধ্যে
1388433aa5	03284	লিখেছিলাম শ্রাবণ-এর দ্বিতীয় সংখ্যায়
13889c9f45	16cfb	যানবাহন, রোবট, ইত্যাদিতে
1388e9e22c	80539	তাহারা ‘তুই’ ‘তুই’ করিয়া
13892b0bec	dae88	কারাগার
13893a6d8d	8edea	বাঙালি মধ্যবিত্তের ধর্ম
13896d13b4	b00ba	অবাধ মেলামেশার জন্য
1389cc093f	7d004	সামাজিক মর্যাদা বাড়বে
138a87d89d	31f2a	হামলার কথা
138a9001f9	d9817	আলাদা গাণিতিক সত্তা রয়েছে
138b838beb	d2faf	বক্তব্যও রাখেন
138ba6a807	fb4cb	তাঁদের কাছে ধর্ম মানে
138bd4cc70	23b22	বেসরকারি শিক্ষাপ্রতিষ্ঠানের শিক্ষার্থীদের গনিত ও বিজ্ঞান শিক্ষার মান যথোপযোগী নয়।
138be29932	17ca1	তাজমহলকে মোগল স্থাপত্যশৈলীর
138be5a9c8	11de3	ও সাংস্কৃতিক সংগঠন
138bec3062	d2d71	বিখ্যাত পন্ডিত
138c2ea34c	e9589	আইভি রহমান
138c6b83f4	6da0a	মোহাম্মদ হোসেন মজুমদার জানিয়েছেন
138ca6be6c	d5213	এলো নারীকে পণ্য করার
138ce6d801	d9817	কিন্তু তাদেরকে
138d9e0170	943de	কেইলিন ‘দিস্ ইজ্ গ্রোবি’ বলে
138dfd28f2	93080	খুলনা বিভাগসহ বিভিন্ন জেলা থেকে
138dff7d0b	29f8c	সপরিবারে বেঁচে যেতাম
138e911131	efc0d	মি. হকের সাথে
138f0c410f	0a87a	ঠিক আছে
138f57d2f4	11915	পয়সাও ছিল না
138fa556ab	95f83	কোনোটার প্রেক্ষাপট ব্রিটিশ ভারত
138fc52318	cb1aa	তোমাকে পাব কোন প্রটোকলে
138fccf127	c3cb3	মাননীয় স্পিকারের
138fedcde3	c9c19	যে প্রকার সমকতা থাকা উচিত
139036d9ce	d2d71	চুড়ান্ত করা যায়নি
13909ea630	860f4	পাঠ করা হয়
1390bc010c	5d80e	কার্যকর করতে হবে
13910ed7e6	92bd8	যুগসন্ধিক্ষণে তারা সবাই
13910f3a03	5b13f	হরিবংশের পূর্বগামী গ্রন্থ বিবেচনা করি
1391194f64	8c120	ডিবির কাছে
139141029a	a7c6f	মজিবর, আমেজ, রেখা
13916a0be1	bdd05	বিশ্বাস হত আমার
139174f2b1	2bd99	ঘুরে বেড়াতে দেখতে পান
1391824058	2aecc	মৈত্রীর সম্পর্ক গড়ে তুলব
1391a9dbf3	430b2	শ্রমের মূল্যের মতো
13921a0742	7027a	এবং রামচন্দ্রকে পূজা করে
1392464317	f29bf	বাঘা খুব খুশি হল
139270cc61	1f733	কাজেই মিঃ বুশ যে লক্ষ্য নিয়ে
1392af0c59	ad050	রকেটের বিষয়ে
1392c640c1	a43b5	ভারতের বিখ্যাত লেখক
13930ef8d8	80be1	একটি নতুন স্থলবন্দর খোলারও
13939af5fa	46d49	ভূমি সমস্যা সম্পর্কে
1393c264b6	9e923	মাঝে সে বাসা থেকে
1393d0facf	8c120	এবার নিয়ে
1393d41adb	7e1d5	সামনের গাড়ি
1393e84684	75936	ফর্মুলার যেমন ছক আছে
139541d5c4	f0f95	ভালাইপুর হাটের
1395f128bd	287bd	ফর্মুলার যেমন ছক আছে
1395fe9110	79b06	এক অচেনা পথচারী
1396261168	acb88	সর্বদলীয় একটি সরকারের অধীনে
13964c30ff	db181	কাপড় দিয়ে বাঁধা ছিল
1396fff883	18a52	কর্তৃপক্ষ কি উদ্যোগ নিয়েছে
13978953c6	3faff	নেওয়া হচ্ছে
1397b4fd2f	24f73	আবার কখনো পাতলা পায়খানা
1397d91dbc	b8bdd	বাংলাদেশ ক্রিকেট দলের
1397e2cb7a	0a7a0	গুগল
1398049c94	77f82	বাংলাদেশে প্রেক্ষাগৃহ ছিল
1398d1bc30	43b04	এখন চোরাকারবারির গডফাদার
1398d75aa6	4f450	আপনার অনুপস্থিতিতে ব্যবসায়ে আপনার ক্ষতির জন্য সার্বক্ষণিক মুখিয়ে রয়েছে তারা।
1399007e0e	d3e06	এ-জাতীয় পরিবেশনার
139962634e	2d98b	আমাদের কিছু নেই
1399912f4d	536d9	এসেছে এখানে
139996df94	09f0d	তামান্না ভাটিয়া
1399bef664	88654	১৯ জন সিপাহি
1399e7fb75	7898e	বাঙালি কণ্ঠশিল্পী ও মঞ্চাভিনেত্রী
139afae722	e03fc	যুক্তরাষ্ট্র, ইউরোপীয় ইউনিয়ন
139b17512a	e7230	এ পর্যন্ত ১০ জনকে
139b6d2479	2ad74	আশপাশের সড়ক
139b6f2815	0c39f	নিহত সুমন স্থানীয়
139b76fe7e	28dfc	যখন দেখা গেল
139b8688b0	db181	উঠে বসেছে
139c1ecc23	dba43	সে আবার নিঃশ্বাস ফেলল
139c64b6db	590d0	সহকর্মী সাইয়েদা আক্তার
139caf5364	a3a6d	মৌটুসী বিশ্বাস বলেন
139cc82a33	d7a68	পোকা যখন ধরে
139cdad524	f1240	আশঙ্কার কথাই জানালেন
139cf75ca5	c0965	বুধবার সকাল সাড়ে ১০টার দিকে
139d3b453f	56508	অন্যদিকে রুশপন্থী বাহিনী বলছে
139d8d0577	7e191	কেইলিনকে ভেতরের সামানাদি দেখান
139db60429	6973e	এক পর্যায়ে প্রচলন হয়
139dc90018	7a227	তাঁর সর্বশেষ ছবি
139e7a4d1b	0c39f	একটি বিশ্ববিখ্যাত উপন্যাস
139e81d205	f83df	বিভিন্ন জায়গায় ছড়িয়ে পড়ে
139ec4ac2a	c41d8	আট মাস আগে
139fc8d30b	92bd8	দেখতে পেয়েছেন বলে জানিয়েছেন
13a021b874	a3a6d	অষ্টক গীত
13a0acf0d8	1c618	২৮টি স্কুল
13a134ef03	01e91	তিনি এখন কতটা প্রাসঙ্গিক
13a1370f6f	7f71c	ঘোষণা করেছিল
13a17e05f3	e6e48	প্রদান করে আসছেন
13a18a6a6e	72649	বেরিয়ে আসে রাস্তায়
13a21d390c	0c39f	চল্লিশের দশকটি
13a2d96c46	4f450	নিজে থেকে এগিয়ে গিয়ে
13a2eaeb85	e3d8b	ভবিষ্যতে মূল্যায়নের
13a307971a	fda1a	জোনাকির বদলে জুটল শুটকি
13a346493d	4c1eb	খুব কড়াভাবে আসে
13a37aedc8	d9081	ক্রাচ ব্যবহার করত
13a485a951	e31e7	ভিক্ষে শুরু করে
13a4b0dc2e	f6e55	আয়ারল্যান্ড
13a4d8bbf7	ff1eb	পরামর্শ নেয়ার জন্যই
13a4fbf0ad	aa820	বিতর্কিত জীবনযাপন
13a55c9396	1de6c	বৈশিষ্ট্য রূপে
13a5724e4d	9c8dd	জাপানের তৎকালীন পররাষ্ট্রমন্ত্রী
13a5acd054	d1a48	নাছারারা তাদের
13a5cfd8e2	18460	ক্রেতারা পাওনা টাকা দিতে
13a63fafc3	e2c11	এসব দেশের রাজনৈতিক সঙ্কট
13a66dd9c6	976b1	বলতে রাজি হননি
13a6953905	7898e	ঊনবিংশ শতাব্দীর ভাষাতেই
13a6b0faeb	2695f	ভোটার, ভোট কেন্দ্র
13a6d4d84e	da6f0	জড়িত আছে কিনা
13a70384f2	c3cb3	দুটো গ্লাস এনে
13a76df75a	8ba2b	ত্বকের যত্ন নেওয়া যায়
13a7c0afc1	fd880	আবার ঘোর অন্ধকার
13a7c63dc9	ee852	সত্য ঘটনা নিয়ে
13a7ce53d7	cd3ac	জয় করতে শুরু করলাম
13a80c09b5	6973e	সবগুলো গানের সুর করেছেন তিনি
13a81c7671	6aac8	ইতিমধ্যেই দেশটির সেনাবাহিনী
13a9b9992d	903fa	এক পুত্রের জন্ম হয়
13a9c36f78	60f77	স্বামী ছেলেমেয়ের জন্য
13aa147853	8a46d	তাঁহাকে কেহ সৃষ্টি করে নাই
13aa1cd9c1	a06a1	পালানোর কী দরকার ছিল
13aa7947b7	2bd99	কিছুক্ষণ আগে কেউ
13aaae5daa	4a918	মন্ত্রী এক বাণীতে বলেন
13ab63e6e6	ba2f6	টেপ খুলতে গেলে
13abe59d13	404ee	আটক করতে পারেননি তার
13ac7c68a2	4486f	ইচ্ছাশক্তি, পরিশ্রম
13acea7d14	13b70	মাথায় বালিশ পড়তে
13ad07a86c	28dfc	সুর, তালের
13ad2a87d5	5a61c	যুদ্ধ বিমানগুলো অনবরত মহড়ায় রয়েছে
13ad87809c	6e6fa	আঁচড়ে বলেন
13ad9a3dbe	256f5	কতজন এই শাস্তি পেয়েছে
13ada0f282	d1a48	গাজীপুর সিটি কর্পোরেশন নির্বাচনের
13af0ee235	ce180	হয়তো তারাই
13af4f17ea	ca831	মেয়েদের গাড়ীতে
13b05a8ca1	4486f	বিশ্ববিদ্যালয়
13b0688663	13b70	বিশ্বকাপ ফুটবলে
13b09f6e6c	7b103	কালো, সাদাচ, লাল রং
13b1035b29	4f2ae	একলা মানুষ নও
13b1ae8439	1cb75	পরিবারকে অবহেলা করিনি
13b2ff5585	b78ec	ক্যাম্পে রয়েছে
13b33a9d56	2840e	তাকে খুন করে
13b381800a	693cb	বেদের উৎপত্তি সম্বন্ধে
13b38204f9	06736	২৯ জুন ২০০৭ তারিখে
13b3bafbd7	2396d	১৯৮৮ সালে এডিবিতে
13b467719b	e03fc	সকাল ৭টায় বিশিষ্ট সংগীতশিল্পী প্রিয়াংকা গোপের উচ্চাঙ্গ সংগীতের মাধ্যমে শুরু হয় উৎসবের আনুষ্ঠানিকতা।
13b55d7213	86b1b	ছাড়িয়ে গেছে
13b5793bc1	49543	লিগে টানা ৪১ ম্যাচে
13b580fcef	10a9f	আপত্তি তুলে
13b5a03efa	cc9fd	মরম আমারে কয়ে
13b5b07de2	590d0	গ্রীসের এখন চলছে দুর্দিন
13b63164cb	bd576	সম্পূর্ণ চর্যাপদ
13b677b057	bdfc1	সম্মুখ সমরে একবার তিনি
13b67f42af	e6752	এইচটি ইমাম জানান
13b6a02e1a	80505	ডলি
13b6e00f99	fda1a	সত্তরের দশকে
13b6f85bd9	91223	তিনি মাদক মামলায়
13b75c606e	cb627	ড. অ্যাটিলা অ্যানডিচ
13b7b656a5	0d9f1	ততই নিজেকে ভালো লাগত
13b7bf2bab	e2f12	অসংখ্য নারিকেল গাছ
13b7c038c8	745b7	দুদিন ধরে তার বাড়িতে আবার কেরোসিন দিয়ে রান্না হচ্ছে।
13b864fb44	53396	একটি জাতীয় মানস তৈরি করা
13b86a30cc	153c9	নির্বাচন অনুষ্ঠানের লক্ষ্যে
13b86ed30a	6dff5	ঘি ১০০ মিলি গ্রাম
13b8a98242	d7a68	ঝুনুর, সোহেলির মা’র
13b93e0488	6c6bf	এতে তারা হুজুরকে
13b9a288a9	32b3e	খুলনা কৃষি বিশ্ববিদ্যালয়
13b9b5d484	2f547	অথচ এসবই
13ba094978	61820	বিশ্বে ডেইরি পণ্যের সবচেয়ে বড় যোগানদাতা দেশ নিউজিল্যান্ড।
13ba0ca8a5	b8bba	সিদ্ধান্ত নেয়
13ba6c98f0	3bea8	মার্কিন যুক্তরাষ্ট্রের পররাষ্ট্রমন্ত্রী
13bb3d395f	fcc89	তাদের বাসা দেওয়া হল
13bb9a5ae4	7d133	ব্রহ্মসূত্র ৪০০-৪৫০ খ্রিস্টাব্দ রচনার
13bbda7b79	388c9	যথা সময়ে
13bc0fc5b0	ce180	বড়ই ব্যস্ত হয়ে উঠলেন
13bc30c833	420df	যজ্ঞকুণ্ড নাই
13bc66d622	24f73	চাপ অনুভব করতো না
13bcacc6ad	49d63	হোয়াইট হাউজ
13bd1b5579	2c9c5	ব্যবস্থা নিয়েছি
13bd58b326	cc18a	তো নতুন করে ধরলাম
13bdcbfd08	29bab	হরে কৃষ্ণ গান
13be6f5593	2840e	ঈদের কেনাকাটায়
13be9d494c	a3a6d	কিংবা রাষ্ট্রনায়কের মুখ
13bf0217f1	a46e2	সুরাঙ্গা লাকমলের সঙ্গে
13bf326197	7b103	নমিত ধনুক
13bf6cb050	0633a	প্রকাশ হয়ে গেছে
13bfd12ee5	e00db	আশে পাশের গলিগুলো থেকে
13c0029c96	ad69a	সহায়তা দিতেও সম্মত হয়েছেন
13c02a16b9	06736	আবুল হাসান নামে
13c0717b94	03284	প্রথমে আমরা
13c0bc9fcb	c958a	যেটা কৃষিতে দেখছেন
13c0d9ee41	0b7ca	প্রতিটি বইয়েই দেখা যাচ্ছে
13c135eba1	f6e55	এ পর্যায়ে ৩৩০ মিলিলিটারের বোতলে পাঁচ লাখ ৩৮ হাজার ৯১৭ লিটার পানি বিতরণ করেন ১৩০ জন কর্মী।
13c1b97aea	18a52	বিনাশী ব্যবস্থা নয়
13c263cf7c	ce775	কিন্তু তার নিজের দেশ পাকিস্তান
13c2fd81ac	d9ba9	জরুরি অবস্থা জারি করা হয়
13c35609fb	9065c	পাঁচ বছর পর
13c395a908	4237e	সাফল্য এনে দিতে পারেনি
13c3d5cd2c	95f83	এক মুহূর্তে
13c40ede8e	8143b	পুলিশের বিশেষায়িত বাহিনী সোয়াত
13c449f77f	a06a1	তেতুল বাড়িয়া ও কাজিপুরের কিছু অংশ
13c44d989c	2b883	সিরিজে ১-০ ব্যবধানে এগিয়ে যাওয়া
13c45f5353	8143b	তাদের দাপটে
13c4a63e6a	a06a1	মর্মান্তিক সব ঘটনার বর্ণনা উঠে আসছে জীবিত উদ্ধার হওয়া ব্যক্তিদের কাছ থেকে।
13c52c263a	eb179	শুধু নিজে লিখে
13c5689d36	ee852	অনেকের মতোই
13c5827740	16cfb	কাঁদুনে গ্যাস নিক্ষেপ করে
13c5997368	7351e	খবর অবশ্য বলছে যে
13c5eb1de3	43fc0	অভিষেক অনুষ্ঠানে অংশ নেন
13c5f09156	8ba2b	বিভিন্ন সংগঠন
13c6275a88	39293	হার বেশি
13c6922801	3ec4d	ছোট আকৃতির গোল ধাতব গহনাকে
13c7bcd02c	84145	কলকাতা মোহামেডান
13c7ddb8c8	c41d8	পূর্ব বাংলার বাঙালিরা
13c826e6de	a06a1	আর্ট ফিল্ম হোক বা ইন্ডাস্ট্রির ছবি হোক
13c8cd8981	c958a	গিফট আইটেম
13c948c2df	11de3	এখনও অনেক কিছু শেখা বাকি
13c9e16875	95f83	টেকনাফ পুলিশ ফাঁড়ির চত্বরে
13ca5dc7b1	bcaa8	আন্তর্জাতিক মুদ্রা তহবিল বলেছে
13cb83cedf	0744c	রাখছে না
13cbab7dab	f1ea4	গোলাগুলিও হয়
13cc7e8dc5	cfc65	শ্রীলঙ্কার জন্য আঘাত
13cc805c51	dafb6	সব ঝামেলা শেষ
13cc8ede16	5dd61	খোলা ছবি
13ccf5ab32	e03ce	কেটে ফেললেন মা
13cd08e248	e8dde	ভোতা
13cd63451d	06736	ঝোঁকের বসে
13cd7a8c28	5a61c	আগামী ১০ ফ্রেব্রয়ারি
13cd9bf735	ff0fe	পর্যটকদের মৃত্যুর খবর
13ce327a87	61820	এক সূত্রের বরাতে জানিয়েছে
13ce4ece4e	f658d	আয়োজিত এক মানববন্ধনে
13ce6f3251	15a75	বর্তমানে, ২০১০ সালে
13ceb9c6e3	7b60a	ফটো ভেরিফিকেশন
13ced51967	121bd	স্থানীয় সাবেক সেনাসদস্য
13cf1bbd22	f4ba7	সবাই সমান খেলে না
13d0198d37	8c07c	একটি হচ্ছে যানজট
13d02a2320	a3a6d	এই রাজনীতিবিদকে
13d05c29ed	4f450	রবি বান্ডেল অফার
13d1ea7a0c	59c73	এই হুমকি যদি তারা
13d1f54bc8	aa820	জোরদারের পরিকল্পনা করার
13d2586a8e	9f25e	বডি বিল্ডার
13d28f637b	46da4	ভুল করেন নাই
13d32c5cf2	086dd	প্রাণে বেঁচে
13d32fce46	3ccf1	আরবি জানা, থামেন
13d365b49b	fbb81	আলোচক ও দর্শকদের মধ্যে
13d3787748	66b3c	বাইরে বিধ্বস্ত হয়
13d3cf7d66	33aef	১৯টি বৌদ্ধবিহারের
13d3f0a86f	cb627	সাথে সম্পর্ক যুক্ত
13d44d3618	7a227	তিনি নিজেকে সরিয়ে নিলে
13d4b21d04	8b859	১৯১৮ সালে বিক্রমপুরের
13d4ce541d	dae88	মুখ্যমন্ত্রী মমতা বন্দ্যোপাধ্যায়
13d4eba997	509f6	এই দায়িত্ব
13d4f7ab03	73629	চাহিদা মেটাতে পারতেন
13d4fece8e	54e68	ভূমি ব্যাংক
13d4fff0db	4486f	ভারত মহাসাগরের মাঝ বরাবর
13d507fe6e	ea5be	বলেন মি. মাহমুদ
13d51bacaf	93bf3	বাংলাদেশে গত দুই দশক ধরে
13d58cc1d5	5d80e	একমাত্র উদ্দেশ্য হচ্ছে
13d5a0cb0a	80e98	খুলনা সদর থানার ওসি
13d5be94b7	509f6	ঘটে গেছে
13d6a0f00e	6ab59	এসব উপজেলায় একাধিক প্রার্থী
13d6c895f9	ad050	সাম্প্রতিক কালেও
13d6f76513	98b81	ফেসবুক স্ট্যাটাস
13d71e11c0	442b7	বাংলা সাহিত্য সারা বিশ্বের কাছে
13d7f73b1c	69d9a	১৯০৮ সালে
13d82bce98	75626	এবং গভীর মনোযোগ দিয়ে
13d83ffae3	e2f12	বের হলো
13d88e6adf	43fc0	আন্তনিও স্ট্র্যাডিভ্যারি জন্ম গ্রহণ করেন ১৬৪৪ সালে।
13d8b588d8	75f18	ঠাকুরবাড়িতে উপস্থিত হলেন
13d90523d4	c8f7f	২০১৫ সালে
13d9478196	509f6	আমি আর বাবা হোটেলে খেয়েছি
13d95b3cdc	7b60a	মি. মোরসির পক্ষে মুসলিম ব্রাদারহুডের বিবৃতিতে দেশটিতে ইসলাম রক্ষার জন্য তাদের শান্তিপূর্ণ বিক্ষোভে জনগণকে অংশ নিতে বলা হয়েছে।
13da0e853b	194f5	মিষ্টিমুখ করিয়েছিলেন সেদিন
13da5baf2c	dfefa	চুকে যাবে
13db620289	967fd	লক্ষ যোজন দূরে
13db88026e	9642e	একটি জাতির
13db8f5a7e	66dcd	যেমন ধরুন
13dbc3b18b	430b2	ফলে প্রতিযোগিতা বাড়ানোর জন্য
13dbd7dd10	c0965	ক্রমানুসারে শিক্ষক, ছেলেমেয়ে, মা, স্ত্রী
13dbdea3fd	68549	মুখ্যমন্ত্রী ক্রুদ্ধ হয়ে ওঠেন
13dc772f20	e7230	নগরীর এক প্রান্ত থেকে
13dcb8c33f	43b04	পরিষ্কার করছেন
13dcf6ed20	bc81e	মুখের ভেতরের জীবানুকে
13dd4352e5	ce629	পোলোনিয়ামের নমুনা পাওয়ার কথা
13dd90639c	e2c11	আমার কথা শুনতেই পাচ্ছে না
13dd9e6410	56508	জাতীয় বিশ্ববিদ্যালয় ডিগ্রি আবেদন নোটিশ
13dde406e6	1f733	বিপথে থাকা
13ddfd17b1	2c9c5	পুলিশ গুলি চালায়
13de2e3205	967fd	অনেক এলাকার মানুষ
13de66b933	9092b	লিড নেয় স্বাগতিকরা
13de9b6f61	b618b	সাত সাগর তেরো নদী পেরিয়ে
13deb57525	35ef3	দিয়ে গেলেন
13df04cb90	d1b12	গতানুগতিক একজন মানুষ
13df99aa3e	13b6a	অক্সিতঁ ও অন্যান্য
13e089dbdf	b9b98	মায়ের বাড়িতে রেখে আসা
13e0b666b2	16a17	গ্রেপ্তার করা হলে
13e0c47bf1	f29bf	তবে চলচ্চিত্রে আসার আগে
13e0cb57dc	6e8cb	কিন্তু গোড়ার দিকে
13e13eb653	92bb2	নিজের মান ও গৌরব
13e18bbaf2	9351a	মোট গ্যাসের
13e196ef41	0696e	দিনটি তাঁর জন্যে
13e198fe2f	7b132	নেয়ার পথে ভেদুরিয়া ঘাটে
13e2273bf9	35ef3	বলে ধরে
13e2b0bb16	aa820	দাঁত বন্ধ কর তো
13e2f480e2	e68af	তিনি তা শোনেননি
13e39a42bd	4dd57	সব বই পাওয়া যাবে রকমারি'তে
13e39eb17c	2fc12	ফ্যান
13e3b4bc98	1a4a9	বাংলাদেশকে অর্থনৈতিক স্থিতিশীলতা
13e3fa0378	bfac7	সেই দেখি
13e43116ab	b52ab	একচিলতে হাসি
13e4757cfe	16a17	সামনে দিয়ে
13e4c8c5f0	e50f1	রাজস্ব আয় কম হবে
13e4cad00d	24aed	নিমীলিত নীলা
13e4cc4b11	aab0f	এ জে মোহাম্মাদ আলী
13e4d41f18	948d3	উজ্জ্বল নক্ষত্র
13e4f67582	b8fe1	বা অষ্টক ব্যবহৃত হত
13e5412e47	9b864	আধুনিক ইতিহাস
13e565a216	23b22	সন্ধ্যা হবে
13e5a6f505	75936	এদিকে, যুক্তরাষ্ট্রের
13e5f2ec50	ce775	তাঁকে নিয়ে এসো
13e660b70f	79b06	কার্যত নিষিদ্ধ হয়ে যায়
13e674c14f	bfac7	সন্ধ্যায় ঢাকা সিএমএইচে
13e680db8c	a916a	পাশেই একটা হোটেল
13e76da78d	cb627	উপজেলা পরিষদ কার্যালয়ের
13e780c551	68ab7	প্যাডের পাতায়
13e79ee22f	9c8dd	২০০৯ সালের ১ জুলাই
13e7ee1757	18460	আসলে তাঁকে বেছে নেওয়া
13e88476f1	39293	পুলিশি হেফাজতে প্রেরণ করে
13e887d6b6	3faff	নতুন নতুন পোশাকে
13e9342933	a3a6d	গাড়ি নিয়ে ব্রিটিশ নাগরিকরা
13e95b8412	fda1a	স্বজনদের আহাজারীতে
13e96dae89	91dff	কাজ নিয়ে আরো
13e9c5748e	7b900	রক্ষণভাগের দায় কম নয়
13e9cf2cfa	f1ff2	মীর জুমলা
13e9de56e2	65652	কাউন্টকে বিয়ে করতে
13e9df4ded	7898e	একেবারেই সহজ হয়ে গিয়েছিল
13e9f9fa4c	616ec	পাবনার রমা থেকে কলকাতার সুচিত্রা
13ea0a3c75	4c555	মনের ভেতরে
13ea511378	60f77	সে দীর্ঘদিন ধরে
13eaad0e4a	948d3	অপরাজিতই থেকে যান তিনি
13eab276ba	2bd99	নিত্য বিরাজমান থাকিবেন
13eadb281a	b00ba	রাজনৈতিক দলগুলোর
13eadb3fa4	46da4	এই রায় ঘোষণাকে কেন্দ্র করেই
13eae0c9f8	9351a	উচ্চারিত করতাম না
13eb011def	4bede	অনলাইনে কেনাকাটা
13ecee0f3d	2de86	নিজের বাসায়
13edd76873	28dfc	এ তো রীতিমত
13eea54e94	52578	সমাজবিজ্ঞান বিভাগের মনজুর আলী মোহন
13eeff12b6	68ab7	চিকিৎসকের পরামর্শ নেয়া উচিৎ
13ef51f5d8	d7a68	৯০ দিনের মধ্যে
13ef924df4	8cf95	তারপর থেকেই
13efcbd8c5	79b06	গুপ্তচর হিসেবে
13f002701a	6fb36	অ্যনোরেক্সিয়া আর বুলিমিয়া
13f03e743d	f2b7d	যেটাকে বলা হয়
13f09d4786	5dd61	নারীর এ ভূমিকা বহাল রেখেছেন
13f0b6cbaf	fb4cb	সম্পাদকীয় প্রবন্ধ লেখা হয়েছে
13f0ce44f2	f600a	কিন্তু আশ্চর্যজনকভাবে
13f139148b	60f77	ঘোষণা দিয়েছিলেন তিনি
13f13abcb2	e55de	পরিষ্কার মনে
13f1dbcf4b	9e923	যুগ্ম আহ্বায়ক
13f238e0d4	68ab7	সে একা নিজের সঙ্গে কথা বলে
13f27a572b	9d398	চুলের সঠিক পরিচর্চার জন্য
13f299ab35	f29bf	লক্ষ্যমাত্রার চেয়ে
13f2d814de	0bace	অস্ট্রিয়ার ভিয়েনা বিমান বন্দরে
13f31cee5e	2d78f	সে আমি নই
13f357d272	cb627	বহু মানুষ আহত হন
13f362633f	9092b	দলের প্রধান এবং তিনবারের মুখ্যমন্ত্রী
13f3823dfc	860f4	লুকানো রয়েছে
13f3d04540	64092	সিটি কর্পোরেশন নির্বাচন
13f4060995	11915	জামায়াত ও পুলিশের সংঘর্ষে
13f4068c12	1b359	খুব ভালোভাবেই বুঝল
13f41d6188	fcefa	বেশকিছু পুরস্কার লাভ করেছেন
13f477df89	08458	পর্তুগালের এই তারকা ফরোয়ার্ড
13f48d3d3d	315e9	রিলেশন হলো
13f4b598e7	4f450	লাইফ গার্ডের
13f4b7c928	778c0	জীবন কামড়ে ধরে
13f4d15261	93d3b	সঠিক হিসেব বলা কঠিন
13f4ec729d	ba2f6	ভর্তি হন
13f4f49986	ce775	সঞ্চয়পত্র
13f54f7a1d	80505	হ্যাপি তার হবু-স্বামীর কথা বলতো
13f5845459	91223	প্রথম সফর
13f5e2b4ea	11bd2	গোয়েন্দা বলতে লাগল
13f5f47bc7	6aac8	হয়ত বলতে পারে
13f61dcf65	0895a	ইংলিশ ভার্সনের শিক্ষার্থী হিসেবে
13f661f858	e00db	আন্তর্জাতিক বিমান বন্দর থেকে
13f6c090ca	1e7c6	খুলশী থানার এসআই
13f6ed58ef	16e96	রাষ্ট্র ব্যবস্থাকে চ্যালেঞ্জ করে
13f6f7756f	315e9	পরিস্থিতি নিয়ন্ত্রণে
13f71c3362	a1d4a	৭টি আসনেই বিজয়ী
13f7e5a888	af81d	কিছু মেঠো পথ আছে
13f85d4402	b9a81	শিয়া পূণ্যার্থীদের ওপর
13f8fa8d49	93bf3	ওডেস্ক
13f97bf3de	28bb3	যেতে হয়েছিল একটা কাজে
13f99694b9	f7a7f	তা নিয়ে বিতর্ক
13f9cef483	98b81	বিয়ের পর পরই
13fa5bb63a	54e68	কারাবরণ করতে হয়েছে
13facf280b	37e17	কাজেই কৃষ্ণের সঙ্গে
13faf5c161	ee994	মৌর্য সাম্রাজ্য
13fbcd580e	4486f	বিয়ে-বিচ্ছেদ হলো সেই পরিস্থিতি থেকে রেহাই পাওয়ার একমাত্র উপায়।
13fbe701b5	e31e7	রাষ্ট্র
13fc6f629b	acb88	পরিলক্ষিত হয়
13fd03fa55	2ecf8	কিন্তু বিচারের কাজ হয়নি
13fdb15a6f	1a2a1	পার্বত্যাঞ্চলে বিতর্ক
13fdc8c015	e03ce	তিনি কিনেছেন অনলাইনে
13fe3e7c7b	6e6fa	অপ্রতিরোধ্য
13fe659dcc	e6752	ফেরত পাঠানোর ব্যাপারে
13fe84382d	8cf95	২০০৬ সালে মিরপুর-৮ এলাকায়
13feb2feaf	13b70	মস্কো হয়তো ইউক্রেনে
13ff340c27	3ccf1	সাধারণ মানুষের অংশগ্রহণ ছাড়া
13ff83440f	b9122	ক্ষতিগ্রস্থ করা হলো
13ff984b06	ea8fa	একটি হাড় থেকে
