b200197206	9065c	এমন জায়গায় যাইয়া বসিতাম
b28bddf416	dba43	ক্ষুব্দ প্রতিক্রিয়া জানিয়েছেন তারা
b28c017086	0c39f	বিজ্ঞানীদের আশঙ্কা
b28c87a65c	c5dc8	শাহিন-সুমন পরিচালিত
b28c8a8bfc	28dfc	৭, ১২, ২৪ এপ্রিল
b28cd3610d	9642e	সে ব্যাপারে সংশয় আছে
b28cfa61f8	88654	সবাইকে খুশি করতে
b28d3f55de	7d3e1	১৯৯৬ আটলান্টা গেমসে
b28d550f81	9f25e	আয়োজন করা হচ্ছে যেখানে
b28da286a9	e2ba2	কাল যেন পুলিশে
b28dce206f	6c6bf	দাও তো ওকে
b28df8157d	d136b	তৈরি হয়েছে নানা মত
b28e2657ba	ef915	আমাদের বন্ধু
b28e3efb47	ee994	তা নিয়ে তিনি
b28e428bd9	c1e30	মিজানুর রহমান খানের প্রতিবেদন
b28e50fc97	b8bdd	পড়ে একসাথে থানা থেকে
b28e679aa1	9fa90	গ্রন্থাকারে প্রকাশিত হয়
b28e6ae356	92f59	আকারভেদে প্রতিটা
b28e6d0772	d9817	চরম নিষ্ঠুরতার অভিযোগ রয়েছে প্রচুর
b28e6f62d5	420df	সেই সাতশো মোষ
b28ee644a0	6c6bf	নজরুল যে চেতনার মানুষ
b28f22244a	16cfb	চতুষ্পদী কবিতা বা কবিতাসমূহ
b28f59f451	e31e7	পাকিস্তানকে সারা পৃথিবী
b28ff24c1e	b08d0	সমবয়সী বন্ধু জুটিয়ে নিয়ে
b290a27188	ee7b2	এবং বিষয়টি অবশ্যই
b290be05f4	0633a	মৃত্যুর আগে
b2914d6713	c4973	অস্বীকার করিয়া
b291855868	9092b	ইঁহাদিগের পরস্পর সম্বন্ধ বিবেচনাপূর্বক
b291cf2cad	554fe	আমরা কেউ এড়াতে পারবো না
b291d984ff	68ab7	তিন থেকে চারশ টাকাও
b2920a0a24	18a52	বলছিলেন তেমনটাই
b29224dbba	7d3e1	বিদ্যুৎ, জ্বালানি
b2927d811f	4c555	বেলা ১১টা থেকে রাত ৯টা
b292cb8dae	c11b1	যে কোন ক্লাবের জন্য
b292f6ca87	121bd	দিস ইজ পিপলস টেস্ট
b29308c8b6	c463d	ফুঁ দাও এই নিবন্ত অগ্নি-সিন্ধুতে
b29396f3fa	80518	অনেক কিছুরই সে সংবাদ জানে
b293f1d10f	0d9f1	আসলে লক্ষ কোটি বছর আগে
b293faa250	ff0fe	তৎকালীন বামফ্রন্ট সরকার
b294fa92fe	baa02	আদালতের মাধ্যমে
b29538f4a3	b8ed8	বিশ্বাসঘাতক তকমা পাওয়া
b2954d5114	38ff0	ব্যাসদেব বুঝিয়াছিলেন
b2955acd8e	0f047	স্পষ্ট দেখা যাইতেছে
b296879719	d9b11	তার চাইতে
b2971f44b1	da6f0	বিশেষ ভাবে তুলে ধরেছেন
b2978d26d1	194f5	কম দেখা যায়
b297cb5b0f	14d25	অং সান
b29814fbd9	3f493	রক্তের দাগও লেগে আছে
b2981fb0b0	18a52	ঢাকা ও বিভিন্ন জেলায়
b298294470	698ff	কিনে এনেছেন
b298914157	6fb36	বক্তব্য তুলে ধরেছেন
b299360663	0744c	১৯ মিলিয়ন বছর আগে
b29986c520	7ee9b	একটি মধ্যবিত্ত পরিবারে
b2999b203d	880ae	পুনর্বিচারের নির্দেশ দিয়েছে
b2999f1c7a	05901	তাদের ক্ষেত্রেও
b299fa3fab	321b6	খুলে দেয়ার দাবি জানানো হয়েছে
b299fb42ee	1cb75	শিক্ষিত
b29aac3ee1	80518	আমি অষ্ট্রেলিয়ার নাগরিক
b29ba45130	dafb6	আমি বর্বরের মতো
b29bd5c0e6	b78ec	রোমার মুখোমুখি হতে হবে
b29c158829	809cd	বর্তমান সময়টা
b29c321d71	9b864	এসব রুট দিয়ে
b29c4c6674	6c6bf	দেরিতে হলেও
b29c4feda4	dae88	আমার দেখা
b29d0b699a	18a52	মুক্তি পায়
b29d5a1a40	e43d4	কিন্তু ভুলক্রমে
b29d8b1be1	7d3e1	কিছু নতুন তথ্য
b29e3d0da4	ea8fa	তালে তালে
b29e603776	82926	তাদের সবারই ছিল
b29f281f8e	35ef3	সরু ঘাড়-গলা
b29f792989	23291	রবীন্দ্রসঙ্গীত
b29fbb055a	f2097	শাহবাগ থানার সাব ইন্সপেক্টর
b29fcc1423	bdd05	তার দুই ছেলেকে
b29fde0f4d	e3f89	বিভিন্ন কার্যালয় পরিদর্শন করেন
b29fe12b2b	c6848	প্রতি সপ্তাহে
b2a0485705	18460	মৃতপ্রায় এই শিল্প খাতটি
b2a04dcb76	d9817	দেশীয় বাজারের সাথে সাথে
b2a0545568	eb179	স্মরণকালেও কোথাও ঘটেনি
b2a0847aef	91ac1	কারা ছোট আর কারা বড়
b2a0c4ab54	a4750	শরাফ মামা বলেছিলেন নেননি
b2a0e55078	0edef	বাংলাদেশ সরকারের পক্ষ থেকে
b2a12c8f57	e6752	ও ইউরোপের ক্রেতারাও
b2a179375d	6e6fa	২০১২ সালের ১৪ জুন
b2a24b0080	239f7	একে অপরের কাছ থেকে
b2a277a3cc	a3a6d	দাদু আঙুল আটকে
b2a2c13f59	2c9c5	দিনাজপুর শিক্ষাবোর্ড
b2a2df885e	693cb	নেয়নি কর্তৃপক্ষ
b2a3124888	68ab7	যদি ব্যক্তি
b2a350d5f3	82926	ক্ষমতালোভী রাজনীতিবিদরা
b2a35d76b8	b9a81	শ্রমিক নেতা আব্দুল গাফ্ফারকে
b2a383e297	16e96	একবার গোঁড়া হিন্দু হইয়াছিলেন
b2a40c5bfc	cb1aa	৪ কোটি ৩৯ লাখ
b2a505016f	410fa	ফুলের মালা
b2a5e18ae3	351dd	এই পণ করে
b2a6291b0c	79b06	আত্মীয়-স্বজন ও বন্ধুর
b2a678646a	33aef	টীকা উদ্ভাবন করে
b2a68f4038	eaa7a	আজ সোমবার দুপুরে
b2a690ac4d	ec91c	যায়যায় দিন পত্রিকার
b2a6ca9440	72649	ঢাকায় সহিংসতা এড়াতে
b2a6d80251	4164f	আতলেতিকো কোচ বলেন
b2a6f1e91e	28bb3	ইতিবাচক পরিবর্তনের স্বপ্ন দেখে
b2a76d15e4	95f83	বিশদভাবে বলতে গেলে বুঝায়
b2a7768cc9	9642e	আকাশ এতো মেঘলা যেও নাকো একলা
b2a78630fb	f2b7d	যদি টেক জায়ান্টের
b2a7ab137e	f143a	আটকের ঘটনাকেও
b2a84881b2	2f547	শার্লক হোমস
b2a87688b6	23b22	তার কাজ
b2a886a4ed	d71a3	সেটা বলছি না
b2a8c3bf8e	3fb17	অলক্ষ্মী অমঙ্গল
b2a8cbf50b	9d46f	এর ১১ মিনিট পর
b2a8e2a1db	32c77	পরিস্থিতি আরও খারাপ হওয়ার পর
b2a9106ce1	b9122	এই সংগঠনের কর্মকর্তা
b2a92cf392	f1ea4	এ ধরনের তথ্য
b2a93f7fd4	d9ba9	জে আর খান রবিন
b2aa2fc8b8	9065c	সবাইকে চমকে দিয়ে ২০০০ সালে তিনি বিএনপিতে যোগ দেন।
b2aa332a3e	e2ff7	ঈশ্বর গুপ্তের রাজনীতি
b2aaa48df7	4486f	বাইরে চলে যান
b2ab196b74	e03fc	সম্প্রতি চলচ্চিত্রটি
b2abf66a00	287bd	সরকারের মালিকানায়
b2aca09730	2bc73	রচিত হয়েছে
b2acedef81	967fd	মুসলমান হিন্দুর
b2aceef0d7	870e3	তাঁর ভ্রাতা জ্যোতিরিন্দ্রনাথ
b2acf0a815	91223	কাজী নজরুল ইসলামের ছবি
b2acf1f2a7	2c9c5	মালয়েশিয়ার প্রস্তাব
b2ad12e27d	c0d65	গত প্রায় দেড় দশক ধরে
b2ad2cbcc3	11de3	আজহারও আগ্রহী
b2ad6a2e23	948d3	সত্য ঘটনাবলির
b2adac41ce	ad050	ইতোমধ্যেই পরিস্থিতির উন্নতি হয়েছে
b2ae3259a4	56508	গানটাতে একেবারে
b2ae52e327	93bf3	যাতে সবাইকে
b2af093007	b2a62	প্রেসিডেন্ট ইদি আমিনই
b2af3adbf1	09f0d	সূর্য উঠলে
b2af7d3c73	09f0d	মার্তিনো অবশ্য
b2af9209eb	870e3	সংসদে দেখতে চায় না
b2b0260391	68549	বুখারী শরিফের হাদিস
b2b0308693	7027a	ভেঙে ভেঙে উচ্চারণ করে
b2b0fda913	f0f95	শাস্তি দেয়া সম্ভব
b2b1318870	07660	তাদের ভেতরে কেউ কেউ
b2b14756c9	9813c	আরোপ করেছিলেন
b2b1e29aa1	a43b5	একটু বেশি নাজুক
b2b23dbd33	c2082	এবার ভারত থেকে
b2b283ba82	ef915	বহুজাতিক ব্যাংক এইচএসবিসি
b2b2a63090	37d7e	তারই তিন ছাত্র
b2b37103a5	3bea8	রহমান বয়াতি আমাকে
b2b371a844	ff0fe	১৯৩৯ সালে নাতসি জার্মানি
b2b3a83fe9	b9a81	শাবনূরের কর্মকাণ্ডে হতাশ
b2b3efd2b8	a1d4a	বেচারামবাবুর দুই জন ভাগিনেয় ছিল
b2b4126501	ea8fa	রুদ্ধ পথ ছাড়া
b2b4146461	5e80b	এমন সব ঘটনাকে
b2b42ff91e	c9c19	ওই ছবি তিনি
b2b4394aa2	809cd	দু-তিন কিলোমিটার দূরে
b2b47539be	e3d8b	ফেলে না
b2b4a6350f	6dff5	অসহায় অবস্থায় দেখে
b2b4a8aea7	1a4a9	রেঞ্জার্সের সদস্যদের
b2b524b69e	7b60a	নানা পর্যায়ের মানুষকে
b2b535d22b	9092b	শিলংয়ে অরুন্ধতী
b2b5490727	194f5	মেয়াদ শেষ হওয়ার আগে
b2b5683b13	35ef3	ফিলিস্তিনি শিবিরে
b2b5b1f5bf	ab946	তাঁর স্থলাভিষিক্ত হন
b2b5be531b	f143a	তাদের সঙ্গে কোনো বন্ধুত্ব নেই
b2b5c7b825	c7a89	বঙ্গবন্ধু জাতীয় স্টেডিয়ামে
b2b5f8ff84	536d9	চ্যানেল আইতে
b2b645a25c	cc18a	গণ তদন্ত কমিশন
b2b691afee	bdd05	প্রশিক্ষণের মাধ্যমে
b2b6bd9231	ce629	এর মধ্যে চারটি মহাসড়কের মধ্যে
b2b6fa3df9	2de86	এ প্রসঙ্গে বলেন
b2b6feac29	ca831	কোনোটাই দৃশ্যমান ছিল না
b2b7311f76	4c1eb	বাংলাদেশে নির্বাচনের বাকী
b2b7b155a7	9d7bf	মুসলিম অধ্যুষিত দেশটির উত্তরাঞ্চলে
b2b8143677	3ccf1	২০০৫ সাল থেকে ২০১০ সাল পর্যন্ত
b2b81bf08d	db181	শিশুটিকে ধর্ষণ করে
b2b86ada8d	4a67e	দেখে মনে হচ্ছে
b2b87796a3	ee4ad	বহু মানুষ তাঁবু খাটিয়ে
b2b8bd4449	80518	ইরানের এত কাছের দেশ ইরাকে
b2b9306ff9	2ecf8	উদ্ধার অভিযান
b2b951d400	d1a48	গত জুন মাস পর্যন্ত
b2b96f3f48	1a2a1	এক খণ্ড আগুনের ফুলকি
b2b9a7b18b	e2c11	এদিক ওদিক ছুটো-ছুটি
b2bad03d3e	2ee04	২০০৫ সালের ৬ জুলাই
b2bb2a61c8	d82d9	সঙ্গী পায়নি অনেকদিন
b2bb3bb461	2fc12	বিশ্বভারতীর কলাভবন
b2bb47501f	b5fdc	সমাবেশে নেতাকর্মীরা
b2bb9dedf8	a06a1	জাবেদা
b2bbaffbbb	2556b	আন্তর্জাতিক রাজনীতির যুদ্ধবিরোধী
b2bc37b427	66c6b	হাজার লোকের ভিড়ে
b2bc91c269	bf530	শাহরুখ খান
b2bc9c1136	28dfc	নিয়ন্ত্রন হবে ডায়াবেটিকস
b2bcfec849	5639c	বারবার পর্যবেক্ষণ করতেন
b2bd5939e7	06ea3	১৯৫০ সালের ৭ জুন
b2bd6a5047	37d7e	কাজের কোলাহল
b2bdab0eee	e2c11	বিশেষ ধরনের
b2bdb789b3	e2ba2	আমার সেই স্বপ্ন
b2bdcb728e	12702	মুক্তিযোদ্ধাদের মাধ্যমে
b2bdce5a79	23b22	অনেক প্লেব্যাক করেছি
b2bdd8c7bc	b8ed8	১৯শে ফেব্রুয়ারি ফাইনাল
b2be35bbd6	1652d	তিনি এ ব্যাপারে নিশ্চিত নন
b2be3bf71e	b52ab	প্রশিক্ষণ কর্মসূচিতে
b2be7c29d7	8cf95	টেস্ট ম্যাচ খেলতে পারে
b2bf2f3114	06e62	মাসুদুল হক জানান
b2bf7ab8c6	0d4cb	একটি বিনোদন ম্যাগাজিনের জন্য
b2bf8ccb0f	491a5	সন্ধ্যায় পুলিশ এল গ্রামে
b2bfe638b1	730c3	এক কোটি ৩১ লাখ টন
b2bff47f33	f2097	সকল প্রকার কার্যক্রম
b2c02b8740	ce180	সামিন্দা এরাঙ্গার জায়গায়
b2c0a09182	09f0d	চার লাখ মা-বোনের
b2c0b3baa9	9d46f	শাহনাজ পারভীণ
b2c0d78762	d9817	ও বাচ্চাদের দৃষ্টিনন্দন
b2c113ad72	a916a	আমি বেরিয়ে আসতে পারলেও
b2c13014b7	e6e48	পমফ্রেট মাছের পেট পরিষ্কার করে
b2c14c6f5e	c7a89	তিনি বিভিন্ন মিটিংয়ে
b2c1875da5	60f77	মানসী বড়ুয়া
b2c19b1554	274ee	তার ঠিক বিপরীত অবস্থা
b2c260086f	6aac8	লেখা আছে
b2c41ec33e	351dd	১৯৫৬ সালের ২৪ ডিসেম্বর
b2c4299fe5	da6f0	নিয়ম ভেঙ্গে
b2c4700271	4ea73	দুই দফা সভাপতি
b2c4867da8	a1d4a	বাসুদেব
b2c50e0ddf	32c77	রক্ত যখন দিয়েছি, রক্ত আরো দেবো, কিন্তু আল্লাহর জমিনে আল্লাহর নবীর ইজ্জতের হেফাজত করেই ছাড়বো ইনশাল্লাহ।
b2c52e4b9c	3faff	ছোট
b2c5535dfe	491a5	আমার হাত-পা কাঁপছিল
b2c55afa2b	bf530	অনলাইন সংস্করনের একটি প্রতিবেদন
b2c5e064db	92bb2	প্লাস্টিকের ঝুড়ি
b2c5f76467	8406e	ওনার পাতে দেন
b2c62f7fda	eb179	পুরোনো প্রেক্ষাগৃহের
b2c6bbd049	44322	প্রকৃত ভূমিহীন সমবায় সমিতিকে
b2c722b85c	6c6bf	জলবিদ্যুৎ উৎপাদন উদ্দেশ্য হলে
b2c7684af1	f2097	নায়ক একদিকে
b2c7bbc100	46d49	ঘোষণা দেয়ার পরই
b2c859aec3	e6e48	তাঁহাকে দেখিতে পাওয়া যায়
b2c87f1cf6	ee994	তার দর্শনকে সমর্থনও করেছে
b2c8855efa	976b1	সুস্মিতা সেন
b2c8885d8e	4fbd1	খোরশেদ আলম, মিন্টু দাস
b2c893f6ad	9fa90	কখনো কখনো দুই নাকই
b2c89e9598	4237e	তারপর এমনই নিরাভরণ সহজিয়া ধারায়
b2c8bbcc77	976b1	বুক পাওয়া যায়
b2ca187e6d	121bd	মেক্সিকোতে প্রাচীন মায়া সভ্যতার নিদর্শন
b2ca1e5a82	e754e	পাল সম্রাটদিগের রাজত্বকালে
b2ca250ddc	2ac82	বিক্ষোভকারীর সংঘর্ষে
b2cab759cb	33aef	দেশদ্রোহী কর্মকাণ্ডে জড়িয়ে পড়েছেন
b2cac73cc2	16877	প্রবীণ, খর্বাকৃতি, শীর্ণ, এবং আকর্ষণহীন
b2cb5cf5de	dfefa	তাদের উৎপাদন খরচ
b2cb818706	93bf3	তা অত্যান্ত আনন্দের
b2cc0b6ca4	1cb75	শশা খেলে
b2cc242757	43fc0	উভয়ে গলাগলি ধরে
b2cc6ca638	9b864	ফেনীতে রেললাইনের কিছু অংশ
b2cd52b432	4bd2c	খালিকুজ্জামানের স্ত্রী পারভীন জন্মসূত্রে ভারতীয়, অবাঙালি।
b2cd8d029e	dec2d	বাংলা
b2cd9d530b	cb627	বাংলাদেশর ঢাকা বিভাগের
b2cda24511	dfefa	শেখ মুজিবর দেশ চালাইব
b2ce0922e0	d71a3	চোখের সামনে
b2cf38bc3e	52f27	অক্ষয়কুমার দত্তগুপ্ত
b2cf3a9356	2909b	মাপজোকের অংক
b2cf4d77a5	0a87a	এগিয়ে আসে শাওন
b2cfe05f67	5e80b	কোন দেশের উপর
b2d03cabd4	98b81	এত তাড়াতাড়ি
b2d133f67c	88654	মাহীর বিপরীতে
b2d16328bd	3bb15	দুটি চাকাই ভেঙে যায়
b2d189fe64	b8bba	মুসলিম ব্রাদারহুড
b2d1b335ba	29089	অবর্ণনীয় দুর্দশার ভেতর দিয়ে
b2d1fd1563	82926	গায়ের সবটুকু জোর নিংড়াইয়া লইয়া
b2d29c9cc2	287bd	বলল, কী হলো বাবু
b2d2a292cb	4e900	সংবাদ সম্মেলনে বলা হয়
b2d2bd8411	69449	ঢাকা বিভাগ
b2d2bf5dda	08458	স্বর্ণ ব্যবসায়ীকে অপহরণের
b2d35f545b	b78ec	স্পট ফিক্সিং
b2d3956aa5	b2a62	এই ডায়নোসরটিকে কিনে নেয়া
b2d3b937da	cb1aa	এ নিয়ে চলছে
b2d3e2e2dd	bf530	ভরসা রাখুন
b2d40e385c	ec91c	অনুশীলন করবে ব্রাজিল দল
b2d44f0fb2	09b32	ডাউনলোড করে
b2d44f8d03	39dd0	যেন সর্বনাশ হয়
b2d4b4c707	943de	যাঁদের নাম ছাপা হয়েছে
b2d4bc95d2	39dd0	লাশগুলো দেখেই
b2d4bd00b5	1f974	প্রত্যাহার করে নেয়
b2d504abff	9e923	ঘর থেকে বের হতে
b2d56c5b57	8845d	নারায়ণগঞ্জে অপহৃত হন
b2d601d9c3	33814	ঘর থেকে যারা
b2d629d4a2	eecdd	আরো অনেক গুরুত্বপূর্ণ কাজ
b2d6996d98	f0f95	এই দাবিতে তারা আগামী
b2d69b003b	b8bf0	পার করেছি দিনটি
b2d69d8b1e	f0f95	বুধবার চট্টগ্রামে যাচ্ছিলেন
b2d6fa6c0d	8632b	অক্ষয়কুমার বড়ালকে
b2d734f43b	57d54	আমি যাহাকে
b2d8592bb5	ea8fa	সম্পূর্ণ অমনোযোগী
b2d8d337b5	0edef	প্রকাশিত এসব পত্রপত্রিকা
b2d98e9f65	f0f95	কওমী মাদ্রাসাগুলো নিয়ন্ত্রণে
b2d9bf9baa	9f25e	১৯৩৬-১৯৪২
b2da784fb9	f83df	তাঁর ফুসফুস ও মস্তিষ্কে সংক্রমণ হয়েছিল, তলপেটেও গুরুতর জখম ছিল।
b2dace807a	ce775	ঠকতেই হবে ভালবেসে
b2db3c9cf5	2695f	আমাদিগের যেমন পোড়া কপাল
b2db444455	d9817	ইসি কর্মকর্তারা জানান
b2db7d85ad	1652d	টেনে হিঁচড়েও ফজলিখালাকে
b2dbc09a17	8c120	অর্থনীতিবিদগণ সরকারী বিভিন্ন বিভাগে
b2dc74204e	d71a3	পাশাপাশি দ্রুত সময়ের মধ্যে
b2dc7e2da4	a916a	চান্দাইকোনা থেকে তিনজন যাত্রী নিয়ে
b2de0f82df	5a61c	তার সরকারের বিরুদ্ধে
b2de2676f4	e7230	বাবা থেকেও নেই
b2de3c1ec7	0d9f1	মনে হতে পারে
b2dea9b522	c41d8	মনযোগ দিয়ে থাকে
b2df24644e	60f77	প্রতিযোগিতায় ১৯ জন বিচারকের রায়ে
b2df5a3aeb	ad050	সাড়ে চারটার পর থেকে
b2df77ddad	287bd	এই মেধাবীদেরকে কি আমরা
b2df829198	086dd	বড় ধরনের ফাটল
b2dfec4362	4f2ae	মাস পার হয়নি
b2e0012ef9	11de3	সুন্দর একটা পরিচয় নিয়ে
b2e0c33c2d	91ac1	কার ফোন বাজে
b2e1685299	9642e	তারা প্রতারিত হয়েছেন
b2e1d64b1b	2c9c5	কর্মকর্তা অতিরিক্ত সচিব
b2e1f161bc	9092b	ভাষা প্রতিযোগ
b2e2188c85	2f547	দেখানোর জন্য
b2e24ba3c6	880ae	অভিযোগ এনেছে
b2e26f52f8	6b437	আর এর পাশেই
b2e2feafb5	b4ea7	পোষা কুকুর
b2e3078fd3	ff0fe	বিষ মেশানো পানি পান করে
b2e32a3e16	2bc73	অবকাশই পাননি
b2e35614a6	42898	বসেও ঘুরেফিরে মগডালেই
b2e3ae1843	7b132	প্রথম গুরুত্বপূর্ণ ধাপই হলো
b2e41d986b	698ff	আমি বেঈমানও নই
b2e4930ce5	11bd2	মেয়র লুৎফর রহমানের সঙ্গে
b2e4c74afe	43199	মেরি আবিগেইল
b2e5d267be	37e17	আবার কালো হয়
b2e5e32b58	c3cb3	বা সমাজের সর্বজন পরিচিত
b2e618f144	315e9	সঙ্গী পায়নি অনেকদিন
b2e635941f	9fa90	এ বছর পাসের হার
b2e64ff70d	24aed	শ্রদ্ধার সঙ্গে
b2e67c94d3	cb627	১ম খণ্ড
b2e6d049f5	0606d	অ্যাসোসিয়েশনের একটি প্রতিনিধিদল
b2e81e7d91	e2c11	ব্যাটসম্যান ও বোলার
b2e8566a99	3fae0	ইমেইল করেছিল
b2e8a8879b	68549	মূলত মাদরাসার
b2e96d1028	b8bf0	যাঁহাদিগের কেবল রসনেন্দ্রিয়
b2e9e5a1c8	a4750	চমেক পুলিশ ফাঁড়ির হাবিলদার
b2ea679f59	e9fa7	‘ইউটিউবে’ তুলে দেব
b2ea849936	2396d	তার আগের দুই দিন
b2ea90779b	37d7e	আদর অতি নগণ্য
b2eab23f98	b5fdc	ব্যাংককের একজন বাসিন্দা সেনাবাহিনীর ক্ষমতা গ্রহণকে সঠিক সিদ্ধান্ত বলে মতামত দেন।
b2eab25042	72649	মানুষের কাছে
b2eabb3c9b	c0d65	অপেক্ষা করতে হবে
b2eae687ce	5d12f	ক্লান্তি লণ্ডভণ্ড রক্তমাংসময়
b2eb39a0f6	8a46d	এই ৫টি মডেলের কোনো গাড়িতে এয়ারব্যাগ নেই অথচ আমেরিকা ইউরোপের বাজারে একই মডেলের গাড়িতে এয়ারব্যাগ অত্যাবশ্যকীয়।
b2ebb825b5	bbb22	তিনি ভেবেছিলেন
b2ebc37402	2b883	অবৈধ প্রেম
b2ebc440b3	b8ed8	একজন মার্কিন ফার্মাকোলজিস্ট
b2ec1e16ba	0f047	সাব-সাহারান আফ্রিকা অঞ্চলে
b2ec37c6c9	195f7	একটি আইন করা প্রয়োজন
b2ed0aeaec	404ee	অতিরিক্ত সরবরাহের কারণেই
b2ed1fac81	d0c70	এস এম এস
b2ed610d6a	5d12f	লজিক-গণিত-বিজ্ঞান-দর্শনের
b2ed681572	b9b98	জানতে আগ্রহী
b2ed8c8770	2556b	স্বাস্থ্য মন্ত্রনালয়ের আশ্বাসের পরিপ্রেক্ষিতে
b2edb0cfe9	07660	বিগত অর্থবছরের
b2ee20c062	f2b7d	খুঁজতে এসে
b2ee31857e	1de6c	বসে ছিলেন
b2ee3d2417	93080	আমাকে সাদরে গ্রহন করবে
b2ee4c14ed	778c0	পরিষ্কার করা
b2ee5308b8	903fa	দাঁত নেই বলে
b2ee6b0200	f4ba7	মানুষের জন‍্য
b2ee6f927f	95907	কে আসছেন
b2ef30a886	b8ed8	বিভিন্ন সাংস্কৃতিক সংগঠনও
b2ef46fcb4	2de86	আমার সৌভাগ্য বুঝিয়াছি
b2ef5b0e8a	75936	জবাই করে হত্যাকাণ্ড ঘটায়
b2ef656990	17dcd	সুমনকে পাওয়া যায়
b2ef98c1e3	07660	অসাধু ব্যবসায়ীরা
b2efb7f417	ee4ad	নির্বাচনকালে আমার এই লক্ষ্য ছিল
b2efea9b83	c0d65	বসন্তের ঠিক এমনি মধুর দিনে হঠাৎ করেই একদল ক্ষুব্ধ শিক্ষার্থীকে দেখে অবাক হয় ক্যাম্পাসের জুটিরা।
b2efead9ab	84145	জেনারেটর ব্যবস্থার
b2f093e03e	92f59	নতুন ধারণা
b2f0c5ca05	2556b	ঝিনাইদহ সদর উপজেলার
b2f0f9a700	37e17	ব্যবহারের সুযোগ পেতে হলে
b2f113005e	d2faf	সোমবার এক অনুষ্ঠানে
b2f1cc7eb2	0b7ca	সীমিত রাখা যায়
b2f1f8d90b	5354e	প্রতিরোধ করার জন্য
b2f22acd3b	1c618	তার স্বামী কেন
b2f2b40707	eb179	ছয়ঘোরিয়া এলাকায়
b2f2e46993	a9a58	কলকাতা বেতারে
b2f2efc03e	e9759	নাক বন্ধ হওয়া
b2f339b296	6e6fa	দেশের উত্তরাঞ্চলের
b2f348bfd9	dba43	চুক্তিবাতিলের পর
b2f37ddc23	eaa7a	চতুর্থ আগা খান কর্তৃক
b2f3bc931d	948d3	এই সময়কালে সেখানে শরিয়া আইন চালু রেখেছিল ইসলামি এই জঙ্গি সংগঠনটি।
b2f44193bd	2f547	ফুটে উঠলে
b2f443f8b4	616ec	তারা ব্যতীত
b2f5129cec	09f0d	এ ব্যাপারে শুনানি
b2f543b2a4	7ee9b	স্বাধীনতার পরিবর্তে
b2f567859d	a274b	এই মেধাবীদের ক্রমেই
b2f59e85a9	17ca1	পুলিশ ফায়ার করে
b2f5e24819	d2294	এই সময়ের
b2f60e64ce	536d9	এই মুহূর্তে হয়তো
b2f60f25d0	a43b5	নির্যাতিতা মহিলার পরিচয়ও
b2f62acfe3	e00db	চতুর্থ প্রজম্মের নতুন ৯ ব্যাংককে
b2f650722b	f1ea4	পানি পাচ্ছেন না
b2f6788660	b08d0	নয়নাভিরাম মূর্ত্তি
b2f6a9fd15	1a2a1	পোড়ানো হয়েছে
b2f6dd2b9a	ee852	শান্তিপূর্ণভাবে ভোট গ্রহণ নিশ্চিত করতে ব্যাপক নিরাপত্তার ব্যবস্থা করা হয়।
b2f6ff8071	1652d	ইউরেনিয়াম আকরিক থেকে
b2f7476d37	68ab7	যিনি মেশিনে কাপড় তৈরি
b2f7c78e70	eecdd	সকাল ৯টার দিকে
b2f80fb07b	ad050	ইলেকট্রনিক্স অষ্টম সেমিস্টারের
b2f85f6355	c7a89	পশ্চিম পাকিস্তান থেকে
b2fa153d01	af81d	আটক অপর পাঁচজন
b2fa9fb735	ce629	ইসলামী আন্দোলন বাংলাদেশ
b2faaafeeb	1e7c6	রাজশাহী মেডিকেল কলেজ হাসপাতাল
b2faaee9fd	ca831	এ পর্যন্ত প্রায়
b2faf69e02	93d3b	শ্রমিক রয়েছে
b2fb39aa89	d1a48	২০০১ সালে ক্ষমতায় আসার পর
b2fb42ffe5	ef915	একাধিক মামলা দায়ের করা হয়
b2fbe21aee	09b32	উপস্থাপন করতে চান তিনি
b2fc089467	cfc65	গালিবের ক্ষেত্রে তা নয়
b2fc1b51db	6973e	পুলিশ বলছে খ্রিষ্টান ও মুসলিম মিলিশিয়াদের মধ্যে যুদ্ধে দেকোয়া শহরে এই হতাহতের ঘটনা ঘটে।
b2fc3bb18e	f89d7	২৪ শে অক্টোবরের পর
b2fc60cfb3	6ee5f	নগর গোয়েন্দা পুলিশ
b2fc79d42c	2d78f	কিন্তু তার গ্রেপ্তারের দাবিতে
b2fca30a71	4a67e	রাজধানী ধানমণ্ডি
b2fcc75b14	ff970	ফোন করার
b2fccd14b1	8143b	মাটি থেকে দেখলে
b2fd4edee7	4237e	মঙ্গলবার ঢাকায়
b2fd9e28f3	31f2a	কত চাকর, বামুন
b2fd9ebcda	7351e	গত ১৭ সেপ্টেম্বর
b2fdcaab9c	07660	অক্ষয়চন্দ্র ১৮৭২ সালে
b2fedcfc16	6aac8	বলা যেতে পারে
b2fee9e158	46d49	পুলিশ পরিস্থিতি নিয়ন্ত্রণে
b2ff72f98b	cb627	ভাবা হতো
b2ffb4aa0b	0c39f	সদরপুর থানায় আমার বাড়ি
b2fff75609	7b132	মোট আয়তন কত
