8c00776904	11915	কেন্দ্র সবুজ সংকেত দিলেই
8c7b653ec9	12702	ওপিসিডাব্লিউ-র কাজে সহযোগিতা করেন বিশ্বের সবচেয়ে প্রতিষ্ঠিত ও নামকরা গবেষণা সংস্থার ৫শ’য়ের ওপর রাসায়নিক অস্ত্র বিজ্ঞানী।
8c7c00b1f9	8c07c	সরকারের বৈধতা রয়েছে
8c7ca06890	16cfb	২০১২ সালের নভেম্বর মাসে আশুলিয়ায় তাজরীন গার্মেন্টসে অগ্নিকাণ্ডে একশোরও বেশি শ্রমিকের মৃত্যু হয়।
8c7d007431	3ccf1	সামনে অনেক
8c7d1e839a	c958a	তাঁদের সম্পর্কে জানতাম
8c7d2700db	9351a	তার মানে
8c7d69fea5	c3cca	গাছে উঠতে
8c7db467c7	66b3c	তিন মাসের আমদানি ব্যয়
8c7dbc82e4	0b7ca	দেখার দরকার নেই
8c7e31fab7	bd576	একবার হজ্বে গেলে
8c7e97d99b	d1b12	মাহির এখন প্রচণ্ড ব্যস্ততা
8c7e992d28	8b859	১৯৯০-এর শেষ দিকে
8c7e9ea73d	24f73	মামুনের প্রথম একক প্রদর্শনীর
8c7ee86324	56508	রবীন্দ্রনাথের তাঁর বিরুদ্ধ
8c7f2e6bfd	2fc12	কতদিনে কে জানে সরাবে
8c7f7ea1e1	4f450	দুর্দশা দূর করতে চায় বাংলাদেশ
8c80f905da	b8bba	ছাত্র ইউনিয়ন
8c81bb97ac	f4ba7	ইহারা আরও বিদ্যোৎসাহী
8c820d5ec8	e43d4	পিএইচডি ডিগ্রি
8c82213432	06736	এর অধীনে
8c82545b13	eb179	প্রায় তেইশ মিটার পর্যন্ত লম্বা
8c82923247	5d12f	শৈশবচিত্তে রূপকথার আনন্দ সঞ্চারে
8c8323cd97	77f82	উপন্যাসের পাণ্ডুলিপি
8c83298271	9f25e	অবরোধের কারণে
8c837cb1dd	c41d8	স্বহস্তে লিখিত ছয়টি চতুর্দশপদী কবিতা
8c83958d6b	e31e7	পাকিস্তানের ক্রিকেট খেলার টিম
8c840020f0	91230	যে সামান্য ঘটনা ঘটেছে
8c843efcaa	d2faf	বিজ্ঞাপনের দাবি অনুযায়ী
8c848ab663	b8fe1	সত্যি গ্রেগসন
8c84d72ad6	bf530	সাপখেলা দেখানোর সময়
8c84e0d9d1	2556b	অনুষ্ঠান আয়োজন করছিল
8c84ea0a0a	db181	নিধন করা হবে
8c85721191	35ef3	সংসদের মেয়াদের
8c8587879e	24aed	মাইকিং চলছে
8c85ff22fb	491a5	দেহ-মন দুইভাবেই
8c866790fb	75936	৪২ বছর বয়সে
8c8689bddc	7f71c	খুবই ক্ষীণ বলেই
8c86ac88a9	d41be	দর্শকের সামনে
8c86c3493a	903fa	ভেতরের পাতায়
8c86d2950c	6b437	তাদের অনেক
8c86e1c470	4f2ae	এমনই একটি ভাষা পাকাউয়ারা
8c875cebd8	49d63	প্রধান বিচারপতি
8c88391ec9	a0277	মঙ্গলবার সোনালী ব্যাংকের
8c89afb3ed	d9081	সাড়া দিয়েছেন
8c89d7de5a	79b06	এ সময়ের মধ্যে
8c89e76434	0696e	অভিভাবক হিসেবে মিসেস খন্দকার
8c8a37b9db	b9122	সামাজিক মর্যাদা বৃদ্ধি
8c8b02ad21	29f8c	বাংলাদেশ পিরোজপুর
8c8b2e8b84	b08d0	ভাবি
8c8b56aaa6	49543	এই প্রশ্নগুলির জবাব যদি
8c8b8de60d	28dfc	দেখা করছেন না
8c8cb8bb28	590d0	দক্ষিণারঞ্জনের আগ্রহ
8c8d08e94f	f2780	অবস্থা কতটা বদলেছে
8c8d3921fd	a9a58	তাদের সরিয়ে নিতে
8c8db7f77e	73629	যা অন্যান্য অনেক
8c8deda4d3	8143b	তার ওপর আবার
8c8e002793	6ee5f	এটা হতে দেয়া যায় না।
8c8e2087a9	c2082	তো অনেক বেশি
8c8e2222b6	0606d	আসার সময়
8c8e243146	a43b5	এখানকার ৪৪টি বাজার থেকেই
8c8e4beded	da6f0	যখন অনুরূপ সঙ্কট হয়েছিল
8c8e8c247c	bbb22	উপন্যাসটি বরং সব ধরনের
8c8e922df8	93080	পাপুয়া নিউ গিনি চতুর্থ হয়
8c8ebba88c	e03fc	মুক্তি মিলেছে
8c8efe51c8	7f2ef	অফিসের সামনে
8c8f207553	12702	কোর্ট কিংবা পরিচালনা পরিষদ
8c8f216004	baa02	পাণ্ডুলিপি হাতে না-পাওয়া পর্যন্ত
8c8f3fb459	860f4	সব কাহার চরণে
8c8f62dc69	29d44	যে ক্যাফেটেরিয়া খোলা হয়েছিল
8c8fa8fd42	93080	এ দেশে তো রাজনীতির
8c90095323	0c39f	তার মৃত্যু হল
8c903ea42b	e6203	একলা পথিক
8c9065c788	c3cca	বিএ পাস করার পর
8c90729b0a	f2097	কোনো দুশ্চিন্তা বা অনাহত
8c90ae52f1	2d78f	চতুর্থবারের মতো
8c9148a764	cb627	ছবি বা ভিডিওতে
8c9202d515	92bb2	যেমন তৈরী হচ্ছে
8c9225115a	3bea8	আমি কোন উত্তর করিলাম না
8c9277d581	dfefa	ঝিনুক
8c92c314d2	3f875	সরকারের পরিকল্পনার কথা জানান হাসিনা
8c930b628b	0d9f1	শিশুদের সংখ্যাই বেশি
8c93234f65	a0277	স্থূলকায় মানুষের
8c93c91db4	ec91c	তিনটি উপন্যাস প্রকাশ করেন
8c93e7af54	6aac8	নির্মূল করাই
8c945a5f8d	49543	ইন্টারনেটে প্রকাশ পেলে
8c94c211a7	1de6c	কংগ্রেস-বিজেপি-র মধ্যে
8c9512ce74	c0d65	মাসুদুর রহমান জানান
8c954ba36a	4ea73	থাকতে দেখা গেছে
8c9571095f	7351e	নিজের সন্তানকে তুমি দেখেছ
8c95a0ce46	21e54	‘প্রতিশ্রুতি’ আর বিষ্ণু দে দেখেছেন ‘পরিণতি’
8c95b7be0b	31f2a	এটা সলতে পাকানোর কাজ
8c967cdd80	91230	প্রচলিত সমাজের বিধি-বিধানকে
8c9691a1ef	91230	তার লাশ ফেলে দেবে
8c97005c01	f600a	মোচা ভুলিয়া কেলা কা ফুল
8c971ab2b6	4f2ae	এদের প্রত্যেকের হাতে
8c97356c7c	18460	দিব্যদীপ পুরোহিতকে দেয়া
8c97388031	287bd	এর বিপরীতে কোনো
8c97cd6f90	54e68	তার মূলে যাওয়া যাবে
8c984f9ed8	60b9d	পালনের সময় একজন নিহত
8c9894ce48	2ee04	১২২টি গাড
8c99471d2b	b00ba	আটক ছিনতাইকারী
8c99f70883	83c53	লাল, সবুজ, সোনালি, রুপালি
8c9a514ea7	af81d	কবুতর এর জাত
8c9ac4cf0e	3f493	তুমি রবে নীরবে
8c9b11dd30	e43d4	ফেসবুক হ্যাক
8c9b2c9762	932bb	দেশবাচক নাম হিসেবে
8c9b6ed32c	3c897	যাহাকে হারাইয়া ফেলিয়াছি
8c9b767093	e89bb	ওয়াশিংটন ডিসিতে অবস্থিত
8c9b7a0b10	3fae0	কৃষ্ণ কুন্তীকে
8c9bf1063a	2b883	কৃষ্ণের নাম
8c9c14e3ae	9351a	শঙ্কর পথে এসে দাঁড়াল
8c9c5daaf2	01e91	অবৈধ ঘোষণা করা হবে না
8c9c856c0d	52f27	আকরকাঁটা, আঙ্কুরা নামেও
8c9cbbe952	1b359	বর্তমানে তাদের
8c9cfa3298	7ee9b	সর্বাগ্রে দেশের স্বার্থকে
8c9d62e906	af81d	পানি দিয়ে
8c9d892a50	e9589	বিদেশী পতাকা বিক্রি
8c9e0e3ed2	a699c	আলোতে নিয়ে আসতে চাই
8c9ee74725	e7230	ভয়ংকর কোনো সন্ত্রাসী
8c9f0242b6	f280a	ধনিক শ্রেণীর
8c9f376474	ce775	এর কোনো সাংস্কৃতিক
8ca023aaf6	fcefa	কোন বাইরের লোকের
8ca0b97009	5d80e	এটিই এখন
8ca1236384	323f1	৪ নাম্বর নারী
8ca140248c	e55de	নির্বাচনী আচরণ বিধি
8ca1705016	948d3	লক্ষ্মীপুরের রায়পুরে
8ca20104c5	430b2	মৌলভীবাজারের সংসদ সদস্যে
8ca2027a42	4bede	ভারতীয় দর্শনের
8ca22520f8	3ccf1	দেশটির সরকার
8ca24ace06	2aecc	খেলার আরো খবর
8ca2e0c1f0	e9589	পারছেন না
8ca31bd44b	cd3ac	রাগ করে ঘরের বাইরে
8ca3674b0b	2f547	লোকের হাসি পায় না
8ca36b2bfe	351dd	অব্যাহত ছিল
8ca50eee2f	0895a	জাতীয় পরিচয়পত্র
8ca5230a29	4237e	ডিসেম্বরের প্রথম বৃহস্পতিবার
8ca5867b90	bfac7	হোয়াইট হাউজে এক বিবৃতিতে
8ca5c680e2	25117	তার দল আরো সতর্ক থাকবে
8ca67fd476	ad050	বাইন তালাকের পর
8ca692eec3	c7a89	সাগর আহমদ নামে
8ca6b83822	b8ed8	এ ধারণা সবসময় ঠিক না
8ca6d8523e	0d8c1	কালের ধুলোয় হারিয়ে যাওয়া
8ca76c5861	089ef	গুটিসুটি শুয়ে আছেন নানি
8ca79195f6	cb627	ক্রীত হইয়াছিল
8ca7bafff0	c958a	হিসেব নেই
8ca7d8b654	49d63	হয়েই পড়েছিল রাতজাগা
8ca7e70fac	13b6a	শ্রমিকরা কাজে যোগ দেয়
8ca7e85287	287bd	সম্ভব হলে ঘড়ির সঙ্গে
8ca7ed5151	6b437	তাছাড়া কোন কোন পরিচালক
8ca8528c15	1c618	বল দাও মোরে বল দাও
8ca8844448	967fd	ম্যারাথন দৌড়ের
8ca88654f4	12702	আমার কিছুমাত্র
8ca8e6bfce	9f25e	বিচারের সময়
8ca90d559a	fb4cb	একমাত্র কলেজ শাখাযে
8ca9464888	fcefa	মাঝে ডাক্তারি ও সাংসারিক
8caa120306	ced74	অভিভাবক থাকতে পারে
8caa2fa8a1	b5fdc	১৯৮২ সালে নিজ নামে আবদুর রহমান বয়াতি আট সদস্যবিশিষ্ট একটি সংগীতের দল গঠন করেন।
8caa8ed30b	24f73	আমিও ঠিক বুঝে পাচ্ছি না
8caac670cc	e6203	এই গ্রামেই ঘর তুলব একটা
8cab29b0dd	c0965	লাতিনে ওবিসিটাস এর
8cac51b967	870e3	কখনো চিলমারির পথে পথে
8cacbb2ec9	976b1	আছে মাত্র হাজার বিশেক
8cace2c18f	5639c	বাকি সময়ে
8cacfbec94	a274b	প্রযোজক ও সাবেক মডেল
8cad3a161a	c7a89	এস কে সুর বলেন
8cad5ded5a	903fa	মোটামুটি খয়েরি রং হয়ে আসলে
8cad967267	5d12f	সেই পুরোহিতদের নাম পাণ্ডা
8cade64c2a	d41be	সন্ত্রাস দমনে পুলিশ
8cadf1d663	91ac1	কোলবালিশ ছাড়া
8cae11d98d	b7be9	শনাক্ত করতে পারেন
8cae42a9f4	c0965	মিষ্টি দই
8caeec0ee4	acb88	সম্মুখ সমরে
8caf08b5dd	cc18a	যুক্তরাষ্ট্র, ইউরোপীয় ইউনিয়ন
8cb0a465c4	d41be	এটি একটি অন্যতম
8cb0aad212	e55de	মা এত বিভোর হয়ে থাকেন
8cb0d2503d	11bd2	কুইন্সল্যান্ড, দক্ষিণ অস্ট্রেলিয়া
8cb18d760d	13b70	আগামী বছরের শুরু নাগাদ
8cb23e3dca	cc9fd	রান্নার পর
8cb262bfe8	948d3	নেওয়া হয়েছে
8cb2d76409	06527	কুইজ
8cb327b037	7f71c	উচ্চ রক্তচাপ রয়েছে
8cb451c76e	616ec	কোন চুক্তি হলে
8cb50c98c3	54e68	চিরস্থায়ী কোনো সম্পর্ক নেই
8cb58ac34d	ee852	যখন এজিদ জেলখানায় নেয়
8cb5979c28	f89d7	নীলবসনা সুন্দরী
8cb5d4604b	903fa	বেলকুচি
8cb68a884e	e6e48	সাইক্লোন সেন্টারগুলো
8cb6ae16e0	2d98b	মজবুত অবস্থানে রয়েছে
8cb75bddfb	9fa90	ইঞ্জিনিয়ারিং পড়তাম
8cb75c899e	404ee	বিসর্জন দিলেন
8cb7c648e6	2aecc	কাজ করতেন শাহীন
8cb7e7cee3	c11b1	গত জুন মাস পর্যন্ত
8cb7e810c7	577fa	রাজনৈতিক বিরোধ
8cb82bfedc	8406e	এটা স্পষ্ট
8cb8cc6585	6aac8	একটা টিনের ঘরও
8cb9379225	91b16	মনঃ এবং চিন্তাশক্তি দিয়াছেন
8cb969d3a7	e9fa7	কোন রকম ত্রুটি
8cb9e101ee	06ea3	কুদ্দুস আমি মনে হয়
8cb9f1694a	1279e	দেখাটাই হয়নি
8cba228092	8ba2b	বিনিয়োগে নেমেছে ধস
8cbae26554	58998	অভ্যুত্থানের সঙ্গে
8cbb5bfa60	80505	অভিনব কল্পনাশক্তি প্রয়োগ করে
8cbb5faac4	ff0fe	টটেনহ্যাম হটস্পার থেকে
8cbb61ace6	7df87	শুধুমাত্র ঢাকা শহরেই
8cbb7428a4	4237e	পরের দুই দিন
8cbbc31a0f	65e30	সে সবের মাধ্যমেই
8cbbf61dc1	7ed14	নিকট প্রেরণ করলে
8cbcac129b	7df87	কারক বোঝানো হয়
8cbd3d8db7	e6d83	সিদ্দিকা কবির রেসিপি
8cbd81f1bb	31f09	আমাদের শহরের ইষ্টিদের জন্য
8cbe2b552c	cc9fd	মার মুখে
8cbea93de4	f1240	ইতিহাস যাঁরা জানেন
8cbf0b506b	0606d	শেষ ভাগে
8cbf49d548	cb627	তাদের আর কোনো দিন
8cbf827f44	16877	সভাপতি হিসেবে নিয়োগ করা যাবেনা
8cbfbdfdd1	388c9	নির্বাচন অনুষ্ঠানের লক্ষ্যে
8cbff2bbfb	698a4	পুলিশে দেয়
8cbff970a2	24f73	তিনি কি প্রাচীনা
8cc0392b17	1cb75	যথেষ্ট সাক্ষ্য প্রমাণ লাগবে
8cc087e0ff	4237e	বেলা
8cc0b05e8b	e6203	বিচারপতি এটিএম ফজলে কবীরের নেতৃত্বাধীন
8cc0be10d2	520fb	সারাদেশে মোট ২৩টি পরীক্ষা কেন্দ্রে
8cc1591dc1	f1ea4	মীন রাশি
8cc165261d	c41d8	সৃষ্টিকর্তা সকল মুসলমানের পক্ষে
8cc1824c88	b8bba	মনে হতো
8cc19c50b9	a0277	সাড়া দিয়েছিলেন
8cc29570bc	0d9f1	হোটেলে রেজিস্ট্রারে লেখা অনুযায়ী
8cc296b046	46d49	অরণ্যের মধ্যে
8cc2fe24cc	4dd57	রাশিয়া ও পশ্চিমা দেশগুলোর মধ্যে
8cc301dc65	2fc12	ইরানের ফুটবল নিয়ন্ত্রক সংস্থাটি
8cc411fb3a	fdcba	মিঃ সোহরাওয়ার্দী
8cc4dce4f7	9065c	তত্ত্বাবধায়ক সরকার ব্যবস্থা
8cc5226438	a1d4a	কাকি
8cc52bcee2	95907	প্রকাশিত হলে তা সর্বমহলের
8cc5cd54ad	239f7	আগে তার বার্ষিক আয় ছিল
8cc60272db	730c3	সরকারি কর্ম কমিশন
8cc618f19a	06ea3	আলোচনা সভায় উপস্থিত ছিলেন
8cc624af21	a4750	টিয়ারশেল ও রাবার বুলেট ছুড়লে
8cc67c98f6	2bc73	কিন্তু মাঝে একটুখানি জায়গায়
8cc7baa062	b2a62	রিক্তা বেগম নিজেই
8cc7cd2ead	730c3	আদুরি ঢাকা মেডিকেল কলেজ হাসপাতালে
8cc7f82035	8ba2b	মৃত্যুর পর অ্যাথেন্স থেকে
8cc8249ae8	52f27	জুডিশিয়াল ম্যাজিস্ট্রেট মাসুম বিল্লাহ
8cc90b5d1f	76329	এর সঙ্গে যুক্ত করলাম
8ccafb1bba	1f733	বলে মনে করেন পুন্যার্থীরা
8ccb1cd376	d2294	এই বাড়ির
8ccb5a99f0	d9817	ভারতসহ কয়েকটি দেশ
8ccb818671	54e68	প্রোগ্রামিং ইন্টারফেস হচ্ছে
8ccc93fe96	1de6c	বিশ্ব সাহিত্য কেন্দ্র
8cccb56982	85430	সেই শকটবাহী অশ্বের গলে
8ccce7ccf1	976b1	যখন রাস্তা দিয়ে
8cccf45821	82926	গুরুত্বপূর্ণ প্রায়
8ccd69c19b	9c8dd	গৃহিণী আহ্নিক করিতে বসিয়াও
8ccd867a8c	c3cca	পরেই থাকেন তিনি
8ccdc146c1	9d398	বরাবর প্রায় আধা কিলোমিটার পর্যন্ত
8ccdc1637e	f1ea4	বিরহের এস এম এস
8ccdd039f7	c2082	বসানোর ক্ষেত্রে
8ccddd5a78	ad98d	কথা থাকিয়া যায়
8ccdf1e9c4	ff970	অনুরোধ ও নিশ্চিত করতে চাই
8cce4bf4d5	a0277	নামে গণ্য
8ccf10b8a0	e03ce	আগাগোড়াই প্রশ্ন তুলে আসছে
8ccfb634e2	9e923	এটি নির্মাণ করেছেন
8ccfb9ef88	ee886	যা আমাকে পীড়া দেয়
8ccfd0acc0	f143a	তাঁকে বহিষ্কারও করা হয়
8cd072e137	590d0	এবার সে কলেজে পড়বে
8cd09c360b	7b132	এম এ কাদের সরকার
8cd0bec997	cd3ac	মুর্তজা বশীর
8cd0d2fee9	7b103	মতামত অর্জন করে
8cd10fa839	a9a58	যার ফলে এলাকাবাসীর কাছে
8cd15a99d1	31f09	রাশিয়ার সামরিক বাহিনীতে
8cd1b37fc3	1a4a9	তাদের ঘনিষ্ঠতা
8cd281419f	430b2	স্বরাষ্ট্র প্রতিমন্ত্রী
8cd332e0a8	92bb2	পালিয়ে যাওয়ায়
8cd363dce0	9fa90	তারপর ঢাকা বিশ্ববিদ্যালয়ের
8cd3754fcb	68ab7	বাংলা লাভ
8cd48b6153	7f71c	গ্রহণ করতে হবে
8cd4b007b9	b9b98	আলমডাঙ্গা থানায়
8cd4b19a58	6fb36	অত্যন্ত আবশ্যক ছিল
8cd4c88ee5	db735	লাখো মানুষ
8cd5315416	e2ba2	নোয়াখালী
8cd53ca741	976b1	ঢাকার তাপমাত্রা ছিল
8cd61be80c	bc81e	টুইটারে দেওয়ার পর থেকে
8cd659a068	acb88	অর্থ নতুন
8cd6f42777	ce775	হয়তো রাত-বিরেতে
8cd6f8602b	ca088	তা নিয়েই অনন্তকাল
8cd73b53b4	e6752	বেচতে বেচতে অর্ধেক যেত ফেলা
8cd7a1a68b	b9122	গৃহের বাহিরে
8cd7ab212e	acb88	শঙ্কর যখন বাইরে এসে দাঁড়াল
8cd817b53b	d7a68	পানির অর্ডার দিয়ে
8cd9295805	520fb	ব্রাহ্মণবাড়িয়া জেলার
8cd9586a1b	c0d65	অনেক সময় কঠিন হয়ে পড়ে
8cd96bdb36	4fc91	ইয়াসিন ভাটকালকে
8cda1d969e	16a17	এ আদেশ পেয়ে
8cda8140f0	1279e	সেটা দেখে
8cda98b972	4237e	সম্পূর্ণ প্রস্তুত রাখার কথা
8cdacdc0fe	967fd	১৫৩ রানের
8cdae814ae	d71a3	ডান হাতে ধরিয়াছিলাম
8cdc16bd4a	f4ba7	এটা ভারতের
8cdc1b7c93	b08d0	ভিডিও কলের মাধ্যমে
8cdcb65bbc	69d9a	বল কাজ করে
8cdcceb51a	c3cca	এমন ক্ষেত্রে রাজনৈতিক বিবেচনা থাকা
8cdd01a0fb	6973e	চারটি ককটেল উদ্ধার করে
8cdd5a7973	0d8c1	ডাল ব্যবসায়ীর
8cddef7a8c	fdcba	জুলাইয়ে সমকামীদের প্রসঙ্গ নিয়ে
8cde1eae53	4bd2c	গুজব উঠেছে
8cde3147b0	af81d	দাঁড়িয়ে থেকেই
8cde433539	44322	ব্যবহারের জন্য নয়
8cdee5dee5	e00db	সহজলভ্য করতে
8cdf18f7a1	cc18a	সুপারের ওপর
8cdf42eaa0	a46e2	হিন্দি ‘দেবদাস’ ছবিতে
8cdf76335a	b9b98	ব্যবহার করা হবে
8cdf806b05	98b81	টের পেয়ে
8cdffb3e10	66dcd	অনুষ্ঠানে যোগ দেয়
8ce09a53f0	0d4cb	হরিণের ছবি
8ce0a1f1ad	8c120	টুইটারে ভক্ত
8ce0b57fe1	7d004	চারটি ছবির নায়ক
8ce0dc9433	8845d	প্রেসিডেন্ট সালভা কিরের বিরুদ্ধে
8ce1081861	18460	সর্বসম্মতিক্রেম তত্বাবধায়ক সরকার
8ce1482c17	28dfc	যেসব শ্রমিক
8ce172f3a7	cc9fd	তাঁকে দেওয়া হয়
8ce17d943d	4ea73	এ কর্মসূচিকে ঘিরে
8ce1855326	01e91	আগেই শেষ
8ce1d56ed5	eecdd	নাসির উদ্দিন
8ce2143cfd	d9ba9	কিন্তু বাইরে থেকে
8ce21eb902	bcaa8	তিনি কবি আজরা পন্ডের সঙ্গে
8ce29280e7	ca831	টাইটানিক জাহাজ
8ce30e0c7e	e3f89	সে দেশ থেকে
8ce3559861	0d8c1	দলীয়ভাবে দেউলিয়া হয়ে
8ce383762b	28bb3	আর শাহী জিলাপিতো আছেই
8ce3ab7942	a916a	নিউজ পেপার
8ce3b0246b	e50f1	কীভাবে নিজেকে দূরে সরিয়ে
8ce4097446	11915	এ অগ্নিকাণ্ডের সূত্রপাত ঘটে
8ce435c910	06527	এবং সীমান্ত ফাঁড়িগুলোকে
8ce4427e50	9092b	ফ্যান
8ce45020ef	c2082	কী প্রতিক্রিয়ার সৃষ্টি হয়েছিল
8ce4c10786	31f2a	পরিবারের লোকজন ছাড়া
8ce5074e3d	0d4cb	প্রমাণ তিনি দিয়েছেন
8ce5a9c49c	88654	তিনি প্রথমতঃ ব্রাহ্ম ছিলেন
8ce5eb4d07	32c77	শিক্ষা, শিল্প, বাণিজ্য
8ce6045c3e	5b13f	মনের কথাগুলি
8ce618e83e	23291	এদিকে বেশ কিছু দেশ
8ce673058f	5d80e	তখন সেখানে ছিলো
8ce6f63027	4bd2c	সে যাহা বলিল
8ce6f72589	c6848	দাবি উঠছে
8ce7437a22	1a2a1	গুহার চির অন্ধকারে
8ce745434f	932bb	ভিসা কেনাবেচা করুন
8ce74a1da6	943de	একটি দোকানে পদ-চালিত
8ce83a62d0	b2a62	বাংলার কাব্যধারার
8ce840b32f	10a9f	এডলফ হিটলার
8ce84a2142	a3a6d	ক্যাডেট কলেজ
8ce882c115	c1e30	ক্রমাগত খেলা করা
8ce8bc5a93	7351e	জাতীয় টান খুব আছে
8ce912b501	7297e	সিনেমাটি মুক্তি পাবে
8ce91f6348	21e54	এটা তাদের কাছে খটকা লাগত
8ce96bea8d	f1240	ইহজগতে মানবচক্ষে
8ce97ebd29	d7a68	বাংলাদেশ টেলিভিশনের সূচনালগ্ন থেকে
8ce9c33557	2aecc	কিডনী
8cea6d6352	730c3	৯১ বছর বয়সী সোহরাব হোসেনকে
8cea77ffd3	c8f7f	এটি তাদের নজরে এসেছে
8cea9331d0	2bd99	একটি ব্যাগে
8ceac5fd92	ee7b2	ফাঁসির আদেশ
8ceae8bf63	61820	বিশ্বাস হত আমার
8ceaeb5722	7027a	নজর ঘোরালেন
8ceb62ee8d	fd880	১৬৯ সনদ
8cec403413	2bc73	ডগ ব্রেসওয়েল
8ced0d33ed	7d3e1	২০০২ সালের এপ্রিলে
8ced1530b7	e7230	এছাড়াও, খাওয়া দাওয়া
8ced700a1f	e55de	একসঙ্গে খাই
8ced9948c6	80518	যাঁর ধারণা ও বিশ্বাস পাকা
8cedbc91d2	dec2d	জিনা
8cedd11611	ab946	সিলগালা করে দিয়েছে
8ceddb9dd4	ce180	মেয়েটি ক্যাম্পাসে আসে
8ceded499e	4fbd1	নির্বাচনী এলাকায়
8cee1b1e3f	d2d71	সবচেয়ে বেশি ভোগেন
8cee62bdc2	68ab7	নজরদারিতে ছিলাম আমি
8ceea882f5	05901	ধারণ করেছিলেন
8ceec101b7	2d78f	জাতীয় বিশ্ববিদ্যালয় থেকে
8ceef7ce5d	717bb	মুকেশ ভাট
8cef3d1ec7	8ba2b	ও গাছের গুঁড়ি ফেলে
8cef88545d	089ef	বিজ্ঞান বিভাগে জিপিএ-৫ পেয়েছে
8cefcfe21e	cc18a	পুলক গুপ্ত কথা বলেছেন
8cefddd2fd	44322	মতোই বটে
8ceff2ba45	a0277	টেস্ট ক্যারিয়ারের
8cf04e1f03	1652d	স্ট্যাটাস
8cf04eeae4	06527	১৯৯০ দশক থেকে
8cf0f2a299	2d98b	তথ্যকেন্দ্র থেকে জানানো হয়
8cf128c489	06736	১৬ ইনিংসের
8cf134eae8	7e1d5	মেডিক্যাল বিভাগের প্রধান
8cf199d774	ec91c	মজিবর, আমেজ, রেখা
8cf1f5df3c	d2355	সে কাগজে একটা প্রবন্ধ লিখলে
8cf231634b	0f047	পদত্যাগ করার পর
8cf2b449bb	8edea	এ প্রতিষ্ঠানেরই একটি প্রকাশনা
8cf2c01bbb	3bb15	কোন বয়সে
8cf2e2a72c	75936	প্রাইমারি ও সেকেন্ডারি এডুকেশনের ওপর
8cf2f8e9fd	c41d8	সেই কবে ক্লাস থ্রিতে
8cf318eedb	2ecf8	রাজনৈতিক প্রজ্ঞা, অভিজ্ঞতা,
8cf3856068	0606d	স্বপ্ন
8cf3bc172d	29bab	খাটের রেলিংএর কাঠ থেকে
8cf3e2c76c	0bace	ডিউটি অফিসার জানান
8cf40ef938	ef4f8	দেবযানী তার বিরুদ্ধে
8cf418b285	dfefa	তাৎক্ষণিকভাবে আগুন নিভিয়ে ফেলে
8cf6462def	b618b	প্রচারিত হয় এবং লয়ও হয়
8cf6bbafb3	7f71c	মাঝি নৌকা ছাড়েন
8cf6dc19b1	d3e06	বি সি এস
8cf720e202	321b6	খালাস দেয়া হয়
8cf7a5d09a	7ec1c	এ লক্ষ্যে
8cf7f14307	75626	থানায় মামলা নেয়নি পুলিশ
8cf86d2e74	d8c80	প্লাস্টিকের ঝুড়িসহ
8cf88a0bbf	cf82a	অনুষ্ঠান তৈরি করলো
8cf8aa2867	491a5	অশ্বিনীকুমার বলিয়া বিখ্যাত
8cf8d5fd10	f0f95	আপনাকে ১০ মিনিট দেওয়া হলো
8cf91493e0	c5dc8	মল্লিকপাড়া সড়ক
8cf924ff24	f2b7d	তারাশঙ্করের একটি গল্প থেকে
8cf94078bf	2840e	দিনকাল
8cf9b945ac	93080	অর্থনৈতিক মূলনীতি
8cf9b9aca8	7027a	তাই গোলটি
8cf9bea114	ac904	নতুন খবর
8cfa9b1245	1c618	নিহতদের স্মরণে
8cfaba114a	7df87	তিনি তিরিশের কাব্যধারারই প্রতিনিধি
8cfaf2d549	b00ba	রাজনীতির ময়দানে
8cfb265bb4	c1e30	গণমাধ্যমের খবরা-খবর
8cfb451890	2bc73	শুক্রবার মেহেরপুর
8cfbf47973	577fa	হিসেবে ঘোষনা করে
8cfc0b4458	98b81	সাহিত্য সব সময়ই
8cfc1bd303	66dcd	১৯২০র দশকে
8cfc6da4ab	f9dfb	চলতি বছরেও
8cfcd2079f	7d3e1	মেঘনা
8cfd015d95	0c39f	বর্তমান আদর্শ জার্মান ভাষা থেকে
8cfd53821e	83c53	কুসুমের মাস
8cfd558b6c	3d17c	জাতীয় বিশ্ববিদ্যালয়
8cfdeebec1	932bb	গঠনের ব্যবস্থা করে
8cfe5e6dc8	66c6b	বিভিন্ন ইউএনএইচসিআর শিবির পরিদর্শন করেন
8cfe798913	5d80e	সুতরাং আর সবার মত
8cfe8906bc	8b859	ভালো ব্রান্ডের কন্ডিশনার
8cff47c864	b2a62	বাড়ানোর পদ্ধতি
8cffc4e504	f658d	আমজাদ জাভেদ সর্বোচ্চ ১৯
8cfff760fa	d1b12	ক্ষমতার কেন্দ্রবিন্দু
