6b001e088b	ce775	লাশের খোঁজ নিতে 
6b8dc4bf65	7898e	নিজের আগের সর্বোচ্চ
6b8e2e4f6c	b8ed8	শঙ্করের সমস্ত শরীর
6b8f259ef0	ca088	ঢাকার সদরঘাট থেকে বসির আহমেদ রোজকার-মত ইফতার কিনতে এসেছেন।
6b8fada4de	73629	আর ইতোমধ্যেই
6b9004d10c	9e923	গত বছরের ৭ মে
6b902904cf	c6848	কুঁজো বলে
6b9122b041	7f71c	এখনকার মতো প্রকটভাবে ধরা পড়েনি
6b915cb6c7	33814	তাৎক্ষণিক ভাবে মানুষকে
6b91cd82b5	2c9c5	সেটা থতমত খেয়ে
6b91de8039	a3a6d	ইনাকি উরদানগারিনের বিরুদ্ধে
6b9239bcca	f658d	খতিয়ে দেখছেন
6b926a0ed7	520fb	মনীষীদের বাণী
6b9357458d	33814	কিন্তু এখনও কোনও
6b936be864	c8f7f	তবু তিলক তাহা আবেগপূর্ণ ভাষা দিয়া
6b93b6a761	d71a3	পুলিশ ধাওয়া করে
6b93ba8254	442b7	প্রশ্ন চুরি করিবেন
6b93d1166a	698a4	তাও আবার অনর্থক
6b93f4c738	b4ea7	অতিশয় ক্রুদ্ধ হইয়া
6b9490682b	39dd0	এদেশের নাগরিক হিসেবে
6b94a3f1e5	33814	হিসেবে কাজ করতে পারে
6b94cdf644	03284	যেসব বই
6b951cc447	4fd66	ম্যান সিটি চলতি মৌসুমে
6b95bb0361	bdfc1	রাতের বেলা থেমেছিলাম
6b96ed501f	ce180	র‌্যালী ও উদ্বোধন অনুষ্ঠানে
6b983fee5a	d5f7b	বিড়ম্বনা অনেক
6b985ea349	1652d	যোগাযোগ ব্যবস্থায়
6b98c56309	10a9f	গত ১৩ মার্চ
6b9925ea66	4bede	মুক্তি লাভ করেছিল
6b99498267	66dcd	মেহরাবের হাতে
6b99d93c9b	bf530	রাজ্যের রাজধানী
6b99e03514	14d25	১০ মিনিটের মধ্যেই ফিরে আসবে
6b99e5930b	5354e	আরও একধাপ
6b9a319e7c	db735	২০১৩-১৪ অর্থবছরে
6b9a48b106	d5f7b	তাঁহাদের অস্তিত্বের প্রমাণ কি
6b9a87e362	75626	তারপর থলিকে বলর
6b9a9a08f6	52f27	যে কোন ক্লাবের জন্য
6b9b45fe04	1f974	চেয়ারম্যান হিসেবে
6b9b6226f7	cb842	আসামী দুটোকে আনতে
6b9b71527b	1b359	সফটওয়্যার
6b9bd4ce2f	07660	অন স্পট সার্ভিস
6b9bedbcc7	6e6fa	প্রচণ্ড ঝগড়া হচ্ছিল
6b9c352d59	7027a	সংখ্যা
6b9cf59bc1	11bd2	ঢাকা বিশ্ববিদ্যালয় থেকে
6b9d428029	2de86	এমনকি লঞ্চের নিজস্ব জেনারেটরের
6b9d8db3b7	8c120	অজ্ঞাত পরিচয় যুবক
6b9dbd37a2	7027a	এর আগেও নানা ধরণের
6b9dbe95fe	ff970	আন্তর্জাতিক রুটে ভ্রমণকারী যাত্রীদের
6b9e1f21ac	7aed9	সেটি বেশি কার্যকরী দেবে
6b9e2286e7	69449	অনেকে আসেন
6b9e6749e4	1279e	ভন্ডামীর একটা সীমা থাকা দরকার
6b9ec5b1cd	bcaa8	মাত্র ৮ মিনিটেই এগিয়ে নেন জো
6b9ee60e73	8edea	দাঁত পড়া আনারস
6b9ee9585e	3ccf1	থাকতে হচ্ছে
6b9efbf182	9351a	আমেরিকান সিনেমার চরিত্র
6b9f05630b	086dd	কবি হওয়ার ইচ্ছা ছিল
6b9f89333d	29f8c	রাজবলহাট, আঁটপুর থেকে
6ba0197df2	4c555	বরগুনার একটি প্রাইমারি স্কুল
6ba02261cf	07660	শাহরুখের প্রশংসায় ভাসছে
6ba0bbc88d	f7a7f	নব্বই দশকের বলিউডে
6ba1407c2e	0895a	পাখির কিচির-মিচির শব্দে
6ba1708985	ca088	সমান দক্ষতা দেখিয়েছেন এই অভিনেত্রী
6ba177738d	dfefa	অভিযোগপত্র গ্রহণের শুনানিতে
6ba179f5d3	d7a68	কাচা আম
6ba1a404b3	25696	পর্যটকের ভিড়
6ba293cd51	49d63	গুলিবিদ্ধ ইসমাইল
6ba2988c32	32998	বুধবার হয়ে যাওয়া
6ba2db8e5a	2d78f	ফেনীতে রেললাইনের কিছু অংশ উপড়ে ফেলায় ঢাকা ও চট্টগ্রামের মধ্যে রেল যোগাযোগ বন্ধ হয়ে গিয়েছিল।
6ba31141e5	4c555	সংশ্লিষ্ট ভূমি অধিগ্রহণ
6ba3ae64b4	d2faf	মধ্য ফেব্রুয়ারিতে
6ba40d0a38	b7be9	চেষ্টা করলেন বাবা-মা
6ba410d93c	71522	জেলা
6ba41ddba7	616ec	বিদ্যুৎ বিভাগের পক্ষ থেকে
6ba4543d2b	c7705	যা আগে লন টেনিস
6ba5b529b0	25696	দেশটি আরো উত্তপ্ত হয়ে উঠছে
6ba5f2b4b3	72649	পুরুষের উন্নয়ন
6ba6462d6b	29d44	১৯ জন যাত্রী আহত হয়েছে
6ba655a089	b8bf0	আন্তর্জাতিক পর্যায়ে রপ্তানি
6ba6a751e4	b8fe1	করুনাময় দাশগুপ্ত
6ba6b44688	bf530	ফিরে আসতে পেরেছি
6ba76ed370	17ca1	প্রধানমন্ত্রী হতে চলেছেন
6ba84f380d	9351a	ইন্টারনেটে বিবিসির ওয়েবসাইটগুলিতেও থাকবে
6ba8600ec0	976b1	মোগল, ইংরেজ ও পাকিস্তান
6ba8ac6b65	976b1	তবে বিভিন্ন সংবাদ মাধ্যম
6ba8f1e2ce	cb1aa	মেহনতি শ্রেণীর পার্টিতে
6ba9798db8	4fbd1	ধর্মপ্রাণ মুসলিম সৈয়দ
6ba9c90080	ee994	এটুকু দায়িত্ব আমার ছিল
6ba9c9946f	58998	তুমি কি সেই
6baa09a05f	bf530	লন্ডন, আমেরিকা, চীন, জাপান, কানাডা, ভারত, অস্ট্রেলিয়াসহ ৪২টি দেশে তিনি ফোক গান পারফর্ম করেন আবদুর রহমান বয়াতি।
6baa3f54db	d41be	মুহম্মদ হানিফা ‘দুলদুল’ ঘোড়ায়
6baa4b43fc	16cfb	বাকের ভাই
6baa9b02f8	554fe	একধরনের ড্রামাটিক সাসপেন্স
6baa9e416e	6b437	হজ করতে যাবেন
6baaeac62c	7b132	সুষ্ঠু নির্বাচন হতোনা
6bab0ce0b8	f1ff2	মন্ত্রণালয় গতকাল বৃহস্পতিবার দুপুরে
6baba140d6	7b103	আমি যেন স্বপ্ন দেখছি
6babcf8d09	ef915	যেদিকে তাকাই
6babfdbbe4	a1d4a	তাদের ফেরত পাঠিয়েছে
6bac0a7092	f2b7d	বিভিন্ন সড়কে দেখা গেছে যানজট
6baccdfea1	9d46f	নেত্রী ছিল
6bad5856c6	60b9d	ট্রাইবুনালের ভেতরে
6badd014ec	83c53	এ থেকে আগুনের সূত্রপাত হয়
6bae41493a	c6848	চট্টগ্রাম শহরের সহায়তা পেলেন কীভাবে
6bae610c59	9d46f	এ সব ঘটনায়
6baee4e828	1a2a1	বাংলাদেশ সংলাপে অনুষ্ঠানে
6baf4cfecb	7297e	প্রেমিকা লোপাকে কাজে লাগান
6baf5f7e21	32998	কাবুল
6baf6a362a	ce180	সংজ্ঞা ছিল
6baf6c2fbf	3fae0	আমাদের কাছে মনে হয়
6baf809d67	28dfc	কখনওই তা সফলতা
6bafb3864e	ab946	ব্যাপকহারে চাঁদা আদায় করছে
6bafc479e8	b2a62	ভালো ছেলেদের বদলে
6bafdad321	09b32	এ বিষয়ে সম্প্রতি
6bb008317c	bfac7	যুবতী পরে হাসপাতালে মারা যান
6bb08ea542	18a52	সেই সব ক্ষেত্রে তাদের অপরাধ
6bb0b850b8	cb627	২০ জন নিখোঁজ ব্যক্তির
6bb0e38345	10a9f	যখন চাঁদ পৃথিবীর কাছাকাছি পৌঁছায়
6bb113c664	6c6bf	আমার কথা শুনতেই পাচ্ছে না
6bb1465371	ff1eb	সাহস দেখালেন
6bb1633508	33814	সেই কবে থেকে
6bb1b83672	14816	ছেলে জুটিয়ে
6bb1b9aeb5	e00db	জাতীয় পার্টি
6bb1e6d203	5cb47	চুপ করিয়া বসে থাকিলে
6bb275029a	e50f1	সুনির্দিষ্ট কোন অনুসন্ধান থাকলে কি করবো
6bb29f5c03	72649	হোসনে আরার গলিত মৃতদেহ
6bb2a0ea20	351dd	কুম্ভ
6bb33dff3e	7df87	এই ফ্লাইওভার
6bb34695a7	577fa	রবীন্দ্র ভারতী বিশ্ববিদ্যালয়ে
6bb398f532	e9759	রাষ্ট্রীয় বার্তা সংস্থা জানাচ্ছে
6bb3d257b8	8a46d	প্রতিক্রিয়া দেন
6bb449a4e8	35ef3	কুমার শানুর গান
6bb595cfe9	b618b	তখনই প্রথম অনুভব করতে পারল
6bb5ffc8c2	1a2a1	বাংলাদেশ টেলিভিশনসহ
6bb6a1b3c1	e6d83	ফলে সত্যেন সেনের
6bb6cde31b	a3a6d	মার্কেটিং জব
6bb7108177	717bb	খুব শীঘ্রই তারা
6bb76241fd	ad2a0	স্থূলতা আখেরে
6bb7662c03	d9b11	বাসায় নিয়ে যায়
6bb7831842	948d3	আমার জমিতে শস্য জন্মে নি
6bb7832d00	33814	ছাড়ার কথা রয়েছে
6bb816be0c	6e8cb	ভারী
6bb88d41ae	baa02	উৎপাদন না বাড়লেও
6bb891a223	2c9c5	সারা দেশে সড়ক, রেল ও নৌপথে
6bb8b4d100	6973e	২ লাখ ১ হাজার ১০০ টাকা
6bb9fdaf43	a3a6d	সংগৃহীত একটি টাকা
6bba0a5c2e	c11b1	প্রভাবশালী ব্যক্তিদের সঙ্গে
6bba3271d8	2ecf8	পালনের নির্দেশ দেয়া হয়
6bbae297f6	c173f	বুঝে নিয়েছেন
6bbaf40969	37d7e	অবাধ, সুষ্ঠু ও নিরপেক্ষ
6bbb1a9d9a	7f71c	প্রতিবারই তিনি
6bbbf859f0	a274b	এই রিজার্ভ যদি
6bbc11a0d3	d1a48	খেলায় জয়-পরাজয় থাকবে
6bbc13df10	efc0d	লংমার্চ শুরু হয়
6bbc140501	2b883	বেলা ১১টা ২০ মিনিটে
6bbcc79f5d	60f77	আবার জেগে ওঠে
6bbcf1adee	b8fe1	অ্যাডোবি এনকোর ডিভিডিতে
6bbd244142	ff1c3	সাম্প্রদায়িকতা রোমান্টিক সংবেদনশীল
6bbd532221	1279e	সারাদিন না খেয়ে রোজা রাখার পর সন্ধ্যায় সূর্যাস্তের সাথে সাথে খাবার খেয়ে রোজা ভাঙ্গার নিয়ম।
6bbd71851d	2ee04	চাইলে বাজার থেকে
6bbd891964	e2f12	রাজশাহী কলেজে
6bbdba5f1c	932bb	আবার অনেক বাগানে
6bbdf06878	2556b	বাবার মৃত্যুর বর্ণনা শুনে কান্নায় ভেঙে পড়েন আফরোজা আহমেদ।
6bbe2605ce	321b6	এদিকে শিব
6bbe28a874	ff1c3	এই শাক খুবই উপকারী
6bbee4e5e2	bcaa8	নাটকটির বিভিন্ন চরিতে
6bbf4d21c3	f2097	বৃহস্পতিবার বিডিনিউজ টোয়েন্টিফোর ডটকমকে
6bbfc73009	7b900	বিয়ের ক্ষণ গোনাতেও
6bc04093a9	ff970	একজন আমেরিকান গায়িকা
6bc0c94f88	cc9fd	রাজনৈতিক ইতিহাস রয়েছে
6bc0dfe347	577fa	তাঁহার পুত্র-কন্যারাও
6bc0ef4cce	cfc65	তাহার কারণ এই যে
6bc143ddd3	47e8d	বাংলাদেশের মুক্তিযুদ্ধ চলার সময়
6bc1851660	23291	শাসনতান্ত্রিক কর্মে
6bc18ab588	4c555	সেই রোগিকে
6bc192c221	f2097	কাঙাল কলামলেখক
6bc19adb2e	7ee9b	বিদ্রোহ করার সামিল
6bc1ba4a17	a8710	যাবজ্জীবন কারাদন্ডের আদেশ দিয়েছেন
6bc1ebc50b	3fc9d	উভয় মতের উপর
6bc20ec04a	80539	আজ চট্টগ্রামে অপর ম্যাচে
6bc25cdd3f	68ab7	মধ্যবিত্ত পরিবারের ফারজানা
6bc31e8cc4	5dd61	চেষ্টা
6bc359aa3d	14d25	মুম্বাইতে এটা তাঁর
6bc3bf017e	31f2a	নিরাপত্তা পরিষদকে
6bc3c334ca	ab946	তাঁর সৃষ্ট
6bc43d7eee	91dff	বাংলা ভাষার কবিয়াল ছিলেন
6bc461de8e	9fa90	তখন ঘরের ভিতর হইতে
6bc46998d4	cd3ac	পাকিস্তান-শাসিত কাশ্মীর
6bc4a56e98	9d7bf	সম্বরণ করতে পারলে না
6bc4cbbd77	388c9	ববিতা ও আলীরাজ
6bc4e24788	29089	বিশ্বের সবগুলো দেশে
6bc52c8dac	13b70	খননের পর নদীটি
6bc5407742	b8bdd	বহন করার মতো
6bc552c461	80505	এটিকে সেভাবেই
6bc5fb8b41	8845d	তাদের বাচ্চাদের
6bc65affe4	93bf3	অন্নদাশঙ্করের অনেক লেখা
6bc664585c	730c3	প্রায় ৭০০ মাল্টিপ্লেক্স নির্মিত হয়
6bc6c198e9	16877	নিষাদ কি কোনদিন
6bc6de202e	0f047	সাধারণ
6bc737eb8e	a1201	মামলা করা হয়েছে
6bc76a3803	e68af	যখন বিষয়টি যায়
6bc79376ed	c0d65	আগামী ৬ সেপ্টেম্বর
6bc7b06b7b	d9ba9	ব্যাংক হিসাবগুলো খুলে দিতে
6bc82cfbb1	eb179	১৯৫৫ সালের ৩ ডিসেম্বর
6bc855356c	24aed	ভায়ের স্নেহ
6bc868bc2e	91223	আটক করা হয়েছিল
6bc8c43cad	1e7c7	বোন ভাই-ভাই করে
6bc901e044	eaa7a	তাদের ভগবানের কাছে
6bc9151383	903fa	চেন্নাই
6bc99978a3	616ec	প্রতিশ্রুতি দিয়ে
6bca390653	66c6b	একটি পরিভাষা বিশেষ
6bca43723e	35ef3	ক্ষমতাসীন কংগ্রেস দলের
6bca4b559e	ab946	এক সন্তান নীতি
6bca4cb68c	bcaa8	লিপি যে ইউনিভার্সিটিতে
6bca766a73	f4ba7	অমৃতসর জেলার
6bca7e3692	52578	পেরেক ঠুকে দিয়েছে
6bca8829cb	ac0df	পুরুষ পাখিটির
6bca95c60e	9b864	শুক্রবার মুখোশ পরা
6bcaa65fcb	b8ed8	বিপাকতত্ত্ব, বংশগতি
6bcb0e38b8	80e98	জাপানি পুরান মতে
6bcbba88e7	2ee04	করতাম কি না কে জানে
6bcc1ed7c6	d7a68	বেশ অস্পষ্ট, বিমূর্ত
6bcc313024	d711f	ন্যাটো জোটের জন্য
6bcc3572d4	d82d9	আকাশ বাতাস প্রকম্পিত করছি
6bcc7e3169	68549	সেই শ্রীমতী বিপ্লবী আওরাত
6bccba5c9c	d3e06	দেশে বিভিন্ন সময়ে
6bccc19a8a	e89bb	প্রেক্ষাপট দেখেন
6bcd03e12d	c8f7f	বৈচিত্র্যের অভাব হইলে
6bcd30721e	79b06	মুম্বাই পুলিশ কমিশনার
6bcda781b4	24aed	জার্নি বাই কার নামে
6bcdb7c714	88654	বিনোদন চ্যানেল মানে
6bcdda4b78	9e923	দেশটির কিছু এলাকা
6bcea3e54e	60f77	রায় ঘোষণা করেছে ট্রাইব্যুনাল
6bceb87813	93bf3	নিষিদ্ধ হয় প্রগ্রেসিভ রিপাবলিকান পার্টি
6bcec607a4	4c1eb	আমার ছেলেবেলা কাটিয়েছি বরিশালে
6bceee5e5c	6dff5	তিনি বর্তমান প্রেসিডেন্ট
6bcf2bd747	68ab7	আপনাকে সালাম
6bcf3f8707	9065c	২০ ফেব্রুয়ারি ২০১৪ বৃহস্পতিবার পর্যন্ত
6bd004917e	f2097	ভাষা-ব্যবহার থেকে আধুনিক বৈজ্ঞানিকেরা
6bd07bfad5	25117	বাংলা অভয় এবং অরণ্য
6bd087d7e0	adf01	যে পরিশ্রম করেছেন
6bd099fdc3	35ef3	এখন দরকার হয়ে পড়েছে
6bd09f10fb	577fa	অমল হোম
6bd0b861a8	7b60a	রিক্সা তুলে দেয়ার ফলে
6bd11bda53	ff1c3	বিনিয়োগের অন্যতম একটি মাধ্যম
6bd17e6834	65e30	বর্তমান সরকার ক্ষমতায় আসার পর
6bd180b44c	13b70	ভারতীয় ভাষাসমূহের সমন্বয়ে
6bd1aa364f	d5213	প্রতিটি ব্যাগ সেলাই
6bd1cc65e4	46da4	মধ্যে সম্পর্ক
6bd22e7bae	2ecf8	লাখ লাখ টাকার
6bd27182fd	ff970	মিজান বেরিয়ে যাওয়ার সঙ্গে সঙ্গে
6bd27ef1c5	d2faf	১১ কৃষককে হত্যা করেছেন
6bd30f012c	b618b	আমি ভাবার জন্য বলছি
6bd30f9b27	d9817	আর্মড পুলিশকে
6bd36032ff	b08d0	সাংবিধানিক শাসন এবং স্থিতিশীলতা
6bd3835b27	ced74	নির্দেশ দিয়েছেন সিইসি
6bd3b32499	c5479	নাড়িভুঁড়ি বের করে
6bd3c0e20c	f0f95	তলায় তলায়
6bd3f441d1	73629	আদালতে হাজির করতে হবে
6bd41ca2ed	c41d8	ভারতবর্ষে সাতটি
6bd47dd54e	809cd	একটু জ্বলুনি সইতে হচ্ছে
6bd4a93bc3	698a4	স্থানীয় লোকজন ছুটে এসে
6bd4c53718	cb627	স্বদেশ বা ভাষার প্রশ্নে ছিল দ্বিধান্বিত
6bd50609e3	efc0d	স্বাধীনতা সংগ্রামের নায়ক
6bd5378efe	fda1a	কুস্তির ময়দানে নামার
6bd5dcb18d	91230	এটি নিয়মিত করলে
6bd60618fb	3c897	আইসিসি চ্যাম্পিয়ন্স ট্রফি প্রতিযোগিতায়
6bd64754a2	bcaa8	যাব যাব করেও
6bd6581135	a8710	আমাদের সম্পর্ক হওয়া উচিত
6bd7880740	73629	পায়ে চলার পথ বাড়ানোর
6bd7df71b7	809cd	দরজার বাইরে সবসময়
6bd7eaeb60	06e62	বোঝার চেষ্টা করি
6bd7fb9667	3fae0	তার চেয়ে যেটা বেশি দরকার, তা হলো স্বল্প মেয়াদী পদ্ধতির বদলে দীর্ঘমেয়াদী পদ্ধতি বা স্থায়ী পদ্ধতি গ্রহণে সবাইকে উৎসাহিত করা।
6bd830ad30	6fb36	দুটি পরিবেশনার
6bd87fc811	23b22	বন
6bd8f2e5af	bfac7	আবার চোখ বুলালাম
6bd91962e9	7e1d5	তারেক রহমানের পক্ষে
6bd92dcdf7	e2ba2	নানি দরজা খুলতে
6bd94596ba	c6848	পাঠ আকর্ষণ ও আনন্দকে
6bd94bee46	3ccf1	এসময় বক্তব্য দেন
6bd9aeb4e2	60f77	পরীক্ষায় অংশ নিচ্ছে
6bd9e98093	8edea	অমলার পুতুলটিকে
6bd9f541b3	4a67e	আটটি দল হলো
6bda3a3487	0633a	দুই আইনজীবী
6bda759f3d	a7c6f	হোল স্টিম ফিশ উইথ লেমন
6bda7a36be	4ea73	কখনো ঠন ঠন ঠন
6bdad54b5e	31f09	হয়ে উঠতে পারে অভিশাপ
6bdad835d4	e6e48	টার্গেটের মধ্যে পাচ্ছে
6bdb627d19	f2097	পানির স্তর উপরে উঠিয়ে
6bdbf4bf18	1a4a9	বোর্ডি স্কুলে সে যেমন থাকছে
6bdc705270	7351e	যাত্রীসহ বাসের শ্রমিক
6bdc81cc70	f2780	ভারতের উইকেটরক্ষক ব্যাটসম্যান
6bdcf1132c	2d98b	তাকিয়ে আছে নির্বাচন কমিশন
6bdd6845ce	f280a	পরমাণুর বাইরের কক্ষে
6bddc47a33	52f27	হামলা ও ভাংচুর করে
6bde003067	d2355	উন্নয়নমূলক কাজে
6bde326b00	c5dc8	কেটে গেছে
6bdea1affa	68ab7	মেহেদি হাসান, নোয়াখালি
6bdf06a8cd	e7230	ইউক্রেইনীয় গণমাধ্যমে
6bdf2268be	8845d	ভরসা তাই প্রীতি ম্যাচগুলোই
6bdf758047	2ee04	বিদ্রোহের সর্বোচ্চ শাস্তি
6bdf9a7c29	dfefa	তাদের কাজ ছিল
6be01d6a03	323f1	আবেগে আবেগে আবার
6be0623953	16e96	সহিংস ঘটনার জন্য
6be0d4fbe1	31f2a	ইসরায়েলী বাহিনী
6be236f3a2	e89bb	কী দাদা
6be2371127	287bd	নেতিবাচক প্রভাব পড়তে পারে
6be3007db3	554fe	নতুন শোষণমূলক ব্যবস্থা
6be3626028	6d129	তাঁর শোবার ঘরে ঢুকেছিল
6be3ab5e0d	5d80e	মুজাহিদীন
6be3b54f1c	4164f	সে সম্পর্কে দূতাবাস ওয়েবসাইটে
6be3c0d0d8	c4973	রং চঙ পোশাক পরা
6be41eedc0	05901	আন্তর্জাতিক রুট
6be44f0415	e3d8b	শ্যামবাজারে মিল ব্যারাক ঘাটে গিয়ে
6be4768801	91223	পল্লী বিদ্যুৎ সমিতির কার্যালয়ে
6be4d563bf	b4ea7	খিলগাঁও ফ্লাইওভারটি
6be518d61d	c0d65	২০০৮ সালে ইউরো
6be53aafe6	92f59	ডিভিলিয়ার্স মাত্র ৩২ বলে ১ চার
6be5938f67	4a67e	পাশাপাশি তার সব
6be6064a3e	5b13f	কিছু বুঝে ওঠার আগেই
6be62d5d10	7d3e1	এমন একজন মায়ের
6be62ea976	f0f95	যানজটসহ সার্বিক পরিস্থিতি
6be6312e06	dfefa	নিজের সঠিক প্রতিভাটি
6be669fe7d	b8fe1	অজ্ঞাতনামাদের নামে
6be6b9d605	0895a	অসুখ-বিসুখ লেগে থাকত মেয়েটির
6be6d92051	68549	ক্ষতিপূরণের তহবিল নিয়ে
6be719eb9b	e6752	টেবিলটা বড় কথা নয়
6be74fbfa7	e754e	অমিতাভ একজন মোহগ্রস্থ
6be750bd1c	01e91	দাউদকে পেরেশানিতে ফেলে দেয়
6be7d3afc3	b2a62	টেলিছবিটি
6be834ebf1	b8ed8	আর্সেনাল অলিভার জিরার্ডের
6be8b4910b	536d9	তার আসার দিন
6be8d9f8ba	1652d	সেজন্য বিমান বন্দরে
6be8da93b2	d711f	গ্যাসের চাপ বেশি বলে
6be90206f4	6fb36	স্টেট অব মাইন্ড
6be9247faf	eecdd	কাব্যজীবনের
6be959c646	bc81e	ক্রিকেটের জন্য স্থান বরাদ্দ করতে
6be9da8ec7	d3e06	৩০টি বিজ্ঞান বিষয়কপ্রকল্প
6bea9aafda	b00ba	ঝরঝর বুকে অবারিত
6bead9df40	33814	বনাম ওজন অনুপাতের কারণে
6beb7cab48	06736	কলকাতা বাংলা মুভি ২০১৪
6beb96be2d	4486f	একটা প্লাটফর্মে আবারও দাঁড়ালাম
6bebbc932d	93080	গয়না আর নগদ অর্থ
6bec1c0675	809cd	পরিষদ গঠনের প্রস্তাবও
6bec2305bb	b9b98	পরিস্থিতি নিয়ন্ত্রণে আস
6bec310443	d5213	সাফল্যের জয়গান
6bec32e157	9642e	অতিরিক্ত দামের
6bec884832	4fc91	শূন্য দেয়ালের দিকে
6becf6366c	59c73	সারা দেশে তাপমাত্রা উঠেছে অন্যান্য বছরগুলোর তুলনায় অনেক বেশি।
6bed9e5d5d	745b7	তাকে স্বাগত জানানো হয়
6bedda2f75	ac904	হতাহতের মধ্যে রয়েছেন
6beddf7a9f	b5fdc	এই দুই সন্দেহের মীমাংসায়
6bee68f543	410fa	স্বাধীনতার পরই
6bee7a782e	3fae0	স্বাভাবিক ব্যাটিং করলেও
6beea5480d	7d133	মালিকানা লাভ করে
6beeb203d3	b2a62	১৯৩৬-১৯৪২
6bef634c51	bdfc1	বাছিয়া বাছিয়া সর্বোৎকৃষ্ট কবিতাগুলি
6befbc683b	1b359	বৃটিশ আমলের পূর্ববর্তী
6befc094b7	c6848	দু-একটা কীটপতঙ্গ
6befdbeef5	5639c	তাদের মানুষ মেরে
6befee5fe1	38ff0	নিজস্ব অর্থায়নে
6beff4644f	32998	কোনওরকম জটিল দায়িত্ব দিতে
6bf01de32f	ec91c	কোফি আনান সহ আফ্রিকার বেশ কয়েকজন জ্যেষ্ঠ নেতা এমন প্রস্তাবের সমালোচনা করেছেন।
6bf05de6ed	ca831	সময়ের অভাবে তাদের
6bf09f12fa	66c6b	অজ্ঞাত পরিচয় যুবক
6bf0d7cee7	4fd66	হিজল ফুল
6bf0f6be7d	932bb	গত বছরের ৭ মে
6bf1334584	932bb	বিস্তৃত আলোচনা করেন
6bf13393ab	c0965	ব্রিটিশ পার্লামেন্টে
6bf1c3d3a2	dba43	প্রত্যকের
6bf237e83a	83c53	ওই অবাক হয়ে যাওয়া পর্যন্তই
6bf262e9fb	d3e06	তাহা জানিবার কোন
6bf2a8c81a	8edea	আমার জীবনে এটা
6bf2fb919f	d7a68	মেয়েকে নিয়ে বসেছিলাম
6bf327ed21	698a4	মেরি হার্ফ বলেন
6bf3447ee3	efc0d	বিভিন্ন ফোরামে
6bf3870d47	cb842	বর্তমানে প্রতি কেজি ব্রয়লার মুরগী
6bf3a300c6	321b6	মোটরযান অধ্যাদেশ অনুসারে
6bf41dfa8f	85430	ক্ষমতায় এলেন জেনারেল ইয়াহিয়া খান
6bf47e5893	44322	মৃত্যু না হলে
6bf4a8ecef	4fbd1	৩২ শতাংশ মানুষ
6bf5aed2e5	66b3c	ফাঁসি চাই, ফাঁসি চাই
6bf5ff615c	0d9f1	বিশ্বব্যাপী মূকাভিনয় দিবস হিসেবে
6bf60b0c72	d7a68	তিনি জেনেছিলেন
6bf615a85f	f1240	৭৬ বলের ইনিংসটিতে
6bf6355cd9	eb179	কিছুই নেই
6bf668065a	2de86	দু’টি গণভোটের রায়
6bf67473ac	0895a	চিত্রনায়ক অক্ষয় কুমার
6bf68bdeb9	7b60a	নির্বাচন সম্পন্ন করা হবে
6bf6fa6cf8	f600a	কোনো মানে হয় না
6bf71809f4	4237e	ব্রেইন
6bf75be966	f2097	মণি ছাদের সিঁড়িতে
6bf775dfd4	db735	মিনিট কুড়ি পরেই
6bf7763803	5d80e	এই তাঁতশিল্প একদিন
6bf79c2447	22096	এসেছে গ্রামীণ মেলায়
6bf7ed0b26	7b900	খুঁজছেন জ্যোতির্বিদরা
6bf871de28	730c3	তাই চলচ্চিত্র সংশ্লিষ্ট সবাই
6bf8a73768	33aef	খোঁজ নিতে গেলে
6bf8c632f1	4fd66	রবীন্দ্র সংগীত লিরিক
6bf922f088	9b864	বাংলাদেশের মেয়েরাও তাদের
6bf9773523	a1201	পছন্দ করতেন
6bf984f04d	21e54	যা মন্দিরের সমস্ত এলাকা
6bf9a7079b	7ed14	এবার লা লিগায়
6bfa060f52	8845d	সৌদি আরবের রাজধানী রিয়াদ
6bfa080516	c0d65	স্বরাষ্ট্র মন্ত্রণালয়ের বক্তব্যেও
6bfa1c8af4	6c6bf	নিজেরাই সাহিত্যিক
6bfa27dc56	ad050	দাম ও পরিমাণকে
6bfa5ea35d	ef915	প্রস্তাব করেছেন
6bfbdf2c49	9e923	এই পুরোনো বিরোধ নিয়ে
6bfbfc58ad	8c120	পুলিশের বেশ কয়েকটি সংঘর্ষের পর
6bfc567e7d	25117	পুরাণে দেখিতে পাই
6bfca8db6d	72649	আধুনিক বৈজ্ঞানিকরা
6bfdb6fac0	274ee	খুব চেনা একটা রূপ
6bfe1347e9	80505	বাম্পার ফলন হয়
6bfe55cbdd	39293	পুনরাবৃত্তি কেন থামানো যাচ্ছে না
6bfec5cd1d	e3d8b	খেজুর গাছ
6bfece5057	bcaa8	পৃথিবীর এক পুত্র ছিল
6bfef19b3a	e6e48	রায় এবং শাস্তি ঘোষণার সময় অভিযুক্ত মিঃ মোল্লা আদালতে উপস্থিত ছিলেন।
6bfef8f813	6e6fa	হঠাৎ একটায়
6bff2dba03	80539	শিরোপা উঠবে সিদ্দিকের হাতেই
6bffb7b1fd	3ccf1	সাঈদীর জনপ্রিয়তা
6bffcf0003	1e7c7	মৃত্যুর মতো শূন্য
6bfff81d89	af81d	সব রাজনৈতিক দলের
