0400051bb1	d2355	স্তনের টিউমার দেখাতে
048293dab5	ad2a0	চা খেতে ইচ্ছে করছে না
04832bd430	355c1	চাঁদপুরের হাজীগঞ্জের রাজারগাঁও কেন্দ্রে
04836dad0f	943de	বিনামূল্যে ব্যবহারের জন্যে
0483d09001	f2b7d	সাদিয়া মনির বয়স ৯
048401303f	6fb36	অভ্যুদয় ঘটে
0484087e40	b5fdc	ক্ষমতাসীন দল আওয়ামী লীগের সাধারণ সম্পাদক সৈয়দ আশরাফুল ইসলাম হেফাজতে ইসলামকে কড়া ভাষায় সতর্ক করে দিয়েছেন।
04844e7fbe	3ec4d	তারা পারে
04847a218d	05901	ইন্দ্র বলিয়া যে একজন
0484917a5f	a0277	এখনও উদ্ধার কাজ চলছে
0484a1966d	0c39f	গবেষণায় নিয়োজিত রয়েছেন
0484b75963	9065c	সাধারণ দাবার নিয়মে
048579af52	e6e48	চেষ্টা করে যাচ্ছেন
0485c9c30e	29089	৫ বছর
0485d26ed4	7a227	প্রকৃত অর্থে
0485e1b4c9	79b06	এখন জামিনে আছেন
0485ee630d	eb179	তুলে ধরতে চাই
048669a12e	e6752	চরম ব্যর্থতার দৃষ্টান্ত
048696e051	c173f	নোবেল
0486ee78e0	7aed9	ফোক ধারার গান করেছেন
0488193e3d	0a87a	তাঁর ভাবনার আধুনিকতা
0488825f1b	c9c19	চেতনাটা তখন অসাড় হয়ে গিয়েছিল
0488b435d6	79b06	এমন দাবির যৌক্তিকতা কতখানি
0488b51cec	66c6b	পাঠান হয়
0488fbc70f	adf01	তখন থেকেই ডাকটিকিট সংগ্রহ
0489144ea2	c0965	ঢাকার বিভিন্ন পয়েন্টে
048947fc48	1a2a1	ভাব দেখায় তারা
0489b66581	33aef	বিক্ষোভ-সংঘর্ষের ঘটনায়
0489ea6a52	17dcd	সরকার ও নির্বাচন কমিশন
048a072b59	d71a3	বিমান সংখ্যা বাড়িয়েছে যুক্তরাষ্ট্র
048a9cd8e4	520fb	সকলে ‘জয় জয়’ বলে
048b44f64c	65e30	যেরূপ পাষাণ
048b75f08d	80518	শতকরা হিসেবে
048bf95103	18460	কনডম কি
048c7e500d	577fa	আর শেষ হয়েছিল
048d0d0c42	f0f95	মারসেলের প্রধান বিপণন কর্মকর্তা
048d4778e1	03284	সেগুলো গুছিয়ে রেখেছি
048da91739	f2b7d	দাঁত বন্ধ কর তো
048ed106e2	f143a	এখনো ছড়িয়ে আছে
048f0f6361	ced74	মায়ানমারের ইয়াংগুনে
048f14fba1	24aed	২০০৭ সাল থেকে
048f3d7e22	8c120	ফল
04900947c2	43fc0	অপেক্ষা করতে হবে আমাকে
049031820e	9b864	কলকাতায় উত্তমের বাড়িতে
04904235e6	09b32	অন্য নাম দিয়ে
04904b9092	60f77	জীবনে এমন কথাটি
04908691f7	9d398	কাজ করার
0490d1d8b5	95907	জনগণের অর্জনগুলোকে
0490f7dd0e	d8c80	নতুন সাহিত্য
04913ab0e7	d2d71	অস্ট্রেলিয়ার মেলবোর্ন ইন্টারন্যাশনাল ফিল্ম ফেস্টিভ্যালে
04918ff24a	7e1d5	প্রশ্নই নেই
04919581fc	cc18a	মাখন ১০০ গ্রাম
0491acaf2d	ad050	তাঁর জীবনব্যাপী সংগ্রাম
0492932386	1e7c6	অপ্রতুলতার কারণে
0492d48aca	860f4	উপজেলা প্রেস ক্লাবের সভাপতি
049359c90d	a9a58	হইবার সঙ্গে সঙ্গে
0493a29705	e31e7	শীতলক্ষ্যা নদীতে
0493a5fb59	a9a58	যাওয়ার কথা থাকলেও
0493ca52ac	64092	আটকে আছে বলে
0493db772a	3faff	এলাকাজুড়ে নৌবাহিনীর দুটি ফ্রিগেট
0493fca9b0	aabe7	ভর্তি করা হয়েছে
04941d347f	9065c	এখন অনেকেই সরিষা চাষে
049435cea1	e3f89	রাজনৈতিক দল হিসেবে
04948eff85	8c07c	নির্বাচন কমিশন সচিবালয় থেকে
04949cfce8	f2b7d	রাধাচূড়া
0494befcdf	ac904	অবশ্যই বিদ্রোহ সহজেই
0495195e94	2840e	এই অভিযোগ ওঠার পর থেকে
0495308513	a3a6d	গুঞ্জন শুরু হয়ে যায়
04957da423	3fce2	তৃতীয় বার্ষিকী উদযাপনের দিনে
049597005b	6da0a	তদন্ত করে এসব ঘটনার
049661daa5	6d129	বাস্তবায়নের উদ্যোগের অংশ
0496658c0f	809cd	বল বীর চির উন্নত মম শির
0496a4f397	5639c	এই অনিদ্রার সঙ্গে কি
0496ea9c6d	a43b5	দাওয়াতে তাবলীগ
0497a0f87e	903fa	বৃহত্তর কুমিল্লা অ্যাসোসিয়েশন
0498269ff2	778c0	নির্ঘাত চেঁচাত
0498548b89	c1e30	জুবাইদা মালিকের প্রতিবেদন
04988c8b60	f0f95	বহু জল্পনা-কল্পনা মেশানো
0498c66823	66c6b	ওয়াটসনের উদ্দেশ্যে
0498e30a3e	3fae0	তার হজমের
049928ef13	52f27	হল মুখো হয়
049940dc39	b9122	কাজ শুরু করতে পারেনি
049959b6c2	43b04	যে কোনো মানুষেরই
0499b88fb4	7898e	নিঃস্বার্থ ভালোবাসা
049a78b016	3fb17	এরপর ওই বছরের ১৯ এপ্রিল
049a9314f8	e9759	বিভিন্ন পরিমাণ
049ae1f910	46d49	আমি নিয়মিত
049ae97308	e9759	১৬টি বিভিন্ন ধরনের অস্ত্র
049afa64e0	91230	এ থেকে শিক্ষা নেওয়া উচিৎ
049b4c2759	745b7	যাত্রা শুরু হওয়ার পর থেকে
049b70046b	3ec4d	কত মানুষের লাশও
049b8b1c4a	80be1	ঢাকা থেকে ফিরে আসি
049ba7de0f	2c9c5	তাকে নগরীর মিরবক্সটুলাস্থ
049bc44980	68ab7	কোনো হুমকির মধ্যেই
049c191daa	38d3a	২৬ হাজার ৯শ ২৬ জনের
049c3bb199	9642e	তপ বাণ
049cdbc4e7	a1d4a	ওড়না দিয়ে মাথা ঢেকে
049d088bb9	17dcd	তিন দিনের দিন
049dbe9084	11bd2	সিলেটের জৈন্তাপুরে
049e00e7d6	d9081	তাঁর সঙ্গে
049eb4a76c	b4ea7	নারী কতটা বলি হল
049f8fc45b	91ac1	টেস্ট ক্রিকেটের জায়গায় টেস্ট
049f94d7ac	16a17	ইলিয়াস আলীর পরিবার
049f9f9043	58998	অউব জন্ম ধরা হয়
049fc77e87	3f875	বাংলা একাডেমি বার্তা ৮টি সংখ্যা
04a023a1fc	05901	৩৯ হাজার ৯২৫ টন
04a06ef0d1	321b6	বেশি কিছু প্রয়োজন
04a0a42ea3	315e9	অমর একুশে উপলক্ষে
04a0e6e05c	554fe	হঠাৎ বায়ুরোগাক্রান্ত হওয়ার কথাও
04a0eef8e8	ff1eb	একসময় পত্রিকা অফিসে
04a1389c87	d2faf	শুরু হোক
04a159965d	7b900	আলোচনার সময়টা অবশ্যই
04a15aad3c	9065c	তুরস্কের সুলতানকে
04a1657b1e	84145	সে কিভাবে পরিচয় দেয়
04a1c0971b	71522	ওর চলে যাওয়া
04a2dbf25c	6dff5	তিন দিনের মাথায়
04a2f43d7f	9282d	বেশির ভাগ অ্যাকটিনোমাইসিটিস
04a3107de7	71522	তালেবানি ফিৎনা ফ্যাসাদ থেকে
04a328cfbb	4e900	মীন রাশি
04a33df809	17ca1	টাকার প্রথম কিস্তি
04a3ad06a5	92f59	অনেক টাকা নিয়েছেন
04a3c3533f	2ee04	কিন্তু নিউজিল্যান্ড
04a3dba092	e43d4	কাজ করব
04a3ebf986	aabe7	ভারতের বিখ্যাত লেখক
04a446d09c	5354e	সরকার মনে করে না
04a46ec812	693cb	ধাপকে বোঝায়
04a487e6ea	1a4a9	অটোরিকশায় করে
04a4d5bcb8	aab0f	সে নিজের হাতে
04a4dde599	59c73	রাজশাহী, পাবনা, সিরাজগঞ্জ
04a5a71e72	7b103	খুব সহজ কথার মধ্য দিয়ে
04a68b9bf2	83c53	জনগণের আশা-আকাঙ্ক্ষার
04a6b1e5be	1c618	হতে হবে নির্দিষ্ট
04a7490f15	91dff	তিনি গড়ে তুলেছেন
04a74c46f7	a1201	প্যারিস থেকে বিবিসির সংবাদদাতা
04a75a1d83	2f547	কিন্তু জেলে যাওয়ার পর
04a7ad08cb	e754e	সেদিন আর খাবে না
04a7dbefde	d3e06	সে যখন ডাক্তারি পড়তে চায়
04a8210636	e9759	সচিন-উন্মাদনা
04a846d061	6e8cb	বাংলাদেশে মাথাপিছু আয়
04a85872b6	e3f89	বেশ কিছু গাড়ি
04a8877f3c	b78ec	কূটনৈতিক, অর্থনৈতিক
04a89d67d7	75626	জীবনের শেষ দিকটাতে
04a8a82e00	a916a	থাবা মেলে আছো তুমি
04a9464443	92f59	দেওয়া হবে বলে
04aa92fec8	e2f12	সুস্থ ও সুন্দর
04aaa08c23	0606d	ধরা পড়বে
04aaa1d2f9	388c9	সবার জন্যই
04aaaaa729	9282d	কিছু মিথের অস্তিত্ব রয়েছে
04ab2ac9cb	2d98b	সর্বজনপূজ্য শ্রীমৎ সাধনানন্দ
04ab393a97	33aef	অংকুশ পশ্চিমবঙ্গের
04ab4dc90b	d136b	নেমে এসেছে
04ab61ec72	44322	এগিয়ে আসায়
04abd235cf	536d9	দৌড়িয়া চলিলেন
04abf9fdaa	ee994	শীতের সকালে
04ac1b4e58	d2355	কিন্তু এবার দলটির
04ac1ed244	75f18	লিগের দুই ম্যাচেই হেরেছে তারা
04ad0d4fb0	0b7ca	অভিভাবকত্ব নিতে চান
04ad542ce6	7027a	জেলা আইনজীবী সমিতির সভাপতি
04adfcf7e6	b618b	কখনই তারা
04ae08e0ee	d0c70	যে কোন নাশকতা ঠেকাতে
04af9a3b7f	06736	ওয়াশিং পাউডারের বিজ্ঞাপনে
04b051897e	58998	মুসলিম পারিবারিক আইন
04b0727bb8	38d3a	সবল বা সুপুরুষ ছিলাম না
04b1320f8d	6973e	কী বলেন
04b13cfb38	f143a	বীরশ্রেষ্ঠ নূর মোহাম্মদ পাবলিক কলেজ
04b146c429	f4ba7	শরীর নিয়ে নয়
04b1b2034f	9065c	বিচারপতি সাহাবুদ্দীন আহমদ
04b1cbb04d	21e54	উদ্দেশ্যে একদল সৈন্য
04b1d7381d	f2780	সহসা নিরাশ হইও না
04b1e48b3e	eb179	ই লাল হয়েছে
04b24411c7	06e62	মারাত্মকভাবে আক্রান্ত হয়েছে
04b2e56232	29089	এবং দেখা ফিরে দেখা
04b30674d6	351dd	সৌদী স্বামীর সঙ্গে তার
04b306c342	a43b5	দুয়েক জন ভূমিদস্যু
04b345398f	089ef	গর্ভবতী মা
04b37db9ed	2840e	হৃদরোগে ভুগছিলেন
04b3b6b344	ef915	অক্ষত অবস্থায় পেয়েছে
04b3fab60c	c7705	হাঁটু-জল ক্রমে
04b4669c1d	e89bb	রাজ
04b582ce1f	fdcba	টাক মাথার পুরুষদের
04b5ac07aa	7d004	এই হত্যাকাণ্ডের বিষয়ে
04b623eb0b	49d63	বিচার
04b6376f9a	2f547	প্রতিটি ধাপের বর্ণনা
04b801da1b	d1b12	হে রাজন্
04b8258ee5	d3e06	ঈদে 'অগ্নি' মুক্তি দেওয়া
04b851cd24	2fe3c	অক্টোপাস রয়েছে
04b947e69b	baa02	চিবুক উঁচু করে
04baf60c48	bc81e	পিচ্ছিল বা পিছলা
04bbbb44b2	4237e	কখনো কখনো বিদ্রূপের কশাঘাতে
04bc1a0d32	46da4	আবেদনের পরিপ্রেক্ষিতে
04bcdc3709	e754e	ঘাম গড়াচ্ছে
04bd2350c8	5dec6	একটা কম
04bd34bcec	4237e	চিকিৎসার জন্য
04bd4a49a2	5a61c	নিদারুণ হতাশায় চাপা পড়ে
04bd87f8da	5dd61	তোমার জন্য
04bd9cf244	77f82	বোরো ধানের
04be10310e	b8bba	ইতিহাসে খ্যাতি
04be722ff9	cd3ac	টিয়াপাখিটা কিছু
04bf7dcc60	33814	কিছু ভাবা হবেনা
04bf90ed47	287bd	দ্রৌপদী সাধ্বী
04bfdfc889	4fbd1	নো-ম্যানস ল্যান্ডে
04c06f884d	4c1eb	একটি নতুন প্রেসিডেন্ট
04c08c5453	698ff	বাজেট হলো অন্যতম ব্যাপার
04c1026507	1f733	বাঙালি তাঁদের প্রিয় সাহিত্যিকদের
04c103f745	2909b	যাত্রা শুভ নয়
04c1320256	83c53	অরবিন্দ ঘোষ বাল্যকালে
04c154d56f	11de3	যার ধারাবাহিকতা
04c1a66cf9	7a227	প্রচুর জনপ্রিয় বই লিখেছেন
04c1c0c844	bcaa8	বা তাদের অস্বীকৃতির কারণেই
04c1fdb301	6973e	ব্যর্থ হয়
04c241114d	cf82a	আচ্ছা, আপনি কি শহীদ কাদরী
04c2430d97	37d7e	স্ব স্ব আদালতের উপর নির্ভরশীল
04c255ee5c	4fd66	বিদেশি কর্মী রয়েছেন
04c34e3dd4	c173f	কৃষ্ণ বিষ্ণুর অবতার
04c3c8bfb8	29f8c	মুক্তি দিতে
04c3c9f406	1de6c	তখনো বেঁচে আছে
04c3f5db2f	0e637	বাংলাদেশ পরমাণু কৃষি গবেষণা ইন্সটিটিউট
04c405dfaf	ef4f8	তিনদিনের দিন
04c42372cf	b00ba	এক শ্রেণীর অভিজাত মানুষ
04c4550977	bc81e	ঘনিষ্ঠজন হিসেবে চিহ্নিত
04c474c289	0606d	ছোট এক ঝরণার মত
04c4ee0907	dfefa	১১টি মামলা দায়ের করে
04c5d9cd59	195f7	অনুষ্ঠিত বিশ্বকাপও
04c64d499b	9282d	সাঈদ খোকনকে
04c6700a69	256f5	পুলিশ পুরো এলাকার
04c6b4a9ab	f0f95	উদ্যোগ নেয়া হয়
04c6b9e695	68549	মাঝগঙ্গায় একটি নৌকা
04c6ee9ddf	baa02	পাবলিশারের সঙ্গে
04c71b0839	d41be	বার্ন ইউনিটের চিকিৎসক
04c71fc53b	11de3	সব সময়ই অবজ্ঞা
04c7f6cc77	47e8d	জিতে এসেছে সিনেমাটি
04c810db55	ac0df	এখনই তোমাদের কাছে
04c845fbf3	aa820	প্রায় ৮ থেকে ১০ কোটি
04c8948917	d136b	গ্রেপ্তারকৃতরা হলেন
04c9351598	491a5	পরিকল্পনাটি মেনে চলার
04c949c35b	9642e	বিজয় লাভ সম্ভব হবে
04c999c56b	8ba2b	তিনি রাষ্ট্রবিজ্ঞানে স্নাতক
04c9e91345	83c53	বিদায়ের পর
04c9f86a58	f0f95	কবুতরের গা থেকে
04c9ff974f	e8dde	পরিদর্শন করা হবে তা নিয়ে
04ca86493b	f29bf	আর কী প্রয়োজন থাকলো
04cbf8a1d9	bd576	দেশীয় পণ্যের বিক্রয় প্রতিষ্ঠান
04cc27ff0c	ced74	সকালে তারা আমতলী আদালতে হাজির
04cd23b003	91ac1	বিকল্পধারার কর্মী সমাবেশে
04cd3c7082	903fa	খতিয়ে দেখা হচ্ছে
04cd5957d4	49543	একজন পাহাড়ী লোক
04cd5b1ff0	5dd61	পথ-শিশুদের কুড়িয়ে আনা
04cd8a8c8a	2d78f	একের পর এক পর্যায়
04cd8c1acd	54e68	২৫ মার্চ ১৯৯৯ তারিখে
04ce225a05	33814	সেই বিশাল যজ্ঞের
04ce548acf	09b32	পুজোর ঘরের বারান্দায়
04cf644ef6	c11b1	ভাবধারায় লেখা
04cf959e75	3fc9d	অধ্যাপক শরীফ এনামুল কবির
04cfce6109	f0f95	দেওয়া যাবে না
04cfd410d7	2fc12	অ্যাকর্ড আগামী সেপ্টেম্বরের মধ্যে
04cfdd455f	3c897	এই তালিকায় দ্বিতীয় স্থানে রয়েছে
04d07982e1	c1e30	পথ হারাইয়া
04d0a1606f	ce180	যা কিউট
04d0aaabeb	db735	দেখা গেল মাথার
04d0ca4ae6	28bb3	সমাবেশের অনুমতি দেওয়া হয়নি
04d0cafd22	e2f12	জামাকাপড়ের ব্যাপারে এতটুকু হুঁশ নেই
04d0e66084	8632b	বাংলাদেশ জাতীয় সংসদে
04d11bea82	4a918	এসব নরম আরামের
04d1397266	66b3c	গান জানত না
04d1484b01	f2097	নারীর জন্য
04d21c3753	8632b	ভালোবাসা আজ
04d33a5f18	09b32	স্যাটেলাইটের বদৌলতে
04d3a22a89	9fa90	ভারতে একের পর এক
04d3e31262	2556b	অং সান ১৯৩৩ সালে
04d4005a84	aab0f	এখন হরদম চলছে
04d476d3f8	91dff	আবদুর রহমান টিপু সুলতান
04d4eff48a	442b7	বেলা সাড়ে তিনটায়
04d546debc	121bd	হোমস চেঁচিয়ে উঠল
04d5be9dbf	23291	অনেক সুখস্মৃতি রয়েছে তার
04d5cc9613	84145	মেঘলা দিনের কবিতা
04d5e3d00a	a06a1	প্রকাশের পর
04d608050f	e9589	নির্বাচন শুরুর আগেই
04d60c181e	5e80b	নারী প্রতিবাদ করার ভাষা
04d6a369bb	3fb17	সভ্যতা অতি আধুনিক
04d6c05dba	ef915	বাংলাদেশের মানুষের জন্য
04d744251d	7aed9	এ প্রতিবেদন দেয়ার জন্য
04d76f137d	809cd	মুখ রক্তে মাখামাখি
04d7c12085	7ee9b	উল্লেখযোগ্য অবদান রাখতে শুরু করে
04d7fd3caf	0d9f1	এখানে শঙ্কর কনস্ট্রাকশন
04d8b11e5f	c9c19	স্কুল-কলেজের শিক্ষার্থীরা
04d8e38aa3	a1d4a	অস্ত্র আনার বিষয়ে
04d9e2a96a	69d9a	ভূপৃষ্ঠ থেকে দেখতে পাওয়া
04d9e6a7d1	932bb	আমিষের পরিমাণ বেশি দেখাতে
04da73374f	0a7a0	নকশা করা আছে
04dac44a3a	01e91	তৈরী এবং প্রচারে আগ্রহী নয়
04dadac5af	b5fdc	চাপা দিয়ে পালানোর চেষ্টা করে
04daf8198d	db181	পথে কয়েকজন দুর্বৃত্ত
04db87576b	ca831	হঠাৎ দেখলেন খাবারে
04dbc54b5f	089ef	সুচিত্রা সেনের পারিবারিক নাম ছিল রমা দাশগুপ্ত।
04dbde2394	2b883	অজানা এক কারণে
04dbfd5459	4a918	জেলহাজতে আছেন
04dc7dc925	93bf3	সাহিত্য
04dc95df8b	92f59	তিনজন চিকিৎসক রয়েছে
04dcbfe488	23291	ক’দিন আগে রানাঘাটে
04dceb5f51	03284	অসততার ভয়ে
04dcee54ab	cf82a	বিভিন্ন প্রজাতির গাছ-গাছালি
04dd5685ae	9813c	আমাজনের রেইনফরেস্ট কিন্তু
04dd67ccc6	47e8d	খালিকুজ্জামানের স্ত্রী পারভীন জন্মসূত্রে ভারতীয়, অবাঙালি।
04dd7dcbf4	e89bb	তিনি নিজেই বিজ্ঞাপন দেন
04ddaee6b4	09b32	পা পা করে হাঁটে
04de46bcab	12702	দৃঢ়ভাবে মান যাচাইয়ের
04deacbdce	75f18	তবে তা খাঁটি
04debfea08	2d98b	এড়াতে পারেনি ব্যাঙ্গালোর
04df09b8d2	dfefa	ছবিটির নাম
04df1c7179	cc18a	কর্মসূচি পালন করা হয়
04df633972	0edef	২ লাখ ১৮ হাজার
04df88716d	3bea8	অধিবর্ষে ২৭৯ তম দিন
04dfb1a8d0	ce180	প্রেম-কাহিনীর চেয়ে কম নয়
04dfe34bd1	68549	কথা বলা নেই
04dff424c1	967fd	এ হত্যাকাণ্ডের সঙ্গে
04e038ae67	5e80b	দেশের প্রথম নারী স্পিকার
04e0417a01	66dcd	আপনাদের থেকে
04e1fc9e25	287bd	শৈশব-কৈশোরের অনেকটা সময়
04e20eb83c	767ff	দিনবদলের সনদ
04e306f78e	09b32	সহজলভ্য আকরিক হলো বক্সাইট
04e356df25	d9081	কোনো কারণ নেই
04e3a08375	2ad74	টমেটো
04e414a06e	9f25e	কে কী বলবে
04e4219531	15a75	পানি সম্পদ মন্ত্রনালয়ের
04e52a559f	5e80b	ব্যক্তিগত আক্রমণ
04e5b4505a	a1d4a	বেলি
04e5fb1164	2fc12	রোববার সন্ধ্যায় গুরুতর অসুস্থ হলে
04e6f510b5	32998	নাজমুল শাহনাজের ঘরে গিয়ে
04e749cde0	cfc65	ক্যামব্রিয়ান কলেজ
04e74fc8af	d9ba9	বাড়ির সবাই ছুটে এসে দেখেন
04e7713041	0c39f	কতটুকু প্রাধান্য পেয়েছে
04e772b5df	fda1a	১৭ নভেম্বর
04e87ce35d	eecdd	সরকারি সূত্রে প্রাপ্ত
04e894c02a	e55de	বিজ্ঞানের এই আবিষ্কার নিয়ে
04e90e138f	61820	নিহতের নাম ঠিকানা
04e9144821	e2ba2	৩৮১ কোটি ৩ লাখ টাকার
04e96840ec	68549	খুব ভালো লাগছে
04e98b7224	92f59	দুবাই হয়ে
04e996bd0b	0744c	দুপুরের মধ্যেই জানা যাবে প্রায় পঞ্চান্ন কোটি মানুষ কোন দলের ওপরে সেদেশের সরকার চালানোর ভার দিচ্ছেন।
04ea0b7d7c	6b437	ঠিক কোন দিকে যাচ্ছে
04ea209892	0f047	পরিকল্পনাকারী বলে চিহ্নিত
04ea2a3642	86b1b	গলিতে অবস্থান নিয়ে
04ea3ae2e7	ca088	সাধারণ মানুষকে আকৃষ্ট করে
04eac41e60	f1ea4	সিনেমার পোস্টারে
04ebc30e0d	9b864	জীবদ্দশায় আহমদ ছফা
04ebe112bc	a274b	খটাং খটাং করে নামছিলেন
04ec10ba84	943de	যা জৈবিক অস্ত্র হিসেবে
04ec249f17	9d398	কবিতার বেলায়ও খাটে
04ec3ead08	2909b	এই রিপোর্টে তারা
04ecaebbee	29bab	দেশের দশের আন্দোলনে যাচ্ছো
04ecde621e	bcaa8	এবং তারা এ জন্য
04ed1a53eb	1e7c7	সারা ভারতের
04ed4270bd	f280a	থেকে বঞ্চিত হয়ে থাকে
04ed6f5ed3	33814	দুর্ঘটনায়ও পতিত হয়েছিলেন
04ed9735ed	17ca1	সেই অস্বস্তি
04eda8e67c	6aac8	ইতিবাচক ফলাফলের জন্য
04ede4bd64	410fa	সার্টিফিকেট আছিলো
04ee2c524d	11915	আবদুল জলিলের
04ee310e85	e2ba2	ব্রিটিশ লেবার পার্টির নেতা এড মিলিব্যান্ড বলেছেন টনি বেন ছিলেন "আমাদের সময়ের একজন উজ্জ্বল ব্যক্তিত্ব"।
04ee76a07a	4fd66	জুলাইয়ে সমকামীদের প্রসঙ্গ নিয়ে
04eee2afdb	18a52	রুনুর মূল্যায়ন থেকে
04ef5f9fc5	33aef	গ্রামের বাড়িঘর
04ef842e83	6dff5	চাকরির ফাঁকে
04f0243909	6e6fa	৬৮০ রাউন্ড গুলি পান
04f041ab59	bd576	উদ্বেগ ও ক্ষোভের পাশাপাশি
04f0889b9d	91dff	আগুনের আঁচটিও লাগেনি
04f0b1e487	efc0d	নিজেদের মধ্যে
04f10d228e	1c618	ধর্মভীরু
04f1345592	9065c	এক তরুণীকে নগ্ন করে
04f140b1f3	8845d	কোন ধরনের অগ্রগতি ছাড়াই
04f2382187	7027a	স্টার
04f2699f86	1a4a9	এ সিংহ নয়
04f2a99d0b	6fb36	কারণ দেশটাকে
04f2e2322e	33aef	মাণ্ডুক্য কারিকাই
04f32e4bda	c11b1	রসালো কোয়া
04f34dd1c8	b9a81	সংস্থাটির অবস্থান নিয়ে
04f355b8f8	1a2a1	অধ্যাপনা করেন
04f405dd54	4164f	পাকিস্তান টসে জিতে
04f435c49e	a0277	হাতগড়া রুটি
04f4402a92	23291	সেই অভ্যুত্থানে
04f456078e	698ff	মডেলিং ও উপস্থাপনাও করেছেন
04f45af627	0d9f1	দর্শকদের মর্মাহত করেছে
04f525bee8	0d9f1	রসুনবাটা ১ টেবিল-চামচ
04f558364b	ad050	হরর গল্প
04f59974cf	590d0	৬ জন নির্বাচিত সদস্য
04f5aa1a22	11bd2	সেখানে তা বড় ধরনের
04f66ac09d	c5479	এর যে নাম
04f6c32f40	5639c	বাংলাদেশের রাজনীতি, অর্থনীতিকে প্রভাবিত করে
04f6e3f3df	91dff	আপনি সম্বোধন করে
04f704ca0d	d9b11	অন্ধকার দিক থাকে
04f70e697a	0d4cb	চালিত করছে
04f78ae248	ca088	জনগণ থেকে যারা
04f7a05b44	69d9a	ফুল রেস্টে থাকার কথা
04f7b10f3b	2556b	চরম নিষ্ঠুরতার অভিযোগ রয়েছে প্রচুর
04f7e5ce72	ff1eb	এক জন সুকবি জন্মে
04f861a93a	8cf95	লেবু
04f88dc229	6973e	ঘরের বারান্দায়
04f8ab6346	e68af	জীবিত রাখতে
04f8eaf4ae	4a918	বইয়ের সবচেয়ে গুরুত্বপূর্ণ নিবন্ধ
04f9b62539	616ec	তাদের কাজটির মাধ্যম
04fb93a5b5	351dd	এতে পিকআপ ভ্যানের
04fbb2a3d7	f83df	সরকার ও দলের প্রভাব খাটিয়ে
04fbbcc271	1de6c	রোমান্টিক সিনেমা কাকে বলে
04fbda3f8c	6a35e	এতটাই প্রচলিত হয়ে পড়ে
04fbdca42e	4bede	ষষ্ঠ ওভারের প্রথম বলে
04fbf38215	2d78f	প্রথমে বলে
04fc971bba	8c120	মুখ্যমন্ত্রী মমতা বন্দ্যোপাধ্যায়ের উপস্থিতিতে
04fcc6ce8c	b8ed8	ঢাকা, খুলনা ও চট্টগ্রামে
04fd45e53f	33814	নিষেধাবলির ব্যাখ্যা দেওয়া হয়েছে ভিন্ন
04fd77eaaf	9fa90	চিনি গলে গেলে
04fd9db8cd	616ec	শৈশবের একটি ঘটনা
04fe63dcd6	ee4ad	সোমবার শুরু হবে
04fe6e1323	1de6c	তুমি শুধু আমার
04ff2c3316	33aef	লাউ চাষ
04ff34cfc1	43b04	দরজা থেকে একটু দূরে
04ff71087c	d71a3	ক্ষমতায় আসার সঙ্গে সঙ্গে
04ff92b061	28dfc	সৃজনশীল
04ffc3d42e	194f5	নতুন সৃষ্টি করলেও
