4e000238b6	3fc9d	একটি সুপ্রাচীন রাষ্ট্রনীতি
4e8934e8bb	355c1	প্রুফ কপি
4e8a38d39d	29f8c	গর্তের ছায়া
4e8a409d46	745b7	১৬ দশমিক ৭৯ শতাংশ
4e8a59ef91	65e30	নটরডেম ইউনিভার্সিটি
4e8a97de9d	dfefa	নির্দেশ দেন মুখ্যমন্ত্রী
4e8a99d054	9e923	প্রানদেল্লি এর আগে
4e8af5c1da	7a227	আমাদের জীবনে
4e8b867bdf	06527	অংশীদারিত্বের এ চুক্তি
4e8b98ab77	745b7	বাংলাদেশের রপ্তানিখাত দাঁড়িয়ে আছে পোশাক শিল্পের ওপর।
4e8bb7f32f	4a67e	এর মানে কি এই
4e8c0d1b81	fcc89	রোগের শিকার
4e8cfb92dc	ee994	গণজাগরণমঞ্চের ব্যানারে
4e8d1e21a2	cfc65	মানাম আহমেদ কথা বলেছেন
4e8d6eb2a4	4ea73	আলোক সমাণু দেখা যায়
4e8da0be75	4237e	পা ফেলা নিষেধ
4e8dbba966	3f875	একই সঙ্গে নাগরিক
4e8deb8347	a1d4a	যে-ই খারাপ করবে
4e8e58cc46	5a61c	কঠিন সমস্যাগুলির অন্যতম
4e8e659656	a46e2	মুসলিম লীগার ছিলেন না
4e8e9a17a0	5dd61	তারা আশায় বুক বাঁধবে
4e8ecce925	43fc0	এ অধিকার আদায়ের অংশ হিসেবেই
4e8f3d8798	9351a	মালিক-শ্রমিক
4e8f9d0521	12702	তখন এটাকে আমরা
4e8fa4171f	92f59	মাথুর গানে কাঁদিয়া বিভোর হন
4e8fb6d779	16e96	থানায় অভিযোগ করেন মিষ্টি
4e8fd59f34	6fb36	বাসার লোকজন টের পেয়ে
4e901949ac	4237e	দেশটির নিরাপত্তা কর্মকর্তারা জানিয়েছেন হামলাকারীদের শপিং-মলের একটি অংশে কোণঠাসা করে ফেলতে সক্ষম হয়েছেন তারা।
4e90648816	db181	চেমনে দুখতারিতে
4e90c105ce	6e8cb	সমাহিত করা হয়
4e91979b25	f1ea4	মহাকাশ অভিযান
4e91f26691	a1201	পাঠিয়ে দিয়েছে সিএমপি
4e920d30be	e6752	কাজ করেছিল
4e92137182	71522	সূচিত হয় নতুন ইতিহাস
4e92a66732	24f73	ফ্রিজ
4e92be2c48	e6e48	সংগীত
4e92c275d9	6973e	রেলমন্ত্রী মোঃ মুজিবুল হক
4e93e1ad67	ad69a	কোন যাত্রী যদি
4e9492de36	acb88	ফাল্গুনের আবহাওয়ায় ত্বক
4e951a6a0b	2fe3c	তবে সুবিধা না করতে পারায়
4e9593d286	03284	তাঁর আলাপ-পরিচয়
4e95b910c4	0a87a	কার্তিকের এই মায়াবী বিকেলে
4e96dc3fe4	ee852	প্রতিশব্দ হলো রিবা
4e97120f19	11de3	একটু দেখল
4e977340c2	c8f7f	বিদেশে বাংলাদেশ মিশনগুলোতে
4e97987f46	21e54	আর্ট ফিল্ম হোক বা ইন্ডাস্ট্রির ছবি হোক
4e97ad3037	13b6a	বৃদ্ধি পায়
4e97b76204	3c897	১৯১৮ সালের পুরোনো
4e97bae501	2aecc	আমি যথেষ্ট সাহস
4e97c83026	c7705	প্রথম দুটি চলচ্চিত্রে
4e983de484	767ff	ধরা যাক পায়ের আঙুলে
4e98465b8a	ff1c3	চাল ঢুকেছে
4e98a73164	693cb	বিলুপ্ত হইয়াছিল
4e98cf610d	7b900	বাংলাদেশে মাথাপিছু আয় এই প্রথমবারের মতো চার অংকের কোঠায় পৌঁছল।
4e98d0e256	430b2	বলা যায় না
4e990cbbf7	0a7a0	নতুন শিক্ষক নিয়োগ
4e995925c7	9d46f	টি-টোয়েন্টিতে
4e99c1bcf9	83c53	নতুন এই আইনটি
4e9a4c5640	5d12f	আসামীপক্ষের আবেদনে
4e9abe7b40	ef4f8	ওরা গানও গাইতে পারে
4e9acb642a	12702	এক রাত কি দুরাতের জন্য
4e9b705062	2bd99	বিশ্ববিদ্যালয়ে সিন্ডিকেট সভার
4e9b8975cd	83c53	প্রার্থী হতে পারেন
4e9ba7e0e3	e43d4	সে সকল পুঁথিতে
4e9caa1046	88654	নজির হিসেবেও
4e9cad120b	3fc9d	তত তুমি শান্তিকামী
4e9d2e7284	64092	গতকালের ছুটির আমেজ কাটিয়ে সকাল সকাল তৈয়ার হয়ে নিন অফিসের জন্য।
4e9d3d5f2a	287bd	তার বাবার দোকানে
4e9e46d5d0	16877	সম্প্রতি সাইমা
4e9e74cee5	698a4	একটা টিনের ঘরও
4e9e8c34df	932bb	গান্ধী পরিবার থেকেই এসেছে ভারতের তিনজন প্রধানমন্ত্রী।
4e9e8f854a	880ae	বাজারের ভেতর দিয়ে হেঁটে
4e9eca1061	cfc65	অভিজাত্যের বাস্তবতাকে
4e9ed439ba	b8fe1	সে কি কম সৌভাগ্যের কথা
4e9f3237ae	cc18a	এই শিল্প
4e9f92c984	75626	শেষ তারিখ
4e9f9e5122	7e1d5	শিরক
4ea0ec75b0	4e900	অনেকটা বেকুবের মতো
4ea1034689	32998	নেপাল সীমান্তবর্তী এলাকা থেকে
4ea10f090c	577fa	এমন চরিত্র সৃষ্টির মধ্য দিয়া
4ea140d404	943de	আদর্শ থেকে
4ea154fc63	b618b	পাগলা হাওয়ার বাদল দিনে
4ea16a3e1d	e7230	তৃতীয় স্থান অধিকার করেছে
4ea1b09af9	f83df	রাজপুত্র কুঠরির মধ্যে গিয়া দেখিলেন
4ea1c72f65	b7be9	তীব্রতা পেয়ে
4ea1e8b6f1	bcaa8	মূল সভাপতি
4ea1fe1f84	cfc65	বাংলাদেশের ফুটবলটা যাতে
4ea2670190	7b103	শত্রু নিধনের পর
4ea29136fa	db181	সূর্য দিয়ে হিসাব করলেই
4ea313610d	adf01	জাতীয় অর্থনীতিতে
4ea351cacc	9d46f	গোলের পর মেসির উচ্ছ্বাস
4ea38825bd	fcc89	এই বিক্ষোভের মুখেই
4ea3912d90	ac0df	আবু জাফর মোহাম্মদ সালেহ জানিয়েছেন
4ea46f3d94	eaa7a	তার ছেলের লাশ নিয়েগেছে
4ea48bb5ae	53396	অর্থমন্ত্রী আবুল মাল আবদুল মুহিতের সঙ্গে
4ea4a855f4	06e62	ডিজিএফআই মহাপরিচালক
4ea5b59cc5	d8c80	এ ছাড়াও বয়াতি
4ea5fe49ea	cfc65	সিনেমা তাদের জীবনের
4ea681a552	61820	নেই কাঁধের চোটের কারণে
4ea6c70c9e	d9b11	শ্রোতাদের অন্য এক ভাবালোকে
4ea6cc57ff	22096	তা সত্বেও গেমস সংক্রান্ত
4ea71ba1a8	f658d	পণ্য আমদানিতে
4ea7b960a7	24f73	কিছু নাম উঠে এসেছে
4ea80f6bb7	21e54	সান্তিয়াগো বার্নাবেউয়ে
4ea87b3842	f6e55	অনেক সংগ্রামী ও প্রতিষ্ঠিত নারী
4ea901183d	3bb15	বুঝিতে পারিলাম
4ea9616898	e9589	খুব অভাব ছিল
4ea977ddd0	c11b1	সমাবেশে অংশ নেয়
4eaabe8dcb	b8ed8	মালয়েশিয়ান কর্তৃপক্ষের প্রতি
4eaad788be	33aef	দিনের আলোর মত
4eaaf1792d	15a75	ছাত্রলীগের এক পক্ষের হামলায়
4eaaf752aa	0d8c1	চিনতে পারছে না
4eab11a431	08458	দলিলপত্রও তাই করতে হয় না
4eab1b108f	db735	শাওনের মৃত্যু হয়
4eab4d27c8	16cfb	বহু দুর থেকে দেখা যায়
4eab50e43c	f658d	অর্থাত অ্যাংকর ভাট
4eab65fee9	91ac1	গোটা বিতর্কে
4eabd7f2e0	b08d0	গোঁ এ কাজ হল
4eabe753a2	5cb47	কোনো চারা গজায়নি
4eac04e75a	18460	আর্জেন্টিনার ছবি
4eac097e96	ea5be	এটা অনেকটা
4eac883905	f280a	সেখানে শক্তিশালী প্রার্থীদের
4eacbd3040	3bea8	অবতীর্ণ হন
4ead06670c	6dff5	প্রথমে সীতাকুণ্ড
4ead7669d4	7a227	তাঁর ছেলের নাস্তা
4ead945e32	2ee04	মন্ত্রমুগ্ধ করে রাখে
4eadc57dde	43b04	কাকরাইলের চেম্বরে যায়
4eae28a405	767ff	বিখ্যাত সাহিত্যিকদের
4eae29ddda	f600a	উভয় পাড় থেকে
4eae61ebd2	8edea	এও ঠিক
4eae6af185	4a67e	বিটিআরসির কোনো কর্মকর্তাকে
4eae717566	cb1aa	জাতীয় দলের আক্রমাত্মক এই ওপেনার
4eae9eb3fc	75f18	ছোটদার মত মিছিলে যেতে
4eaed525f2	38ff0	২৪ মানুষ প্রাণ হারায়
4eafbb956f	23b22	পাখির দানা মুহে দেয়
4eafcf40ba	778c0	শ্রমিক ও মালিক পক্ষের প্রস্তাবের ভিত্তিতে বর্তমানে দেশের বিভিন্ন পোশাক কারখানা পর্যবেক্ষণ করছে মজুরি বোর্ড।
4eb055cd59	d5213	খালি চোখেই দেখা যাবে
4eb05ca143	321b6	বিনিয়োগযোগ্য তহবিল
4eb0a65e06	a1201	মেলায় আজ নতুন বই এসেছে ২৫৩টি
4eb0c3d185	e6203	পাশ্চাত্য সংস্কৃতির অংশ
4eb0dd52bb	3f493	ঊষা
4eb10a500e	8cf95	দিলে দলে দলে লোক ছুটবে
4eb1a0a0ea	e3f89	কথিত ইসলামী জঙ্গিবাদকে
4eb1dc4e37	31f09	এদের অধিকাংশই
4eb24b38d5	6c6bf	প্রতি বারো বছর পর পর অনুষ্ঠেয় এই মেলাকে বলা হয়ে থাকে পৃথিবীর অন্যতম বৃহৎ ধর্মীয় জমায়েত।
4eb2896e28	ee7b2	মুসলমান সম্প্রদায়
4eb29255e3	16e96	বিশেষ রূপে
4eb298573a	db735	কওমী মাদ্রাসাগুলোতে
4eb305b78b	d9b11	ছয়মাসের মধ্যে
4eb3134f97	8845d	তাতে লেখা আছে
4eb38d303e	f1ea4	চাপিয়ে দেওয়া হয়
4eb3e732b3	a06a1	এ নিয়ে বিবিসির
4eb492e2a5	e6e48	সেই মুহূর্তে
4eb4e5f9b1	69449	গাড়ি উল্টে
4eb4f9409e	b9a81	যুক্তরাষ্ট্রের ভার্জিনিয়া অঙ্গরাজ্যের
4eb51155a0	92bb2	শুধু জরিমানা নয়
4eb543a3bd	e2ba2	মুভি ডাউনলোড সাইট
4eb56ab7c8	4c1eb	যুবতী পরে হাসপাতালে মারা যান
4eb574491f	c3cca	তিতাসের মুখের ভিতর ঢুকিয়া
4eb62b2e98	18a52	বেশির ভাগ মেয়েই
4eb6441819	25696	পরিচয় হওয়ার
4eb7b27bbf	0633a	কর্তৃক নিজ সন্তানের
4eb9aa5452	38ff0	অস্ত্রোপচারের প্রয়োজন হবে বলে
4eb9ec662c	66dcd	শিশুটি তার বন্ধুর সঙ্গে
4eba932349	1f733	অসংগতি ধরা পড়েছে
4ebab62191	e3f89	টিআইবির সর্বশেষ এই সূচক নিয়ে
4ebb00e01d	f0f95	দেখতে দেখতে
4ebb684dd9	32b3e	অজ্ঞান পার্টির খপ্পড়ে পড়লেন
4ebbba689b	17ca1	আল্লাহ আমার রব
4ebc0fc3cc	fda1a	রাজনীতিতে নতুন নয়
4ebc2ddaac	ec91c	কবলে পড়ে
4ebc5bf453	3bea8	সমালোচনা আবশ্যক
4ebc678ac8	9282d	গৃহকর্মী রিতার মরদেহের
4ebccdc479	6c17f	জানান পরীক্ষা নিয়ন্ত্রক পিযুষ দত্ত
4ebcd74fe7	a06a1	সমুদ্রের পাড়ে হাঁটছে
4ebcecb9e4	f2780	বিডিনিউজ টোয়েন্টিফোর ডটকমকে জানান
4ebd962ac0	52578	এসব নিয়ে
4ebe2f4e06	17dcd	এমন ম্যাচ হেরে গেছে
4ebe3ad697	c463d	মহৎ শিল্পী আহসান হাবীব নিজেকে
4ebec0e992	9813c	বাংলাদেশ ব্যাংক ২০১১ সালে
4ebed3f18d	4dd57	খুব ধনী মনে করি না
4ebefb4a0d	a1201	আফ্রিকার পশ্চিমাঞ্চলে অবস্থিত
4ebefd3bbe	c0965	ছয় দিনের অবরোধ
4ebf134931	35ef3	পুরুষেরা স্বপ্ন দেখবে
4ebf75af67	43199	আয়োজন উপলক্ষে
4ebf94efe5	2840e	সীমিত আকারে
4ec0611c85	730c3	এতো বড় একটি টুর্নামেন্ট হচ্ছে
4ec082c998	49543	অ্যাকিলিস কী করেছিলেন
4ec1881b8b	a274b	এখন আমি আর
4ec24a4f53	54cdd	এ প্রশ্নে কিথ ব্রাডশের
4ec25e4da2	f4ba7	সংলাপের মাধ্যমে
4ec2834938	f2b7d	যে কিনা একজন বিচক্ষণ
4ec2980e95	58998	এই পর্যায়ে তিনি ছিলেন
4ec37cdd11	ca831	১৮৯৯ সালের বসন্ত ঋতুতে
4ec382b38d	91223	ভিকি ১৯৯৭ সাল থেকে
4ec3b0c7ea	6ab59	শান্তিনিকেতনে রবীন্দ্রনাথ ঠাকুর প্রতিষ্ঠিত
4ec3cffd0a	536d9	কাজ করেছেন চলচ্চিত্রে
4ec40b1195	7f2ef	চার্চিলের এক উপদেষ্টা
4ec4408226	7d3e1	বিভিন্ন স্থানে খোঁজাখুঁজি করে
4ec44d5534	ea8fa	শেষ হইয়া আসিল
4ec4973b88	38d3a	এটি অষ্টম রায়
4ec4b35371	ca088	পুনর্বাসন প্রক্রিয়ার তৃতীয় ধাপ শুরু করবেন
4ec5001969	4486f	"হিস্ট্রি অব বেঙ্গলি লিটেরেচার"
4ec6261d47	91230	তার ভাষায়
4ec6603b50	bdd05	হাসপাতালে ঢুকে
4ec6c3f498	95907	মুহূর্তে সাবানের স্বচ্ছ গোলক
4ec6d707c1	43b04	হতাহতদের জরুরি চিকিৎসা সেবায়ও
4ec75ec587	0c39f	বাংলাদেশ কাজ নিয়ে
4ec7605304	4fc91	আবারও তদন্ত শুরু করেছি
4ec7bbf0bf	80505	পরিচয় দিতে শুরু করেন
4ec7e669a2	9c8dd	বিশ্বের বৃহত্তম গণতন্ত্রের
4ec913b9be	a3a6d	বেচে ফেলছেন
4ec92ff5de	282d3	ক্রেতার সংখ্যা বাড়বে
4ec94ca648	8b859	এবং বিষাদে আক্রান্ত
4ec985bc14	d9081	মাঙ্গো মানবের দেহাবশেষ
4ec989553d	6aac8	যাদেরকে দায়ী মনে করা হয়
4eca24eb71	1de6c	মেয়র নির্বাচিত হন
4ecab618af	f2097	নোকিয়া মোবাইল
4ecb1e3bbb	16cfb	ফিল মিনশুল বলেন
4ecb246d10	aa820	তা আস্তে আস্তে
4ecb899ae2	91ac1	পিটুনি শিকারও হন
4ecba10af9	6c6bf	জাগ্রত করে তোলে
4ecc206af4	4f2ae	এদিকে সংসদের বাইরেও চলছে
4ecc2a182d	d9b11	এই জায়গাটার নাম
4ecc86df03	0606d	অনুষ্ঠান করাতে
4ecdfeb6dc	25696	ইউনিভার্সিটি অফ ওয়েস্টার্ন ওন্টারিওর
4ece03205e	09f0d	কাটিয়ে উঠতে
4ece35c67d	52f27	এবং অবস্থান খুঁজে
4ece5c3884	69d9a	বিয়ের পর পরিবারের থেকে
4ecf095f8d	13b6a	কাতার বাংলাদেশ সংলাপ
4ecf163d5c	83c53	এই সনদ মেনে চলতে
4ecf5b8a7d	86b1b	পুতিন ক্রিমিয়াকে
4ecfdead13	dfefa	প্রথম দফায় হবে
4ed01b6cdb	adf01	হাতাহাতি আর মারামারির ফলে
4ed05441f1	17ca1	ঐশী রহমানসহ তিনজনকে পাঁচ দিন করে রিমান্ডে নেওয়ার অনুমতি দিয়েছেন আদালত।
4ed0aefdc9	2ecf8	যাতে বিপন্ন না হয়
4ed0b4fa6a	e9589	কিন্তু সেই প্রকল্প খুব বেশি দূর এগুতে পারেনি।
4ed0b7a6cb	4e900	সহীহ আল বুখারী
4ed0f1e135	9813c	কী হে বেনভোলিও
4ed10b7ff5	13b6a	দ্বিতীয় দিন ২৬ ফেব্রুয়ারি
4ed14080b5	2840e	না পারলে নিজেই
4ed1466643	404ee	স্টুডিওর বাইরে এত বড় মাপের
4ed1ce8e02	7b900	জীবনের প্রথম ৪৪ বছর
4ed1edfbb2	eb179	বিমানে এখন একদিকে চলছে
4ed21f062b	ee4ad	সুবীর নন্দী
4ed2f67528	71522	প্রয়োজন হলে এসো
4ed35614b6	49d63	বিবিআনায় ঢুকে দেখা গেছে
4ed36870a5	a0277	এবং মুক্তিযুদ্ধের
4ed3b470ea	d9817	মেলার সার্বিক নিরাপত্তা
4ed3d9867d	49d63	১৮তম একক অ্যালবাম
4ed438c8b2	ee994	সুথিন তারাতিন গুলিবিদ্ধ হন
4ed44ddff0	7d004	ছোট মেয়েকে নিয়ে
4ed4eabfb8	2b883	তার বাড়ির সামনেই একটি গাড়ির ভেতর থেকে বন্দুকধারীরা তার ওপর গুলি চালায়।
4ed52af025	967fd	তাদের সদস্য না
4ed5642ade	05901	ফরেক্স ট্রেডিং প্ল্যাটফর্ম
4ed5c2da9a	91ac1	ডালিয়া
4ed5c9f2ee	93bf3	তখন নিরবে
4ed62e7e35	7d3e1	প্রথম অধিবাসী ছিলো
4ed65a5de1	0edef	তবে মোদি পরিবারের কেউ
4ed66ff603	e03fc	পরিলক্ষিত হয়
4ed6c644a4	282d3	অথচ এদিকে রাত যে
4ed6db0cf0	2ac82	কিছু পয়সা দিয়ে
4ed6e23fc7	577fa	ফরাসি ভাষার
4ed70fb246	e03fc	ঢাকার পুলিশ কমিশনার
4ed8616f45	18460	বামুনের চাকর দেখল
4ed884eb6c	194f5	জিয়া
4ed8c1e6d6	8c120	কোনও বিষয় নয়
4ed8cb8f63	fcefa	রাজপুত্র লইয়া
4ed920ce13	8cf95	পুলিশের ছেলেমেয়েকেও
4ed99fd339	46da4	ছায়াছবি
4eda1b8bc5	91ac1	প্রশাসনের হস্তক্ষেপে
4eda977cff	b8ed8	জঞ্জাল দেখে মনে হয়
4edad4bdec	f1ea4	দারোগা বললেন
4edb370238	c8f7f	একক আলোকচিত্র ক্যাটারিতে
4edbd6ac79	ac0df	দ্বারা পরিবর্তন
4edbe84ee4	c2082	শাপলা চত্বরের দিকে
4edbecbf0a	a4750	ইংলিশ গুরু
4edc75c049	d9081	কারণ ১৯৯০ সালে
4edd59c04d	9fa90	ভূত ছাড়ানোর ঝাড়ফুঁক
4edd698f74	fda1a	আবদুর রহিমের সাথে
4edd7471c5	80505	সারদিন পথ চলিতাম
4edd88bea0	bfac7	গরু ব্যবসায়ীদের জিম্মি করে
4eddc74cd5	2ad74	খাদ্য মজুদের ঘোষণা দেওয়ায়
4edddfee16	c41d8	সে কাউকে জানতে দেয়নি
4edecf608f	767ff	ঢাকার কিছু শিক্ষিত লোকের
4ededc1b3a	e00db	এক জনকে বাস থেকে নামিয়ে
4edef8ca05	95907	তাঁর স্বেচ্ছায় বা অনিচ্ছায়
4edf2c367c	e43d4	মন্দির মসজিদ
4edfa2f910	fda1a	কাজী গোলাম মাহবুব প্রমুখ
4edfa76c1d	6d129	অনেক শিশুই বাসায়
4edfc66c4d	2de86	২৯ জন পূর্ণমন্ত্রী
4edff9261b	f83df	না পেলে এটি
4ee00e9ac7	fcc89	কেজো চিঠির ছত্রে
4ee097eed8	14d25	গৃহস্থালি কাজে এগিয়ে যাবেন
4ee0afa6c3	25696	১৮৮২ সালে
4ee0fc5c1c	2556b	২শ’ থেকে ৪৫০ টাকা
4ee1b05d55	44322	বৈশাখি মেলা চলাকালীন সময়ে
4ee1e5a1b2	948d3	রাশিয়ার প্রেসিডেন্ট ভ্লাদিমির পুতিন বলেছেন ইউক্রেনে সেনা পাঠানো হয়েছে মানবিক প্রয়োজনে।
4ee29007d6	f658d	বড় ঈমানদার হওয়া
4ee2b73206	2695f	সেটি শ্রম আইনে
4ee2ef0c90	d9817	দুটো টিউশনি দিয়ে
4ee303c5f5	e8dde	২ কোটি ১৫ লক্ষ
4ee31e37d4	91ac1	ছোটবেলা থেকেই তিনি বেড়ে উঠেছেন
4ee43090b1	16877	রোববারে বিরোধী জোটের
4ee445c792	d8c80	সরকারের রাজস্ব আদায় হয়
4ee524c5fe	ab946	ফালুদা তৈরি
4ee57c1533	93bf3	সদ্য তীরে
4ee57d01a8	15a75	বিশ্ব রেকর্ড গড়া হয় তখনই
4ee5df21a3	0d8c1	ফিরতে হয় আমাকে
4ee5f635ee	4f2ae	জ্বলে উঠলেন দারুণভাবে
4ee61071d7	6c17f	শিয়ালপাড়া এলাকার
4ee66108f3	4a918	এক শিক্ষকের শরীর
4ee6787aef	153c9	আর কোনো মানুষের মুখ
4ee68d96ed	355c1	আরও বেড়ে যেতে পারে
4ee71c3733	12702	স্বপ্নে আঁকা নবীন আলো
4ee753bcab	ec91c	ফের কাজে যোগদান করেন
4ee755c48b	7297e	মানি লন্ডারিং এর অভিযোগে মঙ্গলবার রাজধানীর শাহবাগ থানায় এ মামলা করা হয়।
4ee7bc23d9	c463d	অত্যন্ত দক্ষতা
4ee8e539bb	a06a1	প্রধান করে
4ee90e1959	16e96	তার সাক্ষাৎকারে রয়েছে
4ee913b1d5	0c39f	আম্মু
4ee9249f62	6aac8	এবং বিসাবালি নামে
4ee94de8d2	ee852	জবানবন্দী রেকর্ড করেন
4ee9a3b47b	11de3	তখন প্রতিপক্ষ থেকে
4eea9f0b04	c958a	বলে জানালেও
4eeaed89a3	ef915	পর্তুগিজ তারকার ২২তম গোল
4eeb002e50	0633a	দেয়ালে ঠেস দিয়ে রেখে
4eeb2338c0	509f6	ফেসবুক টুইটারের মত
4eeb651c45	d2faf	ফরমালিন দেওয়া ফলে
4eeb9bb8d1	ab946	আজ রমনাসহ সারা দেশের
4eec43450b	693cb	তাপের মাধ্যমে তৈরি হওয়া
4eeca6c1dd	9b864	সবে ১৭ কি ১৮
4eecbbafb2	0bace	পুলিশ আটক করেছে
4eecd7d933	71522	সক্রিয় ভূমিকা পালনসহ
4eed644b03	01e91	একটি বিশেষ
4eee15b761	9282d	ঝুনুর, সোহেলির মা’র
4eee29c5f8	06ea3	আমীর হোসেন খান বাদী হয়ে
4eee48ab17	0606d	নয়ন মেলে চায়
4eee6c495d	38d3a	বুদ্ধদেব বসু
4eeeb51fc7	b8ed8	জীবন পার করে দেওয়া
4eef57ebd7	b4ea7	ডাইভার প্রপালশন ভেহিকেল
4eef664ba3	730c3	প্রীতমের ওপর
4eefcff587	7f71c	ট্রেনের সময়
4eefdc6089	c11b1	মেধাবী শিল্পী
4eefe2a231	420df	সভাটি সঞ্চালনা করেন
4ef004d30b	ad69a	দুবাই
4ef014defd	2bd99	তিনি দিতে পারবেন কি না
4ef01f79f3	f837a	সাদা মার্বেলের গম্বুজাকৃতি
4ef143c66a	35ef3	মস্কো তাকে সাহায্য করছে
4ef1745c8d	61820	দলের নেতৃত্ব
4ef22434bd	ff1eb	মাহি অবৈধ
4ef25eef92	a1d4a	বইগুলো নষ্ট হচ্ছে
4ef3248083	c6848	তাঁর স্থলাভিষিক্ত হন
4ef338e8ec	43fc0	গণতন্ত্রের প্রতি একটি বিদ্রূপ
4ef3de30ef	ab946	ভাগ্যবান মানুষ
4ef3f7e0bd	68ab7	অসফল সিনেমাতেও
4ef403fc77	0d9f1	অস্ত্র ও গোলাবারুদ কিনতে
4ef429d777	e9759	জানান লিনডেন
4ef444322b	95f83	হিসাব সংক্রান্ত ফাইল
4ef461a4aa	dafb6	চিন্তার কিছু ছিল না
4ef4ac5115	28dfc	সে বজায় রাখতে চায়
4ef4bd00f3	1b359	জড়ো হতে থাকে
4ef4c5749b	77f82	নিজের সন্তানকে তুমি দেখেছ
4ef4dc1e22	7e1d5	কিন্তু আরবী বর্ণমালা
4ef513a6d4	355c1	সেই বিবাহ দিতে অভিমন্যুর
4ef516b50a	442b7	৯৫ সালে তাঁর ভাই
4ef51d8c10	e00db	ব্যস্ত আছি
4ef5673c31	d711f	আমাদের জন্য ভিক্ষায়
4ef567b042	a699c	ইংরেজ জাতি
4ef65f5b70	1652d	জানালেন পরিস্থিতির কারণেই
4ef6925535	7a227	পুরনো ধুলাবালি, পরাগ রেণু
4ef7454f98	85430	বড়মামার দিকে
4ef7488b66	1c618	ব্রাজিলের রামিরেসের গোল
4ef7d527e2	35ef3	পুলিশ এর পর
4ef964ea29	1f974	নামে এক যুবক
4ef96a66eb	2695f	মিষ্টভাষী স্বভাবের হওয়ায়
4ef9703b35	21e54	১৯৫৫ সালে আমস্টার্ডামেযাত্রা শুরু করে
4ef9b6a14d	cc9fd	বীরভূম জেলা হাসপাতালে
4efa03e4d5	bd576	মুন্সিগঞ্জের গজারিয়ার কাছেই
4efa4da4e5	e9759	নিরাপত্তা, অগ্নিনিরাপত্তা নিয়ে
4efa548363	0606d	ডেলি দেশের কথা
4efa5787aa	98b81	গণ আদালত হয়েছিলো
4efa92d656	46d49	এ ধরনের চুক্তি
4efaad53e6	2f547	ঈদের কেনাকাটার
4efbe9eb13	7e191	দীনবন্ধুর অনেকগুলিন গ্রন্থ
4efc757f3f	b8bf0	কবি ফয়েজ
4efc9dfcc1	c2082	শাহতলী এলাকায় রেললাইনের
4efcbdf314	943de	দিবানাথ সেনের মৃত্যুর পরও
4efcc6cc15	9e923	এখন কুষাণের সঙ্গে
4efccfc566	c749e	বিরোধী দলের নেতা-কর্মীদের বিরুদ্ধে
4efd1d505e	2bc73	বিবিসির অনুমতি পেয়েছেন
4efd2feaf0	c1e30	বিক্ষিপ্ত বোমাবাজি
4efd79d992	d0c70	ইরানি ছবির সঙ্গে
4efdbd66da	17dcd	রাজনৈতিক উদ্দেশ্যে
4efe411718	3faff	দেওয়া হচ্ছে তাকে
4eff8f69e0	cd3ac	গাউন ও শাড়ি-গাউন
4effd3d827	95907	স্থানীয় প্রশাসনের ঊর্ধ্বতন কর্মকর্তারা
4effd5c08d	730c3	ত্বক পরিষ্কার করতে হবে
4effdc37e5	0bace	একটি মিটিংয়ে
