66001d5e62	b52ab	সমঝোতার জন্য
668c172363	d9081	রমজান মাসে অপরাধীদের
668cb6bd4e	f658d	সেক্ষেত্রে আমরা সে তথ্যাবলি
668d6000b2	66c6b	গাড়ীতে করে যাবার সময়
668d835f44	2fc12	নিজেকে খুঁজে পাবেন নিজস্ব স্বস্তিতে।
668d9791f7	68549	উল্লেখযোগ্য রচিয়তা কে কে
668df63346	2aecc	ছুটে এল
668e4e1ab9	c749e	স্তব্ধ করে দেয়
668e699d9b	b2a62	সুজন বোমা বহন করছিল
668fff5362	2bd99	দুর্নীতির প্রমাণের ব্যাপারে
6690d3c932	9282d	অমিয় চক্রবর্তী
6690dbfc54	f2b7d	পরীক্ষা শেষে
6690e37d2e	09f0d	পাঠক বাস্তবতা আর ফ্যান্টাসির
66912a866f	e43d4	তিনি আবার বড় ভাই
669142a2f3	b8ed8	তিরিশের কয়েকজন শ্রেষ্ঠ কবিকে
669204e3d7	9f25e	বিশ্বাস করে
66921f04fc	0606d	আগে ধারণা ছিল
6692357a69	7d133	অগ্রগতি করেছিলাম
669253aaab	2ee04	এরপর তিনি
6692784e85	1e7c7	২০১০ সালের আদমশুমারি অনুযায়ী
669341786e	14d25	দিন নির্ধারণ করেন
66940fd3be	aabe7	শনিবার, রোববার
6694276dc4	c0d65	বেসামরিক মানুষের
66942bcb69	fcc89	টরেন্ট
669438033a	d71a3	মন নিয়ে লিখতে পারে
6694c23cc5	18460	মনযোগ দিয়ে থাকে
6694d360a7	4c1eb	অমিত কুমার
6694fa710f	c2082	বাংলাদেশে মূলত
6695137dfe	84145	দুটি সিনেমাই
6695943602	38d3a	হতাশা ও ক্ষোভ কাজ করছে
669596686b	e55de	বড় ভাই নির্দেশনা দেবেন
66969bc6ab	ef915	লেভান্তে ১-১ গোলে
669729653b	6aac8	পাকিস্তানের বিপক্ষে
6697a8c21e	3f875	আত্মীয় স্বজনরা ঘুরে ঘুরে
6697ace4e9	5e80b	পথ হারাইয়া
6697de2ae0	6da0a	ক্যাম্পেইন শেষে ছবিগুলো
6697e9378f	0d8c1	তার কোনো সম্পর্ক নেই
669830a6bf	f29bf	এসময় তারা ঢাকা-টাঙ্গাইল মহাসড়ক অবরোধ করে রাখে কিছু সময়ের জন্য।
669831f6ca	7aed9	তার থাকবার কোয়ার্টার
66993a0274	dfefa	আমি ডেপুটি ম্যাজিস্ট্রেট হিসেবে
66997c4072	b8ed8	মাথা গোঁজার ঠাঁই
6699e8c914	b78ec	সফটওয়্যার স্থাপন করছে
669a4d6e84	7f71c	ঘটনা সম্পর্কে তিনি
669a6b9149	66b3c	উপস্থিত হইয়াছিল
669a79bf9c	23291	নির্বাচনের উত্তাপ
669aa0db3c	e2f12	তার আইনজীবী
669b0ab702	4e900	উপজেলার আনন্দপুর ইউনিয়নের
669b11574e	93bf3	এবং পুরাণ ও স্মৃতিশাস্ত্রবিদ ছিলেন
669b39847c	767ff	মামলার আইনি দিক নিয়ে
669b514329	3fc9d	উত্তম কুমার
669b7233dc	e3f89	সভ্যতার দ্রুত অগ্রগতির
669c6ed4a5	1a2a1	তার সাথে দেখা করেন
669cc5fe14	491a5	এক পতি মাত্র
669cc9ce0f	92f59	প্রেমের উপন্যাস
669cd5ccda	08458	সতীশকে না বলিয়া
669d1cb9bd	d5f7b	বাঙালি চলচ্চিত্রের অভিনেত্রী
669d1d385a	4237e	পাতা তো প্রেসে রাতেই চলে গেছে
669d3fe14e	256f5	কুড়াল সহ মাটিতে পুঁতে রেখেছে
669d6f3e9a	13b6a	কদম ফুল
669e16bf30	43b04	রীনা বেগম এ ব্যাপারে
669e194ddc	da6f0	একটি উল্লেখযোগ্য প্রকাশনা
669e421d28	14d25	এখনো তাদের নিজস্ব ক্যাম্পাস
669e72712d	e43d4	এটা তো আমরা
669eadfec5	29d44	সবচেয়ে বেশি কষ্টের দিন
669f6a8ea6	948d3	পৃথিবীতে আয়তনে
669f7a5a82	ab946	এই লেটারের কারণে
669f86efee	68549	হয়েই পড়েছিল রাতজাগা
669fd6e197	16877	বিমান বাংলাদেশ এয়ারলাইন্স
669fe48eff	72649	কাইয়ুম চৌধুরী…এ রকম অনেক
66a0aae236	e03fc	আমাদের রবিশস্যের
66a1141be7	6c6bf	মন্ত্রিসভায় উপস্থাপন করা হয়েছিল
66a1896816	d5f7b	অন্তর্বর্তীকালীন রায় দেবে বলে
66a192f380	880ae	ছোটলোক হোক, যা ইচ্ছে করবে
66a202411d	68ab7	তিনি নিজে মধ্যযুগীয় কায়দায়
66a2639ed9	1f733	ফলে সিরিজ হারের
66a27ca71d	2396d	পাভেল আহমদ
66a29de5f7	a274b	কোন এমপি কী করতে পেরেছে
66a3bae054	9351a	যে ভবিষ্যতের দিকে ধাবমান
66a47bb508	7898e	বিবিসি বাংলাদেশ সংলাপে
66a4879679	69449	বিক্রমপুরের ভাগ্যকুল
66a4ed7e15	91230	এবং সাংবাদিকদের
66a572cb5e	b8bdd	এই যাত্রায় অংশ নিতে হয়েছে
66a5bf9acf	5a61c	পড়শিরা এ বাড়ি আসেন
66a5c4614a	a46e2	বাংলাদেশের নাম
66a5db66ce	7b900	একরামুল
66a5eef4ff	b08d0	আবোলতাবোল বলে
66a68fa931	2d98b	জন্ম অক্টোবর ২৫, ১৯৪৫
66a699d2d2	404ee	তা সঠিক বোঝা যাচ্ছে না
66a72cbbda	9092b	সার্বিয়ার টানজ পর্বতমালার
66a78d7787	6d129	শিল্প-নৈপুণ্যসম্পন্ন
66a7cf21bc	29bab	বাসা ও ঢাকা মেডিকেলে
66a915e1c0	2bd99	প্রথমস্থান অধিকার করেছে
66a9b5114b	d5f7b	ভণ্ড প্রেমিক গেলো কই
66aa2b1f8b	f6e55	কেশিনিধনের কথা
66aa8c0d4b	69d9a	মনেকরেন তিনি
66aaefc3df	baa02	দিশেহারা হয়ে পড়ল
66ac1802bb	e2f12	তিনি এই লোকটাকে
66ac6108b9	db181	হ্যারি পটার চলচ্চিত্রসমূহে
66accc8d8d	a916a	এবার ক্ষতিগ্রস্ত হচ্ছেন
66ad4fd5c8	7b900	পৃথিবিতে কোনো কিছু নেই
66ad9adcd5	f2097	বেশির ভাগ পাবে ছেলে
66add9ad3b	c7705	খুলে এল
66ae5a69ac	24f73	সাধারণত পোকা ধরে না
66ae819ba7	717bb	কিছু কিছু শাখা-প্রশাখা
66aefc2c08	ba2f6	অ্যান্ড ফেব্রিক্স নামে
66af25a3f0	f7a7f	ব্যবস্থা নিয়ে
66af53212c	17dcd	তিনি কবি আজরা পন্ডের সঙ্গে
66b0034c92	92bb2	শ্রীলংকা ও বাংলাদেশের
66b03534d8	e3f89	নাজমুস সাকিব আদালতে
66b0859832	6c6bf	দাঁড়ায় ১৭৫টিতে
66b0b1f555	a46e2	মুতের হলুদ দাগ
66b0e9ca23	af81d	এর আগে একই ভেন্যুতে
66b110b509	43b04	দক্ষিণারঞ্জণের মাতা কুসুমময়ী
66b155c023	6c17f	ধারণ করে আছেন
66b1595934	536d9	ঘণ্টায় একশ মাইল গতিতে
66b1a0d59e	91ac1	সচিবালয়ের কর্মচারীরা
66b1ee01d6	d3e06	নিয়ে যাবে
66b20c938b	52578	কারাগারে রয়েছেন
66b236ee06	c463d	এবং ২৪২ জনকে
66b299637c	72649	লাল বেনারসির সাজ
66b2d7d405	1b359	কথা তুলে ধরেন
66b30ff2f2	33814	ভোট ডাকাতি রুখে দিতে
66b31b2c1a	d2faf	ক্ষুদ্র পাহাড়
66b3ffbc28	75936	সরকার প্রতারণার আশ্রয় নিয়েছে
66b40fec47	d0c70	এ কথাটা সত্য নহে
66b4b3944c	7027a	কৃষিকাজে মনোযোগী হয়ে ওঠেন
66b5205fb0	8632b	নারীর পরিচয়
66b64359ac	80518	মিস্টার ওবামা ওই বিবৃতিতে
66b68dea30	31f09	সব কারখানায় যদি
66b788d946	7d133	বিজ্ঞান ও প্রযুক্তি
66b7ee693f	ee994	শশী
66b870433e	536d9	পুলিশ শনিবার রাতে
66b87cb7b3	43199	এক বিলাই আইতাছে
66b8baf167	71522	এছাড়াও ডেভিড বার্গম্যান
66b971fad5	ac904	এখন পুলিশের হাতে
66ba33c618	616ec	শহীদ ডা. জোহাকে
66bb13b55c	aa820	আরও বেড়ে যায়
66bb26d56c	76329	এটা অনেক রোগের
66bb32c0d7	6e6fa	তাদের ক্রিকেটের মূল্যবান তথ্য
66bb4e96bf	66dcd	৭ সহযোগী
66bbd57ef5	06bb7	শাহরুখ ভক্তদের কাণ্ড দেখে
66bc43b842	66b3c	এদের অনুসারী রয়েছে
66bc5db385	9fa90	আবহাওয়া এখানে
66bcdb17d5	ef4f8	ব্যাপক আলোচনা যেমন হচ্ছে
66bd0bc55c	fda1a	তার স্ত্রীও পুলিশে
66bd32cf87	0f047	গুগলের এই প্রধান নির্বাহী
66c07a2ef1	7b60a	যেহেতু উপজেলা নির্বাচনের
66c0cef277	a46e2	জেলা পর্যায়ে সরবরাহ করবে
66c10f642e	06e62	জল্পনা কাটেনি
66c1ba2831	8632b	তত্ত্বীয় বিষয়
66c1f8a0b1	b618b	এখনো পড়ে আছে
66c1f8a1c3	5354e	দুর্ঘটনায়ও পতিত হয়েছিলেন
66c283277f	80518	২০-২০ ক্রিকেট টুর্নামেন্ট বিপিএল
66c2b7517e	80539	এই গ্রন্থটি ১৩২৩ বঙ্গাব্দে
66c2e4228f	b9b98	তিনটি গ্র্যান্ডমাস্টার প্রতিযোগিতায়
66c305c616	7027a	কোনও সাড়া নেই মা’র
66c33417a9	f0f95	একমাত্র উপায়
66c3943b8b	3d17c	খামার দিয়েছে
66c3c065d9	e2c11	তিন দিন ধরে
66c3e531cb	25117	লিভারপুলের উরুগুয়ের ফরোয়ার্ড
66c422de75	a1d4a	আরও সময়ের প্রয়োজন
66c43c7dee	18a52	ফায়জুল কবির
66c4640ef2	ee852	বান কি-মুন
66c4d4eb25	bdfc1	যেগুলো দেশের
66c4e38ee6	32b3e	যাদের কে আকবর
66c502348b	a4750	তাড়াহুড়ো করে
66c50b36b4	2fc12	২০১২ গ্রীষ্মকালীন অলিম্পিকে
66c5fec955	7e191	বেশি দিন যেন
66c6889ea0	b8fe1	শেষ পর্যন্ত সে
66c68ecf1a	ba2f6	একটি কন্যা সন্তান
66c77adc30	d8c80	আজিজুল হাকিমের হাত দুটি
66c829af0f	2b883	কন্টাক্টলেস লেনদেন করা যায়
66c83fa111	46da4	বাধ্যবাধকতা
66c8a267c6	ac0df	সভায় ফিরে এলে
66c8b04efa	7ed14	অপহরণের ঘটনায়
66c9376ff4	06527	খুব কম নারীই জানে
66c9378172	24aed	ইংরেজি বর্ণমালা
66c98a70e8	7351e	শুক্রবার সন্ধ্যা ৭ টা ৪০ মিনিটে
66c98f7742	f0f95	আমরা আন্দোলন চালিয়ে যাব
66ca5d0d79	95907	দেশের নাগরিক হিসেবে
66ca6a1f79	e9759	কোর্ট বলেছে
66ca736c34	520fb	চারদিনের সফর করছেন তিনি
66cbd9343f	ff0fe	তিনি আদালতে পৌঁছান
66cc3db114	9b864	এমন প্রশ্ন করা হলে
66cc5e3b46	53396	২০০৫ সালে তিনি তৎকালীন প্রধানমন্ত্রী
66cc76a1f8	9f25e	তাজরীনের দুর্ঘটনায় একশরও বেশি শ্রমিকের মৃত্যু ছাড়াও, বহু শ্রমিক মারাত্মকভাবে জখম হয়।
66ccecc9a5	c463d	মধুকর ডিঙ্গার জন্য
66ccf05c54	fdcba	আবহাওয়া অধিদপ্তর
66cd0024a6	cf82a	উৎপত্তি ও সমাপ্ত
66cd1b53c3	43b04	আমারদেশ পত্রিকা
66cd6292f5	c6848	গ্যামবন ডাম্বলডোরকে
66cdb32581	7b103	রুপালি
66ce1f6a33	aabe7	দেবতার সঙ্গে কোলাকুলি
66ce37d7c3	c0d65	প্রধানমন্ত্রীর এখন উচিৎ
66ce563396	44322	বড় একটি শ্বাস ছেড়ে
66ce7e8cd7	1b359	তাতে ধর্মভিত্তিক রাজনৈতিক দল
66cf006d15	2ee04	কোন মতে
66cf963fb9	11bd2	শিল পাথর ভাসিয়া গেল
66d0cdbd18	76329	পানির সঙ্গে দ্রবীভূত সোনা
66d0d8ad66	6d129	পছন্দ
66d115784b	2ac82	সন্ধ্যা ৬টা ৩০মিনিটে
66d14c502b	0633a	মহাকর্ষের আকর্ষণধর্মিতার
66d15c67eb	195f7	এই মহৎ উদ্যোগের জন্য
66d1fede8d	92bd8	তিনি স্থানীয় জরুরী সেবা সংস্থাগুলোকে
66d254947d	f2097	হরিবংশ সম্বন্ধে কিছু বলিতে
66d2c1d5b6	17ca1	রাষ্ট্রনীতি ও শাসন সংস্কারের
66d2ff76d0	64092	রাজনীতির সাম্প্রতিক খবর
66d3c82a16	bdd05	দেওয়া থাকে
66d4aedf1b	65652	অ্যাকটিভিশন এবং মাইক্রোসফটের
66d4d25fa3	d0c70	বিশ্ববিদ্যালয়ের চারুকলা বিভাগের
66d4e1b479	a7c6f	একই রকমের পোশাকে আসা
66d50df4a9	520fb	বাংলাদেশ বিমানবাহিনী
66d62c3691	420df	এই ব্যবসায়ীর স্ত্রীর কাছে
66d70c0e28	1cb75	গ্রন্থাগার বিভাগ চালু করা হয়
66d744675d	4a918	বিশ্ব ব্যাংকের বিবেচনায়
66d749c38a	717bb	তখন বাংলাদেশের কিছু পত্রিকায়
66d79c81b8	c2082	দিয়ে প্রকাশ
66d79d0278	ee7b2	আমার কৈশোর বলে কিছু নেই
66d8c1dd58	61820	অব-রাজনীতির খেই ধরিয়ে
66d92b7cde	11de3	সংগীত রচয়িতা
66d97e8ec2	086dd	জামিন নামঞ্জুর করেন
66da57e117	282d3	সময়ের কন্ঠস্বর
66db43df6e	3f875	যিনি সমস্ত দেশের
66db9f5606	db735	বিভিন্ন সংকটকালে
66dba9fcd6	d9817	কি প্রেম দেখাইলা
66dbe36ced	4c555	সংগীত জীবনের
66dc16c5d3	717bb	আমাদের দাবি না মানে
66dc72e172	baa02	সমস্ত বিষয়বস্তু
66dc7905c4	4c555	সঙ্গী হয় কলকাতা
66dcb58eb4	9d46f	আরাকানে আশ্রয় গ্রহণ করেন
66dd9464d2	f1240	তুমি ভাব না ভাব
66dd9af1dd	1f733	২৬ মার্চ ঢাকার যমুনা ফিউচার পার্কে
66dda9e39f	fcc89	ব্যবহার করছে ধর্মান্ধ গোষ্ঠী
66ddafcf2b	7f2ef	মসজিদটির তিনভাগের একভাগ
66de0edf9e	1652d	এর মাঝে ১৯৯৭ আইসিসি ট্রফি
66de136eb6	91ac1	ফেসবুকের সেক্সবয়
66deae1ea5	7df87	মাদরাসা থেকে
66dfc20ac1	11de3	আমার মধ্যে করুণা জাগিয়েছিল
66dfc32638	76329	চার্জ শুনানি অনুষ্ঠিত হবে
66dfec2dd2	7c272	গার্মেন্টস আর রেমিটেন্স ছাড়া
66e058c9c8	eecdd	তারকে পোলের সাথে
66e061cab0	c9c19	মুক্তি পায় শুভর
66e105edf5	b8bba	গায়ে হলুদ চিত্র
66e116c4d4	6aac8	নালিশ করে কি পেয়েছেন
66e11f033a	07660	দক্ষিণ-পশ্চিম অঞ্চলের
66e151c4da	e03fc	নির্ধারণ করবে
66e163b33b	dba43	ওই দুজনের মধ্যে
66e17affe5	53396	স্বামীর সঙ্গে
66e1965d07	13b70	তবে ড্র নয়
66e1f487e9	0744c	বিবিসি বাংলা তাতে সফল হয়েছে
66e21525d2	bf530	যারা আসবেন না
66e2960af5	75936	পুলিশ ঈদের ছুটির মধ্যে
66e2bd2bfc	491a5	বাংলাদেশ ছেড়ে
66e2dd4302	da6f0	আধঘণ্টা চেষ্টা চালিয়ে
66e46445f1	33aef	কম ভাড়া হলেও
66e4a9d6ee	7b103	চেয়ারে বসে কিছু বোনা
66e4bb66fe	4164f	রেল লাইন ধরে
66e4d28dc8	75f18	ঐ ফাইনালে নির্ধারিত
66e56697ae	03284	পর্যবেক্ষকরা থাকবে
66e5e40d32	e2ba2	তিনি এ মন্তব্য করেন
66e610e5b5	a43b5	তার স্বামী তানভীর
66e630636e	29d44	বিবরণধর্মিতাকে ছাপিয়ে
66e646ba6a	5a61c	পার্শ্ববর্তী জেলাগুলো থেকে
66e6f6a7c1	44322	ওই মাছ ধ্বংস না করে
66e729a584	d2355	এই রাষ্ট্রের আদর্শিক ভিত্তি হিসেবে
66e774befe	85430	মূল উদ্দেশ্য ছিল
66e77d8117	14816	পুলিশ, র‍্যাব ও বিজিবির সমন্বয়ে
66e7d44dd0	80e98	যাদের নেই
66e8173255	3bea8	অগ্নিসংযোগের খবর পাওয়া গিয়েছে
66e89e62a8	6da0a	ভাগ
66e8a74ec6	315e9	সেই রামপালের বাসিন্দারা
66e95073c0	43199	প্রায় অর্ধশত হলে
66e9910fc6	1a2a1	ভারতের কেন্দ্রীয়
66e9d7ff04	43b04	সংস্কৃতি নয়
66e9f1c563	f0f95	পরে সাংবাদিকদের কাছে জানিয়েছেন
66ea1b48ae	09f0d	শ্রীযুক্ত রূপচাঁদ
66ea6d7d7f	2ac82	কোনটা বেশি জরুরি
66ea74ebcd	49543	লেখক হিসেবে
66ea865f48	2d78f	তবে পত্রিকা ছাপা না হলেও
66eaa5e135	2c9c5	আমি সেই বিচিত্রবুদ্ধি
66eb40dd34	8143b	নিতে পারছি না
66eb5ffb75	bbb22	২৬৯ খৃষ্টাব্দের ১৪ ফেব্রুয়ারি
66eb69bcd9	554fe	একদিন সেই শুভক্ষণ এল
66ebf76722	2ac82	আসক্ত বলে জানায়
66ecf01fbe	03284	যার নাম
66ecf555a6	4f2ae	হাঁটুর কাছে ছেঁড়া
66ed2458b4	0e637	সেজন্যই সরকার বিষয়টি নিয়ে
66ed52627e	d5f7b	এই কয়লা আমদানির জন্য
66ed565ff7	256f5	শেষ পর্যন্ত দ্বিতীয় লেগে
66ee018a72	72649	মিজান বেরিয়ে যাওয়ার সঙ্গে সঙ্গে
66ee4923aa	b8fe1	জ্যাঠামশাইয়ের মৃদু স্বভাবের জন্যে
66eec6456c	91b16	অনুর্ধ-১৪ ও ১৬ দলের জন্য
66ef0aefd7	b8bdd	ফিফা
66ef21b1b8	09f0d	মাজেদা নাম শুনলেই
66ef33cafa	dec2d	প্যানপ্যান কইরা কান্দো
66ef53b237	239f7	এক মূহুর্তের জন্যও তিনি
66f08a6b58	d3e06	৯টি দেশ মিলে
66f0eea8a7	6d129	তিনটি বিমান দুর্ঘটনার
66f17fdb8a	3b1f7	ভালবাসি তোমাকে
66f1ac0eeb	491a5	কিডলিংটন, চিপিং নরটন
66f221aec1	7f2ef	ধান-চাল আনার
66f2466a24	315e9	তিন দমকলকর্মী হামলার শিকার হন
66f30a64a3	870e3	তবে সিটি এলাকায়
66f30d74a5	c2082	মেজবার একটি হাত
66f35d8da4	91b16	জড়িত থাকার প্রমাণ পেলে
66f36628ac	8143b	অর্থ তোমাদের
66f37405b6	b52ab	একটু মনের মত
66f37cd3b7	25696	এখন প্রশ্ন হলো
66f3d375dc	c11b1	এই শিক্ষা পেতে পেতে
66f407a2ee	c9c19	ও মাদক ব্যবসায়ীদের
66f413b014	903fa	পারষ্পরিক স্বার্থ কাজ করে
66f42525fb	d3e06	সোমবার থেকেই
66f42c481f	17dcd	জিজ্ঞাসা করিলাম
66f43ba6b6	58998	মার কাঁচুমাচু অনুরোধে
66f45ef301	8b859	তদন্তনাধীন আছে
66f4769736	4bd2c	আমি হাসপাতালে
66f4ffae8f	3f493	পাল সম্রাটদিগের রাজত্বকালে
66f52da767	16cfb	তার সাক্ষাৎকারে রয়েছে
66f539a479	93bf3	এই প্রশ্নে সরাসরি কোন উত্তর
66f58d20f9	8ba2b	না ততটা ওর ওপর নয়
66f5e02686	cb1aa	সেসব রোগীরা
66f5e15f95	cf82a	ভালবাসার মানুষ চাই
66f6178fe4	194f5	আফগানিস্তান একশ রানের স্বপ্ন দেখছিল
66f6a891ef	15a75	লাইনকে স্পর্শ করবে না
66f6d146fa	2fe3c	হত্যা করিয়াছিলেন তিনি
66f701b2fe	60b9d	নতুন গান
66f70edb99	932bb	লোকায়ত দর্শন চার্বাক দর্শন
66f774aa29	95907	সামাজিক ব্যবসায়
66f77988d6	db735	মিছিলের চরিত্র
66f87f8084	6e6fa	প্রজেক্টর
66f8a0ec1e	c7a89	শ্বশুরবাড়ির মানুষ
66f8ef194b	bdfc1	বহু স্থানে বাংলাদেশীরা
66f902f205	9d7bf	নিহত হয়
66f97d9bed	c749e	জানিয়েছে ইউরোপীয় ইউনিয়ন
66f9e1ae07	f280a	বলছেন মি: আহমেদ
66faa56bcc	43fc0	নিয়ে নিলে
66faccdbd6	28dfc	জনসংখ্যা হল ৫২৭৩ জন
66faed7262	01e91	এত রাইতে
66faf448ed	09b32	অনেকেই ছাড় পেয়ে যাবে
66fb69ddfc	ef915	ইত্যাদি
66fb846722	ee852	এমন প্রাপ্তবয়স্ক মানুষ
66fc9fc6b0	2b883	বৃহস্পতিবার সকাল ৮টায়
66fcc94405	e2c11	সোমবার অর্থ মন্ত্রণালয়ের
66fcdcdd08	1c618	গোয়েন্দা বলতে লাগল
66fcdd94ad	f837a	ও লোহার সিন্দুক
66fcf713d0	ad2a0	১১ টাকা ৮৫ পয়সা
66fd40f068	6e6fa	মৃত রইছ উদ্দিনের
66fd8a5b6a	e2c11	সরকারের পরিসংখ্যান ব্যুরো প্রশ্নপত্র তৈরি করে মাঠ পর্যায়ে জরিপ চালিয়ে ডাটাবেজ তৈরি করবে।
66fdd4fba9	e7230	পরিবেশ সংরক্ষণমূলক
66fde85a9f	cfc65	খামাকা তালাক দিল
66fdf03b41	2bc73	কোন তথ্য নেই
66fe79357a	c6848	খানিকটা অপ্রত্যাশিত ছিল
66ff888b72	7f71c	১৯৯০ সালের ১১ ফেব্রুয়ারি
66ffa07f1a	9092b	সোমবার থেকেই পরিদর্শকরা
66ffd29b04	6c17f	১০ প্ল্যাটুন বিজিবি
66ffe4adae	91230	সবচেয়ে বিখ্যাত হল
66fff5d365	2d98b	নতুন রাজনৈতিক দলের কিছু লোকজন
