1600e5669d	1652d	রাত ৪টার পরে
168aaae4c7	d2355	রোববার পর্ব সমাপনী পরীক্ষা চলাকালে অসদুপায় অবলম্বন ও শিক্ষকদের সঙ্গে অশালীন আচরণের দায়ে তাদের এ দণ্ড দেয় কর্তৃপক্ষ।
168aec8503	7027a	ধন্যবাদ
168b08dbd9	2ee04	২২শে মার্চের পরে আসতে
168ba0925f	43b04	কাটিয়ে দিচ্ছেন সারাদিন
168ba59f86	d711f	হরে কৃষ্ণ
168be0bdb2	66c6b	জাপান ও স্বাগতিক দক্ষিণ কোরিয়া
168c333fc1	cfc65	ইসলামের ইতিহাস
168c7b9df3	410fa	আয়োজনের পরিকল্পনা ছিল বিসিবির
168c8d6b53	ab946	খোঁজ নিতে
168c91f63f	29f8c	এই আলোচনা থেকে
168ca46c10	d3e06	শব্দগুলো আমিরুল্লাহর মুখ থেকে
168cc7f9f9	b4ea7	অঞ্জনা সুখানী
168cee821d	fcefa	এবার শচীন নিজেই
168df3d98b	23291	এই গ্রন্থ প্রণীত হইয়াছিল
168ee791fe	5354e	১১২ ডলারের ওপরে
168f294e07	f0f95	৪০টি কেন্দ্রে
168f60c84c	43199	মাথার চুল থেকে
16906dacdf	7d3e1	অস্ট্রেলিয়া সফরে
169075a5c9	33aef	ম্যাচ নিয়ন্ত্রণ করেছে তারা
169083d624	3c897	মোটামুটিভাবে একইরকম
16909d67c6	ab946	জামাই
1690c6b89a	a06a1	মনের কথা বলার
1690cf486e	4237e	ঘরে আগুন দেবেন
16911079b8	3ccf1	গ্যাপের জন্য কাপড় বানাতো
16912f8f3d	38d3a	খুব আত্মবিশ্বাস ফিরে পাই
1691b153d7	91b16	ব্যাখ্যা করেন
1691da7b9d	93bf3	এই পণ করে
16920fd49a	fcc89	যে কথা কাজী নাফিস বলেছেন
1692482251	52578	বহু দুর থেকে দেখা যায়
1692959960	6da0a	ভেবে ঠিক পায় না
1693ee33e0	0f047	অটো লুডভিগ প্রেমিঙারের
16946a1339	0e637	সারের কলসি
16951fca2c	0633a	এবার তুলে রাখা
1695c0f5d5	e43d4	নিহত পুলিশ সদস্যের লাশ
16966fc19c	c5479	সেটা জানার পর
1696df018c	420df	বৈদিক দেবীদিগের মধ্যে
16975119b0	fda1a	সুপ্রিম কোর্ট বার ভবনে
16975cb24c	0895a	উপধর্মকে হিন্দুধর্ম বলিতেন না
16979875ce	ad2a0	জরিপ চালিয়ে
1697a27bef	2d98b	ব-আমানে খোদা বলে
1697bcf49f	16e96	পার্শ্ববর্তী খালে গিয়ে
1697d4a324	73629	বর্তমানের গৌরবময় স্থানে
1697d6d59b	2396d	কল্পিত চরিত্র হলে
1698065aaa	932bb	বাড়তি রোজগারের চাপ
16980dda63	9b864	ট্রেড ইউনিয়নের দৌরাত্ম্য কমাতে
169853e243	3fce2	উদ্যোগপর্বে কৃষ্ণের
169853fea1	e2c11	অনুপ্রেরণা দেয়া
1699476981	0bace	লুৎফর রহমানের ঈমামতিতে
1699701f41	11de3	তারাই আসুক ওর কাছে
169a7b57a2	a916a	নির্বাচন কমিশনার ক্লাব, জেলা
169a8f8851	60f77	আমার দ্বারা
169af2ac40	ee4ad	তাঁর কবিতাবলি
169b105dd8	6da0a	রেললাইনের একটি সংযোগ পিন
169b9e687f	5cb47	ইন্দো-এশিয়ান নিউজ সার্ভিসকে
169bd849ea	25696	যাবজ্জীবন ও সাতবছর করে দণ্ডাদেশ
169c0f7d67	29d44	অর্ডারকৃত জেনারেটরের দাম
169d4a6899	93080	এসময় টেম্পো চাপায়
169d70fb32	4f450	যাহা বলিব সত্য বলিব
169d8a0eee	11915	হরিবংশে আর এক কথা
169d9da2a6	5b13f	পাজেরোতে পতাকা ওড়ে
169def259e	3ccf1	সত্যজিৎ রায় রচিত গোয়েন্দা কাহিনি
169e13d8f0	f1240	র‍্যাব মূলত সামরিক বাহিনীর
169e2ee0b6	f0f95	প্যারিসের সঙ্গে
169ece1eeb	e00db	শিক্ষাব্যবস্থা গড়ে তোলার
169f2a071e	23b22	পদক্ষেপ নেয়া হয়েছে
169f3c0569	54cdd	আফগানিস্তানের লক্ষ লক্ষ ভোটার
169f905c73	d2355	অ্যাকটিভিশন এবং মাইক্রোসফটের
169fceae69	cd3ac	দুই ভাগের প্রত্যেক বিবাহদলই
169fdf72dc	9d7bf	মন ঠিকই কাজ করে যেত
16a070c18c	0e637	অসন্তোষ প্রকাশ করেছেন
16a09ba43c	6ab59	স্থানীয় হাসপাতালের সামনে
16a09d8735	e68af	নামে গণ্য
16a11bce33	f4ba7	মোট ১ লাখ ৮১ হাজার টাকা
16a15ca53d	0d8c1	কুড়িয়ে পাওয়া
16a171cdf7	e9759	বিভিন্ন ধরনের নাশকতার
16a18aed0b	6ab59	২৮ মার্চ ২০১২ সালে
16a250330e	baa02	গোটা জাতিকে ধ্বংস করে দিচ্ছে
16a2c8bfa3	c463d	খরচ করে আলুচাষ করেছেন
16a2c8c838	0a87a	আজ আন্তর্জাতিক ক্রেতাদের
16a365fd0d	a8710	আবদ্ধ হন
16a3837277	e00db	ডাইনি
16a3935b7a	9c8dd	এ তো দেখছি সত্যিই
16a3938eac	cc9fd	তখনো আকাশে জমে নি
16a45c8249	ca831	পরের দুটি প্রজন্মে
16a4ab9943	b9a81	পছন্দের সব বই কিনে নিতাম
16a50928e4	16cfb	তাঁহার কথা
16a5930956	3ec4d	কারাগারে পাঠানোর নির্দেশ দিয়েছে
16a59c06fd	23291	ছবির চারিদিকে
16a5e32c19	fd880	মিছিল করার চেষ্টা করে অবরোধকারীর
16a6002c01	65652	পাখনা গজাবে
16a6099afe	d82d9	স্বাস্থ্যমন্ত্রী বলেছেন
16a64268db	d9ba9	তারা পাবে ১৮৬টি আসন
16a67fe51c	d9ba9	আসলে এটি একেবারেই মিথ্যা
16a69239a6	4fbd1	গণপিটুনিতে এক ডাকাত
16a716bd70	e2ba2	তিনটি ফিল্ম ফেয়ার পুরস্কার
16a739358a	fcc89	আমি মন্ত্রিসভার একটা বৈঠকে বসেছিলাম
16a743b685	d9081	ঝাঁকে ঝাঁকে পাখি থাকলেও
16a7496e00	46d49	বাংলা কাব্যে
16a805bb33	e9fa7	কেবল এটি
16a969ce34	c1e30	এ সিংহ নয়
16a96a8218	2aecc	হত্যা মামলায়
16a97c739e	66dcd	এই শহরে সময়ের সাথে
16a97c9639	5dd61	পাশে পেলেন
16a9f2e2b3	9282d	৩০টি দৃষ্টি প্রতিবন্ধী
16aa1f6b40	75626	ইউনিভার্সিটি অফ ওয়েস্টার্ন ওন্টারিওর
16aa705dcb	0edef	শিরোপা জয়ের গৌরব
16aa93a833	66dcd	ব্যবহার করছে ধর্মান্ধ গোষ্ঠী
16aabdd614	e6203	স্বেচ্ছাচারী হিসেবে
16aac730b7	80be1	বাড়ির রান্নাবান্না, পরিবেশন,
16aba4f5fc	860f4	সম্পদশালীরা আরও
16abb83c55	14d25	ঈদের পর তারা
16abbd3340	9c8dd	অনন্ত জলিল
16ac82403f	7d133	উত্তরাঞ্চলীয় জেলা গাইবান্ধার সুন্দরগঞ্জে
16acd19aed	84145	সংসদ এ সরকার পদ্ধতি
16ad39edcd	65652	সহজবোধ্যতাও একটি কারণ
16add97430	cb1aa	একটি বেসিক ইন্টারপ্রেটার
16ae00ebe3	2ac82	দেশে বেসরকারি খাতে
16ae0ee3bb	9d7bf	পারি না
16ae138b4c	d136b	মানববন্ধনে বিভিন্ন স্কুল-কলেজের শিক্ষার্থীরা
16ae9a2745	2c9c5	তেমনি এখন আবার
16aeb1a0ee	1e7c7	ডাকাতদের গ্রেপ্তার
16af4edc3a	355c1	তাকিয়ার ঐ স্থানটিতে পুছিলেন
16af96258d	58998	হইতে শেষ পর্যন্ত
16afcea0ff	b618b	হামলাকারীরা
16b0059231	8ba2b	সামরিক হস্তক্ষেপের বিরোধিতা করে
16b04b9461	52f27	একদল ক্ষুব্ধ শিক্ষার্থীকে দেখে
16b125c6b9	3ccf1	কাঙ্খিত পর্যায়ে
16b12d88c7	256f5	মামলা তদন্তের অগ্রগতি হয়েছে
16b14dee23	c7a89	জন্ম ৫ জুন, ১৯৮৮
16b17c795a	fda1a	সোমবার সকাল ১০টায়
16b299368d	dfefa	প্রাধান্য দিতে চাই
16b2a11e83	f280a	পৌঁছাতে পারছে
16b2c09b8a	0bace	অস্ত্র আইনে
16b2ccdb63	5354e	এটি তাদের জেনারেটরের ফল্ট
16b3b112b7	ce180	বড় ফলগুলোর
16b3d9cfd5	6da0a	একটি সাধারণ সমস্যা
16b43825bc	2bc73	কল্পনা করতে পারি
16b478c984	ad050	আমার প্রশ্ন শুনে
16b4886407	c8f7f	সোনা চোরাচালানির সঙ্গে
16b4a0cfc7	21e54	ঢাকা ও সাভারের
16b4edb816	4a918	এক শাশ্বত শক্তি
16b4f7fa49	3fce2	ঢাকা কলেজকে
16b51ff6a0	0633a	বিচারের দাবিতে নয়
16b53101e9	6e8cb	লাঠিচার্জ ও কাঁদুনে গ্যাস
16b54e68b1	4bede	সম্মিলিত গণতান্ত্রিক পরিষদ নামে
16b5547830	b8bba	দেশটিতে সাম্প্রতিক সময়ে চোরাই সোনা চালানের ঘটনা ব্যাপক হারে বৃদ্ধি পেয়েছে।
16b5664123	b8bf0	টানতে টানতে
16b65b7583	e6e48	দার্শনিকের মধ্যে রঘুনাথ
16b6c29167	bcaa8	আচরণবাদী স্নায়ুচিকিতসক ও স্নায়ুবিজ্ঞানী
16b6ca206d	c5dc8	অবরোধ কর্মসূচির সময়
16b6d00a99	5b13f	কালো ব্যাজ পরে
16b6e1b2d1	3f493	গত একমাস ধরে
16b7066c1e	37d7e	নারায়ণগঞ্জের বিভিন্ন জায়গা
16b73dea28	60f77	বল বিরোধী দলের কোর্টে
16b758230c	9d46f	পরনের লুঙ্গি খুলে
16b7c22784	16a17	ফ্রিজে রক্ষিত খাবার
16b8220f25	46da4	তিনি সিনেমার স্ক্রিপ্ট লিখতে
16b8225cdd	65652	পাওয়া যেত না
16b83d0ecb	f0f95	অপরদিকে চরম বিপাকে পড়েছে
16b86929a0	2bd99	তা খুব অর্থপূর্ণ
16b92fa4f6	d136b	৩২ বলে ৩০ রান করে
16b998d3e8	16877	দাঁড়িয়েছে টাকা
16ba21f2ad	d9081	সে যুগের শ্রেষ্ঠ কবি ছিলেন
16ba52f017	ac904	মঞ্জুর স্থানীয় এক ব্যক্তিকে
16ba5bb567	ef4f8	ওই বৈঠকে ৫৮ জন সচিব
16ba7d5e2e	66b3c	হীরা
16bc335cfc	aabe7	এক বিবৃতিতে তিনি বলেন
16bc42772b	5b13f	প্রমাণ করা সম্ভব হয়নি
16bcb499ac	0d9f1	আমি রুমের লাইট
16bcfbd782	83c53	এবং শক্ত ব্যবস্থা
16bd08ec49	bc81e	ওখানে পৌঁছে যাব
16bdd89c3c	f83df	যুক্তির চেয়ে আবেগ
16be01cc25	a4750	রাস্তাটি ছিল
16be08275c	cfc65	বিনোদন নিউজ
16be420884	24f73	আবিষ্কৃত রোবট বিধুশেখরকে নিয়ে
16be7febe2	92f59	নকশা করা
16bff5ca6c	6a35e	শুধুমাত্র মঠের বাইরের দিকে
16c121df5e	31f09	বাধ্য হয় সংসার ছাড়তে
16c1610a8e	e03ce	আমাদের ফ্ল্যাটের গেট অবধি
16c197031b	bd576	উনি ছিলেন দেবতা, তাই না
16c26a7c82	10a9f	খেলোয়াড়দের পরিবারের সাথেও
16c2770d7c	71522	তাকে মন্ত্র শোনাতেন
16c280ca35	5b13f	জড়িত করা হয়েছে বলে
16c2aa69f7	59c73	সওগাত পত্রিকায় পত্রস্থ
16c2bc2e15	943de	২৫৭ জন নিহত
16c2c835f6	e9fa7	সী বিচ ম্যানেজমেন্ট কমিটি
16c2fdf793	17dcd	আর বন্ধুবাৎসল্য
16c350e265	fd880	আসল আয়না, বুঝলি
16c37d7a63	38ff0	ব্যবস্থা নেয়া হচ্ছে
16c38510e0	7ee9b	আবহাওয়া অফিস বলছে
16c39f18d5	ca831	শাহনাজ পারভীন জানাচ্ছেন
16c3dccd98	ca088	তত্বাবধানে প্রথম অলিম্পিক গেমস
16c4236d46	086dd	নারীদের নৌকা বাইচের
16c42d7ee0	d41be	বিবিআনায় রয়েছে
16c4bd1042	b08d0	নাইট
16c4f6ea9d	12702	দুর্মতি বলো
16c5c11d77	6b437	মোবাইল ফোনের কন্টাক্টলেস লেনদেন পদ্ধতি
16c617a40d	28dfc	ফিক করে হেসে দিল
16c656feeb	7898e	অপরিকল্পিতভাবে চিংড়ি চাষের মাধ্যমে
16c67f4708	75f18	চাঁদাবাজি করে তারা
16c680da8d	f1ea4	খন্দকার মাহবুব হোসেন
16c6a4890e	880ae	কেউ কেউ ঈশপের গল্প
16c71b4a29	d9b11	সংগ্রহ করে
16c80af176	4fbd1	এই কাউন্সিলে
16c824b282	5d12f	ঝুলন্ত
16c88289f7	778c0	প্রসব
16c8d713cb	69d9a	একটা জন্তু বা জীবের মধ্যে
16c993bf46	2ac82	তারা মানবপাচারের শিকার
16ca795ae8	d7a68	পোট্রেইট, স্ট্রিট ফটোগ্রাফি
16cb09483e	a06a1	আমি নিজে বাল্যকালে
16cc165169	2ac82	এমনকি পরবর্তীকালে
16cd4cbb27	16877	রাশিয়াকে দায়ী করেছে ইউক্রেন
16cd79a021	c5dc8	পূর্বল্লেখিত খাত ব্যতিত
16cdfc4488	c3cca	বিষয়টি উপভোগ করছেন
16ce5489b9	e68af	গণভোটের পরদিনই আজ সোমবার ক্রাইমিয়ার সংসদে স্বাধীনতা ঘোষণা দেওয়া হয়।
16cf3542ab	91230	কাবা শরীফ
16cf7bddd8	2695f	ষোলো বছর যখন বয়স
16cf8967ab	ee886	গঙ্গা অনেক দূরে
16cfa7c4cd	69d9a	তিনি বোর্ডের
16cfc8f888	1c618	অধিকংশ ক্ষেত্রেই ভুক্তভোগিরা কোন আইনের আশ্রয় নেয় না।।
16cfd17cc1	d2d71	কত সাল পর্যন্ত বিসতৃত ছিল
16d0042042	ce775	এ রাজ্যের ইতিহাস
16d008120e	5354e	রীতিমতো জ্বর এসে যায়
16d03f4e4b	2ac82	অ্যান্টার্কটিকা চুক্তি স্বাক্ষরিত হয়
16d086c6e6	1e7c7	শাহাবুদ্দিন তার জবানবন্দিতে
16d1586dd9	e9759	রাত ৪টার পরে
16d186a7e6	6973e	আর কোন আক্রমণ যদি
16d1cec0ac	c5479	বাড়ছে আত্মহননও
16d21b7c74	91ac1	যাঁর কাছে বহু বাংলাদেশি
16d424bbcc	860f4	পরীক্ষার্থী ও তাদের অভিভাবকরা
16d430fbad	d9ba9	যুক্তরাষ্ট্রের নিউ ইয়র্কে অনুষ্ঠিত
16d44d7600	14816	তার সঙ্গে কথা বলতে পারে
16d5736a1d	4fc91	এক অপূরনীয় ক্ষতি
16d6178ad1	ac904	ইচ্ছে করছিল বুলবুলের
16d659d8f9	f0f95	গার্সিয়া মার্কেস সম্পর্কে সালমান রুশদি
16d6751c91	44322	চট্টগ্রামের বণিকদের
16d69bd736	d5213	ভারতনাট্যম ডাউনলোড
16d6bf7e73	351dd	একই দিন রাতে
16d712cf62	442b7	তবে দুধে আমিষের
16d82a7727	80be1	বলা হলো মায়েদের
16d842fc43	acb88	ডেস্কের দায়িত্বে রয়েছেন
16d8b5ad0a	2d98b	লাইনের উপর
16d8c2c806	71522	৪৮ ঘণ্টার হরতাল
16d94594eb	b618b	অতিনবতারার আলোক বক্ররেখা
16d9923294	cd3ac	মোচা ভুলিয়া কেলা কা ফুল
16d99fa8d2	c9c19	ইনশাল্লাহ আজ আমরা জিতবো
16d9ad8695	ec91c	অ্যালিসন ক্যারল
16da222254	f6e55	এক অর্থ
16da2d6dec	4f2ae	কাবাডি ফেডারেশনের প্রশিক্ষণ
16da49c07b	08458	দিনে অন্তত ছয় থেকে
16db0fac23	16a17	সুদে ঋণ দেবে
16db72c739	b8bdd	বৃহস্পতিবার সকাল ৯টার দিকে
16db730ad6	287bd	অনিয়ন্ত্রিতভাবে খরচ করে ফেলাটা
16dbddde4e	0edef	মূলত স্থানীয় কিছু মানুষের
16dc48020c	93bf3	ঐ কথাটা
16dc975bf9	8c07c	সরকারী ভাষা
16dca059f8	d8c80	রক্ত ঝরছে মুখ থেকে
16dcacec14	c3cca	ক্রিকেট দল
16dce0505e	9b864	বান্ধবীদের সামনে
16dcf2d5cd	efc0d	বিপুল অস্ত্র নিয়ে
16dd1470a9	39dd0	কর্মক্ষেত্রে সহকর্মীদের সহযোগিতা
16dd16ba37	4fd66	স্থান পাইয়াছেন
16dd3a8413	01e91	ওয়েডসনের সেন্টার থেকে
16ddae2e75	29d44	কিন্তু তার মূল্য দিতে হচ্ছে
16ddb42c30	43fc0	তাহা অগ্রহণযোগ্য
16ddde16c4	15a75	ভাল ছবি
16de70578b	66dcd	পাখির ডাকে
16de8caf9d	a274b	নেতারা জানিয়েছেন
16de92f5cc	3ccf1	গণতন্ত্রের গতানুগতিক চর্চা
16df59efff	f600a	১৫০ ওয়াটের
16df7a31ff	c8f7f	যদি সময়মত ফাইলগুলোর
16e10803d9	967fd	তৃতীয় দিন রাত্রিতে
16e132960b	8c120	যমুনা সেতু করার সময়
16e1519fcd	7351e	সংঘর্ষে একজন আহত হয়
16e15579a7	77f82	পাইন্না ম্যাগ
16e1947456	5a61c	তা অন্য অণুজীবের
16e2a50d91	c1e30	শরীফ হোসেন
16e2c9a4e3	ea8fa	টেস্ট ক্রিকেটের
16e3223195	e3f89	তাদের কাউকে আটক করা যায়নি
16e342f986	0d8c1	আঁচড়ে বলেন
16e34a6579	7f71c	রেললাইনের ফিসপ্লেট খুলে ফেলায়
16e39e33a6	698ff	অনলাইনে আয়
16e3c2f143	8ba2b	আলোচনা অর্থহীন
16e41593ae	a916a	এম এস পান্ডিয়েন
16e43fa846	baa02	গ্রামীণ ব্যাংকের
16e51d3924	25696	আহত নয় জনকে
16e5696e16	2556b	তথ্য আর ছবি নিয়ে
16e5b0e286	f9dfb	আমার ঠ্যাংএর ওপর
16e5e534e4	3b1f7	তাদের ঘর ভাংচুর করে
16e649bba6	79b06	এই ক্ষতিপূরণ
16e777740c	c41d8	মহিলা ভাইস-চেয়ারম্যান পদে
16e77854d4	194f5	আরো বিস্তৃত করা হয়েছে
16e782637e	7b60a	চীন-বাংলাদেশ চুক্তির বিপরীতে
16e83f973c	3faff	এমন প্রেক্ষাপটে বিশ্বব্যাংক বলছে
16e8686b71	dba43	কারণ বের হইতে গেলে
16e8946060	80505	ধর্ষিত বোনের শাড়ি দিয়ে
16e9058517	8cf95	কিছু পায়নি
16e90fd37f	d8c80	বিশেষভাবে লক্ষণীয়
16e97262a6	943de	ঐতিহাসিক দৃষ্টিকোণ থেকে দেখলে
16e9ab8470	3bb15	যখন কাজ করেছেন
16e9d61d96	c3cb3	বলে তিনি জানান
16e9e5435d	2840e	স্থানীয় উদ্ধারকারী দল
16ea56cd86	13b6a	তারা ধরে নিয়ে
16eafaf390	ef4f8	মেয়ের অমতে
16eb2b893f	404ee	ডিসিসির বিদ্যমান আইনে
16eb4c2b33	5639c	বনে বনে
16ec9ece88	c3cca	দিলশাদ অন্তত নয়
16ed0b7932	d7a68	এভাবে পরিবাহীর
16ed52ed7c	61820	আমি তাঁর হাত থেকে
16ed9ffff7	fda1a	যে এলাকায় অভিযান চলছে
16ee1bcbaa	778c0	বেসামরিক কর্মীদের নিয়ে
16ee430cec	c463d	তিনি যুগপৎ গান গাইছেন
16ee6f217b	f4ba7	আমার পেছন পেছন
16eeb275b5	bbb22	হিন্দু কবিদের
16ef10135c	0895a	মস্কোর সঙ্গে
16ef548777	38ff0	মুখ দেখতে
16eff3099e	3fb17	বর্ণনার সূত্র ধরেই
16f0112906	a274b	অধ্যাপক দ্বিজেন শর্মা
16f0447804	0f047	চতুর্থ দল পায়
16f1249685	86b1b	এই সিনেমার মাধ্যমে
16f13a1991	71522	হরতাল পালিত হয়েছে
16f16ce9fd	3c897	সহজে ছাড়িবে না
16f199edc6	da6f0	কেউ একটু সাহায্যে এগিয়ে এলে
16f1ce422e	6b437	আকাশে গুলি চালায়
16f1e69c18	a0277	হেডমাস্টার পণ্ডিতমশায়ের
16f23e1674	80518	সাধারণ মানুষের প্রবণতা
16f2553660	c6848	অনেক কিছুর পরিবর্তন
16f2e3914e	ad98d	ভদ্রভাবে চলা দুরূহ
16f3473431	3fce2	অক্সিজেন, জ্বালানী এবং তাপ
16f350c316	404ee	যেখানে জন্ম সেখানে কখনো
16f3eda551	80be1	বিশ্বাসযোগ্য হয়ে ফুটে ওঠে
16f3f13454	9351a	ঐরূপ দেখি
16f41b5feb	18460	বাংলাদেশ সরকারের কার্যালয়
16f426708c	ce629	তারা কিছু বলতে চাননি
16f42bf221	75f18	এভাবেই তিনি চরের কঠিন পথ
16f447c99c	2bd99	সড়কপথ বন্ধ হয়ে যাওয়ায়
16f47be721	a274b	স্বীকারোক্তির ভিত্তিতে
16f4949606	baa02	চল্লিশবছর বয়সী টেন্ডুলকার
16f4acaeea	e9759	তবে ব্যাপারটার প্রতি
16f51b160d	f0f95	বিবিসি বাংলার সংবাদদাতা জানাচ্ছেন
16f538a53a	7a227	মি. খানের
16f59448e9	1c618	এক বিছানায় ঘুমুচ্ছিই
16f6d99af6	e2ff7	এ লক্ষ্যে কংগ্রেসে
16f7109e98	4486f	দেশের বাইরে যাওয়ায়
16f712f9dc	0696e	যুবককে ধারালো অস্ত্র দিয়ে
16f7a13f2e	745b7	কতকগুলি অলঙ্কার গড়াইলেন
16f7b4b9c3	a06a1	কাজ করতেন নিউটন
16f7bbc849	9fa90	৬১তম মিনিটে
16f7bc790e	0edef	যাতে তারা
16f7f15cb9	ab946	বিশ্রাম নিচ্ছিলেন
16f83b3fc0	a7c6f	উচ্চ ক্ষমতাসম্পন্ন বিদ্যুৎ কেন্দ্রগুলোর ৫২ শতাংশই হবে কয়লাভিত্তিক।
16f83dccb6	3c897	আখাউড়ার থানার উপপরিদর্শক
16f84507cc	13b70	বহু মেক্সিকান বুদ্ধিজীবী
16f8abc1cf	9d398	ভারত অংশের
16f90bc43a	91ac1	দেবভাগ রাধিবার জন্য
16f9b22f31	b618b	বলছেন পুলিশের এই মুখপাত্র
16f9becf82	cf82a	দাদা বললেন সিলেটের মেয়েরা
16fae9610c	e3d8b	টাকা লাগব না মাস্টারের
16faee54c7	121bd	কবে হবে কে জানে
16fb1a44ad	54e68	এই মওসুমের পবর্তারোহন পর্ব
16fb367c92	ce629	২য় সংস্করণ
16fb9728fd	7d3e1	দার্শনিকেরা ছিলেন
16fc0292a6	73629	তখন পুনরুজ্জীবন লাভ করে
16fc29edf0	03284	এবং সরকার গঠনের পরও
16fc3ae0fb	98b81	হাতগড়া রুটি
16fd3f0a58	2ac82	তবে তৃতীয় উইকেটে
16fda1651a	24f73	নয়তোবা তাকে দেখাব
16fdba2390	58998	বা প্লাজমিড এর প্রতিলিপি
16fde60f0b	7d3e1	বলিউডের কোন রাণীর
16fdedbab2	f2b7d	ওটা তোমাদের শুনতে
16fe32ec98	2b883	সাজানো পীর মাতার
16fe6d63e1	82926	আমরা তত দিনে জেনে গেছি
16fe765726	a699c	অন্যতম সেরা রাইফেল
16fec952e5	43fc0	ইউক্রেনের দক্ষিণ ও পূর্বাঞ্চলে
16fef7528a	54cdd	উমর আকমলের ব্যাট থেকে
16ff4b7c15	77f82	আমি ভুল সময়ে জন্মেছিলাম
16ff760f82	491a5	দেখা হবে
16ff7c85c0	0e637	রাতের বেলা এই এলাকার
16ff872206	d2d71	বাংলাদেশ টেলিভিশনসহ
16ffaee1d3	79b06	অপরূপ সুন্দর
16ffe9f51a	64092	ঐ পত্রিকার সঙ্গে যুক্ত ছিলেন
