ff00163552	49543	মৃত্যু ৯ সেপ্টেম্বর, ১৯৬৮
ff8801d64c	c41d8	নিয়ে যেও
ff88159408	68549	এই ধর্মঘট চলাকালে
ff885656fe	f2097	যেভাবে অন্তরঙ্গ বন্ধনে জড়িয়ে থাকে
ff88929d83	49543	শোবার ঘরটায় চৈতালি
ff88b1588e	6aac8	নিরুৎসাহিত না করে
ff89406fe9	0f047	শাহেদ রেজা জানিয়েছেন
ff8986ae41	2840e	খুব ধীরে ধীরে মহাকাশে
ff89c6b930	acb88	এনিয়ে সাধারন মানুষের মধ্যে কিছুটা অসন্তুষ্টিও রয়েছে।
ff89ffe6da	e31e7	এই সর্বগ্রাসী ক্ষমতার থাবা
ff8b235389	2fe3c	৩ মে,প্রধানমন্ত্রী
ff8b461030	5dec6	পিরামিড
ff8b8149bc	6c6bf	মুদ্রাক্ষর ছাঁদের অন্তর্ভুক্ত
ff8b8cd267	4ea73	মনে করে
ff8ba4dce5	ee4ad	নৌকা ঠিক রয়েছে
ff8beb9b54	554fe	বিশেষ করে ব্যাক্টেরিয়াকে
ff8c0ecac2	bf530	জরুরি মনে হচ্ছে
ff8c1a9e0a	6d129	চলমান সংকট কাটিয়ে
ff8c33711e	7ee9b	শুক্রবার সুপ্রিম কোর্টে
ff8c46638a	dba43	স্থান দেন
ff8c727c3d	91dff	এই কর্মসূচি দেখার পর
ff8cc727de	7ee9b	উৎসাহ দিতে
ff8cf615b4	7b60a	আমি ক্রিয়েট এ
ff8daab705	efc0d	তোমার প্রকৃতি জুড়ে
ff8db35ab8	09b32	এফআইআর করেছে
ff8dd38cca	c6848	একটি জাতির
ff8dfd9049	b8ed8	অক্ষয়চন্দ্র দেশীয় শিল্পের
ff8e7464df	18460	আরও বেশি উঠেছিল
ff8f04a34a	b4ea7	অন্য ছয়টি অভিযোগে
ff8f67c494	66b3c	মিরপুরের শেরেবাংলা
ff8f953f4f	80518	অনুপ্রাসধর্মী পদের
ff8fe1f31a	03284	পাত্তা না দিয়ে
ff8fe65fb8	351dd	রিক্ত ডালপালা ছাড়া
ff8fffc8d2	e00db	সুন্দর কবিতা
ff90685cf7	ced74	ওরা আমাকে বাধ্য করেছিলো
ff90bfb52a	a43b5	জসীম উদ্দীনের জন্ম
ff911ca33a	ca088	মেহরাব হাসানের উপন্যাস
ff913e005d	b8bdd	উইন্ডোজ সেভেন
ff9164454d	4164f	নির্মিত হয় চোখের বালি
ff917654ce	9351a	অপটিক্যাল ফাইবারের
ff92002f6c	ce629	অবস্থান সম্পর্কে
ff92346bcc	ac0df	একটি জনস্বার্থ মামলা
ff92521efe	80505	তিনটি মেডাল
ff927d7eb4	69449	হিন্দু আবেগকে
ff92e26278	eecdd	অসমীয়া জাতির
ff92e408b7	18460	তা তো হতেই পারে না
ff92e6b3d5	65652	কাঠামোগত ত্রুটি ছাড়াও
ff93bf503b	693cb	সরকার যদি এর আকার
ff93d8d14e	7a227	নিয়ন্ত্রণ করা যাবে
ff93fff8c4	5d80e	নারিকেল গাছ
ff941b506c	0b7ca	ইলেকট্রনিক্স
ff94bdc907	3fc9d	টাল সামলাতে গিয়ে
ff9551547b	f2097	আমরাও এদের পেছনে দৌড়াই
ff95ad674a	baa02	সবচেয়ে উজ্জ্বল ধূমকেতু
ff95e6b95d	d41be	দায়িত্ব পালনের জন্য
ff95fdd45e	4f2ae	প্রায় ৭০টি নতুন
ff96f9bbe5	a1201	সেক্সবয়ের কাছে
ff9737cc6e	eecdd	১৫শ’ টাকা কমে
ff975932fa	9d398	নির্দলীয় সরকারের দাবিতে
ff97d707b4	c2082	খোলামেলা
ff984dfd82	73629	তুমি ভাব না ভাব
ff985495c0	e9fa7	আমি সবসময় বলেছি
ff985977ac	1f974	৬ লাখ ৯০ হাজার টাকা
ff98857eb7	aa820	বিকেল চারটার দিকে
ff98b6eb68	ad050	সিটি কর্পোরেশন হাই স্কুল থেকে
ff98deddf8	d2355	তিনি কতটা বাঙালি মনকে
ff98e658ad	2fe3c	ডিস্ট্রিক জাজ ছিল
ff996cef9c	3bea8	দ্বিমুখী অডিও
ff99746cfd	943de	অভিযান শুরু করেছে
ff999e3999	0b7ca	আর এখন পরেন
ff9adaea72	e03ce	রাখা হয়েছিল
ff9ae3fed4	0633a	দাভিদ লুইসের সৌজন্যে
ff9bb3a443	1a4a9	তারাও ভেবে পাচ্ছে না তাদের ভবিষ্যৎ
ff9bb731dd	4f2ae	আজকের খেলার খবর
ff9bfc4da2	31f09	সাভারের উপজেলা নির্বাহী কর্মকর্তা
ff9c5d7671	e2ba2	এরপর ট্রাইবুনালের তদন্তকারী সংস্থা
ff9ca06519	7027a	আমি রাজা, আমি বাদশাহ
ff9d1d4a38	f2097	ভাষ্য ভিন্ন
ff9de0058e	0bace	অভিবাসীরা বসবাস করেন
ff9e6e92ce	56508	এ ছাড়া
ff9e931505	e754e	মধুময় রাত
ff9ef93f0d	cb1aa	খানিকটা বা অনেকখানি সেই রকম
ff9f13d9fa	ec91c	খেয়েছেন ৩০০ বার
ff9f3c28d0	58998	তিনি যুক্তরাষ্ট্রের সিটি এটর্নি
ff9f49733a	903fa	শরত্চন্দ্র, নজরুলসহ
ff9f93b51e	f6e55	গোটা বিষয়টির
ff9fad2a25	7b103	চুড়ান্ত করা যায়নি
ff9ffe3a1b	ff1c3	জন লুইসের নিজের শৈশবও কেটেছে
ffa07fb053	24aed	যে ব্যাপক তল্লাশি চলছে
ffa096ba33	767ff	বাবা লাফিয়ে বিছানা ছাড়েন
ffa0f4c370	d7a68	কোনো কোনো জায়গায়
ffa1b74de2	80539	কাটা মস্তকের মুখে
ffa30f2c97	2bc73	আর তখনই ঘটল,ঘটনাটা
ffa35b974f	64092	শুধু বাংলাদেশের নয়
ffa370f57f	1c618	জাহেদ হোসেন খান
ffa404e583	2bc73	সর্বকালের জনপ্রিয় এই নায়িকা
ffa4785894	ec91c	কল্পনাও করেনি এতকাল
ffa5805f0e	24f73	আমার বড় ভাব
ffa58f7e28	adf01	বিক্রয় করা যাবে
ffa600835f	21e54	প্রায় ৯৯ শতাংশ
ffa63d6734	09f0d	তিনি জানান
ffa784c309	2d98b	তাঁদের কবিতা পড়ে
ffa7905815	d0c70	কিন্তু এটা আমরা
ffa7e7f7db	2c9c5	করেছে রহস্যময়ী
ffa81a9fb2	46da4	ওর মনের প্রান্তরে
ffa845f91a	0d4cb	দুই কিশোরী শ্রমিককে নামিয়ে
ffa8e1830e	9d398	২৯ মার্চ উপ-নির্বাচনের দিন রেখে
ffa9915c67	e3f89	বিপজ্জনক সংঘাতের সম্ভাবনা এড়াতে
ffa9ec915e	4bd2c	সে তোমার কিম্বা
ffaa06fa1b	d9081	আগুনে নিয়ন্ত্রণ করতে না দিয়ে
ffaa19a3ba	086dd	প্রথম আলো সংবাদ পত্র
ffaa5711b5	31f09	পুরোপুরি ফিরে আসার জন্যে
ffaa5c3bfc	323f1	এইটা হইল
ffab359f75	52f27	শ্রীরঙ্গপত্তমের যুদ্ধে
ffab48e079	07660	রিটার্নিং অফিসাররা বৈঠকে
ffab56a39c	f837a	মাইকার ব্যবহার
ffab77f428	4164f	দলকে দুর্বল করেছেন
ffab814cbd	6aac8	চিন্তা করছে
ffacda8563	4164f	'ইয়াবা' নিয়ে
ffad53f9e8	42898	প্রতিমন্ত্রী বলেন
ffade37260	0696e	গুলি করতে ভুলে গেল
ffae0192ac	a0277	কিছুক্ষণ পরই ঘটে দুর্ঘটনা
ffae87ca58	880ae	পিস ফর বাংলাদেশ
ffaedf80bf	29d44	শিশু, বয়স্ক উভয়ের
ffaf065808	91dff	এর ঢেউ এসে লাগল
ffafad6393	fd880	অজিত দত্তের লেখা
ffb00a5b1b	a4750	এত দুর্নাম, বিতর্কের পর
ffb0215737	db181	ইন্টারনেটে প্রতিদিন
ffb08fd771	a916a	চাপা
ffb0950153	d8c80	একেবারে আদর্শলিপির পাঠ হলো
ffb095797d	75936	কিছুতেই খরচ করলেন না
ffb0b119af	ac904	ঘুমিয়ে রাত কাটাচ্ছেন
ffb108ebee	cd3ac	বিভিন্ন মাধ্যমে
ffb1343c0f	17ca1	জাতিগত বিদ্বেষই
ffb2733b33	351dd	লিংকন গবেষক ও জীবনীকার
ffb28e8d60	bbb22	এ দাবি জানায় সংগঠনটি
ffb32f9e2a	0d9f1	যে ভাষায়
ffb36207b4	43fc0	থানা সদরের
ffb391bf5b	ee4ad	লাথি মারছেন
ffb3d8007e	e43d4	শাহবাগের মঞ্চ থেকে
ffb4259e0c	8143b	নির্বাচন করতে হবে
ffb47f7a89	2bc73	রিপোর্ট প্রকাশ
ffb48c8acf	44322	প্রধানসহ অন্য শিক্ষকেরা
ffb4b3d474	c173f	জনপ্রিয় কোনো লেখক কিন্তু নন
ffb5035657	2aecc	অনুষ্ঠান শুরু হবে
ffb59569b8	ac0df	ঢাকার কথা বলেছি
ffb6563a92	33aef	গোলক ধাঁধায় ঘুরবার সময়
ffb696a23c	ff1c3	এটি লেখার সময় লেখক
ffb6bad98a	39dd0	বাবা মাঠ থেকে এসে
ffb79bcfce	ea5be	সিরিয়ায় নির্বাচন ঘোষণার
ffb8497969	a0277	খুলশী পাওয়ার হাউজের প্রকৌশলী
ffb8982056	590d0	আমাদের সম্বন্ধে যা যা কথা
ffb8c33c5b	c9c19	এমনকি তারা আমার কাছে
ffb9179b86	d1a48	ঠাণ্ডা লাগা
ffba4f0d9b	65652	বলতে পারছি না
ffbb36ee01	52578	অল্প সময়ের মধ্যেই
ffbb61d2ef	7297e	এক্সেল
ffbbc89899	8632b	একপর্যায়ে বিভার জীবনে আসে অতীশ
ffbbe6d7f9	315e9	নোটিশ পাঠানোর বিষয়টি
ffbbfa4287	29f8c	পথ-শিশুকেই দেখা যায়
ffbc97ee8d	121bd	বাংলাদেশের অভিজ্ঞ এ পেসার
ffbd5acb1e	239f7	৩০ আগস্ট থেকে ৩ সেপ্টেম্বর পর্যন্ত
ffbe21beab	a46e2	পরিস্থিতির কারণে
ffbe7d8fa6	c6848	সংগ্রহ করিয়া সে বোঝা আরও
ffbf6641f4	086dd	তিনি আরাকান বাহিনীর হুমকি
ffbfc07459	8c07c	নারী জাগরণী সমাবেশ নিয়ে
ffbfdfbf4a	7d133	ভাষা-ব্যবহার থেকে আধুনিক বৈজ্ঞানিকেরা
ffbff4c988	58998	প্রত্যাহারের সুপারিশ এসেছিল
ffc05d8a86	2d78f	ইংরেজীতে আমি কথা বলতে চাই
ffc0795024	cc9fd	আজ রাতটা বাছা ঠিক হয়নি ওদের
ffc0c2163c	8b859	কিছু ভূমিহীন বাঙালি পরিবারকে
ffc0f8b70d	ee852	উৎপাদন কাজের পরিচালক রইলো না
ffc13be525	8edea	বাধা বিঘ্ন উপস্থিত করেন
ffc19cb56a	d2355	এখন কুষাণের সঙ্গে
ffc1d1a4f0	37d7e	এরকম কোন তথ্য
ffc1e8d52b	323f1	মুষ্টিমেয় কয়েকজন ভদ্রলোকের
ffc23c1340	870e3	তখন ৩৬ বৎসরের
ffc23ea331	b4ea7	চলবে দুবাই চলচ্চিত্র
ffc27b24b4	2ecf8	সেজন্য হার্ডওয়্যার
ffc2f0c8fd	5a61c	তিনি ঐতিহাসিক রাজা
ffc35c70a9	b9122	লঞ্চটি মধ্য মেঘনায় নয়
ffc3abda12	c1e30	কলকাতার ব্রাহ্মণ পরিবারে
ffc3b317bb	ea8fa	আজো ফিরি
ffc3f709f7	a699c	যুক্তরাষ্ট্রের কার্ড পাবেন
ffc410f3c4	fda1a	মত প্রকাশের স্বাধীনতায়
ffc426ed28	01e91	অঁতিমেমোয়ার-এর
ffc47641b2	29bab	আসামি করে
ffc52f48ba	388c9	সদস্য বলে
ffc54102da	d136b	গড়ে তোলা হচ্ছিল
ffc5e1d419	ff1c3	আবেগ কাজ করছে
ffc61daf29	0633a	বেস্ট মেটাল পারফরম্যান্সের জন্য
ffc64ef118	ea5be	পুলিশ সকাল ১০টার দিকে
ffc68eb68a	256f5	অনেক কিছুই তাঁর চলে
ffc75b9ac4	f0f95	তাঁদের কাছে বড় কথা
ffc7cc9a50	256f5	অনেকগুলো সামাজিক এবং সাংস্কৃতিক
ffc7d0fc59	256f5	বাংলাদেশের সর্ব দক্ষিণে অবস্থিত
ffc80017a9	880ae	পালনীয় বিষয় বলেই মনে হতো
ffc83db87c	f29bf	এরই মধ্যে পথ করে
ffc83e660e	5354e	এ জে মোহাম্মাদ আলী
ffc86c97d2	47e8d	এগিয়ে আসছেন
ffc87efdab	f600a	নিশ্চিত করা হয়েছে
ffc889be01	730c3	ঘুরতে থাকা নেবুলা গ্যাস
ffc91bb198	16e96	কিছু তথ্য প্রমাণকে
ffc91e3937	9282d	তরল পান করার পর
ffc9de6809	0744c	বাংলাদেশের বিদ্যুৎ সচিব জানিয়েছেন
ffca781669	7f2ef	বিক্রি বন্ধের পথে
ffca7a7771	aa820	মমতা বন্দোপাধ্যায়
ffcaa38e29	a43b5	ফাটাফাটি
ffcab1e810	c3cb3	বটতলায় গিয়ে
ffcad2bd87	59c73	গৃহযুদ্ধ কিছুটা কমে এসেছিল
ffcb0c764c	d7a68	হাতে কাঁটা ফুটতে পারে
ffcb8155a8	cb842	র্দীঘ বিবরণ
ffcb837496	086dd	তোমাদের সবাইকে
ffcba2a13b	93bf3	বিক্ষোভ চলছে
ffcc1cebac	a916a	আমার বাঁ দিকে দেখলাম
ffcc45de2a	e50f1	আলোচনা হচ্ছে না কেন
ffcc98b8a4	52578	অনেকাংশে সত্য হলেও
ffccc46416	7f71c	নিরাকার, জ্যোতির্ময়
ffcd736b1e	6c6bf	মাঠের বাইরে ছিটকে ফেলেছে
ffcde13db3	cc18a	প্রধানমন্ত্রীর অর্থ বিষয়ক উপদেষ্টা
ffce05a61b	7351e	যক্ষ্মা রোগে
ffce96242b	b9a81	চলচ্চিত্র ও টিভি অনুষ্ঠানকে
ffcec9cbd9	590d0	বিকৃত হয়ে গিয়েছে
ffcedb793e	06736	বর্ষা মুম্বাইয়ের নায়িকাদের থেকে
ffcee4aa82	323f1	হঠাৎ তিনি জানালেন
ffcf04b998	4c555	ইহার পর যাহা গ্রন্থমধ্যে পাই
ffcfeadfbf	4e900	দৃষ্টি কাড়ে সবার
ffd022134a	06ea3	নিরুৎসাহিত হতে পারে
ffd0a10acb	29bab	গ্রেপ্তারের দিন থেকে
ffd192d552	730c3	পরনির্ভর নারীদের
ffd1ad92df	e9759	পঞ্চম দিনের মতো
ffd24be18e	6aac8	দল কিভাবে দেখছে
ffd26b468f	7e191	অটো শ্লুটারই
ffd30883c7	56508	তাদের ফেরত পাঠিয়েছে
ffd30cc573	2ee04	চেষ্টা করা হচ্ছে
ffd327ed85	c1e30	কালো তালিকায় ফেলাইতে চান নাকি
ffd37edc9c	9d46f	হোয়াইট হাউজ জানায়
ffd3801bef	2396d	ডাক্তার
ffd3d9f3e0	5639c	চব্বিশটি গান বা পদ আছে
ffd4587ba0	33814	লুঠতরাজ-খুন-ধর্ষণের পক্ষে
ffd462141f	d2faf	বেঁধে দিয়েছিলেন
ffd482630c	b618b	সুবলকে লইয়া
ffd4924a65	c0965	সমৃদ্ধ হইবার অপেক্ষায়
ffd4a2999b	cb842	নিউজ পেপার
ffd54ac07d	9642e	বৃষ্টিতে ভেজা
ffd5727201	2d98b	পঞ্চগড়ের বোদা উপজেলা থেকে মনোনয়নপত্র জমা দিয়েছেন বিএনপির স্থানীয় সাংগঠনিক সম্পাদক হকিকুল ইসলাম।
ffd5a2da95	d2faf	তারা মনে করেন
ffd60842e9	42898	প্রচার এবং পণ্যসামগ্রীর বাণিজ্য
ffd62f706b	93d3b	কিন্তু সোহাগ গাজীর
ffd6d478b3	31f2a	ইলিয়াস আলীর
ffd7460c11	9813c	৭৮ মিনিটে
ffd755a08e	f280a	উচ্চারণ করতে পারে না
ffd7b93d75	46d49	মহাসভা ত্যাগ করে
ffd7d691e8	ce629	এপারের পঞ্চগড়সহ পার্শ্ববর্তী ঠাকুরগাঁও
ffd8122742	06527	এ পর্যন্ত এগিয়ে রয়েছে
ffd8df26d9	e00db	নানা আয়োজনের মধ্য দিয়ে বাংলাদেশে পালন করা হচ্ছে পহেলা বৈশাখ।
ffd9130a93	b8bf0	ছিল উৎসবের আমেজ
ffd9480968	509f6	সব আশা শেষ হয়ে যায় ৬৭ মিনিটে
ffd9eee227	06e62	পরিদর্শনকালে মন্ত্রী আরো বলেন
ffd9fcb1bf	91dff	তৈরি করেছেন
ffda5406b5	b8bf0	তিস্তা নদীতে
ffdaa2cba5	590d0	সমস্যার সমাধান
ffdadc44f0	2c9c5	আগামী সপ্তাহে অনুষ্ঠেয়
ffdaddbde1	e31e7	পতাকা নিয়ে মাঠে যান
ffdb1b5b89	4fbd1	হানি সিং
ffdb2ec6be	4f450	স্মৃতিকেন্দ্রে রয়েছে
ffdb2fe94e	6973e	নিয়ে যাওয়া হয় ট্রফি দুটো
ffdb4b5c41	4c1eb	সেই কনকনে শীতের রাতে
ffdbbeeeb0	dba43	নাগপাশে বেধে ফেলেন
ffdbcfdce6	6b437	এই কেলেঙ্কারিতে জড়িয়ে পড়া প্রতিষ্ঠানের তালিকায় সর্বশেষ অভিযুক্ত হিসেবে যুক্ত হয়েছে বিশ্বের বৃহত্তম খাদ্য নির্মাতা প্রতিষ্ঠান নেসলের নাম।
ffdc014684	ff1eb	রং-বেরং এর ফেস্টুন-ব্যানার
ffdc2c7475	943de	উন্নতি হয়েছে তবে আরও উন্নতি করতে না পারলে প্রশ্ন উঠতে পারে।
ffdc32ddd0	92bb2	পরদিন এরকম ঘটনা নিয়ে
ffdc4a22d2	ad050	শ্রী সঞ্জীব চট্টোপাধ্যায়
ffdcb99624	2840e	আমার মনে খুব কষ্ট
ffdcd40820	8406e	অহোরাত্র যে টেলিফোনটা
ffdce4262d	37e17	মানব জাতির জন্য
ffdd06cce3	8c120	বিতর্কিত নারীবাদী সাহিত্যিক
ffdd2ea8b3	d5213	হঠাৎ তীব্র যন্ত্রণা
ffdde56c90	21e54	বলে উল্লেখ করেছেন
ffde2dbcbc	bbb22	ঝামেলা তৈরি করেছে
ffded17120	7027a	১২তম এশিয়া কাপে অংশ নিতে
ffdefb6b6e	0d8c1	পারফর্মেন্স করছি
ffdf907b8c	4164f	পাশাপাশি নিরাপত্তার ক্ষেত্রেও
ffdfe94a06	58998	মাইকেল জ্যাকসন
ffdffedc7e	43fc0	বাঘা বলল
ffdffee45b	ce629	অনেক দেশের চেয়ে সুবিধাজনক
ffe0169b45	5dec6	ক্ষমতায় থাকা খ্রিষ্টান প্রেসিডেন্ট
ffe05b51ee	c7a89	সমৃদ্ধ করার ক্ষেত্রে
ffe06d834b	a8710	জানান নির্বাচন কমিশনার শাহনেওয়াজ
ffe0858308	ac904	জিজ্ঞাসাবাদ করা হচ্ছে
ffe0a44f7d	23291	চাঁদের কপালে চাঁদ
ffe0f28239	77f82	পরিকল্পনা করে
ffe0faf1f7	aa820	রংপুর বিভাগীয়
ffe15649d6	aabe7	এই বেটা বলছে
ffe1bf1f56	a06a1	দেশের অধিকাংশ পত্রিকায়
ffe1f45bb8	7d133	দক্ষিণ এশিয়ার মধ্যে
ffe20ecd4b	3f875	মরফিন নামক
ffe27ee466	ac0df	যে অবজ্ঞা-নিন্দা-বিদ্বেষ
ffe29247ee	92bd8	সরকারি অনুদানের সিনেমা
ffe2dc8ba6	f143a	বাণিজ্যিকভাবে পাখির খামার গড়ে
ffe33dacdb	f4ba7	সহজে পোকা ধরে না
ffe3b45425	239f7	অংশ নিয়েছেন তিনি
ffe44da0ae	2ee04	প্রধান গবেষক
ffe4f8b8ac	db181	যা গুণের দিক দিয়ে
ffe4fd221a	509f6	কী বললেন ফয়েজ
ffe5204626	5639c	গাঁজা বিক্রির দোকান রয়েছে
ffe5222b6e	9d398	ফেসবুকের ফটো
ffe53f11e8	7027a	বিশ্বাসযোগ্যতা তৈরিতে
ffe553c923	e2f12	রিক্সা তুলে দেয়ার ফলে
ffe59227fd	b9b98	হামলার শিকার হচ্ছেন
ffe5e06bb7	a0277	কোনো দিন পোশাক কারখানায়
ffe618994e	717bb	এসব ঘটনা
ffe6e911ad	6c6bf	উদ্ধারের লক্ষ্যে
ffe7f96c88	554fe	চাকুরী দেয়ার প্রতিশ্রুতি দেয়া
ffe815b96a	b8bba	এখন থেকে ইরানের
ffe84f9c17	ef915	অষ্টগ্রাম উপজেলা
ffe85b2234	b2a62	হাজারো যুবশক্তির ক্ষয় হচ্ছে
ffe8658681	f0f95	কাকে নয়
ffe8677220	8b859	অভূতপূর্ব আলোড়ন
ffe88e097d	f0f95	তারিখটি এখনো দপদপ করে জ্বলছে
ffe8df2bdf	75f18	বর্তমানে নারীরা
ffe9dd7e73	7e191	রাজ্যের অভিমান
ffe9e1b938	e89bb	দাঁড়িয়ে ছিলেন তিনি
ffea0202e2	351dd	তথ্য চুরি করে নিতেন
ffea43556e	1b359	সেখানে দুটি ছেলে বসিয়াছিল
ffea50a5ca	f2b7d	পড়াশোনায় মন আছে
ffea74549b	18460	আওরঙ্গজেবের প্রধান সেনাপতি
ffeada45a7	ee852	আগামী ১৬ এপ্রিল অনুষ্ঠিত হবে
ffeae3f012	698ff	সবাই আমার
ffeafa206e	2ac82	তবে পূর্ণ বিজয় অর্জনের
ffebbb37ec	7a227	শুকনো মৌসুমের ব্যাপ্তি, উচ্চতা
ffec0ec0eb	73629	কল্লোল যুগের কবি কে
ffec6611a0	91230	চীন দেশে ঈশ্বর প্রথম
ffec66eaea	3bb15	বাংলা একাডেমি পুরস্কার পান
ffed0c3cec	616ec	তিমির জন্য
ffed14a4e2	c3cca	শিক্ষকদের ধন্যবাদ জানাই
ffed1a28f7	9f25e	কালি-কলমের মানুষ
ffed2737c2	1e7c7	দৃঢ় ভিতের ওপর দাঁড়ানো
ffed310209	590d0	3d printer
ffed6c4bd6	5d12f	শিরোপা জয়ের গৌরব
ffed7bb000	43b04	ভীমকে চূর্ণ করিবেন
ffed9898b3	c749e	ওসি মোহাম্মদ মনিরুজ্জামান জানিয়েছেন
ffee533bd2	80be1	তার সঙ্গে আমি ব্যক্তির সম্পর্কের
ffee97815b	698a4	নিজেই যেন
ffeed2eccc	f837a	জানুয়ারি মাসে তালেবানদের এক হামলায় সৈন্যসহ একশোর বেশি মানুষ নিহত হওয়ার পর প্রধানমন্ত্রী নওয়াজ শরিফ এই আলোচনার ঘোষণা দেন।
ffef38793b	af81d	আবর্ত সৃষ্টি করিয়াছে
ffef922b9f	29f8c	পাস হওয়ার ফলে
fff0194012	ad050	ঠিকই এগিয়ে গিয়েছিলেন
fff0220185	ff0fe	মুষ্টিবদ্ধ হাতের আঙ্গুলের গাঁট দিয়ে
fff0583aa5	5dd61	শরীরের ভেতরেও হতে পারে
fff07b48f4	1b359	অখণ্ড অধীন ভারত উপমহাদেশ
fff0a57847	16e96	২৭৭ রান তুলতে সমর্থ হয়
fff0e17d35	08458	চাঁদের বুড়ি
fff116030f	943de	এ নিয়ে একাধিকবার
fff1621e0c	4bede	অনৈসর্গিক বৃত্তান্ত আমাদের পরিহার্য
fff1fb69bf	491a5	হওয়া উচিত
fff2177f10	f2b7d	সন্ত্রাসীরা হামলা করলে
fff2dec257	2de86	ঘটনার পর থেকে
fff2ed287e	4a918	মানবিক ত্রাণ সাহায্য
fff31b73b4	58998	তেজ কমে আসা রোদে
fff368eef1	24f73	আমিও অন্য জায়গায় পাইতেছি
fff36b34f6	fda1a	আড়াল করে রেখেছে
fff3b09f94	8b859	খুবই কঠিন কাজ
fff4bf2dbb	1de6c	নদীর কাছে থাকতে
fff5b7f2ac	d5f7b	শুক্রবার বিকাল ৪টার দিকে
fff5c95851	bc81e	প্রথম ৪৭ বলে
fff5fbed71	d5f7b	অনেকে আছেন
fff62d0f15	bc81e	কিন্তু ভারতে হচ্ছে
fff66adba9	880ae	পঁচে যেতে বসেছে
fff72d239f	49d63	জনগণ তাঁদের এই ভাষাটিকে
fff7cfd226	5dd61	পরিকল্পনামাফিক বৈঠকে
fff7fc597c	ced74	নিখোঁজ বিমানটির অধিকাংশ যাত্রী ছিল চীনা নাগরিক।
fff82de1d8	f7a7f	তাদের মনের মাধুরী মিশিয়ে
fff9337503	3ec4d	অপার আনন্দ ও কল্যাণব্রতে
fff9634a3a	4a67e	বিটলম্যানিয়া নামে
fffa0807b9	d9ba9	দ্বীপটির নামকরণ হয়
fffa1f08e1	577fa	প্রলয় নিয়ে
fffa7c193d	baa02	মোট ১৫৫টি স্টল থাকবে
fffb23ce48	bc81e	তুমি যে হও সে হও
fffb443167	4f2ae	চেষ্টা করা হবে
fffb603fb1	7ec1c	তার দেশ
fffc5b5e49	adf01	এক বাড়িতে
fffcb4cfca	5dd61	বিষয়টি নিয়ে প্রথমেই বলেন
fffcbc5991	80be1	মাছ টাছ ধরে
fffda05c98	9fa90	কঠিন হয়ে পড়বে
fffdf5a11d	91230	কী করবেন
fffe403066	68ab7	একদিন তিনি মুরগির জন্য
fffedef4e5	80be1	তাঁহার আত্মার সঙ্গে
ffff6a7f59	77f82	সংস্কৃতি মন্ত্রী আবুল কালাম আযাদও
ffff98efe5	80539	অভিযোগ রয়েছে
ffffc017a0	15a75	আন্তোনিও দা মাগদালেনার
ffffe3b62d	10a9f	মি. খানের
fffff1c677	06e62	কাজী নজরুলের লেখা হিন্দু-মুসলমান
