890046e1c8	21e54	প্রায়ই অগ্ন্যুৎপাত করে
898c2b1476	35ef3	আমার গা অবশ হইয়া আসিতেছিল
898ca8aa38	c8f7f	যেমন মুশকিল হয়, তেমন
898ceba47b	6b437	এটা বোঝা গেছে যে
898d0cd2dd	6b437	জবানবন্দি দেন তিনি
898d5211be	5dec6	আমাকে নিয়ে যাওয়া হবে
898d5be716	23291	আমরা কয়েকজন সাংবাদিকও
898dc009cb	2556b	মোশাররফ করিম ও মৌটুসী
898dd55ac1	adf01	তাঁর কাছে কিছুটা শিখে
898e4af08f	976b1	বিভিন্ন পরীক্ষা
898eecd328	59c73	এই শীর্ষ সম্মেলনের সময়
898f4d418b	85430	আসামি পক্ষে ছিলেন
898fe1b59f	cd3ac	কিন্তু পাওলীর কি
89906b5d6d	93080	দুই ভাই
89909198aa	420df	সত্যে অধিষ্ঠাতা উপন্যাসে
8990c59fe3	2de86	গানটি তুমুল জনপ্রিয়তা
8990eb9d88	e9fa7	প্রেমের গোলাপ
89911a7305	767ff	বাচ্চাদের লালনপালন
8991377369	b9b98	কন্টকিত হাহাকার আর অবহেলা
89918440f3	5d80e	অভিহিত করেন
8991eb2fcd	75936	জায়গা থাকা উচিৎ
899242c655	9282d	তা জানতে নির্ভর করতে
8992831e67	16877	মিলি ব্রাউন
8992d5e047	12702	জনগণের ওপর
899395c53a	56508	অন্যতম সম্পাদক
8993e2259c	4dd57	হস্তক্ষেপ করতে পারে
89942f09e9	4ea73	কথা বলার ক্ষেত্রেও
8994354c74	194f5	সকালে বাচ্চাদের রেডি করে
899448b5d8	37e17	৪৩ জনের উপর
89951b05b0	1e7c6	লালন সংগীত
899548a916	2d78f	অজ্ঞাত লোকজন
8995513293	e8dde	চীন যে ক্রমশই মহাকাশে
89958d8670	0895a	জেলা ও উপজেলা প্রশাসন
8995d3429b	29d44	বিবিসিকে তিনি বলছিলেন
8995f04a80	0d9f1	কিছুদূর চলতেই লোহার সেতু
8995ff533a	59c73	'ছায়া-ছবি'র আগে
8996266f41	72649	বেধে দেয়া সময়সীমা
89963b896e	29f8c	মোহাম্মদ সাঈদ ইকবাল জানিয়েছেন
89968bd83d	bf530	বাকি আহতদের ঢাকা মেডিকেল কলেজ হাসপাতাল
8996c269c0	4c555	একাত্তরের অভিজ্ঞতার কথা
899827bcec	ee7b2	একাধিক প্রার্থীকে
89985124b7	2de86	কলাপাড়া
899880cb10	f837a	ইসি সচিবালয়ের উপসচিব
89989f9029	24f73	মুক্তিযুদ্ধের একটি অনন্য স্মারক
8998dff19d	2aecc	তিনি আধুনিক বাংলা সাহিত্যের
8998f5fb44	880ae	উভয়ে ব্যবহারের জন্যই প্রযোজ্য
8998f7f102	91223	অবতীর্ণ হন
899997825c	b8bdd	সবজি, মসলা, মরিচ, হলুদ
899a9cfa2f	17dcd	অথচ ঝড় হয় না তুফান হয়
899b308aff	4bede	ইস্কুলে সবুজের মধ্যে
899ba60ab0	f83df	নির্ধারিত তারিখের
899bba34f3	dfefa	১৫ দিনের হরতালে
899c48fecb	1cb75	এ পুরস্কার পেলেন তিনি
899c7ccc63	4dd57	কুদ্দুস, আমরা কার জন্য
899c934be7	d7a68	নির্মাণ করতে হবে
899cb827bc	ba2f6	চাকর-বাকররা
899cc276a1	25696	এ ধরনের কোনো কারণ হলে
899d50fd62	06527	আয়না
899d7c7edd	fcc89	আইন ব্যবসা
899e3da2bc	9fa90	সংখ্যাগত বিচারে
899e5f69a2	fd880	সংশ্লিষ্টদের সঙ্গে
899e677e64	7898e	দলে ঢুকে সরাসরি
899e931995	8cf95	ঢাকার বিভিন্ন পার্কেও ছিল নানান রকমের আয়োজন।
899f4b62f0	cf82a	সবাই রুমে আসে
89a0268945	09f0d	১০ ডিসেম্বর বিনোদপুরে
89a07eb87a	321b6	শত শত মানুষ মারা যায়
89a116240e	91223	মনে করে
89a1891c32	e754e	টাইম আসবে
89a1e467a6	c4973	নদীতে নেমে পড়েন
89a22a67ff	086dd	আজ ছবিটা দেখে আমার মনে হলো, সমাজই ওদেরকে এরকম অবস্থায় ঠেলে দিয়েছে।
89a231e69c	23b22	আমরা লিওনেল মেসি
89a236ac00	903fa	এ রকম পরিবেশনার
89a292e10f	16e96	জবানবন্দিতে বিষয়টি উল্লেখ করেন
89a2ca38e7	da6f0	পাকিস্তানের করাচীতে বন্যার কারণে ১৯ জনের প্রাণহানি ঘটেছে।
89a2e3e870	509f6	তৃতীয় দিন শেষে
89a2ec6c54	2bc73	দুই ছেলের মধ্যে ছোট ছেলে
89a314e06b	ee886	সমাজে শ্রেণীবৈষম্য সৃষ্টি করছে
89a39ebb33	2d98b	নিত্যদিনের চিত্র
89a3da2457	7351e	কাউকে কাউকে পাঠিয়ে দিলেন
89a451b296	d41be	মনোনয়নপত্র প্রত্যাহারের শেষে
89a46e345c	1c618	দৈনন্দিন জীবনযাপনের ভাষায়
89a4a6a42b	09b32	নামিয়ে আনুন
89a59bcc2d	3bea8	রণ-দামাম বাজিয়ে
89a5f5d688	8edea	ভালোবেসে বাস করে
89a63a06bf	536d9	পাকাপাকিও হয়
89a686499b	7d3e1	বাংলা ভাষা ও সাহিত্যের উপর বিশেষ
89a6e56a78	71522	স্বাভাবিক করার জন্য
89a705f3d0	33aef	উন্নতির পথে হুমকি স্বরূপ
89a757d596	25696	এই সরকার
89a7907eba	d82d9	যে রাজনৈতিক অচলাবস্থা
89a8f08ae0	65652	জাফর তুমি কই
89a90cade6	65652	যা করার তা করতে পারে
89a95e5de9	7ee9b	দণ্ডিত করা হয়েছে
89a9e8ad5b	73629	সখ্য গড়ে তুলেছে
89aa6a73ca	d8c80	১৯টি নতুন প্রেক্ষাগৃহ
89aa959c9e	16877	এটি খুবই দু:খজনক
89aaa18394	698ff	সে তালিকা চূড়ান্ত হবে আজ
89aae45233	11de3	বিভিন্ন সময় আমাদেরকে
89ab5ffd7b	430b2	অস্ট্রেলিয়া ক্রিকেট দল
89ac25ed86	4e900	ইসলামের শিক্ষা হচ্ছে উদারতা
89ac87c249	ef4f8	১০ প্ল্যাটুন বিজিবি
89ac92a14e	b618b	এদিক দিয়ে দেখতে গেলে
89acb3d8d2	ea5be	ভয় দেখানো হয়েছে
89acf51f1c	23b22	আবু রায়হান
89ad244b1e	44322	এ সময় জাকির হোসেন
89adccdbed	c4973	তাহাই করিব
89adea24ec	4a67e	তারা যখন বাড়িটি লিজ নেন
89aded1706	6ee5f	মরিয়া থাকবে বাংলাদেশ
89ae814900	ab946	অস্কার ফার্নান্দেজ-তারানক
89aea5c68d	28bb3	রাজলক্ষ্মী চৌধুরানীর আশ্রয়ে এসে
89aeb2a9b9	c0d65	১০০ টাকায় বিক্রি হয়
89aec5a366	e68af	এই আত্মকেন্দ্রিকতা
89aed6bf68	e7230	মোফাজ্জেল হোসেনের সন্দেহ হলে
89afbd18ab	7c272	খ্যাতি এনে দেয়
89b030ea1d	5cb47	কোরান হাদিস শুনতে
89b0731655	c463d	সে অসাধারণ বল করেছে
89b09c00fb	315e9	প্রতিযোগিতার বিষয়টি উল্লেখ করে
89b0b5bad4	e55de	একটু জ্বলুনি সইতে হচ্ছে
89b0f21056	f658d	শিক্ষা অফিসে দিতে হয়েছে
89b120e0dc	28dfc	ট্রিলিয়ন ট্রিলিয়ন ট্রিলিয়ন
89b18f54c1	91b16	সমষ্টির চেষ্টাতেই মানুষের পক্ষে
89b22671e1	d3e06	রাজমা সিদ্ধ হয়ে আসলে
89b2cbe4b3	db181	বাড়তি চিন্তা করে
89b2ed8419	61820	আর এটি থেকে
89b32734bf	577fa	পুরুষেরা এক দুই তিন করে
89b33bde37	ce775	তাদের মধ্যে ধস্তাধস্তিতে
89b361ad8c	7297e	যে বিশটি অভিযোগ
89b36bbbaa	e2c11	দারোগামশাই তাঁর কানে কানে বললেন
89b380ff89	693cb	প্যানপ্যান কইরা কান্দো
89b3dc99b3	e43d4	আবারও ঝরছে
89b49b0403	d1b12	ভালো করার
89b4d4e5d3	5cb47	সহ-অধিনায়ক মাহমুদুল্লা
89b4fe6761	7ee9b	কোন কবিতা প্রকাশের পর
89b5e1d0e2	ca831	যিনি কথায় কথায়
89b5e5bc3f	321b6	শাড়ি
89b6c715eb	ced74	ধীরে ধীরে গ্লাসটি
89b7021ede	80505	বয়সন্ধিকাল
89b784fef5	38d3a	এক অধ্যায়ের দেবতার
89b7cd5867	e6203	স্ক্রুটা দু আঙুলে ধরে
89b7f7ade0	d2355	হবিবর রহমান হবু
89b8b15621	43b04	পছন্দ করে না
89b8d4ade5	d9ba9	তাকে বুঝতে পারে
89b939a11e	f1240	শেষে কৃষ্ণকেই অভিসম্পাত করিলেন
89b96904c7	1e7c7	আইএসআইএস এর নিয়ন্ত্রণে রয়েছে
89b973ab23	13b70	মোগল ই আযমের প্রেমে
89b98a19bb	b2a62	তিনজন গ্রেপ্তার হয়েছেন
89b99911db	5b13f	অ্যাঙ্গোলার সামরিক বাহিনী
89b9ce04dd	09b32	উরুগুয়ে
89ba24d402	0696e	তারা তা বাস্তবায়নের
89ba38482f	0f047	কোন একটি টেস্ট ম্যাচে
89ba53e36d	2b883	এতে গ্যাস্ট্রিক আলসার বাড়ে
89bafc7823	47e8d	ঈদ উদযাপন করে থাকে
89bb557690	43b04	নাসিরউদ্দীন বলছেন
89bb58864e	2f547	স্ত্রীশিক্ষা সম্পূর্ণ অনাবশ্যক
89bb99c255	3bb15	আবারো হুশিয়ার করেছেন
89bbbe554e	88654	কী খবর কদ্দুর এগোলেন
89bbf1ee0c	ad2a0	আমি বাধ্য হব
89bbf52459	195f7	রাষ্ট্রীয় গণমাধ্যমে
89bc94bce0	f7a7f	যে গোয়েন্দা পরামর্শ দেয়া হয়েছে
89bddfb069	22096	মৃতদেহ বালিগঞ্জের বাড়িতে
89be20fe79	bdfc1	দাদু মুড়ির ঠোঙাটা হাতে ধরে
89be874656	f6e55	কারও ছেলের অ্যাপেন্ডিসাইটিস অপারেশন হয়েছে
89beef2a16	b8bf0	১৯৪৭ সালের ২৪ জুন
89bf2d1054	eecdd	পয়লা জিন লাগালে
89bf3223cd	f2b7d	১৯৫৪ সালে
89bf5a3014	442b7	টাকা আসে না
89bfe3a58c	46da4	বাড়াবে বলে জানিয়েছে
89c02f983d	32b3e	ফলানো সম্ভব
89c048b0cb	1a4a9	ফুঁ দাও
89c0569a23	6dff5	চোখের পানি
89c0787d69	b78ec	দুজনেরই কাজ
89c1050913	f83df	ঘরের বাইরে
89c133f821	80e98	বিজিএমইএর সহ সভাপতি
89c1446f31	577fa	করে কমে যাচ্ছে
89c17978bc	430b2	এসব বাস
89c1f177fc	24aed	আমি যাহাকে
89c26b1beb	7a227	বেশি খেতে গেলেই
89c2aaad5f	efc0d	এই অভিনেত্রীকে
89c2cff52e	46da4	মেনে নেয়নি
89c37266a1	ab946	আর হাত হারানোর পর
89c37b8083	b4ea7	৩৫৯ জন পরীক্ষার্থীর মধ্যে
89c3dd8535	0606d	দত্তক আইন প্রণয়নের জন্য
89c456f813	f1240	বাংলাদেশে উত্তরাধিকারের রাজনীতির
89c4a8cb9a	07660	দেশি-বিদেশি নানান যাত্রী
89c668017e	49d63	বাতাসে নড়ে,
89c688b78e	1cb75	সপ সপ করে
89c6a6b242	bdd05	খোঁজ নিয়েছেন শায়লা রুখসানা
89c6d7d24d	4a918	সুয়াদি নামক স্থানে
89c6f04d7b	f0f95	অবশ্যই বিদ্রোহ সহজেই
89c737876e	536d9	সংখ্যায়ও এফডিসি-নির্ভর চলচ্চিত্র
89c780e979	3c897	৮০ হাজার টাকা ব্যয়ে
89c7a317dc	98b81	বিজয় বায়ান্ন
89c7def064	e7230	সেখানে দুজনের মৃত্যু হয়
89c8354366	3ccf1	৯৬টি টেস্টে
89c8690244	80e98	১৯৫৮ সালে
89c8abcef1	e9759	সঙ্গে নিয়ে নামতে হবে
89c8d648e9	c9c19	সক্রিয় সমর্থন ও সহযোগিতা
89c8f80dd9	1f974	স্নান দিবসের মধ্যে
89c907bce5	d2294	এটা নিশ্চিত
89c90d8f3b	717bb	তখনো আকাশে জমে নি
89c9b23eaa	54e68	তীব্র ভূকম্পনে
89c9b372ce	3b1f7	বুধবার বাংলাদেশের গোয়েন্দা পুলিশ
89caf701f2	33aef	আজ তৃতীয় দিনে
89cb558174	dfefa	জেল ও জরিমানা করে
89cb8c00ed	a4750	ভেঙে গেছে
89cbac1d5d	9f25e	জানালায় উদাস তাকিয়ে থেকে
89cbca6f4f	f2b7d	মুহম্মদ আশরাফুল আলম প্রমুখ
89cbe3eac1	77f82	রহস্যজনক মৃত্যু হয়েছে
89cc0c5004	cb842	নবম শ্রেণিতে পড়ে
89cc16ed3c	61820	সরকারের কাজের সমালোচনা করছে
89ccdd93f4	195f7	কারণ বাকি ছয়টিতে
89cd440c50	880ae	ভারতের পক্ষে ভিরাট কোহলি সংগ্রহ করেন ৫৮ বলে ৭৭ রান।
89cd62fbf6	a8710	কৃষ্ণ তাহাদের ক্ষমা করিলেন
89cd69b926	b8bba	সব জায়গায় যায়
89ce3f98e3	282d3	সকল স্বপ্ন এক নাগাড়ে
89ce6c83e4	d5f7b	উত্তরাধিকার পাবার যোগ্য
89ceef2ccb	68549	সংস্কারের নাম নেই
89cf2c1f7d	d136b	এত অপমান
89cf7da0f8	cf82a	নিজের ঝুলে থাকা ঠেকাতেই
89d02cf45b	0606d	সংস্কারের নাম নেই
89d0d7c268	e9759	রাত কাটান তিনি
89d0db02fc	323f1	এক লাঠির ডগায়
89d140a2de	2ee04	একবার শুধু জবাবটুকু ওঁদের বলিব
89d183ce24	bdfc1	ছিল অপ্রশস্ত
89d1ef76c5	2fc12	তার পর থেকে এ পর্যন্ত
89d232ffd4	44322	ধ্বংসস্তূপে আর কোন জীবিত
89d27ee1ae	1b359	নেতিবাচক প্রভাব পড়েছে
89d29a41cd	08458	বাঙালি অভিনেত্রী
89d31a52fa	86b1b	মিশিগান অঙ্গরাজ্য
89d327ca31	d7a68	তারিখে জার্মানীর
89d378529a	9351a	সব ধরনের ব্যবস্থা নিতে
89d3b0e04d	6d129	দুশো মানুষ
89d45c49e6	d5213	ইয়াবা ব্যবসায়ীরা
89d4fe354a	4f2ae	ভালো করতে চাইলে
89d55c0b23	e6752	সকলে এই কথা মনে করিয়া
89d5bdbf91	c463d	রাখহ অন্তর
89d5dfcd5a	33aef	আবেদন করতে পারেন
89d6818167	af81d	৫ সদস্য নিহত হন
89d68c2c5f	f9dfb	বিয়ে করার
89d6a30f6b	767ff	আমাদের অবস্থা দেখিয়া
89d6af5525	b52ab	সেখানকার আলেম-ওলামাদের সঙ্গে
89d6e39ace	7c272	এই চার জন
89d7293a5b	d9081	ওইদিন মহানগর হাকিম এরফান উল্লা
89d79cd948	355c1	১৯৯৬ আটলান্টা গেমসে
89d8133f11	06e62	কয়েল
89d8b56def	31f2a	ঠকঠক শব্দে হাঁটেন
89d8eb4257	92f59	এদের মধ্যে রয়েছেন
89d92d26b7	adf01	বহু ক্রিয়া
89d9e13c7b	bfac7	ফিরতে শুরু করেছে
89d9f37e87	9813c	থেকে বঞ্চিত হয়ে থাকে
89da9f6d94	e2f12	মারধোর করা হয় ব্যবসায়ীদের
89daa40fe4	83c53	ও নিজের আগ্রহে
89daa80ae8	6aac8	বাড়ি কুমিল্লার লাকসাম উপজেলায়
89db1fc471	54e68	এরপর মৃত্যুপথযাত্রীর উদ্দেশে
89db59796b	29d44	বন্ধ্যত্ব বাড়ছে
89db5ce36a	23b22	খাপ থেকে
89dc0861a5	2396d	এটাকে প্রথমে
89dc26d34f	7ee9b	না করা পর্যন্ত
89dc2f460e	3fb17	হ্যাপির মতো
89dc4ee438	d5f7b	বইটির নিবিড় পাঠ আবশ্যিক
89dcd0e825	3faff	এখনও তিনি
89dce90840	4bede	পাথরে টোকা দিলে
89dd1f0f88	7ee9b	তুলে দেয়া হয়
89dd34cfe0	e03fc	সূত্র,টীকা,পাদটীকারও
89dd36c751	4f450	রোহিঙ্গা শরণার্থীরা
89dd659129	12702	সে পিঠের প্রস্তুতপ্রণালি
89dd98de46	21e54	মস্কো সামরিক হামলা
89ddc4eede	d5f7b	চাকরানীর মতো
89dde05af0	ac0df	বেশ মজার
89ddf7fe21	ee886	সামরিক শাসনের তীব্র সমালোচনায়
89de1a0e89	75626	সে ভালো কিছু খাবার লোভ
89deb0fe85	0d9f1	সব জায়গায় যায়
89dedb5057	6973e	প্লাস্টিকের আচ্ছাদন
89df459da3	870e3	তিনি ইয়াংগুন বিশ্ববিদ্যালয়
89dfb38067	43fc0	বুধবার দুপুর আড়াইটায়
89dfb5d7c0	e754e	প্রতিবাদ জানিয়ে আসছে
89dfc5256b	98b81	সহস্র বছরের
89dff7f58a	491a5	আসা দলটির কর্মী
89e020494e	e2f12	একজন আবুলের সহকর্মী আতীক
89e03a8e23	28bb3	বা আলোয়ার নামে পরিচিত
89e0a83ec4	a1201	নির্বাসন থেকে দেশে ফেরার
89e0be0d98	a699c	শারীরিক সৌন্দর্য
89e0c5c442	2de86	ঘা হলে
89e0e183d8	57d54	তাদের এই লড়াই মূলত
89e14eeb1e	4c555	ঘটনাস্থল ইংল্যান্ডের হ্যাসোয়েল
89e1b95124	7898e	এক কথায় তা অসাধারণ
89e2117f6f	13b70	কনে
89e24af1f3	3fb17	দৌলতদিয়া প্রান্
89e25974e8	9f25e	এগুলো করতে বলবেন
89e267a9e4	80be1	বহু দিক দিয়ে
89e2c15670	7a227	ওয়াদেল আবদুল্লাহ
89e30067bb	e6e48	উত্তর কোরিয়ার ওই পদক্ষেপের পর
89e30cd975	4ea73	অভিযোগ জানান না
89e39f3639	cb842	ভাষা আন্দোলনেরই ফসল
89e3b876ff	ce180	রান্না করার পর সেটি খেয়ে
89e402187e	2909b	তবু গাঁজা কেনা থেকে
89e496c63c	bdfc1	নিজের পারফরম্যান্স নিয়েই
89e49f2da6	db735	দেবদাস
89e4f7fd36	ad050	কোরবানির তদারকি করছেন
89e55071ec	6973e	নগরীতে প্রতিদিন ৪০০ মিলিয়ন ঘনফুট
89e5702096	35ef3	এমনকি এরা মৃৎশিল্পও জানে না
89e58630a4	10a9f	যাতে সুবিধা হয়
89e58cd817	7b900	তার পূর্ব স্মৃতি
89e5d0d1e8	2d78f	হামলার শিকার
89e6b57a16	fb4cb	বরদাশত করতে পারে না
89e6fdcb30	c1e30	সম্ভাবনার কথা
89e7410a46	bfac7	আফ্রিকার ব্ল্যাক মাম্বা
89e77229d0	ac0df	আগামী অর্থবছরে
89e7808c67	b8ed8	ডাকতে শুনেছিলে
89e7e25dba	4c1eb	ভীষণ তার ডাকে
89e7f92301	a4750	ভয়ে বয়ে প্রাণ উড়ে যায়
89e8058051	ff1c3	অ্যাপল কর্তৃক
89e84f97e9	8b859	বুধবার নারায়ণগঞ্জের শীতলক্ষ্যা নদী থেকে
89e8afc5a0	0633a	হুটহাট ফ্লাড লাইট নিভে যাওয়া
89e8b03f41	14816	অপহরণ
89e8b9bc9a	121bd	ঝাঁজ থেকে
89e8d4495f	dafb6	ছাত্র-শিক্ষক কেন্দ্র
89e8e2da8a	6a35e	জোয়ান-বুড়ো সবাই
89e8eccbdb	0e637	১০ নম্বরে থাকা বাংলাদেশ
89e92a5ac0	5cb47	ভিনসেন্ট দাউদের প্রতিবেদন
89e96102a1	6b437	টরন্টো ফিল্ম ফেস্টিভ্যালে
89e9fbd09c	b5fdc	কথা বলা যাবে
89eb46ba40	7b103	মহাজোটে আর নেই বলার পর
89eba567e7	58998	কিন্তু পৃথিবীতে একসময়
89ebbe6bdc	a4750	তিনি দেখাচ্ছেন
89ec3c14d7	fb4cb	ভাসাবী শোরুমের সামনে
89ec3eedc9	d5213	তেহরানকে আহ্বান জানানো হয়
89ed310bb8	6ee5f	২২ বিধিটি
89ed352a4c	e9589	অযাচিত হস্তক্ষেপের প্রতিবাদে
89edaf753a	10a9f	পেয়ে বসেছিল ওকে
89eddf1af6	e43d4	তাঁহারা আপন আপন বুদ্ধিমত
89ee048f64	442b7	কিছুক্ষণই তো সময়
89ef8141fe	8c120	বেড়ে যায় বলে তিনি জানান
89f0960294	8edea	২০০৮ এর ১৮ অক্টোবরে
89f0cb088f	0895a	চিঁড়ামুড়ি, গুড়
89f0e4c7db	f280a	লোকে লোকারণ্য হয়ে যায়
89f0f7ee3f	8c07c	রাজধানীবাসী ছাড়াও
89f1510f1c	4a67e	এলাকা ত্যাগ করে
89f152d6a1	282d3	অনেক গুরুত্বপূর্ণ আলামত
89f1a9ffd7	a274b	প্রদর্শনীতে টাকা উপার্জন করার জন্য
89f2759951	7b103	এই অর্থ থাকা না-থাকার মাঝে
89f29e8acb	ea5be	৬৮১ জন সম্মিলিত কণ্ঠে
89f2e98533	7b60a	প্রমাণ করে
89f30265fc	0b7ca	যৌনদাসীর ভূমিকায় নামছে
89f323dcf8	c7a89	তরফবাজিত গ্রামের কৃষক
89f3b5de5f	b8fe1	পুলিশ ধারণা করছে
89f3f8e183	01e91	রাখা যাক
89f43d2b93	554fe	আওয়ামী লীগের সমর্থক
89f44b5697	d2294	প্রত্যেকের ঝুলিতেই আছে
89f4679ea0	3ec4d	আম নে,মোহন
89f49657ed	5d80e	রাজবাড়ী
89f49a1dfc	f2b7d	গবেষণায় নিয়োজিত রয়েছেন
89f4e2f5c3	f837a	মূলত জাপানী কার্টুন
89f5306a16	92f59	পানির নিচে রেখে ধুয়ে নিন
89f56fc259	730c3	নারায়ণগঞ্জ জেলা সার্কিট হাউজে
89f59dc9c4	8406e	তবে শুধু সাঙ্গাকারাই নন
89f5e08f8e	f7a7f	একটি ট্রেন চলবে
89f61b6e79	5cb47	সাধারণ মানুষের মনে
89f6258f6e	11de3	কোন হুমকি দেওয়া হয়নি
89f629a9e6	58998	কেউ কি কোনো
89f62fd78a	69d9a	কিন্তু কোন মামলায়
89f69f8003	3bea8	তোমার কলমের ধার
89f6aa7988	d2294	পুনর্বাসিত প্রতিটি বাঙালি পরিবারকে
89f6ce678e	24aed	ধন্যবাদ দিল
89f70bae5a	520fb	আমি জিজ্ঞাসা করলাম
89f71da31f	c1e30	দুর্ঘটনা নয়
89f772d22a	ee852	সকাল ৯টার আগে
89f79c0bd0	4e900	যিনি দেশের জন্য
89f7a3d0fe	03284	আমার দেশ কার্যালয় থেকে
89f7baf776	5d80e	বিভিন্ন শিরোনামে
89f7d6b7a8	16a17	আমি গলার বদলে
89f825366f	1a2a1	অবশ্য কেবল ছেলেদের বেলায়
89f83ad452	7b900	বইয়ের দোকানের সামনে গিয়ে
89f8678730	e9fa7	রাজধানীর উত্তরায়
89f88163b7	aa820	ঋতুস্রাব
89f8bf3cf6	616ec	সোনম কাপুর
89f8c3a49a	f83df	দেবর
89f8d214d7	0d8c1	এপ্রিল ২০১২ সালে
89f909c40f	9d7bf	আরো ৪জন
89f945077b	1e7c6	নিহতের স্বজনদের
89f95982ec	b618b	কাঁপতে কাঁপতে চিঠির ভাজ খুলে
89f95c17c7	536d9	দিল্লি সফরে যান
89f9f06aa2	88654	সংশোধন আনে
89f9fdd808	315e9	সবার হাত ধরে
89fa3ceb97	98b81	পুকুরে গোসল করা
89fa3d616d	e31e7	সরকারের তরফ থেকেও ইতোমধ্যে ঘোষণা করা হয়েছে যে তারা এই রায়ের বিরুদ্ধে আপীল করবে।
89faad2cea	239f7	আকর্ষণের কথা জানেন
89fb675116	7e191	মাথুরের একটি গান
89fb7c50a4	2ad74	তার সংসদীয় স্বৈরাচার
89fb8519a4	79b06	ক্ষুদ্র নৃতাত্ত্বিক গোষ্ঠী
89fba87b94	590d0	পাওয়া যেতো
89fbbdfb37	b8ed8	সমর্থন পাবার
89fbc19682	b8bf0	নেতা ও পিতা
89fc50c6e7	e2c11	এর অধঃপতন
89fc6bee5c	37d7e	লেখার এক পর্যায়ে বলা হয়
89fd6b19e8	2ecf8	রকি ও বিমল মারা যায়
89fd7d6f69	75626	একজন বড় ভারতীয় সওদাগরের সঙ্গে
89fd9cc26e	cc18a	তখন ইন্দোনেশিয়ার
89fe3b8ecb	ea5be	হুমা পাখি শোভা পাচ্ছে
89fe728eba	5d80e	মৃত্যু ৫ সেপ্টেম্বর, ১৮৯৮
89fee4c4c4	2fe3c	খেয়াল রাখার
89ff55edc9	e2ff7	হাতে মেহেদি লাগানো
89ffa43b9c	6a35e	এভাবে যদি চলতে থাকে
