2e00acebb5	b5fdc	ফল চাহি না বলিয়া
2e80ec4555	11915	বা খারাপ মন্তব্য করা
2e820bcd95	91dff	পরিপূরক বলে
2e82238b68	d2294	এমন উদ্যোগ নেওয়া হচ্ছে
2e82fff1f7	ee994	এমন আশঙ্কার সূত্র ধরে
2e838634b4	17ca1	যুদ্ধবিরোধী চলচ্চিত্র
2e839cb3f3	80539	আশ্চর্য, জিদের লেখক বন্ধুদের অধিকাংশ
2e840f7b2c	44322	১৫ই ফেব্রুয়ারি থেকে
2e84aa308a	16e96	আসতে চার আনা
2e851dc5a4	2bd99	ব্যবহার সম্ভব
2e853278f0	c1e30	সে কথা মনে রেখে
2e85c802fc	0744c	ভাসমান হোটেলগুলোর তালিকা করলে সবার আগেই উচ্চারিত হবে ম্যানড ক্লাউড হোটেলের নাম।
2e861a0efc	98b81	সাধারণত বৃত্তাকার
2e86361abd	47e8d	টানছি না
2e8639c76d	1c618	আক্রমণের জন্য
2e86685408	7027a	ইংরেজ যেমন জাহাজ ভরে
2e867ab16b	ca088	ধ্রুপদী, আরবি ভাষা
2e869003bc	06bb7	পালিয়ে চলে গেছি
2e872e2070	442b7	মালিকরা বাধা দিচ্ছেন বলে
2e880703b7	92bb2	পানি শূণ্য হয়ে পড়বে
2e8816716c	6ee5f	বাড়ি
2e8995dc4c	cc9fd	নিজেদের রোমিও ভাবত
2e89dd9a5b	e9589	বা তার বেশি আবার
2e8a789a0a	bdfc1	এ কারণে অস্ট্রেলিয়ার
2e8c8a3b98	e2ff7	নতুন নেতৃত্ব
2e8caa5360	fd880	তিনি এখনো দলের সর্বোচ্চ নীতিনির্ধারণী ফোরাম প্রেসিডিয়ামের সদস্য।
2e8d8803d7	b9a81	একটা ভালো শাড়ি পর্যন্ত
2e8ddbdf01	b8ed8	আমি সেই আনসারের সঙ্গে
2e8e0ff135	5d80e	নব্বই দশকে চলচ্চিত্রে আসা
2e8e8d3db7	7b900	পলাশীতে অল্প সময়ের জন্য
2e8e8e78b2	01e91	যেখানে বিষয় এবং বিষয়ীর সঙ্গে
2e8e9ca125	fcc89	আয়েষা যখন
2e8eaae2e4	80518	আমরা সন্তান নেয়ার
2e8eae0a22	e2f12	ভোট অনুষ্ঠিত হয়েছে শুক্রবার
2e8f5fe39e	64092	অন্তত ১৫ শতাংশ
2e8f75d960	bd576	জেট ক্যাপসুলটির নির্মাতা
2e8fdf3ae7	6e6fa	সিভিলিয়ান চার্চিল বেশি বোঝেন
2e8ffc3d7e	404ee	উভয় শিরোপাই
2e9065036c	0606d	তাঁদের বেশিরভাগ কাব্যসাধনায়
2e907b9121	e43d4	শুধু নিজের মেয়ের
2e90d225eb	16a17	প্রথমবারের মতো বিশ্বকাপ
2e90e0061e	c0d65	তরুণ গায়ক
2e9178265e	44322	অন্তর্ভুক্ত করা হবে
2e91aaff2d	2ecf8	সকাল থেকেই দূরপাল্লার
2e91be1d11	24aed	১৮৯৯ সালের বসন্ত ঋতুতে
2e91c37c0c	ad050	অতীতের চেয়ে অনেক ভিন্ন
2e91d2573b	bbb22	আমাকে বলা হলো
2e91e8e1c9	7df87	বর্তমান অ্যাঙ্গোলার রাজধানী
2e92c33a5e	4f2ae	সবশেষে বাহিনীটির কর্মকর্তাদের সঙ্গে
2e92c60a5a	f89d7	মাত্র ১২ দিন আগে
2e92fd02b0	6dff5	সে অন্যদের থেকে আলাদা
2e9329224d	153c9	তিন হাজার টাকা সংগ্রহ করে
2e9339015f	8c120	ফিনফিনে সাদা ধুতি
2e933f3b62	0d8c1	আব্দুল্লাহ আল নোমান
2e93579c5b	93d3b	বিপরীতে এ সময় কয়েকটি হাতবোমা
2e938df987	860f4	১৯৭৭ সালের পর
2e940a2b0f	12702	উন্মুক্ত করা হয়
2e94445d86	b9b98	কবিতা, গল্প, প্রবন্ধাদি রচনা করে
2e944940e7	b2a62	বাছাই পর্বে দক্ষিণ কোরিয়াকে
2e946e4ec6	b618b	শহর আলি গান থামিয়ে
2e94e6cfd8	39293	বড় বড় কথা বলে
2e94e850c8	f2b7d	মিস্টার বিন
2e94fd2c8a	10a9f	গতকালকের দিনটা ছিল
2e9534c870	ff1c3	মধ্যবিত্ত দর্শকের
2e9561f111	a699c	সেখানে
2e95c7c12a	d2355	ড্যানি সেন্ট জেমস
2e95d9ebcd	f2780	কোন কথা বলিবার প্রয়োজন নাই
2e96715c13	75626	বিপরীতমুখী অবস্থানে
2e96ec3381	6973e	সেখানে রনির বাবা
2e9718b8bf	06ea3	দোহার, হায় হায়
2e9778114a	cb842	ফাঁকি না থাকে
2e97b146f8	fcefa	এক উদাস উদ্যমী
2e97e24291	3c897	অথবা সোজা না বলে দেওয়া
2e98823d27	7ec1c	গোয়েন্দা জবাব দিল
2e98d4636b	23291	সৌপ্তিকপর্ব
2e98fe1021	577fa	একই মুখে
2e99e51bf5	d9081	এসব দেখে নগরবাসী
2e9a80e9a0	ce180	সংহত হয়
2e9a9a99fd	4a67e	যার রূপ ও গুণে
2e9ad0bb33	6e8cb	কোনো না কোনো
2e9ad2a599	dec2d	বয়কট করতে বলা হয়
2e9c6a320a	5a61c	অতি স্পষ্ট হইয়াছে
2e9c7a2cb4	dec2d	সৌভাগ্যের দেবী
2e9ca069e0	ce180	রামদা-
2e9ccd535e	17ca1	একটি বার লেজ ছুঁড়ে
2e9cd0fd99	79b06	নারী ভোটারদের জন্য
2e9d89aaba	717bb	ঘোষণা হতে
2e9e308829	09f0d	ঘুড়ি
2e9e6b5737	2556b	এক সংঘাতময় পরিস্থিতির
2e9e95a316	1cb75	তারা পুরুষদের সঙ্গ দেয়
2e9ea6b884	ce629	মুখ্য প্রমাণ কিছু নাই
2e9ef1e37b	4a918	ছবি আঁকা সম্পর্কিত
2e9efd2efe	a9a58	সংকটের সমাধান করতে পারেন
2e9f8518af	ee4ad	এটুআই প্রোগ্রাম মূলত
2ea0953a17	f2780	সহজ হয়ে গেলে
2ea0d9311a	bd576	মেলানো হয়েছে
2ea1a446ba	4a918	আমার আপন দরজায়
2ea1c22d57	e03ce	চৈতালির মতো
2ea1c28692	e2ba2	অ্যাডিলি পেঙ্গুইনরা হল
2ea23ba1d5	4c555	অনলাইনে দিয়েছে
2ea2a68fcc	75936	তদন্ত সংস্থা
2ea2c4fed1	6da0a	উপযুক্ত কারণ
2ea2f8f997	c173f	কামরুল ইসলাম
2ea319dcf9	47e8d	এক কুৎসিত লড়াই
2ea31f2838	cf82a	সব দুর্ঘটনা ঘটেছে
2ea37e4716	12702	বাংলাদেশের স্বাধীনতার পর
2ea3fba88b	7b132	কপালের বড়ো জোর
2ea472ba06	6973e	মূল ভবনের সঙ্গেই আছে
2ea48ef95f	a8710	ক্লান্ত নন্দিনী
2ea4965749	a274b	ভয়াবহ সেই হামলার পর
2ea693b437	a46e2	গুলি ছোটদার বুকে
2ea6b8e959	9282d	বদলে সাগরে মাছ শিকারের
2ea6c88e54	28bb3	তাঁরাও বলতে পারলেন না
2ea74b4885	e89bb	পেটের ব্যায়াম
2ea7586c3e	32b3e	ককটেল ছুঁড়েছে দুর্বৃত্তরা
2ea78e86ce	355c1	বিশ্বভারতীর এমন আচরণের
2ea7977a76	e3d8b	বক্তব্য দিয়েছিলেন ২৩ জন
2ea7f2eacc	a06a1	নামকরণ হয়
2ea8556c3f	f2b7d	অনুষ্ঠানে শেখ হাসিনা
2ea8827f98	ce775	১৯৫৩ সাল থেকে
2ea8f02232	a0277	ফেরত দেওয়ার জন্য
2ea93ce9d4	809cd	কাজ করছেন অধ্যাপক আনিসুজ্জামান
2ea96d0d7b	72649	দৌড়ে দু’জন চলে যেতেন
2ea9e5a464	880ae	চণ্ডীপাড়া এলাকার বাসিন্দা
2eaa1dec64	5dec6	সুন্দরবন রক্ষা করে
2eaa808ffd	7e191	একজন উপকথার গ্রীসের
2eaade3731	76329	কীভাবে প্রতীক্ষা করতে হয়
2eab1eb062	536d9	চালের বস্তায়
2eab35536c	315e9	চতুর্থ সূক্তের দেবতা ইন্দ্র
2eab44fa44	9813c	তাহলে আপনার মাঝে
2eabc526b7	c41d8	কাহিনি, চিত্রনাট্য ও সংলাপ লিখেছেন
2eac1ae4af	69449	দুই মন্ত্রী জানান
2eac33eb20	7b132	ঘন কালো মেঘ
2eac506cb1	db181	এই জন্য গীতার
2ead7b94df	9065c	সকালবেলা আমাদের দরজার সামনে
2eae081e73	bdd05	১১ জুন আলীমের বিরুদ্ধে
2eae3a8f08	80505	হাঙ্গেরি আগের চেয়ে বেশি
2eae4901f3	acb88	শুনাইত জনসাধারণের সাহিত্য
2eae4e73f1	46da4	চৈতালির কাছে বিজয়
2eaefd6d70	3d17c	কেবল খাবার সময়
2eaf619483	0b7ca	হরতাল-আবরোধে রাজপথ
2eaf92d8ee	91223	বন্ধু সজল
2eafb8ffeb	809cd	কুমিল্লা মহানগরীর
2eafdfc6c4	698a4	আমি হেসে
2eb002fc00	79b06	কাজ করেছেন দিপিকা
2eb035b063	860f4	এনেছে কিনা
2eb044a954	e754e	আগামী ২৯শে এপ্রিল
2eb08e61ca	321b6	মর্যাদা পেয়েছে স্প্যানিশ জায়ান্ট ক্লাব
2eb0947851	23b22	বিকল্প কি করছেন তারা
2eb143ce14	730c3	কিন্তু যেভাবে আন্দোলন করা হচ্ছে
2eb1d2d515	730c3	সহজেই হারিয়েছেন
2eb2166e6c	0edef	লাচ্ছি
2eb23b50ab	c0965	সেই নকশা
2eb30154c6	c3cb3	তাদের চিন্তাভাবনার সঙ্গে
2eb31c8f40	09b32	আর গ্রেপ্তারের বিরুদ্ধে
2eb3235668	430b2	রাস্তার খুটি আগুন
2eb32490f5	a46e2	সাহিত্যিক, প্রাবন্ধিক এবং পণ্ডিত
2eb388cdb8	698ff	হত্যাকান্ডের চার বছর তিন মাস পর
2eb3b7a903	c4973	আনুষ্ঠানিকভাবে বিপিএল-এর
2eb44d2e97	315e9	সবচেয়ে সুপরিচিত কবিতা বিদ্রোহীতে
2eb47414d4	57d54	রোগাপানা ছেলেটার জন্য
2eb4d11c06	ee852	মাইকেল লাম্ব বাদ পড়েছেন
2eb542f7a7	d2d71	পরিণত করেছি
2eb55e07f6	49d63	ম্যাচ শুরুর
2eb5afbeba	a0277	কতকাল আগের এক ৩০ শ্রাবণে
2eb5c5a2e8	e6d83	সশস্ত্র আন্দোলনের
2eb6044b07	24f73	ওগোর দিকে এত চাইয়া থাকলে
2eb645e980	7d004	কিন্তু এতে তার কোনই
2eb662085b	7351e	যে মৃতের সংখ্যা অনেক
2eb67a9084	cb627	তার ফেইসবুক স্ট্যাটাসে
2eb6da3c51	2d78f	১৯১১ সালে
2eb6e08d63	0895a	তারা নতুন নির্বাচন
2eb7041a4e	12702	জেলা রিটার্নিং কর্মকর্তার অভিযোগনামায়
2eb75808f7	7d004	দক্ষিণ ও দক্ষিণ পশ্চিম অংশে
2eb759923a	91b16	মুসল্লিদের সুবিধার্থে
2eb78826bd	a06a1	খারাপ গালাগালিও দিত
2eb7b4395a	c8f7f	জেনারেল নলেজ
2eb7bccab5	e7230	অহরহ চোখে পড়ে
2eb8529661	ff0fe	বাস্তবায়ন করা যায়নি
2eb8578c00	49d63	এটাই রাজধানীর
2eb8687ef0	c41d8	তবে তৃতীয় উইকেটে
2eb8960473	274ee	৫০টিরও বেশি দেশের
2eb99e3784	d71a3	বিষ্ণু ত্রিমূর্তির
2eba0040ce	57d54	যথারীতি মি মোদী
2eba4a8b8a	fdcba	সম্মোহন বিদ্যা
2ebab829b8	d711f	শহর এলাকাগুলোতে
2ebc41d786	e754e	ছিল বজ্র ও দমকা হাওয়া
2ebc6348e9	0edef	দেখা গেছে যে
2ebc7431cc	d136b	ক্ষোভের সৃষ্টি হচ্ছে
2ebc8d93cf	3faff	জীবনযাপন করেন
2ebc906e30	321b6	উল্লেখ করা হয়নি
2ebd7d5b7d	ef4f8	ঘোড়া প্রস্তুত
2ebda33862	16877	শঙ্করের শরীর
2ebdb3f5ee	ea5be	তবে, সভাপতি হলেও
2ebebb2ea9	809cd	এর গড় উচ্চতা হল ৫০১মিটার
2ebec09496	ec91c	নিহতের বাড়ি
2ebef817ed	0895a	চালু হবার পর থেকে
2ebf23842e	43b04	আল সিসির অবশ্য
2ebf5a99bf	745b7	প্রজাপতির পৃষ্ঠদেশ থেকে
2ebf880604	3b1f7	স্বাধীনতা অর্থে
2ebf8ff335	4a67e	সঙ্গীত পরিবেশন করেছেন
2ebf9f7b43	932bb	এ সংক্রান্ত আলাদা তিনটি প্রজ্ঞাপন
2ebfaada98	d9ba9	সেন্টমার্টিন দ্বীপের সংযোগ
2ec0584da3	bc81e	মেয়েদের ব্যাপারে
2ec07e6297	68549	বাঁ ধারে গোলাকাটি
2ec09d2812	f280a	২০০৫ সালের ১৬ জানুয়ারি
2ec0bfe959	8c120	ঢাকায় আরব আমিরাতের রাষ্ট্রদূতের সঙ্গ
2ec0e60c99	43199	অ্যাডিলেড ওভালের
2ec0f0a441	38ff0	কমিয়েছে অনেক
2ec117785a	cb1aa	উপনিবেশকারীদের আগমনের আগে
2ec19e5104	ad69a	জীবনের প্রথম ৪৪ বছর
2ec1aef1da	83c53	সরকারের অনেক সময় লাগছে
2ec1c54d05	16877	তাই আমি আজও
2ec1f5e9e0	ce629	গ্রেপ্তারি পরোয়ানাও রয়েছে
2ec21d7aa7	38ff0	গ্রামীন ব্যাংক
2ec21fea5c	ff1eb	ভারতীয় জনগণকে
2ec23d491d	e2ff7	কাজী জাফরসহ
2ec3b4d083	08458	মুখ বাকাইতেছেন
2ec3ecf635	e7230	প্রতিবাদ কর্মসূচি পালন করেছেন
2ec3ffafc1	7d133	একজন অতুলনীয় শাসক
2ec4c5f1c8	ee7b2	দেশে আবারো ১/১১-এর মতো
2ec503b323	18a52	ডাটাবেজ সংরক্ষণ করা হবে
2ec520775f	0b7ca	গ্রন্থমেলার উদ্বোধন করবেন
2ec5b5c111	43199	বাংলার নারীর বিয়ের সাজ নিয়ে জল্পনা কল্পনার শেষ নেই।
2ec5b95542	80e98	নৈপুণ্য রয়েছে
2ec5dc9805	21e54	কাজেই এতদিনে
2ec613e3fd	2bd99	যদি চিন্তা করে
2ec7116b60	7297e	মিশরের কবি
2ec74012ef	f280a	দোহা থেকে আসা
2ec768db47	3f493	বিষয়টি মাননীয় স্পিকারের
2ec7bc27f5	778c0	স্বর্ণ কিনেছেন
2ec7e9d448	3bb15	তরুণ বয়সে
2ec7f8cf75	91223	এখানে একটি বিষয়
2ec87d732f	cb1aa	লরিয়েলের কালো রঙ
2ec8a3caaa	4486f	শিল্পের ভুবনে আমাদের স্বাগত জানায়
2ec8f66310	2ee04	হাই কোর্টের ওই বিচারপতি
2ec9029adb	6e6fa	একটু আগে চিত্রনায়িকা বর্ষা
2ec9bc2559	adf01	বেঙ্গল মিউজিক
2ec9c7a785	cfc65	নির্বাচন কমিশনার
2ecb9d602f	388c9	সোয়া ১১টার দিকে
2ecbe177ed	3bb15	অনেক সুখী জীবন কাটিয়ে গেছে
2ecc469195	38d3a	উপস্থিতির আশা করছে ইসি
2ecc775199	b8bba	শ্রুতি মতে উঁহারা
2eccd10ad1	b9122	বেশ কয়েকটি দোকানে
2ecd3d82ca	e6e48	অথমল্লিক, ভারতের
2ece11d9cc	d82d9	পঞ্চম দফা উপজেলা নির্বাচন
2ece47a007	17ca1	উপড়ে ফেলায়
2ece6392f0	24f73	পরে পৌনে ১২টার দিকে
2ecec84fbe	1c618	পুতুল পাঁচ মাসের অন্তঃসত্ত্বা
2eceddee16	06ea3	অনুসিদ্ধান্ত বিয়োজন পদ্ধতি
2ecf2c4dd8	ca088	লিখেছেন জলরাক্ষস, খরদাহ
2ecf5d9361	baa02	সংবাদ পেয়ে
2ecfc51eb8	d9ba9	মাওনা লোয়া
2ecfede5b8	a916a	বেশ ঝকঝকে
2ecff74368	ff970	চুপ করিয়া
2ed0173a53	7ec1c	প্রায় বছর খানেকের
2ed10d61bb	b52ab	কোন দালানের ওপর
2ed1cb0fce	dae88	আমরা যেভাবে এগুচ্ছি
2ed2363f7c	69449	ঢালাও ভাবে মাদ্রাসার বিরুদ্ধে
2ed248d124	32b3e	বিভিন্ন ধরণের খেলায়
2ed2ca9ad5	bbb22	খালিয়াজুড়ি যাচ্ছিলেন
2ed2da0a06	5639c	শূন্য দশমিক ৪১ শতাংশ
2ed2db9116	b2a62	এদেশের জনসাধারণের ভূমিকাই অধিক
2ed30c5a4c	66dcd	সব দেখে
2ed313e3be	e00db	ফাঁসি
2ed3246a55	46da4	১৯৮৭ সাল পর্যন্ত
2ed3292cb2	dec2d	নিজের সংস্কৃতি বলে গ্রহণ করে
2ed380bb23	baa02	সংকটের সময়
2ed381e0dc	8143b	সীমাবদ্ধ ছিল না
2ed3d26c0b	49543	সাড়ে ১১টার দিকে
2ed401481f	d0c70	বাবা-মায়ের অনুমতি নিয়েই
2ed40a3d77	0606d	কিভাবে এটা হয়েছে
2ed426f378	8edea	বিশ্বকাপের সুপার টেনে খেলার জন্য
2ed480a638	0696e	গর্তে ঢুকেছিল হয়তো
2ed4d888e4	16cfb	কারণ হতে পারে
2ed4e04811	1c618	অবাক হইয়া
2ed4f2e518	e3d8b	তাঁর কবিতায় উচ্চারিত হয়েছে
2ed4fc23d2	5cb47	কোন প্রটোকলে
2ed5a5484e	7ec1c	পদার্থের মধ্য দিয়ে
2ed5c86721	6c6bf	পারষ্পরিক স্বার্থ কাজ করে
2ed5d3a25a	e6e48	গতকাল গাইবান্ধায় সংঘর্ষে
2ed6358fa5	fd880	মি. গাঙ্গুলির কথায়
2ed6854982	388c9	গ্লোবাল ওয়ার্মিং
2ed69f19c1	75626	রক্ত দিয়েই
2ed6b5bd98	bcaa8	তবে, শুক্রবারে
2ed6fa70ac	18460	এই গ্রন্থে
2ed72bf60c	10a9f	জালিয়াতির অভিযোগে
2ed7a180ba	c5479	উগ্র হিন্দু জাতীয়তা থেকে
2ed8b11551	b8ed8	দেখা গেল তাদের দলের নেতারা
2ed917bdd7	2ee04	বোলার কর্তৃক
2ed937ab90	870e3	এখনো এদেশের বেশিরভাগ মানুষের
2ed972bc03	6a35e	দুই মূর্তির হাতে ধরা
2ed9c9a26c	8845d	আজ আবহাওয়া ভালো থাকায়
2eda3ae3b8	d136b	২০১১ সালকে
2edb6267f7	bdd05	শওকত মোমেনের মৃত্যুর পর
2edb89a847	aab0f	হাসব প্রতিবার
2edbe0c1ab	b4ea7	রমজানের প্রথম দিন থেকে
2edd4bce7c	fcc89	মুসলিম ব্রাদারহুড
2edd7f5bc6	d2294	একজন মুসলিম কৃষক
2eddcde3fb	903fa	আগে থেকে
2ede140f0b	c749e	সে বিষয়ে মন্তব্য করার
2ede55edf8	2d98b	সুইটি
2edec5cb23	1b359	সেটি একক ও অদ্বিতীয়
2edf5a0e4a	6e6fa	মৃদু বিটা বিকিরণ
2edf62e757	ce180	একটি অ্যাম্বুলেন্সে করে
2edf7e3f7e	1279e	নিজের সন্তানের কাছে
2ee00ddb9d	c463d	এসেছিলেন বিশ্ববিদ্যালয়ের ছাত্র
2ee068c98a	a46e2	ভর্তি হন তিনি
2ee0c40011	4c555	গদগদ গলা
2ee0ee45a3	256f5	তখন পুনরুজ্জীবন লাভ করে
2ee11da8d8	c8f7f	গুরুত্বপূর্ণ দিকটি ছিল
2ee12d7ce3	acb88	নাকোচ করে দেন
2ee16068c6	17ca1	বাংলাদেশ সংলাপের আলোচনার
2ee17139cc	72649	বন্ধ করে দেয়ার নির্দেশ দিয়েছে
2ee1c0c754	4c555	যারা ভণ্ড তারা দিনের পর দিন প্রেম করে যাচ্ছে।
2ee1c7c10d	c0d65	কাজী নজরুল ইসলাম এর বাণী
2ee1cda005	194f5	চর্যাপদ নিয়ে অনেক গবেষণা হয়েছে
2ee1ef97e3	c9c19	ভারত সফরে যাবে বাংলাদেশ
2ee238cece	66b3c	প্রণব মুখার্জি তার বক্তব্যে
2ee23f6035	db181	হুমায়ুন আহমেদ
2ee253bc34	ced74	বিশ্ববিদ্যালয় ক্যাম্পাসে
2ee262fff3	72649	আমাদের ঘিরে শাঁই শাঁই চাবুকের শব্দ
2ee2731565	0c39f	এগুলোর কোনো সত্যতা নেই
2ee2c057bd	a3a6d	তাঁহার রূপ, গুণ, সকলই
2ee334916e	0edef	একটি চুক্তিতে
2ee396a02b	c7a89	প্রশ্রয় পেয়েছে
2ee3d1a4c2	6e8cb	দীপ্ত টিভি
2ee3d25012	7c272	সাক্ষাৎ দেবরাজ ইন্দ্রকে
2ee507c125	c11b1	যখন রানা প্লাজায় কাজ করতাম
2ee5c9532a	68ab7	মাথার চাঁদিতে
2ee5dc1870	dfefa	নিরপেক্ষ তদন্ত হওয়া দরকার
2ee5de12c9	a7c6f	তার একটু নমুনা দিচ্ছি
2ee5f9b3bc	39293	তিনি ভারতীয় বাঙালি
2ee63a8d44	95907	মুক্তিযুদ্ধের নয় মাস
2ee63f9ac0	590d0	সম্মিলিত সামরিক হাসপাতালে
2ee6849903	9e923	স্থানীয় আধিবাসীদের অনুমতিক্রমে
2ee6f7de02	4237e	কোথাও কোথাও চেষ্টা হয়েছে
2ee71d161c	536d9	চোরাইয়ার টেকের ছেলে
2ee748e5c3	65652	লাশ রংপুর মেডিকেল কলেজ হাসপাতাল
2ee75a8124	24f73	আগাথা ক্রিস্টি
2ee763ac8a	42898	দশ জনের দলে
2ee800190b	9fa90	অভিযোগ করেছে তাদের স্বজনরা
2ee8187c8a	a43b5	মুসলমানদের ধর্মীয় উৎসব
2ee834da34	c5dc8	রং-বেরং এর ফেস্টুন-ব্যানার
2ee860af11	11915	তাদের দেখাশোনার নির্দেশ দিয়েছিলেন
2ee8c1fadc	b8bba	কেউবা নিজের হাতেই
2ee8e2d1c6	e43d4	সুনাম কুড়িয়েছেন তিনি
2ee90d4125	44322	খাওয়া হয়
2ee9b29737	9065c	সেই মৌলিক পদার্থগুলোকে
2ee9c1d5d6	4c1eb	জানার অধিকার আছে
2eea7e5256	f1ea4	৩ কাপ পানি গরম করে
2eeaba861f	e50f1	৩০ ঘণ্টা পর্যবেক্ষণে রেখেছিলেন
2eebec3c60	ec91c	বেশ কয়েকটি জায়গায় জমে উঠেছে
2eec33e3be	420df	রুদ্ধদ্বার মুক্তপ্রাণ ষাটের দশকের
2eec3b0497	3f493	সভ্য ভাষায়
2eec428972	e3f89	রাষ্ট্রপক্ষের অতিরিক্ত পাবলিক প্রসিকিউটর
2eed584dac	d711f	পাঁচটি লাশ পাওয়া যায়
2eed6b1b5e	60b9d	কিন্তু ভারতে হচ্ছে
2eeda7f8e1	967fd	যম ছেড়ে দেয় না
2eeda9284a	8a46d	ইন দ্য নেম অব সেফটি
2eedaa2736	b00ba	সংশোধিত আইনে রায়ের বিরুদ্ধে
2eedc5b651	bdfc1	সংগঠনটির অভিযোগ
2eedf3f40c	4bede	এগুলোর টিকে থাকার
2eee386797	d711f	এই অঞ্চলের মানুষদের
2eeec495ab	1f974	এর অস্তিত্ব
2eeecc108e	57d54	তাপ উৎপাদনে সক্ষম
2eeef920a0	9092b	১৯৯৬ থেকে ২০০১
2eef27ca03	2de86	জীবিত ফিরে পাবার
2eef291862	43fc0	অস্ত্র চালানের সঙ্গে জড়িত
2eef5bbdef	ee4ad	টিপু সুলতানের রাজপ্রতীক
2eef70fb35	f1ff2	তবুও তো এখনো আছেন
2eef7dba99	38d3a	ধর্ষণ ও মৃত্যুর পরেও
2eef85fa1d	e9fa7	উঠোনে ফজলিখালা
2eef987dc8	37e17	ভাষা আন্দোলনের অমর দিন
2ef03e9e6b	d9817	হাসপাতাল থেকে ছাড়া পেলেও
2ef0484df9	8edea	এটা নাশকতা নয়
2ef04fbe48	f1240	এ প্রসংগে সানজিদা শশী জানান
2ef07ccf6e	c7705	উপজেলা চেয়ারম্যান এবং বিশেষজ্ঞরা
2ef0933120	cc9fd	তাবিজের নকশা
2ef0a178ad	7027a	রান্না করার পর
2ef138c6ed	e03fc	নীল মানে সুরেশ্বর
2ef16559d2	730c3	আমার হাত
2ef18d7da1	7898e	দেখা করে সে
2ef1ef7bb2	3fc9d	স্বীকৃতি দেওয়া হয়নি
2ef35b9d30	3bb15	মুক্তবুদ্ধির মানুষ
2ef38cb1e7	29f8c	ঐতিহ্যবাহী জব্বরের বলী খেলার জন্য
2ef46edbaf	95907	তাদের ঐক্য
2ef481e6bb	25696	যখন বাড়ি ফিরছিল
2ef50dba31	693cb	এক্ষেত্রে সন্তানের সিদ্ধান্ত
2ef5590ee6	f0f95	মানবাধিকার সংস্থা
2ef57413fc	3bea8	ম্যাডিসনে জন্মগ্রহণ করেন
2ef5eeb5be	aa820	দেখেছি
2ef616e887	1de6c	দিগন্ত
2ef656bc72	4fc91	নিকিতা কার্তিককে বিয়ে করেন
2ef677dcff	c5dc8	নকিয়া ফোন
2ef6929750	ee7b2	একটি ডায়াগনস্টিক সেন্টার
2ef6d355f4	b9a81	৬০ হাজার লোক
2ef7284789	16e96	ওয়ানডে ফরম্যাট ধীরে ধীরে
2ef746a870	43199	বাজরিগার
2ef7dcfa23	eb179	এসময়ে অপর একটি গ্রুপ
2ef853b2aa	3faff	১১ দশমিক ৮৫ টাকায়
2ef8e1c13a	bfac7	খোলা গাড়ীতে
2ef92b98fd	92f59	বর্ষবরণ উৎসব পালন শুরু হয়
2ef97181a3	ee852	প্রণয়নের কথাও ভাবা হচ্ছে
2efa685c60	ee7b2	দুশো মানুষ
2efb661c3c	ce180	ইউক্রেনের সশস্ত্র বাহিনীকে
2efbbeaacc	976b1	অনশনে জেলা ও উপজেলা পর্যায়ের
2efc178caa	7ee9b	শত সংকটের মাঝেও
2efc3cb0ec	e43d4	এমন ভাবে
2efc42792b	37e17	ধরনের স্থাপত্য
2efc46c930	a3a6d	পার্টন দ্বারা
2efcbb5732	c463d	ঘোষণা দিয়েছিলেন তিনি
2efd3158ff	f89d7	একটি দেশ মিলেছে মুসলমানের
2efd3a80c8	7f2ef	সবচেয়ে বেশী জনপ্রিয়তা অর্জন করেন
2efd43741d	e7230	ঝি
2efd636d62	eecdd	ইবাদত করতে
2efd6b87a8	8cf95	তিনি আবার বড় ভাই
2efd96d668	d2355	সেই দিনটিকে স্মরণ করতে
2efdbb1373	351dd	এক অনুষ্ঠানে মূলপদ্মা সেতু নির্মাণে
2efe11f212	66dcd	কোনো সুযোগই তারা পায়নি
2efec87a59	91223	পার্শ্ববর্তী দেশ এবং চীন
2efeed6bce	ad2a0	মার্কিন প্রেসিডেন্ট বারাক ওবামা
2eff19f70a	c9c19	আপত্তি আছে
2eff2de7a9	46da4	সুর, তালের
2eff608221	88654	এত কথা
2effce9387	8b859	অকল্যান্ড সিটি আর্ট গ্যালারি
