bd002e4484	52f27	এইটুকু জীবনে এই প্রথমবার
bd86a65ddd	e2f12	ঘুরাবে
bd86dea3de	f1ff2	বাংলা ওয়ালপেপার
bd87365423	06736	খুবই জরুরি
bd87587251	976b1	উদ্ধার করা হচ্ছে
bd877eea11	321b6	তাদের আশ্রয় দিতে
bd878194d3	767ff	আর যে আটটি দেশ
bd87c76c51	c4973	এতে যদি বেদনা না সারে
bd87e69b86	2b883	আলিয়ার বিপরীতে
bd885fd825	ee994	ঠাণ্ডা লাগা
bd889419c2	5639c	কয়েকটি ব্লক জুড়ে
bd889d35ba	2aecc	ট্রেড ইউনিয়ন প্রতিষ্ঠিত হয়নি
bd88ddf979	14d25	লক্ষ্যকরে গুলি ছোড়ে
bd8958e7de	d2d71	বৃষ্টির সন্ধ্যায়
bd89843b95	dba43	ফুল উপহারের দিন
bd89f5a255	b2a62	আমি বাম হাত দিয়ে
bd8a5eef5b	2aecc	ছবি তোলার শুরু
bd8a890872	22096	বিরোধী দলের অভিযোগ হচ্ছে
bd8aa23645	4fc91	আকাশে ওড়ে
bd8afa554b	69d9a	ব্যালট পেপারসহ
bd8bdafabb	b8bf0	লুটিয়ে পড়ে
bd8be6922f	dec2d	না করার জন্য
bd8bf9ca40	b618b	জ্ঞান হারিয়েছিল
bd8c38a21d	bdd05	পুরান ঢাকার নিম্ন আদালতে
bd8c6108d1	39dd0	আগামী ৭ মে অবশ্য
bd8d10d9a7	0c39f	৩১ হাজার ৩৭৯ টনে দাঁড়ায
bd8d3c7818	b5fdc	নয়াপল্টন কেন্দ্রীয় কার্যালয়ে
bd8d569be7	d2294	যখন তার বিরুদ্ধে
bd8d59cbd7	8ba2b	আসছে বছর কবির
bd8d7c9a47	5dd61	এই উপজেলা নির্বাচন
bd8df38188	baa02	রঞ্জিত মল্লিক
bd8e1aecb5	b8bba	অলিম্পিক চার্টার
bd8e384b4b	d711f	টিভিতে অভিনয় করেন কিনে
bd8ea73470	4f2ae	খালিদ হাসান মিলু
bd8ed0c4d8	c9c19	একটি হিন্দু মন্দিরে
bd8ed8118c	bcaa8	ফকির লাল
bd8ed99be7	c41d8	অবাস্তব লক্ষ্যমাত্রা ধরা হয়েছিল
bd8f30c8b1	7d133	সেখানকার মায়েরা
bd8f815b93	e03ce	খেতে পারবেন
bd8f8f13be	54cdd	আইন শৃংখলা রক্ষাকারী
bd8fc676e2	54cdd	তার জীবিকা
bd8fdc9597	d8c80	এবং দুজন ভারতীয়
bd90586099	fcc89	হরতালের যে প্রভাব উৎপাদন ও বাজার ব্যবস্থায় পড়ছে, তার ক্ষতি পুষিয়ে নেয়া খুবই কঠিন।
bd905e82cf	a274b	কঠিন হয়ে পড়েছে
bd9095cb89	d711f	খারিজ করে
bd91715c21	cb1aa	অ্যাশটন চার্লস অ্যাগার
bd919eace7	d5213	আর বিষাদে মলিন
bd91c4d994	29089	কী হে বেনভোলিও
bd91cb7195	ec91c	গতকাল রাত ৩টার দিকে
bd91e8c492	42898	জানে না কেউ
bd924ca19d	49d63	বিলাওয়াল নির্বাচনে দাঁড়াতে পারবেন না
bd93470418	ce775	এমপি নির্বাচন কমিশন
bd934b7bca	b00ba	বাণী চিরন্তনী
bd93676c11	c41d8	এ-রকম সমাজ সত্যিই রয়েছে
bd93be6663	b9b98	লক্ষণীয় দিক ছিল
bd94fc6e98	39dd0	যে রাজনৈতিক অচলাবস্থা
bd950494fc	410fa	হাজারো স্মৃতি আমাকে
bd9528ef08	29089	যে সমস্ত প্রতিষ্ঠান
bd95ec182d	f7a7f	তিনি আবার ভাই ওয়াল্টারকে
bd960d945a	e6e48	নিয়ে যাচ্ছে
bd9660e492	a699c	নিয়ে আসা হয়েছে
bd96cc69ce	82926	মোক্তারপাড়ার জেলা প্রেসক্লাবের
bd96ee2f1f	ab946	পুরোপুরি আলোকিত
bd97045342	2f547	সেই আয় বেড়ে দাঁড়িয়েছে
bd972df074	9b864	পাহাড়ের মতো পেট দেখে ভাবল
bd97d48f8c	7f2ef	ঐশীর বন্ধু মিজানুর রহমান রনিকে
bd98696b32	a06a1	অনুধাবনযোগ্য
bd98b4fa44	d7a68	ইসলামিক
bd98f80a74	a1201	আকরাম খান
bd991a4767	e6e48	আমরা অবশ্যই
bd9a2233d3	9065c	দুনিয়ার মানুষদের
bd9a27082c	14d25	আমাদের আবার আগের মতোই
bd9b2be3f0	1652d	এসেছে বলে মনে করা হয়
bd9b60bbd0	0a7a0	যাঁদের স্মরণে রেখে
bd9b80f1f0	33aef	ওকে জানাল না!
bd9bb3863e	29d44	মি. ইসলাম
bd9bc930bd	92bd8	ভূতদের কাছে
bd9c016a04	13b6a	বিজয় তিনটে বই নিয়ে
bd9ca642b4	b4ea7	ঠিকানা
bd9cc839ee	153c9	একটি প্রতিবেদন দেয়া হবে
bd9cdf017c	3ccf1	এই খালটিকে একবার
bd9ce5b06e	e754e	আগামিকাল যে এই মামলায়
bd9cf89cfc	0d9f1	কিন্তু ভবনের
bd9d49a38d	2ecf8	বিমানবালা
bd9d5f73db	7b103	একটি বেইলী রোডের মিনিমার্টে
bd9e564a87	c9c19	ও পাড়ায় গুঞ্জন
bd9e8bead6	2396d	চালু করার জন্য
bd9e8c248f	91223	রাত ১১টার দিকে
bd9ed4200e	3d17c	ক্রিকেটে এশিয়া সেরা
bd9efd65da	9c8dd	যেমন উদ্ধার করেছেন
bd9eff1920	2d98b	জিভ দিয়ে চেটে খেতে হয়
bd9f23707f	d9081	পেতে দিলেন বাবা
bd9f549b95	37d7e	কিন্তু শেষরক্ষা হয়নি
bd9fb92b85	68549	বাংলা ওয়েব
bd9ff1f261	d9081	মানুষ বই কিনতে আসে
bda01fcd79	56508	রপ্তানি না বাড়লে
bda0a2db93	1a2a1	টেবিলে, বিছানায়, মেঝেয়
bda0f9bf23	80518	ফিল্টারিং কম
bda114e2aa	4ea73	তারাবো পরিবহনে
bda143d968	3f493	পার্টি থেকে
bda15c8b9d	f89d7	এ বিষয়ে আমরা
bda1bf13e0	e6752	উত্তর পূর্বে প্রচলিত
bda2232591	e68af	নরেন্দ্র মোদীর বিরোধিতায়
bda22b8be2	355c1	আমারে তেঁতুল কিনতে
bda239957b	06ea3	সোশাল নেটওয়ার্কিং সাইট টুইটারে
bda265599f	b9b98	ও তাণ্ডব চালাচ্ছে
bda2afc7da	cb842	সে হাত নাড়তে
bda2f636e8	16877	ঐশীর পিতা-মাতাকে
bda30f0489	ee852	তিনি হয়তো
bda33e21f9	a7c6f	খুব বেশি মানুষ ছিল না
bda3dfb87d	cf82a	তিনি যুক্ত নন
bda4689d7b	b5fdc	মানব উন্নয়ন
bda4b6e28c	410fa	মাখন ১০০ গ্রাম
bda526d187	e7230	দীর্ঘ লাইন দেখা যায়
bda5538cf9	18460	শূন্য দশমিক ২ শতাংশ
bda581603b	6ee5f	শশার ভেষজ গুনের
bda58591c1	68ab7	আমি একজন বিশ্বস্ত লোককে
bda59e65dd	e6d83	তারা তথ্য সংগ্রহ করে
bda5a2f924	bc81e	যা পৃথিবীর আর কোথাও
bda62d93f1	5dd61	পরে তিনি একে একে
bda65a3156	75f18	১৯৮৩ সালের
bda669afa4	880ae	অনুমতি দেওয়া হয়নি
bda6b6b5ef	aab0f	মন্ত্রীদের মধ্যে দীপু মনি
bda6ea682d	b9a81	তেত্রিশ কোটি হইতে
bda6f97351	4a67e	হলিক্রস কলেজ
bda73e851a	af81d	বাকি ১১ জনের বিচার চলছে
bda917b883	b9122	টাকা আনতে বলে
bda91d76ca	8edea	অসুস্থ হতে দেখেননি তিনি
bda9453568	db181	প্রচণ্ড রাগ করে
bda94e474c	aa820	কাজ করে এমন সংগঠন
bda9603d49	321b6	ভিখিরি আর পাড়া পড়শি
bda99a4049	16877	আমি জানি
bda9c0fe30	ce629	ব্রিটিশ সংসদ থেকে
bdaa894d13	8cf95	১৭০১ খ্রিস্টাব্দ মোতাবেক
bdab31127d	c4973	হাজার হোক
bdab34eb54	7ed14	সন্ত্রাসী তাদের মধ্যে আছে
bdab72e91e	66c6b	অর্ধশতক পূরণ করেন
bdabd3f3b4	ee886	তাঁকে নিয়ে রহস্যের কুলকিনারা
bdabea489f	f0f95	প্রাকৃতিক সন্তানের মতো
bdabeaed27	153c9	সাভারে বাজারের কাছে
bdac2cc64c	f2b7d	আগের গোল দুটো ছিল
bdac7c84e3	4c555	ঢাকায় গার্মেন্টস-এ
bdac95d93e	698a4	এসব দেখে নগরবাসী
bdacc28a11	75626	কিন্তু আকাশের কোণে
bdacdb6ba8	91b16	আজকের রাশিফল ২০১৪
bdad2f2f0e	f4ba7	বাঙালী মুসলমানদের
bdad6f0b53	274ee	কোনো মূল্য
bdad78e653	37e17	এক অদ্ভূত প্রাণী
bdadc5dcc7	2fc12	ঈদ-উপযোগী
bdadf3b788	91230	এই বিয়েতে সে রাজি হইসে
bdae006d23	54cdd	পাশাপাশি ওইদিন সকাল থেকে
bdaecc151c	870e3	প্রশ্ন তোলেন
bdaf121d4a	8cf95	নিহতরা হলেন মানিক
bdaf57b604	717bb	পবিত্র হইয়া যাইতে পারতাম
bdaf5e8640	d8c80	সাথে সঙ্গতিপূর্ণ
bdaf7aa750	4fc91	থাম দরজা
bdb0264f07	b8bba	তারা বিক্রি করেন
bdb0273dbb	cfc65	আবার অনেক সময়
bdb0634183	77f82	একটু অপেক্ষা করুন
bdb075fd48	bd576	মিসেস জিয়ার বাসার সামনে
bdb0c09836	0895a	ইহার প্রধান কারণ
bdb0cc7be6	0d9f1	তারেক রহমান পরীক্ষায় পাশ না করে
bdb0faf241	a06a1	এখন বিভিন্ন সূত্র
bdb1200016	4bd2c	৯১৩০০০ কিমি দীর্ঘ
bdb142b65a	cc18a	৮৭ বছর
bdb1d3444b	7df87	চাঁদের নিজস্ব আলো আছে
bdb200c476	f280a	নেপালে হিমালয় পর্বতারোহনের সবচেয়ে ভাল সময় বলে মে মাসকে মনে করা হয়।
bdb206c9f6	a916a	শ্রদ্ধার সঙ্গে
bdb27ad5a8	29bab	তবে উভয় নেতাই
bdb293bb0f	0f047	মুক্তিযুদ্ধকে এড়িয়ে
bdb2a9f6d5	43fc0	ছেলেটি আবোল তাবোল
bdb2eae1d1	adf01	পা দিয়ে চেপে দাঁড়িয়ে আছিস
bdb3256171	ff1c3	এবার কুসুম দিয়ে
bdb32960d1	ced74	সিরিয়াসহ বিভিন্ন জায়গায়
bdb32ee6a7	d5f7b	তার বাবা নির্দোষ
bdb3a4a3bf	8cf95	তিনি পুলিশের কাছে
bdb3bcde85	39293	সে লীলা-খেলার
bdb3c5ca7d	4fd66	পরীক্ষার সময়
bdb41bfd89	f1ff2	কিন্তু হাসেন
bdb5b6c849	239f7	আমি পড়ি না তো
bdb66a7c8d	f0f95	আপনার নিষ্ঠা ও সততা শতভাগ
bdb68747bf	5639c	সুনামগঞ্জ সরকারি কলেজ
bdb6b28223	194f5	আমি জ্যাক দ্য রিপারের
bdb6bf566d	086dd	কুটকুটানি
bdb6c8c28a	7b60a	মন্ত্রীপর্যায়ের সর্বশেষ বৈঠক হয়েছিল
bdb6d58cfb	dec2d	নিজের ভারে
bdb7671bd2	95907	তিনি সেই গায়ত্রীর দেবতা
bdb8e4cf77	eb179	দেখার উপায় নেই কারও
bdb9c1462f	3bb15	অকল্যান্ড দ্বীপ
bdba31f757	f6e55	চন্দন সরকারের গাড়ি পাওয়া যায়
bdbad3ba24	3d17c	আপনাকে নিয়ে
bdbb8b460b	b8bba	কিন্তু সেই প্রকল্প খুব বেশি দূর এগুতে পারেনি।
bdbbd00b1e	c463d	আমার জীবনের
bdbbee7d91	6fb36	প্রস্তুতি নিচ্ছেন তিনি
bdbe0b035e	eaa7a	সব জিনিস দেখে
bdbe9c812b	a8710	কম্পিউটার সমস্যা
bdbf8873e0	315e9	কোন দায়িত্বের পরিচয় দেননি
bdbf8c12aa	91223	কাজের মেয়ে
bdbf91424b	2fc12	কর্মসূচি শুরু হবে
bdbfac3be4	05901	জিতেছে
bdbfb3fb07	aab0f	সাফায়েত ফারাইজির বয়স ২৮
bdbfbb6477	77f82	ছড়িয়ে পড়তেই
bdbfd3cea1	66dcd	তিনি মাছ-কাছিম-পাখি
bdc01072a3	b9122	ও মুক্তিযোদ্ধাদের পরিবারের
bdc03c952d	8632b	এই ভক্তি ও প্রেমের
bdc05f2521	09b32	ইন্দোনেশিয়া পোশাক নির্মাতাদের
bdc0b56113	5d80e	২০১৩ সালের
bdc115d8fb	355c1	প্রভাব রয়েছে
bdc12df21a	442b7	নাহ, কোনো লাঠি
bdc167014a	2909b	একজন দৌড়বীর যিনি
bdc1f9be5c	31f2a	নতুন তথ্য প্রমাণ পেয়েছেন
bdc26ec9ae	274ee	উত্তরা অ্যাপার্টমেন্ট প্রজেক্টের ফটক ধরে
bdc28ece7d	590d0	নাস্তিক
bdc2cb421f	0b7ca	সুকান্ত চিরকালই কবিকিশোর থাকবেন
bdc34a3fe1	7b60a	ওই বছরই ম্যান্ডেলা যোগ দেন
bdc390bc4c	e9759	সংঘর্ষ
bdc3dca25f	f89d7	অস্ট্রেলিয়া ও আফগানিস্তানের সংগ্রহ
bdc3e39767	e754e	নতুন মাত্রা পায়
bdc3f7713f	fcefa	তৈরি করে নিয়েছেন উত্তরায়
bdc410cd5b	2695f	স্বাধীন বাংলা বেতার কেন্দ্রে
bdc43e687c	57d54	ভোটার সংখ্যা ছিল
bdc4ce59bc	1e7c6	স্ট্যামফোর্ড ব্রিজে
bdc50a4235	38d3a	অসামান্য রাজনীতিবিদ হিসেবে
bdc5389007	6ab59	ব্যবসা থেকে
bdc5e1f868	c7705	প্রতি পাত্রী দেখানো বাবদ
bdc5fbbb3a	0c39f	তাঁকে ঐ নামেই ডাকত
bdc624fb8f	f2b7d	১৯৮১ ও ১৯৮২ সালে বাখরাবাদে আরো ৪টি এবং ১৯৮৯- ৯০ সালে আরো ৩টি কূপ খনন করা হয়।
bdc66439ef	35ef3	লক্ষ লক্ষ মা-বোনের
bdc6ae3106	11bd2	আবার চাকরির জন্য
bdc6b1ab09	91b16	যে ছন্দে চরণদ্বয়ের
bdc6b1df0b	29089	নির্বাচন প্রতিহত করার
bdc6b561a3	e9589	বুকে জোরালো আঘাতের ফলে
bdc71fa470	2d78f	ভেক্টর এবং রাস্টার গ্রাফিক্স
bdc7857f6f	5cb47	ভূমিকা পালন করে
bdc7aa6d5f	d1a48	অতি বৃষ্টিপাত
bdc7bc986d	932bb	নির্বাচনের পরের দিন
bdc7deb26f	07660	বাড়িটি বিশাল
bdc8212aca	6e6fa	যারা এসেছিলেন
bdc828c87a	6ee5f	উমানাথ সিংহ রচনা করলেন
bdc832435e	6b437	তার জন্মলাভের কারণে
bdc8a8a468	12702	আজ তাদের
bdc9094838	404ee	কিন্তু এর পরের ইতিহাস
bdc93f69c4	ea5be	শ্যামা দৌড়ে এলো
bdc96cfb2b	9c8dd	গ্রেফতারি পরোয়ানা জারি করেন
bdc990d396	6fb36	সেগুলো সুরক্ষিত থাকে
bdc9f7e701	ef915	পশ্চিম তার অনেক বিষয়
bdca7c68b5	43fc0	খুব বেশি
bdcae07faa	4a918	সিরিয়া আংশিকভাবে এই প্রস্তাবে সায় দিয়েছে।
bdcb937d21	c463d	যা করার করব
bdcbb81f52	d5213	উঁচা দাঁতের মেয়েদের দিকে আসলে
bdcbdbccf9	a916a	খেতে হবে সব
bdcbec1c90	7e1d5	বিয়ে করতে হবে
bdcbff14af	15a75	মিছিল থেকে
bdcc82b30e	7aed9	সে কথা ললিতা বলিয়াছিল
bdcc971563	28dfc	নাগরিকদের একটি সংগঠন
bdcc979e64	43b04	কঠোরভাবে দমনের
bdcc9a4b92	4c555	এমন দাবি জানান
bdccb1f0d1	8143b	চট্টগ্রাম সিটি সেন্টার
bdcce3559b	61820	লেসবিয়ান
bdcce9791e	79b06	নাগরিকদের নির্যাতনের অভিযোগ
bdccffc626	7e1d5	শেখ রাসেল নামে
bdcddf251b	355c1	অতীন্দ্রিয় ক্ষমতার অধিকারী
bdcefe1265	321b6	আইনশৃঙ্খলা রক্ষাকারী বাহিনীর সদস্য
bdcf6b1d3a	e03ce	তোমাকে আটকাতে পারে না
bdcfc3a833	09f0d	মাদ্রিদে ফুটবল বিশ্লেষক
bdcfce1f35	66c6b	অভিনয় করব না
bdcff85790	7df87	দূর থেকে কথাবার্তা বলতে পারে
bdd011a446	4e900	ওপরের দিকে একটি আলোকচিত্র
bdd04e3b96	d82d9	তলোয়ার
bdd0973d3c	83c53	বিক্ষোভকারীদের দখলে থাকা
bdd0a2ad18	7e191	যাঁরা বেশি পরিশ্রম করেন
bdd0a8243f	0b7ca	অভিযানকালে পুলিশ
bdd0aec692	66b3c	শাহজাহান কবির তালুকদার
bdd116f3d5	121bd	বাড়তি অস্ত্রের জন্য
bdd12ad228	c7705	সাড়ে তিন শতাংশ পর্যন্ত
bdd1cf316d	e68af	সকাল ৭টা অবধি
bdd1f9e0cb	33814	অত্যন্ত পরিকল্পিতভাবে হত্যার
bdd21599c0	f0f95	প্রশাসনের নিয়ন্ত্রণে আনা হয়েছে
bdd22c4a3d	860f4	সাহিত্যের দুই মুখ্য উপাদান
bdd2b2766d	f143a	বাসুদেব
bdd2c94a44	5354e	স্বরাষ্ট্রমন্ত্রণালয়ের অনুমতি নিতে হত
bdd3653c6c	e55de	দ্বিতীয় সেমিফাইনালে স্পেনেরই আরেকটি দল রিয়েল মাদ্রিদ মুখোমুখি হচ্ছে বর্তমান চ্যাম্পিয়ন জার্মানির বায়ার্ন মিউনিখের।
bdd3917f22	86b1b	একটা টিকটিকি ডেকে ওঠে
bdd3b7a107	a06a1	কোন দুর্ঘটনা হয়নি
bdd3bcbc1a	08458	তাজরিনের ব্যাবস্থাপনা পরিচালক ছিলেন
bdd3d42213	32998	ও মেহনতি মানুষের
bdd43e4582	a46e2	কেটে যাবার পর
bdd5235de4	07660	ধরবার উদ্দেশ্যে
bdd52fd69d	77f82	ছাপা হতো
bdd585b6a8	bf530	২০ জন নিখোঁজ ব্যক্তির
bdd6c1a24b	25117	তাদের পুনর্বাসনের আশ্বাস দিয়েছেন
bdd7688d5e	18460	একজন বেশি মূল্যবান
bdd79fe13c	39293	তাদের জন্য রান্না করতে
bdd7ac0283	09f0d	যেকোনো কাজ
bdd84d4112	2d98b	সেই দিকটার বিষয়ে
bdd8a2088d	ce180	আবিস্কার করেন
bdd8f3172a	ef915	টুর্নামেন্টের প্রথম সেমিফাইনালে
bdd924228c	809cd	সড়কের পাশে
bdd9407d21	351dd	স্বীকার করেছেন
bdd948f5cb	95907	গ্রহণ করতে পারবে
bdd96e3a82	92bb2	৩০ হাজার কোটি টাকারও
bdd9fa4f3e	80539	কিন্তু পানির গভীরেও
bddb1921d2	315e9	আরও একাধিকবার
bddb619667	430b2	আজ ভোর থেকেই
bddbaade3d	7e1d5	এমন খবরে সন্দেহ প্রকাশ করেছেন
bddbc1b078	e50f1	বাংলাদেশের বহুল আলোচিত
bddbd1af81	39293	গ্রহণের জন্য
bddc42f7b2	16cfb	বিভিন্ন ব্যাংকে
bddc7c3b32	3ec4d	তিনি ভারতীয় ক্রিকেটার
bddc7cc3e5	92bb2	পেশাদার পর্যায়ে
bddc7d0bea	7b60a	জেল থেকে ছাড়া পেয়ে
bddd7296b1	e8dde	আমার বোন তিশা
bdddaee807	7b103	আমি অনেক খেটেছি
bdddc92325	23291	তার ছেলে শামস
bdddd7102e	5e80b	বড় ধরনের ফাটল
bddded394d	355c1	প্রতিবেদন দিতে বলা হয়েছে
bdde3014ff	d1b12	আশ্রয় নেয় না
bdde4fd8d1	d3e06	বিএনপির ভাইস চেয়ারম্যান
bddee02f20	d2355	বোতল সবুজ
bddef39140	c1e30	তাদের মনোজগতের মধ্যে
bddef9e4cb	32b3e	অন্ততঃ শঙ্করের
bddf4b6081	c0d65	দেশ ছেড়ে যাচ্ছেন
bde063efdb	fb4cb	প্রতিটা বিশ্ববিদ্যালয় তাদের
bde0b2e155	ce775	রবীন্দ্রলাল রায়ের কাছে
bde0dae1ab	75626	প্রতিষ্ঠার সময়ও
bde12e0acd	d8c80	আবারও যুক্তিতর্কের বিষয় এসেছে
bde13a5582	c5479	এবং সাংস্কৃতিক দিক দিয়ে
bde1643bd0	32c77	বিভিন্ন দেশের ক্রীড়াবিদরা
bde1a7d9a9	7d133	কিছু একটা ধরা পড়ে
bde1b157f5	72649	এই রিপোর্টে
bde1eb89ad	282d3	প্রতিহত করবে
bde26253d8	b9a81	মামলার প্রেক্ষিতে রোববার রাতে
bde277dcd7	903fa	৫ তলার উপরের ভবনে থাকা
bde2c061e2	13b70	জানিয়েছে কয়েকজন শিক্ষার্থী
bde2d73f02	7027a	বিদেশ থেকে বিভিন্ন কারনে
bde3b2c8e5	ff0fe	সে-সব বিষয়ে
bde3d4165d	11bd2	গাছাপালা আর্দ্র হয়
bde42304cb	b5fdc	থাই রয়েল নেভির একটি হেলিকপ্টার
bde49b6fe8	ad98d	অলংকার
bde4f1fc05	a46e2	তাহলে বিদ্যুৎ নেবার ক্ষেত্রেও
bde515be69	a8710	আপিল আবেদন করেছেন
bde5ef0d2d	08458	ধীরে ধীরে এগিয়ে যাচ্ছে
bde5faaeff	1e7c7	লাতিন কুয়াদ্রিফুর্কুয়া
bde6d0e400	e68af	তিনি মহানায়িকা
bde6d94035	79b06	কিছুই মনে হইল না
bde73ba3f6	7a227	এখন ভার্চুয়াল দুনিয়াতেও
bde7a5d4d6	e9759	বাস না পেয়ে
bde7a84b91	194f5	এই স্যাটেলাইট দিয়ে
bde7f50bd8	ca831	অবশ্য সেটা
bde832f85f	6aac8	বাংলা ভাষার ব্যাকরণ রচনায়
bde8fd393d	1e7c7	সে বাড়ির ভেতরে
bde9692bfd	717bb	লেখাটা শেষ করি
bde97eebfe	6973e	প্রাচীনতম প্রাপ্ত
bde9a1d4fe	47e8d	হল ৪৯৮৫ জন
bdea4950e6	5cb47	রিপন মাঝি গুলিবিদ্ধ হয়
bdea75cdb8	e3d8b	রাজকন্যা বললেন
bdeabe1ec8	3bb15	মা, মুকুলের মা
bdeae3500b	75936	র‍্যাবের সাথে থাকা
bdeb2d8a6e	ad050	আমাদের তারা কোন
bdeb72ff45	6c6bf	প্রমাণ করে
bdec48d85e	06e62	রফিকুল ইসলাম মিয়া বলেন
bdecb5e297	e03fc	আমারও কিছু করার আছে
bdecc2095e	49d63	রেঞ্চটা চোখে পড়ল
bded2eee33	a1d4a	এক কিশোর বালকের
bded3b376f	717bb	গজলের মেজাজে
bded9400d2	c173f	ব্যারিকেড দিয়ে রাখেন
bdeda8fa0d	b8ed8	অভিলম্ব বলে
bdedb16011	8c07c	গ্রীকদের বিতাড়িত করেন
bdee0fbe2d	4e900	মহারথগণের প্রতি ধাবমান হইলে
bdee226bc8	4f450	দ্বিতীয় রাজা
bdee5c53d3	6e6fa	রূপান্তর করা হয়
bdef05a07b	0d9f1	সেনাবাহিনীর বিরুদ্ধে আন্দোলনে
bdef2a7787	17ca1	জীবন শুরু করেছেন তিনি
bdef3351bd	d9817	এইসি ফোন
bdf0dd9148	85430	হামলাকারীদের সনাক্ত
bdf0e6f05e	80e98	ঘাঁটি রয়েছে বলে
bdf10c33c7	c7705	মাননীয় স্বরাষ্ট্রমন্ত্রী
bdf13f77b4	616ec	নিপীড়নের শিকার হয়েছেন
bdf175160b	ee994	সংবাদাতারা জানাচ্ছেন
bdf1cc62b6	8406e	কত আসন পাবে
bdf20de076	717bb	শতাধিক লোক এসে
bdf345f5ea	0744c	অসহায় শিশুদের জন্য
bdf3469eba	80e98	নিজেকে খানিক দূরে রেখে বলি
bdf36097ea	ff970	নির্দেশ দেন মুখ্যমন্ত্রী
bdf36e57a0	693cb	এই দুজন লোকের মধ্যে
bdf39f9659	9d398	আক্রমন করে
bdf459c5d1	15a75	যদিও ১৯১৪ তে
bdf4e3ae80	880ae	মেয়ের পিতাকে
bdf4f37881	11915	এ সংক্রান্ত খসড়া বিলে
bdf530f77f	fdcba	ওই আকর্ষণ
bdf5a86bde	17dcd	আমাকে
bdf5c41ee9	a8710	এখনো খোলা আছে
bdf5d960ef	91223	১৯.৪২% এবং ৯৯.১৩%
bdf5f96585	aab0f	ফলে এক সময়
bdf64dde73	f280a	একটি অনুষ্ঠানে
bdf68d3b06	25696	অ্যালিসন ক্যারল
bdf694481a	61820	নাকি বাঙালি রান্না
bdf6c321f6	2de86	মারা গেছে
bdf72ebcd3	cc18a	কিশোর ভয়ে ভয়ে
bdf75bd49d	52f27	বাবা-মায়ের অনুমতি নিয়েই
bdf773868f	2d78f	মৌসুমে পর্যাপ্ত উৎপাদন হলেও
bdf7758c6a	75626	ইউরোপিয়ান পার্লামেন্টে
bdf7bb06dd	5dec6	তেমনি সমালোচনা
bdf7dd4eea	b08d0	ব্যবহার নীতিমালায়
bdf7e4c59f	dfefa	ক্ষোভ জানিয়ে বলেন
bdf8a4788f	7d133	অব্যাহত থাকায়
bdf95eb3d2	ad2a0	আমার কিছু হতো না
bdfa4e3ccb	cd3ac	হ্যাটট্রিক শিরোপা
bdfa6816c3	cc9fd	সমর্থন দেওয়া হলেও
bdfa71064a	195f7	ইউক্রেনের পূর্বাঞ্চলীয়
bdfaf6672c	6e6fa	তোমারা যাদের সমর্থন করছো
bdfb690255	68ab7	থাকবে পুরনো পূর্ব পাকিস্তান
bdfbbc63ce	c4973	পরিবারে জন্মগ্রহণ করেন
bdfc7297ef	dae88	অনুদার পরিবেশ
bdfc7462f7	43fc0	সায়া-ব্লাউজ পরতেন না
bdfc7ffd60	e7230	পিছু হটার সময়ে
bdfcd4705d	1279e	আসলে ঝুঁকি কতটা গুরুতর
bdfcd53d12	9813c	আপাতত করছি না
bdfced71af	68549	ইয়াবা খেলে মনোত্তেজনা আসে
bdfd2393d3	b8bf0	দুধ লাগে
bdfd44c783	21e54	ঘুরে বেড়ালে
bdfd450f08	9e923	সমঝোতা না হয়
bdfd8f20cd	d0c70	কেন্দ্রটি প্রতিষ্ঠার
bdfecd0c85	ac904	অতিরিক্ত পুলিশ সুপার
bdfeed8657	0633a	ইয়াসিন ভাটকালকে
bdff127909	af81d	মূল কারণ
bdff2fc944	37e17	তিনি বেশি আনন্দ পেতেন
