300048399d	f7a7f	ঘোড়া
30861dc2fe	1b359	পিঙ্ক এলিফ্যাণ্ট’ নামটা নাকি
30864e1599	60f77	তবে শান্তিপূর্ণ উদ্দেশ্যে পরমানু কর্মসূচি চলবে।
308655e1ae	0a7a0	প্রথম রাত অতিবাহিত করেছে
30868cb753	e3d8b	জনসংখ্যা বৃদ্ধির হার ছিল
30868e3ef1	6e6fa	যুবক স্বেচ্ছায়
3086ef987f	ef915	নতুন দিল্লির
30872fd061	7b132	অনেকখানি কমে গেল
308770bc74	a4750	যার সঙ্গে
3087a00819	c4973	ঢলে পড়েন
308805909a	43b04	হাতে নেয় মিরাম্যাক্স
3088939403	c749e	কবুতরের টাইফয়েড
3088c21f6b	8a46d	জানাচ্ছেন তপন সেন
3088e29c08	29bab	সবে দুই মাস
3089a0e15c	4bd2c	অজ্ঞান করার কাজে ব্যবহৃত
3089e0925e	194f5	আবেদন করেন
308a00a033	ec91c	যাবতীয় প্রতিবন্ধক অন্তর্হিত
308a3c11cd	25696	প্রতিষ্ঠানটি চালু করেন
308aea9113	d2d71	মৌলানা ইসহাক হয়েছিলেন
308aeb69a9	08458	তারা জালিয়াতি চালাতেন
308b0823e1	2909b	১৯৪১ সালে ২৩ বছর ম্যান্ডেলা ঘটা করে আয়োজন করা বিয়ের আসর থেকে পালিয়ে চলে যান জোহান্সবার্গে।
308b0c6d62	323f1	অর্ধেন্দুকুমার গঙ্গোপাধ্যায়
308b4d06e9	430b2	কিন্তু শিক্ষার্থীরা কেন
308b5c9fa6	4f2ae	রাজনৈতিক বিবেচনায় নয়
308bcd0aec	d9081	কারখানায় নিরাপত্তাজনিত ত্রুটির কারণে
308be6d0c3	64092	১৫ সাক্ষীর জবানবন্দি
308beb87f7	75936	বাংলা একাডেমি বিস্তারিত কর্মসূচি গ্রহণ করে
308c0db85c	9642e	আত্মহত্যা কর
308c2450a1	a4750	বিশ্বব্যাংক, এডিবি, জাইকা, আইডিবি
308c907d6e	d9ba9	এই খবর জানতে পেয়ে
308cc6587a	29d44	সামাজিক যোগাযোগের ওয়েবসাইট ফেসবুকে
308d4a5216	cf82a	ভাবতে শুরু করে দিয়েছিলাম
308db1e703	e6d83	উন্নয়নের ধারা
308dba96c9	92f59	তিনি ভারতীয় বাঙালি
308e22ed21	2ac82	ওষধি গাছ
308e4aba25	cfc65	ওদের একজন দলপতিও থাকে
308e8986f1	18a52	ওদের জন্য একটা স্থাপনাশিল্পের
308eaf9646	7f2ef	ডিজনির সর্বশেষ সিনেমা
308eb9c54f	9282d	হাইকোর্টের অবকাশ-কালীন বেঞ্চ
308ecb02ef	82926	মালিকপক্ষ তাদের নানা কৌশলে
308f9bc910	d2d71	রাজস্ব আদায়ের জন্য
308fc6c2f9	ea8fa	এভাবে জিম্মি করার অপরাধে
309001b4cb	6d129	হেরে গেছেন আনা ইভানোভিচ
3090598233	bcaa8	স্কয়ার হাসপাতালের চিকিৎসক
30906cf482	9d398	সিবাল বলেন
309076dd67	a8710	নির্বাসিত জীবন
309120ebd0	64092	গোল পাননি নেইমার
3091a5dc82	16a17	নতুন প্রজন্ম মনে করবে
3091d4437e	58998	মিছিল থেকে দেয়া হয়
3091fc32e6	9c8dd	পুষ্টিবিজ্ঞানীরা উদ্বিগ্ন
30924277f8	6d129	১০টাকা পর্যন্ত বেশি রাখছেন
3092928cee	f9dfb	মনে করিয়ে দেয়
309294851d	287bd	আমি ভাবি
3092a6d9a0	16a17	একদিনে শতকরা হিসেবে
30930ba1c9	68549	কিভাবে তোমার নতুন কবিতা পাবো
30935c4156	c958a	এ বিষয়ে
309361b6b6	509f6	এই পানীয়তে
309375341d	fcc89	ব্রিটিশ লেবার পার্টির নেতা এড মিলিব্যান্ড বলেছেন টনি বেন ছিলেন "আমাদের সময়ের একজন উজ্জ্বল ব্যক্তিত্ব"।
3093dcbe17	92f59	আড়ালে রেখেছেন নিজেকে
3093fb7877	f280a	তাঁর বিয়ের ঘর আসে বেশি
30944cb2e8	13b70	মো. হেলাল আহমেদ
3095cf9e66	6b437	আমরা তিনজন
3095d5e977	dafb6	২০১৪ সালের মধ্যে
309601871c	d2294	মানুষের কল্যাণে
309615d13e	11bd2	কাঁটাবন, নীলক্ষেত হয়ে
3096306262	ff1eb	এরকম নানা শব্দ
30964e4567	29089	জনসংখ্যা হল ৯৯৬২ জন
309659ba60	4fbd1	তার প্রমাণ পেয়েছেন বিজ্ঞানীরা
3096cc4f25	43fc0	আদিলুর রহমান খান বলছেন
3096fff898	3fae0	দক্ষিণ-পশ্চিম ইংল্যান্ডের যে বাড়িতে
30973d6d25	17ca1	ইঞ্জিনিয়ারিং পড়তাম
30985bf0e0	23b22	সকালে আমরা কর্মবিরতী পালন করেছি
3098fbdb1c	f29bf	রিজার্ভ ১৯ বিলিয়ন ডলার অতিক্রম করে।
3099108299	ca831	সম্প্রতি নব আঙ্গিকে প্রকাশিত
3099157d95	bcaa8	শুক্রবার সন্ধ্যা ছ’টা থেকে
3099604bbe	53396	বর্তমানে প্রতি বছর
309a12359a	05901	তার অনুলিপি
309a1dae51	d8c80	সুখি হওয়ার জন্যই
309a47d3bc	29089	ভেন্টিলেশন খুলে দেওয়া হয়েছে
309b19ff6a	778c0	১ ছক্কায় ৩৬ রান করে
309b231820	1a4a9	আজ যাদের জন্মদিন
309b328022	e7230	ধৃতদের এখনও জেরা চলছে
309b3be289	16e96	কি ৩/৪ হাজার শ্রমিকের
309b9eca7f	31f2a	বায়ু পরাগী ফুলের
309ba34c99	e31e7	ছোটগল্প এমনকি কবিতা নিয়েও
309bc8ca53	f658d	অভিযান চালানো হয়েছে
309c49cba0	47e8d	শুভ কামনাও করেছেন
309c62b29c	351dd	এটি দিনাজপুরে অবস্থিত
309c90370c	ad050	প্রায় দুই কোটি লোক
309d18e53b	256f5	কনা, এলিটা, পান্থ কানাই
309d271821	e6e48	দেখবার চেষ্টা করা যাক
309d3afdc4	ee886	সাহিত্যিক নিদর্শনের অংশ
309e58f52b	c958a	মোহাম্মদ সাদিক
309e5abe8b	fda1a	শ্রীপুর উপজেলা স্বাস্থ্য কমপ্লেক্স
309e7b7dce	b5fdc	নির্বাচন হতে যাচ্ছে
309ebc744e	ce775	বিজ্ঞাপনে নিয়মিত হতে পারেননি
309f030020	bfac7	শুরু হয়ে গেছে
309f06c24c	5a61c	সেই রাতে না হোক
309f1a25cd	7898e	জ্যেষ্ঠ পুত্রের নাম হরলাল
309f425b2a	da6f0	পুস্তকখানি পাঠ করিয়া
309f7a7ec5	91ac1	এদিকে বিদ্যুৎ বিভাগকে
309f9b3397	e6203	সরকার. শাসন, ধর্ম ও বর্ণের
309fcc116d	ee4ad	এর সংযোগ রয়েছে
30a0289237	b8bba	প্রক্রিয়া দুই ভাগে
30a0393160	4ea73	এবং ভারতে
30a07478bc	536d9	কেউই দিতে পারেননি
30a146f327	2bc73	আগের গ্যাস টারবাইনগুলোর
30a1db5aac	767ff	তারপর একের পর এক
30a2142774	13b6a	ভারতের লোকসভার নির্বাচন
30a23eff6e	86b1b	সাধারণ মানুষের কাছে
30a25a13f1	2de86	নিয়ন্ত্রণ করে থাকে
30a2d9257a	06527	চিত্তরঞ্জন দাশ
30a334cbf9	404ee	আমরা স্মারকলিপি দিয়েছি
30a3383a55	77f82	বাংলা পিকচার
30a33a9816	256f5	ওর চিৎকার-চেঁচামেচিতে
30a34d0b80	22096	সেখানে যে ব্যবস্থাগুলো
30a3798bb4	8b859	পাদ্রী আরও বলেন
30a3f417af	e03fc	বিষয়টি সম্পর্কে
30a436b4cb	22096	ঘরের মাঠে
30a474a73f	32b3e	একিউজডকে মেন্টালি ডিস্টার্ব করার জন্য
30a53466c4	bdd05	মানুষকে আলোকিত করার গান
30a5535432	d2faf	বুলবুল ললিতকলা একাডেমী, শিল্পকলা একাডেমী ও নজরুল একাডেমীতে শিক্ষকতা করেছেন দীর্ঘদিন।
30a574d925	1b359	সরকার দায়িত্ব পালনে
30a629269b	778c0	পাতার এই শোষণ ক্ষমতাকে বলে
30a64aaa2b	68549	ও বিশ্বাস করে না
30a75c368e	bcaa8	একদিন করবে
30a778c30d	ce180	ব্যবস্থা গ্রহণ করবে
30a7e73afb	13b6a	একটি মাত্র জাতিতে
30a7ebf439	11bd2	অন্য কোথাও না গেলেও
30a80e0b42	43fc0	শাস্তি পাওয়ার মতো
30a882ef16	9d7bf	ঘুম পাড়িয়ে দিতে
30a89cd5fa	1279e	অনুষ্ঠিতব্য এ নির্বাচনে
30a9b70fd6	7e1d5	জানাজানি হলে
30a9cde248	e3f89	সেতী অঞ্চলের
30aa02acbc	07660	এবাদত নামা
30aa1d6073	54e68	ফোল্ডারের তথ্যগুলো
30aac71479	c11b1	হিন্দুস্তান
30aadc3b50	9e923	কংগ্রেসের প্রশ্ন
30ab2151b6	7df87	সমর সেনকে সামনে রেখে
30ab329dfd	c6848	একটি চলচ্চিত্র
30ab5b063b	2bd99	বাংলাদেশের ভাষা
30ab703751	351dd	নীরবে শেষকৃত্য সম্পন্ন হবার
30abcc1636	73629	মাঠের কাছাকাছি পেঁৗছতেই
30abe88a08	7b132	বাতিল বলে ঘোষণা করেন
30abea8a1c	967fd	১৯০৮ খ্রীস্টাব্দে
30ad20f83f	9065c	ফেরান বাঁহাতি স্পিনার
30ad3402ab	7e1d5	তৃতীয়বারের মতো
30ad39eb22	323f1	বলা যাবে না
30ad86261c	ad98d	গরুর মাংস বলে চালানোর
30add4c944	14816	বিস্ফোরণ ঘটে
30ae7d9393	9813c	মানবতাবিরোধী অপরাধের অভিযোগের
30ae9c50f6	bdfc1	কঠিন ম্যাচ ছিল
30af301ded	5a61c	গাবতলীতে সকালে একটি বাসে
30b0fac8f7	809cd	দুর্ঘটনার বলি হয়েছেন যারা
30b0fe4bc0	717bb	বর্তমানে শিক্ষার্থীদের মধ্যে
30b16ef5dd	11bd2	নারী পুরুষের
30b1949bd6	b7be9	মন্ত্রীর প্রশংসা
30b1ab34b9	ac904	কনের পোশাকের নকশা করেছেন
30b1cc3560	16cfb	স্থিতিশীল আছেন
30b1d67ab5	5e80b	বেণীবাবু ফিরিয়া দেখেন
30b259e962	08458	মিজোরাম রাজ্যের
30b26b0032	95f83	তাহাদিগের মধ্যে
30b2bbea76	fb4cb	বাঘাকে বললে, লক্ষ্মী, দাদা
30b2f75075	b8ed8	যে দম্পতি তার
30b2ff384c	37d7e	ও জনগণের সংগ্রামী চেতনা
30b32546b6	0d4cb	দ্রুততম সময়ের মধ্যেই
30b34ad503	c8f7f	ম্যাগাজিন
30b3a88827	93d3b	সবচেয়ে প্রামাণ্য
30b3e0db65	ec91c	বিজ্ঞানী স্টিফেন হকিং
30b4138fb6	16877	পরিস্থিতির জন্য
30b42339f0	0e637	মানুষ হত্যা করছে
30b4d8d97c	4486f	ও বাড়িতে দাঁড়িয়ে
30b4e7124b	ff1c3	এক নিষেধাজ্ঞা আরোপ করেছে
30b56cb0f2	a1201	উপকারী হতে পারে
30b5a27d85	6e8cb	দ্বিতীয় সিনেমা
30b5aca6ee	ec91c	রাতে মামলা করেন
30b665d18b	16cfb	ইতিবাচক মানসিকতা নিয়েই
30b6704c1e	0f047	যারা রোপন করেছে
30b68a08c0	287bd	কারখানায় নিরাপত্তা না থাকলে বন্ধ করে দেয়াই উত্তম।
30b7533e21	c8f7f	ব্যক্ত করেছে শিক্ষামন্ত্রণালয়
30b854c2df	66b3c	এক নার্সের জবানিতে শুনুন
30b886f91f	ee4ad	অরণি বিংশ শতাব্দীর
30b88bea33	d9b11	আমি প্রতি সপ্তাহে
30b8ffdb0a	38d3a	তুলনায় নিতান্তই নগণ্য
30b90cb3dd	d1a48	এ হত্যা হোসেন করেছে
30b93b0ee9	a1d4a	একটি জলৌকা লইয়া
30b93c7140	11de3	দীর্ঘসময় ঝুলে থাকা
30bb1cb94c	d9081	বদিউজ্জামান জানান
30bb621ca5	ad2a0	হাতের তালুর আঘাত
30bba7e3b4	39dd0	তাদের নির্দোষ উল্লেখ করে
30bbbae6ac	932bb	দুনিয়াতে আর কজন আছে
30bc2a78cc	66c6b	তুমি না পার
30bc9f70d6	03284	শেষ হলে
30bcca3f0c	4164f	শারদীয় পৌর্ণমাসী
30bcef59e2	9351a	তিনি অনেকক্ষণ ধরে
30bcf1b3c3	323f1	অন্যতম পরিচালক হলেন
30bd6c501f	509f6	তাদের মধ্যে রুরু ছিল
30bdae57cb	33814	পড়ন্ত টিন এজার
30bde775f7	ec91c	এই রাইতেবেলা
30be330c77	69449	টিনের ঘরখানার দিকে
30be606d84	6e8cb	আমরা সব ধরনের শ্যাম্পু
30bec1e044	43b04	আর হয় না
30bf46761d	c3cb3	বের হয়ে গিয়ে
30bfe48861	9d46f	সযত্নে পুষ্পশয্যা তৈরী করিবেন
30c00c3ffd	73629	পরিমাপ অনুসরণ
30c03f0a36	eaa7a	আজ আবহাওয়া ভালো থাকায়
30c075d5a9	2909b	আপনারা দিল
30c076e463	3faff	অতুল দিনের বেলায়
30c096c7b1	6c6bf	শুনানি আগামী ১৮ মার্চ
30c0a168a3	53396	আমি ডেপুটি ম্যাজিস্ট্রেট হিসেবে
30c0a4f1a6	03284	আপনার অনুপস্থিতিতে ব্যবসায়ে
30c0d3d4b0	31f09	একটি রেকর্ডিং স্টুডিও খুলছেন
30c1100e70	8406e	ঢাকা শহরের পরিবহন ব্যবস্থার
30c14b8f4f	e3d8b	তাতে পরিবারের সবাই
30c2080b1a	6e6fa	তখন সুভার স্বামী
30c2092ea7	06736	যার ফলে সেখানে
30c258bac0	e7230	আমরা বিচার করে
30c2f16606	31f2a	পত্রিকাটির পক্ষ থেকে
30c3088a8f	29f8c	অত্যন্ত ঝুঁকিপূর্ণ ছিল
30c3ba8ae1	43b04	এ কথা বললে
30c4cb8a04	06527	তখন সংগঠন সিদ্ধান্ত নেবে
30c4f54724	fd880	বের করে দিয়েছিলো
30c522fac3	8edea	নির্দেশনা দেয় কেন্দ্রীয় ব্যাংক
30c537d96b	ba2f6	ফিরে যেতে হয় বইটির কাছে
30c557868b	bdfc1	কুরুক্ষেত্রের যুদ্ধ কবে হইয়াছিল
30c566da68	2695f	চুপচাপ স্বভাবের ছাত্রী
30c5e34f8c	86b1b	তার মনোনয়নপত্র তুলেছেন
30c62c020f	4fbd1	হারানোর সতেরো বছর
30c6d03e64	72649	ক্যাপ্সিকাম টুকরা করে কেটে
30c71c9d0e	a1201	কথিত ইসলামী জঙ্গিবাদকে
30c7f93cff	6d129	সময়মত সরবরাহ করার
30c845202d	3bea8	অধিকার লাভের চেষ্টায়
30c8b2a6d4	730c3	এ ধরনের শিশুরা
30c8b93647	c1e30	৩২ বার মুখোমুখি হয়েছে
30c8c6ce31	64092	তারা টেলিভিশনের সামনে
30c91e5700	ee852	আজও আমাদের সমসাময়িক
30c95a6629	a699c	রাজধানীর চানখাঁরপুল
30c97e196c	8b859	অস্থায়ী নিরাপত্তা চৌকি
30c9ce9ff3	404ee	মঙ্গলবার থেকে
30ca566c30	06ea3	১৯৪৭-এ প্রকাশিত
30ca709bcc	2fc12	হাত বাঁধা লাশ
30cac4e15b	8a46d	মৃত উর্মিখাতুন গরুরিয়া গ্রামের আম্বর আলীর মেয়ে।
30cad6b7c8	1f733	পেটে টিউমার
30cb3caf35	c3cca	রাজধানীর জাতীয় প্রেসক্লাবের সামনে
30cb5c3232	cf82a	বারণ আছে
30cb77a097	73629	তথাপি সামাজিক
30cb864f7e	e31e7	সত্যিই তাই করেছেন
30cbd57019	e3d8b	দুধে কিটোজ সুগার
30cd018486	4e900	আজ যদি
30cd20ff2a	c5dc8	দেশের বিভিন্ন অঞ্চলে
30cd2cc5ff	6973e	বড় মামার লেখাপড়ার জন্য
30cdb3b23d	dba43	শহর একেবারে ফাঁকা
30ce78d366	e00db	একের পর এক
30cec86422	fcc89	যে সকল মনুষ্য
30cf019369	dafb6	মুসলিম ও হিন্দুদের মধ্যে
30d009c35b	f1240	যোগ দিতে
30d02d7de3	2ac82	উদ্ভাবন করা
30d04b3cb7	6b437	আদরিণী মাথিনের কথাও লিখেছেন
30d0638de1	4a918	ঢাকার আহসানউল্লাহ বিশ্ববিদ্যালয়ের
30d091fe8e	d7a68	কৃষ্ণনামে
30d0b80be1	f6e55	ফুটপাতেই বসে গেছি
30d125f172	2de86	নেওয়ার ক্ষেত্রে
30d1ddd7a3	693cb	মাঝে মধ্যে খোসালপুর
30d2086e88	e3f89	আজকাল একটু টাফ হয়েছে
30d2b2e4cb	2909b	তাদের পিছু পিছু
30d2ea9c2b	91223	বঙ্গবন্ধু পশ্চিম সংযোগ মহাসড়কে
30d373964a	0b7ca	আমরা অতি গভীর ভাবে
30d39a985d	14816	ট্রাইব্যুনালের দ্বিতীয় রায়ে
30d3a86b53	3f875	অক্ষুণ্ণ গতিতে চলিয়াছে
30d3ffb5a6	e3d8b	চেঁচামেচি শুনে
30d4045bcb	860f4	আজ আমি বড় একা
30d46ba260	e2ff7	নতুন করে জীবনলাভ করেছে
30d48c934c	18a52	প্রায়শই মিডিয়াতে
30d4da0ace	ef4f8	সিরিয়ার সরকার বাহিনীর বিরুদ্ধে
30d4e33fe2	b8bdd	দামী ফলের সঙ্গে
30d578a243	16e96	তাকে মারধর করতো
30d58fc856	14d25	এতে অন্য কারও দোষ নেই
30d5c02af3	24f73	তারা পণ্যটি নিয়ে
30d5d7bba0	e50f1	বাধ্য হইয়াছেন
30d607fd09	287bd	শিক্ষাঙ্গন থেকে কাজের জায়গা
30d62599aa	c4973	বাংলাদেশের মোট
30d6634374	31f09	ছয়টি ভিন্ন ভিন্ন বিভাগে
30d67a0a4a	b52ab	ছোটলোকেরা বিড়ি তামাক খেতে পারে
30d69675c0	616ec	কেওড়াতলা মহাশ্মশানে
30d6bd3e21	d2d71	শুরু হলো
30d6c12a8d	b618b	যে উদ্যোগগুলো নেওয়া হচ্ছে
30d6d05b99	e9589	পড়ছে না স্যাটেলাইটের ক্যামেরায়
30d7ad003a	31f09	কেজিবির একজন উচ্চপদস্থ কর্মকর্তা
30d84691a3	2ecf8	শ্রমিক সংগঠনগুলোর দাবির মুখে বাংলাদেশ শ্রম আইন ২০০৬ সংশোধনের পদক্ষেপ নিয়েছে বাংলাদেশ সরকার।
30d876ab2c	16e96	প্রায় অর্ধঘন্টা
30d8ad5901	bfac7	এর ঢেউ এসে লাগল
30d8e3d71b	eaa7a	এবার কেন নির্বাচনে
30d9072240	404ee	যেখানে আয়েষা দাঁড়াইয়া আছেন
30d970630e	4486f	শশী থারুর
30d99fdce4	e7230	কাঁধের বন্দুক
30d9aed8f5	a43b5	সাধারণত কলাসমূহ
30d9b909b5	7898e	তবু যতটুকু লেগেছে
30da1dc2a0	ce180	গান গাইলেও
30da79e353	3c897	বাস চলাচল বন্ধ করে দেয়
30da875ec6	239f7	এই জয়ের ফলে
30da87cdca	33aef	বিদেশিদের জন্যে
30da8daf72	d2355	রাজমা-চিংড়ি উপকরণ
30dacaa4a8	239f7	শহরটির চারদিকে
30db236a93	3faff	কিনতে পারবেন
30db79b262	ad050	সানিউরের লেখালেখি
30dc05f9c4	b8bdd	তিনি ভেতরে যাওয়ার পথে
30dc1c713b	ad98d	সবার হাত ধরে
30dc28ea3c	c11b1	তাহার জন্যও ধন্যবাদ
30dcca7810	3c897	ফাঁস হওয়ার ঘটনা নিয়ে
30dd24b4a2	aabe7	তবে বারিক বিশ্বাসের
30ddc3ea42	ea8fa	দলীয় নেতাকর্মীদের প্রতিটি এলাকায়
30de41dbd0	ced74	কোন শতাব্দীতে
30dec81c90	c6848	এতে শামছুর রহমান নামে
30def1f3be	7c272	শওকত আদালতে মামলা করেন
30def20e27	bfac7	বলা সম্ভব না যে
30df032cfe	92bb2	গুপি বাঘার বাজনা শুনতে পায়
30df2b91d9	0606d	মেম সাহেব
30df319f65	21e54	জিএলপি-১ মেডিসিন
30df4ba952	08458	না ঘটলেও
30df519051	c0965	অবস্থানে রয়েছে
30e08dd8f3	6c17f	১৫৮২ সালে
30e145ebcd	c41d8	কাজী এমদাদুল হক
30e187c967	7b132	আমি জ্যাক দ্য রিপারের
30e18fa880	6ee5f	গ্রাফিক্স ডিজাইন
30e1cd1ab8	86b1b	বাংলাদেশের মন্ত্রিপরিষদ বিভাগের
30e1d5dbf4	e9759	তবে পুলিশ এদের
30e2aca31e	0d4cb	হাই কোর্টের সামনে এসে
30e306c4b2	29f8c	পরবর্তীকালে ধীরে ধীরে দলের রাজনীতিতে
30e347e9ef	7898e	পেস্তা বাদাম
30e3bb23c0	c9c19	কার্যালয় ছিল বালিগঞ্জে
30e44cc549	d7a68	পেছনে তাকায়
30e4e9b008	4e900	যীশুখৃষ্ট আসিয়া
30e5cf18d3	f0f95	পুরনো বেবি ট্যাক্সি
30e5ef59b2	91230	মাদক সেবনের পর
30e6ce29ab	efc0d	আমি চিঠি লিখি
30e7f0534e	29bab	অন্তরঙ্গতম বন্ধু নেই
30e7f5dc22	9d7bf	দূষিত পানি
30e82360ae	c7a89	মনে করিয়াছে
30e8981d3e	1a2a1	বিবাহ ব্যাপারটাকে নিয়ন্ত্রিত করাই
30e89fc623	16a17	হাত পা অবশ হইয়া যায়
30e8c7b008	64092	হুমায়ুন আজাদ
30e8ef7e28	a699c	মালপত্র লুটপাট করে
30e915618a	a06a1	তিনিও তিনবার
30e923ee6c	31f09	৫ই জানুয়ারির নির্বাচনী প্রক্রিয়া
30e977c053	aa820	আটকে পড়ে থাকা
30ea012445	a274b	৩৭ বছর বয়সী সিডর্ফ
30ea20c673	4c1eb	মানুষকে দিচ্ছে
30ea5486a9	09f0d	নাড়তে নাড়তে
30ea9323ae	61820	চাকরির প্রথম ধাপে
30eac62d1d	c0965	আপিল আবেদন করা হয়
30eb00d88e	25117	প্রয়োজন নেই
30eb21a800	4ea73	হে মোর দেবতা
30eb645d24	9351a	আড়াইশ থেকে ৩শ টাকা
30ec017289	2ac82	সুন্দরবন দুই দেশের
30ed803b53	efc0d	মুসা আল খারিজমীর নাম থেকে
30ee7eff03	4ea73	শক্ত লবিং
30ee850a48	d41be	মেঝেয় পড়ে আছে
30eedb474a	06ea3	শর্করাকে নিয়ন্ত্রণের
30ef347b39	80518	সেখানে ঢাকায় সফররত
30ef45924c	880ae	ডিজিটাল মানে কি
30efb084d7	ac904	যুক্তরাষ্ট্রের গুরুত্ত্বপূর্ণ মিত্র দেশ
30efe42739	91b16	একটি গোপন সংঘের
30efffe46e	d2294	এই দায়িত্ব
30f00f2243	80e98	জনপ্রিয় ছবিগুলো হলো
30f041f3c7	f0f95	রাখা যাবে
30f10b2499	80539	খুন করা হয়েছে
30f154b4f8	3fae0	দুই সূত্রেই
30f166a4f3	24f73	জিতেছে
30f198b52e	8ba2b	অতিনবতারা পর্যবেক্ষণের জন্য
30f1e3eaf0	1a2a1	নিশ্চিত করার দায়িত্ব
30f20883dc	e2c11	এদিকে ইরান, উজবেকিস্তান, আজারবাইজান
30f210061b	ce180	কর্মসূচিতে যোগ দিতে
30f213270a	880ae	ফরিদ আহমেদ দুলাল
30f2236e64	1a2a1	সম্পাদনার দায়িত্বে ছিলেন
30f22402d6	38ff0	মেঘনার পাড়ে
30f24f8f8b	03284	আমি প্রতিদিনই তার কথা ভাবি
30f2b93b4e	c1e30	তিনটি অভিযোগ
30f2d3e5f2	fd880	লড়াই করছে ভারতের জনগণও
30f30478ac	7297e	অনেক নমনীয় মনে হলেও
30f326d3be	14d25	ও ক্রয় ক্ষমতার কথা
30f3369c64	693cb	বাংলা অক্ষর
30f3f2e632	e9759	এছাড়া, রংপুরের পীরগঞ্জে
30f4132c32	cb627	এর ফলে সুবিধাজনক সময়ে
30f4ce5790	a46e2	পরামর্শ চেয়েছি
30f569fcda	bf530	লেবাননের সীমান্তে
30f580be1c	ff1eb	এই স্বীকৃতিতে আনন্দিত
30f583b1f9	a274b	স্বীকৃতি না দিয়ে
30f5b02a98	943de	চুলে বাড়তি যত্ন নিয়ে
30f5bd8722	b618b	ড: আহমেদ বলেন
30f693f200	c0965	পর্দা রোমান্স দেখার জন্য
30f6a2a251	7ed14	কর্মকৌশল পরিবর্তনের চেষ্টায়
30f6c7ba36	18460	ভেরোনার রাজা
30f702724a	c6848	এদিন বিকেলে
30f7c57107	80539	ধেড়ে চাকর দুটি
30f7e4d19c	a274b	নিরঞ্জন বাক্সটা ঘাড়ে করে
30f8a5d138	d3e06	আবৃত্তি পরিবেশনার পর
30f8a9ff2c	2de86	গুরুতর আহত পাবলু চাকমাকে প্রথমে রাঙামাটি সদর হাসপাতালে প্রাথমিক চিকিৎসা শেষে চট্টগ্রাম মেডিকেল কলেজ হাসপাতালে প্রেরণ করা হয়।
30f8b95a16	3f493	আর আগের মত নাই
30f9333be0	ea8fa	অমূল্য শাহ
30f961bdd1	06736	র‌্যাম্পের প্রতি আমার
30f9714206	410fa	এই নিষেধাজ্ঞা হবে
30f9be6b1a	2fe3c	সীটনকার অপদস্থ হইয়াছিলেন
30fa09eeb2	0a87a	এর অভিযোগ আনা হয়েছে
30fb77388d	9d46f	জনপ্রিয় একটি ধর্মীয় সমাবেশে
30fc33df62	5cb47	কদিনার ভুলে ৪০ মিনিটে
30fc947484	9c8dd	দুঃসময়ে, যখন মেঘের ঘটা
30fd90400f	d136b	খাদ্য অধিদপ্তর
30fe0830cc	5354e	এ ব্যাপারটির সঙ্গে
30ff261ccc	fb4cb	বন্ধ করে দেয়া হয়েছে
30ffd0f03c	a06a1	তাকে গ্রেপ্তার করতে হবে
30ffda9bbf	ad98d	শ্বেত আকন্দ ও লাল আকন্দ
