3f003bb932	6e8cb	এবং উল্লেখযোগ্য একটি
3f875a08d7	38d3a	দূরে থাকুক
3f87f78d9f	3faff	তখন ছিল না
3f89c39e6e	31f2a	কিন্তু অপরাধ-জগতের সঙ্গে
3f89f2611a	7e1d5	বার হয়ে এসে
3f8a806ddd	bdd05	সিদ্ধান্ত নেয় দলটি
3f8ab023d8	ce629	অনেক মানুষ নিহত হয়েছেন
3f8ab3efb4	95f83	তাঁর সমসাময়িক
3f8ac50fc5	6e6fa	পৃথিবীর ইতিহাসে কোনো মেয়ের হাতে তার বাবা-মা খুন হয়েছেন তার নজির নেই।
3f8b16e480	0a7a0	ওয়েস্ট হ্যামকে
3f8b29e58e	693cb	পূর্ণ দৈর্ঘ্যে মুক্তিলাভ করেছে
3f8b5d96d4	256f5	ইসরায়েল ও অধিকৃত ফিলিস্তিনি অঞ্চলকে বিভক্ত করে সীমান্তে যে দেয়াল তোলা হয়েছে, সেটিও তার পরিকল্পনা ছিল।
3f8b9f9021	282d3	কিন্তু দেশের মাটিতে
3f8bae9742	4fbd1	প্রথম মৃত্যুর পর
3f8bdaa1b7	0d8c1	জীবিত কালে
3f8c03d310	6e8cb	রাজধানীর উত্তরা এলাকার জন্য
3f8ca27c98	9642e	ইতোমধ্যে অনুষ্ঠানটির ধারণকাজ
3f8cbd9b64	287bd	শিল্পী মাদ্রিদের রাস্তায়
3f8d02851b	1cb75	জানিয়েছে সূত্রটি
3f8d3c40db	db181	পয়সা কোথায় পাবে
3f8d494be8	d82d9	মঞ্চে উঠলে
3f8d803f1c	7d133	বিরোধিতা করে
3f8daa102a	15a75	একমাত্র আমি
3f8db9f8af	ced74	এক বছরের জন্যে
3f8df40766	ee852	এর পরও আলোচনা হলে
3f8e63cc03	767ff	ঠিক করা যেতে পারে
3f8eb661db	c4973	এই অগ্নিগত শক্তি হইতেই
3f8ee39157	b618b	স্টেশনের কাছে
3f8f398163	3bea8	বলেছিলেন বলে
3f8f431153	e03fc	হাসুর ভাই কাসু
3f8fc172b4	948d3	চাষের কাজ করত
3f900a6ba0	b8fe1	চুটিয়ে ডিটিং করছেন ক্যাট
3f9045fd3b	2ad74	ইফতার মাহফিলের
3f9100c4a3	21e54	বিজয়ী না হলে
3f922a7c67	09b32	ব্রায়ান ও ব্রায়ান
3f925e044b	8edea	এই হার
3f92e03c54	b52ab	রাজু মিয়া
3f935705b1	d71a3	প্রধানমন্ত্রী মনমোহন সিংয়ের সঙ্গে
3f938ee58a	d82d9	এ সংঘর্ষের খবর সংগ্রহ করতে
3f93baf4f6	9351a	আবু তাহেরের স্ত্রী
3f945246e7	b7be9	না হয় বাঘে খাবে
3f9458743e	75f18	সংঘর্ষের ঘটনায়
3f94b5676f	e89bb	কথিত দুই তাবিজ সাধুর
3f94fb0f04	86b1b	মাত্রা ছিল রিখটার স্কেলে
3f951026e2	46da4	হাত পা অবশ ফেলে রেখে
3f95f99ef6	a4750	এক শ্রমিক-পুরুষ
3f9646109b	d41be	উপর দিয়ে ছড়িয়ে দিন
3f967cc7be	9813c	যাক্কুম গাছের ফল খাওয়াবেন আল্লাহ
3f974192b1	0744c	দুপুর ১২টা পর্যন্ত রাজধানীতে বিচ্ছিন্ন কিছু ঘটনার মধ্য দিয়ে হরতাল চলছে।
3f9814c430	7aed9	এই আদিম সাম্যসমাজের বর্ণনায়
3f982f04cf	932bb	সাক্ষরতার হার বেশি
3f9831996a	d1b12	বেগুনবাড়ী বস্তিতে
3f9843ed82	ee4ad	দুই চোখের তীর ঘেঁষে
3f98996150	698ff	দেখলে মনে হবে
3f98d35215	58998	এ সরকারকে তাড়াতে
3f98ea8aba	f83df	শাস্ত্রের ভূমি ছেড়ে
3f9987eff2	976b1	দিন কাটায়
3f999a9a7a	71522	এখানে দেখতে পেয়ে
3f99b7eaa0	767ff	একজন শ্রেষ্ঠ শিল্পী ছিলেন
3f99c08f83	8143b	বলিষ্ঠ মনে হবে
3f9a3933cc	4bd2c	আমার নাগাল আর পায় কে
3f9a46b621	730c3	বাংলামেইলকে ঘটনার সত্যতা
3f9a55c0e2	84145	আমার তিন বোন
3f9bb2313f	66c6b	সকলে আসিয়া দেখিলেন
3f9bf0bf08	3ec4d	প্রধান বন্দরগুলির মধ্যে
3f9c0db512	ca831	বঙ্গবন্ধু সেতুর
3f9cdbd67b	91b16	ও ছোটবেলা থেকেই
3f9d415f73	66dcd	স্তব্ধ হইয়া চাহিয়া রহিলেন
3f9dcc134d	355c1	ছড়িয়ে যায়
3f9e05b905	8ba2b	সাইবার
3f9e4535a4	778c0	টড ল্যাম্ব বিবিসিকে বলেছেন
3f9e5e1c3a	e2f12	শিব-মন্দিরের চতুর্দিকে
3f9e624f11	49543	তিনি সমান পরিচিতি পেয়েছেন
3f9e9e9849	80518	তাকে আটক করা হয় বলে
3f9f09d4a2	f2097	দেশের বিভিন্ন জেলা থেকে আসা
3f9f187a3e	f2097	সহজ না হওয়ায়
3f9f68daa1	42898	ডাকাতি
3f9fb4d826	e89bb	উপরের অংশ বানরের
3f9fc16092	9282d	সংলাপ দরকার
3f9fe67e42	b9b98	গরম সস ঢেলে
3fa100a233	13b70	আমি প্রথম শুনি
3fa15b0869	e9fa7	তারা ইয়াসের আরাফাতের দেহাবশেষ
3fa1b6c720	86b1b	এই কাজটি ঘটানোর মতো
3fa1e7dfcf	2de86	অসম কবিতা
3fa2149e72	4164f	মাঠে উপস্থিত দর্শকরা
3fa22e4509	91230	আয়নায় দাঁড়িয়ে
3fa23636e3	c8f7f	সিনেমার পোষ্টার
3fa2b5b4e9	c7705	২০১২-১৩ অর্থবছরের পুরো সময়ে বাণিজ্য ঘাটতির পরিমাণ ছিল ৭০১ কোটি ডলার।
3fa2b5ca43	42898	ঊর্ধ্বতন সামরিক- বেসামরিক কর্মকর্তাসহ
3fa2cf234d	f280a	ঘুরতে লাগল
3fa3717e70	1652d	তার তো অমিত
3fa3aec457	3bb15	রাত ৮টার দিকে
3fa4192a9d	11de3	সে মেয়েটিকে বলল
3fa4bc9d5b	9d398	আমি আদৌ বিপ্লবী কিনা
3fa4e69af5	1f733	বাংলাদেশের অন্যতম ত্রাণকর্তা হিসেবে
3fa5002ed6	ee852	বাংলাদেশের মানুষের জন্য ব্যতিক্রম
3fa53fdc3a	46d49	দ্বিতীয় পুরস্কার গানের যন্ত্র
3fa5d257e7	4ea73	খেলতে শুরু করে
3fa5f08af0	6aac8	কৌঁসুলি মি. আলী দাবি করেন
3fa6224083	8845d	রক্তকরবী উল্লেখযোগ্য
3fa642c224	5d80e	সেই অভাব মেয়েদের আছেই
3fa6aa7173	86b1b	ধেড়ে চাকর দুটি
3fa6f2fa76	e754e	অর্ধেকে নেমে এসেছে
3fa8647419	16a17	কষ্টি পাথরের শিবলিঙ্গ
3fa885bd36	7b132	ফালুদা
3fa9154972	cf82a	স্বীকৃতি দিয়েছিল বাংলাদেশকে
3fa98d6157	f6e55	তাজমহলের নির্মাণকাজ
3fa9b5c7c5	d9ba9	৪ রাত ৩ দিনের
3fa9c3574b	72649	এ মামলা দায়ের থেকে
3faa4b0b4b	7b103	চিন্তা-ভাবনা চলছে
3faa9688df	54cdd	বলিউডের তিন অভিনেত্রী
3faaad6e19	9282d	পাগল মন ছবি
3faad4c518	6da0a	চালিয়েছে এ্যাকশনএইড
3fab04c0b3	ce180	পাকিস্তান সেনাবাহিনীর
3fab054969	37e17	আটক নামিসার দাবি
3fab0f1e7e	59c73	সব বিপ্লবীদের ওপর লেখা বইয়ে
3fab9f15b9	e31e7	রাজাকাররা আত্মসমর্পন করে
3fabc1123e	d2355	টাইপ করা থাকে
3fabd72288	410fa	কর্মী কিনা
3fabec9e38	d82d9	মেয়ের মা
3fac7e76a1	086dd	বেশ কয়েকজন আহত হয়
3fac85c92f	967fd	সামাজিক শ্রেণীর
3faca49ae5	b78ec	জী সংযুক্ত করে বলা হয়
3fadcc5307	b2a62	আমি যথেষ্ট সাহস
3fae58a384	0633a	আয় বর্ধক কাজে
3faee8063e	a274b	হেয়ার ফল শ্যাম্পু
3faf36ca4d	8143b	পরাজিত বুলবুল
3fafe1fbc7	91230	সাহারা ইন্ডিয়া পরিবার প্রতিষ্ঠা করেন
3fb014ba1d	ce775	অবস্থাপন্ন কৃষক ছিলেন
3fb039b218	13b70	সন্ধ্যার আগেই ফিরতে হবে
3fb09c3df2	e9589	ওহিদুর রহমানকে আসামি করে
3fb12fce73	adf01	প্রথম দিকটায় অনেকের কাছেই
3fb1393b9a	a916a	শহিদুল হক বলেছেন
3fb13ae171	7027a	১৪৬টি সোনার বার
3fb1580de6	23b22	ঝুঁকিপূর্ণ কারখানাগুলো
3fb175f763	db181	অনুমতির জন্য অপেক্ষা করতে হবে
3fb18cbd28	95907	সরকারি ঘোষণা
3fb1e2be54	7ee9b	তাতে তাঁদের আদর কমেনি
3fb1f7d871	23291	উপস্থিত হলেন।
3fb242c608	7aed9	প্রাণিজগতের বৃত্তান্ত থেকে
3fb303a062	0b7ca	নজরুল ও চন্দনসহ ছয়জনের
3fb30e0fd1	b78ec	গোল স্টেডিয়াম যেন হয়ে যায়
3fb37b9dcf	65652	বা অনিষ্টকারী থেকে
3fb3a10aad	239f7	তাকে খুঁজেছি তাজমহলে
3fb3aa33ed	bdd05	৬ উইকেট নেয়া
3fb43b9732	7df87	বিভিন্ন প্রজাতির পাখি
3fb467a9c1	a274b	কেননা, বহু গবেষকই
3fb55cce23	6ee5f	সূর্যের সঙ্গে সম্পর্ক থাকার কারণে
3fb5cd04c7	91dff	জানান পুলিশ কর্মকর্তা মনিরুল
3fb5fdffbf	b8ed8	অফিস বন্ধ হয়ে যাবে
3fb602fd62	e03fc	১০৩ জন নিহত হয়
3fb780c5d4	06ea3	আত্মহত্যা বলে চালিয়ে দিতে চাইছে
3fb7930da4	23b22	প্রচারাভিযান শুরু করে
3fb7bf35d9	323f1	ওতে ঢুকে পড়ি
3fb7ffbc1c	dae88	সম্পৃক্ত হন নজরুল একাডেমি
3fb839a756	f1240	বিভিন্ন বয়সের নারী-পুরুষ
3fb8738e29	239f7	এই নিয়মটি বিশেষভাবে লক্ষণীয়
3fb8bc4799	33aef	মানুষের জন্মগত প্রবৃত্তির
3fb8c38c68	11de3	পৃথিবীকে পূর্ব পশ্চিমে
3fb8f8a4de	a8710	দেখার অক্ষমতাকে বুঝায়
3fb90efdc3	3ec4d	রোমানা জানতো না
3fb92b5f69	7ed14	পুলিস-ম্যাজিস্ট্রট-জুরী-ইত্যাদি
3fb9ac465e	14d25	অনুশাসনেই চালিত হয়ে থাকে
3fb9b97138	d2d71	১৫৪ টি দেশ
3fba4a28f2	089ef	হিমশিম খেতে হচ্ছে তাকে
3fbaf0e84d	c7a89	নাছোড় হিসাব
3fbafa8e46	a1d4a	আর মাতার নাম
3fbb0b4b8e	2909b	আপনার হাত ছাড়াই
3fbc577692	4fc91	চৌম্বকক্ষেত্রকে ঘুরিয়ে
3fbcc32f7c	4f450	এসময় মালিকপক্ষ
3fbccabc32	eb179	এটি ব্যবহৃত হচ্ছে
3fbcf5d3fb	75936	গুরুপ্রদত্ত নাম চণ্ডীদাস
3fbcf7da97	b9b98	তারা সংখ্যালঘু হয়ে পড়েছেন
3fbd142d89	cd3ac	অভিজাত পরিবারের জাহানারা রবীন্দ্রনাথ
3fbd2818a9	3f875	কর্মকর্তাদের সমন্বয়ে গঠিত
3fbdbbcb37	b8fe1	আমাদের রান্নাঘরের বারান্দায়
3fbdd98262	ee7b2	আকামাস ছিল
3fbe57b691	d0c70	প্রকাশ করেছেন
3fbe861b74	76329	তার সম্পর্কে
3fbf156a9f	acb88	বাংলা একাডেমি বিগত বছরগুলোতে
3fbf78eaf1	baa02	ছোট বড় ধারায়
3fbf8203a3	18460	বিষয়টি বিশ্বাস করে
3fbfc16a1c	83c53	মোস্তাফিজুর রহমান জানান
3fbfc19e99	25696	তা সহ্য করব
3fc01bbc36	2556b	অনেকের অভ্যাস আছে
3fc06bc156	948d3	ওর পায়ের ছাপ দেখেই
3fc0809bc1	92bd8	বাজার করতে গেছি
3fc0bc7e05	eaa7a	এনে দেওয়া চলচ্চিত্র
3fc1ef99b8	18a52	মুসলিম সম্প্রদায়ের
3fc1f1d8a9	bd576	এদেশের সকল মহিলার
3fc2b5457f	903fa	টঙ্গীর শিল্পাঞ্চলে
3fc2d48c38	c0965	আমাদের গাড়ি
3fc3c0f4f8	91b16	চার বার কেঁপে উঠেছে মাটি
3fc4a5dbea	25117	কী করেছিলেন
3fc4ac0bb2	baa02	আজি সেই ঊরু
3fc4b44657	4c555	নিজেকে আবার ফিট করেছেন
3fc541e2ac	b08d0	রাস্তার কিনারের
3fc57ef4c3	3bb15	অ্যামোনিয়াম সালফেট
3fc5846f0d	8c07c	সবাই চাইলে
3fc5941246	6ee5f	আই কনটাক্ট করতে চাই
3fc6047c69	d9081	মহাসড়ক অবরোধের পর
3fc6195f97	880ae	বিয়ে হয় শশী থারুরের
3fc65be157	f0f95	আর তাই এই অর্জন উদযাপন
3fc68981ae	ced74	সাহিত্য পত্রিকা
3fc693ba02	b618b	বড় সহেলি
3fc6b6a11a	c3cca	এরকমই ঘটতো
3fc6f29f1d	5dd61	উদ্ভিদ অঙ্গসমূহকে
3fc70964a5	9f25e	ক্যাম্পারডাউন এলাকায়
3fc716c68f	c1e30	যুবলীগ
3fc759b9f8	e9759	কিছু বরই কুড়িয়ে নিই
3fc77da7b0	698a4	অর্থ আগামী নভেম্বরে
3fc791365b	121bd	এ ধরনের অভিযোগের ভিত্তি কী
3fc808aedb	5dd61	ব্যবস্থা নেওয়া হলে
3fc80dacfd	a46e2	লেখকদের কাছ থেকে
3fc842abf6	7898e	৮ ফুট ব্যাস, প্রস্থ ১৮ ফুটে
3fc876b8e1	0d9f1	মালদিনির হেডকোয়ার্টার
3fc88881d1	e55de	যাতে উপস্থাপিত হয়েছে
3fcaa7f46d	f2097	আমাশয় নিরাময়ের উপায়
3fcb57224d	29f8c	তার সঙ্গীও
3fcc1ee461	9b864	পুলিশের হাতে তুলে দেয়া হয়েছে
3fcc680e3b	f1240	তর মথন জাউরা পোলারে
3fccc41282	f2780	রাহুলের এসব বক্তব্য
3fccf9df0b	80518	তুমি আমার মনের মানুষ
3fce8e36fa	282d3	এ শিল্পের সঙ্গে
3fcea82ccd	e3f89	বাড়ির অন্যদের
3fcebe70ce	7297e	গরম তেলে
3fcec482e2	b9a81	আর কত ঘুমাইবা
3fcee149b2	b9b98	চলে এলেন কলকাতায়
3fcee2df68	11bd2	এই রকম অজস্র
3fcefca84e	e43d4	দারুণ দক্ষতায়
3fceffa03a	b8fe1	জন্মগ্রহণ করিয়াই ভিক্ষা পাই
3fcf60c257	d1a48	বিনিয়োগ করা হবে
3fcfd30715	f1ff2	কেবল কর্ণই একাকী
3fd033c37d	14816	রুশ শারাপোভার সাফল্য
3fd0c38abc	2ac82	পুত্রগণ আনন্দানুভবের বিঘ্ন
3fd0c95d39	f1ea4	হুজুরের সঙ্গে
3fd0dfeafd	b9a81	বিস্ময়কর ব্যাপার হলো
3fd16e7415	c9c19	মাত্র দুই মাসের মতো
3fd1a2b79f	9813c	ঘটনার পর থেকেই
3fd21f2520	195f7	পুরাণকথা আর
3fd2a93476	2ad74	অংশ নেন ১৯৯৫ সালে
3fd34317c5	54e68	দলে ফিরছেন
3fd4419ad8	b618b	তত্ত্ব গণনা তত্ত্বের শিক্ষায়
3fd4ce8c72	c958a	ভাই আমার
3fd4f15a03	698ff	তা আমি মাথা পেতে নেবো
3fd5860ad2	eb179	সেপাহী হইলে
3fd688be7c	33aef	সে কারখানার মালিক
3fd6d6785e	5dec6	বাংলাদেশ সরকারকে ধন্যবাদ জানাই
3fd782619d	9fa90	সাভারের ভবনধসের ঘটনায়
3fd797913d	1c618	ভূমি থেকে ক্রমান্বয়ে কৌণিক হয়ে
3fd815973e	fbb81	বিশেষ অতিথি কক্ষ
3fd81bb337	f1240	যা গাগার ব্যক্তিত্বের সঙ্গে
3fd84d9c7b	388c9	একই সঙ্গে গৌড়পাদ
3fd86d027a	71522	চাপ অনুভব করতো না
3fd8fb9eee	a4750	গবেষণাটি নিঃসন্দেহে
3fd9016ae7	1652d	ডিজিটাল পতাকার
3fd90e7c94	7297e	ওরা অইল
3fd91e2a86	ca831	ছাঁটাই করছে
3fd925cc23	ff0fe	ব্রাজুকা ব্যবহৃত হয়
3fd932b2a5	e89bb	আরো বেশি সময় ধরে
3fd95e3d3d	acb88	মোবাইল ফোন
3fd98328ae	d711f	মুখ চলে যায়
3fd99a8705	d9081	কবির সাধ্য বটে
3fd9af4613	e55de	সুন্দরের চর্চা
3fd9b9472f	93d3b	কিন্তু যাকে নিয়ে
3fd9b9a5f6	321b6	পরামর্শ দেবে আবহাওয়া বিভাগ
3fd9c6586b	ea5be	বেসরকারি চ্যানেল বৈশাখী
3fdab0de5f	f2780	বালিকারা এখনও কি খেলে
3fdab758e4	e9759	ভ্রমণ কাহিনী
3fdae97e8d	03284	গুহার দেওয়ালগুলো ভিজে
3fdb07f9f4	7aed9	তাই বলে
3fdb500403	28dfc	বিজ্ঞানীরা কি
3fdb782859	eb179	কুশীলবদের সঙ্গে
3fdbe9132b	c4973	মাহফুজের এই দিকটি
3fdc5d6a20	ac904	মুখর করে রেখেছিল
3fdd751eb6	5dec6	ইউরোপে ১১২ হচ্ছে
3fdda7233e	b618b	যতগুলো রূপের সাথে আমরা পরিচিত
3fddeb2dfb	1e7c7	আরো বেশি
3fde0ecd45	ab946	অচ্যুত সামন্ত প্রতিষ্ঠা করেন
3fde1d9c37	37e17	বেলা প্রায় শেষ হইয়া আসিলে
3fde27f126	cb627	জীবন শুরু করেছেন তিনি
3fde2e77e1	4bd2c	পরাগায়ন কাকে বলে
3fde999dc2	8b859	আফ্রিকার পশ্চিমাঞ্চলে অবস্থিত
3fdf271971	745b7	পুরস্কারের মূল্যমান
3fdfbe3976	ab946	জাতিস্বর
3fdfd8050c	07660	সৈন্যটিকে বললাম
3fe0022e55	07660	লুকানোর চেষ্টা করলেও
3fe0396d90	0c39f	ভারতে একের পর এক
3fe061e1dd	1e7c6	স্বকীয় মত
3fe0724b5a	53396	হাম-রুবেলা
3fe0d96661	e9759	স্বল্প সংখ্যক উড়োজাহাজ দিয়ে বিমান ১৮টি আন্তর্জাতিক রুট পরিচালনা করছে।
3fe0db7c57	7e1d5	গফরগাওঁয়ে যাওয়ার পথে
3fe1358d63	fcc89	জাতির উদ্দেশ্যে
3fe1ca9692	e31e7	যুক্তরাজ্য ছেড়ে এ কর্মসূচি
3fe2795530	6da0a	তার পতন হয়
3fe2dca2ad	23b22	চেষ্টা চালাচ্ছেন ব্যবসায়ীরা
3fe310a418	bc81e	যখন অনুরূপ সঙ্কট হয়েছিল
3fe38d9cc5	cd3ac	জগৎ সরকারের মেয়ে ঝুমা
3fe3f8318e	410fa	অলি-গলিতে অবস্থান নেন
3fe3fe1824	33aef	ভারতে ব্রিটিশ শাসন
3fe4501277	1a2a1	উল্লেখ করা আছে
3fe47d1d33	13b6a	সাধাসিদে জীবন-যাপন করতেন
3fe4bc7419	7a227	অস্থির হয়ে উঠতেন
3fe509eb33	f2b7d	বাংলাদেশের একজন আইনজীবী
3fe51b744c	3fb17	আপত্তি করা হয়
3fe5a39633	d9ba9	মুসলিম শরীফ
3fe5a499f7	cb842	একমাত্র কমার্শিয়াল
3fe6082bde	a1d4a	বাদ দিয়ে সব উপকরণ
3fe6b09056	11de3	যত যত্ন করা যায়
3fe6b1ec64	93d3b	নকশাকৃত মোবাইল অপারেটিং সিস্টেম
3fe6ccfd49	3faff	জনপ্রিয়তা পান তিনি
3fe77b12d1	d5f7b	একটা কথা বলা দরকার
3fe80de0de	9d7bf	কিন্তু এখন সিদ্ধান্ত নিয়েছি
3fe83531ee	0d8c1	তাঁহার পর যে গদ্যের সৃষ্টি হইল
3fe855dc5d	c3cca	যাত্রীরা প্রায়ই আসে না
3fe9a384bb	6d129	স্থানীয়দের বিরোধিতার কারণে
3fea1e5331	eaa7a	সভাপতি ঘোষণা করে
3fea1ea9bc	66dcd	সাংস্কৃতিক দৃষ্টিভঙ্গির
3feaaedda7	e3d8b	দুমদুম করে হাঁটেন
3feaf3b885	2ac82	গৌরবের বীরের
3fed9a62c2	b78ec	কয়েকজন নেতার কথোপকথন
3fedb38a98	60f77	কাজ বন্ধ থাকে
3fedb7e3bc	577fa	সেজন্যই সরকার বিষয়টি নিয়ে
3fee52a8ab	b5fdc	ময়দা ও আমন্ড গুঁড়ো মাখুন
3feebde527	cb627	একজন সরকারদলীয় সংসদ সদস্যকে
3fef12dc06	12702	তখন বেশির ভাগ সময়
3fef78abc9	c2082	শনিবার আর্মি স্টেডিয়ামে
3fef7a7fe7	c11b1	২০০৮ সালে জোলি
3fef82c3c7	ac904	পেত্রা কেভিতোভার মধ্যকার বিজয়ীর
3fefbbd6b4	7ed14	এখন প্রশ্ন হইতে পারে
3ff00e401d	12702	আরেকটি রেলসেতু করার
3ff0282407	d711f	৫৫ রানে ৫ উইকেট নেন
3ff06c4eef	80518	অস্ত্রোপচারের প্রয়োজন হবে বলে
3ff08098e1	9282d	সংসদ ভবনে, শপথ শেষে
3ff0a59822	18a52	মূলত ছেলেমেয়েরা যেন
3ff0a88c4d	195f7	হাসি পিশাচের হাসি
3ff0db5fd3	f7a7f	প্রাচীন ভারতের ইতিহাস
3ff0f43208	ff970	জয়নালের প্রেমের সম্পর্ক
3ff0f61bd2	b8ed8	আমরা রাসূল সাল্লাল্লাহু
3ff1638baf	fcc89	গলি-ঘুপচির শহর ঢাকায় ভুল করে পথহারানোর দিন যেন শেষ হতে চলেছে।
3ff1f9753a	355c1	কোনো কিছুর মূল্য নেই
3ff288064b	9e923	পরিণত করে ফেলে
3ff2a5da2e	db735	অবাক বিস্ময়ে তাকিয়ে দেখছে
3ff3008993	0895a	পয়েন্ট হারিয়েছেন তিনি
3ff30aff13	f1ea4	মামানীর চাকরাণী
3ff31ade07	80e98	ব্রহ্মা সন্তুষ্ট হয়ে
3ff339c3eb	8845d	ভালো করে শুনে
3ff3798318	15a75	হানিফ পরিবহন
3ff38ea214	6e8cb	তুমি এত নিচে নেমেছ মিয়াভাই
3ff3e7c7e5	a46e2	মূল কথা
3ff4358731	54e68	তুমিও অনেক অন্ধকারে বেড়াইয়াছ
3ff49c1382	80518	কাটতিই বেড়ে গেছে
3ff4b3c0a6	adf01	ছিল শীতল হাওয়া
3ff51bb90b	2ecf8	পোশাক শিল্প মালিকদের সংগঠন
3ff53ccf6f	7c272	বাবার মুখে
3ff550f71b	72649	তার মধ্যেই যার সঙ্গে দেখা
3ff5b75a15	49543	সে দাসী, নারী যখন স্ত্রী
3ff5c84900	bf530	১৯৪৫ সালের মার্চে
3ff6c69613	693cb	অনেক ব্যক্ত
3ff74efd01	f837a	তবু রানা প্লাজার
3ff7722569	29bab	ছাত্রজীবনে
3ff7a90b13	767ff	ধারণ করা
3ff7b1cd55	7aed9	তোমার মৃতদেহ
3ff849d2ce	e2ba2	সোমবার বিকালে
3ff84cbf20	24aed	কিছুদিন আগে এক দ্রুতবিচার আদালতে ওই ঘটনায় জড়িত কয়েকজনের মৃত্যুদণ্ড হয়েছে।
3ff8669f47	dae88	সভায় সভাপতিত্ব করেন
3ff8847c0e	e43d4	নাট্যকার, অভিনেতা
3ff8d67012	536d9	সদিচ্ছা বাস্তবায়নে
3ff8f44c47	e9fa7	মনে করে
3ff900ff11	410fa	সঙ্গে সঙ্গে বাসার দখল নিয়ে নিলাম
3ff92c442f	6ee5f	পরিচিত হবো
3ff94dc93c	698ff	উধাও হয়ে যেতেন
3ff9540635	321b6	পা ভেঙে দেয়
3ff9563612	b8fe1	এ কথা বলিতে সাহসী হই
3ff9bcad5e	32998	অতুলের ব্যবহারের জন্য
3ffa37ceea	0b7ca	যশোরের মাঠ পর্যায়ের নেতাকর্মীদের
3ffa65a88e	cb842	শিল্পের প্রতিযোগী সক্ষমতা আরও হ্রাস পাবে
3ffac2e569	6aac8	রাজার কাছে এসে বললে
3ffb4467a3	39dd0	গামেস
3ffb8dc309	b9122	এরপর সেখানে
3ffbe58f87	d136b	তা অন্য অণুজীবের
3ffbea6d83	d9817	এই হলো সৃষ্টির মূলতত্ত্ব
3ffc189f29	da6f0	সেবন করত নিয়মিত
3ffcbab489	cf82a	ভিট চ্যানেল আই
3ffcbc9270	66c6b	সম্ভব করতে পারেন
3ffd0890ec	520fb	ট্রেড ইউনিয়নের দৌরাত্ম্য কমাতে
3ffde1b258	57d54	কুয়াশা
3ffdf0ada2	f29bf	এবং হতাহতের ঘটনার
3ffe05a2bf	404ee	সবাই মিলে যান
3ffe61f0a9	db735	যদি মোদি ক্ষমতায় আসে, তাহলে ভারত অন্ধকারে তলিয়ে যাবে
3ffe72f766	80be1	৯০ বছরের
3ffea94619	11de3	টাঙ্গাইলে পুলিশের কাছে
3ffed6bfbd	93080	এক সমর্থক নিহত হয়েছে
