a200d95ea2	c7a89	দুই বান্ধবী মিলে
a2827b16ef	aabe7	ভাত পায় না
a2833d7969	c3cca	ভর্তি করিয়ে দেওয়া হল
a283c1bcc7	1cb75	প্রাথমিক শিক্ষক
a283ea23b5	7c272	মেয়েকে ফুসলিয়ে
a283fd5ced	4a918	চাঁদ দেখে অন্যদের দেখাবে
a28402edae	46da4	সেটা বলছি না
a28449540f	7aed9	রাতের বেলায়
a2846039a9	c7705	শরীরের অতিরিক্ত মেদ ঝরাতে
a284c4689c	23b22	আমি এখন ঘুমাব
a2852eb8ca	baa02	মধ্যাহ্নকাল বলা যাইতে পারে
a28563b88a	e754e	হাই অ্যাটিটিউড এরিয়া
a2856e221b	153c9	গোয়েন্দা বিভাগের
a285c10edc	93bf3	হাসপাতালে ভর্তি রয়েছে
a285e58484	9b864	অসংখ্য তৈরি পোশাক
a2867ca91c	14d25	কিন্তু মঞ্চ থেকেও
a286866712	60b9d	গোলাগুলি হয় বলে
a286b49eaf	25696	অপানবায়ু এবং বাতকর্ম
a287001184	3f875	এবং অন্য কয়েকজন
a28702cff4	93bf3	নায়িকা আসলেও
a287067997	bbb22	প্রতিরোধের চেষ্টা করে
a287074203	b8bba	রাগরাগিনীর তালে
a28719e89b	256f5	কেবলই কি বঙ্গদেশে
a2872ac07c	bdfc1	এখন বোধ হয় অঙ্কুরিতও হয় না
a2876d481e	69d9a	চলচ্চিত্র খাতের সংস্কার
a287826c8b	76329	চুলের যে কোনো সমস্যা
a287b17fac	5dec6	একজন তানজানিয়ান সৈন্যের
a2897b8a54	10a9f	এর প্রতিবেদন
a28987a2cd	53396	নারী-লেখক-কবিরা
a289c60c40	590d0	এই নীতিটি পরে
a28a536616	f600a	কোরবানীর গরুটি
a28ada7b29	93d3b	পরিচিত একধরনের
a28adab238	d7a68	চুল না আঁচড়ানো ভালো
a28af05f03	9e923	তাকে ধর্ষণের চেষ্টা করলে
a28b00b5a6	616ec	মানে টপ টু বটম পুরুষতন্ত্র
a28b38caec	932bb	নিশ্চিত করা হয়েছে
a28b643d50	57d54	নানাজন নানাভাবে
a28b92c764	3d17c	গলায় হার
a28ba9b7c6	0696e	তবে তাদের ধরার জন্যে
a28caf688b	ab946	বিপরীতগামী একটি ট্রাকের
a28cfb9882	16877	লোকজনের সঙ্গে দেখা করেন
a28d8588ad	01e91	মুছে ফেলার পর
a28d9aa13a	83c53	দ্বিতীয় সামিট
a28dd39c22	1a4a9	সমাজ সংসার ফালাইয়া
a28e6775fa	ee852	হত্যাকাণ্ডের বিবরণ দেন
a28ea03822	ff0fe	বিষাক্ত কীটনাশক থেকে বাঁচতে
a28f058f5f	80505	আরও সাজাইয়া-গুছাইয়া বলিলেন
a290000fe4	dec2d	আমার নিজের দশা দেখিয়া আমি
a29032c6ba	16a17	২ পৃষ্ঠার ছোট্ট লেখাটি থেকে
a290eaf54f	1b359	একটি গুরুত্বপূর্ণ পদক্ষেপ
a290fbbc09	321b6	খেলাধুলা রোগ প্রতিরোধে গুরুত্বপূর্ণ ভূমিকা পালন করে।
a290fec030	c7705	নলছিটি থানার ওসি
a291276a60	8cf95	বেশ্যালয়ের বাইরে
a291343e5a	06ea3	মুনাফা করেছিল বিমান
a2921ba962	0c39f	ছায়াপথ
a2922a1476	7df87	তিনি শরীয়তপুর জেলার
a292321a70	767ff	প্রথম হাইটেক পার্ক
a292bd65bf	2d78f	আট বছর দায়িত্বপালনের পর
a2935c1559	ca088	নিউ ইয়র্কের পুলিশ বাজেট
a293866f3c	fb4cb	যাদের ধর্মটাও পশুসুলভ
a293e209c2	32b3e	ইতিহাস জানতে হবে
a2948d2daa	47e8d	পাঠকবৃন্দ, দেশে কি
a2958e9aed	38ff0	সবকিছু কিন্তু আমি ধারণ করেই
a296f4f650	ea8fa	স্বর্গ থেকে
a297978208	698a4	স্থানীয় হাসপাতালে
a297a39c3c	491a5	জিজ্ঞেস করেননি তিনি
a297eca746	d1a48	সকাল ১০টা থেকে
a297ef7501	64092	দক্ষিণারঞ্জন মিত্র মজুমদার
a298200d4c	ad2a0	পরামর্শ দিতে পারবেন
a29869ddfa	93d3b	হানিফ সংকেত
a2988c5c18	efc0d	সেখানে গিয়ে দেখা যায়
a298c4709c	7027a	যিনি অ্যামনেশিয়ার রোগী
a2999ecdc2	ac904	বাংলাদেশ তার প্রথম একদিনের
a299b13bdb	809cd	পূর্ব্বরাগ অঙ্গসঙ্গ
a299beddc8	e43d4	এটা ঠিক আছে
a29a28f91a	8c120	আমাকে প্রথমে
a29a5c72b9	4c555	নিজেদের ইমেজ তৈরির ব্যাপারেও তারা ছিলেন খুব বেশি সতর্ক, যাতে দর্শকরা তাদের জীবনের সাথে তাদেরকে মেলাতে পারেন।
a29a6e37b9	7027a	ফলে বিমান নিখোঁজ হবার ঘটনাটি
a29abe64e1	65652	ব্লগ পোস্টটির পাশাপাশি
a29af1f6de	8a46d	সম্ভবত আসামি হিসেবেই
a29ba39151	1652d	রাত্রের ঘটনাটা বললে
a29bde193a	91b16	শীর্ষ সন্ত্রাসী
a29bfcf55b	6c6bf	কাকা
a29c6a7bff	66dcd	তার মৃত্যু হয় বলে
a29c86faf8	ab946	চমেক হাসপাতালে
a29cc25193	e55de	একমত হতে পারলে
a29ce6bb9a	9642e	নাস্তিকদের পরিণতি
a29d05e914	c463d	বিস্তর টাকা তার
a29d8c0eaa	92bd8	এই আকাঙ্খা সকলেরই আছে
a29dcdc781	43fc0	অপরপক্ষে জামাইও চায় না
a29eb71da1	ad2a0	কোনো কথা
a29f2d0eb4	903fa	পাণ্ডু ও ধৃতরাষ্ট্রের
a29f7766b4	93bf3	প্রথম থেকেই এ চুক্তির
a29f887152	76329	একেবারেই শেষ মুহূর্তে
a29f8e3f98	323f1	মেরিন
a29fccec24	b8bba	তিনি আবারও অভিযোগ করেন
a29fe9a11d	2695f	দৈনিক দিনকাল
a2a0175865	21e54	অনিশ্চিত হয়ে পড়েছে
a2a068a675	ab946	সে কথা পুরাণ ইতিহাসে থাকুক
a2a0eaaf7e	b4ea7	এই কাউন্সিলের
a2a0f6c914	07660	হারিয়েছিল বাংলাদেশ
a2a1adf9ba	ff0fe	বাংলামেইল২৪ডটকম
a2a1aeb2b7	86b1b	আমাদের খবর লইতে
a2a1d7f895	bdd05	১২ জন কর্মকর্তাকে
a2a1e4452f	8c120	হাজিরা দিতে আদালতে এসেছেন
a2a1f1c562	33814	এখন ভীষণ নিয়মতান্ত্রিক
a2a23324c6	6c17f	তার মুখে বিরক্তি
a2a2914a5e	b9b98	আগামী ১০ মে পর্যন্ত
a2a29be295	31f2a	অভিযোগ করার পর
a2a2e7faa6	cc18a	উৎফুল্ল থাকবে
a2a3332839	d5f7b	সপ্তাহ ঘোরার আগে
a2a3bc4de6	9642e	সারাদেশের বিভিন্ন শিক্ষা প্রতিষ্ঠানে
a2a3d3fcd9	6a35e	দেওয়ার অনুরোধ জানানোর সময়
a2a437874d	3b1f7	৯০০০ মিলিমিটার পর্যন্ত
a2a43be8e8	1652d	নিউ ইয়র্কের পুলিশ বাজেট
a2a4a11829	2bd99	মনিরুল বলেন
a2a4a27906	3fb17	দুটো তিনটে বেলও নেয়
a2a4bc22bc	ea5be	চিকিৎসাধীন কনস্টেবল সিদ্ধার্থের
a2a4db3401	b5fdc	অভিজিত নামে ভেগা;আলফা লাইরী
a2a6f87a8f	1a2a1	তার পরিবারের পক্ষ থেকে
a2a7671f5b	a9a58	গোপালগঞ্জ হাসপাতালে
a2a7a69eda	1e7c6	টেন্ডার থেকে নিয়োগ
a2a7dfb486	43199	শ্বশুরবাড়ির মানুষ
a2a80621b7	577fa	মাটিচাপা দেয়া লাশ
a2a8104227	1b359	রচনা ব্যানার্জি
a2a8a86076	590d0	মিডিয়া যদি টুইটার থেকে
a2a9689f2b	086dd	সৌপ্তিক পর্বে একটা
a2aa38a851	7351e	চুড়ান্ত সিদ্ধান্ত দেননি
a2aa6e37af	8845d	দলিল-দস্তাবেজ সাপেক্ষে গল্পের সরলীকরণ
a2aab43620	ca831	পারমাণবিক পরীক্ষা করার জন্য
a2aacc0f77	809cd	জোয়ারের পানিতে তলিয়ে যায়
a2aae8daca	520fb	কীভাবে রোমিও-জুলিয়েট
a2ab63e64b	d2294	বিশ্বকাপ ফুটবলের ফিকশ্চার
a2abd31f74	6c6bf	দক্ষতার সাথে করলেও
a2abe40e94	73629	সে ব্যাপারে আমরা কি নিশ্চিত
a2ac91e25c	18a52	অবৈধ হিসেবে
a2ac9c5b7d	430b2	সে তালিকা চূড়ান্ত হবে আজ
a2acd0fdb9	6ee5f	নেত্রী হিসেবে
a2acea3ce7	a46e2	প্রোগ্রামের যথার্থ বাস্তবায়নে
a2adc03e9d	ced74	এশীয় উন্নয়ন ব্যাংক বা এডিবি
a2adf27278	2396d	অন্য কীটপ্রত্যঙ্গ বসবে না
a2ae03ac5e	8b859	এমতো সময়ে বালীর
a2ae6f0bd3	9351a	শারীরিক সম্পর্ক স্থাপনের অভিযোগ
a2af2eac15	590d0	জনগণকে বিভ্রান্ত করার জন্য
a2af40c603	9f25e	তাঁর বামপন্থী অবস্থান ছিল স্পষ্ট
a2b02cbc84	7c272	উদ্বোধন করেছেন প্রধানমন্ত্রী
a2b0b68e60	88654	তার কাছে জানতে চেয়েছিলাম
a2b0db101d	4a67e	অনেকেরই মন গলে
a2b1855078	ad2a0	লিখছি, কারণ বিকেলে
a2b1d76f4f	1a4a9	গুয়ামে পর্যাপ্ত পরিমাণে
a2b1faa93a	616ec	বাঙালি স্বাধীনতা সংগ্রামের
a2b220d6ae	7d133	এক বছরের জন্যে
a2b255e342	195f7	সে জন্যেই আমরা
a2b2ad3da0	72649	কবিতার প্রতি
a2b2f61fde	cc18a	আমার ঝগড়া হয়নি
a2b3940284	943de	ইন্দোনেশিয়ার পোশাক কারখানাগুলো বড়জোর দোতলা।
a2b4664c87	274ee	ফিরিয়ে দেয় তারা
a2b4e09518	e31e7	দুটো ছেলে আছে আমাদের
a2b4f4aece	0d4cb	জুলিয়েটের সমাধিকক্ষে
a2b584eced	4fbd1	বিজয়ীদের হাতে পুরষ্কার তুলে দেন
a2b5be4d59	bc81e	কম্পিউটার প্রকৌশলী
a2b62f8adb	ac0df	ফিফা বিশ্বকাপ
a2b63904b8	d136b	৩৪ বছর বয়সী
a2b6862862	ff0fe	জোরালো একটি শট
a2b6aaf620	ef915	সারা ভারতে
a2b76fd735	f600a	আদালতের এই সিদ্ধান্তের পর
a2b77aacec	b00ba	এই মুহূর্তে আমার স্বামীকে
a2b7f56121	9642e	সোহেল রানা
a2b82cf301	d2294	লম্বা, কালো
a2b8749dea	93d3b	আগের পাঁচ বছর
a2b909f4f9	58998	কিন্তু হঠাত্ করে
a2b9a3a8fe	64092	প্রথম বাঙালি
a2b9f70991	4164f	বাংলায় অনুবাদ করতে হোত
a2b9ff6a87	2695f	রেল যোগাযোগ বন্ধ হয়ে গিয়েছিল
a2ba06f7fc	6973e	নজর দেয়া যায়নি এখনও
a2ba407d16	717bb	আইন করে হরতালকে
a2ba55c5fc	e754e	পাকিস্তান ও যুক্তরাষ্ট্রের সম্পর্কে
a2ba6d4559	8143b	প্রয়োজন অনুসারে
a2bb0eb25a	29f8c	একটা গুহাও আছে
a2bb2c526d	c463d	শান্তিতে অফিস
a2bb64f019	3ec4d	কবুতরের হাট
a2bbcf5e88	ff970	তবে তরুণদের ভাবনায়
a2bbfd014f	6b437	ঠা ঠা করে হেসে বলেন
a2bc0b24c2	cfc65	ভারতীয় পুরাণমতে
a2bcb1123e	f2b7d	মাত্র ৪৩ বছর বয়সে
a2bcba4262	d8c80	সাধারণত বাতাসের সাহায্যে
a2bcd1f1f5	4bede	যেকোন তথ্যাদি
a2bd12a405	e43d4	পাকিস্তান ও শ্রীলঙ্কা
a2bd260936	6b437	মাহীর বিপরীতে
a2bdbf1a11	1b359	৩২ ম্যাচে ৮৪ পয়েন্ট পাওয়া
a2bdc6c806	16e96	পরের বৈঠকের জন্য
a2be56ef2f	2695f	এলাকার উন্নয়নে
a2be758ad3	ca088	শিব এসে যায়
a2bf0cba8b	7a227	শওকত ওসমান
a2bf1b5247	809cd	তবে যে উইকেট
a2bf586685	33814	স্কুল শিক্ষক করুনাময়
a2bff0c4f0	60b9d	অংশ, ভগ, মিত্র, জলেশ্বর
a2c02d116e	b7be9	কথা কাটাকাটির এক পর্যায়ে
a2c034bd5a	282d3	বললেও তারা
a2c0b4e060	4bd2c	এমনটিই লক্ষণীয়
a2c0d7f32d	ca831	যারা এসব করছেন
a2c12528c0	75f18	প্রায় একশত ট্রাক
a2c1e73cf3	16cfb	বাংলাদেশের টাঙ্গাইল জেলায়
a2c1f24df2	420df	প্রতিশ্রুতি দেওয়ায়
a2c210f9ea	ce180	৫ মিনিট পর ধুয়ে ফেলুন
a2c225b567	84145	চল্লিশটা উত্তপ্ত বছর
a2c27ebbb5	73629	উপর কোনো
a2c322696b	e3d8b	এ বাড়িতে আছে
a2c3309902	4237e	স্থানীয় লোকজনের মধ্যে
a2c344b53a	a4750	লাখো মানুষ
a2c3d4430c	46da4	হৃদকম্প সৃষ্টিকারী
a2c4f454a6	16cfb	হত্যা করে
a2c5329de3	c4973	নাটোর-রাজশাহী মহাসড়কের ওপর
a2c532b7d7	01e91	ঢাকায় মিরপুরের শেরে বাংলা ক্রিকেট স্টেডিয়ামে শনিবার এই ফাইনালে পাকিস্তান টসে জিতে প্রথম ব্যাট করে ২৬০ রান করেছিল।
a2c5b426a7	77f82	ঐদিন সেই আয়োজন
a2c5eec69f	e6e48	রাজনৈতিক অচলাবস্থা
a2c60671b7	60f77	আইনে বলা আছে
a2c6488afd	f29bf	উগড়ে ফেললেন
a2c651e263	83c53	১৫ হাজার টাকার মধ্যে
a2c6a9cdb4	72649	রবীন্দ্রনাথের বহুলপঠিত ও জনপ্রিয় উপন্যাস ‘শেষের কবিতা’।
a2c6b9382a	ef915	স্ত্রী পারভিনের সঙ্গে
a2c6ed7e24	31f09	ছটকু ইয়াসমিন
a2c711bea2	932bb	উভয়ে ব্যবহারের জন্যই প্রযোজ্য
a2c7c09d15	fb4cb	এটিএম শামসুজ্জামান
a2c7d2c63e	a274b	২০০৯ সালে অদিত ফিচারিং
a2c7ded63b	860f4	আবারো সুযোগ পেয়েও
a2c861f3bd	2396d	পক্ষিণীর গোত্র ভুল করে
a2c87579ea	ad69a	অভিনয়কে পূর্ণমাত্রায় বোধগম্য
a2c8a9b0e1	5dd61	তিনি মানব স্বভাব
a2c8ad0829	b8fe1	দেশটির অন্য সব এলাকা থেকে
a2c8b59f34	3bea8	নির্যাতনের অভিযোগ থেমে নেই
a2c8c3e061	491a5	ইত্যাদি অঞ্চলে
a2c9483a89	1c618	হেগে স্বাগতিকদের ৮ উইকেটে
a2c99335a0	09f0d	শুরু থেকে আক্রমণাত্মক
a2ca2242ec	80505	গোটাকুড়ি দেশ
a2ca49255d	f29bf	তাকে মেগাক্যারিওসাইট বলে
a2cac15d48	71522	হোয়াইট হাউস বোকো হারাম
a2cae40873	3fae0	তাকে গ্রেপ্তার দেখানো হয়
a2cae62679	860f4	রাষ্ট্রপতিকে অবহিত করব
a2cae6f87e	c11b1	তাদের বুঝিয়ে সড়ক থেকে
a2caf8a9b1	14816	এটি দ্বিতীয় ঘটনা
a2cafa0313	cd3ac	আমরা শুনেছি
a2ccb6b056	7aed9	গুঁড়ামরিচ ১ চা-চামচ
a2ccd471b2	c8f7f	ঝগড়া
a2cce8d995	af81d	শ্রীপুর থানার ওসি
a2cd34fccd	c0965	তবে তাকে আটক করার মত
a2cd5ddf49	ca088	উদ্ধার তৎপরতার অন্যতম সম্বন্বয়কারী
a2cd623202	18a52	তাদের কাজ বেশি
a2cd6f64a5	ad050	এখন না হয়
a2cdac2603	1c618	পুলিশ জড়িতদের
a2ce3a220e	7d133	খোলস চারদিকে ছিটিয়ে পড়ে
a2ce5db043	1c618	কণ্ঠশিল্পী কর্ণিয়া
a2ce8a4b8d	809cd	অপরাপর সংগঠনগুলো
a2ced452d8	bbb22	রাজি হয়েছিলাম
a2cedeb2f1	1a2a1	শঙ্কর ও টেবিলের
a2cee410d3	13b6a	এরহেনিয়াস সংজ্ঞা,
a2cf2c403e	fd880	রফিকুল ইসলামকে আটক করা হয়েছে
a2cf747b2c	3fc9d	সমাবেশের উদ্দেশ্যে
a2d11ae5c8	29bab	সব ব্যবস্থা করা হয়
a2d1366a18	3fce2	বাংলাদেশ রেডিও
a2d13e0d08	b7be9	আন্তর্জাতিক ক্ষেত্রে
a2d154fbbc	0895a	বাধা রইলো না
a2d1e4801b	c463d	তৈমুর শাহবাজের
a2d221dd37	16e96	ক্রিমিয়ার গণভোটের সিদ্ধান্তকে
a2d2236781	e2c11	চোখ বুজতে বাধ্য হলো
a2d2437fee	e6752	তদন্ত অব্যাহত থাকবে
a2d2d5df51	b08d0	তারা কত কম জানে
a2d33caa85	6e6fa	বহু ক্ষয়ক্ষতি
a2d382ac65	c0965	আমার স্ত্রীর নামও নাহার
a2d3ae59af	323f1	আবার যায় না
a2d46f6fed	e8dde	বিধান চালু করতে হবে
a2d4adef8b	25117	ভারতীয় প্রমিলা ক্রিকেটার
a2d5007b82	7d3e1	এধরণের কাজকে
a2d50d7a11	aa820	সে জন্য প্রত্যাশা করি
a2d5903bdd	fb4cb	মাতৃভাষাকে রক্ষা ও প্রতিষ্ঠা করার জন্য
a2d5994589	b9122	তেমনি সমালোচনা
a2d5c2ee28	e03ce	এ কারণে দু’বছর আগে
a2d5c52ca3	f83df	আমরা প্রথমে উৎপাদনে
a2d5f04f0f	3fb17	ক্ষমতা থেকে সরে দাঁড়ানোর
a2d6482c51	2ee04	চিকিৎসাসহ নানা তদবিরের
a2d6738da6	a43b5	আইনের উপর ভিত্তি করে প্রতিষ্ঠিত
a2d6c8d949	56508	জগতের যে সকল সমাজের পুরুষেরা
a2d6cb40d4	ea5be	ডাঙর হয়েই
a2d6e36139	2aecc	গৃহীত হয়
a2d77ec400	1de6c	এত বড় হনূমান্
a2d805710d	bbb22	আদায় করতে পারেনি তারা
a2d83e4941	dafb6	চার্লস হাভিল্যান্ডের প্রতিবেদন
a2d862ef13	1e7c6	কোনো সৌন্দর্য নেই
a2d8ee3259	698a4	নিখোঁজ ব্যবসায়ীর ছেলে জয়নুল খান
a2d930bfc5	a9a58	উৎস হিসাবে
a2d9e46a88	3f493	পাকিস্তানের পাঞ্জাব প্রদেশে
a2da0dcdb6	c173f	নির্বাচনের প্রস্তুতি
a2da5e25b3	a274b	অন্যদিকে লংমার্চ আহ্বানকারী সংগঠনটি
a2da6b2f3d	92bb2	যারা এসব করছেন
a2dad62c57	d1a48	ঝাঁটা মেরে তাড়িয়েছে
a2db9735f6	14816	কমে যাবে
a2dbbe2313	ab946	স্বাধীনতার পরই
a2dc396183	2de86	চালু করার জন্য
a2dc493ef1	ac904	তাদের এ ধরণের কার্যকলাপকে
a2dc9e0d86	8632b	হলেন একজন ইংল্যান্ড ক্রিকেটার
a2dcec1d4c	b9122	ঢাকার বাইরেও
a2dd48ed6c	3fae0	হাসপাতালের জরুরি বিভাগ
a2dd657dcb	6c6bf	ওপরে আক্রমণ করে
a2dd8ef4fe	ff1c3	তৎপরতা বেড়ে যায়
a2dde1308f	4c555	আমার ব্লগ
a2df1879c8	58998	নিজেকে ডুবিয়ে রাখার ফলে
a2df75295e	b2a62	একটি তদন্তকারী দল
a2dfb81e22	f89d7	তেলাপোকা
a2dfbfb6b0	d5f7b	বাংলাদেশ আর্মি
a2dfdb6b69	5639c	পথ ভুলে
a2e097e508	f2780	এতদিনে সে তাকে পাকড়াও করেছে
a2e0e0510b	509f6	বিশেষত বিদ্যাসাগর মহাশয়ের ভাষা
a2e108660d	e754e	দৃঢ় আশাবাদী
a2e1a2e1ec	06ea3	আলোড়ন তৈরি
a2e1cc17cf	c463d	প্রধানমন্ত্রী চাইলে
a2e21a62ce	ba2f6	আপডেট
a2e237e7fd	35ef3	তামিল ছবি
a2e24637a2	93080	অ্যাংলোইন্ডিয়ানরা সংখ্যায় মাত্র
a2e25f2fde	698ff	গাজীপুর জেলার মুক্তিযুদ্ধের ইতিহাস
a2e292d365	33aef	নিজেও নির্দেশনা নিয়ে অনেক নাটকের
a2e2c35a6d	b8bba	অজীর্ণ ক্ষুধামান্দ্য প্রভৃতি রোগ
a2e3042d43	9f25e	তাহলে এই শক্তিকে চেনো
a2e32db622	13b6a	তাকে উদ্ধার করে
a2e373a85f	4164f	বাংলাদেশের মানুষ আজ
a2e4606ed9	3fc9d	মেনে নিতে হবে
a2e4ee8136	410fa	এই বলে তারা
a2e50e9369	75936	কোনো ভয় নেই
a2e52ad3ff	16cfb	প্রায় এক মাস আগে থেকেই
a2e56a0afc	29f8c	নাছারারা তাদের
a2e588c04b	cfc65	যারাই পণ্য কিনছেন
a2e6178fa2	66b3c	সত্যি বলতে কী
a2e642c2d0	9065c	সুকুমার রায়
a2e65d312e	c1e30	মধুর সম্ভাষণে
a2e6bca571	c749e	গ্রেপ্তার করে টাঙ্গাইল গোয়েন্দা পুলিশ
a2e6d711bd	bcaa8	গঠন করে আদালত
a2e77bbaea	ad050	সবেধন নীলমণি শাকিব খান
a2e8700c72	b9b98	পার্বত্য এলাকায়
a2e8b63839	e6e48	পুলিশ বাবু মিয়ার বাবা
a2e8e70a32	66b3c	অন্যদের চেয়ে আলাদা
a2e917f461	f2097	সংঘর্ষের পেছনে
a2ea387fe0	b08d0	নিরাপত্তা চাওয়া
a2eb6c1dba	a06a1	আদালতে রিট আবেদনকারীর পক্ষে
a2ebbe7245	9d398	নুরুল ইসলাম নাহিদ
a2ec57380a	39293	পণ্ডিতেরা সকলে
a2ec660a59	b9122	এটি দেশ ও
a2ec745e4f	92bb2	রিপনের মাথায়
a2ec89ae7e	b8bf0	প্রতিষ্ঠানটির প্রতিটি শেয়ারে
a2ecb3b554	e00db	ইসলামি আন্দোলন বাংলাদেশ
a2ecfa5f6a	d9ba9	হত্যার হুমকিও পেয়েছেন
a2ed93896f	16cfb	সতীশকে না বলিয়া
a2edae6619	2c9c5	৪ কাপ পানি দিয়ে
a2ee8e3e43	93d3b	সবচাইতে গুরুত্বপূর্ণ পথ
a2ee9579d5	d71a3	তিনি প্রথম চলচ্চিত্রের জন্য
a2eeb4a4d2	9f25e	উদ্ধার হওয়ার
a2eec05e28	1de6c	তাৎক্ষণিক প্রাণদণ্ড
a2eed90b4b	a0277	সোমবার বিচারপতি বোরহানউদ্দিন
a2ef38172d	6ee5f	বুঝতে বুঝতে বড় হবার সময়
a2ef491270	80e98	সংবিধানের ন্যূনতম জ্ঞান নেই
a2ef9242e2	355c1	আজকের দিনটি উপযুক্ত
a2f084b9dc	ab946	নৌকার ছবি
a2f0923062	6b437	নভেম্বর ১৩, ১৮৪৭ - ১৯১২
a2f0f466cf	71522	ব্যাপারটা তখনকার
a2f10de9ee	6d129	তোর ভাইকে
a2f1694bd0	b78ec	নদী দেখতে পেলে
a2f195ea70	11bd2	যে দলের ইমেজ
a2f1ef9b86	31f2a	এসব ভলকানো পাহাড়
a2f20b7498	616ec	তা যুক্তরাজ্যের পুঁজিবাজারে
a2f2449655	13b6a	স্থলাভিষিক্ত হবেন
a2f28f1416	ad050	বললেই হয়
a2f345ba62	ee852	দোলগোপোলভ হারিয়ে এসেছিলেন
a2f426b406	5e80b	তেলেঙ্গানা
a2f448c2d8	1cb75	অমৃতার ফেসবুক অ্যাকাউন্টটি
a2f4bf28af	f2097	তোমার সম্বল তুমি
a2f4d81e4e	ad98d	স্টেশনঘরের পিছনে
a2f5020f65	0bace	শুনতে ভালোই লাগছে
a2f53bb51c	7027a	সব সময়
a2f57b2bf2	d9b11	সর্বশেষ যোগ হয়েছে জাপান
a2f5f93cad	66c6b	রচনা সমগ্র
a2f61e2825	ff1c3	যুদ্ধাপরাধীদের বিচার ইস্যুতে
a2f6304dc4	e2c11	তাহারা খাঁটী জিনিস দেখায় না
a2f689a6a5	2f547	প্রশ্ন উঠেছে যে
a2f6a70cd8	ca088	থুতু ফেলি উঠোনে
a2f6d1d884	943de	রনির হয়ে কাজ করেন
a2f6db9684	52f27	সাড়ে ৮টার দিকে
a2f70f93a9	b8bdd	সৌধটি নির্মাণ শুরু হয়েছিল
a2f7285d22	49d63	মনোহর বইয়ের
a2f73b3e3a	59c73	কঠোর সমালোচনা করে
a2f749dcfc	11915	এ সময়
a2f77787a1	f83df	মো. আবুল বাশার
a2f7d98d6d	f600a	বুঝলাম না
a2f87028b4	6b437	রিভিউ
a2f87604eb	59c73	ফতুল্লার স্কুল ছাত্র
a2f8d0b1b4	80505	ওয়ানস্টপ সার্ভিস
a2f91e360a	e03fc	বিজিবি ও পুলিশ মোতায়েন করা হলে
a2f9241e6e	dae88	অসুবিধাতেও পড়তে হয়
a2f93b3fa0	7aed9	অপহরণের পর নির্যাতন করে
a2f9ed2db9	43b04	কঠিন সমস্যাগুলির অন্যতম
a2fa0bab96	d8c80	দর্শকদের একজন বলেন
a2faaed893	d3e06	বাংলাদেশের রাজধানী
a2fb0eb008	0d9f1	কোনো একটা জ্বলন্ত
a2fb0ff607	ee4ad	আসলে কতটা
a2fb1f0918	07660	পুলিশ দম্পতির
a2fb69cd06	f89d7	প্রধান ভাষা
a2fbce06c7	3bb15	র‌্যাবের উপস্থিতি টের পেয়ে
a2fc4762bd	72649	আমার উপলব্ধিও
a2fcb5d6af	06bb7	নারী-পুরুষ উভয়কে
a2fd149839	d3e06	জালিয়াতির ঘটনাও
a2fdabe1e0	5639c	সেই শিক্ষাটা
a2fdb7dd9d	9065c	পরের ওভারে
a2fe79cef7	18a52	শিল্পটির সবচেয়ে বড় বাজার
a2fea239b2	698a4	গর্হিত হিসাবে ধীকৃত
a2ff164c24	f2097	এমন ভার হয়ে দাঁড়িয়েছিল
a2ff47bd26	ba2f6	এত ভয়, এত লজ্জা
