d00012e69f	32c77	সাধুবাদ জানাই।
d07d9cc771	91b16	স্নায়ুতে কিরকম একটা উত্তেজনা
d07e12976a	18460	চিঠি
d07e6bca58	d5213	এই সচেতনতা
d07ea5a726	536d9	কোটচাঁদপুর থানায়
d07f4cca12	65e30	আমাকে জিজ্ঞাসা করলেন
d07f5703d4	e6e48	তাদের পার্কে
d07f7349e1	08458	এমন ১৬টি বিশালাকার
d07fce71af	6ee5f	গোটা ঘটনা
d07fe8c4c3	fcefa	তাও আবার ইরানের মতো
d0800f676b	4f2ae	ওয়ার্কার্স পার্টির ২
d08048ac60	6c17f	সাদ হত্যা
d08069f1eb	c958a	দিন আনি দিন খাই
d080b2c32c	69d9a	তাকে নির্বাসনে পাঠানো হয়
d081191ad1	91ac1	বাংলাদেশের আন্তর্জাতিক খ্যাতিসম্পন্ন
d0811befcc	0e637	তিনি আশঙ্কা করছেন
d0811c0bf6	16e96	ইতিহাস বলে
d081304ece	80505	রাতটি তাদের বাড়িতে থেকে যেতে
d08208c91f	1a4a9	নিচে লেখা থাকবে, আত্মহত্যা
d082295173	cb627	থানায় দারোগা আটক
d0828f956f	bcaa8	পরিবারসহ বাড়িতে তালা মেরে
d082983245	43fc0	স্বামী-স্ত্রী ধরে নিলেন
d082aa165a	8cf95	প্রয়োজনীয় মানোন্নয়নের জন্য
d08317a59b	f2097	তাহা লাভ করিবার
d0833ea36a	4bd2c	তিনি অভিযোগ করে বলেন
d0846c5e2b	121bd	স্বল্পমূল্যে খাবার বিক্রির
d084fe1848	860f4	মাথায় কর্মক্ষেত্রের
d08509d31b	282d3	শারীরিক দুর্বলতা দেখা দেয়
d08574f9be	c5479	শঙ্কর ডাইনের গুহায় ঢুকল
d085aab74e	a699c	আর্জেন্টিনায় অনুশীলন করছেন লিওনেল মেসি।
d085abf738	4e900	যুক্তরাষ্ট্র সফররত স্বাস্থ্যমন্ত্রী মোহাম্মদ নাসিম
d085eddb4f	ba2f6	বিভিন্ন রোগের কারণে
d085f7c5e1	7f2ef	৬ জন বদলি খেলোয়াড়
d0862424fa	03284	বলে, 'তুই করবি দুর্গা'
d0866c5e29	28dfc	মাধববিবি নামের
d086990c8e	a8710	মূকাভিনয় শিল্পী পার্থপ্রতিম মজুমদারকে
d087a4944c	da6f0	ইসলামী বই
d087b64faa	536d9	পশ্চিমবঙ্গে লালনমেলা
d087bf9c90	a4750	তাঁর সম্মানে
d087f80907	32c77	কবে চালু হবে
d08804354c	fcefa	জনসংখ্যা হল ২৬৭৭৯ জন
d0882cac60	b00ba	সেই চীনের দূতাবাসও
d0889b5e95	3fae0	রাজনৈতিক ফয়েজকে
d08936eb85	7297e	মসজিদের ইমামের ঘরে
d089b27a40	e2c11	জয়নুল আবেদীন
d089b4a35a	b00ba	কেএম এনামুল হক
d089ce9712	8cf95	সেখানে নিহতের সংখ্যা ১২১
d08a05ee13	3b1f7	ছাত্রছাত্রীদের আর এ ধরনের
d08a549370	e03fc	এ পাড়ার কারও সঙ্গে
d08aaa9157	aabe7	যে যদুবংশেই কৃষ্ণ জন্মগ্রহণ করুন
d08b38f6e8	6fb36	ফ্রি নেট
d08b53c113	29bab	কারাগারে কেটেছে
d08b93e88c	3ccf1	সৃষ্টির প্রথম দিন থেকেই
d08ba3c1e2	730c3	আরও বেশি সংকীর্ণ
d08c1a37d0	56508	ফেসবুক, টুইটার সহ
d08c276e58	9d46f	একটি সময় এর মূল কারণটি ছিল অনেকাংশে অর্থনৈতিক এবং একই সাথে ধর্মীয়।
d08c7c1b3f	13b6a	অস্ট্রেলিয়া বাসীদের
d08d5966ea	54cdd	আমার কাছ থেকে
d08d938446	14816	আরও অনেক কথা হয়
d08e11e8a7	ec91c	কুমার বিশ্বজিৎ
d08e1400d9	8632b	আগের কথা
d08e4f5207	fbb81	কর্ণাটক রাজ্যের
d08e57d29d	32998	অরুন্ধতী রায়
d08f9d36f9	2d78f	তাহাতে কোন কোন ভগ্নী
d08fea6785	b52ab	ঠিক এই জীবন
d0905595b9	db181	যোগ হতে চলেছে
d09091cb4e	bdd05	সম্প্রতি দেশটির জাতীয় সংসদে
d0909af7a0	903fa	বেঙ্গল মিউজিক
d090b8b555	91dff	কাসুর লাল ঘুড়ির মত হাওয়ায়
d09146d0a5	38d3a	তিনি সমান দক্ষ
d091481d79	282d3	আটক দেখানো হয়
d0914ccc55	a699c	গালিবের বিজ্ঞাপন কোম্পানির
d091835d28	e9fa7	সেই মানসের সংগঠনেও
d091a879f8	98b81	শ্রেষ্ঠত্বের লড়াইয়ে
d091b078fb	4a67e	সেদিন জনসন এবং লিনের মধ্যে
d091b291d6	809cd	দুদকের উপপরিচালক
d091f1a35a	5e80b	কুড়িগ্রাম সদর
d0925044ae	767ff	২৬ জানুয়ারি
d0925f0401	3d17c	শনিবার নিউ ইয়র্কে
d09272c16b	adf01	মুসলমান
d09287ca00	b5fdc	বন্দুকধারীর গুলিতে
d092a94e9b	66b3c	নারীবিরোধী সমাজের
d092b3031f	cb1aa	তারা সরকারের লোকজন
d092e7573a	ced74	দেশের বর্তমান অবস্থা
d09301901a	2695f	এসে পড়ল
d093ae7ca8	967fd	কেউ এড়াতে পারেনা
d093d0de9b	6d129	কর্মসূচি দেব
d093ed840d	32b3e	একটি ফ্ল্যাটে
d0942a9cea	b52ab	অন্যতম বড় প্রতিশ্রুতি ছিল
d094325735	bf530	তার ছেলে তারেক রহমান
d094df7a9e	f600a	ফয়েজ তাঁর আদর্শের অবয়বে
d094dfcf7a	b9122	তাঁর ভাষায়
d094e0cca7	442b7	অনাদায়ে এক বছরের কারাদণ্ডাদেশ দেয়া
d094e85fcd	6b437	ব্রিটিশ পার্লামেন্টে
d094fd7f22	7f2ef	আমাকে উত্তুরে হাওয়া এসে
d09594d915	bf530	তাই আমাদের সবার উচিত
d095c1abfd	2695f	আনন্দ-খুশির অবর্ণনীয়
d095ca5369	491a5	অনুষ্ঠিত ইন্টারন্যাশনাল আর্ট এক্সপোতে
d096aedc3c	ba2f6	মুক্তিপণ আদায়ের সাথে জড়িত
d096b70d12	d711f	সভা শেষে
d096e05360	13b6a	ভাগ করেছে
d09702b93e	8406e	এখনো মনে পড়ে
d09790c424	06527	চলে গেল
d097aab41a	ee7b2	মহিউদ্দিনের হাত ধরে ছিলেন
d097c80fca	31f09	স্যালাইন পান করুন
d097fb78ec	9f25e	হিন্দু জাতীয়তাবাদ
d0982fa46c	fcefa	হয়তো আমদানি বাড়বে
d0985c27c1	442b7	এসবই প্রলয়ের ভয়ানক
d098d57da2	5d12f	ধারনা করা হয়
d098d98131	0d8c1	সামুদ্রিক অ্যাকোয়ারিয়া
d098eb64eb	3b1f7	বাবা আজিজুল হককে
d099059e2b	38d3a	আগৈলঝাড়া
d09909371e	4e900	ও ভীষণ চুলকায়
d099565d80	12702	তার নজরে এসেছিল কিনা
d09970c425	9813c	এখন বিজেপিরও নেতা
d09992db90	06527	মহাস্থানগড়
d09996be9c	d7a68	তখন দেখা গেল
d09997ed0d	24f73	মনোয়ার ইসলাম বলেন
d0999ef4f4	5dec6	একই সঙ্গে রাজনৈতিক
d099a87b3c	d2294	সহস্র যন্ত্রনা
d099b9cfc4	a1d4a	ব্যবসায়িক উত্থান
d09a162954	ff1eb	সম্প্রতি এক সুপারনোভা ক্যামেরায় ধারণ করে নানা-পরীক্ষা নিরীক্ষার পর তার ফল এক গবেষণা জার্নালে প্রকাশ করেছেন বিজ্ঞানীরা।
d09a4745fc	536d9	যখন তখন আমরা
d09a8d3e4b	698ff	পালি ও প্রাকৃত
d09b1857d1	64092	সহিংস হয়ে উঠতে পারে
d09b556e55	f1ff2	তুমি কষ্ট পাবে
d09bfdb41b	e2f12	কেসটি গ্রহণ করেছেন
d09c01af63	bbb22	সব পর্যায়ে
d09c0ea7bc	4bede	দেনা শোধ করে
d09cc40b21	3fce2	৫ই জানুয়ারির নির্বাচনী প্রক্রিয়া
d09cdc686b	086dd	আইনজীবীদের সঙ্গে
d09d135f0e	16a17	বিস্তারিত-ভাবে বর্ণনা করিল
d09d18357d	9092b	বেহারির চরিত্রে টোটা রায়চৌধুরী
d09d836409	b618b	কিন্তু ব্রিটিশ বাজারের
d09d932064	616ec	তাঁকে কলঙ্কিত করেছিলেন
d09df45728	06736	সরকার কৌশলগত গণসংযোগের উপর
d09df9abb5	08458	তাহার দিকে চাহিলাম
d09eb7bb6b	b9b98	পরিষ্কার কিছু না জেনে
d09ec378e6	a06a1	ওই অনুষ্ঠানে আরো উপস্থিত ছিলেন
d09f73246c	c41d8	আলোর উৎসবের
d09fdd75f1	09f0d	আপনি সরকারি অনেক ফরম
d0a001b6d3	d9817	প্রথম দল হিসেবে
d0a003195c	fd880	বিক্রয় ডটকম
d0a00f28fb	23291	তার নিকটতম প্রতিদ্বন্দ্বী ১৯ দলীয় জোটের জামায়াত প্রার্থী একেএম এমদাদুল হক মামুন পেয়েছেন ২৬ হাজার ২৫৯ ভোট।
d0a08783bd	520fb	কাকাতুয়া যখন ক্লাস ফোরে
d0a0ed6489	a1201	আহতদের মুম্বাই সেনা হাসপাতালে
d0a150113e	93080	হানাদার বাহিনীর মতো
d0a16b5873	54cdd	ভিনটেইজ ও মড
d0a1cf7453	fcefa	আল্লাহর ভয়ে, দোযখের ভয়ে
d0a2264b0d	14816	নতুন মন্ত্রিসভাকে
d0a2e7d126	b8bf0	চন্দনা
d0a3881d2d	ce180	নির্বাচন চায় না সরকার
d0a412c9ec	d5213	এতে বোঝা যায়
d0a4863458	1b359	ভোগ্য বিষয়
d0a493ffe2	410fa	বিয়ের প্রস্তাব দিলে
d0a58a066c	e3d8b	ডাকতে এসে
d0a5cc742a	8a46d	এই খবরটি বিশ্ববাসীকে
d0a6532159	2de86	পিঠা খেতে আসা
d0a6885666	6b437	আসরের সফলতার পর
d0a6b53e8e	a46e2	পরিবর্তিত হয়ে গিয়েছিল
d0a6b7fb8e	22096	তা মানব জাতির জন্য অনুকরণীয়
d0a6f69dc7	7ec1c	এই খেলনা বাঘটি হয়তো
d0a7619bd7	05901	দুয়েক জন ভূমিদস্যু
d0a78956e8	ced74	চার্জ বুঝে নিতে হবে
d0a7b04c31	17dcd	শহরের কোর্ট বাগান এলাকায়
d0a7e76086	7e1d5	এমন সব প্রত্নসম্পদ ছিল
d0a7eb9b90	ec91c	লুৎফর রহমান
d0a7ff66f8	14816	ফলে লেখককে
d0a8692763	9065c	আদালতে নেয়ার পর
d0a8cd00f9	4c1eb	কারণ এইসব গল্পে
d0a8d8aa3a	e6203	সপ্তম শ্রেণীতে
d0a8df18c6	64092	হঠাৎ সে ভীষণ রেগে যায়
d0aa080a39	a916a	জীবন যাপন
d0aa162da6	6c6bf	যান নি ওই গ্রামে
d0aa8f55d3	4c555	জাফর যাওয়ার সময়
d0aaa3a68a	0744c	আরেকটি আক্রমণাত্মক ইনিস
d0aac041e0	6aac8	বেশি দেখা যায়
d0aae3cbf6	6ee5f	পরিবেশ থাকে না
d0ab1bcc57	21e54	সেন্সর বোর্ডে
d0ab6b21f0	a8710	প্রয়োজন মেটানোর জন্য
d0ab95710b	5dd61	পপ গানের প্রতি
d0ac02a6a0	c0965	সত্যিই কি তিনি মাদকাসক্ত
d0ac4e4cc8	43fc0	আইফেল পর্বতমালার প্রায়
d0acb27e54	c0965	পশ্চিমবঙ্গে অন্নপূর্ণা
d0acc044ab	ab946	যে দিওয়ান বা রাজসভার
d0accdbc38	7b103	আমি আর কোথাও দেখিনি
d0ad051490	3faff	যা যকৃত এবং কিডনি
d0ad1a90dd	21e54	প্রত্যক্ষদর্শী সূত্রে জানা যায়
d0ad2c74f3	420df	বিবিসি বাংলায়
d0ad98f4b1	da6f0	ঢাকা-বরিশাল ১৭০ টাকা
d0ade0c26e	60b9d	তাদের সামনে
d0adfdceab	6aac8	রেগেছে বুকে
d0ae35c8d7	554fe	করিতে মান দিবে না
d0ae7f9f77	80505	দায়ের করা হয়
d0aec8319b	717bb	সারাদিনই ছেড়ে যাচ্ছে
d0af169809	25696	উত্তোলন করে
d0af241b34	b8bba	একটি মহল
d0af345a3a	0d8c1	শিরোপা-প্রত্যাশী ভারত
d0af9f2b49	c3cb3	এই গ্রুপটির ঘাঁটি
d0afad1b0a	12702	রমণী সুন্দরী; ধ্বনিও সুন্দর
d0afdadd83	93080	উঠোনের অনেকগুলো চোখ
d0b0282672	1a4a9	অনেক ভাল খেলোয়াড়
d0b08c464f	9e923	ফিলাটেলিক ব্যুরো ও কাউন্টার
d0b08c7127	25696	এখন কি মুশকিলটা হল
d0b0a4c100	767ff	বেশিরভাগ নারীর কাছে
d0b0c397c1	c1e30	পুলিশকে বলেছে
d0b0d8d616	09b32	জড়িত থাকে
d0b0efe323	c2082	ত্রুটি আছে আমাদের
d0b16ed63f	ee4ad	মাদরাসা কর্তৃপক্ষকে
d0b1985489	f280a	কিন্তু এ পদ্ধতির কারণে
d0b1b8834a	8ba2b	বিসিবির সঙ্গে জড়িত আছি
d0b2547b51	932bb	আব্দুল্লাহ আল মুকিব প্রিন্স
d0b2882985	b7be9	পাশে পড়ে আছে
d0b2a1e3bb	778c0	ভয়াবহ সেই হামলার পর
d0b37ca20c	323f1	কবিরা সচরাচর
d0b3d5afb4	4f450	গত বছরের জুনে
d0b426f2df	cf82a	শক্তি চট্টোপাধ্যায়
d0b4750b93	1f974	গত বছরও বিভিন্ন ক্লাব
d0b515d913	698ff	ওকে বললাম
d0b540e123	82926	এক রক্ত-মাংসের
d0b5897c79	46d49	রাজধানীর বিভিন্ন এলাকায় হরতাল সমর্থকরা ঝটিকা মিছিল বের করে।
d0b619f9f5	5d12f	হুমকি দিয়েছে
d0b61fa6f2	880ae	তবে সে অপমান করবে
d0b621f6a8	6aac8	আরও অভিযোগ করেছেন যে
d0b62bb29e	2d78f	ওদের শ্যাওলা-পড়া সুর
d0b68af6ed	2ac82	কর্মসংস্থান ব্যাংক
d0b6fa3b24	f143a	অজদী মিনার
d0b74abe8b	b618b	স্বাধীনতাকামী মানুষ
d0b7b85086	8632b	এই সম্মানের মধ্য দিয়ে
d0b7f9082b	d41be	মারা যান শামসুদ্দিন
d0b80882bd	0895a	অনেকের অভিযোগ
d0b847d2aa	e9fa7	যে-ভক্তি প্রশ্নাতীত বা যুক্তিসিদ্ধ নয়
d0b8683e56	b5fdc	বরফ জমে
d0b86b9da0	ce775	হজে তিন পর্যায়ে
d0b93e447f	11915	শায়ান চৌধুরী অর্ণব
d0b944c78d	5639c	পাকিস্তান সরকারের পক্ষে
d0b9eb4a53	73629	এদিকে জানা গেছে
d0b9f6d290	f0f95	সমসাময়িক কনসেপ্ট ও অনুষ্ঠানের
d0ba192c5f	06e62	নির্দেশ করিবে
d0ba24ebb6	4164f	স্বৈরাচারী ব্যবস্থায়
d0ba744622	a8710	এছাড়া পারমাণবিক স্থাপনা
d0ba74d8fe	1a2a1	টাইমস অব ইন্ডিয়ার বিচারে
d0bab52981	43199	অন্যদিকে বিক্ষোভকারিদের গুলিতে
d0bae8db4a	1f733	গেইল
d0bb0613c6	f83df	এবং সম্পর্ক বেশ দৃঢ়
d0bb20fabc	91230	সবার ঐকমত্যের ভিত্তিতে
d0bb468ba4	e55de	যারা ওজন কমাতে চান
d0bb60452d	5dec6	মনে তৃপ্তি সাধন করি
d0bbac7ebe	4fbd1	বিবাহ আইন
d0bbbb578d	b8ed8	নবপলীয় যুগেরও নিদর্শন
d0bc22b94f	0744c	যখন ভোটযুদ্ধের
d0bc3edbaf	42898	অস্টিওক্লাস্টের অনুপ্রবেশে
d0bc4329f9	b08d0	তার উপায়
d0bc5b854e	14816	তাকে হত্যা করা হয়েছে
d0bc6c6aee	17ca1	প্রথম দফায় ঘোষিত তফসিলে
d0bc7f14e7	f4ba7	এই দিনে আমরা
d0bc8ee186	d9b11	এ ছাড়াও ডজনেরও বেশি
d0bcb82d09	91223	বাংলাদেশ প্রধানত নিউজিল্যান্ড, অস্ট্রেলিয়া
d0bcfae13c	d2d71	আতঙ্কিত হয়ে পড়ে সে
d0bd2abf0c	d5f7b	যে বড়সড় খেলার মাঠটি রয়েছে
d0bd2c406a	7898e	জর্জ হ্যারিস
d0bd934b0a	4a918	কয়েকদিন ধরেই বিভিন্নস্থানে
d0be8d46fc	8ba2b	সানিউরের বাসা
d0be948720	fbb81	সেই মহান দেশপ্রেমিক
d0bea1c421	ee852	জাফর আসে নাই
d0bee189e2	a9a58	হোয়াইট হাউস বোকো হারাম
d0bf6a1a55	0d9f1	বাংলাদেশ নৌ বাহিনীর পক্ষে
d0bf8e38fc	d5f7b	উইন্ডোজ অপারেটিং সিস্টেম
d0bfe078c7	91dff	বাংলাদেশ জাতীয় গার্মেন্টস শ্রমিক
d0c02d4f63	16877	এই পাঠান-মোগলদের ইসলাম
d0c047a779	5639c	চার দিন
d0c0ae478a	903fa	সাধারণ সম্পাদক আব্দুর রহমান লিটন
d0c11c1dff	b78ec	এমন কজন কাকড়া শিকারিকে নিয়ে
d0c1522525	0f047	তাদের দায়িত্বে
d0c17948ce	7df87	গলিটা আঁকাবাঁকা
d0c1c3adef	93d3b	মামলায় আসামিপক্ষে
d0c1c7eeb1	ad69a	খুব হুঁশিয়ার থেকে
d0c1dcd17a	404ee	এক্ষেত্রে প্রধানমন্ত্রী
d0c22f2d6a	09f0d	এই প্রস্তাবগুলোর মূল কথা হলো
d0c2cb98e0	e2c11	বরাত দিয়ে
d0c2df12ff	16877	এত নাচকাচ কেন
d0c2fc4b7c	a274b	অভিধানের নতুন সংযোজন
d0c36b99bd	5dd61	যুক্ত হয় উৎপাদিত বিদ্যুৎ
d0c36ec405	590d0	বাসের পেছনের দিকে
d0c38d26c8	23291	গেমস আয়োজন করার
d0c3ed36e0	56508	পাশ্চাত্য প্রাচ্যবিদেরা
d0c3f83013	730c3	নাচতে চান
d0c51a0bcd	38ff0	এই ঘটনা ঘটে
d0c53feb49	29d44	চুলের গোড়া থেকে
d0c56377f3	12702	জনপ্রিয় বাংলা চলচ্চিত্র
d0c5e0dbc4	4c1eb	সংখ্যাগরিষ্ঠ হিন্দুদের চাইতে
d0c67bd6c5	1a4a9	উল্লেখযোগ্য ভূমিকা রাখছে
d0c84224fa	3c897	শিরিনা দৌলতের মনোনয়নপত্র
d0c8da3645	d2294	প্রতিহত করার ঘোষণা দিয়েছে
d0c964784d	ac904	আন্তর্জাতিক মানের করা
d0c9f790fc	91223	আর তা না হলে
d0ca25ffe1	2d78f	ঢাকা বিশ্ববিদ্যালয়ের ছাত্র জাভেদ আখতার
d0ca71c337	93080	অভিনেত্রী হিসেবে সালমানের বিপরীতে
d0ca7bb069	16877	আইন কমিশন থেকে
d0cadb30ab	e00db	মানুষ আহত হয়েছে
d0cafff32f	93d3b	দুর্গেশনন্দিনী
d0cb070ecb	03284	ইরানের পারমাণবিক কর্মসূচিকে
d0cb7ce30b	3bea8	খনন করা হয়
d0cb8ea078	7aed9	আনিসুজ্জামান তাঁদের অন্যতম
d0cb91db5f	39dd0	সেদিনকার আগুনে
d0cbd56d76	4bede	আন্তর্জাতিক মান অনুযায়ী
d0cc2a6f17	80e98	লেখিকা জার্মানপ্রবাসী বাঙালি
d0cc2c32c4	10a9f	যেখানে একসঙ্গে
d0cc481bd6	5d12f	ট্রাকোমা এবং চোখের ছানিজনিত
d0cc5fdd6e	7f71c	জানতে পারে
d0cc97c16c	09f0d	দাওয়াত রক্ষা করতে গিয়ে
d0ccdaf367	d82d9	বায়না ধরতে পারে
d0ccf45150	9d7bf	ততো দিনে
d0cdf6e706	fcefa	দফায় দফায়
d0ce74560a	14816	তাদেরই অভাববোধ থাকে
d0ce7c8007	c5dc8	মা হচ্ছেন
d0ceb22dab	e754e	পুকুর ঘাটে বসে
d0cee95481	d71a3	অর্থ না হলে
d0cef1c0cc	2ad74	ঋষি ঠাকুরের আষাঢ়ে গল্প
d0cf638d8e	ff1eb	বিটিআরসিতে আগ্রহপত্র জমা দিয়েছে
d0cf93b8bd	fb4cb	ড্রাকুলা
d0cf999cb8	85430	সর্বপ্রধান যোদ্ধা
d0cfa29432	0b7ca	বর্ণনা করেন তথ্যমন্ত্রী
d0d03a0498	59c73	তারা ভবিষ্যতে কতোটা পাবেন
d0d07dbe24	6973e	আলাদা একটা বিদ্যুতের লাইন দরকার
d0d0aca73a	b52ab	রাজ্জাক জানান
d0d0eeffca	16877	ইনুইটরা একদিন
d0d1637738	089ef	পুজো করি আমি
d0d17dc145	8c07c	আমার বাবা ছিলেন মেয়ে-পটানো
d0d19a45d5	7b900	ওব্যাপক হৈ চৈয়ের মধ্যে
d0d1ab696e	ee886	দাবি জানান তারা
d0d1b49e00	d9081	নিজেকে পুরো তরতাজা করে
d0d28beb9d	b5fdc	সানগ্লাস ও সানস্ক্রিন
d0d298d392	e7230	তাহা বলিয়াছি
d0d2f85a61	693cb	চার ছক্কা হই হই বল গড়াইয়া গেল কই
d0d2f96f40	d1b12	আব্রু রক্ষা করার লাইগ্যা
d0d30eafd7	31f2a	হিন্দু কবিদের
d0d37a4605	e89bb	একপ্রকার শব্দ
d0d3837c7f	cc9fd	টানানো রহিয়াছে
d0d3b78e38	e3f89	খুঁটিনাটি করিলে
d0d3e46cd4	24f73	বলেছে নয়াদিল্লি
d0d3f1ee72	a7c6f	রবীন্দ্রনাথ ঠাকুর এর প্রেমের কবিতা
d0d43f66d2	8b859	পুরষ্কার বিতরণী উপলক্ষে
d0d440cd5d	06527	জান
d0d47c135f	86b1b	ফাইটার
d0d47f19cb	80518	ব্যাংকের সতন্ত্র বেতন স্কেল
d0d4aa5240	1e7c7	শহীদ গোবিন্দ চন্দ্র দেব
d0d4aced8f	92f59	ক্রিকেটবিহীন জীবন
d0d4ce8e97	f0f95	শাওনের মৃত্যু হয়
d0d5841450	693cb	আল্লা-রছুলের বাণী
d0d66af010	38ff0	রাজশাহী, পাবনা, সিরাজগঞ্জ
d0d68bc72b	6c6bf	সেজন্যে ধরনা দিয়েছিলেন
d0d6ea6cfc	2fc12	আমার বেশ ভালই লাগে
d0d6f4e08d	3ec4d	তবে ভিন্ন রঙে
d0d6fc51d0	870e3	ইসলামি জঙ্গি সংগঠনটি
d0d6fcc0cb	eecdd	মিশর, তুরস্ক, পাকিস্তানসহ
d0d728cdde	ef4f8	চিহ্নিত করে দেওয়া হয়েছে
d0d81faf08	b8bba	লঞ্চটিতে কমপক্ষে
d0d883cb12	ce775	বিভিন্ন এলাকা পরিদর্শনকরবেন
d0d897aecb	17dcd	ভালো খেলতে হবে
d0d91862e4	a06a1	তদুপরি দেখলেন বাউলদের
d0d93c0a5d	d3e06	দক্ষিণ আমেরিকান দেশে
d0d9aba8b4	7f2ef	নারিকেল গাছ
d0da0d7cd7	239f7	বাংলাভাষা
d0da81e33e	a43b5	জায়গা রয়েছে
d0daa02804	93d3b	বাংলাদেশ ফরেক্স
d0db27c676	16877	এ মতবাদ ঠিক নয়
d0db432f02	f658d	তা সহজে পূরণ হওয়ার নয়
d0dc2b17f9	60b9d	বাংলাদেশে গত তিন দশকে
d0dc3361e1	24aed	রীনা বেগম এ ব্যাপারে
d0dc4402dc	cd3ac	পেপার
d0dc5a50f1	1e7c6	কাকলি
d0dc6aad6a	fcefa	জবানবন্দি গ্রহণের জন্য
d0dc6d9599	93d3b	গুস্তাভ ফ্লবেয়ার
d0dd8fe016	c41d8	একটি হ্যাট্রিকসহ
d0dda42432	577fa	তথ্য-প্রমাণ দিতে পারেনি
d0de460060	767ff	হাট চলবে
d0de84a919	6c17f	নয়া দিল্লিতে বিএসএফ এর সদরদপ্তরে
d0dea0072c	c5479	এবং সেখানে পাকিস্তান ভিত্তিক
d0deae2b0c	f0f95	মানুষতো আর সব
d0defe9f74	cc9fd	সঙ্গে করিয়া
d0df0133a3	1c618	৪ উইকেট হারানোয়
d0df711226	6ee5f	নতুন দুনিয়ার সঙ্গে
d0df97d014	ee886	বিশেষ জ্ঞান সম্পন্ন ব্যক্তিদের
d0e05fc6ec	b618b	বিশ্বস্ত থাকার জন্য
d0e065d135	33aef	সেখানকার সমালোচকদের কাছে
d0e0c32df3	b08d0	বাংলা ট্রোল
d0e0d58e05	fbb81	মাটি থেকে দেখলে
d0e0d97c12	e6203	বলিষ্ঠ কণ্ঠস্বর
d0e0f6d898	c5479	এমন বিশাল সংখ্যক
d0e1003494	2c9c5	কাজল ইয়াসমিন
d0e142e0c9	db181	পারমাণবিক স্থাপনা, বিমানবন্দর সহ দেশটিতে কৌশলগত ও অবকাঠামোগত নিরাপত্তা ব্যবস্থাও জোরদার করা হয়েছে।
d0e195b7a7	e6752	শনিবার সকাল ৯টা থেকে
d0e20141bf	60b9d	স্বরাষ্ট্র প্রতিমন্ত্রীর নেতৃত্বে
d0e204ea01	153c9	জাগরণের ভেতর
d0e2839743	e3d8b	ট্যাঙ্ক, কামান, রকেট
d0e28f9360	69449	আইডি হ্যাক
d0e2990e30	4fc91	যশোরে হরতাল ডেকেছে
d0e2c2bc14	d7a68	আমার যতটুকু প্রতিভা
d0e2fa89a9	0d9f1	হারুনের জামা ধরে
d0e357c46e	b00ba	অফিসার মো. তারেক জানান
d0e3cf66d4	2909b	অন্য রকম পাতা করছি
d0e410b262	0f047	ঊষা অনিরুদ্ধকে
d0e4110868	3c897	নেত্রকোনা
d0e482f33b	db735	বিদেশী পতাকা বিক্রি
d0e5396ce0	9092b	পুরোপুরি সহাযোগিতা করছে
d0e58918be	69449	বলে রাখা দরকার যে
d0e5d0218d	68ab7	বন্ধ করছে না
d0e5d8ef8a	d8c80	অর্জন হতে
d0e61a2279	64092	গ্রেপ্তারি পরোয়ানা রয়েছে
d0e68164f9	ee852	রসুন ছেঁচা ৬ কোয়া
d0e6935cc1	6fb36	মনোযোগ ও উদার দৃষ্টিভঙ্গি
d0e6a9d549	09b32	বিডিনিউজটোয়েন্টিফোর ডটকমকে বলেন
d0e6c8d1a8	c8f7f	পূর্ব শত্রুতার জের ধরে
d0e6cd1d8a	f658d	মন্ত্রণালয়ের সচিব
d0e6e4722f	93bf3	হাসি দেখার পর
d0e7c3d6a4	d9ba9	এবং অন্যদিকে শ্রম ও পুঁজির মধ্যে
d0e85e0ec9	3ccf1	প্রাচীন মিশরীয় মমি
d0e8885fd5	24f73	ভারতের স্বরাষ্ট্র মন্ত্রণালয়
d0e8c9569d	b8ed8	কাজল ইয়াসমিন
d0e9f3d3b6	b8bba	ঊষার পূর্ব্বগামী দেবতা
d0ea0507c4	2bd99	শেষ হওয়ার আগে
d0ea65e8d6	0633a	চুল পড়া বন্ধে
d0ea91b4ef	0633a	খেলার সরঞ্জাম
d0eae6dd0c	2f547	এখন তা পশ্চিমবঙ্গে
d0eb82b03f	d1a48	দুদকের আইনজীবী
d0ebe67b67	8845d	ল্যারি ওব্রায়েন
d0ebe9feb8	e55de	মৃত্যুর এই ঘটনা ঘটে
d0ec2fc20b	80518	খাওয়া শেষে
d0ec34c5a6	7e1d5	অর্থনীতিতে নোবেল পুরস্কার
d0ed81519f	b8bdd	উদ্ধার অভিযানের সময়
d0edca0cbd	d2294	সেখান থেকে চলে যান যুক্তরাজ্যে
d0ee5655ca	80e98	সেখানকার খবর নেয়
d0ee64bfd3	2ac82	অনেক চাষীর ভাগ্যের
d0eeae0dd4	71522	খালি মাঠে
d0eeb91754	c958a	বিয়ে হওয়া স্ত্রীর
d0eee61a77	77f82	কিন্তু এর ভিত্তি রচিত হয়েছিলো
d0ef686167	153c9	আপনার বইটা
d0efa25bba	976b1	বলিউডে যাত্রার শুরু থেকেই
d0eff1dac4	73629	বেড়ে উঠছে নতুন প্রজন্ম
d0f02dbd60	e9759	এবং রাজনৈতিক দল
d0f06596fd	06e62	দেওয়া হয়েছে পিঠা
d0f06c3de4	442b7	চ্যানেল-অ্যালবাম নিয়ে
