f3009d6531	e6752	দামেস্ক সরকারের
f3814a0430	a7c6f	সে বুঝলে
f3818cdc66	e68af	গ্রন্থমেলার প্রবেশপথে
f381a175d6	809cd	ফলে তার অনুপস্থিতিতেই
f38278842e	e7230	আহত অবস্থায় গ্রেফতার করে
f38278d350	9642e	এবং তাতে বুদ্ধিজীবী হত্যার
f382ffda83	ee4ad	আনিসুর রহমান মিলন
f38306a7b9	e3f89	আবিষ্কার করেছেন প্রত্নতত্ত্ববিদরা
f383088ecd	7b60a	অর্ধ পরিবাহী সেন্সরগুলি
f3836459cb	698ff	আহার শেষ না হওয়া পর্যন্ত
f3845006f0	8cf95	দীর্ঘ ১০ বছর ধরে
f384576556	e89bb	এখানের কোনো বিষয়
f38475e924	f600a	শিশুরাও গাঁজা সেবন করছে
f3850b7932	6b437	ভাইটা, হ্যায়ও কান্দে না
f38516f380	2556b	ছাইরঙা সোয়েটার
f385205717	91230	মার্কিন যুক্তরাষ্ট্রে গিয়েছিলেন তিনি
f38570a084	a1201	তুই আর এট্টু লেখাপড়া কইরা
f3857f448f	0633a	বোঝাতে সাদা রঙ
f3867815bf	68549	ক্ষমতা দখলের
f386843047	eaa7a	বিশ্বভারতীর ছাপ দেওয়া
f386d97b18	9282d	দাদা-বৌদিরা এলো
f386e63fec	3b1f7	বই মেলা
f38736aa96	8845d	জুম্মার নামাজের পর
f387c9ef04	2bd99	সোনা চোরাচালানির সঙ্গে
f387e0ca4d	6e6fa	নিজেকে নিজে শৃঙ্খলিত করলেন
f387e5b926	eaa7a	২০০২ সালে তা এসে
f3887a0ee1	72649	চট্টগ্রামের সাবেক মেয়র
f3887ff1ab	06bb7	‘হ্যাংওভার’ ট্রিলজির মাধ্যমে
f388b46994	f1240	বাসাইল উপজেলা
f388d7f2ae	d2294	মুদ্রা হস্তান্তর করেন
f3894bf965	0a7a0	হাই চৈতালি বলে হাত মেলাল
f3894c5571	f2097	তারপর বলল
f3898aa9e3	0633a	ভোটের লাইনে গিয়ে দাঁড়াবেন
f389df674e	1cb75	খুলনা থেকে
f38a1840ec	08458	নিয়ন্ত্রণ করে থাকে
f38a4e060a	7c272	গঠনের কথাও বলেছেন
f38b2b09d6	d82d9	নতুন এ পদ্ধতির বিরুদ্ধে
f38b66c92a	06527	বিষ্ণু বা শিবের
f38c2599f6	b52ab	দ্বিতীয় কারণ
f38c89d8a0	7ee9b	তাদের বলা হয়
f38ca17179	1a2a1	মেসি ও নেইমার
f38d1c9eab	fcc89	তবে এ বিষয়ে প্রশাসন
f38d1d3d56	eb179	কিভাবে স্মার্ট হওয়া যায়
f38da2a0e7	c11b1	ফয়েজকে বলেছিলাম
f38dab72ef	321b6	ড. সাইফুদ্দিন শাহ
f38dcabc6c	3f493	জুম্মার নামাজ
f38e02ed83	ca088	সমর্থন করেন না
f38e3709ce	a1d4a	২০০৮ সালে চলচ্চিত্রে রূপায়িত হয়
f38e48bbd5	38ff0	কেবল এটি
f38f42f04d	b78ec	এক যুগস্রষ্টা মহান শিল্পী
f38f7da981	f600a	বাংলাদেশ পুলিশ ফটো
f39003ee27	efc0d	পক্ষ থেকে আজ
f3900431f7	cf82a	এবং আমরা মনে করছি
f390fa63a3	2de86	পুনরায় বসে
f391455bd2	bdfc1	২১ রানের ঝড়ো ইনিংস খেলেন
f39165bd6b	c9c19	আমরা যে হের আত্মীয়
f391aaf5ec	2ecf8	বরখাস্ত জিএম ইউসুপ আলী মৃধা
f391ce5b85	c9c19	ওই চুক্তি কিছুতেই মানবে না
f391dc3c26	28dfc	তাই সুন্দর নামটা সইল না
f3929b501f	6dff5	সোনিয়া পারভীন জানতে চান
f392a44890	06ea3	আমি তার সঙ্গে
f392c80892	e00db	জানুয়ারিতে আনবার প্রদেশ বাদ দিয়ে
f39362c096	f0f95	মেয়েদের শরীর
f3948dd819	91230	উদ্ধার অভিযান শুরুর পর
f3949cd1cf	b00ba	বিদ্রোহের জন্ম হয়
f3953ba394	e2f12	একে খানে সংঘর্ষ শেষ
f3958cfdce	91dff	অনেক দূর এগিয়েছে
f395b9909a	47e8d	অর্থ আগামী নভেম্বরে
f395c1ef79	92bd8	রাইমা সেন
f395c339cd	b4ea7	শুধু শরীরের আকর্ষণ ভিত্তি করে
f395eb5d74	29bab	যত না আত্মগত
f39607728b	9d46f	অনুসন্ধানের সময়
f3963f5e36	0edef	উপজেলা পরিষদকে
f39655614c	9c8dd	আর পারুল বুঝে পায় না
f39676317e	e55de	বয়স আশি হবে
f396dde057	54cdd	বর্তমান সংকট থেকে
f396e6adec	c11b1	কথাবার্তা লেখায়, আলোচনা
f396eb95a2	943de	আহ্বান জানাচ্ছি
f39746b072	a4750	কত মানুষের লাশও
f3975afef9	b618b	তবে তারা
f3979339b2	c11b1	বিজিবি সদস্যরা
f3981fdd20	7b132	একসঙ্গে সব টাকা দিয়ে
f3988dd243	29089	জলের গর্জনে
f398b7d89d	7df87	রান্না করতেন মজার কিছু
f3994d0758	5a61c	বৃহত্তর বিশ্ববোধ
f399654220	64092	আল্লাহর পথে এসেছে
f399861fec	f2780	অ্যাডা লাভলেস এর নামানুসারে,
f399b30f41	6973e	৬০টি দেশের মুদ্রার
f399e391c0	95907	আমারতো জানে
f399faf4ba	315e9	যেসব তথ্যাবলি সংগ্রহ করা হবে
f39a6a80cd	38ff0	মোরা এক বৃত্তে দুটি কুসুম
f39a913a23	b8bba	মুমিনুল হক জ্বরে ভুগছেন
f39aa4c181	7ee9b	সবচেয়ে বড় যোগানদাতা দেশ নিউজিল্যান্ড
f39af773ad	b8bba	এক মাস আগে ছিলে
f39b29d362	39dd0	অভিজ্ঞতা বিনিময়ের ওপর জোর দেন
f39b9ad7c8	c0965	শ্রীকৃষ্ণকে জানান
f39bb0cd80	d7a68	মূল নায়ক
f39bc0f521	77f82	স্বীকৃত ছিলেন
f39bf591dd	4486f	ছোট ছোট দলে বসে আছে
f39c46bd46	0e637	সেই ক্যালেন্ডার অনুযায়ী
f39c86d956	5dd61	শশায় বিদ্যমান ফাইটোক্যামিকেলস
f39c9f346f	d1a48	বীরাঙ্গনাদের কল্যাণে
f39cad998f	fcc89	হাজার হাজার শোকার্ত মানুষের
f39dd515f6	7ee9b	তিনি বেশি পরিচিত
f39e1c490b	18460	জন্ম ১৬ই আগস্ট, ১৯৮৬
f39e49d689	c2082	রমনা থানাও
f39eb9a1ff	adf01	কোনাকুনি শটে
f39eff6fd5	37e17	তৃতীয়ত হজরত মুহম্মদ নিজে
f39f0afb01	16877	প্রেসিডেন্ট নির্বাচনের চেহারা পেয়ে গেছে
f39f4ad63d	0b7ca	মি. মুখার্জি
f39f953aae	0895a	গাড়িতে পেতে রাখা
f39f9fa30c	121bd	আইএলও ১৬৯ এর
f3a04ab8e3	a06a1	ইউরো ফাইনালে
f3a0c6bc3c	2fe3c	মধ্যে দিয়া
f3a0f05b21	6c6bf	ছটকু আহমেদ বলেন
f3a106c6bb	46da4	অস্ট্রেলিয়ার সবথেকে বড়
f3a133ceaf	f1ff2	অনুষ্ঠিত না হওয়ার কারণে
f3a19c6180	c7a89	শ্রীলংকার ব্যাটসম্যান লাহিরু থিরুমানে ১০৮ বলে ১০১ রান করে কাজটা আরো সহজ করে দেন।
f3a1ae670a	da6f0	চাপ রয়েছে
f3a2a03d8b	e6752	মিশ্রণ ঢেলে দিন
f3a32d0948	a06a1	বা চসারের ক্যাণ্টবেরি
f3a3e5815a	0d8c1	বিদেশে অবস্থান করছেন
f3a3eae80b	d3e06	অস্থিরতার যে পরিবেশ সৃষ্টি হয়
f3a3ff4692	2fc12	প্রতিবন্ধকতাসমূহ সামাজিক সংগঠনের মতোই
f3a40991cf	7351e	বাংলাদেশ ব্যাংক সূত্রে
f3a40cb4cb	16cfb	রিকসায় শাড়ি পেঁচিয়ে নিত
f3a41e013c	84145	তাড়ানোর স্বপ্ন দেখতেন টিপু সুলতান
f3a48f379c	7b132	দুটোর দিকে বিয়ে হলো
f3a491c6f7	ca088	বছরের ২৮০ তম
f3a55a0ab8	ea8fa	তুই কি বুঝতে পারছিস
f3a57491c5	db735	কিছু কর্মী
f3a58f2960	7027a	অভাব দূর করে
f3a63e79dc	3b1f7	সস্ত্রাস-জঙ্গিবাদ দেশকে
f3a6e89646	14816	কবিতা, ত্বকীর লেখা বাংলা ও ইংরেজি কবিতা
f3a749b4f5	32b3e	৩০ থেকে ৩৫ বছর করার দাবিতে
f3a75b52b4	10a9f	নীল নদের উৎস অঞ্চলে
f3a7690c51	58998	ক্ষতিপূরণের দাবিতে ছিল
f3a77899fb	c7705	স্বাস্থ্য কথা
f3a779c346	80505	ডাক্তারি পরামর্শ
f3a7be54aa	2de86	ওয়াকিলুর রহমান
f3a7dfd45b	1b359	দেশটির সেনা প্রধান স্থানীয় সময় রাত ১০ থেকে ভোর পাঁচটা পর্যন্ত এই কারফিউ বলবত রাখার আদেশ দেন।
f3a828f51e	0a87a	যা করার তা করতে পারে
f3a89edf62	43fc0	মিডফিল্ডার সামি খেদিরা
f3a8a9e7e7	9092b	চারশো জনের মতো
f3a97ac0cd	dfefa	কোনো প্রকার ক্রেন
f3aa02362e	13b70	সুরমা পাড়েও বাজানো হবে
f3aa2554c6	6e6fa	ত্রাণমন্ত্রী বলেন
f3aa91b0d5	fd880	কারণ এক্ষেত্রে কোনো
f3aab6aa9b	49543	এ ছাড়া একদিক থেকে তারা
f3aac26d92	95907	দেশের বিভিন্ন স্থানে বোমা হামলা, যানবাহণ ভাংচুর, অগ্নিসংযোগ ও সংঘর্ষের ঘটনার খবর পাওয়া গেছে।
f3ab058a29	3fce2	লুকোচুরি খেলার পর
f3ab1762de	28dfc	৩৫ ম্যাচে
f3ab53731c	430b2	অজিত দত্তের লেখা
f3aba0239b	4ea73	কক্সবাজারে যেভাবে
f3abedf51c	b4ea7	সন্দীপ ও নিখিলেশ
f3ac119794	7aed9	খুনে ব্যবহৃত কাঠের বাটাম
f3acb245dc	7b103	এই তদন্ত কমিটি
f3ad974b67	aabe7	এইডস কিভাবে হয়
f3ada49d5c	05901	বিসিবি সভাপতি নাজমুল হাসান
f3adcdf575	f1ea4	ডেভিড মিলার
f3aefc9305	bfac7	চীবর উৎসর্গের মধ্য দিয়ে
f3af600be5	880ae	হত্যাকাণ্ড মনে করা হচ্ছে
f3af802cd6	d71a3	ডেকে আনতে পারে
f3b03189a5	3faff	পরের ২৫ বছর
f3b06fa20b	bf530	সৃষ্টি হয়েছিল
f3b1d61945	860f4	লাইসেন্স দেওয়া
f3b23b2f6c	9813c	দেশে ঢুকতে
f3b26ae1f9	bfac7	মাত্র ক’টা দিনে
f3b2dc4ddf	4fbd1	ইতিমধ্যে ক্লান্ত ও বিভ্রান্ত
f3b30ce12d	7ed14	দুইটি গুরুতর আপত্তি
f3b3d2f6f4	c7705	দুটি প্রধান চরিত্রে
f3b4031558	14d25	প্রস্তাব মেনে নিলে
f3b40d772a	1a2a1	গণ-শবদাহ করার
f3b42c512a	7297e	ফয়জুর রহমান ফকির বলেন
f3b4c02a60	16877	ক্রমান্বয়ে অন্ধকার গিরি
f3b4dfd300	ce629	ওই দিন ট্রাইব্যুনালে
f3b4fb5ff8	7d3e1	নির্বাচনে এএফপিএল
f3b50a02c9	5639c	জন্মগ্রহণকারী এই বিচারপতি
f3b51b0f95	60b9d	ক্ষতি হচ্ছে জনগণের
f3b554c682	ea5be	মহিলা ভাইস-চেয়ারম্যান পদে
f3b5667090	66b3c	নাজমুস সাকিব আদালতে
f3b60d9e89	29089	তাহা লেখকের বা তাঁহার
f3b6c96d33	0c39f	ককটেলটি নিক্ষেপ করেছে
f3b70d0404	860f4	নিরীহ ছিলেন তিনি
f3b7465730	7df87	অ্যান্টিবায়োটিকের আবিস্কারক
f3b772c235	52f27	পর্যায়ক্রমে উঠিয়ে নেয়া হবে
f3b83826c8	f2097	অগ্রাধিকার পেয়েছে বলে
f3b83a15f7	44322	অবহিত করা হয়েছে
f3b86b3d51	91230	৫০টিরও বেশি দেশের
f3b8c2b097	e43d4	১১ জনের নাম উল্লেখ করে
f3b8f97d01	536d9	বাসিন্দা আলতাপরিরা
f3b932b189	3fb17	৫ অক্টোবর
f3b96c030c	b618b	ধারণাটি অঙ্গাঙ্গীভাবে জড়িত
f3b9a90448	25117	ছিটিয়ে দেন লোকসভায়
f3b9e68a7c	14816	দুপুরে তাঁর প্রিয় পোষাক
f3b9fd3bfa	698ff	ঢাকা সপ্তাহের এবারের পর্ব
f3ba9821a8	8c120	আমরাও রওনা দিই
f3bb1c1eda	2d78f	ক্ষমতা থেকে সরে দাঁড়ানোর
f3bb2aa191	d2355	এম চিন্নাস্বামী স্টেডিয়ামে
f3bb48a21d	66dcd	সেদিন হয় নি
f3bba8a001	cb842	এডওয়ার্ড স্নোডেন
f3bbbda1fa	05901	আগামীকাল থেকে
f3bbbe6802	baa02	সাফল্যের সঙ্গে অভিনয় করেছেন
f3bc562141	c0d65	আদর
f3bc575d2c	b52ab	সিরাজুর রহমান শরীফ
f3bdb3a3bb	7b103	চারজনের বেশি-কমও হতে পারে
f3bdcf55ae	b8bdd	প্রত্যাখান করেন
f3be1c92e7	2bc73	তবে, নির্বাচন কমিশন
f3bf42b9b9	c7705	ছেলেদের রুপচর্চা
f3bf625b69	a46e2	একটি ওয়েব ব্রাউজার
f3bf915ef9	47e8d	মূলত রপ্তানি করে
f3bf9a4e6d	9282d	কোন উপায় নেই
f3bffbefa0	8cf95	ঘটনার তদন্তে নামবে
f3c08817ba	693cb	গতবারের ঐ ঘটনায়
f3c09dcd7b	ee886	বিড়ম্বনা কতটা কমেছে
f3c0f0ed6c	4237e	আলাদা বেতন কাঠামো
f3c1488691	f2780	দলের একটি ঘনিষ্ঠ সূত্র
f3c1ca894e	66b3c	সংগ্রাম চালিয়ে যাবো
f3c22a8e7b	32c77	মুক্তি নেই কোনও নারীর
f3c25b2bc9	4c555	ঘুমের ঘোরে
f3c263214f	72649	প্রতিদ্বন্দ্বিতায় অবতীর্ণ হচ্ছে না
f3c2d53f85	4fd66	কিন্তু ঐখানে সকল কথা
f3c2d691fa	fcefa	প্রদর্শন ও শব্দযন্ত্র ভাড়া করে
f3c2dfd1d0	38d3a	বাংলাদেশের উদ্বেগ রয়েছে
f3c315f736	e3f89	একটি-দুটি গানের
f3c356c87c	2bd99	দুর্ঘটনা ঘটে
f3c3fe84fb	693cb	পড়ার ফাঁকে
f3c45390fc	38d3a	শেখ হাসিনা এবং সফররত
f3c470f436	509f6	ভারতের অন্যতম প্রাচীন
f3c4a12e24	38d3a	বিপ্লব বেহাত হওয়ার যুক্তিতে
f3c4ab8946	e6203	অনেকের মধ্যে ভিন্ন দৃষ্টিভঙ্গি থাকলেও
f3c4bbee40	4c555	তারা যা খুশি
f3c50f715e	b78ec	বেড়েছে সবজির দামও
f3c5fcfae2	d3e06	ঐ নির্বাচন বিধি
f3c6255cd3	6dff5	তার সমস্ত শরীর
f3c65bdde9	b00ba	তার একটি ইতিকথা
f3c680d625	d2faf	ব্যবস্থা করার জন্য
f3c718b439	2695f	বিশ্ব পরিবেশ দিবস
f3c84cb14a	c749e	ঠাকুরমার ঝুলি
f3c8759d36	f143a	বিবিসিকে তিনি জানিয়েছেন
f3c928cd7c	ee852	উন্নয়নের ধারা
f3c950b2d6	b78ec	তারপরও শাবনূর
f3c9a9fcd9	0d4cb	রাশিফল বই
f3c9d9065a	d71a3	নেড়ি কুকুরের দল
f3ca0c81b2	a4750	মনে হতো না
f3cabfdc93	ad98d	দুধে ক্ষতিকর জীবাণু অতিমাত্রায় আছে কি না তা পরীক্ষা করতে পারেন মিথিলিন নীল হ্রাসকরণ পরীক্ষার মাধ্যমে।
f3cadc41a7	f280a	বলে রেখেছিলেন
f3cadc5983	e8dde	পৃথক কন্ট্রোল রুম
f3cae45b62	6dff5	বুড়ি সেখানে এসে উপস্থিত
f3caee19b7	46d49	বাসা ভাড়া
f3cb3d8744	2bc73	বাড়িতে থাকেন না
f3cb6e0a9d	fcefa	জন্মগ্রহণ করিয়াছিলেন
f3cb8fc5df	06ea3	তালাক
f3cb9695ce	93080	আধুনিক কবিতার বক্তব্যের ভুবনকে
f3cba3d2de	c11b1	প্রকাশ হওয়াকে বোঝানো হয়
f3cbec08ef	db735	বর্ষাকাল
f3cc403c44	3f875	অন্তত ২০ জন যাত্রী
f3ccc32f50	ca088	এর গল্প পুনর্বিন্যাস করা হবে
f3ccd354b1	d2355	দাদা আমার রুচির দিকে
f3cd02957d	f2b7d	৭ লাখ ৩০ হাজার মাইল
f3cda7bea5	554fe	কারাগারে পাঠানোর প্রতিবাদে
f3ce3fa781	77f82	বীরগঞ্জ পুলিশ
f3ce82bdf6	b9a81	চিকিৎসা করছে
f3cea8eb44	b8bdd	গতকাল সকালে
f3cf356e6e	7027a	পরিচিত হইলেন
f3d0241f64	967fd	একমন হইয়া
f3d031fe30	db181	সরকারী-বেসরকারী উভয় হাসপাতালের
f3d110efc3	e31e7	৪ এক বছর
f3d1179652	95907	প্রতিযোগীদের প্রশিক্ষণ দিচ্ছেন
f3d1406ec6	6b437	বাণিজ্যিক ব্যাংকগুলোয়
f3d1e3e237	f29bf	অস্তিত্বকে সমর্থন করে ভ্যাটিকান
f3d20247e9	a7c6f	সিঁড়ি-ভাঙা মাত্রায় মুক্ত ছন্দে
f3d230d84f	3ccf1	বলা হচ্ছে যে
f3d23aedbb	4bd2c	সাজানোর জন্য
f3d240423d	80be1	নিয়ে আসেন।
f3d26f64dc	8a46d	প্রতিদিন সকাল ১০টায়
f3d384c526	7351e	আটটি বেসরকারি উচ্চশিক্ষা প্রতিষ্ঠানের
f3d3b02c86	ff1eb	অনেকগুলো পদক্ষেপ
f3d3e030e8	23291	যেসব নীতিতে সরকার
f3d3e06955	c463d	সে কি অনুমান করছে
f3d3e484e9	a916a	মেসিকে নিয়ে তীব্র সমালোচনা শুরু হয়েছে
f3d453e652	31f09	মনে রেখেও বলা যায়
f3d4b9f3c7	24f73	জুলিয়েট মারা গেছে
f3d4bdb852	7f71c	ঘটনাকে কেন্দ্র করে
f3d4ebdc43	bfac7	চাঁদাবাজিতে মেতে উঠেছে
f3d4f3356c	cb627	শিশুর ব্যক্তিত্ব
f3d560c52a	ce629	গুরুত্বপূর্ণ একটি যৌথ শিল্প-কারখানায়
f3d6208e1f	9e923	দুটি পরিবেশনার
f3d6d417d3	e754e	প্রসঙ্গই ছিল না
f3d70f14e6	9351a	তিরিশের কয়েকজন শ্রেষ্ঠ কবিকে
f3d71d470d	c5dc8	বাণিজ্য সচিবের সঙ্গে
f3d7a32eca	66b3c	১৯৯০ সালে প্রকাশিত হয়
f3d7c9dacd	3fae0	সিদ্ধান্ত নিয়েছেন বাবুল সুপ্রিয়
f3d841b6b9	f29bf	সে রকম দলের
f3d8496121	5a61c	জামাতুল মুজাহিদীনের
f3d8b71483	c9c19	আরেক ফুলের সুবাস ভিন্ন
f3d97f4f3a	eecdd	এই পরিকল্পনার
f3d9a1d1d3	2ac82	মিজান সাহেবের দিকে তাকালেন
f3d9d4ad85	d8c80	মোড়ে মোড়ে দাঁড়িয়ে থাকে
f3da693c0d	14d25	বেশ কিছুটা বেশি
f3dac66bfa	089ef	এ পাখি এখন
f3db205609	967fd	গভীর ঘুমে আছি
f3db27dbc2	e9589	বা কাজে
f3db2ae3a9	dae88	একটি নদী
f3db693f4f	ad050	নারী উন্নয়ন মেলার কারণে
f3dbb4db97	9e923	শুধু তাই নয়
f3dc7d6375	31f2a	মানুষের আজকের রাশি ফল
f3dcb1c9f0	4e900	শনিবার দুপুরে নগরীর মুন্সীপাড়া এলাকার
f3dccd1e38	5d80e	তাদের অনেকের স্বপ্নই এখন
f3ddb95cb7	64092	নজরুল প্রচণ্ড বিদ্রোহী
f3ddfa666a	e6d83	অসতী হই
f3de268bbf	c0965	মি পুরীর বক্তব্য
f3dee4da04	c3cb3	বেড়াল বসেই থাকে
f3dfe9d010	943de	ওর পায়ের ছাপ দেখেই
f3dff2bdab	9351a	রাতের মধ্যে উন্নতি না হলে
f3e0083f78	c749e	যুক্তি ছিল যে
f3e138fab0	ad98d	দুটো বিবাহ করেন
f3e1a59150	b7be9	মাছের পুষ্টিগুণ
f3e1d1754f	554fe	তালাক আইন
f3e1e28e15	3c897	প্রিয়াংকা চোপড়া
f3e1e4d1b2	d5213	সেটা বোবা হয়ে গেল
f3e270580e	ad69a	ম্যারাথনের ফিনিশিং লাইন
f3e2c1378a	38d3a	গৃহবন্দী কারাগারে
f3e2e39ee6	4e900	তাদের সহযোগিতা থাকলে
f3e30223de	7d004	এর জন্য দায়ী
f3e341dc59	c6848	তবে তিনি এটাও বলেন
f3e374f50a	91dff	তিনি হুশিয়ারী উচ্চারন করে বলেন
f3e3d4a915	536d9	আজকের তরুণরাই
f3e426885c	29bab	পুরনো মুখে
f3e45a45cb	2695f	মানববন্ধন ও প্রতিবাদ সমাবেশ করেছেন।
f3e562d35a	35ef3	শুরু করলো
f3e594d3ad	ee4ad	তবে প্রার্থী অনেক
f3e5abb9d7	ad050	একটি চমৎকার ফুলের বাগান
f3e5b67ec2	3fae0	প্রণব মুখার্জি তার বক্তব্যে
f3e5f74f3b	e2f12	সমর্পিত হয় সারাজীবনই!
f3e6202262	91ac1	বিস্ফোরণের পরই সাবমেরিনটি ধীরে ধীরে পানিতে তলিয়ে যায়।
f3e64a79b9	d2d71	বেরিয়ে আসবে
f3e7710157	25117	ক্যাটরিনা পরিস্কার জানিয়ে দিয়েছেন
f3e78b2e6a	2fe3c	যদি তিনি না থাকতে পারেন
f3e7967a0e	cb842	তাদের এখানে আসা
f3e7e75ef6	a06a1	বুককাটা, গোলগলা, হাইগলা, ভি-গলা
f3e7f03aab	3b1f7	দশম জাতীয় সংসদে
f3e80153a3	8143b	তবে এ বিষয়ে
f3e8360d85	cfc65	জ্ঞানযোগ স্বামী বিবেকানন্দের
f3e996789c	f29bf	আনন্দবাজারের লিস্টে
f3e9af3067	e89bb	নর্থ আমেরিকান অ্যালায়েন্স
f3ea4c5bd5	287bd	খাবার
f3eaabc716	4ea73	উপজেলা নির্বাচনের সময়
f3eacf5647	7d004	দুটি গোল করার পাশাপাশি
f3eb31e9fc	d9081	বের হয় ১৯৪৮ সালে
f3ebb72da8	c7705	তাঁর রাজনৈতিক ডায়রি
f3ebec71af	5d80e	সে বেঁচে গেল
f3ec2fd2b4	ac904	কাঠগোলাপ
f3ec6e4fb1	0895a	প্রায় সেইরূপ
f3ecb64645	4f450	সমুদ্র সৈকত
f3ecbee9ef	d1b12	আবেগমথিত করে তোলে
f3eccd8b6b	06736	কয়েকটি নিয়তি বা তকদিরের
f3ed1ffc75	0a87a	শিক্ষা প্রতিষ্ঠানের কর্তৃপক্ষকে
f3ed43c07b	db181	সঙ্গীতের সঙ্গে যুক্ত হওয়া
f3ed72826e	4ea73	না খেয়ে সাড়ে তিন দিন
f3ede09d18	f2097	ঝকঝকে স্ফটিকের দাঁত
f3eec6456c	c11b1	সমিতি থেকে
f3eeed42c7	ab946	একটি মাইক্রোবাসে করে
f3ef092989	6c17f	আশা-আকাঙ্ক্ষাকে
f3efdd3889	355c1	কখনো কোনো কুণ্ঠাবোধ
f3eff61143	ac904	ভোটকেন্দ্রের তথ্য পাঠিয়েছে
f3effefd0b	1f733	বিজ্ঞান বিভাগ থেকে
f3f080fa47	e03ce	তাই আমি একাকিত্ব ভালোবাসি
f3f0d9ca08	a699c	আমি শুধু তোমাকে চাই
f3f107112c	80e98	তরল নিকোটিন গ্রহণ করে
f3f11ab9a6	8edea	অপহৃতদের সন্ধানে
f3f177c28b	09f0d	উপজেলা স্বাস্থ্য কমপ্লেক্সের সামনে থেকে
f3f2142017	ea8fa	ঘোষিত হওয়ার পর
f3f241f164	13b6a	শুরুতে মৃতের সংখ্যাটিকে
f3f2905362	e9759	৮টা ৩৫
f3f2cace91	e68af	অনেক বাংলাদেশী সমর্থক
f3f2e790e8	1a2a1	খুবই কঠিন কাজ
f3f350822d	65e30	সেখানে দুদিন না থাকতে
f3f39bb7f6	121bd	আমরা বিশেষভাবে উপকৃত হব
f3f3bc99d0	b52ab	আশ্রয় নিয়েছেন
f3f3c032c7	11915	বড় ভালবাসেন
f3f3c7a479	80be1	অদ্বিতীয়া সুন্দরী
f3f3f86f15	e7230	গুরুত্বপূর্ণ ভূমিকা
f3f486a5c5	17ca1	আকস্মিকভাবেই ঘটিয়েছিল
f3f4ab3889	ff1c3	বাংলাদেশে বিনিয়োগ পরিকল্পনা নিয়ে
f3f505f18d	3fce2	ইমরান সরকার
f3f5704b5d	4f2ae	১৯১৭ খ্রিষ্টাব্দে
f3f5727b3a	b2a62	অপেরা ডাউনলোড
f3f57f89e9	cb1aa	সেই পুকুরের ধারে
f3f59553b0	11bd2	বুদ্ধিজীবী, সাংবাদিক, কোর্ট
f3f5bd9c35	860f4	পুরুষজাতি ইহাদের সাহায্য করিতে
f3f689d94d	75f18	ঢাকায় শুরু হয়েছে
f3f6aeb138	3fce2	পরে জানি অন্তঃসত্ত্বা
f3f6c6a2e4	29bab	ভর্তি পরীক্ষা স্থগিত হওয়াকে
f3f6e255b1	698a4	ঝড় তুফান
f3f71b87c8	1c618	নিম্ফ থেটিস
f3f72a5b50	5dec6	একটা স্পষ্ট সীমারেখা
f3f73e5c30	14d25	চলকে ওঠে শেফালির
f3f7b90a15	2556b	বিগত বছরগুলোর
f3f83191ce	91ac1	সিএমএম আদালত
f3f83ce13d	4ea73	ফলমুল খেলে
f3f84529d9	ad050	জনপ্রিয় বীরশ্রেণী
f3f9239e2e	2ad74	তার একমাত্র সন্তান মুনমুন সেন
f3f92f1d31	acb88	আশিক আওয়ারা ক্রান্তিবীর
f3f9488ca0	69d9a	সেই স্বপ্ন আর মাটির ময়না
f3f9e5babe	e89bb	এই সময়েই
f3fa03e99e	491a5	আজ বাংলাদেশের বাণিজ্যমন্ত্রী, মার্কিন যুক্তরাষ্ট্রের প্রতিনিধিদলের সাথে একটি বৈঠক করেছেন।
f3fa539d5b	ad98d	প্রবাদ প্রবচন
f3fa7378dd	29bab	কথাটা মোহনের আসলেও
f3fa897cea	1652d	মতামত অর্জন করে
f3fab7bd2b	3faff	এবং সাংবাদিকদের
f3fafe54c1	509f6	দার্জিলিং ভ্রমণ
f3fb4ab080	e7230	২০০৮ সালে
f3fb7a59aa	e55de	হাজার হাজার বিক্ষোভকারী
f3fc2b9a34	ff1eb	তিনিও দেখতে পাননি
f3fc429822	3bea8	এবারের পর্বে
f3fc654b40	121bd	কাঁদিতে লাগিলাম
f3fca45583	33aef	১৯৯৪ সালের বিশ্বকাপ
f3fceb6f37	cb842	রাশিয়ার পতাকা উড়িয়ে দিয়েছে
f3fd409702	1a2a1	সিইউএফএল জেটি ঘাটে
f3fd8568cb	520fb	তুলে দিয়ে সাহায্য করেছিলেন
f3fe1e3b68	e2c11	এবারও একই সুর
f3fea2982f	943de	বাংলার মাটিতেই এ বিচারকাজ
f3feed9dca	b618b	সকাল ৯টা থেকে
f3fef14b4e	7ec1c	পরশ পাথর
f3ff2a8e73	c2082	করতে পছন্দ করে
f3ff503cef	28bb3	তা হলে স্ত্রীলোকটি
f3ff8487ac	2695f	শুনে ভয়ে পালিয়ে যাচ্ছিল
f3ffe488e1	2fc12	তাই 'ভবন'-এর
