5f0040a729	8632b	ফলে অলির বাড়িটা
5f7e48fa61	4f450	মুর্শিদাবাদ এবং পশ্চিম মেদিনীপুর
5f7e907b40	e2ba2	সূত্রের ওপর অধ্যায়ন করেন
5f7f8d8f8e	f2097	অ্যাকসেপ্ট করা
5f7fa1f3f8	09b32	ময়মনসিংহ
5f8063f7d0	39293	দপ্তর নিয়ে আসে
5f80bf3d7b	9d7bf	চট্টগ্রামে বিস্ফোরণ
5f811a6522	693cb	অফিস বন্ধ হয়ে যাবে
5f81ecb757	3fb17	চতুর্থ স্থান ধরে রেখেছে আর্সেনাল
5f82bf5d2d	ad69a	আপনি চলে যান
5f82c7c7b9	52578	ল্যাটিন শব্দ মোটর থেকে
5f83500b95	239f7	কুড়ি বছর আগে
5f83878a5d	d9817	তাদের জন্য নিয়ে এসেছে
5f83971427	698ff	৫০০ মেগা্ওয়াট বিদ্যুৎ
5f83ebe19c	8c07c	আগামী বছরের
5f84e4a785	8cf95	সে সবের মাধ্যমেই
5f85206060	43fc0	জেসমিনের আইনজীবী বলেন
5f8572fdaf	d5213	দুই হাতে
5f85b6240f	4c1eb	বহু কাল আগের
5f86a91eb8	410fa	যশোদাবেনের নাম লেখেন মোদি
5f877959c0	0d8c1	এবং সুর করা
5f877a7548	195f7	মসজিদের ইমাম সাহেবকে দেখাতাম
5f87f6e98f	75936	কন্যা অরুণা বিশ্বাস
5f880f37e8	195f7	নির্বাচনের ফল
5f880f809f	fda1a	সফটওয়্যার
5f8842e399	91230	ঘৃণা পাকিস্তানি হানাদার
5f8853ca2a	7d3e1	তিনি জানতে চান বাংলাদেশে বিদ্যুৎ উৎপাদন বাড়ানোর প্রয়োজন থাকলেও সুন্দরবনের কাছাকাছি একটি কয়লা ভিত্তিক বিদ্যুৎ কেন্দ্র স্থাপন কি যুক্তিযুক্ত হচ্ছে?
5f88b7efa7	ba2f6	আগুন লাগার ঘটনায়
5f890f155d	943de	আমরা জানতে পেরেছি
5f8942d900	16877	পত্রপতনশীল বৃক্ষ
5f8958ca40	65652	চোটমুক্ত থাকার
5f89687ea7	9351a	তাওবা
5f89c009a5	778c0	নিয়োগের উদ্দেশ্যে ওয়েবসাইটে
5f89c8eca9	cfc65	ঈদে অন্তত একটি ছবি
5f89ea49b2	f280a	তিনি চাকরি করছেন
5f8a123981	65652	২০০৯ সালের জুন মাসে
5f8a5cfe1d	8406e	রবীন্দ্রনাথের গল্প উপন্যাসগুলোর
5f8abc6900	2909b	ঐ ভবনের শ্রমিকদের
5f8ad66dc4	ff970	তিনি উপভোগ করেছেন
5f8ae8b364	a0277	প্লেব্যাক করেন ১৯৮০ সালে
5f8afb66d5	24aed	রাজাকার ও শান্তি কমিটির সঙ্গে
5f8b4a5442	fb4cb	অন্যান্য পুরাণ
5f8beb6237	4c1eb	ম্যাডাম
5f8c453248	e9759	মানুষ দৌড়োচ্ছে
5f8c814bc6	089ef	কয়েক কোটি রুপিতে
5f8c970e0a	4c1eb	আন্তর্জাতিক ম্যাচেও
5f8d15f82d	d9817	গীতিকার সুরকারদের
5f8d74c27c	4a918	এক প্রজন্ম ধরে
5f8d883071	07660	দেশগুলোর প্রধান প্রতিযোগিতা
5f8e2e7da2	9642e	এ ঘটনা ঘটে
5f8ecb679f	b8ed8	মহানায়িকার শেষ যাত্রা
5f8f707475	0b7ca	নিখুঁত ও রসাত্মক ঢংয়ে
5f8fa00cd8	e3f89	কোন আইন প্রণয়নের চিন্তা ভাবনা
5f8fbca645	d2294	চুক্তি হওয়ার কথা ছিল
5f8fe82068	4c1eb	কোন প্রাচীনতর-গ্রন্থমূলক নহে
5f9099b774	f83df	হলমার্কের ঋণ কেলেঙ্কারির ঘটনায়
5f90f79990	c3cca	খচিত থাকে
5f913f882c	b7be9	ভাইস চেয়ারম্যান পদে শাহনেওয়াজ হোসেন জোয়ার্দ্দার, মাওলানা সিরাজুল ইসলাম ও শেখ সেলিম আক্তার স্বপন মনোনয়নপত্র জমা দেন।
5f916d6aa9	1f733	বিক্ষিপ্ত সহিংসতা ছাড়াও
5f91eafabd	a1201	বঙ্গবীর কাদের সিদ্দিকীর সঙ্গে
5f92475499	efc0d	দায়িত্বও পালন করেছেন তিনি
5f92a420b7	2d98b	যদি নতুন কোন অস্ত্র
5f932eb377	0696e	২০০ বছর
5f93ad9b15	bbb22	রাজধানী ঢাকার দুটি বাজারকে
5f9414ce78	e3f89	আজ প্রথম পথসভা করবেন
5f94bc8897	d9817	অ্যাঙ্গোলার নাগরিক
5f94ead61a	d2355	এখনও মাস্কের মাধ্যমে
5f954b1297	1e7c6	এখানে আমার কলেজের
5f962e863a	e9589	সাবিনাসহ মোট তিনজন মহিলা
5f96831fe0	43199	জানতে চাওয়া হয়
5f96c927bc	c2082	তবে এর জন্য
5f96d531b1	4ea73	তা কমে দাঁড়ায়
5f971ee31b	6c6bf	ড. র‍্যান্ডাল আরমিস
5f972dc135	616ec	সূর্যের আলো
5f9789bedb	086dd	এটি আর একটি দরবার
5f97d13e35	2ad74	সোনারগাঁও
5f980311ff	06ea3	তবে এই ক্ষমতা দখলের নাটক
5f98d8a8a8	2bd99	একবার ঘুরতে
5f9915b741	e3d8b	সবসময় শুনে আসছি
5f99f82844	a4750	দেশের কুকুর লইয়াও
5f9a290e86	1de6c	সার্বক্ষণিক সব নৌরুটে
5f9a724712	06bb7	পদ্মা সেতু প্রকল্প পরিচালক
5f9a7b9534	da6f0	তারেক জানতেন
5f9a8a8af0	82926	কাপড় কিনে বানিয়ে নেওয়া
5f9a8d4ab3	69d9a	ডেকর পার্টনার এসকে
5f9ae97f3d	6aac8	ম্যানড ক্লাউড হোটেলের নাম
5f9b209086	18460	অপহরণের অভিযোগ উঠেছে
5f9c65d2f9	7e1d5	বৃহস্পতিবার দুপুর ৩টার দিকে
5f9c6b5dd2	e9fa7	প্রথম পাতা
5f9cd983c9	13b70	শুক্রবার ঢাকায়
5f9cfab07d	8b859	ওরা বেশি শট খেলতে
5f9d582bb5	6c17f	উদ্বেগ লক্ষ্য করেছি
5f9d5b36ca	80539	থেকে পালাবার পথ খুঁজতে থাকি
5f9d8cb4bc	e6e48	ধ্বংস করা সম্ভব
5f9e0b919f	c4973	প্রায় ৯০ ভাগ
5f9ea5132b	c0d65	বিদায় নেয়া ফ্রান্স
5f9f1ef517	c5479	কঠিন ম্যাচ ছিল
5f9f35ee8a	92bd8	একটু ভড়কে যায়
5f9ff87c8f	7ee9b	নব্বই দশকে
5fa020c1d6	75626	মৃত্যুর অভিযোগ শুনলেও
5fa06f361c	6e6fa	কিছু হয় না
5fa0de792a	f2b7d	সেটি আর হয়ে উঠেনি
5fa136b3cd	11bd2	মিজ ইংলাকসহ
5fa153e2f4	c3cca	যাবজ্জীবন দণ্ডপ্রাপ্ত
5fa173c4bf	c11b1	বি জে পি-র সমর্থন না পেলে
5fa1d74580	4f2ae	এক মানববন্ধন ও বিক্ষোভ সমাবেশে
5fa217918f	ff1eb	কার্পেটের উপরও
5fa217dd8a	c6848	বাবা
5fa23575e4	404ee	ফুটবল বিশ্বকাপের মধ্যে
5fa260bc99	68ab7	অসাধু সাংবাদিকেরা জড়িত ছিলেন
5fa273ef36	18a52	বোধ হয় চরিত্রের চিত্রায়ণ
5fa27eaa40	d2294	তীব্র শীতের সময়
5fa2cd1b0d	4bd2c	বাংলাদেশ মুক্তিযোদ্ধা সংসদ
5fa31c1644	b4ea7	ইনিংস খেলেন
5fa377d755	4f450	শীতে খুশকিমুক্ত চুলের জন্য
5fa38db7ca	ee7b2	দুই দেশের মধ্যে
5fa4171075	15a75	কয়েক সেকেন্ড পর
5fa5778b4a	e3d8b	অধ্যাপক টিম ও ব্রায়েন বলেন
5fa5c19806	01e91	দস্তুরমত খেপে গেলেন
5fa7153a2a	948d3	নেটোর এমন উদ্যোগকে
5fa762493b	3c897	মাদুর পেতে দাদু বসে আছে
5fa76ea8ec	698a4	পাঁচকড়ি দে প্রধানত
5fa7818b89	153c9	ক্ষুণ্ন হতে পারে
5fa7b24600	f2780	শনিবার খুলনায়
5fa7ba31e4	351dd	জানালার দিক থেকে সরে এসে
5fa7bdfe52	590d0	লাগাম প্রস্তুত
5fa7e31563	a46e2	২৭শে ডিসেম্বর ১৯৬৮ সালে
5fa8473bd4	35ef3	মোটরযান প্রকাশনা
5fa87cdd2f	c5479	কোনো বাইরের লোকের
5fa8f8e939	b08d0	১১ জুন, ২০০৪
5fa9026db0	3d17c	দীর্ঘকাল কিংবা আজন্ম
5fa90db31f	23b22	মুখ বুজে থাকা
5fa942116b	698ff	সেইসঙ্গে ইমাম গাজ্জালি ইন্সটিটিউটের
5fa9615303	64092	ইরফান খান
5fa9c3bcd2	1652d	তেঁতুল গাছের নিচ দিয়া আপনি হাঁইটা যান তাইলেও আপনার লালা ঝরবে।
5fa9c9addf	717bb	বাংলাদেশ ও ভারতের মধ্যকার
5faa1049c0	2695f	ফেরার প্রবক্তাদের অনেকে
5faa6a9367	9282d	রাখি না
5faa6f2c38	e6203	এখানে সত্যিকারের পরিবর্তন আনতে হলে
5faaa749a8	38d3a	হাতিয়া উপজেলার
5faac1205b	91223	দুর্গা
5fab24c409	95f83	সকাল সাড়ে ৬টার দিকে
5fab5eff19	08458	এ তথ্য জানানো হয়।
5fab6068c7	c749e	প্রত্নতত্ব অধিদপ্তর
5fabe5bb59	2396d	গোপন বিয়ের খবর
5fabe70927	4e900	নাটকীয় বিস্ফোরণগুলোর একটি
5fac4fd943	01e91	শহর
5fac7acc55	9092b	সোমবার দলের সঙ্গে
5fac85c1f5	80518	রীতিমত হিমশিম খাচ্ছেন তারা
5facb4831f	f0f95	তা সুনির্দিষ্ট অভিযোগের ভিত্তিতে
5face19c6a	14816	পুলিশ রাফেজা খাতুনকে
5face3d90e	3bb15	সেগুলো এখন কোন পর্যায়ে
5face8475f	e2ba2	এসব অগ্নিকান্ডে
5fad196268	c749e	কাত হয়ে ছিল
5fadf0bd0f	7b900	নির্বাচনের প্রতি
5fae263810	e6203	যুদ্ধাপরাধীদের চারটি কুশপুত্তলিকা
5faea10480	38d3a	ক্রমে অন্যান্য নৌকার
5faf0d9743	ff1eb	ছোটবেলা থেকেই তিনি বেড়ে উঠেছেন
5faf3fe68e	ff0fe	শশী তরুরের জীবনে
5faf8b4b75	ce775	থেকে জানা যায়
5fafcd3ea7	3faff	এর মধ্যে সবচেয়ে উল্লেখযোগ্য হলো
5fb03ec01f	24aed	বাড়িটি থমথম করে
5fb0f44ef5	c3cb3	যৌনপল্লীতে যান
5fb1b8360f	c173f	অবরোধের পাশাপাশি
5fb1cd7fa6	3bb15	নির্বাসনে কথোপকথন নামে
5fb1ebad38	28dfc	রাহা আত্মহত্যার পথ বেছে নেন
5fb2201469	3ec4d	১৩ জন সাক্ষীকে
5fb23255f0	c2082	ঠিক পরের দিন
5fb27cf777	8a46d	তারা বিপর্যয়ের মধ্যে
5fb2ab3a53	8845d	জ্বলে না ক বিলোচনে
5fb2b2824c	ec91c	৮০ শতাংশ এনার্জি সেভিং
5fb2c782f3	778c0	এইটা যদি করা যায়
5fb2de55f0	2de86	অন্যতম পুরোধা বিপ্লবী
5fb2eafe14	9c8dd	সর্বাধিক সময় কাটিয়েছিলেন
5fb306dc98	2fe3c	দখল করে নেয়
5fb35a1182	4237e	টাইমের ভোটের হিসাবে
5fb35ee0f2	93d3b	বৃহস্পতিবার সন্ধ্যা ৬টা থেকে
5fb3bccb8c	c463d	যুধিষ্ঠির ক্ষত্রিয় হইয়া
5fb3c0d41e	8ba2b	গত একমাস ধরে
5fb3d73c91	d3e06	পাঠাচ্ছেন সম্মেলনে
5fb3f7c606	68549	এরপর থেকেই প্রস্তুতি
5fb419a46d	38d3a	বাড়ি ঘুরেও
5fb41bb30c	0c39f	সম্প্রতি আল্লাহ ও রাসূলকে
5fb4574d41	d5213	তাঁরা সকলেই ছিলেন বিদেশী
5fb46f1d14	5639c	বিদেশি বর্গী, হার্মাদ
5fb4d2a5fe	3f875	একটি ফেডারেশন গড়ে উঠুক
5fb611679d	60b9d	পেটোয়া
5fb62332f6	91ac1	রান্না
5fb6680469	9d7bf	তৎকালীন সম্পাদক
5fb6b030ed	f7a7f	নীতির বহিঃপ্রকাশ
5fb75196bc	8845d	সম্ভবতঃ এই জন্যই
5fb7b16185	b8ed8	বুদ্ধদেব বসু
5fb7faeecd	16877	মৌলিক বিষয়গুলোকে
5fb8241122	ce629	কখন ফিরবে
5fb87f10b3	410fa	এই চাপে মস্তিস্ক
5fba3872bd	8632b	পুরোপুরিই ভেঙে পড়েছে
5fba5ca973	2fe3c	মামলা করার বিধান রয়েছে
5fba996098	91230	সে বর্ণনা দিচ্ছে
5fbb55648b	d1b12	এ সময় ড. ইউনূস
5fbc0998c7	17dcd	সিঙ্গাপুর এবং চীন
5fbc0e5b69	c7705	আমার জবাব দিচ্ছি
5fbc49ee07	6ee5f	বিটলম্যানিয়া নামে
5fbc6eadd1	2556b	চাকরি দেওয়া হয়েছে
5fbce1a82f	5dec6	নিশ্চিন্তের জন্য
5fbcf3a5f1	9282d	রোজা আসছে আর এর সাথে
5fbd489040	577fa	কি ব্যবস্থা বা প্রস্তুতি নিয়েছে
5fbdddb8b7	bf530	রাতে তিনি
5fbe0bf657	fb4cb	বাঁধনের স্বামীর নাম
5fbe492b4b	698ff	প্রতিরোধ করার নির্দেশ দিয়েছেন
5fbe9c43b2	52f27	খুলে যেত
5fbf68dab0	ee4ad	বিদেশ
5fc02f8101	cb1aa	পরস্পরের মুখোমুখি হবে
5fc0472c61	1a2a1	জামু বাহিনীর দখলে
5fc13c1cf7	76329	দুই কুল ত্যাগ করিয়া
5fc14b957e	7df87	প্রতিবাদ উত্থাপিত হচ্ছিল
5fc1992b08	2ee04	রাজনৈতিক নেতারা এতে
5fc214f603	0e637	সাংগঠনিক দূর্বলতার
5fc27e8725	0744c	রোগীরা পড়েন চরম বিপাকে
5fc2b124d5	37e17	গাছের সমারোহ
5fc371cf61	91223	এর সঙ্গে
5fc3bc321f	9813c	জাতীয় দলের আক্রমাত্মক এই ওপেনার
5fc3ebe9a0	2bd99	খারাপ লাগে
5fc40e1738	e2f12	প্রচার হয়ে গেল
5fc434c667	2bd99	হেরে গিয়েছিল দলটি
5fc451e0dc	355c1	হৃদয়ের দ্বারে
5fc461d76b	7b132	প্রগতিশীল গণতান্ত্রিক দল
5fc4b9dc3c	0a7a0	ছেলে বই পড়ছে দেখে
5fc4e8e18a	29d44	শহরে ফিরিয়ে আনতে
5fc4fa147f	23291	পরী জানান
5fc5016af0	0a87a	উচ্চারণ করতে নেই
5fc58e53d2	c7705	রাহুলের মতো তার বাবার নামও
5fc6525218	5b13f	অনেকে এখনো হাসপাতালে
5fc6700327	f1240	ধর্মমত ও উপধর্মমত
5fc6b62732	ff1eb	চট্টগ্রাম এলাকায়
5fc714cd8e	a699c	তাদের পাসপোর্ট দু’টো
5fc72fcec2	91ac1	কিন্তু পশ্চিমবঙ্গের খাদ্যমন্ত্রী
5fc75bb337	7b132	প্রকাশের সুযোগ করে দিতে
5fc774d681	0bace	পূর্ব বাংলার তথা পূর্ব পাকিস্তানের
5fc77c03fe	a06a1	এমনকি দেশ ছেড়েও
5fc7a0429d	75626	আমাদিগের হিন্দু ধর্মকে
5fc7b1cce3	7ec1c	দেড় মাস দিনরাত বাজিয়ে
5fc7d90c2d	9065c	আইসল্যান্ড, দক্ষিণ গ্রিনল্যান্ডের
5fc7edf9f1	37d7e	দ্রুত গভীর হয়ে আসছে
5fc860ecb3	c41d8	উপস্থাপনা করবেন
5fc86c3376	698a4	এখানে গণতন্ত্র, সমাজতন্ত্র
5fc8ad90e0	3d17c	তারা বিরোধী দল হিসেবে ব্যর্থ
5fc8db6a2c	0d4cb	বেশ কয়েকটি খেলার মাঠ
5fc921130d	29f8c	আজ দেওয়া হলো
5fc9fbab98	91b16	কেমন হবে এতো
5fca7f541b	43199	না পারি বলিতে
5fcad1d7f6	86b1b	কলিন্সের পথ অনুসরণ করেছেন
5fcb30ca23	38d3a	দোষ দিতে পারি না তাঁদের
5fcb640f59	0744c	অনেক সময় এমন হয়েছে
5fcb8b5bf5	1de6c	বাণিজ্যিকভাবে পাখির খামার গড়ে
5fcc018db1	dba43	বাড়ছে এখন
5fcc77d77f	d9ba9	কালজয়ী তার ট্র্যাজিডিক প্রেম
5fcdb9521e	509f6	চিঠি হাতে
5fcde89234	698a4	সম্মোহন
5fce372e56	cfc65	সে কি করে
5fce872982	cb842	আমি তাকে অনুরোধ করলাম
5fce8fad60	88654	অন্ধ্র জাতির লোকেরা
5fcec04dd7	d71a3	মাণিক হারালাম হেলে
5fcec68f8e	d2faf	এবং ডাটা স্ট্রাকচারের নিয়ে গঠিত
5fcefbad3f	5cb47	অভিনয় করতে
5fcfcfac29	95907	পাতলা গড়ন
5fcff62c91	5e80b	ক্রমাগত খেলা করা
5fd04b4c11	616ec	নতুন গৃহে প্রবেশের জন্য দিনটি মিশ্র।
5fd0859db1	2bc73	দ্বিতীয় স্থান ধরে রেখেছে মোনাকো
5fd0cad34d	dec2d	বেশ কিছু বৈশাখী মেলা
5fd0e7fa61	ff1c3	যান চলাচল বন্ধ থাকে
5fd1110079	8edea	অধ্যাপক ডক্টর টেরের
5fd11bc0b8	b9122	প্রথমে তিলকের মনোযোগ আকৃষ্ট করিল
5fd1418681	10a9f	অকহাম নামেই
5fd1c13d3d	4e900	যথার্থ মর্ম
5fd24457a3	0744c	পদত্যাগ করা
5fd2bbadc8	616ec	তাহলে কোন ক্ষেত্রেই মেলামেশায়
5fd30bc25c	ef915	তার দায়ভার
5fd311102d	9282d	কবিতা পাঠ
5fd3cca16e	3c897	আলম বয়াতি বলেন
5fd42a4d7e	91ac1	এদিকে ঘটনার প্রতিবাদে
5fd4386424	e6e48	কবিতায় রবীন্দ্রনাথ ধ্যানী
5fd48e455f	b8ed8	১১ কিলোমিটার দীর্ঘ
5fd49c8dab	d2294	পকেটের জন্য মঙ্গল
5fd4d4965d	06ea3	কাজ করবো
5fd4f02b5c	6aac8	নিয়ে যেও
5fd5354a9d	16e96	একাধিক মামলা দায়ের করা হয়
5fd53804b8	f4ba7	টেপা
5fd5bfdd94	bfac7	ব্যাপক আলোচনা যেমন হচ্ছে
5fd61cb628	0744c	কাঁচা পাট ও পাটজাত পণ্যের
5fd656aca1	b8ed8	গ্যাস সংযোগের দাবিতে
5fd686c2ed	1279e	গীতার বাণী
5fd69c5072	22096	কর্মসংস্থান সৃষ্টি
5fd69d8935	7b132	শুনানির জন্য
5fd72b46a0	6ee5f	তাঁদেরকে একেবারে চিরতরে
5fd7a0d9bd	f280a	তারা খপ করে
5fd84fcf0b	d71a3	কৌতুক জোকস
5fd86f9b64	c463d	যারা পেলে
5fd8df3761	e3d8b	অরবিন্দের পক্ষে
5fd93db5cb	4a918	ইসলামের প্রবর্তন
5fd93dcd05	72649	আইনশৃঙ্খলা বাহিনীর উপস্থিতি
5fd96b6ee5	80505	কাল থেকেই
5fd9e42bdf	f83df	২৫ জানুয়ারির মধ্যে
5fd9f3beac	8cf95	ফেলে দেন
5fd9f949f8	086dd	দেখানো হয়নি
5fda177f81	0696e	এদেশে সবকিছুই সম্ভব
5fda506537	a1d4a	জনগণ তাঁদের এই ভাষাটিকে
5fda78c203	0edef	গত বেশ কিছুদিন ধরে
5fdac3ca06	ced74	গিটার বাজাচ্ছেন মেসি
5fdb06bca0	e3d8b	এই চুক্তিকে স্বাগত জানান
5fdb13789a	3f493	পরিচিতি লাভ করেন
5fdb38abfe	7b60a	আন্দোলনের অর্জন অনেক
5fdb3c6204	0b7ca	ওসামা বিন লাদেনের চেয়েও
5fdbdd2d01	3ec4d	এই সংকটকে কেন্দ্র করেই
5fdbf7c6c4	404ee	সংকটের জায়গা
5fdc1cf110	fdcba	আসাদ গেছে মিছিল নিয়ে
5fdc81c20a	eecdd	আইনজীবী বলছেন
5fdcb5a5c7	2c9c5	একাডেমীতে প্রশিক্ষণ নিতে আসা
5fdd39458f	d8c80	কিছুই নাই সব পুড়েছে
5fdd4a0083	c463d	সদস্যরা টেবিল চাপড়ে
5fdda4a5c8	7297e	উধাও হয়ে যায়
5fde8570d7	cf82a	নিমগ্ন ছিলেন
5fdeadf344	c5dc8	তার আরেকটি পরিচয়
5fdeb2ef70	7d3e1	নিরপেক্ষ সদস্য
5fdf1370b4	fbb81	৫৪ বছর বয়সে মারা যান
5fdf5c4b94	420df	প্রস্তাব মেনে নিলে
5fdf5f24e0	80e98	বিবিসি’র জন্য
5fdf773045	e3f89	বাংলাদেশ বিশ্বের পাঁচটি
5fdfed9c09	2bd99	নিহত একজনের নাম
5fe00dc51e	44322	শিক্ষার পঞ্চাশ ভাগ ব্যয়
5fe04a0bf0	f7a7f	স্বার্থ সুরক্ষার উপযোগী হিসেবে
5fe068d1c1	f1ff2	স্বাধীন বাংলা বেতারকেন্দ্রের
5fe0b39020	4dd57	বিরোধী দলের আন্দোলন
5fe0dd058e	17dcd	একটি মূল্যবান সম্পদ
5fe0dd2802	f2b7d	সেভাবেই প্রস্তুতি নিয়েছেন
5fe12dbee1	b8bf0	মালয়েশিয়ার স্বরাষ্ট্রমন্ত্রণালয়
5fe1849b10	ac904	চিঠি দিয়ে বিষয়টি জানায়
5fe18a3345	3d17c	তেল উৎপাদনশীল এলাকাগুলোতে
5fe1ff8060	07660	লাখো সৈন্য
5fe22890f6	c9c19	এই বাহিনীতে কোন সদস্য
5fe26a024d	b8fe1	একটি ভাড়া বাসায় থাকতেন
5fe2a7c430	0d9f1	চুলকানী, পাকস্থলী বা অন্ত্রের
5fe2ed538f	f1ea4	ক্রাইমিয়ার বহু ভোটার
5fe38b5910	13b6a	যে ব্যবস্থা আছে
5fe4741cd4	31f09	দুধেও ফরমালিন
5fe4b44307	ff0fe	এমনটি একটি পার্টিতে
5fe4e45b12	4fc91	ভোট গ্রহণ করা হবে
5fe534cf83	08458	যোগ দিয়েছেন নুয়ান প্রদীপ
5fe546c554	4a918	বিদ্যুতের এই মূল্যবৃদ্ধি
5fe58c693d	f7a7f	সত্যজিৎ রায়ের বিশেষ বন্ধু
5fe5e29a1b	fb4cb	দুঃখের বিবরণ স্মরণ করিয়া
5fe60c2e4d	06736	জনগণের জীবনধারার সমতলে এসে
5fe6bd9d7c	13b70	ঢাকা থেকে মরদেহ
5fe6da7a30	eb179	দেখা যাইতেছিল
5fe7155754	7ec1c	পরবর্তী ঐতিহাসিক
5fe7189447	80518	লালন বিশুদ্ধ হিন্দু
5fe893aaf6	4f450	বহরমপুর
5fe8f54ccd	aabe7	রাষ্ট্রপতি প্রণব মুখার্জী
5fe9b2347c	9b864	মারাত্মক ধূমপায়ী ছিলেন
5fe9bf7874	8a46d	তা যাক
5feb78f38a	eb179	মজার উক্তি
5feb9932e1	b7be9	ঠিক তেমনি
5febcf5eff	4e900	সহিংসতা বন্ধ করতে
5febda2ae2	15a75	মিহিরচন্দ্র চৌধুরী
5fec487d84	520fb	জরিমানা করেন
5fec5c10b6	ab946	প্রাচীন সমাজের
5fecaa0aac	29089	শ্রীমঙ্গল
5fed0e5c80	dfefa	ঔপনিবেশের শানে নজুল
5fed4da939	c463d	বর্ষার নামে ধার
5fed9d642c	56508	কোনও উপায় আছে বলে
5fedc310dc	49d63	আকবর আলি খান লিখেছেন
5fedc640a9	91dff	অদ্বৈতবাদী শিক্ষার
5fee1186cb	d41be	নকল-এ নয়
5fee68229b	ca088	বেশ বুঝতে পারলাম
5fee84b45e	60f77	কুড়ি শতাংশ কাজ
5fef695986	6dff5	বিপরীতমুখী অপর মোটরসাইকেলকে
5fef95b86c	2d78f	বা অলিম্পিক নিশান
5fefb341ea	7e1d5	মেলামিনও ব্যবহার করা হয়
5fefdf961d	520fb	চট্টগ্রামে হেফাজতে ইসলাম ঘোষণা দিয়েছিল
5ff05ae9af	a274b	বড় পদক্ষেপ নেওয়া হয়
5ff06eab26	35ef3	চালিত করার
5ff0873e2e	195f7	জনতা ব্যাংক
5ff0b6bef4	16cfb	সম্মান আশা করাটাও ভুল
5ff0f29cbe	f2097	কেনা হয়েছিল
5ff1167166	69449	হংকং ব্যুরো প্রধান
5ff11c3626	db181	প্যারিস শহরে অবস্থিত
5ff122ba79	80be1	চার্লস ফ্রিডেলের ছাত্র
5ff158a703	c2082	এই মহতী রানিটিকে
5ff19153ac	ee7b2	পনেরো বছরের
5ff1da0cb9	22096	হাট দখলে থাকা নয়
5ff1ea6ca9	2ee04	মুভি রিভিউ
5ff208337f	0633a	সকালে নাশতা করার পরে
5ff214ae28	01e91	ডিএমপি নিউজ
5ff227fc9d	d2d71	পাইবেন কই
5ff294d98e	2aecc	এক সম্ভ্রান্ত মুসলিম পরিবারে
5ff2f13451	93080	মানসিক দুর্ব্বলতা নহে
5ff414e6bb	948d3	দ্বিপাক্ষিক চুক্তি করার ক্ষেত্রে
5ff44190ed	2840e	দুদক চেয়ারম্যান
5ff44816b3	9065c	সেই উপহাস্য লোকটার প্রতিই
5ff47edd48	fbb81	ষাট আর সত্তর দশক জুড়ে
5ff48ac66f	06bb7	যদিও টিউমারটা ক্যানসার নয়
5ff50f998d	e3d8b	মহাস্থবির বনভান্তের শিষ্যমন্ডলী
5ff51b60d6	1f733	রবিবার বিকেলে
5ff660ea31	c958a	তিন থেকে ছ'মাস পর্যন্ত
5ff663cda9	68549	রেল
5ff6be803b	590d0	অন্ধকার থেকে আলোয়
5ff76a0573	c3cca	অধুনা বাংলাদেশের
5ff77d30ab	56508	ধর্মীয় বিষয়ে আঘাত করা
5ff7af7ff2	05901	১৫ হাজার টাকার মধ্যে
5ff82d6230	39293	সরিয়ে নেই
5ff84b4e91	83c53	মান্দারতলা এলাকায় পৌঁছায়
5ff8c67caf	8cf95	অস্ত্রগুলো সৌদি আরব
5ff8e6c301	cd3ac	শাস্তিযোগ্য অপরাধ করেছেন বলে
5ff8f6aec5	ad050	ভাব এসেছিলো
5ff9db084d	7b900	বৈঠকে এ সিদ্ধান্ত নেয়া হয়
5ff9ef6515	195f7	তবুও তার অভাব
5ffa0103fb	a1d4a	এপ্রিল ফুল
5ffa2e29ff	1cb75	আর্চওয়ে দিয়ে মেলায় প্রবেশ
5ffbbecaba	efc0d	কান চলচ্চিত্র উৎসব
5ffbc3c5ef	46d49	তাঁহার রূপ, গুণ, সকলই
5ffc152def	e31e7	ড্যাফোডিল আন্তর্জাতিক বিশ্ববিদ্যালয়
5ffc598971	7f71c	ভিটামিন এ ক্যাপসুল নিয়ে
5ffcbc98ec	dae88	আজও আমাদের সমাজে
5ffd4e0fce	ef915	তাই খেলেছে
5ffd53faef	bd576	জমি সংক্রান্ত বিরোধের
5ffd84f6e0	767ff	উদ্ধার পেতে হয়
5ffdb27c88	b4ea7	হিন্দুধর্মে অবতারবাদ
5ffddcae12	af81d	প্রসঙ্গত, গত ৬ মার্চ
5ffe368c47	01e91	বাঁচার জন্য নানা পরিচয়ে
5ffeacf591	bf530	গোলের পর মেসির উচ্ছ্বাস
5fff4fc608	b7be9	তখন ওবামার আহত হওয়ার সংবাদে
5fffd9be07	fda1a	এই বন্ধুত্বের আমন্ত্রণ
