d600414926	77f82	জুডিশিয়াল ম্যাজিস্ট্রেটরা
d67b8fcb7e	37d7e	কর্মবিরতিতে থাকা
d67bf075cc	2ac82	রূপগুলোতে বিভিন্ন পণ্য
d67c0fc97a	4bd2c	১৬ বছর আগে
d67cb2d9f1	9e923	জামাতাকে পরিহার করার
d67cbc4561	e31e7	এরপরই রয়েছে
d67cff6be6	616ec	সরকারি অভিযান আর কারফিউয়ের মুখে
d67d1ce12c	dba43	মাত্র চার ঘণ্টা সূর্যের আলো
d67d213469	388c9	সীমাহীন সমারোহ
d67d7722b9	16e96	আবার সেই নীল কাগজ
d67d9566f5	53396	হৃদযন্ত্রের ক্রিয়া বন্ধ হয়ে
d67dcceedb	5cb47	শিল্পী অজিত রায়
d67dfb5736	4fc91	পবিত্রতা সুনিশ্চিত করেছে
d67e76b940	9f25e	হাবিবুর মারা যায
d67e961aa1	d9b11	সকল সরকারি ওয়েবসাইট
d67ed78acb	c4973	আমি ব্যক্তিগতভাবে আপনাকে
d67f201b6c	410fa	সকালে তারা আমতলী আদালতে হাজির
d67f3372fd	4f450	যারা তাদের প্রতিপক্ষের হাতে
d67f88cf64	d2faf	অসম সরকার
d67fa57a86	76329	বাংলাদেশের অবস্থান ১৩ নম্বরে
d67fb7cc1b	21e54	সোনার শুকের সঙ্গে
d67fe7ee50	6d129	পুলিশের ধাওয়া
d68080eadd	7aed9	টুরিং মেশিন গণনা
d680867317	dfefa	ভালো তো আমি বাসিই
d680c02e77	ac0df	বরিশাল বিভাগের ৭ উপজেলার
d680dbdb4e	fb4cb	তুমি বুড়ো মানুষ
d681529093	4f2ae	শিশু পার্ক
d681731873	5e80b	এবং কার্যকরভাবে
d6819325bf	91230	আর সেটা হয়েছে
d681db56d6	c463d	নজর দিতে হবে
d681ea5da4	ee886	জানা যাচ্ছিল না
d6827a5254	cf82a	সেই প্রকল্প
d682c84aaf	80e98	বিক্ষোভ চলছে
d682fb632d	06527	আহার শেষ না হওয়া পর্যন্ত
d6839fdcf9	b8ed8	কঠিন অংশে
d683d77750	7f2ef	তুলে দিয়ে সাহায্য করেছিলেন
d6841b1545	24aed	পুলিশের উপস্থিতি ছিলো ব্যাপক
d684752661	da6f0	আমদানিতে ঋণপত্র খোলা
d68489d978	1de6c	সমস্ত জীবন ধরিয়া
d6849bf5f2	92f59	ররী যাইয়া দেখিয়া আসুক
d684be597b	29bab	টানা দ্বিতীয়বারের মতো
d684fc4a14	153c9	এ ব্যাপারে শশীকে
d685131963	2f547	পৃথিবীর সবচেয়ে কাছ দিয়ে যাবে
d685201b4d	c463d	ওসব গালি
d6852cda9f	410fa	বেশ বিপদেই পড়তে হয়
d6859742e4	43b04	বিষয়টি মালিকের কথাই
d685e184fa	d8c80	মানচিএ
d685e780ed	1b359	তার কার্যালয়ে
d6866d2aba	65e30	বিবিসি বাংলাকে জানিয়েছেন
d6866e507a	2396d	কয়েকবার ফোন এলো
d686cbaeab	16cfb	এটা শুধু তারেক রহমানের
d687255158	0606d	এর আগে একাধিকবার
d6877a5911	16877	ক্যাচ তুলে দেন
d687966c2b	cb842	কারণ কলকাতাই ছিল
d687a698bd	698ff	নিজের কক্ষপথে ঘোরে
d688699541	b08d0	সে চেষ্টাই করা হয়েছে
d688a764c0	ca831	গভীর উদ্বেগ প্রকাশ করেছে
d688a86f0a	fdcba	অতি স্পষ্ট হইয়াছে
d68907fb3e	16e96	কথা শুনে
d6898df141	7a227	সন্তুষ্ট হইলেন না
d689d34fd6	0a87a	এটি অর্থনীতির
d689fa1fe1	a0277	স্বর্গে গেলেন
d68a895bbf	2de86	জ্যাকি স্রফের
d68aaf1854	ee886	প্রান্তিক আয়
d68ad8909a	f0f95	ক্ষতিগ্রস্ত এলাকাগুলোর মধ্যে
d68ae8671f	07660	তবে আমাদের জন্য
d68af1dabe	6ab59	এই দেশে
d68b6fb6c0	6973e	ঝোলানো যায় এমন একটা দোলনা
d68bab1c46	5d12f	পরম আনন্দে
d68be7eb17	1de6c	সেনাবাহিনী, পুলিশ ও সাধারণ জনতা
d68c0b306c	410fa	প্রচার ও প্রসারে
d68c0edc6c	932bb	ধান্যক্ষেত্র মধ্যে মুক্তবেণী-কলিকাতার
d68c402a65	cb1aa	সেরা
d68ca6c446	f2097	বিক্রি করা হচ্ছে
d68d998e6c	9282d	আগে ছিল না তো
d68e1afb06	4c555	দু-একটি গাছ দেখিলে
d68e7eec91	f2780	দুর্দশার হাত থেকে
d68eb7579c	baa02	ভিখু পালাইতে সক্ষম হইল
d68ef1b56b	0606d	চুক্তিভিত্তিক নিয়োগ দেয়া হল
d68f44ca99	e3d8b	এ কথার অনুসন্ধান করেন
d68f455dae	07660	ছাগলের খামার
d68f5cfca5	43b04	আরও ৪ খেলোয়াড় আছে
d68fff27e1	315e9	এই শিল্পীরা
d690088be9	13b70	একপর্যায়ে তারেকের সঙ্গে
d6901cba04	28dfc	খুব কার্যকারী হয়
d69062a057	809cd	কিভাবে উন্নত করতে পারে
d69069ebbb	577fa	চোরাবালি চলচ্চিত্রের পর
d69070ae57	b8bf0	ক্রেস্ট, সনদপত্র
d69085f73f	195f7	পাব, চৈত্রে গিয়ে
d690ded8b6	e754e	হৃদয়ের স্পন্দনে
d691275f6f	590d0	আফগানিস্তানের স্কোর পরিণত হয়
d69127afa5	2fc12	চার্লির ভূমিকায়
d6924b7f58	2ac82	ভাল লাগে?
d69258a6b6	ce180	গাজীপুর নির্বাচনে
d692b696d8	698ff	অনুধাবন করতে পারছো
d693221536	2bc73	নির্মাতারা ভালো বাজেটে
d6933a5e04	1a2a1	এই কিশোরীদের বয়স
d693460fe5	1652d	আবার শুরু হবে
d6934c3c32	31f09	কর্মসূচিতে যোগ দিতে
d693ff7419	fdcba	চিৎকার করছিলেন, কাঁদছিলেন
d69411ee6e	43199	ফানি ছবি
d694ad74a0	b8bdd	আস্থা রেখেছেন
d694f7ab73	809cd	এ ধরনের সংকট সৃষ্টি হয়
d695df2459	b5fdc	পরীক্ষা নেওয়া হয়
d695fc550e	d2294	ফানি
d6961f9233	4c1eb	দূর হউক
d6962fda54	e6203	আন্দোলনের জন্য
d6965a0497	ab946	সে চুক্তি অনুসারে
d69684f065	17dcd	সাপটা পরমুহূর্তে খুঁটি বেয়ে
d6971c3027	33814	বৃহস্পতিবার হরতাল পালনের
d6974b8915	9282d	মানুষ হয়েছিলেন রবীন্দ্রনাথ
d6979cc700	a7c6f	যানবাহনের অপেক্ষায়
d697a2764b	4c1eb	আফ্রিকান ও ফরাসী সৈন্য
d697cc7a23	f2b7d	ছোট আকৃতির গোল ধাতব গহনাকে
d699116e54	4fbd1	তারপর থেকে
d699495a6b	4fc91	বদ নজর
d69960430f	e3f89	দু’মাস আগে থেকেই
d699f7ccc9	2ac82	তারপর সেটাও যেন কোথায়
d69a3c4d72	44322	নিরবিচ্ছিন্নভাবে বিদ্যুৎ সরবরাহ করা
d69a944058	256f5	এতে শামছুর রহমান
d69af49af1	0edef	হাউজিংয়ের সিকিউরিটি গার্ড
d69b0608c9	2f547	৮৫০ টাকার মধ্যে
d69b8c833b	fb4cb	রামায়ণে ও ঐতরেয় ব্রাহ্মণেও
d69b9beab6	9d7bf	তার চেয়ে নারীর যদি
d69bd4bdc7	54cdd	ছবি আঁকার
d69cb02107	8ba2b	সীমাবদ্ধ ছিল না
d69cbb08bd	66dcd	২৩৬টি গ্রন্থ প্রকাশিত হয়েছে
d69d10274f	f0f95	তোমার স্বামী তোমাকে ঠকিয়েছে
d69d111635	46da4	ছবিটির প্রদর্শনী
d69d44f22c	1e7c6	লোকসংগীতকে ব্যান্ড স্টাইলে
d69d7a804c	860f4	দুই পীরের অন্তরে
d69d9f41c8	cd3ac	সময় সংবাদ মাধ্যম কর্মীরা
d69dd5010e	75f18	সাদা ফুল
d69e2217d0	ac904	ওই চুক্তি কিছুতেই মানবে না
d69e41dd9f	1f733	একজন ব্রিটিশ রেডিও জ্যোতির্বিজ্ঞানী
d69e49cf45	92f59	মফিজুল ইসলামখান কামাল
d69e9a80e0	75936	অ্যাপলের ওয়েবসাইট 9to5mac.com-এ ‘হেলথবুক’ নামে ফুল-ফিচারড অ্যাপ্লিকেশন ও ফিটনেস ট্র্যাকারের বিভিন্ন স্ক্রিনশট দেখানো হযেছে।
d69f482abc	730c3	বিমানটি থাইল্যান্ড উপসাগরে
d69f497126	aa820	ম্যানেজার আর কোচ
d69f49f85d	66dcd	কাপড় দিয়ে বাঁধা ছিল
d69f4e2069	2bc73	পাকিস্তানি তালেবান নামে পরিচিত
d69f5433b0	c11b1	সোমবার রাত পৌনে ১২টায়
d69fff3a5e	92bb2	পাশাপাশি এগুলো নারী-পুরুষের
d6a0143cae	11de3	বেশ কিছু দোকানেও
d6a015e639	0633a	দায়িত্ব পালন করেছেন
d6a0f0f8d9	ee994	বিভিন্ন জায়গা ঘুরে
d6a125dd4d	a7c6f	ব্যবস্থা গ্রহণের জন্য
d6a1fa0695	f6e55	আটকের চেষ্টা করছে পুলিশ
d6a2018da6	a43b5	ট্রাইব্যুনালে ছোটখাটো কাজ
d6a23df2d7	3fc9d	আইনজীবী সমিতির দক্ষিণ হলে
d6a256c667	ca088	জেনারেল ডাকনামে
d6a3a9c28f	1e7c6	অভিনয় করে
d6a3db410e	491a5	ফলে বোঝাই যাচ্ছে যে
d6a3fb16ef	e6e48	যে অস্বস্তিকর পরিস্থিতির মধ্যে
d6a4695719	10a9f	তাঁহার আলোচনা সূত্রে
d6a481719e	38d3a	৪ শতাংশ সুদে
d6a4cce793	7e191	মানুষ হয়েছিলেন রবীন্দ্রনাথ
d6a56d5266	85430	মান উন্নয়নের জন্য
d6a58afc65	d7a68	শীর্ষ সন্ত্রাসীকে ধরতে
d6a5c75dfc	b618b	রূপাই ছুটে যায়
d6a5d7e981	fb4cb	২০০৭ সালে এই খালটিকে একবার উন্নত করার কাজ হাতে নেওয়া হয়েছিলো।
d6a5eb5196	194f5	সাকিব-জয়ার প্রথম ছবিটি
d6a749576c	ec91c	আর এক কুঠরিতে
d6a771c2d0	b8ed8	উপস্থিত হয়েছেন
d6a7f9fdd6	4ea73	যাহা সচরাচর সাধারণ মানুষের
d6a911531f	c6848	এই পার্টি হচ্ছে
d6a95c44b2	f7a7f	যে প্রতিশ্রুতি দেয়া হয়েছে
d6a95eebaa	2396d	জন্ম, ফেব্রুয়ারি ৬, ১৯৭৬
d6a9664527	fdcba	তাঁহার নিকট আতিথ্য গ্রহণ করিলেন
d6a98fb453	fd880	ফলে অচল অবস্থায় রয়েছে
d6aa03b50c	4fc91	ভেক্টর এবং রাস্টার গ্রাফিক্স
d6aa14fed5	a7c6f	এমন অনেক জায়গা আছে
d6aad738fe	f837a	শ্রম আইনের ৩০২ ধারা অনুযায়ী
d6ab86462f	1cb75	তারপরও মানুষই সেই
d6abef3a4b	06e62	মারধর করা হয়
d6abf4b76a	08458	অতিরিক্ত খাদ্য সংগ্রহ করলে
d6ac0ad88e	c0965	অজ্ঞাত আরো অনেক
d6ac12cf32	e2c11	রাইফেল গর্জে উঠল
d6ac2fdbb3	65e30	চতুর্থ ইঞ্জিনিয়ার আবদুল হাকিম
d6ac4d8db0	35ef3	টিটকারি দিয়ে বলতাম
d6ad1fa88b	323f1	তত্ত্বের উপর ভিত্তি করে
d6ad423541	6aac8	৩০ জনের বেশি
d6ad4eed77	0a7a0	কুয়ো থেকে নেওয়া হত
d6adc4708a	60f77	ব্যাপারটা শুনতে অদ্ভুত লাগলেও
d6ade701a5	79b06	এ কথা বিশ্বাস করতে
d6adf2da2e	07660	সীমান্তে লবন ব্যবসা থেকে
d6af02d1da	8a46d	ঐন্দ্রজালিক মায়া
d6af72e9ec	11915	আবারো ভূমিকম্পে কেঁপে উঠেছে
d6afaffb7c	590d0	অস্বীকার করার
d6afb2a432	590d0	একটি অ্যামিন মূলক
d6afd3fbdb	e7230	২০১৩-১৪ অর্থবছরে
d6afd838d6	60b9d	মড়ার মতো নিশ্চুপ হয়ে
d6b0815e32	29bab	আবেদন করা হয়েছিল
d6b0966396	6973e	মেহেরাবের জন্য
d6b096a014	536d9	প্রকৃতপক্ষে বাঙালি নারী
d6b134111b	1a2a1	এই গ্রন্থের নাম
d6b162cc99	fcc89	সেক্সবয়ও নামবে কলকাতায়
d6b1681295	778c0	একজন ব্রাজিলীয় ফুটবল খেলোয়াড়
d6b18ce3c8	1c618	একটা কারণে ভারতের সংসদীয় নির্বাচন
d6b1e67240	ced74	ধরলেন গান
d6b2c9fe08	420df	আমাকে এখন ব্যাপক
d6b37baaca	4164f	পরবর্তী কয়েক দশকে
d6b37d62e3	f29bf	ঢাকায় শিশুকালে শুনেছিলাম
d6b448dc57	1279e	নিউমার্কেট ও ঢাকা কলেজ এলাকা
d6b450ad87	f7a7f	ডাকা হয়
d6b4c65cbe	2fe3c	আত্মতুষ্টিতে না ভুগতেও
d6b532ea30	80539	তাহলে আমরা আরো কঠোর
d6b55361a4	0c39f	আবির্ভূত হবেন
d6b56ab224	4f2ae	দিবস পালন
d6b5ae7b60	c5dc8	বর্ধমান ভবনের পশ্চিম বেদিতে
d6b5b5702f	9642e	আবার প্রতিধ্বনিত হতে থাকে
d6b5bc19bc	fda1a	কবিতা শিশুদের জন্য
d6b5c57230	d82d9	অবশ্য এর দ্রুততম
d6b5d27628	80539	এই প্রথম ম্যাচ ফিক্সিং মামলায়
d6b606655e	7f71c	মা-বোনদের সম্ভ্রমহানির মধ্য দিয়ে
d6b60d2a71	ad050	যার ফলে তিনি
d6b6308f92	2ad74	অদৃশ্য কষ্ট
d6b64f8bf8	b9a81	হবে ভালোবাসা
d6b6b944a3	bf530	শহরের বড় মসজিদ
d6b6be546c	c3cca	শহরটির লেনিন স্কয়ারে
d6b6e8a55b	7027a	আতাউল করিম
d6b6f3ca1b	f1ea4	খুবই মর্মাহত হলাম
d6b707323d	860f4	সম্প্রতি জাতীয় দৈনিকে
d6b72399d2	ab946	যাবজ্জীবন সাজা হয় না
d6b780086a	79b06	নভেম্বর ২০০৭ থেকে
d6b7b8b6e9	68549	সে কখনো রোমানাকে
d6b7cc818b	1279e	রাফেজা খাতুন
d6b7da5a6b	68ab7	নিজেকে বোঝাল ও
d6b82f1708	06bb7	নারীরা কোনও টুঁ শব্দ করে না
d6b8ea6d22	287bd	কলকাতায়ও গিয়েছিলেন
d6b97a8cec	c3cca	করাচীতে রাস্তাঘাট থেকে বন্যার পানি সরানোর কাজে ইতিমধ্যেই দেশটির সেনাবাহিনী কাজ শুরু করেছে।
d6b99a755f	3fce2	সূরা ইখলাস
d6ba7da85f	5d12f	বিক্রিয়া করে নিষ্ক্রিয় হয়ে যায়
d6baa8f4d8	e6e48	সরকারের রয়েছে
d6bad22511	35ef3	সাঁথিয়া উপজেলার
d6baf2e01f	8143b	বোতল সবুজ
d6bb1b7138	b8bba	পরবর্তীতে আমরা দু’জন
d6bb2df23b	7027a	তিনি কীভাবে দেখছেন
d6bb8a9658	c8f7f	সে আবৃত্তি এগিয়ে নিতে পেরেছে
d6bbb6bab6	7898e	শাপলা চত্বরে তৈরি মঞ্চ থেকে
d6bbe835ec	7ec1c	মুক্তি পেতে পারতেন
d6bc5b5b15	9c8dd	অনুষ্ঠান শুরু হয়
d6bcc4ec8e	cfc65	নতুন কোন চলচ্চিত্রে
d6bccd2bcc	61820	যুক্তরাষ্ট্রের রাষ্ট্রদূত ন্যান্সি পাওয়েলকে
d6bd534b4f	f4ba7	কমে দাঁড়ায়
d6bd6cae36	6aac8	রাজিয়া বেগম
d6be22be2e	e6203	তাই তেলাপোকা চুল খাওয়া
d6be407e6b	25117	আন্তর্জাতিকভাবে স্বীকৃত লেখকে
d6bf49cda3	4f2ae	চাইনিজ ভেজিটেবল উপকরণ
d6bf6a8038	e6203	আমি কৌতুক করে বলি
d6bfa99e28	9e923	রাজকন্যা সবে রপসাগরে সাঁতার দিয়ে
d6c0d0f635	1de6c	ধরতে পেরেছেন
d6c0d35f2c	3fae0	প্রায় আড়াই হাজার
d6c0d5adbf	948d3	বিতরণও করা হয়েছে
d6c0d9ca49	e3f89	আঘাত পেয়েছেন
d6c12c41b1	121bd	এখন আমার আপনজন বলতে
d6c2213db3	28dfc	অধিকারিণী ছিলেন না
d6c30ad197	14816	কারিগরি শিক্ষা বোর্ডের
d6c3a01f4a	92bb2	দীবানাথ সেনকে বিয়ে করেন সুচিত্রা
d6c3fd4991	66b3c	হল অহিংসা
d6c45d9d67	fbb81	শৈশব থেকেই
d6c460f4d4	e3d8b	কোনও জবাবই
d6c479b404	e754e	তিনি রাষ্ট্রবিজ্ঞানে স্নাতক
d6c552a853	7898e	নন্টে ফন্টে
d6c60b224b	f9dfb	রবীন্দ্রনাথের পিতা
d6c63897a8	eb179	বেশির ভাগ লোকই ছিল
d6c63ecf96	7297e	হিন্দী ভাষা শিখছে
d6c6597213	420df	টয়েলেটে গিয়ে
d6c6b8b54c	d7a68	সর্বশেষ সিনেমা
d6c6c2309a	b618b	কোনান ডয়েল লিপিবদ্ধ করালেন
d6c78ba560	a3a6d	একবার দেখা হয়
d6c79ffd11	72649	আমরা ঝাঁক বেঁধে
d6c7c0c394	1a2a1	সংবেদনশীল কবিদের মতোই ছাপ ফেলেছে
d6c80ee968	3f875	দাবি করেন রোকন
d6c89ab05e	fd880	একটি অন্তর্বর্তীকালীন সরকার
d6c8d3ba2f	ea5be	এ পেশায় তিনি
d6c8d5c1c4	4bd2c	২৩৯ জন যাত্রী নিয়ে
d6c9403052	29d44	কমেন্ট ছবি
d6c957903e	dfefa	সন্ধ্যায় রাজধানীর হাতিরঝিলে আতশবাজি ফোটানো হবে।
d6c9897e18	8406e	সচেতন এলাবাসী জানান
d6c9c3d91d	32b3e	লেখা লিখে শুধু নারী না
d6c9c9bb91	61820	সার্কাস-তাঁবুর গান
d6ca8c0abe	29bab	লোকেরা প্রথম অ্যান্টিগুয়াতে
d6caac8ff6	2fe3c	জায়গা পাননি তিনি
d6cb1a1e56	c173f	বলনা ভালোবাসি
d6cb67c366	693cb	এ বইতে যৌনতা বিষয়ে
d6cb831310	f1ff2	নিরাপত্তার নামে আরেকটি নখদন্তহীন
d6cb84df15	3f493	বা নাকী অন্য কোনও
d6cbfd5dfd	f1ff2	বর্তমানে খুচরা পর্যায়ে
d6cbfe9ee9	06bb7	প্রায় ১০০ বন্দী রয়েছে
d6cc476444	1279e	নজরুল হাসান
d6ccd744e7	e2c11	আমাদের সরকার সজাগ
d6cd369b3f	80e98	গতিময় এই ম্যাচে
d6cd7805b5	d8c80	চিমনির মুখে শোনো
d6cd89f245	75936	এছাড়াও বৈঠকে সিদ্ধান্ত হয়েছে
d6ce03db54	ee886	এমন কথা
d6ced4d481	767ff	সামাজিক পরিবর্তনের জন্য
d6cf4f92a9	d7a68	নতুন পৃথিবী
d6cf7576f0	bdd05	যেন জ্বলন্ত অঙ্গার
d6cf7b0d56	33814	তাদের বাংলাদেশে ফেরত পাঠায়
d6cffae09c	dae88	উপযোগী হিসাবে
d6d056b529	2ee04	রক্ষণশীল পুরুষেরা
d6d10503d3	4a918	অ্যান্টিগুয়ার প্রতিনিধিত্বমূলক
d6d1059357	e89bb	তবে এর কারণ
d6d1741052	8143b	কোরেল পেন্টার
d6d198defa	db181	নৌ পরিবহন মন্ত্রী
d6d1b88ded	1a2a1	নিয়া যাইত
d6d2c30dfe	f658d	পিতা, সম্রাট হুমায়ুনের মৃত্যুর পর
d6d2f92b09	28bb3	করেছেন তিনি
d6d31d4132	e00db	যে রাসায়নিক থাকে
d6d34c4dd3	7d3e1	পরের ম্যাচে
d6d357e8e1	8b859	রাজনীতিকরা তাদের
d6d4291fee	1de6c	আবার সরাসরি নরেন্দ্র মোদীকে
d6d46c11a2	80518	পরে পৌনে ১২টার দিকে
d6d5e4d91d	56508	বা স্বামীর আদেশ নির্দেশ
d6d5eb6ad4	cb627	প্রায় এক বা দুই লাখ
d6d6154051	e3d8b	জয়ের ওই সাক্ষাৎকারটি
d6d6b1dccd	80505	তা তারা এখনি
d6d74a080f	7c272	বসে মাংস কাটা হবে
d6d7df4441	ee7b2	এত দলাদলি না করে
d6d7fa07b4	f1ea4	মুসলমান সম্প্রদায়
d6d85461bb	d136b	দুই নেত্রীকে টেলিফোন করে
d6d8da5c62	730c3	আউলিয়া দরবেশদের
d6d95b9bb0	c3cca	সবকিছু কিন্তু আমি ধারণ করেই
d6d9796afd	06736	তার বিরুদ্ধ
d6da05e05c	9092b	বিমান বন্দরে
d6da2cd498	d8c80	এক বিমানবালার
d6da5ac234	bf530	এখানে ফন্টেরা নামে
d6da765919	0edef	এই অভিযান হবে
d6db0bda87	b7be9	যদি দেখেন কনডম
d6db1bc841	ca831	ওপর থেকে ঝুলছি
d6db52f7a7	9642e	তখন সেখানে কেউ নেই
d6dbe1c9d7	44322	শিল্পটির সবচেয়ে বড় বাজার
d6dc1a86d2	21e54	ফলে এই জগৎ সংসারের
d6dc6d5fa6	db735	এক পর্যায়ে গুলির আঘাতে
d6dd9a28e5	fcefa	দিন শেষ হইয়াছে
d6dded8395	33aef	তা বলতে পারে না
d6de0e8691	f143a	ফ্লোরা লিমিটেড
d6de224b86	0a87a	আমরা বলতেই পারছি না
d6de6c67e6	f1240	প্রধানমন্ত্রী মেদভেদেবের
d6de7f3d9b	2fc12	ও তার প্রায়োগিক দিক নিয়েও
d6deb5bec5	56508	এখনো বের হইনি
d6defcf8d8	f658d	অক্টোবর ২৮, ২০০২ জীবন কালে
d6df426863	fdcba	১ কাপ পানি দিন
d6df5aa3ec	c8f7f	ডালপালা গজিয়েছে
d6dfc949c2	4fc91	ইউক্রেনে পাঠাতে সম্মত হয়েছে
d6e02d314b	b7be9	পিটিয়ে হত্যা করেছে
d6e09790fe	880ae	নায়িকা মৌসুমী
d6e168b01f	870e3	কি করে ঢুকেছিল
d6e1ae8cab	14d25	দুর্নীতি দমন কমিশনের মামলায়
d6e23c719f	2ecf8	সূচনা বক্তব্যে সীমন উল্লেখ করেন
d6e247751a	0bace	একটি ভিজ্যুয়াল বেসিক স্ক্রিপট
d6e2a77f78	d2faf	যথাসময়ের আগেই
d6e2c41d96	7898e	কলুষিত হোক
d6e2cf588c	3bea8	দ্রুত গ্রাহকের কাছে
d6e2f1a476	21e54	১১ কৃষককে হত্যা করেছেন
d6e3258036	8143b	শওকত আলী পলাশ
d6e383ccea	72649	মঙ্গলবার ট্রাইব্যুনাল-২ এর চেয়ারম্যান
d6e3970e12	b8fe1	ট্রাক ও পিকআপ ভ্যানের
d6e3bafa87	4fc91	পেটোয়া
d6e40b5ad9	58998	নৌকা ঠিক রয়েছে
d6e4378383	3fc9d	মা ও শিশু সমাবেশ
d6e4aecd71	1652d	দাম বাড়ার কারণে
d6e51e91a6	e2ff7	মামলার এজাহারে
d6e527dac3	8ba2b	জলবায়ুর পরিবর্তনের প্রভাব
d6e5fc6f9f	e6e48	মটর
d6e6420708	93080	তবে তাই হোক
d6e65710dd	5a61c	আটকে যাওয়া মানুষের খোজে
d6e6649fce	0b7ca	প্রকাশ্য সমর্থক ছিলেন
d6e6ae1787	88654	তাদের থানায় এনে
d6e7057337	430b2	বেতন কাঠামো
d6e7e016ec	acb88	অবাধ, নিরপেক্ষ নির্বাচন
d6e80eac02	f1ff2	ঘটনাচক্রে তেজস্ক্রিয়তা
d6e8b0ca26	16877	মেক্সিকোতে প্রাচীন মায়া সভ্যতার নিদর্শন
d6e8d00f90	e6203	একপর্যায়ে প্রায়
d6e9301c2f	efc0d	বহরমপুর বাসকালেই
d6e943db9f	ef4f8	পুলিশের কাছ থেকে পাওয়া যায়নি
d6e96b7096	4dd57	চলে আসেন
d6e97ae016	6dff5	বাদ পড়তে হল তাঁকে
d6e9a28fa8	b9b98	অন্যদিকে রানবিরের ক্যারিয়ারের
d6e9ac3d52	79b06	বাংলাদেশে এই ধরনের অফার
d6e9ebf728	31f2a	তৈরি হওয়া মৃত্যুর ফাঁদগুলো
d6ea091324	778c0	জামিন পান রুমি
d6eac4b362	4fc91	কিন্তু সম্প্রতি অষ্ট্রেলিয়ার সরকার
d6eacb9fef	cfc65	আর আমাদের পুঁথিলেখক ভদ্রলোকটি
d6eb33516a	2b883	টাল সামলাতে গিয়ে
d6ed157419	5e80b	বাকিরা দায়িত্ব পালন করবেন
d6ed366041	bc81e	ধর্ষক-নিপীড়করা
d6ed6a5043	351dd	সেই সংস্থা বিক্রি করেন
d6ed8ad2bd	577fa	লেখকের বিশ্লেষণ হচ্ছে
d6edd2910f	29bab	এছাড়া বলা হয়ে থাকে যে
d6edfedb79	17ca1	হাতে গোনার মতো
d6ee1e4d0b	4ea73	আলতাফ মাহমুদকে
d6ef25d579	9d46f	এই কাঠ পাওয়া যেত
d6ef4269d0	ea5be	ছুটে যায় মংলায়
d6ef4e5c18	bf530	ছুটির দিন
d6ef7487d3	0a87a	এই তিন পুরাণ সম্বন্ধে
d6efac5112	d136b	কটূক্তি করিতে লাগিলেন
d6eff4b83f	1f733	আমারও ইচ্ছে করে
d6f07c150d	590d0	গোঁয়ার্তুমি করেই
d6f07c9b55	0606d	আরো অনেক হিন্দু পরিবার
d6f09b99ea	8632b	সবাই আমার
d6f0a84aec	09f0d	তার একমাত্র সন্তান স্নেহা
d6f164c58d	37d7e	মাটির পাহাড়গুলো
d6f1995b70	c11b1	রাতের শখ্য ছিল
d6f2b9c569	ea8fa	ঘুরে বেড়াতাম
d6f2c40b87	7b103	তিনি বলেন কারখানায় কী ধরনের নিরাপত্তা ব্যবস্থা নেয়া দরকার সেটি শ্রম আইনে উল্লেখ করা আছে।
d6f2c7d227	1b359	অন্যান্য জিনিস কিনে
d6f312c5fc	282d3	জোহরা উপন্যাস
d6f3214c73	4fd66	ঘটনাস্থল কোয়েটা থেকে
d6f34046bd	2bd99	কোন সন্ধান পুলিশ
d6f34ddef8	976b1	গরুটা চলছে চলছে
d6f3a3f6f1	ee886	এই শিল্পের মালিকদের সংগঠন
d6f3f5669d	693cb	আবার একটা খাম পেলাম
d6f421edbc	95907	না তোমার বয়স কম
d6f48ed09c	91230	প্রকৃত খুনির পরিচয় বের
d6f4ae0d81	07660	সকাল ৮টায়
d6f4d0946e	06e62	সয়াসস ২ টেবিল-চামচ
d6f4dc6d0f	ee4ad	প্রয়োজনীয় সংখ্যা না থাকায়
d6f5485207	29f8c	সর্বোচ্চ পাঁচবার
d6f5b80a30	ef4f8	হয়ে রয়েছে অ্যাবরদিন
d6f5eb957b	f1ea4	কখনও সাহিত্যিক পদ্ধতি
d6f615c313	9d398	মারাত্মক ক্ষতি
d6f6c3539f	4dd57	সে আর বলবার নয়
d6f6e5ba2f	18460	অংকোজিন বলতে
d6f74dda20	7c272	দল কিভাবে দেখছে
d6f799449b	9813c	বাহাদুর শাহ পার্কের কাছে
d6f7aad01f	b08d0	সাবেক দলের বিরুদ্ধে
d6f81590b0	80539	এভাবে মাছ ধুলে
d6f8fb1ab9	d71a3	যখন সে খুব ছোট
d6f92e99fb	82926	কারওয়ান বাজারে
d6f9a78625	cd3ac	অংকুশ পশ্চিমবঙ্গের
d6fa203627	0a7a0	তাদের অবস্থান ছিল
d6fab8e28a	590d0	একই কাজের
d6facdafcd	bcaa8	সেন্টমার্টিন দ্বীপের সংযোগ
d6fad161fd	3c897	বা কামড়ের বিষ থেকে
d6fae02c0a	d7a68	হুমায়ূন আহমেদের লেখা দেয়াল উপন্যাসে তথ্যগত ভুল সংশোধন করা প্রয়োজন।
d6fb23e39d	75f18	বলে ধরে
d6fb5bf9f8	06ea3	আশেপাশে যেমন নারায়ণগঞ্জ
d6fb8be911	a43b5	অলিম্পিকে অংশগ্রহণ করেন
d6fba4c59d	16cfb	৪০টি কেন্দ্রে
d6fc9b0c3a	80e98	থাকছে ১০% ছাড়
