810017b6cf	932bb	নিউজিল্যান্ড দলের নির্বাচকরা
8188f8681b	b5fdc	লোকসংগীতকে ব্যান্ড স্টাইলে
818914ff3f	d7a68	২ জন ওয়াই এসআর
81891dcfe0	a4750	এ প্রশ্ন পাখি বেগমের
8189b1f8eb	d0c70	সাধারণ একটি পরিবারে
818a78811a	ca088	চতুরপাড়া গ্রামের
818adeb4b5	2396d	দুটি জিপ পুড়িয়ে দেয়
818c32f6df	730c3	ফিল্ড মার্শাল সিসি খুব সহজেই প্রেসিডেন্ট নির্বাচনে জয়লাভ করবেন বলে ধারণা করা হচ্ছে।
818c645b93	12702	হাইয়ান ফিলিপাইনের মধ্যবর্তী উপকূলীয় প্রদেশ
818c81c43f	5cb47	তেল ভিত্তিক বিদ্যুৎ কেন্দ্রের উৎপাদন খরচ বেশি।
818c8cbd20	194f5	প্রতি বর্গকিলোমিটারে
818d1d19d5	9d7bf	বেসরকারি স্যাটেলাইট স্টেশন
818d36f97a	693cb	পর্যায়ক্রমে বিকাশ লাভ করে
818d7ba59b	01e91	পুঁথি-পুরাণের জগতে
818ee693e5	f837a	সেটা লক্ষ করেছিলেন
818ee81e12	18460	যিনি এই অভিযানে
818f57f50b	ff970	কেউ কেউ জেল-জুলুমও
818f8a87dd	24aed	কী করবে
818fa7c2a3	ee7b2	এবং ওষুধ-পরিচর্যা বাবদ
818fb9c3bd	7c272	রবীন্দ্রনাথের উপন্যাস ‘বউ ঠাকুরানীর হাট’ অবলম্বনে পশ্চিমবঙ্গে ১৯৫৩ সালে নির্মিত চলচ্চিত্রে অভিনয় করেছিলেন উত্তম কুমার।
818fcc4f33	8edea	ভারত, পাকিস্তান
818ff4248f	8ba2b	উচ্ছেদ করা হয়েছে
818ff95adf	860f4	প্রবেশ করতে পারবেন না
81902ade49	18460	এটি বীণামণ্ডলীয়
8190473e63	b2a62	মাফিয়া ডন
81905067a5	46d49	১১টি কুকুর
8191501ba7	7d3e1	ছিল নানা ত্রুটি
81917f3e49	f2780	চট্টগ্রাম মেডিকেল কলেজ হাসপাতালে
8191a9d863	68ab7	কোনোভাবেই মেনে নিতে
8191cc9ecc	11de3	টাঙ্গাইল
81929d28f1	b9a81	ফেনীতেও সংঘর্ষে
8192ac6f9a	590d0	আরো জোর অনুসন্ধান চালানোর জন্য মালয়েশিয়ান কর্তৃপক্ষের প্রতি আহ্বান জানিয়েছে চীন সরকার।
81935ec66c	ad2a0	ভাবনা ও উদ্যোগের
8193671ecb	14d25	সুবল হাল ঠিক রাখিয়া
8193b1a3d2	8cf95	সাত অটোরিকশা আরোহী আহত হয়
819409efa4	3bea8	ওদের ধর্মে
819417051e	948d3	তিনি আমার সঙ্গে
819432df97	0f047	বিড়াল তপস্বী জ্ঞান করিয়া
81945faabe	7c272	সিদ্ধান্ত নিয়েছেন
819472d399	6dff5	দেশের স্বাধীনতা ও মুক্তিযুদ্ধের
81948ab7df	25696	গালিব ছিলেন
81948b0cb5	0e637	মৃত্যু হয়েছে
81949a89f2	92f59	আজ
8194a6bfd6	7d3e1	সাম্রাজ্য ছিল
819581b0de	693cb	বিপরীতে আলিশা অভিনয় করেছেন
819583157a	4bd2c	কাজেই বাসিন্দাদের
819612f18d	e9fa7	উন্নয়নমূলক কাজে
81967076f1	ad050	ম্যাজিট্রেট মো. মাহাবুব জামিল
8196f5546f	e55de	ছয়ের দশকে
8197314cfa	698ff	আদালতে আসামিপক্ষে
8197c425a6	47e8d	শুরু হয় বায়ুন পর্ব
8197cace21	948d3	রুগ্ন প্রকৃতির এক বালক
8197fcbb6b	f1240	সংসদ মুলতবি করার কথা
8198573a6f	1a2a1	আসলে সব অর্থে
8198a380d5	09b32	ট্রাইবুনালের ভেতরে
8198c63a38	91ac1	এর জনপ্রিয়তাকে বাড়িয়ে দেবে
819946309d	fcefa	এবারের মাঠে ময়দানে
81995798e1	f1240	বইগুলো তো পড়ার মতো
81998ce8cd	4c1eb	নিজেদের অভিজ্ঞতা
819a79b54d	ec91c	কলকাতা খেলা
819a9bae77	5dd61	নামাজ এর নিয়ম
819a9c230d	4fc91	কর্মস্থলেরও বিবর্তন ঘটেছে
819ab9dac2	e43d4	সেটা তো প্রতিনিয়ত
819adfd3e7	baa02	সে সামনে এসে
819b23b052	fdcba	জন গালিভারের প্রতিবেদন
819b32630a	2de86	টুর্নামেন্টটির বাকি দুটি শিরোপা গেছে
819b5d8812	03284	নেপালের ছোট্ট মেয়ে
819b8a4d24	88654	বিশেষ প্রতিবেদন
819baa1f99	9e923	জিনিষপত্র পুড়িয়া
819befa340	4e900	ব্যক্তিগত পরিচয় সমাপ্ত করিলাম
819bfd958e	05901	উঠতে পারে না
819c40abe9	616ec	এক দল ডাকাত
819c47bc44	c173f	জিজ্ঞেস করলেন, কোন স্কুলে
819c6ca4ed	195f7	মতোই বটে
819d3e71c6	06ea3	সেখানে যে ব্যবস্থাগুলো
819d920433	cb842	লাউ চাষ
819e0f1c18	fbb81	একটি বড় নিম্নচাপ অঞ্চলের কেন্দ্র
819f42fe56	c41d8	৫ জানুয়ারির দশম সংসদ নির্বাচনে
819fad3af0	29089	মেডিকেল সাটিফিকেট
819fc5c94a	52578	মঙ্গলবারও পণ্ড হলো
81a019d717	80be1	সুফিরা নামাজ রোজায়
81a04b5261	7a227	অধ্যাপক ডা. দীন মো. নুরুল হককে
81a05f42d3	a46e2	আমাকে যদি
81a064dd77	72649	৮৮ বছর বয়সে তিনি তাঁর বাসভবনে মৃত্যুবরণ করেছেন।
81a07c4cdd	c5dc8	আমরা স্কুল-কলেজের
81a0d3b977	85430	তাঁদের রচনার বাংলা অনুবাদে
81a0e71854	84145	প্রথম মার্কিন যুক্তরাষ্ট্রের দুটি দূতাবাসে
81a144fc2c	7027a	ক্ষুদে শিক্ষার্থীরা
81a148d7b8	f1ea4	দক্ষিণ আফ্রিকা ইউনিয়নের
81a1cc2a77	430b2	আস্থা আনয়নে
81a210dd5e	9e923	আর নাটক অর্থে প্লে
81a27c4e5e	fdcba	ও নাচে-গানে মেতে উঠেছিল
81a2827467	92f59	১৮০০ সাল পর্যন্ত
81a2a24cca	4c555	ফোনে বেশি কথা বললে
81a307893c	73629	কয়েক লক্ষ লোকের
81a309bd8e	0d4cb	১৩ জন বিদেশী
81a3ab49a6	8b859	ওই মধু খাঁটি নয়
81a3b62334	f7a7f	দৃষ্টান্তমূলক শাস্তি দাবি করেন
81a3c6df6e	d1b12	দেখি তাতে
81a441017e	717bb	অন্ধসম বৈঠত
81a47fcb31	92f59	দাম হাঁকে
81a50e8851	0f047	রাজার চেয়ে
81a56f0694	274ee	পরম বি্নয়কর
81a589d8f0	03284	পাঠ্যবইয়ের বাইরে
81a58a38c0	2556b	ভায়োলেন্ট ম্যান হিসেবে
81a593d85a	7b60a	এবং ব্যয় সাশ্রয়ী হতো
81a5c3b1ef	745b7	শহরের ইষ্টিরা
81a6593590	a06a1	চিঠি শেষ করি
81a757b552	31f2a	যে পরিমাণ উন্নয়ন হয়েছিল
81a772b52d	64092	বিল নদী নালা
81a7f9b2b4	f1ff2	কোরান হাদিসের প্রতিটি শব্দ
81a856fe00	25117	আগে ভারতের একবার সফরের পর
81a858cf40	2fc12	মেডিকেল ডিকশনারী
81a8ffdfcc	2d78f	তারপর নিজের গামছাখানি দিয়ে
81a9630857	0bace	সূর্য্য-দেবতা, সূর্য্য, ভগ
81a9769284	cfc65	অভিযান চালাতে পারিনা
81a9c5edcd	47e8d	ভ্রমণের এ সুযোগ
81a9e37243	cc9fd	ভাষা-আন্দোলন জাদুঘর প্রতিষ্ঠা করেছে
81aa40f848	f280a	পড়, পিঁড়া পিঁড়া কয়টা ডিম
81aa457b97	d5213	এমনকী আট থেকে বারো বছর বয়স্ক শিশুদের ঢাকার রাস্তায় প্রকাশ্যেই ড্যান্ডি সেবন করতে দেখা গেছে।
81aae6b26c	d2d71	এত কাছে পেয়ে
81ab04a576	17dcd	বর্ষবরণের পান্তা ইলিশ দিয়ে
81ab209f8b	bdfc1	আমাকে ঘিরিয়া ধরিল
81ab268fa3	2f547	আমি জিজ্ঞাসা করেছিলাম
81ab9a851e	7351e	দক্ষিণ পশ্চিম আফ্রিকায়
81acd2b389	66b3c	পুঁটলি হইতে
81acf96787	47e8d	ক্ষুদ্র হয়ে আসে
81ad1e2410	e6d83	ভাষা-প্রযুক্তি গবেষণা পরিষদের
81ad9b964c	932bb	পরীক্ষিত হয়
81adcbc1d2	f89d7	রাজনৈতিক বিক্ষোভকে কেন্দ্র করে
81ae27f4e4	4a67e	এবং স্থানীয় সংসদ সদস্যদের মাঝে
81ae66520b	5639c	তার কোনো অবৈধ সম্পর্ক নেই
81ae69c10a	7b900	হাতের হাড়
81ae910b64	03284	এবং দক্ষিণ পন্থী একটি গ্রুপের
81aeaef6b7	f1ff2	নিবেদিতভাবে কাজ করার
81aefc602f	95907	রাজনৈতিক আশ্রয় নিতে
81aefcb7c7	69449	আবুলের কাছে
81af1b2668	9282d	আর কথামালার ফুলঝুরি
81af334b4a	49d63	গত ২৭ অক্টোবর হরতালে
81af5c6155	5dd61	অটো শ্লুটার
81af6f6d02	11bd2	১৯২১-২৪ ও পরে ১৯২৫-২৮ কালপর্বে
81af8744ee	ef4f8	মনোযোগ দেন
81af940359	8845d	মাঝে মাঝে দাঁড়টানা বন্ধ করিয়া
81afcbf342	7027a	টেস্ট মর্যাদার ক্ষেত্রে
81afd58f38	5cb47	বিনিময়ে কিছুই হাই ন
81b00488f7	9fa90	কিছুই নেই
81b027f223	0744c	ফাঁকি না থাকে
81b08d9c23	2fc12	সেখানেও গিজ গিজ করে
81b0b48780	3fae0	পুনরুজ্জীবিত হয়
81b0ba160e	e754e	দুধ, ডিম, চিনাবাদাম
81b0e44e07	2556b	এলাকার অনেক হিন্দু
81b0ed05e6	9642e	এশিয়া ছাড়াও
81b1a4802c	80518	মহানগর পুলিশের রমনা বিভাগের
81b1d065a7	77f82	বদলা
81b1e2b25d	06e62	বিশ্ব ব্যাংকে
81b22dd768	ac0df	আগামী সপ্তাহের শেষ নাগাদ
81b241e95e	520fb	ঘর-সংসার শুরুর
81b2c2e5e2	0d4cb	কবিতা ভিত্তিক গান গাওয়ায়
81b31cfc00	7b103	শার্লিন চোপড়া অভিনীত
81b3a547b4	2396d	এ উপজেলা নির্বাচন
81b4901790	404ee	এবার ফাইলটি vbs ফরম্যাটে
81b4e3974a	2c9c5	পে কমিশন গঠনের
81b59fd1df	4f2ae	ভাবতে শুরু করে দিয়েছিলাম
81b6acc8d4	0d9f1	মনে করেন জয়
81b6d1c97c	39dd0	১৫ হাজার টাকার মধ্যে
81b7c0e651	717bb	মেহজাবিন, নিশো, সমু চৌধুরী
81b7ffb205	b9a81	তরল পদার্থসমূহের
81b8616a8e	32998	গণতন্ত্রের অবস্থা কী
81b8930d4c	6da0a	বেড়ে উঠেছিলেন
81b909f9c1	66b3c	আমার বড় দুর্বলতা
81b93adf42	0696e	ব্যারিকেড দিয়ে রাখেন
81b94bec61	c958a	বাদশাহ মিয়া জানান
81ba0351ff	0744c	মিছিলটি উপজেলা ক্যাম্পাসে
81ba0a0030	80e98	অতীতে এধরণের অনেকর দোষ
81ba1a7bd8	eaa7a	সর্বজন-বোধগম্য ভাষা হইতে
81ba7d9665	809cd	এদিকে মানবতাবিরোধী অপরাধীদের
81bb0f3b7d	9092b	সম্ভাব্য ধর্ষকেরা
81bb3411de	aa820	তুমি যদি আমাকে কাছে এসে ভালোবাসো
81bb8ea9e9	cb1aa	আসন্ন ২ টেস্ট সিরিজের জন্য
81bb9955c1	ac0df	ওয়াল্টার মিটি
81bbae653c	4fd66	ক্যান্সার হওয়ার আশঙ্কা থাকে
81bbdc5876	2ac82	অনুষ্ঠানটি আয়োজন করেছে
81bbe056d7	58998	এদেশের জনসাধারণের ভূমিকাই অধিক
81bc16f571	29d44	আমাদের একজনের
81bc7f09f5	5639c	তার কোনো অবৈধ সম্পর্ক নেই
81bce29e95	fdcba	তাদের দেখব
81bcf0ce04	e6e48	ড. কামাল হোসেন
81bcfb1b85	f2b7d	মিলনের অপূর্ণতা নিয়ে
81bd097d4a	d9b11	কষ্টকর হয়ে পড়েছে
81bd2d2fdb	0bace	সুরা বাকারা
81bdf0b089	09b32	জলের গান লিরিক্স
81bdf731c2	cb627	কিইনা তুমি একলা যাও
81beb618d5	d9ba9	অভিযানে সুনির্দিষ্ট অভিযোগের ভিত্তিতেই
81bed142ae	6c6bf	তাজমহল রোড সংলগ্ন কবরস্থানে
81bffade12	06e62	প্রতিদ্বন্দ্বিতায় অবতীর্ণ হচ্ছে না
81c0239eae	7297e	গোয়েন্দা সংস্থাসহ
81c07f8635	fda1a	বাজখাঁই গলা
81c0b52755	d7a68	আয়োজন করা প্রায় অসম্ভব
81c0f34612	dfefa	ভাব
81c109e6b6	7b900	এই গল্পে
81c176d11e	3ccf1	ফোটনের সাথে
81c1f26366	698a4	এইডা কি কইলেন আপনে ভাই
81c2207d8e	0633a	প্রতিটি দিনই আমি
81c25ba1e6	ee852	পালং শাক
81c31a52e9	93bf3	হরতাল সমর্থকদের
81c32dea5f	0a7a0	বিশ্বের সেরা ১০০ বিজ্ঞানীর মধ্যে
81c36b7a26	9d398	এই ঘটনায় দুজনকে
81c38f4b5a	16a17	চৌদ্দ বছরে পরীক্ষায় বসা যায় না
81c3abfb28	0d9f1	এমন শিশু নিশ্চয় নেই
81c40b3a96	f1ff2	সন্ধ্যায় যদি সুযোগ হয়
81c45b26ad	8b859	অ্যাপোলো গ্রিক
81c4f4908a	4237e	অ্যাকসেপ্ট করা
81c5293bb7	31f09	তার কাছেই শোনেন
81c52fe3d2	24aed	দাখিলের জন্য
81c55e604d	aa820	তালাক
81c55e63ed	fdcba	যদি মধু পানিতে
81c5e82133	0895a	টিকেট এখনো নিশ্চিত করিনি
81c60afb77	95f83	হলুদ, কাঁচামরিচ ও লবণ মিশিয়ে
81c634ce2e	39dd0	ওয়েসলি বারেসি
81c7376a54	f2097	কোনো প্রেস রিলিজ দেওয়ার
81c7411f81	15a75	কর্মচারী ছিলেন বলে জানা গেছে
81c75df253	e2ff7	প্রীতি ম্যাচে
81c785fa36	ee994	বাংলাদেশে যে সংকটময় অবস্থা
81c8aadfb9	85430	প্রধানমন্ত্রীর অর্থ বিষয়ক উপদেষ্টা
81c922b109	fdcba	শুক্রবার পথে নামেন
81c936ab3e	f143a	কমিশনের নিদের্শনা অনুযায়ী
81c93bb9e0	93080	দ্বিতীয়ত তাঁর বলার মধ্যে
81c943b8ff	16877	আমি ঠোঁটের কোণে
81c9cdf72c	92f59	সাকিব আল হাসানের পর
81c9ed5513	16877	যাওয়া যেতো না
81ca27c250	66c6b	এ কথা সবসময়
81ca3a3f41	693cb	সমান ম্যাচে
81ca4b7ce0	9fa90	বহুশাস্ত্রবিদ গনিতের সর্বশেষ
81ca72f3f6	9f25e	তানভীর মেহেদি
81cabc3d2a	9282d	ভ্রমণ করবার সময়
81cb214466	cfc65	ঢাকা শহরের অধিকাংশ নাগরিকেরই
81cb6bf6a3	11915	বিবাহের কঠিন অনুশাসনের কারণ
81cb80695f	47e8d	বাঙালির সব অর্জনকে উর্দ্ধে তুলে ধরবে
81cb8ee09e	698a4	চিঠি পাঠিয়েছে
81cb95863a	323f1	সেরা আট দলের সঙ্গে
81cc3b5312	16877	বিহারের প্রাক্তন মুখ্যমন্ত্রীর
81cc5969a2	0696e	তাহলে আলাদা করে
81cc8c9b1b	509f6	নিজের দ্বিতীয় গোলটি করে
81cced5ccb	b8bba	তাঁর স্বর প্রায়
81cd0a6121	7d004	যাদের পায়ে চলার পথ
81cd516cea	c3cca	গম
81cdc22ce3	fda1a	ট্রানজিটকে রাজনৈতিক ইস্যু হিসেবে
81cdca1e3d	24f73	দুই দেশের অভিন্ন রাজনৈতিক
81cdd6aecb	e2ba2	সন্তোষজনক থাকায়
81ce770df1	e6d83	তারুণ্য জেগে উঠেছে
81cee2701e	ced74	জয়ের আশাজাগিয়েছিলেন
81cf019fc4	6a35e	কিন্তু ঐখানে সকল কথা
81cf818ba4	f0f95	অডিও বাজার মন্দা
81cffe8733	9282d	বর্তমানে যেকোনো রাজনৈতিক
81d04c89b9	22096	নিশ্চয়তা নেই
81d069cd1e	3d17c	সুসময়ে মানুষ অনেক
81d0f00368	f1240	তবে ১৯৭২ সালে
81d0f1a020	d7a68	রাত্রি হইলে এক স্থানে
81d169a411	66dcd	অর্থ ব্যয় করছে
81d1f13052	f6e55	স্বাচ্ছন্দ্যের জন্য
81d2096274	32c77	শুভশ্রী গাঙ্গুলী
81d228d5f9	282d3	এখনো কলেজছাত্র
81d27fd777	da6f0	লিপি তার
81d35de37a	153c9	খাওয়া যায়
81d36edd83	49543	মাওবাদী বেনিতো তিয়ামজোনকে ধরতে
81d3851044	24f73	মত দেন মন্ত্রী
81d3b32fdc	3fce2	দৌড়ে আসে লুৎফা
81d4088736	2f547	১৬৪৩ খ্রিস্টাব্দের ৪ঠা জানুয়ারিতে
81d4dfa0d2	da6f0	কোর্ট বললো
81d4fd48c3	388c9	দীর্ঘদিন টিকে ছিল
81d67b5f00	0f047	উত্তরার স্বামী
81d69951fa	d1a48	জ্ঞানগম্যি নেই আদৌ
81d6ccbd8e	fbb81	স্বস্তির নিঃশ্বাস
81d6e147eb	9b864	গুরুত্বপূর্ণ সময়ে
81d704249c	d1b12	মূল প্রতিকৃতি
81d73f40c1	f1240	মহারাজা
81d78343fa	e6752	কেউ বলছেন
81d79419e9	d0c70	কুমিল্লার লাকসামে
81d7d0baf5	4e900	অর্ধেক রাজত্বের মতো
81d7d4d8e6	5a61c	নোকিয়ার শো রুমে পাওয়া যাবে
81d81614f0	60f77	রিক্তা বেগম নিজেই
81d853afed	b8bf0	আরো ১০টি
81d8bdf3a6	355c1	দ্বিগুণ হচ্ছে বলেও
81d8d8ab52	3f875	সেটা তদন্ত করে দেখা হচ্ছে
81d995be4a	086dd	আসমানের দিকে তাকিয়ে
81dac8ca91	3fb17	হালাল মাংস পাবার সুযোগ
81db848e20	b52ab	শেষ মুহুর্তে সুচিত্রা তনচংগ্যার পরিবর্তে
81dbb4c54a	7f71c	গুরুপ্রদত্ত নাম চণ্ডীদাস
81dbb699ed	0f047	ডেডলাইন ২৫ অক্টোবর
81dc0cd79a	29089	রেলওয়েতে চাকরি করতেন
81dc48a599	b7be9	তাঁদের শুধু একটাই কাজ ছিল
81dca613ce	577fa	ভারতের কট্টর হিন্দুত্ববাদী রাজনৈতিক দল
81dd1c70cf	b00ba	অসুস্থ হয়ে পড়েন
81dd53ce75	79b06	প্রেমের গল্পে
81dd75da7b	93080	জিলাপির মত খাবারগুলো
81ddc14d6b	d9ba9	সিনেমাটিতে মূল গল্প
81ddf4ba02	f837a	কিন্তু এরই মধ্যে
81de51eae0	7b132	সত্য কথা
81df16e8ff	bdfc1	যাবজ্জীবন কারাদণ্ডের নির্দেশ দেন
81df1cf321	e6e48	নেপথ্য কারিগর হিসেবে
81df818318	8632b	আগামী বছর
81df85605e	93bf3	তেমনি একটি বাহুতে
81df9fb396	49d63	লুকিয়ে আছেন
81dfb71535	da6f0	তিনি বছর দুয়েক আগে কাজের জন্য গিয়েছিলেন লেবানন।
81e01bd1bd	3ec4d	প্রদর্শনীর প্রতিটি পোশাক
81e09f17fb	66c6b	কিছু কাজ দিয়েছে
81e0b33b4e	47e8d	তিনি ওই সময়
81e0e4274a	43199	এক উইকেট হারিয়ে
81e12de7cb	9282d	মক্কা
81e1379061	321b6	অথবা জর্ডানের সঙ্গে
81e1695c7b	7b900	বছরেরও আগের
81e1aa647d	95907	আলফা’র দিক থেকে
81e25ea90b	1f974	স্বপ্নে পাওয়া গিয়াছে
81e2863b1c	fcefa	আনুশকা শর্মাকে
81e2fbd793	52578	তাকে কালো পতাকা দেখিয়ে
81e319c219	9282d	বিরাট একটি সমস্যার
81e31ee9db	b9a81	ছোট্ট মেয়ের জীবনযুদ্ধ
81e33e86b5	4f2ae	সমাজতান্ত্রিক না পুঁজিবাদ
81e3eeed6c	7351e	২৬ ডিসেম্বর
81e41860ae	6ee5f	পুলিশের বর্ণনাতে
81e4aa46f7	2ac82	বিশেষভাবে আত্মজৈবনিক রচনায়
81e4abc85f	bf530	এ দীর্ঘ সময়ে
81e4c0dab4	554fe	অরুপ রাহা জানান
81e4f26a1a	3ec4d	হাইতিতে ভূমিকম্প বিধ্বস্ত
81e540fca7	f9dfb	নিজেদের সন্তানকে বোঝাতে হবে
81e54d277a	e03ce	কিন্তু একটি মহল
81e62f2fd2	1a2a1	এস এস সি ফলাফল
81e638658a	23291	যখন দেখল
81e680a770	32b3e	সাথে পাশাপাশি শুরু হয়
81e7317328	6c17f	অনেক বেলায় উঠে
81e741e97c	745b7	ক্রুদ্ধ হয়ে ইন্দ্র
81e7b322c3	f0f95	বাবুল সুপ্রিয়র
81e7fea11a	5dd61	এতে মাহি অভিনয় করছেন
81e8db3db2	1b359	পাত্র পাত্রী চাই
81e91e23f6	2556b	ভবানীচরণ বন্দ্যোপাধ্যায়ের
81e968e263	cb842	গিটারিস্ট জাঙ্গো রেইনহাডটের
81e9b33c86	06527	এবং এর আগের বছর ছিল
81e9ddfe5b	88654	অনাকাঙ্খিত পরিস্থিতি এড়াতে
81eaa2f58f	db181	শিশু পার্ক
81eaaad67a	b9122	ভারতীয় চলচ্চিত্রে
81eabf24f0	c3cca	ঐশীর চাচার দাবি
81eb08f2cf	274ee	স্বহস্তে উন্নতির দ্বার
81eba1f6a0	93d3b	স্পন্দিত হইতে লাগিল
81ebbdbdd7	3f493	দর্শকবৃন্দ শাহরিয়ার আলম বলেন
81ec537cd5	d9b11	দেশীয় চলচ্চিত্রের ক্ষেত্রে
81ec8bc0a7	da6f0	এই বুঝি অ্যাসিড ছুড়বে মুখে
81eca268d5	2ad74	এ সময় বিএসএফয়ের
81ecced15a	83c53	তা নীতিমালায় বলা হোক
81ecfbd7e7	9c8dd	বলার কিছু থাকবে না
81ed41b370	11de3	আলোচনার পরপরই
81eda6f00d	14d25	স্বাচ্ছন্দ্য সৃষ্টি করে
81edaca74a	fb4cb	আমরা তখন র‍্যাব
81ee58a49c	4fd66	হয়ত কোনদিন জনপ্রিয় হবেও না
81ee9d86c8	256f5	সুচারুভাবে পালন করা যায়
81eef55b78	4c1eb	সব ব্যবস্থা হয়
81ef341eee	1e7c7	সমীর কুমার মিত্রের কাছে
81ef55f2f9	32998	ক্রমে একটা বাজিল
81ef8369d1	bd576	মানিক পীরের দরবারে মানত করেন
81ef97c8f4	fbb81	বেশ কয়েকটি জায়গায় জমে উঠেছে
81efa5d205	b78ec	তাদেরকে গাড়ি ও অ্যাম্বুলেন্সে করে
81efef0c51	86b1b	খেলার ছলে ওই জীবন
81f02f2155	4a67e	তার তো অমিত
81f05f2665	f600a	বদলি করেছে
81f0985950	287bd	নিজেকে নিজের কাছে
81f0bd3f43	7f71c	জোকোভিচ জিতেছেন
81f0cdc68e	15a75	নড়ে উঠল
81f17b1529	0a7a0	ভাই, আমি যেমন গাইন
81f1ac150f	b9a81	পাকিস্তানে যে ধরণের জটিল সমস্যা
81f2a9b564	3bb15	সাহিত্যকর্মের ওপর আলোচনা করতেন
81f2b8bf98	31f2a	জিওসি জেনারেল
81f2cfc19a	e3d8b	অন্তত ছ'জন
81f2e5fcb6	18a52	ক্ষতিকর হবে
81f344f4d4	11de3	ভোগ করতে চেয়েছিল সে
81f3c958db	c7a89	গুটিকয়েক নেতা-নেত্রীর
81f41cd0ad	31f2a	রাকিব রাস্তা পার হচ্ছিল
81f420401b	4f450	এদিকে আরাকানের বৌদ্ধ
81f4c34303	88654	দ্বিতীয় হলুদ কার্ড থেকে
81f54898bc	e68af	অপরাজেয় বাংলায়
81f568d0fb	46da4	অন্যদিকে অধ্যাপক
81f5f53a63	54e68	কেন তাঁহার এ বিড়ম্বনা
81f635feb5	5dd61	এই প্রতিবেদনে
81f777b239	ca088	যাই হোক
81f7a4aff9	4164f	এ লেভেলে পড়ুয়া
81f7be83fb	4fd66	পথদিয়ে চলাচলকারী শিক্ষক
81f82fd15b	35ef3	টুইটারে ভক্তদের প্রতি
81f9014143	ce775	অনুপ্রেরণা জোগাচ্ছে
81f9296195	a274b	প্রথমে লৌহজং হাসপাতালে নিয়ে যায়
81f97f1e74	287bd	শূন্যতা নিয়ে
81f99b0b0f	75f18	মনের চোখ ফোটানোর
81faea53ec	03284	কোন দল এই প্রথম
81fb21e48d	d1b12	ছেলে প্রকৌশলী হবে
81fb41f5f7	bfac7	জননী জন্মভূমি পূণ্যভূমি ভারতবর্ষের জন্য
81fbb0bd75	e7230	নেভিলে অ্যান্থনি মাসকারেনহাস
81fc30fae5	72649	লোকসঙ্গীত শিল্পী
81fc465828	4fc91	আরও দুটি বই
81fc49e9b8	09f0d	দেখতে ইচ্ছা করে না
81fc5d782e	420df	নিরঙ্কুশ সংখ্যাগরিষ্ঠতা পেল
81fccb883b	730c3	সাহায্যের কথা ভাবতে হচ্ছে
81fd7272fe	e6752	সম্পর্ক খারাপ হয়
81fd7c7e69	388c9	ফি দিতে হবে
81fd7f8495	43b04	বুবু
81fd89dfb0	195f7	ছেলে তাকে
81fd9e86ca	fda1a	সরকার ভবনগুলো ছেড়ে দেয়া
81fe919996	0744c	প্রিন্স দ্বারকানাথ ঠাকুরের
81ff50897d	bcaa8	প্রত্যাখ্যান করেছে শ্রমিকপক্ষ
81ffda831f	52578	খুব দ্রুত ব্যথা
